"Гройс, Борис Ефимович",鮑里斯·格羅伊斯
Анатолий Иванович Григорьев,阿纳托利·格里戈里耶夫
Кирилл Юрьевич Гребенщиков,基里尔·格雷本什科夫
Михаил Гребенщиков,米哈伊尔·格列边希科夫
Алиса Борисовна Гребенщикова,爱丽丝·格列边希科娃
"Буш, Жан Вячеславович",讓·布希
"Бушин, Владимир Сергеевич",弗拉基米尔·布申
Сергей Анатольевич Гаврилов,谢尔盖·阿纳托利耶维奇·加夫里洛夫
"Древнов, Илья Юрьевич",伊利亚·德雷夫诺夫
"Застрожная, Ольга Кирилловна",奥莉加·扎斯特罗日纳娅
"Гаганова, Валентина Ивановна",瓦莲京娜·加干诺娃
Валентина Ивановна Гагарина,瓦莲京娜·伊万诺芙娜·加加林娜
Николай Петрович Дубинин,尼古拉·彼得罗维奇·杜比宁
"Дубинин, Юрий Владимирович",尤里·杜比寧
"Гринберг, Руслан Семёнович",鲁斯兰·谢苗诺维奇·格林伯格
"Грингольц, Илья Александрович",伊利亞·葛林戈斯
"Гринин, Леонид Ефимович",列奥尼德·格里宁
Александра Марковна Захарова,亚历山德拉·马尔科夫娜·扎哈罗娃
Оксана Олеговна Бычкова,奥克萨娜·贝奇科娃
Антон Владимирович Зацепин,安东‧扎特平
"Зеренков, Валерий Георгиевич",瓦列里·格奥尔基耶维奇·泽连科夫
"Захариков, Александр Михайлович",亚历山大·扎哈里科夫
Андрей Григорьев-Апполонов,安德烈·格里戈列夫 - 阿波罗诺夫
"Григорьева, Ирина Олеговна",伊琳娜·格里戈伊娃
Георгий Сергеевич Бюшгенс,乔治·比施根斯
Ирина Бякова,伊琳娜·比亚科娃
Ирина Викторовна Дубцова,伊琳娜·杜布佐娃
Виктор Петрович Дубынин,维克多·杜贝宁
"Зиганшина, Эра Гарафовна",纪甘希纳时代
Сергей Ишханович Газаров,谢尔盖·加扎罗夫
Полина Гагарина,波琳娜·加加林娜
Елена Юрьевна Гагарина,叶连娜·尤里耶夫娜·加加林娜
Вячеслав Германович Гришечкин,维亚切斯拉夫·格里舍奇金
"Григорьев, Артём Сергеевич",亚坦·格里格里耶夫
"Григорьев, Евгений Геннадьевич",热卡
"Быстрицкая, Юлия Анатольевна",尤利娅·阿纳托利耶夫娜·拜斯特丽斯卡娅
Андрей Георгиевич Быстрицкий,安德烈·格奥尔基耶维奇·比斯特里茨基
"Зернов, Сергей Анатольевич",谢尔盖·雷泽诺夫
"Григорьева, Оксана Петровна",奥克莎娜·格里戈里耶娃
Вячеслав Дмитриевич Дудка,维亚切斯拉夫·德米特里耶维奇·杜德卡
"Гаевский, Валерий Вениаминович",瓦列里·韦尼阿米诺维奇·加耶夫斯基
Александр Григорян,亚历山大·格里戈里安
Александр Георгиевич Дулерайн,亚历山大·多勒尔雷恩
"Дубовик, Максим Николаевич",马克西姆·杜波维科
Прохор Михайлович Дубравин,鄱洛稠尔·杜布拉文
"Гришин, Дмитрий Сергеевич",德米特里·格里申
"Гришко, Валерий Викторович",瓦列里·格里什科
Станислав Дужников,斯坦尼斯拉夫·杜日尼科夫
Самвел Григорян,萨姆韦尔·格里戈良
Николай Николаевич Дудов,尼古拉·尼古拉耶维奇·杜多夫
Владимир Владимирович Кара-Мурза,弗拉基米尔·弗拉基米若维奇·卡拉-穆尔扎
Владимир Алексеевич Кара-Мурза,弗拉基米爾·卡拉姆扎
Леонид Викторович Коротков,列昂尼德·维克托洛维奇·科罗特科夫
"Захаров, Руслан Альбертович",魯斯蘭·扎哈羅夫
"Галенович, Юрий Михайлович",尤里·加列诺维奇
Сергей Зверев,谢尔盖·兹韦列夫
Виктор Васильевич Золотов,维克托·佐洛托夫
"Здор, Анна Юрьевна",安娜·多尔
"Зубакин, Семён Иванович",謝苗·祖巴金
Борис Вячеславович Корчевников,鲍里斯·科尔切夫尼科夫
Павел Анатольевич Корчагин,保爾·柯察金
"Корчагин, Павел Петрович",保爾·柯察金
"Коротич, Виталий Алексеевич",维塔利·阿列克谢耶维奇·科罗季奇
"Гришин, Виталий Николаевич",維他利‧葛利新
"Кортунов, Андрей Вадимович",安德烈·科尔图诺夫
Сергей Корягин,谢尔盖·科里亚金
Дмитрий Львович Золотухин,德米特里·佐洛图欣
"Капитонов, Иван Васильевич",伊万·瓦西里耶维奇·卡皮托诺夫
"Зубарёв, Дмитрий Николаевич",德米特里·祖巴列夫
Леонид Генрихович Зорин,列昂尼德·根利霍维奇·佐林
"Зорич, Владимир Антонович",弗拉基米尔·安东诺维奇·卓里奇
"Карабанов, Алексей Алексеевич",阿列克谢·卡拉巴诺夫
Михаил Владимирович Зеленский,米哈伊尔·泽连斯基
Василий Звягинцев,瓦西里·薩金塞夫
"Зданович, Геннадий Борисович",根纳季·兹达诺维奇
"Кулистиков, Владимир Михайлович",弗拉基米尔·米哈伊洛维奇·库利斯蒂科夫
Дмитрий Сергеевич Куличков,德米特里·库利奇科夫
"Коршунов, Лев Александрович",列夫·亚历山德罗维奇·科尔舒诺夫
"Коршунов, Олег Павлович",O.P. 科尔舒诺夫
"Коршунков, Пётр Валерьевич",彼得·科尔顺科夫
Александр Викторович Коршунов,亚历山大·维克托罗维奇·科尔舒诺夫
"Комоцкий, Борис Олегович",鲍里斯·科莫茨基
Олег Александрович Кувшинников,奥列格·库夫申尼科夫
Юлий Юрьевич Карасик,朱利斯·卡拉西克
"Капто, Александр Семёнович",亚历山大·谢苗诺维奇·卡普托
Мария Звонарёва,玛丽亚·兹沃纳约娃
"Комаров, Евгений Борисович",叶夫根尼·鲍里索维奇·科马罗夫
"Комаров, Игорь Анатольевич",伊戈爾·阿納托利耶維奇·科馬羅夫
Виктор Александрович Костецкий,維克多·科斯特斯基
"Костечко, Николай Николаевич",尼古拉·科斯捷奇科
Андрей Леонидович Костин,安垂·柯斯汀
"Комарова, Татьяна Марковна",塔蒂亚娜·科马罗娃
Юрий Владимирович Комаровский,尤里·弗拉基米罗维奇·科马罗夫斯基
"Золотова, Галина Александровна",加林娜·佐洛托娃
Игорь Золотовицкий,伊戈尔·佐洛托维茨基
Николай Игнатович Кондратенко,尼古拉·伊格纳托维奇·孔德拉坚科
"Кондратьев, Александр Андреевич",亚历山大·安德烈耶维奇·孔德拉季耶夫
"Караганов, Александр Васильевич",亞歷山大·卡拉加諾夫
"Карасева, Ольга Валентиновна",奥尔加·卡拉肖娃
"Каримов, Роман Леонидович",罗曼·卡里莫夫
"Косминский, Евгений Алексеевич",叶夫根尼·阿列克谢耶维奇·科斯明斯基
"Корчмар, Леонид Овшиевич",列奥尼德·科尔奇马尔
"Купляков, Юрий Викторович",尤里·维克托罗维奇·库普利亚科夫
"Косолапов, Ричард Иванович",理查德·伊万诺维奇·科索拉波夫
"Костарев, Олег Владимирович",奥列格·科斯塔列夫
"Коряков, Алексей Сергеевич",亚历山大·科里亚科夫
"Косаковский, Виктор Александрович",維克多·科薩科夫斯基
"Карпинский, Лен Вячеславович",列恩·维亚切斯拉夫维奇·卡尔宾斯基
"Каргалов, Вадим Викторович",弗·维·卡加诺夫
"Карелин, Лазарь Викторович",L.V. 卡列林
"Кондратьев, Вячеслав Леонидович",V.L. 康德拉季耶夫
Валентин Александрович Купцов,瓦连京·亚历山德罗维奇·库普佐夫
Мурат Каральбиевич Кумпилов,穆拉特·庫皮洛夫
Светлана Игоревна Кармалита,斯维特拉娜·卡玛利塔
"Иванов, Анатолий Степанович",伊凡诺夫，A.S.
Андрей Олегович Кондрашов,安德烈·奥列戈维奇·康德拉绍夫
Сергей Геннадьевич Карасёв,瑟格雷·卡拉瑟夫
Михаил Зыгарь,米哈伊尔·齐加
"Карасёв, Денис Анатольевич",丹尼斯·卡拉索夫
Валерий Михайлович Зубов,瓦列里·米哈伊洛维奇·祖博夫
Зубов Андрей Борисович,安德雷·祖博夫
Владислав Максимович Зотин,弗拉季斯拉夫·马克西莫维奇·佐京
"Константинов, Анатолий Устинович",阿納托利·烏斯季諾維奇·康斯坦丁诺夫
Владимир Андреевич Константинов,弗拉基米爾·康斯坦丁諾夫
"Куляпин, Александр Иванович",亚历山大·库利亚平
Иван Константинович (князь оболенский),伊凡·康斯坦丁诺维奇·奥博连斯基
"Карбая, Иракли Демурович",伊拉克利·卡尔巴亚
"Куркова, Бэлла Алексеевна",贝拉·阿列克谢芙娜·库尔科娃
Софико Паатовна Шеварднадзе,索菲柯·谢瓦尔德纳泽
Елена Ивановна Кондулайнен,埃琳娜·孔杜莱宁
"Зюзин, Игорь Владимирович",伊戈尔·弗拉基米罗维奇·久津
Денис Геннадьевич Косяков,杰尼斯·克西亚科夫
Виктор Косых,维克托·科瑟赫
Виталий Григорьевич Костомаров,维塔利·格里戈里耶维奇·科斯托马罗夫
Павел Костомаров,帕维尔·科斯托马罗夫
Алексей Котёночкин,阿列克谢·科琼诺奇金
"Курбанов, Сайдо Бобоевич",赛多·库尔班诺夫
"Иванов, Виктор Петрович",维克托·伊万诺夫
Руслан Владимирович Курашов,鲁斯兰·库拉索夫
"Курбангалеева, Фарида Рашидовна",法丽达·拉希多夫娜·库尔班加列娃
"Курбанов, Ризван Даниялович",里兹万·库尔班诺夫
"Каспаров, Павел Владимирович",帕维尔·弗拉基米罗维奇·卡斯帕罗夫
"Карельских, Евгений Константинович",叶夫根尼·卡列尔斯基赫
Равшана Бахрамовна Куркова,拉芙珊娜·库珂娃
Максим Кац,马克西姆·叶夫根尼耶维奇·卡茨
"Кац, Арнольд Михайлович",阿尔诺德·卡茨
Борис Хлебников,鲍里斯·赫列布尼科夫
"Карпухов, Александр Иванович",亚历山大·卡尔普霍夫
"Курочкин, Евгений Николаевич",耶夫格尼·库罗奇金
"Курукин, Игорь Владимирович",伊戈尔·弗拉基米罗维奇·库鲁金
"Курцын, Роман Дмитриевич",罗曼·克里米亚
"Кочетков, Николай Константинович",尼古拉·康斯坦丁诺维奇·科切特科夫
"Иванов, Максим Геннадьевич",马克西姆·根纳季耶维奇·伊万诺夫
"Касилов, Игорь Владимирович",伊戈尔·卡西洛夫
"Коняшкина, Марина Сергеевна",玛丽娜·科尼亚什金娜
"Котляров, Александр Сергеевич",亚历山大·科特亚罗维
Николай Николаевич Константинов,尼古拉·康斯坦丁諾夫
"Котенёв, Анатолий Владимирович",阿纳托利·科特尼欧夫
Олег Константинович Куценко,奥列格·库琴科
Татьяна Конюхова,塔季扬娜·科纽霍娃
"Кораблёва, Валерия Юрьевна",瓦莱里娅·尤里耶夫娜·科拉布列娃
"Копнина, Татьяна Владимировна",塔蒂亚娜·科宾娜
Владислав Владимирович Копп,弗拉迪斯拉夫·科普
"Карцев, Леонид Николаевич",L·N·卡尔切夫
Роман Андреевич Карцев,羅曼·安德烈耶維奇·卡爾采夫
Александр Викторович Кутиков,亚历山大·库蒂科夫
Владимир Константинович Котт,弗拉基米尔·考特
Сергей Владимирович Иванец,谢尔盖·弗拉基米罗维奇·伊万涅茨
"Иванников, Виктор Петрович",維克托·伊万尼科夫
"Кутепов, Илья Олегович",古普夫
Ксения Кутепова,科塞尼娅·库特波娃
"Кошевой, Владимир Олегович",弗拉基米尔·科舍沃伊
Кошка Сашка,猫Sashka
"Кошкарёва, Татьяна Петровна",塔季扬娜·彼得罗夫娜·科什卡列娃
Екатерина Копанова,叶卡捷琳娜·科帕诺娃
Алексей Романович Копашов,阿列克谢·嘉博索夫
"Кочетков, Афанасий Иванович",阿法纳西·科切特科夫
Катя Огонёк,卡蒂娅·奥戈涅克
Анатолий Григорьевич Кучерена,阿納托利·庫徹雷納
Владимир Андреевич Кучкин,格弗拉基米尔·安德烈耶维奇·库奇金
"Кравцова, Мария Витальевна",玛丽亚·克拉维索娃
Алексей Евгеньевич Кравченко,阿列克谢·克拉夫琴科
"Корешков, Виктор Викторович",维克托·科雷什科夫
"Корешков, Андрей Андреевич",安德里·科列什科夫
"Иванов-Сухаревский, Александр Кузьмич",亚历山大·伊万诺夫-苏哈列夫斯基
"Красильников, Евгений Витальевич",葉甫根尼·克拉西爾尼科夫
Игорь Константинович Кашинцев,伊戈爾·卡申采夫
"Кашин, Владимир Иванович",弗拉基米尔·卡申
Николай Иванов,尼古拉·尼古拉耶维奇·伊万诺夫 (政治人物)
Леонид Александрович Квинихидзе,列昂尼德·克文尼希德哲
Павел Владимирович Крашенинников,帕维尔·克拉舍宁尼科夫
Анжелика Валерьевна Каширина,安热莉卡·卡什丽娜
"Кашлев, Юрий Борисович",尤里·卡什列夫
"Кашлинская, Алина Анатольевна",阿林娜·卡什琳斯卡娅
Владимир Корнилов,弗拉基米尔·科尔尼洛夫
"Корнуков, Анатолий Михайлович",阿納托利·科爾努科夫
"Кушаев, Александр Нариманович",亚历山大·库沙耶夫
"Кушнер, Александр Семёнович",亚历山大·谢苗诺维奇·库什涅尔
Татьяна Эдуардовна Кравченко,塔季扬娜·克拉夫琴科
"Крайнов, Дмитрий Александрович",德米特里·亚历山德罗维奇·克兰诺夫
Алексей Иващенко,阿列克谢·伊戈列维奇·伊瓦申科
Елена Алексеевна Ивасишина,埃琳娜·阿列克谢夫娜·伊瓦西斯金娜
"Ивашкин, Александр Васильевич",亞歷山大．伊瓦斯金
"Ивченко, Александр Владимирович",亚历山大·伊夫琴科
Алёна Владимировна Ивченко,艾柳娜·伊夫琴科
"Кычанов, Евгений Иванович",葉夫根尼·克恰諾夫
"Крамаренко, Сергей Макарович",谢尔盖·马卡罗维奇·克拉马连科
Илья Владимирович Кухарчук,伊利亚·库赫卡丘克
Ксения Олеговна Лаврова-Глинка,瑟妮娅·拉芙洛娃-格林卡
Николай Павлович Лавёров,尼古拉·帕夫洛维奇·拉维奥罗夫
Максим Лагашкин,马克西姆·拉加什金
Валерий Александрович Кухарешин,瓦列里·库卡列欣
"Крегжде, Евгения Витальевна",叶莉扎维塔·克雷茨德
"Крейлис-Петрова, Кира Александровна",基拉·克雷利斯-佩特罗娃
"Корниенко, Алексей Викторович",阿列克谢·维克托罗维奇·科尔尼延科
"Корецкая, Наталья Ивановна",娜塔莉娅·伊万诺夫娜·科列茨卡娅
Светлана Иванова,斯维塔兰娜·伊万诺娃
Лина Игоревна Иванова,莉娜·伊万诺娃
Людмила Ивановна Иванова,柳德米拉·伊万諾娃
"Ладыгин, Кирилл Сергеевич",基里尔·拉德金
Александр Александрович Лазарев,小亚历山大·拉扎列夫
Анатолий Анатольевич Лазарев,阿纳托利·阿纳托利耶维奇·拉扎列夫
Владимир Андреевич Качан,弗拉基米尔·卡昌
"Ивановский, Владимир Евгеньевич",弗拉基米尔·叶夫格尼耶维奇·伊万诺夫斯基
Сергей Николаевич Иванченко,谢尔盖·尼古拉耶维奇·伊万琴科
"Коптюг, Валентин Афанасьевич",华伦汀·科普秋格
"Копылов, Виталий Егорович",维塔利·科皮洛夫
"Кормилов, Сергей Иванович",谢尔盖·伊万诺维奇·科尔米洛夫
Антон Вячеславович Красовский,安东·克拉索夫斯基
"Краузе, Юрий Геннадьевич",尤里·根纳季耶维奇·克劳斯
Виталий Никитич Игнатенко,维塔利·伊格纳坚科
"Иващенко, Пётр Александрович",彼得·伊瓦先科
"Качкаева, Анна Григорьевна",安娜·格里戈里耶芙娜·卡奇卡耶娃
Евгений Николаевич Лазарев,伊夫傑尼·拉扎雷夫
"Игумнов, Геннадий Вячеславович",根纳季·维亚切斯拉沃维奇·伊古姆诺夫
"Коростылёв, Вадим Николаевич",瓦季姆·科罗斯特廖夫
"Коростелёв, Пётр Гурьевич",彼得·古里耶维奇·科拉斯捷列夫
Брайан Идову,布萊恩·伊多烏
"Кикнадзе, Нана Нугзаровна",娜娜·基克纳兹
"Керимов, Джангир Аббасович",贾吉尔·克里莫夫
Ашот Кещян,阿绍特·基橡
"Лаптев, Иван Дмитриевич",伊万·德米特里耶维奇·拉普捷夫
"Короленко, Цезарь Петрович",凯撒·彼得罗维奇·科罗连科
"Кизяков, Тимур Борисович",帖木儿·鲍里索维奇·基兹亚科夫
Михаил Владимирович Кричман,米基尔·克瑞希曼
Владимир Краснопольский,弗拉基米尔·克拉斯诺波利斯基
Александр Красовицкий,亚历山大·克拉索维斯基
"Коростышевская, Оксана Витальевна",奥克萨娜·科罗斯蒂舍维斯卡亚
"Лазовский, Максим Юрьевич",马克西姆·拉佐夫斯基
"Лазуткин, Валентин Валентинович",瓦伦丁·瓦伦蒂诺维奇·拉祖特金
"Игнатович, Павел Геннадьевич",伊拿托域治
Михаил Васильевич Игнатьев,米哈伊尔·瓦西里耶维奇·伊格纳季耶夫
Вячеслав Игоревич Крискевич,维亚切斯拉夫·伊戈列维奇·克里斯克维奇
"Кирилов, Валерий (музыкант)",瓦列里·基里洛夫
Валерия Александровна Ланская,瓦莱莉亚·兰斯卡娅
"Лантратов, Владислав Валерьевич",弗拉迪斯拉夫·兰特拉托夫
"Коробов, Герман Александрович",日耳曼·A·科洛波夫
"Каюров, Леонид Юрьевич",列昂尼德·卡尤罗夫
"Кирш, Виктор Владимирович",維克托‧基爾希
Альберт Аркадьевич Кривченко,阿尔贝特·阿尔卡季耶维奇·克里夫琴科
Елена Игоревна Лядова,叶莲娜·利亚多娃
"Лядова, Людмила Алексеевна",柳德米拉·利亚多娃
Роман Михайлович Кириллов,罗曼·基里洛夫
Марина Анатольевна Ланда,玛丽娜·兰达
"Лянник, Татьяна Викторовна",塔季扬娜·利安尼克
Иван Лапин,伊万·拉普因
"Лапин, Николай Иванович",N.I. 拉宾
Константин Константинович Ильковский,康斯坦丁·康斯坦丁诺维奇·伊利科夫斯基
"Ларичев, Виталий Епифанович",维塔利·叶皮法诺维奇·拉里切夫
"Киселёв, Василий Алексеевич",瓦西里·基谢廖夫
"Инжеватов, Алексей Николаевич",阿列克谢·因热瓦托夫
Анна Михайловна Ларина,安娜·拉林娜
Алла Дмитриевна Ларионова,阿拉·拉里奥诺芙
"Лёвин, Андрей Александрович",安德烈·莱沃文
Владимир Александрович Лёвкин,弗拉基米尔·莱夫金
"Крюков, Дмитрий Витальевич",德米特里·维塔利耶维奇·克留科夫
Алексей Кирющенко,阿列克谢·基留申科
Виктор Васильевич Илюшин,维克多·瓦西里耶维奇·伊留申
Кирилл Александрович Ласкари,基里尔·拉斯卡里
Олег Александрович Лебедев,奥列格·亚历山德罗维奇·列别杰夫
Ирина Степановна Мазуркевич,伊琳娜·马祖尔科维奇
Дмитрий Константинович Киселёв,德米特里·基谢廖夫
"Киселёв, Николай Иванович",尼古拉·伊万诺维奇·基谢廖夫
"Королёв, Лев Николаевич",列夫·尼古拉耶維奇·科羅廖夫
Валерия Ивановна Киселёва,瓦列里娅·基谢廖娃
Дмитрий Аркадьевич Мазепин,德米特里·馬澤平
"Майоров, Генрих Александрович",亨里希·马约罗夫
"Кром, Михаил Маркович",米哈伊尔·马尔科维奇·科罗姆
Лариса Ивановна Кронберг,拉莉莎·孔柏格
Николай Михайлович Кропачев,尼古拉·克罗帕切夫
"Крюков, Василий Михайлович",劉華夏
Константин Витальевич Крюков,康斯坦丁·克留科夫
Дмитрий Владимирович Иосифов,德米特里·罗斯弗夫
Юлий Ильяшенко,朱利叶斯·瑟吉耶维奇
Владимир Иванович Илюхин,弗拉基米尔·伊万诺维奇·伊柳金
"Левашов, Николай Викторович",尼古拉·亞夫林斯基
"Крутько, Андрей Андреевич",安德烈·安德烈耶维奇·克鲁季科
Леонид Леонидович Лебедев,列昂尼德·列别杰夫
Амет-Хан Гарунович Магомедов,阿梅特汗-坎·穆罕默多夫
Вячеслав Александрович Кислицын,维亚切斯拉夫·亚历山德罗维奇·基斯利岑
"Кисунько, Григорий Васильевич",格雷戈里·瓦西里耶维奇·基苏尼科
"Лацис, Отто Рудольфович",奥托·鲁道夫维奇·拉齐斯
Александр Иванович Лебедев,亚历山大·列别杰夫
"Крысин, Леонид Петрович",L.P. 克雷辛
"Левко, Валентина Николаевна",瓦倫蒂娜·列夫科
Марина Викторовна Левтова,玛丽娜·莱维托瓦
Людмила Ивановна Крылова,柳德米拉·科雷洛娃
"Мазуров, Дмитрий Владимирович",德米特罗·马祖罗夫
"Левитин, Анатолий Павлович",阿納托利·列維京
"Левин, Семён Михайлович",谢苗·米哈伊洛维奇·列文
"Маляка, Дмитрий Сергеевич",德米特里·马里亚卡
"Инюшкин, Николай Михайлович",尼古拉·米哈伊洛维奇·伊纽什金
"Кужлев, Олег Борисович",奥列格·库热廖夫
Ирсон Кудикова,伊勒松·库季科娃
"Иртеньев, Игорь Моисеевич",伊戈尔·厄尔捷涅耶夫
Настя Макаревич,阿纳斯塔西娅·马卡列维奇
Дмитрий Киселёв,德米特里·基谢廖夫
Дмитрий Алексеевич Исаев,德米特里·伊萨耶夫
"Мадянов, Вадим Сергеевич",瓦季姆;·马佳诺夫
"Ледогоров, Игорь Вадимович",伊格爾·列達戈洛夫
Эльза Ивановна Леждей,艾尔莎·拉兹金
Павел Леонидович Ипатов,帕维尔·列昂尼多维奇·伊帕托夫
Ирина Ортман,伊琳娜·奥特曼
"Иноземцев, Владислав Леонидович",弗拉季斯拉夫·伊诺泽姆采夫
"Климов, Евгений Юрьевич",叶夫根尼·克利莫夫
Денис Васильевич Майданов,丹尼斯·梅丹诺夫
Елена Майорова,埃琳娜·马约洛娃
"Кузичев, Анатолий Александрович",阿纳托利·库齐切夫
"Кузмак, Александр Александрович",亚历山大·库兹马克
Полина Иодис,波琳娜·伊奥迪斯
"Куземский, Александр Леонидович",亚历山大·库兹姆斯基
Кирилл Алексеевич Клеймёнов,基里尔·克莱米约诺夫
Кирилл Клепалов,基里尔·克莱帕洛夫
Игорь Юрьевич Макарихин,伊戈尔尤里耶维奇马卡里新
Виталий Кищенко,维塔利·基申科
Иван Андреевич Макаревич,伊万·马卡列维奇
Ромуальд Николаевич Макаренко,罗穆亚尔德·马卡连柯
"Исаев, Алексей Валерьевич",阿列克欽·瓦列耶夫維奇·伊薩耶夫
"Исаев, Андрей Константинович",安德烈·伊萨耶夫
Наум Ихильевич Клейман,納姆·克萊曼
Павел Тимофеевич Лебешев,帕维尔·勒贝舍夫
Виктория Евгеньевна Исакова,维克多利亚·伊萨科娃
Людмила Ивановна Исакова,卢德米拉·I·伊萨科夫
"Макаров, Вячеслав Серафимович",维亚切斯拉夫·马卡罗夫
Игорь Макаров,伊戈爾·馬卡羅夫_(商人)
"Клишас, Андрей Александрович",安德烈·克利沙斯
"Легчилова, Анна Александровна",安娜·莱奇洛娃
Алексей Климушкин,阿列克谢·克里穆什金
Юрий Клинских,尤里·尼古拉耶维奇·克林斯基赫
Николай Александрович Макаровец,尼古拉·马卡罗维茨
Антон Александрович Макарский,安东·马卡尔斯基
"Клышко, Давид Николаевич",大卫·尼古拉耶维奇
Алла Фёдоровна Клюка,阿拉·克柳克
"Клюквин, Александр Владимирович",亚历山大·克鲁尤文
"Кудрявцев, Виктор Николаевич",維克多· 庫德里亞夫特塞夫
"Лекторский, Владислав Александрович",符拉迪斯拉夫·列克托斯基
"Исковских, Василий Алексеевич",瓦西里·伊斯科夫斯基
Николай Николаевич Кудрявцев,庫德里亞夫采夫·尼古拉耶維奇
Георгий Максимов,乔治·马克西莫夫
Вера Андреевна Кузнецова,薇拉·庫茲尼索娃
"Кузнецова, Мария Владимировна",玛丽亚·库兹涅佐娃
Сергей Маковецкий,谢尔盖·马科韦茨基
"Ишлинский, Александр Юльевич",亞歷山大·尤利耶維奇·伊什林斯基
"Левченко, Сергей Георгиевич",谢尔盖·格里戈里耶维奇·列夫琴科
Лена Князева,叶莲娜·克尼亚泽娃
"Князева, Ксения Борисовна",克塞妮娅·克尼亚泽娃
Александр Сергеевич Леньков,亞歷山大·連科夫
Максим Леонидов,马克西姆·列昂尼多夫
Максим Александрович Калашников,馬克西姆·亞歷山德羅維奇·卡拉什尼科夫
"Максимов, Анатолий Вадимович",阿纳托利·瓦迪莫维奇·马克西莫夫
"Кузнецов, Сергей Олегович",謝爾蓋·庫茲涅佐夫
"Кузнецов, Борис Юрьевич",鲍里斯·尤里耶维奇·库兹涅佐夫
"Искандер, Рамиля Рифовна",莱米莉亚·伊斯坎德尔
Изольда Ишханишвили,伊佐尔达·伊什卡尼什维利
Алексей Кабанов,阿列克谢·卡巴诺夫
Людмила Васильевна Максакова,柳德米拉·马克萨科娃
Мария Петровна Максакова-Игенбергс,小玛丽亚·梅克萨科瓦
Борис Владимирович Клюев,鲍里斯·弗拉基米罗维奇·克柳耶夫
Денис Ильич Клявер,丹尼斯·克里弗
"Лемешева, Мария Николаевна",玛丽亚··尼古拉耶夫娜·列梅舍娃
Сергей Михайлович Лемох,谢尔盖·列莫赫
Николай Кириллович Максюта,尼古拉·马克休塔
"Макуха, Владимир Алексеевич",沃洛基米爾·馬庫卡
Равиль Исьянов,雷佛·依斯亞諾夫
"Максимов, Вадим Игоревич",瓦迪姆·伊戈列维奇·马克西莫夫
Илья Владимирович Максимов,伊利亚·马克西莫夫
Авангард Николаевич Леонтьев,阿万加德·列昂捷夫
"Макаров, Андрей Михайлович",安德烈·米哈伊洛维奇·马卡罗夫
"Кузнецов, Евгений Семёнович",叶夫根尼·谢苗诺维奇·库兹涅佐夫
Лев Владимирович Кузнецов,列夫·弗拉基米罗维奇·库兹涅佐夫
"Кузнецов, Михаил Варфоломеевич",米哈伊尔·瓦尔福洛梅耶维奇·库兹涅佐夫
"Малашенко, Игорь Евгеньевич",伊戈尔·叶夫根尼耶维奇·马拉申科
"Леонов, Николай Ильич",尼古拉·伊里奇·列昂诺夫
Всеволод Борисович Кузнецов,维塞沃洛德·库兹涅佐夫
Сергей Сирович Кавагое,谢尔盖·川越
"Кузнецов, Юрий Викторович",尤里·维克托罗维奇·库兹涅佐夫
Юрий Александрович Кузнецов,尤里·库兹涅佐夫
Сергей Ливнев,谢尔盖·利夫涅夫
Екатерина Геннадьевна Маликова,叶卡捷琳娜·马利科娃
Инна Юрьевна Маликова,因娜·马里科娃
"Кобылкин, Дмитрий Николаевич",德米特里·科贝尔金
Андрей Борисович Кобяков,安德烈·博里索維奇·科比亞科夫
"Кобялко, Антон Игоревич",安东·科比亚尔科
"Ковалевский, Максим Михайлович",马克西姆·科瓦列夫斯基
Иван Павлович Малахов,伊万·帕夫洛维奇·马拉霍夫
"Малахова, Евгения Александровна",叶夫根尼娅·马拉霍娃
Агния Евгеньевна Кузнецова,雅戈尼娅·库兹涅佐娃
"Лесневский, Дмитрий Анатольевич",德米特里·莱斯涅夫斯基
"Летюшова, Ольга Евгеньевна",奥尔加·列秋绍娃
"Малеев, Валерий Геннадьевич",瓦列里·根纳季耶维奇·马列耶夫
"Коберский, Виталий Мирославович",维塔利·科别尔斯基
"Лесин, Михаил Юрьевич",米哈伊爾·列辛
"Кобекин, Владимир Александрович",弗拉基米尔·亚历山大罗维奇·科别金
Андрис Марисович Лиепа,安德里斯·列帕
Лика Добрянская,丽卡·杜布赞卡雅
"Куимов, Николай Дмитриевич",尼古拉·基莫夫
"Куйвашев, Евгений Владимирович",叶夫根尼·奎瓦舍夫
"Кавалерян, Карен Артаваздович",凱倫·卡瓦萊揚
Виталий Владимирович Коваленко,维塔利·科瓦连科
"Кадышевский, Владимир Георгиевич",弗拉基米尔·卡德什夫斯基
"Казанков, Максим Сергеевич",马克西姆·卡赞科夫
Наталья Владимировна Мальгина,娜塔莉娅·玛尔吉娜
Аристарх Евгеньевич Ливанов,阿里斯塔克·利瓦诺夫
Игорь Ливанов,伊戈尔·利瓦诺夫
"Ковалёв, Олег Иванович",奥列格·伊万诺维奇·科瓦廖夫
Сати Сетгалиевна Казанова,萨蒂·克诺瓦
"Мальцев, Максим Валерьевич",马克西姆·马尔采夫
"Кузюткин, Владимир Иванович",弗拉基米爾·庫祖金
Сергей Фёдорович Лисовский,谢尔盖·利索夫斯基
Ярослав Иванович Кузьминов,雅羅斯拉夫·伊万諾維奇·庫茲米諾夫
