黄现璠,黄現璠
徐贵祥,徐貴祥
成泰燊,成泰シェン
母其弥雅,ムチミヤ
趙麗穎,趙麗穎
郁秀,郁秀
郑岩,鄭岩
谭家军,譚家軍
童瑶,童瑶
李家超,李家超
唐奕·(围棋棋手),唐奕
刘奇,劉奇
齐·宝力高,チ・ボラグ
平亚丽,平亜麗
平可夫,平可夫
刘永坦,劉永坦
姚錦成,姚錦成
夏培肃,夏培粛
王晓东·(1960年),王暁東
王绶琯,王綬琯
熊召政,熊召政
牛萌萌,牛萌萌
潘建伟,潘建偉
伍芳,伍芳
王千源,王千源・(俳優)
汪见虹,汪見虹
王小谟,王小謨
王晋康,王晋康
魏宗万,魏宗万
王祥云,王祥雲
蓝天野,藍天野
紀大偉,紀大偉
康辉,康輝
张伯礼,張伯禮
张存浩,張存浩
张希,張希・(化学者)
张佳宁,張佳寧
张小白,張小白
王煜輝,王煜輝
王群·(围棋棋手),王群
陈健·(1942年),陳健・(外交官)
陈建斌,陳建斌
杜宪,杜憲
王梦恕,王夢恕
戴旭,戴旭
董卿,董卿
王晶·(演员),王晶・(新疆ウイグル自治区出身の女優)
王正谱,王正譜
郭凡,郭凡
孙腾宇,孫騰宇
任泉,任泉
林保全,林保全
陶华碧,陶華碧
颜妮,顔妮
唐闻生,唐聞生
时越,時越
邵震中,邵震中
马伯庸,馬伯庸
盛中国,盛中国
铁流,鉄流
阎维文,閻維文
林少華,林少華
陈文浩·(1961年),陳文浩
陈数,陳数
陈楸帆,陳楸帆
迟子建,遅子建
陈思思·(歌手),陳思思
任志强,任志強
启骧,愛新覚羅啓驤
秦海璐,秦海璐
谭仲池,譚仲池
田聪明,田聡明
文潔若,文潔若
宋彬彬,宋彬彬
宋洋,宋洋
孟宏伟,孟宏偉
梅方,梅方
张涛·(材料学家),張涛・(1964年生)
方天丰,方天豊
董彦,董彦
傅自应,傅自応
董浩,董浩
鄂栋臣,鄂棟臣
宋涛·(外交官),宋濤
当年明月,当年明月
李维嘉,李維嘉
李进军,李進軍
陳邦柱·(1934年),陳邦柱
陈钢·(1935年),陳鋼
王怡·(作家),王怡
王汝南,王汝南
姜帆·(自行车运动员),姜帆
王大中·(1935年),王大中
王晨星,王晨星
王媞,王媞
王伯昭,王伯昭
许嵩,許嵩
王宁·(男主持人),王寧・(ニュースキャスター)
汤素兰,湯素蘭
唐浩明,唐浩明
沈果孙,沈果孫
曾春蕾,曾春蕾
徐则臣,徐則臣
张雨浦,張雨浦
潘蕾,潘蕾
熊清泉,熊清泉
田雄·(全国人大代表),田雄・(全国人大代表)
宋雪林,宋雪林
应勇,応勇
黎春華,黎春華
姚雪垠,姚雪垠
姜克實,姜克實
姜椿芳,姜椿芳
孔铉佑,孔鉉佑
温铁军,温鉄軍
吴昕,呉昕
王娜·(花样游泳运动员),王娜・(アーティスティックスイミング選手)
王小丫,王小丫
陳僖儀,陳僖儀
刘棣怀,劉棣懐
侯斌,侯斌
程小青,程小青
尚红,尚紅
何綺玲,エレイン・ホー
何炅,何炅
何康,何康
华学明,華学明
華以剛,華以剛
鲁佳,魯佳
马识途,馬識途
怀进鹏,懐進鵬
房興耀,房興耀
余少群,余少群
张刚毅,張剛毅
张凤翙,張鳳翽
黄明·(1957年),黄明
龙志毅,龍志毅
刘大刚,劉大剛
刘敦桢,劉敦楨
徐俐,徐俐
徐冠华,徐冠華
徐莹·(棋手),徐瑩
薛篤弼,薛篤弼
杨晓渡,楊暁渡
张国淦,張国淦
谷建芬,谷建芬
顾诵芬,顧誦芬
关晓彤,関暁彤
游本昌,游本昌
杨正午,楊正午
姚本輝,姚本輝
姚迪,姚笛
葉桂·(圍棋棋手),葉桂
汤用彤,湯用彤
都本基,都本基
陈晓,陳暁
張藝興,レイ・(歌手)
忍·(羌),忍・(羌)
徐静波,徐静波
杨树达,楊樹達
俞鴻,兪鴻
李必湖,李必湖
李營,李営
胡兵,胡兵
胡衡华,胡衡華
黄旭华,黄旭華
海霞·(主播),海霞
王克英,王克英
龚正,龔正
芈昱廷,羋昱廷
胡也佛,胡也佛
田诚阳,田誠陽
虞悰,虞悰
石立善,石立善
戴耀廷,戴耀廷
朱启钤,朱啓鈐
丁善德,丁善徳
白文奇,白文奇
廖沫沙,廖沫沙
傅明,傅明
楊士海,楊士海
杨紫,楊紫
袁木,袁木
管軼,管軼
李学鹏,李学鵬
臧金生,臧金生
張立·(記者),張立・(記者)
张子枫,張子楓
张难先,張難先
张轸,張軫
張元濟,張元済
戴玉强,戴玉強
熊克武,熊克武
小松·(小說家),小松・(中国の小説家)
馬鳳圖,馬鳳図
释学诚,学誠
容庚,容庚
李凤彪,李鳳彪
李光富,李光富
朱琳·(政治人物),朱琳・(政治家)
李乐成,李楽成
朱耀明,朱耀明
黑鹤·格日勒其木格,黒鶴・格日勒其木格
陈梦,陳夢
马毓泉,馬毓泉
朱雨玲,朱雨玲
李金早,李金早
张宝文,張寶文
鹿晗,鹿晗
黃子韜,黄子韜
邹正,鄒正
司徒美堂,司徒美堂
徐三庚,徐三庚
劳春燕,労春燕
刚强,剛強
卢作孚,盧作孚
刘雷,劉雷
桑晨,桑晨
章乃器,章乃器
张益唐,張益唐
姚星彤,姚星彤
陈旭·(1963年),陳旭
王林·(作家),王林・(作家)
布小林,布小林
刘正,劉正
刘醒龙,劉醒龍
刘瑶章,劉瑶章
刘达,劉達・(教育者)
刘炳森,劉炳森
柳哲生,柳哲生
呂赫若,呂赫若
周一良,周一良
库尔班·吐鲁木,クルバン・トゥルム
黄润秋,黄潤秋
李贤玉,李賢玉
李若星,李若星
朱树德,朱樹徳
傅文俊,傅文俊
張海鵬·(歷史學者),張海鵬・(歴史学者)
王晓秋,王暁秋
刘雨辰·(羽毛球运动员),劉雨辰
朱元豪,朱元豪
李文彩,李文彩
顾超,顧超
李源一,李源一
祖海,祖海・(歌手)
常思思,常思思
金铁霖,金鉄霖
黄轩,黄軒
刘敏·(少将),劉敏
李俊慧,李俊慧
王懿律,王懿律
江庸,江庸
黄永吉,黄永吉
高攀龙,高攀龍
吕继宏,呂継宏
吴克泰,呉克泰
正珠尔扎布,ジョンジュルジャブ
欒巴,欒巴
段文凝,段文凝
唐仰杜,唐仰杜
唐兰,唐蘭
周骏,周駿
周震鳞,周震鱗
邓景生,エドワード・タン
額爾德尼烏拉,エルデンオール
鄭守一,鄭守一
费南多,フェルナンド・エンリケ・ダ・コンセイソン
趙菲芸,Dodolook
于京君,ジュリアン・ユー
多布杰,トプギェル
褚益民,褚益民
王君正,王君正
王予波,王予波
黃授書,黄授書
黃曉飛,黄暁飛
徐璐,徐璐
柯洁,柯潔
李轩豪,李軒豪
黄云嵩,黄雲嵩
吳汝俊,呉汝俊
范蕴若,范蘊若
陶欣然,陶欣然
王建军·(1958年),王建軍・(政治家)
王一伦,王一倫
李红·(主持人),李紅
王东峰,王東峰
吴政隆,呉政隆
李勇·(1948年),李勇・(1948年生の政治家)
李华新,李華新
王哲林,王哲林
李宝善,李宝善
吴奇伟,呉奇偉
吳笈孫,呉笈孫
黃鎮廷,黄鎮廷
李维光,李維光
李榮·(語言學家),李栄・(言語学者)
李根源,李根源
吴淞笙,呉淞笙
韦奕,韋奕
樊振东,樊振東
方闻,方聞
王华勇,王華勇
黄凯祥,黄凱祥
王上源,王上源
陳豪·(1954年),陳豪
余小惠,余小恵
周大新,周大新
张平·(作家),張平・(小説家)
林鼎智,ロイデン・ラム
莫应丰,莫応豊
李宇琪,李宇琪
孙力·(作家),孫力
柳建伟,柳建偉
王火,王火
刘玉民,劉玉民
雪克来提·扎克尔,ショハラト・ザキル
林朗彥,林朗彦
杨方旭,楊方旭
王嘉爾,ジャクソン・(GOT7)
洪永安,洪永安
杨振武,楊振武
叶文玲,葉文玲
刘斯奋,劉斯奮
陈健·(1952年),陳健・(政治家)
李国文·(作家),李国文
叶恭绰,葉恭綽
辛明·(演员),辛明
鄭洞國,鄭洞國
聂其杰,聶雲台
郑申侠,鄭申侠
王祥喜,王祥喜
胡绳,胡縄
王晓晖,王暁暉
段宜恩,マーク・(GOT7)
王志刚·(1957年),王志剛
秦生祥,秦生祥
吴肇毅,呉肇毅
孔健,孔健
富紅梅,富紅梅
丁冰,丁氷
孙宅巍,孫宅巍
张丽玲,張麗玲
張莉梓,張莉梓
吴青·(教育家),呉青
张一博,張一博
元谐·(乐安郡公),元諧
宋文洲,宋文洲
丁一平,丁一平
刘岸伟,劉岸偉
陳毓祥,陳毓祥
赵子立,趙子立
陈哲敏,陳哲敏
胡美芳,胡美芳
过惕生,過惕生
陳照丕,陳照丕
盧靖姍,セリーナ・ジェイド
董大酉,董大酉
遇罗克,遇羅克
郑晨,鄭晨
錢昌照,銭昌照
賀國光,賀国光
钱君匋,銭君匋
陳籙,陳籙
唐月梅,唐月梅
蒋光太,ティアス・ブラウニング
毛睿龙,毛睿龍
呂君昌,呂君昌
孙绍骋,孫紹騁
Yaya·Han,ヤヤ・ハン
信长星,信長星
释印光,釈印光
夏欣怡,夏欣怡
雷挺婕,雷挺婕
王莉霞,王莉霞
克里木,克里木
杨希,楊希
水天一色,水天一色
牛牛,牛牛
王宗堯,王宗堯
王禔,王禔
王辉·(乒乓球运动员),王輝
彭程·(花样滑冰运动员),彭程
扶猛,扶猛
李康·(围棋棋手),李康
熊式輝,熊式輝
王樹常,王樹常
徐健焜,徐健焜
王鳴盛,王鳴盛
彭立峣,彭立尭
李圆通·(万安郡公),李円通
李廷江,李廷江
王振国·(1954年),王振国
王汀,王汀
王雷·(围棋棋手),王雷
毕世鸿,畢世鴻
施小炜,施小煒
王敏·(作家),王敏
李小牧,李小牧
李濤·(1968年),李濤・(陸上選手)
牛雨田,牛雨田
木子,木子・(卓球選手)
陈虎·(演员),タイガー・チェン
瞿维,瞿維
章文晋,章文晋
羅君強,羅君強
章宗祥,章宗祥
罗建文,羅建文
缪云台,繆雲台
矫大羽,矯大羽
严金海,厳金海
江疏影,江疏影
李欽誠,李欽誠
尹弘,尹弘
林建华,林建華
熊秉坤,熊秉坤
丁晟,丁晟
郑思维,鄭思維
高升·(足球运动员),高升・(サッカー選手)
王霜,王霜
王福平,王福平
耿雁生,耿雁生
王允卿,王允卿
石倚洁,石倚潔
顧水如,顧水如
陳逸松·(律師),陳逸松・(弁護士)
陳照奎,陳照奎
鹿鐘麟,鹿鍾麟
陈临新,陳臨新
顾文根,顧文根
邱延鹏,邱延鵬
鄭展龍,鄭展龍
邬光亚,鄔光亜
陈雷·(1917年),陳雷・(政治家)
张涛·(围棋棋手),張涛・(囲碁棋士)
石宇奇,石宇奇
鲍哲南,鮑哲南
刘汉·(1965年),劉漢
王嘉楠,王嘉楠
薛飞·(电视主播),薛飛
李干杰,李幹傑
吴忠琼,呉忠瓊
沈晓明,沈暁明
陈观慧,陳觀慧
於之莹,於之瑩
金杨,金楊
张工·(1961年),張工
金红光,金紅光
刘海东·(足球运动员),劉海東
高准翼,高准翼
田志希,田志希
曾擴情,曽拡情
周一围,周一囲
华晨宇,華晨宇
郭俊谊,ガブリエル・クァック
周先旺,周先旺
釋能海,能海
王迪,王迪
钱崇澍,銭崇澍
孔东梅,孔東梅
张维为,張維為
张蓝心,張藍心
魏建功,魏建功
高福,高福
張哲瀚,張哲瀚
王凱·(中國大陸演員),王凱
吴倩·(演员),呉倩
刘允斌,劉允斌
赖小民,頼小民
陈薇,陳薇
刘晓彤·(排球运动员),劉暁彤
趙嘉敏,趙嘉敏
吳偉仁,呉偉仁
丁霞,丁霞
何殷震,何震・(アナキスト)
赵国荣,趙国栄
袁誉柏,袁誉柏
罗云熙,羅雲熙
张祺·(1910年),張祺
张涛·(互联网),張涛・(実業家)
赫冀成,赫冀成
丁毅·(中将),丁毅
朱一龙,朱一龍
康凱·(1972年),康凱・(中国の俳優)
迪丽热巴·迪力木拉提,ディリラバ
譚文豪,譚文豪
馬思純,馬思純
李昂·(足球运动员),李昂・(サッカー選手)
方博,方博
李溪芮,李溪芮
谢毅·(化学家),謝毅
鄭雁雄,鄭雁雄
黃子悅·(香港),黄子悦
林广泛,林広泛
许立志,許立志
于颂,于頌
周冠宇,周冠宇
陳都靈,陳都霊
李皓晴,李皓晴
阿丽米罕·色依提,阿麗米罕・色依提
龙梦柔,ロン・モンロウ
梁繼平,梁繼平
黃台仰,黃台仰
杨鑫·(足球运动员),楊鑫
李恒·(植物学家),李恒・(植物学者)
李敏·(1924年),李敏・(1924年生)
唐仁健,唐仁健
刘爱琴,劉愛琴
任振鹤,任振鶴
何鈞傑,何鈞傑
王小洪,王小洪
杜凱琹,ドー・ホイカン
张天爱·(黑龙江),張天愛
肖若腾,肖若騰
胡昌升,胡昌升
易烊千玺,易烊千璽
张卫·(1993年3月),張衛・(サッカー選手)
王伟中,王偉中
张常宁,張常寧
慎海雄,慎海雄
林莉·(排球運動員),林莉・(バレーボール)
朱婷,朱婷
張惺,Tehu
王军辉,王軍輝
王诗玥,王詩玥
唐佳麗,唐佳麗
张语格,張語格
次仁顿珠,ツェラン・トンドゥプ
劉晏含,劉晏含
李纯·(演员),李純・(女優)
何攀,何攀
李炳军,李炳軍
李景亮,リー・ジンリャン
袁心玥,袁心玥
陈时伟,陳時偉
唐長孺,唐長孺
果敢·(二胡演奏家),果敢・(二胡奏者)
刘昊然,劉昊然
王俊凯,王俊凱
雷佳慧,雷佳慧
潘涛,潘濤
俞德浚,ユウ・デジュン
萬籟聲,万藾声
莫有雪,莫有雪
李香凝·(花样滑冰运动员),李香凝
张晓雅,張暁雅
袁琦琦,袁琦琦
曹璐,チャオ・ルー
徐海乔,徐海喬
陈雨菲,陳雨菲
文俊輝,文俊輝
周庭,周庭
唐良智,唐良智
王云蕗,王雲蕗
张香山,張香山
梁天琦,梁天琦
尹力·(1962年),尹力
郭鋒·(1960年),郭鋒・(政治家)
尹正,尹正
劉仲敬,劉仲敬
何引丽,何引麗
何济霆,何濟霆
曾艳芬,曽艶芬
葛兆光,葛兆光
文正一,文正一
柳鑫宇,柳鑫宇
高名凯,高名凱
鞠婧禕,鞠婧禕
李校堃,李校堃
王贻芳,王貽芳
饒書涵,饒書涵
庄毅,荘毅
张俊·(田径运动员),張俊・(競歩選手)
李佩甫,李佩甫
黄政宇,黄政宇
金宇澄,金宇澄
张雨霏,張雨霏
黃景瑜,黄景瑜
邱勇·(1964年),邱勇
林良铭,林良銘
趙婷,クロエ・ジャオ
王一博,王一博
裴金佳,裴金佳
窦靖童,竇靖童
釋智慧,釈智慧
第年秒,第年秒
金晨,金晨
藤井亮,藤井亮・(サッカー選手)
李国庆·(企业家),李国慶
童梦成,童夢成
范骁骏,范驍駿
周潔瓊,ギョルギョン
張昱,張昱
陳龍海,陳龍海
季道帥,季道帥
楊雪盈,楊雪盈
龚翔宇,龔翔宇
郝景芳,郝景芳
曾超,曾超
梁靖崑,梁靖崑
辜梓豪,辜梓豪
王靖斌,王靖斌
张律,張律
张磊·(1972年),張磊・(実業家)
张玉宁·(1997年),張玉寧・(1997年生のサッカー選手)
徐友刚,徐友剛
鄭益昕,鄭益昕
編程隨想,阮曉寰
徐明浩,ディエイト
程训钊,程訓釗
吴英杰,呉英傑
林路迪,ルディ・リン
王凯华,王凱華
王林·(1915年),王林・(政治家)
李尚福,李尚福
王平·(1955年),王平・(中将)
释法尊,法尊・(中国僧)
羅冠聰,羅冠聡
刘灵玲,劉霊玲
谭强·(羽毛球运动员),譚強
周昊东,周昊東
韩呈恺,韓呈愷
王晰,王晰
郑栅洁,鄭柵潔
顾留馨,顧留馨
陈冬·(航天员),陳冬
朱生岭,朱生嶺
唐一军,唐一軍
何卫东,何衛東
葉錦龍,葉錦龍
银临,銀臨
刘小明,劉小明
王立銘,王立銘
陳婉婷·(足球教練),チャン・ユエンティン
王源,王源・(歌手)
王晓萍·(1964年),王暁萍
谢尔豪,謝爾豪
邓涵文,鄧涵文
王宁·(1961年),王寧・(政治家)
畢贛,畢贛
吴易昺,呉易昺
陈伟俊,陳偉俊
彭昱暢,彭昱暢
王广华,王広華
王凯·(1962年),王凱・(政治家)
石正丽,石正麗
张琦·(1961年),張琦・(1961年生)
費沁源,費沁源
胡海岚,胡海嵐
周群飞,周群飛
周祖翼,周祖翼
张昭·(企业家),張昭・(実業家)
王琏,王連・(空軍司令官)
廖元赫,廖元赫
许嘉阳,許嘉陽
赵晨宇,趙晨宇
王泽锦,王沢錦
杨楷文,楊楷文
王凡·(沙滩排球运动员),王凡
高林·(中國將領),高林・(少将)
劉歡緣,劉歓縁
鞠枫,鞠楓
耿爽,耿爽
池宇峰,池宇峰
李桥铭,李橋銘
徐承恩·(化工學家),徐承恩・(浙江省出身の石油化学工業技術者)
馮提莫,馮提莫
賀飛,賀飛
王浩·(1963年),王浩
刘宁·(1962年),劉寧・(政治家)
沈念如,沈念如
韩俊·(1963年),韓俊
袁征·(企业家),エリック・ヤン
華涌,華涌
柳青·(企业家),柳青
丁浩·(围棋棋手),丁浩
黄强·(1963年),黄強
易嘉爱,易嘉愛
莫寒,莫寒
程潇,ソンソ
冯飞,馮飛・(政治家)
袁冰妍,袁冰妍
王忠林·(1962年),王忠林
辰乐,チョンロ
颜宁,顔寧
何平·(上将),何平・(上将)
张涛·(1972年1月),張涛・(1972年生)
曹德旺,曹徳旺
陈发虎,陳発虎
叶光富,葉光富
王曼昱,王曼昱
柏耀平,柏耀平
陳幸同,陳幸同
吴哲晗,呉哲晗
殷勇·(1969年),殷勇
張本智和,張本智和
任翔宇,任翔宇
范胤,范胤
谢科·(围棋棋手),謝科
高星·(棋手),高星
伊凌涛,伊凌涛
李维清,李維清
陈一鸣·(棋手),陳一鳴
周泓余,周泓余
陈梓健,陳梓健
陆敏全,陸敏全
商传,商伝
阴和俊,陰和俊
徐起零,徐起零
张千帆,張千帆
马宁·(足球裁判),馬寧
蓝佛安,藍仏安
钱七虎,銭七虎
秦伟平,秦偉平
王明山,王明山
宿白,宿白
方幹民,方幹民
王楚钦,王楚欽
王泽山,王沢山
许昆林,許昆林
侯云德,侯雲徳
黃凱妮,シミカ・カストロ・ウォン
许中田,許中田
林孝埈,林孝埈
易炼红,易煉紅
谢蕾蕾,謝蕾蕾
谭代山,タイソン・タン
包晗,包晗
魏锐,ウェイ・ルイ
高亭宇,高亭宇
王建武,王建武
唐登杰,唐登傑
吴桂英·(1966年),呉桂英
邱水平,邱水平
張霸,張覇
天兵,王彬・(プロレスラー)
德尔加多,ペドロ・ミゲル・ゴメス・デルガド
易会满,易会満
王秀斌,王秀斌
马国强,馬国強
赵今麦,趙今麦
艾尔肯·吐尼亚孜,エルキン・トゥニヤズ
孟美岐,ミギ
荣梓杉,ロン・ズーシャン
段正澄,段正澄
李现,李現
周深,周深
張凌,張凌
马振昭,馬振昭
孫穎莎,孫穎莎
陈彬彬,陳彬彬
张艺洋,張芸洋
林向阳·(解放军),林向陽
楊終,楊終
孙立群·(历史学家),孫立群
李月汝,李月汝
鲁婉遥,森田遥
林高遠,林高遠
杨帆·(1995年),楊帆
王昶·(羽毛球运动员),王昶・(バドミントン選手)
史培军,史培軍
閻羽茜,キャシー・ヤン
白鹿·(演員),白鹿・(女優)
段艺璇,段芸璇
王俊·(医学家),王俊
賀峻霖,賀峻霖
林墨,林墨
汪卓成,汪卓成
嚴浩翔,厳浩翔
蔡徐坤,蔡徐坤
吴少聪,呉少聰
锟,クン・(NCT)
瓦里汗·赛里克,ワリハン・セリク
仁俊,ロンジュン
王玉雯,王玉雯
欧烜屹,欧烜屹
覃海洋,覃海洋
黃明昊,ジャスティン・(中国の歌手)
蔡立靖,エミリオ・エステベス・ツァイ
黄尧·(演员),黄尭
袁嘉蔚,袁嘉蔚
李盈莹,李盈瑩
刁琳宇,刁琳宇
侯志慧,侯志慧
杨洋,楊洋・(俳優)
王顺镇,王順鎮
吴祖强,呉祖強
马晓伟·(官员),馬暁偉
陈睿·(1978年),陳睿
岑子杰,岑子杰
朱正廷,朱正廷
靳如超爆炸案,石家荘爆発事件
宋雨琦,ウギ・(歌手)
畢雯珺,畢雯珺
孟晚舟,孟晩舟
魏雅欣,魏雅欣
贺建奎,賀建奎
张佳宝,張佳宝
田伟·(外科专家),田偉
张学,張学
王坚·(信息技术专家),王堅
孙丽丽,孫麗麗
曹建国·(航空发动机专家),曹建国
米日古丽·图尔荪,メヒルグル・トゥルスン
江川·(排球运动员),江川・(バレーボール)
龔俊,龔俊
郭新娃,郭新娃
汪海江,汪海江
蒋振邦,蒋振邦
杨天翔,楊天翔
王媛媛,王媛媛
肖戰,肖戦
马晓光,馬暁光
李子柒,李子チー
施詩,施詩
刘仲华·(茶学家),劉仲華
塔西甫拉提·特依拜,タシポラット・ティップ
杨超越,楊超越
赵露思,趙露思
朱辰杰,朱辰傑
蒋圣龙,蔣聖龍
任素汐,任素汐
龚旗煌,龔旗煌
王简嘉禾,王簡嘉禾
黄星原,黄星原
李奧軒,アオシュエン・リ
芦芳生,芦芳生
墨香铜臭,墨香銅臭
屈冬玉,屈冬玉
李文亮,李文亮
董军·(海军),董軍
张联盟,張聯盟
姜濤,ギョン・トウ
谷爱凌,谷愛凌
王辰,王辰
汪文斌,汪文斌
宋亚东,ソン・ヤドン
张伟丽,ジャン・ウェイリー
徐怀中,徐懐中
于赓哲,于賡哲
李小冬,フォレスト・リー
翁泓阳,翁泓陽
张文宏·(医生),張文宏
侯英超,侯英超
徐逸,徐逸
昀昀,董思成
虞書欣,虞書欣
洪嘉豪,洪嘉豪
肖俊·(NCT),シャオジュン
孙沁文,孫沁文
閆桉,イェナン
李庚希,李庚希
梁武东,梁武東
王立強事件,王立強事件
胡中明,胡中明
何振良,何振良
龙洋·(主持人),龍洋
李诗沣,李詩灃
王星昊,王星昊
李心田,李心田
传林坊赖庆,伝林坊頼慶
池炳学,池炳学
江山娇与红旗漫,江山嬌と紅旗漫
张焰,張焰
严於信,厳於信
贾帕尔·阿比布拉,ジャパル・ハビブラ
韩雨·(冰壶运动员),韓雨・(カーリング選手)
冯彦哲,馮彥哲
陈秋实·(律师),陳秋実
王怡人,王怡人
柳帆,柳帆
袁汉坤,袁漢坤
金子涵,金子涵
劳荣枝,労栄枝
吳宇恆,呉宇恒
矢板明夫,矢板明夫
成蕾,チェン・レイ・(ジャーナリスト)
肖央,肖央
黄斯沉,黄斯沈
劉智明·(神經外科專家),劉智明
何桂藍,何桂藍
梁伟铿,梁偉鏗
孔雪兒,孔雪児
王晓雪,王暁雪
律桂军,律桂軍
杨倩·(射击运动员),楊倩
屠晓宇,屠暁宇
閆麗夢,閻麗夢
符雅凝,符雅凝
叶建春,葉建春
倪虹,倪虹
沈小婷,沈小婷
刘畅·(1993年),劉暢・(男優)
吴晓军,呉暁軍
刘宇·(艺人),劉宇・(歌手)
沈梦雨·(足球运动员),沈夢雨
苏木达尔基,ス・ムダルジ
唐嘉雯,唐嘉雯
許豐凡,許豊凡
汤洪波,湯洪波
宋祺武,宋祺武
李拉,李拉
許先哲,許先哲
赵龙·(1967年),趙龍
钟睒睒,鍾睒睒
夏侯云珊,エリカ・シアホウ
張嘉元,張嘉元
刘浩存,劉浩存
迪妮格尔·衣拉木江,ジニゲル・イラムジャン
张展,張展
乌日古木拉,ウルガマル
阮扬扬,阮揚揚
朱一珺,朱一珺
江成,江成・(政治家)
蔡浩宇,蔡浩宇
张陆,張陸
杨娴,楊嫻
蔡旭哲,蔡旭哲
苏翊鸣,蘇翊鳴
陈致逸,陳宇鵬
毛宁·(外交官),毛寧・(外交官)
刘伟·(米哈游),劉偉
薛剑,薛剣
廖宇靖,廖宇靖
韩东育,韓東育
張馳·(羽毛球運動員),張馳
宋协毅,宋協毅
程星,程星
馬藜,馬藜
张旭东·(上将),張旭東
张大兴,張大興
林剑,林剣
王根华,王根華
章昊,ジャン・ハオ
潘展乐,潘展楽
陳柏陽,陳柏陽
刘毅·(羽毛球运动员),劉毅・(バドミントン選手)
陳芳卉,陳芳卉
黃敏蕎,黃敏蕎
王子浩,ワン・ツーハオ
史蒂文·何,スティーブン・ヒー
