Douglas Adams,더글러스 애덤스
Ma Jian (writer),마젠
Daniel Mays,대니얼 메이스
Lobsang Rampa,롭상 람파
Kenny Baker (English actor),케니 베이커
Scott Walker (singer),스콧 워커
Dave Gahan,데이브 게한
Richard Sanderson,리처드 샌더슨
Roger Livesey,로저 리브시
Penny Mordaunt,페니 모돈트
Mollie King,몰리 킹
Allan Warren,앨런 워런
Thomas Cavalier-Smith,토머스 캐빌리어스미스
Charlie Cox,찰리 콕스
Jimmy Johnstone,지미 존스톤
Kate Magowan,케이트 매고원
John Partridge (actor),존 패트리지
Robert Smith (musician),로버트 스미스 (음악가)
Martin Gore,마틴 고어
Christopher Alexander,크리스토퍼 알렉산더
Anthony Andrews,앤서니 앤드루스
Graham Sutherland,그레이엄 서덜랜드
Jay Rodriguez,제이 로드리게스
Len White,렌 화이트
Jordon Mutch,조던 머치
Hans Matheson,핸스 매시선
Dennis Skinner,데니스 스키너
Jayne Atkinson,제인 앳킨슨
Alexis Korner,알렉시스 코너
Sylvester McCoy,실베스터 매코이
Peter F. Hamilton,피터 F. 해밀턴
Lee Camp (footballer),리 캠프
Carmen Ejogo,카먼 이조고
Zac Goldsmith,잭 골드스미스
James Frain,제임스 프레인
Robert Milkins,로버트 밀킨스
Gary Hooper,게리 후퍼
Robert Cornthwaite (soccer),로버트 콘스웨이트
Dalian Atkinson,데일리언 앳킨슨
Gilbert Sheldon,길버트 셸던
Ludovic Kennedy,루도비치 케네디
Ronan Parke,로넌 파크
Jay Bothroyd,제이 보스로이드
Heather Oakes,헤더 오크스
Dean Whitehead,딘 화이트헤드
John Dankworth,존 댕크워스
Paddy Considine,패디 콘시딘
James McCartney,제임스 매카트니
Esther McVey,에스더 맥베이
Julian Glover,줄리언 글러버
Ian Bannen,이언 배넌
Julie Rogers,줄리 로저스
Jimmy Somerville,지미 서머빌
Arthur Russell (athlete),아서 러셀
Alasdair McDonnell,앨러스터 맥도널
Joseph Larmor,조지프 라모어
Joe Perry (snooker player),조 페리 (스누커 선수)
Eva Bartok,에바 바톡
G. E. R. Lloyd,G. E. R. 로이드
Shelagh Delaney,실라 덜레이니
Raymond Williams,레이먼드 윌리엄스
Livvi Franc,리비 프랭크
Perry Anderson,페리 앤더슨
Louise Redknapp,루이즈 레드냅
Dave Mackay,데이브 매카이
Brian Robertson (guitarist),브라이언 로버트슨
Edward VIII,에드워드 8세
Cressida Cowell,크레시다 코웰
Alison Lapper,앨리슨 래퍼
Becky (television personality),벡키 (가수)
Bernard Lewis,버나드 루이스
Paul McGillion,폴 맥길리언
Joe Dempsie,조 뎀프시
Jason Connery,제이슨 코너리
High Contrast,하이 콘트라스트
Anton Lesser,앤턴 레서
"Henry FitzRoy, 1st Duke of Grafton",제1대 그래프턴 공작 헨리 피츠로이
Lee Westwood,리 웨스트우드
Dominic Howard,도미닉 하워드
Jamie Harris (actor),제이미 해리스
Sarah Jane Smith,사라 제인 스미스
Eddy Grant,에디 그랜트
Barry Hawkins,배리 호킨스
Larry Adler,래리 애들러
Pamela Salem,파멜라 세일럼
Amber Rose Revah,앰버 로즈 리바
V V Brown,V V 브라운
J. Lee Thompson,J. 리 톰슨
David Mitchell (comedian),데이비드 미첼 (배우)
Trafford Leigh-Mallory,트래퍼드 리맬러리
William McDougall (psychologist),윌리엄 맥두걸
Charles Kay Ogden,찰스 케이 오그던
Peter Blake (artist),피터 블레이크
Andrew Cruickshank,앤드루 크룩섕크
Elaine Fantham,일레인 팬섬
Richard Thompson (musician),리처드 톰슨
Stephen Morris (musician),스티븐 모리스
Gordon Haskell,고든 해스켈
Margareta of Romania,마르가레타 아 로므니에이
Rodney Heath,로드니 히스
Davey Johnstone,데이비 존스톤
Noel Clarke,노엘 클라크
Kenneth Armitage,케네스 아미티지
Gerry Anderson,게리 앤더슨
Gordon Pirie,고든 피리
John Taylor (bass guitarist),존 테일러 (베이스 기타 연주자)
Arthur Machen,아서 매컨
Andrew Crawford (actor),앤드루 크로퍼드
Andrew Lawson,앤드루 로슨
Neil Jackson,닐 잭슨
Nik Gowing,닉 고잉
Michael Anderson (director),마이클 앤더슨 (영화 감독)
Miles Dempsey,마일스 뎀프시
Brian Bennett,브라이언 베넷
James Ogilvy,제임스 오길비
John McVie,존 맥비
F. M. Cornford,F. M. 콘퍼드
Warren Ellis,워런 엘리스
Graham Gouldman,그레이엄 굴드먼
Freya Mavor,프레야 메이버
Joseph Wedderburn,조지프 웨더번
David J. Thouless,데이비드 사울레스
John Polkinghorne,존 폴킹혼
Thomas Mun,토머스 먼
Peter Murphy (musician),피터 머피
Mantovani,만토바니
Dave Holland,데이브 홀랜드
Chris Woods,크리스 우즈
Jackie Milburn,재키 밀번
"John Spencer, 8th Earl Spencer",제8대 스펜서 백작 존 스펜서
William Aitken (footballer),윌리엄 에이켄
Harry Baird (actor),해리 베어드
Martin Peters,마틴 피터스
Andrew-Lee Potts,앤드루 리 포츠
Rex Warner,렉스 워너
Gary Gibbons,게리 기번스
Sweeney Todd,스위니 토드
Patrick Steptoe,패트릭 스텝토
Walter Legge,월터 레그
David Soul,데이비드 솔
David Lloyd (comics),데이비드 로이드
Kenneth E. Boulding,케네스 유어트 볼딩
Judy Grinham,주디 그리넘
Joe Elliott,조 엘리엇
Garth Ennis,가스 에니스
Antonia Campbell-Hughes,앤토니아 캠벨휴즈
Wunmi Mosaku,운미 모사쿠
Tim Bowler,팀 보울러
Tom Carroll (English footballer),톰 캐럴
Tony Sheridan,토니 셰리던
Sajid Javid,새지드 재비드
Steve Jackson (British game designer),스티브 잭슨 (영국의 게임 디자이너)
Nigel Bruce,나이절 브루스
J. G. Farrell,제임스 고든 파렐
Alex Garland,알렉스 가랜드
Benjamin Creme,벤저민 크림
Fearne Cotton,펀 코튼
Richard Hughes (musician),리처드 휴스 (음악가)
Carole Shelley,캐럴 셸리
Chris Gauthier,크리스 고디어
Guy Berryman,가이 베리먼
Ben Youngs,벤 영스
Michael Burawoy,마이클 부라워이
Jeremy Irvine,제러미 어바인
Yasmin Le Bon,야스민 르 봉
Jimmie Nicol,지미 니콜
Ian Buchanan,이안 뷰캐넌
Craig Armstrong (composer),크레이그 암스트롱
Lady Helen Taylor,레이디 헬렌 테일러
Eric Knight,에릭 나이트
Gordon Jackson (actor),고든 잭슨
Andrew Powell,앤드류 파월
David Deutsch,데이비드 도이치
John Tillotson,존 틸럿슨
Sylvia Hermon,실비아 허먼
Chris Harman,크리스 하먼
Simon Callow,사이먼 캘로
Yahtzee Croshaw,벤 크로쇼
Christopher Fry,크리스토퍼 프라이
Mick Fleetwood,믹 플리트우드
Anthony Blunt,앤서니 블런트
Yvonne Mitchell,이본 미첼
Andrew V. McLaglen,앤드류 V. 맥라글렌
Beverley Knight,베벌리 나이트
Mary Soames,메리 소메스
Edwin Jarvis,에드윈 자비스
Nigel Godrich,나이절 고드리치
Matt Devlin (Irish republican),맷 데블린
Geoff Nicholls,제프 니컬스 (음악가)
Lorne Balfe,론 밸프
Ben Daniels,벤 대니얼스
Keith Connor,키스 코너
Vera Filatova,베라 필라토바
Graham McTavish,그레이엄 맥타비시
Murray Head,머리 헤드
Terry Wogan,테리 우건
Sydney Chaplin,시드니 채플린
Richard J. Evans,리처드 J. 에반스
Malcolm Sargent,맬컴 사전트
Matt Lowton,매슈 로턴
Gary O'Neil,게리 오닐
Terence Rattigan,테런스 래티건
Angus Ogilvy,앵거스 오길비
Paul Blackthorne,폴 블랙손
Simon MacCorkindale,사이먼 매코킨데일
Lady Louise Windsor,레이디 루이즈 윈저
"Will Kemp (actor, born 1977)",윌 켐프
Abdalqadir as-Sufi,압달카디르 아스수피
Tim Severin,팀 세버린
Ray Reardon,레이 리어던
Ian Woosnam,이언 우즈넘
Mark Davis (snooker player),마크 데이비스 (스누커 선수)
Danny Fox,대니 폭스
Mike Carey (writer),마이크 케리
Richard Madden,리처드 매든
Daniel Kaluuya,대니얼 컬루야
C. V. Wedgwood,C. V. 웨지우드
John Selden,존 셀든
Norman Read,노먼 리드
Sax Rohmer,색스 로머
Charlie McDonnell,찰리 맥도널
Tom Hingley,톰 힝글레이
Goldie,골디
Stephen Boyd,스티븐 보이드
Richard Fraser (actor),리처드 프레이저
India de Beaufort,인디아 드 보포르
James Cosmo,제임스 코스모
Dave Legeno,데이브 르게노
Peter Capaldi,피터 카팔디
Penelope Wilton,퍼넬러피 윌턴
Mickey Smith,미키 스미스
Max Beesley,맥스 비슬리
Dhani Harrison,다니 해리슨
Shola Ama,숄라 아마
Clive Bell,클라이브 벨
Tommy Cooper,토미 쿠퍼
Jason Steele (footballer),제이슨 스틸
Moyna Macgill,모이나 맥길
"George Anson, 1st Baron Anson",조지 앤슨
Nina Nesbitt,니나 네즈빗
Keith O'Brien,키스 오브라이언
Simon Schaffer,사이먼 섀퍼
Richard Wollheim,리처드 월하임
James Chester,제임스 체스터
Roger Fry,로저 프라이
Chris Norman,크리스 노먼
Luke Youngblood,루크 영블러드
Matthew Beard (English actor),매튜 비어드
Fay Holden,페이 홀든
Steve Bould,스티브 볼드
John Bagot Glubb,존 바고트 글러브
Mark Phillips,마크 필립스
Mark Lester,마크 레스터
"David Lascelles, 8th Earl of Harewood",제8대 헤어우드 백작 데이비드 라셀레스
Luke Steele (footballer),루크 데이비드 스틸
Arnold Jackson (British Army officer),아널드 잭슨
Arnold Leese,아널드 리스
Roger Ashton-Griffiths,로저 애슈턴그리피스
Fran Healy (musician),프랜시스 힐리
Freddie Bartholomew,프레디 바솔러뮤
Thomas Hooker,토머스 후커
Paul Nuttall,폴 누탈
Tommy Docherty,토미 도허티
Arthur Dent,아서 덴트
Frank Finlay,프랭크 핀레이
William Playfair,윌리엄 플레이페어
Peter Sallis,피터 샐리스
Lindsay Hoyle,린지 호일
Elton Dean,엘튼 딘
Leonard Woolf,레너드 울프
"James, Earl of Wessex",웨식스 백작 제임스
Phil Collen,필 콜린
Rickie Lambert,리키 램버트
Zeki Fryers,이지키얼 프라이어스
J. F. C. Fuller,J. F. C. 풀러
John Bradley (English actor),존 브래들리 (잉글랜드의 배우)
Darren Campbell,대런 캠벨
Jake Weber,제이크 웨버
William Stuart-Houston,윌리엄 패트릭 스튜어트휴스턴
Neil Etheridge,닐 에더리지
"Alexander Windsor, Earl of Ulster",얼스터 백작 알렉산더 윈저
Tom Phillips (Royal Navy officer),토머스 필립스
Jim Sturgess,짐 스터게스
Ian Hamilton (British Army officer),이언 해밀턴
Allen Jones (artist),앨런 존스
Shannon Saunders,섀넌 손더스
Darren Ferguson,대런 퍼거슨
Damian McGinty,데이미언 맥긴티
Morven Christie,모븐 크리스티
Simon Keenlyside,사이먼 킨리사이드
Olly Blackburn,올리 블랙번
Toby Hemingway,토비 헤밍웨이
Walter Sickert,발터 지커트
Ramsey Campbell,램지 캠벨
Tom Sturridge,톰 스터리지
Ebenezer Scrooge,에비니저 스크루지
Gary Brooker,게리 브루커
Joe Meek,조 믹
Steve Lillywhite,스티브 릴리와이트
Hugh Mitchell (actor),휴 미첼
Mick Jackson (director),믹 잭슨
Joe Anderson (actor),조 앤더슨
Kerry Dixon,케리 딕슨
Kyren Wilson,카이런 윌슨
Anthony Panizzi,앤서니 파니치
Eddie the Eagle,에디 에드워즈 (스키점프 선수)
Tony Cliff,토니 클리프
Lesley Nicol (actress),레슬리 니콜
Merlin Holland,멀린 홀랜드
Simon Murray (businessman),사이먼 머레이
Vanessa White,버네사 화이트
Arthur Ransome,아서 랜섬
Thomas Shepard (minister),토머스 셰퍼드 (1605년)
Alfie Allen,앨피 앨런
Barry Cooper (musicologist),베리 쿠퍼
Callum Keith Rennie,캘럼 키스 레니
Louis Harold Gray,루이스 해럴드 그레이
John Cotton (minister),존 코튼
Ernest Mangnall,어니스트 맹널
John Gregory (moralist),존 그레고리 (의사)
Christopher Hampton,크리스토퍼 햄프턴
Matthew Stevens,매슈 스티븐스
Steve McQueen (director),스티브 매퀸 (영화 감독)
Plan B (musician),플랜 B (음악가)
Kyle Bartley,카일 바틀리
Tim McInnerny,팀 매키너니
Andy Bell (singer),앤디 벨 (1964년)
Agam Darshi,애갬 다시
Lennie James,레니 제임스
Alexander Arnold (actor),알렉산더 아널드
Roy Williamson,로이 윌리엄슨
Paul Burchill,폴 버칠
Jack Goody,잭 구디
Perdita Weeks,페디타 윅스
Rita Simons,리타 사이먼스
Sara Stewart,사라 스튜어트
Allan McGregor,앨런 맥그레거
Christopher Dean,크리스토퍼 딘
Edward Highmore,에드워드 하이모어
Duncan Jones,덩컨 존스
Max Whitlock,맥스 휘틀록
Eddie Jobson,에디 좁슨
"David Wotherspoon (footballer, born 1990)",데이비드 워더스푼
Lucy Pinder,루시 핀더
Daniel Jones (phonetician),대니얼 존스 (음성학자)
Phillip Lee (politician),필립 리 (정치인)
Astley Cooper,에슐리 쿠퍼
Richard Coyle,리처드 코일
Andrea Leadsom,앤드리아 레드섬
Maxi Priest,맥시 프리스트
Art Malik,아트 말리크
Simon McBurney,사이먼 맥버니
John Rooney (footballer),존 루니
A. J. P. Taylor,A. J. P. 테일러
Kris Marshall,크리스 마셜
Armando Iannucci,아르만도 이아누치
Bob Peck,밥 펙
Colin Montgomerie,콜린 몽고메리
Antony Costa,앤터니 코스타
Olly Murs,올리 머스
Hadley Fraser,해들리 프레이저
Eddie Kramer,에디 크레이머
Ravel Morrison,라벨 모리슨
William Nicholson (writer),윌리엄 니컬슨
David Chipperfield,데이비드 치퍼필드
Max Newman,막스 뉴먼
Mick Karn,믹 칸
Audley Harrison,오들리 해리슨
"Reece Brown (footballer, born 1991)",리스 브라운
Bobby Lockwood,보비 록우드
Ricardo Montez,리카르도 몬테즈
Willy Russell,윌리 러셀
Bobby Tambling,보비 탬블링
A. E. Waite,아서 에드워드 웨이트
Charlie Bewley,찰리 뷸리
Richard Bremmer,리처드 브레머
Alex da Kid,알렉스 다 키드
Judi Shekoni,주디 셰코니
Tom Hughes (actor),톰 휴스
Sheila Hancock,실라 행콕
Rupert Evans,루퍼트 에번스
Bernard Fox (actor),버나드 폭스
Stephen Dillane,스티븐 딜런
Michael Berry (physicist),마이클 베리 (물리학자)
Moses Finley,모지스 핀리
Squarepusher,스퀘어푸셔
Vincent Nichols,빈센트 니콜스
Michael Keeping,마이클 키핑
Marc Warren,마크 워런
Douglas Lowe (athlete),더그 로
Mike Ashley (businessman),마이클 애슐리 (기업인)
Pat Finucane,패트릭 피누케인
Brad Kavanagh,브래드 캐버나
Edwin Cannan,에드윈 캐넌
Passenger (singer),패신저 (가수)
Slick Rick,슬릭 릭
David O'Hara,데이비드 오하라
Ben Cross,벤 크로스
Sam Jackson (actor),샘 잭슨
Harry Collins,해리 콜린스
David Burke (British actor),데이비드 버크
Bill Milner,빌 밀너
David Stockdale,데이비드 스톡데일
Alan Bennett,앨런 베넷
David Oakes,데이비드 오크스
William Sancroft,윌리엄 샌크로프트
John Arden,존 아든
James Corden,제임스 코든
Douglas Booth,더글러스 부스
Warren Christie,워런 크리스티
Jaime Winstone,제이미 윈스턴
Russell Martin (footballer),러셀 마틴 (축구 선수)
Alan Young,앨런 영
Paddy Roy Bates,패디 로이 베이츠
Sean Teale,숀 틸
Emily Head,에밀리 헤드
John Hopkins (actor),존 홉킨스 (배우)
Johanna Konta,요해나 콘타
Jon Hopkins,존 홉킨스 (음악가)
Liam Cooper,리암 쿠퍼
Robert Aickman,로버트 에이크먼
Callum Blue,캘럼 블루
Ian Hodder,이안 호더
Michael Crawford,마이클 크로퍼드
I. Howard Marshall,하워드 마샬
Howard Kendall,하워드 켄덜
Philip Kerr,필립 커
Graham Dorrans,그레이엄 도란스
Mike McCartney,마이크 맥기어
Edward Hardwicke,에드워드 하드윅
Richard Offiong,리차드 오피옹
Colin Clark (filmmaker),콜린 클라크
George Blake,조지 블레이크
Thomas Herring,토머스 허링
Brendan Coyle,브렌던 코일
Charles Rosher,찰스 로셔
Ariadne Oliver,아리아드네 올리버
Max Pirkis,맥스 퍼키스
Arthur Peacocke,아서 피콕
Alex Callinicos,앨릭스 캘리니코스
Tony Curran,토니 커런
Luke Goss,루크 고스
W. Brian Arthur,W. 브라이언 아서
Brian Bolland,브라이언 볼런드
Michael Park (co-driver),마이클 파크
Prince William of Gloucester,글로스터 공자 윌리엄
Jet Harris,젯 해리스
Mike Figgis,마이크 피기스
Bertram Ramsay,버트럼 램지
Marc Wilson (footballer),마크 윌슨
Leslie Phillips,레슬리 필립스
Hugh Hopper,휴 호퍼
Terry-Thomas,테리-토머스
Brian McCardie,브라이언 맥카디
Clive Russell,클라이브 러셀
Julian Morris,줄리언 모리스
Elliot Cowan,엘리엇 카원
Percy Hobart,퍼시 호바트
Bruno Heller,브루노 헬러
John Richardson (actor),존 리처드슨 (배우)
White Town,화이트 타운
Nicola Wheeler,니컬라 휠러
William Empson,윌리엄 엠프슨
Arthur Symons,아서 시먼즈
Tommy Hampson,토미 햄프슨
Nigel Hitchin,나이절 히친
John Marston (playwright),존 마스턴 (시인)
Serge Pizzorno,세르지오 피조르노
Dave Mason,데이브 메이슨
John Callen,존 캘런
Colin Friels,콜린 프릴스
"Colin Bell (footballer, born 1961)",콜린 벨 (1961년)
Albus Dumbledore,알버스 덤블도어
Solomon Cutner,솔로몬 커트너
Ian Hunter (singer),이언 헌터
Richard Swinburne,리처드 스윈번
Peter Hacker,피터 해커
Gerald Moore,제럴드 무어
A. Wallis Myers,A. 왈리스 마이르스
Richard Taylor (mathematician),리처드 로런스 테일러
Paul Kennedy,폴 케네디
John Foulds,존 파울즈 (작곡가)
Dennis Brain,데니스 브레인
Guy Burgess,가이 버지스
Isaac Hempstead Wright,아이작 헴프스테드라이트
Chloe-Beth Morgan,클로이베스 모건
Alan Tate,앨런 테이트 (축구 선수)
Barry Ackroyd,배리 애크로이드
Danny Cohen (cinematographer),대니 코언
Larissa Wilson,라리사 윌슨
Shane Ferguson,셰인 퍼거슨
Jonny Howson,조니 하우슨
Cameron Mackintosh,캐머런 매킨토시
Alastair Sim,앨러스터 심
George MacKay (actor),조지 매카이
Colin Ward,콜린 워드
Edward Woodward,에드워드 우드워드
Danny Dyer,대니 다이어
Peter Andre,피터 앤드리
Bill Nicholson (footballer),빌 니콜슨
Harry Kane,해리 케인
Francis L. Sullivan,프란시스 L. 설리번
Chris Martin,크리스 마틴
Hugh Padgham,휴 패덤
Vic Buckingham,빅 버킹엄
Oliver Norwood,올리버 노우드
Max Sciandri,맥시밀리언 시안드리
Tinchy Stryder,틴치 스트라이더
Barry Morse,배리 모스
Bat for Lashes,뱃 포 래시스
Gary Gardner,게리 가드너
Tim Sherwood,팀 셔우드
Nathan Baker,네이선 베이커
William Robertson (historian),윌리엄 로버트슨
Rory McCann,로리 매캔
Mark Thatcher,마크 대처
Vyvyan Holland,비비언 홀랜드
Stephen Lee (snooker player),스티븐 리 (스누커 선수)
Sirius Black,시리우스 블랙
"Alexander, Crown Prince of Yugoslavia",알렉산다르 카라조르제비치
Jimmy Savile,지미 새빌
Pino Palladino,피노 팔라디노
Cat Deeley,캣 딜리
Dennis Robertson (economist),데니스 로버트슨
David Cotterill,데이비드 코터릴
Simon Grayson,사이먼 그레이슨
Simon Russell Beale,사이먼 러셀 빌
Miles Kane,마일즈 케인
Dominic Keating,도미닉 키팅
Wilfried Zaha,윌프리드 자하
Herbert Giles,허버트 자일스
Nathaniel Clyne,너새니얼 클라인
Ben Howard,벤 하워드
Ben Miller,벤 밀러
Joe Royle,조 로일
JJ Feild,JJ 필드
Al Bowlly,알 보울리
Benno Moiseiwitsch,베노 모이세비치
Max Irons,맥스 아이언스
Betsy Braddock,사일록
Jonny Buckland,조니 버클랜드
Will Champion,윌 챔피언
Dick Taylor,딕 테일러
Toby Regbo,토비 레그보
Curt Smith,커트 스미스
Bernard Cribbins,버나드 크리빈스
Edgar Syers,에드거 사이어스
Michael Bisping,마이클 비스핑
Antonio Pappano,안토니오 파파노
Conleth Hill,콘리스 힐
Louis Wain,루이스 웨인
Kieran Doherty (hunger striker),키어런 도허티
Basil Bernstein,바실 번스타인
Steve Morison,스티브 모리슨
Bernard Fox (Irish republican),버나드 폭스 (아일랜드 공화주의자)
John Giblin,존 기블린
Marcus Collins,마커스 콜린스
Marsha Ambrosius,마샤 앰브로시어스
Cyriak,시리아크 해리스
Hope Grant,제임스 호프 그랜트
Young MC,영 MC
Sidney Merlin,시드니 멀린
Albert Austin,앨버트 오스틴
Steven Lewington,스티븐 루잉턴
Robert Morrison MacIver,로버트 모리슨 매키버
Matt Cardle,맷 카들
Matt Haig,매트 헤이그
Tom Kibble,톰 키블
Mica Levi,미카추
David Barron (film producer),데이비드 배런
Laya Lewis,라야 루이스
William Quash,윌리엄 쿼시
Kevin Campbell (footballer),케빈 캠벨
James Perch,제임스 퍼치
Professor X,프로페서 X
Ross Kemp,로스 켐프
Jamie Dornan,제이미 도넌
Leroy Lita,리로이 리타
Alex James (musician),알렉스 제임스 (음악가)
Nick Moran,닉 모런
Frank Harper,프랭크 하퍼
Ashley Madekwe,애슐리 매더퀴
Machonet,마초넷
Laurence Halsted,로런스 홀스티드
Jamie Draven,제이미 드레이븐
Christian Cooke,크리스천 쿡
Matthew Bourne,매슈 본 (안무가)
Rob Elliot,롭 엘리엇
Jesse Quin,제시 퀸
Tim Harford,팀 하포드
Florrie,플로리 (가수)
Dolores Umbridge,덜로리스 엄브리지
Phil Taylor (musician),필 테일러
Russell Tovey,러셀 토비
Richard Hawley,리처드 하울리
Colin Greenwood,콜린 그린우드
Nicholas Robinson-Baker,니컬러스 로빈슨 베이커
Marcus Buckingham,마커스 버킹엄
George Alagiah,조지 알라기아
Lee Beachill,리 비칠
Ed O'Brien,에드 오브라이언
Michael I of Romania,미하이 1세
Roy Dotrice,로이 도트라이스
"Ray Jones (footballer, born 1988)",레이 존스
Iwan Rheon,이완 리언
James Potter (character),제임스 포터
James Arthur,제임스 아서
James D'Arcy,제임스 다시
Conyers Kirby,랠프 커비
Jim Carter (actor),짐 카터
Ciarán McMenamin,시어런 맥미너민
Meredith Belbin,메러디스 벨빈
Rick Savage,릭 새비지
Malcolm Macdonald,맬컴 맥도널드
Danny Wallace (humorist),대니 월리스
Jessica Hsuan,선훤
Sam Vokes,샘 보크스
Philip Selway,필 셀웨이
Giles Milton,가일스 밀턴
Richard Sykes (diplomat),리처드 사이크스
Lucius Malfoy,루시우스 말포이
Simon Beaufoy,사이먼 보포이
Ken Robinson (educationalist),켄 로빈슨 (교육학자)
Tony Mowbray,토니 모브레이
Morris Ginsberg,모리스 긴즈버그
John Standing,존 스탠딩
Corry Evans,코리 에번스
David Tattersall,데이비드 태터솔
Nigel McGuinness,데스먼드 울프
Gary Daniels,게리 대니얼스
Julian Marley,줄리언 말리
Daniel Levy (businessman),대니얼 레비 (기업인)
Martin Broughton,마틴 브로턴
David Gold (businessman),데이비드 골드
Bianca Walkden,비앙카 워크든
Liam Tancock,리엄 탠콕
Norrie Paramor,노리 파라머
Robyn Hitchcock,로빈 히치콕
George Sampson,조지 샘프슨
Lionel Tertis,라이어넬 테르티스
I. A. Richards,I. A. 리처즈
Duncan Mackay (musician),던컨 매카이
Declan Rudd,데클런 러드
Eddie Clarke (musician),에디 클라크
Donald Meek,도널드 믹
Rupert Gregson-Williams,루퍼트 그레그슨윌리엄스
Mr. Scruff,미스터 스크러프
Jon Foo,존 푸
Daniel Jones (composer),대니얼 존스 (작곡가)
Chris Sharrock,크리스 샤록
Danny Collins (footballer),대니 콜린스
Christopher Hill (historian),크리스토퍼 힐 (1912년)
Michael Kenna (photographer),마이클 케나
Anri Okita,오키타 안리
Norman Lebrecht,노먼 러브렉트
Peter Nicol,피터 니콜
Toby Kebbell,토비 케블
Gareth McAuley,개러스 매콜리
Gareth David-Lloyd,개러스 데이비드로이드
Albert Scanlon,앨버트 스캔런
John Clare,존 클레어
Ralph Broome,랄프 브룸
Frederick Copleston,프레더릭 코플스턴
Burn Gorman,번 고먼
Danny Thompson,대니 톰프슨
"Countess Luana of Orange-Nassau, Jonkvrouwe van Amsberg",오라녜나사우 여백작 루아나
Khalid Abdalla,칼리드 압달라
Ian Charleson,이안 찰슨
Billy Davies,빌리 데이비스
Dan Abnett,댄 애브닛
Micky Moody,미키 무디
Daisy Lowe,데이지 로
Bob Haworth,밥 하워스
Jack Tresadern,잭 트레사던
"Sid Bishop (footballer, born 1900)",시드 비숍
"Billy Moore (footballer, born 1894)",빌리 무어
"Jack Smith (footballer, born 1895)",잭 스미스 (스코틀랜드의 축구 선수)
Ted Vizard,테드 비자드
Billy Jennings (Welsh footballer),빌리 제닝스
Ted Hufton,테드 허프튼
"David Edwards (footballer, born 1986)",데이비드 에드워즈 (축구 선수)
Billy Butler (footballer),빌리 버틀러 (축구 선수)
Roger Lloyd-Pack,로저 로이드팩
"John Collins (footballer, born 1968)",존 콜린스 (축구인)
Harry Nuttall (footballer),해리 넛틀
Posy Simmonds,포지 시먼스
"Billy Brown (footballer, born 1900)",빌리 브라운 (1900년)
Simon Terry,사이먼 테리
Peter Webber,피터 웨버
Dan Houser,댄 하우저
Alex McCarthy,알렉스 맥카시
Richard Ian Cox,리처드 이언 콕스
Richard O'Brien,리처드 오브라이언
Philip Reeve,필립 리브
Stuart Bingham,스튜어트 빙엄
Rafi Gavron,래피 게이브런
George Charles Beresford,조지 찰스 베리스퍼드
Timothy Williamson,티모시 윌리엄슨
S. J. Watson,S. J. 왓슨
Martin Compston,마틴 콤프스턴
W. H. Davies,윌리엄 헨리 데이비스
John Martin (painter),존 마틴 (화가)
John Burningham,존 버닝햄
Sam Houser,샘 하우저
Mark Mazower,마크 마조워
DJ Fresh,DJ 프레시
David Chilton Phillips,데이비드 칠턴 필립스
R. C. Sherriff,로버트 케드릭 셰리프
Douglas Henshall,더글러스 헨셜
Luke Evans,루크 에번스
Bruce Welch,브루스 웰치
David Gyasi,데이비드 자시
Justin Rose,저스틴 로즈
Ken Stott,켄 스톳
Michael Winner,마이클 위너
Frank Dillane,프랭크 딜레인
Philip Olivier,필립 올리버
Matt Willis,맷 윌리스
Mark Ryan (actor),마크 라이언
Hogan Ephraim,호건 에프레임
Paul Nicholls (actor),폴 니컬스
Conor Coady,코너 코디
Luke Garbutt,루크 가벗
Henry Dudeney,헨리 어니스트 듀드니
John Regis (athlete),존 레지스
Phil Mogg,필 모그
Peter Serafinowicz,피터 세러피너위치
Will Keane,윌 킨
Jamie T,제이미 T
Bill Bailey,빌 베일리
George Kay (footballer),조지 케이
"George Windsor, Earl of St Andrews",세인트앤드루스 백작 조지 윈저
Kristen Bjorn,크리스틴 비에른
David Miller (Canadian politician),데이비드 밀러 (정치인)
David Murdoch,데이비드 머독
Egon Pearson,이건 피어슨
William Eccles (physicist),윌리엄 에클즈
Kelly Jones,켈리 존스
Keith Allen (actor),키스 앨런
Sandy Lyle,샌디 라일
Duncan Haldane,덩컨 홀데인
Neil Marshall,닐 마셜
Leonard Sachs,레너드 삭스
Ana Mulvoy-Ten,애나 멀보이 텐
Jack Scanlon,잭 스캔런
C. D. Broad,C. D. 브로드
John Goodall,존 구달
Nick Rhodes,닉 로즈
Leigh Griffiths,리 그리피스
Edmundo Ros,에드문도 로스
Jimi Mistry,지미 미스트리
David Marshall (Scottish footballer),데이비드 마셜
George Hackenschmidt,게오르그 하켄슈미트
George Thorne (footballer),조지 손
Ryan Garry,라이언 개리
Danny Phantom (character),대니 팬텀 (등장인물)
Geoff Eley,제프 일리
Maxwell Caulfield,맥스웰 콜필드
Trent Ford,트렌트 포드
Jack Osbourne,잭 오스본
Stuart Wilson (actor),스튜어트 윌슨
Mandy Santos,만디 산토스
Peter Morgan,피터 모건
Neil Warnock,닐 워녹
Philip Hall,필립 홀
Luke Mably,루크 매블리
Alick Walker,앨릭 워커
Robert Reid (co-driver),로버트 레이드
