код игры Riot Pixels,Riot Pixels遊戲識別碼
Наушки,纳乌什基
Тюлиганово,秋利加诺沃
Крымская астрофизическая обсерватория,克里米亞天文台
Зайсановка,齋桑諾夫卡
Бульвар Адмирала Ушакова,烏沙科夫海軍上將林蔭路站
Бурятский государственный университет,布里亞特國立大學
Назрановский район,納茲拉諾夫斯基區
Союз ТМ-29,联盟TM-29
Тукан,图坎
орден Жукова,朱可夫勋章
Европейский маршрут E18,欧洲E18公路
Независимая газета,独立报
Александро-Невская лавра,亚历山大·涅夫斯基修道院
Шигонский район,希貢斯基區
Куюргазинский район,庫尤爾加津斯基區
Намский улус,納姆斯基區
Селтинский район,謝爾京斯基區
Посёлок имени Свердлова,斯维尔德洛夫村_(俄罗斯)
церковь Покрова на Нерли,涅爾利代禱教堂
Камаринская,卡玛林斯卡亚
Клетня,克列特尼亚
Таганский район,塔甘卡區
Чишмы,奇什梅
Назия,纳济亚
Ишимская степь,伊希姆平原
Поварово,波瓦罗沃_(莫斯科州)
Зирган,济尔甘
Мари-Турекский район,馬里-圖列克斯基區
Верхоянский район,韋爾霍揚斯基區
Среднеколымский улус,斯列德涅科雷姆斯基區
Зианчуринский район,濟揚丘林斯基區
Дозовка,多佐夫卡河
Чикман,奇克曼河
Сахалинский государственный университет,薩哈林國立綜合大學
Кигинский район,基吉區
Шатой,沙台
Архангельское,阿尔汉格尔斯科耶
Тихоокеанский государственный университет,太平洋国立大学
Мегино-Кангаласский улус,梅吉诺 - 坎加拉斯基区
Мирнинский район,米爾內區
Музей Востока,國立東方文化博物館
Каменка,卡缅卡
Языково,亚济科沃
Алатырь,阿拉特里河
Каменка,卡缅卡
Базилика Святого Амвросия,圣盎博罗削圣殿
Мундыбаш,蒙德巴什河
Урман,乌尔曼
Тельбес,捷利別斯河
Бым,貝姆河
Аспа,阿斯帕河
Краснохолмский,克拉斯诺霍尔姆斯基
Вулканы Камчатки,堪察加火山群
Кабан,卡班湖
Куара,庫瓦拉河
Иргина,伊爾吉納河
Чехрак,喬赫拉克河
Худосей,胡多謝伊河
Вогулка,沃古爾卡河
Первый Санкт-Петербургский государственный медицинский университет имени академика И. П. Павлова,圣彼得堡国立巴甫洛夫医科大学
Темясово,捷米亚索沃
Турка,圖爾卡河
Шуртан,舒爾坦河
Стерлитамакский район,斯捷爾利塔馬克區
Большая Волчанка,大沃爾昌卡河
Столбовой остров,斯托爾博沃伊島
Нюя,紐亞河
Чара,恰拉河
Малый Таймыр,小泰梅爾島
Ича,伊恰河
Учур,烏丘爾河
Ходзь,霍濟河
Мишкинский район,米什基諾區
Чинги-Тура,成吉-圖拉
Хинганск,兴安斯克
Красногвардейский район,克拉斯諾格瓦爾傑伊斯基區
Тарумовский район,塔魯莫夫斯基區
Поной,波諾伊河
Печора,伯朝拉區
Нива,尼瓦河
Таштыкская культура,塔施提克文化
Белая Кедва,白克德瓦河
Горюн,戈留恩河
Советский,苏维埃茨基_(列宁格勒州)
Турыш,圖雷什河
Краскино,克拉斯基諾
Сокольники,索科利尼基站
Университет,大學站
Охотный Ряд,猎人商行站
Проспект Мира,和平大道站
Западная Сибирь,西西伯利亞
Русский Букер,俄罗斯布克奖
Хилок,希洛克河
Оленёкский район,奧列尼奧克斯基區
Вымь,維米河
Восточная Сибирь,东西伯利亚
Бросно,布羅斯諾湖
Усть-Алданский улус,烏斯季-阿爾丹斯基區
Преображенская площадь,革新廣場站
Маяковская,馬雅科夫斯基站
Воронья река,沃羅尼亞河
Салмыш,薩爾梅什河
Нерица,涅里察河
Союз ТМ-28,聯盟TM-28
Черкизовская,切爾基佐沃站
Красносельская,紅村站
буддизм в России,俄罗斯佛教
Порецкий район,波列茨基區
Экитыки,埃基特基河
Сапшо,薩普紹湖
Хор,霍尔_(俄罗斯)
Берилл,貝里爾山
Стикс,斯堤克斯河
ЮТэйр,UTair航空
Ореховка,奧列霍夫卡河
Итыгран,伊特格蘭島
Банковский мост,银行桥
Невский район,涅夫斯基區
Герб Республики Карелия,卡累利阿共和国国徽
Марсово поле,战神广场
Средняя Ахтуба,中阿赫图巴
Татышлинский район,塔特什雷區
Стерлибашевский район,斯捷爾利巴舍沃區
Гимн Карелии,卡累利阿共和国国歌
Ручь,魯奇河
Буздяк,布兹佳克
Московская хоральная синагога,莫斯科合唱猶太會堂
Таналык,塔納雷克河
Бездна,別兹德納河
Темерник,捷梅爾尼克河
Понорь,波納里河
Низьва,尼濟瓦河
Кутим,庫季姆河
Чаньва,昌瓦河
Улс,烏爾斯河
Бубыл,布貝爾河
Алей,阿列伊河
Международный конкурс имени П. И. Чайковского,柴可夫斯基國際音樂比賽
Ухтым,烏赫特河
Говоруха,戈沃魯哈河
Мойва,莫伊瓦河
Зарубино,扎魯比諾
Момский район,莫姆斯基區
Нижнесвирский заповедник,下斯維里自然保護區
крушение «Невского экспресса»,2009年尼夫斯基特快爆炸事件
Шарашка,沙拉什卡
Остров Старокадомского,斯塔羅卡多姆斯基島
Фиагдон,菲亞格頓河
Ашинский район,阿申斯基區
Министерство внутренних дел Российской Федерации,俄罗斯联邦内务部
Хороль,霍羅爾
Мишкино,米什基诺
Храм Христа Спасителя (Калининград),基督救世主主教座堂 (加里寧格勒)
крайние точки России,俄罗斯地理极点
Тарутинский бой,塔魯提諾之戰
мыс Анива,阿尼瓦岬
Чемпионат России по футболу 2009,2009年俄羅斯足球超級聯賽
Битва на реке Кондурче,昆都尔察河谷大战
Учалинский район,烏恰雷區
Верхневилюйский улус,韋爾赫涅維柳伊斯基區
Усть-Янский улус,烏斯季揚斯克區
Северная Сосьва,北索西瓦河
Театральная,剧院站
Большой симфонический оркестр имени П. И. Чайковского,柴可夫斯基交响乐团
Восточная Сибирь — Тихий океан,东西伯利亚-太平洋石油管道
Смоленский район,斯莫倫斯基區
Воткинский район,沃特金斯基區
Дербеке,傑爾別克河
Комсомольская,共青團站
Новослободская,新村莊站
Труд,劳动报
Селенгинский район,謝連金斯基區
Заиграевский район,宰格拉耶夫斯基區
Джурич,朱里奇河
Тункинский район,通金斯基區
Езжа,叶兹扎河
Хрома,赫羅馬河
Солнечное затмение 9 апреля 2043 года,2043年4月9日日食
КХЛ в сезоне 2008/2009,大陆冰球联赛2008－2009赛季
Курумканский район,庫魯姆坎斯基區
Акчим,阿克支姆河
Террористический акт в Будённовске,布瓊諾夫斯克醫院人質危機
The Moscow Times,莫斯科時報
Гимн Татарстана,鞑靼斯坦共和国国歌
Крепость Фридрихсбург,弗里德里希堡要塞
Нижне-Свирская ГЭС,下斯维里河水电站
Худан,胡敦河
Сокол,猎鹰宇航服
Лопатка,洛帕特卡角
Воркута,沃爾庫塔河
Монгочеяха,蒙戈切亞哈河
Чукочье озеро,丘科奇耶湖
Эльгинское плоскогорье,埃利金高原
Чыбыда,奇貝達河
Хара-Улах,哈拉烏拉赫河
Дянышка,佳亞內什卡河
Кунгус,昆古斯河
Корткеросский район,科爾特克羅斯基區
Нуримановский район,努里馬諾夫斯基區
Калининградский областной историко-художественный музей,加里寧格勒區域歷史和美術館
Большой Уссурийский,黑瞎子岛
Рова,羅瓦河
Водопадная,沃多帕德納亞河
Кармаскалинский район,卡爾馬斯卡雷區
Казанское авиационное производственное объединение имени С. П. Горбунова,喀山飞机制造联合体
Остров Верхотурова,韋爾霍圖羅夫島
Крутинский район,克魯京斯基區
Нуям,努亞姆河
Экарма,越渴磨島
Государственный космический научно-производственный центр имени М. В. Хруничева,赫鲁尼契夫国家航天研制中心
силовик,强力部门
Межа,梅扎河
Малокурильское,小库里尔斯克
Претенденты на российский престол после упразднения монархии в России,俄羅斯皇位繼承者列表
Вижас,維扎斯河
Антипаётаяха,安蒂帕約塔亞哈河
Кожа,科扎河
Коченга,科琴加河
Малый Хомус-Юрях,小霍穆斯尤里亞赫河
Декимде,傑基姆傑河
Олёр,奧廖爾河
Кривое озеро,克里沃耶湖
Роста,羅斯塔河
Катанца,卡坦察河
Чёрный Июс,黑伊尤斯河
Большая Ою,大奧尤河
Тунка,通卡河
Онот,奧諾特河
Аца,阿察河
Воробьёвы горы,麻雀山站
Пулково,普爾科沃航空
Сысольский район,瑟索利斯基區
50-я параллель северной широты,50度線
Кабанский район,卡班斯基區
Улахан-Вава,烏拉漢瓦瓦河
Некрасовский,涅克拉索夫斯基_(莫斯科州)
Остров Чкалова,契卡洛夫島
Кирей,基列伊河
Пизь,皮濟河
Залив Корфа,科爾夫灣
Павылон,帕維隆湖
Илиргыткин,伊利爾格特金湖
Черендей,切連傑伊河
Эльтон,埃利通湖
Государственный мемориальный музей А. В. Суворова,苏沃洛夫博物馆
Кемь,克米河
Рейнеке,列伊涅克島
Хилкотой,希爾科托伊河
Итанца,伊坦察河
Курба,庫爾巴河
Брянка,布良卡河
Благовещенский пролив,布拉戈維申斯克海峽
Моторчуна,莫托爾丘納河
Большая Ерёма,大葉廖馬河
Баппагай,巴帕蓋河
Большой Хомус-Юрях,大霍穆斯尤里亞赫河
Омулёвка,奧穆廖夫卡河
Коньковая,科尼科瓦亞河
Герб Крыма,克里米亞國徽
Славянка,斯拉维扬卡
Корф,科爾夫
Ичувеем,伊丘韋姆河
Котуйкан,科圖伊坎河
Дюпкун,久普昆湖
Нижняя Баиха,下拜哈河
Гыданский пролив,格達海峽
Холмогорский район,霍爾莫戈爾斯基區
Койгородский район,科伊戈羅德斯基區
Усть-Цилемский район,烏斯季-齊列姆斯基區
Княжпогостский район,克尼亞日波戈斯特斯基區
Прилузский район,普里盧茲斯基區
Исторические памятники Новгорода и окрестностей,諾夫哥羅德及其周圍的歷史古蹟
Ямские острова,亞姆群島
Залив Симса,錫姆薩灣
Сойва,索伊瓦河
Хребет Крубера,克魯別爾山脈
Бухта Кожевникова,科熱夫尼科夫灣
Вёкса,維奧克薩河
Немнюга,涅姆紐加河
Каменка,卡缅卡
Арги,阿爾吉河
Нора,諾拉河
Серёжа,謝廖扎河
Контровод,孔特羅沃德河
Татищевский район,塔季謝夫斯基區
Делинне,傑利尼亞河
Ледь,列季河
Пуя,普亞河
Хобда,霍布達河
Остров Лейкина,列伊基納島
Пегтымель,佩格特梅利河
Дубчес,杜布切斯河
Куанда,庫安達河
Оя,奧亞河
Утьва,烏季瓦河
Шаган,恰甘河
Малый Паялпан,小帕亞爾潘火山
Дзензур,津祖爾斯基火山
Тузовский,圖佐夫斯基火山
Камбальный,坎巴利內火山
Плоский,普洛斯基火山
вулкан Зимина,濟明火山
Романовка,羅曼諾夫火山
Тигровая,蒂格羅瓦亞河
Кепа,克帕河
Большая река,博利沙亞河
Большой Шантар,大尚塔爾島
Мурманское морское пароходство,摩尔曼斯克航运公司
Северная,謝韋爾納亞河
Арму,阿爾穆河
Арахлей,阿拉赫列伊湖
Пушкинская площадь,普希金廣場
Янгель,扬格利_(市级镇)
Иловля,伊洛夫利亚
Комплекс «Пригородное»,普里戈罗德诺耶
Суздальский кремль,蘇茲達爾克林姆林
Краснодарское водохранилище,克拉斯諾達爾水庫
Чурапча,丘拉普恰
Ранова,拉諾瓦河
Эбеляхская губа,埃別利亞赫灣
Ротор,伏尔加格勒罗特尔
Нерусса,涅魯薩河
Куяново,库亚诺沃
Озерной,奧澤爾諾伊火山
Танюрер,塔紐列爾河
Лемва,列姆瓦河
Когель,科格利河
Олым,奧雷姆河
Жупановский,茹帕諾夫斯基火山
Моржовец,莫爾若韋茨島
Чукотское нагорье,楚科奇高原
Кожым,科日姆河
Тёплое озеро,喬洛埃湖
Пржевальское,普熱瓦利斯科耶
Амазар,阿馬扎爾河
Сума,蘇馬河
Остров Пушкарёва,普什卡廖夫島
Остров Андреева,安德烈耶夫島
Вселуг,弗謝盧格湖
Четырёхстолбовой остров,四標桿島
Остров Леонтьева,列昂季耶夫島
Остров Лысова,雷索夫島
Мариинский дворец,马林斯基宫
Волго,伏爾加湖
Крестовский остров,克列斯托夫島
Агитка,阿吉特卡河
Олой,奧洛伊河
Ильский,伊利斯基
Омуляхская губа,奧穆利亞赫灣
Пильва,皮利瓦河
Выша,維沙河
Марийская низменность,馬里盆地
Кундрючья,昆德留奇亞河
Черёмушки,稠李區
Вижаиха,維扎伊哈河 (科爾瓦河支流)
Лызовка,雷佐夫卡河
Окинское плато,奧卡高原
Верховой,韋爾霍伊火山
Кунгасалах,昆加薩拉赫湖
Острая гора,奧斯特拉亞火山
Вельё,韋利埃湖
Голая,戈拉亞火山
Диксон (остров),迪克森島
Желтовский,熱爾托夫火山
Добровольск,皮尔卡伦
Добрынинская,多勃雷寧站
Долина гейзеров,間歇泉谷
Калевала,卡列瓦拉
Летний сад,夏园
Исилькульский район,伊西利庫利斯基區
Пальеозеро,帕利埃奧澤羅湖
Убинское озеро,烏賓斯科耶湖
Сандал,桑達爾湖
Ляля,利亞利亞河
Большое Токко,大托科湖
Академический Малый драматический театр — Театр Европы,列宁格勒小剧院
Брянта,布良塔河
Остров Крупской,克盧普斯科伊島
Баргузинская котловина,巴爾古津盆地
Воль,沃利河
Хартия'97,97憲章
Мраково,姆拉科沃
Витебский вокзал,維捷布斯克站
Остров Гукера,胡克島
Домодедовские авиалинии,多莫傑多沃航空
НК-93,庫兹涅佐夫 NK-93
Бологовский район,博洛戈夫斯基區
Евразия,欧亚运河
Малый Анюй,小阿努伊河
Кроноцкое озеро,克羅諾基湖
Сангилен,桑吉連高原
Заинское водохранилище,扎伊水庫
Булак,布拉克运河
Колымское нагорье,科雷馬山脈
Острова Мона,莫納群島
Каргат,卡爾加特河
Дёма,焦马河
Предкавказье,前高加索
Сколково,斯科爾科沃創新中心
Гимн России,俄羅斯國歌
Новый Городок,诺维镇
Заря,扎里亞海峽
Этерикан,埃捷里坎海峽
Сикора,西科拉島
Чеховский район,契诃夫区
Вологодское авиапредприятие,沃洛格達航空
Палана,帕拉納河
ЭП2К,EP2K型电力机车
ВЛ80,VL80型电力机车
медаль Пушкина,普希金獎章
Хава,哈瓦河
Кильдинское озеро,基利金斯科耶湖
Харп,哈尔普
Сайменский канал,塞馬運河
Некрополь у Кремлёвской стены,克里姆林宮紅場墓園
Алданский щит,阿爾丹地盾
Кваркенский район,克瓦爾肯斯基區
Росбанк,罗斯银行
Зилим,濟利姆河
Литературный институт,高尔基文学院
Опочецкий район,奧波切茨基區
Гоуэн,霍恩島
Телеуты,铁列乌特人
Одноклассники,Odnoklassniki
Остров Воллосовича,沃洛索維恰島
Кожва,科熱瓦河
Достоевская,陀思妥耶夫斯基站
Достоевская,陀思妥耶夫斯基站
Ярославский,雅罗斯拉夫斯基_(滨海边疆区)
Новое Донское кладбище,New Donskoy公墓
Донской монастырь,頓河修道院墓園
Онохой,奥诺霍伊
президентские выборы в России (2008),2008年俄罗斯总统选举
Кокора,科科羅湖
Минераловодский район,米涅拉洛沃德斯基區
74-я параллель северной широты,北纬74度线
Труновский район,特魯諾夫斯基區
Новоалександровский городской округ,新阿列克桑德羅夫斯基區
Тарский район,塔爾斯基區
Грамотеино,格拉莫捷伊诺
Семёновское озеро,謝苗諾夫斯科耶湖
Усолка,烏索爾卡河
Вуоснайоки,巴什考斯河
Витязь,维塔茨切科夫队
Эгвекинот,埃格韋基諾特
Донецкий кряж,頓涅茨克嶺
Шунет,舒涅特湖
Ашит,阿什特河
Якшур-Бодьинский район,亞克舒爾-博季因斯基區
Среднерусская возвышенность,中俄羅斯高地
Гжель,俄罗斯青花瓷
Яуза,亞烏扎河
Калининец,加利尼涅茨
Мулянка,穆爾揚卡河
Красноярская ГЭС,克拉斯諾亞爾斯克水壩
Кугарчинский район,庫加爾奇區
Изобильненский район,伊佐比利年斯基區
Шпаковский муниципальный округ,什帕科夫斯基區
Всероссийский государственный институт кинематографии имени С. А. Герасимова,電影攝影學院
Кемь,科恩河
Сюмсинский район,休姆辛斯基區
Дворцовая площадь,冬宫广场
Остров Жохова,若霍夫島
Саркел,薩克爾
75-я параллель северной широты,北纬75度线
65-я параллель северной широты,北緯65度線
81-я параллель северной широты,北緯81度線
Шошма,紹什馬河
Амшенцы,赫姆辛人
Молога,莫洛加河
Илишевский район,伊利舍夫斯基區
Кизнерский район,基茲涅爾斯基區
Чагода,恰戈達河
Малый Кундыш,小昆德什河
Государственный университет управления,国立管理大学
Свияга,斯維亞加河
Калининградский областной драматический театр,加里寧格勒區域劇院
Красное-на-Волге,伏尔加河畔克拉斯诺耶
49-я параллель северной широты,北緯49度線
Туркменский район,圖爾克緬斯基區
Нефтекумский городской округ,涅夫捷區
Грачёвский район,格拉喬夫斯基區
Курский район,庫爾斯基區
Будённовский район,布焦諾夫斯基區
Арзгирский район,阿爾茲吉爾斯基區
Правительство Российской Федерации,俄羅斯聯邦政府
Море волнуется раз,紅綠燈
Тордоки-Яни,托尔多基-亚尼山
70-я параллель северной широты,北纬70度线
76-я параллель северной широты,北纬76度线
Канал Грибоедова,格里博耶多夫运河
Международный аэропорт «Сочи»,索契國際機場
Псёл,普肖爾河
Охотская плита,鄂霍次克板块
Степновский район,斯捷普諾夫斯基區
Ипатовский муниципальный округ,伊帕托夫斯基區
Георгиевский городской округ,格奧爾吉耶夫斯基區
С-56,C-56潜水艇博物馆
Новоселицкий район,新謝利茨基區
Кочубеевский район,科丘別耶夫斯基區
Изборск,伊茲博斯克
Семилетка,谢米列特卡
гибель АПЛ «Курск»,庫爾斯克潛艇災難
Объединённая авиастроительная корпорация,聯合航空製造公司
Ермекеевский район,葉爾梅克耶沃區
Уфимский район,烏法區
Ишимбайский район,伊希姆拜区
Владивосток Авиа,海參崴航空
Селемджа,謝列姆賈河
РусЛайн,俄線航空
Шиашкотан,捨子古丹島
Высшая хоккейная лига,俄羅斯冰球超級聯賽
Маловишерский район,馬洛維舍爾斯基區
Чумикан,(俄占)丘米坎
Sonic Team,Sonic Team
Орлан,海鹰航天服
славянское неоязычество,罗德教
Кадь,卡季河
Авачинская бухта,阿瓦查湾
Кандалакшский залив,坎達拉克沙灣
Петергоф,彼得霍夫宮
Вулкан Келля,克爾火山
Ушковский,烏什科夫火山
ФК КАМАЗ,卡馬斯
Крымчаки,克里姆查克人
Лыпья,雷皮亞河
Лама,拉馬河
Динамо,莫斯科戴拿模籃球隊
Бульвар Рокоссовского,罗科索夫斯基林荫路站
Мста,姆斯塔河
Эвены,鄂溫人
Колыма (автодорога),R504公路
46-я параллель северной широты,北緯46度線
72-я параллель северной широты,北緯72度線
47-я параллель северной широты,北緯47度線
73-я параллель северной широты,北纬73度线
Красногвардейский район,克拉斯諾格瓦爾傑伊斯基區
Соловецкий монастырь,索羅維斯基修道院
Салават Юлаев,薩拉瓦特約拉夫隊
Селькупы,谢尔库普人
Ледник Карпинского,卡爾平斯基山
Хрустальный остров,水晶岛
Казанский собор на Красной площади,喀山大教堂
Государственный исторический музей,俄羅斯國家歷史博物館
45-я параллель северной широты,北緯45度線
71-я параллель северной широты,北緯71度線
48-я параллель северной широты,北緯48度線
Чемпионат мира по лёгкой атлетике в помещении 2006,2006年世界室內田徑錦標賽
международный дискуссионный клуб «Валдай»,瓦尔代国际俱乐部
Атран,阿特朗航空
Певческий мост,歌手桥
81-717/714,81-717/714型電聯車
Сумка,蘇姆卡河
Благодарненский городской округ,布拉戈達爾年斯基區
60-я параллель северной широты,北緯60度線
Предгорный район,普列德戈爾內區
80-я параллель северной широты,北緯80度線
Апанасенковский район,阿帕納先科夫斯基區
Левокумский район,列沃庫姆斯基區
Амзя,阿姆贾河
Можгинский район,莫日金斯基區
Роснефть,俄罗斯石油公司
Горнозаводск,戈爾諾扎沃茨克
Ярский район,亞爾斯基區
Усть-Майский улус,烏斯季馬亞區
Которосль,科托羅斯爾河
Псковское озеро,普斯科夫湖
стадион Спартак,斯巴達克球場
Чаваньга,恰萬加河
Толстые,托爾斯泰家族
Волочаевка-1,沃洛恰耶夫卡-1
Третье транспортное кольцо,莫斯科三環路
Петро-Славянка,彼得罗斯拉维扬卡
Волочаевка-2,第二沃洛恰耶夫卡
Кронштадтский район,喀琅施塔得区
Туношна,图诺什纳机场
Солнечное затмение 10 июня 2021 года,2021年6月10日日食
Вад,大巴德河
Шексна,舍克斯納河
Административно-территориальное деление Калужской области,卡卢加州行政区划
Cup of Russia,国际滑冰联盟花样滑冰大奖赛俄罗斯站
Тиманский кряж,季曼嶺
Духоборы,杜霍波爾
Ик,伊克河
Кейвы,克伊維高地
Лепона,列波納河
Джида,吉達河
Чамп,昌普島
Увинский район,烏溫斯基區
Каракулинский район,卡拉庫林斯基區
Шарканский район,沙爾坎斯基區
Жемчужина-Сочи,索治
Дубинино,杜比尼诺_(克拉斯诺亚尔斯克边疆区)
Дубна,杜布纳_(图拉州)
Фрунзенский район,伏龙芝区
Народная,纳罗达峰
Омолон,奧莫隆河
Калининский район,卡利寧斯基區
Металлострой,梅塔洛斯托雷
Белоостров,貝爾盧斯特羅維
Приморский район,普里莫爾西基區(聖彼得堡)
Знаменское,茲納緬斯科耶
Кола,科拉河
Ленинградский зоопарк,列寧格勒動物園
Фишт,菲什特奧林匹克體育場
Лефортовский тоннель,列福尔托沃隧道
католицизм в России,俄羅斯天主教
Динамо,迪納摩體育會
Динамо,巴爾瑙爾迪納摩足球會
Динамо,布良斯克戴拿模
Воскресенский район,沃斯克列先斯基區
Министерство обороны Российской Федерации,俄罗斯联邦国防部
Пушкиногорский район,普什基諾戈爾斯基區
Энцы,埃涅茨人
Удская губа,乌达湾
Крестецкий район,克列斯捷茨基區
Военный инженерно-технический университет,尼古拉耶夫工程學院
Юкагирское плоскогорье,尤卡吉爾高原
Зырянка,濟良卡河
Ожогина река,奧若吉納河
Площадь Александра Невского-1,亞歷山大·涅夫斯基廣場I站
Омня,奧姆尼亞河
«Норникель»,俄羅斯諾里爾斯克鎳公司
Сапсан,游隼号列车
ненецкий лесной язык,森林涅涅茨語
Суда,蘇達河
32-й саммит G8,第32届八国集团首脑会议
Новопесчанское,濱路公園站
Саратов-Центральный,薩拉托夫
Нидили,尼季利湖
30-й меридиан восточной долготы,东经30度线
Крымский троллейбус,克里米亚无轨电车
Карагинский,卡拉金斯克島
Наро-Фоминский городской округ,納羅-福明斯基區
Тузла,圖茲拉島
Михнево,米赫涅沃
Кильмезь,基利梅兹河
Виктория,維多利亞島
Булгария,保加利亚号
Российско-сербские отношения,俄羅斯－塞爾維亞關係
Дудыпта,杜德普塔河
Зенит,澤尼特喀山
Дулгалах,杜爾加拉赫河
Верхнеколымский улус,韋爾赫涅科雷姆斯基區
Красногорский район,克拉斯諾戈爾斯基區
Ульчский район,烏爾奇斯基區
Томпонский район,托姆蓬斯基區
Амур,R297公路
Ленинградский район,列寧格勒區
Ленинкент,列寧肯特
Аллах-Юнь,阿拉赫雲河
Куйто,奎托湖
Неглинная,涅格林納亞河
Стадион имени Эдуарда Стрельцова,艾威特球場
Золотая маска,黄金面具
Салда,薩爾達河
Танаис,塔納伊斯
Красная Горка,红戈尔卡
Дом Набокова,纳博科夫故居博物馆
Лямин,利亞明河
Беловский район,別洛夫斯基區
Брединский район,布列金斯基區
Быковский район,贝科沃区
Братский район,布拉茨克区
Бугурусланский район,布古魯斯桑斯基區
Чебулинский район,切布林斯基區
Динамо,斯塔夫羅波爾迪納摩足球會
Динамо,聖彼得堡迪納摩足球會
Пролив Санникова,桑尼科夫海峽
Северо-Осетинская АССР,北奧賽梯蘇維埃社會主義自治共和國
Пиуза,皮烏察河
кинематограф России,俄羅斯電影
Угловский район,烏格洛夫斯基區
Балашовский район,巴拉紹夫斯基區
Аткарский район,阿特卡爾斯基區
Баяндаевский район,巴彦代区
Балтайский район,巴爾泰斯基區
Беринговский район,別林戈夫斯基區
Буйский район,布伊斯基區
Кукмор,庫克莫爾
Европейский маршрут E123,欧洲E123公路
Летка,列特卡河
Чугуевский район,丘古耶夫斯基區
Луза,盧扎河
Летняя Универсиада 1973,1973年夏季世界大學運動會
Плахино,普拉希諾
Общевойсковая академия Вооружённых сил Российской Федерации,俄羅斯聯邦軍隊綜合軍事學院
Мицулёвка,中里站
Новгородский детинец,諾夫哥羅德克里姆林
Кунсткамера,人類民族博物館
Пролив Лужина,盧任海峽
Кумух,库姆赫
112,國際求救電話
Ферзиковский район,費爾濟科沃區
Долинский городской округ,多林斯基區
Галичский район,加利奇斯基區
Гусь-Хрустальный район,古西赫鲁斯塔利内区
Бондарский район,邦達爾斯基區
Зональный район,佐納利尼區
ДОСААФ,苏联国防与航空化学建设促进会
политическая система России,俄羅斯政治
Климово,克利莫沃_(布良斯克州)
Happy Science,幸福科學
Гавриловский район,加夫里洛夫斯基區
Грязовецкий район,格里亚佐韦茨区
Гагинский район,加金斯基區
Гороховецкий район,戈罗霍韦茨区
Чернышковский район,切尔内什科夫斯基区
Солтонский район,索爾通斯基區
Рубцовский район,魯布措夫斯基區
Волчихинский район,沃爾奇欣斯基區
Солонешенский район,索洛涅申斯基區
Топчихинский район,托普奇欣斯基區
заграничный паспорт гражданина Российской Федерации,俄羅斯護照
Красная стрела,紅箭號列車
Унья,烏尼亞河
Бутурлинский район,布圖爾林斯基區
Чаплыгинский район,恰普雷金斯基區
Черниговский район,切爾尼戈夫斯基區
Чернский район,切爾恩斯基區
Бузулукский район,布祖盧克斯基區
Юкаменский район,尤卡緬斯基區
Кунцевская,昆采沃站
Пролив Дмитрия Лаптева,德米特里·拉普捷夫海峽
Императорский спортивный клуб«Дина» Москва,莫斯科迪娜
Шилово,希洛沃
Комсомольская,共青團站
Прогресс,進步出版社
Людиновский район,柳季諾夫斯基區
Котовский район,科托沃区
Милославский район,米洛斯拉夫斯基區
Краснопартизанский район,克拉斯諾帕爾季贊斯基區
Хвалынский район,赫瓦倫斯基區
Лефортово,列福爾托沃區
Иловлинский район,伊洛夫利亚区
Осуга,奧蘇加河
Каменский район,卡緬斯基區
Мамонтовский район,馬蒙托夫斯基區
Завьяловский район,扎維亞洛夫斯基區
Золотая царицына палата,沙皇金殿
Благовещенский район,布拉戈韋先斯基區
Шелаболихинский район,舍拉博利欣斯基區
Федеральная служба охраны Российской Федерации,联邦警卫局
Шушенский бор,舒申斯基森林國家公園
Озерецкое,江之浦站
Чаваш Вармане,楚瓦什森林國家公園
Домбаровский район,多姆巴羅夫斯基區
Губкинский район,古布金斯基區
Еланский район,叶兰区
Эхирит-Булагатский район,埃希里特-布拉加特区
Черемховский район,切列姆霍沃区
Аллаиха,阿拉伊哈河
Ворона,沃羅納河
Тубалары,图巴拉尔人
Камешковский район,卡梅什科沃区
Чита,赤塔足球會
унитарное предприятие,單一制企業
Томпо,坦姆波河
Дарьяльское ущелье,達里奧爾峽谷
Оружейная палата,克里姆林宮軍械庫
Маймеча,邁梅恰河
Угольные Копи,乌戈利内耶科皮
Краснобаковский район,克拉斯諾巴科夫斯基區
Износковский район,伊茲諾斯科夫斯基區
Ковровский район,科夫罗夫区
Лысогорский район,雷索戈爾斯基區
Медынский район,梅登斯基區
Линде,林傑河
Чухломское озеро,丘赫洛馬湖
Левада-Центр,列瓦達中心
Башкирские авиалинии,巴什克利安航空
Миус,米烏斯河
Европейский маршрут E95,欧洲E95公路
Балахнинский район,巴拉赫欣斯基區
Инжавинский район,因扎溫斯基區
Еткульский район,葉特庫利斯基區
Духовницкий район,杜霍夫尼茨基區
Думиничский район,杜米尼奇斯基區
Кстовский район,克斯托夫斯基區
Кемеровский район,克梅羅夫斯基區
Ижморский район,伊日莫爾斯基區
Кологривский район,科洛格里夫斯基區
Моршанский район,莫爾尚斯基區
Алма-Атинская,阿拉木圖站
Ребрихинский район,列布里欣斯基區
Хлевенский район,赫列溫斯基區
Молчановский район,莫爾恰諾夫斯基區
Качугский район,卡丘格区
Кумылженский район,库梅尔任斯卡亚区
Лунинский район,盧寧斯基區
Малый Уран,小烏蘭河
42-я параллель северной широты,北緯42度線
Чемпионат мира по фигурному катанию 2005,2005 世錦賽
Ледовый дворец,切列波韋茨冰宮
