George Washington,조지 워싱턴
Eric Johnson (guitarist),에릭 존슨 (음악가)
William Rehnquist,윌리엄 렌퀴스트
Sierra McCormick,시에라 매코믹
Gina Hecht,지나 헤트
Chris Weitz,크리스 와이츠
Jocelyn Seagrave,조셀린 시그레이브
Dina Spybey,디나 스파이베이
Ellen Drew,엘렌 드류
Sam Shepard,샘 셰퍼드
Paul Tibbets,폴 티비츠
Jack Kirby,잭 커비
J. Christopher Stevens,크리스토퍼 스티븐스
Nella Walker,넬라 워커
Mona Freeman,모나 프리먼
Thomas Haden Church,토머스 헤이든 처치
Michael Rosenbaum,마이클 로젠바움
Maynard James Keenan,메이너드 제임스 키넌
Corey Harris,코리 해리스
Jenna Fischer,제나 피셔
Loretta Swit,로레타 스윗
Shirley Knight,셜리 나이트
Judith Light,주디스 라이트
Lindsay Crouse,린지 크로스
Carolyn Jones,캐럴린 존스
Eileen Brennan,아일린 브레넌
Frances Hodgson Burnett,프랜시스 호지슨 버넷
Laura Johnson,로라 존슨
Edith Wharton,이디스 워튼
Kim Smith (model),킴 스미스
William Randolph Hearst,윌리엄 랜돌프 허스트
Kelis,켈리스
Debi Mazar,데비 메이저
Esperanza Spalding,에스페란사 스폴딩
Georg von Békésy,게오르크 폰 베케시
Sasha Pieterse,사샤 피에터스
John Searle,존 설
Tony Hawk,토니 호크
Kristen Dalton (actress),크리스틴 돌턴 (배우)
Jane Elliot,제인 엘리어트
Amy Wright,에이미 라이트
June Travis,준 트래비스
Lawrence Kohlberg,로런스 콜버그
Penn Badgley,펜 배질리
James Patterson,제임스 패터슨
Tom Petty,톰 페티
Chris Demetral,크리스 드미트럴
Jason Alexander,제이슨 알렉산더
Chris Farley,크리스 팔리
Kirsten Vangsness,커스틴 뱅스니스
Randy Crawford,랜디 크로퍼드
Franklin D. Roosevelt Jr.,프랭클린 델라노 루스벨트 주니어
Shae D'lyn,쉐 드린
Florence Foster Jenkins,플로렌스 포스터 젱킨스
Jerry Lewis,제리 루이스
James Randi,제임스 랜디
Art Blakey,아트 블래키
Marco Rubio,마코 루비오
Billy Higgins,빌리 히긴스
Donnie Yen,견자단
Adlai Stevenson II,애들레이 스티븐슨
Allen Johnson,앨런 존슨
Joakim Noah,조아킴 노아
Dennis Lehane,데니스 러헤인
Robert Lorenz,로버트 로렌츠
Luke Halpin,루크 핼핀
Uffie,어피
St. Vincent (musician),세인트 빈센트 (음악가)
Carrie Preston,캐리 프레스턴
Lindsey Shaw,린지 쇼
Lio Tipton,리오 팁턴
Kelsey Asbille,켈시 차우
Roman Reigns,로먼 레인스
Mariska Hargitay,머리슈커 하기테이
Marisol Nichols,메리솔 니컬스
Rudolph A. Marcus,루돌프 마커스
Yma Sumac,이마 수맥
Cherry Jones,체리 존스
Reiko Aylesworth,레이코 에일스워스
Natashia Williams,너태시아 윌리엄스
Linda Emond,린다 에먼드
Mindy Cohn,민디 콘
Marjorie Lord,마저리 로드
Peter Stormare,피터 스토메어
Corey Taylor,코리 테일러
Joe Mantegna,조 만테냐
Mr. T,미스터 T (배우)
Patrick Henry,패트릭 헨리
Robert Kirkman,로버트 커크먼
William Petersen,윌리엄 피터슨
Martin Landau,마틴 랜다우
Bradley Stryker,브래들리 스트라이커
Edi Gathegi,에디 가세기
Mac Miller,맥 밀러
Strom Thurmond,스트롬 서먼드
Andrei Kirilenko,안드레이 키릴렌코
Matthew Morrison,매슈 모리슨
Napoleon Hill,나폴리언 힐
Michael Lewis,마이클 루이스
Richie Sambora,리치 샘보라
Joel Schumacher,조엘 슈매커
Conrad Hilton,콘래드 힐튼
Thomas Midgley Jr.,토머스 미즐리
Drew McIntyre,드루 매킨타이어
Robby Krieger,로비 크리거
Grant Hill,그랜트 힐
Douglas Barr,더글라스 바
Cameron Finley,캐머런 핀리
Desi Arnaz Jr.,데지 아너즈 주니어
Mary Kay Place,메리 케이 플레이스
Mary Mallon,메리 맬런
Sônia Braga,소냐 브라가
Frances Xavier Cabrini,프란치스카 사베리아 카브리니
Sacagawea,새커거위아
Kimberly Derrick,킴벌리 데릭
Susan Anspach,수잔 앤스패치
Taina Elg,타이나 엘그
Allen Klein,앨런 클라인
Shawn Marion,숀 매리언
Prescott Bush,프레스콧 부시
Donald Davidson (philosopher),도널드 데이비드슨
Josh Peck,조시 펙
Bill Richardson,빌 리처드슨
Steve Fossett,스티브 포셋
Ben Foster (actor),벤 포스터 (배우)
Bruce Kulick,브루스 큘릭
Tyler Posey,타일러 포시
Jean Smart,진 스마트
Annie Wersching,애니 워싱
Michelle Forbes,미셸 포브스
Jim Varney,짐 바니
Johnny Knoxville,조니 녹스빌
Aaron Spelling,에런 스펠링
Jason Priestley,제이슨 프리스틀리
Gillian Flynn,길리언 플린
Hayley Kiyoko,헤일리 기요코
Betsy Russell,베치 러셀
Molly Shannon,몰리 섀넌
Kaylee DeFer,케일리 디퍼
Anne Sullivan,앤 설리번
Moon Bloodgood,문 블러드굿
H. Jon Benjamin,H. 존 벤저민
Laeta Kalogridis,레이타 캘로그리디스
Michael Emerson,마이클 에머슨
Charles Rocket,찰스 라킷
John Leguizamo,존 레귀자모
Mike Epps,마이크 엡스
Metta Sandiford-Artest,메타 샌디포드아테스트
Maria Mitchell,마리아 미첼
Rob Paulsen,롭 폴슨
Wayne Knight,웨인 나이트
Warner Baxter,워너 백스터
Gore Verbinski,고어 버빈스키
Bobby Jindal,보비 진덜
Lance Henriksen,랜스 헨릭슨
Gary Busey,게리 부시
Roger Zelazny,로저 젤라즈니
Richard Matheson,리처드 매드슨
Chris McCandless,크리스토퍼 매캔들리스
Isaac Singer,아이작 메릿 싱어
Doris Kenyon,도리스 케년
Jacqueline Kim,재클린 김
Joel McHale,조엘 맥헤일
Billy Burke (actor),빌리 버크 (남자 배우)
Clyde Drexler,클라이드 드렉슬러
Ben Wallace (basketball),벤 월리스
Agnes Bruckner,애그니스 브루크너
Scout Taylor-Compton,스카우트 테일러콤프턴
José Ferrer,호세 페레르
Melvyn Douglas,멜빈 더글러스
Steve Tracy,스티브 트레이시
Phil Mickelson,필 미컬슨
Judd Apatow,저드 애퍼타우
Robert Palmer,로버트 파머
Howard Keel,하워드 킬
Ivanka Trump,이방카 트럼프
Shane West,셰인 웨스트
Tayshaun Prince,테이션 프린스
Harold Washington,해럴드 워싱턴
Paul Stanley,폴 스탠리
Timothy Dwight IV,티모시 드와이트
Martin Balsam,마틴 발삼
Adam Baldwin,애덤 볼드윈
Raphael Sbarge,래피얼 스바지
Daniel Wu,오언조
Joseph Campbell,조지프 캠벨
Darren Criss,대런 크리스
Leslie Bibb,레슬리 비브
Eve (rapper),이브 (가수)
Alexander Markovich Polyakov,알렉산드르 마르코비치 폴랴코프
Jerry Hall,제리 홀
Topher Grace,토퍼 그레이스
Kurt Paul,커트 폴
Gerald McRaney,제럴드 맥레이니
Clara Blandick,클래라 블랜딕
Sara Haden,세라 헤이든
David H. Hubel,데이비드 H. 허블
Two-Face,투페이스
Lionel Barrymore,라이어널 배리모어
H. Robert Horvitz,하워드 로버트 호비츠
Robert F. Engle,로버트 엥글
Hugo Gernsback,휴고 건스백
Bow Wow (rapper),바우 와우 (래퍼)
Vesto M. Slipher,베스토 슬라이퍼
Andy Griffith,앤디 그리피스
Grigory Margulis,그리고리 마르굴리스
Clint Hill (Secret Service),클린트 힐 (경호원)
Betty Blythe,베티 블라이스
Matt Winston,맷 윈스톤
Tom Villard,톰 빌라드
Valerie Harper,밸러리 하퍼
Hope Lange,호프 랭
Julia Jones,줄리아 존스
Ken Leung,켄 렁
Bianca Lawson,비앙카 로슨
Penny Johnson Jerald,페니 존슨 제럴드
Paul Rudd,폴 러드
Robert Byrd,로버트 버드
Catfish Hunter,캣피쉬 헌터
Mikhail Baryshnikov,미하일 바리시니코프
Frank Darabont,프랭크 다라본트
A. Edward Sutherland,A. 에드워드 서덜랜드
David Scott,데이비드 스콧
Michael Stuart Brown,마이클 스튜어트 브라운
Harold E. Varmus,해럴드 엘리엇 바머스
Christopher Judge,크리스토퍼 저지
Tom Araya,톰 아라야
Dave Lombardo,데이브 롬바르도
Daniel Nathans,다니엘 네이선스
Vernon L. Smith,버넌 스미스
A. J. Jacobs,A. J. 제이콥스
George Wald,조지 월드
Johnny Galecki,조니 갈레키
Jeremy Davies,제러미 데이비스
Joey Ramone,조이 라몬
Thurgood Marshall,서굿 마셜
William H. Riker,윌리엄 H. 라이커
Rube Waddell,루브 워델
Murray Perahia,머리 퍼라이아
Barry Seal,배리 실
Jake T. Austin,제이크 T. 오스틴
Michael Bolton,마이클 볼튼
Scott McKenzie,스콧 매켄지
Van Dyke Parks,반 다이크 파크스
Chazz Palminteri,채즈 팰민테리
Captain Beefheart,캡틴 비프하트
George Ellery Hale,조지 엘러리 헤일
Randy Rhoads,랜디 로즈
Gale Robbins,게일 로빈스
William Vickrey,윌리엄 비크리
George Davis Snell,조지 데이비스 스넬
Arthur Kornberg,아서 콘버그
Ruth Hussey,루스 허시
Matt Sydal,맷 사이달
Norman Bel Geddes,노먼 벨 게디스
Marianne Moore,메리앤 무어
A. J. Pierzynski,A. J. 피어진스키
Larry Romano,래리 로마노
Art Spiegelman,아트 슈피겔만
Earl Averill,얼 에이버릴
Five for Fighting,파이브 포 파이팅
Robert J. Shiller,로버트 J. 실러
Scott Feldman,스콧 펠드먼
Mitch Pileggi,미치 필레기
Joey Jordison,조이 조디슨
Richard Chamberlain,리처드 체임벌린
Robert Elswit,로버트 엘스윗
Craig Wasson,크레그 워슨
George Gaynes,조지 게인스
Michael Zaslow,마이클 자슬로우
Lawrence Klein,로런스 클라인
Kenny G,케니 지
Diane Delano,다이앤 델라노
Taylor Hawkins,테일러 호킨스
Rodney King,로드니 킹
Rosanna DeSoto,로잔나 드소토
Stuart Holden,스튜어트 홀든
John Dos Passos,존 더스 패서스
Fiorello La Guardia,피오렐로 라과디아
Andy Milonakis,앤디 밀로나키스
John Fogerty,존 포거티
Daniel McFadden,대니얼 맥패든
Frederik Pohl,프레더릭 폴
Bill Nunn,빌 넌
Sasha Mitchell,사샤 미첼
John Romero,존 로메로
Dawn Olivieri,돈 올리비에리
Geena Davis,지나 데이비스
Eduardo Saverin,에드와도 새버린
Chuck Jones,척 존스
Leon Ames,리언 에임스
Bud Powell,버드 파월
John Holmes (actor),존 홈스 (포르노 배우)
Leland H. Hartwell,릴런드 H. 하트웰
John Philip Sousa,존 필립 수자
MC Hammer,MC 해머
Jon Favreau,존 패브로
Ioan Gruffudd,요안 그리피드
Sam Cooke,샘 쿡
Drew Fuller,드루 풀러
Edgar Mitchell,에드거 미첼
LeVar Burton,레바 버턴
James Heckman,제임스 헤크먼
Edward C. Prescott,에드워드 프레스콧
Matt Lanter,맷 랜터
Jeff Bezos,제프 베이조스
Jack Vance,잭 밴스
Claire Windsor,클레어 윈저
Walter Alston,월터 올스턴
Lou Boudreau,루 부드로
Courtney Henggeler,코트니 헹겔러
James Sloyan,제임스 슬로이언
Robert Woolsey,로버트 울시
Mark Pellegrino,마크 펠레그리노
Peter Segal,피터 시걸
Kevin J. Anderson,케빈 J. 앤더슨
Sam Thompson,샘 톰프슨
Wilbert Robinson,윌버트 로빈슨
Erik Per Sullivan,에릭 퍼 설리번
Art Metrano,아트 메트라노
Terence Tao,테런스 타오
George Herbert Mead,조지 허버트 미드
Ferid Murad,페리드 머래드
Randolph Scott,랜돌프 스콧
Eric Holder,에릭 홀더
Lon Chaney,론 채니
Jason Terry,제이슨 테리
Lloyd Nolan,로이드 놀런
Paul Kantner,폴 캔트너
Neil Sedaka,닐 세다카
Irving Fisher,어빙 피셔
Charlie Kaufman,찰리 코프먼
George Pólya,포여 죄르지
Ben Gazzara,벤 가자라
John Cazale,존 커제일
Bob Woodward,밥 우드워드
Imran Khan (film actor),임란 칸 (배우)
Luke Appling,루크 애플링
Crane Brinton,크레인 브린톤
Synyster Gates,시니스터 게이츠
Jeezy,영 지지
George Reeves,조지 리브스
John Boles (actor),존 볼즈
Paul Revere,폴 리비어
Daniel Davis,대니얼 데이비스
Creighton Abrams,크레이턴 에이브럼스
Glen Gray,글렌 그레이
Elizabeth Hubbard,엘리자베스 허버드
Nathan Fillion,네이선 필리언
Jeff Conaway,제프 코너웨이
Adam Arkin,애덤 아킨
Michael Rapaport,마이클 래퍼포트
John Myung,존 명
Kevin Nash,케빈 내쉬
Faye Emerson,페이 에머슨
Philip Zimbardo,필립 짐바르도
Alfred Molina,앨프리드 몰리나
Leslie Orgel,레슬리 오겔
Jermaine Jones,저메인 존스
Eli Whitney,일라이 휘트니
Sam Harris,샘 해리스
Alex Haley,알렉스 헤일리
Aki Aleong,아키 알레옹
Walter Sydney Adams,월터 시드니 애덤스
Frank Marshall (chess player),프랭크 마셜 (체스 선수)
Jay Cutler (bodybuilder),제이 커틀러 (보디빌더)
William L. Shirer,윌리엄 L. 샤이러
Pat Boone,팻 분
David Greenglass,데이비드 그린글래스
Robert Audi,로버트 아우디
Bobby Rydell,보비 라이델
Thom Mayne,톰 메인
Daniel Inouye,대니얼 이노우에
Kevin McCarthy (actor),케빈 매카시 (배우)
Ace Hood,에이스 후드
John Francis Daley,존 프랜시스 데일리
Jeffrey Dean Morgan,제프리 딘 모건
George David Birkhoff,조지 데이비드 버코프
Robert K. Merton,로버트 K. 머턴
C. Wright Mills,찰스 라이트 밀스
Sterling Knight,스털링 나이트
Frankie Laine,프랭키 레인
Gene Autry,진 오트리
Jon Lovitz,존 로비츠
Rob Lowe,롭 로
Snitz Edwards,스니츠 에드워즈
Vinton Hayworth,빈턴 하워스
Paul Rodriguez (actor),폴 로드리게즈
Hoyt Wilhelm,호이트 윌헬름
Eddie Murray,에디 머레이
Blake Clark,블레이크 클라크
Daredevil (Marvel Comics character),데어데블
John McGiver,존 맥기버
John Lehman,존 레먼
Hugh McDonald (American musician),휴 맥도널드
Jeffrey Wright,제프리 라이트
Rivers Cuomo,리버스 쿼모
"Boris Gurevich (wrestler, born 1937)",보리스 구레비치 (1937년)
John Cho,존 조
Maurice Greene (sprinter),모리스 그린 (육상 선수)
David Morse,데이비드 모스
Bobbi Brown,보비 브라운 (분장사)
Fabian Forte,페이비언 포트
Eduard Franz,에두어드 프란즈
Harry Nilsson,해리 닐슨
Robert Zoellick,로버트 졸릭
Robert Penn Warren,로버트 펜 워런
Red Cloud,마흐피야 루타
Lamar Odom,라마 오덤
Alfred G. Gilman,알프레드 G. 길먼
Joshua Bell,조슈아 벨
Terrence Howard,테런스 하워드
Will Boyd (musician),윌 보이드
Harlow Shapley,할로 섀플리
James Marsters,제임스 마스터스
John Carradine,존 캐러딘
Stephen Lang,스티븐 랭
Frank Zagarino,프랑크 자가리노
Giorgi Latso,기오르기 라사비제
Wallace Roney,월러스 로니
Chris Klein (actor),크리스 클라인
Oliver Platt,올리버 플랫
Jeff Dunham,제프 더넘
Vladimir K. Zworykin,블라디미르 K. 즈보리킨
Jason Robards,제이슨 로버즈
Frank Welker,프랭크 웰커
Alvin Kraenzlein,앨빈 크렌즐린
Neal Stephenson,닐 스티븐슨
Carl Van Vechten,칼 반 베흐텐
Jerry Garcia,제리 가르시아
Adam Goldberg,애덤 골드버그
Michael McDonald (musician),마이클 맥도널드 (음악가)
Boom Gaspar,붐 개스퍼
John Glover (actor),존 글러버
Samuel J. Tilden,새뮤얼 J. 틸던
Ralph Lauren,랠프 로런
Cyrus Vance,사이러스 밴스
Lee Iacocca,리 아이아코카
Mark Harmon,마크 하먼
Tony Bennett,토니 베넷
Tommy Thayer,토미 세이어
DaMarcus Beasley,다마커스 비즐리
Jonathan Togo,조너선 토고
Robert Sterling,로버트 스털링
Brian Wilson,브라이언 윌슨
Joe Pantoliano,조 판톨리아노
George Washington Carver,조지 워싱턴 카버
David McCallum,데이비드 매컬럼
Phillip Allen Sharp,필립 앨런 샤프
Bruce Sterling,브루스 스털링
Chris Isaak,크리스 아이작
Luke Macfarlane,루크 맥팔레인
Curt Hennig,커트 헤니그
Kim Peek,킴 픽
Barry Gibb,배리 깁
Bernard Herrmann,버나드 허먼
Dickinson W. Richards,디킨슨 W. 리처즈
John Franklin Enders,존 프랭클린 엔더스
Veronica Roth,베로니카 로스
Damon Dash,데이먼 대시
Jennifer Darling,제니퍼 다링
John Pasquin,존 파스킨
Garfield Akers,가필드 에이커스
Bernie Hamilton,버니 해밀턴
Rob Morrow,롭 모로
John Hinckley Jr.,존 힝클리 주니어
Jake Hager,잭 스웨거
Soulja Boy,솔자 보이
Eddie Albert,에디 알버트
Richard Jenkins,리처드 젱킨스
Jordan Farmar,조던 파머
Henry Winkler,헨리 윙클러
Eugene Ormandy,유진 오르만디
Peter Onorati,피터 오노라티
John Paul Getty Jr.,존 폴 게티 주니어
Shiing-Shen Chern,천싱선
Anita Garvin,애니타 가빈
Neville Lancelot Goddard,네빌 고다드
Jason Starr,제이슨 스타
Trent Reznor,트렌트 레즈너
David Anders,데이비드 앤더스
Patrick Warburton,패트릭 워버턴
Paul Dano,폴 다노
Gig Young,기그 영
Adam Yauch,아담 요크
Paul Winfield,폴 윈필드
John Mahoney,존 머호니
Jack Albertson,잭 앨버트슨
Nina Li Chi,니나 리
Veronica Cartwright,베로니카 카트라이트
Michel Legrand,미셸 르그랑
Arnold Vosloo,아널드 보슬루
Skai Jackson,스카이 잭슨
Redman (rapper),레드맨 (래퍼)
John G. Thompson,존 그리그스 톰프슨
Obie Trice,오비 트라이스
Doyle Brunson,도일 브런슨
Babyface (musician),베이비페이스 (음악가)
Ted DiBiase,테드 디비아시
Mickey Mantle,미키 맨틀
Roy Romer,로이 로머
George Tsebelis,조지 체벨리스
Kevin Young (hurdler),케빈 영 (육상 선수)
Sam Firstenberg,샘 퍼스턴버그
Kerry King,케리 킹
Bam Margera,밤 마제라
Ken Anderson (wrestler),켄 앤더슨
Kevin Love,케빈 러브
William H. Seward,윌리엄 H. 수어드
Jon Hamm,존 햄
James Lafferty,제임스 래퍼티
Dan Simmons,댄 시먼스
Matthew Shepard,매튜 셰퍼드
Jeff Koons,제프 쿤스
Marc Jacobs,마크 제이콥스
Chief Bender,치프 벤더
David Foster Wallace,데이비드 포스터 월리스
John Herzfeld,존 허즈펠드
Henry Wilson,헨리 윌슨
Jim Yong Kim,김용 (1959년)
Lou Ferrigno,루 퍼리그노
Angus T. Jones,앵거스 T. 존스
Seamus Davey-Fitzpatrick,셰이머스 데이비피츠패트릭
Andrew Stanton,앤드루 스탠턴
Diora Baird,디오라 베어드
Kitty Kelly,키티 켈리
Wade Dominguez,웨이드 도밍게스
Ed Helms,에드 헬름스
George Burns,조지 번스
Fritz Leiber,프리츠 라이버
Archie Hahn,아치 한
Red Buttons,레드 버턴스
Michael Connelly,마이클 코넬리
Kieran Culkin,키런 컬킨
Dean Stockwell,딘 스톡웰
Evel Knievel,에빌 나이벨
Burgess Meredith,버지스 메러디스
George Meade,조지 미드
Jack Johnson (musician),잭 존슨 (음악가)
David Henrie,데이비드 헨리
James Spader,제임스 스페이더
Tyson Chandler,타이슨 챈들러
Joe DiMaggio,조 디마지오
Murray Rothbard,머리 로스바드
Chace Crawford,체이스 크로퍼드
Chris Hardwick,크리스 하드윅
Bob Kane,밥 케인
John Krasinski,존 크러진스키
James Whitmore,제임스 위트모어
Steven Brill (filmmaker),스티븐 브릴
Nate Mendel,네이트 멘델
Harry Shearer,해리 시어러
Patrik Eliáš,파트리크 엘리아시
Anita Page,어니타 페이지
Nancy Allen (actress),낸시 앨런
Rhonda Fleming,론다 플레밍
Marshall Allman,마셜 올먼
Omar Epps,오마 엡스
Marty Friedman,마티 프리드먼
Alvin Toffler,앨빈 토플러
Kate Smith,케이트 스미스
Karyn Parsons,케린 파슨스
Lola Glaudini,롤라 글로디니
Lee Strasberg,리 스트래스버그
Fred Thompson,프레드 톰프슨
Robert R. Livingston,로버트 리빙스턴
Chris Miller (animator),크리스 밀러
Herb Alpert,허브 앨퍼트
Adam Savage,애덤 새비지
Tom Morello,톰 모렐로
Don King,돈 킹
Bob Fosse,밥 포시
Charles Evans Hughes,찰스 에번스 휴스
Williamina Fleming,윌리어미나 플레밍
A. J. Langer,A. J. 랭거
Arthur F. Burns,아서 F. 번스
John DiMaggio,존 디마지오
Dean Rusk,딘 러스크
Al Green,알 그린
Jerome Kern,제롬 컨
Jackie Coogan,재키 쿠건
Sean Parker,숀 파커
Joey Zimmerman,조이 짐머맨
Charles Cullen,찰스 컬런
Matthew Davis,매슈 데이비스
Bill Hybels,빌 하이벨스
Elijah Muhammad,일라이저 무하마드
Jerry Lawler,제리 롤러
Harold Bloom,해럴드 블룸
Roger B. Chaffee,로저 B. 채피
Wingy Manone,윈지 메이논
William Prince (actor),윌리엄 프린스
John Hodgman,존 호지먼
Victor McLaglen,빅터 매클래글렌
Freddy Krueger,프레디 크루거
Erich Wolfgang Korngold,에리히 볼프강 코른골트
Emmanuelle Chriqui,이매뉴엘 슈리키
Joss Whedon,조스 휘던
Joe Perry (musician),조 페리 (음악가)
Thomas Harris,토머스 해리스
Jonah Hill,조나 힐
Jason Lezak,제이슨 리잭
Tom Brady,톰 브레이디
Charles Fefferman,찰스 페퍼먼
John Elkann,존 엘칸
Christy Turlington,크리스티 털링턴
Carol Gilligan,캐럴 길리건
Rick Ross,릭 로스
Sammy Davis Jr.,새미 데이비스 주니어
James Irwin,제임스 어윈
Ray Harryhausen,레이 해리하우젠
Brian Austin Green,브라이언 오스틴 그린
Afërdita Dreshaj,아퍼르디타 드레샤이
Christy Walton,크리스티 월턴
Sondra Locke,손드라 로크
Chris Penn,크리스 펜
Steven Hassan,스티브 하산
Burton Holmes,일라이어스 버튼 홈스
Julian Schnabel,줄리언 슈나벨
John Mellencamp,존 멜런캠프
Calvin Smith,캘빈 스미스
Tom Mix,톰 믹스
King Oliver,킹 올리버
Gary Coleman,게리 콜먼
Yum-Tong Siu,시우얌통
Whit Bissell,윗 비셀
Scotty Beckett,스코티 베킷
Mickey Baker,미키 베이커
Arielle Dombasle,애리엘 돔바슬
Renée Adorée,레네이 애도레이
Jason Bateman,제이슨 베이트먼
Daniel Kan,다니얼 칸
Willow Smith,윌로 스미스
Dan Brouthers,댄 브루서스
Rob Zombie,롭 좀비
Samuel Wilson,새뮤얼 윌슨
Héctor Elizondo,엑토르 엘리손도
George Shultz,조지 프랫 슐츠
Brad Dourif,브래드 도리프
Apolo Ohno,아폴로 앤턴 오노
Lewis H. Morgan,루이스 모건
Charles Taze Russell,찰스 테이즈 러셀
Liviu Librescu,리비우 리브레스쿠
James Van Der Beek,제임스 밴더비크
AJ McLean,AJ 매클레인
Ray Kurzweil,레이 커즈와일
Umaga (wrestler),에디 파투
Benedict Arnold,베네딕트 아널드
Kathy Reichs,캐시 라이크스
Greyson Chance,그레이슨 찬스
Evander Holyfield,이밴더 홀리필드
John Wayne Gacy,존 웨인 게이시
Ross Martin,로스 마틴
Barbara Billingsley,바바라 빌링슬리
Sam Waterston,샘 워터스턴
Kimberly Kane,킴벌리 케인
Randall Munroe,랜들 먼로
Michael Chabon,마이클 셰이본
Steven R. McQueen,스티븐 R. 매퀸
Donnie Wahlberg,도니 월버그
Dikembe Mutombo,디켐베 무톰보
Charles Durning,찰스 더닝
Craig T. Nelson,크레이그 T. 넬슨
M. Stanley Whittingham,스탠리 휘팅엄
Jeffrey Dahmer,제프리 다머
Liev Schreiber,리에브 슈라이버
Garrett Hedlund,개릿 헤들런드
Anna Easteden,안나 이스테덴
Rahm Emanuel,람 이매뉴얼
Chelsea Manning,첼시 매닝
E. E. Cummings,E. E. 커밍스
Method Man,메소드 맨
Martin Short,마틴 쇼트
Burt Young,버트 영
Michael Jeter,마이클 지터
Abraham Benrubi,아브라함 벤루비
Louis Gossett Jr.,루이스 고셋 주니어
Nat Turner,냇 터너
Alan Ladd,앨런 래드
Daniel Hugh Kelly,대니얼 휴 켈리
Harrison Page,해리슨 페이지
Ashley Argota,애슐리 아고타
Michael Landon,마이클 랜던
J. D. Souther,J. D. 사우더
Nathan Adrian,네이선 에이드리언
Billy Bitzer,빌리 비처
Richard Lester,리처드 레스터
Joseph Stilwell,조지프 스틸웰
Howie Dorough,하위 더러
Bill Withers,빌 위더스
Jonathan Frakes,조너선 프레이크스
Jerry Cantrell,제리 캔트렐
Jeff Gordon,제프 고든
Vidal Sassoon,비달 사순
Isiah Thomas,아이제이아 토머스
Deron Williams,데런 윌리엄스
Stephen Covey,스티븐 커비
James Rado,제임스 라도
Nick Searcy,닉 서시
Greg Oden,그렉 오든
Meriwether Lewis,메리웨더 루이스
Michael Redd,마이클 레드
Mickey Jones,믹키 존스
Jeffrey Goldstone,제프리 골드스톤
Ian Wolfe,이언 울프
Benjamin West,벤저민 웨스트
Marisa Berenson,머리사 베런슨
Eric Bischoff,에릭 비쇼프
Maggie Lawson,매기 로슨
Mary Martin,메리 마틴
Estée Lauder (businesswoman),에스티 로더 (기업인)
Anna Anderson,애나 앤더슨
Margaret Sanger,마거릿 생어
William R. King,윌리엄 R. 킹
Jack Dempsey,잭 뎀시
Jessica Collins,제시카 콜린스
Tia Carrere,티아 카레레
Hurd Hatfield,허드 햇필드
Joel Polis,조엘 폴리스
Ed Blackwell,에드 블랙웰
Matthew Gray Gubler,매슈 그레이 구블러
Dizzy Reed,디지 리드
Brian Dennehy,브라이언 데너히
William Baldwin,윌리엄 볼드윈
Carlos Bernard,카를로스 버나드
Casper Van Dien,캐스퍼 밴딘
Robert Picardo,로버트 피카도
Fredric Jameson,프레드릭 제임슨
Asa Gray,아사 그레이
Tommy Dorsey,토미 도시
Alan Silvestri,앨런 실베스트리
Joe Flanigan,조 플래니건
Richard Hamilton (basketball),리처드 해밀턴 (농구 선수)
Peter Jacobson,피터 제이컵슨
Eddie Quillan,에디 퀼런
Brad Harris,브래드 해리스
Sidney Bechet,시드니 베셰이
Jean Negulesco,진 네글레스코
Yvonne Zima,이본느 지마
Alfred Bester,앨프리드 베스터
Oneohtrix Point Never,원오트릭스 포인트 네버
John Cassaday,존 캐서데이
Yvonne De Carlo,이본 디 카를로
Eric Mabius,에릭 매비어스
Michael Chiklis,마이클 치클리스
Kevin Sorbo,케빈 소보
Dean Cain,딘 케인
Neil Peart,닐 피어트
Matt Dallas,맷 댈러스
Cody Linley,코디 린리
Dick Dale,딕 데일
Peter Buck,피터 벅
Kenny Clarke,케니 클라크
Bart Freundlich,바트 프레인들릭
Lewis Milestone,루이스 마일스톤
Dan Vadis,댄 바디스
Francis Peyton Rous,프랜시스 페이턴 라우스
Common (rapper),코먼 (래퍼)
William Westmoreland,윌리엄 웨스트모얼랜드
John Zorn,존 존
Jim Hines,짐 하인스
Dee Dee Ramone,디 디 라몬
Madeleine Peyroux,매들린 페이루
Judge Reinhold,저지 라인홀드
Jon Jones,존 존스
Justin Long,저스틴 롱
Lloyd Banks,로이드 뱅크스
Ross Perot,로스 페로
Joseph P. Kennedy Sr.,조지프 P. 케네디
Saul Kripke,솔 크립키
Djimon Hounsou,자이먼 운수
Dr. Seuss,닥터 수스
Charles McGraw,찰스 맥그로우
David Andrews (actor),데이비드 앤드루스 (배우)
Jay C. Flippen,제이 C. 플리펜
Abraham Zapruder,에이브러햄 저프루더
Max Perlich,맥스 펄리치
Lionel Hampton,라이어널 햄프턴
Rip Torn,립 톤
Wes Montgomery,웨스 몽고메리
David Spade,데이비드 스페이드
Pat Morita,팻 모리타
George Kennedy,조지 케네디
Warren E. Burger,워런 E. 버거
Freddie Hubbard,프레디 허버드
Alexander Payne,알렉산더 페인
Vanilla Ice,바닐라 아이스
Sequoyah,시쿼야
William James Sidis,윌리엄 제임스 사이디스
J. E. B. Stuart,젭 스튜어트
Billy Crudup,빌리 크루덥
Ron McGovney,론 맥거브니
Edward Weston,에드워드 웨스턴
Abraham Robinson,에이브러햄 로빈슨
Joe Hill (activist),조 힐
