Douglas Adams,道格拉斯·亚当斯
R. H. Bruce Lockhart,罗伯特·布鲁斯·洛克哈特
"Malcolm Shepherd, 2nd Baron Shepherd",石寶德
"David Watson (footballer, born 1973)",大衛·華特森
Max Woosnam,马克斯·伍斯纳姆
Marcus Chown,马库斯·乔恩
William Seagrove,威廉·西格罗夫
Alex Partridge,亚历克斯·帕特里奇
Two-Gun Cohen,莫里斯·科恩
Ralph Miliband,拉尔夫·米利班德
Prince Alfred of Great Britain,大不列顛的阿爾弗雷德王子
Ross Fisher,羅斯·費舍
Richard Bartle,理查德·巴特爾
Stephen Conroy,斯蒂芬·康洛伊
Richard Turnbull (colonial administrator),理查德·特恩布尔
Richard Grunberger,理查德·格伦伯格
Kingsley Wood,金斯利·伍德
Tim Brabants,蒂姆·布拉班茨
Guy Sigsworth,盖伊·西格斯沃思
Steve Toussaint,史提夫·陶森特
"Herbert Gladstone, 1st Viscount Gladstone",赫伯特·格莱斯顿
Violet Elton,維爾蕾特·艾爾頓
Gideon Fell,基甸·菲爾博士
Etienne Stott,艾蒂安·斯托特
Albert Harbot,阿爾伯特·哈伯特
Samantha Cameron,謝曼芙
Darren Pratley,达伦·普拉特利
Heather Stanning,希瑟·斯坦宁
Helen Glover,海伦·格洛弗
Albert Prebble,阿爾伯特·普瑞伯
Richard Hynes,理查·海因斯
Arnold Wolfendale,阿诺德·沃尔芬代尔
"Andrew Hughes (footballer, born 1978)",安德魯·曉士
Tony Capaldi,東尼·卡柏迪
David Prutton,大衛·普頓
Martin Handford,馬丁·韓福特
Paul Palmer (swimmer),保罗·帕尔默
Gerald Templer,傑拉德·鄧普勒
Matthew Southgate,馬修·索斯蓋特
Matt Phillips,馬菲·菲臘斯
Darren Ambrose,达伦·安布罗斯
Robert Hendy-Freegard,羅伯特·亨迪-弗里加德
John Sawers,約翰·索爾斯
Jeremy Wade,傑洛米·韋德
Nick Dempsey,尼克·鄧普西
Jennie Fletcher,珍妮·弗莱彻
Bertie Felstead,伯蒂·費爾斯蒂德
William John Francis Jenner,詹纳尔
Antonia Thomas,安圖妮亞·湯瑪斯
Walter Warwick Sawyer,W·W·索耶
Robert Bathurst,羅伯特·巴瑟斯特
Edward German,爱德华·杰曼
Alex Walkinshaw,阿萊克斯·威克金肖
"William Miller (footballer, born 1996)",威廉·米勒·(英格兰足球运动员)
James Ward-Prowse,詹姆斯·沃德-普劳斯
Suranne Jones,蘇蘭·瓊斯
Alice Gowenlock,愛麗絲·戈恩洛克
Alicia Blagg,艾丽西娅·布拉格
Stuart Franklin,斯图尔特·富兰克林
Jourdan Dunn,卓丹·鄧
Nick Pope (journalist),尼克·波普
Stuart Parkin,斯圖爾特·帕金
Alfie Boe,阿尔菲·鲍伊
Walter Hayman,沃尔特·海曼
Alex Lynn,阿歷士·林恩
Tenzin Palmo,丹津·葩默
"Albert Spencer, 7th Earl Spencer",第七代史賓賽伯爵阿爾伯特·史賓賽
Lee Cook,李爾·曲克
Roger Blandford,罗杰·布兰福德
Michael White (author),麥可·懷特
George Washington (inventor),喬治·華盛頓·(發明家)
Jeremy Bulloch,杰里米·布洛奇
Susan Whetnall,蘇珊·惠特爾
Tom Ransley,托马斯·马修·兰斯利
Mark Lindsay Chapman,马克·林赛·查普曼
Stella Tennant,史蒂娜·坦娜特
Vanessa James,瓦内萨·詹姆斯
Andrew Davis (conductor),安德鲁·戴维斯·(指挥家)
Matt Banahan,馬特·巴納罕
Andy Beattie,安迪·貝蒂
Bobby Johnstone,博比·约翰斯通
Ryan Bennett,瑞恩·本内特
Robert Nisbet Bain,罗伯特·尼斯贝特·贝恩
"Robert Walker, Baron Walker of Gestingthorpe",华学佳
Robin Cousins,羅賓·卡曾斯
Robin Middleton,罗宾·米德尔顿
Robert Wells (boxer),罗伯特·韦尔斯
Paul Anderson (actor),保羅·安德森·(演員)
Roger Mills (badminton),羅傑·米爾斯
James Watkins (director),詹姆斯·瓦特金斯
Harry Forrester (footballer),哈里·弗雷斯特
Władysław Segda,瓦迪斯瓦夫·塞格达
Muriel Freeman,缪丽尔·弗里曼
Julius Beresford,朱利叶斯·贝雷斯福德
Graeme Shinnie,格雷姆·希恩尼爾
Ryan Moore (jockey),莫雅
Helen Skelton,海伦·斯凯尔顿
Harold Barker (rower),哈罗德·巴克
Oliver Selfridge,奧利弗·塞爾弗里奇
"Henry Lascelles, 6th Earl of Harewood",第六代哈伍德伯爵亨利·拉塞爾斯
John Cox (sound engineer),约翰·考克斯·(音响工程师)
Michael McIntyre,麥克·麥克英泰
Yue-Kong Pao,包玉剛
Chris Morris (footballer),克里斯·莫利斯
Martyn Waghorn,馬田·域漢
Diane Setterfield,戴安·赛特菲尔德
John Fenning,约翰·芬宁
Joanne Jackson (swimmer),乔安妮·杰克逊
Sam Palladio,山姆·帕拉迪奧
Graham Wallas,格雷厄姆·华莱斯
Jenny Clack,珍妮·克拉克
Sangharakshita,僧护
Sally Conway,萨莉·康韦
John Mosely Turner,約翰·莫塞萊·特納
Gerry Peyton,格里·佩顿
Bryan Ward-Perkins,布赖恩·沃德-珀金斯
Augustus Prew,奧古斯塔·普魯
Leon Mestel,利昂·梅斯特尔
Scott Jamieson (golfer),斯科特·賈米森
Cal MacAninch,卡爾·麥肯林錫
Sackville Carden,萨克维尔·卡登
Thomas F. Torrance,湯瑪斯·福賽斯·托倫斯
Euros Lyn,尤若斯·林恩
Bert Bushnell,伯特·布什内尔
John Constantine,約翰·康斯坦汀
Laurence Housman,劳伦斯·豪斯曼
Barbara Castle,芭芭拉·卡素爾
H. J. R. Murray,哈羅德·穆雷
Rudolf Kingslake,鲁道夫·京斯莱克
Harry Freeman (field hockey),哈里·弗里曼
Ruth Davidson,露絲·戴維森
Asa Hartford,阿薩·哈特福德
Devon van Oostrum,德文·范·奥斯特羅姆
Thomas Griffith Taylor,托馬斯·格里菲斯·泰勒
Digory Kirke,狄哥里·寇克
Rob Smedley,罗伯·斯梅德利
Eddie Pepperell,埃迪·佩波瑞爾
Evgeny Lebedev,叶夫根尼·亚历山德罗维奇·列别杰夫
Martin Laird,馬丁·萊爾德
Anthony Everitt,安东尼·埃弗里特
Charles Masterman,查尔斯·马斯特曼
DeObia Oparei,道比·歐帕瑞
Haydn Gwynne,海顿·格温
"Bernard Hogan-Howe, Baron Hogan-Howe",伯納·霍根-豪
Pac (wrestler),阿德里安·內維爾
George McKenzie (boxer),乔治·麦肯齐
Heather Fell,希瑟·费尔
Adrian Leaper,艾德里安·利柏
Elisabeth Frink,伊莉莎伯·弗林克
Phil Dowd,菲爾·杜特
Walter Susskind,瓦爾特·薩斯坎德
Anita Chapman,安妮塔·查普曼
Ben Morgan,本·摩甘
Ben Wheatley,班·懷特利
Polly Plummer,波莉·普朗摩
Stephen Rowbotham,斯蒂芬·罗博特姆
Ben Gibson,本·吉布森
Captain Britain,英国队长
Eve Best,夏娃·貝斯
Maurice Setters,莫里斯·塞特斯
David Sharp (mountaineer),大衛·夏普·(登山者)
"Willie Cunningham (footballer, born 1925)",威利·坎宁安
Jameela Jamil,賈米拉·賈米爾
John Slessor,约翰·斯莱塞
Chris Wood (golfer),克里斯·伍德·(運動員)
William Goode (colonial administrator),顧德
Lucy Hawking,嘉芙蓮·露西·霍金
Sally Podger,莎莉·波傑爾
Tom Mison,湯姆·米森
R. H. Tawney,理查德·亨利·陶尼
Tony Robinson,托尼·罗宾逊
Lawrence Vigouroux,羅倫斯·維哥奧
Lady Margarita Armstrong-Jones,瑪格麗塔·阿姆斯特朗-瓊斯女勳爵
Derek McInnes,德雷克·麦克因斯
Samantha Murray,萨曼莎·默里
Adam Gemili,亚当·戈米利
Matt Mills,马修·米尔斯
Adam Clayton (footballer),亞當·卡里頓
Paul Goodison,保罗·古迪森
Duško Popov,達斯科·波波夫
Frederick Charles Bawden,弗雷德·鲍登
"Victor Cavendish, 9th Duke of Devonshire",第九代德文郡公爵維克多·卡文迪許
Bradley Johnson,巴特利·莊臣
Gareth Pugh,加勒斯·普
Thelma Kingsbury,塞爾瑪·金斯伯里
Tommy Flockett,汤米·佛洛基特
Miranda Hart,米兰达·哈特
Syd Owen,西德·欧文
Nevil Sidgwick,内维尔·席德维克
Lee Probert,李·普拔
"Miles Lampson, 1st Baron Killearn",藍普森
Thomas Asbridge,托马斯·阿斯布里奇
Jasper Carrott,渣士帕·卡栗
Robert Craigie (diplomat),克莱琪
Percy Sykes,珀西·塞克斯
Brian Deane,白賴仁·甸尼
"Alex Wilson (footballer, born 1933)",亚历克斯·威尔逊·(足球运动员)
Alan Grafen,艾伦·格拉芬
C. F. A. Voysey,C.F.A.沃伊齊
Danny Willett,丹尼·威爾利特
Billy Paynter,比利·帕伊特
Tommy Hutchison,湯美·赫捷臣
Christopher Dawson,克里斯托弗·道森
Archibald Garrod,阿奇博尔德·加罗德
Peter Brabrook,彼得·布拉布鲁克
Kevin Hitchcock,凱文·希契科克
Mike Gambrill,邁克爾·甘布里爾
"John Seymour, 19th Duke of Somerset",第十九代索美塞特公爵約翰·西摩
Demis Hassabis,杰米斯·哈萨比斯
Stephen Crainey,史提芬·格尼
Princess Elena of Romania,埃列娜公主·(羅馬尼亞)
Gladys Davis (fencer),格拉迪丝·戴维斯
Martyn Poliakoff,馬蒂亞·波利亞科夫
Ephraim Longworth,伊弗雷姆·朗沃斯
Nick Arnold (writer),尼克·阿諾
Grant McCann,格兰特·麦坎
Derek Martinus,德里克·马丁努斯
Thomas Jessell,托马斯·杰塞尔
Nick Barton,尼克·巴頓
Allenby Chilton,艾伦比·奇尔顿
Deyan Sudjic,迪耶·萨迪奇
Derek Yalden,德里克·亚尔登
Peter Fleming (writer),彼得·弗莱明
Tim Graham (athlete),蒂姆·格雷厄姆
Vesper Lynd,慧絲柏·蓮
Jimmy Hill,吉米·希尔
Lee Clark (footballer),李爾·奇勒
Dean Kelley,迪安·凯利
Marco Pierre White,馬可·皮埃爾·懷特
John Christopher Willis,约翰·克里斯托弗·威利斯
Liam Heath,利亚姆·希思
Gilbert Clayton,基拔·卡里頓
Pamela Harriman,帕梅拉·哈里曼
Raza Jaffrey,拉薩·傑佛瑞
Danielle Lloyd,达尼埃尔·劳埃德
F. R. Leavis,F·R·利维斯
David Pawson,大衛·鮑森
Henry Gurney,亨利·葛尼
Elliot Omozusi,埃里奥特·奥莫祖西
James Marsh (director),詹姆斯·马什
Doug Cowie (footballer),道格·考伊
Douglas Johnson (historian),道格拉斯·约翰逊
Hugh Percy Wilkins,休·珀西·威尔金斯
Duncan Hodge,鄧肯·霍奇
James McKenzie (boxer),詹姆斯·麦肯齐
Dylan Hartley,戴蘭·哈特利
G. D. H. Cole,G·D·H·柯尔
Rory McArdle,羅伊·麥卡德爾
Robert Archibald,罗伯特·阿奇巴尔德
David Dein,大卫·戴恩
"Tina Stowell, Baroness Stowell of Beeston",比斯頓女男爵蒂娜·斯托厄爾
Toby Penty,托比·潘迪
Kate Howey,凯特·豪伊
Brian Howard (English footballer),布莱恩·霍华德·(足球员)
Bramwell Booth,卜邦衛
Paul Connolly,保羅·干洛尼
"Alastair Windsor, 2nd Duke of Connaught and Strathearn",第二代康諾特和斯特拉森公爵阿萊斯泰爾·溫莎
Ritchie Coster,里奇·柯斯特
Harry Luke,哈里·查理斯·盧克
Kay Burley,凯·伯利
Thomas Southorn,修頓
Don Cowie (footballer),唐·康維
Paul Huntington,保羅·亨廷頓
Bernie Slaven,比拿利·史拉雲
Geoffry Northcote,羅富國
Edward Stubbs,司徒拔
Robert Black (colonial administrator),柏立基
"Alex Bruce (footballer, born 1984)",阿歷士·布魯士
Raich Carter,賴奇·卡特
Joel Ward (footballer),喬爾·瓦德
James McPake,詹姆斯·麥克帕克
Seán Quinn,肖恩·奎因
George Hogg (adventurer),乔治·霍格·(记者)
Jack Drummond,杰克·德鲁蒙
Jesse Armstrong,杰西·阿姆斯特朗
Graeme Swann,格萊姆·斯旺
Irene Manton,艾琳·曼顿
Alex Baptiste,亚历克斯·巴蒂斯特
Shane Duffy,謝恩·達菲
Katie White,凱蒂·懷特
Carl Baker,卡爾·貝克
Joseph Dowler,约瑟夫·道勒
Hal Robson-Kanu,哈爾·笠臣-簡奴
Colin Pitchfork,科林·皮奇福克
James Bailey (footballer),詹姆斯·貝利·(足球運動員)
Jack Hatfield,杰克·哈特菲尔德
Jack Green (hurdler),杰克·格林
Edward Mellanby,爱德华·梅兰比
Edward James Salisbury,爱德华·詹姆斯·索尔兹伯里
Roland Huntford,罗兰·亨特福德
Jamie Ness,杰米·内斯
Louis Carey,路易·凯里
Matt Gilks,马修·基克斯
Simon Church,西蒙·切爾奇
Robert Service (historian),羅伯特·約翰·瑟維斯
"Cynthia Spencer, Countess Spencer",欣希雅·漢密爾頓
Jack Purvis (actor),傑克·普威斯
Jonathan Clements,乔纳森·克莱门茨
Thomas Heatherwick,托馬斯·赫斯維克
Ellie Simmonds,埃莉·西蒙兹
"Paul Quinn (footballer, born 1985)",保羅·奎因
Tony Waiters,安東尼·維特斯
Brian Stock (footballer),布莱恩·斯托克
Keith Southern,基夫·修夫恩
Albert Quixall,艾伯特·奎克索尔
"Charles Wellesley, 9th Duke of Wellington",第九代威灵顿公爵查尔斯·韦尔斯利
Eric Green (field hockey),埃里克·格林·(曲棍球运动员)
Ernie Copland,厄尼·科普兰
Jason Crowe,謝臣·高維
Will Satch,威尔·萨奇
George Nash (rower),乔治·纳什
Wilko Johnson,威尔科·约翰森
James Foad,詹姆斯·福德
"David Mountbatten, 3rd Marquess of Milford Haven",第三代米爾福德黑文侯爵大衛·蒙巴頓
Christopher O'Neill,克里斯托弗·奧尼爾
Eilidh Doyle,埃丽·道尔
Gwenno Saunders,關諾·莎嬿達詩
Wendy Darling,溫蒂·達林
Vinette Robinson,维森特·鲁宾逊
MeeK,米克
George Taylor (botanist),乔治·泰勒·(植物学家)
Bill Weasley,比爾·衛斯理
Frederick Twort,弗雷德里克·圖爾特
Robert James-Collier,羅伯·詹姆士-克里爾
Richard Holmes (military historian),理查德·霍姆斯·(军事史家)
Chris Chibnall,克里斯·奇布诺尔
Jim Hamilton (rugby union),吉姆·漢密爾頓
Liam Broady,利安·布魯迪
Chris Robshaw,克里斯·羅伯蕭
Christian Day,克里斯蒂安·戴伊
Jason Pearce,傑森·皮爾斯
Liam Payne,連恩·佩恩
Christopher Lamont (volleyball),克里斯托弗·拉蒙特
Christopher Chancellor,张雪楼
Tom Lees,湯姆·李斯
Ben Turner (footballer),本·特纳·(足球运动员)
Savannah Phillips,薩凡娜·菲利浦斯
Margaret Hartley,玛格丽特·哈特利
Marian Dawkins,玛丽安·斯坦普·道金斯
Paul Bahn,保罗·巴恩
Jazmin Carlin,贾丝明·卡林
Liam Craig,利安·克雷格
Lenny Henry,連尼·亨利
Paul Gallacher,保羅·加拉赫
Rhys Davies (golfer),瑞斯·戴維斯
Marrack Goulding,馬拉克·古丁
Jody Handley,乔迪·汉德利
Joe Brown (climber),喬·布朗·(登山家)
Marc Fenelus,馬可·費內路斯
Konnie Huq,康妮·胡克
Charlie Brooker,查理·布鲁克
Andrew D. Hamilton,安德鲁·D·汉密尔顿
"Cyril Newall, 1st Baron Newall",第一代内维尔男爵西里尔·内维尔
Karen Pickering,卡伦·皮克林
Charles Studd,施达德
Jock Aird,乔克·艾尔德
Joanna Scanlan,乔安娜·斯坎伦
David Law (cartoonist),戴维·劳
Clement Cazalet,克莱门特·卡扎勒特
Jeremy Dyson,杰瑞米·德桑
Clive Exton,克莱夫·埃克斯顿
Freda Bedi,斐達·貝荻
Freddie Burns,弗雷迪·巴恩斯
"Fred Martin (footballer, born 1929)",弗雷德·马丁
Frederick Rowbottom,弗雷德里克·罗伯顿
Mary Phillip,玛丽·菲利普
Mary Adela Blagg,玛丽·阿德拉·布莱格
Margaret Barrand,瑪格麗特·巴蘭德
Katarina Johnson-Thompson,卡特琳娜·约翰逊-汤普森
David Flitcroft,大卫·费列哥夫
Mark Farrell (tennis),马克·法雷尔
"Mark Howard (footballer, born September 1986)",馬克·霍華德
Henry John Elwes,亨利·艾維斯
Spencer Le Marchant Moore,斯潘塞·勒马钱特·穆尔
Martin Newell (computer scientist),马丁·纽维尔
Joe Root,喬·魯特
Martin Hollis (video game designer),马丁·霍利斯
Joe Cole (actor),喬·柯爾·(英國演員)
Johnnie Beattie,強尼·比提
John Bond (banker),龐約翰
John Barclay (rugby union),約翰·巴克萊
Holly Bradshaw,霍莉·布拉德肖
Steven O'Donnell (British actor),史蒂文·奥唐纳
Waren Tay,华伦·泰伊
William Jackson Bean,威廉·傑克遜·比恩
Andrew Donald Booth,安德鲁·唐纳德·布思
Ian McHarg,英·瑪哈
John Gittings,约翰·吉廷斯
Ian Nish,伊恩·尼什
Kate Summerscale,凱特·莎莫史克爾
Sarah Jane Brown,萨拉·麦考利
Ed McKeever,埃德·麦基弗
Gary Abraham,加里·亚伯拉罕
Matthew Wells (rower),马修·韦尔斯·(赛艇运动员)
John Jewkes (economist),約翰·朱克斯
John Richmond (fashion designer),約翰·里奇蒙德
Alasdair Strokosch,阿拉斯代爾·斯托羅克什
"Alan Irvine (footballer, born 1958)",阿兰·埃尔文
Alan Miller (footballer),艾倫·米勒·(足球運動員)
Michelle Keegan,米歇尔·基根
Declan Donnelly,德科蘭·當納利
Stewart Menzies,斯圖爾特·孟席斯
Aaron Jarvis (rugby union),阿隆·哈維斯
George Perry (naturalist),乔治·佩里
George North,喬治·諾斯
Julia Lennon,茱莉亚·列侬
Stuart Attwell,斯图尔特·阿特维尔
Colin Turnbull,科林·特恩布尔
Matt Mullan,馬特·穆蘭
Max Evans (rugby union),馬克斯·伊萬斯
Johnjoe McFadden,约翰乔伊·麦克法登
Jon Lee (actor),強·李
John Zachary Young,约翰·扎卡里·杨
Mathew Baynton,馬修·貝恩頓
Olivia Shakespear,奥利维亚·莎士比亚
Martin Wolf,马丁·沃尔夫
Andy Millen,安迪·米伦
Maureen Cleave,莫琳·克里夫
Alexander Ireland (boxer),亚历山大·爱尔兰
Alfred Dunlop,艾尔弗雷德·邓洛普
Alexander Babakov,亚历山大·巴巴科夫
Himesh Patel,希姆許·帕托
Danny Miller (actor),丹尼·米勒
Alfred Gilbert,阿尔弗雷德·吉尔伯特
Alasdair Dickinson,阿拉斯戴爾·迪克金森
Craig Conway (footballer),克雷格·康維
Alan Orr Anderson,艾伦·奥尔·安德森
Alexander Armstrong,亞歷山大·阿姆斯壯
Alex Corbisiero,阿萊克斯·科爾比謝
Gerald Duckworth,杰拉尔德·达克沃斯
Crissy Rock,克丽西·罗克
Jonathan Janson (sailor),乔纳森·詹森
Jonathan Kerrigan,喬納森·科利甘
Jon Schofield (canoeist),乔恩·斯科菲尔德
Michael Price (composer),迈克尔·普赖斯
Jonnie Peacock,強尼·匹考克
Gethin Jones,蓋辛·瓊斯
Jonny Bairstow,喬尼·貝斯托夫
Danny Talbot,丹尼尔·塔尔伯特
Joe McFadden,約瑟夫·麥克法登
Ally Hogg,阿里斯特·霍格
Alison Mowbray,艾莉森·莫布雷
Darren Kenton,戴倫·簡頓
David Bloor,大衛·布魯爾
David G. Chandler,大衛·G·錢德勒
Jamie Langfield,傑米·朗菲爾德
Mike Rann,麥克·朗
David Strettle,大衛·斯特萊特爾
Mike Catt,麥克·卡特
Graeme Morrison,格雷姆·莫里遜
Mike Brown (rugby union),麥克·布朗·(橄欖球)
Amy Jagger,埃米·贾格尔
Julia Davis,茱莉亚·戴维斯
Andy Chambers,安迪·钱伯斯
Andrew Zisserman,安德魯·澤塞曼
Guy Richardson,盖伊·理查森
Andy Farrell,安迪·法雷爾
Kevin McNaughton,奇雲·麥洛頓
Harry Llewellyn,哈里·卢埃林
Andrew Haigh,安德魯·海格
"David Wilson (rugby union, born 1985)",大衛·威爾遜
Graham Robb,格雷厄姆·罗布
Graham Rowntree,格拉漢姆·朗特瑞
Greig Laidlaw,格雷格·萊德勞
Graham Mann,格雷厄姆·曼
Richard Hounslow,理查德·豪恩斯洛
Keith Musto,基思·马斯托
Gugu Mbatha-Raw,古古·玛芭塔-劳
"Ken Green (footballer, born 1924)",肯·格林·(1924年)
Kenneth Macksey,肯尼斯·麥克塞
Ken Owens,肯·歐文斯
Kelly Massey,凯莉·马西
Sarah Ayton,萨拉·艾顿
Kenneth Sisam,肯尼思·賽瑟姆
Kenny Deuchar,肯尼·德查尔
Andrew Steele,安德鲁·斯蒂尔
Andrew Mason,安德魯·梅森
Andrew Pozzi,安德鲁·波齐
Andrew Simpson (sailor),安德鲁·辛普森
Moe Sbihi,穆罕默德·斯比希
Dean Gerken,迪安·格肯
Dean Bowditch,迪恩·鮑迪奇
Michael Moritz,迈克尔·莫里茨
Sophie Hitchon,索菲·希彻恩
Laura Donnelly,勞拉·唐納利
Lachlan Murdoch,拉克蘭·梅鐸
Sian Massey-Ellis,西恩·玛茜
Clive Finlayson,克莱夫·芬利森
Moray Low,莫雷·勞
Simon Yates (cyclist),西蒙·耶茨
Harry Mitchell (boxer),哈里·米切尔
Harry Enfield,哈里·恩菲爾德
Anjli Mohindra,安吉丽·莫辛德拉
Lee Frecklington,李·弗雷克林頓
Dean Thomas (Harry Potter),丁·汤玛斯
Jeremy Kyle,傑瑞米·凱爾
Nasser Khalili,納賽爾·哈利利
Oliver Jackson-Cohen,奥利弗·傑克森-科恩
Helen Reeves (kayaker),海伦·里夫斯
Helen Morgan (field hockey),海伦·摩根
Harold Dennis Taylor,哈咯得·丹尼斯·泰勒
Barty Crouch Junior,小巴堤·柯羅奇
Benedict Wong,王漢斌·(演員)
John Rupert Firth,约翰·鲁伯特·弗斯
Lesley Charles,莱斯莉·查尔斯
Adam Eckersley,亚当·埃克斯利
Tommy Knight,湯米·耐特
Neil Heywood,尼尔·海伍德
Rhys Priestland,瑞斯·普里斯特蘭
John Souttar,約翰·蘇塔爾
Sarah Webb (sailor),萨拉·韦布
Sue Vertue,苏·维特
Norma Major,莊樂敏
Nigel Haywood,奈傑爾·赫塢
Rita Skeeter,麗塔·史譏
Nick De Luca,尼克·德·盧卡
David Anderson (British politician),大衛·安德森·(政治人物)
Richard Bacon (politician),理查·培根
Nazia Hassan,娜絲亞·哈桑
Stuart Broad,斯圖亞特·布羅德
Hugh Beaver,休·比佛
Hugh Robert Mill,休·羅伯特·米爾
Black British people,英國黑人
Harry Potter (character),哈利·波特·(角色)
Frederick Whitfield Barrett,弗雷德里克·惠特菲尔德·巴雷特
Anna Sloan,安娜·斯隆
Louis Deacon,路易斯·迪肯
Louis Attrill,路易斯·阿特里尔
Dennis Bingham,丹尼斯·宾厄姆
Freddie Guest,弗雷迪·格斯特
Paddy Wallace,帕迪·瓦拉斯
Paul Rogers (actor),保罗·罗杰斯·(演员)
Lee Slattery,李·斯拉特里
Will Mellor,威爾·梅勒
"Lloyd Williams (rugby union, born 1989)",洛伊德·威廉姆斯
Molly Weasley,茉莉·衛斯理
Albus Severus Potter,阿不思·波特
Jerzy Braun (rower),耶日·布劳恩
Ian Wright (traveller),伊恩·萊特·(旅遊節目主持人)
Louis Baillon,路易斯·贝伦
Jerzy Skolimowski (rowing),耶日·斯科利莫夫斯基·(赛艇运动员)
David Templeton,大衛·譚普頓
Charles Stewart (sport shooter),查尔斯·斯图尔特·(射击运动员)
Freddie Grubb,弗雷迪·格拉布
Elenor Gordon,埃莉诺·戈登
William Buick,布宜學
Lady Pamela Hicks,帕梅拉·希克斯夫人
Lynne Ramsay,琳恩·拉姆塞
Richard O'Dwyer,理查德·奧德懷爾
John Cockett,约翰·科克特
Ian Stark,伊恩·斯塔克
Ian Wynne,伊恩·温
Ian McMillan (footballer),伊恩·麦克米伦
Peter Moore (businessman),彼得·摩尔
Richie Vernon,里奇·維農
John Man (author),约翰·安东尼·加内特·曼
Richard Wigglesworth (rugby union),理查德·維格斯華斯
Richie Woodhall,里奇·伍德霍尔
Dominic Mahony,多米尼克·马奥尼
Donald Sumpter,唐纳德·桑普特
Judith Herrin,朱迪斯·赫林
Ted Burgin,特德·伯金
Helen Bannerman,海倫·班尼曼
Danielle Brown,丹妮尔·布朗
Rob Webber,羅伯·韋伯
Wilfred White (equestrian),威尔弗雷德·怀特
Robert Barnett (scholar),羅伯·巴聶特
Jack Wilson (rower),杰克·威尔逊
Johnny Wright (boxer),约翰尼·赖特
Bob Allen (economic historian),罗伯特·C·艾伦
Lucien Laviscount,盧西安·拉維斯考特
Christopher Boardman,克里斯托弗·博德曼
David Spiegelhalter,戴维·斯皮格霍尔特
June Whitfield,琼恩·维特费尔德
Charlie Weasley,查理·衛斯理·(哈利波特)
Pat Smythe,帕特·斯迈思
Helen Varcoe,海伦·瓦尔科
Guy Dugdale,盖伊·达格代尔
Edna Hughes,埃德娜·休斯
Charles Patrick Green,查尔斯·格林·(雪车运动员)
Dan Bentley,丹·本特利
David Smith (boccia),戴维·史密斯·(硬地滚球运动员)
Steven Finn,斯蒂文·芬
Sophiya Haque,索枇婭·海克
Andromeda Tonks,美黛·東施
Robert Mond,罗伯特·蒙德
Ellen King,埃伦·金
Tim Bresnan,提姆·布雷斯南
Luke Wright,盧克·萊特
Luke Patience,卢克·佩兴斯
Stuart Bithell,斯图尔特·比瑟尔
Robert Hadfield,罗伯特·哈德菲尔
Percival Kinnear Wise,珀西瓦尔·金尼尔·怀斯
Peter Blake (actor),彼得·布莱克·(演员)
Peter A. Sturrock,彼得·史特洛克
Malcolm Tucker,马尔科姆·图克
Richard Norris (field hockey),理查德·诺里斯
Harold Cassels,哈罗德·卡斯尔斯
David Brodie (field hockey),戴维·布罗迪
Anthony John Robinson,安东尼·鲁宾逊·(曲棍球运动员)
William Lindsay (field hockey),威廉·林赛
"Edward Windsor, Lord Downpatrick",唐帕特里克男爵愛德華·溫莎
Tom Parker Bowles,湯姆·帕克·鮑爾斯
Lord Frederick Windsor,弗雷德里克·溫莎勳爵
Richard Burnell,迪基·伯内尔
Ronald Webster,罗纳德·韦伯斯特
Rory Lawson,羅伊·羅森
Ronald Backus,罗纳德·巴克斯
John Walker (rowing),约翰·沃克·(赛艇运动员)
Stephen Kinnock,斯蒂芬·金諾克
Tony Morgan (sailor),托尼·摩根
Humphry Greenwood,汉弗莱·格林伍德
Derek Day,德里克·戴
John Campbell (rower),约翰·坎贝尔·(赛艇运动员)
Dixon Edward Hoste,何斯德
John Badcock (rower),约翰·巴德科克
William White (field hockey),威廉·怀特·(1920年)
George Sime,乔治·赛姆
Roger Midgley,罗杰·米奇利
Michael Walford,迈克尔·沃尔福德
Ronald Davis (field hockey),罗纳德·戴维斯
Frank Reynolds (field hockey),弗兰克·雷诺兹
Robin Fletcher,罗宾·弗莱彻
Roger Wilson (rugby union),羅傑·威爾遜
Graham Dadds,格雷厄姆·达兹
David Bivar,阿德里安·大卫·休·比瓦尔
Ryan Doble,萊安·多布爾
Francis Urquhart,法蘭西斯·厄克特
Frederick Stapleton,弗雷德里克·斯特普尔顿
Rupert Simonian,魯伯特·西莫尼安
Lady Amelia Windsor,亞美莉亞·溫莎女勳爵
Lady Marina Windsor,瑪麗娜·溫莎女勳爵
Laura Lopes,勞拉·洛佩斯·(1978年)
Richard Wood (footballer),理查德·伍德
Sergei Skripal,謝爾蓋·維克托羅維奇·斯克里帕爾
Danny Nightingale,丹尼·奈廷格尔
Robert Kazinsky,羅伯特·卡辛斯基
Robert Loe,羅伯特·洛
Tommy Rowe,托米·羅維
Tommy Spurr,湯米·斯普爾
Tom Palmer (rugby union),湯姆·帕爾默
Tom Wood (rugby union),湯姆·伍德
Robert Crawshaw,罗伯特·克劳肖
Neil Nugent,尼尔·纽金特
George Ross (gymnast),乔治·罗斯
Charles Simmons (gymnast),查尔斯·西蒙斯
Ralph Shove,拉尔夫·肖夫
William Griffiths (field hockey),威廉·格里菲思
William Titt,威廉·蒂特
