王明娟,왕밍쥐안
周孝正,저우샤오정
伍芳,우팡
郑岩,정옌
郑时龄,정스링
郑树森,정수썬
鄧小南,덩샤오난
陳嘉鋭,천자루이
陳家樂,찬가록
王嘉男,왕자난
陈吉宁,천지닝
何穗,허쑤이
胡平,후핑
王宝山,왕바오산
王学兵,왕쉐빙
王娜,왕나
管軼,관이
耿彦波,겅옌보
孫藝洲,쑨이저우
华学明,화쉐밍
華以剛,화이강
海霞,하이샤
梁嘉恆,렁카항
梁芷珊,렁지산
胡兵,후빙
胡忠雄,후중슝
崔龙吉,최룡길
席南华,시난화
王雅捷,왕야제
海清,하이칭
贺美英,허메이잉
王汝南,왕루난
王小谟,왕샤오모
汪见虹,왕젠훙
王传君,왕전군
王祥云,왕샹윈
王希季,왕시지
王忠禹,왕중위
王怡,왕이
潘建伟,판젠웨이
海陸,해육
潘功勝,판궁성
武维华,우웨이화
母其弥雅,무치미야
水均益,수이쥔이
霍震寰,폭잔완
孙飘扬,쑨퍄오양
孟安明,멍안밍
孟宏伟,멍훙웨이
孟广禄,멍광루
马伯庸,마보융
山新,산신
崔之清,추이즈칭
宋雪林,쑹쉐린
贾清,자칭
蒋亦元,장이위안
江一燕,장이옌
王蒙徽,왕멍후
江泽慧,장쩌후이
汪苏泷,왕술롱
沈善炯,선산중
黄旭华,황쉬화
姚韡,야오웨이
王逸舟,왕이저우
徐冠华,쉬관화
熊乃瑾,슝나이진
沈果孙,선궈쑨
沈金康,선진캉
洛夫,뤄푸
王定国,왕딩궈
王建宙,왕젠저우
黃洋達,웡영닷
黃威 (香港足球員),웡와이
金世佳,김세가
康辉,캉후이
金志文,김지문
徐莹,쉬잉
许光,쉬광
张伯礼,장보리
张佳宁,장자닝
张凯丽,장카이리
张檬,장멍
张泽宇,장쩌위
王群,왕췬
阳翰笙,양한성
王煜輝,왕위후이
张存浩,장춘하오
张宏民,장훙민
杨童舒,양퉁수
葉桂,예구이
辛灏年,신 하오니안
奚美娟,시메이쥐안
王戎 (演員),왕융
王文京,왕원징
王義芳,왕이팡
王自健,왕쯔젠
王大中,왕다중
殷桃,인타오
于和伟,위허웨이
张枣,장자오
潘蕾,판레이
章晓雯,장샤오원
李滨 (官员),리빈
李玲玉,리링위
牛萌萌,녀오멍멍
王丹凤,왕단펑
许纪霖,쉬지린
谢铁骊,셰톄리
孔祥明,쿵샹밍
俞飞鸿,위페이훙
叶一茜,예이첸
喻恩泰,위언타이
于小含,위샤오한
张日红,장일홍
居文沛,쥐원페이
敬一丹,징이단
江铠同,장카이퉁
张肇毅,장자오이
張龍妹,장룽메이
彭一刚,펑이강
彭士禄,펑스루
紀大偉,치 타웨이
罗永浩,라영호
高梓淇,가오쯔치
刘棣怀,류디화이
魏寿昆,웨이서우쿤
车光铁,차광철
郑亨日,정형일
劉穎,잉얼
李家俊,리가준
孙世林 (足球运动员),쑨스린
杨昌鹏,양창펑
刘菁,류징
鲁佳,루자
麥迪娜·買買提,마디나 메메트
张希,장시
张弥曼,장미만
胡可,후커
徐则臣,쉬쩌천
祖峰,주펑
于正,우정
唐韦星,탕웨이싱
袁海文,윈호이만
杜雨露,두위루
当年明月,당녠밍웨
黃仁德,황인덕
王垚,왕야오
王铁,왕톄
张嘉益,장자이
連笑,롄샤오
戴玉强,다이위창
张令涛,장링타오
李幼斌,리유빈
李赫,리허
黎春華,리춘화
杨晓渡,양샤오두
杨紫,양쯔
楊鈺瑩,양위잉
楊士海,양스하이
英达,잉다
廖凡,랴오판
刘世振,류스전
刘国中,류궈중
乐玉成,러위청
王麗坤,왕리쿤
闞清子,칸칭즈
陳僖儀,찬헤이이
梅绍武,메이사오우
刘纯燕,류춘옌
方廷钰,팡팅위
薛篤弼,설독필
明晓溪,밍샤오시
小松,샤오쑹
马原,마위안
鲁健,루젠
梅方,메이팡
劉永,유영
劉長樂,류청러
刘美含,류미함
刘金国,류진궈
刘铁男,류톄난
劉孜,류쯔
劉強東,류창둥
李进军,리진쥔
劉園園,려오위엔위엔
刘敏涛,류민타오
曹文轩,차오원쉬엔
曹曦文,차이시원
葉頌朗,입중롱
葛均波,거쥔보
李学鹏,리쉐펑
臧金生,짱진성
颜丙燕,옌빙옌
羽翹,위키우
李依晓,리이샤오
李修平,리슈핑
呂佩玉,뤼페이위
朱米樂,주미러
郑恺,정카이
詹伯慧,잔보후이
叶选廉,예쉬안롄
叶青,예칭
葉篤正,예두정
于魁智,위쿠이즈
王敏剛,웡만공
左小青,쭤샤오칭
何猷龍,로런스 호
薛其坤,쉐치쿤
蘇來強,소로이컹
虞梦,위멍
袁立,위안리
张璇,장쉬안
朱启祯,주치전
张子枫,장쯔펑
曹又尹,차오유인
蒋梦婕,장멍제
蓝绍敏,란사오민
谢家麟,셰자린
巫昂,우앙
张峻宁,장쥔닝
张文雄,장원슝
张立,장리
朱迅,주쉰
张亚东 (音乐人),장야둥
章立凡,장리판
流潋紫,류롄쯔
郑铮,정정
郑亚旗,정야치
劉芸,류윈
费东斌,페이둥빈
许宁生,쉬닝성
賀一誠,호얏셍
许厚泽,쉬허우쩌
顾漫,구만
饶毅,라오이
蔡明,차이밍
蔡达峰,차이다펑
蔣欣,장신
侯曜,허우야오
朴广钟,박광종
李兰娟,리란쥐안
胡亚捷,후야제
芈昱廷,미위팅
李梓萌,리쯔멍
车晓,처샤오
周涛,저우 타오
周琦,저우치
周绪红,저우쉬훙
周锋锁,저우펑쒀
六六,류류
农卫红,눙웨이훙
钟南山,중난산
丁学东,딩쉐둥
赵玉芬,자오위펀
张鑫森,장신썬
張嘉倪,장자니
張晉,장진
張萌,장멍
程慕阳,청무양
程小青,청샤오칭
尚红,상훙
季冠霖,지관린
学诚法师,쉬에청
李榮,리룽
李文靜,리원징
赵汀阳,자오팅양
上官雲珠,상관윈주
严北溟,옌베이밍
李屹,리이
万卫星,완웨이싱
陈晓,천샤오
陈刚,천강
黄有福,황유푸
倪慧芳,니후이팡
丁善德,딩산더
丁德章,딩더장
宋养初,송찬양
李贤玉,리현옥
黃子韜,타오
鹿晗,루한
严济慈,옌지츠
乐珈彤,러쟈둥
屠守锷,투서우어
冯德培,펑더페이
万籁鸣,완라이밍
汤用彤,탕융퉁
于品海,위반호이
崔嵬,추이웨이
左东岭,쭤둥링
于金明,위진밍
李敏华,리민화
丁来杭,딩라이항
丁西林,딩시린
田剑侠,톈젠샤
刘鸿生,류훙성
刚强,강챵
林卫国,린웨이궈
卢沙野,루사예
卢新华,루신화
邱国洪,추궈훙
刘远坤,류위안쿤
刘醒龙,류싱룽
刘钧,류쥔
张千一,장천일
张博树,장보수
杨育才,양위차이
张瑞杰,장루이제
陈芳允,천팡윈
任詠華,얌윙와
任鸿隽,런훙쥐안
張孝騫,장샤오첸
張文裕,장원위
桑弧,쌍후
梁守槃,량서우판
柳诒徵,류이정
栾云平,롼윈핑
梅益,메이이
穆木天,무무톈
王雅繁,왕야판
杨嘉墀,양자츠
杨奎松,양쿠이쑹
杨廷宝,양팅바오
吴思科,우쓰커
吴文藻,우원짜오
張雪迎,장쉐잉
吳秋北,응차우베이
吴严彩韵,우옌차이윈
吕继宏,뤼지훙
江晓原,장샤오위안
陳振彬,버니 찬
陈俊生,천쥔성
江蓝生,장란성
汤飞凡,탕페이판
薛飞,쉐페이
李健吾,리젠우
许磊然,쉬레이란
欧阳明高,어우양밍가오
正珠尔扎布,정주얼자부
段文凝,돤원닝
张艺兴,레이
吴原春,우위안춘
贾宏声,자훙성
曹喜八,조희팔
崔君,최군
王霜,왕솽
吴刚,우강
南云齐,난윈치
尤晓迪,유샤오디
周仁,저우런
高华,가오화
周厚健,저우허우젠
吴自良,우쯔량
周一良,저우이량
於之莹,위즈잉
金杨,진양
汪德昭,왕더자오
汪芫,왕옌
黃智賢,황즈셴
成蔭,청인
方卫平,팡웨이핑
戴耀廷,다이야오팅
Yang Xiaotian,양샤오톈
章乃器,장나이치
吴淞笙,우쑹성
吴祖光,우쭈광
黄家驷,황자쓰
趙溫,조온 (후한)
武大靖,우다징
周金黄,저우진황
哈文,하원
陈梦,천멍
陈观慧,천관후이
韩天宇,한톈위
李岱春,리다이춘
孫明孝,순밍샤오
龚祥瑞,궁샹루이
张希,장시
許冠武,허관무
黃鷹,황응
董佳林,둥자린
Zheng Dalun,정다룬
徐新 (足球运动员),쉬신
張益唐,장이탕
娄艺潇,러우이샤오
傅政華,푸정화
孔铉佑,쿵쉬안유
唐洪军,탕훙쥔
唐艺昕,탕이신
唐钺,당월
曾國恒,정궈항
曾宪植,쩡셴즈
曾昭燏,정자오위
齐燕铭,치옌밍
齊如山,치루산
黄润秋,황룬추
黄益平,황이핑
石宇奇,스위치
陈之辉,천즈후이
王强,왕창
吳迪,우디
鄭守一,정수일
鲍哲南,바오저난
应乐兴,잉러싱
张丽玲,장리링
彭程,펑청
周富德,슈 도미토쿠
陈龙,진룡
毛睿龙,마오루이룽
蒋光太,타이어스 브라우닝
张蔷,장창
李乐成,리러청
苗天,먀오톈
周浩鼎,자우호딩
李初梨,리추리
富紅梅,푸훙메이
吴肇毅,우자오이
王君正,왕쥔정
罗盛教,라성교
罗啸天,뤄샤오톈
李康,리캉
李廷江,리팅장
村井國夫,무라이 쿠니오 (배우)
王雷,왕레이
邓志伟,덩즈웨이
韩童生,한퉁성
杨子姗,양쯔산
皮明庥,피밍휴
姚贝娜,야오베이나
连奕名,롄이밍
華晨宇,화천위
陈临新,천린신
赵建敏,자오젠민
彭立尧,펑리야오
木村元,키무라 겐
柴碧云,차이비윈
周奇奇,저우치치
王琳,왕린
雪克来提·扎克尔,쇼하라트 자키르
张澜澜,장란란
王庆松,왕칭쑹
鮑里斯·查哈羅夫,보리스 자하로프
张雪忠,장쉐중
白银市连环杀人案,가오청융
罗建文,뤄젠원
吳莫愁,우모처우
簡悅強,간윗컹
卢军宏,노군홍
黄永刚,황융강
白松涛,바이쑹타오
杨贺,양허
田元灝,톈위안하오
司雅杰,시야제
戎毅,룽이
孙力,쑨리
胡怀邦,후화이방
遇罗克,위뤄커
过惕生,궈티성
熊式輝,슝스후이
牛雨田,뉴위톈
王全璋,왕취안장
邹承鲁,쩌우청루
肖燕,샤오옌
肖燕军,샤오옌쥔
王上源,왕상위안
田志希,전지희
盧偉聰,로와이충
王一楠,왕이난
段宜恩,마크
陈希孺,천시루
李干杰,리간제
丁烈云,딩례윈
樊振东,판젠동
侯永永,후융융
盧靖姍,설리나 제이드
夏晨琨,샤천쿤
张涛,장타오
蒋建华,장젠화
王锡文,왕시원
李越然,리웨란
乌兰图雅,울란투야
隋俊波,쑤이쥔보
江疏影,장수잉
陈昌浩,천창하오
王哲林,왕저린
陈瑶光,장야오광
程晓农,청샤오눙
任子威,런쯔웨이
胡志强,후즈창
胡振鹏,후전펑
李钦诚,리친청
宁桓宇,닝환위
秦加林,친자린
沈晓明,선샤오밍
曲尼次仁,최니 체린
孙绍骋,쑨샤오청
谢毅,셰이
和廣北,허광베이
林天苗,린 티안미야오
高准翼,가오준이
丁海峰,딩하이펑
唐青儀,렁통칭이
于朦胧,위멍룽
黄轩,황쉬안
鄧卓棣,덩줘디
毛林林,마오린린
王大珩,왕다항
董欣年,둥신녠
程林,청린
袁仁国,위엔런궈
覃子豪,친쯔하오
孙瑶,손요
邬光亚,우광야
单鹏飞,산펑페이
颜福庆,옌푸칭
陳仙輝,천셴후이
车永莉,처융리
谈卫红,탄웨이훙
席蔚菁,시웨이징
陳思,천쓰
金美儿,김미아
戴萌,다이멍
王昊洋,왕하오양
奚国华,시궈화
朱文熊,주원슝
王杰,왕제
杨晓青,양샤오칭
田华,톈화
苏青,쑤칭
高雲翔,가오윈샹
李兴钢,리싱강
許絜瑜,쉬제위
贺麟,허린
赖小民,라이샤오민
郝诒纯,하오이춘
戴国宏,다이궈훙
刘伟 (歌手),류웨이
刘结一,류제이
王凱,왕카이
姚星彤,야오싱퉁
郑泽光,정쩌광
黃英華,웡잉와
雷佳音,레이자인
金堤,진디
牛星丽,뉴싱리
盧寵茂,로충마우
顏卓靈,응안척링
李昂,리앙
金一南,진이난
金竹花,김죽화
王子文,왕쯔원
陈旭,천쉬
董希文,둥시원
邓聿文,덩위원
张维宁,장웨이닝
張哲瀚,장저한
利·刘易斯,리아 루이스
赵宇豪,자오위하오
王双 (演员),왕솽
肖晓琳,샤오샤오린
沈向洋,해리 셤
王玉锁,왕위쒀
许杰,쉬제
曾一春,쩡이춘
高孔廉,가오쿵롄
谌利军,천리쥔
邱学军,추쉐쥔
马兰,마란
张蓝心,장란신
王嘉爾,잭슨
王增祺,왕쩡치
周楚楚,저우추추
陈岱孙,천다이쑨
金东寒,진둥한
唐凯基,당나라 카이지
毛俊杰,마오쥔제
杜以辰,도시우키우
李书磊,리수레이
蔡雅同,차이야퉁
馬如龍,마루룽
韩立明,한리밍
杨诺曼,노먼 영
陳曼琪,찬만키
陶昕然,타오신란
李准 (作家),리준
范蕴若,판윈뤄
成幼殊,청유수
鄧質方,덩즈팡
李轩豪,리쉬안하오
朱元豪,주위안하오
严欢,옌환
柯洁,커제
陶欣然,타오신란
黄云嵩,황윈쑹
何冰娇,허빙자오
陈健 (商务部),천젠
毛以鋼,마오이강
王洪军,왕훙쥔
董子健,둥쯔젠
陳春聲,천춘성
马祖光,마쭈광
王玺玉,왕시위
徐璐,쉬루
郑晓松,정샤오쑹
李荣浩,리롱하오
方博,팡보
胡昌升,후창성
姜妍,장옌 (배우)
骆宾基,뤄빈지
李溪芮,리시루이
米露,미루
吳偉仁,우웨이런
黃碧蓮,황벽련
吳倩,우첸
孔肖吟,쿵샤오인
赵韩樱子,자오한잉즈
费尔南多·恩里克·达·孔塞桑,페르난지뉴
李宇琪,리위치
傅娟,푸쥐안
王海涛,왕하이타오
马建 (政府官员),마젠
李皓晴,리하오칭
蒋科律,장커뤼
逯佳境,루자징
潘际銮,판지롼
陈明川,천밍촨
辛柏青,신바이칭
曾泳醍,쩡융티
朱婷,주팅
江志成,장즈청
唐荆陵,탕징링
魏大勛,위대훈
王富玉,왕푸위
林允,린윈
阿卜杜拉·曼蘇爾,압둘라 만수르 알투르키스타니
郑湫泓,정자오훙
鄭松泰,젱충타이
龔虹嘉,궁훙가
卢志强,루즈창
林希妤,린시위
罗云熙,라운희
周雨彤,저우위퉁
梁婧娴,량징셴
龙梦柔,龍夢柔
九夜茴,주예후이
陆锦标,룩감비우
鍾志華,중즈화
周冠宇,저우관위
郑姝音,정수인
趙帥,자오솨이
趙嘉敏,쟈오쟈민
张慧雯,장후이원
彭蕾,펑레이
周躍龍,저우웨룽
张语格,장위거
牙含章,야한장
陈时伟,천스웨이
陈雨菲,천위페이
任振鹤,런전허
颜丙涛,옌빙타오
刘苏里,류쑤리
谭本宏,탄번홍
焦俊艳,자오쥔옌
陈海威,천하이웨이
谭俊荣,알렉시스 탐
沈南鹏,선난펑
易烊千玺,이양첸시
曹璐,차오루
林安琪,람온키
武长顺,우장순
周其仁,저우치런
张杨果而,장양궈얼
陳意涵,천이한
杨健,양젠
周庭,차우팅
徐晨辰,쉬천천
于颂,위쑹
李佳悦,리자웨
齐心,치신
刘忻,리우신
文正一,문정일
朱宝玉,주바오위
池文一,지문일
张一鸾,장이롼
陳都靈,천두링
胡冰卿,후빙칭
胡仕新,후스신
梁学铭,량쉐밍
李晨光,리천광
刘骥,지 리우
许魏洲,쉬웨이저우
赵啸天,자오샤오톈
张楠,장난
霍尊,훠쭌
池忠国,츠중궈
林耶凡,아나스타샤 린
张强,장창
王铁鑫,왕톄신
黃婷婷,황팅팅
姜洪权,강홍권
吴永春,오영춘
王俊凱,왕준카이
我吃西红柿,워츠시훙스
陳宇翱,천위아오
肖天,샤오톈
张磊,장레이
李晨浩,리천하오
张律,장률
林声,린성
梁冠聰,량군충
周江勇,저우장융
于忠福,위중푸
李朱濠,리주하오
毕易榕,비이룽
史婧琳,쉬징린
汪雪儿,왕쉐얼
陈欣怡,첸신이
陈洁,천제
王小洪,왕샤오훙
徐立,쉬리
杜凱琹,두카이친
朴世豪,박세호
韦世豪,웨이스하오
王思聪,왕스총
刘润民,류룬민
卢祖尚,노조상
宋芸樺,쑹윈화
李藝彤,리이통
陈永奇,천융치
宁泽涛,닝제타오
桑一非,쌍이페이
尹力,인리
张尧学,장야오쉐
王卫,왕웨이
罗立文,하이문두 아하이스 두호자리우
唐七,당찰
张嘉佳,장자자
李纯,리춘
桂干生,구이첸성
楊一,양이
江旻憓,장민후이
李尚福,리상푸
沈鐸,센두오
張家朗,장자랑
白敬亭,바이징팅
徐宏傑,쩌이왕킷
舒群,수췬
孙一文,쑨이원
王文学,왕원쉐
吳嘉欣,우지아신
金波,진보
慎海雄,선하이슝
辜梓豪,구쯔하오
王子豪,왕쯔하오
金光柱,김광주
刘作虎,피트 라우
李昊桐,리하오퉁
温国辉,원궈후이
秦亚青,친야칭
刘少昂,류 사오앙
文俊辉,준
任桂辛,런구이신
李春满,이춘만
陈学昭,천쉐자오
周义清,저우이칭
周群飞,저우췬페이
江泽佳,장쩌자
顾乐观,구러관
吴朝晖,우자오후이
唐良智,탕량즈
張雨霏,장위페이
王文学,왕원쉐
王贻芳,왕이팡
闫子贝,옌쯔베이
乔叶,차오예
東西,둥시
莊奴,좡누
张晓楠,장샤오난
项旭东,샹쉬둥
郭培,궈페이
巴丢草,바듀차오
艾衍含,아이옌한
邢亦民,싱이민
趙粵,쟈오위에
鞠婧祎,쥐징이
吴宇航,우위항
尤政,유정
韩光徽,한광휘
王男栿,왕난푸
徐海乔,쉬하이차오
沈腾,선텅
宝树,바오수
柳亦春,류이춘
段思英,돤쓰잉
黄泰岩,황타이옌
刘湘,류샹
蓝军,란쥔
刘亦超,류이차오
逄志泉,팡즈취안
鄭益昕,정이신
周洁琼,주결경
钟登华,종등화
程秉釗,청쉰자오
謝爾豪,셰얼하오
张中生,장중성
林鋒,린펑
王兴,왕싱
张玉安,장위안
蒋羽熙,장위시
祖立军,쭈리쥔
张玉宁,장위닝
曾艷芬,정옌펀
唐安琪,탕안치
庞薰琹,팡쉰친
徐明浩,디에잇
岳亮,웨량
张予曦,장위시
邓伦,등륜
賽伊汀·玉素甫,제이딘 유수프
关宇航,관위항
胡子婴,후쯔잉
周藝軒,조이쉔
王一博,왕이보
喬娜·肖,조나 샤오
张之臻,장즈전
苏广悦,쑤광웨
劉仲敬,류중징
簡自豪,젠쯔하오
任娜瑛,임나영
羅冠聰,네이선 로
王源,왕위안
陈化兰,천화란
钟绍军,중사오쥔
王新伟,왕신웨이
金晨,진천
韩东君,한둥쥔
荀芳颖,쉰팡잉
叶子,잎 그린
王卫星,왕웨이싱
张芷溪,장즈시
步非烟 (作家),부페이옌
吴磊,우레이
趙婷,클로이 자오
陳婉婷,천완팅
張健,장젠
曹雪涛,차오쉐타오
顾欣蔚,구신웨이
娄佳琳,러우자린
李发彬,리파빈
葛曼棋,거만치
郝景芳,하오징팡
秦英林,친잉린
彭冠英,펑관잉
彭晓冉,펑샤오란
朱一龍,주이룽
卡斯柏,캐스퍼
施嘉炀,스자양
金玟岐,진원치
伍嘉成,우자청
丹珠昂奔,단주앙번
王立銘,왕리밍
戴厚良,다이허우량
郭于华,궈위화
陳珂,천커
陈仲颐,천중이
一龙,이룽
蔣碧微,장비웨이
郭寶勝,궈바오성
林路迪,루디 린
许佳琪,쉬쟈치
李景虹,리징훙
王誼,왕이
童梦成,퉁멍청
张彬彬,장빈빈
王晓晨,왕효신
蔡文静,차이원징
馬思純,마쓰춘
赵国荣,자오궈룽
趙少康,자오사오캉
迪麗熱巴,딜라바 딜무라트
春夏,춘샤
王彦霖,왕옌린
程瀟,성소
柳青,류칭
洪珮雲,훙페이윈
王志民,왕즈민
赵晨宇,자오천위
唐一军,탕이쥔
佟禹林,퉁위린
胡钰函,후위한
蒋其润,장치룬
张强,장창
甘思阳,간쓰양
马逸超,마이차오
李维清,리웨이칭
汪涛,왕타오
廖行文,랴오싱원
舒一笑,슈이샤오
陈潇楠,천샤오난
陈浩,천하오
陈贤,천셴
国宇征,궈위정
罗岩,뤄옌
张维,장웨이
馮薪朵,펑신둬
李传广,리촨광
周美靈,메이
徐冬冬,쉬둥둥
潘之琳,판즈린
袁冰妍,위안빙옌
王巍,왕웨이
何卫东,허웨이둥
趙志偉,자오즈웨이
支志明,지지밍
李豪杰,리하오제
郑淼鑫,정먀오신
尹航,인항
张亚博,장야보
李成森,리청썬
严在明,옌짜이밍
白宝祥,바이바오샹
娄洛宁,러우뤄닝
李劼,리제
李承德,이성덕
郎毓秀,랑위슈
孫芮,쑨루이
費沁源,페이친위엔
鄧以海,당이호이
曾國衞,창궉와이
诸葛宇杰,주거위제
赵俊鹏,자오쥔펑
郭信驿,궈신이
陸婷,루팅
莫寒,모한
胡煜清,후위칭
乔诗尧,차오스야오
方昊,팡하오
陈一鸣,천이밍
陈笑天,천샤오톈
桂文波,구이원보
石豫来,스위라이
高恬亮,가오톈량
吴震宇,우전위
代智天,다이즈톈
公彦宇,궁옌위
陈豪鑫,천하오신
周泓余,저우훙위
周旋,저우쉬안
高星,가오싱
王思尹,왕쓰인
许俭颖,쉬젠잉
陈文政,천원정
刘津铭,류진밍
贾依凡,자이판
李小溪,리샤오시
胡傲华,후아오화
白光源,바이광위안
陈玉侬,천위눙
徐泽鑫,쉬쩌신
王若然,왕뤄란
张东岳,장둥웨
施洲,스저우
祁立鹤,치리허
吴哲晗,우저한
万丽娜,완리나
小连杀,샤오롄사
王海钧,왕하이쥔
四刀辉彰,쓰다오후이장
杨楷文,양카이원
安冬旭,안둥쉬
蔡竞,차이징
陶忻,타오신
丁浩,딩하오
王硕,왕숴
胡跃峰,후웨펑
秦悦欣,친웨신
廖元赫,랴오위안허
王泽锦,왕쩌진
刘曦,류시
许嘉阳,쉬자양
谢科,셰커
付冲,푸충
谢心澄,셰신청
王玮,왕웨이
李羿蓉,리이룽
刘宇,류위
张一鸣,장이밍
田瑞祺,톈루이치
李源鲲,리위안쿤
李子祺,리쯔치
赵奕斐,자오이페이
焦士维,자오스웨이
李旭,리쉬
雷震坤,레이전쿤
何语涵,허위한
张子涵,장쯔한
郎杰,랑제
张佩佩,장페이페이
沈沛然,선페이란
朱仁坤,주런쿤
李乐,리러
陈正勋,천정쉰
曹潇阳,차오샤오양
蔡文驰,차이원츠
黄晨,황천
张策,장처
何鑫,허신
马天放,마톈팡
黄昕,황신
黄静远,황징위안
苑子文,위안쯔원
晏紫东,옌쯔둥
祎凡,둥이판
吴宣仪,우쉬엔이
颜宁,옌닝
王爽,왕솽
熊梓淇,슝쯔치
何泓姗,허훙산
王曼昱,왕만위
陈幸同,천싱퉁
叶光富,예광푸
幽舞越山,유우웨산
沈念如,선녠루
辰樂,천러
王鹭,왕루
李翔宇,리샹위
陈梓健,천쯔젠
吴树浩,우수하오
马笑冰,마샤오빙
乔然,차오란
汪洋,왕양
伊凌涛,이링타오
乔智健,차오즈젠
韩一洲,한이저우
陈润韬,천룬타오
李铭,리밍
范胤,판인
韩晗,한한
王哲明,왕저밍
崔灿,추이찬
丁世雄,딩스슝
王东亮,왕둥량
赵一方,자오이팡
朱峰毅,주펑이
刘慧玲,류후이링
周元俊,저우위안쥔
战鹰,잔잉
汪雨博,왕위보
陆敏全,루민취안
赵健男,자오젠난
成毅,청이
冯飞,펑페이
金冲及,진충지
李渊博,리위안보
陈思源,천쓰위안
张昊,장하오
马光子,마광쯔
程宏昊,청훙하오
王琛,왕천
李必奇,리비치
陈亚峰,천야펑
杨冬,양둥
董明,둥밍
李响,리샹
潘非,판페이
蒋蔚,장웨이
于清泉,위칭취안
陈昱森,천위썬
王裕子,왕위쯔
王彦皓,왕옌하오
汤靖轩,탕징쉬안
韦一博,웨이이보
杨啸天,양샤오톈
郑胥,정쉬
刘宇航,류위항
蔡碧涵,차이비한
赵贯汝,자오관루
陈翰祺,천한치
邱金波,추진보
贾罡璐,자강루
胡然闵,후란민
黃梓豪,황쯔하오
黃夢瑩,황멍잉
郭闻潮,궈원차오
陈乃申,천나이선
陈志轩,천즈쉬안
潘涛,판타오
盛一伦,성일륜
梁宇昊,량위하오
宋轶,쑹이
吴伯箫,우보샤오
张天爱,장톈아이
諒輔,양보
王忠林,왕중린
吳謹言,우진옌
王异新,왕이신
殷明明,인밍밍
吴楷,우카이
杨爽,양솽
陶然,타오란
张瑞,장루이
袁亭昱,위안팅위
黎剑,리젠
谢少博,셰사오보
张天歌,장톈거
汪慧,왕후이
黄一鹤,황이허
杜伟,두위
邹海石,스 가이세키
黃景瑜,황징위
吴谦,우첸
宋伊人,쑹이런
陈星旭,천싱쉬
陈震中,천전중
孙宇晨,저스틴 쑨
黄子平,황쯔핑
許楊玉琢,쉬양위저
丁烈,딩례
王冠军,왕관쥔
阿不都日衣木·艾衣提,압두레힘 헤이트
刘昊然,류하오란
李华嵩,리화쑹
潘阳,판양
刘兆哲,류자오저
张紫良,장쯔량
张越然,장웨란
曾志豪,쩡즈하오
赵宝龙,자오바오룽
陈思,천쓰
杨梓,양쯔
张丹三,장단산
胡泽君,후쩌쥔
羅一笑,뤄이샤오
石正丽,스정리
涂們,투먼
林卓廷,람척팅
曹义海,이하이 차오
楊世銘,양스밍
林忠钦,린중친
李莎旻子,리사민쯔
孟美岐,미기
李营健,리잉젠
李冰潔,리빙제
英如镝,잉루디
舒绣文,수슈원
朱亚明,주야밍
孫穎莎,쑨잉사
胡一天,후이톈
车世伟,처스웨이
謝蕾蕾,셰레이레이
张勇,장융
林孝埈,임효준
谭代山,타이슨 탄
陆一飞,루이페이
南松,난쑹
袁征,에릭 유안
王芮,왕루이
马小南,마샤오난
杨立瑜,양리위
金龍國,용국
朱明叶,주밍예
黎學勤,제프리 라이
沈家琳,선자린
宋威龙,쑹웨이룽
方君璧,팡쥔비
李东阳,리둥양
吴大鹏,우다펑
王新辉,왕신후이
刘宇豪,류위하오
赵军,자오 준
马俊亮,마쥔량
刘卫平,류웨이핑
杜长杰,두장제
中国围棋手,중국의 바둑 기사
张新成,장신청
杨金龙,양진룽
元敏诚,위안민청
習正寧,시정닝
宋妍霏,송연비
段藝璇,두안이쉬엔
楊一,양이
卢宇国,루위궈
孙珍妮,쑨전니
鄧炳強,크리스 탕
梁鹤年,량허녠
李天鹏,리톈펑
陈冬,천둥
郝明珠,하오밍주
林高遠,린가오위안
阿乙 (作家),아이
冯晓菲,펑 샤오 페이
耿爽,겅솽
唐登杰,탕덩제
鄭若驊,젱역와
印卧涛,인워타오
蔡徐坤,차이쉬쿤
王钰,왕위
糖匪,탕페이
李靳宇,리진위
罗景山,루어징산
于晓光,위샤오광
皇贞季,황전지
蒋芸,쟝윈
宋昕冉,송신란
姜馨迪,장신디
陈御天,천위톈
方复全,팡푸취안
许绍发,쉬사오파
李强,리창
沈维孝,선웨이샤오
黄晓庆,황샤오칭
田永君,톈융쥔
卢思颖,루쓰잉
姜杉,장산
王晓佳,왕샤오지아
楊冰怡,양빙이
刘柏辛,렉시 리우
汪佳翎,왕가링
李为,리웨이
王曦雨,왕시위
王耀鹏,왕야오펑
方幹民,팡간민
叶知秋,예즈추
王一知,왕이즈
余志坚,위즈젠
陈如桂,천루구이
李泽华,리쩌화
辛瑞琪,신루이치
董帆,동판
周啸天,저우샤오톈
马宝善,마바오산
张艺洋,장이양
祝緒丹,주쉬단
侯明昊,허우밍하오
陈刚,천강
朱孔军,주콩쥔
夏玉婷,샤위팅
罗卫红,뤄웨이훙
马晓伟,마샤오웨이
赵今麦,자오진마이
马国强,마궈창
茹子楠,위쯔남
徐曉冬,쉬샤오둥
李現,리셴
罗弘昊,뤄훙하오
江金权,장진취안
刘君鹏,류쥔펑
李汶翰,리원한
池宇峰,츠위펑
苏尚卿,쑤상칭
张学斌,장쉐빈
劉些寧,류셰닝
陳曉明,천샤오밍
