Diego Velázquez,디에고 벨라스케스
Luis García Plaza,루이스 가르시아 플라사
Ignacio Ellacuría,이그나시오 에야쿠리아
Luis Alberto Lacalle,루이스 알베르토 라카예
Joachim Llambi,요아킴 람비
Vicente Iborra de la Fuente,비센테 이보라
Fermín Cacho,페르민 카초
Luciano Vietto matamoros,루시아노 비에토
Andrés Túñez,안드레스 투네즈
Antonio Cánovas del Castillo,안토니오 카노바스 델 카스티요
Javier Calleja Revilla,하비에르 카예하
Ernesto Lecuona,에르네스토 레쿠오나
Nacho Monreal,나초 몬레알
Sergi Barjuan,세르히 바르후안
José Samitier,주제프 사미티에르
Agustín Sancho,아구스틴 산초
Ana Mulvoy Ten,애나 멀보이 텐
Alberto Iglesias,알베르토 이글레시아스
Unax Ugalde,유나 유가데
Roberto Fernández Bonillo,로베르토 페르난데스 보니요
Joaquín Alonso,호아킨 알론소
Luis Medina Cantalejo,루이스 메디나 칸탈레호
Guillermo Amor,기예르모 아모르
Francisco Rabal,프란시스코 라발
Agustín Aranzabal,아구스틴 아란사발
Lucas Alamán,루카스 알라만
Belisario Betancur,벨리사리오 베땅꾸르
Paco Alcácer,파코 알카세르
Luis Tristán,루이스 트리스탄
José Solís,호세 솔리스
Toni Jiménez,안토니오 히메네스 시스타치스
Enrique Mateos,엔리케 마테오스
Miki Roqué,미키 로케
Iker Romero,이케르 로메로
Felipe Miñambres,펠리페 미냠브레스
Nedžad Sinanović,네자드 시나노비치
Luis María López Rekarte,루이스 로페스 레카르테
Marcelino Martínez Cao,마르셀리노 마르티네스
Juan Manuel López Martínez,후안 마누엘 로페스 마르티네스
David Navarro,다비드 나바로
Joaquín Urquiaga,호아킨 우르키아가
Manuel de Blas,마누엘 드 블라스
Josep Planas i Artés,호세 플라나스 아르테스
Josep Brugada,호셉 브루가다
David Billabona,다비드 비야보나
Carlos David Moreno Hernández,카를로스 다비드
Sebastián Losada,세바스티안 로사다
Emilio Sagi Barba,에밀리오 사히 리냔
Pedro Uralde,페드로 우랄데
María Adánez,마리아 아다네스
Jon Aberasturi,존 에버스타리
Javier López Rodriguez,하비 로페스
Roque Baños,로케 바뇨스
Anne Hidalgo,안 이달고
Andrés Junquera,안드레스 훙케라
Marcelino García Toral,마르셀리노 가르시아 토랄
Antonio de Brugada,안토니오 데 브루가다
Juan Carlos Higuero,후안 카를로스 이게로
Isacio Calleja,이사시오 카예하
El Juli,엘 훌리
Aitzol Ituarte Elexpe,앙헬레스 산토스 토로에야
Ramiro Ledesma Ramos,라미로 레데스마 라모스
Enrique Collar,엔리케 코야르
Fanny Gautier,파니 고티에
Bibiana Fernández,비비아나 페르난데스
José Luis Romero Robledo,호세 루이스 로메로 로블레도
Josep Pascó,주제프 파스코 이 멘사
José Nieto,호세 니에토
Melitón Manzanas González,멜리톤 만사나스
Juan Luis Galiardo,후안 루이스 갈리아르도
Lucas Pérez Martínez,루카스 페레스 마르티네스
Silvia Abascal,실비아 아바스칼
Patricia Yurena,파트리시아 유레나 로드리게스
Moraíto Chico,모라이토 치코
Juan Antonio Larrañaga,후안 안토니오 라라냐가
Coke Andújar,코케
Juan Alonso,후안 알론소
Patxi Salinas,파치 살리나스
Raimundo Pérez Lezama,라이문도 페레스 레사마
Marc Narciso,마르크 나르시소 두블란
Ramón Rubial,라몬 루비알
Emma Suárez,에마 수아레스
Carlos Comamala,카를로스 코마말라
Salva García,살바도르 가르시아
Paco Bienzobas,프란시스코 비엔소바스
Vicente Asensi,비센테 아센시
Natalia Millán,나탈리아 미얀
Erwin Schrott,어윈 슈로트
Lucas Vidal,루카스 비달
Feliciano Rivilla,펠리시아노 리비야
José Araquistáin,호세 아라키스타인
Carmen Calvo Poyato,카르멘 칼보
Pichi Alonso,피치 알론소
Shirota Yuu,시로타 유
Javier Aguirresarobe,하비에르 아기레사로베
Luis María Echeberría,루이스 마리아 에체베리아
Agustí Villaronga,아구스티 빌라론가
Vladimir Gusinsky,블라디미르 구신스키
Martín Cortés Zúñiga,마르틴 코르테스 수니가
Víctor Tomás González,빅토르 토마스
Domingo Caicedo y Santa María,도밍고 카이세도
Jaime Lazcano,하이메 라스카노
Manuel Velázquez Villaverde,마누엘 벨라스케스
Juan Antonio Deusto,후안 안토니오 데우스토
Koldo Aguirre,콜도 아기레
Jonathan Viera,호나탄 비에라
Rosana Pastor,로사나 파스토르
Olivia Molina,올리비아 몰리나
Alfredo Mayo,알프레도 마요
Jesús Solana,헤수스 솔라나
Alfonso Carlos Comín,알폰소 카를로스 코민
Heriberto Cairo Carou,에리베르토 카이로
José Luis Garci,호세 루이스 가르치
Francisco Fernández Rodríguez,프란시스코 페르난데스 로드리게스
Enrique García Martínez,키케 가르시아
Ignacio Eizaguirre Arregui,이그나시오 에이사기레
José Manuel Esnal,호세 마누엘 에스날
Leonardo Cilaurren,레오나르도 실라우렌
Juan Carlos Rodríguez Moreno,후안 카를로스 로드리게스 모레노
Genar Andrinua,헤나르 안드리누아
Josep Parra i Martínez,호세 파라 마르티네스
David Zurutuza,다비드 수루투사
Elena Asins,엘레나 아신스
Ernesto Galán,에르네스토 갈란
José Murcia González,호세 무르시아
Javier Zubillaga,하비에르 수비야가
Paco Jémez,프란시스코 헤메스 마르틴
Francisco Palou,프란시스코 팔로우
Martí Riverola,마르티 리베롤라
Mary Carrillo,메리 카릴로
Javier Sagarzazu,하비에르 사가르사수
Raúl Rodríguez Navarro,라울 로드리게스
Ramón Torralba,라몬 토랄바
Manuel Zarzo,마누엘 사르소
Inaxio Kortabarria,이나시오 코르타바리아
Julio Álvarez Mosquera,훌리오 알바레스
Tomás Reñones Crego,토마스 레뇨네스
Miguel Ángel Ferrer,미겔 앙헬 페레르
Ignacio Pérez Santamaría,이그나시오 페레즈 산타마리아
Úrsula Corberó,우르술라 코르베로
Toni Velamazán,토니 벨라마산
Agustín Elduayen,아구스틴 엘두아옌
Federico Sáiz,페데 사이스
Pedro López Muñoz,페드로 로페스
Emma Cabrera Bello,에마 카브레라베요
Paqui Veza,파키 베사
Mirtha Legrand,미르타 르그랑
Vicente Miera,비센테 미에라
Juan Señor,후안 안토니오 세뇨르
Santiago Urquiaga,산티아고 우르키아가
Ramón Grosso,라몬 그로소
Aroa Gimeno,아로아 히메노
Javier Manjarín,하비에르 망하린
Ramón Gil Sequeiros,몬초 힐
Sergi Belbel,세르지 벨벨
Corín Tellado,코린 테야도
India Martínez,인디아 마르티네스
Juan Mari Arzak,후안 마리 아르작
José Ufarte,호세 우파르테
Roberto Olabe,로베르토 올라베 아란사발
Jaime Jiménez Merlo,하이메 히메네스
Rudy Ventura,루디 벤츄라
Gracia Querejeta,그라시아 퀘레헤타
Fernando Zambrano,페르난도 삼브라노
Alberto López Fernández,알베르토 로페스 페르난데스
Julio Cardeñosa,훌리오 카르데뇨사
Francisco Javier Álvarez Uría,프란시스코 하비에르 우리아
Alberto Belsué,알베르토 벨수에
Julián Orbón,훌리안 오르본
Julio Iglesias Jr.,훌리오 이글레시아스 주니어
José Luis Gil,호세 루이스 길
Benito Díaz,베니토 디아스
Txabi Etxebarrieta,차비 에체바리에타
Nicolás Fernández de Moratín,니콜라스 페르난데스 데 모라틴
Paco Cabezas,파코 카베자스
Sonia Lafuente,소니아 라푸엔테
Cundi,세쿤디노 수아레스
Blanca Suárez,블랑카 수아레스
Cristina Pedroche,크리스티나 페드로체
Marcelo Piñeyro,마르셀로 피녜이로
Jaime Sabartés,자우메 사바르테스
José Diego Álvarez,호세 디에고 알바레스
Juan Antonio Corbalán,후안 안토니오 코르발란
Mariano González Maroto,마리아노 곤살레스 마로토
Carlota Ciganda,카를로타 시간다
Carlos Lapetra,카를로스 라페트라
Antonia San Juan,안토니아 산후안
Kira Miró,키라 미로
Luis Hernando,루이스 알베르토 에르난도
Luis Alfonso de Borbón,루이 알퐁소 드 부르봉
Pedro Brugada,페드로 브루가다
Luis Bar Boo,루이스 바르부
José María Belauste,호세 마리아 벨라우스테
Miguel Ángel Portugal,미겔 앙헬 포르투갈
Mariola Fuentes,마리올라 푸엔테스
Renier Vázquez Igarza,레니에르 바스케스 이가르사
Paul Naschy,폴 나쉬
Fiorella Faltoyano,피오레 랄팔토야노
José Manuel Catalá,호세 카탈라
Simón Lecue,시몬 레쿠에
Jorge Pulido,호르헤 풀리도
Jesús Glaría,헤수스 글라리아
Joaquín Achúcarro,호아킨 아추카로
Borja Bastón,보르하 바스톤
Emili Teixidor,에밀리 텍시더
Jaume Plensa,하우메 플렌자
Almudena Fernández,알무데나 페르난데스
Jordi Dauder,조르디 도더
Íngrid Rubio,잉그리드 루비오
Josu Urrutikoetxea,호수 우루티코에체아
Antonio Amaya,안토니오 아마야
Antonio Luna Rodríguez,안토니오 루나
José Ignacio Sáenz,호세 이그나시오 사엔스
José Iglesias Fernández,호세 이그나시오 페르난데스
Paco Liaño,프란시스코 리아뇨
Sergio Tejera,세르히오 테헤라
José María Echevarría Ayestarán,호세 마리아 에체바리아
María Botto,마리아 보토
Ana Marzoa,아나 마르소아
Eduardo González Valiño,에두아르도 곤살레스 발리뇨
Luis Alcoriza,루이스 알코리자
Roberto López Ufarte,로베르토 로페스 우파르테
Jaime Penedo,하이메 페네도
Vega,베가
Ramón Zabalo,라몬 사발로
Guillermo Eizaguirre,기예르모 에이사기레
Tente Sánchez,호세 비센테 산체스
Marta Corredera,마르타 코레데라
Adrian Otaegui,아드리안 오타에기
Juan Acuña,후안 아쿠냐
Fernando Arias-Salgado,페르난도 아리아스살가도
Martín Cortés,마르틴 코르테스 엘 메스티소
Martí Vergés,마르티 베르헤스
Odón Alonso Ordás,오돈 알론소
Ismael Urtubi,이스마엘 우르투비
Rafa Paz,라파엘 파스
Pepe Mel,페페 멜
Xabier Etxebarria,샤비 에체바리아
Vicente Calderón,비센테 칼데론
Julio Alberto Moreno,훌리오 알베르토 모레노
Quim Torra,킴 투라
José Gómez Campaña,호세 캄파냐
Beatriz Montañez,베아트리스 몬타녜스
Beatriz Rico,베아트리스 리코
Marcelino Sanz de Sautuola,마르셀리노 산스 데 사우투올라
Pedro Lazaga,페드로 라사가
Txetxu Rojo,체추 로호
Fidel Uriarte,피델 우리아르테
Álvaro Vadillo,알바로 바디요
Juan Carlos Garrido Fernández,후안 카를로스 가리도
Albert Serra,알베르트 세라
Guillermo Campanal,기예르모 캄파날
Enrique Jordá,엔리케 호르다
Alfonso Reyes Cabanas,알폰소 레예스
Juan Pardo,후안 파르도
Verónica Sánchez,베로니카 산체스
Albert Rivera,알베르트 리베라
Rubén García Santos,루벤 가르시아 산토스
Fortunio Bonanova,포르투니오 보나노바
Antonio Puchades,안토니오 푸차데스
Ramón de la Fuente Leal,라몬 데 라 푸엔테 레알
Iñigo Urkullu Renteria,이니고 우르쿠유
Juan de Villanueva,후안 데 비야누에바
Francisco Rodríguez García,프란시스코 로드리게스 가르시아
Antonio Ferrandis,안토니오 페르안디스
Vicente Engonga,비센테 엥공가
Juan Sánchez Romero,후안 산체스 모레노
Rafael Cabrera Bello,라파 카브레라베요
Quique Setién,키케 세티엔
Andoni Luis Aduriz,안도 니 루이스 아 두리 즈
Pachín,엔리케 페레스 디아스
Francisco Antúnez,프란시스코 안투네스
Javier Villarroya,프란시스코 비야로야
Juan Santisteban,후안 산티스테반
Juan Carlos Ablanedo,후안 카를로스 아블라네도
José Ruiz y Blasco,호세 루이스 이 블랑코
Alberto Górriz Echarte,알베르토 고리스
Ramón Marsal,라몬 마르살
Francisco López Alfaro,프란시스코 로페스 알파로
Juan José Lucas,후안 호세 루카스
Eugenio Leal,에우헤니오 레알
Antonio Guzmán Núñez,안토니오 구스만 누녜스
Macarena Gómez,마카레나 고메스
Miguel Hernández Sánchez,미겔 에르난데스 산체스
Manuel Castellano Castro,마누엘 카스테야노
Alberto Núñez Feijóo,알베르토 누녜스 페이호
José Ramón Esnaola,호세 라몬 에스나올라
Carme Ruscalleda,까르 메 루스 칼레다
Isidoro San José,이시도로 산 호세
Antonio Biosca,안토니오 비오스카
Juan de Álava,후안 데 알라바
Enrique Cerezo,엔리케 세레소
Rafa Berges,라파엘 베르헤스
Esther Arroyo,에스더 아로요
Andrea Duro,안드레아 두로
Francisco Cuesta Gómez,프란세스크 쿠에스타 고메즈
Manuel Anatol,마누엘 아나톨
Cecilia Freire,세실리아 프레이레
David Córcoles,다비드 코르콜레스
Óscar Miñambres,오스카르 미냠브레스
Marcelino Pérez,마르셀리노 페레스
Rafael Bardem,라파엘 바르뎀
Marina Salas Rodríguez,마리나 살라스
Gregorio Benito,그레고리오 베니토
Antonio de la Torre Martín,안토니오 데 라 토레 마르틴
Gabriel Vidal,가브리엘 비달
Gabriel Alonso Aristiaguirre,가브리엘 알론소
Pedro Jaro,페드로 루이스 하로
Daniel Martínez,다니 마르티네스
Bernabé Ballester,베르나베 바예스테르
Jorge Aizkorreta,호르헤 아이스코레타
Rafael Lesmes,라파엘 레스메스
Urko Vera,우르코 베라
Richard Ortiz,리차르드 오르티스
Tintín Márquez,틴틴 마르케스
Guillermo Hernangómez Geuer,윌리 에르난고메스
Adam Karol Czartoryski,아담 카롤 차르토리스키
José Berraondo,호세 앙헬 베라온도
Achero Mañas,아체로 마냐스
Bárbara Goenaga,바르바라 고에나가
Agustín Eizaguirre,아구스틴 에이사기레 오스톨라사
Iñigo Pérez,이니고 페레스
Francisco Portillo Soler,프란시스코 포르티요
Gregorio Fuentes,그레고리오 푸엔테스
Ramon Brugada,라몬 브루가다
Juan de Oñate,오냐테
Enrique Zuazua,엔리케 수아수아
Alberto Vitoria,알베르토 비토리아
Adriana Reverón,아드리아나 레베론
Imanol Arias,이마놀 아리아스
Manuel Cervantes,마누엘 세르반테스
Gonzalo Arconada,곤살로 아르코나다
José María Cañizares,호세 마리아 카니사레스
Cristóbal Parralo,크리스토발 파랄로
Domènec Carulla i Bertran,도밍고 카루야
Alexandra Jiménez,알렉산드라 히메네스
Paco López,파코 로페스
Borja Ekiza,보르하 에키사
Crisanto Bosch Espín,크리산트 보스치
Sígfrid Gracia,시그프리드 그라시아
Juan de la Cuesta,후안 데라쿠에스타
Isaac Oceja,이사크 오세하
Jordi Masip López,호르디 마십
Arancha de Benito,아란차 데베니토
Amadeo García de Salazar,아마데오 가르시아
Mónica Cervera,모니카 세르베라
Juan Vicente Herrera,후안 비센테 에레라
Pedro Vallana,페드로 바야나
Laura Ponte,라우라 폰테
Cayetana Guillén Cuervo,카예타나 기옌 쿠에르보
Juana Acosta,후아나 아코스타
Chábeli Iglesias,차벨리 이글레시아스
Edurne,에두르네
Eduardo Zaplana,에두아르도 사플라나
Kepa Arrizabalaga,케파 아리사발라가
Victoria Federica de Marichalar y Borbón,빅토리아 데 마리차라르이보르본
Sílvia Munt,실비아 문트
Manu Baqueiro,마누엘 바케이로
Felipe Juan Froilán de Marichalar y Borbón,펠리페 데 마리차라르이보르본
Manuel Piñero,마누엘 피녜로
Martiño Rivas,마르티뇨 리바스
Almudena Muñoz,알무데나 무뇨스
Fran Escribá,프란 에스크리바
Luis Fernández López,루이스 페르난데스 로페스
Charo López,차로 로페스
Pilar Rubio,필라르 루비오
Luis Gámir,루이스 가미르
Nausicaa Bonnín,나우시카 보닌
Lucía Ramos,루시아 라모스
Nancho Novo,난코 노보
Devin Davis,데빈 데이비스
Luis Venegas de Henestrosa,루이스 베네가스 데 에네스트로사
Elena Espinosa,엘레나 에스피노사
Cristina Narbona,크리스티나 나르보나
Argala,호세 미겔 베냐란 오르데냐나
Guillermo Capetillo,기예르모 카페티요
José Bañón,호세 바뇬
Emilio Salaber,에밀리오 살라베르
Montxo Armendáriz,몽소 아르멘다리스
Enrique Urquijo,엔리케 우르키호
Luis Alberni,루이스 알베르니
Cristina Brondo,크리스티나 브론도
Ernesto Pérez Lobo,에르네스토 페레스
Cristóbal Martínez Bordiú,크리스토발 마르티네스 비야베르데 보르디우 이 오르테가
Mar Moreno,마르 모레노
José María Labrador Arjona,호세 마리아 라브라도르
Amparo Baró,암파로 바로
Eugenia Silva,에우헤니아 실바
Eva Santolaria,에바 산톨라리아
Gabriel Esparza,가브리엘 에스파르사
Juanjo Cañas,후안호 카냐스
Mónica Oltra,모니카 올트라
Fernand Melgar,페르난도 멜가
Patricio Arabolaza,파트리시오 아라볼라사
Jesús García Pitarch,헤수스 가르시아 피타르치
Manuel Sánchez Ayuso,마누엘 산체스 아유소
Manuel Lacunza,마누엘 라쿤자
Fernando Rodríguez Serena,페르난도 세레나
Javier Rojo,하비에르 로호
Eneko Bóveda,에네코 보베다
José Luis Doreste,호세 도레스테
Paquito García Gómez,프란시스코 가르시아 고메스
Francisco Gamborena,프란시스코 감보레나
Julio Prieto,훌리오 프리에토
Nieve de Medina,니에베 데 메디나
Consuelo Rumí,콘수엘로 루미
María Esteve,마리아 에스테베
Ángel Jesús Mejías,앙헬 헤수스 메히아스
Fito Cabrales,피토 카브랄레스
David Alegre,다비드 알레그레
Juan Fernández la Villa,후안 페르난데스
Pablo Redondo Martínez,파블로 레돈도
Óscar Casas,오스카르 카사스
Agustín Gajate,아구스틴 가하테
Jesús Aparicio-Bernal,헤수스 아파리시오베르날
Francisco Javier Rodríguez Vílchez,프란시스코
Xabier Elorriaga,사비에르 엘로리아가
Patricio Caicedo,파트리시오 카이세도
Pepe Sancho,호세 산초
Miguel Abellán,미겔 아벨란
Sofía Casanova,소피아 카사노바
Esteban Vigo,에스테반 비고
Gómez Pérez das Mariñas,고메스 페레스 다스마리냐스
Milagros Collar,밀라그로스 콜라
Jordi Magem Badals,조르디 마젬 바달스
Ramón Flecha,라몬 플레차
José Alberto Cañas Ruiz-Herrera,호세 카냐스 루이스에레라
Julia Gutiérrez Caba,훌리아 구티에레스 카바
Joan Fontcuberta,조안 퐁쿠베르타
Paco Tous,파코 토우스
Manolo Fábregas,마놀로 파브레가스
José Coronado,호세 코로나도
Laura Barriales,로라 바르렐리스
Raquel Martínez,라켈 마르티네스 라바날
Lydia Bosch,리디아 보쉬
Vicente Moreno Peris,비센테 모레노
Luis Marín Sabater,루이스 마린 사바테르
Juan Magán,후안 마간
Luis de la Fuente Castillo,루이스 데 라 푸엔테 카스티요
Marina Comas,마리나 코마스
Emiliano Piedra,에밀리아노 피에드라
Gabriel Arias-Salgado,가브리엘 아리아스살가도
Jesús Fernández Santos,헤수스 페르난데스 산토스
Iván Amaya,이반 아마야
Iñaki Anasagasti,이냐키 아나사가스티
Pablo Motos,파블로 모토스
Luis Otero,루이스 오테로
Aida Folch,아이다 폴크
Ruth Díaz,루트 디아스
Miguel Ángel Silvestre,미겔 앙헬 실베스트레
Javier Colina,하비에르 콜리나
Constantino Romero,콘스탄티노 로메로
Salva Ruiz,살바도르 루이스
María José Suárez,마리아 호세 수아레스
José Bordalás,호세 보르달라스
Paco Flores,파코 플로레스
Jesús Posada Moreno,헤수스 포사다
Rafael Arias-Salgado,라파엘 아리아스살가도
Goyo Vergel,그레고리오 베르헬
Miguel Iglesias,미겔 이글레시아스 (모델)
Miguel Jones Castillo,미겔 존스
Juan Merino,후안 메리노
Jorge Manuel Theotocópuli,호르헤 마누엘 테오쿠풀루스
Juan Ferrero,후안 페레로
Patricia Vico,파트리시아 비코
Noelia López,노엘리아 로페스
Miriam Giovanelli,미리암 조바넬리
Rosendo Mercado,로센도 메르카도
Miguel de los Santos Álvarez,미구엘 데 로스 산토스 알바레즈
Miguel Ángel Martín,미겔 앙헬 마르틴
Menchu Gal,멘추 갈
Aymeric Laporte,아이메릭 라포르테
Carlos Iturgaiz Angulo,카를로스 이투르가이스
Garbiñe Abasolo,가빈 아바솔로
Pedro Febles,페드로 페블레스
Toni Muñoz,토니 무뇨스
Alberto San Juan,알베르토 산 후안
Loquillo,로키요
Moisés Gómez Bordonado,모이 고메스
Nando Martínez,난도 마르티네스
José Antonio Irulegui,호세 안토니오 이룰레기
Cristian Bustos Costa,크리스티안 부스토스
Dolores González Catarain,돌로레스 곤살레스 카타라인
Patxi Ferreira,파치 페레이라
Lisardo Guarinos,리사르도 구 아리 노스
Pedro de Felipe,페드로 데 펠리페
Rodolfo Martín Villa,로돌포 마르틴 비야
Toni Acosta,토니 아코스타
David López Silva,다비드 로페스 실바
Agustín Esteve,아구스틴 에스테베
Tomás Zarraonandía,토마스 사라오난디아
Remedios Cervantes Montoya,세르반테스 레메디오스
Vanesa Lorenzo,바네사 로렌소
Alberto Garzón Espinosa,알베르토 가르손
Graciano López Jaena,그라시아노 로페스 하에나
Luis Pérez Dasmariñas,루이스 페레스 다스마리냐스
Adrián San Miguel del Castillo,산 미겔 델 카스티요 애드리안
Javier Botet,하비에르 보테트
Roberto Bertol,로베르토 베르톨
Rosa María Castillejo,로사 마리아 카스티예호
Víctor García,빅터 가르시아
Víctor Álvarez Delgado,빅터 알바레스 델가도
Javier Pereira,하비에르 페레이라
Vania Millán,바니아 밀란
Venancio Pérez,베낭시오 페레스
Julián de Ajuriaguerra,훌리안 데 아후리아게라
Gaspar Rubio,가스파르 루비오
Javier Manquillo,하비에르 망키요
Jaime Blanch,호세 블랑치
Sofía Mazagatos,소피아 마자가토스
Carme Elias,카르메 엘리아스
Víctor Chou,저우쯔쉬안
Álvaro Giménez,알바로 히메네스
Marta Hazas,마르타 아사스
Belén Fabra,벨렌 파브라
Wilma González,윌마 곤살레스
Taymi Chappe,타이미 차페
Yolanda Ramos,욜란다 라모스
Luis Sera,루이스 세라
María Castro,마리아 카스트로
Paco Llorente,프란시스코 요렌테 헨토
Ángel Atienza,앙헬 아티엔사
Jonathan Castro Otto,조나단 카스트로 오토
Clara Alonso,클라라 알론소
Juan Pablo Añor,후안피
Ángel de los Santos,앙헬 데 로스 산토스
Josemi Carmona,호세미 카르모나
Ignacio Aguirrezabala,이그나시오 아기레사발라
Domingo Gómez-Acedo,도밍고 고메스아세도
Silverio Izaguirre,실베리오 이사기레
Juan Artola,후안 아르톨라
Álvaro Urquijo,알바로 우르키호
Natalya Vetlitskaya,나탈리아 베 틀리 스카 야
Carlos García Cantarero,카를로스 가르시아 칸타레로
Sabino Bilbao,사비노 빌바오
Mariano Arrate,마리아노 아라테
Francisco Pagaza,프란시스코 파가사우르툰두아
Herminio Almendros,에르미니오 알멘드로스
Manuela Vellés,마누엘라 베예스
Norma Ruiz Izquierdo,노르마 루이스
Jesús Larraza,헤수스 라라사
Yuri Berchiche Izeta,유리 베르치체
Andrés Sabido,안드레스 사비도
Aura Garrido,아우라 가리도
Ramón Gabilondo,라몬 가빌론도
José Luis Fernández Manzanedo,호세 루이스 페르난데스 만사네도
Alfredo Ortuño,알프레도 오르투뇨
José María Igartua,호세 마리아 이가르투아
José Quirante,호세 키란테
José Navas,호세 나바스
Antonio Mateu Lahoz,안토니오 마테우 라오스
José María Amorrortu,호세 마리아 아모로르투
Melani Olivares,멜라니 올리바레스
José Luis Álvarez y Álvarez,José Luis Álvarez
Juan Araujo,후안 아라우호
José María Peña San Martín,호세 마리아 페냐
José Ramón Gallego,호세 라몬 가예고
José María Núñez Urrezola,호세 마리아 누녜스 우레솔라
Álex González,알렉스 곤살레스
Carlotta Giudicelli,카를로타
Alejandro Martínez Sánchez,알렉스 마르티네스
Ignacio García López,이그나시오 가르시아 로페스
Juan Urquizu,후안 우르키수
Diana Navarro,디아나 나바로
Juan de Arespacochaga,Juan de Arespacochaga
Alberto Moreno Pérez,알베르토 모레노
Josep Maria Nogués,주제프 마리아 노게스
Andrés Mendieta,안드레스 멘디에타
Endika Guarrotxena,엔디카 과로체나
Luis Costa,루이스 코스타 후안
Gabino Diego,가비노 디에고
Alejandro Maximino,알레한드로 마시미노
Alejandro Rodríguez de Miguel,알레한드로 로드리게스 데 미겔
Vicente Sardinero,비센테 사르디네로
Alexia Putellas,알렉시아 푸테야스
Alexis Trujillo,알렉시스 트루히요
Eugeni Asencio,에우헤니 아센시오
Eugenia Santana,유지니아 산타나
Carmen Franco y Polo,마리아 델 카르멘 프랑코
Alberto Machimbarrena,알베르토 마침바레나
David Martí,데이빗 마티
Fernando Velázquez,페르난도 벨라즈퀘즈
Consuelo Femenía Guardiola,콘수엘로 페메니아
Amanda Sampedro,아만다 삼페드로
Carles Puigdemont,카를레스 푸지데몬
Luisa Martín,루이사 마르틴
Roser Tapias,로세르 타피아스
Cristian Gómez García,크리스티안 고메즈 가르시아
Francisco Bizcocho,프란시스코 비스코초
Claudio Biern Boyd,클라우디오 비에른 보이드
Olegar Fedoro,올리거 페도로
Pablo González Bernardo,파블로 곤살레스
Melchor García Sampedro,멜초르 가르시아 삼페드로
Francisco Javier López García,하비에르 로페스 가르시아
Hilarión Eslava,일라리온 에슬라바
Roger Casamajor,로저 카사마조
Ana Álvarez,아나 알바레즈
Sotero Aranguren,소테로 아랑구렌
David Aja,다비드 아하
Idoia López Riaño,이도이아 로페스 리아뇨
Àlex Ollé,알렉스 올레
Daniel Acuña,다니엘 아쿠냐
David Lafuente,다비드 라푸엔테
David López López,다비드 로페스
David Lyme,데이비드 라임
Jorge David López Fernández,다비드 로페스 페르난데스
Amat Escalante,아마트 에스칼란테
Francisco Reiguera,프란시스코 레이게라
Jan Baalsrud,얀 볼스루
David Selvas,다비드 셀바스
Del Negro,델 네그로
Antonio Benítez Fernández,안토니오 베니테스 페르난데스
Antonio Bonet Silvestre,안토니오 보네트 실베스트레
Antonio Trashorras,안토니오 트라쇼라스
Diego de Astor,디에고 데 아스토르
Julio Olaizola,훌리오 올라이솔라
Adriana Torrebejano,아드리아나 토레베하노
Anna Castillo,아나 카스티요
Elsa Anka,엘사 안카
Moisés Arteaga,모이세스 아르테아가
Asier Garitano,아시에르 가리타노
Elixabete Sarasola,엘리샤베테 사라솔라
Juan Carlos Álvarez,후안 카를로스 알바레스
Luis Gálvez Rodríguez de Arias,루이스 갈베스 로드리게스 데 아리아스
Jacinto Grau,하신토 그라우
Pau Masó,파우 마소
Félix Quesada,펠릭스 케사다
Elena Gadel,엘레나 가델
Emilio Gavira,에밀리오 가비라
Bea Segura,베아 세구라
Emilio Moreno,에밀리오 모레노
Enric Sala,엔릭 살라
Ana Higueras,아나 이게라스
Alba Ribas Benaiges,알바 리바스
Alba Rico Navarro,알바 리코
Antonio Fuertes,안토니오 푸에르테스
Albert Adrià Acosta,알버트 아드리아
Quique Ramos,키케 라모스
Pablo Chiapella,파블로 키아페야
Javi Gracia,하비 그라시아
Gerard Moreno Balagueró,제라르 모레노
Germán Garrido,헤르만 가리도
José María Javierre Ortas,호세 마리아 하비에레
Alberto Trifol,알베르토 트리폴
Alejandra Onieva,알레한드라 오니에바
Isidro Ortiz,이시드로 오티즈
Germán Gómez Gómez,헤르만 고메스
Manuel Zúñiga Fernández,마누엘 수니가
Alfonso Dastis,알폰소 다스티스
Alfonso Fernández Mañueco,알폰소 페르난데스 마뉴에코
Alejandro Sánchez Benítez,알렉스 산체스
Patricia Montero,파트리시아 몬테로
Carlos Jiménez Villarejo,카를로스 히메네스 비야레호
Esteban Maroto,에스테반 마로토
Miguel Gallastegui,미겔 갈라스테기
Joan Francesc Ferrer Sicilia,주안 프란세스크 페레르 시실리아
Ángela Cremonte,앙헬라 크레몬테
Antonio Serrano (músico),안토니오 세라노
Alicia Bogo,알리시아 보고르
Alicia Rubio,알리시아 루비오
Alicia Sanz,알리시아 산스
Guillermo Pérez Moreno,기예르모 페레스 모레노
Eulogio Aranguren,에울로히오 아랑구렌
Anunciada Fernández de Córdova,아눈시아다 페르난데스 데코르도바
Rafaela Aparicio,라파엘라 아파리시오
Arturo Arribas,아르투로 아리바스
Bimba Bosé,빔바 보세
Arturo Navarro García,아르투로 나바로
Arturo Pareja-Obregón de los Reyes,아르투로 파레하 오브레곤
Ruth Vega Fernandez,루트 베가 페르난데스
Juan Habichuela,후안 아비추엘라
Amparo Pamplona,암파로 팜플로나
Amparo Valle,암파로 밸
