Figueras,菲格拉斯
Autovía A-91,A-91高速公路（西班牙）
Catedral de Santa Tecla de Tarragona,塔拉哥納主教座堂
La Joyosa,拉霍约萨
Gran Teatro del Liceo,利塞奧大劇院
Taboadela,塔沃阿德拉
Selección de fútbol sub-21 de España,西班牙21歲以下國家足球隊
Copa Cataluña,加泰隆尼亞杯
Bellmunt del Priorato,贝利蒙特德尔普里奥拉特
Aeropuerto de Gran Canaria,大加那利机场
Belmez,贝尔梅斯
Copa Eva Duarte,伊娃·貝隆盃
Metro de Palma de Mallorca,帕爾馬地鐵
Monte Hacho,雅科山
Copa de Campeones de División de Honor Juvenil,青年足球冠軍盃
Lloá,埃利洛阿尔
L'Arboç,拉尔沃斯斯
Vista de Toledo,托莱多风景
Bloque Nacionalista Galego,加利西亚民族主义集团
Autovía Ciudad Real-Puertollano,雷阿尔城-普埃托拉诺高速公路（西班牙）
Autovía de Toledo,托莱多高速公路（西班牙）
Autovía de la Costa de la Luz,拉鲁斯海岸高速公路（西班牙）
Macizo del Garraf,加拉夫山脈
Convergència Democràtica de Catalunya,加泰羅尼亞民主統一
judeoconverso,改宗猶太人
Tour de Francia 2014,2014年環法自由車賽
Boo,布
Casa de Borbón-Anjou,西班牙波旁王朝
B&B Hotels,B&B酒店
Latina,拉丁區
Bilbao Athletic,毕尔巴鄂B队
red ferroviaria española,西班牙鐵路交通
Cueva de Altamira y arte rupestre paleolítico del norte de España,阿尔塔米拉洞和西班牙北部旧石器时期洞窟岩画
Copa del Generalísimo de fútbol 1946,1946年西班牙大元帅杯
Avión,阿维翁
Avenida Diagonal,对角线大道
Avinyonet del Penedés,阿维尼奥内特德尔佩内德斯
Axpe Achondo,巴列德阿琼多
Ermua,埃尔穆阿
Benuza,贝努萨
Autovía A-73,A-73高速公路（西班牙）
Autovía A-75,A-75高速公路（西班牙）
Autovía Badajoz-Granada,巴达霍斯-格拉纳达双车道（西班牙）
Operación Puerto,港口行動
Onteniente,翁蒂涅恩特
Universidad de Lérida,莱里达大学
Totalán,托塔兰
Abanto y Ciérvana,阿万托和谢尔瓦纳
Vedia,贝迪亚
Barakaldo Club de Fútbol,巴拉卡爾多足球俱樂部
Torneo WTA de Barcelona,巴塞罗那女子网球公开赛
Aviaco,西班牙商業航空
Ceráin,塞赖恩
Casillas de Coria,卡西利亚斯德科里亚
Hogueras de Alicante,聖約翰篝火
Santa Cruz de la Sierra,圣克鲁斯德拉谢拉
Ciudadela de Menorca,休塔德利亚德梅诺尔卡
Anexo:Saltos en los Juegos Olímpicos de Barcelona 1992,1992年夏季奧林匹克運動會跳水比賽
Grifols,基立福
Queso Idiazabal,伊迪亚萨瓦尔奶酪
Universidad de Murcia,莫夕亞大學
Rabanales,拉瓦纳莱斯
Villanueva de la Cañada,卡尼亚达新镇
Castillo y Elejabeitia,卡斯蒂略和埃莱哈韦蒂亚
Berango,贝兰戈
Tour de Francia 1976,1976年環法自由車賽
Vuelta a España 2007,2007年环西自行车赛
Torrecampo,托雷坎波
Rally Dakar de 2001,2001年巴黎-达喀尔拉力赛
Rally Dakar de 2003,2003年達喀爾拉力賽
Valdepeñas,巴尔德佩尼亚斯
Milles de la Polvorosa,米列斯德拉波尔沃罗萨
Bosque mediterráneo del noreste de España y el sur de Francia,西班牙东北部和法国南部地中海森林
Cueva de El Pendo,潘多洞
Villarrubio,比利亚鲁维奥
Copa del Sol 2013,2013年太阳杯国际足球邀请赛
Ribesalbes,里韦萨尔韦斯
Villalba del Alcor,比利亚尔瓦德拉尔科尔
Rabanera,拉瓦内拉
Valsequillo,巴尔塞基略
Villafranca de Bonany,博纳尼自由镇
Valdemadera,巴尔德马德拉
Alarba,阿拉尔瓦
Bujalance,布哈兰塞
Ereño,埃雷尼奥
Busturia,布斯图里亚
Copa del Rey de fútbol 1992-93,1992年至1993年西班牙国王杯
Vía Augusta,奧古斯塔道
Estadio de los Juegos Mediterráneos,馬迪亞蘭里奧球場
Montbrió de Tarragona,蒙特夫里奥德尔坎普
Elorrio,埃洛里奥
Ribeira,里贝拉
La Algaba,拉尔加瓦
Estación de Arco de Triunfo,凯旋门站
Estación de Paseo de Gracia,格拉西亚大道站
Estación de Plaza de Cataluña,加泰羅尼亞廣場車站
Barcelona-Estación de Francia,巴塞隆拿法國車站
Aeropuerto de Albacete,阿爾瓦塞特機場
Estación de Machado,馬查多站
Loranca de Tajuña,洛兰卡德塔胡尼亚
Mobile World Congress,世界移動通信大會
Lauquíniz,劳基尼斯
Destinos de Iberia,西班牙国家航空航点
Tour de Francia 1949,1949年環法自由車賽
HEMA,HEMA (零售)
Tour de Francia 1961,1961年環法自由車賽
Peñausende,佩尼奥森德
Campeonato Mundial de Piragüismo de 2002,2002年世界皮划艇竞速锦标赛
Museo Cerralbo,塞拉博博物馆
Azuara,阿苏阿拉
Valle de Yerri,巴列德耶里
Real Madrid Club de Fútbol "C",皇家馬德里C隊
Sepúlveda,塞普尔韦达
Navarra,纳瓦拉葡萄酒产区
Celada del Camino,塞拉达德尔卡米诺
Festival de Cine de Sitges,錫切斯電影節
Valdelacalzada,巴尔德拉卡尔萨达
Mazamorra,马萨莫雷拉
sierra de Gredos,格雷多山脉
Euzko Gudarostea,巴斯克军
Castrillo Mota de Judíos,卡斯特里略马塔胡迪奥斯
Santa Cruz de Paniagua,圣克鲁斯德帕尼亚瓜
Copa del Rey de fútbol 2008-09,2008年至2009年西班牙國王盃
Azcoitia,阿斯科伊蒂亚
Adamuz,阿达穆斯
La Axarquía,阿克沙奎亞
Oficina de Propiedad Intelectual de la Unión Europea,欧盟知识产权局
Ayegui,阿耶吉
Comarca de Bergantiños,贝尔甘蒂尼奥斯县
Azanuy-Alins,阿萨努伊-阿林斯
Arroyo Abroñigal,阿布罗尼加尔河
Proaza,普罗阿萨
Segunda División de España 1940/41,1940年至1941年西班牙足球乙级联赛
Segunda División de España 1933/34,1933年至1934年西班牙足球乙级联赛
Alguaire,阿尔瓜伊雷
Segunda División de España 1953/54,1953年至1954年西班牙足球乙级联赛
Azuqueca de Henares,阿苏克卡德埃纳雷斯
Boltaña,博尔塔尼亚
Bolulla,博卢利亚
Vilvestre,比尔韦斯特雷
Estación Intermodal Plaça d'Espanya,帕爾馬車站
Batalla de Golpejera,戈爾佩赫拉戰役
Universidad de Alcalá,阿爾卡拉大學
Serie 121 de Renfe,西班牙国铁121型电力动车组
Serie 269 de Renfe,西班牙国铁269型电力机车
Cenarruza-Puebla de Bolívar,塞纳鲁萨-博利瓦尔镇
Los Monegros,曼格羅斯
Parque del Retiro,丽池公园
queso de Cabrales,卡伯瑞勒斯芝士
Santa María del Naranco,納蘭科山聖瑪利亞教堂
Universidad Carlos III de Madrid,马德里卡洛斯三世大学
Liencres,利恩克雷斯
Garcia,加尔西亚
Alhaurín de la Torre,阿尔奥林德拉托雷
Robledillo de Trujillo,罗夫莱迪略德特鲁希略
Campeonato Mundial de Bádminton de 2001,2001年世界羽毛球錦標賽
Campeonato Mundial de Bádminton de 2006 - Dobles femenino,2006年世界羽毛球錦標賽女子雙打項目
Campeonato Mundial de Bádminton de 2006,2006年世界羽毛球锦标赛
Copa del Rey de fútbol 2006-07,2006–07西班牙國王盃
Garrovillas de Alconétar,加罗维利亚斯德亚尔科内塔尔
Iznájar,伊斯纳哈尔
Sandianes,桑迪亚斯
Copa del Rey de fútbol 2004-05,2004–05年西班牙國王盃
Pinto,平托
Segunda División de España 1974/75,1974年至1975年西班牙足球乙级联赛
Línea Pau - Canfranc,波城－孔弗朗铁路
La Palma del Condado,拉帕尔马德尔孔达多
Villarreal de Urrechua,比利亚雷亚尔-德乌雷丘阿
Estación de Santa Justa,塞維利亞聖胡斯塔站
estación de Toledo,托莱多站
Estación de Valencia-Joaquín Sorolla,巴倫西亞華金·索羅拉車站
Estación intermodal Zaragoza-Delicias,萨拉戈萨-德利西亚斯铁路站
Línea Madrid-Barcelona,馬德里－巴塞隆拿鐵路
Línea Burdeos-Irún,波尔多－伊伦铁路
La rendición de Breda,布拉達之降
estación de Málaga-María Zambrano,马拉加-玛丽亚·赞布拉诺站
Tardienta,塔尔迪恩塔
Touro,托鲁
Fraga,弗拉加
Banco Bilbao Vizcaya Argentaria,西班牙外换银行
Grupo Santander,桑坦德銀行
Barrado,巴拉多 (卡塞雷斯省)
Torneo WTA de Barcelona 2009,2009年巴塞隆納女子網球公開賽
Orden Hospitalaria de San Juan de Dios,聖若望昆仲會
Estación de Barcelona Sants,巴塞隆納聖徒車站
Estación de Abando Indalecio Prieto,畢爾包-阿萬多車站
Estación Internacional de Canfranc,坎弗蘭克國際鐵路站
Porrera,波雷拉
Godall,戈达利
Freginals,弗雷希纳尔斯
Pasanant,帕萨南特
Solivella,索利韦利亚
Viana,比亚纳
don,唐
Divisiones regionales de fútbol de España,西班牙足球地区联赛
Monumento,歷史藝術古蹟
Pedro Muñoz,佩德罗穆尼奥斯
Tres Cantos,特雷斯坎托斯
Daroca,达罗卡
Aeropuerto de La Palma,拉帕尔马机场
Senés de Alcubierre,塞内斯德亚尔库维耶雷
Condado de Castilla,卡斯蒂利亚伯国
Falange Española Tradicionalista y de las JONS,傳統主義西班牙國家工團主義進攻委員會方陣
Rocaille,石贝装饰
Bajo Cinca,下辛卡
Segunda División de España 1973/74,1973年至1974年西班牙足球乙级联赛
Segunda División de España 1970/71,1970年至1971年西班牙足球乙级联赛
Segunda División de España 1958/59,1958年至1959年西班牙足球乙级联赛
Segunda División de España 1994/95,1994年至1995年西班牙足球乙级联赛
Forfoleda,福尔福莱达
La Manga del Mar Menor,拉曼加
Comarca de la Bahía de Cádiz,加的斯湾县
Villarejo-Periesteban,比利亚雷霍-佩列斯特万
Lécera,莱塞拉
Borriol,博里奥尔
Santa Cruz de Nogueras,圣克鲁斯德诺格拉斯
Unió Esportiva Sant Andreu,聖安德魯
Línea de alta velocidad Madrid-Levante,馬德里－東地中海高速鐵路
Segunda División de España 1950/51,1950年至1951年西班牙足球乙级联赛
basílica de Santa María del Mar,海洋圣母圣殿
Segunda División de España 1949/50,1949年至1950年西班牙足球乙级联赛
Parlamento Vasco,巴斯克自治區議會
Rincón de la Victoria,林孔德拉维克托里亚
Botarell,博塔雷利
Aramayona,阿拉马约纳
La Vilueña,拉维卢埃尼亚
Benamejí,贝纳梅希
Segunda División B de España 2011/12,2011年至2012年西班牙足球乙二级联赛
Estación de Portbou,波尔布站
Artana,阿尔塔纳
Academia de Infantería de Toledo,托萊多步兵學院
Paralelo 39 norte,北緯39度線
Cortes de Cádiz,加的斯議會
Final de la Copa Mundial de Fútbol de 1982,1982年世界盃足球賽決賽
Sestao,塞斯陶
Pobla de Mafumet,拉波夫拉德马富梅特
Cabacés,卡瓦塞斯
Vinebre,比内夫雷
Unión Estepona Club de Fútbol,伊塔普納聯盟足球會
Santervás de la Vega,桑特尔瓦斯德拉韦加
Villamanín,比利亚马宁
Cordobilla de Lácara,科尔多维利亚德拉卡拉
El Poblenou,波里诺
Baquio,巴基奥
Baldellou,巴尔德略
Navares de Enmedio,纳瓦雷斯登梅迪奥
Nieva,涅瓦
La Mata de los Olmos,拉马塔德洛索尔莫斯
Nou Mestalla,新梅斯塔利亚球场
Nafarroa Bai,纳瓦拉是的
Cariño,卡里尼奥
árabe andalusí,安達盧斯阿拉伯語
Pira,皮拉
Las Pilas,莱斯皮莱斯
Segunda División de España 1965/66,1965年至1966年西班牙足球乙级联赛
Segunda División de España 1981/82,1981年至1982年西班牙足球乙级联赛
Segunda División de España 1962/63,1962年至1963年西班牙足球乙级联赛
Segunda División de España 1967/68,1967年至1968年西班牙足球乙级联赛
Segunda División de España 1957/58,1957年至1958年西班牙足球乙级联赛
Segunda División de España 1961/62,1961年至1962年西班牙足球乙级联赛
Castilblanco de los Arroyos,卡斯蒂尔夫兰科德洛萨罗约斯
Villares de Jadraque,比利亚雷斯德哈德拉克
catedral de Ávila,阿维拉主教座堂
Campeonato Mundial de Hockey sobre Hierba Femenino de 2006,2006年世界杯女子曲棍球赛
La Nou de Gaya,拉诺德盖阿
Conesa,科内萨
Montesa,蒙特萨
Estadio El Toralín,托拉林球场
Premio Goya a los mejores efectos especiales,哥雅獎最佳特效
Terrer,特雷尔
toro de lidia,西班牙斗牛
Accidente del camping de Los Alfaques,1978年西班牙聖卡羅迪拉丙烯槽車爆炸事故
Campeonato de Europa de Béisbol 2007,2007年歐洲棒球錦標賽
cabo Finisterre,非尼斯泰尔角
Cornisa Cantábrica,绿西班牙
Costa de la Luz,阳光海岸 (西班牙)
Virgen de la Almudena,阿穆德納聖母
Pontils,蓬蒂尔斯
El Molar,埃尔莫拉尔
Imperio español en Asia y Oceanía,西屬東印度群島
Crisis económica de 1993 en España,1990年代初经济衰退
Federación Española de Deportes de Hielo,西班牙冰上运动联合会
Sobrescobio,索夫雷斯科维奥
Oyarzun,奥亚尔孙
Banesto,Banesto银行
Bankia,班基亚银行
Bankinter,西班牙洲際銀行
Barajas,巴拉哈斯區
Segunda División de España 1959/60,1959年至1960年西班牙足球乙级联赛
Segunda División de España 1960/61,1960年至1961年西班牙足球乙级联赛
Segunda División de España 1963/64,1963年至1964年西班牙足球乙级联赛
Segunda División de España 1996/97,1996年至1997年西班牙足球乙级联赛
Gran Premio de Cataluña de Motociclismo de 2011,加泰隆尼亞
Gran Premio de España de motociclismo de 2011,2011年西班牙摩托車大獎賽
Hernán-Pérez,埃尔南-佩雷斯
Escuela de Alta Dirección y Administración,巴塞隆納高級管理學院
Agencia EFE,埃菲通讯社
Madrigal de las Altas Torres,马德里加尔德拉萨尔塔斯托雷斯
Sariego,萨列戈
Júzcar,胡斯卡尔
Campeonato Mundial de Baloncesto de 2014,2014年男篮世界杯
Cendea de Cizur,西祖尔
basílica de la Virgen de los Desamparados,无助者之圣母圣殿
Torneo Conde de Godó 2009 (individual masculino),2009年巴塞罗那网球公开赛
Beach Soccer Worldwide,沙灘足球世界
Medina de las Torres,梅迪纳德拉斯托雷斯
Navaluenga,纳瓦伦加
balear,巴利阿里方言
Ballobar,巴略瓦尔
La Calzada de Oropesa,卡尔萨达德奥罗佩萨
Nivelle,尼韦勒河
Mazarrón,马萨龙
Mañaria,马尼亚里亚
Vegalatrave,贝加拉特拉韦
Riudecañas,留德卡涅斯
Casares,卡萨雷斯
Comarca del Barbanza,巴尔班萨县
Maratón de Barcelona,巴塞隆納馬拉松
"Pabellón alemán, Barcelona",1929年巴塞罗那世界博览会德国馆
Barcelona Dragons (NFL Europe),巴塞隆那龍隊
Erandio,埃兰迪奥
Peñarroya-Pueblonuevo,佩尼亚罗亚新村
Doña Mencía,多尼亚门西亚
Mellid,梅利德
Sociedad Deportiva Beasain,貝薩因足球俱樂部
Catedral-Basílica de Nuestra Señora del Pilar de Zaragoza,皮拉尔圣母圣殿主教座堂
Aljaraque,阿尔哈拉克
Grupos Antiterroristas de Liberación,反恐怖主义解放团
Batalla de Belchite,贝尔奇特战役
Hermigua,埃尔米瓜
Orgañá,奥尔加尼亚
Luesia,卢埃西亚
Orba,奥尔瓦
Murillo de Gállego,穆里略德加列戈
Y vasca,巴斯克Y
Basella,巴塞利亚
Belver de Cinca,贝尔韦尔德辛卡
Benabarre,贝纳瓦雷
Huétor Tájar,韦托尔-塔哈尔
Yernes y Tameza,耶尔内西塔梅萨
Moriles,莫里莱斯
Nueva Carteya,努埃瓦卡尔泰阿
Orden de Frailes Menores,方濟會小修士
Telescopio Óptico Nórdico,北歐光學望遠鏡
Cañaveral de León,卡尼亚韦拉尔德莱翁
Benitachell,贝尼塔切利
Posadas,波萨达斯
Albox,阿尔沃斯
Adanero,阿达内罗
Gibraleón,希夫拉莱翁
Cala,卡拉
Concilio de Elvira,埃尔韦拉公会议
Estatuto de autonomía de Cataluña de 1979,《1979年自治條例》
Aldover,阿尔多韦尔
Huertahernando,韦尔塔埃尔南多
Calañas,卡拉尼亚斯
Gran Premio de España de Motociclismo,西班牙摩托車大獎賽
Belmonte de Campos,贝尔蒙特德坎波斯
Serrada,塞拉达
Bellesguard,美景屋
Bellreguart,贝利雷瓜尔德
San Lorenzo del Cardezar,桑特略伦斯斯德斯卡尔达萨尔
Santa Eulalia del Río,滨河圣欧拉利娅
Carnaval de Santa Cruz de Tenerife,圣克鲁斯-德特内里费狂欢节
Belchite,贝尔奇特
Velefique,贝莱菲克
Pinarejo,皮纳雷霍
Beire,贝雷
Asedio del Alcázar de Toledo,城堡围攻战
Batalla de Badajoz (1812),1812年巴達霍斯圍城戰
Anexo:Universidad de Madrid (desambiguación),马德里大学
Pasaporte español,西班牙护照
monasterio de San Juan de los Reyes,圣若望皇家修道院
Montuiri,蒙图伊里
Novelda,诺韦尔达
Real Club Deportivo Mallorca "B",馬略卡B隊
Valsequillo de Gran Canaria,大加那利岛巴尔塞基略
magosto,栗子节
Alió,阿利奥
Puente de Armentera,埃尔蓬特达尔门特拉
Diezma,迭斯马
Güímar,圭马尔
Ferrerías,费雷列斯
Vandellós y Hospitalet del Infante,班德略斯和奥斯皮塔莱特-德尔因凡特
Jabugo,哈武戈
La Guancha,拉关查
Puigpelat,普伊格佩拉特
Garrucha,加鲁查
Manilva,马尼尔瓦
La Mojonera,拉莫霍内拉
Esparragosa de Lares,埃斯帕拉戈萨德拉雷斯
Fuente del Maestre,丰特德尔迈斯特雷
Herrera del Duque,埃雷拉德尔杜克
Ampolla,兰波利亚
La Aldea,拉尔德亚
Turrillas,图里利亚斯
Castro de Filabres,卡斯特罗德菲拉夫雷斯
Jumilla,胡米利亚
Ribadavia,里瓦达维亚
Salas,萨拉斯
Noreña,诺雷尼亚
Santiago del Teide,圣地亚哥-德尔泰德
Chinchón,钦琼
Santa Eugenia,圣欧亨尼娅
Santañí,桑塔尼伊
Batea,巴特阿
Baélls,拜利斯
Anexo:Tenis de mesa en los Juegos Paralímpicos de Barcelona 1992,1992年夏季殘奧會桌球比賽
Ebro Foods,里維亞納食品
Batalla del Ebro,埃布罗战役
Carlet,卡尔莱特
Alberique,阿尔韦里克
Santa Amalia,圣阿马利亚
Los Gallardos,洛斯加利亚尔多斯
Unión de Ligas Europeas de Baloncesto,欧洲篮球联赛联盟
Navarrete,纳瓦雷特
Centro Nacional de Inteligencia,国家情报中心
Benaoján,贝瑙汉
Benarrabá,贝纳拉瓦
Tembleque,滕夫莱克
Guarromán,瓜罗曼
Iznalloz,伊斯纳略斯
Xeraco,克塞拉科
Pla del Penedés,埃尔普拉德尔佩内德斯
Benifairó de la Valldigna,贝尼法伊罗德拉瓦利迪格纳
Ictíneo I,魚類1號潛艇
Condado de Ribagorza,里瓦戈萨
Catedral de Santa María de Palma de Mallorca,帕尔马主教座堂
Puerto de Ibañeta,龙塞斯瓦列斯山口
puente de los Franceses,洛斯弗兰塞塞斯桥
Anexo:XVI edición de los Premios Goya,第16屆哥雅獎
Cueva de Ekain,艾肯洞
Font màgica de Montjuïc,蒙特惠奇魔法噴泉
Benicarló,贝尼卡尔洛
Ejea de los Caballeros,埃赫亚德洛斯卡瓦列罗斯
Masamagrell,马萨马格雷利
Rafelcofer,拉费尔科费尔
Calasparra,卡拉斯帕拉
Partido Andalucista,安达卢西亚党
Parque Las Águilas,拉斯阿吉拉斯森林公园
iglesia de Santa María de Tahull,圣玛丽亚教堂
Paralelo 41 norte,北緯41度線
Jimena de la Frontera,希梅纳-德拉弗龙特拉
cántabro,坎塔布連方言
Mérida Unión Deportiva,梅列達
Samos,萨莫斯
Villar de Cañas,卡尼亚斯村
Fontrubí,丰特-鲁维
Marca,馬卡報
Estadio Municipal de Anoeta,阿諾耶塔體育場
Benahavís,贝纳阿维斯
Benalauría,贝纳劳里亚
Piloña,皮洛尼亚
Gozón,戈松
San Martín del Rey Aurelio,圣马丁德尔雷奥雷利奥
Pabellón Olímpico de Badalona,巴达洛纳市体育馆
Cabranes,卡夫拉内斯
Foz,福斯
Molina de Segura,莫利纳德塞古拉
Mieres,米耶雷斯
Ibias,伊维亚斯
Ontiñena,翁蒂涅纳
Villarrodrigo,比利亚罗德里戈
San José,桑特霍塞普德萨塔莱阿
Calafell,卡拉费利
Osso de Cinca,奥索德辛卡
Torrente de Cinca,托伦特德辛卡
La Matanza de Acentejo,拉马坦萨-德阿森特霍
Montferri,蒙特费里
Beas de Segura,贝亚斯德塞古拉
Nova Creu Alta,新高十字球场
Aeropuerto de Pamplona,潘普洛纳机场
Bonrepós y Mirambell,邦雷波西米兰韦利
Guadasuar,瓜达苏阿尔
Roncesvalles,龙塞斯瓦列斯
Josá Tuixent,霍赛图伊克森
Fígols y Aliñá,菲戈尔西亚利尼亚
Vegadeo,贝加德奥
Bimenes,比梅内斯
Tomelloso,托梅略索
Vinaroz,比纳罗斯
Cudillero,库迪列罗
Tafalla,塔法利亚
Parres,帕雷斯
Monforte de Lemos,蒙福尔特德莱莫斯
Vega de Valcarce,贝加德瓦尔卡尔塞
Valverde de la Virgen,巴尔韦尔德德拉维尔亨
Cepeda la Mora,塞佩达拉莫拉
Algar,阿尔加尔
Archidiócesis de Toledo,天主教托莱多总教区
Madrid Arena,馬德里體育館
Campeonato Mundial de Atletismo en Pista Cubierta de 1995,1995 巴塞羅那
línea 11 del Metro de Barcelona,巴塞羅那地鐵11號線
elecciones generales de España de 2008,2008年西班牙大選
Paseo de Gracia,格拉西亚大道
Teatre Nacional de Catalunya,加泰羅尼亞國立歌劇院
Trasmiras,特拉斯米拉斯
El Bulli,鬥牛犬餐廳
Noya,诺亚 (拉科鲁尼亚省)
Rugat,鲁加特
Castellón de Rugat,卡斯特略德鲁加特
Laviana,拉维亚纳
Pravia,普拉维亚
Parque Nacional,西班牙国家公园
Selección de béisbol de España,西班牙棒球代表隊
Paralelo 42 norte,北緯42度線
Santurce,桑图尔塞
Algodonales,阿尔戈多纳莱斯
ruta europea E09,欧洲E9公路
Pico Veleta,韋萊塔峰
Parque nacional de la Sierra de las Nieves,涅韋斯山脈
Premio Biblioteca Breve,簡明圖書獎
Caldera de Taburiente,塔武连特山国家公园
Vera de Bidasoa,比达索阿河畔贝拉
Ejército de Tierra de España,西班牙陸軍
Ilustración en España,西班牙波旁王朝
aeropuerto de Vigo-Peinador,維戈
Acerinox,阿塞里諾克斯
Villadangos del Páramo,比利亚丹戈斯德尔帕拉莫
Tratado de Madrid,馬德里條約（1750年）
Pozoblanco,波索夫兰科
Villayón,比利艾翁
Castillo de Belmonte,貝爾蒙特城堡
Valencia Club de Fútbol Mestalla,華倫西亞馬斯泰拿隊
Instituto Nacional de Técnica Aeroespacial,西班牙国家太空科技研究所
Constitución de España de 1812,1812年西班牙憲法
Ginzo de Limia,克辛索德利米亚
Costa Blanca,白色海岸
Illano,伊利亚诺
Potes,波特斯
Es Migjorn Gran,埃斯米格霍尔恩格兰
Esplús,埃斯普卢斯
Santa Cilia,圣西利亚
Santa Brígida,圣布里希达
Santa Margarita,圣马尔加利达
Mozos de Escuadra,加泰羅尼亞騎警
Monumento Natural del Roque Nublo,努布洛岩
Puigpuñent,普奇普年特
San Juan Bautista,圣胡安包蒂斯塔
Parla,帕尔拉
Alcampell,阿尔坎佩利
La Nucía,拉努西亚
San Sadurní de Noya,桑特萨杜尔尼达诺亚
Guadalest,瓜达莱斯特
Plaza de las Glorias Catalanas,加泰罗尼亚荣耀广场
Bandera de la Comunidad de Madrid,马德里自治区区旗
Torrijos,托里霍斯
Barbalos,巴尔瓦洛斯
Oliva,奥利瓦
Poleñino,波莱尼伊诺
Torres de Barbués,托雷斯德瓦尔武埃斯
Trofeo Teresa Herrera,特雷莎·埃雷拉杯
Fuerzas Aeromóviles del Ejército de Tierra,西班牙陸軍空中機動部隊
Camp de Les Corts,勒哥爾特球場
Central nuclear de Almaraz,阿尔马拉斯核电站
Aeropuerto de Castellón-Costa Azahar,卡斯特利翁-橙花海岸機場
Aeropuerto de Ciudad Real,雷阿爾城中央機場
Aeropuerto de El Hierro,耶罗机场
Beriáin,贝里亚因
Anexo:Waterpolo en los Juegos Olímpicos de Barcelona 1992,1992年夏季奧林匹克運動會水球比賽
Pedro Abad,佩德罗阿瓦德
Torrellas de Foix,托雷列斯德福伊斯
Ciudad Rodrigo,罗德里戈城
Serie 334 de Renfe,西班牙国铁334型柴电机车
Camarena de la Sierra,卡马雷纳德拉谢拉
Campo de Fútbol de Vallecas,巴列卡斯足球場
Tuy,图伊
Ciudad del Motor de Aragón,亞拉岡站
Monasterio de Pedralbes,佩德拉比修道院
El Pinar de El Hierro,埃尔皮纳尔-德埃尔耶罗
Setenil de las Bodegas,塞特尼尔德拉斯沃德加斯
Torre Alháquime,托雷亚尔阿基梅
Torrejón de Velasco,托雷洪德韦拉斯科
Sahagún,萨阿贡
Gran Vía,格兰大道
El Palmar,埃尔帕尔马
Paredes de Nava,帕雷德斯德纳瓦
plaza de Cataluña,加泰罗尼亚广场
Ribadeo,里瓦德奥
La Puebla,萨波夫拉
Selva,塞尔瓦
Meseta Central,梅塞塔高原
Tapia de Casariego,塔皮亚德卡萨列戈
Serie 354 de Renfe,西班牙国铁354型柴油机车
Valls,巴利斯
La Puebla de Castro,拉普埃夫拉德卡斯特罗
Villaverde,比利亞韋德區
Cariñena,卡里涅纳
San Miguel de Salinas,圣米格尔德萨利纳斯
Aledo,阿莱多
Álvarez,阿尔瓦雷斯
Sesué,塞苏埃
Puente la Reina de Jaca,蓬特拉雷纳德哈卡
España en la Copa Mundial de Fútbol de 1962,1962年世界杯足球赛西班牙队
Aeropuerto de La Coruña,拉科魯尼亞
Aeropuerto César Manrique Lanzarote,兰萨罗特塞萨尔·曼里克机场
Aeropuerto de Asturias,奧維耶多
La Ribagorza,里瓦戈尔萨
Hispasat,Hispasat
Hotel Arts,藝術酒店
La Orotava,拉奥罗塔瓦
Susinos del Páramo,苏西诺斯德尔帕拉莫
Ministerio de la Presidencia y para las Administraciones Territoriales,西班牙首相及領土事務部
Real Academia de Bellas Artes de San Fernando,皇家聖費爾南多美術學院
Tratado de Madrid,马德里条约
Bandera de La Rioja,拉里奧哈旗幟
Estación de La Pau,和平站
Space Ibiza,太空
plaza de España,西班牙广场
Estadio Abanca Balaídos,巴萊德斯球場
Piracés,皮拉塞斯
Novales,诺瓦莱斯
Consuegra,孔苏埃格拉
Molina de Aragón,莫利纳德亚拉贡
Aeropuerto de Tenerife Sur,特内里费南部机场
Villatuelda,比利亚图埃尔达
Aljarafe,阿爾哈拉費郡
Castropol,卡斯特罗波尔
Illas,伊利亚斯
aeropuerto de Madrid-Cuatro Vientos,四風機場
Vino de España,西班牙葡萄酒
selección de fútbol de Galicia,加利西亞足球代表隊
Poder Judicial de España,西班牙司法機構
El Argar,阿尔加文化
Cueva del Sidrón,西德隆洞穴
ElPozo Murcia,埃爾波佐莫西亞
Puebla del Brollón,阿波夫拉多夫罗利翁
Capdepera,卡普德佩拉
Villeguillo,比列吉略
Tramaced,特拉马塞德
Almuniente,阿尔穆年特
Conquista de la Sierra,孔基斯塔德拉谢拉
Foradada del Toscar,福拉达达德尔托斯卡尔
Valfarta,巴尔法尔塔
Bershka,波丝可
Lascuarre,拉斯夸雷
Gurrea de Gállego,加列戈河畔古雷阿
Vejer de la Frontera,贝赫尔-德拉弗龙特拉
Tomatina,番茄大战
Archidona,阿尔奇多纳
SEAT León,西亞特里昂
San Luis,桑特柳伊斯
Santa Cruz de la Serós,圣克鲁斯德拉塞罗斯
Aeropuerto de San Sebastián,聖塞瓦斯蒂安機場
Aeropuerto de Santander,桑坦德
Aeropuerto de Santiago-Rosalía de Castro,聖地亞哥-德孔波斯特拉
Aldealices,阿尔德亚利塞斯
Sobrarbe,索布拉貝伯國
Monasterio de Santo Domingo de Silos,Santo Domingo de Silos修道院
Endesa Termic,恩德萨塔
Pola de Allande,波拉德阿朗德
Tranvía de Vélez-Málaga,貝萊斯-馬拉加路面電車
