Kazimierz III Wielki,卡齐米日三世
Paweł Wojciechowski,帕维尔·沃杰西乔斯基
Stanisław Jankowski,斯坦尼斯瓦夫·扬科夫斯基
Katarzyna Bachleda-Curuś,卡塔日娜·巴赫莱达-楚鲁希
Nikolai Topor-Stanley,尼古拉·杜普史丹利
Mikołaj Trzaska,米科拉杰·特鲁斯卡
Maja Włoszczowska,马娅·沃什乔夫斯卡
Barbara Brylska,芭芭拉·布雷尔斯卡
Jadwiga Jagiellonka,雅德維加·雅蓋隆卡
Ewa Kłobukowska,伊娃·科沃布科夫斯卡
Katarzyna Woźniak,卡塔日娜·沃伊尼亚克
Katarzyna Smutniak,凱西亞·絲穆妮亞柯
Jadwiga Wajsówna,雅德维加·魏斯
Jerzy Pietrzyk,耶日·皮耶奇克
Jerzy Toeplitz,喬治·特普利茨
Hanna Gronkiewicz-Waltz,葛羅喬維茲華茨
Ryszard Siwiec,理夏德·西维茨
Elżbieta Jagiellonka,伊莉莎白·雅蓋隆卡
Andrzej Badeński,安德烈·巴登斯基
Grzegorz Lato,拉托
Tadeusz Browicz,塔德乌什·博罗维奇
Ewa Braun,伊娃·布勞恩
Egon Petri,埃贡·佩特里
Magdalena Mielcarz,玛达琳娜·米尔卡兹
Krystyna Janda,克里斯汀娜·楊達
Andrzej Fischer,安杰伊·菲舍尔
Leopold Trepper,利奥波德·特雷伯
Jan Tomaszewski,扬·托马谢夫斯基
Stanisław Tym,斯坦尼斯瓦夫·蒂姆
Jadwiga Jagiellonka,海德葳·雅蓋隆
Andrzej Grabowski,安德烈·格拉波夫斯基
Aleksander Szczygło,亚历山大·什奇格沃
Joachim Lelewel,约阿希姆·莱莱韦尔
Bella Darvi,貝拉·黛薇
Andrzej Chyra,安杰伊·黑拉
Andrzej Kondratiuk,安傑伊·孔德拉迪克
Andrzej Korzyński,安傑伊·柯辛斯基
Michał Kamiński,米哈乌·卡明斯基
Gabriel Cichero,薛切奴
Edward Janiak,愛德華·亞尼亞克
Andrzej Grubba,安杰伊·格鲁巴
Edward Michael Grosz,愛德華·M·格羅茲
Edward Osóbka-Morawski,爱德华·奥索布卡-莫拉夫斯基
Edward Dembowski,爱德华·邓波夫斯基
Małgorzata Szumowska,马乌戈热塔·舒莫夫斯卡
Marek Jędraszewski,瑪爾谷·延德拉謝夫斯基
Tadeusz Rybak,塔德烏什·雷巴克
Michał Kucharczyk,米歇爾·庫恰爾切克
Elżbieta Granowska,皮里查的伊丽莎白
Andrzej Juskowiak,安德杰·尤斯科维亚克
Lech Koziejowski,莱赫·科杰约夫斯基
Zofia Holszańska,哈尔沙尼的索菲亚
Eugeniusz Lokajski,欧根纽什·罗卡伊斯基
Dariusz Goździak,达留什·戈伊齐亚克
Mark Kac,馬克·卡茨
Romualdas Sikorskis,羅穆爾達斯·西科爾斯基斯
Maciej Kot,马切伊·科特
Czesław Kwieciński,切斯瓦夫·克维钦斯基
Marcin Żewłakow,策拉科夫
Małgorzata Braunek,马乌戈热塔·布劳内克
Maja Komorowska,玛雅·歌摩劳斯嘉
Andrzej Jasiński,安杰伊·雅辛斯基
Adam Bielański,亞當·別蘭斯基
Maciej Gołąb,馬齊·戈翁布
Ewa Wiśnierska,Ewa Wiśnierska-Cieślewicz
Rafał Piszcz,拉法乌·皮什奇
Jolanta Szymanek-Deresz,乔兰塔·希曼内克-德雷兹
Jurgis Razma,喬吉斯·拉兹瑪
Józef Gierowski,約瑟夫·安德烈·傑羅夫斯基
Robert Mateusiak,罗伯特·马特斯亚克
Andrzej Głąb,安杰伊·格翁布
Rafał Dobrowolski,拉法乌·多布罗沃尔斯基
Jake Kaminski,傑克·卡明斯基
Witold Gombrowicz,維爾托德·貢布羅維奇
Maciej Łasicki,马切伊·瓦西茨基
Paweł Wszołek,帕韋烏·沃萊克
Henri Tajfel,亨利·泰费尔
Stanisława Celińska,斯坦尼斯瓦娃·采林斯卡
Piotr Jaroszewicz,彼得·雅罗谢维奇
Tadeusz Rozwadowski,塔德乌什·罗兹瓦多夫斯基
Artur Wojdat,阿图尔·沃伊达特
Andrzej Piątkowski,安杰伊·皮翁特科夫斯基
Andrzej Piaseczny,皮亞斯克
Maurycy Mochnacki,矛利茨・莫赫納茨基
Andrzej Mostowski,安傑伊·莫斯托夫斯基
Andrzej Munk,安德烈·蒙克
Thomas Gerard Wenski,多默·文斯基
Józef Wysocki,若瑟·維索茨基
Józef Zapędzki,约瑟夫·扎彭兹基
Piotr Nowakowski,皮奥特爾·諾瓦克沃斯基
Józef Wilkoń,魏尔康，约瑟夫
Józef Wróbel,若瑟·弗魯貝爾
Jakub Jarosz,雅庫布·雅羅什
Sala Burton,萨拉·伯顿
Robert Andrzejuk,罗伯特·安杰尤克
Andrzej Szpilman,安傑伊·史匹曼
Andrzej Tarkowski,安德烈·塔克斯基
Andrzej Trautman,安杰伊·特罗特曼
Marek Koźmiński,马雷克·科日明斯基
Lesław Ćmikiewicz,莱斯瓦夫·奇米凯维奇
Władysław Dziewulski,瓦迪斯瓦夫·杰武尔斯基
Krystyna Łybacka,克里斯蒂娜·维巴茨卡
Paula Kania-Choduń,寶拉·簡妮亞
Andrzej Żuławski,安德烈·祖拉斯基
Tadeusz Peiper,塔德乌什·佩帕
Robert Mateja,罗伯特·马特亚
Bolesław I Wysoki,弗次瓦夫公爵波列斯瓦夫一世
Leszek Czarnecki,萊謝克·查爾內基
Wiesław Rudkowski,维斯瓦夫·鲁德科夫斯基
Henryk Marconi,恩里科·馬克尼
Kazimierz Kmiecik,卡齐米日·克梅奇克
Michał Ruciak,米扎爾·盧西亞克
Krzysztof Ignaczak,克爾兹伊斯茨托夫·伊格納兹扎克
Andrzej Strejlau,安杰依·斯特雷劳
Andrzej Seweryn,安德烈·瑟韋林
Łukasz Pawłowski,武卡什·帕夫沃夫斯基
Juliusz Janusz,尤雅士
Andrzej Sekuła,安德列·塞库拉
Moïse Kisling,莫伊斯·基斯林
Stanisław Czaykowski,斯坦尼斯瓦夫·恰厄科夫斯基
Teofil Wilski,戴非洛·維爾斯基
Daniel Edward Pilarczyk,達尼爾·愛德華·皮拉奇克
Jan Kott,扬·科特
Tadeusz Rut,塔德乌什·鲁特
Mieczysław Szcześniak,米泰克·斯澤斯尼亞克
Franciszek Pfeiffer,弗朗齐歇克·普法伊费尔
Janusz Gajos,扬努斯·加约斯
Andrzej Wroński,安杰伊·弗龙斯基
Andrzej Zieliński,安德烈·澤利恩斯基
Ryszard Bolesławski,理查德·波列斯拉夫斯基
Stanisław Jerzy Komorowski,Stanisław Komorowski
Jan Żabiński,扬·萨宾斯基
Tomasz Marczyński,托马斯·马克钦斯基
Wojciech Solarz,沃伊切赫·索拉兹
Józef Wesołowski,约瑟夫·韦索沃夫斯基
Izrael Poznański,伊拉耶爾·波茲南斯基
Grzegorz Rosiński,格热哥·罗辛斯基
Stanisław Syrewicz,斯坦尼斯拉斯·塞鲁维奇
Emil Mejerson,埃米勒·邁爾森
Justyna Steczkowska,尤丝蒂娜·斯黛驰寇夫斯卡
Danuta Stenka,达努塔·斯坦卡
Józef Lipski,約瑟夫·利普斯基
Krzysztof Krauze,克日什托夫·克勞茲
Bartosz Chajdecki,巴托茨·夏德基
Urszula Kielan,乌尔舒拉·凯兰
Małgorzata Glinka-Mogentale,瑪格札塔·格林卡-莫根塔爾
Mariusz Jurkiewicz,马里乌什·尤尔凯维奇
Marta Ptaszyńska,馬達·阿絲妮西卡
Magda Konopka,玛格达·科诺普卡
Kasia Kowalska,卡莎·克瓦爾斯卡
Jerzy Klempel,耶日·克莱姆佩尔
Mariusz Wach,马里乌斯·瓦赫
Hassan Konopacki,哈桑·柯諾帕奇
Herkules Dembowski,埃尔科莱·登博夫斯基
Hanna Zdanowska,汉娜·兹丹诺夫斯卡
Juliusz Machulski,尤利尤斯·马胡尔斯基
Michał Łasko,米凱爾·拉斯科
Grażyna Szapołowska,格拉齐娜·萨波洛夫斯卡
J.R. Celski,杰·亚·塞斯基
Witold Sobociński,维托尔德·贡布罗维奇
Sylwia Gruchała,瑟尔维亚·格鲁哈瓦
Agnieszka Wieszczek-Kordus,阿格涅什卡·维什切克-科尔杜斯
Roger Guerreiro,羅傑爾·蓋雷羅
Katarzyna Kobro,卡塔日娜·科布罗
Agnieszka Gąsienica-Daniel,阿格涅什卡·贡谢尼察-达涅尔
Halszka Osmólska,哈茲卡·奥斯穆斯卡
Raimundas Alekna,雷蒙達斯·阿萊克納
Piotr Adamczyk,彼得·亚雷亚当奇克
Léon Glovacki,利昂·格洛瓦茨基
Kazimierz Dejmek,卡齐米日·德梅克
Edward Śmigły-Rydz,爱德华·雷兹-希米格维
Henryk Górecki,亨里克·戈雷茨基
Emilia Plater,艾米利亚·普莱特
Marian Zieliński,马里安·杰林斯基
Aleksander Wielopolski,亚历山德·韦洛波尔斯基
Frans Krajcberg,弗蘭斯·克拉傑伯格
Edward Szczepanik,爱德华·西帕尼克
Sławomir Idziak,斯瓦沃米爾·伊茲克
Kazimierz Łaski,卡齐米尔兹·拉斯基
Grzegorz Krychowiak,格里高兹·科里喬維亞克
Paweł Korzeniowski,帕维尔·科热尼奥夫斯基
Tomasz Wieszczycki,托马什·维什奇茨基
Stanisław Mikołajczyk,斯坦尼斯瓦夫·米科瓦伊奇克
Przemysław Tytoń,普热梅斯瓦夫·蒂通
Roman Haubenstock-Ramati,罗马音乐和表演艺术大学
Karolina Chlewińska,卡罗利娜·赫莱温斯卡
Mariusz Błaszczak,马里乌什·布瓦什恰克
Tomasz Kucharski,托马什·库哈尔斯基
Krystyna Zachwatowicz,克里斯蒂娜·扎赫瓦托维奇
Wacław Sierpiński,瓦茨瓦夫·谢尔宾斯基
Ladislao Kubala,古巴拉
Henryk Wieczorek,亨里克·维乔雷克
Pati Yang,杨晓强
Krzysztof Kosedowski,克日什托夫·科塞多夫斯基
Anita Lipnicka,安妮塔·利普尼卡
Mariusz Lewandowski,馬里烏什·萊萬多夫斯基
Samuel Reshevsky,塞缪尔·雷谢夫斯基
Ludwik Fleck,路德維克·弗萊克
Grzegorz Gilewski,格熱戈日·吉萊夫斯基
Aleksander Wat,亚历山大·瓦特
Henryk Wawrowski,亨里克·瓦夫罗夫斯基
Wiesław Ochman,维斯瓦夫·奥克曼
Rafał Majka,拉法·马伊卡
Roman Wójcicki,罗曼·乌伊西奇
Witold Rowicki,维托尔德·罗维茨基
Gil Vermouth,華姆夫
Barbara Grabowska,芭芭拉·格拉博夫斯卡
Janusz Morgenstern,雅努什·莫根施特恩
Halina Golanko,哈丽娜·戈兰科
Marek Plawgo,马雷克·普拉夫戈
Artur Szpilka,阿图尔·斯皮尔卡
Zygmunt Stojowski,齐格蒙特·斯托约夫斯基
Marcin Wasilewski,馬爾欽·瓦西萊夫斯基
Stanisław Leśniewski,斯坦尼斯瓦夫·雷斯涅夫斯基
Ignacy Mościcki,伊格纳齐·莫希奇茨基
Augustyn Bloch,奥古斯丁·布洛赫
Karol Kłos,卡羅爾·克沃斯
Maciej Żurawski,馬歇伊·茹拉夫斯基
Kazimierz Nowak,卡齐米日·诺瓦克
Bohdan Andrzejewski,博赫丹·安杰耶夫斯基
Alexander Gruszynski,亚历山大·格鲁申斯基
Henryk Mandelbaum,亨里克·曼德尔鲍姆
Stanisław Ryłko,斯坦尼斯瓦夫·里尔科
Stefan Majewski,斯特凡·马耶夫斯基
Wojciech Gerson,沃伊切赫·格爾森
Paweł Samecki,帕维乌·萨梅茨基
Jerzy Petersburski,耶日·彼得斯布尔斯基
Hubert Kostka,胡贝特·科斯特卡
Rafał Boguski,博古斯基
Henryk Tomasik,亨利·托馬西克
Ernest Pohl,厄尼斯特·波爾
Adam Matuszczyk,亞當·馬圖什奇克
Robert Korzeniowski,罗伯特·科热尼奥夫斯基
Mieczysław Najdorf,米格尔·纳依道夫
Michał Żewłakow,米哈爾·熱夫拉科夫
Marek Kolbowicz,马雷克·科尔博维奇
Piotr Krupa,伯多祿·克魯帕
Konrad Swinarski,K. 斯维纳尔斯基
Dariusz Dudka,達里烏斯·杜德卡
Józef Babiński,巴宾斯基
Paweł Woicki,帕維爾·沃爾克基
Bogusław VIII,波吉斯瓦夫八世
Ireneusz Jeleń,伊雷纽什·耶伦
Anna Maria Komorowska,安娜·瑪麗亞·科莫羅夫斯卡 女伯爵
Edward Gierek,愛德華·蓋萊克
Bartłomiej Pawłowski,巴特洛梅.帕夫洛夫斯基
Fabian Bruskewitz,法彬·布魯斯科維斯
Ignacy Porecki,伊格纳茨·赖斯
Jerzy Kukuczka,捷西·库库奇卡
Andrzej Sapkowski,安德烈·萨普科夫斯基
Bartosz Bosacki,巴尔托什·博萨茨基
Włodzimierz Lubański,弗洛德兹米尔斯·鲁班斯基
Mariusz Wlazły,馬里烏斯·沃拉茲里
Aleksander Wolszczan,亞歷山大·沃爾茲森
Bartłomiej Jaszka,巴特沃梅伊·亚什卡
Magdalena Łazarkiewicz,马格达莱纳·拉扎尔凯维奇
Henryk Szeryng,亨利克·谢林
Teodor Kocerka,特奥多尔·科采尔卡
Stanisław Wyspiański,斯坦尼斯拉夫·维斯皮安斯基
Paweł Brożek,帕維烏·布羅熱克
Konrad Wasielewski,康拉德·瓦谢莱夫斯基
Stefan Hula,斯特凡·胡拉 (1947年)
Herschel Grynszpan,赫舍·格林斯潘
Piotr Szełochonow,彼得·伊拉里昂诺维奇·舍罗霍诺夫
Marcin Zaleski,馬辛·柴勒斯基
Paweł Pawlikowski,帕维乌·帕夫利科夫斯基
Paul Konchesky,保罗·孔切斯基
Władysław Kozakiewicz,符拉迪斯拉夫·科扎基維茨
Christian Kulik,克里斯蒂安·库里克
Kazimierz Pużak,卡齐米日·普扎克
Marcin Mroziński,马尔钦米罗辛希
Mariusz Pudzianowski,马瑞斯·普贾诺夫斯基
Solomon Asch,所罗门·阿希
Jacek Bąk,雅塞克·巴克
Paweł Thomik,保罗·托米克
Tomasz Jodłowiec,托馬什·約托維奇
Maciej Sadlok,馬切伊·薩德洛克
Witold Pilecki,威托德·皮雷茨基
Henryk Jabłoński,亨里克·雅布翁斯基
Krzesimir Dębski,克热西米尔·登布斯基
Magdalena Cielecka,玛格达莱娜·切莱茨卡
Bartosz Konopko,巴尔托什·科诺普科
Magdalena Boczarska,玛达琳娜·波扎斯卡
Max Weber,麥克思·韋伯
Stanisław Kania,斯坦尼斯瓦夫·卡尼亞
Grzegorz Sandomierski,格热戈日·桑多米尔斯基
Jerzy Radziwiłowicz,耶日·拉齐维沃维奇
David Olère,大卫·奥列尔
Wojciech Kilar,沃伊切赫·基拉尔
Marcin Baszczyński,马尔钦·巴什琴斯基
Kazimierz Paździor,卡齐米日·帕日焦尔
John Tavares,约翰·塔瓦雷斯
Abel Korzeniowski,阿貝爾·科熱尼奧夫斯基
Akiba Rubinstein,阿基巴·鲁宾斯坦
Ludwik Mierosławski,路德维克·米罗斯拉夫斯基
Christoph Dabrowski,克里斯托弗·达布罗夫斯基
Tadeusz Kutrzeba,塔德烏斯·庫特雷茲巴
Paweł Finder,帕维乌·芬德尔
Zishe Breitbart,齐希·布雷特巴特
Jan Dołgowicz,扬·多乌戈维奇
Konrad IV Starszy,康拉德四世 (奧萊希尼察)
Samuel Eilenberg,塞缪尔·艾伦伯格
Bartłomiej Tomczak,巴特沃梅伊·托姆恰克
Jerzy Kosiński,杰兹·科辛斯基
Adam Rotfeld,亚当·丹尼尔·罗特菲尔德
Bartosz Kurek,巴爾托斯·庫雷克
Bartosz Soćko,巴尔托什·索科
Bartłomiej Nizioł,巴特克·尼齊奧爾
Wilhelm Sasnal,威廉·萨奈尔
Samuel Dickstein,萨穆埃尔·迪克施泰因
Eugeniusz Morawski-Dąbrowa,埃乌盖纽什·莫拉夫斯基-丹布罗瓦
Jan Werner,扬·维尔纳
Henryk Jankowski,亨利克 扬科夫斯基
Hugon Hanke,胡冈·汉克
Jakub Świerczok,雅庫布·斯維爾喬克
Ben Helfgott,班·赫爾夫戈特
Benedykt Kocot,贝内迪克特·科措特
Stefan Kaczmarz,斯特凡·卡茨馬爾茲
Władysław Kosiniak-Kamysz,瓦迪斯瓦夫·科西尼亚克-卡梅什
Michał Rogalski,麦克·罗加尔斯基
Wojciech Pszoniak,沃伊切赫·普佐尼亞克
Ludomir Różycki,卢多米尔·鲁日茨基
Martin Kobylański,马丁·科比良斯基
Anna Polony,安娜·波洛内
Stefan Hula,斯特凡·胡拉
Mariusz Siudek,休德克
Stanisław Estreicher,艾斯特萊赫
Witold Pruszkowski,维托尔德·普鲁斯柯斯基
Maciej Lampe,马齐·兰佩
Dale Joseph Melczek,戴爾·若瑟·梅爾切克
Aleksander Birkenmajer,亚历山大·比肯迈耶尔
Robert Małek,羅伯特·馬萊克
Antoni Julian Nowowiejski,安东尼·朱利安·诺沃维耶斯基
Maurycy Moszkowski,莫里茨·莫什科夫斯基
Jakub Świnka,雅各·史雲卡
Antoni Chruściel,安东尼·赫鲁希切尔
Cezary Wilk,塞萨里·威尔克
Tomasz Rząsa,列薩沙
Layvin Kurzawa,利雲·古沙華
Leon Petrażycki,莱翁·彼得拉日茨基
Leon Billewicz,列昂·比尔勒维茨
Tadeusz Ważewski,塔德乌什·瓦泽夫斯基
Marcin Kamiński,馬爾欽·卡明斯基
Kamil Grosicki,卡米爾·格羅西茨基
Józef Michalik,若瑟·米哈利克
Tomasz Sikora,托马什·西科拉
Jerzy Spława-Neyman,耶日·奈曼
Jadwiga Jankowska-Cieślak,雅德維加·揚科夫斯卡-切斯拉克
Robert Wulnikowski,罗伯特·乌尔尼科斯基
Rafael Kazior,拉斐尔·卡兹奥尔
Michał Rola-Żymierski,日梅爾斯基
Tomasz Krzeszewski,湯姆斯·克塞斯塞維斯基
Robert Gliński,罗伯特·格林斯基
Jerzy Pilch,耶日·皮尔希
Grzegorz Ciechowski,格热哥兹·奇乔夫斯基
Kazimierz Kordylewski,卡齊米日·柯迪萊夫斯基
Tadeusz Hołuj,塔德乌什·霍乌伊
Waldemar Świerzy,瓦爾德瑪·斯威齊
Henio Żytomirski,亨尼奥·奇托米尔斯基
Marian Kasprzyk,玛丽安·卡斯普齐克
Kazimierz Sakowicz,卡齊米耶茲·薩克維茨
Edward Ochab,爱德华·奥哈布
Leszek Błażyński,莱谢克·布瓦任斯基
Marceli Nowotko,马塞利·诺沃特科
Marcel Witeczek,馬塞爾·維特切克
Edward Babiuch,爱德华·巴比乌赫
Henryk Wars,亨里克·瓦尔斯
Henryk Gulbinowicz,亨里克·羅曼·古爾比諾維茨
Mateusz Kusznierewicz,马特乌什·库什涅雷维奇
Władysław Odonic,瓦迪斯瓦夫·奧登尼茨
Włodzimierz Kotoński,沃齐米日·科通斯基
Ostap Ortwin,奥斯塔普·奥尔特温
Mirosław Waligóra,米罗斯瓦夫·瓦利古拉
Piotr Mowlik,彼得·莫夫利克
Balthus,巴尔蒂斯
Jerzy Łoś,耶日·沃希
Witold Leszczyński,維托德·萊什琴斯基
Jakub Słowik,雅庫布·斯沃維克
Jerzy Mazur,喬治·馬祖爾
Aleksander Bardini,阿莱克桑德·巴迪尼
Szymon Kołecki,希蒙·科韦茨基
Michel Jazy,米歇尔·雅齐
Róża Robota,罗扎·罗博塔
Ryszard Wójcik,雷沙德·武伊齊克
Edmund Wnuk-Lipiński,艾德蒙·努克-李平斯基
Roger Verey,罗格·维里
Czesław Marek,切斯瓦夫·马雷克
Feliks Falk,菲利克斯·法尔克
Hlib Łonczyna,赫利布·洛恩奇納
Władysław Bortkiewicz,拉蒂斯勞斯·波特凱維茨
Krzysztof Boruń,克日什托夫·博潤
Piotr Potworowski,彼得·波特沃洛夫斯基
Tomasz Łapiński,托马什·瓦平斯基
Jan Lisiecki,扬·利谢茨基
Karol Kulisz,卡罗尔·库里什
Leopold Pfefferberg,波德克·費佛伯格
Leon Kieres,基耶瑞斯
Tadeusz Baird,塔代乌什·巴伊尔德
Jerzy Kryszak,耶日·克雷沙克
Adam Ważyk,亚当·瓦日克
Bolesław Wieniawa-Długoszowski,博列斯瓦夫·维涅瓦-德武戈舍夫斯基
Juliusz Bursche,尤利乌什·布尔舍
Michał Bajor,米哈·拜尤
Markus Brzenska,马库斯·布尔岑斯卡
Bogdan Borusewicz,保丹·博勒斯奇斯
Michał Łogosz,麦克·罗高斯
Mariusz Stępiński,马里乌什·斯滕平斯基
Kornel Morawiecki,科内尔·莫拉維茨基
Waldemar Sorychta,沃爾德馬爾·索里赫達
Tomasz Arciszewski,托马什·亚尔齐舍夫斯基
Roman Odzierzyński,罗曼·奇兹
Janusz Zarenkiewicz,雅努什·扎伦凯维奇
Aleksander Tansman,亚历山大·汤斯曼
Ludwik Waryński,卢德维克·瓦伦斯基
Tomasz Kot,托瑪斯·科特
Kazimierz Wiłkomirski,卡齐米日·维乌科米尔斯卡
Bolesław Piasecki,波列斯瓦夫·皮亞塞基
Jerzy Hoffman,耶日·霍夫曼
Robert Siatka,罗伯特·西亚特卡
Marcin Komorowski,馬爾欽·科莫羅夫斯基
Tadeusz Różewicz,塔德烏什·魯熱維奇
Janusz Franciszek Radziwiłł,亚努什·拉齐维乌
Marek Bajor,马雷克·巴约尔
Edward Stachura,爱德华·斯塔楚拉
Marian Dudziak,瑪麗安·杜茲亞克
Ferdynand Ossendowski,費迪南·安東尼·奧森多夫斯基
George E. Stone,喬治·E·史東
Artur Rodziński,阿图尔·罗津斯基
Gidon Hausner,吉迪恩·豪斯納
Lucjan Błaszczyk,盧克延·布拉什奇克
Władysław Żeleński,瓦迪斯瓦夫·热伦斯基
Felicjan Kępiński,费利茨扬·肯平斯基
Krzysztof Lijewski,克日什托夫·利耶夫斯基
Andrzej Skrzydlewski,安杰伊·斯克日德莱夫斯基
Mordechaj Anielewicz,阿涅萊維奇
Paweł Graś,帕维乌·格拉希
Tomasz Bednarek,托马什·贝德纳雷克
Anatol Stern,安纳托尔·斯特恩
Piotr Włostowic,彼德‧沃斯托維奇
Włodzimierz Stożek,沃济梅什·斯托热克
Maksymilian Piotrowski,馬克西米利安·彼得羅夫斯基
Krzysztof Kolberger,克尔兹斯托夫·科尔伯格
Olgierd Łukaszewicz,奥尔盖尔德·武卡谢维奇
Jarosław Iwaszkiewicz,雅罗斯瓦夫·伊瓦什基耶维奇
Józef Kamiński,約瑟夫·卡明斯基
Rajmund Kaczyński,雷蒙德·卡钦斯基
Abraham Suckewer,亞伯拉罕·蘇茲克維爾
Antoni Karwowski,安东尼·卡沃斯基
Izrael Jehoszua Singer,以色列·約書亞·辛格
Grzegorz Pojmański,格熱戈日·波吉勉斯基
Jan Kowalczyk,揚·科瓦奇克
Władysław Stasiak,瓦迪斯瓦夫·斯塔夏克
Franciszek Piper,弗兰西什克·皮佩尔
Michał Spisak,米哈爾·什皮沙克
Olivia Smoliga,奥莉维亚·斯莫利加
Michael Kutzop,米夏埃尔·库措普
Bogdan Wenta,波格丹·文塔
Gintaras Grušas,金塔拉斯·格魯沙斯
Ignacy Dec,依納爵·德茨
Władysław Broniewski,瓦迪斯瓦夫·布洛涅夫斯基
Wojciech Łobodziński,沃伊切赫·洛博津斯基
Marek Piwowski,馬列克·皮瓦斯基
Andrzej Supron,安杰伊·苏普龙
Stanisław Zaremba,斯塔尼斯瓦夫·萨伦巴
Marek Klingberg,馬庫斯·克林伯格
Marcin Maciejowski,马尔辛·马切耶夫斯基
Jerzy Matulewicz,尤爾吉斯·馬圖拉蒂斯-馬圖列維休斯
Marcin Korolec,柯洛雷
Maksymilian Gierymski,馬克西米利安·吉列姆斯基
Anna Badora,安娜·巴多拉
Kazimierz Brandys,卡齐米日·布兰迪斯
Tadeusz Pankiewicz,塔德乌什·潘基耶维茨
Henryk Petrich,亨里克·佩特里赫
Michał Listkiewicz,米哈爾·利斯特基維茨
Marek Solczyński,馬雷克·索爾欽斯基
Marian Zacharski,馬利安·卡扎爾斯基
Ryszard Staniek,理夏德·斯塔涅克
Elżbieta Kazimierzówna,艾爾茲別塔·卡齊米爾佐夫娜
Filip Jan Rymsza,菲利普·強恩·雷沙
Michał Przysiężny,米哈烏·柏茲西茲尼
Włodzimierz Smolarek,沃奇米日·斯莫拉雷克
Jan Niecisław Baudouin de Courtenay,博杜恩·德·库尔德内
Paweł Kryszałowicz,帕維爾·克里扎洛维茨
Jerzy Grotowski,葛羅托夫斯基
Wilfrid Michael Voynich,威尔弗雷德·伏尼契
Andrzej Jarosik,安杰伊·雅罗西克
Karol Olszewski,卡羅爾·奧爾謝夫斯基
Tadeusz Jan Kowalski,塔德乌什·扬·科瓦尔斯基
Dawid Kahane,大卫·卡哈恩
Ben Sahar,賓·沙夏
Norbert Ozimek,诺贝特·奥齐梅克
Marian Kamil Dziewanowski,M.K.捷万诺夫斯基
Abraham Icek Tuschinski,亚伯拉罕·图申斯基
Maciej Stuhr,马赛杰·斯图尔
Cyprian Kamil Norwid,齐普里安·诺尔维德
Ludwik Rydygier,魯維克·李得基爾
Marcel Zyskind,马塞尔·齐斯金德
Alfred Korzybski,阿尔弗雷德·柯日布斯基
Aleksander Kakowski,亞歷山大·卡考維斯基
Dariusz Wolski,达留什·沃尔斯基
Krzysztof Matyjaszewski,克日什托夫·马蒂亚谢夫斯基
Robert Zajonc,羅伯特·扎榮茨
Michał Jurecki,米哈乌·尤雷茨基
Mieczysław Horszowski,梅奇斯瓦夫·霍尔绍夫斯基
Józef Grudzień,约瑟夫·格鲁津
Anna Kiełbasińska,安娜·凯乌巴辛斯卡
Alice Parizeau,艾莉斯·波茲南卡
Mikołaj Tungen,尼格老·冯·屯根
Stanisław Jaśkowski,斯坦尼斯瓦夫·亚希科夫斯基
Mateusz Sawrymowicz,馬修·索里莫維茨
Marian Gołębiewski,瑪利安·格勒比斯基
Jacek Pałkiewicz,雅瑟克·帕爾凱維奇
Magdalena Piekarska,玛格达莱娜·皮耶卡尔斯卡-特瓦尔多赫尔
Marian Opania,玛利安·奥帕尼奥
Łukasz Garguła,卢卡兹·加尔古拉
Franciszek Trąbalski,弗兰齐谢克·特兰巴尔斯基
Marta Zolynska,玛尔塔·佐温斯卡
Jerzy Andrzejewski,耶日·安傑耶夫斯基
Artur Jędrzejczyk,亞瑟·耶德爾澤西克
Anna Mucha,安娜·穆查
Franciszek Pieczka,法蘭奇士·畢契卡
Adam Jerzy Czartoryski,亚当·耶日·恰尔托雷斯基
Łukasz Kubot,盧卡斯·古博特
Waldemar Legień,瓦尔德马·莱金
Florian Siwicki,弗洛里安·西维茨基
Andrzej Bek,安杰伊·贝克
Kazimierz Deyna,戴拿
Adam Bałabuch,亞當·巴瓦布赫
Adam Bodzek,亚当·博泽克
Marek Gołąb,马雷克·戈翁布
Jan Zumbach,扬·赞巴赫
Adam Dziewoński,亞當·齊文斯基
Witold Hurewicz,維托爾德·胡列維茨
Monika Anna Wojtyllo,莫妮卡·安娜·沃伊蒂洛
Bronisław Bebel,布罗尼斯瓦夫·贝贝尔
Wojciech Rudy,沃伊切赫·鲁迪
Aleksy Antkiewicz,阿莱克西·安特凯维奇
Mitchell Thomas Rozanski,米徹爾·T·羅桑斯基
Dawid Kupczyk,大衛·柯布提克
Mieczysław Cisło,梅奇斯瓦夫·齊斯沃
Michał Żebrowski,米哈乌·热布罗夫斯基
Kazimierz Czarnecki,卡齐米奇·卡尔奈克
Jeff Nordgaard,傑夫·諾德加德
Mirosław Rybaczewski,米罗斯瓦夫·雷巴切夫斯基
Paulina Holtz,宝琳娜·霍尔兹
Maciej Rybus,馬切伊·里布斯
Grzegorz Wojtkowiak,格熱戈日·沃伊特科維亞克
Adam Ferency,亚当·费仁希
Bartłomiej Bonk,巴尔特沃梅伊·邦克
Julia Krynke,朱莉娅·卡瑞内克
Wojciech Stattler,沃伊切赫·斯塔特勒
Tadeusz Walasek,塔德乌什·瓦拉塞克
