日本,일본
南区・(熊本市),미나미구 (구마모토시)
五百川駅,고햐쿠가와역
北区・(熊本市),기타구 (구마모토시)
西区・(熊本市),니시구 (구마모토시)
安積永盛駅,아사카나가모리역
須賀川駅,스카가와역
中央新幹線,주오 신칸센
近文駅,지카부미역
池田園駅,이케다엔역
道頓堀,도톤보리
カトリック高松司教区,가톨릭 다카마쓰 교구
川南町,가와미나미정
姉川の戦い,아네가와 전투
安芸国,아키국
東海大学,도카이 대학
ランティス,란티스
桜区,사쿠라구
防衛省,일본 방위성
前橋駅,마에바시역
専修大学,센슈 대학
水戸ホーリーホック,미토 홀리호크
建国記念の日,건국기념의 날
下北沢駅,시모키타자와역
2012年の日本シリーズ,2012년 일본 시리즈
日本の観光,일본의 관광
勝浦町,가쓰우라정
北海道日本ハムファイターズ,홋카이도 닛폰햄 파이터스
D・(バンド),D (밴드)
横浜FC,요코하마 FC
新田駅・(京都府),신덴역 (교토부)
戸塚区,도쓰카구
古平町,후루비라정
幡豆郡,하즈군
つくばみらい市,쓰쿠바미라이시
開拓使,개척사
関越自動車道,간에쓰 자동차도
こまち・(列車),고마치 (열차)
町,정 (행정 구역)
高度経済成長,고도경제성장
常磐自動車道,조반 자동차도
上信越自動車道,조신에쓰 자동차도
唐招提寺,도쇼다이지
胎内市,다이나이시
読谷村,요미탄촌
鎌倉時代,가마쿠라 시대
日野市,히노시
日本国憲法,일본국 헌법
豊島区,도시마구
高萩市,다카하기시
小渕内閣・(第1次改造),오부치 내각 (제1차 개조)
日本生命保険,닛폰 생명보험
西海市,사이카이시
加東市,가토시
丹波篠山市,단바사사야마시
多久市,다쿠시
メディアファクトリー,미디어팩토리
イクスピアリ,익스피어리
PRIDE・(格闘技イベント),프라이드 파이팅 챔피언십
東京メトロ南北線,도쿄 메트로 난보쿠선
ヤンマー,얀마
篠山口駅,사사야마구치역
ハウステンボス・(列車),하우스텐보스 (열차)
日本ゴールドディスク大賞,일본 골드 디스크 대상
日本経済団体連合会,일본 경제 단체 연합회
中之条町,나카노조정
壇ノ浦の戦い,단노우라 전투
津藩,쓰번
長享,조쿄 (센고쿠 시대)
九州自動車道,규슈 자동차도
鳥栖スタジアム,에키마에 부동산 경기장
A3チャンピオンズカップ2007,2007년 A3 챔피언스컵
相模湾,사가미만
幸福の科学,행복의 과학
泉涌寺,센뉴지
遊廓,유곽
行方市,나메가타시
たつの市,다쓰노시
丹波市,단바시
永山駅・(東京都),나가야마역 (도쿄도)
公明党,공명당
新百合ヶ丘駅,신유리가오카역
会津若松市,아이즈와카마쓰시
青梅市,오메시
沼津市,누마즈시
東近江市,히가시오미시
あきる野市,아키루노시
東村山市,히가시무라야마시
後志国,시리베시국
不破郡,후와군
島原半島,시마바라반도
下松駅・(大阪府),시모마쓰역
飯島町,이지마정
宍粟市,시소시
香南市,고난시 (고치현)
志木市,시키시
生駒郡,이코마군
調布飛行場,조후비행장
熊本駅,구마모토역
日本オリンピック委員会,일본 올림픽 위원회
甲府城,고후성
オリンピックの柔道競技・メダリスト一覧,올림픽 유도 메달리스트 목록
熱田神宮伝馬町駅,아쓰타진구텐마초역
上天草市,가미아마쿠사시
小城市,오기시
武雄市,다케오시
KDDI,KDDI
軽米町,가루마이정
楽天グループ,라쿠텐
津田塾大学,쓰다주쿠 대학
学校法人学習院,학교법인 가쿠슈인
根室半島,네무로반도
尾張藩,오와리번
石狩川,이시카리강
ヴァンフォーレ甲府,방포레 고후
仙台藩,센다이번
BUMP・OF・CHICKEN,BUMP OF CHICKEN
東北大学,도호쿠 대학
赤穂藩,아코번
姫路藩,히메지번
彦根藩,히코네번
浅間山,아사마산
岡崎市,오카자키시
砺波市,도나미시
小樽市,오타루시
池田町・(香川県),이케다정 (가가와현)
屋久島,야쿠섬
アステラス製薬,아스텔라스 제약
内閣・(日本),일본 내각
中部日本放送,주부닛폰 방송
三潴郡,미즈마군
文化勲章,문화훈장 (일본)
京都アニメーション,교토 애니메이션
白川郷・五箇山の合掌造り集落,시라카와고와 고카야마 역사 마을
靖国神社,야스쿠니 신사
極真会館,극진회관
国家安全保障会議・(日本),일본 국가안전보장회의
京成本線,게이세이 본선
京急本線,게이큐 본선
蘭学,난학
香美市,가미시
日本人の氏名,일본 이름
小金井市,고가네이시
西東京市,니시토쿄시
北見国,기타미국
根室国,네무로국
さっぽろテレビ塔,삿포로 TV타워
多摩川,다마강
日光の社寺,닛코의 신사와 사원
汐留駅,시오도메역
呉市海事歴史科学館,야마토 뮤지엄
三浦半島,미우라반도
あわら市,아와라시
先斗町,폰토쵸
白雉,하쿠치
南宇和郡,미나미우와군
長岡市,나가오카시
池袋,이케부쿠로
北区・(さいたま市),기타구 (사이타마시)
越前市,에치젠시
永久・(元号),에이큐
西ノ島町,니시노시마정
土居駅,도이역 (오사카부)
カトリック横浜司教区,가톨릭 요코하마 교구
カトリック大分司教区,가톨릭 오이타 교구
ブラウブリッツ秋田,블라우블리츠 아키타
守口市駅,모리구치시역
サイゼリヤ,사이제리야
在日韓国・朝鮮人,재일 한국인
2005年のJリーグ・ディビジョン1,J리그 디비전 1 2005
神輿,신여 (제구)
東京女子大学,도쿄 여자대학
矢美津駅,야비쓰역
芦田内閣,아시다 내각
内閣法制局,일본 내각법제국
那珂郡,나카군 (이바라키현)
乙巳の変,을사의 변
康永,고에이 (연호)
丁未の乱,정미의 난
高野山,고야산
拓殖大学,다쿠쇼쿠 대학
安曇野市,아즈미노시
瑞穂町,미즈호정
骨法・(格闘技),골법
雲南市,운난시
下妻市,시모쓰마시
上条城・(尾張国),조조성 (아이치현 가스가이시)
湯河原町,유가와라정
蒲田,가마타 (오타구)
二海郡,후타미군
FM・TOWNS,FM 타운즈
祇園祭,기온마쓰리
中央区・(さいたま市),주오구 (사이타마시)
瀬戸大橋,세토 대교
吉野川,요시노강
2019年1月6日の日食,2019년 1월 6일 일식
渡辺橋駅,와타나베바시역
伊是名村,이제나촌
大隅国,오스미국
松山城・(伊予国),마쓰야마성 (에히메현)
南硫黄島,미나미이오섬
稲荷山駅,이나리야마역
小田急多摩線,오다큐 다마선
隠岐国,오키국
十勝国,도카치국
千島国,지시마국
佐渡国,사도국
胆振国,이부리국
東日本,동일본
多磨霊園,다마 공동묘지
札幌市営地下鉄東豊線,삿포로 시영 지하철 도호선
安茂里駅,아모리역
札幌市営地下鉄東西線,삿포로 시영 지하철 도자이선
大江橋駅,오에바시역
落合町・(東京府),오치아이정 (도쿄부)
新小岩駅,신코이와역
川路駅,가와지역
長野オリンピックスタジアム,나가노 올림픽 스타디움
日高国,히다카국
西日本,서일본
石狩国,이시카리국
調布駅,조후역 (도쿄도)
小田急江ノ島線,오다큐 에노시마선
大阪市交通局,오사카시 교통국
牛込柳町駅,우시고메야나기초역
勝どき駅,가치도키역
築地市場駅,쓰키지시조역
牛込神楽坂駅,우시고메카구라자카역
新宿西口駅,신주쿠니시구치역
都庁前駅,도초마에역
阿漕駅,아코기역
鳴門海峡,나루토 해협
女性国際戦犯法廷,여성국제전범법정
下関戦争,시모노세키 전쟁
生麦事件,나마무기 사건
吉見町,요시미정
ブックオフコーポレーション,북오프
鶯巣駅,우구스역
伊那小沢駅,이나코자와역
為栗駅,시테구리역
中井侍駅,나카이사무라이역
唐笠駅,가라카사역
平岡駅,히라오카역
温田駅,누쿠타역
田本駅,다모토역
門島駅,가도시마역
美和町・(愛知県),미와정 (아이치현)
渡島砂原駅,오시마사와라역
東森駅,히가시모리역
与板藩,요이타번
愛南町,아이난정
越前花堂駅,에치젠하난도역
和泉橋本駅,이즈미하시모토역
日本たばこ産業,일본담배산업
甚目寺町,지모쿠지정
筑前前原駅,지쿠젠마에바루역
陸上自衛隊,육상자위대
文楽,분라쿠
三鷹市,미타카시
内閣総理大臣の一覧,일본의 내각총리대신 목록
我孫子市,아비코시
西宮市,니시노미야시
掛澗駅,가카리마역
飯山線,이야마선
東鹿越駅,히가시시카고에역
舞鶴線,마이즈루선
下金山駅,시모카나야마역
尾白内駅,오시로나이역
渡島沼尻駅,오시마누마지리역
鹿部駅,시카베역
岩泉線,이와이즈미선
松島駅,마쓰시마역
伊予三芳駅,이요미요시역
菊間駅,기쿠마역
大西駅,오니시역
大浦駅,오우라역
柏林台駅,하쿠린다이역
東白石駅,히가시시로이시역
高野川駅,고노카와역
内閣府特命担当大臣,내각부 특명담당대신
赤羽橋駅,아카바네바시역
若松河田駅,와카마쓰카와다역
東大阪市,히가시오사카시
宗谷本線,소야 본선
南紀白浜空港,난키시라하마 공항
西成区,니시나리구
住吉区,스미요시구
酒梅組,사카우메구미
住之江区,스미노에구
東成区,히가시나리구
軽井沢駅,가루이자와역
都電荒川線,도덴 아라카와선
渡島国,오시마국
聖蹟桜ヶ丘駅,세이세키사쿠라가오카역
学習院女子大学,가쿠슈인 여자대학
鬼ノ城,기노성
高幡不動駅,다카하타후도역
河越城の戦い,가와고에성 전투
博多南線,하카타미나미선
衆議院小選挙区制選挙区一覧,일본 중의원 소선거구제 선거구 목록
八多喜駅,하타키역
境線,사카이선
国府多賀城駅,고쿠후타가조역
柳原駅・(愛媛県),야나기하라역 (에히메현)
伊予長浜駅,이요나가하마역
伊予上灘駅,이요카미나다역
春賀駅,하루카역
岩切駅,이와키리역
富良野駅,후라노역
伊予出石駅,이요이즈시역
阪急箕面線,한큐 미노오선
北伊予駅,기타이요역
伊予大洲駅,이요오즈역
朝日放送グループホールディングス,아사히 방송
国道3号,국도 제3호선 (일본)
国立能楽堂,국립능악당
萩城,하기성
西武有楽町線,세이부 유라쿠초선
東京モーターショー,도쿄 모터쇼
東京大学大学院理学系研究科附属植物園,도쿄 대학 대학원 이학계 연구과 부속 식물원
泉鏡花文学賞,이즈미 교카 문학상
国立文楽劇場,국립 분라쿠 극장
三原山,미하라산
国道11号,국도 제11호선 (일본)
栄・(名古屋市),사카에 (나고야시)
日経CNBC,닛케이 CNBC
横浜ベイブリッジ,요코하마 베이브리지
東京都島嶼部,도쿄도 도서부
美祢線,미네선
島ノ下信号場,시마노시타역
羽帯駅,하오비역
北白川駅,기타시라카와역
大河原駅・(宮城県),오가와라역
時又駅,도키마타역
東滝川駅,히가시타키카와역
御影駅・(北海道),미카게역 (홋카이도)
越河駅,고스고역
西帯広駅,니시오비히로역
芦別駅,아시베쓰역
太子堂駅,다이시도역
山部駅,야마베역
財光寺駅,자이코지역
金山駅・(北海道),가나야마역 (홋카이도)
桜町駅,사쿠라마치역 (나가노현)
切石駅,기리이시역
毛賀駅,게가역
飯田駅,이다역
博物館明治村,박물관 메이지무라
伊那八幡駅,이나야와타역
伊那上郷駅,이나카미사토역
駄科駅,다시나역
鼎駅,가나에역
下山村駅,시모야마무라역
岩出山駅,이와데야마역
広島東洋カープ,히로시마 도요 카프
久米島,구메섬
都営地下鉄,도에이 지하철
大門駅・(東京都),다이몬역 (도쿄도)
西大崎駅,니시오사키역
東大崎駅,히가시오사키역
有備館駅,유비칸역
粟井駅,아와이역
伊予横田駅,이요요코타역
甲州市,고슈시
増上寺,조조지
光洋台駅,고요다이역
伊予白滝駅,이요시라타키역
Goo,Goo
喜多灘駅,기타나다역
阿曽駅,아소역 (미에현)
岩徳線,간토쿠선
布部駅,누노베역
日向長井駅,휴가나가이역
赤平駅,아카비라역
落合駅・(北海道),오치아이역 (홋카이도)
花輪線,하나와선
品井沼駅,시나이누마역
芽室駅,메무로역
東仙台駅,히가시센다이역
上芦別駅,가미아시베쓰역
槻木駅,쓰키노키역
三江線,산코선
鹿島台駅,가시마다이역
南仙台駅,미나미센다이역
野花南駅,노카난역
福島区,후쿠시마구
市坪駅,이치쓰보역
館腰駅,다테코시역
白石駅・(宮城県),시로이시역 (미야기현)
ユニー,유니 (기업)
新得駅,신토쿠역
愛宕駅・(宮城県),아타고역 (미야기현)
伊予北条駅,이요호조역
西淀川区,니시요도가와구
五郎駅,고로역
生田原町,이쿠타하라정
元善光寺駅,모토젠코지역
TOPPANホールディングス,돗판 인쇄
映画倫理機構,영화윤리위원회
国鉄D51形蒸気機関車,일본국유철도 D51형 증기 기관차
白滝村・(北海道),시라타키촌 (홋카이도)
端野町,단노정
留辺蘂町,루베시베정
皇太子妃,황태자비
高山寺,고잔지
丸瀬布町,마루셋푸정
能登半島地震・(2007年),2007년 노토반도 지진
厳島の戦い,이쓰쿠시마 전투
沖縄海岸国定公園,오키나와 해안 국정공원
仲の神島,나카노카미섬
歌登町,우타노보리정
高尾駅・(東京都),다카오역 (도쿄도)
市田駅,이치다역
尊王攘夷,존왕양이
宝冠章,보관장
新日本フィルハーモニー交響楽団,신일본 필하모니 교향악단
ジェー・シー・スタッフ,J.C.STAFF
京都放送,교토 방송
三越,미쓰코시
ミスタードーナツ,미스터도넛
東映,도에이
埼玉高速鉄道線,사이타마 고속 철도선
留萌本線,루모이 본선
オホーツクプレート,오호츠크판
拝島駅,하이지마역
カターレ富山,카탈레 도야마
ギャラクシーエアラインズ,갤럭시 항공 (일본)
東京フィルメックス,도쿄 필멕스
琉球侵攻,류큐 침공
国宝,일본의 국보
中華丼,주카돈
東京港,도쿄항
米子駅,요나고역
出雲空港,이즈모 공항
日本100名城,일본 100 명성
敬愛大学,게이아이 대학
ときがわ町,도키가와정
硫黄鳥島,이오토리섬
丸亀城,마루가메성
三井グループ,미쓰이 그룹
江ノ島電鉄,에노시마 전철
田尻駅,다지리역
東浜駅,히가시하마역
武田薬品工業,다케다 약품공업
茂尻駅,모시리역
十勝清水駅,도카치시미즈역
松山町駅,마쓰야마마치역 (미야기현)
小牛田駅,고고타역
塩釜駅,시오가마역
三津浜駅,미쓰하마역
和田河原駅,와다가하라역
築城基地,쓰이키 기지
松山空港,마쓰야마 공항
油島駅,유시마역 (이와테현)
岩沼駅,이와누마역
清水原駅,시미즈하라역
串駅,구시역
浦幌駅,우라호로역
八戸線,하치노헤선
瀬峰駅,세미네역
堀江駅,호리에역
下灘駅,시모나다역
伊予和気駅,이요와케역
南宮崎駅,미나미미야자키역
浜村駅,하마무라역
陸前山王駅,리쿠젠산노역
伊予亀岡駅,이요카메오카역
名古屋グランパスエイト,나고야 그램퍼스
ロッテリア,롯데리아
剣術,일본 검술
旗指物,사시모노
村崎野駅,무라사키노역
東城駅,도조역 (히로시마현)
湖山駅,고야마역
豊頃駅,도요코로역
宝木駅,호기역
倉吉駅,구라요시역
新田駅・(宮城県),닛타역 (미야기현)
厚内駅,아쓰나이역
泊駅・(鳥取県),도마리역 (돗토리현)
徳島線,도쿠시마선
青井岳駅,아오이다케역
国道19号,국도 제19호선 (일본)
新吉野駅,신요시노역
阿田和駅,아타와역
梅ケ沢駅,우메가사와역
安藤百福発明記念館・大阪池田,컵 누들 박물관 오사카 이케다
予土線,요도선
直別信号場,조쿠베쓰역
稲川町,이나카와정
慈照寺,지쇼지
日本ハリストス正教会,일본 정교회
安城駅,안조역
北九州貨物ターミナル駅,기타큐슈 화물 터미널역
松崎駅・(鳥取県),마쓰자키역 (돗토리현)
青谷駅,아오야역
下平駅,시모다이라역
多摩センター駅,다마 센터역
特殊急襲部隊,특수급습부대
三菱UFJ銀行,미쓰비시UFJ은행
文保,분포 (연호)
尺別信号場,샤쿠베쓰역
新鹿駅,아타시카역
内子駅,우치코역
居組駅,이구미역
福部駅,후쿠베역
千丈駅,센조역
伊予中山駅,이요나카야마역
ハーレクィンエア,할리퀸 항공
札内駅,사쓰나이역
大岩駅,오이와역
内子線,우치코선
花巻空港駅,하나마키 공항역
陸中折居駅,리쿠추오리이역
因美線,인비선
伊予石城駅,이요이와키역
花泉駅,하나이즈미역
伊那田島駅,이나타지마역
伊那福岡駅,이나후쿠오카역
高遠原駅,다카토바라역
上片桐駅,가미카타기리역
伊那大島駅,이나오시마역
山吹駅,야마부키역
飯島駅,이지마역
小町屋駅,고마치야역
せんだいメディアテーク,센다이 미디어테크
七久保駅,나나쿠보역
田切駅,다기리역
伊那本郷駅,이나혼고역
豊後中村駅,분고나카무라역
日本の新左翼,일본의 신좌파
2011年の日本プロ野球,2011년 일본 프로 야구
盛岡城,모리오카성
長崎県第3区,나가사키현 제3구
国分寺駅,고쿠분지역
山形新幹線,야마가타 신칸센
東二見駅,히가시후타미역
前原市,마에바루시
伊予立川駅,이요타치카와역
五十崎駅,이카자키역
八幡浜駅,야와타하마역
双岩駅,후타이와역
下宇和駅,시모우와역
上宇和駅,가미우와역
西大洲駅,니시오즈역
卯之町駅,우노마치역
立間駅,다치마역
高光駅,다카미쓰역
伊予吉田駅,이요요시다역
南島原市,미나미시마바라시
神埼市,간자키시
三好市,미요시시 (도쿠시마현)
粟国空港,아구니 공항
両毛線,료모선
狩野派,가노파
松ケ浦駅,마쓰가우라역
康暦,고랴쿠
1998年長野オリンピックのフィギュアスケート競技,1998년 동계 올림픽 피겨스케이팅
宮若市,미야와카시
下島駅・(長野県伊那市),시모지마역 (이나시)
由布市,유후시
女川原子力発電所,오나가와 원자력 발전소
対馬府中藩,쓰시마 후추번
J2リーグ,J2리그
横浜みなとみらい21,요코하마 미나토미라이 21
札幌市時計台,삿포로시 시계탑
瀬戸内海国立公園,세토나이카이 국립공원
淀川,요도강
ソニックチーム,소닉 팀
小倉藩,고쿠라번
守護,수호 (일본사)
阪神電気鉄道,한신 전기 철도
猪苗代湖,이나와시로호
磯子区,이소고구
バブル崩壊,잃어버린 10년 (일본)
南都留郡,미나미쓰루군
広島藩,히로시마번
松平氏,마쓰다이라씨
神戸市営地下鉄西神・山手線,고베 시영 지하철 세이신·야마테선
東京都交響楽団,도쿄도 교향악단
小諸藩,고모로번
新長田駅,신나가타역
天保暦,덴포력
東京体育館,도쿄 체육관
宮城県沖地震・(2011年),2011년 미야기현 해역 지진
国家社会主義日本労働者党,국가사회주의 일본 노동자당
横浜中華街,요코하마 중화가
鹿児島湾,가고시마만
小松飛行場,고마쓰 공항
古墳,고훈
田畑駅,다바타역 (나가노현)
伊那北駅,이나키타역
ブラザー工業,브라더 공업
伊那市駅,이나시역
みやま市,미야마시
北殿駅,기타토노역
沢駅,사와역 (나가노현)
羽場駅・(長野県),하바역 (나가노현)
宮木駅,미야키역
沖縄都市モノレール線,오키나와 도시 모노레일선
伊那松島駅,이나마쓰시마역
対馬市,쓰시마시 (나가사키현)
伊那新町駅,이나신마치역
木ノ下駅,기노시타역
1-UPスタジオ,1-UP 스튜디오
薬院駅,야쿠인역
美東町,미토정 (야마구치현)
黒木町,구로기정
与那国島海底地形,요나구니 구조물
二丈町,니조정
立花町,다치바나정 (후쿠오카현)
元町・中華街駅,모토마치·주카가이역
志摩町・(福岡県),시마정 (후쿠오카현)
浜岡原子力発電所,하마오카 원자력 발전소
春野町・(高知県),하루노정 (고치현)
中央公論新社,주오고론신샤
小涌谷駅,고와키다니역
宇和島藩,우와지마번
旭川市旭山動物園,아사히카와시 아사히야마 동물원
渡島小島,고지마섬 (오시마 지청)
MOODYZ,MOODYZ
箕輪城,미노와성
幟,노보리
京都学派,교토 학파
ハル研究所,HAL 연구소
ICOCA,ICOCA
東日本高速道路,동일본 고속도로
血液型性格分類,혈액형 성격설
1968年グルノーブルオリンピックの日本選手団,1968년 동계 올림픽 일본 선수단
秋芳町,슈호정
吉井町・(群馬県),요시이정 (군마현)
五色町,고시키정
知覧町,지란정
下高井戸駅,시모타카이도역
小杉町,고스기정
厚木駅,아쓰기역
屋久町,야쿠정
日本航空350便墜落事故,일본항공 350편 추락 사고
セブン-イレブン・(米国),세븐일레븐
肥後国,히고국
境町駅,사카이마치역
近鉄宮津駅,긴테쓰미야즈역
野方駅,노가타역 (도쿄도)
天橋立,아마노하시다테
奥羽越列藩同盟,오우에쓰 열번 동맹
八幡市,야와타시
水戸学,미토학
栃木SC,도치기 SC
紀伊水道,기이 수도
チャットモンチー,챗몬치
正慶,쇼쿄
ザスパクサツ群馬,더스파구사쓰 군마
香川大学,가가와 대학
おみくじ,오미쿠지
京都工芸繊維大学,교토 공예섬유대학
紀州藩,기슈번
国立代々木競技場,국립 요요기 경기장
大阪近鉄バファローズ,오사카 긴테쓰 버펄로스
成田線,나리타선
日本の裁判所,일본의 재판소
つくば駅,쓰쿠바역
NHK放送センター,NHK 방송 센터
WiiConnect24,WiiConnect24
伊豆大島,이즈오섬
東京理科大学,도쿄 이과대학
興福寺,고후쿠지
ももいろクローバーZ,모모이로 클로버 Z
水沢駅,미즈사와역
宮崎駅,미야자키역
利別駅,도시베쓰역
前沢駅,마에사와역
金ケ崎駅,가네가사키역
十弗駅,도후쓰역
大楽毛駅,오타노시케역
伊予平野駅,이요히라노역
諸寄駅,모로요세역
稲士別駅,이나시베쓰역
鳥取大学前駅,돗토리다이가쿠마에역
六原駅,로쿠하라역
山ノ目駅,야마노메역
紫波中央駅,시와추오역
利府駅,리후역
御殿場駅,고텐바역
琴平駅,고토히라역
矢幅駅,야하바역
日詰駅,히즈메역
新利府駅,신리후역
赤碕駅,아카사키역
由良駅,유라역
古館駅,후루다테역
石鳥谷駅,이시도리야역
群馬八幡駅,군마야와타역
九十九里浜,구주쿠리 해변
八幡町・(山形県),야와타정 (야마가타현)
八橋駅,야바세역
善通寺駅,젠쓰지역
騎西町,기사이정
宮ノ下駅,미야노시타역
菖蒲町,쇼부정
生駒山,이코마산
吉原市,요시와라시
兼六園,겐로쿠엔
強羅駅,고라역
南林間駅,미나미린칸역
佐渡島,사도가섬
小岩駅,고이와역
Osaka・Metro四つ橋線,오사카 메트로 요쓰바시선
新倉敷駅,신쿠라시키역
烏山線,가라스야마선
久保田藩,구보타번 (데와국)
胆振総合振興局,이부리 종합진흥국
探題,단다이
島原藩,시마바라번
岡山大学,오카야마 대학
J-WAVE,J-WAVE
徳之島空港,도쿠노시마 공항
火山列島,가잔 열도
みちのくプロレス,미치노쿠 프로레슬링
国際基督教大学,국제 기독교 대학
釧路総合振興局,구시로 종합진흥국
西庶路駅,니시쇼로역
庶路駅,쇼로역
新大楽毛駅,신오타노시케역
平泉駅,히라이즈미역
上厚内信号場,가미아쓰나이역
末恒駅,스에쓰네역
岩美駅,이와미역 (돗토리현)
池田駅・(北海道),이케다역 (홋카이도)
有壁駅,아리카베역
小野田線,오노다선
幕別駅,마쿠베쓰역
福塩線,후쿠엔선
白糠駅,시라누카역
音別駅,온베쓰역
都城駅,미야코노조역
古瀬信号場,후루세역
美保飛行場,미호 비행장
多摩美術大学,다마 미술대학
豊洲駅,도요스역
ジャパンレールパス,재팬 레일 패스
日本橋・(東京都中央区),니혼바시
太陽誘電,다이요유덴
江の島,에노섬
宮田駅,미야다역
駒ケ根駅,고마가네역
沢渡駅,사완도역
大田切駅,오타기리역
坂井市,사카이시 (후쿠이현)
赤木駅,아카기역 (나가노현)
浅口市,아사쿠치시
桜川市,사쿠라가와시
木津川市,기즈가와시
府内城,후나이성
永田町駅,나가타초역
本八幡駅,모토야와타역
日本ファルコム,니혼 팔콤
大阪環状線,오사카 순환선
大阪外国語大学,오사카 외국어대학
特許庁,일본 특허청
多摩都市モノレール線,다마 도시 모노레일선
おおさか東線,오사카히가시선
西千葉駅,니시치바역
エグジットチューンズ,EXIT TUNES
箱根山,하코네산
摂家,섭가
鹿児島城,가고시마성
大垣城,오가키성
横綱,요코즈나
桜島線,사쿠라지마선
瑞宝章,서보장
北葛飾郡,기타카쓰시카군
甲府駅,고후역
西諫早駅,니시이사하야역
Osaka・Metro今里筋線,오사카 메트로 이마자토스지선
江差線,에사시선
名鉄豊川線,메이테쓰 도요카와선
国府駅・(愛知県),고역 (아이치현)
市川駅,이치카와역
中区・(横浜市),나카구 (요코하마시)
下総中山駅,시모사나카야마역
日本の原子力発電所,일본의 원자력 발전
NHK教育テレビジョン,NHK 교육 텔레비전
とき・(列車),도키 (열차)
宮崎大学,미야자키 대학
六本木ヒルズ,롯폰기 힐스
高松城・(備中国),다카마쓰성 (오카야마현)
戸越公園駅,도고시코엔역
佐賀城,사가성
駿東郡,슨토군
讀賣テレビ放送,요미우리 TV 방송
内閣官房,일본 내각관방
北佐久郡,기타사쿠군
最高裁判所・(日本),최고재판소 (일본)
徳島飛行場,도쿠시마 공항
東京フィルハーモニー交響楽団,도쿄 필하모니 교향악단
檜山振興局,히야마 진흥국
東京交響楽団,도쿄 교향악단
歴史的仮名遣,역사적 가나 표기법
Osaka・Metro谷町線,오사카 메트로 다니마치선
国士舘大学,고쿠시칸 대학
内房線,우치보선
川中島の戦い,가와나카지마 전투
利島村,도시마촌 (도쿄도)
立教大学,릿쿄 대학
舞浜リゾートラインディズニーリゾートライン,마이하마 리조트 라인 디즈니 리조트 라인
永禄,에이로쿠
関西テレビ放送,간사이 텔레비전 방송
日本女子大学,일본여자대학
Osaka・Metro堺筋線,오사카 메트로 사카이스지선
康正,고쇼 (연호)
新潟大学,니가타 대학
カトリック長崎大司教区,가톨릭 나가사키 대교구
宮山駅,미야야마역
北見市,기타미시
伊予大平駅,이요오히라역
小田原市,오다와라시
剣淵駅,겐부치역
士別駅,시베쓰역
山田西町駅,야마다니시마치역
西鉄天神大牟田線,니시테쓰 덴진오무타선
角茂谷駅,가쿠모다니역
後免駅,고멘역
大杉駅,오스기역
小歩危駅,고보케역
納沙布岬灯台,노삿푸미사키 등대
近鉄吉野線,긴테쓰 요시노선
土佐山田駅,도사야마다역
名鉄尾西線,메이테쓰 비사이선
新改駅,신가이역
西鉄福岡（天神）駅,니시테쓰 후쿠오카(덴진)역
風連駅,후렌역
東六線駅,히가시로쿠센역
熊本市交通局,구마모토시 교통국
土佐岩原駅,도사이와하라역
磯部駅・(群馬県),이소베역 (군마현)
南流山駅,미나미나가레야마역
土佐長岡駅,도사나가오카역
姉別駅,아네베쓰역
なすの・(列車),나스노 (열차)
土佐穴内駅,도사아나나이역
阿波川口駅,아와카와구치역
北剣淵駅,기타켄부치역
土佐北川駅,도사키타가와역
東北新幹線,도호쿠 신칸센
大田口駅,오타구치역
北高崎駅,기타타카사키역
大歩危駅,오보케역
白馬村,하쿠바촌
軽井沢町,가루이자와정
岩間町,이와마정
女川町,오나가와정
滋賀大学,시가 대학
デフスターレコーズ,데프스타 레코드
壱岐対馬国定公園,이키쓰시마 국정공원
黒井駅・(新潟県),구로이역 (니가타현)
糸島市,이토시마시
文化の日,문화의 날 (일본)
文永,분에이
参宮橋駅,산구바시역
JRバス,JR 버스
天授・(日本),덴주
特例市,특례시 (일본)
岐阜駅,기후역
観応,간노
享保,교호
明徳,메이토쿠
天正,덴쇼 (아즈치모모야마 시대)
Multiple・Sub-Nyquist・Sampling・Encoding,MUSE (기술)
塚本駅,쓰카모토역
キューンミュージック,큔 뮤직
JR東西線,JR 도자이선
松島,마쓰시마섬
日本の鉄軌道事業者一覧,일본의 철도 회사 목록
名古屋市営地下鉄,나고야 시영 지하철
日本三景,일본 삼경
第43回衆議院議員総選挙,제43회 일본 중의원 의원 총선거
遣唐使,견당사
郡山市,고리야마시
新代田駅,신다이타역
日本空手協会,일본 가라테 협회
家系ラーメン,이에케 라멘
東郷町,도고정
六本木,롯폰기
大山口駅,다이센구치역
佐奈駅,사나역
厚岸駅,앗케시역
法隆寺,호류지
上尾幌駅,가미오보로역
仙北町駅,센보쿠초역
花咲駅,하나사키역 (홋카이도)
烏森駅,가스모리역
桜新町駅,사쿠라신마치역
初田牛駅,핫타우시역
宮島松大汽船,미야지마 마쓰다이 기선
名鉄羽島線,메이테쓰 하시마선
新谷駅,니야역
姶良駅,아이라역
大岡駅・(静岡県),오오카역
浜中駅,하마나카역
国道25号,국도 제25호선 (일본)
和寒駅,왓사무역
茶内駅,자나이역
門静駅,몬시즈역
別当賀駅,벳토가역
塩入駅,시오이리역 (가가와현)
新富士駅・(北海道),신후지역 (홋카이도)
中山口駅,나카야마구치역
塩狩駅,시오카리역
足柄駅・(静岡県),아시가라역 (시즈오카현)
岩手飯岡駅,이와테이오카역
