Idioma catalán,加泰罗尼亚语
Padrenda,帕德伦达
Val de San Martín,巴尔德圣马丁
Torrelapaja,托雷拉帕哈
Puente Viesgo,蓬特维耶斯戈
Encío,恩西奥
Ibeas de Juarros,伊韦亚斯德华罗斯
Urrea de Jalón,乌雷亚德哈隆
Vera de Moncayo,贝拉德蒙凯奥
Villarroya del Campo,比利亚罗亚德尔坎波
Villanueva de Jiloca,希洛卡新镇
Fréscano,弗雷斯卡诺
Santibáñez del Val,桑蒂瓦涅斯德尔瓦尔
Ajofrín,阿霍夫林
Madridejos,马德里德霍斯
Meaño,梅亚尼奥
El Barco de Valdeorras,埃巴尔科-德巴尔德奥拉斯
Cadrete,卡德雷特
Villa de Cruces,比拉德克鲁塞斯
Junquera de Ambía,洪克拉-德安比亚
Moya (Gran Canaria),莫亚·(拉斯帕尔马斯省)
Ingenio (Gran Canaria),因赫尼奥
Parque del Retiro de Madrid,丽池公园
Fuente de Piedra,丰特-德彼德拉
Masters de Madrid 2010,2010年馬德里大師賽
Totanés,托塔内斯
Murueta,穆鲁埃塔
Mascaraque,马斯卡拉克
Sierra de Gredos,格雷多山脉
Valle de Yerri,巴列德耶里
Aeropuerto de Vigo,维戈机场
Donjimeno,东希梅诺
Salvadiós,萨尔瓦迪奥斯
Oña,奥尼亚·(西班牙)
Fuente Mágica de Montjuic,蒙锥克魔法喷泉
Villanueva de Gállego,加列戈新镇
Garganta del Villar,加尔甘塔德尔维利亚尔
Grisaleña,格里萨莱尼亚
San Esteban de Zapardiel,圣埃斯特万德萨帕尔迭尔
Moraleja de Matacabras,莫拉莱哈德马塔卡夫拉斯
Fayón,法伊翁
Manchones,曼乔内斯
Talamantes,塔拉曼特斯
Monegrillo,莫内格里略
Tierga,铁尔加
Echalar,埃查拉尔
Valle de Valdebezana,巴列德瓦尔德韦萨纳
Olmedillo de Roa,奥尔梅迪略德罗阿
Alguaire,阿尔瓜伊雷
Segunda División de España 1953-54,1953年至1954年西班牙足球乙级联赛
Paralelo 39 norte,北緯39度線
Cortes de Cádiz,卡迪斯議會
Costa de la Luz,阳光海岸·(西班牙)
Cornisa cantábrica,坎塔布里亞海岸
Minas de Riotinto,米纳斯德里奥廷托
Paseo de Gracia,格拉西亚大道
Acerinox,阿塞里諾克斯
Línea 11 (Metro de Barcelona),巴塞隆拿地鐵11號線
Pico Veleta,韋萊塔峰
Laracha,拉拉查
Oroso,奥罗索
Noblejas,诺夫莱哈斯
Los Navalmorales,洛斯纳瓦尔莫拉莱斯
Premio Biblioteca Breve,簡明圖書獎
Instituto Nacional de Técnica Aeroespacial,西班牙国家太空科技研究所
Villarrubia de Santiago,比利亚鲁维亚德桑蒂亚戈
Montiel,蒙铁尔
Villasequilla,比利亚塞基利亚
Arándiga,阿兰迪加
Olvés,奥尔韦斯
Longares,隆加雷斯
Las Pedrosas (Zaragoza),拉斯佩德罗萨斯
Castiliscar,卡斯蒂利斯卡尔
Lucena de Jalón,哈隆河畔卢塞纳
Alzo,阿尔索·(吉普斯夸省)
Hurtumpascual,乌尔通帕斯夸尔
Sotillo de la Adrada,索蒂略德拉德拉达
Tobed,托韦德
Belaunza,贝劳恩萨
Santa Cruz de Grío,圣克鲁斯德格里奥
Cimballa,辛瓦利亚
Monterde,蒙特尔德
Paracuellos de la Ribera,帕拉库埃略斯德拉里韦拉
Remolinos,雷莫利诺斯
Nuez de Ebro,努埃斯德埃夫罗
Astigarraga,阿斯蒂加拉加
Cabeza del Caballo,卡韦萨德尔卡瓦略
La Muela,拉穆埃拉
La Vega (Orense),拉贝加·(奥伦塞省)
Figueruelas,菲格鲁埃拉斯
Cabezón de Pisuerga,卡韦松德皮苏埃尔加
Almonacid de la Sierra,阿尔莫纳西德拉谢拉
Torrellas (Zaragoza),托雷利亚斯
Torralba de Ribota,托拉尔瓦德里沃塔
Luesma,卢埃斯马
Mesones de Isuela,梅索内斯德苏埃拉
Piedratajada,彼德拉塔哈达
Paracuellos de Jiloca,帕拉库埃略斯德希洛卡
Benijófar,贝尼霍法尔
Bárboles,巴尔沃莱斯
Castejón de Valdejasa,卡斯特洪德瓦尔德哈萨
Supercopa de España de Fútbol 2011,2011年西班牙超級盃
Pradilla de Ebro,普拉迪利亚德埃夫罗
Sabiñán,萨维尼扬
Monreal de Ariza,蒙雷亚尔德亚里萨
Santa Eulalia de Gállego,加列戈河畔圣欧拉利娅
Clarés de Ribota,克拉雷斯德里沃塔
Miedes de Aragón,米耶德斯德亚拉贡
Alameda de la Sagra,阿拉梅达德拉萨格拉
Castellar de la Frontera,弗龙特拉堡
Ontígola,翁蒂戈拉
Orera,奥雷拉
Valbona,巴尔沃纳
Sobradiel,索夫拉迭尔
Archidiócesis de Toledo,天主教托莱多总教区
Tratado de Madrid (1750),馬德里條約·(1750年)
Constitución española de 1812,1812年西班牙憲法
Morata de Jiloca,莫拉塔德希洛卡
Castejón de las Armas,卡斯特洪德拉萨尔马斯
Vivel del Río Martín,马丁河畔比韦尔
Plenas,普莱纳斯
Leaburu,莱阿武鲁
Mezquita de Jarque,梅斯基塔德哈尔克
Torre de las Arcas,托雷德拉萨尔卡斯
Segura de los Baños,塞古拉德洛斯瓦尼奥斯
Valdeltormo,巴尔德尔托尔莫
Royuela,罗尤埃拉
Torrecilla de Alcañiz,托雷西利亚德亚尔卡尼伊斯
Torrelacárcel,托雷拉卡尔塞尔
Terriente,特连特
Cabañas de Ebro,埃布罗河畔卡瓦尼亚斯
Calcena,卡尔塞纳
Torrijo del Campo,托里霍德尔坎波
Torres de Albarracín,托雷斯德亚尔瓦拉辛
Monterde de Albarracín,蒙特尔德德亚尔瓦拉辛
Boquiñeni,博基涅尼
Sarrión,萨里翁
Torralba de los Sisones,托拉尔瓦德洛西索内斯
Final de la Copa de Campeones de Europa 1955-56,1956年歐洲冠軍球會盃決賽
Final de la Liga Europa de la UEFA 2011-12,2012年歐霸盃決賽
Villarquemado,比利亚尔克马多
Hotel Arts Barcelona,藝術酒店
Tiñosillos,蒂尼奥西略斯
La Hija de Dios,拉伊哈德迪奥斯
Narrillos del Rebollar,纳里略斯德尔雷沃利亚尔
Solosancho,索洛桑乔
Plaza de las Glorias Catalanas,加泰罗尼亚荣耀广场
Pedroso de Acim,佩德罗索德亚西姆
Zaratán,萨拉坦
Paz y tregua de Dios,上帝的和平
OHLA,OHL
Gallegos de Altamiros,加列戈斯德亚尔塔米罗斯
Muñotello,穆尼奥特略
Monsalupe,蒙萨卢佩
Sierra de Alcubierre,阿爾庫維耶雷山脈
Dia (supermercados),迪亚天天超市
Peñarrubia,佩尼亚鲁维亚
Los Barrios,洛斯巴里奥斯
Porreras,波雷拉斯
Premio Nadal,纳达尔奖
Telescopio Solar Sueco,瑞典太陽望遠鏡
Reinoso de Cerrato,雷诺索德塞拉托
Castil de Vela,卡斯蒂尔德韦拉
Banco Español de Algas,西班牙海藻数据库
Gaviria,加维里亚
Gallegos de Sobrinos,加列戈斯德索夫里诺斯
Mainar,迈纳尔
Algarrobo (España),阿尔加罗沃·(西班牙)
Aznalcázar,阿斯纳尔卡萨尔
Los Llanos de Tormes,洛斯利亚诺斯德托尔梅斯
Hernialde,埃尔尼亚尔德
Isasondo,伊萨松多
Brea de Aragón,布雷亚德亚拉贡
Monforte de Moyuela,蒙福尔特德莫尤埃拉
Valdelinares,巴尔德利纳雷斯
Montalbán,蒙塔尔万
Mora de Ebro,埃布罗河畔莫拉
Calzada del Coto,卡尔萨达德尔科托
Valdesamario,巴尔德萨马里奥
Legorreta,莱戈雷塔
Berástegui,贝拉斯特吉
Madrid Arena,馬德里體育館
Trebujena,特雷武赫纳
Berlanga (Badajoz),贝尔兰加
Veguillas de la Sierra,贝吉利亚斯德拉谢拉
Ainzón,阿因松
Torre de Arcas,托雷德亚尔卡斯
Lluchmayor,柳克马约尔
Aragüés del Puerto,阿拉格斯德尔普埃尔托
Bandera de la Comunidad de Madrid,马德里自治区区旗
Bandera de La Rioja (España),拉里奧哈旗幟
Aeropuerto César Manrique-Lanzarote,兰萨罗特机场
Aeropuerto de Asturias,阿斯图里亚斯机场
Aeropuerto de La Coruña,拉科鲁尼亚机场
Deva (Guipúzcoa),德瓦·(吉普斯夸省)
Manjabálago y Ortigosa de Rioalmar,曼哈瓦拉戈
Villarreal de Álava,阿拉瓦皇家村
San Juan de Aznalfarache,圣胡安德亚斯纳尔法拉切
Pinofranqueado,皮诺夫兰克阿多
Castillo de Locubín,洛库温堡
Santa Cruz de Marchena,圣克鲁斯德马尔切纳
Tornos,托尔诺斯
Torralba de los Frailes,托拉尔瓦德洛斯夫赖莱斯
Albíztur,阿尔维斯图尔
Elgueta,埃尔格塔
Mallén,马连
Lumbrales,伦夫拉莱斯
Alzaga,阿尔萨加
Papatrigo,帕帕特里戈
Monteagudo del Castillo,蒙特亚古多德尔卡斯蒂略
Villel,比列尔
Riodeva,里奥德瓦
Martín del Río,滨河马丁
Almatret,阿尔马特雷特
PS10,PS10太陽能發電塔
Aeropuerto de El Hierro,耶罗机场
Aeropuerto de Castellón-Costa Azahar,卡斯特利翁-橙花海岸机场
Fuentes de Oñoro,丰特斯德奥尼奥罗
Aeropuerto de Fuerteventura,富埃特文图拉机场
Tahal,塔阿尔
Albanchez de Mágina,阿尔万切斯德马希纳
Urrácal,乌拉卡尔
Seseña,塞塞尼亚
Cabra (Córdoba),卡夫拉·(科尔多瓦省)
Oseja,奥塞哈
Los Pintanos,洛斯平塔诺斯
Larraul,拉劳尔
San Mateo de Gállego,圣马特奥德加列戈
Santa Fe de Mondújar,圣费德蒙杜哈尔
Calmarza,卡尔马尔萨
Mosqueruela,莫斯克鲁埃拉
Orrios,奥里奥斯
Torrecilla del Rebollar,托雷西利亚德尔雷沃利亚尔
Muniesa,穆涅萨
Mezalocha,梅萨洛查
Saldón,萨尔东·(西班牙)
Villarroya de los Pinares,比利亚罗亚德洛斯皮纳雷斯
Noguera de Albarracín,诺格拉德亚尔瓦拉辛
Alesón,阿莱松
Torralba de Calatrava,托拉尔瓦德卡拉特拉瓦
Borjas Blancas,莱斯沃尔赫斯夫兰克斯
Galbárruli,加尔瓦鲁利
Querol,克罗尔
Guardamar del Segura,瓜尔达马尔德尔塞古拉
Alonsótegui,阿隆索特吉
Terque,特尔克
Paymogo,派莫戈
Aeropuerto Federico García Lorca Granada-Jaén,格拉纳达机场
Aeropuerto de Ibiza,伊维萨机场
Galisteo,加利斯特奥
Casares de las Hurdes,卡萨雷斯德拉斯乌尔德斯
Malagón,马拉贡
Eljas,埃尔哈斯
Chodes,乔德斯
Perdiguera,佩尔迪格拉
Zalamea de la Serena,萨拉梅亚德拉塞雷纳
San Sebastián de los Ballesteros,圣塞瓦斯蒂安-德洛斯巴列斯特罗斯
Lobera de Onsella,洛韦拉德翁塞利亚
Balconchán,巴尔孔钱
Anento,阿嫩托
Santa Cruz de Moncayo,圣克鲁斯德蒙凯奥
La Puebla de Albortón,阿尔沃通镇
Aguilón,阿吉隆
Moneva,莫内瓦
Acered,阿塞雷德
Retascón,雷塔斯孔
San Martín de la Virgen de Moncayo,圣马丁-德拉比尔亨德蒙卡约
Pozuel de Ariza,波苏埃尔德亚里萨
Cerveruela,塞尔韦鲁埃拉
Alcaudete,阿尔考德特
Arjonilla,阿尔霍尼利亚
Zarza de Granadilla,萨尔萨德格拉纳迪利亚
Alameda (Málaga),阿拉梅达
Zalamea la Real,萨拉梅亚拉雷亚尔
Taberno,塔韦尔诺
Cambil,坎维尔
Albornos,阿尔沃尔诺斯
Arquillos,阿尔基略斯
Canena,卡内纳
Añón de Moncayo,阿尼翁德蒙凯奥
Badules,巴杜莱斯
Moscardón,莫斯卡尔东
Mazaleón,马萨莱翁
Campillo de Aragón,坎皮略德亚拉贡
Valdealgorfa,巴尔德亚尔戈尔法
Tramacastilla,特拉马卡斯蒂利亚
Golfo de Rosas,羅塞斯灣
Allariz,阿利亚里斯
Val de San Lorenzo,巴尔德圣洛伦索
Coliseum (Getafe),阿方索佩雷斯球場
Sober (Lugo),索韦尔·(卢戈省)
Riotorto,里奥托尔托
Hernani,埃尔纳尼
Casatejada,卡萨特哈达
Villanueva de San Juan,圣胡安新镇
Ladrillar,拉德里利亚尔
Santa María de Dulcis,圣马里亚德杜尔西斯
Colungo,科伦戈
Salas Bajas,萨拉斯瓦哈斯
Gallegos del Pan,加列戈斯德尔潘
Valverde del Fresno,巴尔韦德-德尔弗雷斯诺
Talayuela,塔莱韦拉
Universidad Internacional Menéndez Pelayo,梅嫩德斯·佩拉约国际大学
Villamartín,比利亚马丁
Laluenga,拉伦加
Navardún,纳瓦尔敦
Azlor,阿斯洛尔
El Grove,埃尔格罗韦
Mianos,米亚诺斯
Villarino de los Aires,比利亚里诺德洛赛雷斯
Villares de la Reina,比利亚雷斯德拉雷纳
Villabraz,比利亚布拉斯
Valencia de Alcántara,巴伦西亚德亚尔坎塔拉
El Torno,埃尔托尔诺
Alegría de Oria,奥里亚河畔阿莱格里亚
Villamiel,比利亚米耶尔
Unión del Pueblo Navarro,纳瓦拉人民联盟
Aeropuerto de Valladolid,巴利亚多利德机场
Aeropuerto Seve Ballesteros-Santander,桑坦德机场
Aeropuerto de Santiago-Rosalía de Castro,圣地亚哥-德孔波斯特拉机场
Aldealcorvo,阿尔德亚尔科尔沃
Villamejil,比利亚梅希尔
El Sahugo,埃尔萨乌戈
Villaornate y Castro,比廖尔纳泰卡斯特罗
Villavieja de Yeltes,耶尔特斯旧镇
Parque del Laberinto de Horta,奧爾塔迷宮公園
Málaga (vino),马拉加酒
Antella,安特利亚
Iberdrola,伊比德羅拉
Villar del Cobo,科沃村
Torrijas,托里哈斯
Puertomingalvo,普埃托明加尔沃
San Martín del Río,滨河圣马丁·(特鲁埃尔省)
Mas de las Matas,马斯德拉斯马塔斯
Peralta de Alcofea,佩拉尔塔德亚尔科费亚
Lascellas-Ponzano,拉斯塞利亚斯-蓬萨诺
Ilche,伊尔切
Piornal,皮奥尔纳尔
Carcaboso,卡尔卡沃索
Nuñomoral,努尼奥莫拉尔
Purujosa,普鲁霍萨
Nombrevilla,农夫雷维利亚
Carenas,卡雷纳斯
Ojos Negros,奥霍斯内格罗斯
Monroyo,蒙罗约
Toril y Masegoso,托里利马塞戈索
Ráfales,拉法莱斯·(特鲁埃尔省)
Pozuel del Campo,波苏埃尔德尔坎波
Peracense,佩拉森塞
Bijuesca,比胡埃斯卡
Rillo,里略
Pozán de Vero,波桑德韦罗
Berbegal,贝尔韦加尔
Castillazuelo,卡斯蒂利亚苏埃洛
Magallón,马加利翁
Novillas,诺维利亚斯
Valverde-Enrique,巴尔韦德恩里克
Samper del Salz,桑佩尔德尔萨尔斯
Villaobispo de Otero,比廖维斯波德奥特罗
Peraltilla,佩拉尔蒂利亚
Adahuesca,阿达韦斯卡
Oseja de Sajambre,奥塞哈德萨汉夫雷
Salas Altas,萨拉斯阿尔塔斯
Aeropuerto de San Sebastián,圣塞瓦斯蒂安机场
Vino de España,西班牙葡萄酒
Baños de Valdearados,巴尼奥斯德瓦尔德亚拉多斯
Arlanzón (Burgos),阿尔兰松
Barbadillo del Mercado,巴尔瓦迪略德尔梅尔卡多
Marchena,马切纳
Santoña,桑托尼亚
San Vicente de Alcántara,圣比森特德亚尔坎塔拉
Villazanzo de Valderaduey,比利亚桑索德瓦尔德拉杜埃
La Puebla de Alfindén,阿尔芬登镇
Villanueva de las Manzanas,曼萨纳斯新镇
Ariza,阿里萨
Villamandos,比利亚曼多斯
Rois,罗伊斯·(西班牙)
Solana de los Barros,索拉纳德洛斯瓦罗斯
Ribera del Fresno,里韦拉-德尔弗雷斯诺
Villamol,比利亚莫尔
Villaselán (León),比利亚塞兰
Ardisa,阿尔迪萨
Moyuela,莫尤埃拉
Toral de los Guzmanes,托拉尔德洛斯古斯马内斯
Villamoratiel de las Matas,比利亚莫拉铁尔德拉斯马塔斯
Santa Comba,圣孔瓦
San Saturnino (La Coruña),圣萨图尔尼诺
Herrera (Sevilla),埃雷拉
Sigüés,锡圭斯
Cox,科克斯·(阿利坎特省)
Salvatierra de Esca,萨尔瓦铁拉德埃斯卡
Maluenda,马伦达
Quintanilla de Onésimo,金塔尼利亚德奥内西莫
Grisén,格里森
Illueca,伊柳埃卡
Iruelos,伊鲁埃洛斯
Fuenteguinaldo,丰特吉纳尔多
Doñinos de Ledesma,多尼伊诺斯德莱德斯马
Bóveda del Río Almar,博韦达德尔里奥阿尔马尔
Tamames,塔马梅斯
Castillejo de Martín Viejo,卡斯蒂列霍德马尔廷维耶霍
Carrascal del Obispo,卡拉斯卡尔德洛维斯波
Mondariz-Balneario,蒙达里斯-瓦尔内亚里奥
Castrocontrigo,卡斯特罗孔特里戈
Carucedo,卡鲁塞多
Corullón,科鲁利翁
El Cabaco,埃尔卡瓦科
Navamorales,纳瓦莫拉莱斯
Aldeaseca de Alba,阿尔德亚塞卡德亚尔瓦
Serrejón,塞雷洪
Aldeaseca de la Frontera,阿尔德亚塞卡德拉夫龙特拉
Castraz,卡斯特拉斯
Las Casas del Conde,拉斯卡萨斯德尔孔德
El Tornadizo,埃尔托尔纳迪索
Universidad Politécnica de Cataluña,加泰罗尼亚理工大学
Cepeda (Salamanca),塞佩达
Encina de San Silvestre,恩西纳德圣西尔韦斯特雷
Castellanos de Villiquera,卡斯特利亚诺斯德维利克拉
Canillas de Abajo,下卡尼利亚斯
Carpio de Azaba,卡尔皮奥德亚萨瓦
Doñinos de Salamanca,多尼伊诺斯德萨拉曼卡
Cantaracillo,坎塔拉西略
Fregenal de la Sierra,弗雷赫纳尔-德拉谢拉
Coruña del Conde,科鲁尼亚德尔孔德
Santiso,桑蒂索
Villagarcía de Arosa,比利亚加西亚-德阿罗萨
La Bañeza,拉瓦涅萨
Órdenes,奥尔德斯
Cilleros,西列罗斯
Caminomorisco,卡米诺莫里斯科
Moeche,莫埃切
Carracedelo,卡拉塞德洛
Candeleda,坎德莱达
Madroñera,马德罗涅拉
Riolobos,里奥洛沃斯
Acehúche,阿塞乌切
Paniza,帕尼萨
Jaulín,豪林
Pozorrubio de Santiago,波索鲁维奥
Bolaños de Calatrava,博拉尼奥斯德卡拉特拉瓦
Torre de Miguel Sesmero,托雷德米格尔塞斯梅罗
Táliga,塔利加
Torremejía,托雷梅希亚
Torremayor,托雷马约尔
Rozalén del Monte,罗萨伦德尔蒙特
Bañobárez,巴尼奥瓦雷斯
Masueco,马苏埃科
Barruecopardo,巴鲁埃科帕尔多
Anoeta,阿诺埃塔
Alhambra (Ciudad Real),阿尔安夫拉
Carrión de Calatrava,卡里翁德卡拉特拉瓦
Rociana del Condado,罗西亚纳德尔孔达多
Trigueros,特里格罗斯
Abenójar,阿韦诺哈尔
San Bartolomé de la Torre,圣巴尔托洛梅德拉托雷
Lucena del Puerto,卢塞纳德尔普埃尔托
Buniel,布涅尔
San Bartolomé de Pinares,圣巴尔托洛梅德皮纳雷斯
Arauzo de Torre,阿劳索德托雷
Socuéllamos,索库埃利亚莫斯
Santa Olalla del Cala,圣奥拉利亚德尔卡拉
Dozón,多松
Viveros (Albacete),比韦罗斯
Berzosa de Bureba,贝尔索萨德武雷瓦
Vadillo de la Sierra,巴迪略德拉谢拉
Barbadillo de Herreros,巴尔瓦迪略德埃雷罗斯
Pazos de Borbén,帕索斯德沃尔文
Zazuar,萨苏阿尔
La Gineta,拉希内塔
Valdecaballeros,巴尔德卡瓦列罗斯
Alfoz de Santa Gadea,阿尔福斯德圣加德亚
Sociedad Deportiva Compostela (2004),孔波斯特拉足球俱乐部
Higuera de Vargas,伊格拉德瓦尔加斯
Quismondo,基斯蒙多
Ojos-Albos,奥霍斯-阿尔沃斯
Arenillas de Riopisuerga,阿雷尼利亚斯德里奥皮苏埃尔加
Albillos,阿尔维略斯
Somozas,索莫萨斯
Puentes de García Rodríguez,蓬特斯德加尔西亚罗德里格斯
Vendrell,埃尔文德雷利
Montroig,蒙特-罗伊格德尔坎普
Canillas de Río Tuerto,图埃尔托河畔卡尼利亚斯
Fontiveros,丰蒂韦罗斯
Fabero,法韦罗
Mazaricos,马萨里科斯
Monfero,蒙费罗
Mugardos,穆加尔多斯
Navaridas,纳瓦里达斯
Moreda de Álava,莫雷达德阿拉瓦
Yepes,耶佩斯
Cegama,塞加马
Estada,埃斯塔达
Castejón del Puente,卡斯特洪德尔蓬特
Yécora (Álava),耶科拉
Villabuena de Álava,比利亚武埃纳-德阿拉瓦
Cigoitia,锡戈伊蒂亚
Ahigal (Cáceres),阿伊加尔
Arco romano de Cabanes,卡本尼斯拱門
Palmeral de Elche,埃尔切的棕榈林
Fuente Obejuna,丰特奥韦胡纳
La Granjuela,拉格兰胡埃拉
Hornachuelos,奥尔纳丘埃洛斯
Salvatierra de los Barros,萨尔瓦铁拉德洛斯瓦罗斯
Salvaleón,萨尔瓦莱翁
Sancti-Spíritus (Badajoz),桑克蒂-斯皮里图斯
San Pedro de Mérida,圣佩德罗德梅里达
Benifallim,贝尼法利姆
Saucedilla,绍塞迪利亚
Sartajada,萨尔塔哈达
Farlete,法尔莱特
Villarejo (La Rioja),比利亚雷霍
Cilleros de la Bastida,西列罗斯德拉瓦斯蒂达
Condemios de Arriba,上孔德米奥斯
Nava del Rey,纳瓦德尔雷
San Martín de Montalbán,圣马丁德蒙塔尔万
Aldeanueva de la Sierra,谢拉新村
Jorcas,霍尔卡斯
Lidón,利东·(特鲁埃尔省)
Gargallo,加尔加略
Las Parras de Castellote,拉斯帕拉斯德卡斯特略特
La Fresneda (Teruel),拉弗雷斯内达
Ródenas,罗德纳斯
Loscos,洛斯科斯
Villar del Salz,萨尔斯村
Gúdar,古达尔
La Ginebrosa,拉希内夫罗萨
Gea de Albarracín,赫亚德亚尔瓦拉辛
Bardallur,巴尔达柳尔
Yunquera de Henares,伊温克拉德埃纳雷斯
Torre de Juan Abad,托雷德华纳瓦德
Cipérez,西佩雷斯
Valjunquera,巴尔洪克拉
María de Huerva,马里亚德韦尔瓦
Ruesca,鲁埃斯卡
Berdejo,贝尔德霍
Torremocha de Jiloca,托雷莫查德希洛卡
Villarluengo,比利亚尔伦戈
Visiedo,比谢多
Los Olmos,洛索尔莫斯
La Portellada,拉波特利亚达
La Iglesuela del Cid,莱格莱苏埃拉德尔西德
Linares de Mora,利纳雷斯德莫拉
La Cerollera,拉塞罗列拉
Hinojosa de Jarque,伊诺霍萨德哈尔克
Jarque de la Val,哈尔克德拉瓦尔
Lagueruela,拉格鲁埃拉
Jabaloyas,哈瓦洛亚斯
Selaya,塞莱阿
Val de San Vicente,巴尔德圣比森特
Vega de Liébana,贝加德列瓦纳
Fuente Palmera,丰特帕尔梅拉
Zalduendo de Álava,萨尔敦多德阿拉瓦
Santervás de Campos,桑特尔瓦斯德坎波斯
Malpartida,马尔帕尔蒂达
Medina de Pomar,波马尔城
Arandilla (Burgos),阿兰迪利亚
Bozoó,博索奥
Fuentelisendo,丰特利森多
Zarzosa de Río Pisuerga,萨尔索萨德里奥皮苏埃尔加
Zael,赛尔
Alcocero de Mola,阿尔科塞罗德莫拉
Valle de Mena,巴列德梅纳
Ameyugo,阿梅乌戈
Talaván,塔拉万
Lerma (España),莱尔马·(布尔戈斯省)
La Hoz de la Vieja,拉奥斯德拉维耶哈
La Codoñera,拉科多涅拉
El Castellar (Teruel),埃尔卡斯特利亚尔
Cantalpino,坎塔尔皮诺
Colmenar de Montemayor,科尔梅纳尔-德蒙特马约尔
Espadaña (Salamanca),埃斯帕达尼亚
Carbajosa de la Sagrada,卡尔瓦霍萨德拉萨格拉达
Cespedosa de Tormes,塞斯佩多萨德托尔梅斯
Berrocal de Huebra,贝罗卡尔德韦夫拉
Cabrillas (Salamanca),卡夫里利亚斯
Calvarrasa de Abajo,下卡尔瓦拉萨
Corbillos de los Oteros,科尔维略斯-德洛斯奥特罗斯
Vega de Infanzones,贝加登凡索内斯
Sariegos,萨列戈斯
Ducado de Béjar,贝哈尔公爵
Malpartida de la Serena,马尔帕尔蒂达德拉塞雷纳
Villaquejida,比利亚克希达
Paterna del Campo,帕特尔纳德尔坎波
Galaroza,加拉罗萨
Cumbres de Enmedio,孔布雷斯-德恩梅迪奥
Aroche,阿罗切
Bonares,博纳雷斯
Chucena,丘塞纳
Higuera de la Sierra,伊格拉德拉谢拉
Robledo (Albacete),罗夫莱多
Suances,苏安塞斯
Higueruela,伊格鲁埃拉
Ontur,翁图尔
Hinojos,伊诺霍斯
Peñascosa,佩尼亚斯科萨
Cortegana (Huelva),科尔特加纳
Alosno,阿洛斯诺
Estercuel,埃斯特尔库埃尔
El Cuervo (Teruel),埃尔库埃尔沃
Escucha,埃斯库查
Yecla,耶克拉
Camañas,卡马尼亚斯
Bezas,贝萨斯
Cella,塞利亚·(特鲁埃尔省)
Alobras,阿洛夫拉斯
Alsodux,阿尔索杜斯
Rábade,拉瓦德
El Pobo,埃尔波沃
Villanubla,比利亚努夫拉
Roturas,罗图拉斯
Cumbres Mayores,大孔布雷斯
Campofrío (Huelva),坎波夫里奥
Villovieco,比略维耶科
Arroyo de la Encomienda,阿罗约德莱恩科缅达
Matapozuelos,马塔波苏埃洛斯
Salillas de Jalón,萨利利亚斯德哈隆
Nigüella,尼圭利亚
Pinseque,平塞克
Mojados,莫哈多斯
Tudela de Duero,杜罗河畔图德拉
Boadilla del Monte,博阿迪利亚-德尔蒙特
Lumpiaque,伦皮亚克
Montemayor de Pililla,蒙特马约尔-德皮利利亚
Fuensaldaña,丰萨尔达尼亚
Torre de Peñafiel,托雷德佩尼亚菲耶尔
Villanueva de Duero,杜罗新镇
Olmos de Peñafiel,奥尔莫斯德佩尼亚菲耶尔
Torrelobatón,托雷洛瓦通
Cañizar del Olivar,卡尼伊萨尔德洛利瓦尔
Talamanca de Jarama,哈拉马河畔塔拉曼卡
Jarque de Moncayo,哈尔克
Vilavert,比拉韦尔德
Arroyomolinos (Cáceres),阿罗约莫利诺斯
San Román de los Montes,圣罗曼德洛斯蒙特斯
Palenciana,帕伦西亚纳
Encinas Reales,恩西纳斯雷亚莱斯
Hazas de Cesto,阿萨斯德塞斯托
Peranzanes,佩兰萨内斯
Puebla de Lillo,利略镇
Valderrueda (León),巴尔德鲁埃达
Soto y Amío,索托亚米奥
Magacela,马加塞拉
Valle de Ancares,坎丁
Sabero,萨韦罗
Villarejo de Órbigo,比利亚雷霍德奥尔维戈
Orellana de la Sierra,奥雷利亚纳德拉谢拉
Laguna de Negrillos,拉古纳德内格里略斯
Brión (La Coruña),布里翁·(拉科鲁尼亚省)
La Vecilla,拉韦西利亚
San Andrés del Rabanedo,圣安德烈斯-德尔拉瓦内多
Cuacos de Yuste,夸科斯德乌斯特
Pozuelo de Aragón,波苏埃洛德亚拉贡
Puendeluna,蓬德卢纳
Sevilla la Nueva,新塞维利亚
Pedrajas de San Esteban,佩德拉哈斯德圣埃斯特万
Aldeamayor de San Martín,圣马丁大村
La Pedraja de Portillo,拉佩德拉哈德波尔蒂略
Pastriz,帕斯特里斯
Distrito de Nou Barris,努巴里斯區
Lagata,拉加塔
Montalbán de Córdoba,蒙塔尔万-德科尔多瓦
Iruraiz-Gauna,伊鲁赖斯-高纳
Argoños,阿尔戈尼奥斯
Bárcena de Cicero,巴尔塞纳德西塞罗
Colindres,科林德雷斯
Anievas,阿涅瓦斯
Los Corrales de Buelna,洛斯科拉莱斯德武埃尔纳
Camaleño,卡马莱尼奥
Cabuérniga,卡武埃尔尼加
Lanciego,兰谢戈
Rioja (Almería),里奥哈
Tabernas,塔韦尔纳斯
Alcolea (Almería),阿尔科莱阿
Oria (Almería),奥里亚
Antas,安塔斯
Benizalón,贝尼萨隆
Arnuero,阿尔努埃罗
El Astillero,埃拉斯蒂列罗
Alboloduy,阿尔沃洛杜伊
San Juan del Puerto,圣胡安-德尔普埃托
