Osasco,奥萨斯库
Igarapé-Açu,伊加拉佩阿蘇
Medicilândia,梅迪西蘭迪亞
Aurora do Pará,歐羅拉杜帕拉
Ulianópolis,烏利亞諾波利斯
Goianésia do Pará,戈亞內西亞杜帕拉
Sumé (Paraíba),苏梅·(巴西城镇)
Pinhais,皮尼艾斯
Assú,阿苏
Senador Amaral,阿马拉尔参议员镇
Sapezal,萨佩扎尔
Afonso Bezerra,阿方索贝泽拉
Alto Taquari,上塔夸里
Japorã,雅波朗
Bujaru,布雅魯
Uruará,烏魯阿拉
Santa Bárbara do Pará,聖巴巴拉杜帕拉
Serra Branca,塞拉布兰卡
Muribeca,穆里貝卡
Canto do Buriti,坎图杜布里蒂
Nova Olinda (Tocantins),新奧林達·(托坎廷斯州)
São Miguel do Fidalgo,圣米格尔-杜菲达尔古
Mirante da Serra,米蘭特達塞拉
Santa Filomena (Pernambuco),圣菲洛梅纳·(伯南布哥州)
Ribeirão (Pernambuco),里贝朗
São Gonçalo do Amarante (Rio Grande do Norte),聖貢薩洛杜阿馬蘭特·(北里約格朗德州)
Francisco Dantas (Rio Grande do Norte),弗蘭西斯科丹塔斯
Buritinópolis,布里蒂诺波利斯
Mambaí,曼巴伊
Barra do Bugres,巴拉-杜布格里斯
Santo Antônio da Barra,圣安东尼奥-达巴拉
São João do Araguaia,聖若昂杜阿拉瓜亞
Irituia,伊里圖亞
Riachão do Bacamarte,里亚尚-杜巴卡马尔蒂
Mãe do Rio,芒伊杜里奧
Bom Sucesso (Minas Gerais),邦苏塞苏·(米纳斯吉拉斯州)
Perolândia,佩罗兰迪亚
Formoso (Goiás),福莫苏·(戈亚斯州)
Minaçu,米纳苏
Santa Rita do Novo Destino,圣丽塔-杜诺瓦德斯蒂努
Sem-Peixe,森佩希
Senador Cortes,科尔蒂斯参议员镇
Santa Margarida (Minas Gerais),圣玛格丽达
Senador Firmino,菲尔米努参议员镇
Santana de Cataguases,圣安娜-迪卡塔瓜西斯
Santana de Pirapama,圣安娜-迪皮拉帕马
Santana dos Montes,圣安娜-杜斯蒙蒂斯
Sapucaí-Mirim,萨普卡伊米林
Pouso Alto,上波苏
Piranga,皮兰加
Rosário da Limeira,罗萨里奥达路利梅拉
Pequeri,佩克里
Graça Aranha (Maranhão),格拉萨-阿拉尼亚
Paulista (Paraíba),保利斯塔·(帕拉伊巴州)
Vale de São Domingos,瓦莱-迪圣多明戈斯
Santa Cruz do Capibaribe,圣克鲁斯-杜卡皮巴里比
Porto Franco,佛朗哥港
Sinuca,巴西斯诺克
Encanto (Rio Grande do Norte),恩坎图
Pavussu,帕武苏
Bonfim do Piauí,邦菲姆杜皮奥伊
Nossa Senhora Aparecida (Sergipe),阿帕雷西達聖母城·(塞爾希培州)
Pio IX (Piauí),庇护九世镇
Monte Azul,蒙蒂阿祖尔
Montalvânia,蒙塔瓦尼亚
Marilac,马里拉克
Oratórios,奥拉托留斯
Santo Antônio do Grama,圣安东尼奥-杜格拉马
Santa Rosa da Serra,圣罗莎-达塞拉
Santa Maria de Itabira,圣玛丽亚-迪伊塔比拉
Seritinga,塞里廷加
Pirajuba,皮拉茹巴
Piranguçu,皮兰古苏
Patrocínio do Muriaé,穆里亚埃河畔帕特罗西纽
Papagaios,帕帕加尤斯
Pedras de Maria da Cruz,佩德拉斯-迪玛丽亚达克鲁斯
Piraúba,皮拉乌巴
Porto Firme,菲尔米港
Pintópolis,平托波利斯
Paulistas (Minas Gerais),保利斯塔斯
Vieirópolis,维埃罗波利斯
Imaculada,伊马库拉达
Piancó,皮安科
Brejinho (Rio Grande do Norte),布雷日紐·(北里約格朗德州)
Jerumenha,热鲁梅尼亚
Simões (Piauí),锡蒙伊斯
Brejo do Piauí,皮奥伊州布雷若
Ibiara,伊比亚拉
Desterro,德斯特罗
Monte Horebe,蒙蒂奥雷比
Esperantina (Piauí),埃斯佩兰蒂纳
Curral Velho,库拉尔韦略
Jacaraú,雅卡拉乌
Capitão de Campos,卡皮唐迪坎波斯
Dom Inocêncio,唐伊诺森西乌
Portel (Pará),波特爾·(帕拉州)
Campo Novo de Rondônia,坎普諾武德朗多尼亞
Cumaru (Pernambuco),库马鲁
Carlinda,卡林达
Arenápolis,阿雷纳波利斯
Brasnorte,布拉斯诺特
Coronel Sapucaia,薩普卡亞上校鎮
Nova Canaã do Norte,北新卡纳昂
Pontal do Araguaia,蓬塔尔-杜阿拉瓜亚
Torixoréu,托里绍雷乌
Gaúcha do Norte,北加乌沙
Rondon (Paraná),龍東·(巴拉那州)
Santa Rosa de Lima (Sergipe),利馬的聖羅莎·(塞爾希培州)
Taquarussu,塔夸魯蘇·(南馬托格羅索州)
Nobres (Mato Grosso),诺布里斯
Bataguassu,巴塔瓜蘇
Douradina (Mato Grosso do Sul),多拉迪納·(南馬托格羅索州)
Confresa,孔夫雷萨
Rio Tinto (Paraíba),里约廷托
Pau-d'Arco (Tocantins),保达尔库
Presidente Kennedy (Tocantins),肯尼迪总统城·(托坎廷斯州)
Lajeado (Tocantins),拉熱阿杜·(托坎廷斯州)
Paranatinga,巴拉纳廷加
Luciara,卢西亚拉
Porto Alegre do Norte,北阿雷格里港
Colíder,科利德尔
Catanduvas (Santa Catarina),卡坦杜瓦斯·(聖卡塔琳娜州)
Calçado (Pernambuco),卡尔萨多
Bom Sucesso (Paraíba),邦苏塞苏·(帕拉伊巴州)
Ouro Branco (Rio Grande do Norte),歐魯布蘭庫·(北里約格朗德州)
Campo Alegre (Santa Catarina),坎普阿萊格里·(聖卡塔琳娜州)
Rio Verde de Mato Grosso,里奧韋爾德迪馬托格羅索
Jaciara,雅西亚拉
Juscimeira,茹斯西梅拉
Itaporã,伊塔波朗
Nova Guarita,新瓜里塔
Nioaque,尼瓦基
Deodápolis,德奧達波利斯
Paranaíta,巴拉纳伊塔
Canabrava do Norte,北卡纳布拉瓦
Nortelândia,诺尔特兰迪亚
Santa Carmem,圣卡尔门
São Vicente do Seridó,塞里多
Inocência (município),伊諾森西亞
Juripiranga,茹里皮兰加
São José do Sabugi,圣若泽-杜萨布吉
Ouro Velho,欧鲁韦柳
Porteirinha,波尔泰里尼亚
Nova Era (Minas Gerais),新埃拉
Perdões,佩尔东伊斯
Pocrane,波克拉尼
Piedade de Ponte Nova,彼达迪-迪蓬迪诺瓦
Pingo-d'Água,平古达瓜
Piedade dos Gerais,彼达迪-杜斯热赖斯
Paineiras,派内拉斯
Pratápolis,普拉塔波利斯
Presidente Kubitschek,库比契克总统镇
Ponto Chique,蓬图希克
Pompéu,蓬佩乌
Cabrobó,卡布鲁博
Iguaracy,伊瓜拉西
Orocó,奥罗科
Araçoiaba,阿拉索亚巴
Santa Efigênia de Minas,圣埃菲热尼娅-迪米纳斯
Romaria (Minas Gerais),罗马里亚
Resende Costa,雷森迪科斯塔
Rio Casca (município),里奥卡斯卡
Borba (Amazonas),博爾巴·(亞馬遜州)
Bacuri (Maranhão),巴库里
Boa Esperança (Espírito Santo),博阿埃斯佩蘭薩·(聖埃斯皮里圖州)
Silves (Amazonas),西爾韋斯·(亞馬遜州)
Rubelita,鲁贝利塔
Santa Bárbara do Monte Verde,圣巴巴拉-杜蒙蒂韦尔迪
Ritápolis,里塔波利斯
Rio Pardo de Minas,里奥帕尔杜-迪米纳斯
Rio Preto,里奥普雷图
Rio Vermelho (município),里奥韦尔梅柳
Riachinho (Minas Gerais),里亚希纽
Rio Novo,里约诺沃
Santa Bárbara do Leste,东圣巴巴拉
Rio Espera,里奥埃斯佩拉
Reduto,雷杜图
Santa Juliana (Minas Gerais),圣茹利亚娜
São Sebastião de Lagoa de Roça,圣塞巴斯蒂昂-迪拉戈阿迪罗萨
Riacho de Santo Antônio,里亚舒-迪圣安东尼奥
Cubati,库巴蒂
São José dos Ramos,圣若泽-杜斯拉穆斯
Nazarezinho,纳扎雷齐纽
Lastro (Paraíba),拉斯特罗
Olho d'Água,奥柳达瓜
Manaíra,马纳伊拉
São José da Lagoa Tapada,圣若泽-达拉戈阿塔帕达
São Bentinho,圣本蒂纽
Salgado de São Félix,萨尔加杜-迪圣费利什
Matureia,马图雷亚
Trairão,特賴朗
Nova Timboteua,新廷博特瓦
Santo Antônio do Tauá,聖安東尼奧杜陶阿
Barcarena (Pará),巴卡雷納·(帕拉州)
Canaã dos Carajás,卡納昂卡拉雅斯
Rurópolis,魯羅波利斯
Prainha (Pará),普賴尼亞·(帕拉州)
Santana dos Garrotes,圣安娜-杜斯加罗蒂斯
Congo (Paraíba),孔戈
Santana de Mangueira,圣安娜-迪曼盖拉
Mãe-d'Água (Paraíba),芒埃达瓜
Marcação,马卡桑
Solânea,索拉内阿
Tamandaré (Pernambuco),塔曼达雷
Palmeirina,帕尔梅里纳
Lagoa de Dentro,拉戈阿-迪登特鲁
Cuitegi,库伊特吉
Maracanã (Pará),馬拉卡南·(帕拉州)
São Miguel do Aleixo,阿萊舒的聖米格爾
Santa Luzia do Itanhi,伊塔尼的聖盧西亞
Pirapemas,皮拉佩马斯·(马拉尼昂州)
Olímpio Noronha,奥林皮乌诺罗尼亚
Monte Santo de Minas,米纳斯圣山城
Naque,纳基
Natalândia,纳塔兰迪亚
Pilar de Goiás,戈亚斯州皮拉尔
Consolação (Minas Gerais),孔索拉桑
São Luiz do Norte,北圣路易斯
Chácara (Minas Gerais),沙卡拉·(米纳斯吉拉斯州)
Goiabeira (Minas Gerais),戈亞貝拉·(米納斯吉拉斯州)
Carmo do Rio Verde,韦尔迪河畔卡尔穆
Serranópolis,塞拉诺波利斯
Guarinos,瓜里努斯
Aliança (Pernambuco),阿利安加
Vista Serrana,维斯塔塞拉纳
São José de Caiana,圣若泽-迪卡亚纳
São José de Espinharas,圣若泽-迪埃斯皮尼亚拉斯
Uiraúna,维拉乌纳
Olhos-d'Água,奥柳斯达瓜
Nova Módica,新莫迪卡
Luislândia,路易斯兰迪亚
Morada Nova de Minas,新莫拉达-迪米纳斯
Patis,帕蒂斯
Lassance,拉桑西
Maria da Fé,玛丽亚达费
Piau,皮奥
São Domingos do Norte,北聖多明戈斯
Marilândia,馬里蘭迪亞
Piúma,皮烏馬
São Roque do Canaã,聖羅克杜卡納
Miravânia,米拉瓦尼亚
Novorizonte,诺沃里藏特
Nova Porteirinha,新波尔泰里尼亚
Martins Soares,马丁斯-索阿里斯
Pai Pedro,派佩德罗
Miraí,米拉伊
Mirabela,米拉贝拉
Muzambinho,穆赞比纽
Aeroporto Campo de Marte,坎普-迪马蒂机场
Brasilândia,巴西蘭迪亞
Ribeirão Cascalheira,里贝朗卡斯卡列拉
Nova Serrana,新塞拉纳
Rianápolis,里亚纳波利斯
São José de Piranhas,圣若泽-迪皮拉尼亚斯
Parauapebas,帕勞阿佩巴斯
Vicência,维森西亚
Sossego (Paraíba),索塞古
Graça (Ceará),格拉萨
Calumbi,卡伦比
Parnaguá,帕纳瓜
Urupá,烏魯帕
Conquista d'Oeste,西孔基斯塔
Ipiranga do Norte,北伊皮兰加
Meridiano 40 W,西经40度线
Anaurilândia,阿瑙里蘭迪亞
Nova Alvorada do Sul,南新阿爾沃拉達
Novo Horizonte do Norte,北新奥里藏特
Tangará da Serra,坦加拉-达塞拉
Glória de Dourados,格洛里亞迪多拉杜斯
Vassouras,瓦索拉斯
Barão de Melgaço,巴朗-迪梅尔加苏
Lagoa do Carro,拉戈阿-杜卡鲁
Itapetim,伊塔佩廷
Ribeirãozinho,里贝朗齐纽
Santa Maria da Boa Vista,圣玛丽亚-达博阿维斯塔
Ingazeira,因加泽拉
Santa Cruz da Baixa Verde,圣克鲁斯-达拜沙韦尔迪
Conceição (Paraíba),康塞桑
Itaquitinga,伊塔基廷加
Amparo (Paraíba),安帕罗
Zé Doca,澤多卡
Nova Ubiratã,新乌比拉唐
Selvíria,塞爾維里亞
Araputanga,阿拉普坦加
Guaratinguetá Futebol Ltda.,瓜拉廷格塔足球俱乐部
Pirapetinga,皮拉佩廷加
Queluzito,克卢济塔
Nova Resende,新雷森迪
Oliveira Fortes,奥利韦拉-福蒂斯
Monte Belo,蒙蒂贝卢
Mathias Lobato,马蒂亚斯洛巴图
Munhoz,穆尼奥斯
Mendes Pimentel,门迪斯-皮门特尔
Piedade do Rio Grande,格兰德河畔彼达迪
Morro do Pilar,莫鲁杜皮拉尔
Passa Tempo,帕萨滕普
Ninheira,尼涅拉
São Benedito do Rio Preto,普雷图河畔圣贝内迪图
Santa Rita do Pardo,聖麗塔杜帕爾杜
Araguainha,阿拉瓜伊尼亚
Nova Xavantina,新沙万蒂纳
Tabaporã,塔巴波朗
Juara,茹阿拉
Cassilândia,卡西蘭迪亞
Planalto da Serra,普拉纳尔图-达塞拉
São José do Belmonte,圣若泽-杜贝尔蒙蒂
Passira,帕西拉
Moreilândia,莫雷兰迪亚
Pilõezinhos,皮隆伊齐纽斯
Igaracy,伊加拉西
Serra Grande,大塞拉
Chã Grande,大尚镇
Lagoa Seca (Paraíba),拉戈阿-塞卡
São Benedito do Sul,南圣本图
Presidente Médici (Maranhão),梅迪西总统镇
Mirador (Maranhão),米拉多尔·(马拉尼昂州)
Itanhangá,伊塔年加
São Miguel (Rio Grande do Norte),圣米格尔·(北大河州)
Produção de café no Brasil,巴西咖啡產業
Microrregião do Agreste Potiguar,鄉村波蒂瓜爾·(小區)
Tacaratu,塔卡拉图
Sertânia,塞塔尼亚
Maraial,马拉亚尔
Catende,卡滕德
Quipapá,基帕帕
Puxinanã,普希纳南
Jaqueira (Pernambuco),雅凯拉
Fagundes,法贡德斯
Rio Formoso,里奥福莫苏
Itapuranga,伊塔普兰加
Alto Alegre (São Paulo),上阿萊格雷·(聖保羅州)
Venda Nova do Imigrante,新文達移民鎮
Alto Alegre (Rio Grande do Sul),上阿莱格雷·(南里奥格兰德州)
Jerônimo Monteiro,赫羅尼莫蒙泰羅
Mantenópolis,曼特諾波利斯
São José do Calçado,聖若澤杜卡爾薩杜
Sooretama,索奧雷塔馬
Nova Iguaçu de Goiás,戈亚斯州新伊瓜苏
Mara Rosa,马拉罗萨
Flores de Goiás,戈亚斯州弗洛里斯
Santa Terezinha de Goiás,戈亚斯州圣特雷济尼亚
Japira,雅皮拉
Itaíba,伊塔伊巴
Mirandiba,米兰迪巴
Sousa (Paraíba),索萨
Frei Miguelinho,弗雷米格利纽
Bezerros,贝泽罗斯
Paranatama,巴拉那塔马
Iati,亚蒂·(巴西)
Imbaú,因巴烏
São Vicente Férrer (Pernambuco),圣维森特-费里尔·(伯南布哥州)
Triunfo (Paraíba),特里溫福·(帕拉伊巴州)
Bom Jardim (Pernambuco),邦雅尔丁·(伯南布哥州)
Taquaritinga do Norte,北塔夸里廷加
Sítio Novo (Maranhão),新锡蒂乌
Microrregião da Serra de Santana,塞拉-達聖安娜
Cidadania (partido político),公民权·(政党)
Campeonato Brasileiro de Futebol de 2007 - Série A,2007年巴西足球甲級聯賽
Alexandria (Rio Grande do Norte),亚历山大·(巴西)
Cachoeirinha (Pernambuco),卡舒埃里尼亞·(伯南布哥州)
Morro Cabeça no Tempo,莫鲁卡贝萨努滕布
Joca Claudino,若卡克劳迪努
Lagoa Santa (Goiás),圣湖镇
Rio Branco (Mato Grosso),里奥布朗库
Tavares (Paraíba),塔瓦雷斯·(帕拉伊巴州)
São João da Serra (Piauí),圣若昂-达塞拉
Ilha Brasileira,巴西島
Milagres (Ceará),米拉格雷斯·(塞阿臘州)
Monte Alegre de Minas,蒙蒂阿莱格里-迪米纳斯
Manhumirim,马纽米林
Luisburgo,路易斯堡·(巴西)
Maripá de Minas,马里帕迪米纳斯
Partido Comunista Brasileiro,巴西的共产党·(1992年)
Minduri,明杜里
Mato Verde,马图韦尔迪
Moema,莫埃马
Matipó,马蒂波
Frei Inocêncio,弗雷伊诺森西乌
Ewbank da Câmara,埃夫班克-达卡马拉
Estrela Dalva,埃斯特雷拉达尔瓦
Entre Rios de Minas,恩特里里乌斯-迪米纳斯
Ijaci,伊雅西
Bonópolis,博诺波利斯
Santa Tereza de Goiás,戈亚斯州圣特雷扎
Nova América,新亚美利加
Lagamar,拉加马尔
Juatuba,茹阿图巴
Guaranésia,瓜拉内西亚
Guaraíta,瓜拉伊塔
Damianópolis,达米亚诺波利斯
Porangatu,波兰加图
Canápolis (Bahia),卡纳波利斯
Campinorte,坎皮诺特
Iaciara,亚西亚拉
Trombas,特龙巴斯
Mutunópolis,穆图诺波利斯
Simolândia,锡莫兰迪亚
Morro Agudo de Goiás,戈亚斯州莫鲁阿古杜
Nova Glória,新格洛里亚
Marzagão (Goiás),马扎冈
Gurupá,古魯帕
Melgaço (Pará),梅爾加蘇·(帕拉州)
Oriximiná,奧里希米納
Curralinho,庫拉利紐
Entre Rios (Bahia),恩特雷里乌斯
Nossa Senhora de Lourdes (Sergipe),洛爾德斯聖母城·(塞爾希培州)
Ivinhema,伊維涅馬
Itapaci,伊塔帕西
Porto de Moz,莫茲港
União (Piauí),乌尼昂
Neópolis,新城·(塞爾希培州)
Primavera (Pernambuco),普里马韦拉·(伯南布哥州)
Guimarães (Maranhão),吉马朗伊斯·(巴西)
Terra Nova (Pernambuco),特拉諾瓦·(伯南布哥州)
Parnamirim (Pernambuco),帕纳米林·(伯南布哥州)
Pontes e Lacerda,蓬蒂斯和拉塞达
Guiratinga,吉拉廷加
Matinhas,马蒂尼亚斯
Tapurah,塔普拉
Itabirinha,伊塔比里尼亚
Estrela do Sul (Minas Gerais),南埃斯特雷拉
Frei Lagonegro,弗雷拉戈内格罗
Francisco Dumont,弗朗西斯科-杜蒙特
Indaiabira,因达亚比拉
Douradoquara,多拉多夸拉
Lagoa Dourada,拉戈阿多拉达
Dores de Guanhães,多里斯-迪瓜尼扬伊斯
Careiro da Várzea,卡雷魯達瓦爾澤阿
Canutama,卡努塔馬
Camocim,卡莫辛
Estiva (Minas Gerais),埃斯蒂瓦
Jaguaraçu,雅瓜拉苏
Fortaleza de Minas,福塔莱萨-迪米纳斯
Buenos Aires (Pernambuco),布埃諾斯艾雷斯·(伯南布哥州)
Granito (Pernambuco),格拉尼图
Barreiros (Pernambuco),巴雷鲁斯
São João (Paraná),圣若昂
Nossa Senhora dos Remédios (Piauí),雷梅迪乌斯圣母城
Rio Claro Futebol Clube,里奧卡拉羅足球會
Lago Paranoá,帕拉諾阿湖
Ibiracatu,伊比拉卡图
Itumirim,伊图米林
Entre Folhas,恩特里福利亚斯
Jurema (Pernambuco),茹雷马
Rochedo,羅謝杜
Presidente Juscelino (Maranhão),儒塞利諾總統鎮·(馬拉尼昂州)
Propriá,普羅普里亞
Itaporanga d'Ajuda,伊塔波蘭加達茹達
São Félix do Xingu,欣古河畔聖費利斯
Canindé de São Francisco,聖弗朗西斯科的卡寧
Fruta de Leite,弗鲁塔-迪莱蒂
Igaratinga,伊加拉廷加
Itamogi,伊塔莫日
Fortuna de Minas,福图纳-迪米纳斯
Engenheiro Caldas,卡尔达斯工程师镇
Guidoval,吉多瓦尔
Itaguara,伊塔瓜拉
Dom Joaquim,唐若阿金
Sulina,苏利纳
São Bento (Maranhão),圣本图
Guadalupe (Piauí),瓜达卢佩·(巴西)
Inhuma,伊纽马
Japurá (Paraná),雅普拉
Pinhalzinho (Santa Catarina),皮尼亞爾濟紐·(聖卡塔琳娜州)
Novo São Joaquim,新圣若阿金
Saltinho (Santa Catarina),薩爾蒂尼奧·(聖卡塔琳娜州)
Serrolândia,塞罗兰迪亚
Monte Castelo (Santa Catarina),蒙特卡斯特盧·(聖卡塔琳娜州)
Aurora (Santa Catarina),奧羅拉·(聖卡塔琳娜州)
Batalha (Piauí),巴塔利亞·(皮奧伊州)
Quilombo (Santa Catarina),基隆布
Rodeio (Santa Catarina),罗德尤
Itaobim,伊陶宾
Eugenópolis,欧热诺波利斯
Guiricema,吉里塞马
Felício dos Santos,费利西乌-杜斯桑托斯
Lagoa Grande (Pernambuco),大拉戈阿
Santa Cecília (Paraíba),圣塞西利亚·(巴西)
Salgueiro (Pernambuco),萨尔盖鲁
Escada (Pernambuco),埃斯卡达
Parari,帕拉里
Frutal,弗鲁塔尔
Divino de São Lourenço,迪維諾迪聖洛倫索
Nova Fátima (Bahia),新法蒂瑪·(巴伊亞州)
Sítio d'Abadia,锡蒂乌-达巴迪亚
Ipaumirim,伊帕乌米林
Nova Santa Rita (Piauí),新聖麗塔·(皮奧伊州)
Jatobá (Maranhão),雅托巴
Apiacás (Mato Grosso),阿皮亚卡斯
Nova Olímpia (Mato Grosso),新奧林匹亞·(馬托格羅索州)
Monção (Maranhão),蒙桑·(巴西)
Presidente Dutra (Bahia),杜特拉总统镇
Trairi,特赖里
Milagres (Bahia),米拉格里斯
Bom Jesus do Norte,北邦熱蘇斯
Loreto (Maranhão),洛雷图
Santa Helena (Maranhão),圣埃伦娜·(马拉尼昂州)
Itabaiana (Paraíba),伊塔巴亚纳
Cantanhede (Maranhão),坎塔涅迪·(马拉尼昂州)
Juruaia,茹鲁阿亚
Lamim,拉明·(巴西)
Guarda-Mor,瓜达莫尔
Juramento (Minas Gerais),茹拉门图
Itapagipe,伊塔帕日皮
Divisa Alegre,迪维萨阿莱格里
Fervedouro,费尔韦多鲁
Jampruca,然普鲁卡
Espera Feliz,埃斯佩拉费利斯
Iapu,亚普
Ingaí,因加伊
Iraí de Minas,伊拉伊-迪米纳斯
Itacarambi,伊塔卡兰比
Dom Viçoso,唐维索苏
Ibiaí,伊比亚伊
Ilicínea,伊利西内阿
Ibiraci,伊比拉西
Grupiara,格鲁皮亚拉
Fernandes Tourinho,费尔南德斯-托里纽
Dores de Campos,多里斯-迪坎普斯
Vila Valério,維拉瓦萊里奧
Marataízes,馬拉塔伊濟斯
Russas,鲁萨斯
Bacabal,巴卡巴尔
Barra do Corda,巴拉-杜科尔达
Brejo da Madre de Deus,布雷茹-达马德里迪德乌斯
Rio Bananal,里奧巴納納爾
Itapemirim,伊塔佩米林·(聖埃斯皮里圖州)
Marechal Floriano,弗洛里亚努元帅镇
Ponto Belo,蓬托貝洛
Igaci,伊加西
Campo Formoso,坎普福莫苏
Japaratinga,雅帕拉廷加
Monte Santo do Tocantins,托坎廷斯州蒙蒂桑图
Itarana,伊塔拉納
Angico (Tocantins),安吉科
Sucupira (Tocantins),苏库皮拉
Bernardo Sayão,贝尔纳多赛昂
Cardoso Moreira,卡尔多苏莫雷拉
Vale do Anari,瓦萊杜阿納里
Piritiba,皮里蒂巴
São Miguel do Guaporé,聖米格爾杜瓜波雷
Bandeirantes do Tocantins,托坎廷斯州班代兰特斯
Bom Jesus (Rio Grande do Norte),邦熱蘇斯·(北里約格朗德州)
Tangará (Rio Grande do Norte),坦加拉
Barcelona (Rio Grande do Norte),巴賽隆納·(北里約格朗德州)
São José do Jacuípe,圣若泽-杜雅库伊皮
Planalto (Bahia),普拉纳尔图·(巴伊亚州)
Várzea do Poço,瓦尔泽亚-杜波苏
Ibitirama,伊比蒂拉馬
Princesa Isabel (Paraíba),伊莎貝爾女王鎮
Cedral (Maranhão),塞德拉爾·(馬拉尼昂州)
Sigefredo Pacheco (Piauí),锡热弗雷杜-帕谢库
São Vicente Férrer (Maranhão),圣维森特-费里尔·(馬拉尼昂州)
Novo Mundo (Mato Grosso),新蒙杜·(馬托格羅索州)
Campinas do Sul,南坎皮纳斯
Pintadas,平塔达斯
Itiúba,伊蒂乌巴
Várzea Nova,新瓦尔泽亚
Pinacoteca do Estado de São Paulo,圣保罗州立艺廊
Aroeiras do Itaim,阿罗埃拉斯杜伊泰姆
Bocaina (Piauí),博凯纳
Ilha de Itaparica,伊塔帕里卡島
Mesorregião Central Potiguar,中波蒂瓜爾中區
Microrregião do Litoral Nordeste,東北海岸·(北里約格朗德州)
Microrregião do Seridó Oriental,東塞里多
Mesorregião do Agreste Potiguar,鄉村波蒂瓜爾中區
Microrregião da Borborema Potiguar,博爾博雷馬波蒂瓜爾
São José da Laje,圣若泽-达拉日
Santana do Mundaú,桑塔纳-杜蒙达乌
Bonito (Bahia),博尼图
São Luís do Quitunde,圣路易斯-杜基通迪
Barrocas,巴罗卡斯
Itaporanga (São Paulo),伊塔波蘭加·(聖保羅州)
Jaborandi (São Paulo),雅博蘭迪·(聖保羅州)
São José da Tapera,圣若泽-达塔佩拉
Platina (São Paulo),普拉蒂纳
Montes Altos,上蒙蒂斯
Mirassol d'Oeste,西米拉索尔
Major Izidoro,伊西多鲁少校镇
Salto do Céu,萨尔图杜塞乌
Bandeirantes (Mato Grosso do Sul),班代蘭蒂斯·(南馬托格羅索州)
Santa Cruz do Xingu,圣克鲁斯-杜辛古
São Francisco do Brejão,圣弗朗西斯科-杜布雷让
Tutóia,图托亚
Senado Federal do Brasil,联邦参议院·(巴西)
Nossa Senhora do Livramento (Mato Grosso),利夫拉门图圣母城
Santana do Maranhão,马拉尼昂州圣安娜
São Miguel das Missões,圣米格尔-达斯米松伊斯
Porto (Piauí),波爾圖·(皮奧伊州)
Centenário (Tocantins),森特納里烏·(托坎廷斯州)
Guimarânia,吉马拉尼亚
Ipaba,伊帕巴
Ipiaçu,伊皮亚苏
Janaúba,雅纳乌巴
Joanésia,若阿内夏
Imbé de Minas,因贝迪米纳斯
Guapé,瓜佩
Dores do Turvo,多里斯-杜图尔武
Faria Lemos,法里亚-莱莫斯
Guaxupé,瓜舒佩
Inhapim,伊尼亚平
Ibiraçu,伊比拉蘇
Jesuânia,热苏阿尼亚
Piraí do Norte,北皮拉伊
Guaçuí,瓜蘇伊
Davinópolis (Maranhão),達維諾波利斯·(馬拉尼昂州)
Campo Maior (Piauí),坎普马约尔
Passagem (Paraíba),帕萨任
Caracol (Piauí),卡拉科尔·(皮奥伊州)
Poção de Pedras,波桑-迪佩德拉斯
Esporte Clube XV de Novembro (Piracicaba),派拉斯卡巴XV
Revolução de 1930,1930年巴西革命
São José do Divino (Piauí),圣若泽-杜迪维努·(皮奥伊州)
Flores (Pernambuco),弗洛里斯·(巴西)
São João do Paraíso (Maranhão),圣若昂-杜帕拉伊苏·(马拉尼昂州)
Lago Verde,拉古韦尔迪
Ruy Barbosa (Bahia),鲁伊·巴尔博扎
Prado (Bahia),普拉杜
Morro do Chapéu,沙佩乌山
Morada Nova,新莫拉达
Divinolândia de Minas,迪维诺兰迪亚-迪米纳斯
Açucena (Minas Gerais),阿苏塞纳
Bonito de Minas,博尼图-迪米纳斯
Matupá,马图帕
Nova Santa Helena,新圣埃伦娜
Rondolândia,龙多兰迪亚
Icó,伊科
Jauru,饶鲁·(巴西)
Terra Nova do Norte,北新特拉
Alcinópolis,阿爾西諾波利斯
Itaúba (Mato Grosso),伊塔乌巴
Logradouro (Paraíba),洛格拉多鲁
Desterro de Entre Rios,德斯特鲁-迪恩特雷里约斯
Caranaíba,卡拉纳伊巴
Capitão Andrade,安德拉德上尉镇
Cedro do Abaeté,塞德鲁-杜阿巴埃特
Metrô do Recife,勒西腓地鐵
Olho d'Água do Casado,奥柳达瓜-杜卡萨杜
Careaçu,卡雷阿苏
São Miguel Arcanjo (São Paulo),圣米格尔-阿尔坎茹
Lucas do Rio Verde,韦尔德河畔卢卡斯
Itapecuru-Mirim,伊塔佩库鲁米林
Bom Jesus do Araguaia,邦热苏斯杜阿拉瓜亚
Ribamar Fiquene,里巴马尔-菲克尼
Cotriguaçu,科特里瓜苏
Figueirópolis d'Oeste,西菲盖罗波利斯
Lagoa do Mato,拉戈阿-杜马图
Presidente Sarney (Maranhão),萨尔内总统镇
Gurinhatã,古里尼亚唐
Lagoa Formosa,拉戈阿福莫萨
José Raydan,若泽赖丹
Copa Mercosul de 1999,1999年南方共同市場盃
Copa Mercosul de 2000,2000年南方共同市場盃
Aroeiras,阿罗埃拉斯
Capim (Paraíba),卡平
Cacimba de Areia,卡辛巴迪阿雷亚
Manaquiri,馬納基里
Brejo do Cruz,布雷若杜克鲁兹
Irupi,伊魯皮
