Россия,ロシア
Чемпионат России по футболу 2000,ロシア・トップディヴィジョン・2000
Партия народной свободы,人民自由党
Солидарность (движение),連帯・(ロシア)
Свияжск,スヴィヤシュスク
Газпромбанк,ガスプロムバンク
Курильский район,クリル管区
Премия имени И. Я. Померанчука,ポメランチュク賞
Нижегородский кремль,ニジニ・ノヴゴロドクレムリン
Банк ВТБ,VTB
Космические войска,ロシア宇宙軍
Авиакон Цитотранс,アヴィアコン・ツィタトランス
Калининградская железная дорога,カリーニングラード鉄道支社
Людиновский тепловозостроительный завод,リュディノフスキー機関車工場
Кумандинцы,クマンドゥ人
Ючюгей,ユチュゲイ
Юрюнг-Хая,ユリュング＝ハヤ
Южно-Русское нефтегазовое месторождение,ユジノルスコエガス田
ТВЭЛ (компания),TVEL
Катастрофа A310 в Иркутске,S7航空778便着陸失敗事故
Ка-226,Ka-226・(航空機)
Камень-Рыболов,カメニ＝ルイボロフ
Камасинцы,カマシン人
Красноярский метротрамвай,クラスノヤルスク地下鉄
Челябинский метротрамвай,チェリャビンスク地下鉄
Кремлёвские звёзды,クレムリンの赤い星
Волгоградский скоростной трамвай,ヴォルゴグラード・メトロトラム
Урми (река),ウルミ川
Экспоцентр,モスクワ・エキスポセンター
Карагаши,カラガシ人
Южно-Уральская железная дорога,南ウラル鉄道支社
Российский государственный архив социально-политической истории,ロシア国立社会政治史文書館
Восточный хребет,東山脈・(カムチャツカ半島)
Уральский государственный технический университет,ウラル工科大学
Мир (глубоководные аппараты),ミール・(深海探査艇)
AllOfMP3,AllofMP3.com
"Улья (река, впадает в Охотское море)",ウリヤ川
Военная академия Генерального штаба Вооружённых сил Российской Федерации,ロシア連邦軍参謀本部軍事アカデミー
Кёрлинг на зимних Олимпийских играх 2014,2014年ソチオリンピックのカーリング競技
Уралочка-НТМК,ウラロチカ・エカテリンブルク
Остров Галля,ガリヤ島
Сырники,シルニキ
Слюдянский район,スリュジャンスク地区
Забайкальская железная дорога,ザバイカリエ鉄道支社
Красноярская железная дорога,クラスノヤルスク鉄道支社
Сборная России по теннису в Кубке Дэвиса,デビスカップロシア代表
Мокшане,モクシャ人
Верховские княжества,オカ川上流公国群
Пермский трамвай,ペルミ市電
Третьяковская (станция метро),トレチャコフスカヤ駅
Екатеринбургский трамвай,エカテリンブルク市電
Нижегородский трамвай,ニジニ・ノヴゴロド市電
Ростов-Главный,ロストフ・グラーヴヌィ駅
Ярославич,ヤロスラヴィチ・ヤロスラヴリ
Министерство промышленности и торговли Российской Федерации,ロシア産業貿易省
Югра-Самотлор,ユグラ・サモトロル・ニジネヴァルトフスク
Тропарёво (станция метро),トロパリョヴォ駅
Кавалерово,カヴァレーロヴォ
Фрунзенско-Приморская линия,サンクトペテルブルク地下鉄5号線
"ЦСКА (волейбольный клуб, Москва)",CSKAモスクワ・(男子バレーボール)
Белоярская АЭС,ベロヤルスク原子力発電所
Билибинская АЭС,ビリビノ原子力発電所
Калининская АЭС,カリーニン原子力発電所
Балаковская АЭС,バラコヴォ原子力発電所
Балтийская АЭС,バルティスカヤ原子力発電所
Северная железная дорога,北部鉄道支社・(ロシア鉄道)
Moscow Raceway,モスクワ・レースウェイ
Московское математическое общество,モスクワ数学会
Cup of Russia 2008,2008年ロシア杯
Глава Ингушетии,イングーシの首長
Русская армия Врангеля,ロシア軍・(白軍)
Федеральная служба по гидрометеорологии и мониторингу окружающей среды,ロシア水文気象環境監視局
Отдельная дивизия оперативного назначения,独立作戦任務師団・(ロシア国内軍)
Правительство Юга России,南部ロシア政府
Пор-Бажын,ポル＝バジン
Ростовская АЭС,ロストフ原子力発電所
Нововоронежская АЭС,ノヴォヴォロネジ原子力発電所
Обнинская АЭС,オブニンスク原子力発電所
Курская АЭС,クルスク原子力発電所
Смоленская АЭС,スモレンスク原子力発電所
Мус-Хая,ムスハヤ山
Азиатская часть России,アジアロシア
Оротукан (посёлок городского типа),オロトゥカーン
Cup of Russia 2007,2007年ロシア杯
Чемпионат России по футболу 2002,ロシア・プレミアリーグ・2002
Шурышкарский район,シュリシュカリ地区
Остров Аполлонова,アポロノフ島
Столичка (остров),ストリチキ島
Свод основных государственных законов Российской империи,ロシア帝国国家基本法
Остров Пайера,パイエル島
Железнодорожный мост через Енисей (Красноярск),クラスノヤルスク橋
Партия возрождения России,ロシア再生党
Министерство финансов Российской Федерации,ロシア財務省
Отечество — Вся Россия,祖国・全ロシア
Министерство транспорта Российской Федерации,ロシア運輸省
Прибайкалье,沿バイカル
Катастрофа Ту-204 во Внукове,レッドウィングス航空9268便着陸失敗事故
ИрАэро,イル・アエロ
Геральд (остров),ヘラルド島
Чемпионат мира по спортивной гимнастике 1958,1958年世界体操競技選手権
Приуральский район,プリウラル地区
Золотая медаль имени И. В. Курчатова,クルチャトフ賞
Кошевой (платформа),千輪駅
Русгидро,ルスギドロ
Волжская ГЭС,ヴォルガ水力発電所
Молния (часы),モルニヤ
Родина-мать (Волгоград),母なる祖国像
Чульман (посёлок городского типа),チュリマン
Дом Советов (Калининград),ソビエトの家
РАТАН-600,RATAN-600
Остров Хейса,ヘイス島
Острова Гейберга,ゲイベルグ諸島
Волга (автодорога),ロシア連邦道路M7
Кубок России по волейболу среди женщин,ロシア・カップ・(バレーボール)
Министерство регионального развития Российской Федерации,ロシア地域開発省
Сахалинский регион Дальневосточной железной дороги,サハリンの鉄道
Б-585 «Санкт-Петербург»,サンクトペテルブルク・(潜水艦)
Союз ТМ-26,ソユーズTM-26
Azur Air,アズール・エア
Баджальский хребет,バジャーリ山脈
ОДК-Сатурн,サトゥールン科学製造合同
Министерство природных ресурсов и экологии Российской Федерации,ロシア天然資源・環境省
Олюторский залив,オリュトルスキー湾
Нижний Бестях,ニジニ・ベスチャフ
Выборы народных депутатов РСФСР (1990),1990年ロシア連邦人民代議員大会選挙
ОКБ Мясищева,V・M・ミャスィーシチェフ記念試作機械製造工場
Ушканьи острова,ウシュカニ諸島
Ольгинский район,オリガ地区
Уралвагонзавод,ウラルヴァゴンザヴォート
Ярославль-Главный,ヤロスラヴリ・グラーヴヌィ駅
Трамвай села Молочное,モロクノエ市電
Бежица,ベジツァ
Патриотическая песня,愛国歌・(ロシア連邦)
Пашковский (аэропорт),クラスノダール国際空港
Синара (мини-футбольный клуб),MFKシナラ
Чемпионат мира по плаванию на короткой воде 2002,2002年世界短水路選手権
Татнефть Арена,タトネフト・アリーナ
Жигулёвская ГЭС,ジグリ水力発電所
Иркутская ГЭС,イルクーツク水力発電所
ВДНХ (станция метро),ヴェデンハ駅
Аллах-Юнь (посёлок городского типа),アラフ＝ユニ
Царское Село (музей-заповедник),ツァールスコエ・セロー
Тувинцы-тоджинцы,トジュ・トゥバ人
Баня,バーニャ
Краснодарский трамвай,クラスノダール市電
Омский метрополитен,オムスク地下鉄
Полёт (часы),ポレオット
Союз комитетов солдатских матерей России,ロシア兵士の母の委員会連合
Иркутский трамвай,イルクーツク市電
Рамблер,Rambler
Посьет,ポシェト
Авиастар-ТУ,アヴィアスタル-TU
Кизи (озеро),キジ湖
"Партизанская (станция метро, Москва)",パルチザンスカヤ駅・(モスクワ地下鉄)
Шёлковый путь (ралли),シルクウェイ・ラリー
"Портовик (футбольный клуб, Холмск)",FCポルトヴィク・エネルギア・ホルムスク
Жуковский (аэропорт),ジュコーフスキー空港
Кинопоиск,キノポイスク
52-я параллель северной широты,北緯52度線
Залив Чихачёва,チハチョーフ湾
Шайба (ледовая арена),シャイバ・アリーナ
Катастрофа Ту-134 под Петрозаводском,ルスエアー9605便墜落事故
Терней,テルネイ
Администрация президента России,ロシア大統領府
Острова Литке,リトケ諸島
Невское (озеро),多来加湖
Симонов монастырь,シモノフ修道院
Московская железная дорога,モスクワ鉄道支社
Федеральная служба Российской Федерации по контролю за оборотом наркотиков,ロシア連邦麻薬流通監督庁
Рязанское гвардейское высшее воздушно-десантное командное училище,リャザン空挺軍大学
Челябинский трамвай,チェリャビンスク市電
Ногинский трамвай,ノギンスク市電
Курский трамвай,クルスク市電
Трамвай Ростова-на-Дону,ロストフ・ナ・ドヌ市電
Южный федеральный университет,南部連邦大学
Театр на Таганке,タガンカ劇場
Пролив Малыгина,マリーギナ海峡
Ляля-Тюльпан,リャイリャ・チューリップ・モスク
Великая Россия (партия),偉大なるロシア
Горный Институт (вулкан),ゴールヌィー・インスチトゥート山
Группа НЛМК,ノボリペツク製鉄所
Большая российская энциклопедия,ロシア大百科事典
Таганрогский трамвай,タガンログ市電
Центральная кольцевая автомобильная дорога,モスクワ中央環状道路
Барнаульский трамвай,バルナウル市電
Шкотово,シコトヴォ
Список национальных парков России,ロシアの国立公園
Саратовский трамвай,サラトフ市電
Новосибирский трамвай,ノヴォシビルスク市電
Фреден (остров),フレーデン島
Остров Аделаиды,アデレード島・(ロシア連邦)
Прокопьевский трамвай,プロコピエフスク市電
Конфликт вокруг Тузлы,トゥーズラの紛争
Манежная площадь (Москва),マネージュ広場・(モスクワ)
Малханский хребет,マルハン山脈
Хурба (аэропорт),コムソモリスク・ナ・アムーレ空港
Битва под Суздалем,スーズダリの戦い
Троицкий собор (Псков),至聖三者大聖堂・(プスコフ)
Левый фронт (Россия),レフィー・フロント・(ロシア)
Катастрофа Ту-154 в Сургуте,コガリムアビア348便火災事故
Белая Земля,ベーラヤゼムリャ諸島
Коммунарка (расстрельный полигон),コムナルカ射撃場
Новый Порт,ノヴィ・ポルト
Переяславка,ペレヤースラフカ
Ангара (авиакомпания),アンガラ航空
Новое (станция),新問駅
Колымский край,コルィマ鉱山
Богатырь (хребет),単冠山
Ленинградская (гостиница),ホテル・レニングラード
Лубянская площадь,ルビャンカ広場
Владимирский собор (Санкт-Петербург),ウラジーミルの生神女大聖堂・(サンクトペテルブルク)
Горномарийский язык,山地マリ語
Южно-Уральский государственный университет,南ウラル大学
Игромир,IgroMir
Маяк (радиостанция),ラジオマヤーク
Могила Неизвестного Солдата,無名戦士の墓・(モスクワ)
Елизово (аэропорт),エリゾヴォ空港
Грузинские евреи,グルジーム
Айсберг (ледовый дворец спорта),アイスバーグ・スケート・パレス
Большой (ледовый дворец),ボリショイ・アイス・ドーム
Острова Фаддея,ファッデヤ諸島
Катастрофа A320 под Сочи,アルマヴィア967便墜落事故
Мост через Кольский залив,コラ湾橋
Коммерсантъ,コメルサント
Сунгирь,スンギル
Тырма (река),ティルマ川
"Пушкинская (станция метро, Санкт-Петербург)",プーシキン駅
Погиби,ポギビ
Чемпионат России по волейболу среди мужчин,ロシア・バレーボール・スーパーリーグ
Сенная площадь (станция метро),センナヤ広場駅
Спасская (станция метро),スパスカヤ駅
Косоворотка,ルバシカ
"Динамо (футбольный клуб, Киров)",FCディナモ・キーロフ
АФК «Система»,システマ・(企業)
Флаг Санкт-Петербурга,サンクトペテルブルクの市旗
Тикси (аэропорт),ティクシ空港
Львиная Пасть,萌消湾
Кубок Премьер-лиги,ロシア・プレミアリーグカップ
Центральный военный округ (Россия),中央軍管区
Южный военный округ (Россия),南部軍管区
Лахтинско-Правобережная линия,サンクトペテルブルク地下鉄4号線
Конструкторское бюро приборостроения,KBP器械製造設計局
Эльдикан,エリディカン
Центральное духовное управление мусульман России,中央ムスリム宗務局
Остров Вильчека,ビリチェク島
Анюй (приток Амура),アニュイ川
Орловский трамвай,オリョール市電
Чернышевская (станция метро),チェルヌィシェフスキー駅
Деп,デプ川
Татарстан (авиакомпания),タタールスタン航空
Росэнергоатом,ロスエネルゴアトム
Чемпионат России по футболу 2004,ロシア・プレミアリーグ・2004
Олимп имени Виктора Понедельника,オリンプ-2
Виви (озеро),ヴィヴィ湖
Рощино (аэропорт),ロスキーノ国際空港
Южно-Курильский район,南クリル管区
Адмиралтейские верфи,アドミラルティ造船所
Волга-Авиаэкспресс,エア・ボルガ
История Российской Федерации,ロシア史・(1991年-現在)
Стародуб на Клязьме,スタロドゥーブ・ナ・クリャージメ
Мир (издательство),ミール出版所
Гыда,ギダ
Бахметьевский гараж,バフメーチェフスキー・バス・ガレージ
Российско-украинские отношения,ウクライナとロシアの関係
Воронеж (аэропорт),ヴォロネジ国際空港
"Савченко, Евгений Степанович",エフゲニー・サフチェンコ
Алеутско-медновский язык,メードヌイ・アレウト語
Малая Курильская гряда,小千島列島
Свердловская железная дорога,スヴェルドロフスク鉄道支社
Оренбург (футбольный клуб),FKオレンブルク
Солнечный (Хабаровский край),ソルネチヌイ・(ハバロフスク地方)
Покорителям космоса,宇宙征服者のオベリスク
"Киевская (станция метро, Филёвская линия)",キエフスカヤ駅・(フィリョーフスカヤ線)
Флаг Чукотского автономного округа,チュクチ自治管区の旗
Волгарь (футбольный клуб),FKヴォルガリ・アストラハン
Права ЛГБТ в России,ロシアにおけるLGBTの権利
Новотроицкий трамвай,ノヴォトロイツク市電
Евпаторийский трамвай,イェウパトーリヤ市電
Ярославский трамвай,ヤロスラヴリ市電
Пик Черского,チェルスキー峰
Смоленский трамвай,スモレンスク市電
Витимское плоскогорье,ヴィチム高原
Всесоюзная коммунистическая партия большевиков,全連邦共産党ボリシェヴィキ
Открытый чемпионат Санкт-Петербурга по теннису 2010,2010年サンクトペテルブルク・オープン
Яно-Оймяконское нагорье,ヤナ＝オイミャコン高地
Медвежий (вулкан),茂世路岳
150-й меридиан восточной долготы,東経150度線
Сириус Арена,アドレル・アリーナ
Ачинский трамвай,アチンスク市電
"Покровка (Октябрьский район, Приморский край)",ポクロフカ・(オクチャブリスキー地区)
Чокурдах,チョクルダフ
Ведено,ヴェジェノ
Садовая (станция метро),サドーヴァヤ駅
Академия внешней разведки,対外情報アカデミー
Бийский трамвай,ビイスク市電
Авторадио,アフトラジオ
Здание Центросоюза,ツェントロソユーズ
Кумо-Манычский канал,クマ＝マヌィチ運河
Нера (приток Индигирки),ネラ川
Уйташ (аэропорт),マハチカラ・ウイタシュ国際空港
Грановитая палата,グラノヴィータヤ宮殿
"Звенигородская (станция метро, Санкт-Петербург)",ズヴェニゴロド駅
Астрахань (аэропорт),アストラハン・ナリマノヴォ国際空港
Аварское ханство,アヴァール・ハン国
Циолковский (город),ツィオルコフスキー・(アムール州)
"Московская (станция метро, Санкт-Петербург)",モスコフスカヤ駅・(サンクトペテルブルク地下鉄)
Троицкое (Хабаровский край),トロイツコエ・(ハバロフスク地方)
160-й меридиан восточной долготы,東経160度線
110-й меридиан восточной долготы,東経110度線
170-й меридиан восточной долготы,東経170度線
106-я гвардейская воздушно-десантная дивизия,第106親衛空挺師団・(ロシア空挺軍)
Флаг Москвы,モスクワの市旗
Ил-112В,Il-112・(航空機)
Сибирские татары,シベリア・タタール人
Северо-Курильский район,北クリル管区
Ак Барс Аэро,アク・バルス・アエロ
Транссибирская автомагистраль,シベリア横断道路
Лютеранская церковь Святых Петра и Павла (Санкт-Петербург),ルーテル聖ペテロ教会
Сборная России по бейсболу,野球ロシア代表
Сборная России по футболу (до 21 года),U-21サッカーロシア代表
90-й меридиан восточной долготы,東経90度線
Вымпел (конструкторское бюро),ヴィーンペル科学製造連合
Бой при Хонканиеми,ホンカニエミの戦い
Екатерина II (броненосец),エカチェリーナ2世・(戦艦・初代)
Обводный канал (станция метро),オブヴォド運河駅
Тазы (народ),ターズ
140-й меридиан восточной долготы,東経140度線
Транснефть,トランスネフチ
Демон (вулкан),神威岳・(択捉島)
Rostelecom Cup 2011,2011年ロステレコム杯
Армяне в России,ロシアのアルメニア人
Полота (река),パラター川
Чемпионат России по футболу 2001,ロシア・トップディヴィジョン・2001
Китай-город (станция метро),キタイ・ゴロド駅
Мыс Желания,ジェラニエ岬
Шхеры Минина,シュヘリ・ミニナ群島
Дом культуры имени Русакова,ルサコフ労働者クラブ
Министерство культуры Российской Федерации,ロシア文化省
Грозный хребет,小田萌山
Вулкан Смирнова,岩山・(国後島)
Научно-исследовательский институт железнодорожного транспорта (Россия),全ロシア鉄道研究所
Белая Гора (Якутия),ベラヤ・ゴラ
Як Сервис,ヤク・サービス
Абый,アビー・(サハ共和国)
Полярные авиалинии,ポーラーエアラインズ
Шуваловский парк,シュヴァロフスキー公園
Центральный научно-исследовательский институт точного машиностроения,TsNIITochMash
Религия в России,ロシアの宗教
Всероссийский институт растениеводства имени Н. И. Вавилова,植物栽培研究所
Рубин (конструкторское бюро),ルビーン海洋工学中央設計局
Михайловский театр,ミハイロフスキー劇場
Смоленск-Южный (аэропорт),スモレンスク空港
"Рижская (станция метро, Калужско-Рижская линия)",リーシュスカヤ駅・(モスクワ地下鉄)
"Октябрьская (станция метро, Калужско-Рижская линия)",オクチャーブリスカヤ駅・(カルーシュスコ＝リーシュスカヤ線)
Зай (река),ザイ川
Билярское городище,ビリャル・(ヴォルガ・ブルガール)
Азиатский маршрут AH4,アジアハイウェイ4号線
Институт стран Азии и Африки,アジア・アフリカ諸国大学
Уфа (футбольный клуб),FCウファ
Московский трамвай,モスクワ市電
Владивостокский трамвай,ウラジオストク市電
Чемпионат мира по борьбе 2002,2002年レスリング世界選手権
WebMoney,ウェブマネートランスファー
Глава Республики Дагестан,ダゲスタンの首長
Мыс Елизаветы,エリザベス岬
МСК%2B5,イルクーツク時間
Первое правительство Медведева,第1次ドミートリー・メドヴェージェフ内閣
Всероссийская перепись населения (2002),2002年全ロシア国勢調査
"Кана (река, впадает в Канозеро)",カナ川・(ロシア)
6-я армия ВВС и ПВО,第6航空・防空軍・(ロシア航空宇宙軍)
"Арбатская (станция метро, Арбатско-Покровская линия)",アルバーツカヤ駅・(アルバーツコ＝ポクローフスカヤ線)
Маньпупунёр,マンププニョル
Магнитогорск (аэропорт),マグニトゴルスク国際空港
Вымпел (спецподразделение),ヴィンペル部隊
Омонимичные домены,ドメインハック
Маныч-Гудило,マヌィチ・グジロ湖
Карачаево-Черкесская автономная область,カラチャイ・チェルケス自治州
Азиатский маршрут AH8,アジアハイウェイ8号線
Соглашение ВОУ-НОУ,メガトンをメガワットに計画
"Арсенал (футбольный клуб, Тула)",FCアルセナル・トゥーラ
Россотрудничество,独立国家共同体・在外同胞・国際人道協力局
Де-Кастри,デ＝カストリ
Санкт-Петербургский государственный экономический университет,サンクトペテルブルク国立経済大学
Дальневосточноевропейское время,極東ヨーロッパ時間
Агепста,アゲプスタ山
Федеральная служба контрразведки Российской Федерации,ロシア連邦防諜庁
Усть-Мая,ウスチ＝マヤ
Газпром авиа,ガスプロムアヴィア
Яр-Сале,ヤル＝サレ
Саскылах,サスキラフ
Черкесогаи,チェルケソガイ人
ВЭБ Арена,アレナCSKA
Съезд народных депутатов России,ロシア連邦人民代議員大会
Тысячелетие России,ロシア建国一千年祭記念碑像
Адмиралтейская,アドミラルチェイスカヤ駅
Остров Беккера,ベッケル島
Остров Гофмана,ホフマン島・(ゼムリャフランツァヨシファ)
Острова российской Арктики,ロシアの北極圏の島の一覧
Таврический сад,タヴリーチェスキー庭園
Большой Екатерининский дворец,エカテリーナ宮殿
Маршал Российской Федерации,ロシア連邦元帥
Пролив Лонга,ロング海峡
Крымский мост (Москва),クルイムスキイ橋
Народный союз (Россия),人民同盟・(ロシア)
51-я параллель северной широты,北緯51度線
Болгарское городище,ブルガール・(都市)
"Динамо (женский волейбольный клуб, Краснодар)",ディナモ・クラスノダール女子バレーボールチーム
Базилика Святой Екатерины Александрийской,カトリック聖カタリナ教会
Хандыга (посёлок городского типа),ハンドゥイガ
Старооскольский скоростной трамвай,スタールイ・オスコル市電
Северо-Кавказский военный округ,北カフカーズ軍管区
Стрижи (пилотажная группа),ストリージ
Баргузинский заповедник,バルグジン自然保護区
Находка (залив),ナホトカ湾
Даурия,ダウリヤ
Сарыч (мыс),サールィチ岬
Войска воздушно-космической обороны,ロシア航空宇宙防衛軍
Гостиница Коринтия,ネフスキー・パレス
Петербургский международный экономический форум,サンクトペテルブルク国際経済フォーラム
Ozon,Ozon
Чёрные Братья,知理保以島
Русские витязи,ルースキエ・ヴィーチャズィ
Санкт-Петербургский горный университет,サンクトペテルブルク国立鉱山大学
Томтор (Оймяконский улус),トムトル
Лаврентьевская летопись,ラヴレンチー年代記
Оха (аэропорт),オハ空港
"Чебаркуль (озеро, Челябинская область)",チェバルクリ湖
Орден Суворова (Россия),スヴォーロフ勲章・(ロシア)
Список музеев Москвы,Category:モスクワの博物館
Ленинградский военный округ,レニングラード軍管区
Rostelecom Cup 2009,2009年ロステレコム杯
Сила Сибири,シベリアの力
Русскоязычные,ロシア語圏
Ленинский проспект (Москва),レーニンスキー大通り・(モスクワ)
Верховный суд Российской Федерации,ロシア連邦最高裁判所
Национальный антитеррористический комитет (Россия),ロシア国家対テロ委員会
Новая Голландия,ノーヴァヤ・ゴランディヤ
Торопа,トロパ川
Министерство здравоохранения Российской Федерации,ロシア保健・社会開発省
МЧС России,ロシア民間防衛問題・非常事態・自然災害復旧省
Стрелка Васильевского острова,旧証券取引所とロストラ柱
Тес-Хем,テス川
175-й меридиан западной долготы,西経175度線
Большая Курильская гряда,大千島列島
Социал-демократическая партия России (2001),ロシア社会民主党
Катастрофа Ту-154 под Иркутском (2001),ウラジオストク航空352便墜落事故
Кряшены,クリャシェン人
Министерство образования и науки Российской Федерации,ロシア教育・科学省
Федеральная служба государственной статистики,ロシア連邦国家統計庁
Европейский маршрут E125,E125号線
100-й меридиан восточной долготы,東経100度線
Усвяты,ウスヴャートィ
Приволжско-Уральский военный округ,沿ヴォルガ・ウラル軍管区
Московский военный округ,モスクワ軍管区
Административно-территориальное деление Брянской области,ブリャンスク州の行政区画
Административно-территориальное деление Курганской области,クルガン州の行政区画
Уверь,ウヴェリ川
Генеральный штаб Вооружённых сил Российской Федерации,ロシア連邦軍参謀本部
Самолёт президента России,ロシア連邦政府専用機
Информационные спутниковые системы,レシェトニェフ
Нижегородская ярмарка,ニジニ・ノヴゴロドの定期市
Первая леди Российской Федерации,ロシアのファーストレディ
Герб Бурятии,ブリヤート共和国の国章
Тымь,トゥイミ川
Находка (Ямало-Ненецкий автономный округ),ナホトカ・(ヤマロ・ネネツ自治管区)
Административно-территориальное деление Белгородской области,ベルゴロド州の行政区画
Осиновецкий маяк,オシノヴェツキー灯台
Большое Вавайское,和愛湖
"Проточное (озеро, Сахалин)",雄武洞湖
Тауро,塔路湖
Большое Чибисанское,池辺讃湖
Анекдот,アネクドート
Административно-территориальное деление Хабаровского края,ハバロフスク地方の行政区画
Административно-территориальное деление Владимирской области,ヴラジーミル州の行政区画
Административно-территориальное деление Тюменской области,チュメニ州の行政区画
Коми-Пермяцкий округ,コミ・ペルミャク管区
Сокольники (парк),ソコーリニキ公園
Серные Источники (платформа),明牛駅
Даурский хребет,ダウルスキー山脈
Плавниковые острова,プラヴニコヴィエ諸島
Юрий (остров),勇留島
Площадь Восстания (Санкт-Петербург),蜂起広場
145-й меридиан восточной долготы,東経145度線
Премия Рунета,ルネト賞
Уфимский трамвай,ウファ市電
Камень Опасности,二丈岩
Ульяновск-Восточный (аэропорт),ウリヤノフスク・ヴォストーチヌイ空港
Курган (аэропорт),クルガン空港
Самарский трамвай,サマーラ市電
Красноселькупский район,クラスノセリクプ地区
Северное машиностроительное предприятие,セヴマシュ
Е (вагон метро),地下鉄Е形電車
Байкало-Ленский заповедник,バイカロ・レンスキー自然保護区
Библиотека Алвара Аалто,ヴィボルグ市立図書館
Всероссийская государственная телевизионная и радиовещательная компания,全ロシア国営テレビ・ラジオ放送会社
Шелонская битва,シェロン河畔の戦い
Лиговский проспект (станция метро),リゴフ大通り駅
Липецкий трамвай,リペツク市電
Чемпионат мира по дзюдо в абсолютной категории 2011,2011年世界柔道選手権大会・(無差別)
Байкал (Иркутская область),バイカル・(港)
Ирано-российские отношения,イランとロシアの関係
Железная дорога Рийхимяки — Санкт-Петербург,リーヒマキ・サンクトペテルブルク鉄道
Сибирский военный округ,シベリア軍管区
Сибирский федеральный университет,シベリア連邦大学
Осетино-ингушский конфликт,オセチア・イングーシ紛争
"Аэропорт (станция метро, Москва)",アエロポルト駅・(モスクワ地下鉄)
Российско-китайская граница,中露国境
Новоясеневская,ノヴォヤセネフスカヤ駅
Теремной дворец,テレムノイ宮殿
Тургеневская,トゥルゲーネフスカヤ駅
Алжиро-российские отношения,アルジェリアとロシアの関係
Государственный институт русского языка имени А. С. Пушкина,プーシキン記念ロシア語大学
Ниман (река),ニマン川
Сухаревская (станция метро),スハレフスカヤ駅
Бельбек (аэропорт),セヴァストポリ国際空港
Хайыр (озеро),ハイール湖
Клуб завода «Каучук»,カウチュク工場付属クラブ
Челканцы,チェルカン人
Московская биржа,モスクワ証券取引所
Астория,ホテル・アストリア
Суавъярви,スアヴィヤルヴィ・クレーター
Пуштуны,パシュトゥーン人
Латгальцы,ラトガリア人
Гостиный двор,ゴスチーヌイ・ドヴォール
Томский трамвай,トムスク市電
Западная Лица (пункт базирования),ザーパドナヤ・リッツァ海軍基地
Богоявленский монастырь (Москва),神現修道院・(モスクワ)
Прорыв линии Маннергейма,スンマの戦い
Лыжные гонки на зимних Олимпийских играх 2014,2014年ソチオリンピックのクロスカントリースキー競技
Академия Федеральной службы безопасности России,ロシア連邦保安庁アカデミー
Беркакит,ベルカキト
Дворец Юсуповых на Мойке,モイカ宮殿
Международный конкурс артистов балета и хореографов (Москва),モスクワ国際バレエコンクール
Колласйоки,コッラ川
141-й специальный моторизованный полк имени А. А. Кадырова,カディロフツィ
Сахалин (футбольный клуб),FCサハリン・ユジノサハリンスク
Сить,シチ川・(ヴォルガ川水系)
Золотинка (Якутия),ゾロチンカ
Иловля (река),イローヴリャ川
Российская экологическая партия «Зелёные»,緑の党・(ロシア)
Кунья (приток Ловати),クーニヤ川・(ロヴァチ川支流)
Сенатская площадь,元老院広場・(サンクトペテルブルク)
Албазино,アルバジン
Волгоградский трамвай,ヴォルゴグラード市電
Кондратьево (Ленинградская область),コンドラチェヴォ
Дальневосточный военный округ,極東軍管区
Рязанский трамвай,リャザン市電
Молодая гвардия (роман),若き親衛隊・(小説)
Ивановский трамвай,イヴァノヴォ市電
Кировский (Приморский край),キーロフスキー・(沿海地方)
Чемпионат мира по гандболу среди женщин 2005,2005年世界女子ハンドボール選手権
Астраханские татары,アストラハン・タタール人
Советский пролив,珸瑤瑁水道
Анжи Арена,アンジ・アレーナ
Дацан,ダツァン
Елагин дворец,エラーギン宮殿
Тульский трамвай,トゥーラ市電
Административно-территориальное деление Чукотского автономного округа,チュクチ自治管区の行政区画
Крильон (мыс),西能登呂岬
Чечень,チェチェン島
Ульяновский трамвай,ウリヤノフスク市電
Орский трамвай,オルスク市電
Дзержинский трамвай,ジェルジンスク市電
Омский трамвай,オムスク市電
Вожа,ヴォジャ川・(リャザン州)
Cup of Russia 2010,2010年ロステレコム杯
Чай в России,ロシアの茶文化
Радоница,ラドニツァ
Фазотрон-НИИР,ファゾトロン-NIIR
Научно-исследовательский институт приборостроения,V・V・チホミーロフ記念機器製作科学研究所
Западный военный округ (Россия),西部軍管区・(ロシア)
НИКИЭТ имени Н. А. Доллежаля,ドレジャーリ動力工学開発研究所
Площадь Победы (Санкт-Петербург),勝利広場・(サンクトペテルブルク)
Морская авиация Российской Федерации,ロシア海軍航空隊
Санкт-Петербургский буддийский храм,グンゼチョイネイ・ダツァン
Казанский трамвай,カザン市電
Кемеровский трамвай,ケメロヴォ市電
Трамвай Комсомольска-на-Амуре,コムソモリスク・ナ・アムーレ市電
Магнитогорский трамвай,マグニトゴルスク市電
Набережночелнинский трамвай,ナーベレジヌイェ・チェルヌイ市電
Нижнетагильский трамвай,ニジニ・タギル市電
Нижнекамский трамвай,ニジネカムスク市電
Салаватский трамвай,サラヴァト市電
Пятигорский трамвай,ピャチゴルスク市電
Новочеркасский трамвай,ノヴォチェルカッスク市電
Черёмушкинский трамвай,チェリョームシキ市電
Новокузнецкий трамвай,ノヴォクズネツク市電
Конструкторское бюро машиностроения (Коломна),KBマシノストロイェニヤ
