室伏広治,무로후시 고지
藤原芳秀,후지와라 요시히데
剛田武,만퉁퉁
中野正剛,나카노 세이고
野水伊織,노미즈 이오리
柳葉敏郎,야나기바 토시로
筒井はじめ,츠츠이 하지메
朝倉義景,아사쿠라 요시카게
鈴木まりや,스즈키 마리야
高山みなみ,타카야마 미나미
安田章大,야스다 쇼타
根谷美智子,네야 미치코
皆川純子,미나가와 준코
南央美,미나미 오미
伊藤美紀・(声優),이토 미키 (성우)
岸尾だいすけ,키시오 다이스케
野中藍,노나카 아이
浅川悠,아사카와 유
岩井俊二,이와이 슌지
後藤邑子,고토 유코
にわみきほ,니와 미키호
藤原秀郷,후지와라노 히데사토
森山未來,모리야마 미라이
田村芽実,타무라 메이미
Ju-ken,Ju-ken
高柳明音,타카야나기 아카네
竹内朱莉,타케우치 아카리
行基,교기 (승려)
武井咲,타케이 에미
永作博美,나가사쿠 히로미
松坂桃李,마츠자카 토리
逢沢りな,아이자와 리나
石橋貴明,이시바시 다카아키
原田美枝子,하라다 미에코
谷本貴義,타니모토 타카요시
新垣結衣,아라가키 유이
山﨑努,야마자키 츠토무 (배우)
島田敏,시마다 빈
赤﨑勇,아카사키 이사무
入江昭,아키라 이리에
小林ゆう,코바야시 유우 (성우)
石黒彩,이시구로 아야
富沢美智恵,토미자와 미치에
山口由里子,야마구치 유리코
徳川斉昭,도쿠가와 나리아키
中島みゆき,나카지마 미유키
渡辺明乃,와타나베 아케노
高橋美佳子,타카하시 미카코
橘慶太,타치바나 케이타
井上真央,이노우에 마오
皆口裕子,미나구치 유코
川田まみ,카와다 마미
空知英秋,소라치 히데아키
横山智佐,요코야마 치사
篠原恵美,시노하라 에미
藤井みほな,후지이 미호나
タイナカ彩智,다이나카 사치
伊丹十三,이타미 주조
深見梨加,후카미 리카
藤木直人,후지키 나오히토
花井蘭子,하나이 란코
本並健治,혼나미 겐지
円谷英二,쓰부라야 에이지
古前田充,고마에다 미쓰루
小見幸隆,오미 유키타카
北村龍平,기타무라 류헤이
見崎充洋,미사키 미쓰히로
大本忠輝,오모토 다다테루
富野由悠季,토미노 요시유키
玉藻前,다마모노마에
石井漠,이시이 바쿠
たてかべ和也,타테카베 카즈야
崇源院,스겐인
柚木涼香,유즈키 료카
行德浩二,교토쿠 고지
北村栄基,키타무라 에이키
野間清治,노마 세이지
三浦泰年,미우라 야스토시
塩屋翼,시오야 요쿠
小山茉美,코야마 마미
板垣伴信,이타가키 도모노부
成岡翔,나루오카 쇼
鈴木康仁,스즈키 야스히토
岡本杏理,오카모토 안리
児玉清,코다마 키요시
堤幸彦,츠츠미 유키히코
藤村修,후지무라 오사무
高島礼子,타카시마 레이코
森田芳光,모리타 요시미쓰
吾妻ひでお,아즈마 히데오
松本莉緒,마츠모토 리오
ユースケ・サンタマリア,유스케 산타마리아
伊藤淳史,이토 아쓰시 (배우)
白鳥由里,시라토리 유리
岡崎律子,오카자키 리츠코
新田義貞,닛타 요시사다
宗義智,소 요시토시
手越祐也,테고시 유야
倍賞美津子,바이쇼 미츠코
木村良平,키무라 료헤이
本木雅弘,모토키 마사히로
鈴木京香,스즈키 쿄카
原田知世,하라다 토모요
浅田次郎,아사다 지로
大杉漣,오오스기 렌
岸本加世子,키시모토 카요코
紺野あさ美,콘노 아사미
増田貴久,마스다 타카히사
黒田博樹,구로다 히로키
岡井千聖,오카이 지사토
梅田彩佳,우메다 아야카
福留孝介,후쿠도메 고스케
斎藤工,사이토 타쿠미
梅津和時,우메즈 카즈토키
寂蓮,자쿠렌
相原信行,아이하라 노부유키
長田重一,나가타 시게카즈
寺尾悟,데라오 사토루
彌永昌吉,이야나가 쇼키치
古川毅・(サッカー選手),후루카와 쓰요시
森岡亮太,모리오카 료타
鶴田道弘,쓰루타 미치히로
本田将也,혼다 마사야
星原健太,호시하라 겐타
小川慶治朗,오가와 게이지로
松井謙弥,마쓰이 겐야
尾亦弘友希,오마타 히로유키
上里一将,우에사토 가즈마사
吉田喜重,요시다 요시시게
安藤駿介,안도 슌스케
武田治郎,다케다 지로
平松大志,히라마쓰 다이시
菊地光将,기쿠치 고스케
春日虎綱,가스가 도라쓰나
小倉唯,오구라 유이
保科正光,호시나 마사미쓰
米山篤志,요네야마 아쓰시
竹内実生,다케우치 미오
井上麻里奈,이노우에 마리나
神谷浩史,카미야 히로시
福圓美里,후쿠엔 미사토
宇喜多秀家,우키타 히데이에
河西智美,카사이 토모미
岩佐真悠子,이와사 마유코
一川保夫,이치카와 야스오
生瀬勝久,나마세 카츠히사
水川あさみ,미즈카와 아사미
林董,하야시 다다스
古歩道ベンジャミン,벤자민 풀포드
源義仲,미나모토노 요시나카
山下洋輔,야마시타 요스케
諏訪部順一,스와베 준이치
水谷隼,미즈타니 준
太田雄貴,오타 유키
石川梨華,이시카와 리카
ゆかな,유카나
中島早貴,나카지마 사키 (가수)
秋川雅史,아키카와 마사후미
坂井泉水,사카이 이즈미
千葉紗子,치바 사에코
戸塚洋二,도쓰카 요지
古屋圭司,후루야 게이지
池辺晋一郎,이케베 신이치로
冨田晋矢,도미타 신야
松川友明,마쓰카와 도모아키
古邊考功,후루베 요시노리
牧野真二,마키노 신지
石神直哉,이시가미 나오야
川口卓哉,가와구치 다쿠야
青嶋文明,아오시마 후미아키
茂原岳人,시게하라 다케히토
高橋隆篤,다카하시 다카아쓰
高市早苗,다카이치 사나에
鈴木みのる,스즈키 미노루
佐藤昌吉,사토 쇼키치
ラマーズP,라마즈P
佐藤俊二,사토 슌지
石井義信,이시이 요시노부
後藤久美子,고토 쿠미코
清野智秋,세이노 도모아키
岡本麻弥,오카모토 마야
北島義生,기타지마 요시오
大塚翔平,오쓰카 쇼헤이
藤井貴,후지이 다카시
中井貴一,나카이 키이치
秦基博,하타 모토히로
八代みなせ,야시로 미나세
千住明,센주 아키라
菅原文太,스가와라 분타
石井輝男,이시이 데루오
木村多江,키무라 타에
鎌苅健太,카마카리 켄타
五十嵐隼士,이가라시 슌지
岩崎貴文,이와사키 타카후미
出雲阿国,이즈모노 오쿠니
堤真一,츠츠미 신이치
伊瀬茉莉也,이세 마리야
埜下荘司,노노시타 쇼지
武田洋平,다케다 요헤이
堂森勝利,도모리 가쓰토시
井伊直政,이이 나오마사
九条良経,구조 요시쓰네
谷川浩司,타니가와 코지
横谷繁,요코타니 시게루
扇原貴宏,오기하라 다카히로
阿部文一朗,아베 본이치로
興津大三,오키쓰 다이조
栗原克志,구리하라 가쓰시
田渕龍二,다부치 류지
横山雄次,요코야마 유지
宇賀神友弥,우가진 도모야
茨田陽生,바라다 아키미
橋本和,하시모토 와타루
喜多川2tom,키타가와 츠토무
柴村直弥,시바무라 나오야
与那城ジョージ,요나시로 조지
高橋英辰,다카하시 히데도키
乙羽信子,오토와 노부코
田亀源五郎,타가메 겐고로
細谷佳正,호소야 요시마사
藤嶋昭,후지시마 아키라
綾波レイ,아야나미 레이
小野賢章,오노 켄쇼
村井かずさ,무라이 카즈사
小野篁,오노노 다카무라
市瀬秀和,이치노세 히데카즈
豊永利行,토요나가 토시유키
坂本昌行,사카모토 마사유키
國分優香里,코쿠분 유카리
郷本直也,고모토 나오야
清水翔太,시미즈 쇼타
石井康嗣,이시이 코지
豊川悦司,토요카와 에츠시
細川頼之,호소카와 요리유키
湯屋敦子,유야 아츠코
高取ヒデアキ,타카토리 히데아키
村田蓮爾,무라타 렌지
内藤泰弘,나이토 야스히로
石破茂,이시바 시게루
頭山満,도야마 미쓰루
神坂一,칸자카 하지메
曽禰好忠,소네노 요시타다
山内積良,야마우치 세키료
義堂周信,기도 슈신
須藤元気,스도 겐키
黒河貴矢,구로카와 다카야
北野貴之,기타노 다카시
松原仁,마쓰바라 진
貝原益軒,가이바라 에키켄
かわぐちかいじ,카와구치 카이지
仮名垣魯文,가나가키 로분
岩元洋成,이와모토 히로나리
古賀一成・(サッカー選手),고가 가즈나리
杉本健勇,스기모토 겐유
藤崎義孝,후지사키 요시타카
岩瀬健,이와세 겐
佐野友昭,사노 도모아키
小泉歓晃,고이즈미 요시아키
横内昭展,요코우치 아키노부
西村弘司,니시무라 고지
松井清隆,마쓰이 기요타카
反町康治,소리마치 야스하루
日比野則彦,히비노 노리히코
本村碧唯,모토무라 아오이
真田信之,사나다 노부유키
林芳正,하야시 요시마사
水野英子,미즈노 히데코
宇田鋼之介,우다 고노스케
柳生三厳,야규 미쓰요시
カズ・ハヤシ,가즈 하야시
小村壽太郎,고무라 주타로
今井翼,이마이 츠바사
豊田英二,도요다 에이지
森山直太朗,모리야마 나오타로
福山雅治,후쿠야마 마사하루
氷川きよし,히카와 키요시
中島沙樹,나카지마 사키 (성우)
清滝信宏,기요타키 노부히로
長山洋子,나가야마 요코
鶴田義行,쓰루타 요시유키
源為朝,미나모토노 다메토모
海老沼匡,에비누마 마사시
鈴木杏,스즈키 안
伴都美子,반 토미코
小池徹平,코이케 텟페이
木村カエラ,키무라 카에라
田中美南,다나카 미나
竜星涼,류세이 료
桂宮宜仁親王,가쓰라노미야 요시히토 친왕
飯富虎昌,오부 도라마사
前川和也,마에카와 가즈야
茂木弘人,모기 히로토
山田勝彦,야마다 가쓰히코
原正文,하라 마사후미
西脇彩華,니시와키 사야카
佐武宇綺,사타케 우키
福田達夫,후쿠다 다쓰오
難波大助,난바 다이스케
今村博治,이마무라 히로지
柊瑠美,히이라기 루미
桐生一馬,키류 카즈마
やなせたかし,야나세 다카시
矢口真里,야구치 마리
吉澤ひとみ,요시자와 히토미
門脇舞以,카도와키 마이
矢島舞美,야지마 마이미
楳図かずお,우메즈 카즈오
玉木宏,타마키 히로시
松たか子,마츠 타카코
朝比奈隆,아사히나 다카시
永山則夫,나가야마 노리오
竹内結子,다케우치 유코
間島淳司,마지마 준지
七瀬葵,나나세 아오이
生天目仁美,나바타메 히토미
天海,덴카이
平田広明,히라타 히로아키
三ツ矢雄二,미츠야 유지
長瀬智也,나가세 토모야
妻夫木聡,츠마부키 사토시
小橋建太,고바시 겐타
本郷奏多,혼고 카나타
近藤隆,곤도 다카시 (성우)
賀茂真淵,가모노 마부치
内博貴,우치 히로키
三浦春馬,미우라 하루마
YUKI・(歌手),YUKI (가수)
森和俊,모리 가즈토시
加藤久,가토 히사시
大仁邦彌,다이니 구니야
今西和男,이마니시 가즈오
藤村俊二,후지무라 슌지
淡島千景,아와시마 치카게
片岡鶴太郎,카타오카 츠루타로
岡本久敬,오카모토 히사타카
水島大宙,미즈시마 타카히로
日野聡,히노 사토시
毛利輝元,모리 데루모토
藤本美貴,후지모토 미키
瀬戸内寂聴,세토우치 자쿠초
立木文彦,타치키 후미히코
白石稔,시라이시 미노루
谷山紀章,타니야마 키쇼
安倍なつみ,아베 나츠미
岩田光央,이와타 미츠오
こおろぎさとみ,코오로기 사토미
浅井長政,아자이 나가마사
鈴木千尋・(声優),스즈키 치히로
松田優作,마츠다 유사쿠
松本孝弘,마츠모토 타카히로
新井里美,아라이 사토미
岡本信彦,오카모토 노부히코
木越安綱,기고시 야스쓰나
鳴瀬喜博,나루세 요시히로
山根巌,야마네 이와오
若林竹雄,와카바야시 다케오
船越優蔵,후나코시 유조
菅又哲男,스가마타 데쓰오
平川弘,히라카와 히로시
田中宏和,타나카 히로카즈
大河原邦男,오오카와라 쿠니오
神山健治,카미야마 켄지
篠原信一,시노하라 신이치
名取篤,나토리 아쓰시
柱谷幸一,하시라타니 고이치
菊原志郎,기쿠하라 시로
田中真二,다나카 신지
森山泰行,모리야마 야스유키
浅野幸長,아사노 요시나가 (아즈치모모야마 시대)
真田アサミ,사나다 아사미
南部利直,난부 도시나오
小早川隆景,고바야카와 다카카게
碇シンジ,이카리 신지
松永久秀,마쓰나가 히사히데
宮本充,미야모토 미츠루
丸山眞男,마루야마 마사오 (정치학자)
渡辺三男,와타나베 미쓰오
山口悟,야마구치 사토시 (1959년)
伊原剛志,이하라 츠요시
竹本正男,다케모토 마사오
悠木碧,유우키 아오이
近藤淳,곤도 준
高橋幸宏,다카하시 유키히로
志村知幸,시무라 토모유키
曽田雄志,소다 유시
重松良典,시게마쓰 요시노리
小宮有紗,코미야 아리사
高橋栄,다카하시 사카에
瀬田龍彦,세타 다쓰히코
横谷政樹,요코타니 마사키
水沼貴史,미즈누마 다카시
仲間由紀恵,나카마 유키에
木村佳乃,기무라 요시노
中森明菜,나카모리 아키나
相田翔子,아이다 쇼코
松田翔太,마츠다 쇼타
篠原涼子,시노하라 료코
辻仁成,쓰지 히토나리
窪塚洋介,쿠보즈카 요스케
高木礼子,타카기 레이코
岡田唯,오카다 유이
鈴木愛理・(歌手),스즈키 아이리
竹内まりや,타케우치 마리야
新谷良子,신타니 료코
清雲栄純,기요쿠모 에이준
大野毅,오노 다케시
佐藤長栄,사토 조에이
内山勝・(サッカー選手),우치야마 마사루
八木秀次,야기 히데쓰구
北条氏綱,호조 우지쓰나
古賀稔彦,고가 도시히코
直江兼続,나오에 가네쓰구
麻生久美子,아소 쿠미코
真田昌幸,사나다 마사유키
島津斉彬,시마즈 나리아키라
高岡蒼佑,타카오카 소스케
柴田あゆみ,시바타 아유미
あおきさやか,아오키 사야카 (성우)
遠藤雄弥,엔도 유야
池内友次郎,이케노우치 도모지로
香椎由宇,카시이 유우
畑健二郎,하타 켄지로
和田彩花,와다 아야카
江川央生,에가와 히사오
石塚運昇,이시즈카 운쇼
武田信繁,다케다 노부시게 (1525년)
井上康生,이노우에 고세이
なかにし礼,나카니시 레이
山本圭子,야마모토 케이코
森まさこ,모리 마사코 (정치인)
市村正親,이치무라 마사치카
玉乃淳,다마노 준
山口芳忠,야마구치 요시타다
内藤昌豊,나이토 마사토요
有村光史,아리무라 고지
横山知伸,요코야마 도모노부
栗原圭介,구리하라 게이스케
土岐田洸平,도키타 고헤이
木暮郁哉,고구레 후미야
石井秀典,이시이 히데노리
中村太亮・(サッカー選手),나카무라 다이스케 (축구 선수)
三門雄大,미카도 유타
廣瀬智靖,히로세 도모야스
滝澤邦彦,다키자와 구니히코
椋原健太,무쿠하라 겐타
大竹洋平,오타케 요헤이
越後和男,에치고 가즈오
佐藤弘明,사토 히로아키
松木安太郎,마쓰키 야스타로
高林隆,다카바야시 다카시
三好絵梨香,미요시 에리카
高台院,고다이인
上地雄輔,카미지 유스케
浪川大輔,나미카와 다이스케
千姫,센히메
細川忠興,호소카와 다다오키
佐藤直紀,사토 나오키
金丸淳一,카네마루 준이치
森久保祥太郎,모리쿠보 쇼타로
湯元進一,유모토 신이치
遊佐浩二,유사 코지
城島健司,조지마 겐지
中尾隆聖,나카오 류세이
桐畑和繁,기리하타 가즈시게
青山隼,아오야마 준
森島康仁,모리시마 야스히토
林彰洋,하야시 아키히로
北条時頼,호조 도키요리
藤原忠通,후지와라노 다다미치
土井美加,도이 미카
藤原紀香,후지와라 노리카
市川雅彦,이치카와 마사히코
井上雄幾,이노우에 유키 (축구인)
渡部大輔・(サッカー選手),와타베 다이스케
柳楽智和,나기라 도모카즈
市橋時蔵,이치하시 도키조
中村忠・(サッカー選手),나카무라 다다시
桑原勝義,구와하라 가쓰요시
松永碩,마쓰나가 세키
末岡圀孝,스에오카 구니타카
金成汗,김성간
国枝強,구니에다 쓰요시
吉水法生,요시미즈 노리오
成海璃子,나루미 리코
前田愛・(声優),마에다 아이 (성우)
有澤孝紀,아리사와 다카노리
宇垣一成,우가키 가즈시게
宇垣纏,우가키 마토메
堀江美都子,호리에 미츠코
速水奨,하야미 쇼
山名宗全,야마나 소젠
大木民夫,오오키 타미오
白土三平,시라토 산페이
上田竜也,우에다 타츠야
柳川雅樹,야나가와 마사키
小沢昭一,오자와 쇼이치
岡野雅行・(サッカー選手),오카노 마사유키
泉政伸,이즈미 마사노부
西紀寛,니시 노리히로
種田孝一,오이타 고이치
佐々木康治,사사키 고지
鴇田正憲,도키타 마사노리
近江友介,오미 유스케
加藤正明・(サッカー選手),가토 마사아키
金田喜稔,가네다 노부토시
高田一美,다카다 가즈미
渡辺由一,와타나베 요시이치
一木清直,이치키 기요나오
德永英明,토쿠나가 히데아키
岩隈久志,이와쿠마 히사시
たかはし智秋,타카하시 치아키
山下治広,야마시타 하루히로
野中郁次郎,노나카 이쿠지로
伊藤英明,이토 히데아키
小笠原長生,오가사와라 나가나리
三宅観瀾,미야케 간란
阿部力,아베 츠요시
佐藤亜美菜,사토 아미나
安倍晴明,아베노 세이메이
山本寛・(アニメ演出家),야마모토 유타카
木内秀信,키우치 히데노부
板垣信方,이타가키 노부카타
Tony,토니 (1971년)
佐藤聡美,사토 사토미
宮田幸季,미야타 코우키
城田優,시로타 유
日下部金兵衛,구사카베 김베이
高原郁夫,다카하라 이쿠오
坂下博之,사카시타 히로유키
山南敬助,야마나미 게이스케
舎人親王,도네리 친왕
八神庵,야가미 이오리
Ken,Ken
柏尾誠一郎,가시오 세이이치로
田口光久,다구치 미쓰히사
田村直也・(サッカー選手),다무라 나오야
福原黎三,후쿠하라 레이조
土橋正樹,쓰치하시 마사키
玄田哲章,겐다 텟쇼
紀里谷和明,키리야 카즈아키
首藤剛志,슈도 다케시
源満仲,미나모토노 미쓰나카
さいとうちほ,사이토 치호
高崎晃,다카사키 아키라
上田文人,우에다 후미토
北九州監禁殺人事件,마쓰나가 후토시
前田憂佳,마에다 유카
下川凹天,시모카와 오텐
倉持明日香,쿠라모치 아스카
前田利益,마에다 도시마스
武藤信義,무토 노부요시
小野恵令奈,오노 에레나
工藤壮人,구도 마사토
多部未華子,타베 미카코
棚田伸,다나다 신
山田孝之,야마다 타카유키
橋本欣五郎,하시모토 긴고로
藤春廣輝,후지하루 히로키
登里享平,노보리자토 교헤이
笹川陽平,사사카와 요헤이
南雄太,미나미 유타
藏川洋平,구라카와 요헤이
関浩二,세키 고지
柱谷哲二,하시라타니 데쓰지
Kaya・(歌手),Kaya (가수)
永井良和,나가이 요시카즈
大榎克己,오에노키 가쓰미
千葉和彦,지바 가즈히코
田畑輝樹,다바타 데루키
安元洋貴,야스모토 히로키
藤原師実,후지와라노 모로자네
藤口光紀,후지구치 미쓰노리
堀江忠男,호리에 다다오
佐藤すみれ,사토 스미레
森成利,모리 나리토시
高木琢也,다카기 다쿠야
神永昭夫,가미나가 아키오
石井茂巳,이시이 시게미
伊藤翔,이토 쇼
平野孝,히라노 다카시
有馬暎夫,아리마 하루오
上久雄,가미 히사오
川淵三郎,가와부치 사부로
植木繁晴,우에키 시게하루
風間八宏,가자마 야히로
塩谷伸介,시오타니 신스케
梶野智,가지노 사토시
内田利広,우치다 도시히로
小原章吾,고바라 쇼고
古川昌明,후루카와 마사아키
生田斗真,이쿠타 토마
Salyu,Salyu
堂本光一,도모토 코이치
小川誠一,오가와 세이이치
里田まい,사토다 마이
阿部敏之,아베 도시유키
二村昭雄,니무라 데루오
小沢通宏,오자와 미치히로
二宮寛,니노미야 히로시
松丸貞一,마쓰마루 데이이치
加藤信幸,가토 노부유키
春山泰雄,하루야마 야스오
吉田弘・(サッカー選手),요시다 히로시
椎橋寛,시이바시 히로시
浅岡朝泰,아사오카 도모야스
落合弘,오치아이 히로시
宮崎歩,미야자키 아유미
風魔小太郎,후마 고타로
斉藤由貴,사이토 유키 (1966년)
長谷川アーリアジャスール,하세가와 아리아 자스루
野比のび太,노진구
草薙京,쿠사나기 쿄
橋本麗香,하시모토 레이카
幾原邦彦,이쿠하라 쿠니히코
平岡拓晃,히라오카 히로아키 (유도 선수)
碓井博行,우스이 히로유키
西宮伸一,니시미야 신이치
野村正二郎,스기무라 쇼지로
真殿益蔵,마도노 마스조
右近徳太郎,우콘 도쿠타로
深山静夫,미야마 시즈오
木村和司,기무라 가즈시
高橋武夫,다카하시 다케오
林健太郎・(サッカー選手),하야시 겐타로 (축구 선수)
平沢周策,히라사와 슈사쿠
藤本主税,후지모토 지카라
彩菜,아야나 (가수)
岩瀬仁紀,이와세 히토키
佳子内親王,아키시노노미야 가코 내친왕
布施明,후세 아키라
来島通総,구루시마 미치후사
安国寺恵瓊,안코쿠지 에케이
谷原章介,타니하라 쇼스케
蒼樹うめ,아오키 우메
遠藤綾,엔도 아야
尾崎行雄,오자키 유키오
早見沙織,하야미 사오리
杉山紀彰,스기야마 노리아키
小早川秀秋,고바야카와 히데아키
梶裕貴,카지 유우키
青地清二,아오치 세이지
細川浩三,호소카와 고조
立原元夫,다쓰하라 모토오
朝倉徳明,아사쿠라 노리아키
竹原欣也,다케하라 긴야
今藤幸治,곤도 고지 (축구 선수)
國府田マリ子,코우다 마리코
池田司信,이케다 시노부
藤島信雄,후지시마 노부오
加茂正五,가모 쇼고
竹内悌三,다케우치 데이조
後藤靱雄,고토 유키오
岸奥裕二,기시오쿠 유지
本田長康,혼다 나가야스
手島志郎,데시마 시로
桜庭和志,사쿠라바 가즈시
江口勝也,에구치 가쓰야
谷村新司,타니무라 신지
井上喜久子,이노우에 키쿠코
岡田将生,오카다 마사키
桜田通,사쿠라다 도리
佐藤利奈,사토 리나
斎賀みつき,사이가 미츠키
伊藤健太郎・(声優),이토 겐타로 (성우)
藤原啓治,후지와라 케이지
Miz,Miz (가수)
尚泰王,쇼타이왕
中田譲治,나카타 죠지
牧野由依,마키노 유이
鳥海浩輔,토리우미 코스케
いとうのいぢ,이토 노이지
福田明日香,후쿠다 아스카
村上愛,무라카미 메구미
市井紗耶香,이치이 사야카
山本泰一郎,야마모토 야스이치로
河村隆一,가와무라 류이치
岡本浩司,오카모토 고지
佐々木崇浩,사사키 다카히로
肥塚一晃,고에즈카 가즈아키
堀直人,호리 나오토
高森泰男,다카모리 야스오
堀川りょう,호리카와 료
てらそままさき,테라소마 마사키
織田信秀,오다 노부히데
西森博之,니시모리 히로유키
高橋瞳,타카하시 히토미
羽多野渉,하타노 와타루
樋口橘,히구치 다치바나
豊田貞次郎,도요다 데이지로
渡辺直人,와타나베 나오토
清水佐紀,시미즈 사키
沢田研二,사와다 켄지
竹中直人,타케나카 나오토
宮迫博之,미야사코 히로유키
釈由美子,샤쿠 유미코
中山優馬,나카야마 유마
錦戸亮,니시키도 료
藤原頼通,후지와라노 요리미치
山下達郎,야마시타 타츠로
加藤正夫,가토 마사오
大和哲,야마토 데쓰
清水和男,시미즈 가즈오
鈴村拓也,스즈무라 다쿠야
保坂信之,호사카 노부유키
飯田圭織,이이다 카오리
藤村歩,후지무라 아유미
渥美清,아츠미 키요시
緒形拳,오가타 켄
山田泰寛,야마다 야스히로
本田泰人,혼다 야스토
カトキハジメ,카토키 하지메
清水金二郎,시미즈 긴지로
平田裕香,히라타 유카
小松姫,코마츠히메
岩谷俊夫,이와타니 도시오
園部勉,소노베 쓰토무
内田一二四,우치다 히후요
斎藤才三,사이토 사이조
西邑昌一,니시무라 쇼이치
松平健,마츠다이라 켄
森カンナ,모리 칸나
西島秀俊,니시지마 히데토시
片瀬那奈,카타세 나나
前田敦子,마에다 아츠코
板野友美,이타노 토모미
戸田恵子,토다 케이코
桜井和寿,사쿠라이 카즈토시
モンキー・パンチ,몽키 펀치
保田圭,야스다 케이
塚本高史,츠카모토 타카시
小川麻琴,오가와 마코토
川島和津実,카와시마 아즈미
坂元要介,사카모토 요스케
成瀬巳喜男,나루세 미키오
加藤嘉明,가토 요시아키
戸高一生,도타카 가즈미
牧野景輔,마키노 게이스케
松橋力蔵,마쓰하시 리키조
松岡良彦,마쓰오카 요시히코
巻田清一,마키타 세이이치
河原塚毅,가와하라즈카 다케시
世良田顕一,세라다 겐이치
太田吉彰,오타 요시아키
入井和久,이리이 가즈히사
伊藤直司,이토 나오지
原博実,하라 히로미
佐藤春夫,사토 하루오 (소설가)
山田暢久,야마다 노부히사
吉田光範,요시다 미쓰노리
阪倉裕二,사카쿠라 유지
大嶽直人,오타케 나오토
湯山邦彦,유야마 쿠니히코
内田有紀,우치다 유키
林眞須美,하야시 마스미
戸田恵梨香,토다 에리카
鳩山威一郎,하토야마 이이치로
加護亜依,카고 아이
榮倉奈々,에이쿠라 나나
笠原弘子,카사하라 히로코
石村舞波,이시무라 마이하
山田優・(モデル),야마다 유
小川紗季,오가와 사키
真田幸綱,사나다 유키타카
かかずゆみ,카카즈 유미
森嶋通夫,모리시마 미치오
小川直也,오가와 나오야
山本富士雄,야마모토 후지오
森川徹,모리카와 도루
川島透・(サッカー選手),가와시마 도루
中村聖,나카무라 기요시
千葉修,지바 오사무
小屋禎,고야 다다시
田中信孝,다나카 노부타카
東博樹,아즈마 히로키 (축구 선수)
植村晋,우에무라 스스무
岩下潤,이와시타 준
福島潤,후쿠시마 준
さいねい龍二,사이네이 류지
中村知世,나카무라 지세
船本幸路,후나모토 고지
鈴木勝吾,스즈키 쇼고
関口久雄,세키구치 히사오
久保亘,구보 와타루
加藤光雄,가토 미쓰오
生駒友彦,이코마 도모히코
西村昭宏,니시무라 아키히로 (축구인)
さくらももこ,사쿠라 모모코
平野博文,히라노 히로후미
阪口大助,사카구치 다이스케
植田佳奈,우에다 카나
つんく♂,츤쿠
TAKAみちのく,다카 미치노쿠
上杉景勝,우에스기 가게카쓰
竹腰重丸,다케노코시 시게마루
華岡青洲,하나오카 세이슈
北澤俊美,기타자와 도시미
菅谷梨沙子,스가야 리사코
天道かすみ,텐도 카스미
中西里菜,나카니시 리나
上田春佳,우에다 하루카
掛川裕彦,카케가와 히로히코
野島健児・(声優),노지마 켄지 (성우)
島津義弘,시마즈 요시히로
武田真一,타케타 신이치
香取慎吾,카토리 싱고
星野之宣,호시노 유키노부
本田美奈子.,혼다 미나코
鳥山求,도리야마 모토무
杉本美香,스기모토 미카
箕輪義信,미노와 요시노부
平原綾香,히라하라 아야카
菅野孝憲,스게노 다카노리
細谷一郎,호소타니 이치로
田澤純一,다자와 준이치
浅田舞,아사다 마이
八奈見乗児,야나미 조지
松本寛也,마츠모토 히로야
古原靖久,후루하라 야스히사
佐原秀樹,사하라 히데키
葵みのり,아오이 미노리
甲斐麻美,가이 아사미
小城得達,오기 아리타쓰
別府あゆみ,벳푸 아유미
与謝野馨,요사노 가오루
髙木雄也,타카키 유야
星野道夫,호시노 미치오
北条氏直,호조 우지나오
毛利元就,모리 모토나리
藤堂高虎,도도 다카토라
清原深養父,기요하라노 후카야부
丹下桜,탄게 사쿠라
清川正二,기요카와 마사지
五十嵐大介,이가라시 다이스케
素性,소세이
猿丸大夫,사루마루노 다이후
永田雅宜,나가타 마사요시
源為義,미나모토노 다메요시
鈴木憲蔵,스즈키 겐조 (천문학자)
若山富三郎,와카야마 토미사부로
中邑真輔,나카무라 신스케
小笠原茉由,오가사와라 마유
河野太郎,고노 다로
大友義鎮,오토모 소린
佐藤鉄太郎,사토 데쓰타로
辻詩音,츠지 시온
藤村新一,후지무라 신이치
平重盛,다이라노 시게모리
猿飛佐助,사루토비 사스케
井口裕香,이구치 유카
奥寺佐渡子,오쿠데라 사토코
横山正文,요코야마 마사후미
平川大輔,히라카와 다이스케
近衛前久,고노에 사키히사
河野和正,가와노 가즈마사
島津忠恒,시마즈 다다쓰네
江原正士,에바라 마사시
浅井亮政,아자이 스케마사
木村光佑・(サッカー選手),기무라 고스케
TARAKO,TARAKO
糟屋武則,가스야 다케노리
冨田尚弥,도미타 나오야
中谷雄英,나카타니 다케히데
土屋圭市,츠치야 케이치
佐藤二朗,사토 지로
杉田玄白,스기타 겐파쿠
赤川次郎,아카가와 지로
赤根和樹,아카네 가즈키
平田篤胤,히라타 아쓰타네
木下惠介,키노시타 케이스케
久保亮五,구보 료고
富山英明,도미야마 히데아키
塚田真希,쓰카다 마키
瀬戸康史,세토 코지
永井一郎,나가이 이치로
安部智凛,아베 토모리
篠島秀雄,시노지마 히데오
松岡亮輔,마쓰오카 료스케
立浪和義,다쓰나미 가즈요시
菊田裕樹,키쿠타 히로키
石井浩一,이시이 코이치
倉田安治,구라타 야스하루
下田崇,시모다 다카시
澤登正朗,사와노보리 마사아키
