George Washington,ジョージ・ワシントン
Ryan Phillippe,ライアン・フィリップ
Haley Ramm,ヘイリー・ラム
Jaime Ray Newman,ジェイミー・レイ・ニューマン
Hannah Marks,ハンナ・マークス
Gia Mantegna,ジーア・マンテーニャ
Kaitlin Olson,ケイトリン・オルソン
Paul Mazursky,ポール・マザースキー
Charles W. Fairbanks,チャールズ・W・フェアバンクス
Warren Christopher,ウォーレン・クリストファー
James Brendan Connolly,ジェームズ・コノリー・(陸上選手)
Anton Yelchin,アントン・イェルチン
Natalie Zea,ナタリー・ジー
Stanley Schachter,スタンレー・シャクター
Thomas Burke (athlete),トーマス・バーク
Chris Cooper,クリス・クーパー
Cynthia Voigt,シンシア・ヴォイト
Lil Green,リル・グリーン
Joe Louis,ジョー・ルイス
Herbert Spencer Gasser,ハーバート・ガッサー
Andrea Fraser,アンドレア・フレイザー
Buddy Guy,バディ・ガイ
Dan Balan,ダン・バラン
Robert Anton Wilson,ロバート・アントン・ウィルソン
Ellery Harding Clark,エラリー・クラーク
Floyd Patterson,フロイド・パターソン
Henry Norris Russell,ヘンリー・ノリス・ラッセル
Edward Zwick,エドワード・ズウィック
James Baldwin,ジェイムズ・ボールドウィン
Mark Dacascos,マーク・ダカスコス
Tom Regan,トム・リーガン
George Mikan,ジョージ・マイカン
Sheryl Swoopes,シェリル・スウープス
Joan Chen,ジョアン・チェン
Paul Robeson,ポール・ロブスン
Mickie James,ミッキー・ジェームス
Rose Troche,ローズ・トローシュ
Sable (wrestler),レナ・メロ
Patricia Highsmith,パトリシア・ハイスミス
Adam Brody,アダム・ブロディ
Lil Jon,リル・ジョン
Neil Diamond,ニール・ダイアモンド
Kathy Acker,キャシー・アッカー
Vanessa Lachey,ヴァネッサ・ラシェイ
John McTiernan,ジョン・マクティアナン
Jonathan Davis,ジョナサン・デイヴィス・(歌手)
Adrienne Rich,アドリエンヌ・リッチ
Dorothy Parker,ドロシー・パーカー
Hakeem Olajuwon,アキーム・オラジュワン
George Whipple,ジョージ・H・ウィップル
David O. Russell,デヴィッド・O・ラッセル
John Paul Jones,ジョン・ポール・ジョーンズ・(軍人)
Huey Long,ヒューイ・ロング
Brian McBride,ブライアン・マクブライド
Robert Christgau,ロバート・クリストガウ
James Shaffer,ジェームズ・シェイファー
Benjamin Graham,ベンジャミン・グレアム
Maicel Malone-Wallace,マイセル・マローン
Sam Shepard,サム・シェパード
Bob Lemon,ボブ・レモン
Clifford D. Simak,クリフォード・D・シマック
Martin Landau,マーティン・ランドー
Gwendolyn Brooks,グウェンドリン・ブルックス
Ashley Massaro,アシュリー・マッサーロ
Casey Affleck,ケイシー・アフレック
Antonio Meucci,アントニオ・メウッチ
Roald Hoffmann,ロアルド・ホフマン
Rod Steiger,ロッド・スタイガー
John C. Breckinridge,ジョン・ブレッキンリッジ
Michael Vartan,マイケル・ヴァルタン
Stephanie Brown Trafton,ステファニー・ブラウン・トラフトン
David Caruso,デヴィッド・カルーソ
Brandon Jennings,ブランドン・ジェニングス
Richard Pryor,リチャード・プライヤー
Kirk Hinrich,カーク・ハインリック
Jason Biggs,ジェイソン・ビッグス
Chris Webber,クリス・ウェバー
Mark Salling,マーク・サリング
Kevin McHale (actor),ケヴィン・マクヘイル・(俳優)
Lionel Ferbos,ライオネル・ファーボス
Gary Wright,ゲイリー・ライト
Andrei Kirilenko,アンドレイ・キリレンコ
Matthew Morrison,マシュー・モリソン
Harry Dean Stanton,ハリー・ディーン・スタントン
Eben Moglen,エベン・モグレン
Gail O'Grady,ゲイル・オグレイディ
Susan George (political scientist),スーザン・ジョージ・(政治経済学者)
Jillian Hall,ジリアン・フレッチャー
Marilu Henner,マリル・ヘナー
Michel Fokine,ミハイル・フォーキン
John Vincent Atanasoff,ジョン・アタナソフ
Lead Belly,レッドベリー
Patty Fendick,パティ・フェンディック
Pamela Sue Martin,パメラ・スー・マーティン
Chris Witty,クリス・ウィッティ
Debra Mooney,デブラ・ムーニー
David Starr Jordan,デイビッド・スター・ジョーダン
Evelyn "Champagne" King,イヴリン・キング
Jimmy Lyons,ジミー・ライオンズ
J. Christopher Stevens,クリストファー・スティーブンス
Paul Tibbets,ポール・ティベッツ
Jason Becker,ジェイソン・ベッカー
Gregory Bateson,グレゴリー・ベイトソン
Lewis A. Swift,ルイス・スウィフト
Thomas Wolfe,トーマス・ウルフ
Darlene Love,ダーレン・ラヴ
Georgia Hale,ジョージア・ヘイル
Vicki Peterson,ヴィッキー・ピーターソン
Teresa Stratas,テレサ・ストラータス
Debbi Peterson,デビー・ピーターソン
Sally Menke,サリー・メンケ
Deborah Van Valkenburgh,デボラ・ヴァン・フォルケンバーグ
Delphine LaLaurie,デルフィーン・ラローリー
Sarah Hammer,サラ・ハマー
Julie Garwood,ジュリー・ガーウッド
Ilene Woods,アイリーン・ウッズ
Margaret Abbott,マーガレット・アボット
Julia Sweeney,ジュリア・スウィーニー
Clarissa Chun,クラリサ・チャン
Amber Rose,アンバー・ローズ
Julie Strain,ジュリー・ストレイン
Shirley Horn,シャーリー・ホーン
Elizabeth Jane Gardner,エリザベス・ジェーン・ガードナー
William A. Wellman,ウィリアム・A・ウェルマン
William Lawvere,ウィリアム・ローヴェア
Erving Goffman,アーヴィング・ゴッフマン
Edward Burns,エドワード・バーンズ
Aaron Spelling,アーロン・スペリング
Phil Anselmo,フィル・アンセルモ
Ben McKenzie,ベンジャミン・マッケンジー
William Cranch Bond,ウィリアム・クランチ・ボンド
Robert Silverberg,ロバート・シルヴァーバーグ
Proof (rapper),プルーフ・(ラッパー)
Nancy Hollister,ナンシー・ホリスター
Morgan Pressel,モーガン・プレッセル
Liana Liberato,リアナ・リベラト
Metta Sandiford-Artest,メッタ・ワールド・ピース
Rose Mofford,ローズ・モフォード
Jerry Lewis,ジェリー・ルイス
James Randi,ジェームズ・ランディ
Elizabeth Ryan,エリザベス・ライアン
Louise Lasser,ルイーズ・ラサー
Joan Hackett,ジョーン・ハケット
Hazel Hotchkiss Wightman,ヘイゼル・ホッチキス・ワイトマン
William Randolph Hearst,ウィリアム・ランドルフ・ハースト
Alben W. Barkley,アルバン・W・バークリー
Hannibal Hamlin,ハンニバル・ハムリン
Harold Lasswell,ハロルド・ラスウェル
Harry Reid,ハリー・リード
Evgeni Malkin,エヴゲニー・マルキン
Caroline Thompson,キャロライン・トンプソン
Johanna Lindsey,ジョアンナ・リンジー
May Irwin,メイ・アーウィン
Karen Moe,カレン・モー
Stephanie von Hohenlohe,シュテファニー・ツー・ホーエンローエ＝ヴァルデンブルク＝シリングスフュルスト
Priscilla Pointer,プリシラ・ポインター
Ester Dean,エスター・ディーン
Donna D'Errico,ドナ・デリコ
Jason Reitman,ジェイソン・ライトマン
Rockmond Dunbar,ロックモンド・ダンバー
Stark Sands,スターク・サンズ
Neal Morse,ニール・モーズ
Olivia Culpo,オリビア・カルポ
Kelis,ケリス
Johnny Knoxville,ジョニー・ノックスビル
John Searle,ジョン・サール
Tony Hawk,トニー・ホーク
Steven Zaillian,スティーヴン・ザイリアン
Mr. T,ミスター・T
Peter Stormare,ピーター・ストーメア
Corey Taylor,コリィ・テイラー
Misha Collins,ミーシャ・コリンズ
Barry Bonds,バリー・ボンズ
Maurice Sendak,モーリス・センダック
Alice Coachman,アリス・コーチマン
Chris Cornell,クリス・コーネル
Reggie Miller,レジー・ミラー
Rasheed Wallace,ラシード・ウォーレス
Anne Donovan,アン・ドノバン
Ellen Hansell,エレン・ハンセル
Soraya (musician),ソラヤ
Kelly Curtis,ケリー・カーティス
Richie Sambora,リッチー・サンボラ
Joel Schumacher,ジョエル・シュマッカー
Jeff Fahey,ジェフ・フェイヒー
Derek Fisher,デレック・フィッシャー
Ethan Suplee,イーサン・サプリー
Robert Parish,ロバート・パリッシュ
Michael Graves,マイケル・グレイヴス
Yokozuna (wrestler),ロドニー・アノアイ
Charles Curtis,チャールズ・カーティス
Maribel Vinson,マリベル・ビンソン
Amar'e Stoudemire,アマーレ・スタウダマイアー
Mageina Tovah,マゲイナ・トーヴァ
Jackie DeShannon,ジャッキー・デシャノン
Anna Gunn,アンナ・ガン
Kathleen Monahan,キャスリーン・モナハン
Katharine Houghton,キャサリン・ホートン
Crystle Lightning,クリスタル・ライトニング
Rory Kennedy,ロリー・ケネディ
DeLisha Milton-Jones,デリシャ・ミルトン＝ジョーンズ
Phyllis A. Whitney,フィリス・A・ホイットニー
Virginia Hamilton,ヴァージニア・ハミルトン
Emma Andijewska,エッマ・アンドリエーヴシカ
Sky Ferreira,スカイ・フェレイラ
Portia Doubleday,ポーシャ・ダブルデイ
Irma Thomas,アーマ・トーマス
María Conchita Alonso,マリア・コンチータ・アロンゾ
John Leguizamo,ジョン・レグイザモ
Dustin Rhodes,ダスティン・ローデス
Andy Samberg,アンディ・サムバーグ
David Otunga,デビッド・オタンガ
Angel McCoughtry,エンジェル・マコートリー
Joan Wallach Scott,ジョーン・スコット・(歴史学者)
Ann Savage,アン・サヴェージ
Ayda Field,アイーダ・フィールド
Barbara Roles,バーバラ・ロールズ
Hal Holbrook,ハル・ホルブルック
Ben Wallace (basketball),ベン・ウォーレス
Katherine Stinson,キャサリン・スティンソン
Anita Barone,アニタ・バロン
Clyde Drexler,クライド・ドレクスラー
Alyson Noël,アリソン・ノエル
Clara Rockmore,クララ・ロックモア
Jennifer Lynch,ジェニファー・リンチ
Thelma Todd,セルマ・トッド
Ella Raines,エラ・レインズ
Scott Caan,スコット・カーン
Leslie Groves,レズリー・グローヴス
George Phillips Bond,ジョージ・フィリップス・ボンド
Shauna Grant,ショーナ・グラント
Joey Heatherton,ジョーイ・ヘザートン
Kathleen E. Woodiwiss,キャスリーン・E・ウッディウィス
Sue Monk Kidd,スー・モンク・キッド
Tionne Watkins,T-ボズ
Madeleine Leininger,マドレイン・M・レイニンガー
Marcia Brown,マーシャ・ブラウン
Jilliane Hoffman,ジリアン・ホフマン
Jane Holzer,ベイビー・ジェーン・ホルツァー
Roxanne Shante,ロクサーヌ・シャンテ
Annette Funicello,アネット・ファニセロ
Dorothy Provine,ドロシー・プロヴァイン
Roger Zelazny,ロジャー・ゼラズニイ
Scarecrow (DC Comics),スケアクロウ・(バットマン)
Mikhail Baryshnikov,ミハイル・バリシニコフ
Frank Darabont,フランク・ダラボン
Chris Masters,クリス・モルデツキー
Robert Vaughn,ロバート・ヴォーン
Jackie Earle Haley,ジャッキー・アール・ヘイリー
Patrick Stump,パトリック・スタンプ
Frank Jack Fletcher,フランク・J・フレッチャー
Ronee Blakley,ロニー・ブレイクリー
Rebecca Latimer Felton,レベッカ・ラティマー・フェルトン
Vanessa del Rio,ヴァネッサ・デル・リオ
John Ritter,ジョン・リッター
Elliott Gould,エリオット・グールド
Judith O'Dea,ジュディス・オーディア
Hedda Hopper,ヘッダ・ホッパー
Janet Blair,ジャネット・ブレア
Sandahl Bergman,サンダール・バーグマン
Henry L. Stimson,ヘンリー・スティムソン
Andrew Bynum,アンドリュー・バイナム
Donald Faison,ドナルド・フェイソン
Wilhelmina von Bremen,ウィルヘルミナ・ボンブレーメン
Pamela Adlon,パメラ・アドロン
Joseph L. Goldstein,ジョーゼフ・ゴールドスタイン
Etta Baker,エタ・ベイカー
Carole Bayer Sager,キャロル・ベイヤー・セイガー
Priscilla Ahn,プリシラ・アーン
Lucille Bliss,ルシール・ブリス
Jan Kerouac,ジャン・ケルアック
Skeeter Davis,スキータ・デイヴィス
Gaby Hoffmann,ギャビー・ホフマン
Anne Bauchens,アン・ボーチェンズ
Susan Anton,スーザン・アントン
Mitchel Musso,ミッチェル・ムッソ
Paul Gilbert,ポール・ギルバート
Paul Stanley,ポール・スタンレー
Lionel Barrymore,ライオネル・バリモア
James Brolin,ジェームズ・ブローリン
Two-Face,トゥーフェイス
Jeremy Piven,ジェレミー・ピヴェン
A. E. van Vogt,A・E・ヴァン・ヴォークト
David Brin,デイヴィッド・ブリン
Garry Marshall,ゲイリー・マーシャル
Stacy Keach,ステイシー・キーチ
Shelly Martinez,シェリー・マルティネス
Tayshaun Prince,テイショーン・プリンス
Delta Burke,デルタ・バーク
Frances Bay,フランセス・ベイ
Torsten Wiesel,トルステン・ウィーセル
Joy Page,ジョイ・ペイジ
Tana French,タナ・フレンチ
William F. Sharpe,ウィリアム・フォーサイス・シャープ
Ernestine Anderson,アーネスティン・アンダーソン
Edward B. Lewis,エドワード・ルイス
Melba Liston,メルバ・リストン
Marsha M. Linehan,マーシャ・リネハン
Jennifer Batten,ジェニファー・バトゥン
Ellen G. White,エレン・グールド・ホワイト
Kate Millett,ケイト・ミレット
Betty Davis,ベティ・デイヴィス・(歌手)
Azealia Banks,アジーリア・バンクス
Eleanor Garatti,エレノア・ギャラッティ
Gore Verbinski,ゴア・ヴァービンスキー
Bobby Jindal,ボビー・ジンダル
Joseph Campbell,ジョーゼフ・キャンベル
Darren Criss,ダレン・クリス
Royce da 5′9″,ロイス・ダ・ファイブ・ナイン
John Waters,ジョン・ウォーターズ
Anthony Edwards (actor),アンソニー・エドワーズ
Tom Hulce,トム・ハルス
Michael Richards,マイケル・リチャーズ
Jonathan Littell,ジョナサン・リテル
Mary Beth Hurt,メアリー・ベス・ハート
Terry Crews,テリー・クルーズ
Nancy Lieberman,ナンシー・リーバーマン
Judee Sill,ジュディ・シル
Julie Hagerty,ジュリー・ハガティ
Paula Prentiss,ポーラ・プレンティス
Lindsey Berg,リンゼイ・バーグ
Albina Osipowich,アルビナ・オシポウィッチ
Jordan Larson,ジョーダン・ラーソン
Daryl Sabara,ダリル・サバラ
Verne Troyer,ヴァーン・トロイヤー
H. Robert Horvitz,ロバート・ホロビッツ
Robert F. Engle,ロバート・エングル
David H. Hubel,デイヴィッド・ヒューベル
Nicole Davis,ニコル・デービス
Rajon Rondo,ラジョン・ロンド
Pandora Peaks,パンドラ・ピークス
Gigi Rice,ジジ・ライス
Carmen Chaplin,カルメン・チャップリン
Hoyt Wilhelm,ホイト・ウィルヘルム
Stephen D. Lee,スティーブン・D・リー
Michael Weiss (figure skater),マイケル・ワイス
Eddie Murray,エディ・マレー
G. William Domhoff,ジョージ・ウィリアム・ダンホフ
DaVarryl Williamson,ダバリル・ウィリアムソン
Harry Hooper,ハリー・フーパー
James Duesenberry,ジェームズ・デューゼンベリー
Daniel Nathans,ダニエル・ネイサンズ
Vernon L. Smith,バーノン・スミス
Michelle Krusiec,ミシェル・クルージ
Jan Henne,ジェーン・ヘン
Helen B. Taussig,ヘレン・ブルック・タウシグ
Nicholas Murray Butler,ニコラス・バトラー
Mae Murray,メイ・マレー
William Vickrey,ウィリアム・ヴィックリー
George Davis Snell,ジョージ・スネル
Tessa Thompson,テッサ・トンプソン
Noah Wyle,ノア・ワイリー
John Forsythe,ジョン・フォーサイス・(俳優)
Arthur Kornberg,アーサー・コーンバーグ
Harold E. Varmus,ハロルド・ヴァーマス
Michael Stuart Brown,マイケル・ブラウン・(遺伝学者)
Peter Sarsgaard,ピーター・サースガード
Karen Young (actress),カレン・ヤング・(女優)
Angela Lindvall,アンジェラ・リンドヴァル
Nate Robinson,ネイト・ロビンソン
Peter Boyle,ピーター・ボイル
George Wald,ジョージ・ワルド
Johnny Galecki,ジョニー・ガレッキ
Oswald Avery,オズワルド・アベリー
Mick Thomson,ミック・トムソン
Gata Kamsky,ガタ・カムスキー
Robert Garrett,ロバート・ギャレット
Roscoe Arbuckle,ロスコー・アーバックル
Luke Appling,ルーク・アップリング
Barre Phillips,バール・フィリップス
Russ Meyer,ラス・メイヤー
Matt Bomer,マット・ボマー
Jason Momoa,ジェイソン・モモア
Ione Skye,アイオン・スカイ
Jennifer Sky,ジェニファー・スカイ
Pearl White,パール・ホワイト
Paul Revere,ポール・リビア
Polly Draper,ポリー・ドレイパー
Violet Blue,バイオレット・ブルー
Lawrence Klein,ローレンス・クライン
Kenny G,ケニー・G
Erich Segal,エリック・シーガル
Carl Andre,カール・アンドレ
James Dwight Dana,ジェームズ・デーナ
Irwin Shaw,アーウィン・ショー
Stephen Smale,スティーヴン・スメイル
Theodore Maiman,セオドア・メイマン
Terry O'Quinn,テリー・オクィン
R. A. MacAvoy,R・A・マカヴォイ
Iris Yamashita,アイリス・ヤマシタ
Shelly Cole,シェリー・コール
Meredith Salenger,メレディス・サレンジャー
Kate Spade,ケイト・スペード
Dorothy Allison,ドロシー・アリソン・(作家)
Peter Strauss,ピーター・ストラウス
Richard Chamberlain,リチャード・チェンバレン
John Allen Campbell,ジョン・アレン・キャンベル
Philip Yordan,フィリップ・ヨーダン
Lisa Niemi,リサ・ニエミ
Talia Balsam,タリア・バルサム
Alicia Coppola,アリシア・コッポラ
Beth Grant,ベス・グラント
Faye Grant,フェイ・グラント
Mindy Sterling,ミンディ・スターリング
Andrei Okounkov,アンドレイ・オクンコフ
Israel Gelfand,イズライル・ゲルファント
Jesse Douglas,ジェス・ダグラス
Bonita Granville,ボニータ・グランヴィル
Laura La Plante,ローラ・ラ・プラント
Alfred Hershey,アルフレッド・ハーシー
Ida Tarbell,イーダ・ターベル
George Uhlenbeck,ジョージ・ウーレンベック
Bugsy Siegel,ベンジャミン・シーゲル
Ralph Bakshi,ラルフ・バクシ
Leland H. Hartwell,リーランド・ハートウェル
Jacqui Frazier-Lyde,ジャッキー・フレージャー・ライド
Sam Jones (musician),サム・ジョーンズ
George Gallup,ジョージ・ギャラップ
William L. Shirer,ウィリアム・L・シャイラー
Harold Johnson (boxer),ハロルド・ジョンソン
Richie Hayward,リッチー・ヘイワード
George David Birkhoff,ジョージ・デビット・バーコフ
John Philip Sousa,ジョン・フィリップ・スーザ
MC Hammer,M.C.ハマー
Sam Cooke,サム・クック
Edgar Mitchell,エドガー・ミッチェル
John Barth,ジョン・バース
David Farragut,デヴィッド・ファラガット
Fres Oquendo,フェリス・オケンド
Jess Thomas,ジェス・トーマス
Joseph Hooker,ジョセフ・フッカー
Barry Pepper,バリー・ペッパー
Hiram Maxim,ハイラム・マキシム
Daredevil (Marvel Comics character),デアデビル
Jon Huntsman Sr.,ジョン・ミード・ハンツマン・(シニア)
John Lehman,ジョン・レーマン
André Frédéric Cournand,アンドレ・フレデリック・クルナン
Marcia Strassman,マーシャ・ストラスマン
Stewart Copeland,スチュワート・コープランド
Burl Ives,バール・アイヴス
Ioan Gruffudd,ヨアン・グリフィズ
Gerald Edelman,ジェラルド・モーリス・エデルマン
Pamela Reed,パメラ・リード
Libby Ludlow,リビー・ラドロー
Monica Raymund,モニカ・レイマンド
John Houseman,ジョン・ハウスマン
Ronald McNair,ロナルド・マクネイア
Jon Favreau,ジョン・ファヴロー
Sam Raimi,サム・ライミ
Terence Tao,テレンス・タオ
Randolph Scott,ランドルフ・スコット
Gale Norton,ゲイル・ノートン
George Herbert Mead,ジョージ・ハーバート・ミード
Robert Cornthwaite (actor),ロバート・コーンスウェイト・(俳優)
Frank Zagarino,フランク・ザカリーノ
Harry Nyquist,ハリー・ナイキスト
John C. McGinley,ジョン・C・マッギンリー
Leon Festinger,レオン・フェスティンガー
Sam Harris,サム・ハリス
Alex Haley,アレックス・ヘイリー
Marilyn Ferguson,マリリン・ファーガソン
Crystal Bowersox,クリスタル・バウワーソックス
George Pólya,ジョージ・ポリア
Ben Gazzara,ベン・ギャザラ
Philip José Farmer,フィリップ・ホセ・ファーマー
John Cazale,ジョン・カザール
Chris Fehn,クリス・フェーン
John F. Kennedy Jr.,ジョン・フィッツジェラルド・ケネディ・ジュニア
Dwight Phillips,ドワイト・フィリップス
Mihaly Csikszentmihalyi,ミハイ・チクセントミハイ
Solomon Asch,ソロモン・アッシュ
Bryan Clay,ブライアン・クレイ
Lenny Wilkens,レニー・ウィルケンズ
Tim Montgomery,ティム・モンゴメリ
Pete Maravich,ピート・マラビッチ
Moses Malone,モーゼス・マローン
Karl Mundt,カール・ムント
Brian Krause,ブライアン・クラウズ
Brad Falchuk,ブラッド・ファルチャック
Robert Crippen,ロバート・クリッペン
Bill Pullman,ビル・プルマン
Stan Kenton,スタン・ケントン
José Feliciano,ホセ・フェリシアーノ
Ferid Murad,フェリド・ムラド
Alfred Molina,アルフレッド・モリーナ
Tom Green,トム・グリーン
Neil Simon,ニール・サイモン
Gary Snyder,ゲーリー・スナイダー
Philip Zimbardo,フィリップ・ジンバルドー
John Singleton Copley,ジョン・シングルトン・コプリー
Richard Farnsworth,リチャード・ファーンズワース
William Morris Davis,ウィリアム・モーリス・ディヴィス
James W. Christy,ジェームズ・クリスティー
Gary Cole,ゲイリー・コール
Charles Jenkins Jr.,チップ・ジェンキンス
Kay Lenz,ケイ・レンツ
Remy Ma,レミー・マー
Emeka Okafor,エメカ・オカフォー
Mario Lemieux,マリオ・ルミュー
Maurice Greene (sprinter),モーリス・グリーン・(陸上選手)
David Morse,デヴィッド・モース
Catherine Bach,キャサリン・バック
Jean Stapleton,ジーン・ステイプルトン
Eli Manning,イーライ・マニング
Lamar Odom,ラマー・オドム
Alfred G. Gilman,アルフレッド・ギルマン
Don Henley,ドン・ヘンリー
Raymond A. Spruance,レイモンド・スプルーアンス
L. Sprague de Camp,L・スプレイグ・ディ・キャンプ
Andrew Wyeth,アンドリュー・ワイエス
Nikki Ziering,ニッキー・シーラー・ジーリング
Nell Carter,ネル・カーター
Margaret Avery,マーガレット・エイヴリー
Amanda Swisten,アマンダ・スウィステン
Jon Lovitz,ジョン・ロヴィッツ
Blake Clark,ブレイク・クラーク
Patrick Ewing,パトリック・ユーイング
Helen Parkhurst,ヘレン・パーカースト
Gertrude Vanderbilt Whitney,ガートルード・ヴァンダービルト・ホイットニー
Vladimir K. Zworykin,ウラジミール・ツヴォルキン
Greta Gerwig,グレタ・ガーウィグ
James Van Allen,ジェームズ・ヴァン・アレン
Mike Powell (long jumper),マイク・パウエル
Chuck Yeager,チャック・イェーガー
Phil Jackson,フィル・ジャクソン
LaMarcus Aldridge,ラマーカス・オルドリッジ
Gordon A. Craig,ゴードン・クレイグ
Scott Grimes,スコット・グライムス
Jason Mewes,ジェイソン・ミューズ
Larry Niven,ラリー・ニーヴン
Alan Cumming,アラン・カミング
Tony Bennett,トニー・ベネット
Jonathan Franzen,ジョナサン・フランゼン
Richard Lazarus,リチャード・ラザルス
Judith Hoag,ジュディス・ホーグ
Vivian Vance,ヴィヴィアン・ヴァンス
Tamia,タミア
Alice Hamilton,アリス・ハミルトン
Patricia Owens,パトリシア・オーウェンズ
Lewis Morris,ルイス・モリス
Shiing-Shen Chern,陳省身
Norman Rockwell,ノーマン・ロックウェル
Martha Hyer,マーサ・ハイヤー
Melinda Dillon,メリンダ・ディロン
Julie Otsuka,ジュリー・オオツカ
Jamaica Kincaid,ジャメイカ・キンケイド
Ingrid Daubechies,イングリッド・ドブシー
Veronica Roth,ヴェロニカ・ロス
Terrence Howard,テレンス・ハワード
Rob Lowe,ロブ・ロウ
Melissa Manchester,メリサ・マンチェスター
Charlotte Martin,シャーロット・マーティン
Susan Anspach,スーザン・アンスパッチ
Nellie Fox,ネリー・フォックス
Daniel Burnham,ダニエル・バーナム
Ted Lyons,テッド・ライオンズ
David Bromberg,デヴィッド・ブロムバーグ
Amnon Yariv,アムノン・ヤリーヴ
Jim Varney,ジム・バーニー
Jack Johnson (musician),ジャック・ジョンソン・(ミュージシャン)
Patrick Duffy,パトリック・ダフィ・(俳優)
Jack Williamson,ジャック・ウィリアムスン
Phineas Gage,フィニアス・ゲージ
Wade Williams,ウェイド・ウィリアムズ
James Clavell,ジェームズ・クラベル
Ryan Murphy (producer),ライアン・マーフィー
Jerry Stiller,ジェリー・スティラー
Jason Robards,ジェイソン・ロバーズ
Frank Welker,フランク・ウェルカー
Ralph Lauren,ラルフ・ローレン
Cyrus Vance,サイラス・ヴァンス
Mark Harmon,マーク・ハーモン
Thomas P. Stafford,トーマス・スタッフォード
Morton Feldman,モートン・フェルドマン
Daniel Bell,ダニエル・ベル
Walter Lippmann,ウォルター・リップマン
Lucas Till,ルーカス・ティル
Eric Carr,エリック・カー・(ミュージシャン)
Sam Rockwell,サム・ロックウェル
Justin Theroux,ジャスティン・セロー
Jocko Conlan,ジョッコ・コンラン
Robin Eubanks,ロビン・ユーバンクス
Robert Smithson,ロバート・スミッソン
Stephen Mirrione,スティーヴン・ミリオン
Leo Tover,レオ・トーヴァー
Tommy Turrentine,トミー・タレンタイン
Bryan Greenberg,ブライアン・グリーンバーグ
John Paul Getty Jr.,ジョン・ポール・ゲティ・ジュニア
John Pasquin,ジョン・パスキン
Al López,アル・ロペス
Louis E. Denfeld,ルイス・デンフェルド
Sam Firstenberg,サム・ファーステンバーグ
Paul Zukofsky,ポール・ズコフスキー
George Tsebelis,ジョージ・ツェベリス
Tom Reamy,トム・リーミイ
Moses Jacob Ezekiel,モージズ・イジーキエル
Christopher Durang,クリストファー・デュラング
Louise Dresser,ルイーズ・ドレッサー
Nina Berberova,ニーナ・ベルベーロヴァ
V. C. Andrews,V・C・アンドリュース
Andrew Stanton,アンドリュー・スタントン
Michael Flatley,マイケル・フラットレー
Chief Bender,チーフ・ベンダー
Ed Helms,エド・ヘルムズ
John Herzfeld,ジョン・ハーツフェルド
Karl E. Weick,カール・ワイク
James N. Rosenau,ジェームズ・ローズノウ
Salvatore D'Aquila,サルヴァトーレ・ダキーラ
Bernard Herrmann,バーナード・ハーマン
Kim Peek,キム・ピーク
Barry Gibb,バリー・ギブ
Joel Grey,ジョエル・グレイ
Taylor Hicks,テイラー・ヒックス
Randy Quaid,ランディ・クエイド
Daniel Boone,ダニエル・ブーン
Laura Johnson,ローラ・ジョンソン
Edith Wharton,イーディス・ウォートン
Seamus Davey-Fitzpatrick,シーマス・デイヴィー＝フィッツパトリック
Steve Bailey,スティーヴ・ベイリー
Kenny Drew Jr.,ケニー・ドリュー・ジュニア
Steven Hassan,スティーブン・ハッサン
Cecil Gant,セシル・ギャント
Franklin D. Roosevelt Jr.,フランクリン・デラノ・ルーズベルト・ジュニア
Sean Parker,ショーン・パーカー
Joe Pantoliano,ジョー・パントリアーノ
Kirsten Vangsness,カーステン・ヴァングスネス
Randy Crawford,ランディ・クロフォード
George Washington Carver,ジョージ・ワシントン・カーヴァー
James Spader,ジェームズ・スペイダー
Sugar Ray Robinson,シュガー・レイ・ロビンソン
Jack Johnson (boxer),ジャック・ジョンソン・(ボクサー)
Virginia Davis,ヴァージニア・デイヴィス
Charles Cullen,チャールズ・カレン
Elliott Sober,エリオット・ソーバー
Lindsey Shaw,リンゼイ・ショウ
Tracy Pollan,トレイシー・ポラン
Mariska Hargitay,マリスカ・ハージティ
Roman Reigns,ジョー・アノアイ
Florence Foster Jenkins,フローレンス・フォスター・ジェンキンス
Sara Teasdale,サラ・ティーズデール
Frances Hodgson Burnett,フランシス・ホジソン・バーネット
William Prince (actor),ウィリアム・プリンス
Freddy Krueger,フレディ・クルーガー
Thomas Bilotti,トミー・ビロッティ
Victor McLaglen,ヴィクター・マクラグレン
Frank Tieri (mobster),フランク・ティエリ
Neil Stubenhaus,ニール・スチューベンハウス
Chris Ardoin,クリス・アルドワン
Don Cheadle,ドン・チードル
Georgina Spelvin,ジョージナ・スペルヴィン
Meredith Baxter,メレディス・バクスター
Jack White,ジャック・ホワイト
Bambi Woods,バンビ・ウッズ
Nicki Hunter,ニッキー・ハンター
Taryn Thomas,ターリン・トーマス
Pat Murphy (writer),パット・マーフィー
Kathryn Hahn,キャスリン・ハーン
Joan Van Ark,ジョン・ヴァン・アーク
Anderson Cooper,アンダーソン・クーパー
George Meade,ジョージ・ミード
David Henrie,デヴィッド・ヘンリー
Eddie Van Halen,エドワード・ヴァン・ヘイレン
Martin Short,マーティン・ショート
Anthony Davis,アンソニー・デイビス
Ellen Drew,エレン・ドリュー
Thomas Burnett Swann,トマス・バーネット・スワン
Richard Lester,リチャード・レスター
Abraham Benrubi,アブラハム・ベンルービ
