Marea Neagră,黑海
Stadionul Arcul de Triumf,凱旋門體育場
Studiourile Buftea,MediaPro製片室
Râmnicelu,勒姆尼切盧鄉
Universitatea din Oradea,歐拉迪亞大學
Universitatea Politehnica din București,布加勒斯特理工大學
Nucșoara,努克什瓦拉鄉
Traian,特拉揚鄉
Parcul Tineretului,布加勒斯特青年公園
Dobra,多布拉鄉
Ziua Națională a României,国家统一日
Giulești,久萊什蒂鄉
Mioarele,米瓦雷萊鄉
Aeroportul Internațional Craiova,克拉約瓦國際機場
Aeroportul Internațional Iași,雅西
Universitatea „Alexandru Ioan Cuza” din Iași,亞歷山德魯伊萬庫扎大學
Universitatea Națională de Arte București,布加勒斯特国立艺术大学
Universitatea Politehnica Timișoara,蒂米什瓦拉大学
Budeasa,布迪亞薩鄉
Coțofănești,科措弗內什蒂鄉
Berești-Tazlău,貝雷什蒂-塔茲勒烏鄉
Aeroportul Internațional Caransebeș,卡蘭塞貝什機場
Trifești,特里費什蒂鄉
Padina,帕迪納鄉
Berca,貝爾卡鄉
Brădeanu,布勒迪亞努鄉
Cornești,科爾內什蒂鄉
Măxineni,默克西內尼鄉
Zăvoaia,澤瓦亞鄉
Gemenele,傑梅內萊鄉
Tudor Vladimirescu,圖多爾弗拉迪米雷斯庫鄉
Campionatul Național de Șah al României,羅馬尼亞國際象棋錦標賽
Vârful Stogu,斯季格山 (馬爾馬羅什山脈)
Tramvaiul din Arad,阿拉德電車
Săliște,瑟利什泰
Școala Națională de Studii Politice și Administrative,国立政治研究与公共行政大学
Șoimuș,紹伊穆什鄉
Totești,托泰什蒂鄉
Zăbrani,澤布拉尼鄉
Șoldanu,紹爾達努鄉
Valea Argovei,阿爾戈韋鄉
Siriu,錫里烏鄉
Ulmeni,烏爾梅尼鄉
Cincu,欽庫鄉
Hălchiu,赫爾基烏鄉
Vâlcelele,沃爾切萊萊鄉
FC Drobeta-Turnu Severin,德羅貝塔 - 塞維林足球會
Mogoșani,莫戈沙尼鄉
Malaia,馬拉亞鄉
Forțele Navale Române,羅馬尼亞海軍
Pâncești,彭切什蒂鄉
Feldioara,費爾迪瓦拉鄉
Bod,博德鄉
Biharia,比哈里
Universitatea „Ovidius” din Constanța,奥维第乌斯大学
Universitatea Creștină Dimitrie Cantemir,迪米特里耶·坎泰米尔基督教大学
Valea Crișului,克里什鄉
Scutelnici,斯庫泰爾尼奇鄉
Săgeata,瑟賈塔鄉
Tisău,蒂瑟烏鄉
Scorțoasa,斯科爾茨瓦薩鄉
Topliceni,托普利切尼鄉
Mărgăritești,默爾格里特什蒂鄉
Bozioru,布濟奧魯鄉
Valea Râmnicului,勒姆尼庫盧伊鄉
Music Channel,音乐频道
Închisoarea Doftana,多夫塔纳监狱
Catedrala Patriarhală din București,羅馬尼亞正教會大主教座堂
Ordinul Meritul Cultural,文化勳章
Palatul Mogoșoaia,莫戈什瓦亞宮
Voila,沃伊拉鄉
Brețcu,布雷茨庫鄉
Ilia,伊利亞鄉
Podgoria,波德戈里亞鄉
Racovițeni,拉科維采尼鄉
Mânzălești,門澤萊什蒂鄉
Stadionul Farul,法烏爾體育場
Runcu,倫庫鄉
HCM Constanța,康斯坦茨南多布罗加
Dialectul secuiesc,塞凯伊方言
Societatea Română de Radiodifuziune,罗马尼亚电台广播公司
Bâra,伯拉鄉
Ordinul Mihai Viteazul,米歇爾英勇勳章
Baza Militară Deveselu,德韋塞盧軍事基地
Lacul Techirghiol,泰基爾吉奧爾湖
Surdila-Greci,蘇爾迪拉-格雷奇鄉
Radovanu,拉多瓦努鄉
Vârlezi,沃爾萊濟鄉
Ciocănești,喬克內什蒂鄉
Sectorul 3,布加勒斯特第3区
Frontul Salvării Naționale,國家救國陣線
Șinca Nouă,新欣卡鄉
Cobia,科比亞鄉
Văleni-Dâmbovița,沃萊尼-登博維察鄉
Bogdănești,博格德內什蒂鄉
Unirea,烏尼雷亞鄉
Bisoca,比索卡鄉
Pârscov,珀爾斯科夫鄉
Țintești,欽泰什蒂鄉
ambasada Republicii Turcia în România,土耳其駐羅馬尼亞大使館
Perișoru,佩里紹魯鄉
Dor Mărunt,多爾默倫特鄉
Séran,塞朗河
Eroilor,厄洛勒站
Mitreni,米特雷尼鄉
Galiciuica,加利西維卡鄉
Jandarmeria Română,國家憲兵
Plătărești,普勒特雷什蒂鄉
Viperești,維佩雷什蒂鄉
Săpoca,瑟波察鄉
Moacșa,莫阿克沙鄉
Hărman,赫爾曼鄉
Ungra,溫格拉鄉
Șotânga,紹滕加鄉
Spanțov,斯潘措夫鄉
Adășeni,阿德謝尼鄉
Bughea de Sus,上布蓋亞鄉
Coandă-1910,科安德-1910
Vasilați,瓦西拉齊鄉
Gurbănești,古爾伯內什蒂鄉
Brezoaele,布雷佐阿埃萊鄉
Jegălia,熱格利亞鄉
Lupșanu,盧普沙努鄉
Colonești,科洛內什蒂鄉
Blăgești,布勒傑什蒂鄉
Prăjești,普勒熱什蒂鄉
Cândești,肯代什蒂鄉
Neajlov,內亞羅夫河
Regia Autonomă de Transport Oradea O.T.L.,奧拉迪亞本地交通
Periș,佩里什鄉
Ministerul Muncii și Solidarității Sociale,勞動和社會保障部 (羅馬尼亞)
Valea Mare Pravăț,大普拉沃茨鄉
Ministerul Afacerilor Interne,罗马尼亚内政部
Ministerul Educației,教育與科學研究部 (羅馬尼亞)
Vulcan,武爾坎鄉
Sinagoga din Iosefin,尤色菲尹猶太會堂
Cornetu,科爾內圖鄉
Corbeanca,科爾貝安卡鄉
Bengești-Ciocadia,本傑什蒂-喬卡迪亞鄉
Festivalul Internațional de Film Transilvania,特兰西瓦尼亚国际电影节
Moieciu,莫耶丘鄉
Florești-Stoenești,弗洛雷什蒂-斯托埃內什蒂鄉
Universitatea „Lucian Blaga” din Sibiu,锡比乌大学
Izvoru Berheciului,伊茲沃魯貝爾丘盧伊鄉
Orbeni,奧爾貝尼鄉
Secuieni,塞庫耶尼鄉
Frontiera între România și Ucraina,羅馬尼亞-烏克蘭邊界
Verbița,韋爾比察鄉
Urzicuța,烏爾濟庫察鄉
Jilava,伊希拉瓦
Moara Vlăsiei,莫阿拉弗勒謝伊鄉
Gruiu,格魯尤鄉
Brateș,布拉泰什鄉
Șercaia,謝爾卡亞鄉
Pătulele,珀圖萊萊鄉
Linia M5 a metroului din București,布加勒斯特地鐵5號線
Comitetul Olimpic și Sportiv Român,羅馬尼亞奧林匹克及體育委員會
Dobroești,多布羅埃什蒂鄉
Rebrișoara,雷布里什瓦拉鄉
Mogoșoaia,莫戈什瓦亞
Corbasca,科爾巴斯卡鄉
Chiojdu,基奧伊杜鄉
Ciochina,喬基納鄉
Cetatea Râșnov,勒什诺夫城堡
Budești,布代什蒂鄉
Bărăganul,伯勒加努爾鄉
Stăncuța,斯滕庫察鄉
Scorțaru Nou,新斯科爾察魯鄉
Frecăței,弗雷克采伊鄉
Domnești,多姆內什蒂鄉
Grădiștea,格勒迪什泰亞鄉
Valea Jiului,日烏河谷
Arhieparhia de Făgăraș și Alba Iulia,希臘禮天主教弗格拉什暨阿爾巴尤利亞大總教區
Niculești,尼庫萊什蒂鄉
DN2A,国道2A号
Zemeș,澤梅什鄉
Siliștea,錫利什泰亞鄉
Racovița,拉科維察鄉
Logrești,洛格雷什蒂鄉
Glogova,格洛戈瓦鄉
Ciocârlia,喬克爾利亞鄉
Munteni-Buzău,蒙泰尼布澤烏鄉
Argetoaia,阿爾傑托阿亞鄉
Godeanu,戈迪亞努鄉
Valea Doftanei,多夫塔內鄉
Dodești,多代什蒂鄉
Frumușița,弗魯穆希察鄉
Corni,科爾尼鄉
Braniștea,布拉尼什泰亞鄉
Vădăstrița,沃德斯特里察鄉
Râmnicelu,勒姆尼切盧鄉
Poduri,波杜里鄉
Plopana,普洛帕納鄉
Stănișești,斯特尼謝什蒂鄉
Apele Vii,阿佩萊維鄉
Dichiseni,迪基塞尼鄉
Livezi,利韋濟鄉
Gârbovi,格爾博維鄉
Bordușani,博爾杜沙尼鄉
Stelnica,斯泰爾尼卡鄉
Fundeni,豐代尼鄉
Independența,獨立鄉
Palatul Victoria,維多利亞宮
Snagov,斯納戈夫鄉
Jiul Petroșani,彼得羅沙尼烏爾體育會
Crișcior,克里什喬爾鄉
Podul Anghel Saligny,卡羅一世國王橋
Lupta de la Cernavodă,第二次科巴丁戰役
Cuza Vodă,庫扎大公鄉
Nistorești,尼斯托雷什蒂鄉
Câmpuri,肯普里鄉
Cuca,庫卡鄉
Boghicea,博吉恰鄉
Dobrotești,多布羅泰什蒂鄉
Fârțănești,弗爾策內什蒂鄉
Valea Seacă,塞亞克鄉
Racova,拉科瓦鄉
Vidra,維德拉鄉
Liga a III-a,罗马尼亚足球丙级联赛
Smârdan,斯馬爾丹鄉
Rediu,雷迪烏鄉
Buciumeni,布丘梅尼鄉
Coțofenii din Față,科措費尼丁法策鄉
Rădulești,勒杜萊什蒂鄉
Andrășești,安德勒謝什蒂鄉
Letea Veche,舊萊泰亞鄉
Lipova,利波瓦鄉
Iedera,耶代拉鄉
"Alegeri generale în România, 1990",1990年罗马尼亚大选
Petrăchioaia,佩特勒基瓦亞鄉
Cislău,奇斯勒烏鄉
Tunari,圖納里鄉
Văcărești,沃克雷什蒂鄉
Poienarii de Muscel,波耶納里德穆斯切爾鄉
Helegiu,海萊久鄉
Ivești,伊韋什蒂鄉
Sălcuța,瑟爾庫察鄉
Rojiște,羅伊什泰鄉
Axintele,阿克辛泰萊鄉
Brațul Sfântul Gheorghe,聖格奧爾基分支
Filmul românesc,罗马尼亚电影
Palatul Cercului Militar Național,國家軍事宮
Răcăciuni,勒古丘尼鄉
Parcul Național Domogled - Valea Cernei,多莫戈爾德-切爾納鄉國家公園
Găneasa,格內亞薩鄉
Lelese,萊萊塞鄉
Izvoarele,伊茲瓦雷萊鄉
Corbița,科爾比察鄉
Gâdinți,格丁茨鄉
Catedrala Evanghelică din Sibiu,路德会大教堂
Cupa României la fotbal,罗马尼亚杯
Teatrul Național „Ion Luca Caragiale”,布加勒斯特國家劇院
Drăgușeni,德勒古謝尼鄉
Rădești,勒代什蒂鄉
Poiana,波亞納鄉
turcii din România,羅馬尼亞的土耳其人
Odobești,奧多貝什蒂鄉
Sălătrucel,瑟勒特魯切爾鄉
Afumați,阿富馬齊 (伊爾福夫縣)
Vultureni,武爾圖雷尼鄉
Ungureni,溫古雷尼鄉
Summitul NATO 2008,2008年布加勒斯特峰會
Glăvănești,格勒沃內什蒂鄉
Sălătrucu,瑟勒特魯庫鄉
Zona metropolitană Cluj,克卢日-纳波卡大都会区
Mănăstirea Nicula,尼古拉修道院
Brăhășești,布勒赫謝什蒂鄉
Berești-Meria,貝雷什蒂-梅里亞鄉
Bălășești,伯勒謝什蒂鄉
Băneasa,伯尼亞薩鄉
Arbore,阿爾博雷鄉
Hărmănești,赫爾默內什蒂鄉
Reviga,雷維加鄉
Valea Ciorii,喬里鄉
regele României,罗马尼亚君主
Braniștea,布拉尼什泰亞鄉
județ,县
Coroana de Oțel,羅馬尼亞鐵王冠
Dealu Morii,代亞盧莫里鄉
Lăpușata,勒普沙塔鄉
Stâlpeni,斯特爾佩尼鄉
Ungheni,溫蓋尼鄉
Săpata,瑟帕塔鄉
Arieșeni,阿列谢尼乡
Festivalul Olimpic de iarnă al Tineretului European 2013,2013年欧洲青年奥林匹克运动节
Liga a IV-a,罗马尼亚足球丁级联赛
Strada Lipscani,利普斯卡尼
Mihai Eminescu,米哈伊埃米內斯庫鄉
Filipești,菲利佩什蒂鄉
Cosmești,科斯梅什蒂鄉
Cavadinești,卡瓦迪內什蒂鄉
Nicorești,尼科羅什蒂鄉
Mihail Kogălniceanu,米哈伊爾科格爾尼恰努鄉
Vânători,沃訥托里鄉
Stoenești,斯托埃內什蒂鄉
Frătești,弗勒泰什蒂鄉
Gălbinași,格爾比納希鄉
Colibași,科利巴希鄉
Salina Turda,圖爾達鹽礦
Bărbulețu,伯爾布萊楚鄉
Vâlcele,沃爾切萊鄉
Universitatea de Medicină și Farmacie „Iuliu Hațieganu” din Cluj,约略·哈齐耶加努医药大学
Isvoarele,伊斯瓦雷萊鄉
Vlădila,弗勒迪拉鄉
Voineasa,沃伊內亞薩鄉
Starchiojd,斯塔爾喬伊德鄉
Jugureni,茹古雷
Transcarpatia,喀爾巴阡盧森尼亞
Vlădești,弗勒代什蒂鄉
Valea Măcrișului,默克里舒盧伊鄉
Traian,特拉揚鄉
Partidul Socialist al Muncii,罗马尼亚社会主义劳动党
Lunca Ilvei,倫卡伊爾伊爾韋伊鄉
Hemeiuș,海梅尤什鄉
Vlădeni,弗勒代尼鄉
Budureasa,布杜雷亞薩鄉
Câmpia Română,瓦拉幾亞平原
Partidul Național-Țărănesc,国家农民党
Curtea Veche,布加勒斯特瓦拉幾亞親王舊宮
Vădastra,沃達斯特拉鄉
Verguleasa,韋爾古萊亞薩鄉
Ciulnița,丘爾尼察鄉
Cândești,肯代什蒂鄉
Costișa,科斯蒂沙鄉
Vâlcănești,沃爾克內什蒂鄉
Parlamentul României,罗马尼亚议会
lista miniștrilor români de externe,罗马尼亚外交部
Cicănești,奇克內什蒂鄉
Albeștii de Muscel,阿爾貝什蒂德穆斯切爾鄉
Bogați,博加茨鄉
Linia M2 a metroului din București,布加勒斯特地鐵2號線
Bucovăț,布科沃茨鄉
Șoimii Patriei,祖国的猎鹰
Federația Română de Baschet,羅馬尼亞籃球協會
Universitatea Națională de Muzică București,布加勒斯特国立音乐大学
Aeroportul Internațional „George Enescu” Bacău,巴克烏國際機場
Măgirești,默吉雷什蒂鄉
Cupa României 2011-2012,2011年至2012年罗马尼亚杯
Cătina,克蒂納鄉
Ulmu,烏爾穆鄉
Mircea Vodă,米爾恰大公鄉
Vulpeni,武爾佩尼鄉
Chiliile,基利萊鄉
Gherăseni,蓋勒塞尼鄉
C.A. Rosetti,C.A.羅塞蒂鄉
Fântânele,芳特内莱
Vulturești,武爾圖雷什蒂鄉
Davidești,達維代什蒂鄉
Moșoaia,莫什瓦亞鄉
Bughea de Jos,下布蓋亞鄉
Cetățeni,切特采尼鄉
Alexandru cel Bun,亞歷山德魯切爾本鄉
Berzunți,貝爾尊蒂鄉
Mănăstirea Cașin,默訥斯蒂雷亞卡欣鄉
drumul european E583,欧洲E583公路
Negrași,內格拉希鄉
Mănăstirea Curtea de Argeș,庫爾泰亞主教座堂
Brăduleț,布勒杜萊茨鄉
Bozieni,博濟耶尼鄉
Șieu,謝烏鄉
Aeroportul Internațional Brașov-Ghimbav,布拉索夫-金巴夫国际机场
Bicaz,比卡茲鄉
Cultura Cucuteni,特里波耶文化
Palatul Culturii din Iași,雅西文化宮
Guvernul României,羅馬尼亞政府
Drăganu,德勒加努鄉
Buda,布達鄉
Largu,拉爾古鄉
Blăjani,布勒熱尼鄉
Dudești,杜代什蒂鄉
Sudiți,蘇迪齊鄉
Movilița,莫維利察鄉
Șuțești,舒采什蒂鄉
Brăești,布勒埃什蒂鄉
Cochirleanca,科基爾良卡鄉
Ulmu,烏爾穆鄉
Ciocile,喬西萊鄉
Boldu,博爾杜鄉
Murgești,穆爾傑什蒂鄉
Rediu,雷迪烏鄉
Vârtoape,沃爾托阿佩鄉
Morărești,莫勒雷什蒂鄉
Mărunței,默倫采伊鄉
Bălilești,伯利萊什蒂鄉
Căldăraru,克爾德拉魯鄉
Dragomirești,德拉戈米雷什蒂鄉
Scărișoara,斯克里什瓦拉鄉
Dragoș Vodă,德拉戈什大公鄉
Independența,獨立鄉
Unguriu,溫古里烏鄉
Frumușani,弗魯穆沙尼鄉
Cuza Vodă,庫扎大公鄉
Universitatea de Medicină și Farmacie „Carol Davila” din București,卡羅爾達維拉醫藥大學
Vlădaia,弗勒達亞鄉
Experimentul Pitești,皮特什蒂监狱
Borcea,博爾恰鄉
Gura Ocniței,古拉奧克尼采伊鄉
Maccabi București,布加勒斯特马卡比
Grădiștea,格勒迪什泰亞鄉
Cozieni,科濟耶尼鄉
Breaza,布雷亞扎鄉
Petrești,彼得雷什蒂
Piața Universității,大学广场
Cireșu,錫雷舒鄉
Orbeasca,奧爾貝亞斯卡鄉
Balta Albă,巴爾塔阿爾伯鄉
Mereni,梅雷尼鄉
Moara,莫阿拉鄉
Tinosu,蒂諾蘇鄉
Dobrețu,多布雷楚鄉
Catedrala Sfânta Treime din Blaj,聖三主教座堂
DNCB,首都环线
Dumitrești,杜米特雷什蒂鄉
Pleșcuța,普萊什庫察鄉
Războieni,勒茲博耶尼鄉
Sagna,薩格納鄉
Făurei,弗烏雷鄉
Mărgineni,默爾吉內尼鄉
Frăsinet,弗勒西內特鄉
Grădiștea,格勒迪什泰亞鄉
Curtișoara,庫爾蒂什瓦拉鄉
Someș-Odorhei,蘇梅什-奧多爾海伊鄉
Lopătari,洛珀塔里鄉
Gura Teghii,古拉泰吉鄉
Grebănu,格雷伯努鄉
Luciu,盧丘鄉
Vâlcelele,沃爾切萊萊鄉
Mușătești,穆舍泰什蒂鄉
Beleți-Negrești,貝萊齊-內格雷什蒂鄉
Poienarii de Argeș,阿爾傑什河畔波耶納里鄉
Miroși,米羅希鄉
Catedrala Mitropolitană din Sibiu,圣三一主教座堂
Șimleu Silvaniei,希姆萊烏錫爾瓦涅伊
Nadăș,纳德什
Cârlogani,克爾洛加尼鄉
Horia,霍里亞鄉
Negrești,內格雷什蒂鄉
Ion Creangă,揚克良格鄉
Politica României,羅馬尼亞政治
Stadionul Dan Păltinișanu,丹·波廷索奴球場
Hanul Manuc,曼努克客棧
Măciuca,默丘卡鄉
Fărcașele,弗爾卡謝萊鄉
Dulcești,杜爾切什蒂鄉
Ștefan cel Mare,斯特凡大帝
Siliștea Crucii,錫利什泰亞克魯奇鄉
Borănești,博勒內什蒂鄉
Colonești,科洛內什蒂鄉
Roești,羅埃什蒂鄉
Jariștea,亞里什泰亞鄉
Politica demografică a regimului Ceaușescu,770 法案
paralela de 44º latitudine nordică,北緯44度線
Clinceni,克林切尼鄉
Sălcioara,瑟爾喬阿拉鄉
Biserica Millennium din Timișoara,千禧教堂
Perșinari,佩爾希納里鄉
Târnava Mare,塔納瓦河
Valea Iașului,雅西鄉
Afumați,阿富馬齊鄉
Movila Banului,莫維拉巴努盧伊鄉
Nana,納納鄉
Ghergheasa,蓋爾蓋亞薩鄉
Cilibia,奇利比亞鄉
Mihăilești,米赫伊萊什蒂鄉
Nicolae Bălcescu,尼古拉伯爾切斯庫鄉
Râu Alb,勒烏阿爾布鄉
Năeni,訥埃尼鄉
Vălișoara,沃利什瓦拉鄉
Academia de Studii Economice,布加勒斯特經濟研究學院
Topraisar,托普萊薩
Buești,布埃什蒂鄉
Gura Ialomiței,古拉雅洛米察鄉
Câmpineanca,肯皮內亞卡鄉
Sihlea,錫赫萊亞鄉
Gugești,古格什蒂鄉
Cârligele,克爾利傑萊鄉
Jitia,日蒂亞鄉
Romos,羅莫斯鄉
Drăgoești,德勒戈埃什蒂鄉
Ion Roată,揚羅阿特鄉
Movilița,莫維利察鄉
Stoilești,斯托伊萊什蒂鄉
Dochia,多基亞鄉
Străoane,斯特勒瓦內鄉
Vidra,維德拉鄉
Răcoasa,默勒什蒂
Golești,戈萊什蒂鄉
Slobozia Bradului,斯洛博齊亞布拉杜盧伊鄉
Borca,博爾卡鄉
Motoșeni,莫托謝尼鄉
Vulcana-Pandele,武爾卡納-潘代萊鄉
Grivița,格里維察鄉
Poarta Albă,波阿爾塔阿爾伯鄉
Beceni,貝切尼鄉
Partidul Ecologist Român,罗马尼亚生态学家党
Linia M3 a metroului din București,布加勒斯特地鐵3號線
Nimigea,尼米賈鄉
Mânăstirea,默訥斯蒂雷亞鄉
Odăile,奧德伊萊鄉
Sărulești,瑟魯萊什蒂鄉
Vitomirești,維托米雷什蒂鄉
Făgețelu,弗傑采盧鄉
Rusănești,魯瑟內什蒂鄉
Ruginoasa,魯吉諾阿薩鄉
Ștefănești,什特弗內什蒂鄉
Diculești,迪庫萊什蒂鄉
Dăești,德埃什蒂鄉
Roșiile,羅希萊鄉
Urechești,烏雷凱什蒂鄉
Tulnici,圖爾尼奇鄉
Valea Sării,鹽谷鄉
Tănăsoaia,特訥索阿亞鄉
Vulturu,武爾圖魯鄉
Chiojdeni,基奧伊代尼鄉
Poiana Cristei,波亞納克里斯泰伊鄉
Homocea,霍莫恰鄉
Fitionești,菲蒂奧內什蒂鄉
Pănătău,珀訥特烏鄉
Pleșoi,普萊紹伊鄉
Dumbrăveni,敦布勒韋尼鄉
Lucieni,盧切尼鄉
Săveni,瑟韋尼鄉
Nuci,努奇鄉
Frontiera între Bulgaria și România,保加利亞-羅馬尼亞邊界
Rapoltu Mare,大拉波爾圖鄉
Bunești,布內什蒂鄉
Reghiu,雷吉烏鄉
Vintileasca,溫蒂萊亞斯卡鄉
Soveja,索韋亞鄉
Răscăeți,勒斯克埃茨鄉
Vlădești,弗萊代什蒂鄉
Slobozia Ciorăști,斯洛博齊亞喬勒什蒂鄉
Titești,蒂泰什蒂鄉
Cotești,科泰什蒂鄉
Amărăști,阿默勒什蒂鄉
Obrejița,奧布雷日察鄉
Sutești,蘇泰什蒂鄉
Urechești,烏雷凱什蒂鄉
Săucești,瑟烏切什蒂鄉
Strugari,斯特魯加里鄉
Ribița,里比察鄉
Scorțeni,斯科爾采尼鄉
Schitu Golești,斯基圖戈萊什蒂鄉
Popești,波佩什蒂鄉
Stănești,斯特內什蒂鄉
Pufești,普費什蒂鄉
Drăgoești,德勒戈埃什蒂鄉
Popești,波佩什蒂鄉
Aușeu,奧謝烏鄉
Ciorăști,喬勒什蒂鄉
Fârtățești,弗爾特采什蒂鄉
Ionești,約內什蒂鄉
Păușești,珀烏謝什蒂鄉
Biliești,比列什蒂鄉
Stoenești,斯托埃內什蒂鄉
Roșiori,羅希奧里鄉
Odobești,奧多貝什蒂鄉
Oncești,翁切什蒂鄉
Turnu Roșu,圖爾努羅舒鄉
Lupta de la Cobadin,第一次科巴丁戰役
Pantelimon,潘泰利蒙 (布加勒斯特)
Jibert,日貝爾特鄉
Fundata,豐達塔鄉
Roșiori,羅肖里鄉
Alțina,阿爾策納鄉
Anghel Saligny,安格爾·薩利格尼站
Bătălia de la Oituz (1917),歐伊圖茲戰役
Sinești,錫內什蒂鄉
Măieruș,默耶魯什鄉
Râciu,勒丘
gara Brașov,布拉索夫火车站
Dragodana,德拉戈達納鄉
Templul Coral din București,布加勒斯特猶太會堂
Sinagoga Mare din Iași,大猶太會堂
Universitatea de Medicină și Farmacie „Grigore T. Popa” din Iași,雅西医药大学
CSU Asesoft Ploiești,CSU 普洛耶什蒂
Bărcănești,伯爾克內什蒂鄉
Iulius Town Timișoara,蒂米什瓦拉尤利烏斯城
Bătălia de la Mărășești in 1999,默勒謝什蒂戰役
Frontul Democrat al Salvării Naționale,民主國家救國陣線
Bătălia de la Mărăști,默勒什蒂戰役
Braniștea,布拉尼什泰亞鄉
Piața Sfatului din Brașov,布拉索夫议会广场
1 Decembrie 1918,1918年12月1日站
Templul Unirea Sfântă din București,猶太人博物館 (布加勒斯特)
2009 în România,2009年羅馬尼亞
Inundațiile din 1970 din România,1970年罗马尼亚水灾
Ministerul Justiției (România),司法部
Mănești,默內什蒂鄉
șantinerul naval din Galați,加拉茨造船厂
„U” Olimpia Cluj,奧林匹亞克盧日大學足球俱樂部
CSM Volei Alba Blaj,布拉日女排俱樂部
Constituția din 1965,1965年罗马尼亚宪法
Dealul Mitropoliei,都主教教区
Șcheiu,施凯乌河
Boroșneu Mare,大博羅什內烏鄉
Călărași,克勒拉希鄉
Mănăstirea Sinaia,錫納亞修道院
Sinagoga Mare din București,大猶太會堂 (布加勒斯特)
Semlac,塞姆拉克鄉
Teremia Mare,大泰雷米亞鄉
Sânpetru Mare,大聖彼得魯鄉
Complexul Energetic Turceni,图尔切尼发电站
Cireșu,奇雷舒鄉
Hălmăgel,赫爾默傑爾鄉
Craiva,克賴瓦鄉
Cărand,克蘭德鄉
Brazii,布拉濟鄉
Calea Victoriei,勝利大道
Casa Capșa,卡薩卡普薩餐廳
Roton,若顿唱片公司
Fraterna Unio din 1437,特兰西瓦尼亚三国
ACS Daco-Getica București,布加勒斯特尤文圖斯體育俱樂部
Recensământul populației din 2002 (România),羅馬尼亞2002年人口普查
Cimitirul Ghencea,根恰公墓
Pop Ivan,皮普伊萬山 (馬爾馬羅什山脈)
Conop,科諾普鄉
Cobadin,科巴丁
Dezna,代茲納鄉
Beliu,貝利烏鄉
Săcălaz,瑟克拉茲鄉
Gottlob,戈特洛布鄉
Giera,傑拉鄉
Constituția din 1952,1952年罗马尼亚宪法
Țuțora,楚措拉
Tătarii din România,羅馬尼亞的韃靼人
Institutul de Investigare a Crimelor Comunismului și Memoria Exilului Românesc,罗马尼亚共产主义罪行调查院
Secusigiu,塞庫西久鄉
Peciu Nou,新佩丘鄉
Cucuteni,庫庫泰尼鄉
Mihail Kogălniceanu,米哈伊爾-科格爾尼恰努 (康斯坦察縣)
Palatul Cantacuzino,康塔庫齊諾宫
Ațel,阿采爾鄉
Dieci,迪耶奇鄉
Liebling,利布靈鄉
Oltina,奧爾蒂納鄉
Bata,巴塔鄉
Bârsa,伯爾薩鄉
Remeți,雷梅齊鄉
Ministerul Finanțelor,公共財政部
Ministerul Agriculturii și Dezvoltării Rurale,農業與農村發展部 (羅馬尼亞)
Ministrul Transporturilor și Infrastructurii (România),運輸和基礎建設部
Frumușeni,弗魯穆謝尼鄉
Iratoșu,伊拉托舒鄉
Ignești,伊格內什蒂鄉
Gurahonț,古拉洪茨鄉
Divizia 1 Infanterie,第1步兵師「達奇卡」
Viștea,維什泰亞鄉
ArcelorMittal Galați,加拉茨鋼鐵廠
Bărăganu,伯勒加努鄉
Rasova,拉索瓦鄉
Târgușor,特爾古紹爾鄉
Foeni,福埃尼鄉
Pilu,皮盧鄉
Telciu,泰爾丘鄉
Șeica Mare,大謝伊卡鄉
Dorobanți,多羅班齊鄉
Ghizela,吉澤拉鄉
Jebel,熱貝爾鄉
Ostrov,奧斯特羅夫鄉
Bocsig,博克西格鄉
Voiteg,沃伊泰格鄉
2011 în România,2011年羅馬尼亞
Finala Cupei României 2012,羅馬尼亞盃冠軍
Supercupa României 2012,2012年罗马尼亚超级杯
2012 în România,2012年羅馬尼亞
Neamț,尼亚姆茨河
Herța,格爾察河
Sintea Mare,大辛泰亞鄉
Sarasău,薩拉瑟烏鄉
Maieru,馬耶魯鄉
Birchiș,比爾基什鄉
Bazna,巴茲納鄉
Saravale,薩拉瓦萊鄉
Valcani,沃爾卡尼鄉
Șona,紹納鄉
Șantierul Naval Constanța,康斯坦薩造船廠
Câmpia Libertății,自由乡
Seleuș,塞萊烏什鄉
Corbu,科爾布鄉
Socodor,索科多爾鄉
Giarmata,賈爾馬塔鄉
Sânandrei,聖安德烈鄉
Castelu,卡斯泰盧鄉
Bârsana,伯爾薩納鄉
Rona de Sus,上羅納鄉
CS Sportul Snagov,金屬雷西察足球會
Transhumanță,移牧
Câmpulung la Tisa,肯普隆格拉蒂薩鄉
Andrid,安德里德鄉
Vadu Izei,瓦杜伊澤鄉
Pantelimon,潘泰利蒙鄉
Berveni,貝爾韋尼鄉
Mișca,米什卡鄉
Șagu,沙古鄉
Denta,登塔鄉
Ciumani,丘馬尼鄉
Rona de Jos,下羅納鄉
Satchinez,薩特基內茲鄉
Cerchezu,切爾凱祖鄉
Băcia,伯恰鄉
Sânmihaiu Român,聖米哈尤羅門鄉
Supercupa României 2005,2005年羅馬尼亞超級盃
Bistra,比斯特拉河 (穆列什河支流)
Șeitin,謝伊廷鄉
Lueta,盧埃塔鄉
Desești,代塞什蒂鄉
Foieni,福耶尼鄉
Orlat,奧爾拉特鄉
Săcel,瑟切爾鄉
Baru,巴魯鄉
Strâmtura,斯特勒姆圖拉鄉
