François Hollande,프랑수아 올랑드
Madjid Bougherra,마지드 부게라
Alain Giresse,알랭 지레스
Jérôme Fernandez,제롬 페르낭데즈
Pascal Feindouno,파스칼 팽두노
Jules de Polignac (1780-1847),쥘 드 폴리냐크
Adel Taarabt,아델 타랍
Dagobert Ier,다고베르투스 1세
Serge Haroche,세르주 아로슈
Clément Marot,클레망 마로
Bernard Hinault,베르나르 이노
Philippe Bozon,필리프 보종
Alfred de Musset,알프레드 드 뮈세
Robert de Clermont,로베르 드 클레르몽
Pierre l'Ermite,피에르 레르미트
Yves Rocher,이브 로셰
François Ozon,프랑수아 오종
François Clerc (football),프랑수아 클레르크
Pierre Loti,피에르 로티
Sol Bamba,솔 밤바
Nadir Belhadj,나디르 벨하지
Dudu Aouate,두두 아우아테
Robert Pirès,로베르 피레스
Camille d'Hostun,카미유 도스튄 드 탈라르 공작
Charles N'Zogbia,샤를 은조그비아
Amélie Mauresmo,아멜리 모레스모
Mélanie Thierry,멜라니 티에리
Kenny de Schepper,케니 드셰페르
Francis Coquelin,프랑시스 코클랭
Ernest Chausson,에르네스트 쇼송
Marius Petipa,마리우스 프티파
Judith Godrèche,쥐디트 고드레슈
Charles-Albert (roi de Sardaigne),카를로 알베르토
Christian Lacroix,크리스티앙 라크루아
Alain Robert (grimpeur),알랭 로베르
Loïc Rémy,로이크 레미
Philippe Leclerc de Hauteclocque,필리프 르클레르 드 오트클로크
Mamadou Sakho,마마두 사코
Roberto Alagna,로베르토 알라냐
Jacques Demy,자크 드미
Charles Gounod,샤를 구노
Guillaume de Champeaux,샹포의 기욤
Marcel Artelesa,마르셀 아르텔레사
Lilian Thuram,릴리앙 튀람
Frédéric Passy,프레데리크 파시
Alain-René Lesage,알랭르네 르사주
Albert Marquet,알베르 마르케
Jacques Villeret,자크 빌레렛
Antoine Destutt de Tracy,앙투안 데스튀트 드트라시
Henri II de Bourbon-Condé,앙리 2세 드 부르봉콩데
Sadi Carnot (physicien),니콜라 레오나르 사디 카르노
Charles Fourier,샤를 푸리에
Jacqueline du Bief,자클린 뒤 비에프
Karim Matmour,카림 마트무르
Claude-Louis Berthollet,클로드 루이 베르톨레
Bon-Adrien Jeannot de Moncey,봉아드리앙 자노 드 몽세
Alain Corneau,알랭 코르노
Amin Maalouf,아민 말루프
Imany,이마니
Auguste Bravais,오귀스트 브라베
Alain Boghossian,알랭 보고시앙
François Boucher,프랑수아 부셰
Donald-Olivier Sié,도날드올리비에 시에
Antoine de Jomini,앙투안 앙리 조미니
Thérèse de Lisieux,테레즈 드 리지외
Gilles Marini,질 마리니
Marie de Médicis,마리 드 메디시스
Khaled (chanteur),칼레드 (음악가)
Mireille Darc,미레유 다르크
Najat Vallaud-Belkacem,나자트 발로벨카셈
Howard Vernon,하워드 버넌
Ursula Meier,위르실라 메이에
Prince Oniangué,프랭스 오니앙게
Félix Guattari,펠릭스 가타리
Marcel Lefebvre,마르셀 르페브르
Jamel Debbouze,자멜 드부즈
François II de Bretagne,프랑수아 2세 드 브르타뉴 공작
Michel-Richard de Lalande,미셸리샤르 드랄랑드
Félix Ioussoupov,펠릭스 유수포프
Nicolas Batum,니콜라 바튐
Francis Jammes,프랑시스 잠
Maurice Duruflé,모리스 뒤뤼플레
Claude Jade,클로드 자드
Auguste Frédéric Viesse de Marmont,오귀스트 프레데리크 비셰 드 마르몽
Claude Pompidou,클로드 퐁피두
Adolphe Niel,아돌프 니엘
Lambert Wilson,랑베르 윌슨
Jeanne Calment,잔 칼망
Jules Dufaure,쥘 뒤포르
Jean-Baptiste Carpeaux,장바티스트 카르포
Warda al-Jazairia,와르다 알자자이리아
Fleur Pellerin,플뢰르 펠르랭
Jean Baudrillard,장 보드리야르
Alfred Cortot,알프레드 코르토
Fabrice Santoro,파브리스 산토로
Jean-Baptiste de La Salle,장 바티스트 드 라 살
Ariane Ascaride,아리안 아스카리드
Yannick Agnel,야니크 아넬
Jérémy Mathieu,제레미 마티외
Eugène Pottier,외젠 포티에
Raí,하이 (축구 선수)
Nicolas Fouquet,니콜라 푸케 드 벨릴 후작
Benjamin Biolay,뱅자맹 비올레
Jean-Jacques Audubon,존 제임스 오듀본
Mikhaïl Gromov,미하일 레오니도비치 그로모프
Lou Doillon,루 두아용
Catherine de Rambouillet,카트린 드 랑부예
Mathieu Gourdain,마티외 구르댕
Bruno Todeschini,브뤼노 토데스키니
David Trezeguet,다비드 트레제게
Louis Althusser,루이 알튀세르
Antoine Watteau,앙투안 바토
Brandão,에바에베르송 레무스 다 시우바
Gabriel Lamé,가브리엘 라메
Théophile Gautier,테오필 고티에
Vaudès,페트루스 발데즈
Stéphane Mbia,스테판 음비아
Guillaume Budé,기욤 뷔데
Teddy Riner,테디 리네르
Théodore Géricault,테오도르 제리코
Louise Bourgoin,루이즈 부르구앵
Emmanuel Petit,에마뉘엘 프티
Jean Anthelme Brillat-Savarin,앙텔름 브리야사바랭
Clément Ader,클레망 아데르
Célestin Freinet,셀레스탱 프레네
Jean Metzinger,장 메챙제
Gilles Deleuze,질 들뢰즈
Remy de Gourmont,레미 드 구르몽
Bakari Koné,바카리 코네
Jean-Andoche Junot,앙도슈 쥐노
Jean Echenoz,장 에슈노즈
Henri de Lubac,앙리 드 뤼박
"Carlos Sánchez (football, 1986)",카를로스 산체스 모레노
Mylène Farmer,밀렌 파르메르
Nicolas Berdiaev,니콜라이 베르댜예프
Anna Mouglalis,아나 무글라리스
Jeanne Balibar,잔 발리바르
Catherine Sauvage,카트린 소바주
Olga Preobrajenska,올가 프레오브라젠스카
Olivia Ruiz,올리비아 루이즈
Modibo Keïta (1915-1977),모디보 케이타
Alberto Santos-Dumont,알베르토 산토스뒤몽
Michel Legrand,미셸 르그랑
Jean-Henri Fabre,장앙리 파브르
Emmanuel Chabrier,에마뉘엘 샤브리에
Ernest Meissonier,장 루이 에르네스트 메소니에
Guy Demel,기 드멜
Victorien Sardou,빅토리앵 사르두
Bernard-Germain de Lacépède,베르나르제르멩 드 라세페드 백작
Alexandre Desplat,알렉상드르 데스플라
Laurent Cantet,로랑 캉테
Foued Kadir,푸에드 카디르
Michel Kervaire,미셸 케르베르
Robert Guérin,로베르 게랭
Fernand Braudel,페르낭 브로델
"Frank Abagnale, Jr.",프랭크 애버그네일
Marius Trésor,마리위스 트레소르
Julien Benneteau,쥘리앵 베네토
Alexis Carrel,알렉시 카렐
Rémi Gomis,레미 고미스
Matthieu Dossevi,마티외 도세비
Guillaume Hoarau,기욤 오아로
Karim Ziani,카림 지아니
Yolande d'Anjou,욜랑드 당주
Didier Auriol,디디에 오리올
Albert Roussel,알베르 루셀
Algirdas Julien Greimas,알기르다스 줄리앙 그레마스
Jenifer,제니퍼 (가수)
Claude Makélélé,클로드 마켈렐레
Jean Genet,장 주네
Georges Jacques Danton,조르주 당통
Paloma Picasso,팔로마 피카소
Charles de Valois,샤를 드 발루아 백작
Yoann Gourcuff,요안 구르퀴프
Jean-Pierre Rampal,장-피에르 랑팔
Darius Milhaud,다리우스 미요
Jacky Terrasson,재키 테라슨
Victorine Meurent,빅토린 뫼랑
Jeanne de Valois-Saint-Rémy,잔 드 라 모트
Coralie Balmy,코랄리 발미
Alice Evans,앨리스 에번스
Gaston Bachelard,가스통 바슐라르
Maria Casarès,마리아 카자레스
Gilbert du Motier de La Fayette,질베르 뒤 모티에 드 라파예트 후작
Gaël Monfils,가엘 몽피스
Léon Bollée,레옹 볼레
Louis Charles Antoine Desaix,루이 샤를 앙투안 드제
René Clément,르네 클레망
Bruno Latour,브뤼노 라투르
Bernard-Henri Lévy,베르나르앙리 레비
Jean-Jacques Sempé,장자크 상페
Charles Pichegru,샤를 피슈그뤼
Marie-Antoine Carême,마리앙투안 카렘
Philippe d'Orléans (1838-1894),필리프 도를레앙 (1838년)
Jean Mabillon,장 마비용
Alexandre Kojève,알렉상드르 코제브
Pierre II de Courtenay,피에르 2세 드 쿠르트네
Lionel Jospin,리오넬 조스팽
Antonin Artaud,앙토냉 아르토
Pierre-Gilles de Gennes,피에르질 드 젠
Erik Satie,에리크 사티
Charles Garnier (architecte),샤를 가르니에
Abel Gance,아벨 강스
Émile Clapeyron,에밀 클라페롱
Jean-Baptiste Maunier,장바티스트 모니에
Jacques Santini,자크 상티니
Benoît Pedretti,베누아 페드레티
Henry Le Chatelier,앙리 루이 르 샤틀리에
Jacques Feyder,자크 페데
Léon Foucault,레옹 푸코
Louis Barthou,루이 바르투
Emmanuel Le Roy Ladurie,에마뉘엘 르 루아 라뒤리
Vincent d'Indy,뱅상 당디
Alain Connes,알랭 콘
Georges Couthon,조르주 오귀스트 쿠통
Michael Vartan,마이클 바턴
Danielle Mitterrand,다니엘 미테랑
Henri Ier de Guise,앙리 1세 드 기즈 공작
Georges Sorel,조르주 소렐
François-Joseph Gossec,프랑수아조제프 고세크
Henri Navier,클로드 루이 나비에
Mathieu Amalric,마티외 아말리크
Charles Dupuy,샤를 뒤퓌
François-Henri de Montmorency-Luxembourg,프랑수아 앙리 드 몽모랑시뤽상부르 공작
Jan Ladislav Dussek,얀 라디슬라브 듀섹
François Viète,프랑수아 비에트
Alfred Werner,알프레트 베르너
Jean-Henri Lambert,요한 하인리히 람베르트
Marin Mersenne,마랭 메르센
Étienne Bonnot de Condillac,에티엔 보노 드 콩디야크
Bernard Lama,베르나르 라마
Antoine Bourdelle,앙투안 부르델
Camille Claudel,카미유 클로델
Lucienne Boyer,루시엔느 브와이에
Dominique Blanc,도미니크 블랑
Georges Duby,조르주 뒤비
Amira Casar,아미라 카사르
Augustin Fresnel,오귀스탱 프레넬
Charles Le Brun,샤를 르브룅
André Campra,앙드레 캉프라
Tzvetan Todorov,츠베탄 토도로프
Auguste Escoffier,오귀스트 에스코피에
François Mansart,프랑수아 망사르
Jacques Lefèvre d'Étaples,자크 르페브르 데타플
Pierre Fournier (violoncelliste),피에르 푸르니에
François Vatable,프랑수와 바타블
Honoré Daumier,오노레 도미에
Français (peuple),프랑스인
André Frédéric Cournand,앙드레 프레데릭 쿠르낭
Victoire Thivisol,빅투아르 티비솔
Charles III le Simple,카롤루스 3세 심플렉스
Alain Ducasse,알랭 뒤카스
Marisa Pavan,마리사 파반
Guy Mollet,기 몰레
André Claveau,앙드레 클라보
Kevin Gameiro,케뱅 가메이로
Ignace Joseph Pleyel,이그나스 조셉 플레엘
François Christophe Kellermann,프랑수아 크리스토프 켈레르만
Eugène-Henri Gravelotte,외젠앙리 그라블로트
Carlos Ghosn,카를로스 곤
Jean-Paul Marat,장폴 마라
Eugène-François Vidocq,외젠 프랑수아 비도크
Paul Avril,에두아르앙리 아브릴
Vahina Giocante,바이나 조캉트
Karin Viard,카랭 비아르
Nicéphore Niépce,조제프 니세포르 니에프스
Pierre Plantard,피에르 플랑타르
Léon Chestov,레프 셰스토프
Brigitte Lahaie,브리지트 라에
Frédérune,프레데루나
Yann Arthus-Bertrand,얀 아르튀스 베르트랑
Pierre Mendès France,피에르 망데스 프랑스
Omar Sy,오마르 시
Henri Konan Bédié,앙리 코낭 베디에
Rod Fanni,로드 파니
Charles Édouard Guillaume,샤를 에두아르 기욤
Alphonse de Lamartine,알퐁스 드 라마르틴
Nicolas Boileau,니콜라 부알로
Marlène Jobert,마를렌 조베르
Blaise Cendrars,블레즈 상드라르
Salomé Zourabichvili,살로메 주라비슈빌리
Bella Darvi,벨라 다르비
Hamani Diori,하마니 디오리
Yves Hélory de Kermartin,케르마르탱의 이보
Pierre Waldeck-Rousseau,피에르 발데크루소
Alexandre Ribot,알렉상드르 리보
Guillaume Canet,기욤 카네
Éric Djemba-Djemba,에릭 젬바젬바
Ryad Boudebouz,리야드 부데부즈
Moussa Sow,무사 소우
Benjamin Constant,뱅자맹 콩스탕
Robert Louis-Dreyfus,로베르 루이드레퓌스
Raymond Kopa,레몽 코파
Madame de Pompadour,잔앙투아네트 푸아송 드 퐁파두르 여후작
Jean-Baptiste Colbert,장바티스트 콜베르
Alphonse Laveran,샤를 루이 알퐁스 라브랑
Christine Goitschel,크리스틴 구아첼
Emmanuelle Bercot,에마뉘엘 베르코
Fernando Botero,페르난도 보테로
Ettore Bugatti,에토레 부가티
Constantin Balmont,콘스탄틴 발몬트
Honoré d'Urfé,오노레 뒤르페
Paul Scheuring,폴 쉐어링
Michel Sardou,미셸 사르두
François de Malherbe,프랑수아 드 말레르브
Guillaume Henri Dufour,기욤 앙리 뒤푸르
Arthur Honegger,아르튀르 오네게르
Charles Sturm,자크 샤를 프랑수아 스튀름
Alexandre Song,알렉상드르 송
Jean Dujardin,장 뒤자르댕
Pierre Teilhard de Chardin,피에르 테야르 드 샤르댕
Adolphe Adam,아돌프 아당
Eugène Viollet-le-Duc,외젠 비올레 르 뒥
Joe Dassin,조 다신
Jean Lannes,장 란
Martin Solveig,마르탱 솔베이그
Tino Rossi,티노 로시
Albin Lermusiaux,알뱅 레르뮈지오
Martin Fourcade,마르탱 푸르카드
Alexandre Yersin,알렉상드르 예르생
Gracchus Babeuf,프랑수아노엘 바뵈프
Claude Cohen-Tannoudji,클로드 코엔타누지
Bruno Metsu,브뤼노 메취
Hameur Bouazza,아뫼르 부아자
Jean Calas,칼라스 사건
Marianne Denicourt,마리안 드니쿠르
Béatrice Dalle,베아트리스 달
Caroline Cellier,카롤린 셀리에
Antoine Parmentier,앙투안 파르망티에
Pierre Mignard,피에르 미냐르
Souleymane Diawara,술레만 디아와라
Bertrand Blier,베르트랑 블리에
Thomas Paine,토머스 페인
Gérard de Nerval,제라르 드 네르발
Francis Poulenc,프랑시스 풀랑크
Tadeusz Kościuszko,타데우시 코시치우슈코
Georges Eugène Haussmann,조르주외젠 오스만
Eva Green,에바 그린
Édouard Mortier,에두아르 모르티에
Jacques-Henri Bernardin de Saint-Pierre,베르나르댕 드 생피에르
André Bazin,앙드레 바쟁
Siméon Denis Poisson,시메옹 드니 푸아송
Albert Dupontel,알베르 뒤퐁텔
Bernard Tschumi,베르나르 추미
Jean Bodin,장 보댕
Carloman Ier,카를로마누스 1세
Ferdinand Buisson,페르디낭 뷔송
Stéphane Guivarc'h,스테판 기바르쉬
Michel Gondry,미셸 공드리
François de La Rochefoucauld,프랑수아 6세 드 라로슈푸코 공작
Claude Chappe,클로드 샤프
Manuel Amoros,마뉘엘 아모로스
Jean-Marie Massaud,장마리 마소
Edmond About,에드몽 아부
Seydou Keita (football),세이두 케이타
Tina Aumont,티나 오몽
Adrien-Marie Legendre,아드리앵마리 르장드르
Fabien Barthez,파비앵 바르테즈
Caroline Ducey,카롤린 뒤세
Édith Scob,에디트 스콥
André Le Nôtre,앙드레 르 노트르
Marjane Satrapi,마르잔 사트라피
Raymond Poincaré,레몽 푸앵카레
René Goscinny,르네 고시니
Paul Ricœur,폴 리쾨르
Alexis Nikolaïevitch Tolstoï,알렉세이 니콜라예비치 톨스토이
Pierre Gassendi,피에르 가상디
Édouard Roche,에두아르 로슈
Pierre-Narcisse Guérin,피에르나르시스 게랭
Jean-Honoré Fragonard,장오노레 프라고나르
Dominique Rocheteau,도미니크 로슈토
Édouard Chavannes,에두아르 샤반
Raymond Domenech,레몽 도메네크
Louis-René de Rohan,루이 드 로앙 추기경
Yvonne de Gaulle,이본 드골
Anne-Louis Girodet,안루이 지로데 드 루시트리오종
Pierre Malet,피에르 말레
Tony Gatlif,토니 가틀리프
Ferdinand Foch,페르디낭 포슈
Étienne Geoffroy Saint-Hilaire,에티엔 조프루아 생틸레르
Jean Lorrain,장 로랭
Léon Brillouin,레옹 브릴루앵
Louis Jourdan,루이 주르당
Étienne Nicolas Méhul,에티엔 메윌
Claude Lévi-Strauss,클로드 레비스트로스
Just Fontaine,쥐스트 퐁텐
Jo-Wilfried Tsonga,조윌프리드 총가
Jean-François Lyotard,장프랑수아 리오타르
Tony Parker,토니 파커
Mylène Jampanoï,밀렌 잠파노이
Georges Canguilhem,조르주 캉길렘
Jacques Attali,자크 아탈리
Barthélemy Joubert,바르텔레미 카트린 주베르
Fallou Diagne,팔루 디아네
Hubert Fournier,위베르 포르니에
Emil Cioran,에밀 시오랑
Goran Bregović,고란 브레고비치
Vincent Cassel,뱅상 카셀
Marcel Desailly,마르셀 드사이
Frantz Fanon,프란츠 파농
Philippe Garrel,필리프 가렐
Jules Lefebvre,쥘 조제프 르페브르
Richard Cantillon,리처드 캉티용
Henri Duparc (compositeur),앙리 뒤파르크
Pierre-Jean David d'Angers,다비드 당제
Gaëtane Thiney,가에탄 티네
Marie Darrieussecq,마리 다리외세크
Claude Puel,클로드 퓌엘
Christian Gourcuff,크리스티앙 구르퀴프
Jean Isidore Harispe,장 이시도르 아리스프
Marie Dubois,마리 뒤부아
Alain Aspect,알랭 아스페
Philippe de Broca,필립 드 브로카
Antoine III de Gramont,그레몽 공작 앙투안느 3세
Henri Troyat,앙리 트루아야
Nicole Garcia,니콜 가르시아
Anaïs Demoustier,아나이스 드무스티에
Jules Massenet,쥘 마스네
Gabriel Ramanantsoa,가브리엘 라마난초아
Bernard Buffet,베르나르 뷔페
Hugues Duboscq,위그 뒤보스크
Napoléon-Jérôme Bonaparte,나폴레옹 조제프 샤를 폴 보나파르트
Élie Baup,엘리 보프
Michaëlle Jean,미카엘 장
Garra Dembélé,가라 뎀벨레
Clément Grenier,클레망 그르니에
Miranda Raison,미란다 레이즌
Jean-Georges Noverre,장 조르주 노베르
Robert de Courtenay (empereur latin de Constantinople),로베르 드 쿠르트네
Ferdinand-Philippe d'Orléans,페르디낭 필리프 도를레앙 공작
Jacqueline Sassard,자클린 사사르
Victor Cousin,빅토르 쿠쟁
Ginette Garcin,지네트 가르신
Esther Duflo,에스테르 뒤플로
Paul Pogba,폴 포그바
Christophe Galtier,크리스토프 갈티에
Paul Bourget,폴 부르제
Catherine-Dominique de Pérignon,카트린도미니크 드 페리뇽
Linda Hardy,린다 하디
Henri Michel (football),앙리 미셸
Philippe Ariès,필리프 아리에스
Louise Monot,루이즈 모노
Jules Rimet,쥘 리메
Abraham de Moivre,아브라암 드무아브르
Claude François,클로드 프랑수아
Georges Delerue,조르쥬 들르뤼
Marie-Laure Delie,마리로르 델리
Pierre Monteux,피에르 몽퇴
François de Tournon,프랑수아 드 투르농
Marie-Anne Chazel,마리 안 샤젤
Guillaume de Machaut,기욤 드 마쇼
Paul Valéry,폴 발레리
Patrice Chéreau,파트리스 셰로
Alain Mimoun,알랭 미뭉
Auguste de Villiers de l'Isle-Adam,오귀스트 드 빌리에 드 릴라당
Vincent Grass,빈센트 흐라스
Florence Arthaud,플로랑스 아르토
Guillaume Farel,기욤 파렐
Anne de Bretagne,안 드 브르타뉴 여공작
Micheline Ostermeyer,미셸린 오스테르메이에
Stéphane Dion,스테판 디옹
Elsa Zylberstein,엘자 질베르슈테인
Diane Kurys,디안 퀴리스
Jean-Pierre Blanchard,장피에르 블랑샤르
Tino Costa,알베르토 코스타
Emily Atef,에밀리 아테프
Raymond Loewy,레이먼드 로위
Jacques Songo'o,자크 송오
Claude Perron,클라우데 페론
Jocelyn Angloma,조슬랭 앙글로마
Dany Carrel,대니 카렐
Maurice Perronnet,조아니 페로네
Jean-Luc Marion,장-뤽 마리옹
Laëtitia Philippe,라에티티아 필리프
Pierre Fresnay,피에르 프레네
Nicolas de Condorcet,니콜라 드 콩도르세
Marilou Berry,마릴루 베리
Maïwenn,마이웬
Lazare Hoche,루이 라자르 오슈
Nicole Hassler,니콜 아슬레르
Julie Gayet,쥘리 가예
Patrick Battiston,파트리크 바티스통
Michel-Jean Sedaine,미셸장 스덴
Serge Reggiani,세르주 레지아니
Tran Nu Yên-Khê,쩐느옌케
Yves Chauvin,이브 쇼뱅
Gauthier Grumier,고티에 그뤼미에
Jordan Ayew,조르당 아유
Nicolas-Louis de Lacaille,니콜라 루이 드 라카유
Henri Delaunay,앙리 들로네
Jérémy Morel,제레미 모렐
Marie-Anne Mancini,마리 안 망시니
Véronique Genest,베로니크 주네스
Céline Sciamma,셀린 시아마
Andrzej Seweryn,안제이 세베린 (영화인)
Philibert Ier,필리베르토 1세 디 사보이아 공작
Sabine Crossen,사빈 크로센
Éric Srecki,에리크 스레키
Isabelle Gélinas,이자벨 젤리나스
Edmond Rostand,에드몽 로스탕
Max von Sydow,막스 폰 쉬도브
Gaspard-Gustave Coriolis,귀스타브 코리올리
Pierre Marie Barthélemy Ferino,피에르 마리 바르텔레미 페리노
Carl Medjani,카를 메자니
Valérie Kaprisky,발레리 카프리스키
Sabrina Ouazani,사브리나 우아자니
Armand Guillaumin,아르망 기요맹
Anne-Caroline Graffe,안카롤린 그라프
Eugène Carrière,외젠 카리에르
Philippe Troussier,필리프 트루시에
Arsène Lupin,아르센 뤼팽
Sara Martins,사라 마틴스
Ophélie Winter,오펠리 빈터
Catalina Denis,카탈리나 데니스
André-Georges Haudricourt,앙드레조르주 오드리쿠르
Xavier Bertrand,그자비에 베르트랑
Louis Durey,루이 뒤레
Sébastien Ogier,세바스티앵 오지에
Paul Pelliot,폴 펠리오
François-André Danican Philidor,프랑수아앙드레 다니칸 필리도르
Wendie Renard,웬디 르나르
Emmanuelle Riva,에마뉘엘 리바
Solveig Dommartin,솔베이그 도마르틴
David Ospina,다비드 오스피나
Annabella,아나벨라 (배우)
Anne Alvaro,안 알바로
Claudette Colbert,클로데트 콜베르
Charles Ier d'Anjou,카를루 1세
Pascal Vahirua,파스칼 바이뤼아
Gustave Moreau,귀스타브 모로
Jonathan Biabiany,조나탕 비아비아니
Maxime Kontsevitch,막심 콘체비치
Frédérick Bousquet,프레데리크 부스케
Priscilla Betti,프리실라 베티
Hélène de Fougerolles,엘렌 드 푸제롤
Jean-Christophe Yoccoz,장크리스토프 요코즈
Anouk Grinberg,아누크 그랭베르
Paul Hazard,폴 아자르
Cristiana Reali,크리스티나 레알리
André Ayew,앙드레 아유
André Bauchant,앙드레 보샹
Mathieu Flamini,마티외 플라미니
Gaspard II de Coligny,가스파르 2세 드 콜리니
Zino Francescatti,지노 프란체스카티
Catherine Spaak,캐서린 스파크
Anne Consigny,안 콩시니
Vercors (écrivain),베르코르
Fanny Cottençon,파니 코탕송
Théophile de Viau,테오필 드 비오
Mohammed Dib,모하메드 딥
Zinedine Soualem,지네딘 수알렘
Charles-Alexandre de Calonne,샤를 알렉상드르 드 칼론
Bulle Ogier,뷜 오지에
Louis-René-Madeleine de Latouche-Tréville,루이 르네 마들렌 드 라투슈 트레빌
Josiane Balasko,조지안 발라스코
Raymond de Poitiers,레몽 드 푸아티에 공자
Mélanie Bernier,멜라니 베르니에
Edmond Jabès,에드몽 자베스
Numa Denis Fustel de Coulanges,뉘마 드니 퓌스텔 드 쿨랑주
André de Montbard,앙드레 드 몽바르
Albert Calmette,알베르 칼메트
Morgan Amalfitano,모르강 아말피타노
Toussaint Louverture,투생 루베르튀르
Jacques Copeau,자크 코포
Eugène Schueller,외젠 슈엘러
André Cayatte,앙드레 카야트
André Chassaigne,앙드레 샤사뉴
Polaire (actrice),폴레르
Marie-José Nat,마리조제 나트
Mehdi Benatia,메디 베나티아
Vernon Dobtcheff,베르농 도브체프
Henri-Léon Lebesgue,앙리 르베그
Jean-Joseph Cassanéa de Mondonville,장조제프 드 몽동빌
Stéphane Grappelli,스테판 그라펠리
Bernard Kouchner,베르나르 쿠슈네르
René Baire,르네루이 베르
Serge Lang,서지 랭
Jean Dieudonné,장 디외도네
Pierre Puget,피에르 폴 퓌제
Hervé Renard,에르베 르나르
Alain Traoré,알랭 트라오레
Michaël Ciani,미셸 시아니
Coline Serreau,콜린 세로
Space Cowboy,스페이스 카우보이 (음악가)
Claudine Longet,클로다인 런짓
Gaspard Monge,가스파르 몽주
Albert Uderzo,알베르 우데르조
Sávio,사비우
Bernard Diomède,베르나르 디오메드
Mapou Yanga-Mbiwa,마푸 양가음비와
Justin Ahomadegbé,쥐스탱 아호마데그베토메탱
Ariane Labed,아리안 라베드
Louisa Necib,루이자 네시브
Isabelle Pasco,이자벨 파스코
Daniel Narcisse,다니엘 나르시스
Émile Gaboriau,에밀 가보리오
Thierry Rey,티에리 레
Zizi Jeanmaire,지지 장메르
Olympe de Gouges,올랭프 드 구주
Georges Bataille,조르주 바타유
Frédéric Bazille,프레데리크 바지유
Saïd Taghmaoui,사이드 타그마우이
Claude-Victor Perrin,클로드빅토르 페랭
Amédée IX,아메데오 9세 디 사보이아 공작
André Hercule de Fleury,앙드레 에르퀼 드 플뢰리
Stéphane Ruffier,스테판 뤼피에
Charles Kaboré,샤를 카보레
Louis de Rouvroy de Saint-Simon,루이 드 루브루아 드 생시몽 공작
Guillaume Dufay,기욤 뒤파이
Roland Garros,롤랑 가로스
Bernard de Tramelay,베르나르 드 트레믈레
Henri Callot,앙리 칼로
Marama Vahirua,마라마 바이루아
Pierre Grimal,피에르 그리말
Leonor Fini,레오노르 피니
Elsa Schiaparelli,엘사 스키아파렐리
Alfred Binet,알프레드 비네
Jean Siméon Chardin,장 시메옹 샤르댕
Vahid Halilhodžić,바히드 할릴호지치
Claude Joseph Rouget de Lisle,클로드 조제프 루제 드 릴
Laetitia Casta,레티시아 카스타
André Dussollier,앙드레 뒤솔리에
Adrian Mannarino,아드리앙 마나리노
Desireless,디자이어레스
Eva Joly,에바 졸리
Maryse Condé,마리즈 콩데
François de Bourbon-Vendôme,프랑수아 드 방돔 백작
André Gobert,앙드레 고베르
Lucile Desmoulins,뤼실 두플레시
Nathalie Arthaud,나탈리 아르토
Fabrice Jeannet,파브리스 자네
Juliet Berto,쥘리에트 베르토
Bertrand de Blanquefort,베르트랑 드 블랑셰포르
Évrard des Barres,에버라드 데 바레스
Yael Naim,야엘 나임
Claude Bernard,클로드 베르나르
Joseph Joffre,조제프 조프르
Robert Hossein,로베르 오셍
Manu Chao,마누 차오
Léo Delibes,레오 들리브
Dominique Lavanant,도미니크 라바낭
Jean-Lambert Tallien,장랑베르 탈리앵
André Heller (artiste),안드레 헬러
Zar Amir Ebrahimi,자흐라 아미르 에브라히미
Christa Theret,크리스타 테레
Elisa Sednaoui,엘리사 세드나위
France Gall,프랑스 갈
Ferdinand de Lesseps,페르디낭 드 레셉스
Kristin Scott Thomas,크리스틴 스콧 토머스
Kurt Zouma,퀴르트 주마
André Grétry,앙드레 그레트리
Gaston de Foix-Nemours,가스통 드 푸아느무르 공작
Christine Delphy,크리스틴 델피
Vincent Jay,뱅상 제
Maurice Denis,모리스 드니
Georges Rigaud,조지 리고드
Sophie Vouzelaud,소피 부즐로
Shan Sa,샨사
Bruno Bellone,브뤼노 베욘
Comtesse de Ségur,소피 로스토프친
Yvette Mimieux,이베트 밈미여
Romain Duris,로맹 뒤리스
Louis Jules Trochu,루이 쥘 트로쉬
Golshifteh Farahani,골시프테 파라하니
Charles-Ferdinand d'Artois,샤를페르디낭 다르투아
René II de Lorraine,르네 2세 드 로렌 공작
Richard Gasquet,리샤르 가스케
Jacques-René Hébert,자크 르네 에베르
Thiago Silva,치아구 시우바
Dimitri Payet,디미트리 파예트
Christophe Decarnin,크리스토프 드카르냉
Noémie Lvovsky,노에미 르보브스키
Mevlüt Erdinç,메블뤼트 에르딘츠
Frédérique Bel,프레데리크 벨
Claude Frollo,클로드 프롤로
Joris-Karl Huysmans,조리스-카를 위스망스
Gérard Debreu,제라르 드브뢰
Nicolas Joseph Cugnot,니콜라 조제프 퀴뇨
Mary Pierce,마리 피르스
Nadia Farès,나디아 파레스
Valérie Bonneton,발레리 보네통
Marine Delterme,마린 델테름
Julie-Marie Parmentier,쥘리마리 파르망티에
Jean Leray,장 르레
Paul Lévy (mathématicien),폴 피에르 레비
Alexandre-Théophile Vandermonde,알렉상드르테오필 방데르몽드
Wifredo Lam,윌프레도 람
Annie Cordy,애니 코르디
Eugénie Le Sommer,외제니 르 소메르
André Lerond,앙드레 르롱
Rudy Gestede,루디 게스테드
