Leandro Damião,レアンドロ・ダミアン・ダ・シウバ・ドス・サントス
Angelo Carlos Pretti,アンジェロ・カルロス・プレッティ
George Arias,ジョージ・アリアス (ボクサー)
Luiz Azeredo,ルイス・アゼレード
Ana Beatriz Francisco das Chagas,アナ・ベアトリス・シャガス
Evaldo Silva dos Santos,エバウド・シルバ・ドス・サントス
Leandro Teixeira Dantas,レアンドロ・テイシェイラ・ダンタス
Péricles Chamusca,ペリクレス・シャムスカ
Cristian Chagas Tarouco,クリスティアン・タロウコ
Cristina Lago,クリスティーナ・ラゴ
Wanderson Costa Viana,ヴァンデルソン・コスタ・ヴィアナ
Jéssica Pauletto,ジェシカ・パウレット
Leonidas Pereira Neto,ネト・ペレイラ
Nicola Siri,ニコラ・シリ
Valdeir Badú Vieira,ヴァルデイル・ヴィエイラ
Jorge Mautner,ジョルジ・マウチネル
Wilson Carlos Mano,ウィルソン・カルロス・マノ
Cristiano Marcello,クリスチャーノ・マルセロ
Geraldo Del Rey,ジェラルド・デル・レイ
Elison Fagundes dos Santos,エリソン・ファグンデス・ドス・サントス
Neto Volpi,アウヴィーノ・ヴォルピ・ネト
Daniel Lovinho,ダニエル・サントス・シルバ
Flávio Canto,フラビオ・カント
Raimundo Nonato da Silva,ライムンド・ノナット・ダ・シウバ
Gabi Garcia,ギャビ・ガルシア
Geovane Batista de Faria,ジオバネ・バティスタ・デ・ファリア
Alex Felipe Nery,アレックス・フェリペ・ネリー
Embu,セルジオ・エンリケ・サボイア・ベルナルデス
Mário Sérgio Santos Costa,マリオ・セルジオ・サントス・コスタ
Nathan Otávio Ribeiro,ナタン・オタヴィオ・ヒベイロ
Otacílio Neto,オタシリオ・ネト
Murilo Rua,ムリーロ・ニンジャ
Cristina Ortiz,クリスティーナ・オルティス
Vladimir Orlando Cardoso de Araújo Filho,ヴラジミール・オルランド・カルドソ・ジ・アラウージョ・フィーリョ
Maria Isabel de Alcântara Bourbon,イグアス伯爵夫人マリア・イザベル・デ・アルカンターラ
Mario Caldato Jr.,マリオ・カルダート・ジュニア
André Felippe Falbo Ferreira,アンドレ・フェレイラ
Moraes Moreira,モラエス・モレイラ
Luiz Philipe Lima Oliveira,ムラーリャ
Daniel Dutra Silva,ダニエウ・ドゥトラ・ダ・シウヴァ
Maria Thereza Goulart,マリア・テレザ・フォンテッラ
Geronimo dos Santos,ジェロニモ・ドス・サントス
Daniel Paulista,ダニエル・パウリスタ
Paulo Campos,パウロ・カンポス
Anderson Henriques,アンデルソン・エンリケス
Ananias Elói Castro Monteiro,アナニアス・エロイ・カストロ・モンテイロ
Poliana Okimoto,ポリアナ・オキモト
Otávio Edmilson da Silva Monteiro,オタヴィオ・エジミウソン・ダ・シウヴァ・モンテイロ
Paulo Bonamigo,パウロ・アフォンゾ・ボナミーゴ
Daniel Ribeiro,ダニエル ・ヒベイロ
Daniel Sarafian,ダニエル・サラフィアン
Daniel Serra,ダニエル・セラ
Daniel Acácio,ダニエル・アカーシオ
Wesley Barbosa de Morais,ウェズレイ・バルボーサ・ジ・モライス
Manabu Mabe,マナブ間部
Danilo Caymmi,ダニーロ・カイミ
Gerson Fraga Vieira,ジェルソン・フラガ・ビエイラ
André Silva,アンドレ・フェレイラ・ダ・シルバ
Andressa de Morais,アンドレッサ・デ・モライス
Renan Oliveira,ヘナン・エンヒキ・オリヴェイラ・ヴィエイラ
Renan Teixeira,レナン・テイシェイラ・ダ・シルバ
Marcelo Novais Teles,マルセロ・ノヴェ・トレ
Giovani Luiz Neitzke,ジウバーニ・ルイス・ネイツケ
Mara Leão,マーラ・レオン
Carlos Gracie Jr.,カーロス・グレイシーJr
Manuel Alves Branco,マヌエル・アルヴェス・ブランコ
Cosmo Alexandre,コスモ・アレキサンドラ
Douglas Silva Bacelar,ドウグラス・シウヴァ・バセラール
Geuvânio Silva,ジェウヴァニオ・サントス・シウヴァ
Mauricio Viana,マウリシオ・ビアナ
Andrucha Waddington,アンドルーシャ・ワディントン
André Dida,アンドレ・ジダ
Gilson Kleina,ジルソン・クレイナ
Gilbert Burns,ギルバート・バーンズ
"João Carlos, Príncipe da Beira",ジョアン・カルルシュ
Paula Mariana de Bragança,パウラ・マリアナ
Lela (futebolista),レイナルド・フェリスビーノ
Douglas Lima,ドゥグラス・リマ
Danton Mello,ダントン・メーロ
Jorge Gurgel,ジョルジ・グージェウ
Douglas Rinaldi,ドウグラス・デ・メデイロス・リナルディ
David França Oliveira e Silva,ダヴィド・フランサ・オリヴェイラ・エ・シウヴァ
André Luiz Paulino de Souza Motta,アンドレ・ルイス・パウリーノ・ジ・ソウザ・モッタ
Rafael Pires Monteiro,ハファエウ・ピレス・モンテイロ
Rafael Tolói,ラファエウ・トロイ
Giselli Monteiro,ジセリ・モンテイロ
Rafael de Andrade Bittencourt Pinheiro,ラファエウ・ジ・アンドラージ・ビッテンコウルト・ピニェイロ
Giva,ジヴァニウド・プウガス・ダ・シウヴァ
Edinaldo Gomes Pereira,エジナウド・ゴメス・ペレイラ
Everton Kempes dos Santos Gonçalves,エヴェルトン・ケンペス・ドス・サントス・ゴンサウベス
Guilherme Costa Marques,ギリェルメ・コスタ・マルケス
Kleber Romero,クレーベル・ロメロ
Michelle Marinho Pavão,ミシェリ・パボン
Jorge Zarif,ジョルジ・ザリフ
Escândalo,スキャンダル・サベッジ
Mauro Refosco,マウロ・レファスコ
Guilherme de Almeida Prado,ギエルメ・デ・アルメイダ・プラド
José Luiz Ferreira Rodrigues,ジョゼ・ルイス・フェレイラ・ロドリゲス
Alex Oliveira,アレクサンドロ・マルケス・デ・オリベイラ
David Aparecido da Silva,ダビ・アパレシド・ダ・シルバ
Lenny Fernandes Coelho,レニー・フェルナンデス・コエリョ
Gracinha Leporace,グラシーニャ・レポラーセ
Mattheus de Andrade Gama de Oliveira,マテウス・デ・アンドラージ・ガマ・デ・オリベイラ
libaneses-brasileiros,レバノン系ブラジル人
Rhodolfo,ルイス・ロドウフォ・ジニ・ガイオト
Edson Silva,ディド
Greco-brasileiro,ギリシャ系ブラジル人
Antoninho Fernandes,アントニーニョ・フェルナンデス
Antônio Braga Neto,アントニオ・ブラガ・ネト
Ricardo Aparecido Tavares,リカルド・アパレシード・タバレス
Moacir Santos,モアシール・サントス
Cássio Gabus Mendes,カシオ・ガブス・メンデス
Rafael Galhardo,ハファエウ・ガリャルド・ジ・ソウザ
Gustavo Henrique Vernes,グスタヴォ・エンリキ・ヴェルネス
Guilherme Augusto Dellatorre,ギリェルミ・アウグスト・アウヴェス・デラトーレ
Delson Pé de Chumbo,デウソン・エレーノ
Romário Leiria de Moura,ロマーリオ・レイリア・ジ・モウラ
Ronaldo Bôscoli,ホナルド・ボスコリ
Rodrigo Mancha,ロドリゴ・マルコス・ドス・サントス
Glauce Rocha,グラウセ・ホシャ
Glaydson,グライジソン
Roberto Jefferson,ロベルト・ジェフェルソン
Serginho Fraldinha,セルジーニョ・フラウジーニャ
Ricardo Bueno,リカルド・ブエノ
Josimar Rosado da Silva Tavares,ジョジマール・ロサード・ダ・シルバ・タバレス
Josualdo Alves da Silva Oliveira,ジョシュアウド・アウヴェス・ダ・シウヴァ・オリヴェイラ
Guilherme de Brito,ギリェルミ・ジ・ブリート
Monique Marinho Pavão,モニーキ・パボン
José Fernando Viana de Santana,ホセ・フェルナンド・ヴィアナ・デ・サンタナ
José Fágner Silva da Luz,ジョゼ・ファグネル・シウヴァ・ダ・ルス
Guto Ferreira,グート・フェレイラ
Gelson Silva,ジェウソン・ダ・シウヴァ
Cauê Santos da Mata,カウエ・サントス・ダ・マッタ
Telmário de Araújo Sacramento,テルマリオ・デ・アラウージョ・サクラメント
Gustavo Franco,グスタボ・フランコ
Erling Lorentzen,エアリング・ロレンツェン
Tobias Barreto,トビアス・バレット・デ・メネセス
Alexandre Pires,アレクサンドル・ピレス
Diego Brandão,ディエゴ・ブランダオ
Diego Carlos,ジエゴ・カルロス・ジ・オリヴェイラ
Thiago Rodrigues da Silva,チアゴ・ロドリゲス・ダ・シウヴァ
Fernanda Vasconcellos,フェルナンダ・バスコンセロス
Wellington Clayton Gonçalves dos Santos,ウェリントン・クレイトン・ゴンサウベス・ドス・サントス
Douglas Marques dos Santos,ドウグラス・マルケス・ドス・サントス
Maurício Peixoto,マウリシオ・ペイショート
Sebastião Marcos Barbosa Oliveira,マルコス・バルボーサ・オリヴェイラ
Diego Luri,ジエゴ・ルリ
José Nilson dos Santos Silva,ジョゼ・ニウソン・ドス・サントス・シルヴァ
Hacran Dias,ハクラン・ディアス
Hal Thirlaway,ヘンリー・サーラウェイ
Sérgio Luís de Araújo,セルジオ・ルイス・ジ・アラウージョ
Diego Rosa,ディエゴ・ダ・シルバ・ローザ
Domício da Gama,ドミシオ・ダ・ガマ
Dori Caymmi,ドリ・カイミ
Rafael Ferreira Francisco,ラファエル・トロ・フェヘイラ・フランシスコ
João Paulo Mior,ジョアン・パウロ・ミオル
João Paulo da Silva Araújo,ジョアン・パウロ・ダ・シウヴァ・アラウージョ
Tales Tlaija de Souza,タレス・トライジャ・ジ・ソウザ
Thiago Arancam,チアゴ・アランカム
Elber,ジョゼ・エウベル・ピメンテウ・ダ・シウヴァ
Théo Lopes,テオ・ロペス
Nanda Costa,ナンダ・コスタ
Domingos Lampariello Neto,ドミンゴス・マラカナン
Valdir de Moraes Filho,ヴァウディール
Diogo Sclebin,ジオゴ・スクレビン
Tato Gabus Mendes,タトー・ガブス・メンデス
Márcia Fu,マルシア・クーニャ
Diogo Correa de Oliveira,ジオゴ・コヘア・デ・オリベイラ
Jonas Sulzbach,ジョナス・ズルツバッハ
Vinícius Santos Silva,ヴィニシウス・サントス・シウヴァ
Dom La Nena,ドム・ラ・ネナ
Hannette Staack,アネッチ・エスタッキ
Octávio Pinto Guimarães,オクタヴィオ・ピント・ギマランイス
José Scheinkman,ジョゼ・シェイクマン
Dorival das Neves Ferraz Júnior,ドリバウ・ダス・ネーヴィス・フェハス・ジュニオール
Douglas Grolli,ドウグラス・ヒカルド・グローリ
Douglas Vieira,ダグラス・ビエイラ
Juarez Moreira,フアレス・モレイラ
Paulo Miranda de Oliveira,パウロ・ミランダ・ジ・オリヴェイラ
Paulo Nobre,パウロ・ノブレ
Niege Dias,ネージュ・ディアス
William Machado de Oliveira,ウイリアム・マシャド・デ・オリヴェイラ
Willian Magrão,ウイリアン・エンリケ・アントゥネス
Natasha Odara Azevedo Cruz Farinéa,ナターシャ・ファリネア
Wagner Renan Ribeiro,ワグネル・ヘナン・ヒベイロ
Nelson Angelo,ネルソン・アンジェロ
Nicole Oliveira Silva,ニコーリ・シウヴァ
Wanderson Souza Carneiro,ワンデウソン・ソウザ・カルネイロ
Werley Ananias da Silva,ヴェルレイ・アナニアス・ダ・シウヴァ
Dyanfres Douglas Chagas Matos,ダイアンフレス・ドウグラス・シャガス・マトス
Jussier Formiga,ジュシー・フォルミーガ
Bernardo Kucinski,ベルナルド・クシンスキー
Boris Vassilievich Skvortsov,ボリス・ヴァシーリエヴィッチ・スクヴォルツォフ
Douglas Oliveira,ドウグラス・デ・オリヴェイラ
Drussyla Costa,ドルシラ・コスタ
Ebenezer Fontes Braga,エベンゼール・フォンテス・ブラガ
Vanderlei Farias da Silva,ヴァンデルレイ・ファリアス・ダ・シウヴァ
José Pedro de Freitas,ホセ・アリーゴ
Zíbia Gasparetto,ジビア・ガスパレット
Júlio César Martins,ジュリオ・セザール・マルティンス
Henrique Guimarães,エンリケ・ギマラエス
Cleiton Silva,クレイトン・シウバ
Alexandre Tombini,アレクサンドレ・トンビニ
Edinanci Silva,エディナンシ・シルバ
Wilde Gomes da Silva,ウィルデ・ゴメス・ダ・シウヴァ
Paulo Orlando,パウロ・オルランド
Édson Bastos Barreto,エドソン・バストス
Everton Ribeiro,エヴェルトン・リベイロ
Kron Gracie,クロン・グレイシー
Kátya Chamma,カチャ・チャンマ
Lorenzo Merlino,ロレンゾ・メルリーノ
Edmilson,エジミウソン・ジアス・デ・ルセナ
Wallace Martins,ウォレス・マルティンス
Picoli,エデマール・アントニオ・ピーコリ
Fabrício dos Santos Silva,ファブリシオ・ドス・サントス・シウヴァ
Ben Goertzel,ベン・ゲーツェル
Paulo Betti,パウロ・ベッチ
Priscila Zalewski Daroit,プリシラ・ダロイト
Edson Barboza zika,エジソン・バルボーザ
José Gomes Pinheiro Machado,ジョゼ・ゴメス・ピニェイロ・マシャド
Fabiano Soares Pessoa,ファビアーノ・ソアレス・ペッソア
Adriano Bispo dos Santos,アドリアーノ・ビスポ・ドス・サントス
Dória,マテウス・ドリア・マセド
Everton Luiz Guimarães Bilher,エヴェルトン・ルイス・ギマリャンイス・ビリェル
Kaio Felipe Gonçalves,カイオ・フェリペ・ゴンサウベス
Patrícia Medrado,パトリシア・メドラード
Patric Cabral Lalau,パトリック・カブラウ・ララウ
Joéliton Lima Santos,ジョエリトン・リマ・サントス
Bianca Bin,ビアンカ・ビン
Eduardo Godinho Felipe,エドゥアルド・ゴジーニョ・フェリペ
Eduardo Godinho Felipe de Souza,エドゥアルド・ゴジーニョ・フェリペ・ジ・ソウザ
Henrique Meirelles,エンリケ・メイレレス
Bruna Abdullah,ブルーナ・アブドラ
Lais Ribeiro,レイス・リベイロ
Roberta Silva Ratzke,ロベルタ・ラツキ
Edson Tavares,エジソン・アラウージョ・タヴァレス
Laudir de Oliveira,ラウヂール・ヂ・オリヴェイラ
Eduardo José Diniz Costa,エドゥワルド・ジョゼ・ジニズ・コスタ
Mariany Nonaka,マリアニー・ノナカ
Jefferson Lopes Faustino,ジェフェルソン・ロペス・ファウスチーノ
Edson Izidoro Guimarães,エドソン・ギマラエス
Leandro Altair Machado,レアンドロ・アウタイール・マシャード
Kafu,ビクター・セロン
Édson José da Silva,エジソン・ジョゼ・ダ・シウヴァ
Luiz Cané,ルイス・カーニ
Fernanda Lima,フェルナンダ・リマ
Alexandre Oliva,アレシャンドリ・オリヴァ
Othon Bastos,オトン・バストス
Kevin Alves,ケヴィン・アウヴェス
Leandrinho,レアンドロ・コルデイロ・ジ・リマ・シウヴァ
Ricardo Garcia,リカルド・ガルシア
Francisco Pereira Passos,フランシスコ・ペレイラ・パソス
Rolles Gracie,ホーレス・グレイシー
Edílson Mendes Guimarães,エジウソン・メンデス・ギマランイス
Chico Formiga,フランシスコ・フェレイラ・デ・アギール
Alexandra Aikhenvald,アレクサンドラ・アイヘンヴァルト
Neneca,アンデルソン・ソアレス・ダ・シルバ
Leila Diniz,レイラ・ディニス
Leandro Aparecido Padilha de Oliveira,レアンドロ・アパレシド・パジーリャ・ジ・オリベイラ
Leandro Assumpção,レアンドロ・アスンサォン
Stephanie Gardner,ステファニー・ガードナー
Léo Gandelman,レオ・ガンデルマン
Rodolfo Bernardelli,ロドルフォ・ベルナルデリ
Rodrigo Caio,ロドリゴ・カイオ・コケッチ・ルッソ
Renê Júnior,レネ・ドス・サントス・ジュニオール
Sergio Ricardo,セルジオ・リカルド
Adriano Goldman,アドリアーノ・ゴールドマン
Milton Gonçalves,ミルトン・ゴンサルヴェス
Rafael dos Anjos,ハファエウ・ドス・アンジョス
Ana Moser,アナ・モーゼ
Lidi Lisboa,リディ・リスボア
Noel Devos,ノエル・ドヴォ
Eli Sabiá,エリ・サビア
Eliana Pittman,エリアーナ・ピットマン
Fernando Morais,フェルナンド・モライス
Sergio Gabrielli,セルジオ・ガブリエリ
Rorion Gracie,ホリオン・グレイシー
Lucas Nogueira,ルーカス・ノゲイラ
Elias Ribeiro de Oliveira,エリアス・リベイロ・ジ・オリヴェイラ
Elierce Barbosa de Souza,エリアス・バルボサ・デ・ソウザ
Igor Sartori,イゴール・トーレス・サルトーリ
Eliomar Correia Silva,エリオマール・コレイア・シウヴァ
Elisa Volpatto,エリサ・ヴォルパット
Leandro Freire de Araújo,レアンドロ・フレイレ・デ・アラウージョ
Hélio José de Souza Gonçalves,ヘリオ
Rani Yahya,ハニ・ヤヒーラ
Jan Antonín Baťa,ヤン・アントニン・バタ
Claudionor Souza de Jesus,クラウディオノル・ソウザ・ジ・ジェズス
Leny Andrade,レニー・アンドラージ
Egmar Gonçalves,エグマル・ゴンザルヴェス
"Eleonora, Princesa de Ligne",エレオノーラ・デ・オルレアンス・イ・ブラガンサ
Eleílson Farias de Moura,エレウソン・ファリアス・デ・モウラ
Rubens Gerchman,ホゥベンス・ゲルシマン
Liliu,リリウ
Rosaly Lopes,ロザリー・ロープス
Marcelo Nascimento da Costa,マルセロ・ナシメント・ダ・コスタ
Jamelão,ジャメラォン
Emmerson Nogueira,エマーソン・ノゲイラ
Suelen Pinto,スエレン・ピント
Suelle Prado de Oliveira,スエリ・オリベイラ
Leonardo Leite,レオナルド・レイチ
Gleison Tibau,グレイゾン・チバウ
Ronaldo Rogério de Freitas Mourão,ロナウド・モウラン
Odete Lara,オデッチ・ララ
Odilon Duarte Braga,オディロン・ドゥアルテ・ブラガ
Thiago dos Santos Cunha,チアゴ・ドス・サントス・クーニャ
Emerson Palmieri,エメルソン・パルミエリ・ドス・サントス
Rossana Ghessa,ロッサナ・ゲッサ
Tiago da Silva,チアゴ・ダ・シルバ
Elsinho,エルソン・フェレイラ・デ・ソウザ
Vera Mossa,ヴェラ・モッサ
Eric Granado,エリック・グラナド
Érica Awano,エリカ・アワノ
Erick Silva,エリック・シウバ
Erik Wanderley,エリック・ヴァンダレイ
Lino Facioli,リノ・ファシオリ
Lisalla Montenegro,リザラ・モンテネグロ
Erenice Guerra,エレニセ・ゲーラ
Miguel Rio Branco,ミゲル・リオ・ブランコ
Lucas Lepri,ルーカス・レプリ
Pablo Nascimento Castro,パブロ・ナシメント・カストロ
Pakorn Prempak,パコーン・プレムパック
Louis Chirillo,ルイス・チリロ
Theodoro Peckolt,テオドール・ペッコルト
Thiago Braz,チアゴ・ブラス・ダ・シウヴァ
Otacílio Gonçalves da Silva Júnior,オタシリオ・ゴンサウヴェス・ダ・シルバ・ジュニオール
Marcelo Leite Pereira,マルセリーニョ・レイチ
Danielle Foxxx,ダニエル・フォックス
Elza Cansanção Medeiros,エルサ・メデイロス
Uri Valadão,ウリ・ヴァラダン
Marcel Sacramento,マルセウ・シウバ・サクラメント
Tatá Werneck,タタ・ヴェルネック
Stefano Cugurra,ステファノ・クグラ
Drica Moraes,ドリカ・モラエス
Marco Aurélio dos Santos,マルコ・アウレリオ・ドス・サントス
Oswaldo Frota-Pessoa,オズワルド・フロタ＝ペッソア
Luciano Quadros da Silva,ルシアーノ・クアドロス
Walter Carmona,バウテル・カルモナ
Waldick Soriano,ワルディック・ソリアーノ
Weverson Leandro Oliveira Moura,ウェベルソン・レアンドロ・オリベイラ・モウラ
Tiago Queiroz Bezerra,ティアゴ・ケイロズ・ベゼルラ
Gabriel Pimba,ガブリエル・リマ・オリヴェイラ
Osmar Francisco,オズマール・フランシスコ・モレイラ・ジェヅイノ
Lourenço Mutarelli,ロウレンソ・ムタレリ
Wilson Reis,ウィルソン・ヘイス
Luis Arlindo de Jesus dos Santos,アルリンド・マラカナン
Jairo Luis Blumer,ジャイロ・ルイス・ブルメル
Jael,ジャエル・フェレイラ・ヴィエイラ
Paulo Rangel,パウロ・ランゲル・ド・ナシメント・ゴメス
Patricky Freire,パトリッキー・フレイレ
Wellington Katzor de Oliveira,ウェリントン・カッツォル・デ・オリベイラ
Vinícius Cantuária,ヴィニシウス・カントゥアリア
Paulino José Soares de Sousa,パウリノ・ソアレス・デ・ソウザ
Luiz Antônio de Souza Soares,ルイス・アントニオ・ジ・ソウザ・ソアレス
William Henrique,ウィリアム・エンリケ・ロドリゲス・ダ・シルバ
Willian José de Souza,ウィリアン・ジョゼ・デ・ソウザ
Patricio Pitbull,パトリシオ・ピットブル
Aleksandar Mandic,アレッシャンドレ・マンジック
João Sales,ジョアン・フランシスコ・デ・サーレス
Thiago Tavares,チアゴ・タバレス
Rodrigo Damm,ホドリゴ・ダム
Aldo Cini,アルド・チーニ
William Matheus,ウィリアム・マテウス・ダ・シウヴァ
Wanda Sá,ワンダ・サー
Wanderley Santos Monteiro Júnior,ヴァンデルレイ・サントス・モンテイロ・ジュニオール
Wanderléa,ワンデルレーア
Yan Cabral,ヤン・カブラル
Valmir Louruz,バウミール・ロールス
Alencar Terra,アレンカール・テッラ
Luiz Carlos Vieira Junior,ルイス・カルロス・ヴィエイラ
Wilson Gouveia,ウィウソン・ゴヴェイア
Lô Borges,ロー・ボルジェス
Solange Wilvert,ソランジュ・ウィルバート
Luiz Brasil,ルイス・ブラジル
Luiz Camargo,ルイス・カマルゴ
Lucas Vinicius Gonçalves Silva,ルーカス・ビニシウス・ゴンサルベス・シルバ
Jô Matumoto,ジョー・マツモト
Jander Ribeiro Santana,ジャンデル
Lucas Santtana,ルーカス・サンタナ
Paulo Emílio Frossard Jorge,パウロ・エミリオ・フロッサルド・ジョルジ
José Landi-Jons,ジョセ・ランディ・ジョンズ
Jaques Wagner,ジャック・ワグナー
Lucas Silva Borges,ルーカス・シルバ
Janina Déia Chagas da Conceição,ジャニナ・コンセイソン
Lucas Pierre Santos Oliveira,ルーカス・ピエール・サントス・オリヴェイラ
Wilson Deodato da Silva,ウィウソン・デオダト・ダ・シウヴァ
Wilson Moreira,ウィルソン・モレイラ
Wilson Raimundo Junior,ウィルソン・ライムンド・ジュニオール
William Pinheiro Rodrigues,ウィリアム・ピニェイロ・ロドリゲス
Paulo Roberto Gonzaga,パウロ・ロベルト・ゴンサガ
Paulo César Gusmão,パウロ・セザール・ロペス・デ・グスマン
Lúcio Rodrigues,ルシオ・ホドリゲス
Lucílio de Albuquerque,ルシリオ・デ・アルブケルケ
Paulo José,パウロ・ジョゼ
Paulo Luiz Santos,パウロ・ルイス・ベラウド・サントス
Luis dos Reis,ルイス・ドス・ヘイス・ゴンサルベス
Paulo Victor Mileo Vidotti,パウロ・ヴィクトル・ミレオ・ヴィドッティ
Éder Luiz Lima de Souza,エデル・ルイス・リマ・ジ・ソウザ
Weverton Pereira da Silva,ヴェヴェルトン・ペレイラ・ダ・シウヴァ
Luiz Otávio Santos de Araújo,ルイス・オタヴィオ・サントス・デ・アラウージョ
Yoya Wursch,ヨヤ・ヴルシュ
Jaílton Lourenço da Silva,ジャイルトン・ロレンソ・ダ・シルバ
Luiz Manella,ルイス・マネッラ
Paulo Miranda (zagueiro),ジョナタン・ドイン
Paulo Roberto Rocha,パウロ・ロベルト・ローシャ
Paulinho Paiakã,パウリーニョ・パイアカン
Paulinho Moska,パウリーニョ・モスカ
Luke Ross,ルーク・ロス
Magali,マガリ
Magno Damasceno Santos,マグノ・ダマセーノ・サントス・ダ・クルス
Jairo Rodrigues,ジャイロ・ロドリゲス・ペイショット・フィーリョ
Joaquim José Inácio,ジョアキン・ジョゼ・イナシオ
Alexandre Gaúcho,アレシャンドレ・ジ・アヴィラ・ヴィエイラ
Lúcio Flávio da Silva Oliva,ルシオ・フラヴィオ・ダ・シウヴァ・オリヴァ
Jean Paulo Fernandes,ジェアン・パウロ・フェルナンデス
Paulo Sérgio Pinheiro,パウロ・セルジオ・ピネイロ
Addison Alves de Oliveira,アジソン・アウベス・ダ・シウバ
Arcangelo Ianelli,アルカンジェロ・イアネッリ
Joe Bennett (ilustrador),ジョー・ベネット (アーティスト)
Anna Muylaert,アナ・ミュイラート
Antunes Filho,アントゥネス・フィーリョ
Luiz Onmura,ルイス・オンムラ
Alexandrino Faria de Alencar,アレシャンドリノ・ファリア・デ・アレンカル
Johnny Eduardo,ジョニー・エドゥアルド
Éverson Felipe Marques Pires,エヴェルソン・フェリペ・マルケス・ピレス
Jonathan Scott-Taylor,ジョナサン・スコット・テイラー
Pedro Henrique Konzen,ペドロ・エンヒキ・コンゼン・メジナ・ダ・シウヴァ
Alexandre Vidal Porto,アレシャンドレ・ヴィダウ・ポルト
Wellington de Jorge Estanislau Paeckart,ペッカ
Johnath Marlone Azevedo da Silva,ジョーナス・マルローニ・アゼヴェド・ダ・シウヴァ
Maciel,マシエウ・ルイス・フランコ
Jonas Henrique Pessalli,ジョナス・エンヒキ・ペサーリ
Jordan de Freitas,ジョルダン・ジ・フレイタス
Léo Gamalho,レオナルド・ガマーニョ・ジ・ソウザ
Rafael Miranda Fernandes,ラファエル・フェルナンデス
Phelipe Rodrigues,フェリペ・ロドリゲス
Phil Rajzman,フィル・ライズマン
Aureliano Lessa,アウレリアーノ・レッサ
Preta Gil,プレタ・ジル
Marcelo Luis de Almeida Carmo,マルセロ・ルイス・デ・アルメイダ・カルモ
Johil de Oliveira,ジョイユ・デ・オリベイラ
Rafael Daniel,ラファエル・ダニエル
Marcelo Battistuzzi,マルセロ・バティストゥッツィ
Petra Costa,ペトラ・コスタ
Jorge Patino,ジョルジ・パチーユ・マカコ
Marcio Feitosa,マーシオ・フェイトーザ
Marcio Alves dos Santos,マルシオ・アウベス・ドス・サントス
Marcelo Toscano,マルセロ・アパレシド・トスカーノ
Ralek Gracie,ハレック・グレイシー
Ralph Gracie,ハウフ・グレイシー
Pâmella Oliveira,パメラ・オリベイラ
Marcelo Mourão Gomes,マルセロ・ゴメス
Marcelo Lomba do Nascimento,マルセロ・ロンバ・ド・ナシメント
Marcelo Lopes de Souza,マルチェロ・ロペス・デ・ソウザ
Marcelo Cirino da Silva,マルセロ・シリーノ・ダ・シウヴァ
Rafael Ramos de Lima,ラファエル・ラモス・デ・リマ
Renata Fan,レナータ・ファン
Altair Lima,アルタイル・リマ
Rafael Cordeiro,ハファエル・コルデイロ
Rafael Coelho,ラファエル・コエルホ
Marcelo Tas,マルセロ・タス
Marcio de Souza Gregório Júnior,マルシオ・デ・ソウザ・グレゴリオ・ジュニオール
Marco Antonio Alvarez Ferreira,マルコ・アントニオ・アルバレス・フェレイラ
Marcos Galvão,マルコ・ロウロ
Aloysio Nunes,アロイジオ・ヌネス
Joel Bertoti Padilha,ジョエル
Eugênio Gudin Filho,エウヘニオ・グーディン
Francisco Dornelles,フランシスコ・ドルネレス
Francisco das Chagas Santos,フランシスコ・ダス・シャガス・サントス
Marcos Mion,マルコス・マイオン
Assíria Nascimento,アシリア・セイシャス・レモス
Gregório Bondar,グレゴーリオ・ボンダール
Reis (futebolista),レイス
Randas Vilela Batista,ランダス・バチスタ
Yū Kamiya,榎宮祐
Leonardo Gonçalves Silva,レオナルド・ゴンサウヴェス・シウヴァ
Maria Berenice Dias,マリア・ベレニセ・ジアス
Henrique Bernardelli,エンリケ・ベルナルデリ
Marcus Aurélio (lutador),マーカス・アウレリオ
Firmino Monteiro,フィルミーノ・モンテイロ
Francesc Domingo Segura,フランセスク・ドミンゴ
Ricarda Raquel Lima Negrão,リカルダ・リマ
Aloísio de Oliveira,アロイージオ・ヂ・オリヴェイラ
Altair Baffa,アウタイル・バッファ
Rei Zulu,レイ・ズール
Renato Mizoguchi,レナート・ミゾグチ
Marco Aurélio Moreira,マルコ・アウレリオ・モレイラ
Joaquim Xavier Curado,ジョアキン・シャヴィエル・クラド
Aílton Graça,アイルトン・グラーサ
Augusto Severo de Albuquerque Maranhão,アウグスト・セヴェーロ
Marcos Vinícius (lutador),マルコス・ヴィニシウス
Marcos Renan Oliveira Santana,マルコス・ヘナン・オリベイラ・サンターナ
BNegão,ベーネガォン
Maria Luiza Ribeiro Viotti,マリア・ルイザ・リベイロ・ヴィオッティ
Regina Rheda,レジーナ・レーダ
Mariene de Castro,マリエニ・デ・カストロ
Raphael Macena,ハファエル・ドス・サントス・マセナ
Raquel da Silva,ラケル・シルバ
Martha Rocha,マーサ・ロチャ
"João de Deus Mena Barreto, visconde de São Gabriel",ジョアン・デ・デウス・メナ・バレト
Marllon Borges,マーロン・ゴンサルベス
Marcelo Ribeiro (ator),マルセロ・リベイロ
Alê Abreu,アレ・アブレウ
Ricardo Cordeiro da Rocha,リカルド・ロシャ
