Dortmund,多特蒙德
Abtweiler,阿布特韦勒
Röhr (Fluss),勒爾河
Reichszeugmeisterei,国家物资管理局
Kommandantenhaus (Berlin),舊司令部
Ückeritz,于克里茨
Üchtelhausen,于希特尔豪森
Abtswind,阿布茨温德
Burghaslach,布格哈斯拉赫
Frankfurter Bankenviertel,银行区
Bremer Fußball-Verband,不来梅足球协会
Malefinkbach,馬勒芬克巴赫河
Öfnerspitze,厄夫訥峰
Auensee (Kissing),奧恩湖
Tröstau,特勒斯陶
Großer Preis von Deutschland 2005,2005年德国大奖赛
Carl Zeiss (Unternehmen),蔡司公司
Diekholzen,迪克霍尔岑
Ruhr-Universität Bochum,波鴻魯爾大學
Karlsruher Institut für Technologie,卡尔斯鲁厄理工学院
Osram,欧司朗
Hohentengen am Hochrhein,莱茵河上游霍恩滕根
Fußball-Bundesliga 2012/13,2012年至2013年德國足球甲級聯賽
SV Wehen Wiesbaden,韦恩威斯巴登足球俱乐部
Technische Universität Darmstadt,达姆施塔特工业大学
Lanxess Arena,朗盛體育館
Bundesamt für Verfassungsschutz,联邦宪法保卫局
SC Fortuna Köln,福尔图娜科隆
Abzucht (Oker),阿布楚赫特河
Aby-Warburg-Preis,阿比瓦堡獎
Üxheim,于克斯海姆
2. Fußball-Bundesliga 1987/88,1987年至1988年德國足球乙級聯賽
2. Fußball-Bundesliga 1985/86,1985年至1986年德國足球乙級聯賽
Museumsinsel (München),博物館島·(慕尼黑)
2. Fußball-Bundesliga 1984/85,1984年至1985年德國足球乙級聯賽
Freßgass,饕餮胡同
Bundesdruckerei,德国联邦印钞公司
2. Fußball-Bundesliga 1990/91,1990年至1991年德國足球乙級聯賽
Bremische Bürgerschaft,不来梅州议会
ZBW – Leibniz-Informationszentrum Wirtschaft,德国经济学中央图书馆
Sorpe (Röhr),索爾珀河
Henne (Fluss),亨訥河
Schwinge (Elbe),施溫格河
Hertie School,赫尔蒂学院
Igeler Säule,伊格勒柱
Lietzow,利措
Waldkraiburg,瓦尔德克赖堡
Nesse-Apfelstädt,内瑟-阿普弗尔施泰特
Glasbach (Wupper),格拉斯巴赫河
Kirchheim am Ries,里斯地区基希海姆
Berggächtle,伯蓋赫特勒山
Straße des 17. Juni,六月十七日大街
Drepte,德雷普特河
Oberweißbach/Thüringer Wald,奥伯韦斯巴赫
Inning am Ammersee,阿默湖畔因宁
Bad Neustadt an der Saale,萨勒河畔巴特诺伊施塔特
Lüneburger Heide,呂訥堡石楠草原
Eisbach (Rhein),艾斯巴赫河
Wildengundkopf,維爾登貢德山
Ruppiner See,魯平湖
Häuslingen,霍伊斯林根
Palais Thurn und Taxis,图恩与塔克西斯宫
Langeln (Nordharz),朗格尔恩
Maxsain,马克斯赛恩
Badminton-Europameisterschaft 1968,1968年歐洲羽毛球錦標賽
Schweriner See,什未林湖
Eging am See,湖畔埃京
Schänzlespitze,申茨萊峰
Lahnerkopf (Allgäuer Alpen),拉訥山
Rathaus Köln,科隆市政厅
Nivea,妮维雅
Polsingen,波尔辛根
Sattelkopf (Allgäuer Alpen),薩特爾山·(阿爾高阿爾卑斯山脈)
Friedrich-Naumann-Stiftung für die Freiheit,腓特烈·瑙曼基金會
Uckermark,乌克马克
Cremlingen,克雷姆林根
Hunsrück,洪斯吕克山
St. Martin (Bingen),圣玛尔定圣殿·(宾根)
Kunstmuseum Stuttgart,斯图加特艺术博物馆
Katharinenkirche (Lübeck),圣凯瑟琳教堂·(吕贝克)
Wilhelmspalais,威廉宫
DR-Baureihe 45,德意志国铁路45型蒸汽机车
Dom St. Petri (Bautzen),圣彼得主教座堂·(包岑)
Metropolregion Mitteldeutschland,萨克森三角城市群
2. Fußball-Bundesliga 1982/83,1982年至1983年德國足球乙級聯賽
2. Fußball-Bundesliga 1992/93,1992年至1993年德國足球乙級聯賽
Deutscher Olympischer Sportbund,德國奧林匹克體育同盟
Pilz (Unternehmen),皮爾磁
Rodenbek,罗登贝克
Genthin,根廷
Weiterstadt,魏特施塔特
Bernstadt (Alb),贝恩施塔特
Schnellfahrstrecke Köln–Rhein/Main,科隆—莱茵／美因高速铁路
Laudert,劳德尔特
Otterfing,奥特芬
Altendiez,旧迪茨
Kastenkopf,卡斯滕山
Farnstädt,法恩施泰特
Deutsches Elektronen-Synchrotron,德國電子加速器
Warnemünde,瓦尔讷明德
Fußballer des Jahres (Deutschland),德國足球先生
WTA Stuttgart,保時捷網球大獎賽
Penny Markt,佩妮超市
Oberelsbach,上埃尔斯巴赫
Wern,韋恩河
St. Maria in Lyskirchen,利斯基爾亨聖瑪利亞教堂
Hochschule Darmstadt,達姆斯塔特應用科技大學
Bobenthal,博本塔尔
Driedorf,德里多夫
Bahnhof Geltendorf,盖尔滕多夫站
VfL Wolfsburg (Frauenfußball),沃爾夫斯堡女子足球俱樂部
Baruth/Mark,巴鲁特
Vogelkarspitze,沃格爾卡爾峰
Drewitzer See,德雷維茨湖
Kommunistische Partei Deutschlands/Marxisten-Leninisten,德国共产党/马列
Schloss Elmau,艾爾莫城堡
Tollensesee,托倫瑟湖
Fürstenberg/Havel,菲尔斯滕贝格
Dreisamstadion,德赖萨姆体育场
Helmholtz-Zentrum für Ozeanforschung Kiel,基尔亥姆霍兹海洋研究中心
Fußball-Regionalliga Bayern,巴伐利亚足球地区联赛
Achstetten,阿赫施泰滕
Achtelsbach,阿赫特尔斯巴赫
Achterdieksee,阿赫特迪克湖
Acht (Eifel),阿赫特
Fußball-Oberliga Schleswig-Holstein,石勒苏益格-荷尔斯泰因足球联赛
Erdfunkstelle Raisting,赖斯廷卫星地面站
Achtersee (Süsel),阿赫特湖
Achterwehr,阿赫特韦尔
Baunach (Fluss),鮑納赫河
Achtrup,阿赫特鲁普
Kasbach-Ohlenberg,卡斯巴赫-奥伦贝格
Obersalzberg,上盐山
Sauensiek,绍恩西克
Römerbrücke (Trier),罗马桥·(特里尔)
Oerlenbach,厄伦巴赫
Kaufering,考弗灵
Petrikirche (Rostock),聖彼得教堂·(羅斯托克)
Olympische Sommerspiele 1972/Wasserball,1972年夏季奧林匹克運動會水球比賽
Infineon,英飞凌科技
Romantische Straße,浪漫之路
Mittlere Aurach,中奧拉赫河
Bigge (Fluss),比格河
Deutsche Industrie- und Handelskammer,德国工商总会
Schwarzach (Main),施瓦察赫河·(美因河支流)
Deilbach,代爾巴赫河
Assmannshausen,阿斯曼斯豪森
Bertelsmann Stiftung,贝塔斯曼基金会
Heiligen-Geist-Hospital (Lübeck),圣灵医院·(吕贝克)
Bschießer,布施瑟山
Ponten (Berg),蓬滕山
Tellig,泰利希
Lucka,卢卡·(德国)
Berka/Werra,贝尔卡
Spalt,施帕尔特
KZ Neuengamme,诺因加默集中营
Condor Flugdienst,神鹰航空
Europapokal der Pokalsieger 1980/81,1980–81年歐洲盃賽冠軍盃
Beethovenfest,贝多芬音乐节
Ruchenköpfe,魯亨山
Deutsche Arbeitsfront,德意志劳工阵线
Hochschule für Musik und Darstellende Kunst Frankfurt am Main,法兰克福音乐与表演艺术学院
Wolgadeutsche,伏尔加德意志人
Berchtesgadener Hochthron,貝希特斯加登霍赫山
Soligor,秀丽
Schloss Rheinsberg,萊茵斯貝格宮
Breitbach (Main),布賴特巴赫河·(美因河支流)
Königsseer Ache,柯尼希阿赫河
Fußball-Oberliga Niedersachsen,下萨克森足球高级联赛
Fußball-Oberliga Hamburg,汉堡足球高级联赛
Berlin-Zehlendorf,采伦多夫
Elpe (Fluss),埃爾佩河
DFB-Ligapokal 2000,2000年德國聯賽盃
Veischede,法伊舍德河
DFB-Ligapokal 2002,2002年德國聯賽盃
DFB-Ligapokal 2004,2004年德國聯賽盃
DFB-Ligapokal 2001,2001年德國聯賽盃
Glems (Fluss),格萊姆斯河
Unterroth,下罗特
Knorr (Lebensmittelhersteller),家樂牌
Senserbach,森瑟巴赫河
Bahnhof München Heimeranplatz,慕尼黑海梅兰广场车站
Kronach (Haßlach),克羅納赫河
Nethe,內特河·(威悉河支流)
Steinach (Rodach),施泰納赫河·(羅德巴赫河支流)
Neues Rathaus (Wiesbaden),威斯巴登新市政厅
Eulenbis,奥伊伦比斯
Mönchenholzhausen,门兴霍尔茨豪森
Bahnhof Frankfurt (Main) Süd,法兰克福南站
Haßlach (Fluss),哈斯拉赫河
Bingen am Rhein,莱茵河畔宾根
Riesbürg,里斯比格
Schlinge (Fluss),施林格河
Valme,法爾默河
Erpe (Spree),埃佩河
Aquarium Berlin,柏林水族館
Olympische Sommerspiele 1936/Fußball,1936年夏季奥林匹克运动会足球比赛
Sat.1,Sat.1
Adenstedt,阿登施泰特
Wondreb (Fluss),翁德雷布河
Hallbergmoos,哈尔贝格莫斯
Petersberg (Hessen),彼得斯贝格·(黑森州)
1. FC Frankfurt,法蘭克福第一足球會
Kleine Schmalenau,小施馬萊瑙河
Gigaset Communications,集怡嘉
Hochschule für Musik und Theater „Felix Mendelssohn Bartholdy“ Leipzig,萊比錫孟德爾頌音樂戲劇學院
Fujitsu Siemens Computers,富士通西门子
Staatsoper Unter den Linden,柏林國立歌劇院
Stolpersteine,绊脚石·(艺术项目)
Trebel,特雷伯爾河
Waldthurn,瓦尔德图恩
Adelmannsfelden,阿德尔曼斯费尔登
Bundesbehörde (Deutschland),德国联邦机构
Our,乌尔河
Damenstiftskirche (München),修女院教堂·(慕尼黑)
St. Anna im Lehel,莱赫尔圣安妮堂
Wernersberg,韦讷斯贝格
Erlensee,埃伦塞
Massower See,馬索湖
Deutsche Presse-Agentur,德新社
The Document Foundation,文檔基金會
Breitungen/Werra,布赖通根
Autobahn (Deutschland),德國高速公路
Berlin-Schöneberg,舍讷贝格
Berlin-Prenzlauer Berg,普伦茨劳尔贝格
Kunsthalle Düsseldorf,杜塞爾多夫美術館
Deutsch-polnischer Nachbarschaftsvertrag,德波睦鄰條約
Internationaler Robert-Schumann-Wettbewerb für Klavier und Gesang,罗伯特·舒曼国际钢琴家和歌手比赛
Reichspräsidentenwahl 1919,1919年德国总统选举
Deutsche Fußballnationalmannschaft (U-19-Junioren),德国19岁以下国家足球队
St. Viktor (Dülmen),聖維克多教堂
Nationalparks in Deutschland,德国国家公园列表
Adelebsen,阿德莱布森
Adelheidsdorf,阿德尔海茨多夫
Europastraße 35,欧洲E35公路
Adelschlag,阿德尔施拉格
Eisenbahnunfall von Eschede,艾雪德列車出軌事故
Adelsheim,阿德尔斯海姆
Adelsdorf,阿德尔斯多夫
Piethen,皮滕·(南安哈尔特)
Flarchheim,弗拉希海姆
Wesendorf,韦森多夫
Liebenscheid,利本沙伊德
Rabenau (Hessen),拉伯瑙·(黑森州)
East Side Gallery,东边画廊
Flughafen Dortmund,多特蒙德机场
Malteser International,馬爾特瑟國際
Schwielowsee,施維洛湖
Otto-Mathilden-Kreuz,奧托和瑪蒂爾德十字架
Deutsche Eishockeynationalmannschaft,德國男子冰球代表隊
Bahnhof Bruchsal,布鲁萨尔车站
Bundesregierung (Deutschland),德国内阁
WTA Berlin,德國公開賽
Europastraße 55,欧洲E55公路
AbeBooks,AbeBooks
Hamburg Summit: China meets Europe,汉堡峰会
DFB-Ligapokal 1999,1999年德國聯賽盃
St. Andreas (Hildesheim),聖安德烈教堂·(希爾德斯海姆)
Beethoven-Haus,貝多芬之家
Techelsdorf,泰谢尔斯多夫
Heuthen,霍伊滕
Fußball-Mittelrheinliga,中莱茵足球联赛
U-Bahnhof Dülferstraße,迪尔费尔大街站
Museum Europäischer Kulturen,歐洲文化博物館
DFB-Ligapokal 2003,2003年德國聯賽盃
DFL-Ligapokal 2005,2005年德國聯賽盃
Untere Argen,下阿根河
Mainhattan,美因哈頓
Cottbus Hauptbahnhof,科特布斯中央車站
SV Lippstadt 08,利普施塔特08
Oese (Hönne),厄瑟河
Adendorf,阿登多夫
Adelsried,阿德尔斯里德
Adenbach,阿登巴赫
Adenbüttel,阿登比特尔
Sebamed,施巴科研中心
Fritz-Walter-Medaille,弗里茨·瓦尔特奖
Flugtagunglück von Ramstein,拉姆施泰因航展事故
U-Bahnhof Universität (München),大学站·(慕尼黑地铁)
Bahnstrecke Buchloe–Lindau,阿尔高铁路·(巴伐利亚)
Kunstmuseum Bonn,波恩藝術博物館
Telefunken,德律風根
Obere Argen,上阿根河
Tübingen Hauptbahnhof,蒂宾根火车总站
Tamron,腾龙
Braunschweig Hauptbahnhof,不伦瑞克火车总站
Obersee (Bodensee),奥伯湖·(博登湖)
Abens,阿本斯河
St. Johannis (Lüneburg),聖約翰教堂·(呂訥堡)
Belvedere (Weimar),美景宫·(魏玛)
S-Bahn Mitteldeutschland,中德城市快鐵
Breslau-Elf,布雷斯劳十一人
City Night Line,城市夜线
Großer Stechlinsee,大施泰希林湖
Dieffenbacher (Unternehmensgruppe),迪芬巴赫
TUI Cruises,途易邮轮
Jefferies Group,杰富瑞
Admannshagen-Bargeshagen,阿德曼斯哈根-巴尔格斯哈根
Sommer-Paralympics 2008/Teilnehmer (Deutschland),2008年夏季殘疾人奧林匹克運動會德國代表團
Ahlstädt,阿尔施泰特·(图林根州)
Berlin-Tempelhof,滕珀爾霍夫
Ahlsdorf,阿尔斯多夫
Fuldaer Dom,聖救主主教座堂·(富爾達)
St. Sebald (Nürnberg),圣塞巴都堂·(纽伦堡)
Europastraße 40,欧洲E40公路
Standenbühl,施坦登比尔
Aichelberg (Landkreis Göppingen),艾谢尔贝格
HUS-Epidemie 2011,2011年O104:H4型大腸桿菌疫情
Schlacht um Aachen,亞琛戰役
Railjet (Zuggattung),锐捷列车
Ahse,阿瑟河
Schmidthachenbach,施密特哈亨巴赫
Bibliographisches Institut,文献学研究所
Liste der politischen Parteien in Deutschland,德国政党列表
Neoplan,尼奥普兰
Deutscher Wetterdienst,德國氣象局
Bundespatentgericht (Deutschland),德国联邦专利法院
Regierungsbezirk Kleve,克萊沃行政區
Ahnatal,阿纳塔尔
Abentheuer,阿本托伊尔
Pfalz (Region),普法爾茨地區
Ahrensfelde,阿伦斯费尔德
Adolfosee,阿多爾福湖
Interregio-Express,区际快车
Ahre,阿勒河·(北萊茵-威斯特法倫州)
Ahnsen,安森·(下萨克森州)
Taschen (Verlag),塔森出版社
Longkamp,隆坎普
Ahornbüchsenkopf,阿霍恩比赫森山
Ollendorf,奥伦多夫
Ahnsbeck,安斯贝克
Ahneby,阿讷比
Leaves’ Eyes,枯葉之眼
Stiftung Universität Hildesheim,希尔德斯海姆大学
Frankfurter Rundschau,法蘭克福評論報
Tessin (bei Rostock),泰辛·(梅克伦堡-前波美拉尼亚州)
Rodau (Wiedau),羅道河
Universität Witten/Herdecke,維藤/海德克大學
Tränenpalast,淚宮
Nister (Sieg),尼斯特河
Motzstraße,莫茨大街
U-Bahnhof Obersendling,上森德灵站
German Airways,西德空中广告航空
Schmidt %26 Bender,施密特-本德爾
Nightexpress,晚間快運航空
Bahnstrecke München–Augsburg,慕尼黑—奥格斯堡铁路
2. Fußball-Bundesliga 1976/77,1976年至1977年德國足球乙級聯賽
Fürth (Bayern) Hauptbahnhof,菲尔特火车总站
2. Fußball-Bundesliga 1977/78,1977年至1978年德国足球乙级联赛
Heubach,霍伊巴赫
Morlautern,莫尔劳滕
Leimbach (Rhein),萊姆巴赫河
Nagel (Fichtelgebirge),纳格尔
Kampen (Berg),坎彭山
Flurstedt,弗卢尔斯特
Lehnstedt,伦施泰特
Süderhackstedt,南哈克施泰特
Ahrenshöft,阿伦斯赫夫特
Ahrenviöl,阿伦维厄尔
Ahrensbök,阿伦斯伯克
Ahrenshoop,阿伦斯霍普
Ahrenshagen-Daskow,阿伦斯哈根-达斯科
Ahrensee,阿倫湖
Sude,蘇德河
DENIC,DENIC
Twiste (Diemel),特維斯特河·(迪默爾河支流)
Europastraße 28,欧洲E28公路
Asics,亞瑟士
Mahle Behr,德国贝洱
Demografie Deutschlands,德國人口
Friede von Aachen (1668),1668年亚琛条约
Schwäbische Dialekte,施瓦本方言
Heidelberger Schloss,海德堡城堡
Freie Wähler (Partei),自由選民
Scharsee,沙爾湖·(普倫縣)
Untersberg,溫特斯貝格山
Schlöben,施勒本
Vordorf,福尔多夫
Fußball-Bundesliga 2003/04,2003年至2004年德国足球甲级联赛
Bickenbach (Bergstraße),比肯巴赫
Aidlingen,艾德林根
Aidhausen,艾德豪森
Aichstetten,艾希施泰滕
Vils (Naab),菲爾斯河·(納布河)
Partenstein,帕滕施泰因
Technische Hochschule Mittelhessen,中黑森應用科學大學
Hochschule Heilbronn,海尔布隆大学
Flugplatz Wiesbaden-Erbenheim,卢修斯·克莱营
Großer Eutiner See,大奧伊廷湖
Studentenwerk,大学生服务中心
Bosch Rexroth,力士乐
Deutsche Fußballnationalmannschaft (U-21-Männer),德國21歲以下國家足球隊
Bahnstrecke Berlin–Halle,柏林—哈勒鐵路
PSD Bank Arena,PSD银行竞技场
Ailertchen,艾勒特兴
Breunigweiler,布罗伊尼希韦勒
Groß Pankow (Prignitz),大潘科
Udestedt,乌德施泰特
Festung Marienberg,玛利亚堡
Fußball-Weltmeisterschaft 2006/Gruppe D,2006年國際足協世界盃D組
Leibi,萊比河
Sparrenburg,斯帕伦贝格城堡
Habichtswälder Bergland,哈比希茨瓦尔德
Stralsund Hauptbahnhof,施特拉爾松德火車總站
Fußball-Weltmeisterschaft 2006/Gruppe F,2006年國際足協世界盃F組
Molzhain,莫尔茨海恩
Starzach,施塔察赫
Museum für Asiatische Kunst (Berlin),亚洲艺术博物馆·(柏林)
Littfe,利特費河
Akademie der Bildenden Künste München,慕尼黑美术学院
Bahnhof München-Neuperlach Süd,慕尼黑-新佩拉赫南站
Garnisonkirche St. Martin,圣马丁驻军教堂
Osterode am Harz,哈茨山麓奥斯特罗德
Bahnhof Göttingen,哥廷根车站
Alvensleben (Adelsgeschlecht),阿爾文斯萊本家族
Fußball-Weltmeisterschaft 2006/Gruppe G,2006年國際足協世界盃G組
Sixtinische Madonna,西斯廷聖母
Revolutionär Sozialistischer Bund/Vierte Internationale,革命社会主义联盟
Baarbach,巴爾巴赫河
Funtensee,豐滕湖
Internationaler Musikwettbewerb der ARD,ARD慕尼黑國際音樂大賽
Tannhausen,坦豪森
St. Martin (Amberg),圣玛尔定圣殿·(安贝格)
Rettert,雷特尔特
Norderheistedt,北海施泰特
Aixtron,爱思强
Straßenbahn Frankfurt am Main,美因河畔法蘭克福電車
Römische Bäder (Potsdam),羅馬浴場·(波茨坦)
Hoppenrade,霍彭拉德
Hambühren,汉比伦
Dobbin-Linstow,多宾-林斯托
Lechbruck am See,滨湖莱希布鲁克
Sagter Ems,薩格特埃姆斯河
Niedersächsische Akademie der Wissenschaften zu Göttingen,哥廷根科学院
Akademie der Künste (Berlin),柏林艺术学院
Akademie für Tonkunst (Darmstadt),公立达姆施塔特音乐艺术学院
German Open (Badminton),德國羽毛球公開賽
Neuhausen ob Eck,埃克高地诺伊豪森
Aindlinger Baggersee,艾恩德靈巴格湖
Ailsbach (Püttlach),艾爾斯巴赫河·(皮特拉赫河支流)
Ainring,艾恩灵
Doberlug-Kirchhain,多伯卢格-基希海恩
Neuhaus am Rennweg,伦韦格地区诺伊豪斯
Alexanderplatz-Demonstration,亞歷山大廣場示威
Porsche-Museum,保時捷博物館
Berlin-Tiergarten,蒂尔加滕
Erdbeben von Roermond 1992,1992年魯爾蒙德地震
Fleißenbach,弗萊森巴赫河
Fußball-Bundesliga 2004/05,2004年至2005年德国足球甲级联赛
Russische Kapelle (Darmstadt),达姆施塔特俄国小堂
Eiter (Weser),艾特河
Worms Hauptbahnhof,沃尔姆斯火车总站
Geißhorn,蓋斯山
Biber (Donau),比伯河
Halle (Saale) Hauptbahnhof,哈勒火车总站
Weismain (Fluss),魏斯美因河
Aitrach (Iller),艾特拉赫河·(伊勒河)
Aitrang,艾特朗
Aitrach,艾特拉赫
Darmstädter Künstlerkolonie Mathildenhöhe,达姆施塔特艺术家村
Neukirch (Bodenseekreis),诺伊基希·(巴登-符腾堡州)
Armsheim,阿姆斯海姆
Frankfurt am Main Flughafen Fernbahnhof,法兰克福机场长途车站
Ehningen,埃宁根
Grenzaa,格倫察河
Waginger See,瓦京湖
Stever,施泰沃河
Estergebirge,埃斯特爾山脈
St. Salvator (München),救主堂·(慕尼黑)
Flugplatz Augsburg,奧格斯堡機場
Fußball-Weltmeisterschaft 2006/Gruppe C,2006年國際足協世界盃C組
Fußball-Weltmeisterschaft 2006/Gruppe E,2006年國際足協世界盃E組
Spornitz,施波尔尼茨
Bälau,贝劳
Sierksrade,锡尔克斯拉德
Eberfing,埃伯芬
Heidenau (Nordheide),海德瑙·(下薩克森)
Enspel,恩斯珀尔
Air Hamburg,汉堡航空
Aisch,艾施河·(雷格尼茨河支流)
Aiterhofen,艾特霍芬
Aufseß (Fluss),奧夫塞斯河
Frankenbahn,法蘭克尼亞鐵路
Bahnstrecke Berlin–Magdeburg,柏林—馬格德堡鐵路
Bistum Worms,沃尔姆斯采邑主教区
Maurine,毛里訥河
Ramme (Fluss),拉默河
Martinstor,马丁门
Hellbach (Emscher),黑爾巴赫河·(埃姆舍爾河支流)
Wieste (Fluss),維斯特河
Waldbach (Gürzenicher Bach),瓦爾德巴赫河·(北萊茵-威斯特法倫州)
Flughafen München-Riem,慕尼黑-里姆机场
Althengstett,旧亨施泰特
Aken (Elbe),易北河畔阿肯
Gischow,吉绍
Schmorda,施莫尔达
Niemetal,尼默塔尔
Kaltennordheim,卡尔滕诺德海姆
Akademie gemeinnütziger Wissenschaften zu Erfurt,埃尔福特科学院
Richard-Wagner-Festspielhaus,拜罗伊特节日剧院
Entartete Kunst (Ausstellung),頹廢藝術展
Haus der Geschichte,聯邦德國歷史博物館
Nebel (Fluss),內貝爾河
Silbernes Lorbeerblatt,银月桂叶
Maschsee,馬斯湖
Afghanisches Museum Hamburg,阿富汗博物館
Fußball-Weltmeisterschaft 2006/Gruppe A,2006年國際足協世界盃A組
Preußische Akademie der Wissenschaften,普鲁士科学院
Bundesverband der Deutschen Industrie,德国工业联合会
Liste deutscher U-Boote (1906–1919),德意志帝国海军潜艇列表
Kettler (Unternehmen),克特勒
Liederbach am Taunus,陶努斯山麓利德巴赫
"Akkreditierungs-, Certifizierungs- und Qualitätssicherungs-Institut",認證和質量保證協會
Wega (Unternehmen),貴翔
Altenholz,阿尔滕霍尔茨
Gräfenhainichen,格雷芬海尼兴
Turn-Weltmeisterschaften 2007,2007年世界競技體操錦標賽
Schlacht bei Großgörschen,呂岑戰役·(1813年)
Bessenbach,贝森巴赫
Abrocksbach,阿布羅克斯巴赫河
Schellenbeck,謝倫貝克河
Übereisenbach,于伯艾森巴赫
Plech,普莱希
Sonneborn (Nuhne),松訥博恩河
Haynrode,海恩罗德
Ilse (Oker),伊爾瑟河
Bildergalerie (Sanssouci),無憂宮畫廊
Telemax,Telemax塔
Altenmoor,阿尔滕莫尔
Altenmedingen,旧梅丁根
Altenmünster,舊明斯特·(巴伐利亞)
Bogenhausen (Stadtbezirk),博根豪森·(慕尼黑市辖区)
Bezirk Lichtenberg,利希滕贝格
Altenkunstadt,旧昆施塔特
Altenkrempe,旧克伦珀
Ortenau,奧特瑙
Kirchensittenbach,基兴西滕巴赫
Schönau (Pfalz),舍瑙
Liste der Hochschulen in Deutschland,德国大学列表
Tour de France 2006,2006年环法自行车赛
Absberg,阿布斯贝格
Konzell,孔采尔
Wintrich,温特里希
Ruhrstadion,福诺菲亚鲁尔体育场
Hardegsen,哈尔德格森
Altenpleen,旧普伦
Achern,阿赫恩
Amöneburg,阿默讷堡
Ehemalige Hauptkirche St. Nikolai (Hamburg),圣尼古拉教堂·(汉堡)
Sankt Margarethen (Holstein),圣玛格丽滕
Nienhagen (Landkreis Celle),宁哈根·(下萨克森州)
Fischbach bei Dahn,达恩附近菲施巴赫
Berschweiler bei Kirn,基恩附近贝尔施韦勒
Rinnthal,林塔尔·(莱茵兰-普法尔茨州)
Bruchweiler,布鲁赫韦勒
Drahnsdorf,德拉恩斯多夫
Heilsbronn,海尔斯布龙
Stadtsteinach,施塔特施泰纳赫
Niedernhausen,尼登豪森
Bega (Werre),貝加河
Sowjetische Militäradministration in Deutschland,驻德苏联军事管理委员会
Hessisches Landesmuseum Darmstadt,黑森州立博物馆
Ampersee,安珀湖
DB Fernverkehr,德铁长途运输
Alter Dorfsee,舊多夫湖
Pettstadt,佩特施塔特
Ampfrach,安普弗拉赫河
Gutenberg-Museum,古腾堡博物馆
Todesfelde,托德斯费尔德
Amphitheater (Trier),特里爾圓形劇場
Überlinger See,于伯林根湖
Überherrn,于伯黑恩
Marnerdeich,马尔讷代希
Bad Freienwalde (Oder),巴特弗赖恩瓦尔德
Hecklingen,黑克林根
Borsfleth,博斯弗莱特
Überlingen,于伯林根
Abstatt,阿布施塔特
Parkstein,帕克施泰因
Bad Herrenalb,巴特黑伦阿尔布
Bad Bergzabern,巴特贝格察本
Hochstadt (Pfalz),霍赫施塔特·(莱茵兰-普法尔茨)
Lassan,拉桑
Upgant-Schott,乌普甘特-绍特
Megesheim,梅格斯海姆
Wasserthaleben,瓦瑟塔莱本
Iggensbach,伊根斯巴赫
Rathaus Bochum,波鸿市政厅
Altenstadt (Hessen),阿尔滕施塔特·(黑森)
Altenstadt (Iller),阿尔滕施塔特·(施瓦本)
Altenstadt (Oberbayern),阿尔滕施塔特·(上巴伐利亚)
Metropolregion Stuttgart,斯圖加特大都市區
Altenthann (Oberpfalz),阿尔滕坦
Beke (Warnow),貝克河·(瓦爾諾河支流)
Hoppegarten,霍珀加滕
Jakobikirche (Lübeck),圣雅各教堂·(吕贝克)
Ensdorf (Saar),恩斯多夫·(萨尔兰州)
Biblis,比布利斯
Piesport,皮斯波特
Henau (Hunsrück),黑瑙
Grob G 120A,G·120教練機
Borstel (Landkreis Diepholz),博斯特尔·(下萨克森州)
Antrifttal,安特里夫塔尔
Konstanzer Münster,康斯坦茨大教堂
Eulgem,奥伊尔格姆
Operation Gold,黄金行动
Hohenlockstedt,霍恩洛克施泰特
Rodach (Main),羅德巴赫河
Geeste (Fluss),蓋斯特河
Bahnhof Neumünster,新明斯特車站
Familien-Partei Deutschlands,德国家庭党
DR-Baureihe V 180,德国国营铁路V180型柴油机车
Kirnitzsch,基爾尼奇河
Freundeskreis Reichsführer SS,经济友人圈
Falkenfels,法尔肯费尔斯
Habighorst,哈比希霍斯特
Leuterod,洛伊特罗德
Nußbach (Pfalz),努斯巴赫
Kastorf,卡斯托夫
Oberbösa,上伯萨
Ilsede,伊尔瑟德
Heuneburg,休訥堡
Berlin-Britz,布里茨
Alter Markt (Potsdam),老集市廣場·(波茨坦)
Alter Markt (Bielefeld),比勒费尔德旧市场
U-Bahnhof Osthafen,施特拉劳尔门站
Kleiner Wannsee,小萬湖
Hochschule Fulda,富尔达应用科学大学
Partnachklamm,帕特纳赫峡谷
Prims,普里姆斯河
Kellersee,凱爾湖
Sassenburg,萨森堡
Badminton-Europameisterschaft 1982,1982年歐洲羽毛球錦標賽
Erfurt Hauptbahnhof,埃尔福特火车总站
Koreaner in Deutschland,韓裔德國人
Bremen-Liga,不来梅足球联赛
Bahnhof Frankfurt (Main) Mühlberg,米尔山站
Ufa-Kristallpalast,UFA水晶宮電影院
Rövershagen,勒沃斯哈根
Bahnhof Berlin Südkreuz,柏林南十字车站
Frielendorf,弗里伦多夫
Neubörger,新伯格
Langballig,朗巴利希
Gusenburg,古森堡
Russisch-Orthodoxe Kapelle (Weimar),魏玛东正教堂
Bochum Hauptbahnhof,波鸿火车总站
Bad König,巴特柯尼希
Mittelneufnach,米特尔诺伊夫纳赫
Wankendorf,万肯多夫
Adtranz,Adtranz
Schlotheim,施洛特海姆
DR-Baureihe 243,德国国营铁路243型电力机车
Emerkingen,埃默京根
Bad Kohlgrub,巴特科尔格鲁布
Hochscheid,霍赫沙伊德
Meddewade,梅德瓦德
