Județul Alba,阿爾巴縣
"Comuna Ungra, Brașov",溫格拉鄉
"Comuna Moacșa, Covasna",莫阿克沙鄉
"Comuna Hărman, Brașov",赫爾曼鄉
"Comuna Vulcan, Brașov",武爾坎鄉·(布拉索夫縣)
"Comuna Apostolache, Prahova",阿波斯托拉凱鄉
"Comuna Tulucești, Galați",圖盧切什蒂鄉
"Săbăreni, Giurgiu",瑟伯雷尼鄉
"Comuna Priponești, Galați",普里波內什蒂鄉
"Comuna Sălcioara, Ialomița",瑟爾喬阿拉鄉·(雅洛米察縣)
"Afumați, Ilfov",阿富馬齊鄉·(伊爾福夫縣)
"Comuna Stâlpeni, Argeș",斯特爾佩尼鄉
"Comuna Sălătrucel, Vâlcea",瑟勒特魯切爾鄉
"Comuna Crăiești, Mureș",克勒耶什蒂鄉
Aeroportul Internațional Traian Vuia Timișoara,蒂米什瓦拉國際機場
"Comuna Finta, Dâmbovița",芬塔鄉·(登博維察縣)
Partidul Socialist Român,罗马尼亚社会党
Catedrala Mântuirii Neamului,人民救恩主教座堂
Aeroportul Internațional Iași,雅西國際機場
"Comuna Sinești, Ialomița",錫內什蒂鄉·(雅洛米察縣)
"Comuna Scânteiești, Galați",斯肯泰耶什蒂鄉
"Comuna Platonești, Ialomița",普拉托內什蒂鄉
"Sărățeni, Ialomița",瑟勒采尼鄉·(雅洛米察縣)
"Comuna Cosâmbești, Ialomița",科聖貝什蒂鄉
"Comuna Scânteia, Ialomița",斯肯泰亞鄉·(雅洛米察縣)
"Comuna Sfântu Gheorghe, Ialomița",聖格奧爾基鄉·(雅洛米察縣)
"Comuna Optași-Măgura, Olt",奧普塔希-默古拉鄉
"Comuna Bărăști, Olt",伯勒什蒂鄉
"Comuna Sâmburești, Olt",森布雷什蒂鄉
"Comuna Brănești, Dâmbovița",布勒內什蒂鄉·(登博維察縣)
"Comuna Milcov, Olt",米爾科夫鄉·(奧爾特縣)
"Comuna Fitionești, Vrancea",菲蒂奧內什蒂鄉
"Comuna Homocea, Vrancea",霍莫恰鄉
"Comuna Dumbrăveni, Vrancea",敦布勒韋尼鄉·(弗朗恰縣)
Linia M3 a metroului din București,布加勒斯特地鐵3號線
"Comuna Beceni, Buzău",貝切尼鄉
Râul Suceava,蘇恰瓦河
Senatul României,罗马尼亚参议院
"Comuna Nucșoara, Argeș",努克什瓦拉鄉
"Comuna Vădăstrița, Olt",沃德斯特里察鄉
Universitatea Națională de Arte București,布加勒斯特国立艺术大学
"Comuna Tunari, Ilfov",圖納里鄉
Turcii din România,羅馬尼亞的土耳其人
"Comuna Văcărești, Dâmbovița",沃克雷什蒂鄉·(登博維察縣)
"Comuna Roșiori, Brăila",羅肖里鄉·(布勒伊拉縣)
Templul Coral din București,布加勒斯特猶太會堂
"Comuna Dragodana, Dâmbovița",德拉戈達納鄉
Sinagoga Mare din Iași,大猶太會堂·(雅西)
Universitatea de Medicină și Farmacie „Grigore T. Popa” din Iași,雅西医药大学
"Comuna Păușești-Măglași, Vâlcea",珀烏謝什蒂-默格拉希鄉
"Comuna Sălătrucu, Argeș",瑟勒特魯庫鄉
"Comuna Câineni, Vâlcea",克伊內尼鄉
Închisoarea Doftana,多夫塔纳监狱
"Comuna Poiana, Dâmbovița",波亞納鄉·(登博維察縣)
"Comuna Rebrișoara, Bistrița-Năsăud",雷布里什瓦拉鄉
Nat Geo People,國家地理悠人頻道
"Comuna Boghești, Vrancea",博蓋什蒂鄉
"Comuna Voicești, Vâlcea",沃伊切什蒂鄉
"Comuna Păulești, Vrancea",珀烏萊什蒂鄉·(弗朗恰縣)
Palatul Mogoșoaia,莫戈什瓦亞宮
"Comuna Bolotești, Vrancea",博洛泰什蒂鄉
"Comuna Broșteni, Vrancea",布羅什泰尼鄉·(弗朗恰縣)
"Comuna Vrâncioaia, Vrancea",弗倫喬阿亞鄉
"Comuna Strejești, Olt",斯特雷熱什蒂鄉
"Comuna Scorțeni, Prahova",斯科爾采尼鄉·(普拉霍瓦縣)
"Comuna Padeș, Gorj",帕代什鄉
"Comuna Vișina, Olt",維希納鄉·(奧爾特縣)
"Comuna Stoicănești, Olt",斯托伊克內什蒂鄉
"Comuna Odobești, Dâmbovița",奧多貝什蒂鄉·(登博維察縣)
Palatul Culturii din Iași,雅西文化宮
"Comuna Mihai Eminescu, Botoșani",米哈伊埃米內斯庫鄉·(博托沙尼縣)
"Comuna Filipești, Bacău",菲利佩什蒂鄉
Templul Unirea Sfântă din București,猶太人博物館·(布加勒斯特)
1 Decembrie 1918 (stație de metrou),1918年12月1日站
"Comuna Alțina, Sibiu",阿爾策納鄉
"Comuna Giulești, Maramureș",久萊什蒂鄉·(馬拉穆列什縣)
Universitatea „Alexandru Ioan Cuza” din Iași,亞歷山德魯伊萬庫扎大學
"Comuna Crișcior, Hunedoara",克里什喬爾鄉
"Comuna Mănăstirea Cașin, Bacău",默訥斯蒂雷亞卡欣鄉
"Comuna Săpata, Argeș",瑟帕塔鄉
"Comuna Berzunți, Bacău",貝爾尊蒂鄉
Catedrala Patriarhală din București,羅馬尼亞正教會大主教座堂
"Comuna Corbasca, Bacău",科爾巴斯卡鄉
"Comuna Dichiseni, Călărași",迪基塞尼鄉
"Comuna Măgirești, Bacău",默吉雷什蒂鄉
"Comuna Ulmu, Brăila",烏爾穆鄉·(布勒伊拉縣)
"Comuna Mircea Vodă, Brăila",米爾恰大公鄉·(布勒伊拉縣)
"Comuna Valea Iașului, Argeș",雅西鄉
"Comuna Cătina, Buzău",克蒂納鄉·(布澤烏縣)
"Comuna Hemeiuș, Bacău",海梅尤什鄉
"Comuna Drăganu, Argeș",德勒加努鄉
"Comuna Gherăseni, Buzău",蓋勒塞尼鄉
"Comuna Chiliile, Buzău",基利萊鄉
"Comuna C.A. Rosetti, Buzău",C.A.羅塞蒂鄉·(布澤烏縣)
"Comuna Balta Albă, Buzău",巴爾塔阿爾伯鄉·(布澤烏縣)
"Comuna Cireșu, Brăila",錫雷舒鄉·(布勒伊拉縣)
"Comuna Bâra, Neamț",伯拉鄉·(尼亞姆茨縣)
Lacul Techirghiol,泰基爾吉奧爾湖
"Comuna Buda, Buzău",布達鄉·(布澤烏縣)
"Comuna Dudești, Brăila",杜代什蒂鄉·(布勒伊拉縣)
"Comuna Blăjani, Buzău",布勒熱尼鄉
"Comuna Largu, Buzău",拉爾古鄉
"Comuna Cochirleanca, Buzău",科基爾良卡鄉
"Comuna Dragoș Vodă, Călărași",德拉戈什大公鄉·(克勒拉希縣)
"Comuna Ulmu, Călărași",烏爾穆鄉·(克勒拉希縣)
"Boldu, Buzău",博爾杜鄉
"Comuna Independența, Călărași",獨立鄉·(克勒拉希縣)
"Comuna Ciocile, Brăila",喬西萊鄉
"Comuna Siliștea, Brăila",錫利什泰亞鄉·(布勒伊拉縣)
"Comuna Bărăganul, Brăila",伯勒加努爾鄉
"Comuna Racovița, Brăila",拉科維察鄉·(布勒伊拉縣)
Calea Victoriei,勝利大道
Casa Capșa,卡薩卡普薩
"Comuna Grădiștea, Brăila",格勒迪什泰亞鄉·(布勒伊拉縣)
"Comuna Brăești, Buzău",布勒埃什蒂鄉·(布澤烏縣)
"Comuna Șuțești, Brăila",舒采什蒂鄉
"Comuna Cozieni, Buzău",科濟耶尼鄉
"Comuna Breaza, Buzău",布雷亞扎鄉·(布澤烏縣)
"Comuna Boroșneu Mare, Covasna",大博羅什內烏鄉·(科瓦斯納縣)
"Comuna Mănești, Dâmbovița",默內什蒂鄉·(登博維察縣)
"Comuna Călărași, Dolj",克勒拉希鄉·(多爾日縣)
"Comuna Budești, Vâlcea",布代什蒂鄉·(沃爾恰縣)
"Comuna Adășeni, Botoșani",阿德謝尼鄉
"Comuna Braniștea, Mehedinți",布拉尼什泰亞鄉·(梅赫丁茨縣)
Sinagoga Mare din București,大猶太會堂·(布加勒斯特)
"Comuna Cândești, Botoșani",肯代什蒂鄉·(博托沙尼縣)
Cetatea Râșnov,勒什诺夫城堡
"Bughea de Sus, Argeș",上布蓋亞鄉
"Comuna Frumușani, Călărași",弗魯穆沙尼鄉
"Comuna Unguriu, Buzău",溫古里烏鄉
Arhieparhia de Făgăraș și Alba Iulia,希臘禮天主教弗格拉什暨阿爾巴尤利亞大總教區
"Comuna Mihăilești, Buzău",米赫伊萊什蒂鄉·(布澤烏縣)
"Comuna Mânăstirea, Călărași",默訥斯蒂雷亞鄉
"Comuna Nicolae Bălcescu, Călărași",尼古拉伯爾切斯庫鄉·(克勒拉希縣)
"Comuna Frăsinet, Călărași",弗勒西內特鄉
"Comuna Grădiștea, Călărași",格勒迪什泰亞鄉·(克勒拉希縣)
"Comuna Lelese, Hunedoara",萊萊塞鄉
"Comuna Corbița, Vrancea",科爾比察鄉
Cupa României la fotbal,羅馬尼亞盃
"Comuna Frecăței, Brăila",弗雷克采伊鄉·(布勒伊拉縣)
"Comuna Stăncuța, Brăila",斯滕庫察鄉
"Comuna Scorțaru Nou, Brăila",新斯科爾察魯鄉
"Comuna Dodești, Vaslui",多代什蒂鄉
"Comuna Frumușița, Galați",弗魯穆希察鄉
"Comuna Ghergheasa, Buzău",蓋爾蓋亞薩鄉
"Comuna Odăile, Buzău",奧德伊萊鄉
"Comuna Sărulești, Buzău",瑟魯萊什蒂鄉·(布澤烏縣)
"Comuna Movila Banului, Buzău",莫維拉巴努盧伊鄉
"Comuna Nana, Călărași",納納鄉·(克勒拉希縣)
"Comuna Cilibia, Buzău",奇利比亞鄉·(布澤烏縣)
"Comuna Lopătari, Buzău",洛珀塔里鄉
"Comuna Gura Teghii, Buzău",古拉泰吉鄉
"Comuna Cornetu, Ilfov",科爾內圖鄉
"Comuna Corbeanca, Ilfov",科爾貝安卡鄉
"Sinagoga din Iosefin, Timișoara",尤色菲尹猶太會堂
"Comuna Cireșu, Mehedinți",奇雷舒鄉·(梅赫丁茨縣)
ACS Daco-Getica București,布加勒斯特尤文圖斯體育俱樂部
"Comuna Valea Mare Pravăț, Argeș",大普拉沃茨鄉
Ministerul Muncii și Protecției Sociale (România),勞動和社會保障部·(羅馬尼亞)
Ministerul Afacerilor Interne (România),罗马尼亚内政部
"Cuza Vodă, Galați",庫扎大公鄉·(加拉茨縣)
"Comuna Coțofenii din Față, Dolj",科措費尼丁法策鄉
"Comuna Rediu, Galați",雷迪烏鄉·(加拉茨縣)
"Comuna Buciumeni, Galați",布丘梅尼鄉·(加拉茨縣)
"Comuna Smârdan, Galați",斯馬爾丹鄉·(加拉茨縣)
"Comuna Fundeni, Galați",豐代尼鄉·(加拉茨縣)
"Independența, Galați",獨立鄉·(加拉茨縣)
"Comuna Rojiște, Dolj",羅伊什泰鄉
"Comuna Fârțănești, Galați",弗爾策內什蒂鄉
"Comuna Dobrotești, Dolj",多布羅泰什蒂鄉·(多爾日縣)
"Comuna Ivești, Galați",伊韋什蒂鄉·(加拉茨縣)
"Comuna Sălcuța, Dolj",瑟爾庫察鄉·(多爾日縣)
"Comuna Băneasa, Galați",伯尼亞薩鄉·(加拉茨縣)
"Comuna Drăgușeni, Galați",德勒古謝尼鄉·(加拉茨縣)
"Comuna Rădești, Galați",勒代什蒂鄉·(加拉茨縣)
"Comuna Berești-Meria, Galați",貝雷什蒂-梅里亞鄉
"Comuna Bălășești, Galați",伯勒謝什蒂鄉·(加拉茨縣)
Cupa României 2011-2012,2011年至2012年罗马尼亚杯
Transcarpatia (regiune istorică),喀爾巴阡魯塞尼亞
"Comuna Moieciu, Brașov",莫耶丘鄉
"Comuna Grebănu, Buzău",格雷伯努鄉
"Comuna Luciu, Buzău",盧丘鄉
Politica României,羅馬尼亞政治
Mănăstirea Curtea de Argeș,庫爾泰亞主教座堂
Linia M5 a metroului din București,布加勒斯特地鐵5號線
"Comuna Dobroești, Ilfov",多布羅埃什蒂鄉
Comitetul Olimpic și Sportiv Român,羅馬尼亞奧林匹克及體育委員會
"Comuna Brăhășești, Galați",布勒赫謝什蒂鄉
"Comuna Răscăeți, Dâmbovița",勒斯克埃茨鄉
"Buești, Ialomița",布埃什蒂鄉
Parcul Național Cozia,科濟亞國家公園
"Comuna Cavadinești, Galați",卡瓦迪內什蒂鄉
"Comuna Corni, Galați",科爾尼鄉·(加拉茨縣)
"Comuna Cosmești, Galați",科斯梅什蒂鄉·(加拉茨縣)
"Comuna Nicorești, Galați",尼科羅什蒂鄉
"Comuna Braniștea, Galați",布拉尼什泰亞鄉·(加拉茨縣)
"Comuna Borănești, Ialomița",博勒內什蒂鄉
"Comuna Siliștea Crucii, Dolj",錫利什泰亞克魯奇鄉
"Comuna Poiana, Galați",波亞納鄉·(加拉茨縣)
"Comuna Gălbinași, Buzău",格爾比納希鄉·(布澤烏縣)
"Vâlcelele, Buzău",沃爾切萊萊鄉·(布澤烏縣)
"Comuna Afumați, Dolj",阿富馬齊鄉·(多爾日縣)
"Comuna Perșinari, Dâmbovița",佩爾希納里鄉
"Jilava, Ilfov",日拉瓦鄉
"Comuna Domnești, Ilfov",多姆內什蒂鄉
"Comuna Grădiștea, Ilfov",格勒迪什泰亞鄉·(伊爾福夫縣)
"Comuna Drăgănești, Neamț",德勒格內什蒂鄉·(尼亞姆茨縣)
"Comuna Dumbrăvița, Brașov",敦布勒維察鄉·(布拉索夫縣)
Parcul Național Călimani,克利馬尼國家公園
Groupama,安盟集团
Parcul Național Defileul Jiului,德菲萊烏爾日山國家公園
Lacul Snagov,斯納戈夫湖
"Comuna Bucovăț, Dolj",布科沃茨鄉·(多爾日縣)
Zborul 371 al TAROM,羅馬尼亞航空371號班機空難
"Comuna Năeni, Buzău",訥埃尼鄉
"Comuna Râu Alb, Dâmbovița",勒烏阿爾布鄉
"Comuna Pănătău, Buzău",珀訥特烏鄉
"Comuna Pleșoi, Dolj",普萊紹伊鄉
Palatul Cercului Militar Național,國家軍事宮
Liga a III-a,罗马尼亚足球丙级联赛
"Comuna Vidra, Ilfov",維德拉鄉·(伊爾福夫縣)
"Comuna Snagov, Ilfov",斯納戈夫鄉
"Comuna Petrăchioaia, Ilfov",佩特勒基瓦亞鄉
"Comuna Vlădeni, Dâmbovița",弗勒代尼鄉·(登博維察縣)
"Comuna Motoșeni, Bacău",莫托謝尼鄉
Cultura Cucuteni,克克塔尼文化
"Comuna Grivița, Ialomița",格里維察鄉·(雅洛米察縣)
"Comuna Vulcana-Pandele, Dâmbovița",武爾卡納-潘代萊鄉
"Comuna Lucieni, Dâmbovița",盧切尼鄉
"Comuna Frătești, Giurgiu",弗勒泰什蒂鄉
"Comuna Stoenești, Giurgiu",斯托埃內什蒂鄉·(久爾久縣)
"Comuna Movilița, Ialomița",莫維利察鄉·(雅洛米察縣)
"Comuna Ciulnița, Ialomița",丘爾尼察鄉
"Comuna Sudiți, Ialomița",蘇迪齊鄉·(雅洛米察縣)
"Comuna Gura Ialomiței, Ialomița",古拉雅洛米察鄉
"Comuna Periș, Ilfov",佩里什鄉
"Comuna Cuca, Argeș",庫卡鄉·(阿爾傑什縣)
"Mogoșoaia, Ilfov",莫戈什瓦亞鄉
"Comuna Câmpuri, Vrancea",肯普里鄉
"Comuna Nistorești, Vrancea",尼斯托雷什蒂鄉
"Comuna Isvoarele, Giurgiu",伊斯瓦雷萊鄉
"Comuna Vânători, Galați",沃訥托里鄉·(加拉茨縣)
"Comuna Săucești, Bacău",瑟烏切什蒂鄉
"Comuna Urechești, Bacău",烏雷凱什蒂鄉·(巴克烏縣)
"Comuna Strugari, Bacău",斯特魯加里鄉·(巴克烏縣)
"Comuna Gruiu, Ilfov",格魯尤鄉
"Comuna Moara Vlăsiei, Ilfov",莫阿拉弗勒謝伊鄉
"Comuna Oncești, Bacău",翁切什蒂鄉·(巴克烏縣)
"Comuna Schitu Golești, Argeș",斯基圖戈萊什蒂鄉
"Comuna Scorțeni, Bacău",斯科爾采尼鄉·(巴克烏縣)
"Comuna Odobești, Bacău",奧多貝什蒂鄉·(巴克烏縣)
"Comuna Roșiori, Bacău",羅希奧里鄉·(巴克烏縣)
"Comuna Bozieni, Neamț",博濟耶尼鄉·(尼亞姆茨縣)
"Comuna Cândești, Neamț",肯代什蒂鄉·(尼亞姆茨縣)
"Comuna Costișa, Neamț",科斯蒂沙鄉
"Comuna Șieu, Maramureș",謝烏鄉·(馬拉穆列什縣)
"Comuna Bicaz, Maramureș",比卡茲鄉·(馬拉穆列什縣)
"Comuna Drăgoești, Ialomița",德勒戈埃什蒂鄉·(雅洛米察縣)
"Comuna Ion Roată, Ialomița",揚羅阿特鄉·(雅洛米察縣)
"Comuna Săveni, Ialomița",瑟韋尼鄉·(雅洛米察縣)
"Comuna Borca, Neamț",博爾卡鄉·(尼亞姆茨縣)
Biserica Stavropoleos,斯塔弗羅波萊奧斯修道院
"Comuna Dochia, Neamț",多基亞鄉·(尼亞姆茨縣)
"Comuna Vlădești, Galați",弗勒代什蒂鄉·(加拉茨縣)
"Comuna Homorod, Brașov",霍莫羅德鄉·(布拉索夫縣)
"Comuna Colibași, Giurgiu",科利巴希鄉·(久爾久縣)
"Comuna Valea Măcrișului, Ialomița",默克里舒盧伊鄉
"Traian, Ialomița",特拉揚鄉·(雅洛米察縣)
"Comuna Mihail Kogălniceanu, Ialomița",米哈伊爾科格爾尼恰努鄉·(雅洛米察縣)
"Comuna Poarta Albă, Constanța",波阿爾塔阿爾伯鄉
Politica demografică a regimului Ceaușescu,770法令
"Comuna Clinceni, Ilfov",克林切尼鄉
Catedrala Evanghelică din Sibiu,锡比乌路德会大教堂
"Comuna Vălișoara, Hunedoara",沃利什瓦拉鄉
"Comuna Topraisar, Constanța",托普拉伊薩爾鄉
"Comuna Duda-Epureni, Vaslui",杜達-埃普雷尼鄉
"Comuna Dragomirești-Vale, Ilfov",德拉戈米雷什蒂-瓦萊鄉
Catedrala Mitropolitană din Sibiu,圣三一主教座堂·(锡比乌)
Șimleu Silvaniei,希姆萊烏錫爾瓦涅伊
"Comuna Costești, Vâlcea",科斯泰什蒂鄉·(沃爾恰縣)
"Comuna Viișoara, Vaslui",維什瓦拉鄉·(瓦斯盧伊縣)
"Comuna Roșiești, Vaslui",羅謝什蒂鄉
"Comuna Arbore, Suceava",阿爾博雷鄉
"Comuna Lunca Ilvei, Bistrița-Năsăud",倫卡伊爾伊爾韋伊鄉
"Comuna Vișeu de Jos, Maramureș",下維謝烏鄉
"Comuna Romos, Hunedoara",羅莫斯鄉
"Comuna Costești, Vaslui",科斯泰什蒂鄉·(瓦斯盧伊縣)
"Comuna Tanacu, Vaslui",塔納庫鄉
"Comuna Nimigea, Bistrița-Năsăud",尼米賈鄉
Regele României,罗马尼亚君主列表
"Comuna Bârsău, Satu Mare",伯爾瑟烏德鄉
"Comuna Tâmboești, Vrancea",滕博埃什蒂鄉
"Comuna Dorna-Arini, Suceava",多爾納-阿里尼鄉
"Comuna Vulturești, Suceava",武爾圖雷什蒂鄉·(蘇恰瓦縣)
"Comuna Lisa, Brașov",利薩鄉·(布拉索夫縣)
Sport în România,羅馬尼亞體育
"Comuna Murgești, Buzău",穆爾傑什蒂鄉
"Comuna Războieni, Neamț",勒茲博耶尼鄉·(尼亞姆茨縣)
"Comuna Mărgineni, Neamț",默爾吉內尼鄉·(尼亞姆茨縣)
"Comuna Dobrețu, Olt",多布雷楚鄉
"Comuna Sagna, Neamț",薩格納鄉·(尼亞姆茨縣)
"Comuna Făurei, Neamț",弗烏雷鄉·(尼亞姆茨縣)
"Comuna Rediu, Neamț",雷迪烏鄉·(尼亞姆茨縣)
"Comuna Aușeu, Bihor",奧謝烏鄉
"Comuna Fundata, Brașov",豐達塔鄉
"Comuna Măieruș, Brașov",默耶魯什鄉
"Comuna Jibert, Brașov",日貝爾特鄉
Liga a IV-a,罗马尼亚足球丁级联赛
Lista miniștrilor români de externe,罗马尼亚外交部
"Comuna Arieșeni, Alba",阿列谢尼乡
Strada Lipscani,利普斯卡尼
"Comuna Someș-Odorhei, Sălaj",蘇梅什-奧多爾海伊鄉
Piața Universității,大学广场·(布加勒斯特)
"Comuna Curtișoara, Olt",庫爾蒂什瓦拉鄉
"Comuna Budureasa, Bihor",布杜雷亞薩鄉
"Comuna Rapoltu Mare, Hunedoara",大拉波爾圖鄉
"Comuna Ribița, Hunedoara",里比察鄉
"Comuna Homoroade, Satu Mare",霍莫羅阿代鄉
Linia M4 a metroului din București,布加勒斯特地鐵4號線
"Comuna Gura Șuții, Dâmbovița",古拉舒齊鄉
"Comuna Negrești, Neamț",內格雷什蒂鄉·(尼亞姆茨縣)
"Comuna Ion Creangă, Neamț",揚克良格鄉·(尼亞姆茨縣)
"Comuna Horia, Neamț",霍里亞鄉·(尼亞姆茨縣)
"Comuna Cârlogani, Olt",克爾洛加尼鄉
"Comuna Fărcașele, Olt",弗爾卡謝萊鄉
"Comuna Cetățeni, Argeș",切特采尼鄉
"Comuna Moșoaia, Argeș",莫什瓦亞鄉
"Comuna Davidești, Argeș",達維代什蒂鄉
"Bughea de Jos, Argeș",下布蓋亞鄉
"Comuna Bistreț, Dolj",比斯特雷茨鄉
Demografia României,羅馬尼亞人口
"Comuna Șaru Dornei, Suceava",沙魯多爾內鄉
"Comuna Talpa, Teleorman",塔爾帕鄉·(特列奧爾曼縣)
Parlamentul României,罗马尼亚议会
"Comuna Braniștea, Dâmbovița",布拉尼什泰亞鄉·(登博維察縣)
Râul Bilca Mare,比爾卡河·(錫雷特河支流)
"Comuna Dragomirești, Neamț",德拉戈米雷什蒂鄉·(尼亞姆茨縣)
"Comuna Scărișoara, Olt",斯克里什瓦拉鄉·(奧爾特縣)
"Comuna Ștefan cel Mare, Olt",斯特凡大公村鄉·(奧爾特縣)
"Comuna Dulcești, Neamț",杜爾切什蒂鄉
"Comuna Colonești, Olt",科洛內什蒂鄉·(奧爾特縣)
Salina Turda,薩利納圖爾達鹽礦
"Comuna Bărbulețu, Dâmbovița",伯爾布萊楚鄉
"Comuna Borcea, Călărași",博爾恰鄉
"Comuna Gura Ocniței, Dâmbovița",古拉奧克尼采伊鄉
"Comuna Vânjuleț, Mehedinți",文茹萊茨鄉
Castelul Pelișor,佩利绍尔城堡
"Comuna Negrilești, Vrancea",內格里萊什蒂鄉·(弗朗恰縣)
"Comuna Brăduleț, Argeș",布勒杜萊茨鄉
"Comuna Dumitrești, Vrancea",杜米特雷什蒂鄉
"Comuna Pleșcuța, Arad",普萊什庫察鄉
"Comuna Drăgotești, Dolj",德勒戈泰什蒂鄉·(多爾日縣)
"Comuna Coșoveni, Dolj",科紹韋尼鄉
"Comuna Coțofenii din Dos, Dolj",科措費尼丁多斯鄉
"Comuna Dobrești, Dolj",多布雷什蒂鄉·(多爾日縣)
"Comuna Bogați, Argeș",博加茨鄉
"Comuna Albeștii de Muscel, Argeș",阿爾貝什蒂德穆斯切爾鄉
"Comuna Cicănești, Argeș",奇克內什蒂鄉
Linia M2 a metroului din București,布加勒斯特地鐵2號線
"Comuna Vitomirești, Olt",維托米雷什蒂鄉
"Comuna Mărunței, Olt",默倫采伊鄉
"Comuna Ruginoasa, Neamț",魯吉諾阿薩鄉·(尼亞姆茨縣)
"Comuna Rusănești, Olt",魯瑟內什蒂鄉
"Comuna Făgețelu, Olt",弗傑采盧鄉
"Comuna Perișani, Vâlcea",佩里沙尼鄉
"Comuna Drăgănești-Vlașca, Teleorman",德勒格內什蒂-弗拉什卡鄉
"Comuna Crucea, Suceava",克魯恰鄉·(蘇恰瓦縣)
Palatul Camerei Deputaților,國會宮·(布加勒斯特)
"Comuna Ștefești, Prahova",什泰費什蒂鄉
Palatul de Justiție din București,正義宮
"Comuna Sângeru, Prahova",聖傑魯鄉
"Comuna Iordăcheanu, Prahova",伊奧爾德凱亞努鄉
"Comuna Râfov, Prahova",勒福夫鄉
"Comuna Valea Călugărească, Prahova",克魯格魯亞斯克鄉
"Comuna Petrești, Dâmbovița",彼得雷什蒂鄉·(登博維察縣)
"Comuna Cuza Vodă, Călărași",庫扎大公鄉
Universitatea de Medicină și Farmacie „Carol Davila” din București,卡羅爾達維拉醫藥大學
"Comuna Moftin, Satu Mare",莫夫廷鄉
"Comuna Nănești, Vrancea",訥內什蒂鄉
"Comuna Culciu, Satu Mare",庫爾丘鄉
"Comuna Păulești, Prahova",珀烏萊什蒂鄉·(普拉霍瓦縣)
"Comuna Măgureni, Prahova",默古雷尼鄉
"Comuna Teișani, Prahova",泰伊沙尼鄉
"Comuna Gura Vitioarei, Prahova",古拉維蒂瓦雷伊鄉
Biserica Millennium din Timișoara,千禧教堂·(蒂米什瓦拉)
"Comuna Vlădaia, Mehedinți",弗勒達亞鄉
"Comuna Sălcioara, Dâmbovița",瑟爾喬阿拉鄉·(登博維察縣)
"Comuna Căldăraru, Argeș",克爾德拉魯鄉
"Comuna Miroși, Argeș",米羅希鄉
"Comuna Morărești, Argeș",莫勒雷什蒂鄉
"Comuna Bălilești, Argeș",伯利萊什蒂鄉
"Comuna Puchenii Mari, Prahova",大普凱尼鄉
"Comuna Poiana Câmpina, Prahova",波亞納肯皮納鄉
"Comuna Tătaru, Prahova",特塔魯鄉
"Sălciile, Prahova",瑟爾西萊鄉
"Comuna Provița de Sus, Prahova",上普羅維察鄉
"Comuna Bahna, Neamț",巴赫納鄉
"Comuna Șelimbăr, Sibiu",謝林伯爾鄉
"Comuna Vlădești, Argeș",弗勒代什蒂鄉·(阿爾傑什縣)
"Comuna Vulturești, Argeș",武爾圖雷什蒂鄉·(阿爾傑什縣)
"Comuna Poienarii de Argeș, Argeș",阿爾傑什河畔波耶納里鄉
"Comuna Negrași, Argeș",內格拉希鄉
"Comuna Mușătești, Argeș",穆舍泰什蒂鄉
"Comuna Beleți-Negrești, Argeș",貝萊齊-內格雷什蒂鄉
Ministerul Apărării Naționale (România),羅馬尼亞國防部
"Comuna Tomești, Hunedoara",托梅什蒂鄉·(胡內多阿拉縣)
"Comuna Covăsânț, Arad",科沃聖茨鄉
"Comuna Ștefan cel Mare, Argeș",斯特凡大公村鄉·(阿爾傑什縣)
"Comuna Uda, Argeș",烏達鄉·(阿爾傑什縣)
"Comuna Popești, Argeș",波佩什蒂鄉·(阿爾傑什縣)
"Comuna Cocu, Argeș",科庫鄉·(阿爾傑什縣)
"Comuna Pădina, Mehedinți",大珀迪納鄉
"Comuna Balta, Mehedinți",巴爾塔鄉·(梅赫丁茨縣)
"Comuna Obârșia de Câmp, Mehedinți",奧伯爾希亞德肯普鄉
"Comuna Mătăsaru, Dâmbovița",默特薩魯鄉
"Comuna Moroeni, Dâmbovița",莫羅埃尼鄉
"Comuna Roșiile, Vâlcea",羅希萊鄉
"Comuna Dăești, Vâlcea",德埃什蒂鄉
"Comuna Popești, Vrancea",波佩什蒂鄉·(弗朗恰縣)
"Comuna Urechești, Vrancea",烏雷凱什蒂鄉·(弗朗恰縣)
"Comuna Dumbrava, Mehedinți",敦布拉瓦鄉·(梅赫丁茨縣)
"Comuna Predeal-Sărari, Prahova",普雷代亞爾-瑟拉里鄉
"Secăria, Prahova",塞克里亞鄉
"Comuna Podenii Noi, Prahova",波代尼諾伊鄉
"Comuna Bunești, Vâlcea",布內什蒂鄉·(沃爾恰縣)
"Comuna Sutești, Vâlcea",蘇泰什蒂鄉
"Comuna Obrejița, Vrancea",奧布雷日察鄉
"Comuna Pufești, Vrancea",普費什蒂鄉
"Comuna Drăgoești, Vâlcea",德勒戈埃什蒂鄉·(沃爾恰縣)
Biserica Kretzulescu,克雷楚列斯庫教堂
"Comuna Bodești, Neamț",博代什蒂鄉
Piața Revoluției,革命廣場·(布加勒斯特)
"Comuna Obârșia-Cloșani, Mehedinți",奧伯爾希亞-克洛沙尼鄉
"Comuna Răzvad, Dâmbovița",勒茲瓦德鄉
"Comuna Ulmi, Dâmbovița",烏爾米鄉·(登博維察縣)
"Comuna Vărbilău, Prahova",沃爾比勒烏鄉
