Douglas Adams,道格拉斯·亞當斯
Jason Kenny,贾森·肯尼
Maurice Wilson,莫里斯·威爾遜
Donald Sinden,唐纳德·辛顿
Elena Baltacha,埃琳娜·巴尔塔查
Gabrielle Anwar,嘉伯莉・安沃
Graham Stringer,格拉漢姆·斯特林格
Cyril J. Mockridge,西里爾·J·莫克里奇
Rory Stewart,羅利·斯圖爾特
Kate O'Mara,凱特·奧瑪拉
Jamie Bamber,傑米·班柏
Shirley Henderson,雪莉·韓德森
Marina Sirtis,瑪莉娜·佘提斯
Frances de la Tour,弗朗西斯·德·拉·图瓦
Owain Yeoman,欧文·约曼
Diarmaid MacCulloch,迪爾梅德·麥克庫洛赫
Angela Morley,安吉拉·茉莉
Freda James,弗雷德·詹姆斯·哈默斯利
Alice Eve,爱丽丝·伊芙
Anna Neagle,安娜·尼格尔
Joanna Pettet,乔安娜·佩蒂
Steven Moffat,史蒂芬·莫法特
Susanna Clarke,苏珊娜·克拉克
Mark Elder,马克·埃尔德
April Pearson,艾普萝·皮尔森
Elsa Lanchester,埃尔莎·兰彻斯特
Robert Stephenson,羅伯特·史蒂芬生
Dave Charlton,戴夫·查爾頓
Patrick O'Brian,帕特里克·奥布莱恩
George Frederick Charles Searle,喬治·瑟爾
Gary Glitter,加里·格利特
K. K. Downing,肯尼思·唐寧
Phyllida Law,菲丽达·劳
Lord Alfred Douglas,阿爾弗萊德·道格拉斯
Hannah Simone,漢娜·席夢
Gary Barlow,蓋瑞·巴洛
Eric Till,埃里克·蒂尔
Ameet Chana,阿米特·查那
J. Desmond Clark,J·德斯蒙德·克拉克
Suzy Kendall,蘇希·肯德爾
Mary F. Lyon,瑪莉·里昂
Alan White,亞倫·懷特
Antony Sher,安東尼·謝爾
Robert Browning,羅勃特·白朗寧
Leonora Carrington,利奥诺拉·卡林顿
Virginia Wade,維吉妮雅·韋德
Simon Reeve,西蒙·里夫
Iain Stewart,伊恩·斯圖爾特
Stella McCartney,史黛拉·麥卡尼
Gary Streeter,加利·斯特里特
Mel Stride,梅爾·斯特里德
David Papineau,大卫·帕皮诺
Wolf Rilla,沃夫·瑞拉
Paul Gilroy,保羅·吉洛伊
John McCormack,约翰·麦科马克
Harry Melling,哈利·梅林
Kenneth Mees,肯尼斯·米斯
Margaret Archer,玛格丽特·阿切尔
Karl Bushby,卡爾·布殊比
Derek Temple,戴歷·譚寶
Ian Hill,伊恩·希爾
Sheila Rowbotham,希拉罗·博特姆
Stewart Symes,斯图尔特·赛姆斯
Oliver Hart,奥利弗·哈特
John Elliott,约翰·埃利奥特
Sam Warburton,山姆·瓦伯頓
Kelli Ali,凱利·阿里
Marit Allen,瑪麗特·艾倫
Jock Stein,乔克·斯泰恩
Midge Ure,米奇·烏爾
Honor Blackman,赫娜·布萊克曼
Diana Rigg,戴安娜·瑞格
Tony Coe,托尼·科
Colin Salmon,科林·萨尔蒙
Sarah Trimmer,萨拉·特里默
Mutya Buena,穆緹雅·布埃納
Jessie Cave,杰西·卡芙
Thomas Bradwardine,托馬斯·布拉德華
John Hartson,約翰·赫臣
Stuart Pearce,斯图尔特·皮尔斯
Selita Ebanks,瑟丽塔·伊班克斯
Charlotte Cooper,夏洛特·库珀
Paula Radcliffe,宝拉.拉德克利夫
Michelle Ryan,米歇尔·雷恩
Divina Galica,迪维纳·玛丽·加里卡
Steven Davis,斯蒂文·戴維斯
Marc Quinn,马克·奎安
Jeanette Winterson,珍妮特·温特森
Denis Law,丹尼斯·劳
Jonathan Greening,莊拿芬·格寧
Maxine Nightingale,玛可欣·南丁格尔
Peter Grant,彼得·格兰特
Charles Bennett,查爾斯·班尼特
Bryan Marshall,布萊恩·馬歇爾
Joslyn Hoyte-Smith,乔斯琳·霍伊特-史密斯
Keith Johnstone,基思·约翰斯通
Gertrude Lawrence,格特魯德·勞倫斯
Nicholas Rowe,尼可拉斯·羅爾
Michael Lee,麥克·李 (鼓手)
Ted Tinling,泰德·甸寧
Lee Mears,李·米爾斯
Phil Vickery,菲爾·維克里
Lee Brilleaux,李·布里洛
Francis Ysidro Edgeworth,弗朗西斯·伊西德罗·埃奇沃思
Andrew Sheridan,安德鲁·谢里登
Paul Greengrass,保羅·葛林葛瑞斯
Rose Leslie,罗丝·莱斯利
Glenis Willmott,格莉納斯·威爾莫特
Eric Frank Russell,埃里克·弗兰克·拉塞尔
Irena Anders,伊雷娜·安德斯
Jackie McNamara,杰基·麦克纳马拉
Naomi Broady,娜奧米·布羅迪
Gary Johnson,加利·莊遜
Mike Conway,麥克·康威
Ronald Allen,羅納德·艾倫
Paula Malcomson,葆拉·馬爾科姆森
Coleen Rooney,哥蓮·朗尼
Helen Dunmore,海伦·邓莫尔
Ian Bowyer,伊安·鮑耶
Lucy Brown,露西·布朗
Frank Lampard,老林柏特
Leonard Woolley,倫德納·伍利
"George Plantagenet, 1st Duke of Clarence",乔治·金雀花，第一代克拉伦斯公爵
Victor McLaglen,維多·麥克勞倫
Muriel Spark,穆里尔·斯帕克
Tom Courtenay,湯姆·寇特內
Heidi Range,海迪·朗吉
"Louise, Princess Royal",路易斯公主
Kim Little,金·利特尔
Michelle Scutt,米歇尔·斯卡特
Paul McStay,麥史地
Dillinja,迪林雅
Joseph Wright,约瑟夫·赖特
Jamie Waylett,傑米·威雷特
Timothy Grubb,蒂莫西·格拉布
"Daisy Greville, Countess of Warwick",弗蘭西絲·伊弗琳·格雷維爾
Geraldine Beamish,格拉爾迪·貝阿米什
"Princess Mary, Princess Royal of the United Kingdom",玛丽公主 (哈伍德伯爵夫人)
Maggie Reilly,瑪姬·賴利
Tyrone Guthrie,泰隆·格思里
"William Joynson-Hicks, 1st Viscount Brentford",威廉·乔因森-希克斯，第一代布伦特福德子爵
Nick Easter,耐克·伊斯特
Lewis Moody,劉易斯·穆迪
Danny Care,達尼·卡爾
Charles Bennett,查尔斯·本内特 (田径运动员)
Sally Hawkins,莎莉·霍金斯
Pattie Boyd,贝蒂·伯伊德
Shirley Manson,雪莉·曼森
Anna Chancellor,安娜·錢絲勒
Linsey MacDonald,琳赛·麦克唐纳
Naomi Mitchison,内奥米·密契森
Amelia Lily,阿米莉亚·莉莉
Atticus Ross,阿提庫斯·羅斯
Gary Ablett,加里·布萊特
Arthur Albiston,阿瑟·阿爾比斯頓
Dennis Viollet,丹尼斯·维奥勒
Jamie Cullum,傑米·卡倫
Simon Wright,西蒙·赖特
Ralph Thomas,拉爾夫·托馬斯
Fiona MacDonald,菲奥娜·麦克唐纳
Nicki French,妮基·弗伦奇
Neon Hitch,妮昂·希奇
Mary King,玛丽·金
Geraint Thomas,杰兰特·托马斯
Xue Xinran,欣然
Elaine Paige,伊蓮·佩姬
John Pople,約翰·波普
Harold French,哈羅德·弗倫斯
Graeme Dott,格林美·杜特
Lucy Briers,露西·布里爾斯
Danny Cipriani,達尼·齊普里亞尼
Camilla More,卡蜜拉·摩爾和凱里·摩爾
Michael Tippett,迈克尔·蒂皮特
Mark Haddon,馬克·海登
Taylor Wane,泰勒·沃恩
Graham Nash,格雷厄姆·納許
Viv Anderson,韋夫·安德遜
Billy Ocean,比利·歐遜
Gavin McCann,加雲·麥肯
Jason Roberts,贾森·罗伯茨
Allen Carr,艾倫·卡爾
Charlie Hunnam,查理·杭南
Shane MacGowan,夏恩·麥高恩
Ian Walker,伊恩·沃克
Kate Maberly,凯特·马伯里
Vasili Mitrokhin,瓦西里·米特罗欣
Jarvis Cocker,賈維斯·卡克
Barbara Hepworth,芭芭拉·赫普沃斯
Miriam Margolyes,米瑞安·玛格莱斯
Pam Ferris,帕姆·費里斯
Anna Walton,安娜·沃尔顿
Victoria Chaplin,維多利亞·卓別林
Trevor Sinclair,杜利華·冼佳亞
Kate Haywood,凯特·海伍德
Stella Gonet,斯特拉·戈納德
Leanne Rowe,萊安娜·羅維
Walter Terence Stace,史泰司
Margaret Morton,玛格丽特·莫顿
Jeeves,雷金纳德·吉夫斯
Steve Woolgar,Steve Woolgar
Andy McNab,安迪·麥克納布
Simon Shaw,西蒙·肖
Robert Greene,羅伯特·格林
Paloma Baeza,帕洛馬·貝薩
Harold Spencer Jones,哈罗德·史宾塞·琼斯
Hugh Evan-Thomas,休·埃文·托馬斯
Andrew Bertie,安德鲁·伯蒂
Jack Higgins,傑克·希金斯
Brian McClair,布莱恩·麦克莱尔
Edward Craven Walker,爱德华·克雷文·沃克
Ice MC,冰·MC
Mick Jones,米克·瓊斯
Ray Davies,雷·戴維斯
Derek Riggs,德里克·里格斯
Steve Cram,史蒂夫·克拉姆
Brian Horrocks,布賴恩·霍羅克斯
Caryl Churchill,卡羅·邱吉爾
Kevin Gallacher,奇雲·格拉查
Ewen Bremner,艾文·布莱纳
Kevork Malikyan,克沃爾克·加拉貝迪安
Nick Leeson,尼克·李森
Katy Gallagher,琪緹·加拉格
Alice Liddell,爱丽丝·李道尔
Howard Jacobson,霍華德·雅各布森
Dugald Clerk,杜格尔德·柯拉克
Blaze Bayley,布雷斯·貝利
Wilbur Smith,魏柏·史密斯
Andrew Morton,安德鲁·莫顿
Joe Davis,乔·戴维斯
Stuart Urban,斯图尔特·厄本
Patrick French,帕特里克•法兰区
Sidney Hayers,西德尼·海斯
Chris Martin,克里斯·马丁
Sam Riley,山姆·萊利
Rosemary Harris,蘿絲瑪莉·哈里斯
Frederick Hopkins,弗雷德里克·霍普金斯
Jocelyn Bell Burnell,约瑟琳·贝尔·伯奈尔
Julian Lennon,朱利安·列侬
Stephen Darby,斯蒂芬·達比
Bill Foulkes,比尔·福尔克斯
Scott Fitzgerald,史考特·斐茲傑朗
Joan Fry,瓊·弗萊
Brian Ferneyhough,布莱恩·芬尼豪赫
Diana Mosley,戴安娜·米特福德
Barbara Murray,巴尔巴拉·默里
Alfred Fowler,亞弗列德·福勒
Ellen Whitaker,愛倫·惠特克
Cameron Jerome,卡梅伦·杰罗梅
Darren O'Shaughnessy,向達倫
Sophie Wilcox,蘇菲·威爾考克斯
Louise Brown,露薏絲·布朗
Gemma Jones,潔瑪·瓊斯
Jamelia,潔米莉雅
Matt Ryan,麥特·萊恩
John N. Gray,约翰·格雷
Indira Varma,印第拉·娃瑪
Charles Spearman,查尔斯·斯皮尔曼
Nevil Shute,內佛·舒特
Kerry Ellis,凯里·埃利斯
Mary Quant,瑪莉·官
Brian E. Cox,布萊恩·考克斯
Kit Harington,基特·哈靈頓
Javine Hylton,潔文·希爾頓
Gladys Yang,戴乃迭
E. P. Thompson,E·P·湯普森
André Morell,安德烈·莫雷爾
Fiona Fullerton,菲奧娜·富勒頓
"Princess Lilian, Duchess of Halland",莉莲·梅·戴维斯
Marina Diamandis,瑪琳娜鑽石
Michael Carreras,麥可·卡雷拉斯
Nicholas Hooper,尼古拉斯·霍珀
Scott Malone,斯科特·馬龍
Tom Heaton,托馬斯·希頓
Catherine Schell,凯瑟琳·斯切尔
Gerald Scarfe,傑洛·史卡夫
Susan Kay,蘇珊·凱
Jon Lilygreen,喬恩·利利格林
David Millar,大卫·米拉尔
Jonathan Stroud,喬納森·施特勞
Victoria Holmes,維多利亞·霍姆斯
Crew Stoneley,克鲁·斯通利
Steve Archibald,史蒂夫·阿奇柏德
Jamie Hewlett,傑米·休利特
Alan White,艾伦·怀特
Edgar Wright,埃德加·赖特
Victor Turner,维克多·特纳
Dwain Chambers,杜恩·钱伯斯
Peter Sutcliffe,約克郡開膛手
Johnson Beharry,约翰逊·贝哈里
Rebekah Brooks,利百加·布鲁克斯
Harriet Harman,夏雅雯
Juno Temple,茱諾·坦普
Gracie Fields,格雷西·費爾德
Sarah Alexander,莎拉·亚历山大
James Gillray,詹姆斯·吉尔雷
Nigel Adkins,奈杰尔·阿德金斯
Ninette de Valois,瓦盧瓦夫人
Neil Webb,内尔·韦伯
Alexandra Burke,亚历山德拉·伯克
Nell Gwyn,妮爾·珪恩
Miriam Karlin,米里亚姆·卡林
Heather Armitage,希瑟·阿米蒂奇
Tom Baker,湯姆·貝克
Eileen Hiscock,艾琳·希斯科克
Lynsey de Paul,琳茜·德·保罗
Jim Clark,吉姆·克拉克 (剪接師)
Lord David Cecil,洛德·大衛·塞西爾
Robert Nye,羅伯特·奈伊
Donald Maclean,唐納德·麥克林
Christian Coulson,克里斯蒂安·庫爾森
Olivia Hussey,奥丽维娅·赫西
Maisie Williams,麦茜·威廉姆斯
Jancis Robinson,杰西斯·罗宾逊
David Snellgrove,大衛·斯內爾格洛夫
Würzel,麥可·伯森
Denys Page,丹尼斯·佩奇
Christopher Reid,克里斯托弗·里德
Freema Agyeman,弗莉瑪·阿吉曼
Maria Aitken,瑪利亞·艾肯
Malcolm Lowry,劳瑞
Andy Goldsworthy,安迪·高茲渥斯
Daniel McKenzie,丹尼爾·麥克肯澤
Kathy Kirby,凱西·柯比
Bryony Lavery,布萊奧尼·拉弗里
Max Minghella,麦克思·明格拉
Paul Anderson,保羅·安德森
Antony Gormley,安东尼·葛姆雷
David Weir,大衛·華亞
Sonja Kristina,桑雅·克里斯蒂娜
Nicola Benedetti,尼古拉·贝内代蒂
Audrey Brown,奥德丽·布朗
Violet Rose Olney,维奥莱特·奥尔尼
Angela Constance,安吉拉·康斯
Mitch Hewer,米奇·休尔
Charles Gmelin,查爾斯·格梅林
Andrew Loog Oldham,安德魯·朗格·奧德曼
Angela Carter,安潔拉·卡特
Nora Swinburne,诺拉·斯温伯恩
Peter Davison,彼得·戴維森
Alan Wilder,艾倫·懷德
Douglas Mawson,道格拉斯·莫森
Felicity Jones,菲丽希缇·琼斯
Robert Maudsley,羅伯特·莫斯利
James Robinson,詹姆斯·罗宾逊
Frederick Blackman,弗雷德里克·布萊克曼
Vicky McClure,薇琪·麥克魯爾
Ian McShane,伊恩·麥克夏恩
Teddy Sheringham,泰迪·舒寧咸
Dakota Blue Richards,達可塔·布·李察絲
Rupert Penry-Jones,魯伯·潘瑞-瓊斯
Denny Laine,丹尼·萊恩
György Jendrassik,詹德拉西克·吉乔治
Walter Smith,沃尔特·史密斯
Emma Orczy,艾瑪·奧希茲
Elisabeth Sladen,伊麗莎白·斯萊登
Sydney Brenner,西德尼·布伦纳
Colin Welland,柯林·威爾藍
Joe Mercer,祖·梅沙
Chaz Jankel,查斯·杨科尔
Simon Cox,西蒙·考克斯
Alan Pardew,阿兰·帕德鲁
Paul Young,保羅·揚
Tony Martin,東尼·馬丁
Carl Barât,卡爾·巴拉特
Alex Coomber,亚历克丝·孔伯
Alex Scott,艾莉絲·史葛
Karen Corr,卡倫·高爾
Joely Richardson,裘莉·李察遜
Alec Reeves,亚历克·里夫斯
Peter Milligan,彼得·米利根
Charles Gorrie Wynne,查尔斯·戈里·韦恩
Nicola Barker,尼可拉·貝克
Bridget Riley,Bridget Riley
Princess Victoria of the United Kingdom,维多利亚公主
Romola Garai,蕾夢娜·葛瑞
Geoffrey Hutchings,杰弗里·哈钦斯
Ann Todd,安·托德
Colin Dowdeswell,科林·多德斯韋爾
Joan Hickson,瓊·漢克森
Sebastian de Souza,塞巴斯蒂安·德·索萨
Winifred Holtby,溫尼弗雷德·霍爾比
Joanne Harris,乔安娜·哈里斯
Jenny Wallwork,珍妮·沃尔沃克
Dan Black,丹·布萊克
David Walliams,戴维·沃廉姆斯
Liz May Brice,丽兹·梅·布莱丝
George Cruikshank,克魯克香克
Vladimir Bukovsky,弗拉基米尔·布科夫斯基
Maggie Cheung,張曼玉
Charlotte Rampling,夏綠蒂·蘭普林
Alison Williamson,艾莉森·威廉森
Anna Lo,盧曼華
Shirley Bassey,雪莉·貝西
Thomas Derrick,德瑞克 (劊子手)
Joan Robinson,瓊·羅賓遜
Jonathan Lynn,喬納森·林
Steve Simonsen,斯蒂文·西蒙森
Roy Bhaskar,罗伊·巴斯卡
Peter Kenyon,彼得·凯尼恩
Teddy Thompson,泰迪·湯普森
Henry Scott Tuke,亨里·斯戈特·图克
Peter Lorimer,彼得·羅利馬
Millvina Dean,米爾維娜·迪安
Helen Troke,海倫·卓克
Tara Summers,塔拉·萨莫斯（Tara Summers )
Rob Lee,羅拔·李爾
Sandy Griffiths,桑迪·格里菲夫斯
Colin Hendry,哥連·亨特利
Trevor Steven,特雷弗·史提芬
Karen David,凱倫·大衛
David Schneider,大衛·施奈德
Laura Howard,勞拉·霍華德
Robert Hardy,羅拔·哈迪
Jhumpa Lahiri,鍾芭·拉希莉
Jaye Davidson,傑伊·戴維森
Hayley Atwell,海莉·阿特维尔
Martin Kemp,马丁·坎普
Samantha Fox,萨曼莎·福克斯
Imelda Staunton,伊美黛·史道頓
Jung Chang,张戎
Ricky Walden,域奇·禾頓
Jason Cooper,傑森·庫珀
Tyrone Mears,泰龙·米尔斯
David Cox,戴维·科克斯
Noor Inayat Khan,努尔·艾娜雅特·汗
Richard Addinsell,理查德·艾丁塞爾
Clive Mantle,克羅斯比．曼托
Nora Perry,諾拉·佩里
Andrew Castle,安德魯·凱索
Annie Besant,安妮·貝贊特
Douglas Wilmer,道格拉斯·威爾默
Afshan Azad,阿夫珊·阿扎德
John E. Walker,约翰·沃克
Kathryn Prescott,凯瑟琳·普雷斯科特
Rachel Hurd-Wood,瑞秋·哈伍德
Sophie Kinsella,蘇菲·金索拉
Jennifer Ehle,詹妮弗·艾莉
Suzanna Hamilton,苏珊娜·汉密尔顿
Lady Caroline Lamb,卡罗林·兰姆女爵
Margaret Burbidge,瑪格麗特·伯比奇
Paula Rego,葆拉·雷戈
Mary Renault,瑪莉·雷諾特
Jenny Agutter,珍妮·艾格特
Cecilia Payne Gaposchkin,塞西莉亞·佩恩-加波施金
Laura Davies,勞拉·戴維斯
Rita Tushingham,麗塔·塔欣厄姆
Gladys Cooper,葛萊黛·古柏
Monica Ali,莫尼加·阿里
Stella Rimington,斯蒂拉·利明顿
Emilia Clarke,艾米莉亚·克拉克
Megan Burns,梅甘·伯恩斯
Phil Neal,菲臘‧尼路
Deep Roy,狄普·羅伊
Ian McDonald,伊恩·麥當勞
Herbert Rawlinson,赫爾伯特·羅林森
Beatie Edney,貝提·艾德尼
Tamara Mellon,塔瑪拉·梅隆
Trevor Pinnock,泰法諾·平諾克
Tsai Chin,周采芹
Lily Cole,莉莉·高爾
Martine Beswick,馬丁·貝斯維克
Christopher Hogwood,克利斯朵夫·霍格伍德
Jennifer Saunders,珍妮佛·桑德斯
James Purefoy,詹姆斯·鲍弗
Peter Hill-Wood,彼得·希-活
Leon Kossoff,莱昂·科索夫
Peter Reid,彼得·列特
Ernest William Brown,歐內斯特·威廉·布朗
Quentin Skinner,昆廷·斯金纳
Lili Kraus,莉莉·克劳斯
Mick Farren,米克·費倫
Lee Miller,李·米勒
William Hartnell,威廉·哈特内尔
Gordon Kennedy,哥頓·甘迺迪
Hilary Mantel,希拉里·曼特尔
Harold Lowe,哈羅德·羅威
Graeme Le Saux,格雷姆·拿索斯
Charlie Hodgson,查理·霍森
Stanhope Forbes,史丹霍普·福布斯
Gerran Howell,杰乐伦‧霍威尔
Vita Sackville-West,薇塔·薩克維爾-維斯特
"Princess Alice, Countess of Athlone",艾莉絲
Jack E. Cox,傑克·E·考克斯
Isaac Deutscher,艾萨克·多伊彻
Jared Harris,傑瑞德·哈里斯
David Batty,大衛·柏堤
Andy Goode,安迪·古德
Dave Kitson,戴夫·傑臣
Leon Jackson,萊昂·傑克遜
Gordon Welchman,戈登·魏齊曼
Terry Chimes,泰瑞·喬斯
Edwin Barnes,愛德雲·巴恩斯
Anthony Asquith,安東尼·亞奎斯
Clyde Best,克萊德·貝斯
Owen Teale,歐文·提爾
Kate Cary,凱特·卡里
Cherith Baldry,基立·鮑德卓
Bradley James,布拉德利·詹姆斯
Sean Biggerstaff,肖恩·比格斯塔夫
Princess Beatrice of Saxe-Coburg and Gotha,比阿特麗斯公主 (薩克森-科堡及哥達)
Claire Bloom,克萊爾·布鲁姆
Alan Johnston,艾伦·约翰斯顿
Ruth Prawer Jhabvala,露絲·鮑爾·賈華拉
Andrew Ellis,安德鲁·埃利斯
William Kennedy Dickson,威廉·肯尼迪·迪克森
Keisha Buchanan,凱薩布·坎南
Ronald George Wreyford Norrish,罗纳德·乔治·雷伊福特·诺里什
Andrew C. Fabian,安德魯·費邊
Leo Sayer,里奥·赛耶
Mick Ronson,麥克・朗森
Andy Fairweather Low,安迪·費爾韋瑟·羅
James Meade,詹姆斯·米德
Brian Ashton,布莱恩·阿什顿
Henry of England,英格蘭的亨利
Rose Tremain,罗丝·特里曼
Andy Dorman,安迪·多曼
Gus Caesar,凱薩
Anne Shilcock,安妮·西尔科克
Iain Turner,伊恩·端納
Terry Butcher,特里·布彻
Roberta Cowell,罗伯塔·考威尔
Norma Varden,諾瑪·瓦登
Daniel Harding,丹尼尔·哈丁
George S. Robertson,喬治·羅伯遜
Ray Clemence,基文斯
Marilyn Strathern,瑪麗蓮·史翠山
Ingeborga Dapkūnaitė,英格波佳·達庫內提
Suzie Templeton,蘇西·天普頓
Shirley Eaton,雪莉·伊頓
Jonathan Hyde,乔纳森·海德
John Woodvine,約翰·伍德藤
Frances Ruffelle,弗朗西斯·鲁菲勒
Paul Cook,保羅·庫克
David Warner,大衛·華納
Delroy Lindo,德尔罗伊·林多
Andy Coulson,安迪·科尔逊
Charles Ernest Overton,查尔斯·欧内斯特·奥弗顿
Franny Armstrong,弗兰妮·阿姆斯特朗
Peter Cook,彼得·库克
Patrick Doyle,帕特里克·道尔
Susan Hampshire,苏珊·汉姆谢
Allan Wells,艾伦·韦尔斯
Duncan Ferguson,邓肯·弗格森
Phil Manzanera,菲爾·曼贊涅拉
Willis Edwards,韋利斯·愛德華
Russell T Davies,拉塞爾·T·戴維斯
Henry Thomas Buckle,亨利·巴克爾
George Albert Boulenger,乔治·阿尔贝·布兰洁
John Keegan,約翰·基甘
Julian Sands,朱丽安·桑德斯
Norman Smith,诺曼·史密斯
Noel Streatfeild,諾埃爾·斯特里特費爾德
Darren Anderton,安達頓
Rolando patch,哈里·帕奇
Geoffrey Burbidge,傑佛瑞·伯比奇
Robert T. A. Innes,羅伯特·因尼斯
Siegfried Sassoon,西格里夫·萨松
Chris Sutton,基斯·瑟頓
Andrew Knott,安德鲁·诺
Andy Fraser,安迪·福瑞澤
Nick Frost,尼克·佛洛斯特
Guy Hamilton,蓋·漢彌爾頓
Simon Stephens,西蒙·斯蒂文斯
Andy Hicks,安迪·希克斯
Andy Hunt,安迪·亨特
Wilfred Bion,威尔弗雷德·鲁普莱希特·比昂
Nigel Havers,尼格爾·哈維斯
Steven Waddington,史蒂芬·瓦丁頓
Denys Lasdun,丹尼斯·拉斯頓
Christopher Neame,克里斯托弗·尼姆
Lance Comfort,蘭斯·康福
Compton Bennett,康普頓·班納特
Jon Walmsley,喬·華斯雷
John O'Hare,约翰·奥黑尔
Anthony Barnes Atkinson,安东尼·巴恩斯·阿特金森
Anne Skovgaard,安妮·史塔特
Neville Southall,尼維爾·修禾路
Laurie Cunningham,勞瑞·庫寧漢
Edward Charles Titchmarsh,爱德华·查尔斯·蒂奇马什
Andy Griffin,安迪·格芬
Jackie Mudie,杰基·米迪
Andy Marshall,安迪·马绍尔
Andy McCluskey,安迪·麦克斯基
Jack Hildyard,傑克·希爾德雅德
Craig Brown,克雷格·布朗
Yazz,亚兹
Ernest William Hobson,欧内斯特·威廉·霍布森
Chris Dickens,克里斯·狄肯斯
J. A. Todd,約翰·亞瑟·陶德
John Clive Ward,約翰·克萊夫·沃德
Mel Collins,梅爾·柯林斯
Annabelle Ewing,安娜贝勒·尤因
Annabelle Stephenson,安娜貝爾·斯蒂芬森
Serena Scott Thomas,瑟琳娜·史考特·湯瑪斯
Jennifer Nicks,珍妮弗·尼克斯
Simon Le Bon,西蒙·勒·邦
Harry Colt,哈里·柯爾特
Edward Lucie-Smith,路希-史密斯愛德華
Donald Ross,唐納·德羅斯（高爾夫球手）
Henry Tonks,亨利·唐克斯
Jo Durie,喬·多莉
Edmund Clifton Stoner,愛德蒙·斯通納
Sophie Aldred,苏菲·阿尔德雷德
Shane Williams,肖恩·威廉姆斯
Andy Goram,安迪·戈兰
Kelly Sotherton,凯莉·萨瑟顿
Ivor Novello,愛華·怒維路
Jack Cardiff,杰克·卡迪夫
Sophie Thompson,索菲·汤普森
Mary Lou McDonald,瑪麗·盧·麥克唐納
Ambrose,安布罗斯
Francesca Annis,法蘭西斯卡‧安妮斯
Diana Douglas,黛安娜·道格拉斯
Dave Davies,戴夫·戴維斯
Lucy Davis,露茜·戴维斯
Malcolm Patrick McMahon,馬爾科姆·麥克馬洪
Richey Edwards,理查德·詹姆斯·爱德华兹
George Renwick,乔治·伦威克
Richard Naylor,李察·尼萊
Mark Wright,马克·赖特
Andy Powell,安迪·鮑威爾
Alexander McCall Smith,亚历山大·麦考·史密斯
Adolph Deutsch,阿道夫·多伊奇
Andy Gray,安迪·格雷
Ben Elton,本·埃尔顿
Vincent Malone,文森特·马隆
Peter Moran,伯多祿·莫蘭
Julie Fowlis,朱莉·弗利斯
Hank Marvin,漢克·馬文
Jaroslav Drobný,亞羅斯拉夫·德羅布尼
Patrick Macnee,帕特里克·麥克尼
David Baddiel,戴维·巴蒂尔
Nina Sosanya,妮娜·索桑亞
Dizzee Rascal,迪利·瑞斯可
Muriel Day,妙麗葉兒·戴
Ned Maddrell,內德·馬德雷爾
Bryan Gunn,布赖恩·冈恩
Nicola Sturgeon,妮古拉·斯特金
Nikolai Medtner,尼古拉·卡尔洛维奇·梅特纳
Marcus Bent,馬古斯·賓特
David Murphy,大卫·墨菲
Hazel O'Connor,黑兹尔·奥康娜
Colin Davis,科林·戴维斯
Matthew Connolly,馬修·康諾利
Sam Claflin,山姆·克拉弗林
Betty Nuthall,貝蒂·納塔爾
Celia Imrie,希莉亞·伊姆麗
Barbara Burke,芭芭拉·伯克
Frank Bridge,弗兰克·布里奇
Jimmy White,吉米·怀特
John Wetton,約翰·韋頓
Steve Bloomer,史蒂夫·布卢默
Ruth Ellis,魯思·埃利斯
Sarah Patterson,莎拉·帕特森
Simon Phillips,西蒙·菲利普斯
John Waters,約翰·沃特斯 (演員)
Roy Harper,罗伊·哈珀
Nigel Cole,奈吉·柯尔
Jon Pertwee,約翰·帕特維
Billy McNeill,比利·麦克尼尔
Andy Kerr,安迪·科尔
Suzanna Leigh,蘇珊娜·李
Andy Partridge,安迪·帕特里奇
Jenny Beavan,珍妮·比雲
Neil Paterson,尼爾·派特森
Byron Webster,拜倫·韋伯斯特
Paula Yates,葆拉·叶慈
Ruth Sheen,鲁斯·西恩
Robert Snodgrass,羅拔·辛迪加斯
Hattie Morahan,海蒂·莫拉罕
Andy Nyman,安迪·尼曼
Sarah Burton,莎拉·伯顿
Ted Grant,泰德·格兰特
Ian Richardson,伊恩·理查森
Theo James,提奥·詹姆斯
Alex Reid,阿里克斯·瑞德
Caroline Bliss,卡羅琳·布利斯
Sonia,索尼娅
Tonia Couch,托妮亚·考奇
Terry Hayes,泰瑞·海斯
Andy King,安迪·金
Barbara Kellerman,芭芭拉· 科勒曼
Jemima Goldsmith,杰迈玛·戈德史密斯
Clodagh Rodgers,克洛達·羅傑斯
Sarah-Jane Potts,莎拉-簡·波茨
Margaret Furse,瑪格麗特·弗斯
Reg Butler,莱·巴特勒
Mark Higgins,马克·希金斯
Joanna Page,瓊安娜·佩吉
Vivian Campbell,維維安·坎貝爾
William Orbit,威廉·奧比
Shirley Strong,雪莉·斯特朗
Danny Higginbotham,丹尼·希堅保咸
Lady Ottoline Morrell,奥特林·莫瑞尔夫人
Phil Campbell,菲爾·坎貝爾
Henry McGee,亨利·麥基
Andy Roxburgh,安迪·羅克斯伯
Eleanor Bron,伊琳诺·布朗
Sandrine Holt,何家蓓
Geoff Emerick,傑夫·艾莫瑞克
Peter Egan,皮特·艾甘
Jamie Cope,傑米·柯普
Basil Hume,巴西爾·休謨
