André-Pierre Gignac,安德雷·皮埃爾·吉尼亞克
Moisés Muñoz,莫伊塞斯·穆尼奧斯
José Pamplona,何塞·潘普洛纳
Arturo Ripstein,奥图罗·利普斯坦
Silvio Hernández,西尔维奥·埃尔南德斯
Raúl Fernández Robert,劳尔·费尔南德斯
Rodolfo Choperena,鲁道夫·乔佩雷纳
Carlos Borja,卡洛斯·博尔哈
Gustavo Rojo,加斯塔沃·罗乔
Jesús González-Dávila,赫苏斯·冈萨雷斯·達維拉
Sara Corrales,萨拉·科拉莱斯
Edgardo Codesal Méndez,艾德加多·柯德薩爾
Mary Boquitas,玛丽·波基塔斯
Columba Bush,哥倫比亞．布什
Columba Domínguez,科伦巴·多明格斯
Alberto García-Aspe,阿斯佩
Fernando Eimbcke,费南多·伊姆贝克
Guillermo Haro,吉列尔莫·阿罗
Julián Carrillo,朱利安·卡里略
Luis Mendoza,路爾斯·門多薩
José Yves Limantour,何塞·伊夫·利曼图尔
Francisco Javier Echeverría,弗朗西斯科·哈维尔·埃切维里亚
Roberto Madrazo,羅伯托·馬德拉佐
Jorge Enríquez García,豪尔赫·恩里克斯
Jenni Rivera,珍妮·里维拉
Josefina Echánove,何塞菲娜·埃诺夫
Eduardo Cuervo,爱德华多·库尔沃
Lumi Cavazos,卢米·卡范佐斯
Itatí Cantoral,伊塔提·坎特劳
Rafael Gallardo García,辣法厄爾·加拉爾多-加爾西亞
Claudia Salinas,克劳迪娅·萨利纳斯
Arturo Barrio,阿图罗·巴里奥斯
Daniel Ponce de León,丹尼爾‧龐塞‧德‧李安
Raúl Alcalá,劳尔·阿尔卡拉
José Luis Reséndez,乔斯·路易斯·雷森德斯
Narciso Agúndez Montaño,納西索·阿吉迪茲·蒙塔托
Verónica Jaspeado,维罗妮卡·贾斯帕多
Paul Leduc,保罗·勒杜克
Yhency Brazobán,布拉佐班
Marcial Maciel,馬西亞爾·馬謝爾
Joaquín Capilla,华金·卡皮利亚
Ana Serradilla,安娜·塞拉迪利亚
Jorge Arce,荷黑·阿斯
Marcello Lara,馬爾切洛·拉臘
Luis Regueiro Urquiola,路易斯·雷盖罗
Óscar Chávez,奥斯卡·查韦斯
Arturo Álvarez-Buylla Roces,阿图罗·阿尔瓦雷斯-布伊亚
Manuel Álvarez Bravo,马奴埃尔·阿尔瓦雷兹·布拉沃
Laura Cerón,劳拉·塞龙
Angélica Vale,安祖妮嘉· 慧尔
Ramón Novarro,雷蒙·諾瑞洛
Olga Sánchez Cordero,奥尔加·桑切斯·科尔德罗
Alonso de León,阿隆索·德·利昂
Alejandro Monteverde,亚历杭德罗·蒙泰韦尔德
Alessio Romero,阿莱西奥·罗梅罗
Fernando Luján,费尔南多·卢扬
Lance Allred,兰斯·阿尔里德
Rosario Robles,羅薩里奧·羅布爾斯
Chessman,棋子
Raúl González Rodríguez,劳尔·冈萨雷斯·罗德里格斯
Consuelo Duval,孔苏埃洛·杜瓦尔
Consuelo Sáizar,康苏埃洛·萨伊扎尔
María Inés Guerra,玛丽亚·因斯·格拉
L. A. Park,拉·帕克
Adrián Alonso,阿德里安·阿龙索
Carmen Aub,卡门·奥布
Luz María Zetina,卢兹·玛丽亚·泽蒂娜
José Pablo Moncayo García,荷西·巴勃羅·蒙卡約
Ricardo Legorreta Vilchis,里卡多·列戈瑞达
Arturo García Bustos,阿圖羅·加西亞·巴斯托斯
Arturo Márquez,阿图马尔克斯
Heliodoro Escalante Ramírez,易斯克兰
Hermenegildo Ramírez Sánchez,赫美內琪·拉米雷斯-桑切斯
Cynthia Rodríguez,辛西娅
Cynthia de la Vega,辛西娅·代·拉·维加
Benny Ibarra,班尼·巴拉
Alejandro Filio,亚历杭德罗·菲利奥
Alejandro Galindo,亚历杭德罗·加林多
Álex Lora,艾利克斯·羅拉
Clara Brugada,克拉拉·布鲁格达
Miguel Ángel Félix Gallardo,米格尔·安赫尔·费利克斯·加利亚多
Enrique Metinides,恩里克·梅蒂尼德斯
Fernando Garibay,費爾南多·加瑞貝
Jaime Gómez,海梅·戈麦斯
José Guadalupe Posada,何塞•瓜達盧佩•波薩達
Eugenia Cauduro,欧根尼娅·卡杜罗
Chacho Gaytán,乔乔·盖坦
Jesse Tobias,傑西·托比亞斯
José Villegas Tavares,何塞·比列加斯
Caridad Bravo Adams,卡里达·布拉沃·亚当斯
Héctor Hernández,埃克托·埃尔南德斯
Chano Urueta,查诺·鲁塔
Alfredo B. Crevenna,阿尔弗雷多·克雷维纳
Francisco Palencia,弗朗西斯科·帕倫西亞
Juan Bautista de Anza,胡安·鮑提斯塔·德·安萨
José Revueltas,何塞·雷武埃尔塔斯
Rogelio A. González,罗赫利奥·冈萨雷斯
Miguel Zacarías,米格尔·扎卡里亚斯
Jorge Carlos Vergara Madrigal,喬格·威格拉
Nicolás Navarro Castro,尼古拉斯·纳瓦罗
Sergio Obeso Rivera,塞爾希奧·奧韋索·里韋拉
Julio Cedillo,胡里奧·塞迪略
Xavier Villaurrutia,哈维尔·维拉鲁迪亚
Juan García Esquivel,胡安·加西亞·埃斯基維爾
Enrique Camarena Salazar,恩里克·卡馬雷納 (美國緝毒局探員)
Antonio Enríquez Savignac,安东尼奥·恩里克斯·萨维尼亚克
Daniel Mastretta,丹尼尔·马斯特雷塔
Aylín Mujica,艾琳·姆吉卡
Cristóbal Orellana,克里斯托瓦尔·奥雷亚纳
Agustín Jerónimo de Iturbide,阿古斯丁王子
Moquíhuix,莫基伊斯特利
Jorge Negrete,豪尔赫·内格雷特
Ivan Mouriño,胡安·卡米洛·莫里尼奥
María Grever,玛丽亚·格里弗
Resortes,阿达尔贝托·马丁内斯
Javier Valdivia,哈维尔·巴尔迪维亚
Víctor Rangel,维克托·兰赫尔
Adrián Rivera Pérez,阿德里安·李維拉·佩雷斯
Andrés Pico,安德烈斯·皮科
Adán Jodorowsky,亞當·尤杜洛斯基
César Gándara,塞萨尔·甘达拉
César Ramírez,塞薩爾·拉米雷斯
Agustín Zaragoza,阿古斯丁·萨拉戈萨
Felipe de Alba,費利佩·阿爾巴
Juan Gabriel,強蓋伯瑞
César Costical,凱撒·柯斯達
Alicia Bárcena Ibarra,阿莉西亚·巴尔塞纳·伊巴拉
Socorro Bonilla,索科罗·博尼利亚
Fernando Arce,費爾南多·阿爾塞
César Évora Diaz,塞萨尔·埃沃拉
Juan Bautista Ceballos,胡安·包蒂斯塔·塞瓦略斯
Cosiiopii II,柯西乔皮
Eugenio Siller,欧金尼奥·希勒
Ilya Salkind,伊利亞·塞爾金德
Pancho Córdova,潘科·科尔多瓦
Julián Soler,朱利安·索勒
Salvador Díaz Mirón,萨尔瓦多·迪亚斯·米龙
Javier Vargas,哈维尔·巴尔加斯
Alejandro Bichir,伊纳里多·比齐尔
René Cardona Jr.,勒内·卡多纳
Bender Bending Rodríguez,班德·班亭·羅德里蓋茲
Olaf Heredia,奥拉夫·埃雷迪亚
Aldo Monti,阿爾多·蒙蒂
Marco Antonio Solís,馬克·安東尼奧·索利斯
Gerardo Murguía,杰拉尔多·穆尔吉亚
Tito Davison,狄托·戴維森
Damaris Gabriela Aguirre Aldaz,达玛丽斯·阿吉雷
Damián Alcázar,达米安·阿尔卡扎
Aurelio Rodríguez,奧瑞里歐·羅德里奎茲
Gabriel Beristáin,加布里埃爾·貝里斯坦
David ''D'' Barron,大衛·巴倫·科羅納
David Bárcena Ríos,戴维·巴尔塞纳·里奥斯
Francisco Mendoza,弗朗西斯科·门多萨
Francisco Primo de Verdad y Ramos,法蘭西斯科·卜瑞莫·德·魏達德
David Roditi,戴维·罗迪蒂
David Sánchez Morales,丹尼尔·桑切斯·莫拉里斯
Jaime Calderón Calderón,雅各伯·卡爾德龍-卡爾德龍
Jaime Ordiales,海梅·奥迪亚莱斯
Mon Laferte,蒙·拉弗特
David Galván,戴维·加尔万
David Martínez Guzmán,大衛·馬丁內斯 (商人)
Ignacio Altamira,阿拉达米拉依纳秀
Ignacio Ambriz,伊格納西奧·安布里斯
Ignacio Calderón,伊格纳西奥·卡尔德龙
Daniel Corral,丹尼尔·科拉尔
Salvador Durán,萨尔瓦多·杜兰
Aleks Syntek,阿莱克斯·西恩特克
Alfonso Corona Blake,阿方索·科罗纳·布拉克
Ricardo Ferretti,里卡多·费雷蒂
Héctor González Martínez,埃克托·岡薩雷斯-馬丁內斯
Héctor Ortiz Benítez,埃克托·奥尔蒂斯
Carlos Esquivel,卡洛斯·埃斯基韋爾
Othón P. Blanco,奥顿·庞佩约·布兰科
Inés Arredondo,伊内斯·亚瑞唐多
Delfina Ortega Díaz,德尔菲娜·奥尔特加·迪亚斯
Augusto H. Álvarez,奧古斯托·H·阿爾瓦雷斯
Pedro Vélez,佩德罗·贝莱斯
Carlos Cuarón,卡洛斯·卡隆
Eustacio Rizo,歐斯塔西奧·里佐
Juan Paredes Miranda,胡安·帕雷德斯
Ismael Sergio Ley López,李子文
Arap Bethke,阿普·贝思克
Ariadne Díaz,阿里阿德涅·迪亚斯
Diego Amozurrutia,迭戈·阿莫祖鲁蒂亚
Geno Silva,吉諾·西瓦
Arturo Brizio Carter,卡特
Salvador Guerrero,格雷·葛雷洛
Roberto Blandón,罗伯托·布蘭登
Daniela de Jesus Cosio,丹尼拉·德·热苏斯
Jonathan Orozco,喬納森·奧羅斯科
Jorge Bernal Vargas,喬治·貝爾納爾-巴爾加斯
Joaquín Gutiérrez Heras,华金·古铁雷斯·赫拉斯
Arturo Peniche,阿图罗·佩尼切
Saúl Lisazo,索尔·利萨索
Joaquín Cosío,華金凱西歐
Andrés Soler,安德烈斯·索勒
Angelines Fernández,安盖莱恩斯·费尔南德斯
Anna Ciocchetti,安娜·西奥切蒂
Javier Navarro Rodríguez,沙勿略·納瓦羅-羅德里格斯
Ignacio Hierro,伊格纳奇奥·伊埃罗
Iria Gómez Concheiro,伊里亚·戈麦斯·孔切罗
José Antonio Roca,何塞·罗加
José Armando Álvarez Cano,若瑟·赫門·阿爾瓦雷斯-卡諾
José Cepeda,阿爾圖羅·塞佩達
Jaime Salazar,海梅·萨拉萨尔
Susana Dosamantes,苏珊娜·多萨曼德斯
Arturo Alfonso González González,阿圖羅·岡薩雷茲
Arturo Soto Rangel,阿圖羅·索托·蘭格爾
Arturo de Córdova,阿图罗·德·科尔多瓦
Blanca Soto,布兰卡·索托
Angélica Celaya,安吉里卡·希拉娅
Beatriz Sheridan,比阿特丽斯·谢里登
Christian Bejarano Benítez,克里斯蒂安·贝哈拉诺
Pilar Reyes,何塞·雷耶斯 (足球运动员)
Angélica Rivera,安洁丽卡·里维拉
Antonio Roldán,安东尼奥·罗尔丹
Antonio de León y Gama,安东尼奥·德·里昂尼伽玛
Arath de la Torre,阿特·代·拉·托
Archibaldo Burns,阿奇巴爾多·伯恩斯
Lupita Nyong'o,露琵塔·尼詠歐
Jessica Aguilar,杰西卡·阿吉拉尔
Domingo Francisco Chimalpahin Quauhtlehuanitzin,奇马尔帕因
Jesús Agustín López de Lama,若蘇厄·奧斯定·洛佩斯-德-拉馬
Carlos Mercenario,卡洛斯·梅塞纳里奥
Aracely Arámbula,阿拉西丽·阿拉姆布拉
Éder dos Santos,艾達·杜斯山度士
Manuel Mijares,曼努埃尔·米哈雷斯
Diana Bracho,戴安娜·布拉荞
Antonio Marrufo Mendoza,安東尼奧·馬魯福·門多薩
Antonio Joaquín Pérez Martínez,安东尼奥·华金·佩雷斯·马丁内斯
David Noel Ramírez Padilla,戴维·诺埃尔·拉米雷斯·帕迪拉
David Patiño,大衛·帕蒂諾
David Reynoso,戴維·雷诺索
Jorge Romo Fuentes,豪爾赫·羅莫
María Lupita García Zavala,瑪利亞·瓜達盧佩·加爾西亞·莎娃拉
María Novaro,玛丽亚·诺瓦罗
Nallelys Solís,Nallely Solís
Ariel López Padilla,阿里尔·洛佩斯·帕迪拉
Joel Sánchez Guerrero,霍埃尔·桑切斯 (田径运动员)
Johan Rodríguez,约翰·罗德里格斯
Dolores Jiménez y Muro,多洛雷斯·希門尼斯和沃爾
Mario Trejo,马里奥·特雷霍
Fernando Colunga,费尔南多·克伦加
Rodrigo López,罗德里戈·洛佩斯
Atotoztli II,阿托托斯特莉二世
Cristobal Jodorowsky,阿克塞尔·霍多罗夫斯基
Alberto Uribe Camacho,阿尔韦托·乌里韦·卡马乔
Mariana Magaña,玛丽安娜·马加纳
Roberto Kobeh Gónzalez,罗伯特·高贝·冈萨雷斯
José Arcadio Limón,荷西·李蒙
Carlos Santana,卡洛斯·山塔那
Karla Martínez,卡拉·馬丁內斯
Luis Álvarez,路易斯·安東尼奧·阿爾瓦雷斯·穆里略
José Antonio Fernández Hurtado,若瑟·安多尼·費爾南德斯·烏爾塔多
Francisco Gabriel de Anda,弗朗西斯科·加布里埃爾·德·安達
José Barroso Chávez,何塞·巴罗索·查韦斯
Eduardo Garza,爱德华多·加尔萨
Eduardo Lillingston,爱德华多·利林斯顿
Eduardo Manzano,爱德华多·曼萨诺
Ana Gabriel,安娜·加夫列尔
Pedro Moctezuma,佩德罗·蒙特苏马
Pablo Rudomín,巴勃罗·鲁多明
Natalia Esperón,娜塔莉亚·埃斯佩龙
Armando Araiza,阿曼多·阿赖萨
Dr. Wagner,瓦格纳博士
Eddie "Piolín" Sotelo,埃迪·翠兒·索特洛
Jorge Guajardo,豪尔赫·瓜哈尔多
Jorge Eduardo Navarrete,豪尔赫·爱德华多·纳瓦雷特
José Trinidad Sepúlveda Ruiz-Velasco,何塞·特立尼達·塞普爾韋達·魯伊斯-貝拉斯科
Ximena Herrera,克西梅纳·埃雷拉
Miguel Covarrubias,米格爾科·瓦魯比亞斯
Baldomero Toledo,巴爾多梅羅·托萊多
El Satánico,埃尔·萨塔尼科
José Luis Borbolla,何塞·博沃利亚
José Luis Castro Medellín,何塞·路易斯·卡斯特羅·麥德林
Carmen Salinas,卡门·萨利纳斯
Manuel Nájera,曼努埃尔·纳赫拉
Alicia Villarreal,艾丽西亚·比利亚雷亚尔
Eduardo Arellano Félix,愛德華多·阿雷拉諾·菲利克斯
Eduardo Auyón,欧阳民
Felicia Mercado,费利西亚·梅尔卡多
Ignacio López Tarso,伊格纳西奥·洛佩斯·塔尔索
Nora Salinas,诺拉·萨利纳斯
Esteban Loaiza,埃斯特万·洛艾萨
Marlene Favela,马琳·法维拉
Óliver Pérez,奧利佛·培瑞茲
Mariana Torres,玛丽安娜·托雷斯
Vibe,震波
Úrsula González,Úrsula González
Edwin Bustillos,埃德溫·布斯蒂略斯
Juan Fabila Mendoza,胡安·法维拉
Fernanda Castillo,费尔南达·卡斯蒂略
José Luis Dibildox Martínez,何塞·路易斯·迪比多斯·馬丁內斯
José Lamadrid,何塞·路易斯·拉马德里
Braulio Proculo Luna,布劳略·卢纳
Daniela Castro,丹妮拉·卡斯特罗
David Zepeda,大卫·塞佩达
Julio Frenk Mora,胡利奧·弗倫克
Ilan Stavans,伊兰·斯塔万斯
Yolanda Montez,野貓
Juan Odilón Martínez García,若望·奧迪隆·馬丁內斯-加西亞
Bill Meléndez,比爾·門勒德茲
Raquel Olmedo,拉奎尔·奥尔梅多
Carlos Ferro,卡洛斯·费罗
José Antonio Noriega,約瑟·安東尼奧·諾列加
Rafael Aguilar Guajardo,拉斐尔·阿吉拉尔·瓜哈尔多
Tezozomoc,特索索莫克
Mario González,马里奥·冈萨雷斯
Steve Clemente,史蒂夫·克萊門特
Tatiana Huezo,Tatiana Huezo
Nicolás Echevarría,尼古拉斯·蔡浩伟
Miguel Lerdo de Tejada,米格尔·莱尔多·德特哈达
Salvador Zerboni,萨尔瓦多·泽博尼
Benito Alazraki,貝尼托·阿拉茲拉基
Juan Luis Barrios,胡安·路易斯·巴里奥斯
Emilio Carballido,埃米利奥·卡巴里多
Guillermo Ortiz Martínez,季耶尔默·奥迪斯·马丁内斯
Juan Jesús Posadas Ocampo,若望·若蘇厄·波薩達斯-歐坎波
Diana Golden,戴安娜·戈尔登
Julián Sánchez,胡利安·桑切斯
Silvia Navarro,西尔维娅·纳瓦罗
Julián Rodríguez Adame,罗德基
Blue Demon,藍惡魔
Eduardo Ramos,爱德华多·拉莫斯
Duilio Davino,杜伊利奥·达维诺
Geraldine Galván,杰拉丁·阿雷扬德拉
Alejandro Aragón,亚历杭德罗·阿拉贡
Claudio Báez,克勞迪奧·巴斯
Arturo Mercado Chacon,阿图罗·梅尔卡多
Oswaldo Alanis,奥斯瓦尔多·阿兰尼斯
Cien Caras,西恩·卡拉斯
Aldo de Nigris,迪尼格里斯
Juan de Dios Caballero Reyes,天賜若望·卡巴列羅-雷耶斯
Emilio Diez Barroso,埃米利奥·迪斯·巴罗佐
Elvia Ardalani,艾爾維亞·阿爾達蘭尼
Martín Zúñiga,蘇尼加
David Maldonado González,戴维·马尔多纳多·冈萨雷斯
Elmer Dessens,埃尔默·德森斯
Elsa Cross,埃爾莎·克羅斯
Pablo Acosta Villarreal,巴勃罗·阿科斯塔·比利亚雷亚尔
Francisco Tenamaztle,弗朗西斯科·特尼亚马孙特尔
Alfonso Arau,阿方索·阿勞
Ramón Martín Huerta,拉蒙·马丁·韦尔塔
Francisco de Paula Milán,弗朗西斯科·米蘭
Ricardo Anaya Cortés,里卡爾多·阿納亞
Víctor Alcocer,维克托·阿尔科瑟
Elías Nandino,埃利亞斯·南迪諾
Héctor Beltrán Leyva,埃克托·贝尔特兰·莱瓦
Augusto Benedico,奥古斯托·本尼迪科
Enedina Arellano Félix,埃內迪娜·阿雷拉諾·菲利克斯
Emilio Álvarez Icaza,埃米利奧·阿爾瓦雷斯·伊卡薩
Guillermo Rojas,梅莫·罗哈斯
Cynthia Klitbo,辛西娅·克里特波
Benjamín Arellano Félix,本杰明·阿雷利亚诺·费利克斯
Mauricio Aspe,毛里西奥·阿斯佩
Carlos Enrique Taboada,卡洛斯·恩里克·塔沃阿达
Carlos de la Madrid Virgen,卡洛斯·德拉馬德里·維爾根
Leandro Izaguirre,莱昂德罗·伊萨吉雷
Julio César Domínguez,朱利奥·多明格斯
Enrique Ibarra Pedroza,恩里克·伊巴拉·佩德罗萨
Enrique Lucero,恩里克·卢塞罗
Juan B. Rojo de la Vega,万瑞赉
Juan B. Saldaña,赛尔达
Juan Ignacio Basaguren,胡安·伊格纳西奥·巴萨古伦
Cuauhtémoc Cárdenas Solórzano,夸特莫克·卡德纳斯
Margarita Magaña,玛加丽塔·马加尼亚
Yahel Castillo,亚赫尔·卡斯蒂略
Diana Santos,戴安娜·桑托斯
Isabela Corona,伊莎贝拉·科罗纳
Ricardo Peláez,佩拉爾茲
Gilbert Roland,吉爾伯特·羅蘭
María Rebeca SA,玛丽亚·丽贝卡
Benito Guerra Jr.,貝尼托·格拉
Biby Gaytán,比比·盖坦
Alberto Suárez Inda,阿爾韋托·蘇亞雷斯·因達
Carla Medina,卡拉·梅迪納
Carlos Bolado,卡洛斯·博拉多
Marcos E. Becerra,同名诗人
Silver King,西尔弗·金
Perro Aguayo,佩羅·阿克雅
Alejandra Valencia,亞歷杭德拉·瓦倫西亞
Pelagio Antonio de Labastida y Dávalos,佩拉希奥·安东尼奥·德·拉瓦斯蒂达-达瓦洛斯
Alberto Coyote,阿爾伯特·科約特
Isaura Espinoza,伊绍拉·埃斯皮诺萨
Jaime Garza,杰米·加尔萨
Javier Hernández Gutiérrez,哈维尔·埃尔南德斯 (1961年)
Filomeno Mata,費羅曼諾·馬塔
Violeta,比奥莱塔·斯费尔
Ernesto Contreras,埃内斯托·孔特雷拉斯
Ernesto Fonseca Carrillo,埃内斯托·丰塞卡·卡里略
Enrique de la Madrid Cordero,恩里克德拉马德里
Ernesto Cordero,埃內斯托·科爾德羅·阿羅約
Brazo de Plata,布拉索·德·普拉塔
Luis Mandoki,路易斯·曼多基
Cepillín,塞皮林
Humberto Zurita,郝伯特·朱瑞塔
Tomás Mejía,托马斯·梅西拉
Miguel M. Delgado,米格尔·M·德尔加多
Samuel Ruiz García,塞缪尔·鲁伊斯
Angelina Peláez,安吉丽娜·佩拉兹
Amparito Arozamena,安帕罗·阿萨梅纳
Héctor el Güero Palma,赫克托·路易斯·帕尔马·萨拉萨尔
Pedro Linares López Roberto,佩德罗·利纳雷斯
Antonio Ríos Martínez,安東尼奧·里奧斯
Jesús Olmos,赫苏斯·奥尔莫斯
Carlos Salces,卡洛斯·萨尔切斯
Osvaldo Benavides,奥斯瓦尔多·貝納維德斯
Aura Cristina Geithner,奥拉·克里斯蒂娜·盖特纳
Jorge Mester,豪尔赫·梅斯特
Esteban Siller,埃斯特万·西勒
Lourdes Arruti,劳尔德·阿鲁蒂
José María de Tavira,何塞·玛丽亚·塔维拉
Eréndira Ibarra,艾倫迪拉·伊巴拉
Brontis Jodorowsky,布朗提斯·尤杜洛斯基
Bruno Bichir,布鲁诺·庇屈
Vicente Carrillo Fuentes,韦森特·卡里略·富恩特斯
José Ángel Gurría,何塞·安赫尔·古里亚
José María Pino Suárez,何塞·马里亚·皮诺·苏亚雷斯
Guillermo Fernández García,吉列爾莫·費南德茲·加西亞
Gabino Barreda,加比诺·巴雷达
Jaime Lozano,海梅·洛扎诺
Ligorio López,利戈里奥·洛佩斯
Luis Montes Jiménez,路易斯·蒙迪斯
Joakim Soria,喬金·索里亞
Juan Nepomuceno Guerra Cárdenas,胡安·內波穆森·格拉
Enrique Novi,恩里克·诺维
Carlos Savage,卡洛斯·萨维奇
Carlos Villagrán,卡洛斯·維拉葛蘭
Margarito Esparza,马加里托
K'inich K'an Joy Chitam II,伊尼奇·凱安·喬伊·奇塔姆二世
Julio Scherer García,胡利奥·谢雷尔·加西亚
D'Angelo Jiménez,丹吉洛· 梅納茲
Carlos Hermosillo,卡洛斯·埃莫西約
Francisco Hernández Pineda,弗朗西斯科·埃尔南德斯
Eduardo Matos Moctezuma,愛德華多·馬托斯·蒙特祖馬
Ramón Ramírez,雷蒙·拉米雷斯 (墨西哥足球員)
Gabriela Cuevas,加布里埃拉·奎瓦斯·巴隆
Mariana Chenillo,马里亚纳·切尼约
Miguel Sabah,米格尔·萨巴赫
Joaquín Pérez,华金·佩雷斯
Paloma Márquez,帕洛玛·马尔克斯
Manuel María Lombardini,曼努埃尔·马里亚·隆巴尔迪尼
Diego Muñoz Camargo,迭戈·穆尼奧斯卡馬戈
Dionisio Pérez-Jácome Friscione,迪奥尼西奥·佩雷斯
Robinson Tejeda,羅布·塔哈達
Luis Rodríguez Alanís,路易斯·阿方索·罗德里格斯
María Teresa Ramírez,玛丽亚·特雷莎·拉米雷斯
Rafael Inclán,拉斐尔·因克兰
Ximena Sariñana,希梅納·萨里尼亚纳
Charles Trowbridge,查理·特羅布里奇
Leopoldo Blázquez Margáin,巴拉斯
Leopoldo González González,良保·貢薩萊斯-貢薩萊斯
Malillany Marín,马利尼·马林
Ricardo Benet,里卡多·贝内特
Juan Carlos Valenzuela,胡安·卡洛斯·瓦伦苏埃拉
Guillermo Capetillo,吉列尔莫·卡佩蒂洛
Luis Spota,路易斯·斯波塔
Gonzalo Pineda,干沙路·皮內達
Manuel Fernández Castrillón,曼努埃爾·費爾南德斯·卡斯特里隆
Armando Manzo,阿曼多·曼索
José Mariano Salas,荷西·馬里亞諾·薩拉斯
Wendy Braga,温迪·布拉加
Lucía Méndez,露西娅·门德斯
Lino Muñoz,利诺·穆尼奥斯
José Horacio Gómez,若瑟·歐拉西奧·戈梅斯
Damián Álvarez Arcos,達米安·阿爾瓦雷斯·阿科斯
Rafael Amador Flores,拉斐尔·阿马多尔
Marcel Sisniega,马塞尔·西斯妮加·坎贝尔
Evangelina Sosa,伊万格琳娜·索萨
Francisco de Toral,法蘭斯高·德·托拉爾
Jorge Blanco,豪爾賀·布蘭戈
Emilio Azcárraga Vidaurreta,埃米利奧·阿茲卡拉加·维达乌雷塔
Miguel Ángel Zepeda,米格尔·塞佩达
Valentín Elizalde,瓦倫丁·艾利薩德
Ferrusquilla,何塞·安赫爾·埃斯皮諾薩
Miguel España,米格尔·埃斯帕尼亚
Miguel Barbachano,米格爾·巴瓦查諾
Ximena Rubio,希梅纳·卢比奥
Miguel Alonzo Romero,罗默路
Jose Lothario,荷西·洛塔里奧
Domingo Soler,多明戈·索莱尔
Max Prieto,马克斯·普列托
Fernando Quirarte,费尔南多·基拉尔特
Sherlyn González,瑟琳
Dennys Reyes,丹尼斯·雷耶斯
Paulo Quevedo,保罗·克韦多
Luis Ayala,路易斯·阿亞拉
Diego Cataño,迭戈·卡塔诺
Felipe Muñoz Kapamas,费利佩·穆尼奥斯
Jacob Vargas,雅各·韋加斯
Felipe Berriozábal,費利佩·貝里奧薩巴爾
Mónika Sánchez,莫尼卡·桑切斯
Adal Ramones,阿达尔·雷蒙斯
Adela Micha,阿德拉·迈克
Adrián Rubio,阿德里安·鲁维奥
Daniel Francisco Cabeza de Vaca,丹尼尔·弗朗西斯科·卡贝扎·德瓦卡
Fabián Vázquez,法维安·巴斯克斯
Santiago Méndez Ibarra,聖地亞哥·門德斯
Acrata,黑暗天使
Adrian Hong,阿德里安·洪·昌
Adrian Steckel,阿德里安·斯特克尔
Luis Palés Matos,路易斯·帕莱斯·马托斯
Manuel Bartlett Díaz,马努埃爾·巴特莱特
Fabio Morábito,法比奧·莫拉比托
Antonio Toledo Corro,安東尼奧·托萊多·科爾沃
Antonio Zamudio,安东尼奥·萨穆迪奥
Francisco Javier Cruz,弗朗西斯科·克鲁斯
Luis Enrique Flores,路易斯·弗洛雷斯·奥卡兰萨
José Ignacio Pavón,何塞·伊格纳西奥·帕冯
Alfredo Tena,阿尔弗雷多·特纳
Isidoro Díaz Mejía,伊西多罗·迪亚兹
Marcos Arturo Beltrán-Leyva,阿图罗·贝尔特兰·莱瓦
Rodrigo Plá,罗德里戈·普拉
Fidel Ortiz,菲德尔·奥尔蒂斯
Fausto Zapata,福斯托·萨帕塔·洛雷多
Fausto Isidro Meza Flores,福斯托·伊西德罗·梅萨·弗洛雷斯
Eusebio Leal,欧塞维奥·莱亚尔
Eva Aridjis,伊娃·阿里吉斯
Evangelina Villegas Moreno,埃瓦格利纳·维勒加斯
Rafael Osuna,拉斐爾·奧蘇那
Manuel Lorenzo Justiniano de Zavala y Sáenz,羅倫薩·德薩瓦拉
Iván García,伊万·加西亚
Antonio Ezequiel Cárdenas Guillén,安东尼奥·卡德纳斯·纪廉
Ignacio Coronel Villarreal,伊格纳西奥·科罗内尔·比利亚雷亚尔
Saturnino Martínez,萨图尼诺·马丁内斯
Ignacio Jáuregui,伊格纳西奥·豪雷吉
Jaime Belmonte,海梅·贝尔蒙特
Fernando Huesca,费尔南多·韦斯卡
Ignacio Flores Ocaranza,伊格纳西奥·弗洛雷斯
Héctor Pulido,埃克托尔·普利多
Juan Manuel Alejándrez,胡安·曼努埃尔·亚历杭德雷斯
Martín Dihigo,馬丁·迪希戈
Manuel Vidrio,曼努埃尔·比德里奥
El Santo,埃尔·桑托
Pablo Larios Iwasaki,巴勃罗·拉里奥斯
Francisco Labastida,弗朗西斯科·拉巴斯蒂达·奥乔亚
José Antonio de la Vega Asmitia,乔斯·安东尼奥·代·拉·维加·阿史密舍
Fernanda Tapia,芙南達·塔皮亞
Fernanda Villeli,费尔南达·维利利
Arturo Ríos,阿图罗·里奥斯
Raúl Ramírez Lozano,勞爾·拉米瑞茲
Ariane Pellicer,阿丽亚娜·佩利格尔
Aristóteles Sandoval Díaz,亚里士多德·桑多瓦尔
Javier Guzmán,哈维尔·古兹曼
Fernando Wagner,費爾南多·華格納
José Luis González Dávila,何塞·路易斯·冈萨雷斯
José Guadalupe Velázquez,何塞·贝拉斯克斯
Paco Chacón,弗朗西斯科·查孔
Armando Hernández Villegas,阿曼多·汤姆森
Fernando Solana,费尔南多·索拉納
Francisco Arroyo Vieyra,阿羅育·維埃拉
Fernando Delgadillo,费尔南多·德尔加迪洛
