Klaus Ernst,클라우스 에른스트
Hellmuth Kneser,헬무트 크네저
Leopold Löwenheim,레오폴트 뢰벤하임
Hans Freudenthal,한스 프로이덴탈
Karl Groos,카를 그로스
Otto Neumann,오토 노이만
Ferdy Mayne,페르디 마이네
Stefan Hell,스테판 헬
Alexander von Brill,알렉산더 폰 브릴
Lena Malkus,레나 말쿠스
Hermann Köhler,헤르만 쾰러
Franz-Benno Delonge,프란츠베노 델롱게
O. E. Hasse,O. E. 하스
Karin Schubert,카린 슈베르트
Benjamin Heisenberg,베냐민 하이젠베르크
Sandy Mölling,샌디 묄링
Daniela Götz,다니엘라 괴츠
Fatmire Alushi,파트미레 알루시
Jie Schöpp,제 쇼프
Steve Holmes,스티브 홈즈
Simon von Utrecht,시몬 판 위트레흐트
Alexander Schenk Graf von Stauffenberg,알렉산더 솅크 그라프 폰 슈타우펜베르크
Klausjürgen Wussow,클라우스위르겐 부소
Birthe Wolter,비르데 볼터
Matthias Koeberlin,마티아스 쾨베를린
Hermann J. Giskes,헤르만 기스케스
Florian Beck,플로리안 베크
Hans Schwaier,한스 슈바이어
Kai Wiesinger,카이 와이싱어
Dennis Wolf,데니스 볼프
Benjamin Trinks,베냐민 트링크스
Fritz Wepper,프리츠 웨퍼
Elmar Wepper,엘마 베퍼
Jacob Matschenz,야코프 마트셴츠
Hermann Senator,헤르만 제나토어
Michael Mendl,미하엘 멘들
Peter Janich,페터 야니히
Johann Hauler,요한 하울러
Willy Birgel,빌리 비르겔
Sven Martinek,스벤 마르티넥
Jürgen Faßbender,위르겐 파스벤더
Jasmin Gerat,야스민 게라트
Maren Ade,마렌 아데
Uli Edel,울리 에델
Ralph Bergmann,랄프 베르크만
Friedrich Julius Rosenbach,프리드리히 율리우스 로젠바흐
Karl Bücher,카를 뷔허
Sara Nuru,사라 누루
Laura Siegemund,라우라 지게문트
Odisseas Vlachodimos,오디세아스 블라호디모스
Roland Schimmelpfennig,롤란트 시멜페니히
Daniel Kreutzer,다니엘 크로이처
Jacob Marschak,제이코브 마르샤크
Matthias Hues,매티아스 휴즈
Tina Riegel,크리스티나 리겔
Isabell Ost,이자벨 오스트
Elisabeth Schüssler Fiorenza,엘리자베스 쉬슬러 피오렌자
Thomas Giessing,토마스 기에싱
Jens Kujawa,옌스 쿠야바
Klaus Koch,크라우스 코크
Andrea Fendt,안드레아 펜트
Adam Gottlob von Moltke,아담 고틀로브 몰트케
Theodor Möbius,테오도어 뫼비우스
Aleksander Polaczek,알렉산더 폴라체크
Margret Göbl,마그렛 괴블
Christian Blum,크리스티안 블룸
Thomas Enders,톰 엔더스
Rüdiger Lautmann,뤼디거 라우트만
Daniela Klette,다니엘라 클레테
Volker Bertelmann,하우슈카
Manfred Krug,만프레드 크루그
Hans Schweikart,한스 슈바이카르트
Leonard Ennen,레온하르트 에넨
Sören Bartol,죄렌 바르톨
Fahriye Evcen,파흐리예 에브젠
Heinz Reincke,헤인즈 레인케
Hannes Jaenicke,하네스 재닉
Natalia Avelon,나탈리아 아벨론
Albert Eichhorn,알버트 아이크혼
Waldemar Kobus,발데마르 코부스
Ludger Pistor,루저 피스터
Georg Braun,게오르크 브라운
Manuela Ruben,마누엘라 루벤
Róža Domašcyna,로자 도마슈치나
Alexandra Neldel,알렉산드라 넬델
Hans Goldschmidt,한스 골트슈미트
James Ingo Freed,제임스 잉고 프리드
Rudolf Haag,루돌프 하크
Stephan Hermlin,슈테판 헤름린
Katharina Heinz,카타리나 하인츠
Denis Geppert,데니스 게페르트
Maria Furtwängler,마리아 푸르트벵글러
Cordula Stratmann,코르둘라 슈트라트만
Sonja Zietlow,소냐 지에우로우
Ignaz Kögler,이그나츠 쾨글러
Lucca Staiger,루카 슈타이거
Barbara Schöneberger,바르바라 쇠네베르거
Martin Haspelmath,마르틴 하스펠마트
Ruth Moufang,루트 무팡
Rebecka Dirichlet,레베카 멘델스존
Hannelore Elsner,하넬로레 엘스너
Bert Schenk,베르트 솅크
Bodo Hombach,보보 홈바흐
Hans Erich Nossack,한스 에리히 노사크
Gregor Wentzel,그레고어 벤첼
Heinz Melkus,하인츠 멜쿠스
Philip Wiegratz,필리프 비그라츠
Philipp Tanzer,로건 매크리
Philipp Hofmann,필리프 호프만
Wolfgang Heinz,볼프강 하인츠
Harald Philipp,하랄트 필리프
Geoffrey Rudolph Elton,제프리 엘턴
Heiko Schaffartzik,하이코 샤파르치크
Marlene Sinnig,마를레네 지니히
Hans Peter Hallwachs,한스 피터 홀워치
Ludwig Dürr,루트비히 뒤어
Andreas Lang,안드레아스 랑
Selina Jörg,젤리나 외르크
Tore Meinecke,토레 마이네케
Doris Kunstmann,도리스 컨스트먼
Heidi Schüller,하이디 쉴러
Erwin Kalser,에르빈 칼저
Gerhard Kittel,게르하르트 킷텔
Horst von Möllendorff,호르스트 폰 묄렌도르프
Bernd Klotz,베른트 클로츠
Peter Carsten,페터 카르스텐
Helmut Thielicke,헬무트 틸리케
Siegfried Arno,지크 아르노
Olga Costa,올가 코스타
Kurt Hoffmann,쿠르트 호프만
Anton Schnack,안톤 슈나크
Eugen Hadamovsky,오이겐 하다모프스키
Wilfried Hochholdinger,빌프리트 호흐홀딩거
Ludwig Hofmeister,루트비히 호프마이스터
Peter Przygodda,피터 프지 고다
Ingo Rechenberg,잉고 레헨베르크
Harry Baer,해리 베어
Christina Singer,크리스티나 징거
Max W. Kimmich,막스 W. 키미히
Willy Dehnkamp,빌리 덴캄프
Julius Wolff,줄리어스 울프
Stephan Feck,슈테판 펙
Siriusmo,시리우즈모
Ernst von Beling,에른스트 폰 벨링
Hans Welzel,한스 벨첼
Jürgen Fehling,위르겐 펠링
Helmut Müller-Brühl,헬무트 뮐러 브륄
Heinar Kipphardt,하이나르 키프하르트
Waldemar Steffen,발데마르 스테펜
Lars Figura,라르스 피구라
Beate Merk,베아테 메르크
Hans-Otto Borgmann,한스오토 보르크만
Konrad von Hochstaden,콘라트 폰 호흐슈타덴
Hugo Friedrich,후고 프리드리히
Ariadne von Schirach,아리아드네 폰 시라흐
Karin Baal,카린 발
Karl Meiler,카를 마일러
Volker Pispers,폴커 피스퍼스
Karin Wolff,카린 볼프
Michael Michalsky,미하엘 미할스키
Günther Weisenborn,귄터 바이젠보른
Norbert Vollertsen,노르베르트 폴러첸
Reinhard Goering,라인하르트 괴링
Lisa Martinek,리사 마르티네크
Chalid Arrab,할리드 아랍
Annemarie von Gabain,아네마리 폰 가바인
Wilhelm Meisel,빌헬름 마이젤
Martin Böttcher,마르틴 뵈트허
Ben Becker,벤 베커
Franz Heinrich Ollendorff,프란츠 올렌도르프
Franz Spitzner,프란츠 슈피츠너
Saskia Vester,사스키아 베스터
Uwe Potteck,우베 포테크
Richard Liebreich,리하르트 리프라이히
Wilfried Klaus,윌 프리드 클라우스
Julian Nida-Rümelin,율리안 니다뤼멜린
Giovanni Mardersteig,조반니 마르더슈타이크
Klaus-Peter Müller,클라우스페터 뮐러
Carolin Golubytskyi,카롤린 골루비츠키
Michael Hinz,미하엘 힌츠
Adolph Kießling,아돌프 키슬링
Sabine Rumpf,자비네 룸프
Paul Westermeier,파울 베스터마이어
Manfred Ewald,만프레트 에발트
Leopold Kaufmann,레오폴트 카우프만
Ute Berg,우테 베르크
Ernst Rowohlt,에른스트 로볼트
Kurt Blecha,쿠르트 블레하
Jutta Speidel,유타 스페 델
Alwin Wagner,알빈 바그너
Thor Freudenthal,토어 프로이덴탈
Thomas Heberer,토마스 헤버러
Gregor Dorfmeister,그레고어 도르프마이스터
Nico Frommer,니코 프로머
Thaddeus Herrmann,타데우스 헤르만
Dieter Schidor,디터 시도어
Dorothea Brandt,도로테아 브란트
Caroline Masson,카롤리네 마손
Kristian Kiehling,크리스티안 키에링
Walter Bartram,발터 바르트람
Ulrich Noethen,울리히 뇌텐
Franz Wegner,프란츠 베그너
Georg Knöpfle,게오르크 뇌플레
Dieter Mann,디터 만
Jürgen Flimm,위르겐  플림
Georg Hanssen,게오르크 한센
Sepp Allgeier,세프 알제이어
Georg H. Schnell,게오르크 H. 슈넬
Hans Maaß,한스 마스
Karl Dall,카를 달
Sebastian Krumbiegel,제바스티안 크룸비겔
Ivanka Brekalo,이반카 브레칼로
Benjamin von Stuckrad-Barre,베냐민 폰 슈트루크라트바레
Karl Graul,카를 그라울
Cornelia Schlosser,코르넬리아 슐로서
Wolfgang Grams,볼프강 그람스
David Pareus,데이빗 파레우스
Heinrich Decimator,하인리히 데치마토르
Johann Evangelist Haydn,요한 에방겔리스트 하이든
Kristin Wieczorek,크리스틴 비초레크
Luna Schweiger,루나 슈바이거
Erich Ponto,에리히 폰토
Martina Münch,마티나 뮌히
Valentin Schweiger,발렌틴 슈바이거
Andreas Nischwitz,안드레아스 니슈비츠
Antonio Rüdiger,안토니오 뤼디거
Hans-Joachim Heusinger,한스요아힘 호이징거
Fritz Schramma,프리츠 슈라마
Karl Neckermann,카를 네커만
Hermann Köchly,헤르만 쾨힐리
Sonja Gerhardt,소냐 게르하르트
Hans Sotin,한스 조틴
Marion van de Kamp,마리온 반 드 캠프
Emma Schweiger,엠마 슈바이거
Karl Ferdinand Werner,카를 페르디난트 베르너
Kaaren Verne,카렌 베른
Ruwen Faller,루벤 팔러
Leopold Ludwig,레오폴트 루트비히
Johannes Geffert,요하네스 게페르트
Walter March,발터 마르히
Alfred Kubel,알프레트 쿠벨
Karl Holl,칼 홀
Hubert Wolf,후베르트 볼프
Werner Schwarz,베르너 슈바르츠
Peter Kloeppel,페터 클뢰펠
Kurt Fricke,쿠르트 프리케
Heinz Hoenig,하인즈 호에닉
Günter Meisner,귄터 마이스너
Karl Jansen,카를 얀센
Nele Neuhaus,넬레 노이하우스
Paul Dahlke,파울 달케
Andreas Blunck,안드레아스 블룽크
Martin Lücker,마르틴 뤼커
Fred Williams,프레드 윌리엄스
Werner Zeyer,베르너 차이어
Volker Herold,볼커 헤롤드
Burkhard von Dallwitz,부르크하르트 달비츠
Gerhard Beil,게르하르트 바일
Günter Hartmann,귄터 하르트만
Curt Riess,쿠르트 리스
Sebastian Stock,제바스티안 슈토크
Franziska Drohsel,프란시스카 드 로르 셀
Kurt Wünsche,쿠르트 뷘슈
Ida Siekmann,이다 지크만
Peter Scholze,페터 숄체
Egon Coordes,에곤 코르데스
Waltraud Nowarra,발트라우트 노바라
David Scheller,다비트 셸러
Richard Bletschacher,리하르트 블레차허
Wiguläus von Kreittmayr,비굴레우스 폰 크라이트마이어
Kristin Lang,크리스틴 질버라이젠
Ellen Schwiers,엘렌 슈와어즈
Leopold Reichwein,레오폴트 라이히바인
Marco Schreyl,마르코 슈레일
Burkhard Garweg,부르크하르트 가르베크
Anna Brüggemann,아나 브뤼게만
Ewald Balser,에발트 발저
Rufus Beck,루퍼스 벡
Peter Florin,페터 플로린
Hermann Joha,헤르만 요하
Jasmin Schwiers,야스민 슈비어스
Wilma Elles,빌마 엘르
Zoran Drvenkar,조란 드 브벤 카르
Georg Diederichs,게오르크 디데릭스
Anja Schüte,안자 슈트
Elisabeth Flickenschildt,엘리자베트 플리켄실트
Inka Friedrich,잉카 프리드리히
Bärbel Dieckmann,베르벨 디크만
Michael Karst,미하엘 카르스트
Astrid M. Fünderich,아스트 리드 M. 퓌 데리 히치
Wolfgang Kuck,볼프강 쿠크
David Hoffmann,다비트 호프만
Harald Kreutzberg,하랄트 크로이츠베르크
Nikolaus Delius,니콜라우스 델리우스
Stefan Blank,슈테판 블랑크
Lars Teutenberg,라르스 토이텐베르크
Ilse Heß,일제 헤스
Jürgen Osterhammel,위르겐 오스터함멜
Susanne Lautenbacher,주자네 라우텐바허
Harald Walach,하랄트 발라흐
Thomas Schücke,토마스 슈크
Hans Lenz,한스 렌츠
Egon Günther,에곤 귄터
Bernard Schottlander,버나드 쇼틀랜더
Miriam Lahnstein,미리암 란슈타인
Martin Bojowald,마틴 보조발트
Angelina Maccarone,안젤리나 마카로네
Volker Hauff,폴커 하우프
Alfred Hause,알프레드 하우제
Christiane Berger,크리스티아네 베르거
Ernst Hermann Meyer,에른스트 헤르만 마이어
Winfried Bausback,빈프리트 바우스바크
Gustav Kleikamp,구스타프 클라이캄프
Gerburg Jahnke,게르부르크 양케
Caroline Peters,캐롤라인 피터스
Ottmar Ette,오트마어 에테
Albert Friedrich Speer,알베르트 프리드리히 슈페어
Adolf Just,아돌프 유스트
Harald Welzer,하랄트 벨처
Sepp Schauer,세프 샤우어
Hans Stüwe,한스 슈튀베
Monika Hansen,모니카 한센
Diébédo Francis Kéré,디에베도 프랑시스 케레
Rico Rex,리코 렉스
Monica Lierhaus,모니카 리어하우스
Stefanie Stappenbeck,슈테파니 슈타펜베크
Petra Schmidt-Schaller,페트라 슈미트샬러
Bernadette Heerwagen,베르나데테 헤어바겐
Gesine Cukrowski,게신 커크로스키
Jutta Hoffmann,쥬타 호프만
Albrecht Fölsing,알브레히트 푈싱
Hermann Kulke,헤르만 쿨케
Dietmar Rothermund,디트마어 로터문트
Anna Bederke,아나 베데르케
Karl Ludwig Schmidt,칼 슈미츠
Klaus Theweleit,클라우스 테벨라이트
Svenja Pages,스벤자 페이지
Jürgen Goslar,위르겐 고슬러
Fritz Steinhoff,프리츠 슈타인호프
Heinrich Richard Baltzer,리하르트 발처
Dietmar Bartsch,디트마어 바르치
Norbert Burger,노르베르트 부르거
Karl Theodor zu Guttenberg,카를 테오도어 추 구덴베르크
Werner Nachtigall,베르너 나흐티갈
Mark Waschke,마르크 바쉬케
Marion Kracht,마리온 크래쉬트
Ann-Kathrin Kramer,안카트린 크라머
Hans Bender,한스 벤더
Margarethe Schreinemakers,마르가레테 슈라이네마커스
Wolfgang Münchau,볼프강 뮌하우
Stefan Arndt,슈테판 아른트
Peter Koslowski,페터 코슬로프스키
Alwin-Broder Albrecht,알빈브로더 알브레히트
Adnan Maral,아드난 마랄
Heinrich Burkhardt,하인리히 부르크하르트
Jürgen Becker,위르겐 베커
Jens Schreiber,옌스 슈라이버
Marie Bäumer,마리 보이머
Hans Egon Holthusen,한스 에곤 홀투젠
Maren Kroymann,마렌 크로이만
Ursula Buchfellner,우르줄라 부흐펠너
Sandra Speichert,잔드라 스파이헤르트
Bernd Martin,베른트 마르틴
Matthias Hinze,마티아스 힌체
Wilhelm Meyer-Förster,빌헬름 마이어 푀르스터
Dominic Raacke,도미닉 락케
Gregor Amann,그레고르 아만
Oskar Morgenstern,오스카르 모르겐슈타인
Pegah Ferydoni,페가 페리도니
Walter Zerlett-Olfenius,발터 체를레트올페니우스
Fritz Kampers,프리츠 캄퍼스
Daniel J. Bernstein,대니얼 J. 번스타인
Curth Flatow,쿠르트 플라토
Ernst Mecklenburg,에른스트 메클렌부르크
Christian Biegai,크리스찬 비가이
Hito Steyerl,히토 슈타이얼
Otto March,오토 마르히
Thomas Südhof,토마스 쥐트호프
Julia Hütter,율리아 휘터
Erik Schumann,에릭 슈만
Ruth Holzhausen,루트 홀츠하우젠
Joachim Milberg,요아힘 밀베르크
Gerard Salton,제라드 솔튼
Claus Peter Schnorr,클라우스페터 슈노어
Cornelia Kempers,코넬리아 켐퍼스
Peter Thomas,페터 토마스
Aniela Jaffé,아니엘라 야페
Helmut Losch,헬무트 로슈
Oliver Petszokat,올리버 펫 조카 트
Alfred Lorenzer,알프레트 로렌처
Johann Böhm,요한 뵘
Lars Jungnickel,라르스 융니켈
Christian Brentano,크리스티안 브렌타노
Hartmut Weber,하르트무트 베버
Heinz Czechowski,하인츠 체호프스키
Jürgen Mittelstraß,위르겐 미텔슈트라스
Gisela Oeri,기젤라 오에리
Meister Gerhard,게르하르트 폰 릴레
Ruth Moschner,루트 모슈너
André Weßels,안드레 베셀스
Ingrid van Bergen,잉그리트 판베르겐
Hans-Jürgen Pohmann,한스위르겐 포만
Dietmar Woidke,디트마어 보이트케
Manfred Molzberger,만프레트 몰츠베르거
Harald Wolf,하랄트 볼프
Frederik Wiedmann,프레데리크 비트만
Richard Heinze,리하르트 하인체
Andreas Karasiak,안드레아스 카라지아크
Barbara Krause,바르바라 크라우제
Hans Imhoff,한스 임호프
Stefanie Sieger,슈테피 지거
Eilhard Wiedemann,아일하르트 비데만
Barbara Hendricks,바르바라 헨드릭스
Dieter Borsche,디터 보르셰
Ulrike Draesner,울리케 드레스너
Rosalie Thomass,로잘리 토마스
Frank Elstner,프랑크 엘스트너
Oliver Bokern,올리버 보 커른
Brigitte Grothum,브리기테 그로툼
Claus Biederstaedt,클라우스 비더슈테트
Johann Herberger,욘 헤르베르거
Josef Pöttinger,요제프 푀팅거
Agnes Windeck,아그네스 빈데크
Hugo Strasser,후고 슈트라서
Mina Tander,미나 탄더
Béla Réthy,벨라 레티
Richard Stahlmann,리하르트 슈탈만
Bettina Tietjen,베티나 티톈
Hagen Bogdanski,하겐 바그단스키
Marian Blazinski,마리안 블라친스키
Navid Kermani,네비드 케르 마니
Werner Dreßel,베르너 드레셀
Björn Hübner,비외언 휘브너
Franz Grundheber,프란츠 그룬트헤버
Jochen Horst,조첸 호르스트
Willi Altig,빌리 알티히
Mareike Carrière,마라이케 카리에르
Susan Hoecke,수산 호이케
Christian Schwartz,크리스천 슈워츠
Karl Leo,칼 레오
Gabrielle Scharnitzky,가브리엘 쉬 칼 니츠 키
Roger Fritz,로저 프릿츠
Armin Maiwald,아르민 마이발트
Isabella Laböck,이자벨라 라뵈크
Bettina Böttinger,베티나 뵈팅거
Gerhard Welz,게르하르트 벨츠
Heiner Lauterbach,하이너 라우터바흐
Ottmar Edenhofer,오트마르 에덴호퍼
Johann Georg Schrepfer,요한 게오르크 슈뢰퍼
Herbert Rehbein,헤르베르트 레바인
Janina Fautz,야니나 파우츠
Marianne Buggenhagen,마리아네 부겐하겐
Andreas Rebers,안드레아스 레버스
Reinhold Zech,라인홀트 체흐
Erika Dannhoff,에리카 댄호프
André Weis,안드레 바이스
Jochen Pollex,요헨 폴렉스
Sebastian Halgasch,제바스티안 할가슈
Alexander Kühl,알렉산더 퀼
Jörg Klocke,외르크 클로케
Ute Steppin,우테 슈테핀
Sascha Göpel,사스카 고펠
Bernhard Heisig,베른하르트 하이지히
Liesel Jakobi,리젤 야코비
Georg Wiarda,게오르크 비아르다
Heiner Flassbeck,하이너 플라스벡
Peter Sattmann,페터 자트만
Anna Fischer,아나 피셔
Daniela Driendl,다니엘라 옌치
Max Heinze,막스 하인체
Heinz Schimmelpfennig,하인츠 시멜페니히
Albert Burger,알베르트 부르거
Julius Jacobson,율리우스 야콥손
Uwe Kockisch,우베 코키슈
Julius Hey,율리우스 하이
Lilli Schweiger,릴리 슈바이거
Jochen Nickel,요헨 니켈
Kurt Kreuger,커트 크루거
Gerd Krumeich,게르트 크루마이히
Jürgen W. Falter,위르겐 W. 팔터
Magnus Hundt,마그누스 훈트
Dennis James,데니스 제임스
Lukas Wilaschek,루카스 빌라셰크
Angie Westhoff,앤지 웨스트 호프
Jens-Peter Berndt,옌스페터 베른트
Dan van Husen,단 판후젠
Wilhelm Kling,빌헬름 클링
Hans Katzer,한스 카처
Andreas Jung,안드레아스 융
Bernard Homola,베르나르트 호몰라
Florian Wünsche,플로리안의 소원
Dennenesch Zoudé,데네네슈 주데
Carola Veit,캐롤라 베이트
Uwe Karpa,우베 카르 파
Franz Thomas Bruss,프란츠 토마스 브루스
Michael Degen,마이클 데겐
Johano Strasser,요하노 슈트라서
Melanie Hinze,멜라니 힌체
Siegfried Rauch,지크프리트 라우흐
Alexander Bonde,알렉산더 본데
Axel Meyer,악셀 마이어
Gerhard Olschewski,게르하르트 올셰프스키
Peter Bürger,페터 뷔르거
Nicolas Stemann,니콜라스 슈테만
Sabine Huth,자비네 후트
Joachim Busse,요아힘 부세
Simone Thomalla,시모네 토말라
Matthias Strauss,마티아스 슈트라우스
Willi Ankermüller,빌리 앙커뮐러
Michael Wendler,마이클 웬들러
Bertram Blank,베르트람 블랑크
Reinhold Rehs,라인홀트 레스
Franziska Pigulla,프란치스카 피굴라
Leonard Lansink,레오나르트 란징크
Christian Wunderlich,크리스티안 분더리히
Helmut Markwort,헬무트 마르크보르트
Aleksandar Radenković,알렉산다르 라덴코비치
Axel Prahl,엑셀 프랄
Ursula Herking,우르줄라 헤르킹
Marco Grimm,마르코 그림
Michael Welker,미하엘 벨커
Sabine Jünger,자비네 윙거
Walter Buschhoff,월터 부쉬 오프
Ruth Hausmeister,루트 하우스마이스터
Hans J. Markowitsch,한스 마르코비치
Eberhard Feik,에버하르트 파이크
Heinrich Göseken,하인리히 괴제큰
Andreas Kempf,안드레아스 켐프
Ingo Heidbrink,잉고 하이트브링크
Ursula Werner,우르줄라 베르너
Hubert von Meyerinck,후베르트 폰 마이어링크
Ulla Jelpke,울라 옐프케
Maike Kohl-Richter,마이케 콜리히터
Wolfgang Bosbach,볼프강 보스바흐
Marie Rönnebeck,마리 릉 베크
Walter Kreye,발터 크라이
Rolf Steininger,롤프 슈타이닝거
Ania Niedieck,아니아 니디크
Edgar Hoppe,에드가 호페
Thekla Carola Wied,테클라 카롤라 비트
Michael Diekmann,미하엘 디크만
Stefan Lippe,슈테판 리페
Rebecca Immanuel,레베카 이마누엘
Tristano Casanova,트리스타노 카사노바
Edda Göring,에다 괴링
Johann Gottlieb Fichte,요한 고틀리프 피히테
Karl-Heinz Vosgerau,칼 하인츠 보스가우
Manuela Stehr,마누엘라 슈테어
Volker Neumüller,폴커 뉴 뮬러
Wilhelm Friedrich Kohlrausch,빌헬름 콜라우슈
Oliver Geissen,올리버 가이센
Xaver Hoffmann,크사버 호프만
Claus Müller,클라우스 뮐러
Andy Fetscher,안디 페처
Joe Kaeser,요제프 코저
Andreas Schmidt,안드레아스 슈미트
Axel Milberg,악셀 밀베르크
Jasmin Feige,야스민 파이게
Klaus Heinrich,클라우스 하인리히
Gabriele Haefs,가브리엘레 헤프스
Albert Füracker,알베르트 퓌라커
Walter Richter,월터 리히터
Heinrich Popow,하인리히 포포
Gerhard Krebs,게르하르트 크렙스
Christian Schmidt,크리스티안 슈미트
Heinz Drache,하인츠 드라헤
Bianca Hein,비앙카 하인
Ricardo Eichmann,리카르도 아이히만
Gustav Stresemann,구스타프 슈트레제만
Helene Grass,헬레네 그라스
Harald Fritzsch,하랄트 프리치
Heinrich Rombach,하인리히 롬바흐
Johann Georg Schnitzer,요한 게오르크 슈니처
Torsten Frings,토르스텐 프링스
Robert Enke,로베르트 엥케
Senta Auth,젠타 아우트
Janina Stopper,재니 나 스토퍼
Andreas M. Kaplan,Andreas Kaplan
Florian Zimmer,플로리안 치머
Jörg Rüpke,외르크 뤼프케
Antje Weisgerber,안제 베스 게버
Benjamin List,베냐민 리스트
Lena Beyerling,레나 베이어링
Walter Feist,발터 파이스트
Margrit Sartorius,마거리트 사르토리우스
Judith Richter,주디스 리히터
Leopold Ziegler,레오폴트 치글러
Arthur Schloßmann,아르투어 슐로스만
Fiona Coors,피오나 쿠어스
Herbert Heinrich,헤르베르트 하인리히
Werner Asam,베르너 아삼
Herbert Wagner,헤르만 바그너
Michael Müller,미하엘 뮐러
Raed Saleh,에드 살레
Fabian Busch,파비안 부슈
Christian Doermer,크리스티안 도머
Margarete Müller,마르가레테 뮐러
Gerhard Buchwald,게르하르트 부흐발트
Ricarda Multerer,리카르다 물테레어
Ingo Freyer,잉고 프라이어
Burkhard Driest,부르크하르트 드리스트
Hardy Krüger junior,하르디 크뤼거 유니오어
Edmund Stengel,에드문트 슈텡겔
Hans Reffert,한스 레페르트
Armin von Bogdandy,아르민 폰 보그단디
Siegfried Dallmann,지크프리트 달만
Karl Lauterbach,카를 라우터바흐
Dennis Schmidt-Foß,데니스 슈미트포스
Uwe Schneider,우베 슈나이더
Matthias Biedermann,마티아스 비더만
Heidrun Schleef,하이드 룬슐리프
Peter Pasetti,페터 파제티
George Grosz,게오르게 그로스
Marie-Therese Rotter,마리테레제 로터
Carl Helfrich,카를 헬프리히
Alexander Geringas,알렉스 게링가스
Bernd Tauber,베른트 타우버
Ulla Kock am Brink,울라 콕 엠 브링크
Dieter Hattrup,디터 하트루프
Monika Heinold,모니카 하이 놀드
Holger Handtke,홀거 한드케
Katrin Lompscher,카 트린 롭셔
Diedrich Diederichsen,디트리히 디데릭센
Burckhard Bergmann,부르크하르트 베르크만
Fabian Hinrichs,파비안 힌리히스
Georg Kahn-Ackermann,게오르크 칸아커만
Martina Willing,마르티나 빌링
Heinrich Vogt,하인리히 보그트
Otto Liebknecht,오토 리프크네히트
Jakob Knoblauch,야콥 노브라우치
Anna Julia Kapfelsperger,아나 율리아 카펠슈페르거
Alfred Wiedemann,알프레트 비데만
Bruno Lietz,브루노 리츠
Micaela Schäfer,미카엘라 셰퍼
Hans Arnold,한스 아르놀트
Albert Weinstein,알베르트 바인슈타인
Miriam Morgenstern,미리암 모르겐슈테른
Udo Di Fabio,우도 디파비오
Gila von Weitershausen,길라 본 베이터셔슨
Manuel Neuer,마누엘 노이어
Werner Daehn,베르너 다엔
Agnes Friesinger,아그네스 프리징거
Vladimir Bogojevič,블라디미르 보고예비치
Ulrich Peters,울리히 페터스
Mike Hanke,미케 항케
Christoph Dieckmann,크리스토프 디크만
Max Otto Lagally,막스 오토 라갈리
Benjamin Strecker,베냐민 슈트레커
Heinz Emigholz,헤인즈 에미그홀즈
Susanna Simon,수잔나 사이먼
Anita Tack,아니타 타크
Paul Diels,파울 딜스
Gerda Bormann,게르다 보어만
Karsten Speck,카스텐 베이컨
Arnold Esch,아르놀트 에슈
Matthias Klimsa,마티아스 클림자
Karsten Tadda,카르스텐 타다
Erhardt Gißke,에르하르트 기스케
Tim Wiese,팀 비제
Christian Redl,크리스티앙 레들
Ernst Peschl,에른스트 페슐
Walter von Hauff,월터 폰 하웁
Jens Hirschberg,옌스 히르슈베르크
Andrea Berg,안드레아 베르크
Ferdinand Rudio,페르디난트 루디오
Alwin Walther,알빈 발터
Patrick Süskind,파트리크 쥐스킨트
Carolin van Bergen,카롤린 판베르겐
Florian Stetter,플로리안 슈테터
Georg Eisenreich,게오르크 아이젠라이히
Nicholas Bussmann,니콜라스 부스만
Hans Mezger,한스 메츠거
Wolfgang Reitzle,볼프강 레이첼
Wolfram Grandezka,볼프람 그란데츠카
Mario Götze,마리오 괴체
Arthur Menge,아르투어 멩게
Johannes W. Rohen,요하네스 로헨
Paul Korth-Cortini,파울 코르트코르티니
Alice Treff,알리체 트레프
Adolf Krazer,아돌프 크라처
Hermine Schröder,헤르미네 슈뢰더
Anna Hartelt,아나 하르텔트
Alyn Camara,알린 카마라
Albert Lieven,앨버트 라이븐
Maike von Bremen,마이클 폰 브레멘
Joachim von Ribbentrop,요아힘 폰 리벤트로프
Hans Leibelt,한스 라이벨트
Joachim Gnilka,요아힘 그닐카
Olga Grjasnowa,올가 그랴스노바
Wolfgang Neuss,볼프강 노이스
Herbert Spohn,헤르베르트 슈폰
Peter M. Gollwitzer,페터 골비처
Heinz Schubert,헤인즈 슈버트
Rolf Weih,롤프 바이
Haman Alimardani,하만 알리마르다니
Paul Harzer,파울 하르처
Johannes Ilberg,요하네스 일베르크
Claudia Kemfert,클라우디아 켐페르트
Georg von Waldburg-Zeil,게오르크 3세 폰 발트부르크차일
Herrmann Zschoche,허만 지 슈체 처
Clemens Rapp,클레멘스 라프
Joseph Welzenbacher,요제프 벨첸바셔
Hans Caninenberg,한스 카니넨버그
Alexander Golling,알렉산더 골링
Klaus Wagenbach,클라우스 바겐바흐
Nina Eichinger,니나 아이킨거
Marwan Kassab-Bachi,마르 완 카삭 - 바치
Karl Kranzkowski,칼 크란츠 코우 스키
Gerd Baltus,게르트 발 토스
Alexandra Bujdosó,얼렉선드러 부이도소
Jürgen Fitschen,위르겐 피첸
Sabine Winter,자비네 빈터
Andreas Ehret,안드레아스 에렛
Norbert Bolz,노르베르트 볼츠
