Lionel Messi,リオネル・メッシ
Alice Rohrwacher,アリーチェ・ロルヴァケル
Ezequiel Schelotto,エセキエル・スケロット
Michele Paolucci,ミケーレ・パオルッチ
Angelo Iachino,アンジェロ・イアキーノ
Eugenio Corini,エウジェニオ・コリーニ
Matteo Rabottini,マッテオ・ラボッティーニ
Moreno Moser,モレーノ・モゼール
Toni Servillo,トニ・セルヴィッロ
Alfonso di Borbone Dampierre,アルフォンソ・デ・ボルボーン・(カディス公)
Antonio Margheriti,アントニオ・マルゲリーティ
Antonio Maspes,アントニオ・マスペス
Stefano Gervasoni,ステファーノ・ジェルヴァゾーニ
Giuseppe Tomasi di Lampedusa,ジュゼッペ・トマージ・ディ・ランペドゥーサ
Sebastian Giovinco,セバスティアン・ジョヴィンコ
Antonio Nocerino,アントニオ・ノチェリーノ
Alessandro Costacurta,アレッサンドロ・コスタクルタ
Nino Rota,ニーノ・ロータ
Luciano Floridi,ルチアーノ・フロリディ
Fabio Liverani,ファビオ・リヴェラーニ
Giovanni Visconti (ciclista),ジョヴァンニ・ヴィスコンティ・(自転車選手)
Raoul Bova,ラウル・ボヴァ
Roberto Cammarelle,ロベルト・カンマレーレ
Michele Pazienza,ミケーレ・パツィエンツァ
Marco Andreolli,マルコ・アンドレオッリ
Claudio Villa,クラウディオ・ビルラ
Lorenza Mazzetti,ロレンツァ・マッツェッティ
Antonio Floro Flores,アントニオ・フローロ・フローレス
Silvana Gandolfi,シルヴァーナ・ガンドルフィ
Stefano Pirazzi,ステファノ・ピラッツィ
Marco Giovannetti,マルコ・ジョヴァンネッティ
Mattia Pasini,マティア・パシーニ
Pietro Paolo Virdis,ピエトロ・パオロ・ビルディス
Matteo Montaguti,マッテオ・モンタグティ
Antonio Juliano,アントニオ・ジュリアーノ
Antonio Janigro,アントニオ・ヤニグロ
Daniele Orsato,ダニエレ・オルサート
Cesare Prandelli,チェーザレ・プランデッリ
Graziano Pellè,グラツィアーノ・ペッレ
Giampaolo Pazzini,ジャンパオロ・パッツィーニ
Paolo Tiralongo,パオロ・ティラロンゴ
Fabrizio Ferron,ファブリツィオ・フェロン
Vittorio Goretti,ヴィットリオ・ゴレッティ
Mirko Bortolotti,ミルコ・ボルトロッティ
Franco Scaglione,フランコ・スカリオーネ
Gianni Motta,ジャンニ・モッタ
Fausto Pari,ファウスト・パーリ
Antonio Mirante,アントニオ・ミランテ
Stefano Perugini,ステファノ・ペルジーニ
Roberto Visentini,ロベルト・ヴィセンティーニ
Giovanni De Benedictis,ジョバンニ・デ・ベネディクティス
Fausto Bertoglio,ファウスト・ベルトリオ
Bartolomeo Manfredi,バルトロメオ・マンフレディ
Fabio Cudicini,ファビオ・クディチーニ
Antonio Riberi,アントニオ・リベリ
Emilio Pucci,エミリオ・プッチ
Simone Martini,シモーネ・マルティーニ
Bud Spencer,バッド・スペンサー
Ennio Flaiano,エンニオ・フライアーノ
Giovanni Battaglin,ジョヴァンニ・バッタリン
Manuel Belletti,マヌエル・ベッレッティ
Giacinto Facchetti,ジャチント・ファッケッティ
Morgan De Sanctis,モルガン・デ・サンクティス
Luciano Berio,ルチアーノ・ベリオ
Riccardo Ferri,リカルド・フェッリ
Mario Corso,マリオ・コルソ
Pierino Prati,ピエリーノ・プラティ
Arturo Riccardi,アルトゥーロ・リッカルディ
Christian De Lorenzi,クリスチャン・デ・ロレンツィ
Antonio Tamburini (pilota automobilistico),アントニオ・タンブリーニ
Antonio Tempesta,アントニオ・テンペスタ
Lucas Leiva,ルーカス・ペッツィーニ・レイヴァ
Roberto Pruzzo,ロベルト・プルッツォ
Gianfranco Brancatelli,ジャンフランコ・ブランカテリ
Enrico Preziosi,エンリコ・プレツィオージ
Giuseppe Iachini,ジュゼッペ・イアキーニ
Cristiano Lupatelli,クリスティアーノ・ルパテッリ
Fausto Coppi,ファウスト・コッピ
Mattia Cassani,マッティア・カッサーニ
Uto Ughi,ウート・ウーギ
Gaetano D'Agostino,ガエターノ・ダゴスティーノ
Antonio Rosati,アントニオ・ロサーティ
Giovanni Valetti,ジョヴァンニ・ヴァレッティ
Antonio Pesenti (ciclista),アントニオ・ペゼンティ
Davide Brivio,ダヴィデ・ブリーヴィオ
Francesco Masciarelli,フランチェスコ・マシャレッリ
Matteo Contini,マッテオ・コンティーニ
Gianluigi Lentini,ジャンルイジ・レンティーニ
Libero Liberati,リベロ・リベラーティ
Claudio Graziano,クラウディオ・グラツィアーノ
Massimo Maccarone,マッシモ・マッカローネ
Giovan Battista Castello,ジョヴァンニ・バッティスタ・カステッロ
Pino Dordoni,ジュゼッペ・ドルドーニ
Emanuele Filippini,エマヌエーレ・フィリッピーニ
Attilio Pavesi,アッティリオ・パヴェージ
Dario Franceschini,ダリオ・フランチェスキーニ
Gaetano Belloni,ガエターノ・ベローニ
Ludovico Quaroni,ルドヴィコ・クアローニ
Sara Errani,サラ・エラニ
Alessandro Nesta,アレッサンドロ・ネスタ
Agostino Di Bartolomei,アゴスティーノ・ディ・バルトロメイ
Eusebio Di Francesco,エウゼビオ・ディ・フランチェスコ
Renata Tebaldi,レナータ・テバルディ
Gigliola Cinquetti,ジリオラ・チンクェッティ
Tathiana Garbin,タチアナ・ガルビン
Gianni Rivera,ジャンニ・リベラ
Mara Santangelo,マラ・サンタンジェロ
Donatella Versace,ドナテラ・ヴェルサーチ
Valentina Vezzali,バレンチナ・ベッツァーリ
Francesco Damiani,フランチェスコ・ダミアニ
Pasquale Camerlengo,パスカーレ・カメレンゴ
Alessandro Lucarelli,アレッサンドロ・ルカレッリ
Tommaso Berni,トンマーゾ・ベルニ
Lorenzo Crisetig,ロレンツォ・クリセティグ
Nicola Pavarini,ニコラ・パヴァリーニ
Guido Crepax,グイド・クレパックス
Paolo Marcello Brignoli,パオロ・ブリニョーリ
Sergio Balanzino,セルジョ・バランチーノ
Luigi De Agostini,ルイジ・デ・アゴスティーニ
Giovanni Michelotti (designer),ジョヴァンニ・ミケロッティ
Ermanno Bazzocchi,エルマンノ・バッツォッキ
Massimo Mutarelli,マッシモ・ムタレッリ
Paolo Virzì,パオロ・ヴィルズィ
Damiano Zenoni,ダミアーノ・ゼノーニ
Domenico Fioravanti,ドメニコ・フィオラバンティ
Umberto Lenzi,ウンベルト・レンツィ
Stefano Morrone,ステファノ・モッローネ
Luca Bucci,ルカ・ブッチ
Alberto Colombo,アルベルト・コロンボ
Alberto Masi,アルベルト・マージ
Flavio Mogherini,フラヴィオ・モゲリーニ
Ignazio Marino,イニャツィオ・ロベルト・マリーア・マリーノ
Roberto Baronio,ロベルト・バローニオ
Carlo Tancredi di Borbone-Due Sicilie,カルロ・タンクレーディ・ディ・ボルボーネ＝ドゥエ・シチリエ
Bruno Ruffo,ブルーノ・ルフォ
Michele di Grecia,ミハイル・ティス・エラザス
Manuele Mori,マヌエーレ・モーリ
Claudio Bellucci,クラウディオ・ベッルッチ
Guido Messina,ギド・メッシーナ
Giancarlo Marocchi,ジャンカルロ・マロッキ
Carlo Rota,カルロ・ロタ
Gaetano Lucchese,トーマス・ルッケーゼ
Mirella Freni,ミレッラ・フレーニ
Antonio Tabucchi,アントニオ・タブッキ
Mina (cantante),ミーナ・マッツィーニ
Fabio Grosso,ファビオ・グロッソ
Valeria Golino,ヴァレリア・ゴリノ
Gianna Nannini,ジャンナ・ナンニーニ
Asia Argento,アーシア・アルジェント
Aimo Diana,アイモ・ディアーナ
Candido Amantini,カンディド・アマンティーニ
Andrea Petagna,アンドレア・ペターニャ
Giulio Natta,ジュリオ・ナッタ
Giovanna Amati,ジョバンナ・アマティ
Carolina Kostner,カロリーナ・コストナー
Giulietta Simionato,ジュリエッタ・シミオナート
Bruno Giordano (calciatore),ブルーノ・ジョルダーノ
Stefano Sorrentino,ステファノ・ソレンティーノ
Luciano Zauri,ルチアーノ・ザウリ
Simone Romagnoli,シモーネ・ロマニョーリ
Riccardo Brengola,リッカルド・ブレンゴーラ
Alfredo Guarini,アルフレード・グァリーニ
Luca Filippi,ルカ・フィリッピ
Gionatha Spinesi,ジョナタ・スピネージ
Folco Lulli,フォルコ・ルリ
Giuseppe Bottai,ジュゼッペ・ボッタイ
Giacomo Bonaventura,ジャコモ・ボナヴェントゥーラ
Gino Fano,ジーノ・ファノ
Enrico Fabris,エンリコ・ファブリス
Giancarlo Camolese,ジャンカルロ・カモレーゼ
Jury Chechi,ユリ・ケキ
Giuseppe Dossena,ジュゼッペ・ドッセーナ
Giancarlo Esposito,ジャンカルロ・エスポジート
Ettore Messina,エットレ・メッシーナ
Davide Malacarne,ダヴィデ・マラカルネ
Valeria Bruni Tedeschi,ヴァレリア・ブルーニ・テデスキ
Simone Perrotta,シモーネ・ペッロッタ
Maria Elena Camerin,マリア・エレナ・カメリン
Karin Knapp,カリン・クナップ
Marco Amelia,マルコ・アメリア
Iva Zanicchi,イーヴァ・ザニッキ
Maria Grazia Cucinotta,マリア・グラツィア・クチノッタ
Daniele Bonera,ダニエレ・ボネーラ
Renato Buso,レナート・ブーゾ
Belisario Corenzio,ベリサリオ・コレンツィオ
Ernesto Ambrosini,エルネスト・アンブロジーニ
Marcantonio Raimondi,マルカントニオ・ライモンディ
Sandro Chia,サンドロ・キア
Fabrizio Moretti,ファブリツィオ・モレッティ
Giulia Rondon,ジュリア・ロンドン
Luigi Sala,ルイージ・サーラ
Federico Capasso,フェデリコ・カパッソ
Massimo Franciosa,マッシモ・フランチオーザ
Maurizio Gasparri,マウリツィオ・ガスパッリ
Angelo Comastri,アンジェロ・コマストリ
Franco Columbu,フランコ・コロンボ
Alberto Cisolla,アルベルト・チゾーラ
Bruno de Finetti,ブルーノ・デ・フィネッティ
Sebastiano Rossi,セバスティアーノ・ロッシ
Alberto Arbasino,アルベルト・アルバシーノ
Susanna Tamaro,スザンナ・タマーロ
Francesco Toldo,フランチェスコ・トルド
Oreste Piccioni,オレステ・ピッチョーニ
Federica Pellegrini,フェデリカ・ペレグリニ
Sergio Barbero,セルジョ・バルベーロ
Franco Colomba,フランコ・コロンバ
Carlo Maria Giulini,カルロ・マリア・ジュリーニ
Facundo Roncaglia,ファクンド・ロンカリア
Luigi Apolloni,ルイジ・アポローニ
Alessandro Andrei,アレッサンドロ・アンドレイ
Aldo Castellani,アルド・カステラーニ
Osvaldo Bagnoli,オズヴァルド・バニョーリ
Sergio Castellitto,セルジオ・カステリット
Ornella Vanoni,オルネラ・ヴァノーニ
Letizia Moratti,レティツィア・モラッティ
Carlo Urbani,カルロ・ウルバニ
Junio Valerio Borghese,ユニオ・ヴァレリオ・ボルゲーゼ
Raf Vallone,ラフ・ヴァローネ
Laura Antonelli,ラウラ・アントネッリ
Lino Banfi,リノ・バンフィ
Attilio Lombardo,アッティリオ・ロンバルド
Mario Stoppani,マリオ・ストッパーニ
Angelo Colombo (calciatore 1961),アンジェロ・コロンボ
Francesco Gavazzi,フランチェスコ・ガヴァッツィ
Stefano Accorsi,ステファノ・アコルシ
Alessandra Panaro,アレッサンドラ・パナーロ
Enrico Battaglin,エンリーコ・バッタリン
Alessandro Zampedri,アレッサンドロ・ザンペドリ
Claudio Ranieri,クラウディオ・ラニエリ
Giuseppe Bergomi,ジュゼッペ・ベルゴミ
Gianluigi Gelmetti,ジャンルイジ・ジェルメッティ
Giovanna di Savoia (1907-2000),ジョヴァンナ・ディ・サヴォイア
Greta Scacchi,グレタ・スカッキ
Sofonisba Anguissola,ソフォニスバ・アングイッソラ
Luigi Datome,ルイージ・ダトメ
Miki Biasion,ミキ・ビアシオン
Carlo Montuori,カルロ・モンテュオリ
Eugenio Lazzarini,エウジーニョ・ラッツァリーニ
Tatiana Guderzo,タティアナ・グデルツォ
Romina Power,ロミナ・パワー
Silvia Farina Elia,シルビア・ファリナ・エリア
Mia Martini,ミア・マルティーニ
Caterina Davinio,カテリーナ・ダヴィニオ
Alba Rohrwacher,アルバ・ロルヴァケル
Maurizio Arena,マウリツィオ・アリーナ
Bruno Arcari (pugile),ブルーノ・アルカリ
Angelo Mazzola,アンジェロ・マッツォーラ
Cristian Raimondi,クリスティアン・ライモンディ
Maurizio Domizzi,マウリツィオ・ドミッツィ
Leandro Faggin,レアンドロ・ファッジン
Paolo Martinelli,パオロ・マルティネッリ
Alberto Melucci,アルベルト・メルッチ
Carina Massone Negrone,カリーナ・ネグロン
Claudio Santamaria,クラウディオ・サンタマリア
Carlo Fassi,カルロ・ファッシ
Fiona May,フィオナ・メイ
Stefania Sandrelli,ステファニア・サンドレッリ
Fiorenza Cossotto,フィオレンツァ・コッソット
Gianna Beretta Molla,ジアンナ・ベレッタ・モッラ
Taddeo Zuccari,タッデオ・ツッカリ
Luigi Beccali,ルイージ・ベッカリ
Angelo Furlan,アンジェロ・フルラン
Tony Dallara,トニー・ダララ
Imerio Massignan,イメリオ・マッシニャン
Peter Capaldi,ピーター・カパルディ
Ivan Fedele,イヴァン・フェデーレ
Alfio Contini,アルフィーオ・コンティーニ
Vito Antuofermo,ビト・アンツォフェルモ
Davide Appollonio,ダヴィデ・アッポローニオ
Arnaldo Forlani,アルナルド・フォルラーニ
Caterina Murino,カテリーナ・ムリーノ
Loredana Bertè,ロレダーナ・ベルテ
Luigi Russolo,ルイージ・ルッソロ
Francesca Bertini,フランチェスカ・ベルティーニ
Franco Ballerini,フランコ・バッレリーニ
Enrico Bertaggia,エンリコ・ベルタッジア
Barbora Bobuľová,バルボラ・ボブローヴァ
Antonella Bellutti,アントネッラ・ベッルッティ
Krizia,クリツィア
Gio Ponti,ジオ・ポンティ
Luigi Broglio,ルイージ・ブログリオ
Uberto de Morpurgo,ウンベルト・デ・モルプルゴ
Francesco Solimena,フランチェスコ・ソリメーナ
Giovanni Cianfriglia,ジョヴァンニ・チャンフリーリア
Fulvio Bernardini,フルヴィオ・ベルナルディーニ
Leo Lionni,レオ・レオニ
Pino Donaggio,ピノ・ドナッジオ
Gianluca Vialli,ジャンルカ・ヴィアッリ
Sylva Koscina,シルヴァ・コシナ
Marco Storari,マルコ・ストラーリ
Fabio Casartelli,ファビオ・カサルテッリ
Stefania Belmondo,ステファーニア・ベルモンド
Ondina Valla,トレビゾンダ・ヴァッラ
Licia Albanese,リチア・アルバネーゼ
Nello Pazzafini,ネロ・パッツァフィーニ
Catherine Spaak,カトリーヌ・スパーク
Marta Gastini,マルタ・ガスティーニ
Milena Vukotic,ミレーナ・ヴコティッチ
Giovanni Tedesco,ジョヴァンニ・テデスコ
Pino Daniele,ピーノ・ダニエレ
Tomas Arana,トーマス・アラナ
Enzo Maiorca,エンゾ・マイオルカ
Sonny Colbrelli,ソニー・コルブレッリ
Valentina Serena,ヴァレンティーナ・セレーナ
Sergio Bazzini,セルジオ・バッツィーニ
Nicolao Dumitru,ニコラオ・ドゥミトル
Luigi Mastrangelo,ルイジ・マストランジェロ
Samuele Papi,サムエル・パピ
Vittorio Arrigoni,ヴィットリオ・アリゴーニ
Irene Grandi,イレーネ・グランディ
Maria Bona di Savoia-Genova,ボナ・マルゲリータ・ディ・サヴォイア＝ジェノヴァ
Luciana Paluzzi,ルチアナ・パルッツィ
Marco Mengoni,マルコ・メンゴーニ
Lorenzo Amoruso,ロレンツォ・アモルーゾ
Renata Scotto,レナータ・スコット
Daniela Bianchi,ダニエラ・ビアンキ
Amelita Galli-Curci,アメリータ・ガリ＝クルチ
Alda Merini,アルダ・メリーニ
Tarquinio Provini,タルクィニオ・プロヴィーニ
Francesco Caputo,フランチェスコ・カプート
Francesca Michielin,フランチェスカ・ミキエリン
Marco Simone,マルコ・シモーネ
Gabriella Pescucci,ガブリエラ・ペスクッチ
Moreno Mannini,モレノ・マンニーニ
Giovanni Viola,ジョヴァンニ・ヴィオーラ
Francesco Sartori,フランチェスコ・サルトーリ
Oscar Ghiglia (chitarrista),オスカー・ギリア
Luca Antonelli,ルカ・アントネッリ
Marcello Gandini,マルチェロ・ガンディーニ
Eleonora Rossi Drago,エレオノラ・ロッシ＝ドラゴ
Mark Birighitti,マーク・ビリギッティ
Rita Trapanese,リタ・トラパネーゼ
Sébastien Corchia,セバスティアン・コルシア
Jacopo Sala,ヤコポ・サーラ
Aurelio Peccei,アウレリオ・ペッチェイ
Aurelio De Laurentiis,アウレリオ・デ・ラウレンティス
Renzo Pasolini,レンツォ・パゾリーニ
Giacomo Lauri-Volpi,ジャコモ・ラウリ＝ヴォルピ
Ruggero Maccari,ルッジェーロ・マッカリ
José Graziano da Silva,ジョゼ・グラジアノ・ダ・シルバ
Dino Buzzati,ディーノ・ブッツァーティ
Miuccia Prada,ミウッチャ・プラダ
Moana Pozzi,モアナ・ポッツィ
Milena Canonero,ミレーナ・カノネロ
Diego Ulissi,ディエゴ・ウリッシ
Marisa Sannia,マリーザ・サンニア
Salvatore Sciarrino,サルヴァトーレ・シャリーノ
Luca Cigarini,ルカ・チガリーニ
Gianluca Grava,ジャンルカ・グラーヴァ
Alexia,アレクシア・(イタリアの歌手)
Emiliano Viviano,エミリアーノ・ヴィヴィアーノ
Francesca Neri,フランチェスカ・ネリ
Elisa Rigaudo,エリザ・リガウド
Lamberto Gardelli,ランベルト・ガルデルリ
Milva,ミルバ
Paola Antonelli,パオラ・アントネッリ
Amelia Piccinini,アメリア・ピッチニーニ
Antonio Tajani,アントニオ・タイヤーニ
Milena Agus,ミレーナ・アグス
Massimo Bontempelli,マッシモ・ボンテンペッリ
Giulio Falcone,ジュリオ・ファルコーネ
Dante Maggio,ダンテ・マジオ
Loris Reggiani,ロリス・レジアーニ
Enzo G. Castellari,エンツォ・G・カステラーリ
Alessandro Momo,アレッサンドロ・モモ
Luca Francesconi (compositore),ルカ・フランチェスコーニ
Monica De Gennaro,モニカ・デジェンナーロ
Leonardo Del Vecchio,レオナルド・デル・ヴェッキオ
Marco Branca,マルコ・ブランカ
Raffaele De Rosa,ラファエレ・デ・ロサ
Umberto Agnelli,ウンベルト・アニェッリ
Katia Ricciarelli,カーティア・リッチャレッリ
Fernando Belluschi,フェルナンド・ダニエル・ベルスキ
Luca Marchegiani,ルカ・マルケジャーニ
Marco Ballotta,マルコ・バロッタ
Altiero Spinelli,アルティエロ・スピネッリ
Giandomenico Mesto,ジャンドメニコ・メスト
Fabio Firmani,ファビオ・フィルマーニ
Lorenzo De Silvestri,ロレンツォ・デ・シルヴェストリ
Giuseppe Biava,ジュゼッペ・ビアーヴァ
Luciano Vincenzoni,ルチアーノ・ヴィンチェンツォーニ
Ferruccio Lamborghini (motociclista),フェルッチオ・ランボルギーニ・(レーサー)
Leonardo De Lorenzo,レオナルド・デ・ロレンツォ
Andrea Seculin,アンドレア・セクリン
Don Vito Corleone,ヴィトー・コルレオーネ
Carmela Remigio,カルメラ・レミージョ
Umberto Veronesi,ウンベルト・ヴェロネージ
Attilio Bettega,アッティリオ・ベッテガ
Massimo Strazzer,マッシーモ・ストラッツェール
Sergio Bianchetto,セルジョ・ビアンケット
Omero Antonutti,オメロ・アントヌッティ
Terence Hill,テレンス・ヒル
Arianna Follis,アリアンナ・フォリス
Catalani,カタルーニャ人
John Turturro,ジョン・タトゥーロ
Demetrio Albertini,デメトリオ・アルベルティーニ
Fabio Borini,ファビオ・ボリーニ
Emma (cantante 1984),エンマ・マッローネ
Anita Cerquetti,アニタ・チェルクェッティ
Carlo Domeniconi,カルロ・ドメニコーニ
Marco Belinelli,マルコ・ベリネッリ
Walter de Silva,ワルテル・デ・シルヴァ
Riccardo Freda,リッカルド・フレーダ
Alessio Sakara,アレッシオ・サカラ
Francesco Rocca (calciatore),フランチェスコ・ロッカ
Claudio Golinelli (ciclista),クラウディオ・ゴリネッリ
Sandro Petraglia,サンドロ・ペトラリア
Gabriele Veneziano,ガブリエーレ・ヴェネツィアーノ
Danilo Avelar,ダニーロ・フェルナンド・アベラール
Franco Moretti,フランコ・モレッティ
Matteo Trentin,マッテオ・トレンティン
Franco Tancredi,フランコ・タンクレーディ
Fabio Fognini,ファビオ・フォニーニ
Josefa Idem,ヨセファ・イデム
Marco Delvecchio,マルコ・デルヴェッキオ
Osvaldo Cavandoli,オズヴァルド・カヴァンドーリ
Gilberto Simoni,ジルベルト・シモーニ
Alessio Romagnoli,アレッシオ・ロマニョーリ
Paolo Savoldelli,パオロ・サヴォルデッリ
Eraldo Pecci,エラルド・ペッチ
Niccolò Ammaniti,ニコロ・アンマニーティ
Francesco Cilea,フランチェスコ・チレア
Andrea Coda,アンドレア・コーダ
Ciro Polito,チーロ・ポリート
Nicola Formichetti,ニコラ・フォルミケッティ
Ángel Di María,アンヘル・ディ・マリア
Sergio Toppi,セルジオ・トッピ
Elek Bacsik,エレク・バクシク
Alfredo Giannetti,アルフレード・ジャンネッティ
Fabrizio De Simone,ファブリツィオ・デ・シモーネ
Eros Pisano,エロス・ピサーノ
Giuseppe Tosi,ジュゼッペ・トージ
Andrés Nocioni,アンドレス・ノシオーニ
Fabio Luisi,ファビオ・ルイージ
Edoardo Sanguineti,エドアルド・サングイネーティ
Azeglio Vicini,アゼリオ・ビチーニ
Luigi De Magistris (cardinale),ルイージ・デ・マジストリス
Micaela Ramazzotti,ミカエラ・ラマッツォッティ
Stefano Dionisi,ステファノ・ディオニジ
Dave Rodgers,デイヴ・ロジャース
Diego Fabbri,ディエゴ・ファッブリ
Luca Argentero,ルカ・アルジェンテロ
Antonio Aliotta,アントニオ・アリオッタ
Lorenzo Mattotti,ロレンツォ・マトッティ
Matteo Salvini,マッテオ・サルヴィーニ
Diego Armando Maradona Junior,ディエゴ・マラドーナ・ジュニア
Marco Rossi (calciatore 1978),マルコ・ロッシ・(1978年生のサッカー選手)
Carla Cassola,カーラ・カッソーラ
Giuseppe Bellusci,ジュゼッペ・ベッルーシ
Guido Marini,グイド・マリーニ
Giacomo Agostini,ジャコモ・アゴスチーニ
Isolde Kostner,イゾルデ・コストナー
Gabriella Dorio,ガブリエラ・ドリオ
Nicoletta Braschi,ニコレッタ・ブラスキ
Diego Fuser,ディエゴ・フゼール
Alessio Scarpi,アレッシオ・スカルピ
Ferdinando Coppola,フェルディナンド・コッポラ
Orazio Fagone,オラツィオ・ファゴーネ
Giovanni da San Giovanni,ジョヴァンニ・ダ・サン・ジョヴァンニ
Paolo Cavara,パオロ・カヴァラ
Elena Runggaldier,エレナ・ルンガルディエル
Adriano Galliani,アドリアーノ・ガッリアーニ
Raffaella Reggi,ラファエラ・レジ
Claudio Corti (motociclista),クラウディオ・コルティ
Giorgio Parisi,ジョルジョ・パリージ
Paolo Gentiloni,パオロ・ジェンティローニ
Giampaolo Dallara,ジャンパオロ・ダラーラ
Marco Sala,マルコ・サーラ・(1886年生のサッカー選手)
Edda Ciano,エッダ・ムッソリーニ
Arianna Fontana,アリアナ・フォンタナ
Giulia Quintavalle,ジュリア・クインタバレ
Benito Stefanelli,ベニート・ステファネリィ
Beniamino Vignola,ベニアミーノ・ヴィニョラ
Silpa Bhirasri,シン・ピーラシー
Valentina Cortese,ヴァレンティナ・コルテーゼ
Luciano Emmer,ルチアーノ・エンメル
Sebastiano Nela,セバスティアーノ・ネーラ
Mino De Rossi,ミーノ・デ・ロッシ
Renato Castellani,レナート・カステラーニ
Sergio Marchionne,セルジオ・マルキオンネ
Marco Tullio Giordana,マルコ・トゥリオ・ジョルダーナ
Lucio Cecchinello,ルーチョ・チェッキネロ
Elio Germano,エリオ・ジェルマーノ
Federico Barbaro,フェデリコ・バルバロ
Lilí de Álvarez,リリ・デ・アルバレス
Rossana Podestà,ロッサナ・ポデスタ
Al Bano,アル・バーノ
Rita Pavone,リタ・パヴォーネ
Federica Faiella,フェデリカ・ファイエラ
Cristiano Biraghi,クリスティアーノ・ビラーギ
Paolo Bacchini,パオロ・バッキーニ
Gil Cuppini,ギル・クッピーニ
Mattia Valoti,マッティア・ヴァローティ
Riccardo Meggiorini,リッカルド・メッジョリーニ
Simone Vergassola,シモーネ・ヴェルガッソーラ
Giovanni Evangelisti,ジョバンニ・エバンジェリスティ
Massimo Carrera,マッシモ・カレーラ
Roberto Bolle,ロベルト・ボッレ
Nicola Luisotti,ニコラ・ルイゾッティ
Mara Carfagna,マーラ・カルファーニャ
Roberto Alagna,ロベルト・アラーニャ
Lucia Bosè,ルチア・ボゼー
Fulvio Valbusa,フルビオ・バルブーザ
Teho Teardo,テオ・テアルド
Salvatore Ferragamo,サルヴァトーレ・フェラガモ
Domenico Spada,ドメニコ・スパダ
Edwige Fenech,エドウィジュ・フェネシュ
Caterina Caselli,カテリーナ・カゼッリ
Joe Profaci,ジョゼフ・プロファチ
Donato Sabia,ドナト・サビア
Donato Bilancia,ドナート・ビランチャ
Margaret Mazzantini,マルガレート・マッツァンティーニ
Suso Cecchi D'Amico,スーゾ・チェッキ・ダミーコ
Daniele Adani,ダニエレ・アダーニ
Sylvano Bussotti,シルヴァーノ・ブッソッティ
Enrico Annoni,エンリコ・アンノーニ
Mario Praz,マリオ・プラーツ
Raimondo D'Inzeo,ライモンド・ディンゼオ
Mirco Antenucci,ミルコ・アンテヌッチ
Gabriel Garko,ガブリエル・ガルコ
Tiziano Scarpa,ティツィアーノ・スカルパ
Giulio Tononi,ジュリオ・トノーニ
Nedo Sonetti,ネド・ソネッティ
Paolo Volponi,パオロ・ヴォルポーニ
Sandro Veronesi,サンドロ・ヴェロネージ
Leonardo Benevolo,レオナルド・ベネーヴォロ
Gianni Versace,ジャンニ・ヴェルサーチ
Mario Filippeschi,マリオ・フィリッペスキ
Rita Grande,リタ・グランデ
Magda Olivero,マグダ・オリヴェロ
Raimundo Orsi,ライムンド・オルシ
Gabriella Paruzzi,ガブリエラ・パルッツィ
María Mercader,マリア・メルカデル
Rajna Kabaivanska,ライナ・カバイヴァンスカ
Carlo Emilio Bonferroni,カルロ・エミリオ・ボンフェローニ
Roberto Insigne,ロベルト・インシーニェ
Mattia Perin,マッティア・ペリン
Archimede Morleo,アルキメデ・モルレオ
Franco Scoglio,フランコ・スコーリオ
Maurizia Cacciatori,マウリツィア・カッチャトーリ
Riccardo Fogli,リッカルド・フォッリ
Manuel Coppola,マヌエル・コッポラ
Tommaso Toffoli,トマソ・トフォリ
Giacomo Sintini,ジャコモ・シンティーニ
Kim Rossi Stuart,キム・ロッシ・スチュアート
Karin Moroder,カリン・モロダー
Manuela Di Centa,マヌエラ・ディ・チェンタ
Allison Miller,アリソン・ミラー
Alessandra Ferri,アレッサンドラ・フェリ
Kasia Smutniak,カシア・スムトゥニアク
Massimo Agostini,マッシモ・アゴスティーニ
Giuseppe Favalli,ジュゼッペ・ファヴァッリ
Giorgia Bronzini,ジョルジャ・ブロンツィーニ
Maurizio Lucidi,マウリツィオ・ルチーディ
Giovanni Arpino,ジョヴァンニ・アルピーノ
Ennio De Giorgi,エンニオ・デ・ジョルジ
Pantaleo Corvino,パンタレオ・コルヴィーノ
Sergio Sollima,セルジオ・ソリーマ
Dragan Travica,ドラガン・トラヴィツァ
Christian Terlizzi,クリスティアン・テルリッツィ
Franco Rasetti,フランコ・ラゼッティ
Ottavia Piccolo,オッタヴィア・ピッコロ
Elisabetta Perrone,エリザベッタ・ペローネ
Gian Carlo Menotti,ジャン＝カルロ・メノッティ
Betty Curtis,ベティ・クルティス
Tana French,タナ・フレンチ
Marisa Pavan,マリサ・パヴァン
Sabrina Ferilli,サブリナ・フェリッリ
Antonella Confortola,アントネッラ・コンフォルトラ
Cristina D'Avena,クリスティーナ・ダヴェーナ
Fabiola Gianotti,ファビオラ・ジャノッティ
Nino Castelnuovo,ニーノ・カステルヌオーヴォ
Antonio Pedrotti,アントニオ・ペドロッティ
Stephen Spinella,スティーブン・スピネラ
Stelio Candelli,ステリオ・カンデッリ
Facundo Ferreyra,ファクンド・フェレイラ
Sabina Valbusa,サビーナ・バルブーザ
Barbara Fusar Poli,バーバラ・フーザル＝ポリ
Amintore Fanfani,アミントレ・ファンファーニ
