Marsilly (Moselle),马尔西伊·(摩泽尔省)
Saint-Perdoux (Dordogne),圣佩尔杜·(多尔多涅省)
Gros-Chastang,格罗沙斯唐
Peyrabout,佩拉布
Saint-Cernin-de-Labarde,圣塞尔南德拉巴尔德
Liorac-sur-Louyre,卢伊尔河畔利奥拉克
Escaudes,埃斯科德
Les Églisottes-et-Chalaures,莱塞格利索特和沙洛尔
Saint-Martin-de-Gurson,圣马丁德居尔松
Auguste et Louis Lumière,卢米埃尔兄弟
Painblanc,潘布朗
Thomirey,托米雷
Saussey (Côte-d'Or),索塞·(科多尔省)
Veuvey-sur-Ouche,乌什河畔沃韦
Saint-Martin-de-la-Mer,圣马丹德拉梅尔
Vic-des-Prés,维克代普雷·(科多尔省)
Monarchie de Juillet,七月王朝
Mainsat,曼萨·(克勒兹省)
Camblain-Châtelain,康布兰沙特兰
Lusigny-sur-Ouche,乌什河畔吕西尼
Montceau-et-Écharnant,蒙索和埃沙尔南
Veilly,韦伊
Thorey-sur-Ouche,乌什河畔托雷
Féniers,费尼耶
Joucou,茹库
Langogne,朗戈涅
Monplaisant,蒙普莱桑
Cardan (Gironde),卡尔当
Contre (Somme),孔特尔·(索姆省)
Colincamps,科兰康
La Douze,拉杜兹
Javerlhac-et-la-Chapelle-Saint-Robert,雅韦拉克和拉沙佩勒圣罗贝尔
Messas,梅萨·(卢瓦雷省)
Agde,阿格德
Saint-Rabier,圣拉比耶
Jurançon,瑞朗松
Asnières-sur-Seine,塞納河畔阿涅爾
Marquixanes,马基沙讷
Saint-Laurent-de-Cerdans,圣洛朗德塞尔当
Tilly-sur-Meuse,默兹河畔蒂伊
Première République (France),法兰西第一共和国
Deuxième République (France),法蘭西第二共和國
Cipières,锡皮耶尔
Prix Médicis,美第奇奖
La Chavatte,拉沙瓦特
Champien,尚皮安
Chuignolles,许尼奥勒
Contay,孔泰·(索姆省)
Combles,孔布勒
Coisy,夸西
Chaussoy-Epagny,绍苏瓦埃帕尼
Conteville (Somme),孔特维尔·(索姆省)
Condé-Folie,孔代福利
Contalmaison,孔塔尔迈松
Chépy,谢皮
Cléry-sur-Somme,索姆河畔克莱里
Chaulnes,绍讷
Cocquerel,科克雷勒
Chuignes,许涅
Contoire,孔图瓦尔
Citerne (Somme),锡泰尔讷
Cizancourt,锡藏库尔
Clairy-Saulchoix,克莱里-索尔舒瓦
Chipilly,希皮利
Gascogne,加斯科涅
Saint-Éloi (Creuse),圣埃卢瓦·(克勒兹省)
Coigneux,夸尼厄
Chirmont,希尔蒙
15e arrondissement de Paris,巴黎十五区
Corneilla-del-Vercol,科尔内亚-代勒韦科勒
Castelnou,卡斯泰尔努
Rambouillet,朗布依埃
Clergoux,克莱古
Sète,塞特·(埃罗省)
Labastide-en-Val,拉巴斯蒂德昂瓦勒
Paraza,帕拉扎
Saintes,桑特
Aulnois (Vosges),欧努瓦·(孚日省)
Ramonchamp,拉蒙尚
Azille,阿济耶
Regnévelle,勒涅韦勒
Thuir,蒂尔
Floirac (Gironde),弗卢瓦拉克
Saint-Savin (Gironde),圣萨万·(吉伦特省)
Bourganeuf,布尔加讷夫
Saint-Amé,圣阿梅
Rodès,罗代斯
Prunet-et-Belpuig,普吕内和贝尔皮奇
Théza,泰扎
Ménessaire,梅内赛尔
Marcheseuil,马尔舍瑟伊
Bellegarde-sur-Valserine,瓦尔瑟里讷河畔贝勒加德
Vieux-Mareuil,旧马勒伊
Saint-Martial-Entraygues,圣马夏尔昂特赖格
Arcachon,阿卡雄
Sainte-Foy-de-Longas,圣富瓦德隆加·(多尔多涅省)
La Coquille (Dordogne),拉科基耶
Punchy,潘希
Nanteuil-Auriac-de-Bourzac,楠特伊-欧里亚克德布尔扎克
Baneuil,巴讷伊
Lartigue (Gironde),拉尔蒂格·(吉伦特省)
Louis Vuitton Malletier,路易威登
Isle-Saint-Georges,伊勒圣乔治
Rabouillet,拉布耶
Casteil,卡斯泰伊
Claira,克莱拉
Trouillas,特鲁亚斯
Estoher,埃斯托埃
Borrèze,博雷兹
Clara-Villerach,克拉拉-维耶拉克
Saint-Geyrac,圣热拉克
Conférence de la paix de Paris,巴黎和会
Castéra-Loubix,卡斯泰拉-卢比克斯
Liernais,列奈
Manlay,芒莱
Censerey,桑瑟雷
Diancey,迪扬塞
Bonaparte franchissant le Grand-Saint-Bernard,跨越阿尔卑斯山圣伯纳隘道的拿破仑
Sorbey (Meuse),索尔贝·(默兹省)
Marville (Meuse),马尔维尔·(默兹省)
Bard-le-Régulier,巴尔勒雷居利耶
Blanot (Côte-d'Or),布拉诺·(科多尔省)
Brazey-en-Morvan,莫尔旺地区布拉泽
Saint-Jal,圣雅勒·(科雷兹省)
Hendaye,昂代
Saint-Martin-de-Ribérac,圣马丹德里贝拉克
Saint-Vincent-sur-l'Isle,伊勒河畔圣樊尚
Brouilla,布鲁亚
Saint-Laurent-de-la-Salanque,圣洛朗德拉萨朗克
Arboussols,阿布索尔斯
Castillon (près de Lembeye),卡斯蒂永（朗贝县）
Tordères,托代尔
Anglet,昂格莱特
Romagné,罗马涅·(伊勒-维莱讷省)
Sussey,叙塞
Savilly,萨维利·(科多尔省)
Vianges,维扬日
Mende,芒德
Meymac,梅马克
Mourens,穆朗斯
Négrondes,内格龙德
Rouffignac-de-Sigoulès,鲁菲尼亚克-德锡古莱斯
ITER,国际热核聚变实验反应堆
Saint-Aulaire (Corrèze),圣奥莱尔
Racing Club de Lens,朗斯競賽會
La Chapelle-Grésignac,拉沙佩勒格雷西尼亚克
Oyonnax,奥约纳
Salon (Dordogne),萨隆·(多尔多涅省)
Ance,昂斯·(大西洋比利牛斯省)
Albas (Aude),阿尔巴斯·(奥德省)
Lahosse,拉奥斯
Montbel (Lozère),蒙贝勒
Président de la République française,法国总统
Larbey,拉尔贝
Orx,奥尔克斯
Gaël (Ille-et-Vilaine),加埃勒
Saint-Aubin (Côte-d'Or),圣欧班·(科多尔省)
Puligny-Montrachet,皮利尼蒙拉谢
Dommary-Baroncourt,多马里-巴龙库尔
Santosse,桑托斯·(科多尔省)
Gouraincourt,古兰库尔
Mées,梅斯·(朗德省)
Lemmes,莱姆·(默兹省)
Mangiennes,芒日耶讷
Fleury-devant-Douaumont,弗勒里德旺杜欧蒙
Vadelaincourt,瓦德兰库尔·(默兹省)
Saint-Romain (Côte-d'Or),圣罗曼·(科多尔省)
Santenay (Côte-d'Or),桑特奈
Gère-Bélesten,热尔-贝莱斯唐
Senon,瑟农·(默兹省)
Nouillonpont,努永蓬
Saint-André-en-Barrois,巴鲁瓦地区圣安德烈
Dassault Mirage 2000,幻影2000战斗机
Saint-Coulomb,圣库隆
Geüs-d'Oloron,热于多洛龙
Baudricourt,博德里库尔
Trans-la-Forêt,特朗拉福雷·(伊勒-维莱讷省)
Hévilliers,埃维利耶
Gremilly,格勒米伊
Grimaucourt-en-Woëvre,瓦夫尔地区格里莫库尔
Lamorville,拉莫尔维尔
Lorey,洛雷·(默尔特-摩泽尔省)
Heudicourt-sous-les-Côtes,厄迪库尔苏莱科特
Football Club de Nantes,南特足球俱乐部
Saint-Étienne-de-Puycorbier,圣艾蒂安德皮科尔比耶
Mazerolles-du-Razès,马兹罗勒迪拉泽斯
Saint-Marcel-sur-Aude,奥德河畔圣马塞尔
Saint-Jean-de-Védas,圣让德韦达斯
Roquefère,罗克费尔
Les Grands-Chézeaux,大谢佐
Ambérieu-en-Bugey,昂贝略昂比热
Périssac,佩里萨克
Villiers-en-Morvan,莫尔旺地区维利耶尔·(科多尔省)
Aubigny-la-Ronce,欧比尼拉龙斯
Magnat-l'Étrange,马尼亚莱特朗日
Gerbamont,热尔巴蒙
Fontiers-Cabardès,丰捷卡巴代斯
Linard,利纳尔·(克勒兹省)
Les Hermaux,莱塞尔莫
Carresse-Cassaber,卡雷斯-卡萨贝
Oradour-Saint-Genest,奥拉杜尔圣热内
Narcastet,纳尔卡斯泰特
Aubertin,欧贝尔坦
Montarnaud,蒙塔尔诺
Conchez-de-Béarn,孔谢德贝阿尔恩
Cent-Jours,百日王朝
Lastours,拉斯图尔·(奥德省)
Arrancy-sur-Crusnes,克吕讷河畔阿朗西
Amel-sur-l'Étang,阿梅勒叙莱唐
Baubigny (Côte-d'Or),博比尼·(科多尔省)
Chassagne-Montrachet,沙萨涅蒙拉谢
Cormot-le-Grand,大科尔莫
Ivry-en-Montagne,伊夫里昂蒙塔涅
Corpeau,科尔波·(科多尔省)
Molinot,莫利诺
Jours-en-Vaux,茹尔昂沃
Varennes-en-Argonne,阿戈讷地区瓦雷讷
Nolay (Côte-d'Or),诺莱·(科多尔省)
Vaucouleurs (Meuse),沃库勒尔
Sonnac-sur-l'Hers,埃尔斯河畔索纳克
Peyrens,佩朗·(奥德省)
Le Pompidou,勒蓬皮杜
Laveline-devant-Bruyères,拉沃利讷德旺布吕耶尔
Saint-Merd-la-Breuille,圣梅尔拉布勒耶
Cambieure,康比约尔
Derbamont,代尔巴蒙
18e arrondissement de Paris,巴黎十八区
Hadigny-les-Verrières,阿迪尼莱韦里耶尔
Saint-Moreil,圣莫雷伊
Saulxures-sur-Moselotte,莫斯洛特河畔索尔叙尔
Le Hinglé,勒安格莱
Rugney,吕涅
Roussac,鲁萨克
Bruges-Capbis-Mifaget,布鲁日-卡比斯-米法热
Débarquement de Normandie,诺曼底登陆
Rupt-aux-Nonains,吕欧诺南
Saint-Aubin-sur-Aire,艾尔河畔圣欧班
Xivray-et-Marvoisin,西夫赖和马尔瓦桑
Saint-Amand-sur-Ornain,奥尔南河畔圣阿芒
Rumont (Meuse),吕蒙·(默兹省)
Montiers-sur-Saulx,索河畔蒙捷
Bouligny,布利尼·(默兹省)
Billy-sous-Mangiennes,比伊苏芒日耶讷
Saint-Laurent-sur-Othain,奥坦河畔圣洛朗
Loison,卢瓦松
Saint-Jean-lès-Buzy,圣让莱比济
Vaudoncourt (Meuse),沃东库尔·(默兹省)
Ladaux,拉多·(吉伦特省)
Warcq (Meuse),瓦尔克·(默兹省)
Sepvigny,塞普维尼·(默兹省)
Molandier,莫朗迪耶
Argeliers,阿热利耶
Balsièges,巴尔谢日
Pomas,波马
Rodome,罗多姆
Thury (Côte-d'Or),蒂里·(科多尔省)
Vauchignon,沃希尼翁
Midi-Pyrénées,南部-比利牛斯
La Rochepot,拉罗什波
Escles,埃斯克勒
Vence,旺斯
Oise (rivière),瓦兹河
Ajac,阿雅克
Franche-Comté,弗朗什-孔泰
Rouvrois-sur-Othain,奥坦河畔鲁夫鲁瓦
Rupt-sur-Othain,奥坦河畔吕
Saint-Pierrevillers,圣皮埃尔维莱
Duzey,迪泽
Villers-lès-Mangiennes,维莱莱芒日耶讷
Villers-le-Sec (Meuse),维莱勒塞克·(默兹省)
Véry,韦里·(默兹省)
Spincourt,斯潘库尔
Les Ilhes,莱西耶
Gignéville,日涅维尔
Saint-Jean-de-Buèges,圣让德比埃日
Fromezey,弗罗默泽
Abainville,阿班维尔
Saint-Jouvent,圣茹旺
Saint-Hilaire-en-Woëvre,瓦夫尔地区圣伊莱尔
Rupt-devant-Saint-Mihiel,吕德旺圣米耶勒
Saint-Léonard-de-Noblat,圣莱奥纳尔-德诺布拉
Liposthey,利波斯泰
Juvigny-en-Perthois,佩尔图瓦地区瑞维尼
Labastide-d'Armagnac,阿马尼亚克堡
Arcenant,阿尔瑟南
Boncourt-le-Bois,邦库尔勒布瓦
Comblanchien,孔布朗希安
Chaux (Côte-d'Or),绍·(科多尔省)
Le Val-d'Ajol,勒瓦勒达若勒
Évry,埃夫里
Payra-sur-l'Hers,埃尔斯河畔派拉
Bègles,贝格勒
Les Monts-Verts,莱蒙韦尔
Gugnécourt,居涅库尔
Saint-Laurent (Creuse),圣洛朗·(克勒兹省)
Viviers-le-Gras,维维耶勒格拉
Cailhavel,卡亚韦勒
Champ-le-Duc,尚勒迪克
Marchéville-en-Woëvre,瓦夫尔地区马谢维尔
Mecé,默塞
Crevin,克勒万
Yvignac-la-Tour,伊维尼亚克拉图尔
Le Sel-de-Bretagne,布列塔尼地区勒塞勒
Bruz,布吕兹
Chantepie,尚特皮
Les Ulis,莱叙利斯
Lavérune,拉韦吕讷
Le Bouscat,勒布斯卡
Rosis,罗西·(埃罗省)
Talence,塔朗斯
Champigny-sur-Marne,马恩河畔尚皮尼
La Pomarède,拉波马雷德
Pont-Péan,蓬佩昂
Caudecoste,科德科斯特
Lavergne (Lot-et-Garonne),拉韦涅·(洛特-加龙省)
Offroicourt,奥夫鲁瓦库尔
Villeton (Lot-et-Garonne),维勒通
Sornéville,索内维尔
Tramain,特拉曼
Saint-Pierre-la-Vieille,圣皮埃尔拉维埃耶
Plœuc-sur-Lié,利耶河畔普勒克
Uzès,于泽斯
Étréham,埃特雷昂
Charmois-l'Orgueilleux,沙穆瓦洛格约
Saint-Martial-Viveyrol,圣马夏尔维韦罗勒
Bazelat,巴泽拉
Estry,埃特里
Plouvien,普卢维安
Bégard,贝加尔
Lohuec,洛于埃克
Saint-Agathon,圣阿加通
Carnoët,卡诺埃特
Le Haut-Corlay,上科尔莱
Corgoloin,科尔戈卢万
Flagey-Echézeaux,弗拉热-埃谢佐
Fussey,菲塞·(科多尔省)
Agencourt,阿让库尔
Saint-Germain-sur-Meuse,默兹河畔圣日耳曼
Bonnet (Meuse),博内·(默兹省)
Domremy-la-Canne,栋雷米拉卡讷
Pillon,皮永
Rupt-en-Woëvre,瓦夫尔地区吕
Muzeray,米泽赖·(默兹省)
Étain (Meuse),埃坦
Dompierre-sur-Mer,滨海栋皮埃尔
Gerland (Côte-d'Or),热尔朗
Canton de Murat,米拉县·(法国)
Saint-Chamarand,圣沙马朗
Villiers-le-Sec (Calvados),维利耶勒塞克·(卡尔瓦多斯省)
Merdrignac,梅尔德里尼亚克
Grands Magasins du Louvre,羅浮宮百貨公司
Bringolo,布兰戈洛
Yser,艾泽尔河
Jausiers,若西耶
Camembert (Orne),卡芒贝尔
Vaux-sur-Aure,欧尔河畔沃
Argilly,阿尔日伊
Gilly-lès-Cîteaux,日伊莱西托
Marey-lès-Fussey,马雷莱菲塞
Magny-lès-Villers,马尼莱维莱尔
Saint-Émilion,圣埃米利永
Saint-Julien-le-Petit,小圣于连
Lerm-et-Musset,莱尔姆和米塞
Meuilley,默耶
Organisation territoriale de la France,法国行政区划
Uzemain,于兹曼
Castaignos-Souslens,卡斯泰尼奥苏斯朗
Saint-André-et-Appelles,圣安德烈和阿佩勒
Pallegney,帕勒涅
Saint-Maurice-près-Crocq,克罗附近圣莫里斯
Pierrefitte (Vosges),皮埃尔菲特·(孚日省)
Plouha,普卢阿
Vaudry,沃德里
Confolens (commune déléguée),孔福朗·(旧市镇)
Le Bény-Bocage,勒贝尼博卡日
Bouxières-aux-Chênes,布克西耶尔欧谢讷
Aubusson (Creuse),欧比松
Pithiviers,皮蒂维耶
Cirey-sur-Vezouze,沃祖兹河畔锡雷
Burthecourt-aux-Chênes,比特库尔欧谢讷
Hyères,耶尔
Sancy (Meurthe-et-Moselle),桑西·(默尔特-摩泽尔省)
Le Pont-de-Montvert,勒蓬德蒙韦尔
Pierrefiche (Lozère),皮埃尔菲什·(洛泽尔省)
Malbouzon,马尔布宗
Cubiérettes,屈比耶雷特
Lanuéjols (Lozère),拉尼埃若勒·(洛泽尔省)
Chauchailles,绍沙耶
Lanmeur,朗默尔
Yssingeaux,伊桑若
Marchastel (Lozère),马尔沙斯泰勒·(洛泽尔省)
Maroncourt,马龙库尔
Anderny,昂代尼
Saint-Laurent-de-Muret,圣洛朗德米雷
Saint-Étienne-du-Valdonnez,圣艾蒂安-迪瓦尔多内
La Fage-Montivernoux,拉法日蒙蒂韦尔努
Thiers,蒂耶尔
Jarnac,雅纳克
Saint-Côme-de-Fresné,圣科姆德弗雷内
Avesnes-sur-Helpe,埃尔普河畔阿韦讷
Decize,德西兹
Pontécoulant,蓬泰库朗
Château-Chinon (Ville),希农堡（城）
Le Theil-Bocage,勒泰伊博卡日
Lure,吕尔
Nuits-Saint-Georges,尼伊圣乔治
Premeaux-Prissey,普雷莫-普里塞
Quincey (Côte-d'Or),坎塞·(科多尔省)
Saint-Bernard (Côte-d'Or),圣贝尔纳·(科多尔省)
Villebichot,维勒比绍
Villars-Fontaine,维拉尔枫丹
Saint-Nicolas-lès-Cîteaux,圣尼古拉莱西托
Villy-le-Moutier,维利勒穆捷
Le Monastier-Pin-Moriès,勒莫纳斯捷-潘莫列斯
Villers-la-Faye,维莱拉费
Saint-Jean-la-Fouillouse,圣让拉富尤斯
Sainte-Hélène (Lozère),圣埃莱娜·(洛泽尔省)
Grandvals,格朗瓦勒·(洛泽尔省)
Limoux,利穆
Fourques-sur-Garonne,加龙河畔富尔克
Recoules-d'Aubrac,勒库勒多布拉克
Saint-Flour-de-Mercoire,圣弗卢尔德梅夸尔
Chambon-le-Château,尚邦堡
Pys,皮村
Mazières-Naresse,马济耶尔-纳雷斯
Puzeaux,皮佐·(索姆省)
Druyes-les-Belles-Fontaines,德吕莱贝勒方丹
La Sauvetat-du-Dropt,德罗河畔拉索沃塔
Broualan,布鲁阿朗
La Petite-Fosse,小福斯
Savignac-sur-Leyze,莱兹河畔萨维尼亚克
Tour de France 2009,2009年环法自行车赛
Bouhey,布埃·(科多尔省)
Repaix,勒派
Sainte-Enimie,圣埃尼米
Saint-Amans (Lozère),圣阿芒·(洛泽尔省)
Liesville-sur-Douve,杜沃河畔列维尔
Jésonville,热松维尔
Bellenot-sous-Pouilly,贝勒诺苏普伊
Beurey-Bauguay,伯雷博盖
Canchy (Calvados),康希·(卡尔瓦多斯省)
Chouain,舒安·(卡尔瓦多斯省)
Saint-Jean-de-Luz,圣让德吕兹
Gercourt-et-Drillancourt,热尔库尔和德里朗库尔
Sainte-Livrade-sur-Lot,洛特河畔圣利夫拉德
Clinchamps-sur-Orne,奥恩河畔克兰尚
Bellengreville (Calvados),贝朗格勒维尔
Chicheboville,希什博维尔
Arconcey,阿尔孔塞
Tournoi des Six Nations,六國錦標賽
Crocq,克罗·(克勒兹省)
Tour de France 2010,2010年环法自行车赛
Barbery (Calvados),巴尔伯里
Castilly,卡斯蒂伊
Castillon (Calvados),卡斯蒂永·(卡尔瓦多斯省)
Anctoville,昂克托维尔
Campigny (Calvados),康皮尼·(卡尔瓦多斯省)
Billy (Calvados),比伊·(卡尔瓦多斯省)
Bruyères,布吕耶尔
Chambon-Sainte-Croix,尚邦圣克鲁瓦
Battexey,巴泰克塞
Géographie de la France,法国地理
Châtellenot,沙泰勒诺
Chazilly,沙济伊
Châteauneuf (Côte-d'Or),沙托讷夫·(科多尔省)
Chailly-sur-Armançon,阿尔芒松河畔沙伊
Marigot (Saint-Martin),马里戈特
Saint-Gein,圣然
Jusix,瑞西·(洛特-加龙省)
Indre (rivière),安德尔河
Mandray,芒德赖
Bauquay,博凯
Aunay-sur-Odon,奥东河畔欧奈
Carrefour (enseigne),Carrefour
Salon-de-Provence,普罗旺斯地区萨隆
Rouves,鲁沃
Lenoncourt,勒农库尔
Pintheville,潘特维尔
Pleuven,普勒旺
Fléville-devant-Nancy,弗莱维尔德旺南锡
Manonville,马农维尔
Abeilhan,阿贝扬
La Tour-du-Pin,拉图尔迪潘
La Motte (Côtes-d'Armor),拉莫特·(阿摩尔滨海省)
Vittarville,维塔尔维尔
Chauvency-le-Château,绍旺西堡
Championnat de France de football de deuxième division,法國足球乙級聯賽
Sibiril,锡比里勒
Civry-en-Montagne,锡夫里昂蒙塔涅
Aulnay-sous-Bois,欧奈苏布瓦
Runan,吕南·(阿摩尔滨海省)
Marine nationale (France),法國海軍
Pégairolles-de-l'Escalette,佩盖罗勒德莱斯卡莱特
Bettoncourt,贝通库尔
Lajo,拉若
Sartène,萨尔泰讷
Basilique Sainte-Marie-Madeleine de Vézelay,韦兹莱隐修院
Brixey-aux-Chanoines,布里克塞-欧沙努瓦讷
Blancey,布朗塞
Pouilly-en-Auxois,欧苏瓦地区普伊
Le Bosc (Hérault),勒博斯克
Liste des communes de la Martinique,马提尼克市镇列表
La Teste-de-Buch,拉泰斯特德比什
Traité de Paris (1815),巴黎條約·(1815年)
Alfortville,阿尔福维尔
Ferney-Voltaire,费内-伏尔泰
Vallauris,瓦洛里斯
Ancien Régime,旧制度
Île Tromelin,特罗姆兰岛
Chastel-Nouvel,沙斯泰勒努韦勒
Le Désert,勒代塞尔
La Neuveville-sous-Montfort,拉讷沃维尔苏蒙福尔
Meilly-sur-Rouvres,梅伊叙鲁夫尔
Mont-Saint-Jean (Côte-d'Or),蒙圣让·(科多尔省)
Maconge,马孔日
Martrois,马尔特鲁瓦
Marcilly-Ogny,马西伊-奥尼
Saint-Laurent-du-Var,圣洛朗迪瓦尔
Cinquième République (France),法蘭西第五共和國
Besbre,貝布爾河
Bordères-et-Lamensans,博尔代雷和拉芒桑
Journée des Tuiles,砖瓦之日
Saint-Domineuc,圣多米纳克
Saint-Carné,圣卡尔内
May-sur-Orne,奥恩河畔迈
Raves,拉沃·(孚日省)
Montélimar,蒙特利马尔
Crozon,克罗宗
Plabennec,普拉贝内克
Saint-Pern,圣佩恩
Lanmodez,朗莫代
Montreuil-le-Gast,蒙特勒伊勒加
Ouche (Côte-d'Or),乌什河
Algérie française,法属阿尔及利亚
Saint-Onen-la-Chapelle,圣奥南拉沙佩勒
Chanel,香奈儿
Camargue,卡马格
Lanrodec,朗罗代克
Miniac-sous-Bécherel,米尼亚克-苏贝什雷勒
Méréville (Meurthe-et-Moselle),梅雷维尔·(默尔特-摩泽尔省)
Péronne (Somme),佩罗讷
Hauteroche (Côte-d'Or),欧特罗什·(科多尔省)
La Prétière,拉普雷蒂耶尔
Hautmougey,欧穆热
Burgnac,比尔尼亚克
Liévin,列萬
La Nouaye,拉努艾
Le Ponthou,勒蓬图
Pierre-la-Treiche,皮埃尔拉特雷什
Champ-de-Mars (Paris),戰神廣場·(巴黎)
Mercy-le-Bas,下梅尔西
Hôtel George-V,喬治五世酒店
Pouldouran,普尔杜朗
Saint-Remy (Vosges),圣雷米·(孚日省)
Thillot,蒂洛·(默兹省)
Essey,埃塞·(科多尔省)
Éguilly,埃吉伊
Commarin,科马兰
Créancey (Côte-d'Or),克雷昂塞
Parti communiste français,法国共产党
Les Salces,莱萨尔斯
Montagny-lès-Seurre,蒙塔尼莱瑟尔
Vandenesse-en-Auxois,欧苏瓦地区旺德内斯
Thoisy-le-Désert,图瓦西勒代塞尔
Semarey,瑟马雷
Saint-Vigor-des-Mézerets,圣维戈尔德梅兹雷
Lamontjoie,拉蒙茹瓦
Fraissinet-de-Fourques,弗赖西内德富尔克
Rouvres-sous-Meilly,鲁夫尔苏梅伊
Sainte-Sabine (Côte-d'Or),圣萨比娜
Osmanville,奥斯芒维尔
Gondrecourt-Aix,贡德勒库尔-艾克斯
Engayrac,昂盖拉克
Lucey (Meurthe-et-Moselle),吕塞·(默尔特-摩泽尔省)
La Francheville,拉弗朗什维尔
Les Mars,莱马尔
Ahun,阿安
Taillebourg (Lot-et-Garonne),塔耶堡·(洛特-加龙省)
Saint-Jean-Trolimon,圣让特罗利蒙
Villefloure,维勒弗卢尔
Récicourt,雷西库尔
Neuville-en-Verdunois,凡尔登地区讷维尔
Pied-de-Borne,皮耶德博尔讷
Le Buisson (Lozère),勒比松
Villardonnel,维拉尔多内勒
Léogeats,莱奥雅茨
Écrouves,埃克鲁沃
Arnac-la-Poste,阿尔纳克拉波斯特
Cluny (Saône-et-Loire),克吕尼
Stade brestois 29,布雷斯特足球俱乐部
Gontaud-de-Nogaret,贡托德诺加雷
Circourt-sur-Mouzon,穆宗河畔锡尔库尔
Guitté,吉泰
Sainte-Colombe-de-Peyre,圣科隆布德佩尔
Galeries Lafayette Haussmann,巴黎老佛爺百貨公司
Gomené,戈姆内
Scrignac,斯克里尼亚克
Landrévarzec,朗德雷瓦尔泽克
Roullours,鲁卢尔
Sauméjan,索梅让
Laperrière-sur-Saône,索恩河畔拉佩里耶尔
Losne,洛讷
Saint-Frichoux,圣弗里舒
Saint-Bonnet-de-Chirac,圣博内德希拉克
Saint-Privat-de-Vallongue,圣普里瓦德瓦隆格
Saint-Pantaléon-les-Vignes,圣庞塔莱翁莱维涅
Saint-Restitut,圣雷斯蒂蒂
Séderon,塞德龙
Saint-Sauveur-Gouvernet,圣索沃尔古韦尔内
Saint-Rambert-d'Albon,圣朗贝尔达尔邦
Saint-Sorlin-en-Valloire,瓦卢瓦尔地区圣索尔兰
Sainte-Geneviève-des-Bois (Essonne),圣热讷维耶沃代布瓦
Vanves,旺沃
Vion (Ardèche),维永·(阿尔代什省)
Savasse,萨瓦斯
Saint-Sauveur-en-Diois,迪瓦地区圣索沃尔
Saint-Vallier (Drôme),圣瓦利耶·(德龙省)
Saint-Laurent (Côtes-d'Armor),圣洛朗·(阿摩尔滨海省)
Gradignan,格拉迪尼昂
Puteaux,皮托
Ciboure,锡布尔
Meudon,默东
Saint-Domet,圣多梅
Molleville,莫勒维尔
Lusignan-Petit,小吕西尼昂
Manosque,马诺斯克
Sainte-Colombe-en-Bruilhois,圣科隆布昂布吕伊卢瓦
Alès,阿莱斯
Saint-Martin-le-Vieil,圣马丹勒维耶伊
Hérouville-Saint-Clair,埃鲁维尔圣克莱尔
Saint-Raphaël (Var),圣拉斐尔·(瓦尔省)
Piffonds,皮丰
Guiler-sur-Goyen,瓜昂河畔吉莱
Vitré (Ille-et-Vilaine),维特雷
Palais des Tuileries,杜伊勒里宫
Le Leslay,勒莱莱
Saulce-sur-Rhône,罗讷河畔索尔斯
Suze (Drôme),叙兹
Tarascon (Bouches-du-Rhône),塔拉斯孔
Pays catalans,加泰隆尼亞語地區
Saint-Cyprien (Dordogne),圣西普里安·(多尔多涅省)
Château de Fontainebleau,枫丹白露宫
Saint-Usage (Côte-d'Or),圣于萨日
Saint-Pierre-de-Nogaret,圣皮埃尔德诺加雷
Peyrière,佩里耶尔·(洛特-加龙省)
Allons (Lot-et-Garonne),阿隆·(洛特-加龙省)
Privas,普里瓦
Alaigne,阿莱涅
Morteau,莫尔托
La Courtine,拉库尔蒂讷
Caves,卡沃·(奥德省)
Saint-Martin-de-Villeréal,圣马丁德维勒雷阿勒
Lemps (Ardèche),朗普·(阿尔代什省)
Mauves,莫沃
Puy-d'Arnac,皮达尔纳克
Goualade,古阿拉德
Tourrettes,图雷特
Saint-Paul-lès-Romans,圣保罗莱罗芒
Pasilly,帕西利
Soyans,苏瓦扬
Teyjat,泰雅·(多尔多涅省)
Sérilhac,塞里亚克
Glanon,格拉农
Corberon,科尔伯龙
Sauzet (Drôme),索泽
Saint-Crépin-de-Richemont,圣克雷潘德里什蒙
Saint-May,圣迈
Château de Chenonceau,舍農索城堡
Artassenx,阿尔塔桑克斯
Magny-lès-Aubigny,马尼莱索比尼
Aubigny-en-Plaine,欧比尼昂普莱讷
Saint-Jean-de-Losne,圣让德洛讷
Saint-Seine-en-Bâche,圣塞纳昂巴什
Cavignac,卡维尼亚克
Dinsac,丹萨克
Quintillan,坎蒂扬
Bages (Aude),巴日·(奥德省)
Felletin,费勒坦
Pontoise,蓬图瓦兹
Saint-Michel-sur-Savasse,萨瓦斯河畔圣米歇尔
Courcelles-sous-Châtenois,库尔塞勒-苏沙特努瓦
Boussac (Creuse),布萨克
Ornaisons,奥尔奈松
Rieux-en-Val,里约昂瓦勒
Drancy,德朗西
Isère (rivière),伊泽尔河
La Courtète,拉库尔泰特
Haroué,阿鲁埃
Arrondissement de Saint-Claude,圣克洛德区
Trouhans,特鲁昂·(科多尔省)
Saint-Symphorien-sur-Saône,索恩河畔圣桑福里安
Samerey,萨姆雷
Simple dames des Internationaux de France 2009,2009年法國網球公開賽女子單打比賽
Bonnat,博纳
Padern,帕代恩
Dinan,迪南
Lège-Cap-Ferret,莱日卡普费雷
