Lionel Messi,리오넬 메시
Salvatore Schillaci,살바토레 스킬라치
Gionatha Spinesi,조나타 스피네시
Salvatore Settis,살바토레 세티스
Massimo Moratti,마시모 모라티
Erno Crisa,에르노 크리사
Davide Santon,다비데 산톤
Irene Galter,이렌 갈터
Matteo Tagliariol,마테오 탈리아리올
Lorella Cuccarini,로렐라 쿠카리니
Cesare Maldini,체사레 말디니
Dino De Laurentiis,디노 드 로렌티스
Sebastiano Rossi,세바스티아노 로시
Barbora Bobuľová,바르보라 보불로바
Roldano Lupi,롤다노 루피
Simone Barone,시모네 바로네
Pierre Cardin,피에르 가르뎅
Umberto Giordano,움베르토 조르다노
Vittorio Emanuele Orlando,비토리오 엠마누엘레 오를란도
Gianluca Ramazzotti,잔루카 라마초티
Vincenzo Montella,빈센초 몬텔라
Roberto Abbondanzieri,로베르토 아본단시에리
Giuseppe Bottai,주세페 보타이
Paolo Bettini,파올로 베티니
Ambra Angiolini,암브라 안졸리니
Milena Vukotic,밀레나 부코티츠
Carlo Ponti,카를로 폰티
Osvaldo Bagnoli,오스발도 바뇰리
Altero Matteoli,알테로 마테올리
Eleonora Rossi Drago,엘레오노라 로시 드라고
Marta Gastini,마르타 가스티니
Catherine Spaak,캐서린 스파크
Fabio Casartelli,파비오 카사르텔리
Francesca Romana Coluzzi,프란체스카 로마나 콜러치
Luigi Agnolin,루이지 아뇰린
Virgilio Noè,비르질리오 노에
Raffaella Brutto,라파엘라 브루토
Melita Toniolo,멜리타 토니오로
Gaetano Scirea,가에타노 시레아
Sergio Castellitto,세르히오 카스텔리토
Alessandro Andrei,알레산드로 안드레이
Salvatore Sirigu,살바토레 시리구
Livio Lorenzon,리비오 로렌촌
Luca Antonelli,루카 안토넬리
Fabrizio Ravanelli,파브리치오 라바넬리
Luigi Apolloni,루이지 아폴로니
Pier Cesare Bori,피에르 체사레 보리
Alberto D'Aversa,알베르토 다베르사
Melania Gabbiadini,멜라니아 가비아디니
Carlo Urbani,카를로 우르바니
Francesca Michielin,프란체스카 미키엘린
Laura Chiatti,로라 치아티
Cosimo Fusco,코시모 푸스코
Luigi Barzini,루이지 바지니
Clemente Fracassi,클레멘테 프라카시
Rita Trapanese,리타 트라파네세
Luciana Paluzzi,루시아나 팔루치
Marco Simone,마르코 시모네
Luca Antonini,루카 안토니니
Toni Negri,안토니오 네그리
Palmiro Togliatti,팔미로 톨리아티
Giovanni Battista Gianquinto,조바타 잔킨토
Achille Bonito Oliva,아킬레 보니토 올리바
Pier Vittorio Tondelli,피에르 비토리오 톤델리
Cristiano Lucarelli,크리스티아노 루카렐리
Silvana Jachino,실바나 야키노
Marisa Sannia,마리사 산니아
Don Vito Corleone,비토 코를레오네
Milena Canonero,밀레나 카노네로
Enrico Baj,엔리코 바이
Antonio Tajani,안토니오 타야니
Franco Nero,프랑코 네로
Carlo Fassi,카를로 파시
Claudio Santamaria,클라우디오 산타마리아
Angelo Palombo,안젤로 팔롬보
Luciano Spalletti,루차노 스팔레티
Lorenzo De Silvestri,로렌조 데 실베스트리
Giandomenico Mesto,잔도메니코 메스토
Abdon Pamich,아브돈 파미치
Marco Ballotta,마르코 발로타
Luca Cigarini,루카 치가리니
Fernando Belluschi,페르난도 벨루스치
Luca Marchegiani,루카 마르케자니
Paolo Cannavaro,파올로 칸나바로
Delia Scala,델리아 스칼라
Aldo Donati,알도 도나티
Gigi D'Agostino,지지 디아고스티노
Giuseppe Ungaretti,주세페 운가레티
Diego Ulissi,디에고 울리시
Andrea Dossena,안드레아 도세나
Paolo Borsellino,파올로 보르셀리노
John Aloisi,존 알로이지
Nicola Legrottaglie,니콜라 레그로탈리에
Robert Miles,로버트 마일즈
Joel McHale,조엘 맥헤일
Ferruccio Lamborghini,페루치오 람보르기니
Luigi Tarantino,루이지 타란티노
Isabella Ragonese,이사벨라 라고네세
Maurizio Domizzi,마우리치오 도미치
Demetrio Volcic,데메트리오 볼치치
Salvatore Tatarella,살바토레 타타렐라
Lauretta Masiero,라우레타 마시에로
Altiero Spinelli,알티에로 스피넬리
Cristian Raimondi,크리스티안 라이몬디
Mango,망고
Giacomo Poretti,자코모 포레티
Cristian Brocchi,크리스티안 브로키
Giorgio Agamben,조르조 아감벤
Giuseppe Di Stefano,주세페 디 스테파노
Bartolomeo Ammannati,바르톨로메오 암만나티
Luigi Traglia,루이지 트랄리아
Rolando Bianchi,롤란도 비안키
Benny Benassi,베니 베나시
Emilio Colombo,에밀리오 콜롬보
Giuseppe Biava,주세페 비아바
Viviano Guida,비비아노 귀다
Maxi López,막시 로페즈
Vincenzo Nibali,빈첸초 니발리
Micaela Ramazzotti,미카엘라 라마초티
Orietta Berti,오리에타 베르티
Emma,엠마 마로네
Lucia Annunziata,루차 안눈치아타
Sabina Guzzanti,사비나 구찬티
Matteo Salvini,마테오 살비니
Alessandro Gamberini,알레산드로 감베리니
Tinto Brass,틴토 브라스
Leonardo De Lorenzo,레오나르도 데 로렌초
Gabriele Veneziano,가브리엘레 베네치아노
Sara Mingardo,사라 밍가르도
Lucio Fontana,루초 폰타나
Daniela Sabatino,다니엘라 사바티노
Marco Tardelli,마르코 타르델리
Fabiana Udenio,파비아나 우데니오
Marco Belinelli,마르코 벨리넬리
Diego Sinagra,디에고 시나그라
Andrés Nocioni,안드레스 노시오니
Marco Rossi,마르코 로시
Salvatore Adamo,살바토르 아다모
Vito Antuofermo,비토 안투오페모
Mark Bresciano,마크 브레시아노
Curzio Malaparte,쿠르치오 말라파르테
Lunetta Savino,루네타 사비노
Iginio Straffi,이기니오 스트라피
Angelo Ogbonna,안젤로 오그본나
Mario Del Monaco,마리오 델 모나코
Dave Rodgers,지안카를로 파스퀴니
Stefano Dionisi,스테파노 디오니시
Giuseppe Bellusci,주세페 벨루시
Carla Cassola,카를라 카솔라
Ivanoe Bonomi,이바노에 보노미
Mauro Tassotti,마우로 타소티
Diego Alves,디에구 아우베스 카헤이라
Cristiano Zanetti,크리스티아노 차네티
Enzo Bearzot,엔초 베아르초트
Franco Corelli,프랑코 코렐리
Fernando Tambroni,페르난도 탐브로니
Giovanni Cianfriglia,조반니 찬프릴리아
Vittorio Miele,비토리오 미엘레
Giorgio Moroder,조르조 모로더
Azeglio Vicini,아첼리오 비치니
Alessandro Mendini,알레산드로 멘디니
Giuseppe Madini,주세페 마디니
Paolo Stoppa,파올로 스토파
Gianluca Pagliuca,잔루카 팔류카
Umberto Spadaro,움베르토 스파다로
Pino Donaggio,피노 도나지오
Federico Pizzarotti,페데리코 피차로티
Cristian Molinaro,크리스티안 몰리나로
Francesco Durante,프란체스코 두란테
Fulvio Bernardini,풀비오 베르나르디니
Luigi Di Biagio,루이지 디 비아조
Ciro Ferrara,치로 페라라
Leo Lionni,레오 리오니
Nicolao Dumitru,니콜라오 두미트루
Aurelio Sabattani,아우렐리오 사바타니
Silvio Muccino,실비오 무치노
Antonio Bassolino,안토니오 바솔리노
Angelo Schiavio,안젤로 스키아비오
Luca Argentero,루카 아르젠테로
Carlo Ossola,카를로 오솔라
Alexei Yuryevich Smirnov,알렉세이 스미르노프
Ettore Bugatti,에토레 부가티
Gianni Letta,잔니 레타
Felice Gimondi,펠리체 지몬디
Claudio Gentile,클라우디오 젠틸레
Sonny Colbrelli,소니 콜브렐리
Francesco Giacomo Tricomi,프란체스코 트리코미
Andrés D'Alessandro,안드레스 달레산드로
Luigi Mastrangelo,루이지 마스트란젤로
Bernardo Provenzano,베르나르도 프로벤자노
Simone Inzaghi,시모네 인차기
Salvatore Bocchetti,살바토레 보케티
Sandro Mazzola,산드로 마촐라
Andrea Ranocchia,안드레아 라노키아
Michele Andreolo,미켈레 안드레올로
Cristian Rodríguez,크리스티안 로드리게스
Ciriaco De Mita,치리아코 데 미타
Cristian Daniel Ledesma,크리스티안 레데스마
Giancarlo Giannini,잔카를로 잔니니
Aldo Olivieri,알도 올리비에리
Valentine Demy,발렌틴 데미
Piero Malvestiti,파올로 말베스티티
Dino Del Bo,리날도 델보
Fabio Carta,파비오 카르타
Andrea Bargnani,안드레아 바르냐니
Luciana Littizzetto,루차나 리티체토
Nicola Rizzoli,니콜라 리촐리
Diego Occhiuzzi,디에고 오키우치
Silvia Costa,실비아 코스타
Orazio Fagone,오라치오 파고네
Tony Currenti,토니 커런티
Lidia Trettel,리디아 트레텔
Vittorio Sereni,비토리오 세레니
Franco Nicolazzi,프랑코 니콜라치
Alberto Zaccheroni,알베르토 차케로니
Dino Falconi,디노 팔코니
Daniela Poggi,다니엘라 포기
Francesco Renga,프란체스코 렝가
Ruggero Maccari,루게로 마카리
Marina Suma,마리나 수마
Luigi Maifredi,루이지 마이프레디
Luigi Ambrosio,루이지 암브로시오
Elio Germano,엘리오 제르마노
Giorgetto Giugiaro,조르제토 주지아로
Paolo De Ceglie,파올로 데 첼리에
Luciano Favero,루차노 파베로
Umberto Agnelli,움베르토 아녤리
Bruno Vespa,브루노 베스파
Raffaele Fitto,라파엘레 피토
Mario Perazzolo,마리오 페라촐로
Sergio Marchionne,세르지오 마키오네
Federico Barbaro,페데리코 바르바로
Augusto Del Noce,아우구스토 델노체
Roberto Bolle,로베르토 볼레
Leoluca Bagarella,레올루카 바가렐라
Elena Santarelli,엘레나 산타렐리
José Graziano da Silva,조제 그라지아노 다 시우바
Franco Tancredi,프란코 탄크레디
Cino Del Duca,치노 델두카
Sébastien Corchia,세바스티앙 코르치아
Jacopo Sala,야코포 살라
Carlo Pisacane,카를로 피사카네
Francesco Rocca,프란체스코 로카
Giorgio Parisi,조르조 파리시
Paolo Mazza,파올로 마차
Simon Laner,시몬 라네르
Sebastiano Mainardi,바스티아노 마이나르디
Paolo Gentiloni,파울로 젠틸로니
Nico Fidenco,니코 피덴코
Omero Antonutti,오메로 안토누티
Danilo Avelar,다닐루 페르난두 아벨라르
Massimo Bulleri,마시모 불레리
Luigi Pasinetti,루이지 파시네티
Luca Zingaretti,루카 칭가레티
Daniele Capezzone,다니엘레 카페초네
Federica Valenti,페데리카 발렌티
Adriano Giannini,아드리아노 잔니니
Luigi Federzoni,루이지 페데르초니
Gianni Pittella,잔니 피텔라
Matteo Trentin,마테오 트렌틴
Fabrizio Poletti,파브리초 폴레티
Mario Pomilio,마리오 포밀리오
Alessandro Florenzi,알레산드로 플로렌치
Fëdor Fëdorovič Šaljapin,표도르 샬랴핀 주니어
Domenico Cefalù,도메니코 체팔루
Guido Piovene,귀도 피오베네
Dominik Windisch,도미니크 빈디슈
Ciro Polito,치로 폴리토
Alessia Trost,알레시아 트로스트
Renato Angiolillo,레나토 안졸릴로
Angela Finocchiaro,안젤라 피노키아로
Livio Pavanelli,리비오 파바넬리
Carlo Annovazzi,카를로 안노바치니
Francesca Morvillo,프란체스카 모르빌로
Francesco Carnelutti,프란체스코 카르넬루티
Christian Terlizzi,크리스티안 테를리치
Niccolò Campriani,니콜로 캄프리아니
Alessio Romagnoli,알레시오 로마뇰리
Beniamino Segre,베니아미노 세그레
Francesco Pannofino,프란체스코 판노피노
Federico Munerati,페데리코 무네라티
Diego Fuser,디에고 푸세르
Renato Cesarini,레나토 체사리니
Guido Trentin,귀도 트렌틴
Agazio Loiero,아가치오 로이에로
Marcello Piacentini,Piacentini
Joe Profaci,조 프로파치
Benedetta Cappa,베네데타 카파
Benigno Zaccagnini,베니뇨 차카니니
Raffaella Fico,라파엘라 피코
Martina Colombari,마르티나 콜롬바리
Roberto Vitiello,로베르토 비티엘로
Beppe Severgnini,베페 세베르니니
Beppe Fenoglio,베페 페놀리오
Beppo Levi,베포 레비
Doriana Leondeff,도리아나 레온데프
Christine Mayn,크리스틴 메이
Raimondo Vianello,라이몬도 비아넬로
Fabio Lanzoni,파비오 란조니
Gabriel Garko,가브리엘 가르코
Renzo De Vecchi,렌초 데 베키
Francesco Scardamaglia,프란체스코 스카르다말리아
Giorgio Ferrini,조르조 페리니
Luciano Emmer,루차노 엠메르
Ruben Buriani,루벤 부리아니
Walter Chiari,발테르 키아리
Lukas Hofer,루카스 호퍼
Prospero,프로스페로
Cristiano Biraghi,크리스티아노 비라기
Ernesto Castano,에르네스토 카스타노
Ferdinando Gentile,페르디난도 젠틸레
Bettina Galvagni,베티나 갈바니
Luciano Castellini,루차노 카스텔리니
Paolo Casarin,파올로 카사린
Ezio Greggio,에지오 그레지오
Giovanni Storti,조반니 스토르티
Luciano Re Cecconi,루차노 레 체코니
Francesco Bellissimo,베릿시모 프란체스코
Danilo Donati,다닐로 도나티
Claudio Della Penna,클라우디오 델라 페나
Carlo Buccirosso,카를로 부치로소
Roberto Insigne,로베르토 인시녜
Renzo Nostini,렌초 노스티니
Paolo Bergamo,파올로 베르가모
Giulio Leoni,줄리오 레오니
Ugo La Malfa,우고 라말파
Giuliana Lojodice,줄리아나 로요디체
Archimede Morleo,아르키메데 몰레오
Ambrogio Maestri,암브로죠 마에스트리
Norberto Oberburger,노르베르토 오베르부르제르
Andrius Pojavis,안드리우스 포야비스
Francesco D'Macho,프란체스코 디마초
Josef Polig,요제프 폴리히
Riccardo Meggiorini,리카르도 메조리니
Salvatore Ferragamo,살바토레 페라가모
Mattia Perin,마티아 페린
Francesco Morini,프란체스코 모리니
Federico Piovaccari,페데리코 피오바카리
Franco Scoglio,프란코 스콜리오
Cinzia Monreale,신지아 몬레알레
Massimo Rigoni,마시모 리고니
Pino Pascali,피노 파스칼리
Facundo Ferreyra,파쿤도 페레이라
Lamberto Zannier,람베르토 찬니에르
Duilio Del Prete,두일리오 델프레테
Stephen Spinella,스티븐 스피넬라
Luca Ciarrocca,루카 차로카
Duilio Coletti,둘리오 콜레티
Alessandro Agostini,알레산드로 아고스티니
Concetto Lo Bello,콘체토 로벨로
Alfredo Guzzoni,알프레도 구조니
Vincenzo Maenza,빈첸초 마엔차
Gianluca Pegolo,잔루카 페골로
Federico Agliardi,페데리코 알리아르디
Fabri Fibra,파브리 피브라
Mario Liverani,마리오 리베라니
Claudio Gugerotti,클라우디오 구제로티
Sergio Tofano,세르조 토파노
Eugenio Scalfari,에우제니오 스칼파리
Sebastiano Baggio,세바스티아노 바조
Denis Marconato,데니스 마르코나토
Luca Antei,루카 안테이
Mario Praz,마리오 프라츠
Carmelo Bene,카르멜로 벤
Claudio Terzi,클라우디오 테르치
Paolo Pizzo,파올로 피초
Cristina D'Avena,크리스티나 다베나
Alessandro Gassmann,알레산드로 가스만
Michelangelo Albertazzi,미켈란젤로 알베르타치
Claudio Sala,클라우디오 살라
Riccardo Pazzaglia,리카르도 파찰리아
Leopoldo Pirelli,레오폴도 피렐리
Tullio Regge,툴리오 레제
Clemente Mastella,클레멘테 마스텔라
Gustavo Zagrebelsky,구스타보 차그레벨스키
Ennio De Giorgi,엔니오 데조르지
Peppino Impastato,주세페 임파스타토
Tano Cimarosa,타노 시마로사
Umberto Raho,움베르토 라호
Luigi De Canio,루이지 데 카니오
Sesto Bruscantini,세스토 브루스칸티니
Paola Binetti,파올라 비네티
Caterina Sylos Labini,카테리나 실로스 라비니
Giuliana Rancic,줄리아나 란치치
Luigi Radice,루이지 라디체
Guido Marilungo,구이도 마릴룬고
Gabriele Perico,가브리엘레 페리코
Sergio Martino,세르지오 마르티노
Amos Mariani,아모스 마리아니
Fulvia Franco,풀비아 프란코
Tiberio Guarente,티베리오 구아렌테
Mario Fargetta,파르제타
Ignazio La Russa,이냐치오 라 루사
Sergio Gonella,세르조 고넬라
Fabiola Gianotti,파비올라 자노티
Ignazio Visco,이냐치오 비스코
Nino Castelnuovo,니노 카스텔누오보
Hugo Sconochini,우고 스코노치니
Luca Parmitano,루카 파르미타노
Sergio Tacchini,세르지오 타키니
Edi Angelillo,에디 안젤릴로
Gabriele Tinti,가브리엘 틴티
Edmondo Fabbri,에드몬도 파브리
Giacomo Benevelli,자코모 베네벨리
Luca De Aliprandini,루카 데알리프란디니
Igor Cassina,이고르 카시나
Alessandro Maestri,알렉산드로 마에스트리
Edoardo Molinari,에도아르도 몰리나리
Delia Boccardo,델리아 보카르도
Dargen D'Amico,다르젠 다미코
Lorenzo Natali,로렌초 나탈리
Diego Tardelli,디에고 타르델리
Daniele Portanova,다니엘레 포르타노바
Tullio Lanese,툴리오 라네세
Nicola Belmonte,니콜라 벨몬테
Mirko Bellodi,미르코 벨로디
Andrea Arnaboldi,안드레아 아르나볼디
Egisto Pandolfini,에지스토 판돌피니
Mario Sampirisi,마리오 삼피리시
Silvano Benedetti,실바노 베네데티
Stefano Bartolini,스테파노 바르톨리니
Sergio Floccari,세르조 플로카리
Gianluca Paparesta,잔루카 파파레스타
Carlo Carcano,카를로 카르카노
Salvatore Sanzo,살바토레 산초
Antonio Bacchetti,안토니오 바케티
Renzo Arbore,렌초 아르보레
Francesco Benussi,프란체스코 베누시
Elisa Bartoli,엘리사 바르톨리
Hoara Borselli,호아라 보셀리
Daniele Masala,다니엘레 마살라
Vittorio Gui,비토리오 구이
Giada Colagrande,지아다 콜라그란데
Claudio Bigagli,클라우디오 비갈리
Massimo Bonetti,마시모 보네티
Renato Olmi,레나토 올미
Maccio Capatonda,마초 카파톤다
Giulio Berruti,줄리오 베루티
Valerio Jalongo,발레리오 자롱고
Pino Rauti,피노 라우티
Ronnie Quintarelli,로니 퀸타렐리
Stefano Pioli,스테파노 피올리
Enrico Prampolini,엔리코 프람폴리니
Alberto Sughi,알베르토 수기
Federico Peluso,페데리코 펠루소
Pierdomenico Baccalario,피에르도메니코 바칼라리오
Emiliano Armenteros,에밀리아노 아르멘테로스
Evaristo Beccalossi,에바리스토 베칼로시
Gianfranco Bedin,잔프란코 베딘
Giovanni Lodetti,조반니 로데티
Francesco Carpino,프란체스코 카르피노
Mauro Fiore,마우로 피오레
Francesco Profumo,프란체스코 프로푸모
Bruno Bruni Jr.,브루노 브루니 주니어
Eugenio Bersellini,에우제니오 베르셀리니
Pietro Torrisi,피에트로 토리시
Ferruccio Valcareggi,페루초 발카레지
Vincenzo Fiorillo,빈첸조 피오릴로
Bruno Chizzo,브루노 키초
Franco Bassanini,프랑코 바사니니
Eldo di Lazzaro,엘도 디라차로
Maria Elisabetta Alberti Casellati,엘리사베타 카셀라티
Elena Viviani,엘레나 비비아니
Enrique Mateos,엔리케 마테오스
Andrea Bertolacci,안드레아 베르톨라치
Franco Basaglia,프랑코 바살리아
Carlo Agostini,카를로 아고스티니
Alessandro D'Alatri,알레산드로 다알라트리
Daniele Ciprì,다니엘 시프 리
Vittorio Cottafavi,비토리오 코타파비
Francesco Lodi,프란체스코 로디
Elisabetta Rocchetti,엘리사베타 로케티
Sandro Cois,산드로 코이스
Roberto Faenza,로베르토 파엔차
Carlo Di Palma,카를로 디 팔마
Renato Pozzetto,레나토 포제토
Nicola Zingaretti,니콜라 칭가레티
Daniele Conti,다니엘레 콘티
Nicola Pozzi,니콜라 포치
Carlo Biagi,카를로 비아지
Elio Scardamaglia,엘리오 스카르다말리아
Carlo Mazzacurati,카를로 마자쿠라티
Piero Calamandrei,피에로 칼라만드레이
Daniele Luchetti,다니엘레 루케티
Andrea Molaioli,안드레아 몰라이올리
Nicola Fusati,니콜라 푸사티
Fortunato Depero,포트루나토 데페로
Rocco Papaleo,로코 파팔레오
Domenico Paolella,도메니코 파올렐라
Libero De Rienzo,리베로 데리엔초
Vincenzo Cerami,빈첸초 체라미
Corrado Augias,코라도 아우자스
Cristian Pasquato,크리스티안 파스콰토
Leandro Greco,레안드로 그레코
Tonino Valerii,토니노 발레리
Francesco Pisano,프란체스코 피사노
Clara Bindi,클라라 빈디
Serse Cosmi,세르세 코스미
Emanuele Birarelli,에마누엘레 비라렐리
Luca Guadagnino,루카 구아다니노
Franco Indovina,프랑코 인도비나
Daniele Cacia,다니엘레 카차
Andrea Occhipinti,안드레아 오치핀티
Renato Zaccarelli,레나토 차카렐리
Nicola Rodigari,니콜라 로디가리
Walter Novellino,발테르 노벨리노
Luciano Spinosi,루차노 스피노시
Corinna Boccacini,코린나 보카치니
Corinna Ulcigrai,코린나 울치그라이
Franco Menichelli,프란코 메니켈리
Ilario Castagner,일라리오 카스타녜르
Davide Ballardini,다비데 발라르디니
Éva Henger,에바 엔제르
Fabio Aru,파비오 아루
Giorgio Amendola,조르조 아멘돌라
Flaminio Piccoli,플라미니오 피콜리
Matteo Garrone,마테오 가로네
Dante Ferretti,단테 페레티
Emilio Caprile,에밀리오 카프릴레
Alessandra Celletti,알레산드라 첼레티
Benvolio,벤볼리오
Claudio Amendola,클라우디오 아멘돌라
Giampiero Albertini,지암피에로 알베르티니
Aldo Baglio,알도 발리오
Michele Didoni,미첼레 디도니
Martín Castrogiovanni,마르틴 카스트로조반니
Mario Ravagnan,마리오 라바냔
Igor Škamperle,이고르 슈캄페를레
Enrico Rava,엔리코 라바
Nancy Brilli,낸시 브릴리
Cristiano Del Grosso,크리스티아노 델 그로소
Giuliana Calandra,줄리아나 칼란드라
Rossano Brazzi,로사노 브라지
Mario Brega,마리오 브레가
Nino Sanzogno,니노 산초뇨
Lando Buzzanca,랜도 버잔카
Vincenzo Talarico,빈센조 탈라리코
Giovanni Maria Flick,조반니 마리아 플리크
Roberto Sighel,로베르토 시겔
Daniele Padelli,다니엘레 파델리
Vittorio Grilli,비토리오 그릴리
Nino Martini,니노 마르티니
Flavio Bucci,플라비오 부치
Carla Apuzzo,카를라 아푸초
Simonetta Stefanelli,시모네타 스테파넬리
Leopoldo Conti,레오폴도 콘티
Carlo Casini,카를로 카시니
Carla Signoris,칼라 시그러리스
Umberto Orsini,움베르토 오르시니
Guido Masetti,기도 마세티
Luisa Ranieri,루이자 라니에리
Remo Ruffini,레모 루피니
Alessio Boni,아레시오 보니
Ennio Cerlesi,엔니오 체를레시
Renato Carpentieri,레나토 카펜티에리
Mario Varglien,마리오 발리엔
Fortunato Arena,포투나토 아레나
Giuseppe Peruchetti,주세페 페루케티
Carlo Ceresoli,카를로 체레솔리
Luigi de Magistris,루이지 데마지스트리스
Giorgio Abetti,조르조 아베티
Enrico Casarosa,엔리코 카사로사
Francesca Marciano,프란체스카 마르치아노
Gioia Marzocca,조이아 마르초카
Gianpietro Marchetti,잔피에트로 마르케티
Milena Miconi,밀레나 미코니
Antonio Catania,안토니오 카타니아
Marcello Giordani,마르첼로 조르다니
Mario Bertini,마리오 베르티니
Valentina Diouf,발렌티나 디우프
Carlo Parola,카를로 파롤라
Giovanni Marchese,조반니 마르케세
Carlo Ponti,카를로 폰티 주니어
Frank Pentangeli,프랭키 펜탄젤리
Enrico Lo Verso,엔리코 로 베르소
Clara Petrella,클라라 페트렐라
Enrico Guazzoni,엔리코 과초니
Renato Capecchi,레나토 카페키
Carlo Reali,카를로 레알리
Max Pescatori,맥스 페스카토리
Carlo Recalcati,카를로 레칼카티
Carlo Rovelli,카를로 로벨리
Enrico Porro,엔리코 포로
Valeria Ciangottini,발레리아 시안고티니
Pier Giacomo Pisoni,피에르 자코모 피소니
Plinio Clabassi,플리니오 클라바시
Carlo Rizzo,카를로 리조
Cesare Paciotti,체사레 파치오티
Francesco Cangiullo,프란체스코 칸줄로
Roberto Citran,로베르토 시트란
Dan Spang,댄 스팽
Roberto Gualtieri,로베르토 괄티에리
Luca Caldirola,루카 칼디롤라
Vittorio Feltri,비토리오 펠트리
Mario Borghezio,마리오 보르게치오
Enzo D'Alò,엔조 달로
Paola Cortellesi,파올라 코르텔레시
Glauco Onorato,글라우코 오노라토
Marco Parolo,마르코 파롤로
Giorgio Pasotti,조르조 파소티
Giangiacomo Feltrinelli,장이아코모 펠트리넬리
Javier Pinola,하비에르 피놀라
Claudio Pollio,클라우디오 폴리오
Antonio Balzano,안토니오 발차노
Ida Di Benedetto,이다 디베네데토
Elvio Banchero,엘비오 반케로
Luigi Diberti,루이지 디베티
Franco Balducci,프랑코 발두치
Mimmo Rotella,밈모 로텔라
Mara Navarria,마라 나바리아
Turi Ferro,투리 페로
Giustino Durano,주스티노 두라노
Daniele Corvia,다니엘레 코르비아
Franco Brienza,프란코 브리엔차
Franco Brezzi,프랑코 브레치
Daniele Gatti,다니엘레 가티
Piero Pasinati,피에트로 파시나티
Isabella Ferrari,이사벨라 페라리
Dario Minieri,다리오 미니에리
Gerhard Plankensteiner,게르하르트 플랑켄슈타이너
Aldo Montano,알도 몬타노
Nini Rosso,니니 로소
Stefano Colantuono,스테파노 콜란투오노
Claudia Koll,클라우디아 콜
Stefano Casiraghi,스테파노 카시라기
Ottavio Cinquanta,오타비오 친콴타
Caterina Guzzanti,카테리나 구찬티
Camillo Pilotto,카밀로 필로토
Aldo Novarese,알도 노바레세
Orso Maria Guerrini,오소 마리아 구에리니
Renato Ruggiero,레나토 루지에로
Marco Biagianti,마르코 비아잔티
Valerio Mastandrea,발레리오 마스탄드레아
Bianca Del Carretto,비안카 델 카레토
Valerio Aspromonte,발레리오 아스프로몬테
Ermes Muccinelli,에르메스 무치넬리
Simona Izzo,시모나 이초
Alberto Malesani,알베르토 말레사니
Vincent Riotta,빈센트 리오타
Eva Riccobono,에바 리코보노
Marco Leonardi,마르코 레오나르디
Joe Sentieri,조 센티에리
Alessandro Bianchi,알레산드로 비안키
Adalberto Maria Merli,아달베르토 마리아 멀리
Corrado Guzzanti,코라도 구찬티
Enrico Marini,엔리코 마리니
Giovanni Angelo Becciu,조반니 안젤로 베추
Piero Bellugi,피에로 벨루지
David Emmer,다비드 엠메르
Massimo Vanni,마시모 반니
Davide Cimolai,다비데 치몰라이
Lodovica Comello,로도비카 코멜로
Mario Pisu,마리오 피수
Luigi Archetti,루이지 아르케티
Claudio Bisio,클라우디오 비시오
Graziano Bini,그라치아노 비니
Barbara D'Urso,바르바라 두르소
Antonella Ponziani,안토넬라 폰치아니
Giorgio Carbone,조르조 카르보네
Peter Clemenza,페트 클레멘자
Frida Giannini,프리다 지아니니
Riccardo Carapellese,리카르도 카라펠레세
Jean Claude Ades,장 클로드 아 데스
Stefano Lucchini,스테파노 루키니
Caterina Bosetti,카테리나 보세티
Gino Cappello,지노 카펠로
Giovanni Francini,조반니 프란치니
Francesco Molinari,프란체스코 몰리나리
Gianluca Caprari,잔루카 카프라리
Gianni Lonzi,잔니 론치
Silvio Accame,실비오 아카메
Marco Capuano,마르코 카푸아노
Ciro Capuano,치로 카푸아노
Stefano Eranio,스테파노 에라니오
Ivano Blason,이바노 블라손
Massimiliano Lelli,마시밀리아노 렐리
Gerardo Dottori,제라르도 도토리
Marcello Aliprandi,마르첼로 알리프란디
Bruno Bolchi,브루노 볼키
Diego Osella,디에고 오세야
Vincenzo Grifo,빈첸초 그리포
Lorenzo Insigne,로렌초 인시녜
Gianmarco Tamberi,잔마르코 탐베리
Giuseppe Marotta,주세페 마로타
Fabio Borzoni,페비오 보즈리
Frank Sivero,프랭크 시베로
Mimì Aguglia,미미 아거글리아
Facundo Píriz,파쿤도 피리스
Giulio Giglioli,줄리오 질리올리
Roberto De Zerbi,로베르토 데 제르비
Francesco Della Rocca,프란체스코 델라 로카
Manlio Scopigno,만리오 스코피뇨
Rino Marchesi,리노 마르케시
Osvaldo Desideri,오스발도 데스데리데
Tommaso Maestrelli,톰마소 마에스트렐리
David Sassoli,다비드 사솔리
Guido Gonella,귀도 고넬라
Leonardo Nigro,레오나르도 니그로
Nino Benvenuti,니노 벤베누티
Carlo Cossutta,카를로 코수타
Giuseppe Tonani,기우세페 토나니
Laura Giuliani,라우라 줄리아니
Paolo Montarsolo,파올로 몬타르솔로
Hans Peter Fischnaller,한스 페터 피슈날러
Sante Monachesi,산테 모나케시
Gianfranco Rotondi,잔프랑코 로톤디
Tebaldo,티볼트
Matías Vecino,마티아스 베시노
Nedo Fiano,네도 피아노
Vittorio Sgarbi,비토리오 스가르비
Pappi Corsicato,파피 코르시카토
Marta Morazzoni,마르타 모라초니
Roberto Guerra,로베르토 구 에라
Paolo Seganti,파올로 시갠티
