大圍站,大囲駅
五大连池市,五大連池市
梁平区,梁平区
巫山县,巫山県
端州区,端州区
阿拉套山,ジュンガル・アラタウ山脈
都安瑶族自治县,都安ヤオ族自治県
中国平安,中国平安保険
北緯47度線,北緯47度線
北緯48度線,北緯48度線
北緯45度線,北緯45度線
北緯46度線,北緯46度線
腾中重工,騰中重工
八一南昌火箭篮球俱乐部,八一富邦火箭籃球倶楽部
985工程,985工程
大悲禅院,大悲院・(天津市)
上海久事大鲨鱼篮球俱乐部,上海久事大鯊魚籃球倶楽部
华锐风电,華鋭風電
灵谷寺,霊谷寺
苏家屯区,蘇家屯区
江陵县,江陵県
桥东区·(石家庄市),橋東区・(石家荘市)
平山县,平山県
高邑县,高邑県
东北大学·(中国),東北大学・(中国)
行唐县,行唐県
洛阳北郊机场,洛陽北郊空港
國清寺·(天台),天台山国清寺
汀江,汀江
香港地理,香港の地理
中国人民解放军火箭军,中国人民解放軍ロケット軍
高平市,高平市
杜集区,杜集区
环青海湖国际公路自行车赛,ツアー・オブ・チンハイレイク
南汇区,南匯区
白马寺,白馬寺・(洛陽)
都兰县,都蘭県
西山·(北京),西山・(北京市)
山东省体育中心体育场,山東省体育中心体育場
潼南区,潼南区
怀远县,懐遠県
尖山区,尖山区
多伦县,ドロンノール県
阿勒泰雪都机场,アルタイ空港・(中国)
滦河,灤河
米兰遗址,ミーラン遺跡
嘉峪关,嘉峪関
江泽民派系,上海幇
中国共产党中央纪律检查委员会,中国共産党中央紀律検査委員会
昂坪360,昂坪360
大柏树站,大柏樹駅
华宁路站,華寧路駅
颛桥站,顓橋駅
中国太原卫星发射中心,太原衛星発射センター
都昌县,都昌県
上海美术馆,上海美術館
武漢體育中心,武漢体育中心
梨园,梨園
中国国际贸易中心三期A阶段,中国国際貿易センター第三期
洛扎县,ロダク県
加查县,ギャツァ県
尖扎县,尖扎県
西山区,西山区
泗县,泗県
天津大学,天津大学
土家语,トゥチャ諸語
中国中央电视台财经频道,CCTV-2
双滦区,双灤区
邯郸县,邯鄲県
高阳县,高陽県
清河县,清河県
滦平县,灤平県
邯山区,邯山区
滦南县,灤南県
宣化县,宣化県
桥西区·(张家口市),橋西区・(張家口市)
1996年亞洲冬季運動會,1996年アジア冬季競技大会
路南区,路南区
中華人民共和國與大規模殺傷性武器,中華人民共和国の大量破壊兵器
开平区,開平区
武强县,武強県
临漳县,臨漳県
丰润区,豊潤区
康保县,康保県
固安县,固安県
海港区·(秦皇岛市),海港区
魏县,魏県
小雁塔,小雁塔
长江三角洲,長江デルタ
荃灣綫,荃湾線
白毫银针,白毫銀針
黑瞎子岛,黒瞎子島
南岭,南嶺山脈
营山县,営山県
石室圣心大教堂,石室聖心大聖堂
六和塔,六和塔
得荣县,得栄県
武钢集团,武漢鋼鉄
合浦县,合浦県
德钦县,徳欽県
212国道,G212国道
劳动教养,労働教養
津秦高速铁路,津秦旅客専用線
阳曲县,陽曲県
萨迦县,サキャ県
新干县,新幹県
桑日县,サンリ県
同仁市,同仁市
红原县,紅原県
朗县,ナン県
华东师范大学,華東師範大学
郑州新郑国际机场,鄭州新鄭国際空港
南水北调工程,南水北調
岳麓书院,嶽麓書院
南港島綫,南港島線
武汉会战,武漢作戦
海信集团,ハイセンス
开元寺·(潮州),開元寺・(潮州市)
中华人民共和国民主运动,中国民主化運動
海城大地震,海城地震
上海旗忠森林体育城网球中心,上海旗忠森林体育城テニスセンター
万忠墓,万忠墓
乃东区,ネドン区
革吉县,ゲギェ県
琼结县,チョンギェー県
合作市,合作市
電視廣播有限公司,無綫電視
马王堆汉墓,馬王堆漢墓
曾侯乙墓,曾侯乙墓
土木堡之变,土木の変
岳阳楼,岳陽楼
邺城遗址,鄴
雁门关,雁門関
南芬区,南芬区
悬空寺,懸空寺
炭河里遗址,炭河里遺跡
中国环球电视网阿拉伯语频道,CGTNアラビア語
107国道,G107国道
瑶海区,瑶海区
庐阳区,廬陽区
蜀山区,蜀山区
上犹县,上猶県
谢通门县,シェートンムン県
加格达奇区,加格達奇区
永康市,永康市
铁岭县,鉄嶺県
长江中下游平原,長江中下游平原
海伦市,海倫市
東方足球隊,東方足球隊
東星航空,東星航空
吉木乃县,ジェミナイ県
利辛县,利辛県
巩留县,トックズタラ県
迭部县,テウォ県
北京六环路,北京六環路
首经贸站,首経貿駅
江桥镇,江橋鎮
BMW大师赛,BMWマスターズ
北京四环路,北京四環路
纪家庙站,紀家廟駅
克拉玛依区,カラマイ区
尼勒克县,ニルカ県
中国俄罗斯族,オロス族
新和县,トクス県
特克斯县,テケス県
泰兴市,泰興市
香港快運航空,香港エクスプレス航空
襄都区,襄都区
南和区,南和区
运河区,運河区
雄县,雄県
武邑县,武邑県
广宗县,広宗県
文安县,文安県
卢龙县,盧竜県
孟村回族自治县,孟村回族自治県
怀安县,懐安県
隆尧县,隆堯県
鸡泽县,鶏沢県
邢台县,邢台県
贡嘎县,ゴンカル県
中國丹霞,中国丹霞
县·(中华人民共和国),県・(中華人民共和国)
罗江区,羅江区
武宁县,武寧県
颍上县,潁上県
舞钢市,舞鋼市
溧阳市,溧陽市
巫溪县,巫渓県
新宾满族自治县,新賓満族自治県
阿拉善左旗,アルシャー左旗
新巴尔虎左旗,新バルグ左旗
長城航空,長城航空
ISO·3166-2:CN,ISO・3166-2:CN
嵩岳寺塔,嵩岳寺塔
香港流浪足球會,香港流浪足球会
常熟路站,常熟路駅
平度市,平度市
燕京啤酒,燕京ビール
湄洲妈祖祖庙,媽祖祖廟
友谊路站·(上海市),友誼路駅・(上海市)
柳條邊,柳条辺牆
新民主主义,新民主主義論
东大直街耶稣圣心主教座堂,ハルビン聖心天主教堂
义乌机场,義烏空港
镇坪路站,鎮坪路駅
扎仓,ダツァン
定兴县,定興県
内丘县,内丘県
平泉市,平泉市
新华区·(沧州市),新華区・(滄州市)
双桥区,双橋区・(承徳市)
隆化县,隆化県
徐水区,徐水区
乐亭县,楽亭県
唐县,唐県
阜城县,阜城県
盐山县,塩山県
滦州市,灤州市
曲周县,曲周県
清远站,清遠駅
黄龙体育中心,黄龍スポーツセンター
南京奥林匹克体育中心,南京オリンピック・スポーツセンター
将乐县,将楽県
铁锋区,鉄鋒区
商都县,商都県
香河县,香河県
巨鹿县,巨鹿県
路北区,路北区
迁西县,遷西県
南市区·(保定市),南市区
蔚县,蔚県
永清县,永清県
南街村,南街村
洋河·(永定河支流),洋河
青原区,青原区
北京飯店,北京飯店
义马市,義馬市
温州南站,温州南駅
贺兰县,賀蘭県
宽甸满族自治县,寛甸満族自治県
鄂伦春语,オロチョン語
科尔沁右翼前旗,ホルチン右翼前旗
江南,江南・(中国)
上海长江隧桥,上海長江隧橋
天一阁,天一閣
珠江钢琴,広州珠江鋼琴集団
八邦寺,ペルプン寺
三鹿集团,三鹿集団
觀塘站,観塘駅
汇丰冠军赛,HSBCチャンピオンズ
沃尔沃中国公开赛,中国オープン・(ゴルフ)
調景嶺站,調景嶺駅
奧運站,奥運駅
馬鞍山新市鎮,馬鞍山ニュータウン
松江体育中心站,松江体育中心駅
中国人民解放军南部战区海军,南海艦隊
醉白池站,酔白池駅
长春轨道交通,長春軌道交通
伊通河,伊通河
大连天主教堂,大連カトリック教会
洋泾浜圣若瑟堂,洋涇浜聖ヨゼフ教会
哈尔滨圣母帡幪教堂,生神女庇護聖堂・(ハルビン)
东经110度线,東経110度線
石库门,石庫門
喀什徠寧國際機場,カシュガル空港
故城县,故城県
下花园区,下花園区
围场满族蒙古族自治县,囲場満族モンゴル族自治県
涉县,渉県
万全区,万全区
新河县,新河県
青县,青県
蓮花大橋,ロータス・ブリッジ
澳門友誼大橋,澳門友誼大橋
清徐县,清徐県
华熙LIVE·五棵松,五棵松体育館
内蒙古人民党,内モンゴル人民党
平乡县,平郷県
阜平县,阜平県
馆陶县,館陶県
广阳区,広陽区
右玉县,右玉県
祁县,祁県
北纬42度线,北緯42度線
喇家遗址,喇家遺跡
翡翠航空,翡翠国際貨運航空
上海自然博物馆,上海自然博物館
北緯41度線,北緯41度線
藤县,藤県
宁安市,寧安市
克东县,克東県
千山山脉,千山山脈
武穴市,武穴市
伊金霍洛旗,エジンホロ旗
广平县,広平県
桃城区,桃城区
邱县,邱県
宽城满族自治县,寛城満族自治県
垣曲县,垣曲県
天津经济技术开发区,天津経済技術開発区
胶辽官话,膠遼官話
洪桥街道,洪橋街道
坪洲,坪洲
銅鑼灣站,銅鑼湾駅
九龍站·(港鐵),九龍駅・(香港)
西營盤站,西営盤駅
香港站,香港駅
南坳,サウスコル
屯門站·(屯馬綫),屯門駅
OPPO,OPPO
中国伊斯兰教,中国におけるイスラーム
松岭区,松嶺区
吴江区,呉江区
开化县,開化県
海安市,海安市
玉环市,玉環市
圣若瑟主教座堂·(天津),西開天主教堂
彝语,彝語
永红区,永紅区
滙豐總行大廈,香港上海銀行・香港本店ビル
路桥区,路橋区
柯城区,柯城区
阳澄湖,陽澄湖
昆明长水国际机场,昆明長水国際空港
2011年蘇迪曼盃,スディルマンカップ2011
潘杰林寺,ミラレパ修行洞
夜郎,夜郎
大亚湾,大亜湾
曹杨路站,曹楊路駅
麻章区,麻章区
歐亞航空,欧亜航空
西安飞机工业集团,西安飛機工業公司
甘泉香港航空,オアシス香港航空
永宁县,永寧県
南长区,南長区
仙居县,仙居県
澳門歷史,マカオの歴史
賽格廣場,賽格広場
虎门条约,虎門寨追加条約
岭南,嶺南・(中国)
万荣县,万栄県
平定县,平定県
昔阳县,昔陽県
阳原县,陽原県
广灵县,広霊県
扬中市,揚中市
锡山区,錫山区
中国中心主义,中華思想
开州区,開州区
新疆生产建设兵团,新疆生産建設兵団
夏商周断代工程,夏商周年表プロジェクト
恒山,恒山
西藏大学,チベット大学
西南政法大学,西南政法大学
腾格里沙漠,トングリ砂漠
中國足協盃,中国FAカップ
玉门关,玉門関
乌镇镇,烏鎮鎮
上海大剧院,上海大劇院
艾提尕尔清真寺,エイティガールモスク
上海轨道交通1号线,上海軌道交通1号線
上海轨道交通2号线,上海軌道交通2号線
上海轨道交通3号线,上海軌道交通3号線
井冈山,井崗山
五华县,五華県
新天地,新天地
遂溪县,遂渓県
上海轨道交通4号线,上海軌道交通4号線
津市市,津市市
徐闻县,徐聞県
南澳县,南澳県
福安市,福安市
绥宁县,綏寧県
闽清县,閩清県
翁源县,翁源県
廉江市,廉江市
霞山区,霞山区
建瓯市,建甌市
柴灣站,柴湾駅
化州市,化州市
澳門歷史城區,マカオ歴史地区
秦城监狱,秦城監獄
青岛国信海天雄鹰篮球俱乐部,青島国信海天雄鷹籃球倶楽部
山东高速麒麟篮球俱乐部,山東高速麒麟倶楽部
山西汾酒猛龙篮球俱乐部,山西汾酒猛龍籃球倶楽部
比亚迪,比亜迪
浙江广厦雄狮篮球俱乐部,浙江広厦猛獅籃球倶楽部
江苏龙肯帝亚篮球俱乐部,江蘇龍皇帝亜籃球倶楽部
西藏地方,西蔵地方
东宝兴路站,東宝興路駅
甘家口街道,甘家口
坦尾站,坦尾駅
扬州·(古代),揚州・(古代)
2013年《南方周末》新年特刊事件,南方週末社説差し替え事件
龙文区,竜文区
宁乡市,寧郷市
思明区,思明区
永泰县,永泰県
马尾区,馬尾区
东夏,大真国
中国人民解放军陆军第七十八集团军,第16集団軍
五粮液,五糧液
中国人民解放军空降兵军,中国人民解放軍空軍空降兵
畲语,シェ語
锦江乐园站,錦江楽園駅
中华人民共和国文化部,中華人民共和国文化部
中华人民共和国卫生部,中華人民共和国衛生部
惠安县,恵安県
惠东县,恵東県
沅江市,沅江市
湘潭县,湘潭県
雨花区,雨花区
大连话,大連方言
泰宁县,泰寧県
吉林九台农商行东北虎篮球俱乐部,吉林九台農村商業銀行東北虎籃球倶楽部
深圳新世纪烈豹篮球俱乐部,深圳新世紀烈豹籃球倶楽部
石台县,石台県
平和县,平和県
美的集團,美的集団
长春站,長春駅
中国足球协会超级杯,中国サッカー・スーパーカップ
北坳,ノースコル
伊春林都机场,伊春林都空港
大明湖,大明湖
力寶中心,リッポーセンター
无锡地铁,無錫地下鉄
航海体育场,鄭州航海体育場
愛國者·(品牌),Aigo
经开体育场,長春経開体育場
青岛地铁,青島地下鉄
天猫,天猫
機場站·(香港),機場駅・(香港)
中央戏剧学院,中央戯劇学院
中华女子学院,中華女子学院
新建区,新建区
会昌县,会昌県
南昌昌北国际机场,南昌昌北国際空港
万载县,万載県
滕王阁,滕王閣
庐山市,廬山市
西湖区·(南昌市),西湖区・(南昌市)
丰城市,豊城市
泰和县,泰和県
光泽县,光沢県
潜山市,潜山市
湾里管理局,湾里区
仪征市,儀徴市
永安市,永安市
青山湖区,青山湖区
武安市,武安市
芒市镇,芒市鎮
鸡鸣寺,鶏鳴寺
中山公園,中山公園
北京首钢霹雳鸭篮球俱乐部,北京首鋼籃球倶楽部
阿力麻里,アルマリク
广东宏远华南虎篮球俱乐部,広東宏遠華南虎籃球倶楽部
辽宁沈阳三生飞豹篮球俱乐部,遼寧瀋陽三生飛豹籃球倶楽部
克拉玛依古海机场,カラマイ空港
中国—俄罗斯边界,中露国境
新安江,新安江
一江山岛战役,一江山島戦役
百度地图,百度地図
中国围棋协会,中国囲棋協会
嵊泗列島,嵊泗列島
朝鲜停战协定,朝鮮戦争休戦協定
九寨黄龙机场,四川九寨黄龍空港
逸園賽狗場·(澳門),マカオドッグレースクラブ
湛山寺·(青岛市),湛山寺
福建师范大学,福建師範大学
山东师范大学,山東師範大学
聖奧斯定堂,聖オーガスティン教会
北京交通大学,北京交通大学
圣约翰大学·(上海),聖ヨハネ大学・(上海)
昆明航空,昆明航空
西黃寺,西黄寺
海勃湾区,海勃湾区
烟台莱山国际机场,煙台萊山国際空港
巩县石窟,鞏県石窟
乌伦古河,ウルングル川
张江有轨电车,張江有軌電車
海南东环铁路,海南東環鉄道
武林广场站,武林広場駅
第一届世界智力运动会,第1回ワールドマインドスポーツゲームズ
中国花样滑冰锦标赛,中国フィギュアスケート選手権
杭州地铁2号线,杭州地下鉄2号線
佳木斯东郊机场,ジャムス東郊空港
渭南渭河特大桥,渭南渭河特大橋
百年國恥,百年国恥
天安门自焚事件,天安門焼身自殺事件
香港摩天大樓列表,香港の超高層建築物
栖霞寺,棲霞寺
中國與聯合國,中国と国際連合
旅遊警示,危険情報
深港西部通道,深港西部通道
九龍公園,九龍公園
半山區,半山区
香港公園,香港公園
2005-06年中國男子籃球職業聯賽,CBA・2005-06
华东理工大学,華東理工大学
兴城市,興城市
井冈山市,井岡山市
欧洲E012公路,E012号線
洮北区,洮北区
前郭尔罗斯蒙古族自治县,前ゴルロス・モンゴル族自治県
北京航天飞行控制中心,北京航天飛行制御センター
中华人民共和国交通,中国の交通
石柱土家族自治县,石柱トゥチャ族自治県
彭水苗族土家族自治县,彭水ミャオ族トゥチャ族自治県
苏巴什佛寺遗址,スバシ故城
济南遥墙国际机场,済南遥墻国際空港
上海轨道交通11号线,上海軌道交通11号線
巴牙惕,バヤウト
安庆天柱山机场,安慶天柱山空港
托什干河,タシカン川
北京银泰中心,北京銀泰センター
洮儿河,洮児河
北京广播电视台,北京電視台
2011年夏季世界大學生運動會柔道比賽,2011年夏季ユニバーシアードにおける柔道競技
伊宁机场,イーニン空港
九校联盟,九校連盟
中国石油化工集团,中国石油化工集団
东经75度线,東経75度線
东经115度线,東経115度線
东经85度线,東経85度線
东经95度线,東経95度線
东经105度线,東経105度線
董家渡圣方济各沙勿略堂,董家渡聖フランシスコ・ザビエル教会
金平路站,金平路駅
中国国家少年足球队,U-17サッカー中華人民共和国代表
中国人民解放军陆军第七十二集团军,第1集団軍
第1屆亞洲電影大獎,第1回アジア・フィルム・アワード
1999年昆明世界園藝博覽會,昆明世界園芸博覧会
京东集团,京東商城
中俄东线天然气管道,シベリアの力
共康路站,共康路駅
上川岛,上川島
华中师范大学,華中師範大学
海马汽车,一汽海馬汽車
法源寺·(北京),法源寺・(北京市)
龟山电视塔,湖北亀山広播電視塔
石家庄电视塔,石家荘テレビ塔
辽河平原,遼河平原
丰满水电站,豊満水力発電所
广州电视塔,広州テレビ塔
兴业银行,興業銀行
北京三环路,北京三環路
圣弥爱尔大教堂,聖ミカエル大聖堂・(青島)
四色牌,四色牌
西安圣方济各主教座堂,西安聖フランシスコ大聖堂
863计划,863計画
开元寺·(福州),開元寺・(福州市)
且末机场,チャルチャン空港
网络警察,インターネットポリス
武夷山机场,武夷山空港
聖約翰座堂·(香港),聖ヨハネ座堂・(香港)
中央汇金,中央匯金投資
中国环球电视网俄语频道,CGTNロシア語
北京鼓楼袭击案,2008年北京鼓楼刺傷事件
2007-08年中国男子篮球职业联赛,CBA・2007-08
中国航空工业集团,中国航空工業集団
中华人民共和国外交部部长,中華人民共和国外交部長
港島東中心,ワン・アイランド・イースト
中国人民解放军战区,戦区
中央军委联合参谋部情报局,中国人民解放軍総参謀部第二部
永利澳門,ウィン・マカオ
中华人民共和国机动车号牌,中国のナンバープレート
西辽河,西遼河
2006-07年中国男子篮球职业联赛,CBA・2006-07
曉廬,ハイクリフ
京广铁路,京広線
韶山3型電力機車,中国国鉄韶山3型電気機関車
郁江·(西江支流),鬱江
大連國際貿易中心,大連国際貿易中心
2006年世界摔跤锦标赛,2006年レスリング世界選手権
桑耶寺,サムイェー寺
天璽·(香港),天璽・(香港)
合肥新桥国际机场,合肥新橋国際空港
澳門金沙,サンズ・マカオ
紅磡,紅磡
廣西平話,広西平話
石林风景名胜区,石林
月牙泉,月牙泉
GB·2312,GB・2312
長崎國旗事件,長崎国旗事件
上汽大众,上汽大衆汽車
麗江三義國際機場,麗江三義空港
阿里昆莎机场,ガリ空港
吉林大学,吉林大学
甘孜康定机场,カンゼ康定空港
珠海金湾机场,珠海金湾空港
噶丹松赞林,ソンツェリン寺
九段线,九段線
冈底斯山脉,ガンディセ山脈
圆明园十二生肖兽首铜像,円明園十二生肖獣首銅像
虎豹別墅·(香港),タイガーバームガーデン・(香港)
西昌青山机场,西昌青山空港
小矮人帝国,小矮人王国
香港打吡大賽,香港ダービー
中国西南航空,中国西南航空
選舉事務處,選挙事務処
2008-09年中国男子篮球职业联赛,CBA・2008-09
2015年世界花式滑冰錦標賽,2015年世界フィギュアスケート選手権
中非关系,アフリカと中国の関係
中国原子能科学研究院,中国原子能科学研究院
鞍山腾鳌机场,鞍山騰鰲空港
福建省汽车工业集团,福建省汽車工業集団
齐北铁路,斉北線
绒布冰川,ロンブク氷河
金山软件,金山軟件
暨南大学,曁南大学
中华人民共和国最高人民检察院,最高人民検察院
2019年国际篮联篮球世界杯,2019年FIBAバスケットボール・ワールドカップ
第2屆亞洲電影大獎,第2回アジア・フィルム・アワード
吴王夫差矛,呉王夫差矛
合肥轨道交通,合肥軌道交通
贵阳轨道交通,貴陽軌道交通
中国人民解放军陆军第七十三集团军,第31集団軍
中国人民解放军陆军第八十二集团军,第82集団軍
哈密盆地,ハミ盆地
中国返回式卫星,返回式衛星
曲村—天马遗址,北趙晋侯墓地
南山海上观音圣像,南山海上観音聖像
无锡硕放机场,蘇南碩放国際空港
天津航空,天津航空
中華人民共和國國籍法,中華人民共和国国籍法
北京工人体育馆,北京工人体育館
香港網球公開賽,香港オープン・(テニス)
中国—瑞典关系,中国とスウェーデンの関係
中国环球电视网西班牙语频道,CGTNスペイン語
旅顺监狱旧址,旅順刑務所
中国环球电视网法语频道,CGTNフランス語
北緯21度線,北緯21度線
北緯22度線,北緯22度線
廈門話,廈門語
加義體育會,名門世家加義
北緯31度線,北緯31度線
北緯43度線,北緯43度線
金阁寺·(五台山),金閣寺・(山西省)
上海轨道交通7号线,上海軌道交通7号線
香港乙組聯賽,香港セカンドディビジョンリーグ
碧螺春,碧螺春
和田昆冈机场,ホータン空港
库车龟兹机场,クチャ空港
二里头遗址,二里頭遺跡
上海外国语大学,上海外国語大学
阿拉套,アラタウ
哈尔滨地铁,ハルビン地下鉄
亞洲聯合財務中心,中国網絡中心
DTMB,DTMB
华林寺·(福州),華林寺・(福州市)
长兴岛·(大连),長興島・(大連市)
绵阳南郊机场,綿陽南郊空港
八一足球俱乐部,八一足球隊
中国中央电视台科教频道,CCTV-10
虎跳峡,虎跳峡
力帆集团,力帆集団
电影频道·(CCTV-6),CCTV-6
中国共产党中央委员会主席,中国共産党中央委員会主席
玉龙雪山,玉龍雪山
青衣島,青衣島
中国中央电视台电视剧频道,CCTV-8
大连理工大学,大連理工大学
夸父计划,夸父計画
清福陵,福陵
京基100,京基100
上海浦东发展银行,上海浦東発展銀行
約翰威立,ジョン・ワイリー・アンド・サンズ
大帽山,大帽山
港鐵公司,香港鉄路・(企業)
中国宗教,中国の宗教
国美零售,国美電器
秦山核电站,秦山原子力発電所
GB·18030,GB・18030
滇红,滇紅
中国中央电视台纪录频道,CCTV-9
巴爾虎,バルガ族
將軍澳,将軍澳
噶东寺,ガドン寺
西夏语,西夏語
北緯23度線,北緯23度線
五丈原,五丈原
迪士尼好萊塢酒店,ディズニー・ハリウッド・ホテル
中央音乐学院,中央音楽学院
迪士尼小镇,ディズニータウン
拉珈语,ラギャ語
海底隧道·(香港),香港海底トンネル
上海音乐学院,上海音楽学院
新疆天山雪豹足球俱乐部,新疆天山雪豹足球倶楽部
中华人民共和国专利法,中華人民共和国専利法
卡热疆峰,カルジャン
东莞台商大厦,東莞台商大厦
贵州足球俱乐部,貴州恒豊足球倶楽部
東林書院,東林書院
中华人民共和国行政区划代码,中華人民共和国行政区画代碼
崔各庄站,崔各荘駅
措那湖站,錯那湖駅
翠阜新村站,翠阜新村駅
中國人民解放軍61398部隊,中国サイバー軍
会展中心站·(天津市),会展中心駅・(天津市)
中国边界线,中華人民共和国の国境
愛聯站,愛聯駅
北京大学附属中学,北京大学附属中学
爱河·(鸭绿江),愛河・(丹東市)
河北农业大学,河北農業大学
农业展览馆站,農業展覧館駅
阿含·桐山杯,阿含・桐山杯中国囲棋快棋公開戦
两岸经贸文化论坛,両岸経済貿易文化フォーラム
华阳礁,クアテロン礁
原创动力,広東原創動力文化伝播
金光綜藝館,コタイ・アリーナ
碧桂園,碧桂園
中国—缅甸边界,中緬国境
中国—老挝边界,中国＝ラオス国境
中国—吉尔吉斯斯坦边界,中国＝キルギス国境
中國—阿富汗邊界,アフガニスタン＝中国国境
中国—塔吉克斯坦边界,中国＝タジキスタン国境
中国—越南边界,中越国境
谋智网络,Mozilla・China
南京长江大桥,南京長江大橋
上汽通用五菱,上汽通用五菱汽車
澳門科學館,マカオ科学館
香港輕鐵,軽鉄・(香港)
南昌站·(香港),南昌駅・(香港)
新华路体育中心,新華路体育中心
昂船洲,昂船洲
1981年成昆铁路列车坠桥事故,1981年成昆線列車転落事故
芥园西道站,芥園西道駅
亞洲公路4號線,アジアハイウェイ4号線
中国航天科技集团,中国航天科技集団
信德中心,信徳センター
偷梁換柱,偸梁換柱
中華人民共和國治藏歷史,チベットの歴史・(現代)
叢林巡航,ジャングルクルーズ
復星國際,復星国際
AcFun,AcFun
广东恒大女子排球俱乐部,広東恒大女子排球
中山王墓,中山王墓
郢,郢
213国道,G213国道
中国科学院古脊椎动物与古人类研究所,中国科学院古脊椎動物古人類学研究所
高里三喀峰,ガウリシャンカール
东方之门,東方之門
未央宫,未央宮
哈尔滨飞机工业集团,ハルビン飛機工業集団
何厚鏵,何厚鏵
澳門特別行政區行政長官,マカオ特別行政区行政長官
八一勋章·(1955年),八一勲章・(1955年)
香港特別行政區行政長官,香港特別行政区行政長官
银都路站,銀都路駅
西安鼓楼,西安鼓楼
渤海船舶重工,渤海船舶重工
中国人民解放军军事科学院,中国人民解放軍軍事科学院
炬芯科技,アクション・セミコンダクター
西二旗站,西二旗駅
佤語,ワ語
中国人民解放军陆军第七十九集团军,第79集団軍
木斯岛,サウイル・スオタシ
中國重型汽車集團,中国重型汽車集団
第6届亚洲电影大奖,第6回アジア・フィルム・アワード
特別任務連,SDU
亚洲公路42号线,アジアハイウェイ42号線
北京及瀋陽的明清皇家宮殿,北京と瀋陽の明・清王朝皇宮
亞洲公路5號線,アジアハイウェイ5号線
中国人民武装警察部队第八十一师,武装警察第81師団
华能国际,華能国際電力
北京科技大学,北京科技大学
媒體素養,メディア・リテラシー
南越王博物院王墓展区,西漢南越王博物館
上海飞机制造,上海航空機製造
中國—尼泊爾邊界,中国＝ネパール国境
吳縣,呉県
幸會史迪仔,スティッチ・エンカウンター
2030年6月1日日食,2030年6月1日の日食
步步高·(电子企业),歩歩高
6Y2型电力机车,中国国鉄6Y2型電気機関車
第4屆亞洲電影大獎,第4回アジア・フィルム・アワード
淘大花園,アモイ・ガーデンズ
安达站·(黑龙江省),安達駅・(黒龍江省)
安德里北街站,安徳里北街駅
亚马逊中国,アマゾン中国
迪欣湖活動中心,インスピレーションレーク
華潤雪花啤酒,雪花ビール
蚺蛇尖,シャープピーク
澳門新福利公共汽車,澳門新福利公共汽車
上山下乡运动,上山下郷運動
交易廣場,交易廣場
天门山·(张家界),天門山
喀喇沁部,ハラチン
青岛足球俱乐部,青島足球倶楽部
哈密伊州机场,ハミ空港
邯郸机场,邯鄲空港
卞兴站,卞興駅
生物医药基地站,生物医薬基地駅
張家界國家森林公園,張家界国家森林公園
安河桥北站,安河橋北駅
安定门街道,安定門街道
安定门站,安定門駅
安华桥站,安華橋駅
安徽九方足球俱乐部,安徽九方足球倶楽部
安徽财经大学,安徽財経大学
皖赣铁路,皖贛線
安徽中医药大学,安徽中医薬大学
安徽理工大学,安徽理工大学
北京特大桥,北京特大橋
北京大学光华管理学院,北京大学光華管理学院
南京人化石地点,南京古猿人洞
中国少年先锋队,中国少年先鋒隊
中国民航3303号班机空难,中国民航3303便墜落事故
中国—缅甸关系,中緬関係
布心站,布心駅
布强格站,布強格駅
江海关大楼,江海関
中国中央电视台少儿频道,CCTV-14
褡裢坡站,トウレン坡駅
大连理工大学出版社,大連理工大学出版社
万达集团,大連万達グループ
大连人民文化俱乐部,大連人民文化クラブ
大连船舶重工集团,大連船舶重工集団
大连体育中心,大連体育中心
长龙航空,長竜航空
安贞门站,安貞門駅
中国中央电视台音乐频道,CCTV-15
中车大连机车车辆,中国中車大連機車車輛
中国科学院大连化学物理研究所,大連化学物理研究所
大连国际马拉松,大連国際マラソン
2011年大连市反对PX项目游行,2011年大連反p-キシレンデモ
大连高新技术产业园区,大連ハイテクゾーン
中日友好医院,中日友好医院
大连北站,大連北駅
大佛寺·(新昌),大仏寺・(新昌県)
大葆台站,大葆台駅
大芬站,大芬駅
鞍山西站,鞍山西駅
鞍山道站,鞍山道駅
安托山站,安托山駅
香港動漫電玩節,C3・in・hong・kong
蚁族,蟻族
珠海高新技术产业开发区,珠海国家高新技術産業開発区
珠海万山海洋开发试验区,万山海洋開発試験区
机场东站·(深圳市),機場東駅・(深圳市)
深圳地铁11号线,深圳地下鉄11号線
翠竹站·(深圳市),翠竹駅
携程集团,トリップドットコム・グループ
寶馬山,寶馬山
阿克赛钦湖,アクサイチン湖
机场南站,機場南駅
西水坡遗址,西水坡遺跡
中华门·(北京),中華門・(北京)
中央电视台电视文化中心火灾,中央電視台電視文化センター火災
澳門教育,マカオの教育
长虹电器,長虹電器
保利協鑫能源,Golden・Concord・Group・Limited
扶余语,夫余語
舟山群岛,舟山群島
朱家尖岛,朱家尖島
中国崛起,中国の世紀
天宫二号,天宮2号
天津地铁9号线,天津地下鉄9号線
大连航空,大連航空
大虎山站,大虎山駅
中国中央电视台戏曲频道,CCTV-11
亚细亚号列车,あじあ・(列車)
渭干河,ムザルト川
亞洲國際博覽館,アジアワールド・エキスポ
长图铁路,長図線
丹竹頭站,丹竹頭駅
丹阳站,丹陽駅・(江蘇省)
大瑞铁路,大瑞線
财经大学站,財経大学駅
大丽铁路,大麗線
中遠海運港口,中遠海運港口
上環,上環
中车青岛四方机车车辆,中国中車青島四方機車車輛
