код автора на ФантЛабе,ファントラブ 作者ID
Клетская,クレツカジャ
Коболдо,コボルド
Борисоглебск,ボリソグレプスク空軍基地
Хотилово,ホチロヴォ空軍基地
Буревестник,ブレヴェスニク空港
Воскресенский район,ヴォスクセレンスキー地区
Солнечное затмение 22 июня 2066 года,2066年6月22日の日食
Солнечное затмение 3 июля 2084 года,2084年7月3日の日食
солнечное затмение 21 апреля 2088 года,2088年4月21日の日食
Острова Хохштеттера,ホフシュテッター諸島
Осколки,海馬島
Академический ансамбль песни и пляски внутренних войск МВД России,ロシア内務省アンサンブル
Чернь,チェルニ
Planeta.ru,planeta.ru
Princessa Avenue,プリンセスアベニュー
Qiwi,クィミ
REBCO,REBCO
Tele2 Россия,テレ2ロシア
Sukhoi Superjet 130,スホーイ・スーパージェット 130
Ёлки-палки,ヨールキ・パールキ
Российско-южноафриканские отношения,ロシアと南アフリカの関係
Венёвский район,ヴェニョーフスキー地区
ZALA 421-06,ZALA 421-06 (航空機)
Солнечное затмение 12 сентября 2072 года,2072年9月12日の日食
Солнечное затмение 1 июня 2030 года,2030年6月1日の日食
Солнечное затмение 20 апреля 2061 года,2061年4月20日の日食
Корсаковский городской округ,コルサコフ地区
Московский международный кинофестиваль 1983,第13回モスクワ国際映画祭
Солнечное затмение 1 июля 2057 года,2057年7月1日の日食
Ельцовка,エリツォフカ川
Ленинское,レーニンスコエ
Velvet Music,ベルベット音楽
Московский международный кинофестиваль 1985,第14回モスクワ国際映画祭
Московский международный кинофестиваль 1995,第19回モスクワ国際映画祭
Московский международный кинофестиваль 1993,第18回モスクワ国際映画祭
Московский международный кинофестиваль 1991,第17回モスクワ国際映画祭
Железнодорожный,ジェレズノドロジュニ
Московский международный кинофестиваль 1989,第16回モスクワ国際映画祭
Московский международный кинофестиваль 1987,第15回モスクワ国際映画祭
Московский международный кинофестиваль 2001,第23回モスクワ国際映画祭
Московский международный кинофестиваль 2000,第22回モスクワ国際映画祭
Московский международный кинофестиваль 2002,第24回モスクワ国際映画祭
Московский международный кинофестиваль 1999,第21回モスクワ国際映画祭
Московский международный кинофестиваль 2006,第28回モスクワ国際映画祭
Московский международный кинофестиваль 2005,第27回モスクワ国際映画祭
Московский международный кинофестиваль 2004,第26回モスクワ国際映画祭
Московский международный кинофестиваль 2003,第25回モスクワ国際映画祭
Московский международный кинофестиваль 1997,第20回モスクワ国際映画祭
11-я армия ВВС и ПВО,第11航空・防空軍 (ロシア航空宇宙軍)
11-я пехотная дивизия,第11歩兵師団
117 км,117km駅
1-й Средне-Сибирский армейский корпус,第1中央シベリア軍団
1-й армейский корпус,第1軍団 (白軍)
1-й канал Останкино,チャンネル1・オスタンキーノ
1-я гвардейская пехотная дивизия,第1護衛師団（ロシア帝国）
Академия российского телевидения,ロシア・テレビジョン・アカデミー
Академия управления МВД России,ロシア内務省管理アカデミー
154-й отдельный комендантский Преображенский полк,第154独立警備連隊
159 км,159km駅
Абазинка,アバズィンカ
Абакан,アバカン駅
Ульяновский музей-мемориал В. И. Ленина,レーニン・メモリアル
Менда,メンダ川
14-я армия ВВС и ПВО,第14航空軍 (ロシア空軍)
142 км,142km駅
Акрон,アクロン (企業)
Аксай,アクサイ (ヴォルゴグラード州)
Аксай,アクサイ (ダゲスタン共和国)
Аксай,アクサイ (リペツク州)
"Аксаков, Валерий Евгеньевич",ヴァレリー・アクサーコフ
Аксарайская,アクサライスカヤ駅
АС-12,ロシャリク (AS-12)
Акким,アッキム川
А164 (автодорога),ロシア連邦道路A333
Норильский никель,MFKノリリスキイ・ニケリ
мастер спорта России международного класса,ロシア国際クラス・スポーツマスター
Майкопский курган,クルガン（墳丘墓）
Кавказские смешанные леса,コーカサス混交林
Марково,マルコヴォ
10-я гвардейская танковая дивизия,第10親衛戦車師団 (赤軍)
1000-летие Казани,カザン1000周年
102-я российская военная база,第102軍事基地
106 км,106km駅
2-я Конная армия,第2騎兵軍
Малино,マリノ
Мамакан,ママカン
АС-28,AS-28
Ёонай,イオニ湖
Абрамцево,アブラムツェヴォ
Абрау-Дюрсо,アブラウ・ドゥルソー・ワイナリー
18-я пулемётно-артиллерийская дивизия,第18機関銃・砲兵師団 (ロシア陸軍)
185 км,185km駅
2-е командование ВВС и ПВО,第2航空・防空コマンド
Аверинская,アヴェリンスカヤ
Авария поезда «Невский экспресс» (2007),モスクワ・サンクトペテルブルク間列車爆破テロ
Аваро-андийские языки,アヴァル・アンディック語派
Музей прикладного искусства (Санкт-Петербург),スティグリッツ応用美術博物館
Сборная России по футболу (до 20 лет),U-20サッカーロシア代表
3-я гвардейская отдельная бригада специального назначения,第3独立親衛特殊任務旅団
3-я гвардейская пехотная дивизия (Россия),第3親衛歩兵師団
Московский международный кинофестиваль 2008,第30回モスクワ国際映画祭
Московский международный кинофестиваль 2009,第31回モスクワ国際映画祭
31-я гвардейская отдельная десантно-штурмовая бригада,第31独立親衛空挺旅団 (ロシア空挺軍)
Московский международный кинофестиваль 2010,第32回モスクワ国際映画祭
Московский международный кинофестиваль 2011,第33回モスクワ国際映画祭
331-й гвардейский парашютно-десантный полк,第331親衛空挺連隊
Абыйский наслег,アビー農村居住区域
Крымский субсредиземноморский лесной комплекс,クリミア亜地中海性森林複合体
Аварийная посадка Ту-154 в Ижме 7 сентября 2010 года,アルロサ航空514便
Авария на Сибирском химическом комбинате,シベリア化学プラント事故
Авария в энергосистеме в Москве (2005),モスクワ大停電
Убийство Анны Политковской,アンナ・ポリトコフスカヤ暗殺事件
орден Ушакова,ウシャコフ勲章
28-я отдельная мотострелковая бригада,第28自動車化狙撃旅団
28-я пехотная дивизия (Россия),第28歩兵師団
283 км,283km駅
Алгоритм (издательство),アルゴリトム
Лыжное двоеборье на зимних Олимпийских играх 2014,2014年ソチオリンピックのノルディック複合競技
2-я гвардейская танковая армия,第2親衛戦車軍
201-я российская военная база,第201軍事基地 (ロシア陸軍)
211 км,211km駅
23-я пехотная дивизия,第23砲兵旅団
Прибайкальский национальный парк,沿バイカル国立公園
Всероссийская государственная библиотека иностранной литературы имени М. И. Рудомино,全ロシア国立外国文献図書館
Новоозёрное,ノヴォオゼールネ
Сад «Эрмитаж»,エルミタージュ庭園
Называевский район,ナズィヴァエフスキー地区
Невельский городской округ,ネベリスク地区
Московский международный кинофестиваль 2007,第29回モスクワ国際映画祭
2ЭЛ4,ウクライナ鉄道2EL4形電気機関車
2ва Самолёта,ドバ・サマリョータ
3-е командование ВВС и ПВО,第3航空・防空コマンド
20-я гвардейская мотострелковая дивизия,第3機械化軍団 (ソ連)
Антипаюта,アンチパユタ
Авиакатастрофа Ту-134 в Самаре 17 марта 2007 года,UTエアー471便着陸失敗事故
Авиакатастрофа Ту-154 под Иркутском 3 января 1994 года,バイカル航空130便墜落事故
Авиакатастрофа в Игарке 3 августа 2010 года,カテカヴィア9357便墜落事故
Авиакатастрофа в Махачкале 15 января 2009 года,2009年ロシア内務省Il-76衝突事故
Авиастар-СП,アビアスターSP
Анучино,アヌチノ
Александров,アレクサンドロフI駅
Александров II,アレクサンドロフⅡ駅
автономная некоммерческая организация,自律的非営利団体
Алеутская улица,アレウーツカヤ通り
Авиация дальнего действия СССР,長距離空軍
Кацивели,カツィヴェリ
Агентство федеральной безопасности РСФСР,ロシア・ソビエト連邦社会主義共和国連邦保安局
Агзу,アグズ村
Барнаул,バルナウル駅
Барнаульский троллейбус,バルナウル・トロリーバス
Апрелевка,アプレーレフカ駅
Московский международный кинофестиваль 2012,第34回モスクワ国際映画祭
35-я армия (СССР),第35軍
Афиша,アフィシャ
Алмаз (конструкторское бюро),アルマース中央海洋設計局
Судостроительная фирма «Алмаз»,アルマース
Автомобильная промышленность России,ロシアの自動車産業
Автомобильные дороги России,ロシア連邦道路の一覧
Алтайский государственный университет,アルタイ国立大学
Афонтова гора,アフォントヴァ山遺跡
Арасланово,アルスラン
Ачипсе,アチプセ要塞
Бердянская коса,ベルジャーンシク砂嘴
Баскет-холл (Краснодар),バスケット・ホール・クラスノダール
Арги-Паги,アルギパギ駅
Баскетбольный комплекс «Спартак»,シブール・アリーナ
Барс (хоккейный клуб),バルス・カザン
Барское-Мелечкино,バルスコエ＝メレチキノ
Басандайка,バサンダイカ
Алёнка,アリョンカ
Роза Хутор,クラースナヤ・ポリャーナ駅
Альпика-Сервис,ロザ・フトル・エクストリーム・パーク
Барсуки,バルスキ
Аракс (группа),アラクス
Альба,アーリュバ駅
Арабка (река),アラブカ川
Б-380,B-380 (潜水艦)
БРЕСТ,BREST
"Бахин, Аркадий Викторович",アルカディー・バーヒン
Аэропорт Внуково,ヴヌーコヴォ空港駅
Аэропорт Домодедово,ドモジェドヴォ空港駅
Аэропорт Сочи,アエロポルト・ソチ駅
Башинформ,バシンフォルム
Аэроэкспресс,アエロエクスプレス
Батайск (аэродром),バタイスク空軍基地
Арбитражные суды субъектов Российской Федерации,アルビトラシュニ・スド・モスコフスコイ・オーブラスチ
Алька,アルカ川
Альметьевский государственный нефтяной институт,アリメチエフスク国立石油研究所
Ардонь,アルドン
Береговые войска ВМФ России,ロシア海軍沿岸部隊
Бабушкинский парк,バビシュキンスキー公園
Амурская военная флотилия,アムール小艦隊
Амурский государственный университет,アムール大学
Бахчиванджи,バフチヴァンジー
Аржаники,アルジャニキ
Амазар,アマザル
"Арсенал (завод, Санкт-Петербург)",アーセナル (サンクトペテルブルク)
Арсентьевка,真縫駅
Арсеньево,アルセーニエヴォ村
Американка,アメリカーンカ村
Березняки,富岡駅 (樺太)
Анадырская ВЭС,アナディリ風力発電所
Берендеево,ベリェンディエヴォ駅
Анадырский проезд,アナーディルスキー路地
Армхи,アルムヒ
Берёзка,ベリョースカ
Беговая,ベゴワヤ駅
Архангельск-Город,アルハンゲリスク・ゴロド駅
Архангельский государственный технический университет,アルハンゲリスク州立工科大学
Архангельский троллейбус,アルハンゲリスク・トロリーバス
Архангельский трамвай,アルハンゲリスク市電
Владимир Владимирович Артяков,ウラジーミル・アルチャコフ
Англиканская церковь Святого Андрея (Москва),モスクワ聖アンデレ聖公会教会 (モスクワ)
Ангстрем,オングストローム
Арское кладбище,アルスコエ墓地
Арсланово,アルスラノヴォ
Беенчиме-Салатинский кратер,ベエンチメ・サラーチン・クレーター
Бежицкий сталелитейный завод,ベジュツァ金属工場
Безымянная,ベズィミャンカ
Анапа,アナパ駅
Анапка (залив),アナプカ湾
Бессолово,ベッソロヴォ
Андреаполь (аэродром),アンドレアポリ空軍基地
Ангарск,アンガルスク駅
Белая,ベラヤ川
Байково,久良志駅
Анино,アニノ
Асланбек-Шерипово,アスランベク・シェリポヴォ
Ассиновская,アシノフスカヤ
Ассоциация компаний розничной торговли,ACORT
Биджан,ビジャン川
Атка,アトカ
Анива (станция),留多加駅
атака на информационную систему,サイバー攻撃
карагашский язык,カラガシ語
Астраханский трамвай,アストラハン市電
Битва на реке Пьяне (1377),ピャナ河の戦い
Анисовка,アニソフカ
Белогорск I,ベロゴルスク駅
Белое Море,ベロイェ・モレ
Астрономическая обсерватория Казанского университета,カザン大学天文台
Астрономическая обсерватория Саратовского государственного университета,サラトフ州立大学天文台
Астрономическая обсерватория гимназии имени А. Л. Кекина,A・L・ケキン天文台
Астрономическая обсерватория имени В. П. Энгельгардта,V. P. Engel天文台
Балезино,バレジノ駅
Атоммаш,アトムマッシュ
Атомредметзолото,ARMZ ウラニウム・ホールディング
Балтика,バルチカ
Богашёво,ボガシェヴォ駅
Богдан Хмельницкий,散布山
Андрей Рэмович Белоусов,アンドレイ・ベロウソフ
Биробиджан I,ビロビジャンI駅
Большелуцкое сельское поселение,ボルシェルツク農村集落
Благовещенская улица,クラリ・ツェトキン
Белые Столбы,ベーリー・ストルビー
Белые колготки,ホワイトタイツ
Беломорская,ベロモルスカヤ駅
Барановский,バラノフスキー
Барановский,バラノフスキー駅
Аур,アウル駅
Барабинск,バラビンスク駅
Богородское,ボゴロツコエ
Благовещеньев день,受胎告知の祭日
Божковское сельское поселение Ростовской области,ボジコフスキー農村集落
Большие Коты,ボリシエ・コトィ
Бои за Барнаул (1918),バルナウルの戦い
Бой за Казань (1774),カザンの戦い
Ближняя дача,クンツェヴォ・ダーチャ
"Бокарев, Андрей Рэмович",アンドレイ・ボカレフ
Бобровка,ボブロフカ川
Большое Болдино,ボルジノ (ボルシェボルジンスキー)
Борцам за власть Советов на Дальнем Востоке (памятник),中央広場
Ведерников,ヴェデルニコフ (ロストフ州)
Бутынь,ブティン
Бородино,ボロジノ駅
Николай Иванович Борцов,ニコライ・ボルツォフ
Буюклы,ブユクリ
Буюклы,保恵駅
Бурятский государственный академический театр оперы и балета,国立ブリヤートオペラ・バレエ劇場
Бухта Врангеля,ウランゲル湾
Бухта Кирпичного Завода,ヴフタ・キルリチノゴ・ザボーダ
Бывалово,ビバロボの団地 (ヴォログダ)
Великан (мыс),ヴェリカン岬
Большое Никольское,ボリショエ・ニコリスコエ
Быков,内淵駅
Болшево,ボルシェヴォ駅
Большая Академическая улица,大アカデミー通り
Великие Луки (аэропорт),ヴェリーキエ・ルーキ空港
Великолукский локомотивовагоноремонтный завод,ヴェリコルクスキー機関車修理工場
Сергей Борисович Брилёв,セルゲイ・ブリリョフ
Бычье поле,ビチエ・ポレ
Бутырская,ブッテルスカヤ駅
Вектор,ロシア国立ウイルス学・生物工学研究センター
ВСЖМ-1,モスクワ - サンクトペテルブルク高速鉄道計画
ВСМ-2,モスクワ - カザン高速鉄道計画
ВЭС Тюпкильды,チュプキリドィ風力発電所
ВЛ65,ソ連運輸省VL65形電気機関車
Важа,ヴァジャ
Важа,ヴァジャ
"Брод, Александр Семёнович",アレクサンダー・セメノビッチ・ブロド
Большая Елань,大沢駅 (樺太)
Вагон метро типа Б,モスクワ地下鉄B形電車
Вагон метро типа Г,地下鉄G形電車
Вагон метро типа А,モスクワ地下鉄A形電車
Вагон метро типа Л,地下鉄L形電気機関車
Вагон метро типа И,地下鉄I形電車
Вагон метро типа Еж,地下鉄Еж型電車
Большой Нимныр,ボリジョイ・ニムンル
Вал,ヴァル村
Большой Краснохолмский мост,ボリショイ・クラスノコムスキ橋
Брянский государственный технический университет,ブリャンスク国立工科大学
Венокша,ヴェノクシャ川
Вагриус,バグリウス
Брянский машиностроительный завод,ブリャンスク機械工場
Брёхово,ブリョホヴォ
Верещёвка,ヴェレショフカ無人駅
Верный,ヴェールヌイ要塞
Вербный,ヴェールブヌィ駅
Большая Конюшенная улица,ボリシャヤコニュセナヤ通り
Бронебашенная батарея-35,マクシム・ゴーリキー要塞
Вара,ヴァラ川
Ванино,ワニノ港
Ванино,ワニノ駅
Вертолёты России,ロシアン・ヘリコプターズ
Будённовск (аэродром),ブデンノフスク空軍基地
Большая Садовая улица,ボリシャヤ・サドヴァヤ通り
Владимир Иванович Булавин,ウラジーミル・ブラヴィン
Борзя,ボルジャ駅
Бор,ボル
Верхнеколымское нагорье,ヴェルフネコリムスコエ高地
Василевка,ヴァシリウカ
Булыжник — оружие пролетариата,丸石はプロレタリアートの武器だ
Борисовичи,ボリソヴィッチ
Кондитерская фабрика «Большевик»,ボルシェビク
Буньково,ブニコヴォ
Борисоглебский учебный авиационный центр подготовки лётного состава им. В. П. Чкалова,V・P・チカロフ名称ボリソグレプスク航空乗組員訓練航空センター
"Булгаков, Дмитрий Витальевич",ドミトリー・ブルガコフ
Варшавская улица,ワルシャワ通り
Бурдуково,ブルドゥコヴォ（フェルツィスキー地区）
Буревестник,ブレヴェスニク
Бурейское водохранилище,ブレイスコエ貯水池
Буркихан,ブルキハン
Воздвиженка,ヴォズドヴィデンカ
Васкелово,ヴァスケロヴォ駅
Верхопенье,ヴェルホペニエ
Возрождение (банк),ロシア復興銀行
Верховный Главнокомандующий Вооружёнными Силами Российской Федерации,ロシア連邦軍最高司令官
Верхняя Амга,ヴェルフナヤ・アムガ
Весенняя,ヴェセンニャ駅
Возрастная классификация информационной продукции в России,ロシア年齢評価システム
Вознесенский проспект,ヴォズネセンスキー通り
Волово,ヴォロヴォ
Вахрушев-Угольный,楠山駅
Вахрушев,ヴァフルシェフ
Вахрушев,泊岸駅
здравоохранение в России,ロシアの医療
наука в России,ロシアの科学技術
Кавказский фронт,コーカサス戦線 (紛争)
Волжский,ヴォルシスキー (サマラ州)
Посёлок завода Мосрентген,トロイツコエ
Вести ФМ,ラジオ・ヴェスチ
Ельцовка,エリツォフカ
Горбатовка,ゴルバトフカ
Воротынск,ヴォロトィンスク
Федеральная служба по надзору в сфере транспорта,ロシア連邦運輸分野管理庁
Высшая школа государственного администрирования МГУ,モスクワ大学高等経営大学院
Высшее военно-морское инженерное училище имени Ф. Э. Дзержинского,F・E・ジェルジンスキー海軍工学高校
Высшее военно-морское училище подводного плавания,潜水艦航法高等海軍学校
Воинское мемориальное кладбище (Ярославль),軍事記念墓地
Весёлая,ヴェショラヤ川
Весёловское водохранилище,ヴェセロフスコエ貯水池
Весёлое,ヴェセロエ駅
Высшие учебные заведения Мурманска,ムルマンスクの高等学術機関
Восточная верфь,ボストチナヤ造船所
Весьегонск,ヴェシエゴンスク駅
"Войска радиационной, химической и биологической защиты Российской Федерации",ロシア軍放射線・化学・生物学防護部隊
Восточный,元泊駅
Восточный военный округ,東部軍管区 (ロシア軍)
Взморье,白浦駅
Взморье,ブズモーリエ
Восточное,ヴォストーチヌイ
Гжель,クジェリ駅
Гидрометцентр,ロシア水文気象センター
Видное (футбольный клуб),FCヴィドノエ
Гизельдонская ГЭС,ギゼリドン水力発電所
Гикало,ギカロ (村)
Волга,ヴォルガ
Восточный факультет СПбГУ,サンクト・ペテルブルク大学東洋学部
Восточный центр дальней космической связи,ガレンキRT-70電波望遠鏡
Волгоград I,ヴォルゴグラード駅
Вижай,ヴィジャイ
Визовая политика России,ロシアの査証政策
Вятско-Полянский машиностроительный завод,ヴャツキエ＝ポリャンスキー機械工場
Вяткино,ビャトゥキノ駅
Волгоградский планетарий,ヴォルゴグラードプラネタリウム
Викимедиа РУ,ウィキメディア・ロシア
Волжско-Камский заповедник,ヴォルガ＝カマ自然保護区
Гимназия имени А. Л. Кекина,ケキン高等学校
Главкино,グラフキノ
Главное военно-медицинское управление Министерства обороны Российской Федерации,ロシア国防省軍医務総局
Главное автобронетанковое управление Министерства обороны,装甲車両総局
Главнокомандующие ВВС СССР и России,ソビエト連邦空軍総司令官
Главное управление специальных программ Президента Российской Федерации,ロシア連邦大統領特殊プログラム総局
Всеволодо-Вильва,フセヴォロド・ヴィリヴァ
Всероссийская федерация волейбола,ロシアバレーボール連盟
Всероссийская федерация парусного спорта,ロシアヨット連盟
Всероссийский заочный финансово-экономический институт,全ロシア通信制金融経済大学
Всероссийский научно-исследовательский институт авиационных материалов,全ロシア航空材料研究所（VIAM）
глава Республики Бурятия,ブリヤートの首長
глава Республики Саха (Якутия),サハの首長
Врангель (Находка),ウランゲル (ナホトカ)
Гимназия № 2 имени А. П. Чехова,チェーホフ・ギムナジウム
Вологда I,ヴォログダI駅
Вологда,ヴォログダ空港
Всесоюзный научно-исследовательский институт электроэнергетики,全ロシア電気機関車技術研究所
Волковское кладбище (Мытищи),ヴォルコヴォ墓地 (ムィティシ)
Вёшенское восстание,ヴョシェンスカヤ蜂起
ГТ1,GT1 (列車)
Вологодские зори,ヴォラゴスキー・ゾーリエ (列車)
Главный военный клинический госпиталь имени Н. Н. Бурденко,ロシア国立総軍事病院
Виртуозы Москвы,モスクワ・ヴィルトゥオージ
Сергей Анатольевич Гаврилов,セルゲイ・ガヴリーロフ
Глинка,グリンカ (ザバイカリエ地方)
Витимкан,ビチムカン川
Глотовка,グロトフカ
Вторая Речка,フタラヤ・レーチカ駅
Волочаевка II,ヴォロチャーエフカII駅
Владивосток-Город,ウラジオストク駅
Владивостокская крепость,ウラジオストク要塞博物館
Владивостокский морской торговый порт,ウラジオストク港
Владивостокский государственный университет экономики и сервиса,ウラジオストク国立経済公務大学
Владивостокский троллейбус,ウラジオストク トロリーバス
Владивостокский фуникулёр,ウラジオストクのケーブルカー
Газ-Сале,ガス＝サレ
Газовик (стадион),ガゾヴィク・スタジアム (オレンブルク)
Вулкан Сноу,スノー山
Вулкан Чёрного,硫黄山
Газовый конфликт между Россией и Украиной 2008—2009 года,2009年ロシア・ウクライナガス紛争
Гай,ガイ
Владимирское,ウラジーミルエスコ村
Выборы в России,ロシアの選挙
Волоколамское шоссе,ヴォロコラムスク高速道路
Вольно-Надеждинское,ヴォリノ＝ナジェジジンスコエ
Владикавказский троллейбус,ウラジカフカス市営トロリーバス
Владимир,ウラジーミル駅
Владимиро-Александровское,ウラジーミロ＝アレクサンドロフスコエ
Владимировка,ウラジミロフカ (アストラハン州)
Алупкинский государственный дворцово-парковый заповедник,アルプキン歴史保護区
Выборы президента Российской Федерации,直接選挙
Гоголевский бульвар,ゴーゴリ並木通り
Гойты,ゴイトゥイ
Военно-воздушная академия имени профессора Н. Е. Жуковского и Ю. А. Гагарина,ジュコーフスキー・ガガーリン空軍士官学校
Выдрино,ヴィドリノ
Александр Викторович Галкин,アレクサンドル・ガプキン
Галёнки,ガレンキ空軍基地
Гастелло,ガステロ
Гастелло,内路駅
Воркута,ヴォルクタ駅
Головной отраслевой музей истории гражданской авиации,ウリヤノフスク民間航空史博物館
Воронеж I,ヴォロネジI駅
Голицыно,ゴリツィノ駅
Ростислав Эрнстович Гольдштейн,ロスティスラフ・ゴールドシュタイン
Воронежский государственный институт физической культуры,ヴォロネジ国立体育大学
Воронежский государственный природный биосферный заповедник имени В. М. Пескова,ヴォロネジ州立自然保護区
Воронежский механический завод,ヴォロネジ機械工場
Воронежский троллейбус,ヴォロネジのトロリーバス
Вороново,ヴォロノヴォ
Генуэзская крепость,ジェノヴァ要塞
Геофизическая служба РАН,ロシア科学アカデミー地球物理学サービス
Геофизический центр РАН,地球物理学センター
Гераклейский полуостров,ヘラクレス半島
"Герасименко, Николай Фёдорович",ニコライ・ゲラシメンコ
Голыгина,ゴリギナ川
Георгиевский (Большой тронный) зал Зимнего дворца,聖ジョージ広間
география Сахалинской области,サハリン州の地理
Геологический институт РАН,地質学研究所
Геология России,ロシアの地質
Военно-дипломатическая академия,軍事外交アカデミー
Военно-исторический журнал,軍事史ジャーナル
Военно-медицинский музей,軍事医学博物館
Военное Шоссе,ヴォエンノエ・ショッセ駅
военное положение в России,ロシアの戒厳
Генеральный план реконструкции Москвы,モスクワ再建の総合計画
Высокоскоростные железные дороги в России,ロシア高速鉄道
Дачное,新場駅
Двинцы,ドヴィンツィ
Городня,ゴロドニャ
Дачное,ダチュノエ
Горный Воздух,ゴルニ・ヴォスドゥフ駅
Оксана Генриховна Дмитриева,成長党
Городское поселение Большие Вязёмы,ボルシエ・ヴャジョミー都市区域
Горное,クイビシェフ
Дворец спорта (Ростов-на-Дону),ロストフ・ナ・ドヌ・スポーツ宮殿
Дворец спорта волгоградских профсоюзов,ヴォルゴグラード・スポーツ宮殿
Дворец спорта им. Ивана Ярыгина,イヴァン・ヤリギン
Александр Владимирович Дворников,アレクサンドル・ドヴォルニコフ
Дельта Дона,マエオティアン沼沢地
Горнозаводск,内幌駅
Грозненский троллейбус,グロズヌイ・トロリーバス
Грозный,グローズヌイ
Грозный,グローズヌイ
Дебют,デビュー賞
Дворец Петра III,宮殿
Действующие узкоколейные железные дороги России,ロシアの狭軌鉄道
Декларация о государственном суверенитете РСФСР,国家主権宣言
Дело «Аэрофлота»,アエロフロート事件
Гора Краснова,釜伏山 (樺太)
Горбатый мост (Москва),ザトウクジラ橋
Городецкая река,ゴロデツカヤ川
Городецкая башня,ゴロデツカヤ塔
Городецкая,ゴロデツカヤ川
Дегтярный переулок,デグチャルヌィー小路 (モスクワ)
Герб Мурманска,ムルマンスク市の市章
академик РАН,ロシア科学アカデミー正会員
"Громов, Алексей Алексеевич",アレクセイ・グロモフ
Дубина,ドゥビナ
Дмитровское шоссе,ドミトロフ・ショセ
Дубосеково,ドゥボセコヴォ
Добыча полезных ископаемых в России,ロシアの鉱業
Договор о мире и принципах взаимоотношений между РФ и ЧРИ,ロシア・チェチェン平和条約
Демихово,デミホヴォ
Демиховский машиностроительный завод,デミホヴォ機械製造工場
Демократическая Россия,民主ロシア
Демократический выбор России,ロシアの民主的選択
Грузино (усадьба),グルジノ
"Горшков, Михаил Константинович",ミハイル・ゴルシコフ
Гряды,グリャディ
Городское поселение город Горбатов,ゴルバトフ
Городской округ «Южно-Сахалинск»,ユジノサハリンスク管区
Гудок,グドク (新聞)
Городомля,グロドミリャ島
Городское поселение Оболенск,オボロスク
Губернатор Ленинградской области,レニングラード州知事
губернатор Рязанской области,ニコライ・リュビーモフ
Дубровка,ドゥブロフカ川
Дубровка,ドゥブロフカ
Гур,グル川
Демократический союз,民主同盟 (ロシア)
Долгопрудная,ドルゴプルードナヤ駅
Дубовое,ドゥボボエ (サハリン州)
Дубровка,ドゥブロフカ
Горьковское направление Московской железной дороги,モスクワ・ゴーリキー鉄道
Горэлектротранс (Санкт-Петербург),ゴルエレクトロトランス
Горячие Ключи,ゴリャチエ・クリュチ村
Государственная премия Российской Федерации,ロシア連邦国家賞
Детково,デトコヴォ駅
Государственная граница России,ロシアの国境
День Военно-Морского Флота,ロシア海軍記念日
День Петра и Февронии,聖ペテロと聖フェブロニアの日
День города Москвы,モスクワの日
день города,シティデー
Государственный гидрологический институт,国立水文学研究所
Государственный дом-музей П. И. Чайковского,チャイコフスキーの家博物館
Музей Владимира Высоцкого,ヴラジーミル・ヴィソツキー博物館
Государственный лётно-испытательный центр Министерства обороны Российской Федерации имени В. П. Чкалова,V・P・チカロフ記念国防省国家飛行試験センター
Государственный мемориальный музей обороны и блокады Ленинграда,レニングラード包囲と防衛州立記念博物館
Дом Бенуа (Санкт-Петербург),ベヌアの家
"Гурьев, Андрей Григорьевич",アンドレイ・グリゴリエヴィチ・グリエフ
Долгоруковская улица,ドルゴルコフスカヤ通り
Калуга,グラブツェボ空港
Долинск,落合駅 (樺太)
Давыдовка,ダヴィドフカ
Государственный Совет Республики Татарстан,タタールスタン共和国国務院
Государственный академический ансамбль народного танца имени Игоря Моисеева,モイセーエフバレエ団
Государственный академический русский народный хор им. М. Е. Пятницкого,国立ピャトニツキー合唱団
Государственный академический русский хор имени А. В. Свешникова,ソビエト国立アカデミー･ロシア合唱団
Государственный академический университет гуманитарных наук,国立アカデミー人文大学
Государственный академический театр «Московская оперетта»,モスクワ･オペレッタ劇場
ДВЗ «Звезда»,ズヴェズダ造船所
Государственный музей истории религии,国立宗教史博物館
Государственный научный центр прикладной микробиологии и биотехнологии,ロシア国立応用微生物学・バイオテクノロジー研究センター
Дом культуры имени Зуева,ズーエフ労働者クラブ
Дунай,ドゥナイ
Давыдово,ダフィドヴォ駅
Дикси,ディクシー
Дальзавод,ダルザヴォート造船所
Дальморепродукт,ダリモレプロドクト
Дюна,デューナ
Дом-музей В. И. Ленина (Казань),V・I・レーニンの家博物館
Донузлав,ドヌズラフ湖
Дагомыс,ダゴミス駅
Дзёмги (аэропорт),ジョムギ空港
Домбаровский,ドンバロフスキー
Домодедово,ドモジェードヴォ駅
Джида,ジダ
Джида (аэродром),ジダ空軍基地
Государственный оптический институт имени С.И. Вавилова,国立光学研究所
Гутуевский остров,グトゥエフスキー島
Дагестанская правда,ダゲスタン・プラウダ
Елагин остров,エラーギン島
Дуссе-Алинь,ドゥッセ＝アリニ山脈
Дальневосточная государственная академия физической культуры,極東国立体育大学
Дальневосточное мореходное училище,極東航海学校
Дальневосточное отделение Российской академии наук,ロシア科学アカデミー極東支部
Дальневосточный банк,極東銀行
Дальневосточный государственный медицинский университет,極東国立医科大学
Дальневосточный государственный университет путей сообщения,極東国立交通大学
Еврейский музей и центр толерантности,ユダヤ博物館・寛容センター
Луговое,豊北駅
Елин,イェリン
