Massachusetts,매사추세츠주
49th Directors Guild of America Awards,제49회 미국 감독 조합상
50th Directors Guild of America Awards,제50회 미국 감독 조합상
54th Directors Guild of America Awards,제54회 미국 감독 조합상
DeltaPlex Arena,델타플렉스 아레나
"Dipple, Ohio",디플 (오하이오주)
DuPont v. Kolon Industries,듀퐁 대 코오롱 소송
Grace Community Church,그레이스 커뮤니티 교회
Guilford College,길퍼드 칼리지
Hellenic College Holy Cross Greek Orthodox School of Theology,성십자가 그리스 정교회 신학교
Houston Field House,휴스턴 필드 하우스
Trinity Evangelical Divinity School,트리니티 신학교
Inter-American League,인터 아메리칸 리그
Las Vegas Posse,라스베이거스 포시
Lewiston High School (Idaho),아이다호 루이스턴 하이 스쿨
Triple-A (baseball),트리플 A (야구)
Hollywood.com,Hollywood.com
Holy Spirit High School (New Jersey),홀리 스피리트 하이 스쿨
KFNX,KFNX
KSCI,KSCI
Three-star rank,3성 장군
Korean Methodist Church and Institute,뉴욕한인교회
Ligonier Ministries,리고니어 미니스트리즈
"Monte Vista High School (Danville, California)",캘리포니아 댄빌 몬테 비스타 고등학교
United States federal judge,미국 연방법관
Commissioner of Baseball,야구 커미셔너
Culture of the United States,미국의 문화
Oikos University,오이코스 대학교
Open Door Policy,문호개방정책
Staten Island Ferry,스태튼아일랜드 연락선
Battle of Germantown,저먼타운 전투
Mount Olympus (Washington),올림퍼스산 (워싱턴주)
"Bozeman, Montana",보즈먼
Shady Records,셰이디 레코드
"Carbondale, Illinois",카본데일 (일리노이주)
"Wilmette, Illinois",윌멧
2010 Nuclear Security Summit,2010년 핵안보정상회의
Figure skating at the 1932 Winter Olympics – Ladies' singles,1932년 동계 올림픽 피겨스케이팅 여자 싱글
"Florence, Oregon",플로렌스 (오리건주)
J.D. Power,JD 파워
Trinity Church (Manhattan),트리니티 교회 (맨해튼)
Great American Family,그레이트 아메리칸 컨트리
Hearst Communications,허스트 커뮤니케이션
Park Row Building,파크 로 빌딩
Tampa Bay,탬파만
United States Forces Japan,주일 미군
Chi Alpha,카이알파
Desert Memorial Park,데저트 메모리얼 파크
Tailhook scandal,테일후크 스캔들
Independence Stadium (Shreveport),인디펜던스 스타디움
"Revolutionary Communist Party, USA",미국 혁명공산당
Sevilla FC Puerto Rico,세비야 FC 푸에르토리코
Skelly Field at H. A. Chapman Stadium,스켈리 필드 앳 H.A. 챔피언 스타디움
Tavern on the Green,태번 온 더 그린
Aguada Stadium,아구아다 스타디움
Akron Summit Assault,애크런 메트로
World AIDS Museum and Educational Center,세계 AIDS 박물관 및 교육센터
Charles E. Smith Center,찰스 E. 스미스 센터
City of Erie v. Pap's A. M.,이리 대 팝스 사건
Fair Park Coliseum (Dallas),페어 파크 콜리시엄
Faith Theological Seminary,훼이스 신학교
Samsung Beam i8520,삼성 갤럭시 빔 (I8520)
Financial Crimes Enforcement Network,금융범죄단속네트워크
Drexel Station at 30th Street,30번가역 (SEPTA 지하철)
Chase Field,체이스 필드
Cheap Trick,칩 트릭
Howard University,하워드 대학교
Trek Bicycle Corporation,트렉 바이시클
AppleWorks,애플웍스
Aquarius Reef Base,아쿠아리우스 연구소
"Arcata, California",아르카타
Autodesk,오토데스크
Dollar diplomacy,달러 외교
President's Emergency Plan for AIDS Relief,대통령의 AIDS 긴급 구호 계획
Price–Anderson Nuclear Industries Indemnity Act,프라이스 앤더슨 법
Roanoke Valley Rebels (ECHL),로어노크 밸리 레벨스
Warren Spahn Award,워런 스판 상
Ross Stores,로스 스토어스
Volcanic Repeating Arms,볼케닉 연발무기회사
1856–57 United States House of Representatives elections,1856년 미국 하원의원 선거
1858–59 United States House of Representatives elections,1858년 미국 하원의원 선거
1886 United States House of Representatives elections,1886년 미국 하원의원 선거
1890 United States House of Representatives elections,1890년 미국 하원의원 선거
1968 United States House of Representatives elections,1968년 미국 하원의원 선거
1972 United States House of Representatives elections,1972년 미국 하원의원 선거
110th Aviation Brigade (United States),제110항공여단
11th Infantry Regiment (United States),제11보병연대 (미국)
1stBank Center,퍼스트뱅크 센터
Interamerican University of Puerto Rico,푸에르토리코 인터라메리칸 대학교
Virginia Cavalry FC,버지니아 캐벌리 FC
Atlantic Division (NBA),애틀랜틱 디비전 (NBA)
City of New Orleans (train),시티 오브 뉴올리언스
Calvin Theological Seminary,칼빈 신학교
E Line (Los Angeles Metro),로스앤젤레스 메트로 E선
Minot State University,마이놋 주립 대학교
Edwards v. California,에드워즈 대 캘리포니아 사건
Elizabeth City State University,엘리자베스시티 주립 대학교
Elvis Presley Birthplace,엘비스 프레슬리 생가
Sparty,스파르티
Stride Bank Center,스트라이드 뱅크 센터
Super 8 (hotel),슈퍼 8
Helio (wireless carrier),힐리오
Chief of Naval Operations,해군작전부장
"Panama City Beach, Florida",패너마시티비치
"University of California, Riverside",캘리포니아 대학교 리버사이드
"San Jose, Illinois",샌조즈
79th Street station (IRT Broadway–Seventh Avenue Line),79번가역 (IRT 브로드웨이-7번로선)
Durham Bulls,더럼 불스
Major Lazer,메이저 레이저
Women's National Basketball Association,전미 여자 농구 협회
"Bourns, Inc.",번스 (기업)
Boys Town (organization),보이스 타운 (단체)
Broadbent Arena,브로드벤트 아레나
1946 California's 12th congressional district election,1946년 캘리포니아 제12선거구 선거
1974 California gubernatorial election,1974년 캘리포니아 주지사 선거
California statistical areas,캘리포니아주의 통계 지구
Camp Edwards,캠프 에드워즈
Museum of American Finance,미국 금융 박물관
Harlan J. Smith Telescope,할란 J. 스미스 망원경
"Haverford, Pennsylvania",해버퍼드 (펜실베이니아주)
DC Comics,DC 코믹스
M.O.P.,M.O.P.
North American Man/Boy Love Association,NAMBLA
54th Massachusetts Infantry Regiment,제54매사추세츠 의용보병연대
Evil Geniuses,이블 지니어스
"Jackson Heights, Queens",잭슨하이츠
Jacksonville Barracudas,잭슨빌 바라쿠다스
Connector (Cincinnati),신시내티 노면전차
DC Streetcar,DC 스트리트카
Pottawatomie massacre,포타와토미 학살
The Fader,페이더 (잡지)
Ballston–MU station,볼스턴-MU역
Maxim (magazine),맥심 (잡지)
United States Naval Forces Southern Command,미국 해군 남부사령부
Wings Event Center,윙스 이벤트 센터
"Garfield, New Jersey",가필드 (뉴저지주)
"Grandview, Washington",그랜드뷰 (워싱턴주)
"Great Bend, Kansas",그레이트벤드
"Chappaqua, New York",채퍼콰
Toyota Arena,도요타 아레나
Apple Push Notification service,애플 푸시 알림 서비스
Socialist Labor Party of America,사회주의노동당
South Pasadena station,사우스패서디나역
300 save club,300 세이브 클럽
La Senza,라 센자
PBS Kids,PBS 키즈
Lochner v. New York,로크너 대 뉴욕 주 사건
Mohegan Tribe,모히건족
1989 National Society of Film Critics Awards,1989년 전미 비평가 협회상
1991 National Society of Film Critics Awards,1991년 전미 비평가 협회상
New York statistical areas,뉴욕주의 통계 지구
Newark Holy Stones,뉴어크 성석
Diversity Immigrant Visa,다양성 이민 비자
Office for Civil Rights,민권청
Marine Corps Combat Development Command,해병대 전투개발사령부
Maryland statistical areas,메릴랜드주의 통계 지구
"Maybell, Colorado",메이벨 (콜로라도주)
Miami Screaming Eagles,마이애미 스크리밍 이글스
National Cattlemen's Beef Association,미국축산협회
Bakersfield Condors (1998–2015),베이커즈필드 콘도스 (ECHL)
Central United States,미국 중부
Medicaid,메디케이드
"Museum of Contemporary Art, Los Angeles",로스앤젤레스 현대미술관
Reed College,리드 칼리지
Remington Arms,레밍턴 암스
KNBC,KNBC
Section 301 of the Trade Act of 1974,1974년 통상법 제301조
"Blaine County, Nebraska",블레인군 (네브래스카주)
Wrigley Field (Los Angeles),리글리 필드 (로스앤젤레스)
Tydings–McDuffie Act,필리핀 독립법
"Lysander, New York",라이샌더 (뉴욕주)
"No Name, Colorado",노네임 (콜로라도주)
Joint Typhoon Warning Center,미국 합동태풍경보센터
MyNetworkTV,마이네트워크TV
United States Board on Geographic Names,미국 지명위원회
United States Department of War,미국 전쟁부
Roc-A-Fella Records,로커펠라 레코드
"Benton, Louisiana",벤턴 (루이지애나주)
"King George County, Virginia",킹조지군
Powerball,파워볼
Cycling at the 1904 Summer Olympics – 25 miles,1904년 하계 올림픽 사이클 남자 25mi
Open Road Films,오픈 로드 필름스
Stroke Belt,스트로크 벨트
3rd Sustainment Command (Expeditionary),제3원정지원사령부
528th Sustainment Brigade (United States),제528지원여단
66th Theater Aviation Command,제66전구항공사령부
All-America City Award,올아메리카 시티 어워드
Alliance of Confessing Evangelicals,고백 복음주의 연맹
American Airlines Group,아메리칸 항공 그룹
American Association of Professional Baseball,아메리칸 어소시에이션 (독립 리그)
American Farm Bureau Federation,미국농민연맹
Ameristar Jet Charter,아메리스타 에어 카고
Anchor Bay Entertainment,앵커 베이 엔터테인먼트
Hec Edmundson Pavilion,알래스카 에어라인스 아레나 앳 핵 에드먼드선 파빌리온
NelsonCorp Field,넬슨 코프 필드
Dededo,데데도
Del Taco,델타코
Louisiana Creole,루이지애나 크리올
Mexican Cession,멕시코 할양지
United States Tennis Association,미국 테니스 협회
Progressive Era,진보 시대
"Yona, Guam",조냐
Double Helix Games,더블 헬릭스 게임스
Newark–World Trade Center,뉴어크-월드 트레이드 센터선
68th Street–Hunter College station,68가-헌터 칼리지역
IND Sixth Avenue Line,IND 6번로 선
Denver Art Museum,덴버 미술관
Denver Spurs,덴버 스퍼스
Research Triangle Park,리서치 트라이앵글 파크
Chicago Police Department,시카고 경찰국
San Diego International Airport,샌디에고 국제공항
A Bug's Land,벅스 랜드
"Ferndale, California",펀데일 (캘리포니아주)
Fort Saint-Frédéric,세인트 프레드릭 요새
RatPac Entertainment,랫팩듄 엔터테인먼트
Seattle Center,시애틀 센터
ArtCenter College of Design,아트 센터 칼리지 오브 디자인
Presbyterian Church in the United States of America,미국 북장로교회
Institute of Design at the Illinois Institute of Technology,IIT 디자인학교
Chicago Public Library,시카고 공립도서관
Las Vegas Metropolitan Police Department,라스베이거스 경찰국
New York City Hall,뉴욕 시청사
Schomburg Center for Research in Black Culture,숌버그 흑인 자료 도서관
Six Flags Great Adventure,식스 플래그스 그레이트 어드벤처
Federal Deposit Insurance Corporation,미국 예금보험공사
Maybelline,메이블린
Class Action Fairness Act of 2005,2005년 집단 소송 공평법
Cloo,Cloo
CockyBoys,CockyBoys
Cohen v. California,코헨 대 캘리포니아 사건
"Commander, Navy Installations Command",해군시설사령부
Coronado Historic Site,코로나도 사적지
List of statistical areas in Colorado,콜로라도주의 통계 지구
Audi Field,아우디 필드
Dallas Christian School,댈러스 크리스천 스쿨
Danbury Ice Arena,댄버리 아이스 아레나
Dean %26 DeLuca,딘 %26 델루카
Decker Towers,데커 타워스
1798–99 United States House of Representatives elections,1798년 미국 하원의원 선거
1806–07 United States Senate elections,1806년 미국 상원의원 선거
1808–09 United States House of Representatives elections,1808년 미국 하원의원 선거
1810–11 United States Senate elections,1810년 미국 상원의원 선거
1858–59 United States Senate elections,1858년 미국 상원의원 선거
1874–75 United States House of Representatives elections,1874년 미국 하원의원 선거
1976 United States House of Representatives elections,1976년 미국 하원의원 선거
Geneva Academy,제네바 아카데미
George R. Brown Convention Center,조지 R. 브라운 컨벤션 센터
Purdue Global Law School,콩코드 법학전문대학원
American Bank Center,아메리칸 뱅크 센터
The Coca-Cola Company,코카콜라 컴퍼니
Navy Pier,네이비 피어
1902 Major League Baseball season,1902년 메이저 리그 베이스볼 시즌
MBTA boat,MBTA 보트
Morrill Land-Grant Acts,모릴 토지 허여 법안
"Moses Lake, Washington",모지스레이크
Northern California,북부 캘리포니아
Kastigar v. United States,카스티가 대 미국 사건
MARC Train,MARC 트레인
Madison Square Garden (1925),매디슨 스퀘어 가든 (1925년)
1856–57 United States Senate elections,1856년 미국 상원의원 선거
1864–65 United States Senate elections,1864년 미국 상원의원 선거
1868–69 United States Senate elections,1868년 미국 상원의원 선거
1892–93 United States Senate elections,1892년 미국 상원의원 선거
1898–99 United States Senate elections,1898년 미국 상원의원 선거
1904–05 United States Senate elections,1904년 미국 상원의원 선거
1960 United States Senate elections,1960년 미국 상원의원 선거
1976 United States Senate elections,1976년 미국 상원의원 선거
1982 United States Senate elections,1982년 미국 상원의원 선거
1992 United States Senate elections,1992년 미국 상원의원 선거
Curse of Billy Penn,윌리엄 펜의 저주
Willowbrook/Rosa Parks station,윌로브룩/로자파크스 역
Charlotte Sting,샬럿 스팅
Cheyenne Mountain,샤이엔산
Chicago Outfit,시카고 아웃핏
Chicago Wolves,시카고 울브스
Children's Hospital Los Angeles,로스앤젤레스 아동병원
List of Catholic dioceses in the United States,미국의 가톨릭 교구 목록
"Meridian, Idaho",머리디언 (아이다호주)
"Bethel Park, Pennsylvania",베설파크
"Lockport, New York",록포트 (뉴욕주)
36th parallel north,북위 36도
39th parallel north,북위 39도
List of Academy Award records,아카데미상 최고 기록 목록
Solomon R. Guggenheim Foundation,솔로몬 R. 구겐하임 재단
St. Cloud State University,세인트 클라우드 주립 대학교
"Bedford–Stuyvesant, Brooklyn",베드퍼드스타이베선트
Strawberry Fields (memorial),스트로베리 필즈
1854–55 United States House of Representatives elections,1854년 미국 하원의원 선거
Christiansted National Historic Site,크리스천스테드 국립사적지
1982 Major League Baseball season,1982년 메이저 리그 베이스볼 시즌
TuneIn,TuneIn
Anteater Stadium,앤티터 스타디움
Arkansas statistical areas,아칸소주의 통계 지구
Auburn High School (Alabama),오번 고등학교
Average Joes Entertainment,애버리지 조스 엔터테인먼트
BAA Indianapolis,BBA 인디애나폴리스
GNC (company),GNC (기업)
Harbor Freeway station,하버 프리웨이역
Ezer Mizion,에제르 미지온
Seattle Aquarium,시애틀 수족관
Delaware statistical areas,델라웨어주의 통계 지구
Georgia statistical areas,조지아주의 통계 지구
Glenbrook South High School,글렌브룩 사우스 고등학교
Micronesia Mall,마이크로네시아 몰
Marshall Health Network Arena,빅 샌디 슈퍼스토어 아레나
35th parallel north,북위 35도
54th parallel north,북위 54도
Boiling Point (2012),보일링 포인트 (프로레슬링)
Monument Park (Yankee Stadium),모뉴먼트 파크
"Municipal Stadium (Kansas City, Missouri)",캔자스시티 뮤니시펄 스타디움
National Farmers Union (United States),전국 농민 연대 (미국)
New Skete (New York),신 스케테
Orlando Rage,올랜도 레이지
Operation Wandering Soul,완더링 소울 작전
Ray's Hell Burger,레이스 헬 버거
Rays Ballpark,레이스 볼파크
Republican Study Committee,공화당 연구위원회
Retrosheet,레트로시트
Rhode Island Auditorium,로드아일랜드 오디토리움
Peterson Gymnasium,피터슨 짐
Taiwan–United States relations,미국-중화민국 관계
AN/APG-83,AN/APG-83
Salem Red Sox,살렘 레드삭스
Salisbury University,솔즈베리 대학교
NRG Arena,NRG 아레나
Qualtrics,퀼트릭스
RCA Studio B,RCA 스튜디오 B
Registered investment adviser,전문투자자문사
ROH New Horizons,ROH 뉴 허라이즌스
Rio Grande Valley Grandes,리오 그란데 밸리 그란데스
"The Monument (Rapid City, South Dakota)",러시모어 플라자 시빅 센터
Sun Devil Soccer Stadium,선데블 사커 스타디움
Supergiant Games,슈퍼자이언트 게임스
Sinauer Associates,사이나우어 어소시에이츠
Sonoma International Film Festival,서노마 국제 영화제
South Dakota statistical areas,사우스다코타주의 통계 지구
South Side Park,사우스 사이드 파크
Southern Pacific Co. v. Arizona,사우던 퍼시픽 사 대 아리조나 사건
Stumpf Field,스텀프 필드
New York Comic Con,뉴욕 코믹콘
Toyota Field,도요타 필드
Grossinger Motors Arena,U.S. 셀룰러 콜리시엄
Underwater Demolition Team,수중폭파대
United States beef imports in Japan,일본의 미국산 쇠고기 수입
University of Illinois College of Law,일리노이 대학교 법학대학원
Toledo Sports Arena,털리도 스포츠 아레나
Toms Shoes,탐스슈즈
Treasure Island Media,트레저 아일랜드 미디어
United States Army South,미국 남부 육군
United States congressional apportionment,미국 하원 선거구 수 배분
United States v. Gettysburg Electric Railway Co.,미국 대 게티스버그 전철 사건
United States v. Virginia,미국 대 버지니아 사건
Vanderbilt University Divinity School,밴더빌트 대학교 신학부
Vanguard University,뱅가드 대학교
Veterans Memorial Fieldhouse,베터런스 메모리얼 필드하우스
Washington City Paper,워싱턴 시티 페이퍼
West Palm Beach Christian Convention Center,웨스트팜비치 크리스천 컨벤션 센터
WFLI-TV,WFLI-TV
WHOI (TV),WHOI
Zap2it,잽투잇
55th Writers Guild of America Awards,제55회 미국 작가 조합상
56th Writers Guild of America Awards,제56회 미국 작가 조합상
Wind power in California,캘리포니아주의 풍력 발전
"Wolf, California",울프 (캘리포니아주 네바다군)
Woodley station (Los Angeles Metro),우들리역
Xseed Games,엑시드 게임스
XXIV Corps (United States),제24군단 (미국)
Bennigan's,베니건스
"Stacyville Township, Mitchell County, Iowa",스테이시빌 타운십
United States Air Force Combat Control Team,미국 공군전투통제반
Atlanta Blackhawks,애틀랜타 블랙호크스
Banzai Cliff,반자이 절벽
Robison Field,로비슨 필드
I-20 (form),I-20 서식
Jamaica station,자메이카 스테이션
Task Force Faith,페이스 특수임무부대
Las Conchas Fire,라스 콘차스 화재
1975 South Pacific Games,1975년 남태평양 게임
MetroMoves,메트로무브스
Sanctum Sanctorum (Marvel Comics),생텀 생토럼
Iowa Wild,아이오와 와일드
New Brunswick Theological Seminary,뉴브런즈윅 신학교
ABS-CBN Sports and Action,ABS-CBN 스포츠 앤드 액션
United States at the 1906 Intercalated Games,1906년 중간 올림픽 미국 선수단
Old Dominion University Fieldhouse,올드 도미니언 유니버시티 필드 하우스
I Wor Kuen,의화권
66th Writers Guild of America Awards,제66회 미국 작가 조합상
2013 United States federal government shutdown,2013년 미국 연방 정부 폐쇄
Nokia Lumia 2520,노키아 루미아 2520
MBTA subway,MBTA 지하철
2014 East Harlem gas explosion,2014년 이스트할렘 가스 폭발
2014 US Open (tennis),2014년 US 오픈 (테니스)
30 Hudson Yards,30 허드슨 야드
20th Screen Actors Guild Awards,제20회 미국 배우 조합상
International Consortium of Investigative Journalists,국제탐사보도언론인협회
Wintrust Arena,윈트러스트 아레나
87th Academy Awards,제87회 아카데미상
Grammarly,그래멀리
Blumhouse Productions,블럼하우스 프로덕션스
Lambuth University,램버스 대학교
The Numbers (website),더 넘버스
VLF Automotive,VLF 오토모티브
Fight the New Drug,신약과 싸워라
Los Angeles High School,로스엔젤레스 고등학교
"Nekoma, Illinois",네코마 (일리노이주)
Annapurna Pictures,안나푸르나 픽처스
Inter Miami CF,인터 마이애미 CF
8th Theater Sustainment Command,제8전구지원사령부
A %26 R Recording,A %26 R 레코딩
Grand Rapids Gold,그랜드래피즈 골드
Nieman Foundation for Journalism,니먼 언론재단
GFA National Training Center,괌 축구 협회 국립 트레이닝 센터
Lehigh Valley Phantoms,리하이 밸리 팬텀스
Charlotte Independence,샬럿 인디펜던스
Switchbacks Training Stadium,와이드너 필드
Firebase,파이어베이스
IPad Mini 3,아이패드 미니 3
2017 CONCACAF Gold Cup,2017년 CONCACAF 골드컵
Microsoft Lumia 640,마이크로소프트 루미아 640
2013 National Society of Film Critics Awards,2013년 전미 비평가 협회상
New York Red Bulls II,뉴욕 레드불스 II
Dumblonde,덤블론드
Impossible Foods,임파서블 푸즈
AirTrain LaGuardia,에어트레인 라과디아
ECW Gangstas Paradise,ECW 갱스터스 패러다이스
22nd Screen Actors Guild Awards,제22회 미국 배우 조합상
2016 Minnesota Twins season,2016년 미네소타 트윈스 시즌
2015 Baltimore protests,2015년 볼티모어 폭동
Kudo3d,Kudo3D
2016 Major League Baseball season,2016년 메이저 리그 베이스볼 시즌
"Bolivar, Alabama",볼리바 (앨라배마주)
Murders of Alison Parker and Adam Ward,앨리슨 파커와 애덤 워드 총격 사건
Northrop Grumman B-21 Raider,노스럽 그러먼 B-21 레이더
2020 United States Senate elections,2020년 미국 상원의원 선거
Freedom Caucus,프리덤 코커스
Juul,쥴
"Doanville, Ohio",돈빌
Worcester Railers,우스터 레일러 HC
2020 United States presidential election,2020년 미국 대통령 선거
Paramount%2B,파라마운트%2B
Pennsauken Transit Center,펜소켄 운송 센터 역
Guardians of the Galaxy – Mission: Breakout!,가디언스 오브 더 갤럭시 - 미션: 브레이크아웃!
"Cairo, Indiana",케어로 (인디애나주)
The New School for Social Research,사회연구 뉴 스쿨
Vessel (structure),베슬 (구조물)
37th Golden Raspberry Awards,제37회 골든 래즈베리상
Mrs. Globe,미시즈 글로브
Disney Streaming,디즈니 스트리밍 서비스
College Park Skyhawks,칼리지파크 스카이호크스
SNAC,SNAC
Ghost Ballers,고스트 볼러스
Killer 3's,킬러 3's
The B-Team,더 B팀
Junior Basketball Association,주니어 농구 협회
92nd Academy Awards,제92회 아카데미상
29th Directors Guild of America Awards,제29회 미국 감독 조합상
30th Directors Guild of America Awards,제30회 미국 감독 조합상
UBS Arena,UBS 아레나
Gateway Center Arena,게이트웨이 센터 아레나
Facebook Watch,페이스북 워치
2020 United States presidential election in Tennessee,2020년 미국 대통령 선거 테네시주
2020 United States presidential election in Alaska,2020년 미국 대통령 선거 알래스카주
2020 United States presidential election in Montana,2020년 미국 대통령 선거 몬태나주
2020 United States presidential election in New Mexico,2020년 미국 대통령 선거 뉴멕시코주
2020 United States presidential election in Utah,2020년 미국 대통령 선거 유타주
2020 United States presidential election in Vermont,2020년 미국 대통령 선거 버몬트주
United States Space Force,미국 우주군
Dallas Ballers,댈러스 볼러스
2019 US Open (tennis),2019년 US 오픈 (테니스)
2020 Major League Baseball season,2020년 메이저 리그 베이스볼 시즌
"Lemonade, Inc.",레모네이드 (기업)
San Diego 1904 FC,샌디에이고 1904 FC
Shopbop,샵밥
27th Directors Guild of America Awards,제27회 미국 감독 조합상
3rd Directors Guild of America Awards,제3회 미국 감독 조합상
7th Directors Guild of America Awards,제7회 미국 감독 조합상
Q2 Stadium,Q2 스타디움
14th Writers Guild of America Awards,제14회 미국 작가 조합상
26th Writers Guild of America Awards,제26회 미국 작가 조합상
32nd Writers Guild of America Awards,제32회 미국 작가 조합상
35th Writers Guild of America Awards,제35회 미국 작가 조합상
2020 US Open (tennis),2020년 US 오픈 (테니스)
2019 World Series,2019년 월드 시리즈
SuperM,SuperM
2019 LPGA Tour,2019년 LPGA 투어
All Elite Wrestling,올 엘리트 레슬링
E3 2019,E3 2019
WWE 24/7 Championship,WWE 24/7 챔피언십
Cincinnati Union Terminal,신시내티 뮤지엄 센터 앳 유니언 터미널
Alteryx,알터릭스
25th Critics' Choice Awards,제25회 크리틱스 초이스상
128th Aviation Brigade (United States),제128항공여단
Opendoor,오픈도어 (기업)
Presidency of Joe Biden,조 바이든 행정부
364th Expeditionary Sustainment Command,제364원정지원사령부
2020 Four Continents Speed Skating Championships,2020년 4대륙 스피드스케이팅 선수권 대회
Scuderia Cameron Glickenhaus,스쿠데리아 카메론 글리켄하우스
Texas Heartbeat Act,텍사스 심장박동 법안
Starry Night Productions,별이 빛나는 밤 프로덕션
79th Golden Globe Awards,제79회 골든 글로브상
Apple Inc.,애플
Lake Chaubunagungamaug,처바너강거모그호
Connecticut,코네티컷주
Twitter,트위터
1st Cavalry Division (United States),제1기병사단 (미국)
Bliss (image),블리스 (사진)
Iowa,아이오와주
Mississippi River,미시시피강
Spanish language,스페인어
Lake Michigan,미시간호
South Dakota,사우스다코타주
"Long Beach, California",롱비치 (캘리포니아주)
New England,뉴잉글랜드
New York Film Festival,뉴욕 영화제
"Rutland (city), Vermont",러틀랜드 (버몬트주)
Rhode Island,로드아일랜드주
"Alexandria, Virginia",알렉산드리아 (버지니아주)
Slovene language,슬로베니아어
Statue of Liberty,자유의 여신상
Seattle–Tacoma International Airport,시애틀 터코마 국제공항
2022 Buffalo shooting,2022년 버펄로 총기 난사 사건
Constitution of the United States,미국의 헌법
Cascade Range,캐스케이드산맥
National Register of Historic Places,미국 국립사적지
Washington Union Station,유니언역 (워싱턴 D.C.)
2022 Bronx apartment fire,2022년 브롱크스 아파트 화재
Baltimore,볼티모어
"Orange County, California",오렌지군 (캘리포니아주)
Academy Scientific and Technical Award,아카데미 과학기술상
Armenian language,아르메니아어
Ukrainian language,우크라이나어
Pittsburgh,피츠버그
New Jersey,뉴저지주
Nebraska,네브래스카주
International Monetary Fund,국제 통화 기금
Lockheed Corporation,록히드
"Rome, Georgia",롬 (조지아주)
Vice President of the United States,미국의 부통령
COVID-19 pandemic in New York City,뉴욕 코로나19 바이러스 사태
American Sign Language,미국 수화
First Amendment to the United States Constitution,미국 수정 헌법 제1조
Padlet,패들렛
2022 World Series,2022년 월드 시리즈
Pentagon Papers,펜타곤 문서
Brandeis University,브랜다이스 대학교
"Bridgeport, Connecticut",브리지포트
"San Luis Obispo, California",샌루이스오비스포
Continental Congress,대륙회의
"Dunn County, North Dakota",던군 (노스다코타주)
Democratic Party (United States),민주당 (미국)
"Richmond, Virginia",리치먼드 (버지니아주)
"Stamford, Connecticut",스탬퍼드 (코네티컷주)
Stonewall riots,스톤월 항쟁
"Yates County, New York",예이츠군
Chevrolet Corvette,쉐보레 콜벳
"Jackson County, Arkansas",잭슨군 (아칸소주)
"Izard County, Arkansas",이자드군
"Johnson County, Arkansas",존슨군 (아칸소주)
"Ashland, Alabama",애슐랜드 (앨라배마주)
"Bristol County, Massachusetts",브리스틀군 (매사추세츠주)
"Suffolk County, New York",서퍽군 (뉴욕주)
"Berkshire County, Massachusetts",버크셔군
1993 World Trade Center bombing,1993년 세계 무역 센터 폭탄 테러
Grand Central Terminal,그랜드 센트럴 터미널
"Marquette, Michigan",마켓 (미시간주)
Pacific Northwest,태평양 북서부
Room to Read,룸 투 리드
Bitly,Bitly
Game Informer,게임 인포머
"Garfield County, Utah",가필드군 (유타주)
Golden Raspberry Awards,골든 래즈베리상
"Santa Monica, California",샌타모니카
"El Paso, Texas",엘패소
OpenSUSE,오픈수세
"Sacramento, California",새크라멘토
Brooklyn,브루클린
Boston Tea Party,보스턴 차 사건
"Burleigh County, North Dakota",버레이군
Containment,봉쇄 정책
"Blanco County, Texas",블랑코군
"Walker County, Texas",워커군 (텍사스주)
Aleut language,알류트어
"Wayne County, Utah",웨인군 (유타주)
"Bottineau County, North Dakota",보티노군
"Montgomery, Alabama",몽고메리 (앨라배마주)
"Columbus, Ohio",콜럼버스 (오하이오주)
Chrysler (brand),크라이슬러
"Albany, New York",올버니 (뉴욕주)
"Steuben County, Indiana",슈토이벤군 (인디애나주)
"Brazos County, Texas",브라조스군
"Montgomery County, Texas",몽고메리군 (텍사스주)
"Val Verde County, Texas",발베르데군
Interstate 8,주간고속도로 제8호선
Tea Party movement,티파티 운동
Kabardian language,카바르다어
"Boise, Idaho",보이시
Puerto Rican Independence Party,푸에르토리코 독립당
Candy Desk,캔디 데스크
Watergate scandal,워터게이트 사건
"Hidalgo County, Texas",히댈고군 (텍사스주)
Korematsu v. United States,코레마츠 대 미국 사건
"Harris County, Texas",해리스군 (텍사스주)
"Juab County, Utah",주압군
Bermuda Triangle,버뮤다 삼각지대
Iñupiaq language,이누피아크어
"Utah County, Utah",유타군
Free Software Foundation,자유 소프트웨어 재단
Wesleyan University,웨슬리언 대학교
"Chester County, Pennsylvania",체스터군 (펜실베이니아주)
"Concord, New Hampshire",콩코드 (뉴햄프셔주)
"Wayne County, New York",웨인군 (뉴욕주)
"Fulton County, Arkansas",풀턴군 (아칸소주)
Palauan language,팔라우어
"Carroll County, Arkansas",캐럴군 (아칸소주)
"Perry County, Arkansas",페리군 (아칸소주)
Associated Press,AP (통신사)
"Hot Spring County, Arkansas",핫스프링군
"Roberts County, Texas",로버츠군 (텍사스주)
"Topeka, Kansas",토피카
"Madison County, Iowa",매디슨군 (아이오와주)
"Monroe County, New York",먼로군 (뉴욕주)
DMOZ,DMOZ
"Henderson, Nevada",헨더슨 (네바다주)
Claremont Graduate University,클레어몬트 대학원
"Tempe, Arizona",템피 (애리조나주)
"Plano, Texas",플레이노
PNC Arena,PNC 아레나
The Star-Spangled Banner,미국의 국가
