Tours,투르
Traité de l'Élysée,엘리제 조약
Assignat,아시냐
Saint-Michel-sur-Orge,생미셸쉬르오르주
Lacoste (entreprise),라코스테
Lunel,뤼넬
Tunnel du Mont-Blanc,몽블랑 터널
Vandœuvre-lès-Nancy,방되브르르낭시
Coray,코레 (피니스테르주)
Creil,크레유
Église de la Madeleine,마들렌 사원
Académie des inscriptions et belles-lettres,금석문·문예 아카데미
Mortain,모르탱
Tableau des médailles des Jeux olympiques d'été de 1924,1924년 하계 올림픽 메달 집계
Provinces de la Nouvelle-Calédonie,누벨칼레도니의 행정 구역
Rattachisme,라타시슴
Équipe de Wallis-et-Futuna de football,왈리스 푸투나 축구 국가대표팀
Arve,아르브강
Élections législatives françaises de 1869,1869년 프랑스 총선
Prix d'interprétation masculine du Festival de Cannes,칸 영화제 남우주연상
Rive droite (Paris),우안 (파리)
8 mai 1945,유럽 전승 기념일
Unibail-Rodamco-Westfield,유니베일-로담코-웨스트필드
Red Star Football Club,레드 스타 FC
Alzette,알제트강
BNP Paribas,BNP 파리바
CEVA,CEVA 철도
Corsair International,코스에어 인터내셔널
Groupe Ionis,IONIS 교육 그룹
Transilien,트랑지리앵
Chavaniac-Lafayette,샤바니악-라파예트
Commune (France),프랑스의 코뮌
Missions étrangères de Paris,파리 외방전교회
France 2,프랑스 2
Ski militaire aux Jeux olympiques de 1924,1924년 동계 올림픽 밀리터리 패트롤
Cucugnan,퀴퀴냥
France aux Jeux olympiques d'été de 2004,2004년 하계 올림픽 프랑스 선수단
Fédération protestante de France,프랑스개신교연맹
Poclain,포클랭
Saint-Gobain,생고뱅
Ski acrobatique aux Jeux olympiques de 1992,1992년 동계 올림픽 프리스타일
Eutelsat,유텔샛
Route européenne 15,유럽 고속도로 15호선
Brioche,브리오슈
Castres (Aisne),카스트르 (엔주)
Patinage artistique aux Jeux olympiques de 1924,1924년 동계 올림픽 피겨스케이팅
Tefal,테팔
Le Grand-Quevilly,르그랑케비
Ligne de Lyon-Perrache à Genève (frontière),리옹-제네바 철도
Arrondissement de Laon,랑 아롱디스망
Bataille de Mars-la-Tour,마르스라투르 전투와 그라블로트 전투
Tableau des médailles des Jeux olympiques d'hiver de 1924,1924년 동계 올림픽 메달 집계
Angers Sporting Club de l'Ouest,앙제 SCO
Bréviandes,브레비앙드
Aérospatiale (entreprise),아에로스파시알
Eurocontrol,유로컨트롤
Pont de la Concorde,콩코르드 다리
Bataille de Château-Thierry (1814),샤토티에리 전투
Biarritz olympique Pays basque,비아리츠 올림피크
Championnat de France de football 2012-2013,리그 1 2012-13
Paris Football Club,파리 FC
Piton de la Fournaise,피통드라푸르네즈 화산
Tourisme en Île-de-France,파리의 관광
Commando Hubert,위베르 특공대
Arrondissement de Bourg-en-Bresse,부르캉브레스 아롱디스망
Champagne Moët %26 Chandon,모엣 %26 샹동
Championnat de France de football 2009-2010,리그 1 2009-10
Parc Walt Disney Studios,월트 디즈니 스튜디오 파크
Stade de la Mosson,스타드 드 라 모송
Aéroport international Félix-Éboué,카옌 펠릭스 에보우에 공항
Avis (entreprise),에이비스 카 렌탈
Gouvernement provisoire de la République française,프랑스 공화국 임시정부
Istres Football Club,FC 이스트르
Banque de France,프랑스 은행
Curling aux Jeux olympiques de 1924,1924년 동계 올림픽 컬링
Tir aux Jeux olympiques de 1900,1900년 하계 올림픽 사격
Arrondissement de Gex,젝스 아롱디스망
Musée de l'Orangerie,오랑주리 미술관
Muséum national d'histoire naturelle,국립 자연사 박물관 (파리)
Conseil d'État (France),국참사원
Prix Apollo,아폴로상
Fontaine (Isère),퐁텐 (이제르주)
Atos,아토스 (기업)
Beffrois de Belgique et de France,벨기에와 프랑스의 종루
Grande-Synthe,그랑드생트
Élections législatives françaises de 1962,1962년 프랑스 총선
Hôtel de Ville (métro de Paris),오텔 드 빌역
Valmy,발미
Incendie du 10 août 1903 dans le métro de Paris,파리 지하철 화재
Réseau ferré de France,프랑스 철도시설공단
Thermidorien,테르미도르파
Commando Delta,델타 특공대
Rugby à XV aux Jeux olympiques de 1900,1900년 하계 올림픽 럭비
Laguiole (Aveyron),라욜
Le Nouvel Obs,르 누벨 옵세르바퇴르
Équipe d'Occitanie de football,옥시타니아 축구 국가대표팀
Air Orient,에어 오리앙
Bataille d'Auray (1364),오레 전투
Minitel,미니텔
Tramway d'Île-de-France,일드프랑스 트램
Femmes de Tahiti,타히티의 여인들
Festival de Cannes 1952,1952년 칸 영화제
Institut des hautes études scientifiques,IHÉS
Prix du scénario du Festival de Cannes,칸 영화제 각본상
Cenon,스농
Stade de la Beaujoire,스타드 드 라 보주아르
Élections législatives françaises d'août 1815,1815년 프랑스 총선
Élections législatives françaises de 1795,1795년 프랑스 총재선거
Festival du film policier de Cognac,코냐크 스릴러 영화제
Patinage de vitesse aux Jeux olympiques de 1924 - 10 000 mètres hommes,1924년 동계 올림픽 스피드스케이팅 남자 10000m
Ski de vitesse aux Jeux olympiques de 1992,1992년 동계 올림픽 스피드스키
Rassemblement pour la République,공화국연합
Chloé (entreprise),끌로에 (기업)
Îles du Frioul,프리울 제도
Pont Louis-Philippe,루이필리프 다리
Route européenne 11,유럽 고속도로 11호선
Noms gravés sous l'arc de triomphe de l'Étoile,개선문에 새겨진 이름들
Théâtre-Libre,자유극장
France 5,프랑스 5
Orange (entreprise),오랑주 (기업)
Liste des cantons du département des Vosges,보주주의 캉통
M6,M6 (텔레비전 채널)
Cap21,"21세기를 위한 시민의식, 행동, 참여"
Balmain,발망
Sophia Antipolis,소피아앙티폴리스
Élections législatives françaises de 1946,1946년 11월 프랑스 총선
Bataille de Saint-Quentin (1557),생캉탱 전투 (1557년)
Groupe C de la Coupe du monde de football 1998,1998년 FIFA 월드컵 C조
Liste des cantons des Hautes-Pyrénées,오트피레네주의 캉통
Coup d'État du 2 décembre 1851,1851년 프랑스 쿠데타
ST Dupont,S.T. 듀퐁
Marie-Galante,마리갈란트섬
Route européenne 17,유럽 고속도로 17호선
Élections constituantes françaises de 1946,1946년 6월 프랑스 총선
Aldebaran (robotique),알데바란 로보틱스
Arrondissements du Calvados,칼바도스주의 아롱디스망
Château du Plessis-Bourré,플레시부레성
Eurochannel,유로채널
Route européenne 46,유럽 고속도로 46호선
Canton de Belley,벨레 캉통
Palmier (viennoiserie),팔미에
Route européenne 714,유럽 고속도로 714호선
Yves Saint Laurent (entreprise),이브 생 로랑 (브랜드)
Bugatti,부가티
Cèmuhî,체무힝어
Festival mondial des théâtres de marionnettes,세계꼭두극축제
Gare de Bellegarde,벨가르드역
Relations entre l'Autriche et la France,오스트리아-프랑스 관계
Salon de mai,살롱 드 메
Élections législatives françaises de 1910,1910년 프랑스 총선
Pont de Levallois - Bécon (métro de Paris),퐁 드 르발루아-베콩 역
Plébiscite du 8 mai 1870,1870년 프랑스 국민투표
Élections législatives françaises de 1857,1857년 프랑스 총선
Élections législatives françaises de 1893,1893년 프랑스 총선
Bourse de Paris,유로넥스트 파리
Basilique Notre-Dame-de-l'Assomption de Nice,니스 노트르담 대성당
Élections législatives françaises de 1981,1981년 프랑스 총선
Centre d'études scientifiques et techniques d'Aquitaine,CEA CESTA
Championnat de France de futsal FIFA,샹피오나 드 프랑스 드 풋살
Championnats du monde d'aviron 1997,1997년 세계 조정 선수권 대회
Longue paume aux Jeux olympiques de 1900,1900년 하계 올림픽 롱그폼
Carte Navigo,나비고
135e méridien ouest,서경 135도
Sephora (entreprise),세포라
1er méridien est,동경 1도
Relations entre la France et le Viêt Nam,베트남-프랑스 관계
Liste des cantons de Mayotte,마요트의 캉통
Loriciel,로리시엘
Mac Guff,맥 거프
Xârâcùù,항랑츠어
Élections cantonales françaises de 1976,1976년 프랑스 캉통 선거
Démographie de la Nouvelle-Calédonie,누벨칼레도니의 인구
Arrondissements de l'Ain,앵주의 아롱디스망
Faculté des lettres de Paris,파리 문학부
Gymnase Jean-Sturm,장 슈투름 김나지움
Institut des hautes études économiques et commerciales,인섹경영대학
Jean Paul Gaultier,장 폴 고티에 (기업)
Référendum constitutionnel français d'octobre 1946,1946년 10월 프랑스 국민투표
Automobilisme aux Jeux olympiques de 1900,1900년 하계 올림픽 모터레이싱
Relations entre l'Espagne et la France,스페인-프랑스 관계
DS Automobiles,디에스 오토모빌
Festival de Cannes 2014,2014년 칸 영화제
Canton de Bourg-en-Bresse-2,부르캉브레스 제2캉통
Guerre des Cévennes,세벤 전쟁
Hauts-de-France,오드프랑스
Attentat contre Charlie Hebdo,샤를리 에브도 테러
Bourgogne-Franche-Comté,부르고뉴프랑슈콩테
Crash de l'A320 de Germanwings,저먼윙스 9525편 추락 사고
Groupe E du Championnat d'Europe de football 2016,UEFA 유로 2016 E조
Phase à élimination directe du Championnat d'Europe de football 2016,UEFA 유로 2016 결선 토너먼트
Élections législatives françaises de 2017,2017년 프랑스 총선
Élections régionales françaises de 2015,2015년 프랑스 레지옹 선거
Nightjet,나이트젯
Blackpills,블랙필즈
Ligue des nations masculine de volley-ball 2018,2018년 FIVB 남자 배구 네이션스리그
Extinction Rebellion,멸종에의 반란
Ouragan Irma,허리케인 어마
TER Auvergne-Rhône-Alpes,TER 오베르뉴-론-알프
Mer des Caraïbes,카리브해
Cognac (eau-de-vie),코냑
Pandémie de Covid-19 en France,프랑스의 코로나19 범유행
Pandémie de Covid-19 à Wallis-et-Futuna,왈리스 푸투나의 코로나19 범유행
Marne (département),마른주
Haute-Marne,오트마른주
Jeux olympiques d'été de 1924,1924년 하계 올림픽
Carcassonne,카르카손
Championnat de France de rugby à XV,톱 14
Côtes-d'Armor,코트다르모르주
Musée du Louvre,루브르 박물관
ISO 3166-2:FR,ISO 3166-2:FR
Le Mont-Saint-Michel,몽생미셸섬
Meurthe-et-Moselle,뫼르테모젤
Savoie (département),사부아 (데파르트망)
Championnat de France de football 2022-2023,리그 1 2022-23
Catalogne nord,북카탈루냐
Var (département),바르 (데파르트망)
Débarquement de Normandie,노르망디 상륙
Basse-Normandie,바스노르망디
Guadeloupe,과들루프
Périgueux,페리괴
Petit Trianon,프티 트리아농
Station spatiale internationale,국제우주정거장
Eure (département),외르
Valence (Drôme),발랑스
Mer de Ligurie,리구리아해
Diamant (fusée),디아망
Bonaparte franchissant le Grand-Saint-Bernard,생베르나르 고개의 나폴레옹
Coupe du monde de rugby à XV 2007,2007년 럭비 월드컵
Triple saut sans élan aux Jeux olympiques de 1900,1900년 하계 올림픽 육상 남자 제자리세단뛰기
TGV,TGV
Hauts-de-Seine,오드센주
Francoprovençal,프랑코프로방스어
Aéroport de Saint-Pierre-Pierrefonds,피에르퐁 공항
Forbach,포르바크
.pf (domaine),.pf
La Liberté guidant le peuple,민중을 이끄는 자유의 여신
Économie de la France,프랑스의 경제
Païta,파이타
Pyrénées,피레네산맥
Pyrénées-Atlantiques,피레네자틀랑티크주
Péninsule Ibérique,이베리아반도
Bretagne,브르타뉴반도
Rhin,라인강
Bourgogne (ancienne région administrative),부르고뉴 (옛 행정 구역)
Aéroport de Lyon-Saint-Exupéry,리옹 생텍쥐페리 공항
Gare de Lyon-Part-Dieu,리옹-파듀역
Aérospatiale AS565 Panther,유로콥터 AS565 팬서
Sud-Aviation SA365 Dauphin,유로콥터 AS365 도팽
Angers,앙제
Clermont-Ferrand,클레르몽페랑
École centrale de Lyon,에콜 상트랄 리옹
Ambutrix,앙뷔트릭스
Îles Kerguelen,케르겔렌 제도
Breton,브르타뉴어
Royan,루아양
Veolia Transport,베올레아 교통
Vitry-sur-Seine,비트리쉬르센
Bretagne (région administrative),브르타뉴
Mer de Corail,산호해
Haute-Garonne,오트가론주
Seine,센강
Picard,피카르디어
Saint-Brieuc,생브리외
La Marseillaise,프랑스의 국가
Corse,코르시카
Ligne 7 du métro de Paris,파리 메트로 7호선
Ligne 8 du métro de Paris,파리 메트로 8호선
Cathédrale Notre-Dame de Paris,노트르담 대성당
Hautes-Alpes,오트잘프주
Essonne (département),에손
Flandre française,플랑드르프랑세즈
Région française,프랑스의 레지옹
Dreux,드뢰
Rue de Rivoli,뤼드리볼리
Airbus Helicopters,에어버스 헬리콥터
Sarre (rivière),자르강
Reporters sans frontières,국경 없는 기자회
Art déco,아르 데코
Cathédrale Notre-Dame de Chartres,샤르트르 대성당
Cinémathèque française,시네마테크 프랑세즈
Châtillon-en-Michaille,샤티용앙미셰유
Traité de Sèvres,세브르 조약
Nouvelle-Calédonie,누벨칼레도니
Gustavia (Saint-Barthélemy),귀스타비아
Mélanésie,멜라네시아
Australasie,오스트랄라시아
Schneider Electric,슈나이더 일렉트릭
Pays basque français,프랑스령 바스크
Groix,그루아섬
JCDecaux,제이씨데코
Anjou,앙주
Charente (fleuve),샤랑트강
Saint-Martin (Antilles françaises),생마르탱
Chantilly,샹티이
Senlis (Oise),상리스
Pénestin,페내스탱
Villejuif,빌쥐프
Auvergne (ancienne région administrative),오베르뉴
Camembert (fromage),카망베르 (치즈)
400 mètres haies masculin aux Jeux olympiques de 1900,1900년 하계 올림픽 육상 남자 400m 허들
Turckheim,튀르켐
10e arrondissement de Paris,파리 10구
11e arrondissement de Paris,파리 11구
Calendrier républicain,프랑스 혁명력
Formula One Group,포뮬러 원 그룹
Blois,블루아
Résistance intérieure française,레지스탕스
Canton français,프랑스의 캉통
Castres,카스트르 (타른주)
Triple saut masculin aux Jeux olympiques de 1900,1900년 하계 올림픽 육상 남자 세단뛰기
Massif du Jura,쥐라산맥
Axa,AXA
Basse-Terre,바스테르 (과들루프)
Albanais (peuple),알바니아인
Expresso,에스프레소
Renault F1 Team,르노 F1
Béziers,베지에
Mâcon,마콩
Édit de Nantes,낭트 칙령
Livry-Gargan,리브리가르강
Cathédrale Notre-Dame de Reims,랭스 대성당
13e régiment de dragons parachutistes,제13낙하산용기병연대
Pencran,펜크란
Lys (affluent de l'Escaut),레이어강
Sporting Club de Bastia,SC 바스티아
Lunéville,뤼네빌
Plateau des Guyanes,기아나 고지
Deauville,도빌
Le Mans Football Club,르망 FC
La Boisse,라부아스
Loos (Nord),로스 (노르주)
La Roche-sur-Yon,라로슈쉬르용
Rambouillet,랑부예
Mende,망드
Marigot (Saint-Martin),마리고
Réseau express régional d'Île-de-France,일드프랑스 RER
Arche de la Défense,신개선문
Uzès,위제스
Saint-Chamond,생샤몽
Villepinte (Seine-Saint-Denis),빌팽트 (센생드니주)
Liste des communes de l'Ariège,아리에주주의 코뮌 목록
La Garde (Var),라가르드
Aranc,아랑 (코뮌)
Armix,아르믹스
Ligne Hindenburg,힌덴부르크선
Académie Julian,줄리안느 아카데미
Air Tahiti Nui,에어 타히티 누이
Air Caraïbes,에어 카라이브
Air Guyane Express,에어 기아나 익스프레스
Air Inter,에어 인터
Château d'Amboise,앙부아즈성
Ambérieux-en-Dombes,앙베리외앙동브
Carhaix-Plouguer,카레플루게르
Apremont (Ain),아프르몽 (앵주)
Asnières-sur-Seine,아니에르쉬르센
Hôtel des Invalides,앵발리드
Équipe de Nouvelle-Calédonie de football,누벨칼레도니 축구 국가대표팀
Le Creusot,르크뢰조
La Valette-du-Var,라발레트뒤바르
Sotteville-lès-Rouen,소트빌르루앙
Abbaye de Saint-Germain-des-Prés,생제르맹데프레 수도원
2e division blindée (France),제2기갑사단 (프랑스)
Candide,캉디드
Abondance (fromage),아봉당스 (치즈)
Quartier latin (Paris),카르티에 라탱
Route européenne 40,유럽 고속도로 40호선
Conques,콩크
Yerres,이에르 (에손주)
La Trinité (Alpes-Maritimes),라트리니테 (알프마리팀주)
Métro de Rennes,렌 메트로
Institut français,프랑스 문화원
Ceyzérieu,세제리외
Vendôme,방돔
École des Annales,아날학파
Cham (peuple),참족
Institut de France,프랑스 학술원
Saint-Laurent-du-Var,생로랑뒤바르
Athlétic Club arlésien,AC 아를 아비뇽
La Ciotat,라시오타
Plougonvelin,플루공블랭
Manosque,마노스크
Liste des communes de l'Ardèche,아르데슈주의 코뮌 목록
Équipe de Saint-Martin de football,생마르탱 축구 국가대표팀
Groupe des Écoles centrales,상트랄 대학원 연합
Course à la mer,바다로의 경주
Saint-Pierre (La Réunion),생피에르 (레위니옹)
Villiers-sur-Marne,빌리에쉬르마른
Kourou,쿠루 (프랑스령 기아나)
Quick (restauration),퀵 (음식점)
Prix Goncourt,공쿠르상
Guingamp,갱강
Dinan,디낭 (프랑스)
Mérignac (Gironde),메리냐크
Vitrolles (Bouches-du-Rhône),비트롤 (부슈뒤론주)
Bouches de Bonifacio,보니파시오 해협
Sèvres,세브르
Saint-Omer (Pas-de-Calais),생토메르
Saint-Paul-de-Vence,생폴드방스
Sartrouville,사르트루빌
Batasuna,바타수나
Charix,샤릭스
Camargue,카마르그
Gennevilliers,젠빌리에
Aéroport de Paris-Orly,파리 오를리 공항
Pays catalans,카탈루냐어권
Thonon Évian Grand Genève Football Club,토농 에비앙 FC
Ingouches,인구시인
Équipe de Tahiti de football,타히티 축구 국가대표팀
Équitation aux Jeux olympiques de 1900,1900년 하계 올림픽 승마
Fos-sur-Mer,포쉬르메르
Liste des communes de la Haute-Savoie,오트사부아주의 코뮌 목록
LVMH - Moët Hennessy Louis Vuitton,LVMH
Roman de Renart,여우 이야기
Tableau des médailles des Jeux olympiques de 1900,1900년 하계 올림픽 메달 집계
Club des feuillants,푀양파
Festival de Cannes 2011,2011년 칸 영화제
Prix de la mise en scène du Festival de Cannes,칸 영화제 감독상
Bonnes pratiques de laboratoire,우수실험실관리기준
Élections législatives françaises de 1846,1846년 프랑스 총선
Élections régionales françaises de 2004,2004년 프랑스 레지옹 선거
Festival de Cannes 1963,1963년 칸 영화제
Boulevard Saint-Germain,생제르맹 거리
Château de Chaumont-sur-Loire,쇼몽성
Volvic,볼빅
Boyeux-Saint-Jérôme,보이외생제롬
Bonapartisme,보나파르트주의
Bonneuil-sur-Marne,봉뇌유쉬르마른
Arrondissement de Nantua,낭튀아 아롱디스망
Roissy-en-France,루아시앙프랑스
Accords de paix de Paris,파리 평화 협정
Canton de Miribel,미리벨 캉통
Cité du train,뮐루즈 기차 박물관
Livre française,프랑스 리브르
Aéroport de Carcassonne-Salvaza,카르카손 공항
Fnac,프낙
Rue de Tilsitt,틸싯 드 루
Championnat de France de football 2010-2011,리그 1 2010-11
Organisation juridictionnelle en France,프랑스의 사법부
Festival de Cannes 1954,1954년 칸 영화제
Saint-Georges (Guyane),생조르주 (프랑스령 기아나)
Milice française,프랑스 민병대
Croquet aux Jeux olympiques,1900년 하계 올림픽 크로케
Point de vue du Gras,그라의 창문에서 바라본 조망
Union paneuropéenne internationale,국제 범유럽 연합
Aérodrome de Miquelon,미클롱 공항
Liste des cantons de Vaucluse,보클뤼즈주의 캉통
Conseil international des musées,국제박물관협의회
Arrondissement municipal (France),시급 아롱디스망
Festival de Cannes 1968,1968년 칸 영화제
Festival de Cannes 1972,1972년 칸 영화제
Alliance française,알리앙스 프랑세즈
Festival de Cannes 1978,1978년 칸 영화제
Tomblaine,통블렌
George V (métro de Paris),조르주 생크역
Musée Carnavalet,카르나발레 박물관
Parlement français,프랑스 의회
Aéroport de Mayotte-Marcel-Henry,자우지 파만지 국제공항
Cimetière de Montmartre,몽마르트르 묘지
Opération Cycle,사이클 작전
Église catholique en France,프랑스의 로마 가톨릭교회
Élections législatives françaises de 1924,1924년 프랑스 총선
Autoroute A15 (France),오토루트 15호선
Autoroute A50 (France),오토루트 50호선
Bic (entreprise),Bic (기업)
Siège de Paris (885-887),파리 공방전 (885–886년)
Tours Football Club,투르 FC
Cyclisme aux Jeux olympiques de 1900,1900년 하계 올림픽 사이클
1er régiment de hussards parachutistes,제1낙하산검기병연대
Château de Tiffauges,티포주성
Commissariat à l'énergie atomique et aux énergies alternatives,프랑스 원자력 및 대체에너지 위원회
Troupes coloniales,프랑스 식민군
Élections législatives françaises de 1820,1820년 프랑스 총선
Cour de cassation (France),파기원
Bureau international des expositions,국제박람회기구
Lutte ouvrière,노동자 투쟁
Brit Air,브리트 에어
Villa Savoye,빌라 사부아
Élections législatives françaises de 1830,1830년 프랑스 총선
Chaource (fromage),샤우르스 (치즈)
Capgemini,캡제미니
Landes océaniques du Sud d'Avalon et de Burin,남애벌론-부린 해양성 척박지
Chaleins,샬렝
Chavannes-sur-Reyssouze,샤반쉬르레수즈
Bourg-Saint-Christophe,부르생크리스토프
Cintheaux,생토
Égyptiens,이집트인
Aéroport international de Tahiti-Faaa,파아아 국제공항
Canal de Craponne,크라폰느 운하
Garde nationale (France),국민위병
Liste des personnalités de la Révolution française,프랑스 혁명 관련 인물 목록
La Madeleine (Nord),라마들렌
Raiatea,라이아테아섬
Bataille de la Marne (1918),제2차 마른강 전투
Château d'Oiron,와롱성
Élections cantonales françaises de 1979,1979년 프랑스 캉통 선거
Combiné nordique aux Jeux olympiques de 1924,1924년 동계 올림픽 노르딕복합
Cohabitation (politique),동거 정부
Bataille d'Amiens (1918),아미앵 전투
Bataille d'Arras (1914),아라스 전투 (1914년)
Bataille du 13 prairial an II,영광스러운 6월 1일
Festival de Cannes 2000,2000년 칸 영화제
Qualification pour la Coupe du monde 1998 : zone Amérique du Sud,1998년 FIFA 월드컵 남미 지역 예선
Villa Arson,빌라 아르송
Festival de Cannes 1967,1967년 칸 영화제
Les Enfants de Don Quichotte,돈키호테의 아이들
Sporting Club de Toulon,SC 툴롱
Championnat d'Europe de football espoirs 1994,1994년 UEFA U-21 축구 선수권 대회
Palais du Louvre,루브르궁
Archidiocèse de Toulouse,가톨릭 툴루즈 대교구
Aéroport de Tours-Val de Loire,투르 발 드 루아르 공항
Massy (Saône-et-Loire),마시 (손에루아르주)
Liste des arrondissements de France,프랑스의 아롱디스망 목록
École spéciale militaire de Saint-Cyr,생시르 사관학교
Cathédrale Sainte-Croix d'Orléans,오를레앙 대성당
Pont Charles-de-Gaulle (Paris),샤를 드골 다리
Garde impériale (Premier Empire),제국친위대
France Télévisions,프랑스 텔레비지옹
Aéroport de Strasbourg-Entzheim,스트라스부르 공항
Enragés,앙라제
Métro de Toulouse,툴루즈 메트로
Route européenne 9,유럽 고속도로 09호선
Palais de Tokyo,팔레 드 토쿄
Championnat de France de baseball,디비시옹 엘리트
Livarot (fromage),리바로 (치즈)
Équipe mixte aux Jeux olympiques de 1900,1900년 하계 올림픽 혼성 선수단
France aux Jeux olympiques de 1900,1900년 하계 올림픽 프랑스 선수단
Élections législatives françaises de 1837,1837년 프랑스 총선
ESports World Convention,E스포츠 월드컵
Section française de l'Internationale ouvrière,노동자 인터내셔널 프랑스 지부
Institut national des langues et civilisations orientales,국립동양언어문화대학
Pirates of the Caribbean,캐리비안의 해적 (놀이기구)
Élections législatives françaises de 1877,1877년 프랑스 총선
165e méridien est,동경 165도
Crise du 16 mai 1877,1877년 5월 16일 헌정위기
Démographie de Mayotte,마요트의 인구
Protectorat français de Tunisie,프랑스령 튀니지
Bostik,보스틱
Élections législatives françaises de 1842,1842년 프랑스 총선
Élections législatives françaises de 1956,1956년 프랑스 총선
Infogrames Entertainment,인포그램즈
Route européenne 602,유럽 고속도로 602호선
Longchamp (entreprise),롱샴
Lycée Henri-IV,리세 앙리카트르
Royal Canin,로얄캐닌
Route européenne 606,유럽 고속도로 606호선
Stade Pierre-Mauroy,스타드 피에르 모루아
Comité national olympique et sportif français,프랑스 국가 올림픽 체육 위원회
Saint-Louis (La Réunion),생루이 (레위니옹)
Liste des cantons du Calvados,칼바도스주의 캉통
Liste des cantons du Gers,제르주의 캉통
Heuliez Bus,율리에즈 버스
Mobipocket.com,모비포켓
Peste de Marseille (1720),마르세유 대역병
École nationale supérieure d'arts et métiers,국립고등공예학교
The Twilight Zone Tower of Terror,트와일라이트 존 타워 오브 테러
Effectif des équipes à la Coupe du monde de football 1998,1998년 FIFA 월드컵 선수 명단
Noblesse de robe,법복귀족
Université d'Aix-Marseille,엑스 마르세유 대학교
Élections législatives françaises de 1978,1978년 프랑스 총선
Université de France,프랑스 대학교
École nationale supérieure des mines de Saint-Étienne,생테티엔 국립고등광업학교
Élections cantonales françaises de 1961,1961년 프랑스 캉통 선거
Élections cantonales françaises de 1967,1967년 프랑스 캉통 선거
La Cinq,라 생크
Théâtre des Cérémonies,테아트르 데 세레모니
Ligue d'extrême droite,극우동맹
Livre officiel des origines félines,고양이 공식 품종 기록 서적
Lycée international de Los Angeles,로스앤젤레스 국제학교
Sapeurs-pompiers (France),프랑스의 소방
Troupes de marine,프랑스 해병대
Goyard,고야드
Kremlin-Bicêtre futsal,크레믈랭비세트르 유나이티드
Relations entre la France et la Grèce,그리스-프랑스 관계
Relations entre les États-Unis et la France,미국-프랑스 관계
Agence française de développement,프랑스 개발청
Relations entre la France et Singapour,싱가포르-프랑스 관계
France aux Jeux olympiques intercalaires de 1906,1906년 중간 올림픽 프랑스 선수단
Alternative libertaire (France),알테르나티브 리베르테르
Coupe du monde féminine de football des moins de 20 ans 2018,2018년 FIFA U-20 여자 월드컵
Championnat de France de football 2015-2016,리그 1 2015-16
Groupe A du Championnat d'Europe de football 2016,UEFA 유로 2016 A조
Groupe D du Championnat d'Europe de football 2016,UEFA 유로 2016 D조
Groupe F du Championnat d'Europe de football 2016,UEFA 유로 2016 F조
Diaspora ukrainienne en France,우크라이나계 프랑스인
Attentat de Saint-Quentin-Fallavier,생캉탱팔라비에 공격
Eurosport,유로스포츠
Élection présidentielle française de 2022,2022년 프랑스 대통령 선거
Attentat du 20 avril 2017 sur l'avenue des Champs-Élysées à Paris,2017년 파리 총격 사건
Saint-Germain-en-Laye,생제르맹앙레
Château de Montsoreau - musée d'Art contemporain,몽소로성 현대미술관
BMW M8 GTE,BMW M8 GTE
Festival de Cannes 2020,2020년 칸 영화제
Pandémie de Covid-19 à La Réunion,레위니옹의 코로나19 범유행
Pandémie de Covid-19 en Polynésie française,프랑스령 폴리네시아의 코로나19 범유행
Association sportive Nancy-Lorraine,AS 낭시
Grandes Jorasses,그랑드조라스
Association sportive de Saint-Étienne,AS 생테티엔
Aveyron (département),아베롱 (데파르트망)
Avignon,아비뇽
Sites palafittiques préhistoriques autour des Alpes,알프스 주변의 선사시대 말뚝 주거지
Gascon,가스코뉴 방언
.gp,.gp
.re,.re
Nouvelle Union populaire écologique et sociale,신민중생태사회연합
Aquitaine (ancienne région administrative),아키텐
Cognac (Charente),코냐크
Grenoble,그르노블
Alsace,알자스
Limousin (ancienne région administrative),리무쟁
Néerlandais,네덜란드어
Basque,바스크어
Haute-Saône,오트손주
Pot-au-feu,포토푀
Pyrénées-Orientales,피레네조리앙탈주
Bron,브롱
Loire-Atlantique,루아라틀랑티크
Doubs (département),두 (데파르트망)
Troyes,트루아
Calais,칼레
Toulouse,툴루즈
Doubs (rivière),두강
Libération (journal),리베라시옹
Provence-Alpes-Côte d'Azur,프로방스알프코트다쥐르
Stade rennais Football Club,스타드 렌 FC
Festival de Cannes 2022,2022년 칸 영화제
France Inter,프랑스 앵테르
Seine-Maritime,센마리팀주
Yvelines,이블린주
Finistère,피니스테르주
Centre-Val de Loire,상트르발드루아르
Occitan,오크어
Euro,유로
France aux Jeux olympiques d'été de 2012,2012년 하계 올림픽 프랑스 선수단
Munster (Haut-Rhin),묑스테르
Rouffach,루파크
Famille Rothschild,로스차일드가
Cherbourg-Octeville,셰르부르옥트빌
Val-d'Oise,발두아즈주
Oullins,울랭
Théâtre national populaire,프랑스 국립민중극장
Sarreguemines,사르그민
Jour du Souvenir,영령 기념일
Sélestat,셀레스타
Rouen,루앙
Association mondiale anationale,세계무민족성협회
Bichelamar,비슬라마
Wallis-et-Futuna,왈리스 푸투나
Escaut,스헬더강
Meuse (fleuve),뫼즈강
Haut allemand,고지 독일어
Neuilly-sur-Seine,뇌이쉬르센
Beynost,베노
Biscuit à la cuillère,사보이아르디
Nord-Pas-de-Calais,노르파드칼레
Languedoc-Roussillon,랑그도크루시용
Astérix,아스테릭스
Saint-Étienne,생테티엔
