Maryse Bastié,마리즈 바스티에
Michel Camdessus,미셸 캉드쉬
Olivier Assayas,올리비에 아사야스
Jean Vincent,장 뱅상
Jean-Claude Carrière,장클로드 카리에르
Claire Guyot,클레어 귀 요트
Léo Taxil,레오 탁실
Caran d'Ache,까렌다쉬 (인물)
Jean-Paul Laurens,장폴 로랑
Bernard-Nicolas Aubertin,베르나르니콜라 오베르탱
Frantz Reichel,프랑츠 레셸
René Bliard,르네 블리아르
Robert-François Damiens,로베르 프랑수아 다미앵
Patrick Dewaere,티에리 프레몬트
Philippe Candeloro,필리프 캉델로로
Vladimir Jankélévitch,블라디미르 장켈레비치
Alain Madelin,알랭 마들랭
Claude Abbes,클로드 아베스
Thomas Dossevi,토마 도세비
Édouard Riou,에두아르 리우
Christian Ferras,크리스티앙 페라스
Marcel Alexandre Bertrand,마르셀 알렉상드르 베르트랑
Robert Herbin,로베르 에르뱅
Leone Strozzi,레오네 스트로치
Pierre Soulages,피에르 술라주
Henri Brincard,앙리 브랭카르
Michel Wieviorka,미셸 위비오르카
Jean Roger-Ducasse,장 로제뒤카스
Charles-Louis Hanon,샤를 루이 아농
Félix de Valois,발루아의 성 펠릭스
Georges d'Amboise,조르주 당부아즈
Charles de France,샤를 드 프랑스
Georges Leygues,조르주 레이그
Roger Piantoni,로제 피앙토니
Jean-Léonard-Marie Poiseuille,장레오나르마리 푸아죄유
Robert Jonquet,로베르 종케
Jean-Luc Lagarce,장뤼크 라가르스
Raymond Bellot,레몽 벨로
Antoine Barnave,앙투안 바르나브
Léon Heuzey,레옹 외제
Jean Goujon,장 구종
Jean Hélion,장 엘리옹
Stephen Heller,스테판 헬러
Célestin Bouglé,셀레스탱 부글레
François Lelord,프랑소아 를로르
François Certain de Canrobert,프랑수아 세르탱 드 캉로베르
Jean Langlais,장 랑글레
William Karel,윌리엄 카렐
Chrétien Guillaume de Lamoignon de Malesherbes,크레티앵 기욤 드 라무아뇽 드 말제르브
Jean Templin,장 탕플랭
Charles Le Gendre,샤를 르 장드르
Achille Devéria,아실 드베리아
Pierre Assouline,피에르 아술린
Maurice de Guérin,모리스 드 게랭
Nicolas Chopin,니콜라 쇼팽
Claude Haut,클로드 오
Valentin Conrart,발랑탱 콩라르
Ferdinand Brunetière,페르디낭 브륀티에르
Laurent Mauvignier,로랑 모비니에
Jean-Paul Rappeneau,장폴 라프노
Paul Scarron,폴 스카롱
Pierre Balmain,피에르 발망
Jean de La Varende,장 드 라바랑드
Guy Delhumeau,기 델위모
Pierre-François-Léonard Fontaine,피에르프랑수아레오나르 퐁텐
Nicolas Frey,니콜라 프레
Francis Ponge,프랑시스 퐁주
Joseph Joubert,조제프 주베르
Jean-Victor Augagneur,빅토르 오가뇌르
Ferdinand Arnodin,페르디낭 아르노댕
Jean-Marc Barr,장마르크 바
Antoine-Léonard Chézy,앙투안레오나르 드 셰지
Antoine-Vincent Arnault,앙투안 뱅상 아르노
Pierre Collet,피에르 콜레
Benjamin Millepied,벤자민 밀피에드
Antoine Coypel,앙투안 쿠아펠
Henri Chapu,앙리 샤퓌
Raymond Léopold Bruckberger,레이몬드 레오폴드 브루크버거
Marine Lorphelin,마린 로르플랭
Louis de Luxembourg-Saint-Pol,루이 드 뤽상부르
Antoine Dénériaz,앙투안 데네리아즈
Jules Jamin,쥘 자맹
Philippe Barbarin,필리프 바르바랭
Jacques Zimako,자크 지마코
Jacques Bertillon,자크 베르티용
"Luc de Clapiers, marquis de Vauvenargues",뤽 드 클라피에르 보브나르그
Ladislas Starewitch,라디슬라스 스타레비치
Edgar Quinet,에드가 키네
Félix Duban,펠릭스 뒤방
Antoine-François Marmontel,앙투안프랑수아 마르몽텔
René Rémond,르네 레몽
Jean-Paul Rostagni,장폴 로스타니
Mathieu Béda,마티외 베다
Jacques Doillon,자크 두아용
Christophe Honoré,크리스토프 오노레
Claude-Michel Schönberg,클로드 미셸 쇤베르그
Jean Honoré,장 마르셀 오노레
Francis Girod,프란시스 지로드
Cyrille Thouvenin,시릴 투베냉
Jean-Michel Larqué,장미셸 라르케
Jean-François Jodar,장프랑수아 조다르
Jacques Lacarrière,자크 라카리에르
Pierre Benoit,피에르 브누아
Albert Cossery,알베르 코세리
Roger Peyrefitte,로제 페르피트
Antoine Duléry,앙투안 뒬레리
Antoine Guillemet,앙투안 기유메
Daniel Hechter,다니엘 에스테
Jacques Bertin,자크 베르탱
Jean-Louis Bourlanges,장루이 부를랑주
Xavier Huillard,그자비에 위야르
Jacky Ido,재키 이도
Edmond Decottignies,에드몬드 데코티그니에스
Michel de L'Hospital,미셸 드 로피탈
Benoît Hamon,브누아 아몽
Benoît Jacquot,브누아 자코
Lola Naymark,롤라 네마르크
Carine Roitfeld,카린 로이펠트
François Catonné,프랑수아 카토네
Pierre Eyt,피에르 에이트
Hans Hartung,앙스 아르퉁
Oscar Cullmann,오스카 쿨만
Matthieu Ricard,마티외 리카르
Nikolai Kinski,니콜라이 킨스키
Antoine Godeau,앙투안 고도
Léon-Adolphe Amette,레옹아돌프 아메트
Alexis Weissenberg,알렉시스 바이센베르크
Jean-François Raffaëlli,장 프랑수아 라파엘리
Charles de Rohan-Soubise,수비즈 공 샤를 드 로앙
Mathieu Faivre,마티외 페브르
Thierry Ardisson,티에리 아르디송
Jean-Baptiste Jouvenet,장 주브네
François Girardon,프란소이스 지라르돈
Benoît Costil,브누아 코스틸
Bernard Moitessier,베르나르 무아테시에
Nicolas Edme Restif de La Bretonne,레티프 드 라 브르통느
Charles Vildrac,샤를 빌드라크
Charles-Louis Philippe,샤를루이 필리프
Pierre Arpaillange,피에르 아르파양주
Antoine Vollon,앙투안 볼롱
Gustave Lanson,귀스타브 랑송
Guillaume Musso,기욤 뮈소
Antoine Kombouaré,앙투안 콩부아레
John Theophilus Desaguliers,존 데사굴리에
Bernard-René Jordan de Launay,베르나르르네 드 뢰네
Bernard Alane,버나드 알랭
Bernard Accoyer,베르나르 아쿠아예
Claude-Prosper Jolyot de Crébillon,클로드 프로스페르 졸리오 드 크레비용
Philippe Corentin,필립보 코랑탱
Franciscus Junius,프란시스쿠스 유니우스 (아버지)
Ernest Doudart de Lagrée,두다르 드 라그레
Michel Brusseaux,미셸 브뤼소
Daniel-Rops,다니엘롭스
Alain Sarde,알랭 사르드
Bernard Campan,베르나르 캄팡
Jacques Barzun,자크 바전
Myriam Boyer,미리암 부아예
Jemima West,제미마 웨스트
Jean-Christophe Rufin,장크리스토프 뤼팽
Edmond-Charles Genêt,에드몽샤를 주네
René-Jean Jacquet,르네장 자케
Charles Angélique François Huchet de La Bédoyère,샤를 드 라 베도예
Antoine Rigaudeau,앙투안 리고도
Charles-Simon Catel,샤를시몽 카텔
Esmeralda,에스메랄다
Jacques Dutronc,자크 뒤트롱
Jean Zay,장 제
Lionel Terray,리오넬 테레
Emmanuel Todd,에마뉘엘 토드
Michel Sapin,미셸 사팽
Jean Grenier,장 그르니에
Emmanuel Carrère,에마뉘엘 카레르
Mathieu Crepel,마티외 크레펠
Marcel Moyse,마르첼 모이즈
Philippe Verdelot,필리프 베르들로
Claude de Forbin Gardane,클로드 드 포르뱅
Bernard Stasi,베르나르 스타지
Marie d'Angleterre,프랑스 왕비 메리 튜더
Georges Florovsky,게오르기 플로롭스키
Piotr Świerczewski,표토르 시비에르체프스키
Daniel Gélin,다니엘 젤랭
Bernard Farcy,베르나르 파시
Lucien Bossoutrot,뤼시앵 보수트로
Bernard Friot,베르나르 프리오
Fabrice Abriel,파브리스 아브리엘
Max Gradel,막스 그라델
Alfred Manessier,알프레드 마네시에
Bernard Plantevelue,베르나르 플랑타뷜리
Bernard Reynès,베르나르 레네스
Bernard d'Espagnat,베르나르 데스파냐
Thibaut Fauconnet,티보 포코네
Guillaume Nicloux,기욤 니클루
François Paul de Brueys d'Aigalliers,프랑수아 폴 드 브뤼에
Pascal Dagnan-Bouveret,파스칼 다냥부브레
Bernard Tissier de Mallerais,베르나르 티시에 드 마예레
Jean Dutourd,장 뒤투르
Numa Andoire,뉘마 앙두아르
Henri II de Montmorency,앙리 2세 드 몽모랑시
Bernard Pardo,베르나르 파르도
Rémi Brague,레미 브라그
Alexandre Villaplane,알렉상드르 빌라플랑
Jean Dorat,장 도라
Camille Mauclair,카미유 모클레르
Laurent Bourgnon,로랑 부르뇽
Caza,카자
Camille Lacourt,카미유 라쿠르
Jean-Philippe Durand,장필리프 뒤랑
Henri Wallon,앙리 왈롱
François Baroin,프랑수아 바루앵
Philippe Chatrier,필리프 샤트리에
Manuel Ferrara,마뉴엘 페라라
Jean Antoine Verdier,장앙투안 베르디에
Thomas Gomart,토마 고마르
Charles Hugo,샤를 위고
Georges Lefebvre,조르주 르페브르
Louis-Claude Richard,루이 클로드 리샤르
Eran Zahavi,에란 자하비
Marc-Antoine Mathieu,마르크앙투안 마티외
Émile Gagnan,에밀 가냥
Paul Appell,폴 아펠
Louis Léopold Boilly,루이레오폴 부알리
Johan Audel,요한 오델
Antoine Devaux,앙투안 드보
Rémy Cabella,레미 카벨라
Michel Béroff,미셸 베로프
Robert-Joseph Pothier,로베르 조제프 포티에
Rémi Laurent,레미 로랑
Bruno Coulais,브뤼노 쿨레
Pierre Daix,피에르 데
Jean Messagier,장 메사지에
Charles d'Éon de Beaumont,슈발리에 데옹
Jacques Fouroux,자크 푸루
Artur Avila,아르투르 아빌라
Jean-Baptiste Oudry,장 밥티스트 오드리
Lionnel Luca,리오넬 뤼카
Clara Dupont-Monod,클라라 뒤퐁모노
Christophe Rocancourt,크리스토프 로캉쿠르
Leos Carax,레오 카락스
Lamine Gassama,라민 가사마
Christian Streiff,크리스티앙 스트레프
Mathieu Louis-Jean,마티외 루이장
Jean-Pierre Chevènement,장피에르 슈벤망
Réjane,가브리엘 레잔
François-Louis Bourdon,프랑수아 루이 부르동
Jules Violle,쥘 비올
Charles-Amarin Brand,샤를아마랭 브랑
Henri Laurens,앙리 로랑스
Richard Dutruel,리샤르 뒤트뤼엘
Marie-Georges Picquart,조르주 피카르
Carlos,이방크리소스토메 돌토
Georges Pontier,조르주 퐁티에
Brigitte Fouré,브리지트 푸레
Nicole Croisille,니콜 크루아실
Gabriel Piguet,가브리엘 피게
Georges Mathieu,조르주 마티외
Michel Lotito,미셸 로티토
Jean-Loup Dabadie,장루 다바디
Mickaël Madar,미카엘 마다르
Jean-Marc Ferreri,장마르크 페레리
Robert de Montesquiou,로베르 드 몽테스키우
Henri Brisson,앙리 브리송
Francis Blanche,프랑시스 블랑슈
commissaire Maigret,쥘 메그레
Georges Migot,조르주 미고
Théodore Steeg,테오도르 스테그
Anne Boquet,안 보케
Mosimann,쿠엔틴 모시만
Henri-Joseph Paixhans,앙리 조세프 펙상
Nicolas Zourabichvili,니콜라 주라비슈빌리
Jean Couzy,장 쿠지
François Billetdoux,프랑수아 비에두
Jean-Claude Bourret,장클로드 부레
Joseph Joffo,조제프 조포
Robert Guédiguian,로베르 게디기앙
Ferdinand Sarrien,페르디낭 사리앵
Robert Veyron-Lacroix,로베르 베롱라크루아
Daniel Bravo,다니엘 브라보
François Fournier,프랑수아 푸르니에
Pierre Maubant,피에르 모방
Maurice Hamy,모리스 아미
John Scheid,존 셰드
Élie Halévy,엘리 알레뷔
Jean-Claude Gaudin,장클로드 고댕
Alfred Ernout,알프레드 에르누
Naoufal Benazzouz,나오폴 아이언렉
Jean-Pierre Marielle,장 피에르 마리엘
Paul Veyne,폴 벤
René de Goulaine de Laudonnière,르네 굴렌 드 로도니에르
Olivier Dahan,올리비에 다한
Laurent Sagart,로랑 사가르
Nicolas Bedos,니콜라 베도스
Alexis Pinturault,알렉시 팽튀로
François-André Vincent,프랑수아앙드레 뱅상
Jean Baratte,장 바라트
Jean Bouin,장 부앵
Ash Crimson,애쉬 크림존
Bertrand Grospellier,베르트랑 그로스펠리에
Arnaud Assoumani,아르노 아수마니
Brahim Asloum,브라힘 아슬룸
Sourou Migan Apithy,수루 미강 아피티
Armand Salacrou,아르망 살라크루
Fleur Delacour,플뢰르 들라쿠르
Gaspard Dughet,가스파르 뒤게
Christophe Guénot,크리스토프 게노
François Laruelle,프랑수아 라뤼엘
Louis-Robert Carrier-Belleuse,루이로베르 카리에벨뢰즈
Henry Houssaye,앙리 우세
Alain Planet,알랭 플라네
Alphonse Duvernoy,알퐁스 뒤베르누아
François Gény,프랑수아 제니
François Hinard,프랑수아 이나르
Paul Jacoulet,폴 자쿨레
DJ Cam,디제이 캠
Jean-Marie Benjamin,장마리 뱅자맹
Éric Chahi,에리크 샤이
Bernard Blier,베르나르 블리에
Gavroche,가브로슈
Billy Ketkeophomphone,빌리 케트케오폼폰
Thierry Mugler,티에리 뮈글러
Antonin Marmontel,앙토냉 마르몽텔
Didier Agathe,디디에 아가트
Jacques de Trivulce,잔 자코모 트리불치오
Alfred Lemaire,알프레 장 밥티스트 르메르
François Fournier,프랑수아 푸르니에
Jacques Deray,자크 드레
Auguste de Forbin,오귀스트 드 포르뱅
Jean II de Bourbon,장 2세 드 부르봉
Charles Wolf,샤를 볼프
Saphir Taïder,사피르 타이데르
Clémence Saint-Preux,클레망스 상프루
Georges Wilson,조르주 윌송
Zhang Chongren,장충런
Alexandre Lacassagne,알렉상드르 라카사뉴
Grandville,장 이냐스 이지도르 그랑빌
Alphonse Grisel,알퐁스 그리셀
François Bonlieu,프랑수아 봉리외
Théodore Duret,테오도르 뒤레
André Miquel,앙드레 미켈
Léon-Paul Fargue,레옹폴 파르그
Henri Chomette,앙리 쇼메트
Cyrille Pouget,시릴 푸제
Szolem Mandelbrojt,숄렘 만델브로이트
Roland Brival,롤랑 브리발
Brahim Lahlafi,브라힘 라흘라피
Benoît Zwierzchiewski,브누아 즈비에슈히에프스키
Ibrahima Traoré,이브라히마 트라오레
Vincent Elbaz,뱅상 엘바즈
Robert Liebknecht,로베르트 리프크네히트
Jean-Bertrand Pontalis,장베르트랑 퐁탈리스
Bernard Zénier,베르나르 제니에
Olivier Girault,올리비에 지로
François Cluzet,프랑수아 클뤼제
Odet de Foix,오데 드 푸아
Jean-Pierre Norblin de La Gourdaine,장피에르 노르블랭 드라구르덴
Armand Maillard,아르망 마야르
Marco de Gastyne,마르코 드 가스틴
Jean-Pierre Haigneré,장피에르 에뉴레
Charles de Batz-Castelmore d'Artagnan,다르타냥
Jean Vilnet,장 빌네
Jean Becquerel,장 베크렐
Henri Gouhier,앙리 구이에
Lazare-Lévy,라자르 레비
Michel Pébereau,미셸 페브로
Serge Marquand,세르주 마르캉
Rigobert Bonne,리고베르 본
Philippe Sarde,필리프 사르드
Georges Marchal,조르주 마르샬
Henri Langlois,앙리 랑글루아
François Caradec,프랑수아 카라데크
Philippe Montanier,필리프 몽타니에
Denis Levaillant,드니 르베양
Jean II d'Anjou,장 2세 드 로렌
Georges Vedel,조르주 베델
Jordan Veretout,조르단 베레투
Frédéric Hanvi,프레데릭 앙비
Didier van Cauwelaert,디디에 반 코블라르트
Armand Augustin Louis de Caulaincourt,아르망 드 콜랭쿠르
Pierre Victurnien Vergniaud,피에르 베르니오
Dominik Moll,도미니크 몰
Gaston Litaize,가스통 리테즈
Jean-Paul Mathieu,장폴 마티외
Samuel Le Bihan,사무엘 르 비앙
Jacques Jouanneau,자크 주아노
Ferdinand Hamelin,페르디낭 아믈랭
Jean-Baptiste Alphonse Dechauffour de Boisduval,장바티스트 부아뒤발
Richard Bohringer,리샤르 보랭제
Christian Estrosi,크리스티앙 에스트로지
Camille Alphonse Faure,카미유 알퐁스 포르
Claude Bolling,클로드 볼링
Jean-Pierre Bacri,장 피에르 바크리
Georges Garnier,조르주 가르니에
Charles V d'Anjou,샤를 5세 당주
Jean-Paul Penin,장폴 페냉
Hugues Tissandier,휴즈 티산 디어
Octave Tassaert,옥타브 타사르트
Ernest Vessiot,에르네스트 베시오
Jacky Hénin,자키 에냉
Henry Padovani,앙리 파도바니
Jacques-François Dugommier,자크 프랑수아 뒤고미에
Jacques Cathelineau,자크 카텔리노
Philippe Rousselot,필리프 루슬로
Pierre-Esprit Radisson,피에르 - 에스프릿 래디슨
Jean-François Clervoy,장프랑수아 클레르부아
Boukary Dramé,부카리 드라메
Alexandre-Olivier Exquemelin,알렉상드르 엑스케멜린
Lindsay Owen-Jones,린지 오언존스
Patrick Balkany,파트리크 발카니
Désiré-Émile Inghelbrecht,데지레-에밀 앵겔브레슈트
Felipe Bigarny,펠리페 비가르니
Yves Allégret,이브 알레그레
Fatou,피에르 파투
Serge Akakpo,세르주 아카크포
Tahar Rahim,타하르 라힘
Henri Dupuy de Lôme,앙리 듀푸이 드 롬
Paul Nizan,폴 니장
Nordine Oubaali,노르딘 우발리
Guillaume Warmuz,기욤 와르뮈즈
Sophie Audouin-Mamikonian,소피 오두앵마미코니앙
Cécilia Cara,세실리아 카라
Nicolas Lebègue,니콜라 르베그
Jean III Clément,장 3세 클레망
Gérard de Vaucouleurs,제라르 드보쿨뢰르
Patrick Mboma,파트리크 음보마
Marika Green,마리카 그린
Ernest Lavisse,에르네스트 라비스
Michel Bouquet,미셀 부케
Marius Jacob,마리우스 쟈코프
Jean-Claude Colotti,장클로드 콜로티
Jean de Sponde,장 드 스퐁드
Marcel Griaule,마르셀 그리올
Audrey Lamy,오드레 라미
Tony Duvert,토니 뒤베르
Charles Pinot Duclos,샤를 피노 뒤클로
Jean Rouaud,장 루오
Damien Gaudin,다미앵 고댕
Ghani Yalouz,가니 얄루즈
Yvan Attal,이반 아탈
Pierre Joliot,피에르 졸리오
Pierre Brasseur,피에르 브라쇠르
Stéphane Ortelli,스테판 오르텔리
Louis-Hyacinthe Bouilhet,루이 야생트 부이예
Michel Maffesoli,미셸 마페졸리
Dirk van Hogendorp,디르크 판 호헨도르프
François-Hubert Drouais,프랑수아 위베르 드루에
Jacky Simon,자크 시몽
Jacques Dixmier,자크 디미에
Jean Ier de Bourbon,장 1세 드 부르봉
Vladislav Khodassevitch,블라디슬라프 호다세비치
Alexandre-Émile Béguyer de Chancourtois,알렉상드르에밀 베기에 드샹쿠르투아
Louis-Camille Maillard,루이 카미유 마이야르
Diana Starkova,다이아나 스타코바
Guillaume-François Rouelle,기욤프랑수아 루엘
Paul de Kock,폴 드코크
Ted Lapidus,테드 레피두스
Alexander Brailowsky,알렉산드르 브라일로프스키
Éleuthère Irénée du Pont de Nemours,엘뢰테르 이레네 뒤퐁
Breakbot,브레이크봇
Joël Bats,조엘 바츠
Jean Girault,장 지로
Roger Hanin,로제 아냉
Fernand Gregh,페르낭 그레그
Geoffrey Kondogbia,조프리 콩도비아
Jacques Doriot,자크 도리오
Mathieu Bastareaud,마티외 바스타로
Alexandre Jardin,알렉상드르 자르댕
Thomas Fanara,토마 파나라
Léonce Rosenberg,레옹스 로젠베르그
Joyce Jonathan,조이스 조나탕
JoeyStarr,조이 스타
Jean Sarkozy,장 사르코지
Georges Goyau,조르주 구아요
Guy Lacombe,기 라콩브
Brice Guyart,브리스 귀야르
Jules Claretie,쥘 클레르티
Brigitte Giraud,브리지트 지로
Jean-Baptiste Marchand,장밥티스트 마르샹
Eugène Demarçay,외젠아나톨 드마르세
Pierre André de Suffren,쉬프랑 드 생 트로페
Dominique Lecourt,도미니크 르쿠르
Didier Raoult,디디에 라울
Grégory Gaultier,그레고리 걸티어
Kad Merad,카드 므라드
Gabriel Hanot,가브리엘 아노
Georg Hackenschmidt,게오르그 하켄슈미트
David Douillet,다비드 두이예
Jean-Baptiste Rey,장바시트스 레
Japhet N'Doram,자페 은도람
Sylvestre-François Lacroix,실베스트르  프랑수아 라크루아
Pierre Brunet,피에르 브뤼네
Maxime Du Camp,막심 뒤 캉
Josef Koudelka,요세프 쿠델카
Raymond Boudon,레몽 부동
Eugène Bozza,외젠 보자
Jean-Pierre Vidal,장피에르 비달
Blaise Diagne,블레즈 디아뉴
Olivier Delaitre,올리비에 들레트르
Joseph Sardou,조제프마리 사르두
Victorin Lurel,빅토랭 뤼렐
Frédéric Oudéa,프레데리크 우데아
Gérard Mestrallet,제라르 메스트랄레
Maurice Farman,모리스 파르망
Déodat de Séverac,데오다 드 세베락
Gustave Boulanger,귀스타브 불랑제
Jean Delsarte,장 델사르트
Mahamat Saleh Haroun,무함마드 살레 아룬
Auguste Duméril,오귀스트 뒤메릴
Auguste Manet,오귀스트 마네
Auguste Maquet,오귀스트 마케
Paul Guillaume,폴 기욤
Thoinot Arbeau,투아노 아르보
Mathieu Demy,마티외 드미
Jean-Richard Bloch,장 리처드 블로흐
Olivier Gruner,올리비에 그루너
Francis Lacassin,프랑시스 라카생
Jean-Paul Rouve,장폴 루브
Simon Pagenaud,시몽 파주노
François Denis Tronchet,프랑수아 드니 트롱셰
Guy Lecluyse,가이 레슈 루세
George du Maurier,조지 듀모리에
Auguste Pomel,오귀스트 포멜
Auguste Ricard de Montferrand,오귀스트 드 몽페랑
Marcel Granet,마르셀 그라네
Jérôme Le Banner,제롬 르 밴너
Émerse Faé,에메르스 파에
Alain Bombard,알랭 봉바르
Charles-Henri Sanson,샤를 앙리 상송
Philippe Beaussant,필리프 보상
Emmanuel Saez,엠마누엘 사에즈
Thomas Piketty,토마 피케티
Paul Montel,폴 몽텔
Jocelyn Quivrin,조셀린 퀴브린
Alfred N'Diaye,알프레드 은디아예
Franck Riboud,프랑크 리부
Laurent Wauquiez,로랑 보키에
Philippe Yacé,필리프 야세
François-Xavier Fabre,프랑수아그자비에 파브르
Michel Marcel Navratil,미셸 마르셀 나브라틸
Alphonse Pénaud,알퐁스 페노
Jean Delumeau,장 들뤼모
Charly Loubet,샤를리 루베
Théophile-Malo de La Tour d'Auvergne-Corret,테오필 코레 드 라투르 도베르뉴
Hippolyte Carnot,이폴리트 카르노
Evry Schatzman,에브리 샤츠만
Jean-Luc Crétier,장뤼크 크레티에
Pierre Lévy,피에르 레비
Yacine Brahimi,야신 브라히미
Philippe Sella,필리프 셀라
Clément Juglar,클레망 쥐글라
Guillaume de Nogaret,기욤 드 노가레
Augustin Chantrel,오귀스탱 샹트렐
Darius Khondji,다리우스 콘쥐
Marc Lavoine,마르크 라부안
Léon Brunschvicg,레옹 브룅스비크
Mathurin Cordier,마튀랭 코르디에
Antoinette de Monaco,마시 남작부인 앙투아네트
Frédéric Hélein,프레데리크 엘랭
Bruno Delbonnel,브뤼노 델보넬
Bruno Julliard,브뤼노 쥘리아르
Régis Wargnier,레지스 바르니에
Foulques du Merle,풀크 뒤 메를
Laurent Binet,로랑 비네
Rudi Garcia,루디 가르시아
Bruno Podalydès,브뤼노 포달리데스
Romain Sardou,로맹 사르두
Paul Dubreil,폴 뒤브레유
François Zourabichvili,프랑수아 주라비슈빌리
Bruno Monsaingeon,브뤼노 몽생종
Bruno Le Maire,브뤼노 르메르
Marcel Mouloudji,마르셀 물루지
Lucien Cuénot,뤼시앵 큐놋
Bruno Nuytten,브루노 뉘뗑
François Leterrier,프랑수아 르테리에
Souleymane Camara,술레만 카마라
Edmond Audran,에드몽 오드랑
Pierre Gadonneix,피에르 가도넥스
Stéphane Mallat,스테판 말라
Olivier Sitruk,올리비에 시트럭
Francis Chapelet,프랑시스 샤플레
Nacer Bouhanni,나세르 부아니
Jean Antoine Nollet,장앙투안 놀레
Jean-Laurent Cochet,장로랑 코셰
Jean Vilar,장 빌라르
Djamel Bouras,자멜 부라
José-Filipe Lima,조제필리프 리마
Alexandre Arcady,알렉상드르 아카디
Nicolas Baudeau,니콜라 보도
Héric de Beaujeu,에릭 드 보주
Ysaora Thibus,이사오라 티뷔
Stéphane Tissot,스테판 티소
Victor Laloux,빅토르 랄루
Daniel Ravier,다니엘 라비에
Christian Lopez,크리스티앙 로페
Fantine,팡틴
Étienne Ier de Troyes,에티엔 1세
Jean-Paul Dubois,장폴 뒤부아
Camille Benoît,카미유 브누아
Joseph Roumanille,조제프 루마니유
Alexandre Tharaud,알렉상드르 타로
Guy Bagnard,기마리 바냐르
Frédéric Esther,프레데리크 에스테르
Henri-René Lenormand,앙리르네 르노르망
Paul Gadenne,폴 가덴
Louise de Bourbon,루이즈 드 부르봉
Georges de Beauregard,조르주 드 보르가르
Camille Pitollet,카미유 피톨레
José Cabanis,조제 카바니스
Charles Mantoux,샤를 망투
Henri Fescourt,앙리 페스쿠르
André Laronde,앙드레 라롱드
Henri Gaudier-Brzeska,앙리 고디에브르제스카
Ernest Pignon-Ernest,에르네스트 피뇽에르네스트
Guillaume Bonnafond,기욤 보나퐁
Julien Bertheau,쥘리앵 베르토
Camille Guérin,카미유 게랭
Camille Montagne,카미유 몽타뉴
Camille Mélinand,카미유 멜리낭
Frédérik X de Danemark,프레데리크 10세
Jean Bastien,장 바스티앵
Nick Valensi,닉 발렌시
Camille Chabaneau,카미유 샤바노
Camille Chevillard,카미유 슈비야르
Marguerite de Lorraine,로렌의 마르그리트
Raphaël Enthoven,라파엘 앙토벤
Camille-Christophe Gerono,카미유-크리스토페 제로노
Pınar Selek,프나르 셀레크
Camille Delthil,카미유 델틸
Virgil Gheorghiu,콘스탄틴 비르질 게오르규
Louis III de Bourbon,루이 드 몽팡시에 공작
Henri Guillaumet,앙리 기요메
Michel Fugain,미셸 퓌갱
Camille-Marie Stamaty,카미유마리 스타마티
Aurélien Barrau,오렐리앵 바로
Francis Méano,프랑시스 메아노
Yannick Borel,야닉 보렐
Louis de France,도팽 루이 페르디낭
Michel Vautrot,미셸 보트로
Philippe da Silva,필리피 다 시우바
Marie Bell,마리 벨
Colin Higgins,콜린 히긴스
Corinne Diacre,코린 디아크르
Sokratis Lagoudakis,소크라티스 라구다키스
Georges de La Nézière,조르주 드 라 네지에르
Gaston Baty,가스통 바티
Jacques Fath,자크 파트
Louis de France,부르고뉴 공작 도팽 루이
Pascal Canfin,파스칼 캉팽
José Garcia,호세 가르시아
Melchisédech Thévenot,멜시세데크 테브노
Stéphane Porato,스테판 포라토
Alain Lamassoure,알랭 라마르수르
Carole Franck,카롤 프랑크
J. Defert,드페르
Jacques Pépin,자크 페팽
Firmin Gémier,피르맹 제미에
Gauthier de Tessières,고티에 드테시에르
Pierre Vaneck,피에르 바네크
François-Antoine Habeneck,프랑수아 아브네크
Eustaquio de Escandón,에우스타키오 데 에스칸돈 이 바론
Julie d'Angennes,쥘리 당주네스
Nicolas Pallois,니콜라 팔루아
Michel Benoist,미셸 베누아
Franck Pourcel,프랑크 푸르셀
Charles Berling,샤를 베를랭
Fernand Foureau,Fernand Foureau
Frère León,프레르 레옹
Casimir Dudevant,카지미르 뒤드방
Pio Marmaï,피오 마르마이
Jean Bernard,장 베르나르
Maurice Jaubert,모리스 조베르
Serge Leclaire,세르쥬 르클레르
Antoine Daveluy,마리니콜라앙투안 다블뤼
Alain Peyrefitte,알랭 페르피트
Alexandre Henri Gabriel de Cassini,앙리 카시니
Pauline Ducruet,폴린 듀크루엣
Léger-Félicité Sonthonax,레제 펠리시테 송토나
François Du Bois,프랑수아 뒤부아
Xavier Marchand,그자비에 마르샹
Jacques Fontanille,자크 퐁타닐
Alexis Vastine,알렉시스 바스틴
Georges Davy,조르주 다비
Vincent Niclo,뱅상 니클로
Franck Thilliez,프랑크 틸리에
René Laloux,르네 랄루
Yves Nat,이브 나트
Marco Siffredi,마르코 시프레디
René Aubry,르네 오브리
Alain Richard,알랭 리샤르
"François Ier de Bourbon, comte de Saint-Pol",프랑수아 1세 드 생폴
Marcelle Meyer,마르셀 마이어
Georges Ferdinand Bigot,조르쥬 페르디난드 비고
Josseline Gaël,조슬린 가엘
Charles de Sainte-Maure,몽토지에 공작 샤를 드 생트모르
Harold Martin,해럴드 마틴
Gérard Darmon,제라르 다르몽
Pierre de Polignac,피에르 드 폴리냑
Léon Mathot,레옹 마토
Daniel Picouly,다니엘 피쿨리
Céline Martin,셀린 마르탱
Christian de Chalonge,크리스티앙 드 샬롱쥐
