España,スペイン
Premio Goya a la mejor película,ゴヤ賞 作品賞
Brión,ブリオン
Grupo Prisa,プリサ
Parque natural de Somiedo,ソミエド自然公園
Catedral de Santa María de Valencia,バレンシア大聖堂
Cuacos de Yuste,クアコス・デ・ユステ
Villaescusa de Haro,ビジャエスクサ・デ・アロ
San Millán,サン・ミリャン/ドネミリアガ
11.ª etapa del Tour de Francia 2006,ツール・ド・フランス2006 第11ステージ
Mujeres Libres,ムヘレス・リブレス
Yunquera de Henares,ユンケラ・デ・エナレス
Puebla de Trives,ア・ポブラ・デ・トリーベス
Fonsagrada,ア・フォンサグラーダ
Puente Nuevo,ア・ポンテノーバ
Vallibona,ヴァリボナ
Galapagar,ガラパガール
Orden de San Jerónimo,ヒエロニムス会
línea 8 del Metro de Madrid,マドリード地下鉄8号線
Trenhotel,トレンオテル
Private Media Group,プライヴェート・メディア・グループ
Estremera,エストレメラ
Vimianzo,ビミアンソ
Frades,フラーデス
Principado de Belmonte,ベルモンテ公
Paradores de Turismo,パラドール
Parque Nacional de Aigüestortes i estany de Sant Maurici,アイグエストルテス・イ・エスタニー・ダ・サント・マウリシ国立公園
Real Academia de Bellas Artes de San Carlos,サン・カルロス王立芸術院
Comarca de Oriente,コマルカ・デ・オリエンテ
Comarca del Nalón,コマルカ・デル・ナロン
Vuelta a Castilla y León,ブエルタ・ア・カスティーリャ・イ・レオン
Sada,サダ
Universidad de Santiago de Compostela,サンティアゴ・デ・コンポステーラ大学
Ribeiro,リベイロ
Funicular de Vallvidrera,フニクラ・ダ・バイビドレラ
Funicular del Tibidabo,フニクラ・ダル・ティビダボ
Vedra,ベドラ
Trazo,トラソ
Puendeluna,プエンデルーナ
Sevilla la Nueva,セビージャ・ラ・ヌエバ
Ojos Negros,オホス・ネグロス
Miño,ミーニョ
Boadilla del Monte,ボアディーリャ・デル・モンテ
Pilas,セビリア県
Nogales,ノガーレス
Porriño,オ・ポリーニョ
Universidad de Deusto,デウスト大学
Academia Valenciana de la Lengua,バレンシア言語アカデミー
fuerzas y cuerpos de seguridad del Estado,スペインの警察
Arapiles,アラピレス
El Bollo,オ・ボーロ
Moaña,モアーニャ
Valdeprado del Río,バルデプラド・デル・リオ
Puértolas,プエルトラス
Distrito de Nou Barris,ノウ・バリス
Páramo,オ・パラモ
Fontellas,フォンテリャス
Trillo,トリリョ
Crevillente,クレヴィジェント
GTA Motor,GTAモータース
Sesma,セスマ
Orcoyen,オルコイエン
Sartaguda,サルタグーダ
Albarca de Cantabria,カンタブリアのアルバルカ
Ezcurra,エスクラ
Rías Bajas,リアス・バイシャス
Reino de Jaén,ハエン王国
Nigrán,ニグラン
Parque nacional de Timanfaya,ティマンファヤ国立公園
Batalla de Alarcos,アラコルスの戦い
Cruces del Mérito Naval,海軍有功勲章
Pegaso,ペガソ
España en la Copa Mundial de Fútbol de 2010,2010 FIFAワールドカップスペイン代表
Número de identidad de extranjero,スペインの外国人身分証明番号
Monasterio de Lluc,サンチュアリ・デ・リュック
Peñalara,ペニャラーラ
Anguciana,アングシアーナ
Mansilla + Tuñón Arquitectos,マンシーリャ + トゥニョン・アーキテクツ
Nuestra Señora del Pilar de Zaragoza,ピラールの聖母
Pesquera de Duero,ペスケラ・デル・ドゥエロ
Funes,フネス (スペイン)
Cebolla,セボーリャ
Villasabariego,ビジャサバリエゴ
Oencia,オエンシア
Zaldivia,サルディビア
Ibarra,イバラ
Batalla de Guadalajara,グアダラハラの戦い
Cervo,セルボ
Líneas Aéreas Postales Españolas,スペイン郵便航空
Maceda,マセーダ
Montaña Clara,モンターニャ・クララ
Baqueira Beret,バケイラ＝ベレット
Puig de Randa,プッチ・ダ・ランダ
Organización Internacional de Comisiones de Valores,証券監督者国際機構
Anexo:Empresas de España,スペインの企業一覧
El Castellar,エル・カステリャール
Olaberría,オラベリア
Motiloa,ムティロア
Anexo:XX edición de los Premios Goya,第20回ゴヤ賞
gastronomía de Galicia,ガリシア料理
Siemens Gamesa,シーメンスガメサ・リニューアブル・エナジー
Stadium Gal,スタジアム・ガル
Maladeta,マラデータ峰
Universidad de Burgos,ブルゴス大学
Club Voleibol Pòrtol,CVポルトル
Autovía del Sur,アウトビア・デル・スール（スペイン）
Gaztelugatxe,ガステルガチェ
Gara,ガラ
Cartuja de Valldemosa,バルデモーサ・カルトゥジオ会修道院
Gas Gas,ガスガス
Sacedón,サセドン
Villamartín de Valdeorras,ビラマルティン・デ・バルデオーラス
Motrico,ムトリク
Cizúrquil,シスルキル
Primera División de España 1999/2000,リーガ・エスパニョーラ1999-2000
Pistola Ruby,ルビー拳銃
Tesoro de Villena,ビリェーナの財宝
Rally Dakar de 2002,2002年ダカール・ラリー
Catedral de Santa María de Segovia,セゴビア大聖堂
Batalla de Cissa,キッサの戦い
pacharán,パチャラン
Gran Canaria Arena,グラン・カナリア・アリーナ
La Cistérniga,ラ・システルニガ
Meira,メイラ
Idiazábal,イディアサバル (スペイン)
Batalla de Simancas,シマンカスの戦い
elecciones generales de España de 2000,2000年スペイン議会総選挙
Sociedad de Estudios Vascos,エウスコ・イカスクンツァ
Burela,ブレーラ
Hipódromo de la Zarzuela,サルスエラ競馬場
Irijoa,イリショーア
Elgóibar,エルゴイバル
Cestona,セストア
Torre de Cerredo,トーレ・セレード
Central nuclear de Lemóniz,レモニス原子力発電所
Lago de Sanabria,サナブリア湖
Nules,ヌレス
San Adrián de Juarros,サン・アドリアン・デ・フアーロス
Comarca del Eo-Navia,コマルカ・デル・エオ＝ナビア
"Anexo:Órdenes, condecoraciones y medallas de España",スペインの勲章
Partido Nacionalista Canario,Partido Nacionalista Canario、PNC
Premio Goya a la mejor interpretación masculina protagonista,ゴヤ賞 主演男優賞
Parque nacional de las Tablas de Daimiel,タブラス・デ・ダイミエル国立公園
La Estrada,ア・エストラーダ
Asteasu,アステアス
Atáun,アタウン
Volta a Cataluña 2008,カタルーニャ一周2008
Pollentia,ポリェンティア
Festival Sónar,ソナー (フェスティバル)
escudo de Cataluña,カタルーニャの紋章
Escudo de Melilla,メリリャの紋章
Volta a Cataluña 2009,カタルーニャ一周2009
Guardia municipal,地元警察 (スペイン)
Renovación Española,スペイン革新
Unión Balompédica Conquense,UBコンケンセ
Gran Premio de Aragón de Motociclismo,アラゴングランプリ
Villarrubia de los Ojos,ビリャルビア・デ・ロス・オホス
Tudela de Duero,トゥデーラ・デ・ドゥエーロ
Lage,ラシェ
Villarta de San Juan,ビジャルタ・デ・サン・フアン
Villanueva de Duero,ビジャヌエバ・デ・ドゥエロ
peseta catalana,カタルーニャ・ペセタ
Salto del pastor,サルト・デル・パストール
Arroyo de la Encomienda,アロージョ・デ・ラ・エンコミエンダ
Villanubla,ビリャヌブラ
Serranía de Ronda,ロンダ山地
S'Albufera des Grau,アルブフェラ・デル・グラオ自然公園
Balenciaga,バレンシアガ
Chilches,チルチェス/シルシェス
Tobarra,トバーラ
Catedral de San Salvador de Oviedo,オビエド大聖堂
San Salvador de Valdediós,サン・サルバドール・デ・バルデディオス教会
puente Internacional del Guadiana,グアディアナ国際橋
Palacio Real de La Granja de San Ildefonso,ラ・グランハ宮殿
Revolución de 1868,1868年革命
La Maroma,ラ・マローマ山
Superliga Española de Hockey Hielo,リーガ・ナシオナル・デ・ホッケイ・イエロ
Ciérvana,シエルバナ
Gran Tarajal,グラン・タラハル
Observatorio Astronómico Nacional de España,スペイン国立天文台
Montalvos,モンタルボス
Serie 340 de Renfe,レンフェ340形ディーゼル機関車
lista de pretendientes carlistas al trono español,カルリスタ王位請求者の一覧
Anexo:Universidades de España,スペインの大学一覧
isla de Tabarca,タバルカ島
Capitán General de las Filipinas,スペイン領フィリピンの総督
iglesia de Santiago de Peñalba,サンティアーゴ・デ・ペニャルバ教会
Grupo ACS,ACS
monasterio de Santa María la Real de Las Huelgas,サンタ・マリア・デ・ラス・ウエルガス王立修道院
Iberdrola Renovables,イベルドローラ・レノバブレス
Anexo:I edición de los Premios Goya,第1回ゴヤ賞
Premio Goya a la mejor dirección,ゴヤ賞 監督賞
Armenteros,アルメンテロス
Castillo de Bayuela,カスティージョ・デ・バユエラ
Río,サン・ショアン・デ・リオ
Valderredible,バルデレディブレ
Roque del Oeste,ロケ・デル・オエステ
Espacio Natural de la Sierra de la Demanda,デマンダ山地
Encinas de Abajo,エンシーナス・デ・アバッホ
Arenas,アレーナス
Tormón,トルモン
Viso del Marqués,ビソ・デル・マルケス
Pica d'Estats,ピカ・ダスタツ
Campeonato Mundial de Snowboard de 2011,2011年世界選手権
Hola Airlines,オラ航空
plaza de Cibeles,シベーレス広場
Pacha,パチャ
Orcheta,オルチェタ
Albelda de Iregua,アルベルダ・デ・イレグア
Sueca,スエカ
Rubielos de Mora,ルビエロス・デ・モラ
Las Peñas de Riglos,ラス・ペーニャス・デ・リグロス
Montán,モンタン
El Burgo,エル・ブルゴ
Cuerpo de Seguridad y Asalto,突撃警備隊 (スペイン)
Guardia Real,スペイン国王近衛隊
Tesoro de Guarrazar,グアラサールの宝物
Sabiñánigo,サビニャニゴ
Mora,モーラ
Villanueva de la Reina,ビジャヌエバ・デ・ラ・レイナ
Orden Civil de Alfonso X el Sabio,賢王アルフォンソ10世勲章
Antzuola,アンツオラ
Jódar,ホダル
Alcañices,アルカニセス
Aizarnazábal,アイサルナサバル
Grupo Compostela,コンポステーラ大学グループ
Grupo Especial de Operaciones,国家警察特殊作戦部隊(G.E.O.)
Grupo Independiente Liberal,グルポ・インデペンディエンテ・リベラル
Red Eléctrica de España,レッド・エレクトリカ・デ・エスパーニャ
Sierra de Na Burguesa,ブルゲサ山地
Monasterio de Nuestra Señora de Rueda,ルエダの聖母王立修道院
Pozo Alcón,ポソ・アルコン
Beizama,ベイサマ
Villanueva de Campeán,ビジャヌエバ・デ・カンペアン
Alcorisa,アルコリサ
Mar Menor,マール・メノール
Villanueva del Arzobispo,ビジャヌエバ・デル・アルソビスポ
Alto Vinalopó,アルト・ビナロポー
Ardales,アルダレス
Monda,モンデ
Sax,サクス
Villanueva del Trabuco,ビジャヌエバ・デル・トラブコ
Arama,アラマ (スペイン)
Monte do Gozo,モンテ・ド・ゴゾ
Roque de Agando,アガンドの岩
Rioja,リオハ・ワイン
Haquetía,ハケティア
Villarramiel,ビジャラミエル
línea 12 del Metro de Madrid,マドリード地下鉄12号線
Central nuclear José Cabrera,ホセ・カブレラ原子力発電所
Plaza Mayor de Salamanca,マヨール広場
Épila,エピラ
Costera,コステラ
Santo Sudario de Oviedo,スダリオ
Falces,ファルセス
Miranda de Arga,ミランダ・デ・アルガ
Berrobi,ベロビ
Pajares de la Lampreana,パハレス・デ・ラ・ランプレアナ
Morales de Rey,モラレル・デル・レイ
Ezcabarte,エスカバルテ
Ciriza,シリサ/シリツァ
Eslava,エスラバ
Huarte,ウアルテ
Olazagutía,オラサグティア
Racing Engineering,レーシング·エンジニアリング
línea 5 del Metro de Madrid,マドリード地下鉄5号線
Tribunal Constitucional,スペイン憲法裁判所
alcaide,カーイド
embalse José María de Oriol-Alcántara II,アルカンタラ貯水池
Teleférico del puerto,タラフェリック・ダル・ポルト
cabalgata de Reyes Magos,東方三博士の騎馬行列
Sorteo Extraordinario de Navidad,ソルテオ・エクストラオルディナリオ・デ・ナビダ
Los Millares,ロス・ミリャレス
fútbol tiquitaca,ティキ・タカ
Centro Nacional de Supercomputación,バルセロナ・スーパーコンピューティング・センター
Islas Medas,マデス群島
Museo Nacional de Escultura,スペイン国立彫刻博物館
Iglesia Catedral de la Encarnación,マラガ大聖堂
Caparroso,カパロソ
Ezprogui,エスプロンギ
Elgorriaga,エルゴリアガ
Baños de Río Tobía,バーニョス・デ・リオ・トビア
Carranque,カランケ
Villanueva de la Torre,ビジャヌエバ・デ・ラ・トーレ
Gaztelu,ガステル
Eulate,エウラテ
Torneo de Valencia 2010,2010年バレンシア・オープン500
línea 6 del Metro de Barcelona,バルセロナ地下鉄6号線
línea 9 del Metro de Barcelona,バルセロナ地下鉄9号線
"L'Etno, Museu Valencià d'Etnologia",バレンシア民族学博物館
Junquera de Espadañedo,シュンケイラ・デ・エスパダネード
Oropesa del Mar,オロペサ・デル・マール
Cigales,シガレス
Instituto de Astrofísica de Canarias,カナリア天体物理研究所
Augusta Emerita,エミレタ・アウグスタ
guerra civil de Navarra,ナバーラ内戦
Cabanillas del Campo,カバニージャス・デル・カンポ
Villanueva de la Fuente,ビジャヌエバ・デ・ラ・フエンテ
Dicastillo,ディカスティーリョ
Valle de Egüés,バリェ・デ・エグエス/エグエシバル
Creciente,クレセンテ
Amoeiro,アモエイロ
Tranvía de Zaragoza,サラゴサ・トラム
Campeonato Mundial de Ciclismo en Ruta de 1997,世界選手権自転車競技大会ロードレース1997
Horchata de chufa,オルチャータ
Haría,アリア (ラス・パルマス県)
Boborás,ボボラス
Puentecesures,ポンテセスーレス
Beariz,ベアリス
Viana del Bollo,ビアナ・ド・ボーロ
La Mezquita,ア・メスキータ
Frías de Albarracín,フリアス・デ・アルバラシン
Quero,クエロ
Baleira,バレイラ
Parque Nacional Marítimo-Terrestre De Las Islas Atlánticas,ガリシア大西洋諸島国立公園
Villamarín,ビラマリン
Alhama de Aragón,アラマ・デ・アラゴン
Mos,モス
Becerreá,ベセレアー
iglesia de Santa Eulalia de Erill-la-Vall,サンタ・エウラリア・デリル・ラ・バル教会
Campeonato Mundial de Ciclismo en Ruta de 1992,世界選手権自転車競技大会ロードレース1992
Casa de Manrique de Lara,マンリク・デ・ラーラ家
Palacio Príncipe Felipe,パベリョン・プリンシペ・フェリペ
Abalcisqueta,アバルツィスケタ
Concatedral de Santa María de la Redonda,ログローニョ大聖堂
batalla de Cartago Nova (209 a. C.),カルタゴ・ノウァの戦い
Museo Sorolla,ソローリャ美術館
Santo Cáliz,サン・グラアル
Villanueva de Gumiel,ビジャヌエバ・デ・グミエル
Barbadanes,バルバダス
Rodeiro,ロデイロ
Andoáin,アンドアイン
Blancos,オス・ブランコス
Baltar,バルタール
Cangas de Morrazo,カンガス
Serra d'Or,セッラドール
Instituto Valenciano de Arte Moderno,バレンシア現代芸術院
Vuelo 602 de Iberia,イベリア航空602便墜落事故
Mundial Juvenil Sub-17 de Clubes,U-17クラブワールドカップ
Valga,バルガ
Chandreja de Queija,チャンドレーシャ・デ・ケイシャ
Medio Cudeyo,メディオ・クデージョ
Ciutadilla,シウタディーリャ
Salobre,サロブレ
Helipuerto de Ceuta,セウタ・ヘリポート
Guitiriz,ギティリス
Manganeses de la Lampreana,マンガネセス・デ・ラ・ランプレアナ
Cervantes,セルバンテス
Villaescusa la Sombría,ビジャエスクサ・ラ・ソンブリア
Trasmoz,トラスモス
La caricia de un pájaro,鳥の愛撫
Tomiño,トミーニョ
Valdeolea,バルデオレア
La Sotonera,ラ・ソトネラ
Negueira de Muñiz,ネゲイラ・デ・ムニス
San Cristóbal de Cea,サン・クリストーボ・デ・セア
Coles,コーレス
Sotomayor,ソウトマイヨール
Gelves,ヘルベス
Maside,マシーデ
Celanova,セラノーバ
Castellserá,カスタイサラー
La Fuliola,ラ・フリオーラ
Valle de Villaverde,バリェ・デ・ビジャベルデ
Villamedianilla,ビリャメディアニーリャ
NH Hoteles,NHホテルグループ
Tesoro del Carambolo,カランボロの財宝
Castrelo de Miño,カストレーロ・デ・ミーニョ
Olivares,オリバーレス
Ateca,アテカ
El Cardoso de la Sierra,エル・カルドソ・デ・ラ・シエラ
Los Nogales,アス・ノガイス
Muras,ムーラス
Zuera,スエラ
Bormujos,ボルムホス
Valle de Oro,オ・バラドウロ
Villalba,ビラルバ
Guntín,グンティン
Anexo:Ministros de Asuntos Exteriores de España,外務・協力大臣
Pereiro de Aguiar,オ・ペレイロ・デ・アギアール
La Peroja,ア・ペローシャ
Ruanes,ルアネス
Torres de Berrellén,トレス・デ・ベレリェン
Castilnuevo,カスティルヌエボ
Casarrubios del Monte,カサルビオス
Batalla de Gévora,ゲボラの戦い
Puebla de Alcocer,プエブラ・デ・アルコセル
Vegas del Condado,ベガス・デル・コンダード
La Puebla del Río,ラ・プエブラ・デル・リオ
Marchamalo,マルチャマーロ
Fuentelahiguera de Albatages,フエンテライゲーラ・デ・アルバタヘス
Ayllón,セゴビア県
Villaseca de la Sagra,ビジャセカ・デ・ラ・サグラ
Atalaya del Cañavate,アタラジャ・デル・カニャバテ
Turleque,トゥルレケ
Isla Mayor,イスラ・マヨール
Pruna,プルナ
Puentedeva,ポンテデーバ
sierra del Montsec,モンセック
Verea,ベレーア
San Martín de Trevejo,サン・マルティン・デ・トレベホ
Belmonte,ベルモンテ
Fuentes Claras,フエンテス・クララス
Borrenes,ボレーネス
Guadamur,グアラサール
Villanueva del Fresno,ビジャヌエバ・デル・フレスノ
Zubieta,スビエタ
Zugarramurdi,スガラムルディ
Zorita,ソリータ
Torre del Bierzo,トーレ・デル・ビエルソ
Guillena,ギリェナ
Villablino,ビリャブリノ
Ibahernando,イバエルナンド
Chiloeches,チロエーチェス
Corvera de Toranzo,コルベラ・デ・トランソ
Vega de Espinareda,ベガ・デ・エスピナレーダ
Cirat,シラット
Enguera,エンゲーラ
Barjas,バルハス
Campanario,カンパナリオ
Cistierna,システィエルナ
Ibertren,イベルトレン
Benilloba,ベニリョーバ
Cartelle,カルテージェ
Lobios,ロビオス
Iberia Express,イベリア・エクスプレス
Benquerencia de la Serena,ベンケレンシア・デ・ラ・セレナ
Quinta del Buitre,キンタ・デル・ブイトレ
Villar de Santos,ビラール・デ・サントス
Montederramo,モンテデラーモ
Madrigalejo,マドリガレホ
suelta de toros,コラボウス
Toro embolado,トロ・アンブラード
Caudete,カウデテ
Almusafes,アルムサフェス
Entrimo,エントリーモ
Aspe,アスペ (スペイン)
Somolinos,ソモリノス
Aýna,アイナ (アルバセーテ県)
Santa Marta,サンタ・マルタ (エストレマドゥーラ州）
Tamurejo,タムレホ
Castrillo del Val,カスティリーリョ・デル・バル
Unió Democràtica de Catalunya,カタルーニャ民主連合
Moritz (cerveza),モリッツ
Villardevós,ビラルデボス
Salceda de Caselas,サルセーダ・デ・カセーラス
Marina de Cudeyo,マリーナ・デ・クデージョ
San Amaro,サン・アマーロ
Bertizarana,ベルティサラナ
Garde,ガルデ
Guardo,グアルド (スペイン)
Bóveda,ボベダ
Monroy,モンロイ
Malpica de Tajo,マルピカ・デ・タホ
Villanueva de Alcardete,ビジャヌエバ・デ・アルカルデテ
Illescas,イリェスカス
Albocácer,アルボカセル
Yeles,イェレス
Villamiel de Toledo,ビジャミエル・デ・トレード
Villanueva de la Vera,ビジャヌエバ・デ・ラ・ベラ
Panticosa,パンティコーサ
Puentedura,プエンテドゥラ
Palomero,パロメロ
Salvatierra de Miño,サルバテーラ・デ・ミーニョ
Villarino de Conso,ビラリーニョ・デ・コンソ
El Romeral,エル・ロメラル
Club Balonmano Atlético de Madrid,BMアトレティコ・マドリード
Oya,オイア
Carcagente,カルカイクセント
La Seca,ラ・セカ
Villamediana de Iregua,ビジャメディアーナ・デ・イレグア
Santa Ana la Real,サンタ・アナ・ラ・レアル
Agoncillo,アゴンシージョ
Montánchez,モンタンチェス
Las Ventas de Retamosa,ラス・ベンタス・デ・レタモサ
Mesía,メシーア
Bobadilla,ボバディーリャ
Villanueva de las Cruces,ビジャヌエバ・デ・ラス・クルセス
Horta-Guinardó,オルタ・ギナルド区
Zubieta,スビエタ
Íscar,イスカル
Bielsa,ビエルサ (スペイン)
Las Labores,ラス・ラボーレス
Cubillos,クビーリョス
Selección de voleibol de España,バレーボールスペイン男子代表
Teba,テバ
Griñón,グリニョン
Melón,メロン
Bande,バンデ
Hontoba,オントーバ
Barro,バーロ
Mesegar de Tajo,メセガル・デ・タホ
Riogordo,リオゴルド
Puerto Lápice,プエルト・ラピセ
Gotor,ゴトール
Cortegada,コルテガーダ
Riós,リオス
Frías,フリアス
Nerva,ネルバ
El Campillo,エル・カンピージョ
Estarás,エスタラス
Alcarrás,アルカラス
Alcudia de Veo,アルクディア・デ・ベオ
Benisanó,ベニサノ
Riaza,リアサ
Segura de la Sierra,セグラ・デ・ラ・シエラ
Quintela de Leirado,キンテーラ・デ・レイラード
Iznate,イスナーテ
Macharaviaya,マチャラビアヤ
Beade,ベアーデ
Valverde del Majano,ヴァルベルデ･ベル･ハジャーノ
Lobera,ロベイラ
La Lama,ア・ラマ
Casabermeja,カサベルメハ
Torres,トーレス
Venta de Baños,カスティーリャ・レオン州
Campeonato Mundial de Natación en Piscina Corta de 1993,1993年世界短水路選手権
Arroyo de la Luz,アロージョ・デ・ラ・ルス
Monteagudo,モンテアグド
Murchante,ムルチャンテ
Isla de La Toja,ラ・トハ島
Sant Martí de Río Corb,サント・マルティー・ダ・リウコルブ
Cenicero,セニセロ (ラ・リオハ州)
Lecumberri,レクンベリ
Campeonato Mundial de Ciclismo en Ruta de 1965,世界選手権自転車競技大会ロードレース1965
Fórum Universal de las Culturas 2004,2004年世界文化フォーラム
Murillo el Cuende,ムリーリョ・エル・クエンデ
Garayoa,ガライオア
Ossó de Sió,ウソー・ダ・シオー
Lezáun,レサウン
Javier,ハビエル (スペイン)
Vallbona de las Monjas,バイボーナ・ダ・ラズ・モンジャス
Basaburúa Mayor,バサブルア
Fustiñana,フスティニャーナ
Villanueva de Argecilla,ビジャヌエバ・デ・アルヘシーリャ
Fitero,フィテーロ
Leoz,レオス
Viana de Jadraque,ビアナ・ド・ハドラケ
Villanueva de San Carlos,ビジャヌエバ・デ・サン・カルロス
Salamanca,サラマンカ
Tetuán,テトゥアン
Liga española de waterpolo femenino,ディビシオン・デ・オノール・フェミニーナ・デ・ウォーターポロ
Santa Elena,サンタ・エレーナ (スペイン)
Monasterio de Santa María de Herrera,サンタ・マリーア・デ・エレーラ修道院
Murillo el Fruto,ムリーリョ・エル・フルト
Goñi,ゴニ (スペイン)
Araiz,アライツ
Pizarra,ピサーラ
Ministerio de Transportes y Movilidad Sostenible,運輸・モビリティ・都市問題大臣
Villanueva del Campillo,ビジャヌエバ・デル・カンピーリョ
Monóvar,モノベル
Abanto,アバント (サラゴサ県)
Villanueva del Aceral,ビジャヌエバ・デル・アセラル
Monflorite-Lascasas,モンフロリーテ＝ラスカサス
Mengíbar,メンギバル
Jérica,ヘリカ
Vidángoz,ビダンゴス/ビダンコセ
Villaescusa de Roa,ビジャエスクサ・デ・ロア
Villanueva de Carazo,ビジャヌエバ・デ・カラッソ
Bocos de Duero,ボコス・デ・ドゥエロ
Lizoáin-Arriasgoiti,リソアイン
Monasterio de Piedra,ピエドラ修道院
Villadiego,ビリャディエゴ
Villanueva de la Condesa,ビジャヌエバ・デ・ラ・コンデサ
Associació Esportiva Manacor,AEパルマ・フットサル
Pabellón Menorca,パベリョ―・メノルカ
Monasterio de San Millán de Yuso,ユソ修道院
Monasterio de Santa María de Valdediós,サンタ・マリア・デ・バルデディオス修道院
Siles,シレス
Brieva,ブリエバ
Carbonero el Mayor,カルボネーロ・エル・マジョール
Quintana del Pidio,キンタナ・デル・ピディオ
Salvatierra de Santiago,サルバティエッラ・デ・サンティアゴ
Herrera de Alcántara,エレーラ・デ・アルカンタラ
Ancín,アンシン/アンツィン
Arbizu,アルビス (スペイン)
La Carrera,ラ・カレーラ
Villanueva de Azoague,ビジャヌエバ・デ・アソアグエ
Villanueva de Alcorón,ビジャヌエバ・デ・アルコロン
Institución Libre de Enseñanza,自由教育学院
Red Vives de Universidades,Vivesネットワーク
Instituto Ramon Llull,インスティトゥット・ラモン・リュイ
International Economic Association,国際経済学連合
Islas Cíes,シエス諸島
Arruazu,アルアス
Arróniz,アロニス
Puerto Serrano,プエルト・セラーノ
Atez,アテス/アテツ
Aras,アラス (スペイン)
Aranarache,アラナラチェ
Areso,アレソ
Aberin,アベリン
Rena,レーナ
Berbinzana,ベルビンサナ
Barillas,バリーリャス
Isla de Ízaro,イサロ島
Izagaondoa,イサガオンドア
Junta para Ampliación de Estudios e Investigaciones Científicas,学術拡大委員会
Berriozar,ベリオサル
Artajona,アルタホナ
Hotel Marqués de Riscal,ホテルマルケドリスカル
Premio Planeta,プラネータ賞
Barásoain,バラソアイン
Azuelo,アスエロ
Aya,アイア (スペイン)
Batalla de Nájera,ナヘラの戦い
Aibar,アイバル/オイバル
Daimiel,ダイミエル
Pancorbo,パンコルボ
La Alamedilla,ラ・アラメディージャ
Indra Sistemas,インドラ
ITP Aero,インダストリア・デ・ターボ・プロパルゾレス
Palacio Deportes José María Martín Carpena,パラシオ・デ・デポルテス・ホセ・マリア・マルティン・カルペナ
yacimientos de Torralba y Ambrona,トラルバ
Portas,ポルタス
Piedrabuena,ピエドラブエナ
Real Club Deportivo de La Coruña "B",デポルティーボ・ラ・コルーニャB
España napoleónica,ジョゼフ・ボナパルト治世下のスペイン
Emirato de Nekor,ネコル王国
Valverde de Leganés,バルベルデ・デ・レガネス
Red Bull X-Fighters,Red Bull X-Fighters
Jardín Botánico Molino de Inca,モリーノ・デ・インカ植物園
Fernando Buesa Arena,フェルナンド・ブエサ・アレナ
Universidad Pontificia Comillas,ポンティフィシア・コミージャス大学
Belascoáin,ベラスコアイン
Candelario,カンデラリオ
Cogeces del Monte,コヘセス・デル・モンテ
Bedmar y Garcíez,ベドマル・イ・ガルシエス
Gomesende,ゴメセンデ
Palo canario,フエゴ・デル・パーロ
Ocean Racing Technology,オーシャン・レーシング・テクノロジー
Lucha canaria,ルチャ・カナリア
Central nuclear de Cofrentes,コフレンテス原子力発電所
gastronomía de Cataluña,カタルーニャ料理
Volta a Cataluña 2005,カタルーニャ一周2005
Palacio de Deportes de Sevilla,パラシオ・ムニシパル・デ・デポルテス・サンパブロ
Copa del Generalísimo de fútbol 1972-73,1972-73年大会
Sierra de Baza,バサ山地
Museo de Bellas Artes de Valencia,ピウス5世現代美術館
Tarazona y el Moncayo,タラソーナ・イ・エル・モンカージョ
Sorribas,ソリバス
CD Burela FS,CDブレラFS
Junta de Galicia,シュンタ・デ・ガリシア
Orfeón Catalán,カタルーニャ聖歌隊
Laroco,ラロウコ
Alaitz eta Maider,アライツ・エタ・マイデル
Central nuclear Santa María de Garoña,サンタ・マリア・デ・ガローニャ原子力発電所
Cadena Dial,カデナ・ディアル
Ducado de Medinaceli,メディナセリ公爵
Central nuclear de Trillo,トリリョ原子力発電所
Convento de San Esteban,サン・エステバン修道院
Klasika Primavera,クラシカ・プリマベーラ
Callosa de Segura,カリョサ・デ・セグラ
Villanueva de Viver,ビジャヌエバ・デ・ビベル
Cuéllar,クエリャル
Ribadumia,リバドゥミア
Ugena,ウヘーナ
Porquera,ポルケイラ
Morata de Jalón,モラタ・デ・ハロン
Petronor,ペトロノール
Cabo Touriñán,トウリニャン岬
Capitulaciones de Santa Fe,サンタ・フェ契約
Cerdedo,セルデード
Poyo,ポイオ
San José del Valle,サン・ホセ・デル・バジェ
Parque natural del Macizo del Montgó,モントゥゴー山塊
16.ª etapa del Tour de Francia 2007,ツール・ド・フランス2007 第16ステージ
"STAR, Bonifacio Echeverría S.A.",エスタラ・ボニファシオ・エチェベリア
Batalla de Dertosa,デルトサの戦い
Rodezno,ロデスノ
Villarroya,ビリャロージャ
nacionalismo catalán,カタルーニャ・ナショナリズム
Agramunt,アグラムント
Los Altos,ロスアルトス (スペイン)
Ochagavía,オチャガビア＝オツァガビア
Ibargoiti,イバルゴイティ
CETME,特殊素材技術研究センター
Palacio Euskalduna,エウスカルドゥナ国際会議場・コンサートホール
Encinas de Esgueva,エンシナス・デ・エスゲバ
Castalla,カスタージャ
Arnoya,ア・アルノイア
Laza,ラサ
Campeonato Europeo de Atletismo en Pista Cubierta de 2005,2005年ヨーロッパ室内陸上競技選手権大会
Unión Deportiva Lanzarote,UDランサローテ
Catedrales de España,スペインの大聖堂
Trofeo Miguel Muñoz,ミゲル・ムニョス賞
