Margareta Kozuch,マルガレーテ・コズーフ
Tadeusz Łomnicki,タデウシュ・ウォムニツキ
Jan Jakub Kolski,ヤン・ヤクブ・コルスキ
Leszek Blanik,レシェク・ブラニク
Tomasz Marczyński,トマシュ・マルチィニスキ
Artur Wojdat,アルトゥール・ヴォイダット
Iwona Guzowska,イウォナ・グゾフスカ
Tomasz Kuszczak,トマシュ・クシュチャク
Bolesław I Wysoki,ボレスワフ1世ヴィソキ
Ivan Putski,イワン・プトスキー
Paweł Włodkowic,パヴェウ・ヴウォトコヴィツ
Piotr Fijas,ピオトル・フィヤス
Paweł Janas,パヴェウ・ヤナス
Leon Chwistek,レオン・フヴィステク
Walerian Borowczyk,ワレリアン・ボロズウィック
Artur Felix,アーサー・フェリックス
Danuta Stenka,ダヌタ・ステンカ
Tewje Bielski,トゥヴィア・ビエルスキ
Marek Leśniak,マレク・レスニャク
Jacek Koman,ジャセック・コーマン
Sergiusz Piasecki,セルギウス・ピアセツキ
Grzegorz Filipowski,グーセゴルツ・フィリポフスキー
Piotr Lachert,ピヨトル・ラヘルト
Horst Szymaniak,ホルスト・シマニアク
Stanisław Bobak,スタニスワフ・ボバク
Andrzej Schinzel,アンジェイ・シンツェル
Jan Żabiński,ヤン・ジャビンスキ
Wojciech Fibak,ヴォイチェフ・フィバク
Rafał Lemkin,ラファエル・レムキン
Eddie Slovik,エディ・スロヴィク
Jerzy Gorgoń,イェジィ・ゴルゴン
Jean Templin,ジャン・テンプリン
Marian Woyna Orlewicz,マリアン・ヴォイナ＝オルレヴィッツ
Jan Styka,ヤン・スティカ
Paweł Edmund Strzelecki,パヴェウ・ストルゼレスキ
Kamil Kosowski,カミル・コソフスキ
Jan Mycielski,ミシェルスキー
Emanuel Ax,エマニュエル・アックス
Józef Hofmann,ヨゼフ・ホフマン
Hanna Krall,ハンナ・クラル
Wioletta Frankiewicz,ビオレッタ・ヤノフスカ
Andrzej Zawada,アンジェイ・ザヴァダ
Dawid Kubacki,ダヴィド・クバッキ
Richard Nowakowski,リチャード・ノワコウスキ
Mieczysław Karłowicz,ミェチスワフ・カルウォーヴィチ
Izuagbe Ugonoh,イズ・ウゴノー
Aleksander Michałowski,アレクサンドル・ミハウォフスキ
Jacek Dembiński,ヤツェク・デンビニスキ
Aleksander Zawadzki,アレクサンドル・ザワトツキ
Artur Szyk,アーサー・ジーク
Mieczysław Ledóchowski,ミェチスワフ・ハルカ ・レドコフスキ
Katarzyna Kobro,カタジナ・コブロ
Halszka Osmólska,ハルツカ・オスモルスカ
Artur Malawski,アルトゥル・マラフスキ
Wacław Jędrzejewicz,ヴァツラフ・イェドルゼイェヴィチ
Szymon An-ski,シュロイメ・アンスキー
Marian Foik,マリアン・フォイク
Roger Walkowiak,ロジェ・ワルコヴィアック
Michał Gołaś,ミハウ・ゴワシュ
Władysław Ludwik Anczyc,ヴワディスワフ・ルドヴィク・アンチツ
Krystyna Bochenek,クリスティナ・ボヘネク
Grażyna Szapołowska,グラジナ・サポロフスカ
Moïse Kisling,モイズ・キスリング
Piotr Nurowski,ピョトル・ヌロフスキ
Małgorzata Glinka-Mogentale,マウゴジャータ・グリンカ
Matthias Ostrzolek,マティアス・オストルツォレク
Jakub Berman,ヤクブ・ベルマン
Paweł Wojciechowski,パベウ・ヴォイチエコフスキー
Artur Olech,アルトゥール・オレク
Jan Brzechwa,ヤン・ブジェフファ
Juliusz Zarębski,ユリウシュ・ザレンプスキ
Leopold Trepper,レオポルド・トレッペル
Michał Winiarski,ミハウ・ヴィニャルスキ
Jan Kiepura,ヤン・キェプラ
Jan Białostocki,ヤン・ビアウォストツキ
Milena Rosner,ミレナ・ロスネル
Chesty Morgan,チェスティー・モーガン
Robert Gadocha,ロベルト・ガドハ
Agnieszka Wieszczek-Kordus,アグニエシュカ・ヴィエスチェク
Emilia Plater,エミリア・プラテル
Józef Retinger,ジョセフ・レティンガー
Wiesław Ochman,ヴィエスワフ・オフマン
Radosław Gilewicz,ラドスワフ・ギレヴィチュ
Henryk Górecki,ヘンリク・グレツキ
Elżbieta Zawacka,エルジュビェタ・ザヴァツカ
Magda Konopka,マグダ・コノプカ
Piotr Sowisz,ピオトル・ソーヴィシュ
Stanisław Maczek,スタニスワフ・マチェク
Elżbieta Jagiellonka,エルジュビェタ・ヤギェロンカ
Lech Majewski,レフ・マイェフスキ
Michal Martychowiec,Michal Martychowiec
Paweł Nastula,パウエル・ナツラ
Jan Dziedziczak,ヤン・ジェジツァク
Anna German,アンナ・ゲルマン
Roger Guerreiro,ロジェール・ゲレイロ
Przemysław Tytoń,プジェミスワフ・ティトン
Jacek Morajko,ヤチェク・モライコ
Witold Szalonek,ヴィトルト・シャロネック
Czesław Słania,チェスワフ・スワニア
Artur Ekert,アーター・エカート
Ladislao Kubala,ラディスラオ・クバラ
Wacław Sierpiński,ヴァツワフ・シェルピニスキ
Edward Śmigły-Rydz,エドヴァルト・リッツ＝シミグウィ
Ignacy Mościcki,イグナツィ・モシチツキ
Marcin Wasilewski,マルチン・ヴァシレフスキ
Janusz Szrom,ヤヌシュ・スローム
Andrzej Celiński,アンジェイ・ツェリンスキ
Maciej Żurawski,マチェイ・ジュラフスキ
Robert Schatten,ロバート・シャッテン
Tomasz Sikorski,トマシュ・シコルスキ
Tadeusz Kotarbiński,タデウス・コタルビンスキー
Krystyna Skarbek,クリスチナ・スカーベック
Michał Pazdan,ミハウ・パズダン
Piotr Werner (sędzia piłkarski),ピオトル・ヴァーナー
Jerzy Antczak,イェジ・アントチャク
Krzysztof Wielicki,クシストフ・ヴィエリツキ
Herbert Sandberg,ヘルベルト・サンドベルク
Robert Korzeniowski,ロベルト・コジェニョフスキ
Michael Klim,マイケル・クリム
Andrzej Badeński,アンジェイ・バデンスキ
Andrzej Bart,アンジェイ・バルト
Andrzej Błasik,アンジェイ・ブワシク
Jerzy Giedroyc,イェジー・ギェドロイツ
Jan Machulski,ヤン・マチュルスキ
Tad Danielewski,タッド・ダニエレブスキー
Jerzy Kukuczka,イェジ・ククチカ
Andrzej Chyra,アンジェイ・ヒラ
Andrzej Grabowski,アンジェイ・グラボウスキ
Krzysztof Hołowczyc,クシシュトフ・ホロウィツィック
Józef Tischner,ユゼフ・ティシュナー
Nikolai Topor-Stanley,ニコライ・トポール＝スタンレー
Krzysztof Kosedowski,クルシストフ・コセドウスキ
Alter Kacyzne,アルテル・カチズネ
Andrzej Karweta,アンジェイ・カルヴェタ
Mateusz Skutnik,マテウシュ・スクトニク
Edward Marczewski,エドワード・マルチェフスキ
Stanisław Wyspiański,スタニスワフ・ヴィスピャンスキ
Paweł Brożek,パヴェウ・ブロジェク
Henryk Szeryng,ヘンリク・シェリング
Janusz Korwin-Mikke,ヤヌシュ・コルヴィン＝ミッケ
Janusz Narzyński,ヤヌシュ・ナジンスキ
Janusz Głowacki,ヤヌシュ・グウォヴァツキ
Mariusz Lewandowski,マリウシュ・レヴァンドフスキ
Samuel Reshevsky,サミュエル・ハーマン・レシェフスキー
Aleksander Wolszczan,アレクサンデル・ヴォルシュチャン
Andrzej Sapkowski,アンドレイ・サプコフスキ
Przemysław Niemiec,プジェムィスワフ・ニエミエツ
Andrzej Juskowiak,アンジェイ・ユスコヴィアク
Otton Nikodym,オットー・ニコディム
Filip Kurto,フィリプ・クルト
Magda Linette,マグダ・リネッテ
Janusz Onyszkiewicz,ヤヌシュ・オニシキェヴィチ
Andrzej Mostowski,アンジェイ・モストフスキ
Andrzej Munk,アンジェイ・ムンク
Andrzej Grubba,アンジェイ・グルッバ
Maurycy Lilien,エフライム・モーシェ・リリエン
Aleksander Ford,アレクサンデル・フォルト
Krzysztof Wodiczko,クシシュトフ・ヴォディチコ
Adam Matuszczyk,アダム・マトゥシュチク
Andrzej Milczanowski,アンジェイ・ミルチャノフスキ
Michał Żewłakow,ミハウ・ジェヴワコフ
Rafał Murawski,ラファウ・ムラフスキ
Bartosz Bosacki,バルトシュ・ボサツキ
Włodzimierz Lubański,ヴォジミエシュ・ルバンスキ
Edward Gierek,エドヴァルト・ギェレク
Krzysztof Włodarczyk,クシシュトフ・ヴウォダルチク
Andrzej Olechowski,アンジェイ・オレホフスキ
Benjamin Jekhowsky,ヴェニアミン・ジェコフスキー
Paul Konchesky,ポール・コンチェスキー
Władysław Kozakiewicz,ウワディスワフ・コザキエビッチ
Władysław Żmuda,ヴワディスワフ・ジュムダ
Andrzej Kremer,アンジェイ・クレメル
Stefan Grabiński,ステファン・グラビンスキ
Dariusz Dudka,ダリウシュ・ドゥドゥカ
Józef Babiński,ジョゼフ・ババンスキー
Herschel Grynszpan,ヘルシェル・グリュンシュパン
Piotr Szełochonow,ピョートル・シェロホーノフ
Ireneusz Jeleń,イレネウシュ・イェレン
Bogusław VIII,ボギスラフ8世 (ポメラニア公)
Jolanta Lothe,ヨランタ・ローテ
Olga Bołądź,オルガ・ボラズ
Witold Pilecki,ヴィトルト・ピレツキ
Henryk Jabłoński,ヘンリーク・ヤブロンスキ
Jerzy Engel,イェジー・エンゲル
Stanisław Kania,スタニスワフ・カニヤ
Egon Petri,エゴン・ペトリ
Abel Korzeniowski,アベル・コジェニオウスキ
Akiba Rubinstein,アキバ・ルビンシュタイン
Andrzej Stasiuk,アンジェイ・スタシュク
Andrzej Tarkowski,アンジェイ・タルコフスキー
Peter Geach,ピーター・ギーチ
Julian Przyboś,ユリアン・プシボシ
Edward Dembowski,エドヴァルト・デンボフスキ
Jacek Bąk,ヤツェク・ボンク
Solomon Asch,ソロモン・アッシュ
Andrzej Sekuła,アンジェイ・セクラ
Jerzy Kosiński,ジャージ・コジンスキー
Adam Rotfeld,アダム・ダニエル・ロットフェルト
Jan Kott,ヤン・コット
Miron,ミロン・ホダコフスキ
Teresa Żylis-Gara,テレサ・ツィリス＝ガラ
Andrzej Wroński,アンジェイ・ボロンスキ
Wojciech Olejniczak,ヴォイチェフ・オレイニチャク
Leopold Skulski,ポーランドの首相一覧
Andrzej Żuławski,アンジェイ・ズラウスキー
Władysław Dziewulski,ヴワディスワフ・ジェヴルスキ
Radosław Matusiak,ラドスワフ・マトゥシャク
Mariusz Pudzianowski,マリウス・プッツナウスキー
Elie Nadelman,エリー・ナーデルマン
Wojciech Kilar,ヴォイチェフ・キラール
Grzegorz Sandomierski,グジェゴシュ・サンドミエルスキ
Zygmunt Bohusz-Szyszko,ズィグムント・ボフシュ＝シシュコ
Andrzej Seweryn,アンジェイ・セヴェリン
Władysław Frasyniuk,ヴワディスワフ・フラシニューク
Edward Osóbka-Morawski,エドヴァルト・オスプカ＝モラフスキ
Andrzej Śliwiński,アンジェイ・スリヴィンスキ
Stefan Kisielewski,ステファン・キシェレフスキ
Józef Michalik,ユゼフ・ミハリク
Władysław Narkiewicz,W.ナルキェヴィッチ
Icchak Löwy,ジャック・レヴィ
Rajzla Żychlińska,ライゼル・ジフリンスキ
Samuel Dickstein,サミュエル・ディックスタイン (数学者)
Marcin Kamiński,マルチン・カミンスキ
Kamil Grosicki,カミル・グロシツキ
Maciej Kot,マチェイ・コット
Jerzy Maksymiuk,イェジー・マクシミウク
Wojciech Pszoniak,ヴォイチェフ・プショニアク
Grzegorz Turnau,グルゼゴルツ・ターナウ
Maurycy Moszkowski,モーリッツ・モシュコフスキ
Edward Wojtas,エドヴァルト・ヴォイタス
Antoni Lange,アントニ・ランゲ
Nachum Nir,ナフーム・ニール
J.R. Celski,ジョン・セルスキー
Roman Jakóbczak,ロマン・ヤコブチャク
Jerzy Toeplitz,イェジ・テプリッツ
Jerzy Turowicz,イェジー・トゥロヴィチ
Jerzy Wójcik,イエジー・ヴォイチック
Kamila Gradus,カミラ・グラデュス
Janusz Lewandowski,ヤヌシュ・レヴァンドフスキ
Aleksander Szczygło,アレクサンデル・シュチグウォ
Edward Babiuch,エドヴァルト・バビュフ
Rosa Raisa,ローザ・ライサ
Grzegorz Nowak,グジェゴシュ・ノヴァーク
Andrzej Czajkowski,アンジェイ・チャイコフスキ
Ludwik Fleck,ルドヴィック・フレック
Joachim Lelewel,ヨアヒム・レレウェル
Michał Kucharczyk,ミハウ・クハルチク
Krzysztof Knittel,クシシュトフ・クニッテル
Michał Kamiński,ミハウ・カミニスキ
Piotr Jaroszewicz,ピョトル・ヤロシェヴィチ
Maciej Bodnar,マツィエイ・ボドナル
Bogdan Zdrojewski,ボグダン・ズドロイェフスキ
Barbara Grabowska,バルバラ・グラボフスカ
Artur Noga,アルトゥル・ノガ
Marek Jędraszewski,マレク・イェドラシェウスキー
Aleksandra Kurzak,アレクサンドラ・クルジャク
Wojciech Młynarski,ヴォイチェフ・ムウィナルスキ
Marek Koźmiński,マレク・コズミンスキー
Jake Kaminski,ジェイク・カミンスキ
Witold Małcużyński,ヴィトルト・マウツジンスキ
Tomasz Peta,トマシュ・ペタ
Franciszek Gajowniczek,フランツィシェク・ガヨウィニチェク
Marcin Żewłakow,マルチン・ジェヴワコフ
Kazimierz Kmiecik,カジミェシュ・クミェチク
Wacław Święcicki,ヴァーツラフ・シュヴィエンチツキ
Roman Kosecki,ロマン・コセツキ
Maria Makowska,マリア・マコウスカ
Janusz Chwierut,ヤヌシュ・フヴィエルト
Kazimierz Kordylewski,カジミェシュ・コルディレフスキ
Kazimierz Ajdukiewicz,カジミエシュ・アイドゥキエヴィチ
Edmund Wnuk-Lipiński,エドモンド・ヴヌク＝リピンスキー
Henryk Gotlib,ヘンリク・ゴットリブ
Tadeusz Sendzimir,タデウシュ・ゼンジミア
Krystyna Zachwatowicz,クルィスティナ・ザフファトヴィチ
Paweł Althamer,パウエル・アルタマー
Witold Leszczyński,ヴィトルド・レシチンスキ
Jakub Słowik,ヤクブ・スウォビィク
Balthus,バルテュス
Stanisław Leśniewski,スタニスワフ・レシニェフスキ
Katarzyna Popowa-Zydroń,カタジーナ・ポポヴァ=ズィドロン
August Freund,アウグスト・フロイント
Feliks Falk,フェリクス・ファルク
Robert Mateja,ロベルト・マテヤ
Joe Pavelski,ジョー・パベルスキ
Moshe Sneh,モシェ・スネー
Michał Rola-Żymierski,ミハウ・ロラ＝ジミェルスキ
Tadeusz Rut,タデウス・ルット
Stanisław Mikołajczyk,スタニスワフ・ミコワイチク
Stefan Dembicki,ステファン・デムビキ
Louis Marcoussis,ルイ・マルクーシス
Roman Haubenstock-Ramati,ローマン・ハウベンシュトック＝ラマティ
Waldemar Fornalik,ヴァルデマル・フォルナリク
Paweł Wszołek,パヴェウ・ヴショウェク
Józef Wilkoń,ヨゼフ・ウィルコン
Piotr Nowakowski,ピヨトル・ノバコフスキ
Władysław Orlicz,ヴワディスワフ・オルリッチ
Juliusz Janusz,ユリウシュ・ヤヌシュ
Vincent Boryla,ヴィンス・ボレイラ
Mateusz Chruściński,マテウシュ・フルシチンスキー
Tadeusz Różewicz,タデウシュ・ロゼヴィチ
Anna Jurkiewicz,アンナ・ユルキェビッチ
Layvin Kurzawa,レイヴァン・クルザワ
Krzysztof Grzegorek,クシシュトフ・グジェゴレク
Mordechaj Anielewicz,モルデハイ・アニエレヴィッツ
Stanisław Łojasiewicz,ロヤシェヴィチ講義
Ludomir Różycki,ルドミル・ルジツキ
Peter J. Lucas,ピーター・J・ルーカス
Marceli Nencki,マーセリ・ネンキ
Monika Wielichowska,モニカ・ヴィェリホフスカ
Michał Kondracki,ミハウ・コンドラツキ
Janusz Śniadek,ヤヌシュ・シニャデク
Jan Henryk XV Hochberg książę von Pless,ハンス・ハインリヒ15世・フォン・ホッホベルク
Abraham Suckewer,アブラハム・スツケヴェル
Abraham Zabludovsky,アブラハム・ザブルードスキー
Janusz Gajos,ヤヌシュ・ガヨス
Ryszard Bolesławski,ルイシャルト・ボレスワフスキ
Józef Kamiński,ユーゼフ・カミンスキ
Stanisław Marusarz,スタニスワフ・マルサシュ
Mariusz Zaruski,マリウシュ・ザルスキ
Mariusz Wach,マリウシュ・ヴァフ
Wincenty Rzymowski,ヴィンツェンティ・ジモフスキ
Kazimierz Serocki,カジミェシュ・セロツキ
Stanisław Jerzy Komorowski,スタニスワフ・コモロフスキ
Jan Stefani,ステファニ
Michał Spisak,ミハウ・スピサック
Julian Fałat,ユリアン・ファワト
Wanda Jablonski,ワンダ・ジャブロンスキー
Eric Piatkowski,エリック・パイカウスキー
Maciej Stuhr,マチェイ・シュトゥル
Elżbieta Chojnacka,エリーザベト・ホイナツカ
Stefania Woytowicz,ステファニア・ヴォイトヴィチ
Karol Lanckoroński,カロル・ランコロンスキー
Jan Kowalczyk,ヤン・コバルチク
Dominika Peczynski,ドミニカ・ペチンスキー
Stefan Niementowski,ステファン・ニーメントウスキー
Karolina Łukasik,カロリーナ・ウカシク
Alfred Korzybski,アルフレッド・コージブスキー
Barbara Hulanicka,バーバラ・フラニッキ
Léon Glovacki,レオン・グロヴァツキ
Marek Walczewski,マレック・ヴァルチェフスキ
Michał Łasko,ミカル・ラスコ
Witold Sobociński,ヴィトルド・ソボチンスキ
Piotr Adamczyk,ピョートル・アダムチク
Włodzimierz Smolarek,ヴォジミエシュ・スモラレク
Józef Kowalski,ユゼフ・コワルスキー
Jan Niecisław Baudouin de Courtenay,ヤン・ボードゥアン・ド・クルトネ
Grzegorz Krychowiak,グジェゴシュ・クリホビアク
Rudolf von Rüdesheim,ルドルフ・フォン・リューデスハイム
Juliusz Machulski,ジュリアス・マチュルスキ
Tomasz Hajto,トマシュ・ハイト
Roman Totenberg,ロマン・トーテンベルク
Zdzisław Peszkowski,ズジスワフ・ペシュコフスキ
Cyprian Kamil Norwid,ツィプリアン・ノルヴィット
Ludwik Rydygier,ルドヴィク・リディギエール
Ben Sahar,ベン・サハル
Józef Mehoffer,ユゼフ・メホフェル
Grzegorz Szamotulski,グジェゴシュ・シャモトゥルスキ
Gosia Andrzejewicz,ゴーシャ・アンジェイエヴィッチ
Maciej Popko,マチェイ・ポプコ
Karol Badyna,カロル・バディナ
Roman Kozłowski,ロマン・コズロースキー
Krzysztof Warzycha,クシシュトフ・ヴァジハ
Sławomir Idziak,スワヴォミール・イジャック
Tomasz Kot,トマシュ・コット
Marek Krajewski,マレック・クライェフスキ
Jerzy Grotowski,イェジー・グロトフスキ
Kazimierz Gilarski,カジミェシュ・ギラルスキ
Władysław Filipowiak,ヴワディスワフ・フィリポヴィアク
Kazimierz Dunin-Markiewicz,カジミェシュ・マルキエビッチ
Leszek Deptuła,レシェク・デプトゥワ
Łukasz Cieślewicz,シエスレヴィチ
Paweł Mąciwoda,パウエル・マキオダ
Aleksander Wielopolski,アレクサンデル・ヴィエロポルスキ
Lucjan Siemieński,ルツィヤン・シェミェンスキ
Lucjan Błaszczyk,ルシアン・ブラシュチック
Jarosław Kaczmarczyk,ヤロスラフ・カチマルチク
Łukasz Kruczek,ルカシュ・クルチェク
Adam Jerzy Czartoryski,アダム・イエジィ・チャルトリスキ
Łukasz Burliga,ウカシュ・ブルリガ
Oleg Łatyszonek,オレグ・ワティゾネク
Wilfrid Michael Voynich,ウィルフリッド・ヴォイニッチ
Maksymilian Piotrowski,マクシミリアン・ピョトロフスキ
Dariusz Szlachetko,ダリウシュ・シュラヘトコ
Mariola Zenik,マリオラ・ゼニク
Andrzej Towiański,アンジェイ・トヴィアンスキ
Paulina Maj-Erwardt,パウリナ・マイ
Łukasz Kubot,ルカシュ・クボット
Michał Jerzy Poniatowski,ミハウ・イェジー・ポニャトフスキ
Monika Jagaciak,モニカ・ヤガチャク
Leszek Kucharski,クハルスキー
Władysław Hieronim Sanguszko,ヴワディスワフ・ヒェロニム・サングシュコ
Kazimierz Deyna,カジミエシュ・デイナ
Szymon Szewczyk,シモン・シェブチック
Stefan Bibrowski,ステファン・ビブロフスキー
Jerzy Andrzejewski,イェジ・アンジェイェフスキ
Mamed Chalidow,マメッド・ハリドヴ
Paweł Fajdek,パヴェウ・ファジェク
Mariusz Błaszczak,マリュシュ・ブワシュチャク
Adam Asnyk,アダム・アスニク
Adam Bodzek,アダム・ボジェク
Adam Borys,アダム・ボリス
Adam Dziewoński,アダム・ジウォンスキー
Mariusz Wlazły,マリウシュ・ブラズウィー
Andrzej Dziubek,アンジェイ・ジュペック
Piotr Perkowski,ピオトル・ペルコフスキ
Marian Brandys,マリアン・ブランディス
Alexander Gruszynski,アレクサンダー・グラジンスキー
Maciej Rybus,マチェイ・リブス
Bartosz Salamon,バルトシュ・サラモン
Cywia Lubetkin,ツィヴィア・ルベトキン
Ala Gertner,アラ・ガルトナー
Marek Oramus,マレク・オラムス
Alojzy Orszulik,アロイジ・オルシュリク
Wadim Brodski,ヴァディム・ブロドスキー
Henryk Borowski,ヘンリック・ボロフスキ
Stanislav Andreski,スタニスラフ・アンジェイエフスキー
Bernard Ładysz,ベルナルド・ワディシュ
Krzesimir Dębski,クシェシミル・デプスキ
Krzysztof Baculewski,クシシュトフ・バツレフスキ
Grzegorz Wojtkowiak,グレゼゴルツ・ボジュコビァク
Adam Ferency,アダム・フェレンツィ
Krzysztof Pomian,クシシュトフ・ポミャン
Piotr Kamler,ピョートル・カムラー
Marta Zolynska,マルタ・ゾリンスカ
Adam Darski,ネルガル
Wiesław Boryś,ヴィエスワフ・ボリス
Marian Opania,マリアン・オパニア
Adrian Basta,アドリアン・バスタ
Francis Gabreski,フランシス・S・ ギャビー ・ガブレスキー
Irina Zaricka,イリーナ・ザリツカヤ
Anna Kamieńska,アンナ・カミエンスカ
Anita Lobel,アニタ・ローベル
Eugeniusz Knapik,エウゲニウシュ・クナピック
Magdalena Frąckowiak,マグダレナ・フラッコウィアック
Borys Lankosz,ボリス・ランコシュ
Wojciech Skalmowski,ボイチェフ・スカルモフスキ
Robert Krawczyk,ロベルト・クラフチク
Zbigniew Rychlicki,ズビグニエフ・ルィフリツキ
Janusz Kochanowski,ヤヌシュ・コハノフスキ
Bronisław Kwiatkowski,ブロニスワフ・クフャトコフスキ
Ryszard Ostrowski,リシャルド・オストロフスキー
Mikołaj Trąba,ミコライ・トラバ
Rudolf Dreszer,ルドルフ・ドレシェル
Jakub Przygoński,ヤクブ・プルジゴンスキー
Ryszard Legutko,リチャード・ウェグトゥコ
Henryk Iwański,ヘンリク・イヴァンスキ
Stanisław Drzewiecki,スタニスワフ・ジェヴィエツキ
Dariusz Kuć,ダリウシュ・クーツ
Michał Żebrowski,ミハウ・ジェブロフスキ
Aleksander Krzyżanowski,ヴィルク大佐
Irena Weissowa,イレーナ・ヴァイソワ
Witold Hurewicz,ヴィトルト・フレヴィチ
Agnieszka Pachałko,アグニスカ・パハウコ
Małgorzata Rożniecka,マルゴーサタ・ ロズニエッカ
Téodor de Wyzewa,ヴィゼヴァ
Waldemar Kita,ヴァルデマール・キタ
Teresa Maryańska,テレサ・マリヤンスカ
Czesław Wołłejko,チェスワフ・ヴォレイコ
Małgorzata Olejnik,マウゴジャータ・オレイニク
Samuel Pisar,サミュエル・ピサール
Monika Anna Wojtyllo,モニカ・アンナ・ヴォイティロ
Aleksander Doba,アレクサンデル・ドバ
Szymon Mondszajn,シモン・モンザン
Kristof Konrad,クリストフ・コンラッド
Aleksandra Kwaśniewska,アレクサンドラ＆ザ・ベルジャン・スウィーツ
Jakub Avigdor,ヤコブ・アフィグドール
Janusz Karweta,ヤヌシュ・カルヴェタ
Andrzej Czok,アンジェイ・チョク
Robert Grzegorczyk,ロベルト・グジェゴルチク
Aleksander Sulkiewicz,アレクサンデル・スルキェヴィチ
Stefan Kudelski,ステファン・クデルスキ
Janko z Czarnkowa,ツァルンクフのヤンコ
Weronika Rosati,ヴェロニカ・ロサティ
Tadeusz Wroński,タデウシュ・ヴロンスキ
Agata Durajczyk,アガタ・ヴィトコフスカ
Wojciech Łuczak,ヴォイチェフ・ウチャク
Henryk Machalica,ヘンリック・マハリツァ
Antoni Łazarkiewicz,アントニ・コマサ＝ワザルキュヴィチ
Ludwik Abramowicz,ルドヴィク・アブラモヴィチ
Alf Francis,アルフ・フランシス
Wacław Laska,ヴァーツラフ・ラースカ
Karol Sabath,カロル・サバト
Aron Cajtlin,アーロン・ゼイトリン
Adam Karol Czartoryski,アダム・カロル・チャルトリスキ
Adam Ludwik Czartoryski,アダム・ルドヴィク・チャルトリスキ
Alfred Miodowicz,アルフレト・ミョドヴィチ
Alfred Znamierowski,アルフレト・ズナミエロフスキ
Agata Sawicka,アガタ・サビツカ
Mojżesz ben Israel Isserles,モーシェ・イッセルレス
Moshe Lewin,モーシェ・レヴィン
Dmitrij Fiłosofow,ドミトリー・フィロソフォフ
Agata Szymczewska,アガータ・シムチェフスカ
Alicja Tchórz,アリツィア・トッシュ
Jerzy,イェジー
Jerzy,イェジー
Leopold Socha,レオポルド・ソハ
Janusz Wojciechowski,ヤヌシュ・ボイチェホフスキ
Andrzej Jaros,アンジェイ・ヤロス
Rune Holta,ルネ・ホルタ
Józef Tracz,ヨーゼフ・トラッチ
Sylwia Pycia,シルビア・ピチャ
Piotr Paleczny,ピオトル・パレチニ
Artur Waś,アルトゥル・ワス
Bronisław Grąbczewski,ブロニスラフ・グロンブチェフスキー
Sławomir Fabicki,スワヴォミル・ファビツキ
Michał Dworzyński,ミハウ・ドヴォジンスキ
Tadeusz Sygietyński,タデウシュ・スィギェティンスキ
Andrzej Fidyk,アンジェイ・フィディック
Tadeusz Stryjeński,タデウシュ・ストルィイェンスキ
Tatiana Szebanowa,タチアナ・シェバノワ
Magdalena Grzybowska,マグダレナ・グジボフスカ
Andrzej Kostenko,アンジェイ・コステンコ
Seweryn Eisenberger,ゼヴリン・アイゼンベルガー
Ewa Dałkowska,エヴァ・ダウコフスカ
Jakub Gimpel,ヤコブ・ギンペル
Bartłomiej Bonk,バルトロミエ・ボンク
Andrzej Grzegorczyk,アンジェイ・グジェゴルチク
Andrzej Markowski,アンドレイ・マルコフスキー
Artur Woźniak,アルトゥル・ヴォジニャク
Aleksandra Jagieło,アレクサンドラ・ヤゲーロ
Artur Jędrzejczyk,アルトゥル・イェンドジェイチク
Aleksandra Żelichowska,アレクサンドラ・ジェリホフスカ
Maria Kalergis,マリア・カレルギス
Kazimierz Dłuski,カジュミェシュ・ドウズキ
Ilona Senderek,イロナ・センデレク
Andrzej Mularczyk,アンジェイ・ムラルチク
Tomasz Dąbal,トマシュ・ダンバル
Elżbieta Kazimierzówna,エルジュビェタ・カジミェジュヴナ
Stanisław Kot,スタンスラフ・コット
Maciej Bernadowski,マチェイ・ベルナドウスキー
Krzysztof Komosa,クシシュトフ・コモサ
Władysław Zamoyski,ヴワディスワフ・ザモイスキ
Dawid Kupczyk,ダヴィッド・クプチュク
Andrzej Smolik,アンジェイ・スモリク
Waldemar Piątek,ヴァルデマル・ピョンテク
Jan Buzek,ヤン・ブゼク
Zuzanna Szwed,ズザンナ・シュフェト
Zbigniew Drzewiecki,ズビグニェフ・ジェヴィエツキ
Andrzej Wąsowski,アンジェイ・ザソフスキ
Borys Szyc,ボリス・スジック
Aleksy Antkiewicz,アレクシー・アントキービック
Jerzy Harasymowicz,イエジ・ハラシュモーヴィチ
Waldemar Legień,バルデマール・レジェン
Rafał Grzelak,ラファウ・グジェラク
Bolesław Biegas,ボレスラス・ビエガス
Bolesław Bronisław Duch,ブロニスワフ・ドゥフ
Witold Bańka,ヴィトルト・バンカ
Aneta Szczepańska,アネタ・シュチェパンスカ
Marian Zygmunt Władysław Dygat,ジグムント・ディガット
Xawery Żuławski,クサヴェリ・ジュワフスキ
Józef Boguski,ユゼフ・ボグスキー
Anna Gornostaj,アンナ・ゴルノスタジ
Kazimierz Kord,カジミエシュ・コルト
Józef Lewoniewski,ユゼフ・レヴォニェフスキ
Patrycja Maliszewska,パトリシア・マリジェフスカ
Ania Marson,アニア・マーソン
Agnieszka Jerzyk,アグニェシュカ・イェジック
Jan Zumbach,ヤン・ズムバッハ
Katarzyna Gajgał-Anioł,カタジナ・ガイガウ
