Andrzej Wajda,アンジェイ・ワイダ
Karol Angielski,カロル・アンギェルスキ
Mateusz Bieniek,マテウシュ・ビエニエク
Damian Gąska,ダミアン・ゴンスカ
Łukasz Kaczmarek (siatkarz),ウーカシュ・カチュマレク
Michalina Olszańska,ミハリーナ・オルシャンスカ
Cyryl Kozaczewski,ツィリル・コザチェフスキ
Arkadiusz Reca,アルカディウシュ・レツァ
Jarosław Jach,ヤロスワフ・ヤッハ
Agnieszka Niedźwiedź,アグニシュカ・ニエズビッチ
Martyna Łukasik,マルティナ・ウカシク
Krzysztof Piątek,クシシュトフ・ピョンテク
Dawid Kudła,ダヴィド・クドワ
Patryk Dziczek,パトリク・ジチェク
Sebastian Szymański (piłkarz),セバスティアン・シマンスキ
Przemysław Szymiński,プジェミスワフ・シミンスキ
Mateusz Lis,マテウシュ・リス
Piotr Wlazło,ピオトル・ヴラズウォ
Piotr Zioła,ピオトル・ジオワ
Kamil Jóźwiak,カミル・ヨズヴィアク
Robert Gumny,ロベルト・グムニー
Matty Cash,マティ・キャッシュ
Jacek Góralski,ヤツェク・グラルスキ
Patryk Klimala,パトリク・クリマラ
Kamil Semeniuk,カミル・セメニュク
Radosław Majecki,ラドスワフ・マイェツキ
Jadwiga Szubartowicz,ヤドウィガ・スズバルトヴィチ
Iga Świątek,イガ・シフィオンテク
Bartosz Bielenia,バルトシュ・ビィエレニア
Alina Scholtz,アリナ・ショルツ
Adrian Danek,アドリアン・ダネク
Szymon Żurkowski,シモン・ジュルコフスキ
Beata Pacut-Kłoczko,ベアタ・パツト
Julia Kowalczyk,ユリア・コバルチク
Nela mała reporterka,ネラ・ザ・リトル・レポーター
Przemysław Płacheta,プシェミスワフ・プワヘタ
Wanda Wierzchleyska,ワンダ・ヴィエルツクレイスカ
Kryscina Cimanouska,クリスツィナ・ツィマノウスカヤ
Mateusz Praszelik,マテウシュ・プラスゼリク
Ralph Kaminski,ラルフ・カミンスキ
Karol Niemczycki,カロル・ニェムチツキ
Tymoteusz Puchacz,ティモテウシュ・プハチ
Tekla Juniewicz,テクラ・ユニェヴィチ
Maria Stenzel,マリア・ステンゼル
Olivia Różański,オリビア・ロジャンスキ
Jakub Moder,ヤクブ・モデル
Klaudia Alagierska-Szczepaniak,クラウディア・アラギェルスカ
Julia Nowicka,ユリア・ノビツカ
Alan Czerwiński,アラン・チェルヴィンスキ
Mateusz Żukowski,マテウシュ・ジュコフスキ
Sebastian Walukiewicz,セバスティアン・ヴァルキエヴィツ
Kamil Grabara,カミル・グラバラ
Jekatierina Kurakowa,エカテリーナ・クラコワ
Filip Marchwiński,フィリプ・マルチヴィニスキ
Mateusz Młyński,マテウシュ・ムウィニスキ
Mateusz Bogusz,マテウシュ・ボグシュ
Sebastian Kowalczyk (piłkarz),セバスティアン・コヴァルチク
Magdalena Stysiak,マグダレナ・スティシャク
Krzysztof Ciebień,クシシュトフ・チェベン
Mateo Klimowicz,マテオ・クリモヴィッツ
Michał Skóraś,ミハウ・スコラシュ
Jacek Izydorczyk,ヤツェク・イズィドルチク
Paweł Milewski,パヴェウ・ミレフスキ
Michał Karbownik,ミハエル・カルボニック
Jakub Kamiński (piłkarz),ヤクブ・カミンスキ
Jakub Kiwior,ヤクブ・キヴィオル
Kamil Piątkowski,カミル・ピョンツコフスキ
Jan Sobociński,ヤン・ソボチンスキ
Nicola Zalewski,ニコラ・ザレフスキ
Serafin Szota,セラフィン・ショタ
Viki Gabor,ヴィキ・ガボール
Bartosz Slisz,バルトシュ・スリシュ
Zuzanna Górecka,スザンナ・ゴレツカ
Aleksander Buksa,アレクサンデル・ブクサ
Kacper Kozłowski (piłkarz),カツペル・コズウォフスキ
Angelika Szymańska,アンジェリカ・シマンスカ
Bartosz Białek,バルトシュ・ビャウェク
Łukasz Różański,ルカシュ・ロザンスキー
Gabriel Slonina,ガブリエル・スロニナ
Kacper Smoliński (piłkarz),カツペル・スモリンスキ
Polska 2050,ポーランド2050
Jeremy Sochan,ジェレミー・ソーハン
Katarzyna Wenerska,カタジナ・ベネルスカ
Helena Krasowska,ヘレナ・クラソフスカ
Mateusz Łęgowski,マテウシュ・ウェンゴフスキ
