Tokyo,東京
Hokuto-shi,北斗市
Ishikari-shi,石狩市
Monbetsu Shi,紋別市
Nayoro Shi,名寄市
Ōnuma-gun,大沼郡
Minamisōma Shi,みなみそうまし
Bandō Shi,坂東市
Chikusei Shi,ちくせいし
Hitachi-ōmiya Shi,常陸大宮市
Hokota Shi,鉾田市
Ishioka Shi,石岡市
Itako Shi,潮来市
Jōsō Shi,常総市
Namegata Shi,行方
Omitama Shi,小美玉市
Takahagi Shi,高萩市
Tsukuba-mirai Shi,つくばみらい市
Tsukuba Shi,つくば市
Ushiku Shi,牛久市
Nasu-karasuyama Shi,那須烏山市
Nasu-shiobara Shi,那須塩原市
Sakura Shi,サクラシ
Sano Shi,佐野市
Tochigi Shi,栃木市
Agatsuma-gun,吾妻郡
Tone-gun,利根郡
Annaka Shi,安中
Fujioka Shi,藤岡市
Kiryū Shi,桐生市
Midori Shi,みどり市
Numata Shi,ぬまたし
Tatebayashi Shi,タテバヤシシ
Kunisaki-shi,国東市
Nanto Shi,南砺市
Higashikagawa Shi,東かがわ市
Ayauta-gun,綾歌郡
Fujitsu-gun,藤津郡
Imari Shi,伊万里市
Kanzaki-gun,神埼郡
Kanzaki Shi,神埼市
Kishima-gun,杵島郡
Ureshino Shi,うれしのし
Izumisano Shi,泉佐野市
Ōsaka-sayama Shi,大阪狭山市
Sennan Shi,せんなんし
Toyonaka Shi,豊中市
Senboku-gun,泉北郡
Kurayoshi Shi,倉吉市
Iwami-gun,岩美郡
Miyako-gun,宮古郡
Miyakojima Shi,宮古島市
Nanjō Shi,ナンジョウシ
Uruma Shi,うるまし
Minamitsuru-gun,南都留郡
Nakakoma-gun,中巨摩郡
Minami Alps Shi,南アルプス市
Hokuto Shi,北杜市
Fuefuki Shi,笛吹市
Kōshū Shi,甲州市
Chūō Shi,中央市
Kamiminochi-gun,上水内郡
Kiso-gun,木曽郡
Chikuma Shi,千曲市
Tōmi Shi,東御市
Inabe-gun,員弁郡
Minamimuro-gun,南牟婁郡
Taki-gun,多気郡
Inabe-shi,いなべ市
Kameyama Shi,亀山市
Shūchi-gun,周智郡
Izunokuni-shi,伊豆の国市
Makinohara Shi,牧之原市
Shimada-shi,島田市
Hikawa-gun,簸川郡
Ishii Gun,飯石郡
Nita Gun,仁多郡
Kanoashi Gun,鹿足郡
Unnan Shi,ウンナンシ
Yasugi Shi,安来市
San'yō-onoda Shi,山陽小野田市
Shūnan Shi,シュウナンシ
Maibara-shi,米原市
Higashiazai-gun,ひがしあざいぐん
Inukami-gun,犬上郡
Kitakatsuragi-gun,北葛城郡
Takaichi-gun,高市郡
Yamabe-gun,山辺郡
Funai-gun,船井郡
Kuse-gun,久世郡
Otokuni-gun,乙訓郡
Tsuzuki-gun,綴喜郡
Miyazu Shi,宮津市
Mukō Shi,向日市
Yawata Shi,八幡市
Kyōtango Shi,京丹後市
Nantan Shi,南丹市
Kyōtanabe Shi,京田辺市
Katsuragi Shi,葛城市
Uda Shi,宇陀市
Ashikita-gun,芦北郡
Kamimashiki-gun,上益城郡
Kamoto-gun,鹿本郡
Kuma-gun,球磨郡
Shimomashiki-gun,下益城郡
Yamaga Shi,山鹿市
Kamiamakusa Shi,上天草市
Uki Shi,宇城市
Kōshi Shi,合志市
HIgashimorokata Gun,東諸県郡
Kitamorokata Gun,北諸県郡
Miyazaki Gun,宮崎郡
Nishimorokata Gun,西諸県郡
Nishiusuki-gun,西臼杵郡
Kobayashi Shi,小林
Hayami-gun,速見郡
Higashikunisaki-gun,東国東郡
Beppu Shi,べっぷし
Bungo-ōno Shi,豊後大野市
Aida-gun,英田郡
Kaga-gun,加賀郡
Maniwa-gun,まにわぐん
Wake-gun,和気郡
Ibara Shi,井原市
Sōja Shi,総社市
Niimi Shi,新見市
Setouchi Shi,瀬戸内市
Akaiwa Shi,赤磐
Maniwa Shi,真庭市
Asakuchi Shi,浅口市
Sukumo Shi,宿毛市
Shimanto Shi,四万十市
Kōnan Shi,香南市
Kami Shi,香美市
Shikoku-chūō Shi,四国中央市
Mima Gun,美馬郡
Myōdō Gun,名東郡
Naka Gun,那賀郡
Yoshinogawa Shi,吉野川市
Mima Shi,美馬市
Miyoshi Shi,三好市
Asakura-gun,朝倉郡
Mii-gun,三井郡
Miyako-gun,京都郡
Mizuma-gun,三瀦郡
Yawatahama,八幡浜
Arashiyama,嵐山
Nanto-shi,南砺
Kihoku-chō,鬼北町
Tōon-shi,東温市
Kamiukena-gun,上浮穴郡
Aso,阿蘇
Iruma Ab,入間基地
Yumenoshima Park,夢の島公園
Kōya,高野町
Abura Yama,油山
Nokata,野方
Hidaka-shi,日高市
Ozasa,小笹
Kanmaki,上牧
Kumage-gun,熊毛郡
Toyono Gun,豊能郡
Kai-shi,甲斐市
Katsuura-shi,勝浦市
Kitahiroshima-shi,北広島市
Kitasoma-gun,北相馬郡
Tamura-shi,田村市
Motomiya-shi,本宮市
Itoshima-shi,糸島市
Semboku-shi,仙北市
Izu-shi,伊豆市
Sanuki-shi,さぬき市
Kashihara-shi,橿原市
Naruto-shi,鳴門市
Space World,スペースワールド
Sue,須恵
Taishi,太子
Ama-Shi,あま市
Yufu-shi,由布市
Shimotsuke-shi,下野市
Takashima-shi,高島市
Etajima-shi,江田島市
Kumage-gun,熊毛郡
Kasumigaura Shi,かすみがうらし
Tsuruta,鶴田
Yokosuka Research Park,よこすかりさーちぱーく
Fujimi,富士見町
Arisugawa park,有栖川宮記念公園
Kōnan Airport,岡南飛行場
Īhatōbu no Fūkeichi Igirisu Kaigan,イーハトーブノフウケイチイギリスカイガン
Hirosaki Kōen,オウヨウエン
Nishino Umi,西湖
Higashino Umi,東湖
Nishitsugaru-gun,西津軽郡
Lake Shoji,精進湖
Sumida Kōen,隅田公園
Matsubushi,松伏
Arao,あらお
Kamikawa,神河町
Motobu,本部町
Itōpia Zushi Hayama Danchi,イトーピア逗子葉山団地
Konosu-Shi,鴻巣市
Minami-Alps,南アルプス
Yomitan,読谷村
Seiyo Shi,セイヨシ
Azumino-Shi,安曇野市
Fujiyoshida,富士吉田市
Shonai,庄内町
Ozora,大空町
Shikabe,鹿部飛行場
Himi,氷見市
Takizawa,滝沢
Yasu,野洲
Tachikawa,立川
Saito,西都
Mitoyo,三豊
Hyūga,日向
Higashikurume,東久留米
Hamura,羽村
Arida,有田
Kodaira,小平
Katō,加東
Kai,甲斐
Sakura,さくら
Shirakawa,白河
Mizuho,瑞穂
Kasai,加西
Minamiawaji,南あわじ
Shisō,宍粟
Tanba,丹波
Higashikagawa,東かがわ
Kōshi,合志
Uki,宇城
Konan,湖南
Chūō,中央区
Fuefuki,笛吹
Kōshū,甲州
Semboku,仙北
Miyota,御代田
Isawa-gun,胆沢郡
Kamikawa-gun (Tokachi),上川郡
Kamikawa-gun (Teshio no kuni),上川郡 (天塩国)
Kuwana,桑名市
Somuteki,初無敵
Country Farm German Village,東京ドイツ村
Tagami,田上
Aioi Shi,相生市
Yashio-shi,八潮市
I Kko,いっこ
Ni Ko,にこ
San Ko,サンコ
Yon Ko,よんこ
Go Ko,ゴコ
Hokuto,北杜
Miharashi Kōen,旧岩船氏庭園
Seaside Momochi Seaside Park,シーサイドももち海浜公園
Momochi 1st Pedestrian Path,百道1号緑道
Momochi 2nd Pedestrian Path,百道2号緑道
Tenjin Central Park,県営天神中央公園
Odo Park,小戸公園
Fukuoka Prefectural Higashi Park,福岡県営東公園
Nishi Koh'en,福岡県営西公園
Tomiya-shi,富谷市
Nakagawa,なかがわし
Hakata Fishing Port,博多漁港
Kego Park,警固公園
Ōhama Park,大浜公園
Baikōen Greenway,梅光園緑道
Minami Park,南公園
Shōfū-en,松風園緑地
Hamanomachi Park,浜の町公園
Arita higashi Park,有田東公園
Najima Sports Park,福岡県営名島運動公園
Island City Central Park,アイランドシティ中央公園
San-nō Park,山王公園
Heiwa-minami Special Green Space Conservation District,平和南特別緑地保全地区
Ozasa minami-kōen Nature Reserve,小笹南公園 自然保護区
Itazuke Site,板付遺跡
Kashii-hama-minami kōen,香椎浜南公園
Tokura Ko,徳良湖
Ōhira,大衡
Yuzhno-Kurilsk,ユジノ・クリリスク
Okushiri,奥尻
Nyūmai Zaki,にゅうまいざき
Nanba Misaki,難波岬
Muen Jima,無縁島
Kogane Zaki,コガネザキ
Katsuma Yama,カツマヤマ
Kamui Yama,かむいやま
Inaho Misaki,イナホミサキ
Gakeno Misaki,崖ノ岬
Futagoe Misaki,フタゴエミサキ
Iturup Island,択捉島
Tokorochō-kyōritsu,常呂町共立
Kuzumaki,葛巻町
Kutsugata Misaki,くつがたみさき
Kushiro Heiya,くしろへいや
Kurohajiri Zaki,黒羽尻崎
Koshimizu,小清水町
Kosaka,小坂町
Komayano Saki,こまやのさき
Komaga Take,藤里駒ヶ岳
Hakamakoshi Yama,袴腰山
Kogawa,コガワ
Koetoi Misaki,こえといみさき
Koetoi,声問
Kodomari Misaki,小泊岬
Kodomari,コドマリ
Kobuichō,こぶいちょう
Kitsunegoshi Misaki,狐越岬
Kimobetsu,喜茂別
Kikonai,キコナイ
Kenbokke Tō,嶮暮帰島
Hamasaroma,浜佐呂間
Kanedano Misaki,金田ノ岬
Kamuinupuri,カムイヌプリ
Kamui Dake,神威岳
Gome Jima,ごめじま
Shanabuchi,社名淵
Kamisatsukuru,カミサツクル
Kamiokoppe,かみおこっぺ
Kaminokuni,上ノ国
Utanobori-ketobetsu,歌登毛登別
Kamikawa,上川町
Kaikō Zan,カイコウザン
Kafukamura,香深
Jūni Dake,じゅうにだけ
Jōbōji,浄法寺町
Iwaki San,いわきさん
Isomoshiri Tō,イソモシリ島
Imabetsu,いまべつ
Ikutahara,イクタハラ
Ikeda,池田町
Ikama Zaki,イカマザキ
Hyakken Dake,ひゃっけんだけ
Poroshiri Dake,幌尻岳
Hokuryū,北竜町
Hiroo Dake,ひろおだけ
Higashibarō,ひがしばろう
Hattaushi,ハッタウシ
Hatsukami Yama,ハツカミヤマ
Hanasaki Misaki,はなさきみさき
Hanasakichō,花咲町
Hanaguri Zaki,はなぐりざき
Hamasarufutsu,はまさるふつ
Hako Dake,ハコダケ
Hakamagoshi Dake,はかまごしだけ
Hachiman Dake,八幡岳
Tappu,タップ
Gome Misaki,ごめみさき
Genpachi Mori,源八森
Futago JIma,ふたごじま
Futago Hana,ふたごはな
Matsukayō Misaki,マツカヨウ岬
Furano,富良野
Fukushima,福島町
Etanpakku Yama,エタンパックヤマ
Esashi,枝幸町
E San,えさん
Erimo Misaki,襟裳岬
Erimomisaki,えりも岬
Mukaiengaru,向遠軽
Daisangen Dake,だいせんげんだけ
Daikoku Jima,大黒島
Chōshi Misaki,チョウシミサキ
Chōbushi Ko,長節湖
Chippubetsu,秩父別町
Bōzu Dake,ボウズダケ
Misaki,みさき
Biruwa-gen’ya,ビルワゲンヤ
Biratori,平取町
Birao Zan,美羅尾山
Benten Numa,弁天沼
Benten Jima,ベンテンジマ
Azuma Dake,アズマダケ
Atosanupuri,あとさぬぷり
Asanai Numa,浅内沼
Asajino,浅茅野
Asahina Dake,アサヒナダケ
Asahi-dake,旭岳
Apoi Dake,アポイ岳
Akaigawa,赤井川
Aibetsu,愛別町
Aburame Zaki,油目崎
Abira,安平
Yomogita,蓬田村
Zaō San,蔵王山
Yakeishi Dake,焼石岳
Yakei Jima,八景島
Yadaijin Yama,矢大臣山
Wada,和田町
Utatsu Saki,歌津崎
Tsuchizakiminato-higashi,ツチザキミナトヒガシ
Higashino Saki,東ノ崎
Tomioka,富岡町
Tashiro Jima,田代島
Takahinata Yama,タカヒナタヤマ
Taitō Zaki,太東崎
Mount Suribachi,摺鉢山
Sumisu Jima,すみすじま
Sōfu Gan,孀婦岩
Misakichō-shiigi,ミサキチョウシイギ
Sagorō Bana,サゴロウバナ
Oshika Hantō,オシカハントウ
Osaki Misaki,御崎岬
Onogawa Ko,小野川湖
Onagawa Chō,女川町
Ōmaemi Jima,大前見島
Okunoya,奥谷
Okikajikake Ne,おきかじかけね
Ōishida,大石田町
Ogatsuchō-ogatsu,雄勝町雄勝
Nishino Shima,西之島
Ninjin Tō,人参島
Nihonmatsu Hana,にほんまつはな
Nikijō Zaki,ニキジョウザキ
Nanpō Shotō,南方諸島
Namakusa Jima,なまくさじま
Nakōdo Jima,なこうどじま
Myōken Zan,みょうけんざん
Mukojima Rettō,聟島列島
Mukō Jima,向島
Muko Jima,むこじま
Miyago Jima,ミヤトジマ
Marcus Island,南鳥島
Minamiiō Jima,ミナミイオウジマ
Matsushima Guntō,まつしまぐんとう
Maebara,前原
Kuro Saki,黒崎
Kurikoma Yama,栗駒山
Kōzaki,神崎町
Komaemi Jima,コマエミジマ
Komaga Mine,駒ヶ峰
Komaga Dake,秋田駒ヶ岳
Koide Shima,コイデシマ
Kinkasan,きんかさん
Kesennuma,気仙沼
Kawasaki,川崎町
Kamogawa,鴨川
Katsura Shima,かつらしま
Kaneyama,金山
Kagobō Yama,加護坊山
Iwaizumi,岩泉町
Iizakamachi,飯坂町
Hi Yama,日山
Hanawa,塙
Hakamaga Dake,袴ヶ岳
Hahajima Rettō,母島列島
Haha Jima,母島
Hachiman Misaki,ハチマンミサキ
Gojōnome,五城目町
Goishi Misaki,ゴイシミサキ
Ga Ssan,月山
Futawatashihama,フタワタシハマ
Funairi Jima,フナイリジマ
Funagata,舟形
Dairokuten Zan,だいろくてんざん
Torinosu Saki,トリノスサキ
Chōnan,チョウナン
Chichijima Rettō,父島列島
Chiba Peninsula,ぼうそうはんとう
Bandai San,磐梯山
Awabiara Saki,アワイアラサキ
Atsui Saki,アツイサキ
Ashika Jima,海驢島
Asakawa,浅川町
Arayamachi,新屋町
Akimoto Ko,秋元湖
Aji Shima,網地島
Akanchō-yūbetsu,アカンチョウユウベツ
Yotsudaki Yama,よつだきやま
Yoshi Jima,ヨシ島
Yokohama,横浜
Yagoshi Misaki,矢越岬
Wassamu,和寒町
Uchimanbe,ウチマンベ
Utsu Dake,ウツダケ
Utonai Ko,ウトナイ湖
Usutaibe Misaki,うすたいべみさき
Usujirichō,ウスジリチョウ
Uryū,雨竜町
Wenshiri Dake,ウェンシリ岳
Tsukigata,月形町
Toyoura,豊浦町
Toyosaki,とよさき
Toyoni Dake,トヨニダケ
Toyokoro,豊頃町
Tokorochō-toyokawa,とよかわ
Towada Yama,十和田山
Tottabetsu Dake,戸蔦別岳
Tōsamuporo Misaki,トーサムポロミサキ
Tomoshiri Tō,友知島
Hobetesu-tomiuchi,穂別富内
Tomari,泊村
Tokumitsu,とくみつ
Mineoka,みねおか
Tokachi-dake,十勝岳
Tokachi Dake,十勝岳
Todo Shima,トドシマ
Kani Iwa,カニ岩
Tōfutsu Misaki,霧多布岬
Teshikaga,弟子屈町
Tamiyasu San,タミヤスサン
Takkobu,タッコブ
Takinoue,滝上町
Takikawa,滝川
Suneko Misaki,すねこみさき
Soeushinai,ソエウシナイ
Sōbetsu,壮瞥町
Kasugachō,かすがちょう
Shubun Dake,シュブンダケ
Shiriyazaki,尻屋崎
Shirepa Misaki,尻羽岬
Shiretoko Hantō,知床半島
Shiranuka,白糠町
Shirakami Dake,シラカミダケ
Shirakami Misaki,しらかみみさき
Shintoku,新得町
Furubira,古平町
Shimukappu,占冠村
Shimokita Hantō,下北半島
Shimizu,清水町
Shikabe,しかべ
Utanobori-shibiutan,ウタノボリシビウタン
Shibetsu Dake,シベツダケ
Shibecha,しべちゃ
Setose-higashimachi,せとせひがしまち
Senhōshi Saki,センホウシサキ
Senpōji,センポウジ
Santō Zan,サントウザン
Samakishiri Yama,さまきしりやま
Sabishirotai,サビシロタイ
Rusutsu,留寿都
Ruchishi Yama,ルチシヤマ
Rebun Dake,れぶんだけ
Rausu Dake,羅臼岳
Rasutappe Misaki,ラスタッペミサキ
Rankoshimachi,蘭越町
Rakko Dake,ラッコダケ
Poroshiri Yama,幌尻山
Poronupuri Yama,ぽろぬぷりやま
Pisshiri Zan,ピッシリザン
Pirikaneppu,ぴりかねっぷ
Pirigai San,ピリガイ山
Pippu,比布町
Binneshiri Dake,敏音知岳
Ōyo Jima,おおよじま
Ōwani,大鰐町
Otoineppu,音威子府
Otofuke Yama,音更山
Otobe,乙部町
Otchūbe,おっちゅうべ
Utakoshi,ウタコシ
Oshamambe,長万部
Orizume Dake,オリヅメダケ
Onnebetsumachi,オンネベツマチ
Onishibetsu-higashimachi,鬼志別
Oma Cape,おおまざき
Utanobori-ōmagari,大曲
Ōma,大間
Oketo,置戸
Oikamanai Numa,生花苗沼
Ōbana Misaki,オオバナミサキ
Ohanabe Yama,オハナベヤマ
Oguruma Dake,小車岳
Kogura Dake,小倉岳
Ōfunechō,おおふねちょう
Ōdose Saki,大戸瀬崎
Ōdate Bonchi,オオダテボンチ
Ochiishi Misaki,おちいしみさき
Obirachō,小平町
Oakan Dake,雄阿寒岳
Numata,沼田町
Noshappu Misaki,ノシャップミサキ
Nosappu Misaki,ノサップミサキ
Noda,野田
Noboribetsu,登別
Nobeji,野辺地
Nipesotsu Yama,ニペソツヤマ
Niki,仁木町
Nanatsu Dake,ナナツダケ
Nakasato,中里町
Eidaichō,エイダイチョウ
Nakaotofuke,なかおとふけ
Nakaokoppe,中興部
Naka Jima,ナカジマ
Nakaashoro,中足寄
Moyururi Tō,もゆるりとう
Motomurachō,もとむらちょう
Hontomari Saki,ホントマリサキ
Moura Jima,茂浦島
Mizugasawa Yama,水ヶ沢山
Minamisarakishi,ミナミサラキシ
Minmaya,ミンマヤ
Medaki Yama,メダキヤマ
Meakan Dake,雌阿寒岳
Matsumae,福山
Matsukura Yama,まつくらやま
Maruseppu-motomachi,丸瀬布元町
Manokami Yama,マノカミヤマ
Chabana,茶花
Bora Zaki,母衣崎
Bishago Dake,鵃岳
Beyonēsu Retsugan,べよねえすれつがん
Banzaburō Dake,万三郎岳
Azuma Shima,アヅマシマ
Awa Shima,粟島
Atago Yama,アタゴヤマ
Atata Jima,阿多田島
Ashitaka Yama,愛鷹山
Asama-yama,浅間山
Asakusa,浅草
Asagaya-minami,阿佐ヶ谷
Arasanzukano Hana,荒三塚ノ鼻
Araku,新久
Arakai San,荒海山
Arai,新井
Aoga Shima,青ヶ
Ame Zaki,アメザキ
Kami Shima,かみしま
Amagi,天城
Ama,海士
Akune,阿久根
Akiyamagō,秋山郷
Aka Jima,阿嘉島
Akaishi-dake,赤石岳
Ajirono Hana,網代ノ鼻
Aino-shima,あいのしま
Nishimikabo Yama,西御荷鉾山
Nishihara,西原
Namihaya Zaki,波早崎
Nambu,南部
Nakoushi,なこうし
Nakaoshi,仲尾次
Nakano Shima,中ノ島
Nakano Shima,軽石島
Nakandakari,ナカンダカリ
Nakama Zaki,ナカマザキ
Nagatsutachō,長津田町
Naganohara,長野原町
Nagannu Jima,ナガンヌ島
Myōken Misaki,妙見岬
Myōjinga Dake,明神ヶ岳
Muzuki-jima,睦月島
Mutsure Jima,六連島
Mukai Jima,向島
Motoyama,本山
Motoko Shima,茂床島
Mochizuki,望月
Miyake Jima,三宅島
Miyahara,宮原
Miyada,宮田村
Miwa Yama,三輪山
Mitsuke Jima,見附島
Misaki,三崎
Mino,美濃
Minna Shima,水納島
Minano,皆野
Minamidaitō Jima,南大東島
Miminashi Yama,耳成山
Nagiso,南木曽町
Umi no Nakamichi,海の中道
Me Jima,女島
Mengame Yama,女亀山
Matsuzaki,松崎町
Madachi Jima,真立島
Mata Shima,股島
Marugami Shima,丸上島
Manazuru,真鶴町
Shimo Shima,下島
Makurazaki,枕崎
Mage Shima,馬毛島
Kyōzaki Bana,京崎鼻
Kyoda,許田
Kazura Shima,葛島
Ku Zaki,草崎
Ko-shima,沓島
Kusakabe-honmachi,草壁本町
Kuroshima Bana,黒島鼻
Kuro Shima,黒島
Kurio,栗生
Kurahashi Jima,倉橋島
Kumano Dake,二ノ岳
Kujū Renzan,くじゅう連山
Hakusanchō-sada,白山町佐田
Kuchinoerabu-jima,口永良部島
Kubote San,求菩提山
Kōzushima,神津島村
Kozakai-chō,小坂井町
Kōya San,高野山
Kazashi Yama,風頭
Shutendōji Yama,シュテンドウジヤマ
Zukeran,瑞慶覧
Zamami Jima,座間味島
Yu Shima,湯島
Den Shima,デン島
Yunomae,湯前町
Yuno Ko,湯ノ湖
Yufu Dake,由布岳
Yudomari,湯泊
Yoronjima,与論島
Yatsuomachi-higashikumisaka,八尾町東葛坂
Yasuda,安田
Yanaizu,柳津町
Yahazu Dake,ヤハズダケ
Yagatame Zaki,矢堅崎
Yabu,養父市
Washizu San,鷲頭山
Wakimachi,脇町
Wakasa,若桜町
Wakamatsu Jima,若松島
Wajima,輪島市
Wajiki,和食
Wagora Jima,和合良島
Wadomari,和泊
Ungetsu Zan,雲月山
Uryū Zaki,雨竜岬
Ureshinomachi-shimojuku,嬉野町下宿
Uomachino Hana,魚待ノ鼻
Uma Shima,小六連
Ukibaru Jima,浮原島
Uken,宇検村
Ubu Shima,ウブシマ
Ueno,うえの
Udone-shima,鵜渡根島
Tsurugi San,剣山
Tsurugi-asahimachi,鶴来朝日町
Tsunowa Bana,津ノ和鼻
Tsunagi,津奈木
Tsukumiura,津久見浦
Tsukuda-arashi Zaki,佃嵐崎
Tsukishima,月島
Usuishi Hana,臼石鼻
Tsuken Jima,津堅島
Tsukawaki,塚脇
Tsūji Shima,ツウジシマ
Tsubakuro Dake,燕岳
Toyohama,豊浜
Toyano Gata,鳥屋野潟
Toyama Shinkō,富山新港
Torishima,とりしま
Tonaki Jima,渡名喜島
Tomuru Zaki,トムルザキ
Tomi Yama,トミヤマ
Tōmino Hana,妙見崎
Tokuno Shima,徳之島
Tokiwa Ike,常盤池
Tokashiki Jima,渡嘉敷島
Tokashiki,渡嘉敷
Toguchi,渡久地
Tochio-honchō,栃尾本町
Tobi Shima,飛島
Tatsugō,龍郷町
Tateishi Zaki,立石崎
Tatara Numa,多々良沼
Tashiro Ko,田代湖
Tara,太良町
Tanushimarumachi-toyoki,田主丸町豊城
Tanga Shima,男鹿島
Tanega Shima,種子島
Taketomi-shima,竹富島
Kozaki Bana,高崎鼻
Takara-jima,宝島
Takamori,たかもり
Takaikami Shima,高井神島
Taishachō-kizukikita,大社町杵築北
Taira-shima,平島
Tanakami Yama,太神山
Taiji,太地町
Suwanose-jima,諏訪之瀬島
Susaki,須崎
Sukumo,宿毛市
Sueyoshichō-ninokata,末吉町二之方
Sudoto Yama,巣戸々山
Soeda,添田
Shōdo Shima,小豆島
Shiwaku Shotō,塩飽島
Shitara,設楽町
Shira Shima,白島
Shirane San,白根山
Shirakaba Ko,白樺湖
Shiraiwa Bana,白岩鼻
Shioya,塩屋
Shin Zaki,新崎
Shinzato,新里
Shimoōtono Misaki,下大戸ノ岬
Shimonita,下仁田町
Shimokoshiki Jima,下甑島
Shimoichi,下市町
Shimoji Shima,下地島
Shimoajika Shima,下阿値賀島
Shinmyōga Hana,神明ヶ鼻
Shimizumachi,清水
Shiroiwa Zaki,白岩崎
Shikine-jima,式根島
Shikano Shima,しかのしま
Shiida,椎田
Shido,志度
Shami Jima,沙弥島
Shakaga Hana,釈迦ヶ鼻
Shakaga Dake,釈迦ヶ岳
Serikyaku,せりきゃく
Iwa Jima,いわじま
Sentsū Zan,船通山
Sen Zan,先山
Sekison San,石尊山
Sega Misaki,瀬ヶ岬
Sedake,瀬高
Sawa Zaki,沢崎
Saru Shima,猿島
Sarahama,さらはま
Kazuraze Hana,桂瀬鼻
Sakishima Group,サキシマショトウ
Saijō,西城町
Sadoga Shima,佐渡島
Kamiryūzu Zaki,上竜頭岬
Ryūga Zaki,竜ヶ崎
Ryōgami San,両神山
Ōtsuchi Jima,大槌島
Ōzo Jima,大園島
Oze Numa,尾瀬沼
Ōyoko Shima,大横島
Ōyano Jima,オオヤノジマ
Oyama,小山
Ō Yama,大山
Ōtachiba Jima,大館場島
Ōtake,大竹
Ōtabu Shima,大多府島
Osorakan Zan,恐羅漢山
O Jima,小島
O Shima,男島
Ō Shima,大島
Ō Shima,おおしま
Ou Jima,奥武島
Ō Jima,おうじま
Oshaku Jima,御積島
Ōzato,大里
Ōsakishimo Jima,大崎下島
Orono Shima,小呂島
Ō Numa,大沼
Ōnogame Jima,大野亀島
Ōnohara Jima,大野原島
Ōnasami Jima,大奈佐美島
Ōmure San,大村山
Ōmi Shima,大三島　
Ōmine Sanmyaku,大峰山脈
Omi,麻績村
Onbase Jima,恩馳島
Ōmamachō-ōmama,大間々町大間々
Ōgusu Yama,オオグスヤマ
Ōkurokami Jima,大黒神島
Ōkuno Shima,大久野島
Okoga Shima,沖小島
Oki Shotō,隠岐諸島
Okinotori Shima,沖ノ鳥島
Okino Shima,沖ノ島
Okinawa Shotō,沖縄諸島
Okimuku Shima,沖無垢島
Okiakime Jima,沖秋目島
Okamura Jima,岡村島
Ōkado Hana,大角鼻
Ōkushi Misaki,大串岬
Ogunimachi,小国町
Ogōri-shimogō,小郡下郷
Ōetaka Yama,大江高山
Ōbishaku Shima,大柄杓島
Ōtate Shima,大立島
Ō Take,おおたけ
Ōdaigahara Yama,大台ヶ原山
Ōchi Gata,邑知潟
Ōbana Jima,大鼻島
Obama-jima,小浜島
Obama,こはま
Ōasahi Dake,大朝日岳
Nūha,ぬうは
Numazawa Ko,沼沢湖　
Nomisaki,のみさき
Nokama Jima,ノカマジマ
Noho Jima,ノホジマ
Nobaru Zaki,野原崎
Nishiwaki,西脇
Nishino Shima,西ノ島
Kotachiba Jima,小館場島
Takasu Yama,高洲山
Koshima,小島
Koshiki Dake,コシキダケ
Kōrei Zan,孝霊山
Kongō San,金剛山
Komaga Dake,朝日駒ヶ岳
Komaga-take,頸城駒ヶ岳
Komaga Dake,会津駒ヶ岳
Kokura,小倉市
Koiji Shima,恋路島
Koja,古謝
Koizumi Saki,小泉崎
Kogushi Misaki,小串岬
Kochidomari Hana,東風泊鼻
Kōchi,河津町
Koheichi Jima,小平市島
Kiyosu,清須市
Kitagi Shima,北木島
Fukuzaki,福崎
Kishika Zaki,喜志鹿崎
Kirishima-kinkōwan Kokuritsu Kōen,霧島錦江湾国立公園
Kinpō Zan,金峰山
Kichijōji-honchō,吉祥寺
Kerama Group,慶良間列島
Keijō Jima,傾城島
Karusano Hana,軽砂鼻
Kawashiri Misaki,川尻岬
Kawamoto,川本町
Katsu Saki,カツサキ
Kanna Zaki,カンナ崎
Ryūsen Tō,龍仙島
Kashiraga Jima,頭ヶ島
Kasa Yama,笠山
Kasagi,笠置
Kariwa,刈羽
Kanzaki Bana,神埼鼻
Tokyo Plain,とうきょうへいや
Kannon Zaki,観音崎
Kannon Misaki,観音岬
Kamojimachō-jōgejima,鴨島町上下島
Kamogatachō-kamogata,鴨方町鴨方
Kamiōtono Hana,上大戸ノ鼻
Kamimate Shima,上的島
Kamikamagari Jima,上蒲刈島
Kamihase Zaki,上長谷崎
Kamiguro Shima,上黒島
Kamiajika Shima,上阿値賀島
Kameshima,亀島
Kamega Saki,かめがさき
Kakuda Yama,角田山
Kakeroma Jima,加計呂麻島
Kakaji,香々地町
Kajitorino Hana,梶取ノ鼻
Kaimon Dake,開聞岳
Kahoku Gata,河北潟
Katsuriki Saki,カツリキサキ
Jōga Shima,城ヶ島
Jōga Saki,城ヶ崎
Jōdo Saki,尉殿崎
Jizō Zaki,地蔵崎
Gishippu Jima,儀志布島
Jino Shima,地ノ島
Jino Shima,地島
Jinai-jima,地内島
Jimuku Shima,地無垢島
Ten Province Pass,ひがねさん
Izu Shotō,伊豆諸島
Izu Hantō,伊豆半島
Izena Jima,伊是名島
Amagiri Yama,天霧山
Iwakura,岩倉
Iwagi Shima,岩城島
Itsuku Shima,厳島
Itokushi Bana,糸串鼻
Kabiraishi Zaki,かびらいしざき
Shuri-ishiminechō,首里石嶺町
Ishigaki Jima,いしがきじま
Irō Zaki,石廊崎
