José Luis Panizo,ホセ・ルイス・パニーソ
Ignacio Aguirrezabala,イグナシオ・アギレサバラ
Santiago Lanzuela,サンティアゴ・ランスエラ
Pedro de Felipe,ペドロ・デ・フェリペ
Pedro de Madrazo y Kuntz,ルイス・デ・マドラーソ
Inocencio Bertolí,イノセンシオ・ベルトリ
Gregorio Ferro Requeijo,グレゴリオ・フェロ
José de Andonaegui,ホセ・デ・アンドナエギ
Víctor Manuel,ビクトル・マヌエル
Javier Imbroda,ハビエル・インブロダ
Julián de Ajuriaguerra,フリアン・デ・アフリアグエラ
Helen Lindes,エレン・リンデス
Carlos García Cantarero,カルロス・ガルシア・カンタレロ
Juan Pablo Añor,フアン・パブロ・アニョル
Íñigo Montoya,イニーゴ・モントーヤ
Gerardo Iglesias,ヘラルド・イグレシアス
Javier Botet,ハビエル・ボテット
Francisco Vázquez Vázquez,フランシスコ・バスケス・バスケス
Carlos Velo,カルロス・ヴェロ
Javier Manquillo,ハビエル・マンキージョ・ガイタン
Pio Filippani Ronconi,ピオ・フィリッパーニ・ロンコーニ
Pipi,ピピ
Francisco López Hernández,フランシスコ・ロペス・ヘルナンデス
Javier Pereira,ハビエル・ペレイラ
Ignacio Uribe,イグナシオ・ウリベ
Isaac Viñales Mares,イサック・ビニャーレス
Emilio Lledó,エミリオ・リェドー
Pedro Simón Abril,ペドロ・シモン・アブリル
María Luisa Ponte,マリア・ルイサ・ポンテ
José Luis Violeta,ホセ・ルイス・ビオレタ
Óscar Latas Alegre,オスカル・ラタス・アレグレ
Fermín Arrudi,フェルミン・アルディ
Jacobo Fitz-James Stuart y Ventimiglia,ハコボ・フィツ＝ハメス・ストゥアルト・イ・ヴェンティミーリア
Jairo Samperio,ハイロ・サンペリオ
Jacobo Francisco Fitz-James Stuart y Colón de Portugal,ハコボ・フィツ＝ハメス・ストゥアルト
Eduardo Jimeno Correas,エドゥアルド・ヒメーノ・コレアス
Hipólito Gómez de las Roces,イポリト・ゴメス・デ・ラス・ロセス
Felipe de Castro,フェリペ・デ・カストロ
Isidro Sánchez García-Figueras,イシドロ・サンチェス
Israel Rodríguez,イスラエル・ロドリゲス
Antoñito,アントニオ・ラミロ・ペレス
Francisco Asorey,フランシスコ・アソレイ
José Gabeiras Montero,ホセ・ガベイラス・モンテーロ
Manuel Tuñón de Lara,マヌエル・トゥニョン
Pere de Son Gall,パレ・ダ・ソン・ガイ
Romano Kristoff,ロマーノ・クリストフ
Ramón Salazar,ラモン・サラサール
Rafael Carrasco Garrorena,ラファエル・カラスコ
Mónica Molina,モニカ・モリーナ
Miguel Molina,ミッキー・モリーナ
Rafael Ramos Pérez,ラファエル・ラモス・ペレス
Joaquín Blake,ホアキン・ブラケ
José de Salamanca y Mayol,ホセ・デ・サラマンカ
Nilda Fernández,ニルダ・フェルナンデス
Joan Solà Cortassa,ジュアン・スラ・イ・クルタサ
Manuel de Moura y Corte-Real,マヌエル・デ・モウラ・コルテ・レアル
Noel Molina,ノエル・モリーナ
Narcís Serra,ナルシス・セラ
Álex Angulo,アレックス・アングロ
Remedios Cervantes Montoya,レメディオス・セルバンテス
Pedro Sanz,ペドロ・サンス
Jonathan Castro Otto,ホニー・オット
Roberto Bertol,ロベルト・ベルトル
Raúl Campos Paíno,カンポス
Àlex Monner,アレックス・モナー
Nicanor Villalta,ニカノール・ビジャルタ
Nicolau Primitiu Gómez i Serrano,ニコラウ＝プリミティウ
Jordi Bonet i Godó,ジョルディ・ボネ
Nicolás Ormaechea Pellejero,オリシェ
Orlando Ortega,オーランド・オルテガ
José María Barreda,ホセ・マリーア・バレーダ
Luis Sera,ルイス・セラ
Jorge Torregrossa,ホルヘ・トレゴローサ
José María Lojendio,ホセ・マリア・ロヘンディオ
Juan Luis Rodríguez-Vigil,フアン・ルイス・ロドリゲス＝ビヒル
Íñigo de la Serna,イニゴ・デ・ラ・セルナ
Jordi Simón,ジョルディ・シモン
Agustín Guisasola,アグスティン・ギサソラ
Albert Cabestany i Gálvez,アルベルト・カベスタニー
Albert Riera Vidal,アルベルト・リエラ
Álvaro de Sande,ドン・アルバロ・デ・サンデ
José Luis Alonso de Santos,ホセ・ルイス・アロンソ・デ・サントス
José Luis Moreno Barroso,ホセ・ルイス・モレノ・バローソ
Mariano Pardo de Figueroa,Mariano Pardo de Figuero｜
José Joaquín de Montealegre,ホセ・ホアキン・デ・モンテアレグレ
José Antonio García Blázquez,ホセ・アントーニオ・ガルシーア・ブラスケス
José Borges,ホセ・ボルヘス
Laura Ester,ラウラ・エステル
Anni Espar,アンナ・エスパル
María del Carmen García,マイカ・ガルシア・ゴドイ
Andrea Blas,アンドレア・ブラス
Alfonso Navarrete,アロンソ・デ・ナバレーテ
Omar Fraile,オマル・フライレ
Salvador Arqueta,サルバドル・アルケタ
Sebastián Hurtado de Corcuera,セバスティアン・ウルタド・デ・コルクェラ
Amador Lorenzo,アマドール・ロレンソ
Santiago Herrero Amor,サンティ・イエーロ
Manuel Fernández Silvestre,マヌエル・シルベストロ
Roberto Iniesta,ロベルト・イニエスタ
Alberto Fernández Fernández,アルベルト・フェルナンデス・フェルナンデス
Care Santos,ケア・サントス
José Luis Capón,ホセ・ルイス・カポン
Miguel Ángel Fernández Ordóñez,ミゲル・アンヘル・フェルナンデス・オルドニェス
Pablo Insua,パブロ・インスア
Oscar Martínez,オスカル・マルティネス
Lorena Miranda,ロレーナ・ミランダ
Jaime García Cruz,ジェイミー・ガルシア
Mariano Arrate,マリアーノ・アラテ
Josep Soler i Sardà,ジュゼップ・ソレイ・イ・サルダ
Antonio Calpe,アントニオ・カルペ
Andrés Mejuto,アンドレス・メフト
José de Sigüenza,ホセ・デ・シグエンサ
Ana de Aragón,アナ・デ・アラゴン・イ・カルドナ
Anselmo Aramberri Epelde,アンセルモ・アランベリ
Antoni Vidal,アントニ・ビダル
Domingo Gómez-Acedo,ドミンゴ・アセド
Juan Artola,フアン・アルトラ
José Luis Ballester Rubert,ホセ・ルイス・バリェステル
Julio García Fernández de los Ríos,フリオ・ガルシア・フェルナンデス
José Álvarez de las Asturias Bohorques y Goyeneche,ホセ・アルバレス・デ・ボオルケス
José Navarro,ホセ・ナバーロ・モレネス
Eulogio Despujol y Dusay,エウロヒオ・デスポホル
Paco Leon,パコ・レオン
Pablo Soto Bravo,パブロ・ソト・ブラーボ
Pachi Vázquez,パチ・バスケス
Kitín Muñoz,キティン・ムニョス
Sofía Mazagatos,ソフィア・マザガトス
Francisco Garcés,フランシスコ・ガルセス
Margarita Gómez-Acebo,マルガリータ・ゴメス＝アセボ
José Antonio Arana,ホセ・アントニオ・アラナ・マルティハ
Juan José Estella,フアン・ホセ・エステージャ
Juanjo Triguero,フアンホ・トリゲロ
Juan José Valencia de la Serna,フアン・ホセ・バレンシア
Yolanda de Austria,ヨランド・ディ・リーニュ
Zouhair Feddal,ズハイル・フェダル
Josep Bartolí,ジュゼップ・バルトリ
Pili Peña,マリア・デル・ピラール・ペーニャ
Antonio López Sierra,アントニオ・ロペス・シエラ
Antonio Mateu Lahoz,アントニオ・マテウ・ラオス
Pascual Amat,パスクアル・アマト
Juan José Elgezábal,フアン・ホセ・エルゲサバル
Vania Millán,バニア・ミラン
Venancio Pérez,ベナンシオ・ガルシア・ペレス
Julián Ruete,フリアン・ルエテ
José Luis Corcuera,ホセ・ルイス・コルケラ
Pedro Zarraluki,ペドロ・サラルキ
Juan Rafael Fuentes Hernández,フアン・ラファエル・フエンテス
Pedro Muguruza,ペドロ・ムグルサ
Patricia Aranda,パトリシア・アランダ
Juan Araujo,フアン・アラウホ
José Luis Álvarez y Álvarez,José Luis Álvarez
Juan de García y Montenegro,フアン・デ・ガリシア・イ・モンテネグロ
Pedro de Borbón-Dos Sicilias y de Orleans,ペドロ・デ・ボルボン＝ドス・シシリアス・イ・オルレアンス
Álvaro Giménez,アルバロ・ヒメネス
Patxi Zubizarreta,パチ・スビサレタ
Laura López Ventosa,ラウラ・ロペス
Matilde Ortiz,マティルデ・オルティス
Daniel Quintana Sosa,ダニ・キンタナ
Íñigo López de Mendoza y Mendoza,イニゴ・ロペス・デ・メンドーサ
Ángel Olgoso,アンヘル・オルゴソ
Javier Ybarra Bergé,ハビエル・イバーラ
Emilio Buale,エミリオ・ブアレ
Álex González,アレックス・ゴンザレス
José Luis García-Pérez,ホセ・ルイス・ガルシア・ペレス
Bernabé Martí,ベルナベ・マルティ
Julio López Hernández,フリオ・ロペス・エルナンデス
Julio Uriarte,フリオ・ウリアルテ
Patricia Pinedo,パトリシア・ピネード
Augusto Lima,アウグスト・リマ
Mark of Toledo,マルコス・デ・トレド
Pedro de Camprobín,ペドロ・デ・カンプロビン
Juan de la Cruz Mourgeon y Achet,フアン・デ・ラ・クルーズ・モルヘオン
Óscar Plano,オスカル・プラーノ
Bernardo López Piquer,ベルナルド・ロペス・ピケール
Pere Esteve,ペラ・アステーベ・イ・アバド
José Romero Martínez,ホセ・ロメロ
Daniel Monzón,ダニエル・モンソン
Conde de Villamediana,ヤン・タシス・イ・ペラルタ
Augusto Benedico,アウグスト・ベネディコ
José Ramón Larraz,ホセ・ラモン・ラルラース
José Rodríguez de la Borbolla,ホセ・ロドリゲス・デ・ラ・ボルボージャ
José de Córdoba y Rojas,ホセ・デ・コルドバ・イ・ロハス
Carlos Miguel Fitz-James Stuart y Silva,カルロス・ミゲル・フィツ＝ハメス・ストゥアルト・イ・シルバ
Pedro Calvo Asensio,ペドロ・カルボ・アセンシオ
Carlos Bernardo Fitz-James Stuart y Silva,カルロス・フィツ＝ハメス・ストゥアルト
Carlos María Fitz-James Stuart y Palafox,カルロス・マリア・フィツ＝ハメス・ストゥアルト・イ・パラフォクス
Iñaki Alonso,イニャキ・アロンソ
Manuela Vellés,マニュエラ・ヴェレ
José Manuel Blecua Teijeiro,ホセ・マヌエル・ブレクア・テイエイロ
Inés Ballester,イネス・バリェステル
José Manuel González López,ホセ・マヌエル・ゴンサレス・ロペス
Juan Antonio Ribera,フアン・アントニオ・リベーラ
José María de Pereda,ホセ・マリーア・デ・ペレーダ
Carlos Pérez Álvarez,カルロス・ペレス・アルバレス
Natalya Vetlitskaya,ナタリア・ベトリスカヤ
Josep Vila i Casañas,ジュゼップ・ビラ・イ・カザーニャス
David Doblas,デイビッド・ドブラス
Jon Santacana,ヨン・サンタカナ
Esteban Azkue,エステバン・アスクエ
José Miñones,ホセ・ミニョーネス
Francisco Viñas,ビニャス
Cristóbal de Mena,クリストバル・デ・メナ
Álvaro Cervantes,アルバーロ・セルバンテス
Carlos Terrazas,カルロス・テラサス
Diego Osorio Villegas,ディエゴ・オソリオ・ビジェガス
Juan de Arespacochaga,Juan de Arespacochaga
Diego Martín Galindo,ディエゴ・マルティン (歌手)
Juan Ignacio Barrero Valverde,フアン・イグナシオ・バレーロ
Pastora Vega,パストラ・ベガ
José María Satrustegi,ホセ・マリア・サトゥルステギ
José Manuel de Goyeneche,ホセ・マヌエル・デ・ゴイェネチェ
José Sadoc Alemany,ジュゼップ・サドック・アレマニ
Ainhoa Cantalapiedra,アイノア・カンタラピエドラ
Jota Peleteiro Ramallo,ホセ・イグナシオ・ペレテイロ・ラマージョ
David Salom Fuentes,ダビド・サロム
Diego Dávila Mesía y Guzmán,ディエゴ・ダビラ・メシア・イ・グスマン
Aura Garrido,アウラ・ガリード
Yuri Berchiche Izeta,ユーリ・ベルチチェ
Josefina Molina,ホセフィーナ・モリーナ
José Ortega Spottorno,ホセ・オルテガ・スポットルノ
Fidel Roig Matons,フィデル
David Martí,デイビット・マルティ
José Garnelo,ホセ・ガルネロ・イ・アルダ
Faustino Arévalo,ファウスティノ・アレバロ
Alberto Fernández Muñoz,アルベルト・フェルナンデス (射撃選手)
Enrique Soladrero,エンリケ・ソラドレロ
Evaristo Fernández de San Miguel,エバリスト・フェルナンデス・デ・サン・ミゲル
Narciso Clavería y Zaldúa,ナルシソ・クラベリア
Thomas de la Hoz,トマス・デ・ラ・ホス
Endika Guarrotxena,エンディカ・グアロチェナ
Alberto Machimbarrena,アルベルト・マチンバレーナ
Juan Oncina,フアン・オンシーナ
Adrià Díaz,アドリア・ディアス
Alberto Moreno Pérez,アルベルト・モレノ・ペレス
Maika Makovski,マイカ・マコフスキー
Juan Muñiz Gallego,フアン・ムニス・ガジェゴ
Alejandro Goicoechea,アレハンドロ・ゴイコエチェア
Esteban José Martínez Fernández y Martínez de la Sierra,ホセ・エステバン・マルティネス
Barón de Eroles,ジョアキン・イバニェス・クエバス・イ・デ・バロンガ
Sebastián de Covarrubias,セバスティアン・デ・コバルビアス
Cristian García Ramos,クリスティアン・ガルシア・ラモス
Luis de Velasco Rami,ルイス・デ・ベラスコ・ラミ
Francisco Antonio de Echávarri,フランシスコ・アントニオ・デ・エチャバリ
Vicente Talón Ortiz,ビセンテ・タロン
Ignacio Sagaz Temprano,イグナシオ・サガス・テンプラーノ
María Goyri,マリア・ゴイリ・デ・メネンデス・ピダル
Cristóbal de Acevedo,クリストバル・デ・アセベド
Alberto Perea,アルベルト・ペレア
Joaquín Collar Serra,ホアキン・コリャール・セラ
Isabel Barreto,イザベル・バレート
Eugenia Santana,ユージーニア・サンタナ
Carmen Franco y Polo,マリア・デル・カルメン
Francisco Bonet Serrano,フランシスコ・ボネト・セラーノ
Francisco Cervantes de Salazar,フランシスコ・カラバンテス
Alexia Putellas,アレクシア・プテジャス
Alexis Brimeyer,アレクシス・ブリメイヤー
Alfonso Benavides,セテ・ベナビデス
Alexandre de Riquer,アラグザンドラ・ダ・リケー
Luis Coloma,ルイス・コロマ
Francisco Dumetz,フランシスコ・デュメッツ
Francisco Camprodón,フランセスク・カンプルドン
Cristóbal Téllez de Almazán,クリストバル・テレス・デ・アルマサン
Cristóbal Colón de Carvajal y Gorosábel,クリストバル・コロン・カルバハル・イ・ゴロサベル
Francisco Franco y Martínez-Bordiú,フランシスコ・フランコ・イ・マルティネス＝ボルディウ
Alejandro Pérez Navarro,アレハンドロ・ペレス・ナバーロ
Alejandro Rodríguez de Valcárcel,アレハンドロ・ロドリゲス・デ・バルカルセル
Alfonso García de Vinuesa,アルフォンソ・デ・ヴィヌエサ
Ignacio Allende Fernández,ナチョ・アジェンデ
Curro Vacas,クーロ・バカス
Félix Verdeja Bardales,フェリックス・ベルデハ・バルダレス
Cristo Barrios,クリスト・バリオス
Iñaki Antón,イニャキ・アントン
Juanma Castaño,フアンマ・カスタニョ
Diego de Castilla,ディエゴ・デ・カスティーリャ
Alejo Vera,アレホ・ベラ
César de la Hoz,セサル・デ・ラ・オス
Francisco Javier de la Torre,フランシスコ・ハビエル・デ・ラ・トーレ
Hilarión Eslava,イラリオン・エスラバ
Julián Cerdá Vicente,フリ (サッカー選手)
Roger Casamajor,ロジェール・カサマジョール
Daniel Acuña,ダニエル・アクーニ
Daniel Fernández Navarro,ダニエル・フェルナンデス・ナバーロ
Antonio Navarro Santafé,アントニオ・ナバーロ・サンタフェ
Mariano Roca de Togores,マリアーノ・ロカ・デ・トゴレス
Claudio Biern Boyd,クラウディオ・ビアーン・ボイド
Sotero Aranguren,ソテロ・アラングレン
Francisco Navarro Villoslada,フランシスコ・ナバロ・ビリョスラーダ
Eneko Atxa,エネコ・アチャ・アスルメンディ
Tasio Erkizia,タシオ・エルキシア
Alfonso Cabello,アルフォンソ・カベリョ
Alfonso Falero,アルフォンソ・ファレロ
Francisco Javier López García,ハビ・ロペス・ガルシア
Ico Aguilar,フランシスコ・アギラル
Pura Lopez,プーラロペス
Xaviel Vilareyo,シャビエル・ビラレージョ
Alfredo F. Mayo,アルフレッド・F・メイヨ
Luis Menéndez Pidal,ルイス・メネンデス・ピダル
David Aja,デヴィッド・アジャ
Empar Iturbi Bàguena,アンパロ・イタービ
Amparo Soler Leal,アンパロ・ソレール・レアル
Corocotta,コロコッタ
Juan Amat,フアン・アマト・フォンタナルス
Alibel Alegre,アリベール・アレーグレー
David Mota,ダビ・モタ
David Márquez,ダビド・マルケス
Ana Copado,アナ・コパード
David Ferreiro,ダビド・フェレイロ
David García Mitogo,ダヴィド・ミトゴ
David Juncà Reñé,ダビド・フンカ
Pablo González Bernardo,パブロ・ゴンザレス
Mikel Iglesias,ミケル・イグレシアス
Carles Puigdemont,カルラス・プッチダモン
Alejandro Mesonero-Romanos,アレハンドロ・メソネロ＝ロマノス
DJ Chus,Chus＆Ceballos
Joan Barreda Bort,ジョアン・バレーダ
Francisco Meneses Osorio,フランシスコ・メネセス・オソリオ
Ana Merino,アナ・メリーノ
Francisco Negrin,フランシスコ・ネグリン
Francisco Pareja,フランシスコ・パレハ
Daniel Nieto Vela,ダニエル・ニエト・ベラ
Dani Rivas,ダニ・リバス
Alonso de Bazán,アロンソ・デ・バサン
Alonso de Llera Zambrano,アロンソ・デ・ジェラ・サンブラノ
Alejandro Martínez Sánchez,アレックス・マルティネス
Álvaro Longoria,アルバロ・ロンゴリア
Amalia de Llano,アマリア・デ・リャノ・イ・ドトレス
Francisco Portusach Martínez,フランシスコ・ポーツザーチ・マルティネス
Francisco Pérez Gil,フランシスコ・ペレス
Josep Maria Nogués,ホセ・マリア・ノゲス
Àlex Ollé,アレクス・オリェ
Pedro Amat,ペドロ・アマト・フォンタナルス
Jaime Santiago Amat,ハイメ・サンティアゴ・アマト
Xavi Arnau,シャビ・アルナウ
José Luis Ábalos,ホセ・ルイス・アバロス・メコ
Jesús Martínez Jayo,ヘスス・マルティネス・ハジョ
Frank Marshall,フランク・マーシャル
David Lafuente,デイヴィッド・ラフエンテ
David López López,デヴィッド・ロペス (アーティスト)
David Lyme,デヴィッド・ライム
Francisco Romero Triguels,フランシスコ・ロメロ (外科医)
Francisco Menéndez,フランシスコ・メネンデス
Anaitz Arbilla Zabala,アナイツ・アルビージャ
Víctor Rodríguez Romero,ビクトル・ロドリゲス
Vicente Sardinero,ビンセンテ・サルディネーロ
Daniel Zuloaga,ダニエル・スロアガ
Francisco de Paula Marín Grassi,フランシスコ・デ・パウラ・マリン
Carlos Palacio,カルロス・パラシオ
Joan Sastre,ジョアン・サストレ
Del Negro,デル・ネグロ
Francisco Reiguera,フランシスコ・レイゲラ
Bernardo de Velasco,ベルナルド・デ・ベラスコ
Diana Martín Giménez,ディアーナ・マルティン
Angelillo,アンヘリージョ
Andrés Alcaraz,アンドレス・アルカラス
Francisco Rodríguez de Castro,フランシスコ・ルイス・デ・カストロ
Francisco Tomás Morales,フランシスコ・トマス・モラレス
Carlos González Peña,カルロス・ゴンサレス・ペーニャ
János Kuszmann,クシュマン・ヤーノス
Gabino Diego,ガビーノ・ディエゴ
Andrés Artuñedo,アンドレス・アルトゥニェード
Antonio Cobas,アントニオ・コバス
Agustín Muñoz y Borbón,アグスティン・マリア・ムニョス
Diego López,ディエゴ・ロペス
Diego Marín Aguilera,ディエゴ・マリン・アギレラ
Diego Pacheco Téllez-Girón Gómez de Sandoval,ディエゴ・フェルナンデス・デ・ベラスコ・イ・パチェーコ
Francisco Varo,フランシスコ・バロ
Diego de Astor,ディエゴ・デ・アストール
Julio Olaizola,フリオ・オライソラ
Antonio Molero,アントニオ・モレーロ
Santiago Grisolía,サンティアゴ・グリゾリア
Constantino Salinas,コンスタンティーノ・サリーナス
Ángel Corella,アンヘル・コレーラ
Dolores Fernández Ochoa,ドローレス・フェルナンデス・オチョア
Lola Gallardo,ローラ・ガヤルド
Bonifacio López Pulido,ボニファシオ・ロペス・プリド
Miguel Ángel Navarro Pérez,ミゲル・アンヘル・ナバーロ
Francisco de Paula de Silva y Álvarez de Toledo,フランシスコ・デ・パウラ・デ・シルバ・イ・アルバレス・デ・トレド
Fergus Riordan,ファーガス・リオーダン
Blai Maria Colomer,ブライ・マリア・コロメル
Celedonio Romero,セレドニオ・ロメロ
Javier Raya,ハビエル・ラジャ
Diego Cosgaya,ディエゴ・コスガヤ
Elena Quiroga,エレーナ・キロガ
José Demetrio Rodríguez,ホセ・デメトリオ・ロドリゲス
Fernando Velázquez,フェルナンド・ベラスケス
Adolfo Suárez Morán,アドルフォ・スアレス・モラン
Domingo Miras,ドミンゴ・ミラス
Domingo Vandewalle,ドミンゴ・ヴァンデウァル
Tamara Czartoryska,タマラ・チャルトリスカ
Domingo Santos,ドミンゴ・サントス
Domingo Fernández Navarrete,ドミンゴ・フェルナンデス・ナバレテ
Pedro Areso,ペドロ・アレソ
Diego María de Gardoqui y Arriquíbar,ディエゴ・デ・ガルドキ
Anna Aguilar-Amat,アンナ・アギラール・アマ
Anna Bofill Levi,アンナ・ボフィル・レビ
Adolfo Fernández,アドルフォ・フェルナンデス
Nacho Faerna,ナチョ・ファエルナ
Fátima Gálvez,ファティマ・ガルベス
Adolfo García Ortega,アドルフォ・ガルシア・オルテガ
Sara Hurtado,サラ・ウルタド
Eduardo Cansino,エドゥアルド・カンシーノ・シニア
Antonio Feito Pérez,アントニオ・フェイト・ペレス
Rafael Marín Trechera,ラファエル・マリン
Anton Erkoreka,アントン・エルコレカ
Alberto Rodríguez Librero,アルベルト・ロドリゲス・リブレロ
Olegar Fedoro,オレガル・フェドロ
Juan Jesús Gutiérrez Robles,フアン・ヘスース・グティエレス・ロブレス
Antonio Puche,アントニオ・プチェ・ビセンテ
Antonio Puigblanch,アントニ・プッチ・イ・ブランシュ
Antonio García Aranda,アントニオ・ガルシア・アランダ
Amat Escalante,アマト・エスカランテ
Cels Piñol,セルス・ピニョル
Elisabeth Chávez,エリサベット・チャベス
Adriana Torrebejano,アドリアナ・トレベハノ
Adrià Gasol,アドリア・ガソル
Antonio Gonzalez,アントニオ・ゴンザレス
Antonio Guzmán Capel,アントニオ・グスマン・カペル
Juan Alonso de la Torre,フアン・アロンソ・デ・ラ・トーレ
Marina Shimanskaya,マリーナ・シマンスカヤ
Pau Masó,パウ・マソ
Eduardo de Zulueta y Dato,エドゥアルド・デ・スルエタ・イ・ダト
El Guincho,エル・グインチョ
Eduardo Lago,エドゥアルド・ラゴ
Antonio Trashorras,アントニオ・トラショラス
Antonio Giménez-Rico,アントニオ・ヒメネス＝リコ
Rodrigo Aguirre de Cárcer y García del Arenal,ロドリゴ・アギーレ・デ・カールセル
Antonio Benítez Fernández,アントニオ・ベニテス・フェルナンデス
Abdón Prats,アブドン・プラツ
Elio Berhanyer,エリオ・ベランイエール
Elsa Anka,エルザ・アンカ
Luis Gálvez Rodríguez de Arias,ルイス・ガルベス・ロドリゲス・デ・アリアス
"Emilio de Villota, Jr.",エミリオ・デ・ヴィロタ・ジュニア
Juan Ibarrola,フアン・イバローラ
Jerónimo de Uztáriz,ジェロニモ・デ・ウスタリス
Elena Gadel,エレナ・ガデル
Edua,エドゥアルド・スーザ
Eduardo Torroja y Caballé,エドゥアルド・トロハ・カバリェ
Emilio Gavira,エミリオ・ガビラ
Enrique Cortés Pes,エンリケ・コルテス・ペス
Agustín Lhardy,アグスティン・ラルディ
Eva Nogales,エヴァ・ノガレス
Frida Torresblanco,フリーダ・トレスブランコ
Adrià Gual,アドリアー・グアル
Adriana Martín,アドリアーナ・マルティン
Cayetano de Mergelina y Luna,カジェターノ・デ・メルヘリーナ・イ・ルナ
Erik Morán,エリク・モラン
Emilio Ruiz del Río,エミリオ・ルイス・デル・リオ
Emilio Terrero y Perinat,エミリオ・テレロ・イ・ペリナト
Emilio Tuero,エミリオ・トゥエロ
Quique Ramos,キケ・ラモス
Mandi,マンディ
Fernando Marías Franco,フェルナンド・マリーアス
Enrique Fernández de Heredia,エンリケ・フェルナンデス・エレディア
Antonio de Otermin,アントニオ・デ・オテルミン
Antonio del Real,アントニオ・デル・レアル
Enhamed Enhamed,エナメド・エナメド
Enric Sala,エンリック・サラ
Gabriela Bustelo,ガブリエラ・ブステロ
Enrique Villén,エンリケ・ビレン
Enrique Zóbel de Ayala,エンリケ・ソベル・デ・アヤラ
Alba Molina,アルバ・モリーナ
Arantza del Puerto,アランツァ・デル・プリエト
María Paloma de Borbón-Dos Sicilias y Orleans,マリア・デ・ボルボン＝ドス・シシリアス・イ・オルレアンス
Ada Colau,アダ・クラウ
Garci Sánchez de Badajoz,ガルシ・サンチェス・デ・バダホス
Aitor García,アイトール・ガルシア
Gonzalo Jiménez de la Espada,ゴンサーロ・ヒメネス・デ・ラ・エスパーダ
Asier Garitano,アシエル・ガリターノ
Aitor Esteban,アイトール・エステバン
Gaspar Pérez de Guzmán y Gómez de Sandoval y Rojas,ガスパール・アロンソ・ペレス・デ・グスマン
Gaspar Pérez de Guzmán y Pérez de Guzmán,ガスパール・フアン・ペレス・デ・グスマン
Gaspar de Molina y Zaldívar,ガスパル・デ・モリーナ・イ・サルディバル
Antonio José,アントニオ・ホセ
Vicenç Albert Ballester,ビセンク・アルベルト・バリャステル・イ・カンプス
Anna Castillo,アンナ・カスティーリョ
Neus Català,ネウス・カタラー
Joaquín Lizarraga,ホアキン・リサラガ
Quique Pina,エンリケ・ピナ・カンプサノ
Félix Astol Artés,フェリックス・アストル・アルテス
Félix Dafauce,フェリックス・ダフォース
Juan Bautista Augurio Perera,アウグーリオ・ペレラ
Georgina Oliva,ヘオルヒナ・オリバ
Albert Adrià Acosta,アルベルト・アドリア
Anna Sanchis,アンナ・サンチス
Gerard Moreno Balagueró,ジェラール・モレノ
Ana Ángeles García,アナ・アンヘレス・ガルシア
Joan Torras i Guardiola,ジョアン・トーラス・イ・グアルディオラ
Bartolomé Pérez de la Dehesa,バルトロメ・ペレス・デ・ラ・デエサ
Isidro Ortiz,イシドロ・オルティス
Manuel Calduch,マヌエル・カルドゥシュ・アルメラ
Alberto Caballero,アルベルト・カバレロ
Alberto Callejo,アルベルト・カジェホ
Bansi Quinteros,バンシ・キンテロス
Bea Segura,ベア・セグラ
Beatriz Recari,ベアトリス・レカリ
Leticia Herrero,レティシア・エレーロ
José Manuel Barla,ホセ・マヌエル・バルラ
Alberto Jo Lee,アルベルト・ホー・レー
Alfonso Paso,アルフォンソ・パソ
Jerónimo de Pasamonte,ヘロニモ・デ・パサモンテ
María Almudéver,マリア・アルムデベル
Ángel Berlanga,アンヘル・ベルランガ
Ernest Witty,アーネスト・ウィッティー
Ana Bejerano,アナ・ベヘラノ
Antonio Albella,アントニオ・アルベラ
Juan Sabas,フアン・サバス
Javi Gracia,ハビ・グラシア
José Félix Guerrero,ホセ・フェリクス・ゲレーロ
Benet Casablancas,ベネット・カサブランカス
Óscar Engonga,オスカル・エンゴンガ
Conchita,コンチータ
Paco Salillas,フランシスコ・ハビエル・ガルシア・ルイス
Eduardo Rodríguez Fernández,エドゥアルド・ロドリゲス
Alejandra Quereda,アレハンドラ・ケレーダ
Alejandro Acosta,アレハンドロ・アコスタ
Ana María Custodio,アナ・マリーア・ムニョス・クストディオ
Luis Marquina,リュイス・マルキーナ
Alberto Trifol,アルベルト・トリフォル
Javier Torres Gómez,ハビエル・トーレス・ゴメス
Diego Díaz Garrido,ディエゴ・ディアス・ガリード
Sebastián Cruzado Fernández "Chano",チャノ
Jerónimo de Bobadilla,ヘロニモ・デ・ボバディージャ
Luis Álvarez Catalá,ルイス・アルバレス・カターラ
Cristino Mallo,クリスティノ・マジョ
Félix Gómez,フェリックス・ゴメス
Jaime Camino,ハイメ・カミーノ
Gregorio Fonseca,グレゴリオ・フォンセカ
Benito Manuel Agüero,ベニート・マヌエル・アグエロ
Ot Pi,幼い息子
Alejandro Gándara,アレハンドロ・ガンダラ
Alejandro Gómez de Segura,アレハンドロ・ゴメス・デ・セグラ
Antonio Carmona,アントニオ・カルモーナ
Ramón de Quintana,ラモン・デ・キンタナ
Luis María Gonzaga de Casanova-Cárdenas y Barón,ルイス・マリア・ゴンサガ・デ・カサノバ＝カルデナス・イ・バロン
Manu Barreiro,マヌ・バレイロ
Antonio Chavarrías,アントニオ・チャバリアス
Vicente Soriano Serra,ビセンテ・ソリアーノ
