党委书记,당 서기
相山区,샹산구
福鼎市,푸딩시
四川大熊猫栖息地,쓰촨 자이언트판다 서식지
邛崃市,충라이시
四会市,쓰후이시
2008年夏季奧林匹克運動會舉重比賽,2008년 하계 올림픽 역도
中华人民共和国经济,중화인민공화국의 경제
西江,서강
定远县,딩위안현
高安市,가오안시
武侯区,우허우구
龍泉驛區,룽취안이구
蕉岭县,자오링현
额尔古纳市,어얼구나시
新林区,신린구
塘沽区,탕구구
滴道区,디다오구
连南瑶族自治县,롄난 야오족 자치현
龙川县,룽촨현
陆河县,루허현
江华瑶族自治县,장화 야오족 자치현
汗腾格里峰,한텡그리봉
蒙地卡羅體育會,CD 몬테카를로
哈尔滨工业大学,하얼빈 공업대학
梅县区,메이셴구
调兵山市,댜오빙산시
资阳区,쯔양구
穆棱市,무링시
米仓山,미창산
新邱区,신추구
滕国,등
宜黄县,이황현
广信区,상라오현
北京橙丰足球俱乐部,구이저우 런허
四五運動,1976년 톈안먼 사건
東亞運動會,동아시아 경기 대회
南市区,난스구
靖安县,징안현
南和区,난허현
永清县,융칭현
香河县,샹허현
2008年夏季奧林匹克運動會自行車比賽－男子BMX賽,2008년 하계 올림픽 사이클 남자 BMX
横峰县,헝펑현
信丰县,신펑현
汉南区,한난구
哈巴河县,하바허현
上海轨道交通6号线,상하이 지하철 6호선
吐和高速公路,투허 고속공로
临川区,린촨구
乐安县,러안현
吉水县,지수이현
运河区,윈허구
武邑县,우이현
雄县,슝현
太原卫星发射中心,타이위안 위성발사센터
荃灣綫,췬완선
小雁塔,소안탑
白毫银针,백호은침
宜丰县,이펑현
永兴县,융싱현
吉州区,지저우구
腾冲市,텅충 현
仁怀市,런화이시
浑河,훈허
鳳地站,펑디 역
武漢體育中心,우한 스포츠 센터
卢浦大桥,루푸 대교
上海美术馆,상하이 미술관
鄱阳县,포양현
北京交通,베이징시의 교통
清城区,칭청구
嘉鱼县,자위현
平潭县,핑탄현
南安市,난안시
罗源县,뤄위안현
屏南县,핑난현
长江三角洲,장강 삼각주
黑瞎子岛,볼쇼이우수리스키섬
南岭,난링산맥
六和塔,육화탑
建阳区,젠양시
玉田县,위톈현
合福客运专线,허푸 고속철도
维扬区,웨이양구
泰山,태산
阳新县,양신현
通山县,퉁산현
南丰县,난펑현
兴国县,싱궈현
马王堆汉墓,마왕퇴
曾侯乙墓,증후을묘
土木堡之变,토목의 변
怀安县,화이안현
湘潭市,샹탄시
中国共产党中央纪律检查委员会,중국공산당 중앙기율검사위원회
嘉峪關,가욕관
上海幫,상하이방
滦河,롼허
通城县,퉁청현
寻乌县,쉰우현
宁都县,닝두현
巨鹿县,쥐루현
蔚县,위현
迁西县,첸시현
路北区,루베이구
日喀则市,르카쩌시
台风悟空,태풍 우쿵
叠彩区,뎨차이구
淮河,화이허
武汉民生银行大厦,민생은행 빌딩
婺源县,우위안현
克鲁伦河,케룰렌강
榆阳区,위양구
西安碑林,비림
九江市,주장시
唐县,탕현
曲周县,취저우현
双滦区,솽롼구
邯山区,한산구
上高县,상가오현
铅山县,옌산현
北京五棵松体育中心棒球场,베이징 우커숭 스포츠센터 야구장
電視廣播有限公司,TVB
岳阳楼,악양루
蝶山区,뎨산구
中銀大廈,중국은행 타워
清河县,칭허현
奶酒,아르히
临洮县,린타오현
中德關係,독일-중화인민공화국 관계
鸡泽县,지쩌현
孟村回族自治县,멍춘 후이족 자치현
邢台县,싱타이현
文安县,원안현
大埔足球會,타이포 FC
九龍半島,주룽 반도
潍坊市,웨이팡시
万年县,완녠현
岳阳县,웨양현
华容县,화룽현
全南县,취안난현
监利市,젠리현
万安县,완안현
喀喇昆仑公路,카라코람 고속도로
达斡尔族,다우르족
岚皋县,란가오현
怀仁市,화이런시
洞庭湖,둥팅호
塔里木盆地,타리무 분지
景泰陵,경태릉
泰安市,타이안시
盘龙城遗址,반룡성 유적
东港市,둥강시
东光县,둥광현
杜尔伯特蒙古族自治县,두얼보터 몽골족 자치현
龙沙区,룽사구
卢龙县,루룽현
隆尧县,룽야오현
广宗县,광쭝현
襄都区,차오둥구
2008年夏季奧林匹克運動會拳擊比賽,2008년 하계 올림픽 복싱
2008年夏季奧林匹克運動會水球比賽,2008년 하계 올림픽 수구
一孩政策,한 아이 정책
東方明珠廣播電視塔,동방명주탑
河口瑶族自治县,허커우 야오족 자치현
鼎城区,딩청구
右江区,유장구
2008年夏季奧林匹克運動會摔跤比賽,2008년 하계 올림픽 레슬링
阜城县,푸청현
滦州市,롼저우시
盐山县,옌산현
乐亭县,러딩현
定结县,딩제현
定海区,딩하이구
鼎湖区,딩후구
定南县,딩난현
左贡县,쭤궁현
若尔盖县,뤄얼가이현
新城區,신청구
蓬莱区,펑라이구
江州区,장저우구
斗门区,더우먼구
高邮市,가오유시
西昌市,시창시
滦南县,롼난현
高阳县,가오양현
邯郸县,한단현
牡丹江市,무단장시
东区,둥 구 (판즈화 시)
东昌区,둥창구
东川区,둥촨구
吉安县,지안현
攸县,유현
永丰县,융펑현
康保县,캉바오현
武强县,우창현
魏县,웨이현
东湖区,둥후구
东宁市,둥닝시
东胜区,둥성구
中国核试验基地,중국 핵실험기지
2008年夏季奧林匹克運動會射箭比賽,2008년 하계 올림픽 양궁
2008年夏季奧林匹克運動會柔道比賽,2008년 하계 올림픽 유도
民和回族土族自治县,민허 후이족 투족 자치현
互助土族自治县,후주 투족 자치현
玛多县,마둬현
寿光市,서우광시
松滋市,쑹쯔시
稻城亞丁機場,다오청 야딩 공항
丹东浪头机场,단둥 랑터우 공항
1996年亞洲冬季運動會,1996년 동계 아시안 게임
桥西区,차오시구
路南区,루난구
丰润区,펑룬구
喀纳斯湖,카나스호
湟源县,황위안현
滦平县,롼핑현
开平区,카이핑구
中華人民共和國與大規模殺傷性武器,중화인민공화국의 대량살상무기
宣化县,쉬안화현
蓮湖區,롄후구
雁塔區,옌타구
閻良區,옌량구
元宝区,위안바오구
徐水区,쉬수이구
定兴县,딩싱현
内丘县,네이추현
固安县,구안현
海港区,하이강구
临漳县,린장현
围场满族蒙古族自治县,웨이창 만족 몽골족 자치현
東莞軌道交通,둥관 궤도교통
幸福航空,조이 에어
袁州区,위안저우구
广昌县,광창현
久治县,주즈현
枞阳县,쭝양현
北京动物园,베이징 동물원
文昌航天发射场,원창 위성발사센터
华蓥市,화잉시
阿里巴巴集团,알리바바 그룹
北緯27度線,북위 27도
福耀集团,푸야오
北緯19度線,북위 19도
北緯26度線,북위 26도
北緯28度線,북위 28도
和平共处五项原则,평화 5원칙
北纬35度线,북위 35도
北纬25度线,북위 25도
北緯49度線,북위 49도
碾子山区,녠쯔산구
淅川县,시촨현
濉溪县,쑤이시현
阿克赛钦,악사이친
少林寺,소림사
振盪波,세이시
东兴市,둥싱시
东源县,둥위안현
北纬30度线,북위 30도
平安保险,핑안보험
北緯45度線,북위 45도
青藏鐵路,칭짱 철로
东洲区,둥저우구
东至县,둥즈현
乳山市,루산시
左权县,쭤취안현
左云县,쭤윈현
神农架林区,선눙자 임구
栖霞市,치샤시
吉祥航空,준야오 항공
居延漢簡,거연한간
宋陵,송릉
唐十八陵,당십팔릉
項城市,샹청시
金水区,진수이구
玛旁雍錯,마나사로바 호수
中国美术馆,중국미술관
平泉市,핑취안시
新华区,신화구
隆化县,룽화현
双桥区,솽차오구
端午节,단오
分宜县,펀이현
临淄区,린쯔구
邹城市,쩌우청시
江油市,장유시
邹平市,쩌우핑 현
北緯24度線,북위 24도
爱辉区,아이후이구
西貢市,시궁시
故城县,구청현
涉县,서현
青县,칭현
新河县,신허현
彭州市,펑저우시
阜南县,푸난현
冈仁波齐峰,카일라스산
老河口市,라오허커우시
沁阳市,친양시
万全区,완취안구
下花园区,샤화위안구
桃城区,타오청구
邱县,추현
凯里市,카이리시
洪湖市,훙후시
昔阳县,시양현
平定县,핑딩현
阳原县,양위안현
矿区,쾅구
平乡县,핑샹현
馆陶县,관타오현
广阳区,광양구
右玉县,유위현
遵化市,쭌화시
播州区,쭌이 현
库布其沙漠,쿠부치 사막
宽城满族自治县,콴청 만족 자치현
垣曲县,위안취현
天津经济技术开发区,톈진 경제기술개발구
广平县,광핑현
石首市,스서우시
兴义市,싱이시
2010年亚洲运动会,2010년 아시안 게임
2011年中国大奖赛,2011년 포뮬러 원 중화인민공화국 그랑프리
香港足球代表隊,홍콩 축구 국가대표팀
白云区,바이윈구
北京第二外国语学院,베이징 제2외국어대학
云安区,윈안 현
锦江区,진장구
巩义市,궁이시
金牛区,진뉴구
拉卜楞寺,라브랑 사원
邓小平南巡,남순강화
合山市,허산시
开远市,카이위안시
北京地铁,베이징 지하철
和硕特,코슈트부
塔里木河,타림강
南京条约,난징 조약
余干县,위간현
颍泉区,잉취안구
青州市,칭저우시
广灵县,광링현
沈阳军区,선양 군구
黎城县,리청현
兰州军区,란저우 군구
五台县,우타이현
明水县,밍수이현
外文出版社,외문출판사
灵石县,링스현
祁县,치현
阜平县,푸핑현
万荣县,완룽현
阳曲县,양취현
新干县,신간현
邺,업
合浦县,허푸현
212国道,국도 제212호선
新荣区,신룽구
朔城区,숴청구
沁源县,친위안현
新绛县,신장현
半島酒店,더 페닌슐라 홍콩
屯門,툰먼
大埔,다푸
荃灣,취안완
都昌县,두창현
南汇区,난후이구
杜集区,두지구
白马寺,백마사
屯留区,툰류 현
神池县,선츠현
怀来县,화이라이현
中国环球电视网阿拉伯语频道,CGTN 아랍어
悬空寺,현공사
槐荫区,화이인구
惠济区,후이지구
荥阳市,싱양시
陆川县,루촨현
都兰县,두란현
多伦县,둬룬현
梨树县,리수현
沛县,페이현
抚松县,푸쑹현
怀远县,화이위안현
尖山区,젠산구
营山县,잉산현
都安瑶族自治县,두안 야오족 자치현
巫山县,우산현
端州区,돤저우구
201国道,국도 제201호선
中国传媒大学,중국전매대학교
南芬区,난펀구
東方足球隊,이스턴 SC
海伦市,하이룬시
长江中下游平原,양자평원
北緯48度線,북위 48도
北緯46度線,북위 46도
北緯47度線,북위 47도
北緯29度線,북위 29도
北緯20度線,북위 20도
满城区,만청구
兖州区,옌저우구
中國人民銀行,중국인민은행
夹江县,자장현
阜康市,푸캉시
和田市,허톈시
信興廣場,션힝 스퀘어
上海申鑫足球俱乐部,난창 헝위안
武威市,우웨이시
沁县,친현
盐湖区,옌후구
五寨县,우자이현
襄城区,샹청구
九龍,가우룽
虎林市,후린시
双辽市,솽랴오시
乾安县,첸안현
永吉县,융지현
通榆县,퉁위현
通化县,퉁화현
西安事變,시안 사건
中信廣場,시틱 플라자
哈大客运专线,하다 여객전용선
颍上县,잉상현
舞钢市,우강시
德钦县,더친현
得荣县,더룽현
劳动教养,노동교양
喀喇昆仑走廊,카라코람 회랑
河北大学“10·16”交通肇事案,리강 사건
寿阳县,서우양현
绛县,장현
平陆县,핑루현
临猗县,린이현
壶关县,후관현
鹰手营子矿区,잉슈잉지광 구
天镇县,톈전현
柳河县,류허현
伊通满族自治县,이퉁 만족 자치현
江东区,장둥구
青田县,칭톈현
贡嘎县,궁가현
罗江区,뤄장구
中国广核集团,중국광핵집단
舟山岛,저우산섬
珠穆朗瑪峰基地營,에베레스트 베이스캠프
中国人民革命军事博物馆,중국인민혁명군사박물관
铁岭县,톄링현
金安橋大壩,진안차오 댐
2014年夏季青年奧林匹克運動會,2014년 하계 청소년 올림픽
国家游泳中心,베이징 국가수영센터
霞浦县,샤푸현
哲蚌寺,드레풍 사원
普兰店区,푸란뎬 시
凤城市,펑청시
泽当街道,세탕
泽库县,쩌쿠현
绿园区,루위안구
洛南县,뤄난현
五华区,우화구
杭锦旗,항진 기
南开大学,난카이 대학
昆山南站,쿤산난역
宁武县,닝우현
青冈县,칭강현
汾西县,펀시현
西安区,시안구
2008年夏季奧林匹克運動會游泳比賽女子400米混合泳比賽,2008년 하계 올림픽 수영 여자 400m 개인혼영
嵩明县,쑹밍현
繁峙县,판스현
涞源县,라이위안현
武乡县,우샹현
海兴县,하이싱현
于都县,위두현
黄龙体育中心,황룡 스포츠 센터
南京奥林匹克体育中心,난징 올림픽 스포츠 센터
荃灣碼頭,췬완 부두
商都县,상두현
洋河,양허
交口县,자오커우현
乡宁县,샹닝현
矿区,쾅구
望奎县,왕쿠이현
中國丹霞,단샤
县,현
龍江縣,룽장현
龙门山,룽먼 산맥
北京东方君悦大酒店,그랜드 하얏트 베이징
尧都区,야오두구
新兴区,신싱구
蒲县,푸현
京口区,징커우구
莘庄站,신좡역
辽中地区环线高速公路,랴오중 순환 고속공로
连山区,롄산구
中国投资有限责任公司,중국 투자 공사
实际控制线,실질통제선
副省级市,부성급시
和顺县,허순현
芮城县,루이청현
偏关县,팡관현
陵川县,링촨현
上城区,상청구
磐石市,판스시
清原满族自治县,칭위안 만족 자치현
忻府区,신푸구
襄汾县,샹펀현
平顺县,핑순현
定襄县,딩샹현
那曲镇,낭추 타운
金溪县,진시현
乐业县,러예현
介休市,제슈시
北京飯店,북경반점
青原区,칭위안구
河曲县,허취현
隰县,시현
500米口径球面射电望远镜,직경 500미터 구면 전파망원경
中国宝武钢铁集团有限公司,바오우
江北區,장베이구
2008年夏季奧林匹克運動會游泳比賽男子200米蛙泳比賽,2008년 하계 올림픽 수영 남자 200m 평영
武城县,우청현
雁山区,옌산구
洋山港,양산심수항
聯洲國際有限公司,티피링크
漕溪路站,차오시루역
应县,잉현
东山区,둥산구
盂县,위현
清河区,칭허구
恒山区,헝산구
长白山机场,백두산 공항
中国实验快堆,CEFR
岚县,란현
嘉荫县,자인현
金山屯区,진산툰구
常州经济技术开发区,상주시 경제 기술 개발구
东坡区,둥포구
永新县,융신현
翡翠航空,제이드 카고 인터내셔널
北緯42度線,북위 42도
澳門友誼大橋,마카오 우의대교
内蒙古人民党,내몽골 인민당
下城区,샤청구
拱墅区,궁수구
余杭区,위항구
中华人民共和国国道,중화인민공화국의 일반 국도
滘西洲,카우사이차우섬
小河区,샤오허구
陆良县,루량현
双阳区,솽양구
灵寿县,링수현
沈北新区,선베이 신구
静海区,징하이구
向阳区,샹양구
五营区,우잉구
上甘岭区,상간링구
绥棱县,쑤이링현
武进区,우진구
兴县,싱현
西市区,시스구
文水县,원수이현
淞沪会战,상하이 전투
2008年夏季奧林匹克運動會游泳比賽男子400米自由泳比賽,2008년 하계 올림픽 수영 남자 400m 자유형
离石区,리스구
中国金字塔,중국의 피라미드
高碑店市,가오베이뎬시
金州区,진저우구
绥中县,쑤이중현
奉节县,펑제현
清徐县,칭쉬현
蓮花大橋,로터스 브리지
中央文化革命小组,중앙문화혁명소조
凯迪拉克中心,베이징 우커쑹 스포츠센터
义马市,이마시
永康市,융캉시
上犹县,상유현
加格达奇区,자거다치구
中国政府友谊奖,우의장
高邑县,가오이현
平山县,핑산현
江陵县,장링현
高平市,가오핑시
新疆生产建设兵团,신장 생산건설병단
2008年夏季奧林匹克運動會跆拳道比賽—女子67公斤級,2008년 하계 올림픽 태권도 여자 67kg급
和平区,허핑구
裕华区,위화구
梁平区,량핑구
井陉县,징싱현
武宁县,우닝현
将乐县,장러현
铁锋区,톄펑구
330国道,국도 제330호선
嘉陵区,자링구
瑶海区,야오하이구
蜀山区,수산구
利辛县,리신현
庐阳区,루양구
润州区,룬저우구
友好区,유하오구
前进区,첸진구
太平区,타이핑구
云岭,윈링
維多利亞公園,빅토리아 공원
入境事務處,홍콩 입경사무처
兴安区,싱안구
乌马河区,우마허구
石楼县,스러우현
海陵区,하이링구
洛扎县,뤄자현
萨迦县,싸자현
祥鵬航空,럭키 에어
五大连池市,우다롄츠시
宣化区,쉬안화구
潼南区,퉁난 현
桥东区,차오둥구
苏家屯区,쑤자툰구
行唐县,싱탕현
武义县,우이현
嘉善县,자산현
龙泉市,룽취안시
深州市,선저우시
凌海市,링하이시
建湖县,젠후현
清浦区,칭푸구
赣榆区,간위 현
加查县,자차현
千山,첸산산맥
西藏大学,티베트 대학
乌伊岭区,우이링구
美溪区,메이시구
东风区,둥펑구
广陵区,광링구
方山县,팡산현
洪洞县,훙둥현
庆安县,칭안현
丰满区,펑만구
红星区,훙싱구
柳林县,류린현
新民市,신민시
路氹城,코타이
中国足球协会杯,중국 FA컵
玉门关,위먼관
中國製造,중국산
上海轨道交通2号线,상하이 지하철 2호선
中银大厦,중국은행 타워
于洪区,위훙구
宇通客車,유퉁 자동차
香达镇,샹다
中国俄罗斯族,어뤄쓰족
特克斯县,터커쓰현
新和县,신허현
寧安市,닝안시
伊金霍洛旗,이진훠뤄 기
克东县,커둥현
上海大剧院,상하이 대극원
贺兰县,허란현
藤县,텅현
北緯41度線,북위 41도
宽城区,콴청 지구
铁西区,톄시구
中国人民解放军火箭军,중국 인민해방군 로켓군
一大会址·黄陂南路站,황피난루 역
中华人民共和国审查制度,중국의 검열
射阳县,서양현
盐都区,옌두구
巩留县,궁류현
克拉玛依区,커라마이구
尼勒克县,니러커현
革吉县,거지현
乃东区,나이둥 현
同仁市,퉁런시
上海轨道交通1号线,상하이 지하철 1호선
上海轨道交通3号线,상하이 지하철 3호선
上海轨道交通4号线,상하이 지하철 4호선
HK Express,홍콩 익스프레스 항공
泰兴市,타이싱시
巫溪县,우시현
榆次区,위츠구
樊城之戰,번성 전투
长沙黄花国际机场,창사 황화 국제공항
交河故城,자오허 고성
澳門廣播電視股份有限公司,TDM
保良局,보량국
东辽县,둥랴오현
桐庐县,퉁루현
福清市,푸칭시
新天地,신티엔디
井冈山,징강산
北京奥林匹克公园射箭场,베이징 올림픽 공원 양궁장
豫园,예원
繁昌区,판창현
六合区,류허 구
淮阴区,화이인구
洪泽区,훙쩌 현
来安县,라이안현
狮子山区,스쯔산구
福山区,푸산구
迎江区,잉장구
石家庄正定国际机场,스자좡 정딩 국제공항
澳門警察足球隊,폴리시아 드 세구란사 푸블리카
天津富力大厦,톈진 R&F 광동 타워
睢宁县,쑤이닝현
建邺区,젠예구
灌南县,관난현
沽源县,구위안현
信都区,차오시구
武隆区,우룽구
琼结县,충제현
合作市,허쭤시
虎丘區,후추구
宜秀区,이슈구
屯溪区,툰시구
清河区,칭허구
东海县,둥하이현
海州区,하이저우구
九里区,주리구
连云区,롄윈구
溧水区,리수이구
贾汪区,자왕구
云龙区,윈룽구
铁西区,톄시구
沙河口区,사허커우구
凌河区,링허구
海州区,하이저우구
迭部县,뎨부현
吉木乃县,지무나이현
铜梁区,퉁량 현
原平市,위안핑시
无极县,우지현
杭州萧山国际机场,항저우 샤오산 국제공항
灌云县,관윈현
汨罗江,미뤄강
汤旺河区,탕왕허구
新浦区,신푸구
铜山区,퉁산구
亭湖区,팅후구
东川路站,둥촨루 역
中國新左派,중국 신좌파
龟兹,쿠처
巴林左旗,바린 좌기
尼雅遺址,니야
溧阳市,리양시
鄂伦春语,어룬춘어
宽甸满族自治县,콴뎬 만족 자치현
杨浦大桥,양푸 대교
ISO 3166-2:CN,ISO 3166-2:CN
乌镇镇,우전진
松岭区,쑹링구
开化县,카이화현
宿城区,쑤청구
宿豫区,쑤위구
三山区,싼산구
长春龙嘉国际机场,창춘 룽자 국제공항
雨花台区,위화타이구
桂林兩江國際機場,구이린 량장 국제공항
新宾满族自治县,신빈 만족 자치현
阿拉善左旗,아라산 좌기
新巴尔虎左旗,신바얼후 좌기
武穴市,우쉐시
岭南,영남
五口通商附粘善後條款,후먼 조약
恒山,항산
二十八个布尔什维克,28인의 볼셰비키
夏商周斷代工程,하상주단대공정
尖扎县,젠자현
东港区,둥강구
全椒县,취안자오현
广饶县,광라오현
宣州区,쉬안저우구
103国道,국도 제103호선 (중국)
314国道,국도 제314호선
301国道,국도 제301호선
苏宁易购,쑤닝 그룹
科尔沁右翼前旗,커얼친 우익전기
長城航空,만리장성항공
红原县,훙위안현
朗县,랑현
桑日县,쌍르현
谢通门县,셰퉁먼현
大连有轨电车,다롄 노면전차
上海轨道交通5号线,상하이 지하철 5호선
酉阳土家族苗族自治县,유양 투자족 먀오족 자치현
深泽县,선쩌현
天龙山石窟,천룡산 석굴
西藏民族大学,티베트 민족학원
2009年上海大師賽,2009년 상하이 ATP 마스터스 1000
常州現代傳媒中心,모던 미디어 센터
娄烦县,뤄판현
盖州市,가이저우시
义县,이현
北緯53度線,북위 53도
202国道,국도 제202호선
汉茂陵,무릉
镜湖区,징후구
松阳县,쑹양현
桐城市,퉁청시
万盛区,완성구
荣昌区,룽창 현
双桥区,솽차오구
汉沽区,한구구
江宁区,장닝구
216国道,국도 제216호선
四川广播电视台,쓰촨 방송국
杭州地铁,항저우 지하철
黄山区,황산구
高青县,가오칭현
霍山县,훠산현
颛桥站,좐차오 역
賽格廣場,SEG 플라자
澳門歷史,마카오의 역사
仙居县,셴쥐현
中國中心主義,중화사상
112国道,국도 제112호선
305国道,국도 제305호선
306国道,국도 제306호선
金湖县,진후현
鸠江区,주장구
休宁县,슈닝현
南陵县,난링현
湾沚区,완즈구
潘集区,판지구
岚山区,란산구
中国人民武装警察部队,중국 인민무장경찰부대
溪湖区,시후구
抚顺县,푸순현
太和区,타이허구
竞秀区,징슈구
明山区,밍산구
蠡县,리현
西岗区,시강구
平山区,핑산구
中国大陆人口,중화인민공화국의 인구
名鑄,더 마스터피스
昂坪360,옹핑 360
开州区,카이 현
扬中市,양중시
锡山区,시산구
摩梭人,모쒀족
东经80度线,동경 80도
古塔区,구타구
肥乡区,페이샹구
临西县,린시현
清河门区,칭허먼구
立山区,리산구
细河区,시허구
丰宁满族自治县,펑닝 만족 자치현
东经90度线,동경 90도
抚宁区,푸닝 현
南澳县,난아오현
津市市,진스시
华宁路站,화닝루 역
江孜镇,관세
甘泉香港航空,오아시스 홍콩 항공
麻章区,마장구
五华县,우화현
遂溪县,쑤이시현
居巢区,주차오구
广德市,광더현
平原县,핑위안현
香港滙豐總行大廈,HSBC 홍콩 본점 빌딩
永宁县,융닝현
南长区,난창구
中国民用航空局,중국민용항공국
居庸关,쥐융관
燕山,옌산산맥
柯城区,커청구
宁津县,닝진현
南谯区,난차오구
夏津县,샤진현
加加镇,갸갸
太阳岛,타이양섬
中国哈尔滨国际冰雪节,하얼빈 국제빙설제
吴江区,우장 시
海安市,하이안시
玉环市,위환시
澳門經濟,마카오의 경제
中印边界,인도-중화인민공화국 국경
2008年中国雪灾,2008년 중국 설해
廉江市,롄장시
闽清县,민칭현
铜官山区,퉁관산구
泰山区,타이산구
旌德县,징더현
武汉中心,우한 센터
北緯51度線,북위 51도
312国道,국도 제312호선
211工程,211 프로젝트
路桥区,루차오구
昆明长水国际机场,쿤밍 창슈이 국제공항
阳澄湖,양청호
岫岩满族自治县,슈옌 만족 자치현
交城县,자오청현
顺城区,순청구
铁东区,톄둥구
雨山区,위산구
莱西市,라이시시
裕安区,위안구
郎溪县,랑시현
华安县,화안현
青阳县,칭양현
春申路站,춘센루 역
納西語,나시어
琉璃厂,류리창
绥宁县,쑤이닝현
徐闻县,쉬원현
福安市,푸안시
弓长岭区,궁창링구
铁东区,톄둥구
讷河市,너허시
建瓯市,젠어우시
马尾区,마웨이구
长春电影节,창춘 영화제
北京国际电影节,베이징 국제 영화제
九边,구진
牡丹区,무단구
纪家庙站,진자먀오 역
徽州区,후이저우구
义安区,퉁링 현
歙县,서현
费县,페이현
平和县,핑허현
大连话,대련어
泰宁县,타이닝현
石台县,스타이현
丰南区,펑난구
丰顺县,펑순현
土家语,투자어
兴隆台区,싱룽타이구
宏伟区,훙웨이구
黑山县,헤이산현
双台子区,솽타이쯔구
天宫三号,톈궁 3호
临朐县,린추현
无为市,우웨이현
寒亭区,한팅구
绩溪县,지시현
峰峰矿区,펑펑쾅 구
桓仁满族自治县,환런 만족 자치현
曲沃县,취워현
二道江区,얼다오장구
四方台区,쓰팡타이구
泰来县,타이라이현
喀喇沁左翼蒙古族自治县,카라친쭤이 몽골족 자치현
辽阳县,랴오양현
子科滩镇,지케탄
时代金融中心,원 뤼자쭈이
苏州港,쑤저우항
西山区,시산구
华东师范大学,화동사범대학교
郑州新郑国际机场,정저우 신정 국제공항
孝义市,샤오이시
永年区,융녠구
西丰县,시펑현
霞山区,샤산구
翁源县,웡위안현
化州市,화저우시
江源区,장위안구
南票区,난퍄오구
向阳区,샹양구
梅里斯达斡尔族区,메이리쓰 다우르족구
齐河县,치허현
上街区,상제구
冠县,관현
钢城区,강청구
南水北调工程,남수북조
清流县,칭류현
金明区,진밍구
罗庄区,뤄좡구
莱芜区,라이청구
柳條邊,유조변
新民主主义,신민주주의
泗县,쓰현
天津大學,톈진 대학
中国中央电视台财经频道,CCTV-2
鸡冠区,지관구
双塔区,솽타구
绥滨县,쑤이빈현
会昌县,후이창현
新建区,신젠구
潜山市,첸산 현
沂源县,이위안현
沂水县,이수이현
利津县,리진현
奎文区,쿠이원구
永泰县,융타이현
宁乡市,닝샹시
龙文区,룽원구
阜新蒙古族自治县,푸신 몽골족 자치현
文圣区,원성구
太子河区,타이쯔허구
中华人民共和国国防部,중화인민공화국 국방부
上海大鲨鱼,상하이 샤크스
九八五工程,985공정
光泽县,광쩌현
万载县,완짜이현
西湖区,시후구
香港地理,홍콩의 지리
巨野县,쥐예현
莱山区,라이산구
单县,산현
庐山市,싱쯔 현
南昌昌北国际机场,난창 창베이 국제공항
滕王阁,등왕각
梨园,이원
中国国际贸易中心3期,중국 제3세계무역센터
环翠区,환취구
东明县,둥밍현
平邑县,핑이현
河东区,허둥구
郯城县,탄청현
东昌府区,둥창푸구
兰山区,란산구
汶上县,원상현
河口区,허커우구
庆元县,칭위안현
宁化县,닝화현
尤溪县,유시현
胶南市,자오난시
市南區,스난구
台儿庄区,타이얼좡구
东经110度线,동경 110도
伊通河,이통 하
长春轨道交通,창춘 지하철
南海舰队,남해함대
龙凤区,룽펑구
龙城区,룽청구
让胡路区,랑후루구
龙港区,룽강구
海城大地震,1975년 하이청 지진
丰城市,펑청시
湾里区,완리구
泰和县,타이허현
含山县,한산현
宁阳县,닝양현
无棣县,우디현
金乡县,진샹현
峄城区,이청구
微山县,웨이산현
莒县,쥐현
青山湖区,칭산후구
永安市,융안시
仪征市,이정시
平度市,핑두시
燕京啤酒,옌징 맥주
协格尔镇,셸카르
首经贸站,서우징마오 역
西安区,시안구
故宫博物院,고궁박물원
香港流浪足球會,홍콩 레인저스 FC
常熟路站,창슈루 역
阳明区,양밍구
兴山区,싱산구
凌源市,링위안시
灵山大佛,영산대불
精工體育會,세이코 SA
沙县区,사셴구
临沭县,린수현
市北区,스베이구
市中区,스중구
杏花岭区,싱화링구
万柏林区,완바이린구
尖草坪区,젠차오핑구
小店区,샤오뎬구
沅江市,위안장시
惠东县,후이둥현
觀塘站,군통 역
調景嶺站,티우겡렝역
中国伊斯兰教,중국의 이슬람교
惠安县,후이안현
湘潭县,샹탄현
前郭尔罗斯蒙古族自治县,첸궈얼뤄쓰 몽골족 자치현
井冈山市,징강산시
中华人民共和国交通,중화인민공화국의 교통
嘉祥县,자샹현
市中区,스중구
高唐县,가오탕현
蒙阴县,멍인현
鱼台县,위타이현
涧西区,젠시구
延津县,옌진현
梨树区,리수구
依安县,이안현
岭东区,링둥구
克山县,커산현
海勃湾区,하이보완구
煙台萊山國際機場,옌타이 라이산 국제공항
先进超导托卡马克实验装置,EAST
海盐县,하이옌현
鄞州区,인저우구
江北区,장베이구
龙亭区,룽팅구
五莲县,우롄현
肥城市,페이청시
东平县,둥핑현
东阿县,둥어현
李沧区,리창구
任城区,런청구
禹王台区,위왕타이구
海信集团,하이센스
中華人民共和國民主運動,중국 민주화 운동
思明区,쓰밍구
雨花区,위화구
陵城区,링청구
定陶区,딩타오 현
济南遥墙国际机场,지난 야오창 공항
石柱土家族自治县,스주 투자족 자치현
彭水苗族土家族自治县,펑수이 먀오족 투자족 자치현
红岗区,훙강구
建华区,젠화구
集贤县,지셴현
工农区,궁눙구
澳門歷史城區,마카오 역사지구
