陈定,チンサダ,chén dìng,chinsada
德清县,トクキヨシケン,dé qīng xiàn,tokukiyoshiken
奉节县,タテマツフシケン,fèng jié xiàn,tatematsufushiken
乐业县,ラクギョウケン,lè yè xiàn,rakugyouken
金溪县,キムケイケン,jīn xī xiàn,kimukeiken
北京国际电影节,ペキンコクサイエイガサイ,běi jīng guó jì diàn yǐng jié,pekinkokusaieigasai
武汉中心,ブカンチュウシン,wǔ hàn zhōng xīn,bukanchuushin
国际关系学院,コクサイカンケイガクイン,guó jì guān xì xué yuàn,kokusaikankeigakuin
外交学院,ガイコウガクイン,wài jiāo xué yuàn,gaikougakuin
广州城足球俱乐部,コウシュウジョウアシダマクラブ,guǎng zhōu chéng zú qiú jù lè bù,koushuujouashidamakurabu
孔子和平奖,コウシヘイワショウ,kǒng zǐ hé píng jiǎng,koushiheiwashou
小皇帝综合症,ショウコウテイ,xiǎo huáng dì zōng hé zhèng,shoukoutei
青岛海牛足球俱乐部,チンタオチュウノウアシダマクラブ,qīng dǎo hǎi niú zú qiú jù lè bù,chintaochuunouashidamakurabu
直贡梯寺,ディグンティテラ,zhí gòng tī sì,diguntitera
陆川县,クガガワケン,lù chuān xiàn,kugagawaken
巫山县,ミコヤマガタ,wū shān xiàn,mikoyamagata
都安瑶族自治县,トヤスヤオゾクジチケン,dōu ān yáo zú zì zhì xiàn,toyasuyaozokujichiken
中国平安,チュウゴクヘイアンホケン,zhōng guó píng ān,chuugokuheianhoken
腾中重工,アガチュウジュウコウ,téng zhōng zhòng gōng,agachuujuukou
大悲禅院,ダイヒイン,dà bēi chán yuàn,daihiin
上海久事大鲨鱼篮球俱乐部,シャンハイヒサジダイハゼビクダマクラブ,shàng hǎi jiǔ shì dà shā yú lán qiú jù lè bù,shanhaihisajidaihazebikudamakurabu
华锐风电,ハナスルドフウデン,huá ruì fēng diàn,hanasurudofuuden
灵谷寺,レイタニテラ,líng gǔ sì,reitanitera
江陵县,コウリョウケン,jiāng líng xiàn,kouryouken
平山县,ヒラヤマケン,píng shān xiàn,hirayamaken
高邑县,タカムラケン,gāo yì xiàn,takamuraken
行唐县,クダリトウケン,xíng táng xiàn,kudaritouken
国清寺,テンダイザンコクセイジ,guó qīng sì,tendaizankokuseiji
汀江,ミギワコウ,tīng jiāng,migiwakou
中国人民解放军火箭军,チュウゴクジンミンカイホウグンロケットグン,zhōng guó rén mín jiě fàng jūn huǒ jiàn jūn,chuugokujinminkaihougunrokettogun
白马寺,シロウマテラ,bái mǎ sì,shiroumatera
都兰县,トアララギケン,dōu lán xiàn,toararagiken
西山,ニシヤマ,xī shān,nishiyama
怀远县,フトコロトオケン,huái yuǎn xiàn,futokorotooken
多伦县,ドロンノールケン,duō lún xiàn,doronnōruken
米兰遗址,ミーランイセキ,mǐ lán yí zhǐ,mīraniseki
中国太原卫星发射中心,フトゲンエイセイハッシャセンター,zhōng guó tài yuán wèi xīng fā shè zhōng xīn,futogeneiseihasshasentā
都昌县,ミヤコアキラケン,dōu chāng xiàn,miyakoakiraken
武汉体育中心,ブカンタイイクチュウシン,wǔ hàn tǐ yù zhōng xīn,bukantaiikuchuushin
梨园,リエン,lí yuán,rien
洛扎县,ロダクケン,luò zhā xiàn,rodakuken
加查县,ギャツァケン,jiā chá xiàn,gyatsaken
邯郸县,カンタンケン,hán dān xiàn,kantanken
高阳县,コウヒケン,gāo yáng xiàn,kouhiken
清河县,キヨカワケン,qīng hé xiàn,kiyokawaken
宣化县,センカケン,xuān huà xiàn,senkaken
武强县,タケツヨシケン,wǔ qiáng xiàn,taketsuyoshiken
康保县,カンタモツケン,kāng bǎo xiàn,kantamotsuken
固安县,カタヤスケン,gù ān xiàn,katayasuken
魏县,ギケン,wèi xiàn,giken
小雁塔,ショウカリトウ,xiǎo yàn tǎ,shoukaritou
白毫银针,ビャクゴウギンハリ,bái háo yín zhēn,byakugouginhari
南岭,ミナミミネサンミャク,nán lǐng,minamiminesanmyaku
石室圣心大教堂,イシムロセイシンダイセイドウ,shí shì shèng xīn dà jiào táng,ishimuroseishindaiseidou
得荣县,トクサカエケン,dé róng xiàn,tokusakaeken
合浦县,ガツポケン,hé pǔ xiàn,gatsupoken
劳动教养,ロウドウキョウヨウ,láo dòng jiào yǎng,roudoukyouyou
阳曲县,ヒキョクケン,yáng qū xiàn,hikyokuken
萨迦县,サキャケン,sà jiā xiàn,sakyaken
新干县,シンミキケン,xīn gān xiàn,shinmikiken
桑日县,サンリケン,sāng rì xiàn,sanriken
红原县,ベニハラノケン,hóng yuán xiàn,beniharanoken
朗县,ナンケン,lǎng xiàn,nanken
南水北调工程,ミナミスイホクチョウ,nán shuǐ běi tiáo gōng chéng,minamisuihokuchou
岳麓书院,タケフモトショイン,yuè lù shū yuàn,takefumotoshoin
南港岛线,ナンコウトウセン,nán gǎng dǎo xiàn,nankoutousen
武汉会战,ブカンサクセン,wǔ hàn huì zhàn,bukansakusen
中华人民共和国民主运动,チュウゴクミンシュカウンドウ,zhōng huá rén mín gòng hé guó mín zhǔ yùn dòng,chuugokuminshukaundou
海城大地震,ウミジョウジシン,hǎi chéng dà dì zhèn,umijoujishin
上海旗忠森林体育城网球中心,シャンハイハタチュウシンリンタイイクジョウテニスセンター,shàng hǎi qí zhōng sēn lín tǐ yù chéng wǎng qiú zhōng xīn,shanhaihatachuushinrintaiikujoutenisusentā
万忠墓,マンチュウボ,wàn zhōng mù,manchuubo
革吉县,ゲギェケン,gé jí xiàn,gegiェken
琼结县,チョンギェーケン,qióng jié xiàn,chongiェーken
马王堆汉墓,ウマオウタイカンハカ,mǎ wáng duī hàn mù,umaoutaikanhaka
岳阳楼,タケヒロウ,yuè yáng lóu,takehirou
雁门关,カリモンセキ,yàn mén guān,karimonseki
悬空寺,カカソラテラ,xuán kōng sì,kakasoratera
炭河里遗址,スミカワサトイセキ,tàn hé lǐ yí zhǐ,sumikawasatoiseki
上犹县,ウエナオケン,shàng yóu xiàn,uenaoken
谢通门县,シェートンムンケン,xiè tōng mén xiàn,shētonmunken
铁岭县,テツミネケン,tiě lǐng xiàn,tetsumineken
长江中下游平原,ナガエチュウカユウヘイゲン,cháng jiāng zhōng xià yóu píng yuán,nagaechuukayuuheigen
东方足球队,トウホウアシダマタイ,dōng fāng zú qiú duì,touhouashidamatai
东星航空,ヒガシボシコウクウ,dōng xīng háng kōng,higashiboshikoukuu
吉木乃县,ジェミナイケン,jí mù nǎi xiàn,jeminaiken
利辛县,リカラシケン,lì xīn xiàn,rikarashiken
巩留县,トックズタラケン,gǒng liú xiàn,tokkuzutaraken
迭部县,テウォケン,dié bù xiàn,tewoken
尼勒克县,ニルカケン,ní lè kè xiàn,nirukaken
中国俄罗斯族,オロスゾク,zhōng guó é luó sī zú,orosuzoku
新和县,トクスケン,xīn hé xiàn,tokusuken
特克斯县,テケスケン,tè kè sī xiàn,tekesuken
香港快运航空,ホンコンエクスプレスコウクウ,xiāng gǎng kuài yùn háng kōng,honkonekusupuresukoukuu
雄县,オンドリケン,xióng xiàn,ondoriken
广宗县,ヒロムネケン,guǎng zōng xiàn,hiromuneken
文安县,ブンヤスケン,wén ān xiàn,bunyasuken
卢龙县,ノリュウケン,lú lóng xiàn,noryuuken
孟村回族自治县,タケシムラカイゾクジチケン,mèng cūn huí zú zì zhì xiàn,takeshimurakaizokujichiken
怀安县,フトコロヤスケン,huái ān xiàn,futokoroyasuken
鸡泽县,ニワトリザワケン,jī zé xiàn,niwatorizawaken
贡嘎县,ゴンカルケン,gòng gǎ xiàn,gonkaruken
中国丹霞,チュウゴクタンカスミ,zhōng guó dān xiá,chuugokutankasumi
县,ケン,xiàn,ken
武宁县,タケヤスシケン,wǔ níng xiàn,takeyasushiken
巫溪县,ミコケイケン,wū xī xiàn,mikokeiken
阿拉善左旗,アルシャーヒダリハタ,ā lā shàn zuǒ qí,arushāhidarihata
新巴尔虎左旗,シンバルグヒダリハタ,xīn bā ěr hǔ zuǒ qí,shinbaruguhidarihata
长城航空,チョウジョウコウクウ,cháng chéng háng kōng,choujoukoukuu
嵩岳寺塔,カサミタケシテラトウ,sōng yuè sì tǎ,kasamitakeshiteratou
燕京啤酒,ツバメミヤコビール,yān jīng pí jiǔ,tsubamemiyakobīru
新民主主义,シンミンシュシュギロン,xīn mín zhǔ zhǔ yì,shinminshushugiron
东大直街耶稣圣心主教座堂,ハルビンセイシンテンシュキョウドウ,dōng dà zhí jiē yē sū shèng xīn zhǔ jiào zuò táng,harubinseishintenshukyoudou
扎仓,ダツァン,zhā cāng,datsan
定兴县,テイオキケン,dìng xīng xiàn,teiokiken
内丘县,ウチオカケン,nèi qiū xiàn,uchiokaken
隆化县,タカシカケン,lóng huà xiàn,takashikaken
乐亭县,ラクテイケン,lè tíng xiàn,rakuteiken
唐县,トウケン,táng xiàn,touken
盐山县,シオヤマケン,yán shān xiàn,shioyamaken
曲周县,キョクシュウケン,qū zhōu xiàn,kyokushuuken
黄龙体育中心,キリュウスポーツセンター,huáng lóng tǐ yù zhōng xīn,kiryuusupōtsusentā
将乐县,ハタラクケン,jiāng lè xiàn,hatarakuken
商都县,ショウトケン,shāng dōu xiàn,shoutoken
香河县,カゴケン,xiāng hé xiàn,kagoken
永清县,エイキヨシケン,yǒng qīng xiàn,eikiyoshiken
北京饭店,ペキンハンテン,běi jīng fàn diàn,pekinhanten
贺兰县,ガアララギケン,hè lán xiàn,gaararagiken
科尔沁右翼前旗,ホルチンウヨクゼンハタ,kē ěr qìn yòu yì qián qí,horuchinuyokuzenhata
江南,コウナン,jiāng nán,kounan
珠江钢琴,コウシュウタマエコウキンシュウダン,zhū jiāng gāng qín,koushuutamaekoukinshuudan
沃尔沃中国公开赛,チュウゴクオープン,wò ěr wò zhōng guó gōng kāi sài,chuugokuōpun
中国人民解放军南部战区海军,ナンカイカンタイ,zhōng guó rén mín jiě fàng jūn nán bù zhàn qū hǎi jūn,nankaikantai
长春轨道交通,チョウシュンキドウコウツウ,cháng chūn guǐ dào jiāo tōng,choushunkidoukoutsuu
大连天主教堂,タイレンカトリックキョウカイ,dà lián tiān zhǔ jiào táng,tairenkatorikkukyoukai
哈尔滨圣母帡幪教堂,ウルカミオンナヒゴセイドウ,hā ěr bīn shèng mǔ píng méng jiào táng,urukamionnahigoseidou
石库门,イシコモン,shí kù mén,ishikomon
故城县,コグスクケン,gù chéng xiàn,kogusukuken
涉县,ワタルケン,shè xiàn,wataruken
新河县,シンカワケン,xīn hé xiàn,shinkawaken
青县,アオケン,qīng xiàn,aoken
澳门友谊大桥,マカオユウギオオハシ,ào mén yǒu yì dà qiáo,makaoyuugioohashi
清徐县,キヨシジョケン,qīng xú xiàn,kiyoshijoken
平乡县,タイラゴウケン,píng xiāng xiàn,tairagouken
馆陶县,カンスエケン,guǎn táo xiàn,kansueken
右玉县,ミギダマケン,yòu yù xiàn,migidamaken
藤县,フジケン,téng xiàn,fujiken
克东县,カツヒガシケン,kè dōng xiàn,katsuhigashiken
伊金霍洛旗,エジンホロハタ,yī jīn huò luò qí,ejinhorohata
广平县,ヒロヘイケン,guǎng píng xiàn,hiroheiken
宽城满族自治县,ヒロシジョウミツルゾクジチケン,kuān chéng mǎn zú zì zhì xiàn,hiroshijoumitsuruzokujichiken
垣曲县,カキキョクケン,yuán qū xiàn,kakikyokuken
胶辽官话,ニカワリョウカンワ,jiāo liáo guān huà,nikawaryoukanwa
洪桥街道,ヒロシキョウカイドウ,hóng qiáo jiē dào,hiroshikyoukaidou
坪洲,ツボシュウ,píng zhōu,tsuboshuu
南坳,サウスコル,nán ào,sausukoru
中国伊斯兰教,チュウゴクニオケルイスラーム,zhōng guó yī sī lán jiào,chuugokuniokeruisurāmu
开化县,カイカケン,kāi huà xiàn,kaikaken
圣若瑟主教座堂,ニシヒラクテンシュキョウドウ,shèng ruò sè zhǔ jiào zuò táng,nishihirakutenshukyoudou
潘杰林寺,ミラレパシュギョウホラ,pān jié lín sì,mirarepashugyouhora
夜郎,ヨルロウ,yè láng,yorurou
欧亚航空,オウアコウクウ,ōu yà háng kōng,ouakoukuu
甘泉香港航空,オアシスホンコンコウクウ,gān quán xiāng gǎng háng kōng,oashisuhonkonkoukuu
永宁县,エイヤスシケン,yǒng níng xiàn,eiyasushiken
仙居县,センイケン,xiān jū xiàn,seniken
岭南,ミネミナミ,lǐng nán,mineminami
万荣县,バンサカエケン,wàn róng xiàn,bansakaeken
平定县,ヘイテイケン,píng dìng xiàn,heiteiken
昔阳县,ムカシヒケン,xī yáng xiàn,mukashihiken
阳原县,ヒハラノケン,yáng yuán xiàn,hiharanoken
广灵县,ヒロレイケン,guǎng líng xiàn,hiroreiken
中国中心主义,チュウカシソウ,zhōng guó zhōng xīn zhǔ yì,chuukashisou
夏商周断代工程,ナツショウシュウネンピョウプロジェクト,xià shāng zhōu duàn dài gōng chéng,natsushoushuunenpyoupurojekuto
恒山,ツネヤマ,héng shān,tsuneyama
腾格里沙漠,トングリサバク,téng gé lǐ shā mò,tongurisabaku
玉门关,ギョクモンセキ,yù mén guān,gyokumonseki
上海大剧院,シャンハイダイゲキイン,shàng hǎi dà jù yuàn,shanhaidaigekiin
艾提尕尔清真寺,エイティガールモスク,ài tí gǎ ěr qīng zhēn sì,eitigārumosuku
翁源县,オウハジメケン,wēng yuán xiàn,ouhajimeken
秦城监狱,ハタシロカンゴク,qín chéng jiān yù,hatashirokangoku
山东高速麒麟篮球俱乐部,サントウコウソクキリンクラブ,shān dōng gāo sù qí lín lán qiú jù lè bù,santoukousokukirinkurabu
比亚迪,ヒアススム,bǐ yà dí,hiasusumu
西藏地方,ニシクラチホウ,xī zàng dì fāng,nishikurachihou
甘家口街道,アマカグチ,gān jiā kǒu jiē dào,amakaguchi
扬州,アゲシュウ,yáng zhōu,ageshuu
永泰县,エイヤスシケン,yǒng tài xiàn,eiyasushiken
中国人民解放军空降兵军,チュウゴクジンミンカイホウグンクウグンソラクダヘイ,zhōng guó rén mín jiě fàng jūn kōng jiàng bīng jūn,chuugokujinminkaihougunkuugunsorakudahei
中华人民共和国文化部,チュウカジンミンキョウワコクブンカブ,zhōng huá rén mín gòng hé guó wén huà bù,chuukajinminkyouwakokubunkabu
中华人民共和国卫生部,チュウカジンミンキョウワコクエイセイブ,zhōng huá rén mín gòng hé guó wèi shēng bù,chuukajinminkyouwakokueiseibu
惠安县,メグミヤスケン,huì ān xiàn,megumiyasuken
惠东县,メグミヒガシケン,huì dōng xiàn,megumihigashiken
大连话,タイレンホウゲン,dà lián huà,tairenhougen
泰宁县,ヤスシヤスシケン,tài níng xiàn,yasushiyasushiken
石台县,イシダイケン,shí tái xiàn,ishidaiken
平和县,ヘイワケン,píng hé xiàn,heiwaken
北坳,ノースコル,běi ào,nōsukoru
力宝中心,リッポーセンター,lì bǎo zhōng xīn,rippōsentā
无锡地铁,ムスズチカテツ,wú xī dì tiě,musuzuchikatetsu
青岛地铁,チンタオチカテツ,qīng dǎo dì tiě,chintaochikatetsu
天猫,テンネコ,tiān māo,tenneko
中华女子学院,チュウカジョシガクイン,zhōng huá nǚ zǐ xué yuàn,chuukajoshigakuin
会昌县,カイアキラケン,huì chāng xiàn,kaiakiraken
万载县,バンノケン,wàn zǎi xiàn,bannoken
泰和县,ヤスカズケン,tài hé xiàn,yasukazuken
光泽县,コウタクケン,guāng zé xiàn,koutakuken
鸡鸣寺,ケイメイテラ,jī míng sì,keimeitera
中山公园,ナカヤマコウエン,zhōng shān gōng yuán,nakayamakouen
阿力麻里,アルマリク,ā lì má lǐ,arumariku
新安江,シンヤスエ,xīn ān jiāng,shinyasue
朝鲜停战协定,チョウセンセンソウキュウセンキョウテイ,cháo xiān tíng zhàn xié dìng,chousensensoukyuusenkyoutei
湛山寺,タンザンテラ,zhàn shān sì,tanzantera
圣奥斯定堂,キヨシオーガスティンキョウカイ,shèng ào sī dìng táng,kiyoshiōgasutinkyoukai
昆明航空,コンアキラコウクウ,kūn míng háng kōng,konakirakoukuu
西黄寺,ニシキテラ,xī huáng sì,nishikitera
中国花样滑冰锦标赛,チュウゴクフィギュアスケートセンシュケン,zhōng guó huā yàng huá bīng jǐn biāo sài,chuugokufigyuasukētosenshuken
天安门自焚事件,テンアンモンショウシンジサツジケン,tiān ān mén zì fén shì jiàn,tenanmonshoushinjisatsujiken
旅游警示,キケンジョウホウ,lǚ yóu jǐng shì,kikenjouhou
深港西部通道,フカミナトニシブドオリドウ,shēn gǎng xī bù tōng dào,fukaminatonishibudooridou
香港公园,ホンコンコウエン,xiāng gǎng gōng yuán,honkonkouen
北京航天飞行控制中心,ペキンコウテンヒコウセイギョセンター,běi jīng háng tiān fēi xíng kòng zhì zhōng xīn,pekinkoutenhikouseigyosentā
石柱土家族自治县,セキチュウトゥチャゾクジチケン,shí zhù tǔ jiā zú zì zhì xiàn,sekichuutuchazokujichiken
巴牙惕,バヤウト,bā yá tì,bayauto
北京银泰中心,ペキンギンタイセンター,běi jīng yín tài zhōng xīn,pekingintaisentā
北京广播电视台,ペキンデンシダイ,běi jīng guǎng bō diàn shì tái,pekindenshidai
法源寺,ホウゲンテラ,fǎ yuán sì,hougentera
石家庄电视塔,イシカソウテレビトウ,shí jiā zhuāng diàn shì tǎ,ishikasouterebitou
辽河平原,リョウカワヘイゲン,liáo hé píng yuán,ryoukawaheigen
广州电视塔,コウシュウテレビトウ,guǎng zhōu diàn shì tǎ,koushuuterebitou
圣弥爱尔大教堂,ヒジリミカエルダイセイドウ,shèng mí ài ěr dà jiào táng,hijirimikaerudaiseidou
西安圣方济各主教座堂,シーアンキヨシフランシスコダイセイドウ,xī ān shèng fāng jì gè zhǔ jiào zuò táng,shīankiyoshifuranshisukodaiseidou
网络警察,インターネットポリス,wǎng luò jǐng chá,intānettoporisu
圣约翰座堂,ヒジリヨハネザドウ,shèng yuē hàn zuò táng,hijiriyohanezadou
中华人民共和国外交部部长,チュウカジンミンキョウワコクガイコウブチョウ,zhōng huá rén mín gòng hé guó wài jiāo bù bù zhǎng,chuukajinminkyouwakokugaikoubuchou
晓庐,ハイクリフ,xiǎo lú,haikurifu
大连国际贸易中心,タイレンコクサイボウエキチュウシン,dà lián guó jì mào yì zhōng xīn,tairenkokusaibouekichuushin
桑耶寺,サムイェーテラ,sāng yē sì,samuyētera
广西平话,ヒロセヘイワ,guǎng xī píng huà,hiroseheiwa
月牙泉,ツキキバイズミ,yuè yá quán,tsukikibaizumi
长崎国旗事件,ナガサキコッキジケン,cháng qí guó qí shì jiàn,nagasakikokkijiken
噶丹松赞林,ソンツェリンテラ,gá dān sōng zàn lín,sontserintera
冈底斯山脉,ガンディセサンミャク,gāng dǐ sī shān mài,gandisesanmyaku
虎豹别墅,タイガーバームガーデン,hǔ bào bié shù,taigābāmugāden
香港打吡大赛,ホンコンダービー,xiāng gǎng dǎ bǐ dà sài,honkondābī
中国西南航空,チュウゴクセイナンコウクウ,zhōng guó xī nán háng kōng,chuugokuseinankoukuu
选举事务处,センキョジムショ,xuǎn jǔ shì wù chù,senkyojimusho
中国原子能科学研究院,チュウゴクゲンシノウカガクケンキュウイン,zhōng guó yuán zǐ néng kē xué yán jiū yuàn,chuugokugenshinoukagakukenkyuuin
中华人民共和国最高人民检察院,サイコウジンミンケンサツイン,zhōng huá rén mín gòng hé guó zuì gāo rén mín jiǎn chá yuàn,saikoujinminkensatsuin
吴王夫差矛,ゴオウオットサホコ,wú wáng fū chà máo,goouottosahoko
合肥轨道交通,ゴウコエキドウコウツウ,hé féi guǐ dào jiāo tōng,goukoekidoukoutsuu
贵阳轨道交通,キヒキドウコウツウ,guì yáng guǐ dào jiāo tōng,kihikidoukoutsuu
中国返回式卫星,カエカイシキエイセイ,zhōng guó fǎn huí shì wèi xīng,kaekaishikieisei
南山海上观音圣像,ミナミヤマカイジョウカンノンヒジリゾウ,nán shān hǎi shàng guān yīn shèng xiàng,minamiyamakaijoukannonhijirizou
天津航空,テンシンコウクウ,tiān jīn háng kōng,tenshinkoukuu
中华人民共和国国籍法,チュウカジンミンキョウワコクコクセキホウ,zhōng huá rén mín gòng hé guó guó jí fǎ,chuukajinminkyouwakokukokusekihou
香港网球公开赛,ホンコンオープン,xiāng gǎng wǎng qiú gōng kāi sài,honkonōpun
旅顺监狱旧址,リョジュンケイムショ,lǚ shùn jiān yù jiù zhǐ,ryojunkeimusho
金阁寺,キンカクジ,jīn gé sì,kinkakuji
香港乙组联赛,ホンコンセカンドディビジョンリーグ,xiāng gǎng yǐ zǔ lián sài,honkonsekandodibijonrīgu
碧螺春,ヘキニシハル,bì luó chūn,hekinishiharu
阿拉套,アラタウ,ā lā tào,aratau
哈尔滨地铁,ハルビンチカテツ,hā ěr bīn dì tiě,harubinchikatetsu
华林寺,ハナハヤシジ,huá lín sì,hanahayashiji
中国共产党中央委员会主席,チュウゴクキョウサントウチュウオウイインカイシュセキ,zhōng guó gòng chǎn dǎng zhōng yāng wěi yuán huì zhǔ xí,chuugokukyousantouchuuouiinkaishuseki
玉龙雪山,タマリュウユキヤマ,yù lóng xuě shān,tamaryuuyukiyama
清福陵,フクリョウ,qīng fú líng,fukuryou
大帽山,ダイボウヤマ,dà mào shān,daibouyama
港铁公司,ホンコンテツロ,gǎng tiě gōng sī,honkontetsuro
巴尔虎,バルガゾク,bā ěr hǔ,barugazoku
噶东寺,ガドンテラ,gá dōng sì,gadontera
中央音乐学院,チュウオウオンガクガクイン,zhōng yāng yīn yuè xué yuàn,chuuouongakugakuin
海底隧道,ホンコンカイテイトンネル,hǎi dǐ suì dào,honkonkaiteitonneru
上海音乐学院,シャンハイオンガクガクイン,shàng hǎi yīn yuè xué yuàn,shanhaiongakugakuin
卡热疆峰,カルジャン,kǎ rè jiāng fēng,karujan
贵州足球俱乐部,キシュウツネユタカアシダマクラブ,guì zhōu zú qiú jù lè bù,kishuutsuneyutakaashidamakurabu
东林书院,ヒガシリンショイン,dōng lín shū yuàn,higashirinshoin
原创动力,ヒロヒガシハラハジメドウリョクブンカデンパ,yuán chuàng dòng lì,hirohigashiharahajimedouryokubunkadenpa
碧桂园,ヘキケイエン,bì guì yuán,hekikeien
南京长江大桥,ナンキンチョウコウオオハシ,nán jīng cháng jiāng dà qiáo,nankinchoukouoohashi
香港轻铁,ケイテツ,xiāng gǎng qīng tiě,keitetsu
新华路体育中心,シンハナロタイイクチュウシン,xīn huá lù tǐ yù zhōng xīn,shinhanarotaiikuchuushin
昂船洲,ノボルセンシュウ,áng chuán zhōu,noborusenshuu
信德中心,シントクセンター,xìn dé zhōng xīn,shintokusentā
丛林巡航,ジャングルクルーズ,cóng lín xún háng,jangurukurūzu
复星国际,フクボシコクサイ,fù xīng guó jì,fukuboshikokusai
广东恒大女子排球俱乐部,カントンツネダイジョシハイキュウ,guǎng dōng héng dà nǚ zǐ pái qiú jù lè bù,kantontsunedaijoshihaikyuu
中山王墓,チュウサンノウボ,zhōng shān wáng mù,chuusannoubo
中国科学院古脊椎动物与古人类研究所,チュウゴクカガクインコセキツイドウブツコジンルイガクケンキュウジョ,zhōng guó kē xué yuàn gǔ jǐ zhuī dòng wù yǔ gǔ rén lèi yán jiū suǒ,chuugokukagakuinkosekitsuidoubutsukojinruigakukenkyuujo
东方之门,トウホウノモン,dōng fāng zhī mén,touhounomon
澳门特别行政区行政长官,マカオトクベツギョウセイクギョウセイチョウカン,ào mén tè bié xíng zhèng qū xíng zhèng zhǎng guān,makaotokubetsugyouseikugyouseichoukan
香港特别行政区行政长官,ホンコントクベツギョウセイクギョウセイチョウカン,xiāng gǎng tè bié xíng zhèng qū xíng zhèng zhǎng guān,honkontokubetsugyouseikugyouseichoukan
西安鼓楼,シーアンコロウ,xī ān gǔ lóu,shīankorou
中国人民解放军军事科学院,チュウゴクジンミンカイホウグングンジカガクイン,zhōng guó rén mín jiě fàng jūn jūn shì kē xué yuàn,chuugokujinminkaihougungunjikagakuin
华能国际,ハナノウコクサイデンリョク,huá néng guó jì,hananoukokusaidenryoku
上海飞机制造,シャンハイコウクウキセイゾウ,shàng hǎi fēi jī zhì zào,shanhaikoukuukiseizou
吴县,クレケン,wú xiàn,kureken
步步高,ホホコウ,bù bù gāo,hohokou
迪欣湖活动中心,インスピレーションレーク,dí xīn hú huó dòng zhōng xīn,insupirēshonrēku
华润雪花啤酒,ユキハナビール,huá rùn xuě huā pí jiǔ,yukihanabīru
蚺蛇尖,シャープピーク,rán shé jiān,shāpupīku
澳门新福利公共汽车,マカオシンフクリコウキョウキシャ,ào mén xīn fú lì gōng gòng qì chē,makaoshinfukurikoukyoukisha
上山下乡运动,ウエヤマシモゴウウンドウ,shàng shān xià xiāng yùn dòng,ueyamashimogouundou
天门山,テンモンヤマ,tiān mén shān,tenmonyama
喀喇沁部,ハラチン,kā lā qìn bù,harachin
青岛足球俱乐部,チンタオアシダマクラブ,qīng dǎo zú qiú jù lè bù,chintaoashidamakurabu
张家界国家森林公园,チョウカカイコッカシンリンコウエン,zhāng jiā jiè guó jiā sēn lín gōng yuán,choukakaikokkashinrinkouen
安定门街道,アンテイモンカイドウ,ān dìng mén jiē dào,anteimonkaidou
北京特大桥,ペキントクダイキョウ,běi jīng tè dà qiáo,pekintokudaikyou
北京大学光华管理学院,ペキンダイガクコウハナカンリガクイン,běi jīng dà xué guāng huá guǎn lǐ xué yuàn,pekindaigakukouhanakanrigakuin
南京人化石地点,ナンキンコサルジンホラ,nán jīng rén huà shí dì diǎn,nankinkosarujinhora
中国少年先锋队,チュウゴクショウネンセンポウタイ,zhōng guó shào nián xiān fēng duì,chuugokushounensenpoutai
江海关大楼,コウウミセキ,jiāng hǎi guān dà lóu,kouumiseki
大连理工大学出版社,タイレンリコウダイガクシュッパンシャ,dà lián lǐ gōng dà xué chū bǎn shè,tairenrikoudaigakushuppansha
大连人民文化俱乐部,タイレンジンミンブンカクラブ,dà lián rén mín wén huà jù lè bù,tairenjinminbunkakurabu
大连体育中心,タイレンタイイクチュウシン,dà lián tǐ yù zhōng xīn,tairentaiikuchuushin
长龙航空,チョウリュウコウクウ,cháng lóng háng kōng,chouryuukoukuu
中车大连机车车辆,チュウゴクチュウシャタイレンキシャシャリョウ,zhōng chē dà lián jī chē chē liàng,chuugokuchuushatairenkishasharyou
中国科学院大连化学物理研究所,タイレンカガクブツリケンキュウジョ,zhōng guó kē xué yuàn dà lián huà xué wù lǐ yán jiū suǒ,tairenkagakubutsurikenkyuujo
大连国际马拉松,タイレンコクサイマラソン,dà lián guó jì mǎ lā sōng,tairenkokusaimarason
中日友好医院,チュウニチユウコウイイン,zhōng rì yǒu hǎo yī yuàn,chuunichiyuukouiin
大佛寺,ダイブツジ,dà fó sì,daibutsuji
蚁族,アリゾク,yǐ zú,arizoku
中华门,チュウカモン,zhōng huá mén,chuukamon
中央电视台电视文化中心火灾,チュウオウデンシダイデンシブンカセンターカサイ,zhōng yāng diàn shì tái diàn shì wén huà zhōng xīn huǒ zāi,chuuoudenshidaidenshibunkasentākasai
长虹电器,チョウニジデンキ,cháng hóng diàn qì,chounijidenki
大连航空,タイレンコウクウ,dà lián háng kōng,tairenkoukuu
亚细亚号列车,アジア,yà xì yà hào liè chē,ajia
中远海运港口,チュウエンカイウンコウコウ,zhōng yuǎn hǎi yùn gǎng kǒu,chuuenkaiunkoukou
上环,ウエタマキ,shàng huán,uetamaki
扬州大明寺,ダイミョウジ,yáng zhōu dà míng sì,daimyouji
香港特别行政区政务司司长,ホンコントクベツギョウセイクセイムツカサツカサチョウ,xiāng gǎng tè bié xíng zhèng qū zhèng wù sī sī zhǎng,honkontokubetsugyouseikuseimutsukasatsukasachou
中国地理标志产品,チリヒョウジセイヒン,zhōng guó dì lǐ biāo zhì chǎn pǐn,chirihyoujiseihin
中澳关系,ゴウチュウカンケイ,zhōng ào guān xì,gouchuukankei
