ana de la reguera,アナ・デ・ラ・レゲラ,ana・de・ra・regera
stella inda,エステラ・インダ,esutera・inda
kristoff raczynski,クリストフ・ラシンスキ,kurisutofu・rashinsuki
olegario molina,オレガリオ・モリーナ,oregario・morīna
lady afrodita,レイディ・アフロディータ,reidi・afurodīta
lane hughes,レーン・ヒューズ,rēn・hyūzu
latin lover,ラテン・ラヴァー,raten・ravā
luis gerardo méndez,ルイス・ジェラルド・メンデス,ruisu・jerarudo・mendesu
vadhir derbez,ヴァディール・デルベス,vadīru・derubesu
valiente,バリエンテ,bariente
teddy higuera,テディ・ヒゲーラ,tedi・higēra
tarzán lópez,タルサン・ロペス,tarusan・ropesu
la amapola,ラ・アマポーラ,ra・amapōra
la comandante,ラ・コマンダンテ,ra・komandante
la diabólica,ラ・ディアボリカ,ra・diaborika
la parkita,ラ・パルキータ,ra・parukīta
tomas villa,トマス・ビジャ,tomasu・bija
laura munana,ラウラ・ムナナ,raura・munana
pascal beltrán del río,パスカル・ベルトラン・デル・リオ,pasukaru・berutoran・deru・rio
viktor manoel,ヴィクトル・マノエル,vikutoru・manoeru
rosalinda lópez hernández,ロサリンダ・ロペス・エルナンデス,rosarinda・ropesu・erunandesu
paco malgesto,パコ・マルジェスト,pako・marujesuto
macaria,マカリア,makaria
rodolfo herrero,ロドルフォ・エレーロ,rodorufo・erēro
jesús murillo karam,ヘスス・ムリージョ・カラム,hesusu・murījo・karamu
tiger kid,タイガー・キッド,taigā・kiddo
tinieblas,ティニエブラス,tinieburasu
verónica pérez,ベロニカ・ペレス,beronika・peresu
lilia michel,リリア・ミシェル,riria・misheru
virus,ヴィールス,vīrusu
víctor junco,ビクトル・フンコ,bikutoru・funko
lorenzo mata,ロレンソ・マタ,rorenso・mata
lluvia,ジュビア,jubia
lola gonzales,ローラ・ゴンザレス,rōra・gonzaresu
rubén rocha moya,ルベン・ロチャ・モヤ,ruben・rocha・moya
black cat,ブラック・キャット,burakku・kyatto
victor regalado,ビクター・レガラド,bikutā・regarado
victor terrazas,ビクトル・テラサス,bikutoru・terasasu
victor ulloa,ビクトル・ウジョア,bikutoru・ujoa
víctor zaleta,ビクトル・サレタ,bikutoru・sareta
salomón jara cruz,サロモン・ハラ・クルス,saromon・hara・kurusu
leopoldo gout,レオポルド・ゴウト,reoporudo・gouto
willie jorrín,ウィリー・ホーリン,wirī・hōrin
yolanda ventura,ヨランダ・ベンチュラ,yoranda・benchura
luis felipe bravo mena,ルイス・フェリーペ・ブラーボ・メナ,ruisu・ferīpe・burābo・mena
isidro baldenegro lópez,イシドロ・バルデネグロ・ロペス,ishidoro・barudeneguro・ropesu
salvador cienfuego,サルバドル・シエンフエゴス,sarubadoru・shienfuegosu
begoña palacios,ベゴナ・パラシオス,begona・parashiosu
mano negra,マノ・ネグラ,mano・negura
manolo muñoz,マノーロ・ムニョス,manōro・munyosu
pedro de urdimalas,ペドロ・デ・ウルディマーラス,pedoro・de・urudimārasu
luis demetrio,ルイス・デメトリオ,ruisu・demetorio
mario garcía covalles,マリオ・ガルシア・コバレス,mario・garushia・kobaresu
marisa sistach,マリーズ・シスタック,marīzu・shisutakku
pedro tenorio lezama,ペドロ・テノリオ・レサマ,pedoro・tenorio・resama
luna mágica,ルナ・マヒカ,runa・mahika
rafael herrera,ラファエル・エレア,rafaeru・erea
isaac brizuela,イサーク・ブリスエラ,isāku・burisuera
walter ibarra,ウォルター・イバラ,worutā・ibara
luke munana,ルーク・ムナナ,rūku・munana
luis rey,ルイス・レイ,ruisu・rei
isador cortez,イサドール・マチェッティ,isadōru・machetti
lyn may,リン・メイ,rin・mei
óscar ornelas,オスカル・オルネラス,osukaru・orunerasu
óscar robles,オスカー・ロブレス,osukā・roburesu
zuleyma,スレイマ,sureima
manuel vizcarra,マヌエル・ヴィスカラ,manueru・visukara
manuel de lardizábal y uribe,マヌエル・デ・ラルディサバル・イ・ウリベ,manueru・de・rarudisabaru・i・uribe
manny banuelos,マニー・バヌエロス,manī・banuerosu
mayda navarro,メイダ・ナバーロ,meida・nabāro
alejandra ávalos,アレハンドラ・アヴァロス,arehandora・avarosu
manuel capetillo,マヌエル・カペティージョ,manueru・kapetījo
alejandro de la madrid,アレハンドロ・デ・ラ・マドリード,arehandoro・de・ra・madorīdo
marco antonio muñiz,マルコ・アントニオ・ムニス,maruko・antonio・munisu
marco antonio nazareth,マルコ・アントニオ・ナザレス,maruko・antonio・nazaresu
marco antonio peribán,マルコ・アントニオ・ペリバン,maruko・antonio・periban
jaime baksht,ジェイミー・バクシュト,jeimī・bakushuto
mariana villanueva,マリアナ・ビジャヌエバ,mariana・bijanueba
marcel delgado,マルセル・デルガド,maruseru・derugado
marcela,マルセラ,marusera
jair alejandro pereira rodríguez,ジャイール・ペレイラ・ダ・シウヴァ,jaīru・pereira・da・shiuva
rafael ramírez heredia,ラファエル・ラミレス・エレディア,rafaeru・ramiresu・eredia
luz gonzález cosío de lópez,ルス・ゴンサレス・コシオ・デ・ロペス,rusu・gonsaresu・koshio・de・ropesu
sergio villarreal,セルジオ・ビジャレアル,serujio・bijarearu
jaime durán,ハイメ・デュラン,haime・dyuran
jaime fernández,ハイメ・フェルナンデス,haime・ferunandesu
mario macias,マリオ・マシアス,mario・mashiasu
mario martínez,マリオ・マルチネス,mario・maruchinesu
blanca sánchez,ブランカ・サンチェス,buranka・sanchesu
blanca de lizaur,ブランカ・デ・リサウル,buranka・de・risauru
mario rodríguez,マリオ・ロドリゲス,mario・rodorigesu
mario valdez,マリオ・バルデス,mario・barudesu
mario valenzuela,マリオ・バレンズエラ,mario・barenzuera
mario gutierrez,マリオ・グティエレス,mario・gutieresu
humberto vélez,ハンバート・ベレス,hanbāto・beresu
maría teresa lara,マリア・テレサ・ララ,maria・teresa・rara
roger cudney,ロジャー・カドニー,rojā・kadonī
mary ro reyes,メリー・ロー・レイエス,merī・rō・reiesu
raúl lavista,ラウル・ラビスタ,rauru・rabisuta
iván morales,イバン・モラレス,iban・moraresu
raúl méndez,ラウル・メンデス,rauru・mendesu
martín castillo,マーティン・カスティーリョ,mātin・kasutīryo
felipe braun,フェリペ・ブラウン,feripe・buraun
alanpeter gadiot,ピーター・ガディオット,pītā・gadiotto
donato guerra,ドナト・ゲラ,donato・gera
rayo de jalisco,ラヨ・デ・ハリスコ,rayo・de・harisuko
masakre,マサクレ,masakure
mascarita dorada,マスカリータ・ドラダ,masukarīta・dorada
miguel couturier,ミゲル・クチュリエ,migeru・kuchurie
tito junco,ティト・フンコ,tito・funko
joan sebastian,ジョン・セバスチャン,jon・sebasuchan
mauricio gonzález,マウリシオ・ゴンサレス,maurishio・gonsaresu
maximo,マキシモ,makishimo
ulises de la torre,ユリシーズ・デ・ラ・トーレ,yurishīzu・de・ra・tōre
rafael alejandro micalco,ラファエル・アレハンドロ・ミカルコ,rafaeru・arehandoro・mikaruko
eterno,エテルノ,eteruno
hooligan,ルシフェルノ,rushiferuno
josé maría flores,ホセ・マリア・フローレス,hose・maria・furōresu
melchor cob castro,メルチョ・コブ・カストロ,merucho・kobu・kasutoro
ángel de oro,アンヘル・デ・オロ,anheru・de・oro
black terry,ブラック・テリー,burakku・terī
miguel roman,ミゲル・ローマン,migeru・rōman
jorge muñiz,ホルヘ・ムニス,horuhe・munisu
josé silva,ホセ・シルバ,hose・shiruba
miguel ojeda,ミゲル・オヘーダ,migeru・ohēda
javier valdez cárdenas,ハビエル・バルデス・カルデナス,habieru・barudesu・karudenasu
jonás cuarón,ホナス・キュアロン,honasu・kyuaron
mona rico,モナ・リコ,mona・riko
monica equihua,モニカ・エキフア,monika・ekifua
monna bell,モナ・ベル,mona・beru
víctor manuel castro cosío,ビクトル・マヌエル・カストロ・コシオ,bikutoru・manueru・kasutoro・koshio
josé hernández,ホセ・ヘルナンデス,hose・herunandesu
javier arévalo,ハビエル・アレバロ,habieru・arebaro
vidal francisco soberón sanz,ビダル・フランシスコ・ソベロン・サンス,bidaru・furanshisuko・soberon・sansu
mike segura,マイク・セグラ,maiku・segura
manuel quezada,マヌエル・ケサダ,manueru・kesada
diego de la hoya,ディエゴ・デ・ラ・ホーヤ,diego・de・ra・hōya
shadito cruz,シャディト・クルス,shadito・kurusu
la vaquerita,ラ・バケリータ,ra・bakerīta
marisela escobedo ortiz,マリセラ・エスコベド・オルティス,marisera・esukobedo・orutisu
sergio thompson,セルヒオ・トンプソン,seruhio・tonpuson
maría teresa jiménez esquivel,マリア・テレサ・ヒメネス・エスキベル,maria・teresa・himenesu・esukiberu
natalia juárez,ナタリア・フアレス,nataria・fuaresu
marco treviño,マルコ・トレヴィーニョ,maruko・torevīnyo
nicolás pereda,ニコラス・ペレーダ,nikorasu・perēda
stigma,スティグマ,sutiguma
olga segura,オルガ・セグラ,oruga・segura
ofelia montesco,オフェリア・モンテスコ,oferia・montesuko
noé maya,ノエ・マヤ,noe・maya
raymundo capetilo,ライムンド・カペティージョ,raimundo・kapetījo
pedro valtierra,ペドロ・ヴァルティエッラ,pedoro・varutierra
noe muñoz,ノエ・ムニョス,noe・munyosu
néstor garza,ネストール・ガルサ,nesutōru・garusa
pedro rangel,ペドロ・ランヘル,pedoro・ranheru
hanna jaff,ハンナ・ジャフ,hanna・jafu
japhet amador,ジャフェット・アマダー,jafetto・amadā
josé antonio garcia,ホセ・アントニオ・ガルシア,hose・antonio・garushia
felipe de goicoechea,フェリペ・デ・ゴイコエチェア,feripe・de・goikoechea
yuvanna montalvo,ユバンナ・モンタルボ,yubanna・montarubo
pablo ortega,パブロ・オルテガ,paburo・orutega
omar salado,オマール・サラド,omāru・sarado
sergio aponte polito,セルジオ・アポンテ・ポリート,serujio・aponte・porīto
jesús chong,ヘスス・チョン,hesusu・chon
jesús enrique rejón aguilar,ヘスス・エンリケ・レホン・アギラール,hesusu・enrike・rehon・agirāru
pablo césar cano,パブロ・セサール・カノ,paburo・sesāru・kano
jonathan paredes,ジョナサン・パレデス,jonasan・paredesu
joaquín martínez,ホアキン・マルティネス,hoakin・marutinesu
oscar gonzález guerrero,オスカー・ゴンザレス・ゲレーロ,osukā・gonzaresu・gerēro
óscar gonzález loyo,オスカー・ゴンザレス・ロヨ,osukā・gonzaresu・royo
oswaldo novoa,オズワルト・ノボア,ozuwaruto・noboa
lalo fernández,エドゥアルド・フェルナンデス,eduarudo・ferunandesu
jesús león santos,ヘスス・レオン・サントス,hesusu・reon・santosu
jesús magdaleno,ヘスス・マグダレノ,hesusu・magudareno
omar fayad,オマール・ファヤド,omāru・fayado
malukah,マルカー,marukā
patricia riggen,パトリシア・リゲン,patorishia・rigen
jesús pimentel,ヘスス・ピメンテル,hesusu・pimenteru
jesús soto karass,ヘスス・ソト・カラス,hesusu・soto・karasu
patricia acevedo,パトリシア・アセヴェド,patorishia・asevuェdo
rosa maría bianchi,ローザ・マリア・ビアンキ,rōza・maria・bianki
jerry estrada,ジェリー・エストラーダ,jerī・esutorāda
jorge goeters,ホルヘ・ゲテレス,horuhe・geteresu
pedro guevara,ペドロ・ゲバラ,pedoro・gebara
mike seal,マイク・シール,maiku・shīru
akuma,アクマ,akuma
alexandra de la mora,アレクサンドラ・デ・ラ・モラ,arekusandora・de・ra・mora
pepe aguilar,ペペ・アギラール,pepe・agirāru
pedro septién,ペドロ・セプティエン,pedoro・seputien
julián de meriche,ジュリアン・デ・メリケ,jurian・de・merike
maría eugenia campos galván,マリア・エウヘニア・カンポス・ガルバン,maria・euhenia・kanposu・garuban
pilar pellicer,ピラール・ペリサー,pirāru・perisā
bulto clown,サイコ・クラウン,saiko・kuraun
puma king,プーマ・キング,pūma・kingu
pólvora,ポルボラ,porubora
rafael corkidi,ラファエル・コルキディ,rafaeru・korukidi
roberto cantoral,ロベルト・カントラル,roberuto・kantoraru
irma águilar,イルマ・アギラール,iruma・agirāru
pedro reyes,ペドロ・レイエス,pedoro・reiesu
pedro romero de terreros,ペドロ・ロメロ・デ・テレロス,pedoro・romero・de・tererosu
josé alberto hernández,ホセ・アルベルト・エルナンデス,hose・aruberuto・erunandesu
raquel torres,ラクウェル・トレス,rakuweru・toresu
pirata morgan,ピラタ・モルガン,pirata・morugan
jorge cota,ホルヘ・コタ,horuhe・kota
princesa sujei,プリンセサ・スヘイ,purinsesa・suhei
óscar gonzález,オスカー・ゴンザレス,osukā・gonzaresu
francisco rodriguez,フランシスコ・ロドリゲス,furanshisuko・rodorigesu
juan mendoza,フアン・メンドーサ,fuan・mendōsa
josé joaquín martínez,ホセ・ホアキン・マルティネス,hose・hoakin・marutinesu
jorge calvo,ホルヘ・カルボ,horuhe・karubo
josé cabrera,ホセ・カブレラ,hose・kaburera
dagoberto gama,ダゴベルト・ギャマ,dagoberuto・gyama
vicente romo,ビセンテ・ロモ,bisente・romo
raul mata,ラウル・マタ,rauru・mata
ray mendoza,レイ・メンドーサ,rei・mendōsa
josé medel,ジョー・メデル,jō・mederu
ramon álvarez,ラモン・アルバレス,ramon・arubaresu
josé suárez carreño,ホセ・スアーレス・カレーニョ,hose・suāresu・karēnyo
josé tolentino,ホセ・トレンティーノ,hose・torentīno
josé lavat,ホセ・ラバット,hose・rabatto
raziel,ラジエル,rajieru
renato leduc,レナト・ルデュク,renato・rudyuku
luis rafael herrera estrella,ルイス・ラファエル・エレーラ・エストレラ,ruisu・rafaeru・erēra・esutorera
karla souza,カーラ・ソウザ,kāra・souza
amalia pérez,アマリア・ペレス,amaria・peresu
ricardo dominguez,リカルド・ドミンゲス,rikarudo・domingesu
rené guajardo,レネ・グアハルド,rene・guaharudo
rené isidoro garcía,レネ・イシドロ・ガルシア,rene・ishidoro・garushia
daniel suárez,ダニエル・スアレス,danieru・suaresu
nely miranda,ネリー・ミランダ,nerī・miranda
mónica alvarado,モニカ・アルバラード,monika・arubarādo
briseida acosta,ブリセリダ・アコスタ,buriserida・akosuta
eduardo arredondo,エドゥアルド・アレドンド,eduarudo・aredondo
josé quirino,ホセ・キリノ,hose・kirino
mario osuna,マリオ・オスナ,mario・osuna
rigoberto álvarez,リゴベルト・アルバレス,rigoberuto・arubaresu
juan acevedo,ホアン・アセベド,hoan・asebedo
guillermo tovar de teresa,ギジェルモ・トバル・デ・テレサ,gijerumo・tobaru・de・teresa
eduardo ibarrola nicolín,エドゥアルド・イバロラ・ニコリン,eduarudo・ibarora・nikorin
akua,アクア,akua
anabel ortiz,アナベル・オルティス,anaberu・orutisu
abdullah tamba,アブドーラ・タンバ,abudōra・tanba
ignacio anaya,イグナシオ・アナヤ,igunashio・anaya
bulmaro lópez fernández,ブルマーロ・ロペス・フェルナンデス,burumāro・ropesu・ferunandesu
ringo mendoza,リンゴ・メンドーサ,ringo・mendōsa
riccardo olavarrieta,リカルド・オラバリエタ,rikarudo・orabarieta
rito romero,リト・ロメロ,rito・romero
robert livermore,ロバート・リバモア,robāto・ribamoa
roberto arredondo,チバ・アルレドンド,chiba・aruredondo
roberto carlos leyva,ロベルト・カルロス・レイハ,roberuto・karurosu・reiha
último gladiador,ウルティモ・グラディアドール,urutimo・guradiadōru
ultraman,ウルトラマン,urutoraman
esther moreno,エステル・モレノ,esuteru・moreno
evelia pérez,エベリア・ペレス,eberia・peresu
el sicodélico,エル・シコデリコ,eru・shikoderiko
sebastian valle,セバスチャン・ヴァレ,sebasuchan・vare
chavela romero,チャベラ・ロメロ,chabera・romero
chucho de mexico,チューチョ・デ・メヒコ,chūcho・de・mehiko
pantera sureña,パンテラ・スレーニャ,pantera・surēnya
julio zarate,フリオ・サラテ,furio・sarate
julio césar borboa,フリオ・セサール・バルボア,furio・sesāru・baruboa
ismael valdez,イスマエル・バルデス,isumaeru・barudesu
ivan hernández,イバン・エルナンデス,iban・erunandesu
ricardo pozas arciniega,リカルド・ポサス・アルシニエガ,rikarudo・posasu・arushiniega
ricardo rincón,リカルド・リンコン,rikarudo・rinkon
juan josé estrada,ファン・ホセ・エストラーダ,fan・hose・esutorāda
roberto ramírez,ロベルト・ラミレズ,roberuto・ramirezu
rosa furman,ローザ・ファーマン,rōza・fāman
karloff lagarde,カルロフ・ラガルデ,karurofu・ragarude
rodolfo martínez,ロドルフォ・マルティネス,rodorufo・marutinesu
rodolfo montiel flores,ルドルフォ・モンティエル・フロレス,rudorufo・montieru・furoresu
victor sanchez,ビクトル・サンチェス,bikutoru・sanchesu
luis gatica,ルイス・ゴティカ,ruisu・gotika
ingrid roth,イングリッド・ロス,inguriddo・rosu
josé alfredo rodríguez,ホセ・アルフレド・ロドリゲス,hose・arufuredo・rodorigesu
yazmín rivas,ヤズミン・リバス,yazumin・ribasu
rafael díaz,ラファエル・ディアス,rafaeru・diasu
la mascara,ラ・マスカラ,ra・masukara
juan garcía ábrego,フアン・ガルシーア・アブレゴ,fuan・garushīa・aburego
kenti robles,ケンティ・ロブレス,kenti・roburesu
kenya mori,ケニヤ・モリ,keniya・mori
fabiola guajardo,ファビオラ・グアジャルド,fabiora・guajarudo
fernando guerrero ramírez,フェルナンド・ゲレーロ・ラミレス,ferunando・gerēro・ramiresu
rossy moreno,ロッシー・モレノ,rosshī・moreno
francisco díaz covarrubias,フランシスコ・ディアス・コバルビアス,furanshisuko・diasu・kobarubiasu
beatriz aguirre,ベアトリス・アギーレ,beatorisu・agīre
quico,キコ,kiko
sammy gutiérrez,サミー・グティエレス,samī・gutieresu
luis videgaray caso,ルイス・ビデガライ・カソ,ruisu・bidegarai・kaso
manuel balbi,マニュエル・バルビ,manyueru・barubi
rudy hernández,ルディ・ヘルナンデス,rudi・herunandesu
rafael vásquez,ラファエル・バスケス,rafaeru・basukesu
salvador novoa,サルバドール・ノボア,sarubadōru・noboa
samantha bricio,サマンタ・ブリシオ,samanta・burishio
rubén sánchez león,ルーベン・サンチェス・レオン,rūben・sanchesu・reon
silueta,シルエタ,shirueta
maría renée prudencio,マリア・ルネ・プルデンシオ,maria・rune・purudenshio
gisela mota ocampo,ギセラ・モタ・オカンポ,gisera・mota・okanpo
luis cessa,ルイス・セッサ,ruisu・sessa
érick aguirre,エリック・アギーレ,erikku・agīre
isidro garcía,イシドロ・ガルシア,ishidoro・garushia
david sánchez,デビッド・サンチェス,debiddo・sanchesu
cecilia gonzález gómez,セシリア・ゴンザレス・ゴメス,seshiria・gonzaresu・gomesu
omar kiam,オマー・カイアム,omā・kaiamu
gustavo sánchez parra,グスターボ・サンチェス・パラ,gusutābo・sanchesu・para
soberano jr,ソベラーノ・ジュニア,soberāno・junia
jacques passy,ジャック・パッシー,jakku・passhī
roberto osuna,ロベルト・オスーナ,roberuto・osūna
sergio robles,セルジオ・ロブレス,serujio・roburesu
diana marcos,ディアナ・マルコス,diana・marukosu
luis beristáin,ルイス・ベリスタイン,ruisu・berisutain
mayela quiroga tamez,マイェラ・キロガ・タメス,mayera・kiroga・tamesu
guillermo clemens,ギジェルモ・クレメンス,gijerumo・kuremensu
josé romario hernández,ホセ・ロマーリオ・エルナンデス,hose・romārio・erunandesu
alejandro hernandez,アレハンドロ・エルナンデス,arehandoro・erunandesu
andrew lavrik,アンドリュー・ラブリク,andoryū・raburiku
armando casas,アルマンド・カサス,arumando・kasasu
moisés flórez,モイセス・フローレス,moisesu・furōresu
el solar,エル・ソラール,eru・sorāru
el hijo del pantera,エル・イホ・デル・パンテーラ,eru・iho・deru・pantēra
brianda domecq,ブリアンダ・ドメーク,burianda・domēku
erick chapa,エリック・チャパ,erikku・chapa
argos,アルゴス,arugosu
hedgardo marín,エドガルド・マリン,edogarudo・marin
yadir drake,ヤディル・ドレイク,yadiru・doreiku
rey horus,レイ・ホルス,rei・horusu
julián ventura valero,フリアン・ベントゥラ・バレロ,furian・bentura・barero
dana rotberg,ダナ・ロットバーグ,dana・rottobāgu
luis alfonso mendoza,ルイス・アルフォンソ・メンドーザ,ruisu・arufonso・mendōza
enrique alfaro ramírez,エンリケ・アルファロ・ラミレス,enrike・arufaro・ramiresu
star fire,スター・ファイヤー,sutā・faiyā
leandra becerra lumbreras,リーンドラ・ベッセラ・ランブラレス,rīndora・bessera・ranburaresu
glenda reyna,グレンダ・レイナ,gurenda・reina
rené garcía,ルネ・ガルシア,rune・garushia
la bala rodríguez,ラ・バーラ・ロドリゲス,ra・bāra・rodorigesu
manuel ramos,マヌエル・ラモス,manueru・ramosu
francisco tarazona torán,フランシスコ・タラゾナ・トラーン,furanshisuko・tarazona・torān
robert franco,ロビー・フランコ,robī・furanko
javier mendoza,ハビエル・メンドーサ,habieru・mendōsa
noel chama,ノエル・チャマ,noeru・chama
luciana silveyra,ルチアナ・シルベイラ,ruchiana・shirubeira
jocelyn urías,ジョセリン・ウリアス,joserin・uriasu
andrea rangel,アンドレア・ランヘル,andorea・ranheru
lourdes ruiz,ロウルデス・ルイス,rourudesu・ruisu
wendolly esparza,ウェンドリー・エスパーサ,wendorī・esupāsa
erick gutiérrez,エリック・グティエレス,erikku・gutieresu
jose hernandez,ホセ・エルナンデス,hose・erunandesu
martín hernández,マーティン・ヘルナンデス,mātin・herunandesu
dallas escobedo,ダラス・エスコベド,darasu・esukobedo
jose argumedo,ホセ・アルグメド,hose・arugumedo
carlos gastelum,カルロス・ガステラム,karurosu・gasuteramu
daniel castro,ダニエル・カストロ,danieru・kasutoro
juan carlos garcía sancho,フアン・カルロス・ガルシア・サンチョ,fuan・karurosu・garushia・sancho
yanet garcía,ヤネット・ガルシア,yanetto・garushia
rogelio franco castán,ロヘリオ・フランコ・カスタン,roherio・furanko・kasutan
javier eduardo lópez,ハビエル・エドゥアルド・ロペス,habieru・eduarudo・ropesu
xavier olea muñoz,ハビエル・オレア・ムニョス,habieru・orea・munyosu
césar ramos palazuelos,セサル・アルトゥーロ・ラモス,sesaru・arutūro・ramosu
noemi gonzalez,ノエミ・ゴンザレス,noemi・gonzaresu
alfredo phillips olmedo,アルフレッド・フィリップス・オルメード,arufureddo・firippusu・orumēdo
marcela guirado,マルセラ・ギラド,marusera・girado
mark raso,マーク・ラソ,māku・raso
rené iván garcía,レネ・イバン・ガルシア,rene・iban・garushia
naian gonzález norvind,ナイアン・ゴンザレス・ノービンド,naian・gonzaresu・nōbindo
luis chávez,ルイス・チャベス,ruisu・chabesu
max langler,マックス・ラングラー,makkusu・rangurā
ilse salas,イルセ・サラス,iruse・sarasu
miguel tapias,ミゲル・タピアス,migeru・tapiasu
maría sánchez,マリア・サンチェス,maria・sanchesu
brenda flores,ブレンダ・フローレス,burenda・furōresu
guillermo hopkins gámez,ギリェルモ・ホプキンズ・ガメス,giriェrumo・hopukinzu・gamesu
guillermo iván,ギレルモ・イヴァン,girerumo・ivan
josé de alzibar,ホセ・デ・アルシバル,hose・de・arushibaru
daniel parra,ダニエル・パラ,danieru・para
mauro lainez,マウロ・レイネス,mauro・reinesu
roberta colindrez,ロバータ・コリンドレス,robāta・korindoresu
misael rodríguez,ミサエル・ロドリゲス,misaeru・rodorigesu
ismael hernández,イスマエル・エルナンデス,isumaeru・erunandesu
sofía reyes,ソフィア・レイエス,sofia・reiesu
ximena escalante,シメナ・エスカランテ,shimena・esukarante
mauricio vila dosal,マウリシオ・ヴィラ・ドーサ,maurishio・vira・dōsa
héctor mascorro,エクトル・マストロ,ekutoru・masutoro
stephanie sigman,ステファニー・シグマン,sutefanī・shiguman
ernesto lupercio,エルネスト・ルペルシオ,erunesuto・ruperushio
abraham ancer,アブラハム・アンセル,aburahamu・anseru
aremi fuentes,アレミ・フエンテス,aremi・fuentesu
sebastián vegas,セバスティアン・ベガス,sebasutian・begasu
francisco sebastián córdova,フランシスコ・セバスティアン・コルドバ,furanshisuko・sebasutian・korudoba
karol sevilla,カロル・セビリア,karoru・sebiria
melissa barrera,メリッサ・バレラ,merissa・barera
rogelio hernández,セサル・モンテス,sesaru・montesu
yuya,ユヤ,yuya
luis cárdenas,ルイス・カルデナス,ruisu・karudenasu
lupita torrentera,ルピタ・トレンテラ,rupita・torentera
cassandra ciangherotti,カサンドラ・シアンヘロッティ,kasandora・shianherotti
blanca treviño,ブランカ・トレビーニョ,buranka・torebīnyo
víctor guzmán,ビクトル・グスマン,bikutoru・gusuman
gabriel ripstein,ガブリエル・リプスタイン,gaburieru・ripusutain
leonardo aguilar,レオナルド・アギラール,reonarudo・agirāru
alan baboso,アラン・モゾ,aran・mozo
kristal silva,クリスタル・シルバ,kurisutaru・shiruba
marco pérez,マルコ・ペレス,maruko・peresu
efrain alvarez,エフライン・アルバレス,efurain・arubaresu
mariana treviño,マリアナ・トレビーニョ,mariana・torebīnyo
nacho galindo,ナチョ・ガリンド,nacho・garindo
hernán mendoza,エルナン・メンドーサ,erunan・mendōsa
alicia jaziz,アリシア・ジャジズ,arishia・jajizu
katie johnson,ケイティー・ジョンソン,keitī・jonson
emanuel lopez,エマヌエル・ロペス,emanueru・ropesu
dora luz,ドラ・ルス,dora・rusu
luis patiño,ルイス・パティーニョ,ruisu・patīnyo
antonio riestra,アントニオ・リエストラ,antonio・riesutora
esteban villegas villarreal,エステバン・ビジェガス・ビヤレアル,esuteban・bijegasu・biyarearu
ganigan lópez,ガニガン・ロペス,ganigan・ropesu
alberto alvarado morín,アルベルト・アルバラード・モリン,aruberuto・arubarādo・morin
germán madrazo,ヘルマン・マドラソ,heruman・madoraso
patricia azarcoya schneider,パトリシア・アザーコヤ・シュナイダー,patorishia・azākoya・shunaidā
antonio bravo,アントニオ・ブラボ,antonio・burabo
andrés villarreal,アンドレス・ビジャレアル,andoresu・bijarearu
juan carlos olivas,ホアン・カルロス・オリヴァス,hoan・karurosu・orivasu
ulises cardona,ウリセス・カルドナ,urisesu・karudona
ricardo peña,リカルド・ペーニャ,rikarudo・pēnya
germán meraz,ジャーマン・メラズ,jāman・merazu
edson gutiérrez,エドソン・グティエレス,edoson・gutieresu
gigi saul guerrero,ジジ・ソール・ゲレロ,jiji・sōru・gerero
sofía espinosa,ソフィア・エスピノーサ,sofia・esupinōsa
carla mauri,カルラ・マウリ,karura・mauri
alex verdugo,アレックス・ベルドゥーゴ,arekkusu・berudūgo
jesús alberto angulo,ヘスス・アルベルト・アングロ,hesusu・aruberuto・anguro
diego lainez,ディエゴ・ライネス,diego・rainesu
josé aguilar,ホセ・アギラール,hose・agirāru
sebastián elizalde,セバスチャン・エリサルデ,sebasuchan・erisarude
tony figueroa,トニー・フィゲロア,tonī・figeroa
roberto sneider,ロベルト・スネイデル,roberuto・suneideru
adriana paz,アドリアナ・ラパス,adoriana・rapasu
esteban quiroz,エステバン・キロス,esuteban・kirosu
miguel aguilar,ミゲル・アギラル,migeru・agiraru
christian calderón,クリスティアン・カルデロン,kurisutian・karuderon
raúl vale,ラウル・ベール,rauru・bēru
giovanny gallegos,ジオバニー・ガジェゴス,jiobanī・gajegosu
tessa ia,テッサ・イア,tessa・ia
césar vargas,セサル・バルガス,sesaru・barugasu
alejandra ambrosi,アレハンドラ・アンブロージー,arehandora・anburōjī
dyana ortellí,ディアナ・オルテッリ,diana・oruterri
alejandro edda,アレハンドロ・エッダ,arehandoro・edda
everardo gout,エベラルド・ゴウト,eberarudo・gouto
thunder rosa,サンダー・ロサ,sandā・rosa
josé antonio hernández,ホセ・アントニオ・エルナンデス,hose・antonio・erunandesu
misael domínguez,ミサエル・ドミンゲス,misaeru・domingesu
moisés arizmendi,モイセス・アリゾメディ,moisesu・arizomedi
gastón pavlovich,ガストン・パヴロヴィッチ,gasuton・pavurovitchi
érick sánchez,エリック・サンチェス,erikku・sanchesu
aline pettersson,アリン・ピーターソン,arin・pītāson
brayton vázquez,ブレイトン・バスケス,bureiton・basukesu
sugey ábrego,スージー・アブレゴ,sūjī・aburego
josé santiago hernández,ホセ・サンティアゴ・エルナンデス,hose・santiago・erunandesu
juan carlos loera de la rosa,フアン・カルロス・ロエラ・デ・ラ・ロサ,fuan・karurosu・roera・de・ra・rosa
omar leyva,オマール・レイヴァ,omāru・reiva
