热比娅·卡德尔,레비야 카디르,rè bǐ yà · kǎ dé ěr,rebiya kadireu
吐赫提·土亚兹,토흐티 툰야즈,tǔ hè tí · tǔ yà zī,toheuti tunyajeu
德穆楚克栋鲁普,데므치그돈로브,dé mù chǔ kè dòng lǔ pǔ,demeucigeudonrobeu
包尔汉·沙希迪,부르한 샤히디,bāo ěr hàn · shā xī dí,bureuhan syahidi
伊力哈木·土赫提,일함 토흐티,yī lì hā mù · tǔ hè tí,ilham toheuti
班禅额尔德尼·确吉杰布,기알첸 노르부,bān chán é ěr dé ní · què jí jié bù,gialcen noreubu
巴音朝鲁,바인차오루,bā yīn cháo lǔ,baincaoru
李旺阳事件,리왕양,lǐ wàng yáng shì jiàn,riwangyang
至善禅师,지선선사,zhì shàn chán shī,jiseonseonsa
洛桑江村,뤄쌍장춘,luò sāng jiāng cūn,rweossangjangcun
徐田龙子,쉬톈룽쯔,xú tián lóng zǐ,swityenrungjjeu
白玛赤林,바이마츠린,bái mǎ chì lín,baimaceurin
孟克巴特尔,멍커바터얼,mèng kè bā tè ěr,meongkeobateoeol
努尔·白克力,누르 베크리,nǔ ěr · bái kè lì,nureu bekeuri
赛福鼎·艾则孜,사이푸딘 아지지,sài fú dǐng · ài zé zī,saipudin ajiji
清格尔泰,칭걸테,qīng gé ěr tài,cinggeolte
阿沛·阿旺晋美,아푀 아왕직메,ā pèi · ā wàng jìn měi,apoe awangjigme
艾达·王,에이다 웡,ài dá · wáng,eida weong
端木蕻良,돤무훙량,duān mù hóng liáng,dwanmuhungryang
向巴平措,샹바핑춰,xiàng bā píng cuò,syangbapingcweo
欧阳予倩,어우양위첸,ōu yáng yǔ qiàn,eouyangwicen
木热合买提江·莫扎帕,미라흐메트잔 무제페르,mù rè hé mǎi tí jiāng · mò zhā pà,miraheumeteujan mujepereu
古力娜扎,구리나자,gǔ lì nà zhā,gurinaja
斯琴高娃,쓰친가오와,sī qín gāo wá,sseucingaowa
母其弥雅,무치미야,mǔ qí mí yǎ,mucimiya
麦迪娜·买买提,마디나 메메트,mài dí nà · mǎi mǎi tí,madina memeteu
正珠尔扎布,젱주르자브,zhèng zhū ěr zhā bù,jengjureujabeu
白银市连环杀人案,가오청융,bái yín shì lián huán shā rén àn,gaoceongyung
美,메이,měi,mei
锟,쿤,kūn,kun
迪妮格尔·衣拉木江,디니거얼 이라무장,dí nī gé ěr · yī lā mù jiāng,dinigeoeol iramujang
史蒂文·何,스티븐 히,shǐ dì wén · hé,seutibeun hi
天猫,티몰,tiān māo,timol
封丘县,펑추현,fēng qiū xiàn,peongcuhyeon
伊川县,이촨현,yī chuān xiàn,icwanhyeon
商城县,상청현,shāng chéng xiàn,sangceonghyeon
台前县,타이첸현,tái qián xiàn,taicenhyeon
新县,신현,xīn xiàn,sinhyeon
浮梁县,푸량현,fú liáng xiàn,puryanghyeon
莲花县,롄화현,lián huā xiàn,ryenhwahyeon
彭泽县,펑쩌현,péng zé xiàn,peongjjeohyeon
宿松县,쑤쑹현,sù sōng xiàn,ssussunghyeon
修水县,슈수이현,xiū shuǐ xiàn,syusuihyeon
太湖县,타이후현,tài hú xiàn,taihuhyeon
石城县,스청현,shí chéng xiàn,seuceonghyeon
怀宁县,화이닝현,huái níng xiàn,hwaininghyeon
汝阳县,루양현,rǔ yáng xiàn,ruyanghyeon
民权县,민취안현,mín quán xiàn,mincwianhyeon
新安县,신안현,xīn ān xiàn,sinanhyeon
宜阳县,이양현,yí yáng xiàn,iyanghyeon
郏县,자현,jiá xiàn,jahyeon
云和县,윈허현,yún hé xiàn,winheohyeon
缙云县,진윈현,jìn yún xiàn,jinwinhyeon
天台县,톈타이현,tiān tái xiàn,tyentaihyeon
浦江县,푸장현,pǔ jiāng xiàn,pujanghyeon
遂昌县,쑤이창현,suì chāng xiàn,ssuicanghyeon
磐安县,판안현,pán ān xiàn,pananhyeon
祁门县,치먼현,qí mén xiàn,cimeonhyeon
港铁公司,항철공사,gǎng tiě gōng sī,hangceolgongsa
鄢陵县,옌링현,yān líng xiàn,yenringhyeon
光山县,광산현,guāng shān xiàn,gwangsanhyeon
鹿邑县,루이현,lù yì xiàn,ruihyeon
范县,판현,fàn xiàn,panhyeon
襄城县,샹청현,xiāng chéng xiàn,syangceonghyeon
南召县,난자오현,nán zhào xiàn,nanjaohyeon
沈丘县,선추현,shěn qiū xiàn,seoncuhyeon
获嘉县,훠자현,huò jiā xiàn,hweojahyeon
内乡县,네이샹현,nèi xiāng xiàn,neisyanghyeon
商河县,상허현,shāng hé xiàn,sangheohyeon
叶县,예현,yè xiàn,yehyeon
金寨县,진자이현,jīn zhài xiàn,jinjaihyeon
灵璧县,링비현,líng bì xiàn,ringbihyeon
武陟县,우즈현,wǔ zhì xiàn,ujeuhyeon
社旗县,서치현,shè qí xiàn,seocihyeon
临颍县,린잉현,lín yǐng xiàn,rininghyeon
渑池县,몐츠현,miǎn chí xiàn,myenceuhyeon
房县,팡현,fáng xiàn,panghyeon
公安县,궁안현,gōng ān xiàn,gunganhyeon
息县,시현,xī xiàn,sihyeon
睢县,쑤이현,suī xiàn,ssuihyeon
平阴县,핑인현,píng yīn xiàn,pinginhyeon
红安县,훙안현,hóng ān xiàn,hunganhyeon
浚县,쉰현,jùn xiàn,swinhyeon
罗山县,뤄산현,luó shān xiàn,rweosanhyeon
商水县,상수이현,shāng shuǐ xiàn,sangsuihyeon
潢川县,황촨현,huáng chuān xiàn,hwangcwanhyeon
黎川县,리촨현,lí chuān xiàn,ricwanhyeon
自治县,자치현,zì zhì xiàn,jacihyeon
奉新县,펑신현,fèng xīn xiàn,peongsinhyeon
玉山县,위산현,yù shān xiàn,wisanhyeon
峡江县,샤장현,xiá jiāng xiàn,syajanghyeon
遂川县,쑤이촨현,suì chuān xiàn,ssuicwanhyeon
呼玛县,후마현,hū mǎ xiàn,humahyeon
依波路足球队,해봉,yī bō lù zú qiú duì,haebong
原阳县,위안양현,yuán yáng xiàn,wianyanghyeon
平舆县,핑위현,píng yú xiàn,pingwihyeon
西华县,시화현,xī huá xiàn,sihwahyeon
温县,원현,wēn xiàn,weonhyeon
金杯汽车,진베이,jīn bēi qì chē,jinbei
岳西县,웨시현,yuè xī xiàn,wesihyeon
铜鼓县,퉁구현,tóng gǔ xiàn,tungguhyeon
湖口县,후커우현,hú kǒu xiàn,hukeouhyeon
芦溪县,루시현,lú xī xiàn,rusihyeon
旅游警示,여행경보,lǚ yóu jǐng shì,yeohaenggyeongbo
栾川县,롼촨현,luán chuān xiàn,rwancwanhyeon
舞阳县,우양현,wǔ yáng xiàn,uyanghyeon
扶沟县,푸거우현,fú gōu xiàn,pugeouhyeon
卢氏县,루스현,lú shì xiàn,ruseuhyeon
新蔡县,신차이현,xīn cài xiàn,sincaihyeon
遂平县,쑤이핑현,suì píng xiàn,ssuipinghyeon
宁陵县,닝링현,níng líng xiàn,ningringhyeon
唐河县,탕허현,táng hé xiàn,tangheohyeon
上蔡县,상차이현,shàng cài xiàn,sangcaihyeon
鲁山县,루산현,lǔ shān xiàn,rusanhyeon
西平县,시핑현,xī píng xiàn,sipinghyeon
远安县,위안안현,yuǎn ān xiàn,wiananhyeon
沂南县,이난현,yí nán xiàn,inanhyeon
黄梅县,황메이현,huáng méi xiàn,hwangmeihyeon
邵阳县,사오양현,shào yáng xiàn,saoyanghyeon
永春县,융춘현,yǒng chūn xiàn,yungcunhyeon
贵州茅台,귀주모태주구분유한공사,guì zhōu máo tái,gwijumotaejugubunyuhangongsa
新宁县,신닝현,xīn níng xiàn,sinninghyeon
英山县,잉산현,yīng shān xiàn,ingsanhyeon
谷城县,구청현,gǔ chéng xiàn,guceonghyeon
仙游县,셴유현,xiān yóu xiàn,syenyuhyeon
衡山县,헝산현,héng shān xiàn,heongsanhyeon
云梦县,윈멍현,yún mèng xiàn,winmeonghyeon
鹤峰县,허펑현,hè fēng xiàn,heopeonghyeon
浦城县,푸청현,pǔ chéng xiàn,puceonghyeon
衡南县,헝난현,héng nán xiàn,heongnanhyeon
上杭县,상항현,shàng háng xiàn,sanghanghyeon
松溪县,쑹시현,sōng xī xiàn,ssungsihyeon
武平县,우핑현,wǔ píng xiàn,upinghyeon
衡东县,헝둥현,héng dōng xiàn,heongdunghyeon
南靖县,난징현,nán jìng xiàn,nanjinghyeon
灵光塔,영광탑,líng guāng tǎ,yeonggwangtab
合江县,허장현,hé jiāng xiàn,heojanghyeon
花垣县,화위안현,huā yuán xiàn,hwawianhyeon
双牌县,솽파이현,shuāng pái xiàn,swangpaihyeon
南县,난현,nán xiàn,nanhyeon
湘阴县,샹인현,xiāng yīn xiàn,syanginhyeon
沅陵县,위안링현,yuán líng xiàn,wianringhyeon
友谊关,우의관,yǒu yì guān,uyigwan
新田县,신톈현,xīn tián xiàn,sintyenhyeon
青川县,칭촨현,qīng chuān xiàn,cingcwanhyeon
富顺县,푸순현,fù shùn xiàn,pusunhyeon
双峰县,솽펑현,shuāng fēng xiàn,swangpeonghyeon
辰溪县,천시현,chén xī xiàn,ceonsihyeon
东安县,둥안현,dōng ān xiàn,dunganhyeon
会同县,후이퉁현,huì tóng xiàn,huitunghyeon
井研县,징옌현,jǐng yán xiàn,jingyenhyeon
临澧县,린리현,lín lǐ xiàn,rinrihyeon
桂阳县,구이양현,guì yáng xiàn,guiyanghyeon
临武县,린우현,lín wǔ xiàn,rinuhyeon
溆浦县,쉬푸현,xù pǔ xiàn,swipuhyeon
鲁甸县,루뎬현,lǔ diàn xiàn,rudyenhyeon
同德县,퉁더현,tóng dé xiàn,tungdeohyeon
兴海县,싱하이현,xīng hǎi xiàn,singhaihyeon
弄堂,룽탕,lòng táng,rungtang
碧螺春,벽라춘,bì luó chūn,byeogracun
宣恩县,쉬안언현,xuān ēn xiàn,swianeonhyeon
南漳县,난장현,nán zhāng xiàn,nanjanghyeon
团风县,퇀펑현,tuán fēng xiàn,twanpeonghyeon
罗田县,뤄톈현,luó tián xiàn,rweotyenhyeon
永登县,융덩현,yǒng dēng xiàn,yungdeonghyeon
中山陵,중산릉,zhōng shān líng,jungsanreung
祁东县,치둥현,qí dōng xiàn,cidunghyeon
蕲春县,치춘현,qí chūn xiàn,cicunhyeon
孝昌县,샤오창현,xiào chāng xiàn,syaocanghyeon
嘉禾县,자허현,jiā hé xiàn,jaheohyeon
桃源县,타오위안현,táo yuán xiàn,taowianhyeon
桑植县,쌍즈현,sāng zhí xiàn,ssangjeuhyeon
叙永县,쉬융현,xù yǒng xiàn,swiyunghyeon
新化县,신화현,xīn huà xiàn,sinhwahyeon
永顺县,융순현,yǒng shùn xiàn,yungsunhyeon
桂东县,구이둥현,guì dōng xiàn,guidunghyeon
怀集县,화이지현,huái jí xiàn,hwaijihyeon
石门县,스먼현,shí mén xiàn,seumeonhyeon
阳西县,양시현,yáng xī xiàn,yangsihyeon
汉寿县,한서우현,hàn shòu xiàn,hanseouhyeon
松潘县,쑹판현,sōng pān xiàn,ssungpanhyeon
新龙县,신룽현,xīn lóng xiàn,sinrunghyeon
临夏县,린샤현,lín xià xiàn,rinsyahyeon
扶风县,푸펑현,fú fēng xiàn,pupeonghyeon
甘孜县,간쯔현,gān zī xiàn,ganjjeuhyeon
山丹县,산단현,shān dān xiàn,sandanhyeon
兴文县,싱원현,xīng wén xiàn,singweonhyeon
大秦景教流行中国碑,대진경교유행중국비,dà qín jǐng jiào liú xíng zhōng guó bēi,daejingyeonggyoyuhaengjunggugbi
中央音乐学院,중앙음악학원,zhōng yāng yīn yuè xué yuàn,jungangeumaghagweon
桃江县,타오장현,táo jiāng xiàn,taojanghyeon
汝城县,루청현,rǔ chéng xiàn,ruceonghyeon
威远县,웨이위안현,wēi yuǎn xiàn,weiwianhyeon
剑阁县,젠거현,jiàn gé xiàn,jengeohyeon
贵德县,구이더현,guì dé xiàn,guideohyeon
旺苍县,왕창현,wàng cāng xiàn,wangcanghyeon
澧县,리현,lǐ xiàn,rihyeon
犍为县,첸웨이현,qián wéi xiàn,cenweihyeon
蓝山县,란산현,lán shān xiàn,ransanhyeon
平武县,핑우현,píng wǔ xiàn,pinguhyeon
仁寿县,런서우현,rén shòu xiàn,reonseouhyeon
兴教寺,흥교사,xīng jiào sì,heunggyosa
修文县,슈원현,xiū wén xiàn,syuweonhyeon
富民县,푸민현,fù mín xiàn,puminhyeon
古丈县,구장현,gǔ zhàng xiàn,gujanghyeon
蓬溪县,펑시현,péng xī xiàn,peongsihyeon
茶马古道,차마고도,chá mǎ gǔ dào,camagodo
盐亭县,옌팅현,yán tíng xiàn,yentinghyeon
息烽县,시펑현,xī fēng xiàn,sipeonghyeon
渠县,취현,qú xiàn,cwihyeon
榆中县,위중현,yú zhōng xiàn,wijunghyeon
宜良县,이량현,yí liáng xiàn,iryanghyeon
皋兰县,가오란현,gāo lán xiàn,gaoranhyeon
开阳县,카이양현,kāi yáng xiàn,kaiyanghyeon
元谋县,위안머우현,yuán móu xiàn,wianmeouhyeon
春秋航空,춘추항공,chūn qiū háng kōng,cuncuhanggong
太和县,타이허현,tài hé xiàn,taiheohyeon
铁门关,철문관,tiě mén guān,ceolmungwan
世界之窗,세계지창,shì jiè zhī chuāng,segyejicang
上山下乡运动,하방운동,shàng shān xià xiāng yùn dòng,habangundong
萧县,샤오현,xiāo xiàn,syaohyeon
蒙城县,멍청현,méng chéng xiàn,meongceonghyeon
莒南县,쥐난현,jǔ nán xiàn,jwinanhyeon
恒生银行,항셍은행,héng shēng yín háng,hangsengeunhaeng
兴业县,싱예현,xīng yè xiàn,singyehyeon
古蔺县,구린현,gǔ lìn xiàn,gurinhyeon
凌云县,링윈현,líng yún xiàn,ringwinhyeon
华南板块,양쯔판,huá nán bǎn kuài,yangjjeupan
盐边县,옌볜현,yán biān xiàn,yenbyenhyeon
金龙联合汽车,킹롱,jīn lóng lián hé qì chē,kingrong
上汽大通,맥서스,shàng qì dà tōng,maegseoseu
武宣县,우쉬안현,wǔ xuān xiàn,uswianhyeon
揭西县,제시현,jiē xī xiàn,jesihyeon
容县,룽현,róng xiàn,runghyeon
荣县,룽현,róng xiàn,runghyeon
泸县,루현,lú xiàn,ruhyeon
永福县,융푸현,yǒng fú xiàn,yungpuhyeon
田东县,톈둥현,tián dōng xiàn,tyendunghyeon
武氏祠,무씨사,wǔ shì cí,mussisa
光明日报,광명일보,guāng míng rì bào,gwangmyeongilbo
吴县,우셴,wú xiàn,usyen
中华门,중화문,zhōng huá mén,junghwamun
春运,춘윈,chūn yùn,cunwin
林西县,린시현,lín xī xiàn,rinsihyeon
化德县,화더현,huà dé xiàn,hwadeohyeon
勐海县,멍하이현,měng hǎi xiàn,meonghaihyeon
勐腊县,멍라현,měng là xiàn,meongrahyeon
浦北县,푸베이현,pǔ běi xiàn,pubeihyeon
融安县,룽안현,róng ān xiàn,runganhyeon
灌阳县,관양현,guàn yáng xiàn,gwanyanghyeon
临城县,린청현,lín chéng xiàn,rinceonghyeon
海思半导体,하이실리콘,hǎi sī bàn dǎo tǐ,haisilrikon
孙吴县,쑨우현,sūn wú xiàn,ssunuhyeon
红旗轿车,훙치,hóng qí jiào chē,hungci
灵川县,링촨현,líng chuān xiàn,ringcwanhyeon
全州县,취안저우현,quán zhōu xiàn,cwianjeouhyeon
兴安盟,싱안맹,xīng ān méng,singanmaeng
市政署大楼,민정총서대루,shì zhèng shǔ dà lóu,minjeongcongseodaeru
艾马克,아이막,ài mǎ kè,aimag
红烧肉,훙사오러우,hóng shāo ròu,hungsaoreou
观致汽车,쿠오로스,guān zhì qì chē,kuoroseu
拉巴池,라그바호,lā bā chí,rageubaho
金钟,감중,jīn zhōng,gamjung
地安门,지안문,dì ān mén,jianmun
腌菜,파오차이,yān cài,paocai
北京人民广播电台,베이징인민방송,běi jīng rén mín guǎng bō diàn tái,beijinginminbangsong
天朝,천조,tiān cháo,ceonjo
明报,명보,míng bào,myeongbo
清西陵,청서릉,qīng xī líng,ceongseoreung
中朝鸭绿江界河公路大桥,신압록강대교,zhōng cháo yā lù jiāng jiè hé gōng lù dà qiáo,sinabroggangdaegyo
图们国境大桥,도문국경대교,tú men guó jìng dà qiáo,domunguggyeongdaegyo
图们江大桥,두만강대교,tú men jiāng dà qiáo,dumangangdaegyo
长惠国际大桥,장혜국제대교,cháng huì guó jì dà qiáo,janghyegugjedaegyo
倡棋杯,창기배,chàng qí bēi,canggibae
东夏,대진국,dōng xià,daejingug
幅巾,복건,fú jīn,boggeon
中国运载火箭技术研究院,중국발사체기술연구원,zhōng guó yùn zài huǒ jiàn jì shù yán jiū yuàn,junggugbalsacegisulyeonguweon
豆瓣,더우반,dòu bàn,deouban
阿含·桐山杯中日冠军对抗赛,중일 아함동산배,ā hán · tóng shān bēi zhōng rì guàn jūn duì kàng sài,jungil ahamdongsanbae
中国工程物理研究院,중국공정물리연구원,zhōng guó gōng chéng wù lǐ yán jiū yuàn,jungguggongjeongmulriyeonguweon
中国空间技术研究院,중국우주기술연구원,zhōng guó kōng jiān jì shù yán jiū yuàn,junggugujugisulyeonguweon
上环,성완,shàng huán,seongwan
麻辣酱,마라,má là jiàng,mara
油麻地,야우마데이,yóu má dì,yaumadei
赤尾屿,다이쇼섬,chì wěi yǔ,daisyoseom
中华老字号,중화노자호,zhōng huá lǎo zì hào,junghwanojaho
飞濑,도비세,fēi lài,dobise
黄尾屿,구바섬,huáng wěi yǔ,gubaseom
国家预防腐败局,국가예방부패국,guó jiā yù fáng fǔ bài jú,guggayebangbupaegug
屯马线,튄마선,tún mǎ xiàn,twinmaseon
镐京,호경,hào jīng,hogyeong
大慈恩寺,대자은사,dà cí ēn sì,daejaeunsa
欢乐干线,환락간선,huān lè gàn xiàn,hwanragganseon
燕下都,하도,yàn xià dōu,hado
建国忠灵庙,건국충영묘,jiàn guó zhōng líng miào,geongugcungyeongmyo
全国围棋个人赛,전국위기개인전,quán guó wéi qí gè rén sài,jeongugwigigaeinjeon
传祺,트럼치,chuán qí,teureomci
贵州足球俱乐部,구이저우,guì zhōu zú qiú jù lè bù,guijeou
喀喇沁部,카라친부,kā lā qìn bù,karacinbu
青岛足球俱乐部,칭다오,qīng dǎo zú qiú jù lè bù,cingdao
香港医学博物馆,홍콩의학박물관,xiāng gǎng yī xué bó wù guǎn,hongkongyihagbagmulgwan
城巴,시티버스,chéng bā,sitibeoseu
黄海客车,황해버스,huáng hǎi kè chē,hwanghaebeoseu
昂船洲,스톤커터스섬,áng chuán zhōu,seutonkeoteoseuseom
福州船政局,복주선정국,fú zhōu chuán zhèng jú,bogjuseonjeonggug
胡庆余堂,호경여당,hú qìng yú táng,hogyeongyeodang
孔府,공부,kǒng fǔ,gongbu
江海关大楼,강해관,jiāng hǎi guān dà lóu,ganghaegwan
盛大网络,샨다,shèng dà wǎng luò,syanda
佐丹奴,지오다노,zuǒ dān nú,jiodano
湖南卫视,후난위성텔레비전,hú nán wèi shì,hunanwiseongtelrebijeon
华清池,화청지,huá qīng chí,hwaceongji
世界大观,세계대관,shì jiè dà guān,segyedaegwan
沧浪亭,창랑정,cāng làng tíng,cangrangjeong
西南棋王赛,서남왕배,xī nán qí wáng sài,seonamwangbae
广安门,광안문,guǎng ān mén,gwanganmun
光棍节,광군제,guāng gùn jié,gwanggunje
理光杯,이광배,lǐ guāng bēi,igwangbae
小肥羊,샤오훼이양,xiǎo féi yáng,syaohweiyang
北京日本人学校,북경일본인학교,běi jīng rì běn rén xué xiào,buggyeongilboninhaggyo
海底捞,하이디라오,hǎi dǐ lāo,haidirao
中联重科,중롄중커,zhōng lián zhòng kē,jungryenjungkeo
渤海贞孝公主墓,정효공주묘,bó hǎi zhēn xiào gōng zhǔ mù,jeonghyogongjumyo
甘肃省广播电视总台,간쑤인민방송,gān sù shěng guǎng bō diàn shì zǒng tái,ganssuinminbangsong
白兔记,백토기,bái tù jì,baegtogi
潼关,퉁관,tóng guān,tunggwan
浮图,승탑,fú tú,seungtab
汉语圈,중국어권,hàn yǔ quān,junggugeogweon
民工,농민공,mín gōng,nongmingong
张迁碑,장천비,zhāng qiān bēi,jangceonbi
大长和,대장화,dà cháng hé,daejanghwa
奇华饼家,기화병가,qí huá bǐng jiā,gihwabyeongga
中国围棋棋王争霸赛,위부방개배,zhōng guó wéi qí qí wáng zhēng bà sài,wibubanggaebae
上海松糕,쑹가오,shàng hǎi sōng gāo,ssunggao
奴儿干都指挥使司,누르간도지휘사사,nú ér gān dōu zhǐ huī shǐ sī,nureugandojihwisasa
吉林人民广播电台,지린인민방송,jí lín rén mín guǎng bō diàn tái,jirininminbangsong
南海郡,남해군,nán hǎi jùn,namhaegun
中国农业科学院,중국농업과학원,zhōng guó nóng yè kē xué yuàn,junggugnongeobgwahagweon
国家国防科技工业局,국가국방과기공업국,guó jiā guó fáng kē jì gōng yè jú,guggagugbanggwagigongeobgug
澳门国父纪念馆,손문기념관,ào mén guó fù jì niàn guǎn,sonmunginyeomgwan
申龙客车,선롱버스,shēn lóng kè chē,seonrongbeoseu
中山纪念公园,중산기념공원,zhōng shān jì niàn gōng yuán,jungsanginyeomgongweon
酹粉,라이판,lèi fěn,raipan
襕衫,앵삼,lán shān,aengsam
终审法院大楼,종심법원대루,zhōng shěn fǎ yuàn dà lóu,jongsimbeobweondaeru
北京大学医学部,베이징대학의학부,běi jīng dà xué yī xué bù,beijingdaehagyihagbu
亚洲沃德兰游乐园,원더랜드,yà zhōu wò dé lán yóu lè yuán,weondeoraendeu
南京人民大会堂,난징인민대회당,nán jīng rén mín dà huì táng,nanjinginmindaehoedang
螺蛳粉,뤄쓰펀,luó sī fěn,rweosseupeon
武汉长江大桥,우한장강대교,wǔ hàn cháng jiāng dà qiáo,uhanjanggangdaegyo
田子坊,톈쯔팡,tián zǐ fāng,tyenjjeupang
白灼虾,박척하,bái zhuó xiā,bagceogha
华谊兄弟,화이브라더스,huá yì xiōng dì,hwaibeuradeoseu
青田石,청전석,qīng tián shí,ceongjeonseog
置地广塲,랜드마크,zhì dì guǎng chǎng,raendeumakeu
中国国家地质公园,중국국가급지질공원,zhōng guó guó jiā dì zhì gōng yuán,junggugguggageubjijilgongweon
荣华,윙와,róng huá,wingwa
虎丘,후치우,hǔ qiū,huciu
留园,유원,liú yuán,yuweon
秦朝官制,삼공구경,qín cháo guān zhì,samgonggugyeong
药明康德,야오밍캉더,yào míng kāng dé,yaomingkangdeo
工人日报,공인일보,gōng rén rì bào,gonginilbo
黄大仙,웡다이신,huáng dà xiān,weongdaisin
冬菜,둥차이,dōng cài,dungcai
狮子林,사자림,shī zi lín,sajarim
沙家浜,사가병,shā jiā bāng,sagabyeong
西明寺,서명사,xī míng sì,seomyeongsa
石硖尾,섹깁메이,shí xiá wěi,seggibmei
黑龙江人民广播电台,흑룡강인민방송,hēi lóng jiāng rén mín guǎng bō diàn tái,heugryongganginminbangsong
黑龙江朝鲜语广播,흑룡강조선어방송국,hēi lóng jiāng cháo xiān yǔ guǎng bō,heugryonggangjoseoneobangsonggug
民众建澳联盟,민중건오연맹,mín zhòng jiàn ào lián méng,minjunggeonoyeonmaeng
南阳郡,남양군,nán yáng jùn,namyanggun
米线,미셴,mǐ xiàn,misyen
港青基信书院,콩칭기신칼리지,gǎng qīng jī xìn shū yuàn,kongcinggisinkalriji
西环,사이완,xī huán,saiwan
进贤县,진셴현,jìn xián xiàn,jinsyenhyeon
赤山法华院,적산법화원,chì shān fǎ huá yuàn,jeogsanbeobhwaweon
鸿胪井,홍려정비,hóng lú jǐng,hongryeojeongbi
高平郡,고평군,gāo píng jùn,gopyeonggun
鄱阳郡,파양군,pó yáng jùn,payanggun
高凉郡,고량군,gāo liáng jùn,goryanggun
濮阳郡,복양군,pú yáng jùn,bogyanggun
略阳郡,약양군,lüè yáng jùn,yagyanggun
汉中郡,한중군,hàn zhōng jùn,hanjunggun
徐家汇藏书楼,쉬자후이창수루,xú jiā huì cáng shū lóu,swijahuicangsuru
新城郡,신성군,xīn chéng jùn,sinseonggun
龙庆峡水库,용경협,lóng qìng xiá shuǐ kù,yonggyeonghyeob
蒙古语族群,몽골족,měng gǔ yǔ zú qún,monggoljog
宣城郡,선성군,xuān chéng jùn,seonseonggun
密云郡,밀운군,mì yún jùn,milungun
船政学堂,선정학당,chuán zhèng xué táng,seonjeonghagdang
竟陵郡,경릉군,jìng líng jùn,gyeongreunggun
楼烦郡,누번군,lóu fán jùn,nubeongun
晋熙郡,진희군,jìn xī jùn,jinhyigun
汲郡,급군,jí jùn,geubgun
乌有之乡,유토피아,wū yǒu zhī xiāng,yutopia
中国围棋甲级联赛,갑조리그,zhōng guó wéi qí jiǎ jí lián sài,gabjorigeu
龙星战,용성전,lóng xīng zhàn,yongseongjeon
中国梦,중국몽,zhōng guó mèng,junggugmong
会子,회자,huì zǐ,hoeja
北京小马奔腾影视文化传媒,샤오마뻔텅,běi jīng xiǎo mǎ bēn téng yǐng shì wén huà chuán méi,syaomabbeonteong
中华人民共和国国家新闻出版广电总局,국가신문출판광전총국,zhōng huá rén mín gòng hé guó guó jiā xīn wén chū bǎn guǎng diàn zǒng jú,guggasinmunculpangwangjeonconggug
吴郡,오군,wú jùn,ogun
唐蕃会盟碑,당번회맹비,táng fān huì méng bēi,dangbeonhoemaengbi
天水郡,천수군,tiān shuǐ jùn,ceonsugun
安成郡,안성군,ān chéng jùn,anseonggun
太原郡,태원군,tài yuán jùn,taeweongun
平阳郡,평양군,píng yáng jùn,pyeongyanggun
宜都郡,의도군,yí dōu jùn,yidogun
扬越,양월,yáng yuè,yangweol
新港中心,실버코드,xīn gǎng zhōng xīn,silbeokodeu
明定陵,정릉,míng dìng líng,jeongreung
历阳郡,역양군,lì yáng jùn,yeogyanggun
枹罕郡,포한군,bāo hǎn jùn,pohangun
毛公鼎,모공정,máo gōng dǐng,mogongjeong
江淮,강회,jiāng huái,ganghoe
河东郡,하동군,hé dōng jùn,hadonggun
鹳雀楼,관작루,guàn què lóu,gwanjagru
洪德,홍득,hóng dé,hongdeug
添好运点心专门店,팀호완,tiān hǎo yùn diǎn xīn zhuān mén diàn,timhowan
汤和墓,탕화묘,tāng hé mù,tanghwamyo
朝鲜语系,한국어족,cháo xiān yǔ xì,hangugeojog
延边广播电视台,연변라지오텔레비죤방송,yán biān guǎng bō diàn shì tái,yeonbyeonrajiotelrebijyonbangsong
深中通道,선중대교,shēn zhōng tōng dào,seonjungdaegyo
浙江人民广播电台,저장인민방송,zhè jiāng rén mín guǎng bō diàn tái,jeojanginminbangsong
上海县,상하이현,shàng hǎi xiàn,sanghaihyeon
广西人民广播电台,광시인민방송,guǎng xī rén mín guǎng bō diàn tái,gwangsiinminbangsong
好太王陵,태왕릉,hǎo tài wáng líng,taewangreung
火天,화천,huǒ tiān,hwaceon
东风能迪,동옥항주트럭,dōng fēng néng dí,dongoghangjuteureog
博陵郡,박릉군,bó líng jùn,bagreunggun
万宁,매닝스,wàn níng,maeningseu
金蝶国际,킹디,jīn dié guó jì,kingdi
少林派,소림사,shǎo lín pài,sorimsa
孙子算经,손자산경,sūn zi suàn jīng,sonjasangyeong
天王,천왕,tiān wáng,ceonwang
太极殿,태극전,tài jí diàn,taegeugjeon
镇海桥,전하이교,zhèn hǎi qiáo,jeonhaigyo
蜀郡,촉군,shǔ jùn,coggun
爱奇艺,아이치이,ài qí yì,aicii
萨其城址,살기성,sà qí chéng zhǐ,salgiseong
温特赫部城址与裴优城址,온특혁부성,wēn tè hè bù chéng zhǐ yǔ péi yōu chéng zhǐ,onteughyeogbuseong
黑竹沟,헤이주거우,hēi zhú gōu,heijugeou
武夷山脉,우이산맥,wǔ yí shān mài,uisanmaeg
北京韩国国际学校,북경한국국제학교,běi jīng hán guó guó jì xué xiào,buggyeonghanguggugjehaggyo
书院,서원,shū yuàn,seoweon
钟离郡,종리군,zhōng lí jùn,jongrigun
