제임스 드레스녹,ジェームズ・ドレスノク,jēmuzu・doresunoku,jeimseu deureseunog
김책,キンサク,kinsaku,gimcaeg
강건,キョウケン,kyouken,ganggeon
박열,ボクレツ,bokuretsu,bagyeol
허헌,モトケン,motoken,heoheon
장웅,チョウツヨシ,choutsuyoshi,jangung
김철,キムアキラ,kimuakira,gimceol
최광,チェヒカリ,chehikari,coegwang
최현,チェケン,cheken,coehyeon
김억,キンオク,kinoku,gimeog
김옥,キンギョク,kingyoku,gimog
최휘,チェアキラ,cheakira,coehwi
백석,シライシ,shiraishi,baegseog
김웅,カネオ,kaneo,gimung
서휘,ジョアキラ,joakira,seohwi
김무정,タケチン,takechin,gimmujeong
홍창수,トクヤマアキラモリ,tokuyamaakiramori,hongcangsu
최원,チェトオ,chetoo,coeweon
안길,ヤスキチ,yasukichi,angil
장철,チョウトオル,choutooru,jangceol
임훈,ニンクン,ninkun,imhun
임화,ハヤシカズ,hayashikazu,imhwa
여정,リョセイ,ryosei,yeojeong
박훈,ボクイサオ,bokuisao,baghun
장혁,チョウカワ,choukawa,janghyeog
승봉,スンボン,MODIFIED,sunbon,seungbong
무협,タケキョウ,MODIFIED,takekyou,muhyeob
현상,ヒョンサン,MODIFIED,hyonsan,hyeonsang
진석,チョン,MODIFIED,chon,jinseog
여름,ヨルム,MODIFIED,yorumu,yeoreum
차옥,ツギダマ,MODIFIED,tsugidama,caog
해정,カイショウ,MODIFIED,kaishou,haejeong
무교,ツチノエコウ,MODIFIED,tsuchinoekou,mugyo
진수,クォン,MODIFIED,kwon,jinsu
종신,ジョンシン,MODIFIED,jonshin,jongsin
태훈,テフン,MODIFIED,tefun,taehun
명세,アキヨ,MODIFIED,akiyo,myeongse
재헌,ノケン,MODIFIED,noken,jaeheon
소형,ソヒョン,MODIFIED,sohyon,sohyeong
용형,ヨウトオル,MODIFIED,youtooru,yonghyeong
상천,リー,MODIFIED,rī,sangceon
종오,カネウマ,MODIFIED,kaneuma,jongo
은실,オンミノル,MODIFIED,onminoru,eunsil
오성,オソン,MODIFIED,oson,oseong
젠카,ゼンハナ,MODIFIED,zenhana,jenka
원근,ウォングン,MODIFIED,wongun,weongeun
웅용,ウンヨン,MODIFIED,unyon,ungyong
순옥,スンオク,MODIFIED,sunoku,sunog
성문,セイブン,MODIFIED,seibun,seongmun
상규,アイケイ,MODIFIED,aikei,sanggyu
요환,ヨファン,MODIFIED,yofan,yohwan
한봉,カンタテマツ,MODIFIED,kantatematsu,hanbong
원식,ゲンショク,MODIFIED,genshoku,weonsig
권호,ケントラ,MODIFIED,kentora,gweonho
희봉,ヒボン,MODIFIED,hibon,hyibong
순영,アツシアキラ,MODIFIED,atsushiakira,sunyeong
한재,カンノ,MODIFIED,kanno,hanjae
리아,ジュリ,MODIFIED,juri,ria
익환,イクファン,MODIFIED,ikufan,ighwan
현송,ソン,MODIFIED,son,hyeonsong
성환,ソンファン,MODIFIED,sonfan,seonghwan
혜옥,ヘオク,MODIFIED,heoku,hyeog
선경,ソンギョン,MODIFIED,songyon,seongyeong
기복,モトフク,MODIFIED,motofuku,gibog
다운,タクモ,MODIFIED,takumo,daun
우민,ウミン,MODIFIED,umin,umin
예련,イェリョン,MODIFIED,yeryon,yeryeon
화연,ファヨン,MODIFIED,fayon,hwayeon
창숙,チャンスク,MODIFIED,chansuku,cangsug
위찬,チャン,MODIFIED,chan,wican
은철,ギンアキラ,MODIFIED,ginakira,eunceol
승표,ウケタマワシャク,MODIFIED,uketamawashaku,seungpyo
기우,ギウ,MODIFIED,giu,giu
준연,シュンフチ,MODIFIED,shunfuchi,junyeon
갑도,キノエミチ,MODIFIED,kinoemichi,gabdo
자명,コアキラ,MODIFIED,koakira,jamyeong
지규,ジギュ,MODIFIED,jigyu,jigyu
근안,ネヤス,MODIFIED,neyasu,geunan
자현,ジャヒョン,MODIFIED,jahyon,jahyeon
설희,ソリ,MODIFIED,sori,seolhyi
미현,ヨシゲン,MODIFIED,yoshigen,mihyeon
형탁,ヒョンタク,MODIFIED,hyontaku,hyeongtag
상엽,サンヨプ,MODIFIED,sanyopu,sangyeob
잎새,イプセ,MODIFIED,ipuse,ipsae
인탁,トラタク,MODIFIED,torataku,intag
종화,ジョンファ,MODIFIED,jonfa,jonghwa
탐희,タミ,MODIFIED,tami,tamhyi
해미,ヘミ,MODIFIED,hemi,haemi
해효,ヘヒョ,MODIFIED,hehyo,haehyo
오중,オジュン,MODIFIED,ojun,ojung
대선,ダイゼン,MODIFIED,daizen,daeseon
시은,シウン,MODIFIED,shiun,sieun
상면,サンミョン,MODIFIED,sanmyon,sangmyeon
이재,イジェ,MODIFIED,ije,ijae
승열,ウケタマワレツ,MODIFIED,uketamawaretsu,seungyeol
병숙,ビョンスク,MODIFIED,byonsuku,byeongsug
지나,ジナ,MODIFIED,jina,jina
두선,トゼン,MODIFIED,tozen,duseon
도호,ドホ,MODIFIED,doho,doho
규석,ギュソク,MODIFIED,gyusoku,gyuseog
효춘,ヒョチュン,MODIFIED,hyochun,hyocun
규한,ギュハン,MODIFIED,gyuhan,gyuhan
민교,ミンギョ,MODIFIED,mingyo,mingyo
재황,ジェファン,MODIFIED,jefan,jaehwang
유비,ユビ,MODIFIED,yubi,yubi
재림,ジェリム,MODIFIED,jerimu,jaerim
동권,ヒガシケン,MODIFIED,higashiken,donggweon
용환,リュウキヨシ,MODIFIED,ryuukiyoshi,yonghwan
근형,クニョン,MODIFIED,kunyon,geunhyeong
원숙,ウォンスク,MODIFIED,wonsuku,weonsug
래연,レヨン,MODIFIED,reyon,raeyeon
인중,インジョン,MODIFIED,injon,injung
보연,ボヨン,MODIFIED,boyon,boyeon
유환,ユファン,MODIFIED,yufan,yuhwan
규환,ギュファン,MODIFIED,gyufan,gyuhwan
희순,ヒスン,MODIFIED,hisun,hyisun
현경,ヒョンギョン,MODIFIED,hyongyon,hyeongyeong
효실,ヒョシル,MODIFIED,hyoshiru,hyosil
성집,アキラシュウ,MODIFIED,akirashuu,seongjib
아정,アジョン,MODIFIED,ajon,ajeong
세아,セア,MODIFIED,sea,sea
광래,ヒロキ,MODIFIED,hiroki,gwangrae
현세,ケンヨ,MODIFIED,kenyo,hyeonse
대규,デギュ,MODIFIED,degyu,daegyu
재무,ジェム,MODIFIED,jemu,jaemu
신일,シニル,MODIFIED,shiniru,sinil
민근,ミンネ,MODIFIED,minne,mingeun
연홍,ヨノン,MODIFIED,yonon,yeonhong
그림,グリム,MODIFIED,gurimu,geurim
유종,ユジョン,MODIFIED,yujon,yujong
용술,リュウジュツ,MODIFIED,ryuujutsu,yongsul
우상,ウサン,MODIFIED,usan,usang
무생,ムセン,MODIFIED,musen,musaeng
두관,トカン,MODIFIED,tokan,dugwan
예,イェ,MODIFIED,ye,ye
다솜,ソム,MODIFIED,somu,dasom
구라,グラ,MODIFIED,gura,gura
한민,ハンミン,MODIFIED,hanmin,hanmin
근혜,ネトシ,MODIFIED,netoshi,geunhye
의재,ギスミ,MODIFIED,gisumi,yijae
승범,スンボム,MODIFIED,sunbomu,seungbeom
궁원,ウォン,MODIFIED,won,gungweon
오곤,オゴン,MODIFIED,ogon,ogon
지미,ジミ,MODIFIED,jimi,jimi
가윤,ガユン,MODIFIED,gayun,gayun
기웅,ギウン,MODIFIED,giun,giung
철형,アキラトオル,MODIFIED,akiratooru,ceolhyeong
곡지,コクチ,MODIFIED,kokuchi,gogji
훈정,フンジョン,MODIFIED,funjon,hunjeong
헌재,ケンオサム,MODIFIED,kenosamu,heonjae
금실,ニシキミノル,MODIFIED,nishikiminoru,geumsil
완호,カントラ,MODIFIED,kantora,wanho
덕환,ドックァン,MODIFIED,dokkuァn,deoghwan
준경,シュンケイ,MODIFIED,shunkei,jungyeong
익현,エキゲン,MODIFIED,ekigen,ighyeon
일순,イルスーン,MODIFIED,irusūn,ilsun
인권,イングォン,MODIFIED,inguォn,ingweon
주완,ジュワン,MODIFIED,juwan,juwan
강현,カンゲン,MODIFIED,kangen,ganghyeon
종서,ジョンソ,MODIFIED,jonso,jongseo
노식,ノシク,MODIFIED,noshiku,nosig
승옥,スンオク,MODIFIED,sunoku,seungog
재덕,ジェドク,MODIFIED,jedoku,jaedeog
광모,ヒカリモ,MODIFIED,hikarimo,gwangmo
용성,ヨウアキラ,MODIFIED,youakira,yongseong
흥수,フンス,MODIFIED,funsu,heungsu
지숙,ジスク,MODIFIED,jisuku,jisug
종욱,ジョンウク,MODIFIED,jonuku,jongug
중업,ジュウギョウ,MODIFIED,juugyou,jungeob
찬수,チャンス,MODIFIED,chansu,cansu
필립,キム,MODIFIED,kimu,pilrib
영규,ヨンギュ,MODIFIED,yongyu,yeonggyu
세직,セジク,MODIFIED,sejiku,sejig
문희,ムニ,MODIFIED,muni,munhyi
승규,ノボリケイ,MODIFIED,noborikei,seunggyu
시진,シジン,MODIFIED,shijin,sijin
아현,アヒョン,MODIFIED,ahyon,ahyeon
승은,スンウン,MODIFIED,sunun,seungeun
중섭,ジュンソプ,MODIFIED,junsopu,jungseob
창우,クラタスク,MODIFIED,kuratasuku,cangu
태군,ヤスシクン,MODIFIED,yasushikun,taegun
원탁,モトタク,MODIFIED,mototaku,weontag
창열,アキラレツ,MODIFIED,akiraretsu,cangyeol
한성,カンナル,MODIFIED,kannaru,hanseong
상아,サンア,MODIFIED,sana,sanga
아율,アユル,MODIFIED,ayuru,ayul
판곤,ハンヒツジサル,MODIFIED,hanhitsujisaru,pangon
학범,ツルハン,MODIFIED,tsuruhan,hagbeom
기돈,ユー,MODIFIED,yū,gidon
효영,ヒョヨン,MODIFIED,hyoyon,hyoyeong
유연,ユヨン,MODIFIED,yuyon,yuyeon
장우,ジャンウ,MODIFIED,janu,jangu
진운,ジヌン,MODIFIED,jinun,jinun
동빈,ドンビン,MODIFIED,donbin,dongbin
화승,ハナマサル,MODIFIED,hanamasaru,hwaseung
두심,ドゥシム,MODIFIED,dushimu,dusim
건태,コンテ,MODIFIED,konte,geontae
화영,ファヨン,MODIFIED,fayon,hwayeong
태수,テス,MODIFIED,tesu,taesu
제문,ジェムン,MODIFIED,jemun,jemun
일곤,イルゴン,MODIFIED,irugon,ilgon
남식,ミナミショク,MODIFIED,minamishoku,namsig
문순,ブンマコト,MODIFIED,bunmakoto,munsun
혁진,ヒョクチン,MODIFIED,hyokuchin,hyeogjin
기보,ヤドリキホ,MODIFIED,yadorikiho,gibo
보희,ボヒ,MODIFIED,bohi,bohyi
평래,タイラライ,MODIFIED,tairarai,pyeongrae
흥철,フンチョル,MODIFIED,funchoru,heungceol
현아,ヒョナ,MODIFIED,hyona,hyeona
윤복,ジュンフク,MODIFIED,junfuku,yunbog
대훈,ダイクン,MODIFIED,daikun,daehun
하룡,ハリョン,MODIFIED,haryon,haryong
경민,ギョンミン,MODIFIED,gyonmin,gyeongmin
은진,ウンジン,MODIFIED,unjin,eunjin
형민,ヒョンミン,MODIFIED,hyonmin,hyeongmin
서라,ソラ,MODIFIED,sora,seora
기찬,キチャン,MODIFIED,kichan,gican
난새,ナンセ,MODIFIED,nanse,nansae
의근,ギネ,MODIFIED,gine,yigeun
태은,フトシギン,MODIFIED,futoshigin,taeeun
광훈,グァンフン,MODIFIED,guァnfun,gwanghun
일섭,イルソプ,MODIFIED,irusopu,ilseob
덕귀,トクトウト,MODIFIED,tokutouto,deoggwi
신희,シニ,MODIFIED,shini,sinhyi
병우,ビョンウ,MODIFIED,byonu,byeongu
우순,ヘキジュン,MODIFIED,hekijun,usun
상렬,サンリョル,MODIFIED,sanryoru,sangryeol
종애,ソウアイ,MODIFIED,souai,jongae
용권,ヨウケン,MODIFIED,youken,yonggweon
누리,ヌリ,MODIFIED,nuri,nuri
기종,オコシカネ,MODIFIED,okoshikane,gijong
향희,コウヒメ,MODIFIED,kouhime,hyanghyi
앵란,エンラン,MODIFIED,enran,aengran
경순,キョウジュン,MODIFIED,kyoujun,gyeongsun
상돈,アイアツシ,MODIFIED,aiatsushi,sangdon
찬숙,サンヨシ,MODIFIED,sanyoshi,cansug
활란,カツラン,MODIFIED,katsuran,hwalran
용균,ヨンギュン,MODIFIED,yongyun,yonggyun
상승,ソウショウ,MODIFIED,soushou,sangseung
현실,ヒョンシル,MODIFIED,hyonshiru,hyeonsil
애라,エラ,MODIFIED,era,aera
경규,ギョンギュ,MODIFIED,gyongyu,gyeonggyu
낙훈,ナックン,MODIFIED,nakkun,naghun
성봉,ソンボン,MODIFIED,sonbon,seongbong
성아,ソンア,MODIFIED,sona,seonga
일상,イルサン,MODIFIED,irusan,ilsang
종빈,ジョンビン,MODIFIED,jonbin,jongbin
주상,ジュサン,MODIFIED,jusan,jusang
진룡,シンリュウ,MODIFIED,shinryuu,jinryong
기석,ギソク,MODIFIED,gisoku,giseog
상협,ナオキョウ,MODIFIED,naokyou,sanghyeob
주도,シュウト,MODIFIED,shuuto,judo
형숙,トオルヨシ,MODIFIED,tooruyoshi,hyeongsug
기흥,モトキョウ,MODIFIED,motokyou,giheung
한준,カンシュン,MODIFIED,kanshun,hanjun
기려,オコシリョ,MODIFIED,okoshiryo,giryeo
상광,アイヒカリ,MODIFIED,aihikari,sanggwang
의진,ウイジン,MODIFIED,uijin,yijin
인촌,インチョン,MODIFIED,inchon,incon
서보,ソボ,MODIFIED,sobo,seobo
건상,ケンショウ,MODIFIED,kenshou,geonsang
희열,ヒヨル,MODIFIED,hiyoru,hyiyeol
윤후,イゴン,MODIFIED,igon,yunhu
해렴,ヘリョム,MODIFIED,heryomu,haeryeom
장순,アキラマコト,MODIFIED,akiramakoto,jangsun
불암,ブラム,MODIFIED,buramu,bulam
다민,ダミン,MODIFIED,damin,damin
중권,ジュウケン,MODIFIED,juuken,junggweon
예령,イェリョン,MODIFIED,yeryon,yeryeong
준임,ジュンイム,MODIFIED,junimu,junim
경자,ケイコ,MODIFIED,keiko,gyeongja
광식,ヒカリウエ,MODIFIED,hikariue,gwangsig
보경,ヒロシケイ,MODIFIED,hiroshikei,bogyeong
하정,ガキヨシ,MODIFIED,gakiyoshi,hajeong
세윤,セユン,MODIFIED,seyun,seyun
영후,ヨンフ,MODIFIED,yonfu,yeonghu
왕용,オウリュウ,MODIFIED,ouryuu,wangyong
석천,ソクチョン,MODIFIED,sokuchon,seogceon
경복,ケイフク,MODIFIED,keifuku,gyeongbog
한빛,ハンビッ,MODIFIED,hanbiッ,hanbic
찬우,チャヌ,MODIFIED,chanu,canu
뢰하,レハ,MODIFIED,reha,roeha
준양,シュンヒ,MODIFIED,shunhi,junyang
새롬,セロム,MODIFIED,seromu,saerom
원형,ウォニョン,MODIFIED,wonyon,weonhyeong
무룡,ムリョン,MODIFIED,muryon,muryong
영유,ヨンユ,MODIFIED,yonyu,yeongyu
혜은,ヘウン,MODIFIED,heun,hyeeun
윤겸,マコトケン,MODIFIED,makotoken,yungyeom
영이,サカエイ,MODIFIED,sakaei,yeongi
동률,ドンリュル,MODIFIED,donryuru,dongryul
윤서,ユンソ,MODIFIED,yunso,yunseo
형기,ヒョンギ,MODIFIED,hyongi,hyeonggi
희원,ヒウォン,MODIFIED,hiwon,hyiweon
금봉,グンボン,MODIFIED,gunbon,geumbong
진태,ススムヤスシ,MODIFIED,susumuyasushi,jintae
상봉,サンボン,MODIFIED,sanbon,sangbong
여희,ヨヒ,MODIFIED,yohi,yeohyi
슬옹,スロン,MODIFIED,suron,seulong
운곤,ウンヒツジサル,MODIFIED,unhitsujisaru,ungon
인경,トラケイ,MODIFIED,torakei,ingyeong
새벽,セビョク,MODIFIED,sebyoku,saebyeog
정리,チェン,MODIFIED,chen,jeongri
희본,ヒボン,MODIFIED,hibon,hyibon
옥렬,タマレツ,MODIFIED,tamaretsu,ogryeol
오규,オキュ,MODIFIED,okyu,ogyu
성미,ソンミ,MODIFIED,sonmi,seongmi
형래,ヒョンレ,MODIFIED,hyonre,hyeongrae
성증,ヒジリゾウ,MODIFIED,hijirizou,seongjeung
미륵,ミロク,MODIFIED,miroku,mireug
충균,チュウヒトシ,MODIFIED,chuuhitoshi,cunggyun
만복,ヨロズフク,MODIFIED,yorozufuku,manbog
성형,ソンヒョン,MODIFIED,sonhyon,seonghyeong
윤형,マコトカオル,MODIFIED,makotokaoru,yunhyeong
희동,ギヒガシ,MODIFIED,gihigashi,hyidong
임표,インピョ,MODIFIED,inpyo,impyo
해경,ヘイギョン,MODIFIED,heigyon,haegyeong
예영,イェヨン,MODIFIED,yeyon,yeyeong
제균,ジェギュン,MODIFIED,jegyun,jegyun
봉수,スー,MODIFIED,sū,bongsu
그루,グル,MODIFIED,guru,geuru
일수,イルス,MODIFIED,irusu,ilsu
중동,シゲトウ,MODIFIED,shigetou,jungdong
중돈,ナカアツシ,MODIFIED,nakaatsushi,jungdon
태술,タイジュツ,MODIFIED,taijutsu,taesul
태신,ヤスノブ,MODIFIED,yasunobu,taesin
성순,ヒジリアツシ,MODIFIED,hijiriatsushi,seongsun
수로,スロ,MODIFIED,suro,suro
진민,ジンミン,MODIFIED,jinmin,jinmin
세욱,ヨアサヒ,MODIFIED,yoasahi,seug
호민,ホミン,MODIFIED,homin,homin
은세,ウンセ,MODIFIED,unse,eunse
달호,タロ,MODIFIED,taro,dalho
길호,ギロ,MODIFIED,giro,gilho
갑태,キノエヤスシ,MODIFIED,kinoeyasushi,gabtae
강일,ガンイル,MODIFIED,ganiru,gangil
겨울,ギョウル,MODIFIED,gyouru,gyeoul
일목,ニチキヨシ,MODIFIED,nichikiyoshi,ilmog
상혁,サンヒョク,MODIFIED,sanhyoku,sanghyeog
수림,スリム,MODIFIED,surimu,surim
태한,テハン,MODIFIED,tehan,taehan
태환,テファン,MODIFIED,tefan,taehwan
택기,タクオコシ,MODIFIED,takuokoshi,taeggi
판술,ハンジュツ,MODIFIED,hanjutsu,pansul
경룡,ギョンリョン,MODIFIED,gyonryon,gyeongryong
경언,キョウゲン,MODIFIED,kyougen,gyeongeon
경재,ケイアズサ,MODIFIED,keiazusa,gyeongjae
경한,ケイカン,MODIFIED,keikan,gyeonghan
창덕,アキラトク,MODIFIED,akiratoku,cangdeog
광균,ヒカリヒトシ,MODIFIED,hikarihitoshi,gwanggyun
교흥,キョウキョウ,MODIFIED,kyoukyou,gyoheung
국환,グクファン,MODIFIED,gukufan,gughwan
규민,ギュミン,MODIFIED,gyumin,gyumin
추월,チュウォル,MODIFIED,chuworu,cuweol
채하,チェハ,MODIFIED,cheha,caeha
채빈,ビン,MODIFIED,bin,caebin
기방,ギバン,MODIFIED,giban,gibang
기수,ギス,MODIFIED,gisu,gisu
해님,ヘニム,MODIFIED,henimu,haenim
석환,ソックァン,MODIFIED,sokkuァn,seoghwan
주홍,ジュホン,MODIFIED,juhon,juhong
수광,スグァン,MODIFIED,suguァn,sugwang
필진,ピルジン,MODIFIED,pirujin,piljin
학민,ガクミン,MODIFIED,gakumin,hagmin
학송,ツルマツ,MODIFIED,tsurumatsu,hagsong
형범,ヒョンボム,MODIFIED,hyonbomu,hyeongbeom
대우,ダイウ,MODIFIED,daiu,daeu
덕규,トクケイ,MODIFIED,tokukei,deoggyu
경은,キョン,MODIFIED,kyon,gyeongeun
윤대,マコトダイ,MODIFIED,makotodai,yundae
나율,ナユル,MODIFIED,nayuru,nayul
형일,ヒョンイル,MODIFIED,hyoniru,hyeongil
혜린,ヘリン,MODIFIED,herin,hyerin
태욱,テウク,MODIFIED,teuku,taeug
일출,ヒノデ,MODIFIED,hinode,ilcul
안석,ヤスイシ,MODIFIED,yasuishi,anseog
홍걸,ヒロシスグル,MODIFIED,hiroshisuguru,honggeol
말봉,スエオオトリ,MODIFIED,sueootori,malbong
맹곤,タケシヒツジサル,MODIFIED,takeshihitsujisaru,maenggon
명곤,ミョンゴン,MODIFIED,myongon,myeonggon
호길,ヒロシキチ,MODIFIED,hiroshikichi,hogil
회성,カイシゲル,MODIFIED,kaishigeru,hoeseong
효재,コウザイ,MODIFIED,kouzai,hyojae
훈호,フンホ,MODIFIED,funho,hunho
환진,ファンジン,MODIFIED,fanjin,hwanjin
동재,ヒガシサイ,MODIFIED,higashisai,dongjae
석도,スズドウ,MODIFIED,suzudou,seogdo
도언,ミチヒコ,MODIFIED,michihiko,doeon
병설,ヤマイセツ,MODIFIED,yamaisetsu,byeongseol
상태,アイフト,MODIFIED,aifuto,sangtae
홍업,ヒロギョウ,MODIFIED,hirogyou,hongeob
홍표,ホンピョ,MODIFIED,honpyo,hongpyo
화랑,ヒナミ,MODIFIED,hinami,hwarang
진화,チンワ,MODIFIED,chinwa,jinhwa
화원,ハナゲン,MODIFIED,hanagen,hwaweon
재관,ノカンムリ,MODIFIED,nokanmuri,jaegwan
명국,ミョングク,MODIFIED,myonguku,myeonggug
명규,アキラケイ,MODIFIED,akirakei,myeonggyu
명덕,ミョンドク,MODIFIED,myondoku,myeongdeog
명윤,イノチジュン,MODIFIED,inochijun,myeongyun
명자,アキコ,MODIFIED,akiko,myeongja
명제,アキラミカド,MODIFIED,akiramikado,myeongje
무연,タケシカ,MODIFIED,takeshika,muyeon
익수,エキシュウ,MODIFIED,ekishuu,igsu
갑성,ガプソン,MODIFIED,gapuson,gabseong
본무,モトシゲル,MODIFIED,motoshigeru,bonmu
천희,チョニ,MODIFIED,choni,ceonhyi
시철,カワアツシ,MODIFIED,kawaatsushi,siceol
건평,タテタイラ,MODIFIED,tatetaira,geonpyeong
덕술,トクジュツ,MODIFIED,tokujutsu,deogsul
사연,シツバメ,MODIFIED,shitsubame,sayeon
영국,ヨングク,MODIFIED,yonguku,yeonggug
민찬,ホチャン,MODIFIED,hochan,mincan
봉연,タテマツフチ,MODIFIED,tatematsufuchi,bongyeon
부선,ブソン,MODIFIED,buson,buseon
문부,ブントミ,MODIFIED,buntomi,munbu
승박,ウケタマワヒロシ,MODIFIED,uketamawahiroshi,seungbag
서운,ショウン,MODIFIED,shoun,seoun
재익,ザイツバサ,MODIFIED,zaitsubasa,jaeig
병조,ビョンジョ,MODIFIED,byonjo,byeongjo
병춘,ビョンチュン,MODIFIED,byonchun,byeongcun
태엽,テヨプ,MODIFIED,teyopu,taeyeob
형욱,ヒョンウク,MODIFIED,hyonuku,hyeongug
수란,スラン,MODIFIED,suran,suran
오연,ウマフチ,MODIFIED,umafuchi,oyeon
한일,ハニル,MODIFIED,haniru,hanil
창희,チャンヒ,MODIFIED,chanhi,canghyi
희석,ヒソク,MODIFIED,hisoku,hyiseog
웅래,ユウライ,MODIFIED,yuurai,ungrae
정의,ジョンエ,MODIFIED,jone,jeongyi
광명,ヒロアキ,MODIFIED,hiroaki,gwangmyeong
선동,ゼンヒガシ,MODIFIED,zenhigashi,seondong
선형,ゼントオル,MODIFIED,zentooru,seonhyeong
보성,ボソン,MODIFIED,boson,boseong
국수,クニシュウ,MODIFIED,kunishuu,gugsu
돈,トミ,MODIFIED,tomi,don
지덕,トモノリ,MODIFIED,tomonori,jideog
현배,ヒョンベ,MODIFIED,hyonbe,hyeonbae
난숙,ランヨシ,MODIFIED,ranyoshi,nansug
생민,センミン,MODIFIED,senmin,saengmin
상택,アイザワ,MODIFIED,aizawa,sangtaeg
현섭,ケンジュン,MODIFIED,kenjun,hyeonseob
백봉,シラミネ,MODIFIED,shiramine,baegbong
법래,ボムレ,MODIFIED,bomure,beobrae
규동,ギュドン,MODIFIED,gyudon,gyudong
세창,セチャン,MODIFIED,sechan,secang
계남,ゲナム,MODIFIED,genamu,gyenam
정창,テイアキラ,MODIFIED,teiakira,jeongcang
천식,チュンシク,MODIFIED,chunshiku,ceonsig
성겸,ソンギョム,MODIFIED,songyomu,seonggyeom
성두,キヨシト,MODIFIED,kiyoshito,seongdu
군자,クンシ,MODIFIED,kunshi,gunja
무의,タケヨシ,MODIFIED,takeyoshi,muyi
승욱,カツアサヒ,MODIFIED,katsuasahi,seungug
수남,シュウミナミ,MODIFIED,shuuminami,sunam
세민,セミン,MODIFIED,semin,semin
시찬,シチャン,MODIFIED,shichan,sican
순선,スンソン,MODIFIED,sunson,sunseon
연두,ヨンドゥ,MODIFIED,yondu,yeondu
경락,キョンラク,MODIFIED,kyonraku,gyeongrag
경범,キョウハン,MODIFIED,kyouhan,gyeongbeom
고성,ソン,MODIFIED,son,goseong
고윤,コジュン,MODIFIED,kojun,goyun
연식,ネマコト,MODIFIED,nemakoto,yeonsig
영동,エイヒガシ,MODIFIED,eihigashi,yeongdong
승휘,ウケタマワテル,MODIFIED,uketamawateru,seunghwi
영임,ヨンイム,MODIFIED,yonimu,yeongim
맹우,タケシウ,MODIFIED,takeshiu,maengu
기출,オノレデ,MODIFIED,onorede,gicul
나래,ナレ,MODIFIED,nare,narae
오장,オジャン,MODIFIED,ojan,ojang
사용,サヨン,MODIFIED,sayon,sayong
길부,ヨシオ,MODIFIED,yoshio,gilbu
동신,アズマシン,MODIFIED,azumashin,dongsin
병호,ビョンホ,MODIFIED,byonho,byeongho
경훈,ギョンフン,MODIFIED,gyonfun,gyeonghun
병권,ヒノエケン,MODIFIED,hinoeken,byeonggweon
명림,メイリン,MODIFIED,meirin,myeongrim
상일,サンイル,MODIFIED,saniru,sangil
석안,イシヤス,MODIFIED,ishiyasu,seogan
완태,カンヤスシ,MODIFIED,kanyasushi,wantae
왕호,オウトラ,MODIFIED,outora,wangho
용림,ヨンリム,MODIFIED,yonrimu,yongrim
두을,モリオツ,MODIFIED,moriotsu,dueul
선숙,センヨシ,MODIFIED,senyoshi,seonsug
미형,ミヒョン,MODIFIED,mihyon,mihyeong
구윤,グユン,MODIFIED,guyun,guyun
규점,ギュジョム,MODIFIED,gyujomu,gyujeom
광정,クァンジョン,MODIFIED,kuァnjon,gwangjeong
성필,ソンピル,MODIFIED,sonpiru,seongpil
소천,コイズミ,MODIFIED,koizumi,soceon
영찬,ヨンチャン,MODIFIED,yonchan,yeongcan
운용,クモリュウ,MODIFIED,kumoryuu,unyong
원길,モトヨシ,MODIFIED,motoyoshi,weongil
유식,ヒロシウエ,MODIFIED,hiroshiue,yusig
윤근,ジュンネ,MODIFIED,junne,yungeun
윤동,ジュンヒガシ,MODIFIED,junhigashi,yundong
영필,ヨンピル,MODIFIED,yonpiru,yeongpil
예분,イェブン,MODIFIED,yebun,yebun
예숙,イェスク,MODIFIED,yesuku,yesug
세범,セボム,MODIFIED,sebomu,sebeom
시우,ソヨン,MODIFIED,soyon,siu
수동,ミズヒガシ,MODIFIED,mizuhigashi,sudong
수홍,スホン,MODIFIED,suhon,suhong
해선,ウミゼン,MODIFIED,umizen,haeseon
석우,ソグ,MODIFIED,sogu,seogu
용완,ヨウカン,MODIFIED,youkan,yongwan
용임,ヨンイム,MODIFIED,yonimu,yongim
운태,クモフトシ,MODIFIED,kumofutoshi,untae
인길,ニキチ,MODIFIED,nikichi,ingil
인봉,インボン,MODIFIED,inbon,inbong
준만,シュンバン,MODIFIED,shunban,junman
용학,ヨウガク,MODIFIED,yougaku,yonghag
우식,アメウエ,MODIFIED,ameue,usig
세나,セナ,MODIFIED,sena,sena
인문,インムン,MODIFIED,inmun,inmun
신재,ノブヤ,MODIFIED,nobuya,sinjae
신호,ノブヒロ,MODIFIED,nobuhiro,sinho
재창,アリマサ,MODIFIED,arimasa,jaecang
정록,セイロク,MODIFIED,seiroku,jeongrog
정례,ショウフダ,MODIFIED,shoufuda,jeongrye
정헌,ジョンホン,MODIFIED,jonhon,jeongheon
태기,テギ,MODIFIED,tegi,taegi
희남,ヒナム,MODIFIED,hinamu,hyinam
영빈,ヨンビン,MODIFIED,yonbin,yeongbin
은님,ウンニム,MODIFIED,unnimu,eunnim
재득,ザイトク,MODIFIED,zaitoku,jaedeug
주선,ハシラセン,MODIFIED,hashirasen,juseon
준규,チュンギュ,MODIFIED,chungyu,jungyu
의영,ヨシヒデ,MODIFIED,yoshihide,yiyeong
