hebe camargo,ヘーペ・カマルゴ,hēpe・kamarugo
otávio mesquita,オタビオ・メスキータ,otabio・mesukīta
otávio tarquínio de sousa,オタヴィオ・タルキニオ・デ・ソウザ,otavio・tarukinio・de・souza
massao ohno,マサオ・オオノ,masao・oono
nabi abi chedid,ナビ・アビ・チェディド,nabi・abi・chedido
luiz gushiken,ルイス・グシケン,ruisu・gushiken
raimundo jinkings,ライムンド・ジンキングス,raimundo・jinkingusu
paloma tocci,パロマ・トッチ,paroma・totchi
pamela,パメラ,pamera
rafael ramos,ラファエル・ラモス,rafaeru・ramosu
nei lisboa,ネイ・リスボア,nei・risuboa
patrícia dejesus,パチ・ジジェズス,pachi・jijezusu
mazola júnior,マゾーラ・ジュニオール,mazōra・juniōru
maíra góes,マイラ・ゴエス,maira・goesu
raimundo teixeira belfort roxo,ライムンド・テイシェイラ・ベルフォル・ロッショ,raimundo・teisheira・beruforu・rossho
robson souza dos santos,ホブソン・ソウザ・ドス・サントス,hobuson・souza・dosu・santosu
nelson sargento,ネルソン・サルジェント,neruson・sarujento
raimundo varela,ライムンド・ヴァレラ,raimundo・varera
paula braun,パウラ・ブラウン,paura・buraun
rodrigo rodrigues,ロドリゴ・ロドリゲス,rodorigo・rodorigesu
nelson werneck sodré,ネウソン・ヴェルネック・ソドレ,neuson・vuェrunekku・sodore
patrícia de sabrit,パトリシア・デ・サブリット,patorishia・de・saburitto
patrício josé correia da câmara,パトリシオ・ジョゼ・コレイア・ダ・カマラ,patorishio・joze・koreia・da・kamara
rodrigo sant'anna,ロドリゴ・サンタナ,rodorigo・santana
raul mascarenhas,ラウル・マスカレーニャス,rauru・masukarēnyasu
ney gonçalves dias,ネイ・ゴンサルベス・ディアス,nei・gonsarubesu・diasu
ney latorraca,ネイ・ラトラカ,nei・ratoraka
sylvia salustti,シルビア・サルスティ,shirubia・sarusuti
newton cruz,ニュートン・クルーズ,nyūton・kurūzu
nicolas trevijano,ニコラス・トレビジャーノ,nikorasu・torebijāno
suzane carvalho,スザネ・カルヴァリョ,suzane・karuvaryo
paulo gustavo,パウロ・グスターヴォ,pauro・gusutāvuォ
reginaldo gomes,レジナルド・ゴメス,rejinarudo・gomesu
rebeca andrade,レベカ・アンドラデ,rebeka・andorade
rosa miyake,ローザ・ミヤケ,rōza・miyake
paulo foiani,パウロ・フォイアニ,pauro・foiani
ronaldo caiado,ロナルド・カイアード,ronarudo・kaiādo
sérgio sá leitão,セルジオ・サ・レイタン,serujio・sa・reitan
ronaldo bastos,ロナルド・バストス,ronarudo・basutosu
reinaldo azambuja,レイナルド・アザンブジャ,reinarudo・azanbuja
rosane marchetti,ロザンヌ・マルケッティ,rozannu・maruketti
ronaldo vainfas,ロナウド・ヴァインファス,ronaudo・vainfasu
paulo sant'ana,パウロ・サンタナ,pauro・santana
sílvia lourenço,シウヴィア・ロウレンソ,shiuvia・rourenso
sílvia goiabeira,シルビア・ゴイアベイラ,shirubia・goiabeira
novelli,ノヴェリ,novuェri
paulo sérgio valle,パウロ・セルジオ・ヴァーリ,pauro・serujio・vāri
nuno leal maia,ヌノ・リアル・マイア,nuno・riaru・maia
pedro barros,ペドロ・バロス,pedoro・barosu
rené sampaio,レナ・サンパイオ,rena・sanpaio
tatá guarnieri,タタ・グアルニエリ,tata・guarunieri
paulo roberto santos,パウロ・ロベルト・サントス,pauro・roberuto・santosu
renato machado,レナート・マチャード,renāto・machādo
russo,ルッソ,russo
vinícius eutrópio,ヴィニシウス・エウトローピオ,vinishiusu・eutorōpio
sílvio guindane,シルビオ・グインダーネ,shirubio・guindāne
ana mae barbosa,アナ・メイ・バルボーザ,ana・mei・barubōza
tallyta cardoso,タリータ・カルドーゾ,tarīta・karudōzo
ricardo kanji,リカルド・カンジ,rikarudo・kanji
vinícius vasconcelos araújo,ヴィニシウス・ヴァスコンセロス・アラウージョ,vinishiusu・vasukonserosu・araūjo
pedro geraldo de almeida,ペドロ・ゲラルド・デ・アルメイダ,pedoro・gerarudo・de・arumeida
teo lima,テオ・リマ,teo・rima
pedro calmon,ペドロ・カウモン,pedoro・kaumon
pedro carlos rovai,ペドロ・カルロス・ホヴァイ,pedoro・karurosu・hovai
alfredo kanthack,アルフレッド・カンタック,arufureddo・kantakku
vílson taddei,ヴィウソン・タデイ,viuson・tadei
ricardo barros,リカルド・バロス,rikarudo・barosu
pedro ferreira de oliveira,ペドロ・フェレイラ・デ・オリヴェイラ,pedoro・fereira・de・orivuェira
wagner domingos,ワグナー・ドミンゴス,wagunā・domingosu
saturnino de sousa e oliveira coutinho,サトゥルニノ・デ・ソウザ・エ・オリヴェイラ・コウティーニョ,saturunino・de・souza・e・orivuェira・koutīnyo
gilberto alves de souza,ジウベルト・アウヴェス・デ・ソウザ,jiuberuto・auvuェsu・de・souza
thales pan chacon,ターレス・パン・シャコン,tāresu・pan・shakon
selma vieira,セルマ・ヴィエイラ,seruma・vieira
jucilene de lima,ジュシレーニ・デ・リマ,jushirēni・de・rima
toninho andrade,トニーニョ・アンダラーデ,tonīnyo・andarāde
tino júnior,ティノ・ジュニア,tino・junia
ticiana villas boas,ティシアナ・ヴィラズ・ボアス,tishiana・virazu・boasu
roberto cavalo,ロベルト・カヴァーロ,roberuto・kavāro
sibá machado,シバ・マチャド,shiba・machado
wellington cirino,ウェリントン・シリッノ,werinton・shirinno
roberto fonseca,ホベルト・フォンセカ,hoberuto・fonseka
troncoso peres,トロンコソ・ペレス,toronkoso・peresu
wescley gomes dos santos,ウエスクレイ・ゴメス・ドス・サントス,uesukurei・gomesu・dosu・santosu
yuri souza almeida,ユーリ・ソウザ・アウメイダ,yūri・souza・aumeida
marcio takara,マルシオ・タカラ,marushio・takara
william de oliveira pottker,ウィリアム・デ・オリベイラ・ポッチケ,wiriamu・de・oribeira・potchike
ubirajara veiga da silva,ウビラジャラ・ヴェイガ・ダ・シウヴァ,ubirajara・vuェiga・da・shiuva
nise obino,ニーゼ・オビーノ,nīze・obīno
bernardo pereira de vasconcelos,ベルナルド・ペレイラ・デ・ヴァスコンセロス,berunarudo・pereira・de・vasukonserosu
edson bindilatti,エジソン・ビンジラッチ,ejison・binjiratchi
bernardo velasco,ベルナルド・ベラスコ,berunarudo・berasuko
marcus almeida,マーカス・アルメイダ,mākasu・arumeida
ciro nogueira,シロ・ノゲイラ,shiro・nogeira
sombrinha,ソンブリーニャ,sonburīnya
yaçanã martins,ヤサニャ・マルティンス,yasanya・marutinsu
michelle nicolini,ミシェル・ニコリニ,misheru・nikorini
yuri alcântara,ユーリ・アルカンタラ,yūri・arukantara
sueli costa,スエリ・コスタ,sueri・kosuta
camilo cola,カミーロ・コーラ,kamīro・kōra
carol nakamura,キャロル・ナカムラ,kyaroru・nakamura
affonso segretto,アフォンソ・セグレト,afonso・segureto
cecil thiré,セシル・チレー,seshiru・chirē
celso portiolli,セルソ・ポルティオーリ,seruso・porutiōri
celso russomanno,セルソ・ルッソマノ,seruso・russomano
cassiano dias moreira,カッシアーノ・ジアス・モレイラ,kasshiāno・jiasu・moreira
júnior rocha,ジュニオール・ローシャ,juniōru・rōsha
júlio bressane,フリオ・ブレッサネ,furio・buressane
vanja orico,ヴァンジャ・オリーコ,vanja・orīko
césar bernardo dutra,セーザル・ベルナルド・ドゥトラ,sēzaru・berunarudo・dutora
claudinei oliveira,クラウジネイ・オリヴェイラ,kuraujinei・orivuェira
zé teodoro,ゼ・テオドロ,ze・teodoro
clara moreno,クララ・モレーノ,kurara・morēno
christina rocha,クリスティーナ・ロシャ,kurisutīna・rosha
josé henrique da silva dourado,ジョゼ・エンヒキ・ダ・シウヴァ・ドゥラード,joze・enhiki・da・shiuva・durādo
zélia pedreira abreu magalhães,ゼリア・ペドレイラ・アブレウ・マガリャエス,zeria・pedoreira・abureu・magaryaesu
ademir zanyor,アデミール・ザニョール,ademīru・zanyōru
claudia gadelha,クラウディア・ガデーリャ,kuraudia・gadērya
eduardo leite,エドゥアルド・レイテ,eduarudo・reite
celso josé da costa,セルソ・ジョゼ・ダ・コスタ,seruso・joze・da・kosuta
adolfo gordo,アドルフォ・ゴルド,adorufo・gorudo
victor vinícius coelho dos santos,ヴィクトル・ヴィシニウス・コエリョ・ドス・サントス,vikutoru・vishiniusu・koeryo・dosu・santosu
gabriel paulista,ガブリエウ・パウリスタ,gaburieu・paurisuta
ângela correa,アンヘラ・コレア,anhera・korea
ângela maria,アンジェラ・マリア,anjera・maria
vida alves,ビーダ・アウヴェス,bīda・auvuェsu
matheus bitencourt da silva,マテウス・ビテンクール・ダ・シルバ,mateusu・bitenkūru・da・shiruba
kleber mendonça filho,クレーベル・メンドンサ・フィリョ,kurēberu・mendonsa・firyo
ângela dip,アンジェラ・ディップ,anjera・dippu
higor alves,イゴール・アウヴェス,igōru・auvuェsu
gilberto occhi,ジウベルト・オッキ,jiuberuto・okki
érico brás,エリコ・ブラス,eriko・burasu
antônio almeida,アントーニオ・アウメイダ,antōnio・aumeida
alan patrick,アラン・パトリック,aran・patorikku
alexandre paiva,アレッシャンドリ・パイヴァ,aresshandori・paiva
robert kenedy nunes do nascimento,ロベルト・ケネディ・ヌネス・ド・ナシメント,roberuto・kenedi・nunesu・do・nashimento
diego santos gama camilo,ジエゴ・サントス・ガマ・カミーロ,jiego・santosu・gama・kamīro
lucas evangelista santana de oliveira,ルーカス・エヴァンジェリスタ・サンターナ・ジ・オリヴェイラ,rūkasu・evanjerisuta・santāna・ji・orivuェira
rodrigo janot,ロドリゴ・ジャノット,rodorigo・janotto
ryder matos santos,リデル・マトス・サントス,rideru・matosu・santosu
gui santana,ギ・サンタナ,gi・santana
jakelyne oliveira,ジャケリーニ・オリヴェイラ,jakerīni・orivuェira
ricardo salles,リカルド・サレス,rikarudo・saresu
jackeline olivier,ジャクリーン・オリヴァー,jakurīn・orivā
cacau protásio,カカウ・プロタシオ,kakau・purotashio
lucas lima,ルーカス・リマ,rūkasu・rima
lucas cavalcante silva afonso,ルーカス・カヴァウカンテ・シウヴァ・アフォンソ,rūkasu・kavaukante・shiuva・afonso
ramiro moschen benetti,ラミーロ・モシェン・ベネッティ,ramīro・moshen・benetti
júnior caiçara,ジュニオール・カイサラ,juniōru・kaisara
luciano pereira mendes,ルシアーノ・ペレイラ・メンデス,rushiāno・pereira・mendesu
edson luiz da silva de fátima,エジソン・ルイス・ダ・シルバ・デ・ファチマ,ejison・ruisu・da・shiruba・de・fachima
caio lucas fernandes,カイオ・ルーカス・フェルナンデス,kaio・rūkasu・ferunandesu
fábio freire martins,ファビオ・フレイレ・マルティンス,fabio・fureire・marutinsu
marcel powell,マルセル・パウエル,maruseru・paueru
leonardo sakamoto,レオナルド・サカモト,reonarudo・sakamoto
ademar pereira marinho,アデマール・ペレイラ・マリーニョ,ademāru・pereira・marīnyo
oziel nozaki,オジエル・ノザキ,ojieru・nozaki
carlos henrique kupper cardoso,カルロス・エンリケ・クペール・カルドーソ,karurosu・enrike・kupēru・karudōso
eduardo hungaro,エドゥアルド・ウンガロ,eduarudo・ungaro
maria casadevall,マリア・カザデヴァウ,maria・kazadevau
darci sprotte neto,ダーシ・スポロッチ・ネト,dāshi・suporotchi・neto
joão gabriel filogiônio gaetti,ジョアン・ガブリエウ・フィロゴーニオ・ガエティ,joan・gaburieu・firogōnio・gaeti
adauto alexandre masson,アダウト・アレシャンドレ・マッソン,adauto・areshandore・masson
araújo,アラウージョ,araūjo
allan dos santos natividade,アラン・ドス・サントス・ナチヴィダデ,aran・dosu・santosu・nachividade
aline,アリーネ,arīne
alessandro salustiano de almeida,アレサンドロ・サルスチアーノ・デ・アルメイダ,aresandoro・sarusuchiāno・de・arumeida
ilsi iob boldrini,イルシ・イオブ・ボルドリーニ,irushi・iobu・borudorīni
adriana,アドリアーナ,adoriāna
alex roberto santana rafael,アレックス・ホベルト・サンターナ・ハファエル,arekkusu・hoberuto・santāna・hafaeru
jairo pereira reis,ジャイロ・ペレイラ・レイス,jairo・pereira・reisu
thiago monteiro,チアゴ・モンテイロ,chiago・monteiro
pablo yan ferreira,パブロ・ヤン・フェレイラ,paburo・yan・fereira
marcello pontes lopes,マルセロ・ポンテス・ロペス,marusero・pontesu・ropesu
marco antônio silva cortez,マルコ・アントニオ・シルヴァ・コルテス,maruko・antonio・shiruva・korutesu
sergio aparecido gobetti,セルジオ・アパレシド・ゴベッチ,serujio・apareshido・gobetchi
andressa urach,アンドレッサ・ウラッハ,andoressa・urahha
tiago henrique da silva pereira,チアゴ・エンリケ・ダ・シウヴァ・ペレイラ,chiago・enrike・da・shiuva・pereira
pocah,ポカ,poka
giovanna grigio,ジョヴァンナ・グリージョ,jovanna・gurījo
thalles lima de conceição penha,ターレス・リマ・デ・コンセイソン・ペーニャ,tāresu・rima・de・konseison・pēnya
matheus lima magalhães,マテウス・リマ・マガリャンイス,mateusu・rima・magaryanisu
evandro gonçalves,エヴァンドロ・ゴンサウヴェス,evandoro・gonsauvuェsu
paulo roberto moccelin,パウロ・ホベルト・モッセリン,pauro・hoberuto・mosserin
robson januario de paula,ロブソン・ジャヌアリオ・デ・パウラ,robuson・januario・de・paura
alex sandro pinho,アレックス・サンドロ・ピーニョ,arekkusu・sandoro・pīnyo
robert gonçalves santos,ホベルト・ゴンサウヴェス・サントス,hoberuto・gonsauvuェsu・santosu
douglas david fernandes,ドゥグラス・ダヴィ・フェルナンデス,dugurasu・davi・ferunandesu
rafael lemes dos santos,ハファエル・レメス・ドス・サントス,hafaeru・remesu・dosu・santosu
alencar da silveira júnior,アレンカル・ダ・シウヴェイラ・ジュニオール,arenkaru・da・shiuvuェira・juniōru
fernando codá marques,フェルナンド・コーダ・マルケス,ferunando・kōda・marukesu
carlos alberto carvalho da silva júnior,カルロス・アウベルト・カルヴァーリョ・ダ・シウヴァ・ジュニオール,karurosu・auberuto・karuvāryo・da・shiuva・juniōru
cleber janderson pereira reis,クレーベル・ジャンデルソン・ペレイラ・レイス,kurēberu・janderuson・pereira・reisu
diego carlos santos silva,ディエゴ・カルロス・サントス・シウヴァ,diego・karurosu・santosu・shiuva
andrea vieira,アンドレア・ヴィエラ,andorea・viera
christian heins,クリスチャン・ヘインス,kurisuchan・heinsu
ary frança,アリ・フランサ,ari・furansa
ale mchaddo,エール・マクハッド,ēru・makuhaddo
elane rego dos santos,エレーン・レゴ・ドス・サントス,erēn・rego・dosu・santosu
jairo de macedo da silva,ジャイロ・デ・マセド・ダ・シウヴァ,jairo・de・masedo・da・shiuva
ewandro felipe de lima costa,エヴァンドロ・フェリペ・ジ・リマ・コスタ,evandoro・feripe・ji・rima・kosuta
armindo antônio ranzolin,アルミンド・アントニオ・ランゾリン,arumindo・antonio・ranzorin
arnaldo saccomani,アルナルド・サッコマーニ,arunarudo・sakkomāni
alexandre andrés,アレシャンドリ・アンドレス,areshandori・andoresu
léo cittadini,レオナルド・シッタジーニ,reonarudo・shittajīni
batista dos santos,バチスタ・ドス・サントス,bachisuta・dosu・santosu
júnior aparecido guimaro de souza,ジュニオール・アパレシド・ギマロ・デ・ソウザ,juniōru・apareshido・gimaro・de・souza
nicolas david andrade,ニコラス・ダヴィド・アンドラーデ,nikorasu・davido・andorāde
rudinei guimarães,フジネイ・ギマランイス,fujinei・gimaranisu
breno silveira,ブレノ・シルヴェイラ,bureno・shiruvuェira
bruna furlan,ブルナ・フルラン,buruna・fururan
sandra vieira,サンドラ・ヴィエイラ,sandora・vieira
altineu cortes,アルティネウ・コルテス,arutineu・korutesu
aluízio alves,アルイジオ・アルヴェス,aruijio・aruvuェsu
marcus baldini,マルクス・バルディーニ,marukusu・barudīni
marcus majella,マーカス・マジェラ,mākasu・majera
bira presidente,ビラ・プレジデンテ,bira・purejidente
amaury kruel,アモリ・クルーエル,amori・kurūeru
ana lúcia,アナ・ルシア,ana・rushia
thiago martins bueno,チアゴ・マルチンス・ブエーノ,chiago・maruchinsu・buēno
alencar santana braga,アレンカール・サンタナ・ブラーガ,arenkāru・santana・burāga
caetano o'maihlan,カエターノ・オマイラン,kaetāno・omairan
alisson becker,アリソン・ベッカー,arison・bekkā
ana luíza azevedo,アナ・ルイーザ・アゼヴェード,ana・ruīza・azevuェーdo
paulo césar magalhães,パウロ・セーザル・マガリャンイス,pauro・sēzaru・magaryanisu
chico feitosa,シコ・フェイトーザ,shiko・feitōza
oliveira canindé,オリヴェイラ・カニンデ,orivuェira・kaninde
aly muritiba,アリー・ムリティバ,arī・muritiba
cinthya rachel,シンシア・ラケル,shinshia・rakeru
ana braga,アナ・ブラガ,ana・buraga
tião neto,セバスチャン・ネト,sebasuchan・neto
sabino,サビノ,sabino
arthur caike do nascimento cruz,アルトゥール・カイキ・ド・ナシメント・クルス,arutūru・kaiki・do・nashimento・kurusu
elmano de freitas,エルマーノ・デ・フレイタス,erumāno・de・fureitasu
raul michel melo da silva,ハウー・ミシェウ・メロ・ダ・シウヴァ,haū・misheu・mero・da・shiuva
berna ceppas,ベルナ・セパス,beruna・sepasu
weverton almeida santos,ウェベルトン・アルメイダ・サントス,weberuton・arumeida・santosu
petros matheus dos santos araujo,ペトロス・マテウス・ドス・サントス・アラウージョ,petorosu・mateusu・dosu・santosu・araūjo
isac santos,イサック・サントス,isakku・santosu
josé rubens pirani,ジョゼ・ルベンス・ピラーニ,joze・rubensu・pirāni
mauro vieira,マウロ・ヴィエイラ,mauro・vieira
helena solberg,ヘレナ・ソルベルグ,herena・soruberugu
felipe surian,フェリペ・スリアン,feripe・surian
hermano vianna,ヘルマーノ・ヴィアナ,herumāno・viana
gabriel casagrande,ガブリエル・カサグランデ,gaburieru・kasagurande
márcio valadão,マルシオ・ヴァラダン,marushio・varadan
gilberto nascimento,ジルベルト・ナシメント,jiruberuto・nashimento
josé renato da silva júnior,ジョゼ・レナート・ダ・シルバ・ジュニオール,joze・renāto・da・shiruba・juniōru
guta ruiz,グタ・ルイス,guta・ruisu
marcelo augusto mathias da silva,マルセロ・アウグスト・マティアス・ダ・シルバ,marusero・augusuto・matiasu・da・shiruba
ronaldo henrique silva,ホナウド・エンリケ・シウヴァ,honaudo・enrike・shiuva
sara winter,サラ・ウィンター,sara・wintā
josé aguinelo dos santos,ホセ・アギネロ・ドス・サントス,hose・aginero・dosu・santosu
olivério pinto,オリヴェリオ・ピント,orivuェrio・pinto
maciel santos,マシエル・サントス,mashieru・santosu
edison minakawa,エディソン・ミナカワ,edison・minakawa
camila minakawa,カミラ・ミナカワ,kamira・minakawa
mário augusto barbosa sacramento,マリオ・アウグスト・バルボーザ・サクラメント,mario・augusuto・barubōza・sakuramento
adaílton dos santos da silva,アダイウトン・ドス・サントス・ダ・シルバ,adaiuton・dosu・santosu・da・shiruba
ricardo dos santos,リカルド・ドス・サントス,rikarudo・dosu・santosu
marcos da silva frança,マルコス・ダ・シルバ・フランス,marukosu・da・shiruba・furansu
felisberto cardoso de camargo,フェリスベルト・カルドーソ・ジ・カマルゴ,ferisuberuto・karudōso・ji・kamarugo
nelson meurer,ネルソン・ミューラー,neruson・myūrā
elisângela paulino,エリザンジェラ・パウリノ,erizanjera・paurino
orlando luz,オルランド・ルス,orurando・rusu
anderson josé lopes de souza,アンデルソン・ジョゼ・ロペス・デ・ソウザ,anderuson・joze・ropesu・de・souza
paulo jobim,パウロ・ジョビン,pauro・jobin
alessia baldo,アレッシア・バルド,aresshia・barudo
pedro piquet,ペドロ・ピケ,pedoro・pike
eduardo antônio machado teixeira,エドゥアルド・アントニオ・マシャド・テイシェイラ,eduarudo・antonio・mashado・teisheira
thiago henrique mendes ribeiro,チアゴ・エンヒキ・メンデス・ヒベイロ,chiago・enhiki・mendesu・hibeiro
angelo maccariello neto,アンジェロ・マッカリエロ・ネト,anjero・makkariero・neto
nathan allan de souza,ナタン・アラン・デ・ソウザ,natan・aran・de・souza
natanael batista pimenta,ナタナエウ・バチスタ・ピメンタ,natanaeu・bachisuta・pimenta
abner felipe souza de almeida,アブネル・フェリペ・ソウザ・ジ・アウメイダ,abuneru・feripe・souza・ji・aumeida
antonio carlos andre,アントニオ・カルロス・アンドレ,antonio・karurosu・andore
brinner henrique santos souza,ブリネル・エンリケ・サントス・ソウザ,burineru・enrike・santosu・souza
rafael thyere de albuquerque marques,ラファエウ・ティエリ・ジ・アルブケルケ・マルケス,rafaeu・tieri・ji・arubukeruke・marukesu
malcom filipe silva de oliveira,マウコム・フィリペ・シウヴァ・デ・オリヴェイラ,maukomu・firipe・shiuva・de・orivuェira
válter marciano,ワウテル・マルシアーノ,wauteru・marushiāno
victor luis,ヴィクトル・ルイス,vikutoru・ruisu
guilherme arana,ギリェルミ・アラーナ,giriェrumi・arāna
ricardo galvão,リカルド・ガルヴァン,rikarudo・garuvan
zé rafael,ゼ・ハファエウ,ze・hafaeu
claudio tencati,クラウジオ・テンカチ,kuraujio・tenkachi
laura rizzotto,ローラ・ヒゾット,rōra・hizotto
walace souza silva,ワラシ・ソウザ・シウヴァ,warashi・souza・shiuva
mariana carvalho,マリアナ・カルバロ,mariana・karubaro
quintino barbosa,キンチノ・バルボサ,kinchino・barubosa
everton sousa soares,エヴェルトン・ソウザ・ソアレス,evuェruton・souza・soaresu
jenison de jesus brito e brito,ジェニソン・デ・ヘスス・ブリト・エ・ブリト,jenison・de・hesusu・burito・e・burito
regina sousa,レジーナ・ソウザ,rejīna・souza
taryn szpilman,タリン・スピルマン,tarin・supiruman
cleber augusto,クレベル・アウグスト,kureberu・augusuto
gilvan de pinho tavares,ジウヴァン・ジ・ピーニョ・タヴァレス,jiuvan・ji・pīnyo・tavaresu
joão augusto,ジョアン・アウグスト,joan・augusuto
romário de souza faria júnior,ロマーリオ・デ・ソウザ・ファリア・フィーリョ,romārio・de・souza・faria・fīryo
wesley safadão,ウェズリー・サファダン,wezurī・safadan
robson gracie,ホブソン・グレイシー,hobuson・gureishī
hueglo dos santos neris,ウエグロ・ドス・サントス・ネリス,ueguro・dosu・santosu・nerisu
hugo gomes dos santos silva,ウーゴ・ゴメス・ドス・サントス・シウヴァ,ūgo・gomesu・dosu・santosu・shiuva
antônio carlos júnior,アントニオ・カルロス・ジュニオール,antonio・karurosu・juniōru
húdson rodrigues dos santos,ウジソン・ホドリゲス・ドス・サントス,ujison・hodorigesu・dosu・santosu
edmilson souza,ケヴィン・ソウザ,kevin・souza
leston júnior,レストン・ジュニオール,resuton・juniōru
leonardo dos santos lima,レオナルド・ドス・サントス・リマ,reonarudo・dosu・santosu・rima
kahena kunze,カエナ・クンゼ,kaena・kunze
heinrich hauptmann,ハインリヒ・ハウプトマン,hainrihi・hauputoman
douglas willian da silva souza,ドウグラス・ウィリアン・ダ・シルバ・ソウザ,dougurasu・wirian・da・shiruba・souza
jean diego mosere,ジャーン・ディエゴ・モーゼル,jān・diego・mōzeru
anderson daronco,アンデルソン・ダロンコ,anderuson・daronko
holneiker mendes marreiros,ホルネイケル・メンデス・マレイロス,horuneikeru・mendesu・mareirosu
moisés ribeiro santos,モイゼス・リベイロ・サントス,moizesu・ribeiro・santosu
martine grael,マルティネ・グラエル,marutine・guraeru
nélson domingues de araújo,ネウソン・ドミンゲス・ジ・アラウージョ,neuson・domingesu・ji・araūjo
josé carlos schiavinato,ジョゼ・カルロス・シアヴィナト,joze・karurosu・shiavinato
thiago santos santana,チアゴ・サントス・サンタナ,chiago・santosu・santana
ilana casoy,イラナ・カソイ,irana・kasoi
gustavo scarpa,グスタボ・スカルパ,gusutabo・sukarupa
celso pansera,セルソ・パンセラ,seruso・pansera
fábio virginio de lima,ファビオ・ヴィルジニオ・ジ・リマ,fabio・virujinio・ji・rima
kiko pissolato,キコ・ピッソラート,kiko・pissorāto
qusai ali al farsi,セザル・フェルナンド・シルバ・メロ,sezaru・ferunando・shiruba・mero
tati zaqui,タチ・ザキ,tachi・zaki
isaquias queiroz,イザキアス・ケイロス,izakiasu・keirosu
jorgeh ramos,ホルヘ・ラモス,horuhe・ramosu
assis giovanaz,アシス・ジョバネス,ashisu・jobanesu
melissa gurgel,メリッサ・グルジェウ,merissa・gurujeu
euclydes hatem,エウクリデス・ハテム,eukuridesu・hatemu
roger mello,ホジェル・メロ,hojeru・mero
livia renata souza,リヴィア・ヘナタ・ソウザ,rivia・henata・souza
léo meindl,レオナルド・メインデル,reonarudo・meinderu
danilo barbosa da silva,ダニーロ・バルボーザ・ダ・シウヴァ,danīro・barubōza・da・shiuva
sidcley ferreira pereira,シジクレイ・フェヘイラ・ペレイラ,shijikurei・feheira・pereira
gustavo santos costa,グスタボ・サントス・コスタ,gusutabo・santosu・kosuta
letícia izidoro,レティシア・イジドロ,retishia・ijidoro
marcos felipe de freitas monteiro,マルコス・フェリペ・ジ・フレイタス・モンテイロ,marukosu・feripe・ji・fureitasu・monteiro
camila queiroz,カミラ・ケリロス,kamira・kerirosu
daniel corrêa,ダニエル・コレア,danieru・korea
eduardo henrique da silva,エドゥアルド・エンヒキ・ダ・シウヴァ,eduarudo・enhiki・da・shiuva
rodrigo dourado cunha,ホドリゴ・ドゥラード・クーニャ,hodorigo・durādo・kūnya
clayson henrique da silva vieira,クレイソン・ヘンリケ・ダ・シルバ・ヴィエイラ,kureison・henrike・da・shiruba・vieira
dankler luis de jesus pedreira,ダンクレー・ルイス・デ・ジェズス・ペドレイラ,dankurē・ruisu・de・jezusu・pedoreira
enrique pujals,エンリケ・プハルス,enrike・puharusu
rodrigo teixeira,ホドリゴ・テイシェイラ,hodorigo・teisheira
rodrigo lopes ferreira,ロドリーゴ・ロペス・フェレイラ,rodorīgo・ropesu・fereira
leonardo pereira,レオナルド・ペレイラ,reonarudo・pereira
jean carlos silva rocha,ジェアン・カルロス・シウヴァ・ロシャ,jean・karurosu・shiuva・rosha
mônica alves,モニカ・アルベス,monika・arubesu
artur vieira,アルトゥール・ヴィエイラ,arutūru・vieira
lexa,レシャ,resha
celsinho silva,セルシーニョ・シルヴァ,serushīnyo・shiruva
altair ramos barbosa,アルタイール・ラモス・バルボーザ,arutaīru・ramosu・barubōza
ítalo ferreira,イタロ・フェレイラ,itaro・fereira
leonardo de oliveira neves,レオナルド・ジ・オリヴェイラ・ネヴェス,reonarudo・ji・orivuェira・nevuェsu
dener gonçalves pinheiro,デネル・ゴンサウヴェス・ピニェイロ,deneru・gonsauvuェsu・piniェiro
cauly oliveira souza,カウリ・オリヴェイラ・ソウザ,kauri・orivuェira・souza
bruno felipe souza da silva,ブルーノ・フェリピ・ソウザ・ダ・シウヴァ,burūno・feripi・souza・da・shiuva
marthina brandt,マルティナ・ブラント,marutina・buranto
jorginho do pandeiro,ジョルジーニョ・ド・パンデイロ,jorujīnyo・do・pandeiro
joão marcello bôscoli,ジョアン・マルセロ・ボスコリ,joan・marusero・bosukori
vinícius goes barbosa de souza,ヴィニシウス・ゴエス・バルボーザ・ジ・ソウザ,vinishiusu・goesu・barubōza・ji・souza
arthur lira,アルツロ・リラ,arutsuro・rira
sônia guajajara,ソニア・グァジャジャラ,sonia・guァjajara
augusto mendes,アウグスト・メンデス,augusuto・mendesu
susana rossberg,スザナ・ロスベルグ,suzana・rosuberugu
jean patrick reis,ジャン・パトリック・レイス,jan・patorikku・reisu
fernando coimbra,フェルナンド・コインブラ,ferunando・koinbura
lukian araújo de almeida,ルキアン・アラウージョ・デ・アルメイダ,rukian・araūjo・de・arumeida
geferson cerqueira teles,ジェフェルソン・セルケイラ・テレス,jeferuson・serukeira・teresu
lucas gomes da silva,ルーカス・ゴメス・ダ・シルバ,rūkasu・gomesu・da・shiruba
rômulo cabral pereira pinto,ホムロ・カブラウ・ペレイラ・ピント,homuro・kaburau・pereira・pinto
ronaldo da silva souza,ホナウド・ダ・シウヴァ・ソウザ,honaudo・da・shiuva・souza
eduardo baptista,エドゥアルド・バプチスタ,eduarudo・bapuchisuta
