глюкоза,グリュコーザ,guryukōza
сабир вагапов,サビル・ヴァガポフ,sabiru・vagapofu
алексей гравицкий,アレクセイ・グラヴィツキー,arekusei・guravitsukī
андрей градов,アンドレイ・グラドフ,andorei・guradofu
леонид вайсфельд,レオニード・ヴァイスフェルド,reonīdo・vaisuferudo
галина боб,ガリーナ・ボブ,garīna・bobu
эвелина блёданс,エベリナ・ブロダンズ,eberina・burodanzu
владимир грамматиков,ウラディミール・グラマチェコフ,uradimīru・guramachekofu
анна бурмистрова,アンナ・ミレニナ,anna・mirenina
аслан бютукаев,アスラン・ブツカイェフ,asuran・butsukayefu
дмитрий анатольевич быковский,ドミトリー・ビコフスキー・ロマショフ,domitorī・bikofusukī・romashofu
николай антошкин,ニコライ・アントシュキン,nikorai・antoshukin
михаил гребенщиков,ミハイル・グレベンシュチコフ,mihairu・gurebenshuchikofu
никита высоцкий,ニキータ・ヴィソツキー,nikīta・visotsukī
марюс вайсберг,マリウス・バルチュナス,mariusu・baruchunasu
зоя воскресенская,ゾーヤ・ヴォスクレセンスカヤ,zōya・vuォsukuresensukaya
пётр михайлович градов,ピョートル・ミハイロヴィッチ・グラドフ,pyōtoru・mihairovitchi・guradofu
михаил богданов,ミハイル・ボグダノフ,mihairu・bogudanofu
ирина богачёва,イリーナ・ヴォガーチェヴァ,irīna・vuォgācheva
алиса гребенщикова,アリサ・グレベンシュチコバ,arisa・gurebenshuchikoba
валентина гагарина,ヴァレンチナ・ガガーリナ,varenchina・gagārina
полина гагарина,ポリーナ・ガガーリナ,porīna・gagārina
рубен варданян,ルベン・ヴァーダニャン,ruben・vādanyan
леван габриадзе,レヴァン・ガブリアゼ,revan・gaburiaze
алексей габрилович,アレクセイ・ガブリロヴィッチ,arekusei・gaburirovitchi
павсекакий богданов,パヴセカキ・ボグダノフ,pavusekaki・bogudanofu
владимир богданов,ウラジーミル・ボグダノフ,urajīmiru・bogudanofu
сергей григорьянц,セルゲイ・グリゴリアンツ,serugei・gurigoriantsu
елена гагарина,エレーナ・ガガーリナ,erēna・gagārina
александр дворников,アレクサンドル・ドヴォルニコフ,arekusandoru・dovuォrunikofu
екатерина болдышева,エカテリーナ・ボルドゥシェワ,ekaterīna・borudushewa
владимир альбертович гайкович,ウラジーミル・アルベルトヴィッチ・ガイコヴィッチ,urajīmiru・aruberutovitchi・gaikovitchi
михаил дегтярёв,ミハイル・デグチャレフ,mihairu・degucharefu
андрей дементьев,アンドレイ・デミエンティエフ,andorei・demientiefu
сергей гаврилов,セルゲイ・ガヴリーロフ,serugei・gavurīrofu
александр галин,アレクサンドル・ガーリン,arekusandoru・gārin
андрей денисов,アンドレイ・デニソフ,andorei・denisofu
пётр грушин,ピョートル・グルーシン,pyōtoru・gurūshin
лянка грыу,リャンカ・グルィウ,ryanka・guruィu
наталья громушкина,ナタリア・グロムシキナ,nataria・guromushikina
анатолий громыко,アナトリー・グロムイコ,anatorī・guromuiko
ирина губанова,イリーナ・グバーノワ,irīna・gubānowa
большова леонідівна,アンナ・ボルショワ,anna・borushowa
александр галкин,アレクサンドル・ガルキン,arekusandoru・garukin
борис галкин,ボリス・ギャルキン,borisu・gyarukin
александр груздев,アレクサンドル・グルズデフ,arekusandoru・guruzudefu
алёна бондарчук,イェレーナ・ボンダルチューク,yerēna・bondaruchūku
артём вахитов,アルチョム・ヴァヒトフ,aruchomu・vahitofu
наталия гулькина,ナタリア・グルキナ,nataria・gurukina
татьяна васильева,タチアナ・ヴァシレヴァ,tachiana・vashireva
дмитрий губерниев,ドミトリー・グベルニエフ,domitorī・guberuniefu
джиган,ジーガン,jīgan
генрих боровик,ゲンリヒ・ボロヴィク,genrihi・boroviku
евгений джугашвили,エフゲニー・ジュガシビリ,efugenī・jugashibiri
фёдор добронравов,フョードル・ドブロンラヴォフ,fuョーdoru・doburonravuォfu
роман доброхотов,ロマン・ドブロホトフ,roman・doburohotofu
антонина ивановна дмитриева,アントニナ・イワノフナ・ドミトリエワ,antonina・iwanofuna・domitoriewa
евгений велихов,エフゲニー・ベリホフ,efugenī・berihofu
алексей бородавкин,アレクセイ・ボロダフキン,arekusei・borodafukin
наталья гвоздикова,ナタリア・グヴォズディコワ,nataria・guvuォzudikowa
виктор добронравов,ヴィクトル・ドブロヌラヴォフ,vikutoru・doburonuravuォfu
сергей гуриев,セルゲイ・グリエフ,serugei・guriefu
валерий гаркалин,ヴァレリー・ガルカリン,varerī・garukarin
леонид верещагин,レオニド・ヴェレシュチャギン,reonido・vuェreshuchagin
алексей вертков,アレクシー・ヴェルコフ,arekushī・vuェrukofu
андрей бочаров,アンドレイ・ボチャロフ,andorei・bocharofu
рубен дишдишян,ルーベン・ディシュディシュヤン,rūben・dishudishuyan
евгений борунов,エフゲニイ・ボルーノフ,efugenii・borūnofu
николай борцов,ニコライ・ボルツォフ,nikorai・borutsofu
николай добрынин,ニコライ・ドブリニン,nikorai・doburinin
василий бочкарёв,ワシーリー・ボチカリョフ,washīrī・bochikaryofu
таисия вилкова,タイシヤ・ヴィルコバ,taishiya・virukoba
наталья ветлицкая,ナタリア・ベトリスカヤ,nataria・betorisukaya
георгий караханян,ジョージ・カラカニヤン,jōji・karakaniyan
владлен давыдов,ヴラドレン・ダヴィドフ,vuradoren・davidofu
владимир борисович брагинский,ウラジーミル・ボリソヴィチ・ブラジンスキー,urajīmiru・borisovichi・burajinsukī
каринэ георгиан,カリーナ・ゲオルギアン,karīna・georugian
виктор геращенко,ヴィクトル・ゲラシェンコ,vikutoru・gerashenko
оскар фельцман,オスカー・フェルツマン,osukā・ferutsuman
вадим густов,ヴァディム・グストフ,vadimu・gusutofu
александр генис,アレクサンドル・ゲニス,arekusandoru・genisu
алексей алексеевич герман,アレクセイ・ゲルマン・ジュニア,arekusei・geruman・junia
любовь брук,リューボフ・ブルック,ryūbofu・burukku
сергей брилёв,セルゲイ・ブリリョフ,serugei・buriryofu
михаил брашинский,ミハイル・ブラシンスキー,mihairu・burashinsukī
доминик джокер,ドミニク・ジョーカー,dominiku・jōkā
лев винокур,レフ・ヴィノクール,refu・vinokūru
александр винокуров,アレクサンドル・ヴィノクロフ,arekusandoru・vinokurofu
влад сташевский,ヴラッド・スタシェブスキー,vuraddo・sutashebusukī
ирина вирганская,イリーナ・ヴィルガンスカヤ,irīna・virugansukaya
павел брюлло,ポール・ブリュロー,pōru・buryurō
максим виторган,マクシム・ビトーガン,makushimu・bitōgan
максим дахненко,マクシム・ダクネンコ,makushimu・dakunenko
владимир валентинович вихров,ウラジミール・ヴァレンティノヴィッチ・ヴィクロフ,urajimīru・varentinovitchi・vikurofu
марина вишневецкая,マリーナ・ヴィシネヴェツカヤ,marīna・vishinevuェtsukaya
валерий гинзбург,ヴァレリー・ギンツブルグ,varerī・gintsuburugu
эммануил виторган,エマズマユ・ヴィトルガン,emazumayu・vitorugan
вера глаголева,ヴェラ・グラゴレワ,vuェra・guragorewa
людмила власова,リュドミラ・ヴラサバ,ryudomira・vurasaba
ольга бузова,オルガ・ブゾバ,oruga・buzoba
сергей глушко,セルゲイ・グルシコ,serugei・gurushiko
елизавета глинка,エリザベータ・グリンカ,erizabēta・gurinka
илья глинников,イリヤ・グリンキコフ,iriya・gurinkikofu
владимир булгак,ウラジーミル・ブルガーク,urajīmiru・burugāku
рита гладунко,リタ・グラドゥンコ,rita・guradunko
александр власов,アレクサンドル・ウラソフ,arekusandoru・urasofu
никита ефремов,ニキータ・エフレーモフ,nikīta・efurēmofu
людмила гладунко,リュドミラ・グラドゥンコ,ryudomira・guradunko
владимир булгаков,ウラジーミル・ブルガコフ,urajīmiru・burugakofu
екатерина двигубская,エカテリーナ・ドヴィグブスカヤ,ekaterīna・dovigubusukaya
виктор гоголев,ヴィクトル・ゴゴレフ,vikutoru・gogorefu
ярослав жалнин,ヤロスラフ・ジャルニン,yarosurafu・jarunin
ксения буравская,クセニヤ・ブラフスカヤ,kuseniya・burafusukaya
алексей жарков,アレクセイ・ジャルコフ,arekusei・jarukofu
анна жарова,アンナ・ジャーロワ,anna・jārowa
владимир булавин,ウラジーミル・ブラヴィン,urajīmiru・buravin
ольга гобзева,オルガ・ゴブゼバ,oruga・gobuzeba
майя булгакова,マヤ・ブルガコワ,maya・burugakowa
алексей глызин,アレクシー・グリシン,arekushī・gurishin
ирина дубцова,イリーナ・ダブツォワ,irīna・dabutsowa
ольга волкова,オルガ・ボルコバ,oruga・borukoba
эльмади жабраилов,エルマジ・ヤブライロフ,erumaji・yaburairofu
елеазар мелетинский,エレアザール・メレチンスキー,ereazāru・merechinsukī
николай волков,ニコライ・ヴォルコフ,nikorai・vuォrukofu
юрий волков,ユーリ・ヴォルコフ,yūri・vuォrukofu
николай дубинин,ニコライ・ドゥビーニン,nikorai・dubīnin
сергей дубинин,セルゲイ・ドゥビニン,serugei・dubinin
владимир волков,ウラジーミル・ボルコフ,urajīmiru・borukofu
иван волков,イヴァン・ヴォルコフ,ivan・vuォrukofu
данила дунаев,ダニーラ・ドゥナーエフ,danīra・dunāefu
леонид волков,レオニード・ボルコフ,reonīdo・borukofu
сергей жвачкин,セルゲイ・ジヴァーチキン,serugei・jivāchikin
аркадий волож,アルカジー・ヴォロジ,arukajī・vuォroji
владимир жеребцов,ウラジミール・ゼレブツォフ,urajimīru・zerebutsofu
максим дунаевский,マクシム・ドナエフスキー,makushimu・donaefusukī
тихон жизневский,ティホン・ジズネフスキー,tihon・jizunefusukī
виктор дулов,ヴィクトル・ドゥロフ,vikutoru・durofu
таисия игуменцева,タイシャ・イグメンツェバ,taisha・igumentseba
ростислав гольдштейн,ロスティスラフ・ゴールドシュタイン,rosutisurafu・gōrudoshutain
николай дудов,ニコライ・ドゥードフ,nikorai・dūdofu
станислав дужников,スタニスラフ・ドゥジニコフ,sutanisurafu・dujinikofu
кира головко,キーラ・ゴロフコ,kīra・gorofuko
алина булынко,アリナ・ブリンコ,arina・burinko
ислам дугучиев,イスラム・ドグチエフ,isuramu・doguchiefu
александр волошин,アレクサンドル・ヴォローシン,arekusandoru・vuォrōshin
галина волчек,ガリーナ・ボルチェク,garīna・borucheku
брайан идову,ブライアン・イドウ,buraian・idou
дмитрий дьяченко,ドミトリー・ディアチェンコ,domitorī・diachenko
вячеслав дудка,ヴャチェスラフ・ドゥートカ,vuャchesurafu・dūtoka
лада дэнс,ラダ・ダンス,rada・dansu
аркадий вольский,アルカジー・ヴォリスキー,arukajī・vuォrisukī
владимир ильин,ウラジミール・イリン,urajimīru・irin
константин ильковский,コンスタンチン・イリコフスキー,konsutanchin・irikofusukī
нина гомиашвили,ニーナ・ゴミアシュビリ,nīna・gomiashubiri
александр жученко,アレクサンドル・シュチェンコ,arekusandoru・shuchenko
ирина забияка,イリーナ・ザビヤカ,irīna・zabiyaka
василий голубев,ヴァシリー・ゴルブエフ,vashirī・gorubuefu
надежда вольпин,ナデジュダ・ヴォーリピン,nadejuda・vuォーripin
мария горбань,マリア・ゴルバン,maria・goruban
виктор ильченко,ヴィクトル・イルチェンコ,vikutoru・iruchenko
михаил голубович,ムィハーイロ・ホルボヴィチ,muィhāiro・horubovichi
жорин викторович,セルゲイ・ゾーリン,serugei・zōrin
михаил евдокимов,ミハイル・エヴドキモフ,mihairu・evudokimofu
бедрос киркоров,ベドロス・キルコロフ,bedorosu・kirukorofu
дарья жукова,ダーシャ・ジューコワ,dāsha・jūkowa
алексей журавлёв,アレクセイ・ジュラフリョフ,arekusei・jurafuryofu
дмитрий иосифов,ドミートリー・ヨシフォフ,domītorī・yoshifofu
илья иосифов,イリヤ・イオシフォフ,iriya・ioshifofu
вася обломов,ヴァシャ・オブロモフ,vasha・oburomofu
владимир алексеевич кириллин,ウラジーミル・アレクセーエヴィチ・キリリン,urajīmiru・arekusēevichi・kiririn
михаил евланов,ミハイル・イェヴラノフ,mihairu・yevuranofu
владимир илюхин,ウラジーミル・イリューヒン,urajīmiru・iryūhin
виктор илюшин,ヴィクトル・イリューシン,vikutoru・iryūshin
алексей кирющенко,アレクセイ・キリシチェンコ,arekusei・kirishichenko
ирина ортман,イリーナ・オルツマン,irīna・orutsuman
полина иодис,ポリーナ・アイオディス,porīna・aiodisu
павел ипатов,パーヴェル・イパートフ,pāvuェru・ipātofu
тиффани загорски,ティファニー・ザホースキ,tifanī・zahōsuki
денис евстигнеев,デニス・イェフスティグニェフ,denisu・yefusutiguniェfu
ильназ загитов,イルナズ・ザギトフ,irunazu・zagitofu
александр заверюха,アレクサンドル・ザヴェリューハ,arekusandoru・zavuェryūha
шамиль завуров,シャミル・ザヴロフ,shamiru・zavurofu
илья клебанов,イリヤ・クレバノフ,iriya・kurebanofu
виктория исакова,ビクトリヤ・イザコバ,bikutoriya・izakoba
антон зайцев,アントン・ザイツェフ,anton・zaitsefu
надежда киселёва,リャリャ・チョルナヤ,ryarya・chorunaya
вячеслав кислицын,ヴャチェスラフ・キスリツィン,vuャchesurafu・kisuritsin
юрий клименко,ユーリー・クリメンコ,yūrī・kurimenko
леонид замятин,レオニード・ザミャーチン,reonīdo・zamyāchin
алексей климушкин,アレクセイ・クリムシュキン,arekusei・kurimushukin
борис клюев,ボリス・クリューエフ,borisu・kuryūefu
кирилл клепалов,キリル・クレパラフ,kiriru・kureparafu
николай ениколопов,ニコライ・イェニコロポフ,nikorai・yenikoropofu
николай егоров,ニコライ・エゴロフ,nikorai・egorofu
дмитрий константинович киселёв,ドミトリー・コンスタンチーノヴィチ・キセリョフ,domitorī・konsutanchīnovichi・kiseryofu
пётр зайченко,ピョートル・ザイチェンコ,pyōtoru・zaichenko
екатерина еланская,エカテリーナ・エランスカヤ,ekaterīna・eransukaya
алексей кабанов,アレクシー・カバノフ,arekushī・kabanofu
борис корчевников,ボリス・コルチェフニコフ,borisu・koruchefunikofu
равиль исьянов,ラビル・イスヤノフ,rabiru・isuyanofu
сергей сирович кавагое,セルゲイ・シロビッチ・カワゴエ,serugei・shirobitchi・kawagoe
сергей епишев,セルゲイ・イェピシェフ,serugei・yepishefu
владимир зайцев,ウラジミール・ザイツェフ,urajimīru・zaitsefu
денис клявер,デニス・クライアバー,denisu・kuraiabā
виктор зангиев,ビクトル・ザンギエフ,bikutoru・zangiefu
владимир климов,ヴラジーミル・クリモフ,vurajīmiru・kurimofu
владимир епископосян,ウラジミール・イェピスコポシアン,urajimīru・yepisukoposhian
владимир каданников,ウラジミール・カダニコフ,urajimīru・kadanikofu
лена князева,エレナ・キニャエツァ,erena・kinyaetsa
сати казанова,サティ・カザノワ,sati・kazanowa
павел владимирович еремеев,パヴェル・ウラジミロヴィッチ・イェレメイェフ,pavuェru・urajimirovitchi・yeremeyefu
сергей корягин,セルゲイ・コリャギン,serugei・koryagin
сергей зверев,セルゲイ・ゼヴェレフ,serugei・zevuェrefu
зоя кайдановская,ゾヤ・ケイダノスカヤ,zoya・keidanosukaya
виктор костецкий,ヴィクトル・コステッツキー,vikutoru・kosutettsukī
павел есенин,パベル・イエセニン,paberu・iesenin
виктор казанцев,ヴィクトル・カザンツェフ,vikutoru・kazantsefu
мария звонарёва,マリヤ・ズヴォナリョワ,mariya・zuvuォnaryowa
ирина коваленко,イリーナ・コヴァレンコ,irīna・kovarenko
антон зацепин,アントン・ザットセイン,anton・zattosein
ксения олеговна лавроваглинка,クセニヤ・ラブロバ・グリンカ,kuseniya・raburoba・gurinka
максим лагашкин,マクシム・ラガシュキン,makushimu・ragashukin
виктор косых,マレク・ペストラク,mareku・pesutoraku
александра марковна захарова,アレクサンドラ・マルコフナ・ザカロワ,arekusandora・marukofuna・zakarowa
владимир котт,ウラジミール・コット,urajimīru・kotto
леонид калашников,レオニード・カラシニコフ,reonīdo・karashinikofu
юлия ковальчук,ユリア・コヴァレック,yuria・kovarekku
юрий ковальчук,ユーリ・コヴァルチューク,yūri・kovaruchūku
владимир ерёмин,ウラジミール・エリョミン,urajimīru・eryomin
дмитрий коган,ドミトリー・コーガン,domitorī・kōgan
олег кожемяко,オレグ・コジェミャコ,oregu・kojemyako
владимир игоревич кожин,ウラジミール・イーゴレヴィチ・コスイギン,urajimīru・īgorevichi・kosuigin
николай козак,ニコライ・コザック,nikorai・kozakku
евгений лазарев,エフゲニー・ラザレフ,efugenī・razarefu
валерия ланская,ヴァレリア・ランスカヤ,vareria・ransukaya
игорь зеленский,イーゴリ・ゼレンスキー,īgori・zerensukī
алексей кравченко,アレクセイ・クラヴチェンコ,arekusei・kuravuchenko
александр канторов,アレクサンドル・カントロフ,arekusandoru・kantorofu
андрей козицын,アンドレイ・コジツィン,andorei・kojitsin
александр козлов,アレクサンドル・コズロフ,arekusandoru・kozurofu
галина кравченко,ガリーナ・クラフチェンコ,garīna・kurafuchenko
сандро кодзасов,サンドロ・コジャソフ,sandoro・kojasofu
анна каменковапавлова,アンナ・カメンコヴァ,anna・kamenkova
виктор золотов,ヴィクトル・ゾロトフ,vikutoru・zorotofu
антон красовский,アントン・クラソフスキー,anton・kurasofusukī
владислав зотин,ヴラディスラフ・ゾーチン,vuradisurafu・zōchin
анна ларина,アンナ・ラーリナ,anna・rārina
михаил козлов,ミハイル・コズロフ,mihairu・kozurofu
артём левин,アーテム・レヴィン,ātemu・revin
павел лебешев,パベル・レベシェフ,paberu・rebeshefu
марина левтова,マリーナ・レヴトヴァ,marīna・revutova
валентина легкоступова,ヴァレンチーナ・レヒコストゥポワ,varenchīna・rehikosutupowa
аристарх крапивин,アリスタルフ・クラピヴィン,arisutarufu・kurapivin
кокошин афанасьевич,アンドレイ・ココーシン,andorei・kokōshin
михаил кокшенов,ミハイル・コクシェノフ,mihairu・kokushenofu
юлий карасик,ユーリー・カラーシク,yūrī・karāshiku
юрий колокольников,ユーリ・コロコリニコフ,yūri・korokorinikofu
леонид зорин,レオニード・ゾーリン,reonīdo・zōrin
владимир капустин,ウラジミール・カプースチン,urajimīru・kapūsuchin
николай колесов,ニコライ・コレソフ,nikorai・koresofu
эльза леждей,エルザ・レジデイ,eruza・rejidei
сергей каракаев,セルゲイ・カラカエフ,serugei・karakaefu
ирина леонова,イリーナ・レオノヴァ,irīna・reonova
авангард леонтьев,アバンガルド・レオンティエフ,abangarudo・reontiefu
мира кольцова,ミーラ・コリツォーワ,mīra・koritsōwa
александр комин,アレクサンドル・コミン,arekusandoru・komin
максим леонидов,マキシム・レオニードフ,makishimu・reonīdofu
крис касперски,クリス・カスペルスキー,kurisu・kasuperusukī
сергей колтаков,セルゲイ・コルタコフ,serugei・korutakofu
сергей карасёв,セルゲイ・カラセフ,serugei・karasefu
сергей лемох,セルゲイ・レモク,serugei・remoku
николай кропачев,ニコライ・クロパチェフ,nikorai・kuropachefu
владимир колосов,ウラジーミル・コロソフ,urajīmiru・korosofu
михаил кричман,ミハイル・クリチマン,mihairu・kurichiman
ирина ясина,イリーナ・ヤシナ,irīna・yashina
михаил крылов,ミハイル・クリロフ,mihairu・kurirofu
роман карцев,ロマン・カルツェフ,roman・karutsefu
елена кондулайнен,エレナ・コンドゥライネン,erena・kondurainen
олег кувшинников,オレグ・クフシンニコフ,oregu・kufushinnikofu
константин крюков,コンスタンティン・クリーウコブ,konsutantin・kurīukobu
светлана иванова,スヴェトラーナ・イワノーワ,suvuェtorāna・iwanōwa
елена ксенофонтова,エレーナ・クセノフォントワ,erēna・kusenofontowa
аристарх ливанов,アリスタルフ・リヴァノフ,arisutarufu・rivanofu
дмитрий ливанов,ドミートリー・リヴァーノフ,domītorī・rivānofu
людмила крылова,ライアミラ・クリロバ,raiamira・kuriroba
лигалайз,ライゲーション,raigēshon
илзе лиепа,イルゼ・リエパ,iruze・riepa
андрис лиепа,アンドリス・リエパ,andorisu・riepa
владимир константинов,ヴォロディミール・コンスタンティノフ,vuォrodimīru・konsutantinofu
людмила максакова,リュドミラ・マクサコバ,ryudomira・makusakoba
владислав лисовец,ウラジスラフ・リソヴェッツ,urajisurafu・risovuェttsu
екатерина копанова,エカテリーナ・コパノワ,ekaterīna・kopanowa
крис кельми,クリス・ケリミ,kurisu・kerimi
юлия липницкая,ユリア・リプニツカヤ,yuria・ripunitsukaya
алёна ивченко,アリョナ・イフチェンコ,aryona・ifuchenko
николай максюта,ニコライ・マクシュータ,nikorai・makushūta
андрей копылов,アンドレイ・コピィロフ,andorei・kopiィrofu
лев кузнецов,レフ・クズネツォフ,refu・kuzunetsofu
иван малахов,イワン・マラホフ,iwan・marahofu
владислав копп,ヴラディスラフ・コップ,vuradisurafu・koppu
владимир литвиненко,ウラジミール・リトビネンコ,urajimīru・ritobinenko
степан михалков,ステパン・ミハルコフ,sutepan・miharukofu
анна михалкова,アンナ・ミハルコワ,anna・miharukowa
екатерина маликова,エカテリーナ・マリコバ,ekaterīna・marikoba
инна маликова,インナ・マリコバ,inna・marikoba
владимир коренев,ヴラジミール・コレネフ,vurajimīru・korenefu
юрий келдыш,ユーリー・ケルドゥイシュ,yūrī・keruduishu
лариса малеванная,ラリサ・マレバンナヤ,rarisa・marebannaya
александр ломинский,アレクサンドル・ロミンスキー,arekusandoru・rominsukī
ольга ломоносова,オルガ・ロモノソヴァ,oruga・romonosova
агния кузнецова,アグニヤ・クズネツォワ,aguniya・kuzunetsowa
юлия михальчик,ユーリヤ・ミハーリチク,yūriya・mihārichiku
анна михайловская,アンナ・ミハイロフスカヤ,anna・mihairofusukaya
ярослав кузьминов,ヤロスラフ・クズミノフ,yarosurafu・kuzuminofu
алексей кузьмицкий,アレクセイ・クジミツキー,arekusei・kujimitsukī
лариса луппиан,ラリサ・ルピアン,rarisa・rupian
марина лошак,マリーナ・ロシャク,marīna・roshaku
валентина геннадьевна лукащук,バレンティーナ・ゲナデヴォナ・ロカシェツェーゼク,barentīna・genadevuォna・rokashetsēzeku
михаил мишустин,ミハイル・ミシュスチン,mihairu・mishusuchin
борис щербаков,ボリス・シチェルバコフ,borisu・shicherubakofu
юрий мамин,ユーリー・マミン,yūrī・mamin
евгений кулаков,エフゲニー・クラコフ,efugenī・kurakofu
анатолий куликов,アナトリー・クリコフ,anatorī・kurikofu
мария куликова,マリア・クルコヴァ,maria・kurukova
геннадий кулик,ゲンナジー・クーリック,gennajī・kūrikku
лариса луста,ラリーサ・ルースタ,rarīsa・rūsuta
георгий мовсесян,ゲオルギー・モフセシャン,georugī・mofuseshan
георгий мамедов,ゲオルギー・マメードフ,georugī・mamēdofu
надежда маркина,ナデシュダ・マキナ,nadeshuda・makina
мурат кумпилов,ムラ・クムリノフ,mura・kumurinofu
владимир курилов,クリーロフ・ウラジミル,kurīrofu・urajimiru
александр любимов,アレクサンドル・リュビモフ,arekusandoru・ryubimofu
борис любимов,ボリス・リュビモフ,borisu・ryubimofu
дмитрий куличков,ドミトリー・クーリッコフ,domitorī・kūrikkofu
валентин купцов,ヴァレンティン・クプツォフ,varentin・kuputsofu
дарья мороз,ダリア・モロズ,daria・morozu
дмитрий носов,ドミトリー・ノソフ,domitorī・nosofu
татьяна овсиенко,タチアナ・オビシェンコ,tachiana・obishenko
елена лядова,エレナ・リャドワ,erena・ryadowa
александр марков,アレクサンドル・マルコフ,arekusandoru・marukofu
елена кустарова,エレーナ・クスタロワ,erēna・kusutarowa
руслан курашов,ルスラン・クラショフ,rusuran・kurashofu
валерий ободзинский,ヴァレリー・オボジンスキー,varerī・obojinsukī
илья любимов,イラ・リュウィモフ,ira・ryuwimofu
владимир лёвкин,ウラジミール・レフキン,urajimīru・refukin
полина кутепова,ポリーナ・クテポワ,porīna・kutepowa
александр маршал,アレクサンドル・マーシャル,arekusandoru・māsharu
карен оганесян,カレン・オゲーンズヤン,karen・ogēnzuyan
валерий кухарешин,ヴァレリー・クカレシン,varerī・kukareshin
равшана куркова,ラヴシャナ・クルコワ,ravushana・kurukowa
дмитрий курляндский,ドミトリー・クルリャンツキー,domitorī・kururyantsukī
ксения кутепова,クセニヤ・クテポヴァ,kuseniya・kutepova
михаил одинцов,ミハイル・オジンツォーフ,mihairu・ojintsōfu
алексей пиманов,アレクセイ・ピマノフ,arekusei・pimanofu
эдуард марцевич,エドワルド・マルツェビッチ,edowarudo・marutsebitchi
анатолий кучерена,アナトリー・クチェレナ,anatorī・kucherena
татьяна окуневская,タチアナ・オクネフスカヤ,tachiana・okunefusukaya
пирогов альфредович,キリル・ピロゴフ,kiriru・pirogofu
александр олешко,アレクサンドル・オレシコ,arekusandoru・oreshiko
эдуард мурзаев,エドゥアルト・ムルザエフ,eduaruto・muruzaefu
сергей писаренко,セルゲイ・ピサレンコ,serugei・pisarenko
дагун омаев,ダグン・オマエフ,dagun・omaefu
игорь письменный,イーゴリ・ピズメンニー,īgori・pizumennī
игорь матвиенко,イゴール・マトビエンコ,igōru・matobienko
ирина масленникова,イリーナ・マスレニコワ,irīna・masurenikowa
фарид мухаметшин,ファリド・ムハメトシン,farido・muhametoshin
алексей олейник,アレクセイ・オレイニク,arekusei・oreiniku
андрей плахов,アンドレイ・プラーホフ,andorei・purāhofu
евгений муров,エフゲニー・ムロフ,efugenī・murofu
михаил муромов,ミハイル・ムロモフ,mihairu・muromofu
дмитрий мазепин,ドミトリー・マゼピン,domitorī・mazepin
ирина мазуркевич,イリーナ・マズルケビッチ,irīna・mazurukebitchi
сергей маковецкий,セルゲイ・マコヴェツキー,serugei・makovuェtsukī
ольга лукас,オリガ・ルーカス,origa・rūkasu
сергей маховиков,セルゲイ・マホビコフ,serugei・mahobikofu
агата муцениеце,アガテ・ムツェニエツェ,agate・mutsenietse
борис плотников,ボリス・プロトニコフ,borisu・purotonikofu
владимир плотников,ウラジーミル・プロトニコフ,urajīmiru・purotonikofu
ольга машная,オルガ・マッシュナヤ,oruga・masshunaya
дарья повереннова,ダリヤ・ポヴェレノヴァ,dariya・povuェrenova
александр назаров,アレクサンドル・ナザロフ,arekusandoru・nazarofu
погодін георгійович,オレグ・ポゴーディン,oregu・pogōdin
александр ревва,アレクサンドル・リェブバ,arekusandoru・riェbuba
валерия зенкова,ヴァレリア・ゼンコワ,vareria・zenkowa
валерий синицын,ヴァレリー・シニツィン,varerī・shinitsin
кирилл плетнёв,キリル・プレトニョフ,kiriru・puretonyofu
анна плетнёва,アナ・プレトニョワ,ana・puretonyowa
исхак машбаш,イシャク・マッシュバッシュ,ishaku・masshubasshu
регина мянник,レジーナ・ミアニク,rejīna・mianiku
олег погудин,オレグ・ポーグディン,oregu・pōgudin
дмитрий назаров,ドミトリー・ナザロフ,domitorī・nazarofu
борис репетур,ボリス・レペトゥール,borisu・repetūru
евгений осин,エヴゲーニー・オシン,evugēnī・oshin
иван мельников,イヴァン・メルニコフ,ivan・merunikofu
борис надеждин,ボリス・ナジェージュジン,borisu・najējujin
татьяна надеждина,タチアナ・ナジェージュジナ,tachiana・najējujina
анна назарьева,アンナ・ナザレワ,anna・nazarewa
евгений наздратенко,エフゲニー・ナズドラチェンコ,efugenī・nazudorachenko
леонид полежаев,レオニード・ポレジャエフ,reonīdo・porejaefu
владимир полеванов,ウラジーミル・ボレヴァノフ,urajīmiru・borevanofu
елена подкаминская,エレナ・ポドカミンスカヤ,erena・podokaminsukaya
михаил мень,ミハイル・メン,mihairu・men
александр александрович наумов,アレクサンドル・アレクサンドロヴィチ・ナウモフ,arekusandoru・arekusandorovichi・naumofu
александр аронович наумов,アレクサンドル・アロノヴィチ・ナウモフ,arekusandoru・aronovichi・naumofu
валерий полиенко,ワレリー・ポリエンコ,warerī・porienko
александр половцев,アレクサンドル・ポロフチェフ,arekusandoru・porofuchefu
дмитрий полоз,ドミトリ・ポロズ,domitori・porozu
иван полозков,イワン・ポロスコフ,iwan・porosukofu
сергей павлов,セルゲイ・パブロフ,serugei・paburofu
гела месхи,ゲラ・メスキー,gera・mesukī
дмитрий месхиев,ドミトリー・メスヒエフ,domitorī・mesuhiefu
юлия меньшова,ユリヤ・メニショワ,yuriya・menishowa
