andrzej wajda,アンジェイ・ワイダ,anjei・waida
gosia andrzejewicz,ゴーシャ・アンジェイエヴィッチ,gōsha・anjeievitchi
maciej popko,マチェイ・ポプコ,machei・popuko
karol badyna,カロル・バディナ,karoru・badina
tomasz kot,トマシュ・コット,tomashu・kotto
marek krajewski,マレック・クライェフスキ,marekku・kurayefusuki
kazimierz gilarski,カジミェシュ・ギラルスキ,kajimiェshu・girarusuki
władysław filipowiak,ヴワディスワフ・フィリポヴィアク,vuwadisuwafu・firipoviaku
kazimierz duninmarkiewicz,カジミェシュ・マルキエビッチ,kajimiェshu・marukiebitchi
leszek deptuła,レシェク・デプトゥワ,resheku・deputuwa
paweł mąciwoda,パウエル・マキオダ,paueru・makioda
lucjan siemieński,ルツィヤン・シェミェンスキ,rutsiyan・shemiェnsuki
jarosław kaczmarczyk,ヤロスラフ・カチマルチク,yarosurafu・kachimaruchiku
oleg łatyszonek,オレグ・ワティゾネク,oregu・watizoneku
maksymilian piotrowski,マクシミリアン・ピョトロフスキ,makushimirian・pyotorofusuki
dariusz szlachetko,ダリウシュ・シュラヘトコ,dariushu・shurahetoko
andrzej towiański,アンジェイ・トヴィアンスキ,anjei・toviansuki
monika jagaciak,モニカ・ヤガチャク,monika・yagachaku
paweł fajdek,パヴェウ・ファジェク,pavuェu・fajeku
mariusz błaszczak,マリュシュ・ブワシュチャク,maryushu・buwashuchaku
adam asnyk,アダム・アスニク,adamu・asuniku
adam borys,アダム・ボリス,adamu・borisu
adam dziewoński,アダム・ジウォンスキー,adamu・jiwonsukī
andrzej dziubek,アンジェイ・ジュペック,anjei・jupekku
piotr perkowski,ピオトル・ペルコフスキ,piotoru・perukofusuki
marian brandys,マリアン・ブランディス,marian・burandisu
alexander gruszynski,アレクサンダー・グラジンスキー,arekusandā・gurajinsukī
cywia lubetkin,ツィヴィア・ルベトキン,tsivia・rubetokin
ala gertner,アラ・ガルトナー,ara・garutonā
marek oramus,マレク・オラムス,mareku・oramusu
alojzy orszulik,アロイジ・オルシュリク,aroiji・orushuriku
henryk borowski,ヘンリック・ボロフスキ,henrikku・borofusuki
stanislav andreski,スタニスラフ・アンジェイエフスキー,sutanisurafu・anjeiefusukī
bernard ładysz,ベルナルド・ワディシュ,berunarudo・wadishu
krzesimir dębski,クシェシミル・デプスキ,kusheshimiru・depusuki
krzysztof baculewski,クシシュトフ・バツレフスキ,kushishutofu・batsurefusuki
grzegorz wojtkowiak,グレゼゴルツ・ボジュコビァク,gurezegorutsu・bojukobiァku
adam ferency,アダム・フェレンツィ,adamu・ferentsi
krzysztof pomian,クシシュトフ・ポミャン,kushishutofu・pomyan
piotr kamler,ピョートル・カムラー,pyōtoru・kamurā
marta zolynska,マルタ・ゾリンスカ,maruta・zorinsuka
wiesław boryś,ヴィエスワフ・ボリス,viesuwafu・borisu
marian opania,マリアン・オパニア,marian・opania
irina zaricka,イリーナ・ザリツカヤ,irīna・zaritsukaya
anna kamieńska,アンナ・カミエンスカ,anna・kamiensuka
anita lobel,アニタ・ローベル,anita・rōberu
eugeniusz knapik,エウゲニウシュ・クナピック,eugeniushu・kunapikku
magdalena frąckowiak,マグダレナ・フラッコウィアック,magudarena・furakkowiakku
borys lankosz,ボリス・ランコシュ,borisu・rankoshu
wojciech skalmowski,ボイチェフ・スカルモフスキ,boichefu・sukarumofusuki
zbigniew rychlicki,ズビグニエフ・ルィフリツキ,zubiguniefu・ruィfuritsuki
janusz kochanowski,ヤヌシュ・コハノフスキ,yanushu・kohanofusuki
bronisław kwiatkowski,ブロニスワフ・クフャトコフスキ,buronisuwafu・kufuャtokofusuki
ryszard ostrowski,リシャルド・オストロフスキー,risharudo・osutorofusukī
mikołaj trąba,ミコライ・トラバ,mikorai・toraba
ryszard legutko,リチャード・ウェグトゥコ,richādo・wegutuko
henryk iwański,ヘンリク・イヴァンスキ,henriku・ivansuki
michał żebrowski,ミハウ・ジェブロフスキ,mihau・jeburofusuki
witold hurewicz,ヴィトルト・フレヴィチ,vitoruto・furevichi
agnieszka pachałko,アグニスカ・パハウコ,agunisuka・pahauko
waldemar kita,ヴァルデマール・キタ,varudemāru・kita
teresa maryańska,テレサ・マリヤンスカ,teresa・mariyansuka
czesław wołłejko,チェスワフ・ヴォレイコ,chesuwafu・vuォreiko
samuel pisar,サミュエル・ピサール,samyueru・pisāru
monika anna wojtyllo,モニカ・アンナ・ヴォイティロ,monika・anna・vuォitiro
aleksander doba,アレクサンデル・ドバ,arekusanderu・doba
szymon mondszajn,シモン・モンザン,shimon・monzan
kristof konrad,クリストフ・コンラッド,kurisutofu・konraddo
jakub avigdor,ヤコブ・アフィグドール,yakobu・afigudōru
andrzej czok,アンジェイ・チョク,anjei・choku
aleksander sulkiewicz,アレクサンデル・スルキェヴィチ,arekusanderu・surukiェvichi
stefan kudelski,ステファン・クデルスキ,sutefan・kuderusuki
agata durajczyk,アガタ・ヴィトコフスカ,agata・vitokofusuka
henryk machalica,ヘンリック・マハリツァ,henrikku・maharitsa
ludwik abramowicz,ルドヴィク・アブラモヴィチ,rudoviku・aburamovichi
alf francis,アルフ・フランシス,arufu・furanshisu
wacław laska,ヴァーツラフ・ラースカ,vātsurafu・rāsuka
karol sabath,カロル・サバト,karoru・sabato
aron cajtlin,アーロン・ゼイトリン,āron・zeitorin
adam karol czartoryski,アダム・カロル・チャルトリスキ,adamu・karoru・charutorisuki
alfred miodowicz,アルフレト・ミョドヴィチ,arufureto・myodovichi
alfred znamierowski,アルフレト・ズナミエロフスキ,arufureto・zunamierofusuki
dmitrij fiłosofow,ドミトリー・フィロソフォフ,domitorī・firosofofu
agata szymczewska,アガータ・シムチェフスカ,agāta・shimuchefusuka
alicja tchórz,アリツィア・トッシュ,aritsia・tosshu
jerzy,イェジー,yejī
leopold socha,レオポルド・ソハ,reoporudo・soha
janusz wojciechowski,ヤヌシュ・ボイチェホフスキ,yanushu・boichehofusuki
andrzej jaros,アンジェイ・ヤロス,anjei・yarosu
rune holta,ルネ・ホルタ,rune・horuta
józef tracz,ヨーゼフ・トラッチ,yōzefu・toratchi
piotr paleczny,ピオトル・パレチニ,piotoru・parechini
artur waś,アルトゥル・ワス,aruturu・wasu
bronisław grąbczewski,ブロニスラフ・グロンブチェフスキー,buronisurafu・guronbuchefusukī
sławomir fabicki,スワヴォミル・ファビツキ,suwavuォmiru・fabitsuki
tadeusz sygietyński,タデウシュ・スィギェティンスキ,tadeushu・sigiェtinsuki
andrzej fidyk,アンジェイ・フィディック,anjei・fidikku
tadeusz stryjeński,タデウシュ・ストルィイェンスキ,tadeushu・sutoruィyensuki
magdalena grzybowska,マグダレナ・グジボフスカ,magudarena・gujibofusuka
andrzej kostenko,アンジェイ・コステンコ,anjei・kosutenko
seweryn eisenberger,ゼヴリン・アイゼンベルガー,zevurin・aizenberugā
ewa dałkowska,エヴァ・ダウコフスカ,eva・daukofusuka
bartłomiej bonk,バルトロミエ・ボンク,barutoromie・bonku
andrzej grzegorczyk,アンジェイ・グジェゴルチク,anjei・gujegoruchiku
andrzej markowski,アンドレイ・マルコフスキー,andorei・marukofusukī
artur woźniak,アルトゥル・ヴォジニャク,aruturu・vuォjinyaku
kazimierz dłuski,カジュミェシュ・ドウズキ,kajumiェshu・douzuki
andrzej mularczyk,アンジェイ・ムラルチク,anjei・muraruchiku
tomasz dąbal,トマシュ・ダンバル,tomashu・danbaru
stanisław kot,スタンスラフ・コット,sutansurafu・kotto
władysław zamoyski,ヴワディスワフ・ザモイスキ,vuwadisuwafu・zamoisuki
dawid kupczyk,ダヴィッド・クプチュク,daviddo・kupuchuku
andrzej smolik,アンジェイ・スモリク,anjei・sumoriku
waldemar piątek,ヴァルデマル・ピョンテク,varudemaru・pyonteku
jan buzek,ヤン・ブゼク,yan・buzeku
andrzej wąsowski,アンジェイ・ザソフスキ,anjei・zasofusuki
borys szyc,ボリス・スジック,borisu・sujikku
aleksy antkiewicz,アレクシー・アントキービック,arekushī・antokībikku
jerzy harasymowicz,イエジ・ハラシュモーヴィチ,ieji・harashumōvichi
rafał grzelak,ラファウ・グジェラク,rafau・gujeraku
bolesław biegas,ボレスラス・ビエガス,boresurasu・biegasu
witold bańka,ヴィトルト・バンカ,vitoruto・banka
xawery żuławski,クサヴェリ・ジュワフスキ,kusavuェri・juwafusuki
józef boguski,ユゼフ・ボグスキー,yuzefu・bogusukī
anna gornostaj,アンナ・ゴルノスタジ,anna・gorunosutaji
józef lewoniewski,ユゼフ・レヴォニェフスキ,yuzefu・revuォniェfusuki
patrycja maliszewska,パトリシア・マリジェフスカ,patorishia・marijefusuka
ania marson,アニア・マーソン,ania・māson
agnieszka jerzyk,アグニェシュカ・イェジック,aguniェshuka・yejikku
marian kozłowski,マリアン・コズラウスキー,marian・kozurausukī
ludwik bronarski,ルドヴィク・ブロナルスキ,rudoviku・buronarusuki
paweł frenkel,パウエル・フレンキエル,paueru・furenkieru
anna jagaciak,アンナ・ジャガシアク,anna・jagashiaku
anna romantowska,アンナ・ロマントフスカ,anna・romantofusuka
anna maria klechniowska,アンナ・マリア・クレフニオフスカ,anna・maria・kurefuniofusuka
kora,コラ,kora
antoni kocjan,アントニ・コツィアン,antoni・kotsian
zuzanna efimienko,スザンナ・エフィミエンコ,suzanna・efimienko
charles sterling,シャルル・ステルラン,sharuru・suteruran
antoni albrecht wilhelm radziwiłł,アルブレフト・アントニ・ヴィルヘルム・ラジヴィウ,aruburefuto・antoni・viruherumu・rajiviu
dorota zięciowska,ドロタ・ジェチョフスカ,dorota・jechofusuka
jan ziobro,ヤン・ジョブロ,yan・joburo
mateusz damięcki,マテウス・ダミエッキ,mateusu・damiekki
stefan krukowski,ステファン・クルコフスキ,sutefan・kurukofusuki
marcelina zawadzka,マルツェリナ・ザヴァツカ,marutserina・zavatsuka
andrzej woźniak,アンジェイ・ヴォジニャク,anjei・vuォjinyaku
czesław zuber,チェスワフ・ズベル,chesuwafu・zuberu
augustyn józef czartoryski,アウグスティン・ユゼフ・チャルトリスキ,augusutin・yuzefu・charutorisuki
edyta witkowska,エディータ・ヴィトコフスカ,edīta・vitokofusuka
jan alfred szczepański,ヤン・アルフレト・シュチェバンスキ,yan・arufureto・shuchebansuki
doda conrad,ドダ・コンラッド,doda・konraddo
maurycy karasowski,モーリッツ・カラソフスキ,mōrittsu・karasofusuki
stefan kieniewicz,ステファン・キェニェーヴィチ,sutefan・kiェniェーvichi
bartolommeo berrecci,バルトロメオ・ベレッチ,barutoromeo・beretchi
michael szwarc,マイケル・シュワルツ,maikeru・shuwarutsu
stasys eidrigevičius,スタシス・エイドリゲヴィチウス,sutashisu・eidorigevichiusu
alfred christlieb kalischer,アルフレート・クリストリープ・カリシャー,arufurēto・kurisutorīpu・karishā
michał kamieński,ミハウ・カミェニスキ,mihau・kamiェnisuki
barbara buczek,バルバラ・ブチェク,barubara・bucheku
jan kamieniecki,ヤン・カミェニェツキ,yan・kamiェniェtsuki
andrzej nadolski,アンジェイ・ナドルスキ,anjei・nadorusuki
artur ruciński,アルトゥル・ルキンスキー,aruturu・rukinsukī
elwira seroczyńska,エルビラ・セロチンスカ,erubira・serochinsuka
ludwik rajchman,ルドヴィク・ライヒマン,rudoviku・raihiman
bartłomiej kasprzykowski,バルテック・カスプシコフスキ,barutekku・kasupushikofusuki
bartłomiej świderski,バルトウォミエイ・シフィデルスキ,barutowomiei・shifiderusuki
wacław kłoczkowski,ヴァツワフ・クウォチュコフスキ,vatsuwafu・kuwochukofusuki
jarosław kalinowski,ヤロスワフ・カリノフスキ,yarosuwafu・karinofusuki
dominik rainer radziwiłł,ドミニク・レイネル・ラジヴィウ,dominiku・reineru・rajiviu
sebastian karpiniuk,セバスティアン・カルピニュク,sebasutian・karupinyuku
piotr machalica,ピョートル・マハリツァ,pyōtoru・maharitsa
baruch lumet,バルーク・ルメット,barūku・rumetto
sebastian janikowski,セバスチャン・ジャニコウスキー,sebasuchan・janikousukī
gabriela wojtowicz,ガブリエラ・ボイトビッチ,gaburiera・boitobitchi
gene gutowski,ジーン・グトウスキー,jīn・gutousukī
bolesław kon,ボレスワフ・コン,boresuwafu・kon
bolesław kontrym,ボレスワフ・コントリム,boresuwafu・kontorimu
henryk łowmiański,ヘンルィク・ウォヴミャンスキ,henruィku・wovumyansuki
witold doroszewski,ヴィトルト・ドロシェフスキ,vitoruto・doroshefusuki
kinga burza,キンガ・ブーザ,kinga・būza
helena pilejczyk,ヘレナ・ピレイチク,herena・pireichiku
marian sawa,マリアン・サヴァ,marian・sava
wiktor thommée,ヴィクトル・トンメー,vikutoru・tonmē
bronisław abramowicz,ブロニスワフ・アブラモヴィチ,buronisuwafu・aburamovichi
anna nehrebecka,アンナ・ネレベッカ,anna・nerebekka
roman polko,ロマン・ポルコ,roman・poruko
roman jackiw,ローマン・ジャッキウ,rōman・jakkiu
jan gawroński,ヤン・ガヴロニスキ,yan・gavuronisuki
jan kanty pawluśkiewicz,ヤン・カンティ・パヴルシキェヴィチ,yan・kanti・pavurushikiェvichi
janusz różycki,ヤヌシュ・ルジツキ,yanushu・rujitsuki
janusz kubicki,ヤヌス・クビツキ,yanusu・kubitsuki
wiera krzyżanowska,ヴェーラ・クリジャノフスカヤ,vuェーra・kurijanofusukaya
ryszard lenczewski,リシャルト・レンチェフスキ,risharuto・renchefusuki
jakub gierszał,ヤコブ・ギエルシャウ,yakobu・gierushau
jakub krzewina,ヤクブ・クジェヴィナ,yakubu・kujevina
józef franczak,ユゼフ・フランチャク,yuzefu・furanchaku
czesław petelski,チェスワフ・ペテルスキ,chesuwafu・peterusuki
włodzimierz lewoniewski,ウラジーミル・レヴォネフスキー,urajīmiru・revuォnefusukī
czesław michniewicz,チェスワフ・ミヒニエヴィチ,chesuwafu・mihinievichi
agnieszka kotlarska,アグニスカ・コトラスカ,agunisuka・kotorasuka
henryk woliński,ヘンリク・ヴォリンスキ,henriku・vuォrinsuki
edward pietrzyk,エドヴァルト・ピエトシク,edovaruto・pietoshiku
grażyna staniszewska,グラジナ・スタニシェフスカ,gurajina・sutanishefusuka
jerzy liebert,イェジ・リーベルト,yeji・rīberuto
czesław mozil,チェスワフ・モジル,chesuwafu・mojiru
bartłomiej sienkiewicz,バルトウォミェイ・シェンキェヴィチュ,barutowomiェi・shenkiェvichu
jan mazurkiewicz,ヤン・マズルキエウィッツ,yan・mazurukiewittsu
egon franke,エゴン・フランケ,egon・furanke
artur skowronek,アルトゥル・スコヴロネク,aruturu・sukovuroneku
lech mackiewicz,レッチ・マッキーウィックツ,retchi・makkīwikkutsu
karol piątek,カロル・ピョンテク,karoru・pyonteku
mateusz masternak,マテウシュ・マステルナク,mateushu・masuterunaku
dawid tomala,ダビト・トマラ,dabito・tomara
stanisław lorentz,スタニスワフ・ロレンツ,sutanisuwafu・rorentsu
katarzyna zaroślińska,カタジナ・ザロスリンスカ,katajina・zarosurinsuka
mirosław bałka,ミロスワフ・バウカ,mirosuwafu・bauka
stefan korboński,ステファン・コルボンスキ,sutefan・korubonsuki
feliks koneczny,フェリクス・コネチュニ,ferikusu・konechuni
tadeusz pełczyński,タデウシュ・ペルチンスキ,tadeushu・peruchinsuki
zbigniew bródka,ズビギニェフ・ブロドカ,zubiginiェfu・burodoka
stanisław kazuro,スタニスワフ・カズロ,sutanisuwafu・kazuro
romuald muklewicz,ロムアリド・ムクレヴィチ,romuarido・mukurevichi
krzysztof surlit,クシシュトフ・スルリット,kushishutofu・sururitto
dominika chorosińska,ドミニカ・チョロシンスカ,dominika・choroshinsuka
iwan monighetti,イヴァン・モニゲッティ,ivan・monigetti
ligia branice,リジア・ブラニツェ,rijia・buranitse
tony halik,トニー・ホラク,tonī・horaku
henryk wisner,ヘンリク・ヴィスネル,henriku・visuneru
henryk minkiewicz,ヘンリク・ミンキェヴィチ,henriku・minkiェvichi
stanisław trepczyński,ステインスロウ・トレプチンスキー,suteinsurou・torepuchinsukī
michał goleniewski,ミハウ・ゴレニフスキー,mihau・gorenifusukī
piotr tomicki,ピョトル・トミツキ,pyotoru・tomitsuki
jacek dehnel,ヤツェク・デネル,yatseku・deneru
stefan starzyński,ステファン・スタジンスキ,sutefan・sutajinsuki
czesław czyński,チェスワフ・チンスキ,chesuwafu・chinsuki
alex cisak,アレックス・シサック,arekkusu・shisakku
louis faury,ルイ・フォーリィ,rui・fōriィ
maciej franz,マチェイ・フランツ,machei・furantsu
elżbieta witek,エルジュビェタ・ヴィテク,erujubiェta・viteku
lech owron,レック・オウロン,rekku・ouron
tymon zaborowski,タイモン・ザブロースキー,taimon・zaburōsukī
kazimierz wierzyński,カジミェシュ・ウィルチンスキー,kajimiェshu・wiruchinsukī
eugeniusz okoń,エウゲニウシュ・オコン,eugeniushu・okon
paweł gil,パヴェウ・ギル,pavuェu・giru
ewa petelska,エヴァ・ペテルスカ,eva・peterusuka
stanisław jasiukiewicz,スタニスワフ・ジャシウキエヴィッチ,sutanisuwafu・jashiukievitchi
mariusz pujszo,マリウズ・ブジゾ,mariuzu・bujizo
feliks stamm,フェリックス・スタム,ferikkusu・sutamu
krzysztof bosak,クシシュトフ・ボサク,kushishutofu・bosaku
adolf dygasiński,アドルフ・ディガシンスキ,adorufu・digashinsuki
andrzej ciechanowiecki,アンジェイ・チェハノヴィエツキ,anjei・chehanovietsuki
michał bergson,ミシェル・ベルクソン,misheru・berukuson
jakób gniazdowski,ジャーク・ヒニズドフスキー,jāku・hinizudofusukī
michał probierz,ミハウ・プロビエシュ,mihau・purobieshu
wiktoria gąsiewska,ヴィクトリア・ゴンシェフスカ,vikutoria・gonshefusuka
tatja seibt,タチア・ザイプト,tachia・zaiputo
barbara madejczyk,バルバラ・マディチュク,barubara・madichuku
natalia madaj,ナタリア・マダイ,nataria・madai
mirosław tłokiński,ミロスワフ・トロキンスキー,mirosuwafu・torokinsukī
miłosz magin,ミウォシュ・マギン,miwoshu・magin
henryk niedźwiedzki,ヘンリック・ニエドヴィエッキ,henrikku・niedoviekki
franciszek stefaniuk,フランチシェク・ステファニュク,furanchisheku・sutefanyuku
tadeusz bobrowski,タデウシュ・ボブロフスキ,tadeushu・boburofusuki
leszek kosedowski,レセック・コセドウスキ,resekku・kosedousuki
robert urbanek,ロベルト・ウルバネク,roberuto・urubaneku
grażyna auguścik,グラジーナ・アウグスチク,gurajīna・augusuchiku
władysław skłodowski,ブワディスカ・スクウォドフスキ,buwadisuka・sukuwodofusuki
milena radecka,ミレナ・ラデツカ,mirena・radetsuka
aleksandra olsza,アレクサンドラ・オルシャ,arekusandora・orusha
krzysztof jabłoński,クシシュトフ・ヤブウォンスキ,kushishutofu・yabuwonsuki
arthur posnansky,アルトゥル・ポスナンスキー,aruturu・posunansukī
genowefa wiśniowska,ゲノヴェファ・ヴィシニョフスカ,genovuェfa・vishinyofusuka
jerzy zieliński,イェジ・ジェリンスキ,yeji・jerinsuki
jurek bogajewicz,ユレク・ボガエヴィッチ,yureku・bogaevitchi
katarzyna skowrońskadolata,カタジナ・スコブロニスカ,katajina・sukoburonisuka
wacław berent,ヴァツワフ・ベレント,vatsuwafu・berento
radosław chruściński,ラドスロウ・フルシチンスキー,radosurou・furushichinsukī
berenika okuniewska,ベレニカ・オクニェフスカ,berenika・okuniェfusuka
władysław strzemiński,ヴワディスワフ・ストゥシェミンスキ,vuwadisuwafu・sutusheminsuki
jacek tylicki,ジャック・ティリッキ,jakku・tirikki
tomasz kupisz,トマシュ・クピシュ,tomashu・kupishu
konrad jażdżewski,コンラッド・ヤヂヂェフ,konraddo・yadjidjiェfu
wojciech rajski,ヴォイチェフ・ライスキ,vuォichefu・raisuki
jarosław lato,ヤロスワフ・ラトー,yarosuwafu・ratō
symcha rotem,シムチャ・ロテム,shimucha・rotemu
tadeusz piotrowski,タデウシュ・ピョトロフスキ,tadeushu・pyotorofusuki
iwo byczewski,イウォ・ビチェフスキ,iwo・bichefusuki
augustyn,オーガスティン,ōgasutin
izabella st james,イザベラ・セント・ジェームズ,izabera・sento・jēmuzu
małgorzata bąk,マウゴジャタ・ボンク,maugojata・bonku
anna dymna,アンナ・ディムナ,anna・dimuna
stefania radziwiłł,ステファニア・ラジヴィウ,sutefania・rajiviu
hanna polak,ハンナ・ポラック,hanna・porakku
marta walczykiewicz,マルタ・ワルチズキェビッチ,maruta・waruchizukiェbitchi
henryk cioch,ヘンリク・チョク,henriku・choku
bruno abakanowicz,ブルノ・アバカノヴィチ,buruno・abakanovichi
włodzimierz krzyżanowski,ヴォジミエシュ・クシジャノフスキ,vuォjimieshu・kushijanofusuki
jadwiga łopata,ヤドヴィガ・ロパタ,yadoviga・ropata
paweł jasienica,パヴェウ・ヤシェニツァ,pavuェu・yashenitsa
jerzy żurawlew,イェジ・ジェラブレフ,yeji・jeraburefu
iga wyrwał,イガ・ヴィルヴァウ,iga・viruvau
iwona bielska,イヴォナ・ビェルスカ,ivuォna・biェrusuka
stanisław lisowski,スタニスワフ・リソフスキ,sutanisuwafu・risofusuki
jakub goldberg,ヤクブ・ゴールドベルク,yakubu・gōrudoberuku
wacław borowski,ヴァツワフ・ボロフスキ,vatsuwafu・borofusuki
menotti garibaldi,メノッティ・ガリバルディ,menotti・garibarudi
jakub tyc,ヤコブ・ティチ,yakobu・tichi
mariusz patyra,マリウス・ペティラ,mariusu・petira
sylwia nowak,シルヴィア・ノヴァク,shiruvia・novaku
jan marcin szancer,ヤン・マルチン・シャンセル,yan・maruchin・shanseru
jan borysewicz,ヤン・ボリセヴィッチ,yan・borisevitchi
aleksander zniszczoł,アレクサンデル・ズニシチョル,arekusanderu・zunishichoru
anna ciepielewska,アンナ・シエピエレフスカ,anna・shiepierefusuka
marta otrębska,マルタ・オトレブスカ,maruta・otorebusuka
maurycy pius rudzki,マウリツィ・ピウス・ルツキ,mauritsi・piusu・rutsuki
jan pieńkowski,ヤン・ピエンコフスキ,yan・pienkofusuki
jan król,ヤン・クルル,yan・kururu
jan młodożeniec,ヤン・ムロドゼニエツ,yan・murodozenietsu
zdzisław spieralski,ズジスワフ・スピェラルスキ,zujisuwafu・supiェrarusuki
mateusz kościukiewicz,マテウシュ・コシチュキェヴィチ,mateushu・koshichukiェvichi
kazimierz czyżowski,カジミェシュ・チジョフスキ,kajimiェshu・chijofusuki
zbylut grzywacz,ズブルト・グジュヴァチ,zuburuto・gujuvachi
max marcin,マックス・マーシン,makkusu・māshin
janusz dobrosz,ヤヌシュ・ドブロシュ,yanushu・doburoshu
jan sładkowski,ヤン・スワトコフスキ,yan・suwatokofusuki
hubert drapella,フーベルト・ドラペラ,fūberuto・dorapera
janusz piechociński,ヤヌシュ・ピエンホチンスキ,yanushu・pienhochinsuki
jerzy trela,イェジー・トレラ,yejī・torera
michał globisz,ミハウ・グロビシュ,mihau・gurobishu
wanda gertz,ワンダ・ガーツ,wanda・gātsu
jarosław boberek,ヤロスワフ・ボベレク,yarosuwafu・bobereku
janusz tazbir,ヤヌシュ・タズビル,yanushu・tazubiru
michał szpak,ミハウ・シュパーク,mihau・shupāku
jarosław stawiarski,ヤロスワフ・スタヤルスキ,yarosuwafu・sutayarusuki
zygmunt łempicki,ズィグムント・ウェンピツキ,zigumunto・wenpitsuki
joanna jedlewska,ヨアンナ・イェドレフスカ,yoanna・yedorefusuka
juliusz hibner,ユリウス・ヒブラー,yuriusu・hiburā
jerzy michalski,イェジ・ミハルスキ,yeji・miharusuki
adam wielomski,アダム・ヴィエロムスキ,adamu・vieromusuki
jerzy hulewicz,イェジー・ヒュルウィッツ,yejī・hyuruwittsu
mirosław zbrojewicz,ミロスワフ・ズブロイェヴィチ,mirosuwafu・zuburoyevichi
mirosław żuławski,ミロスワフ・ジュワフスキ,mirosuwafu・juwafusuki
iga cembrzyńska,イガ・ツェンブジンスカ,iga・tsenbujinsuka
florian cynk,フロリアン・ツィンク,furorian・tsinku
antoni czajkowski,アントニ・チャイコフスキ,antoni・chaikofusuki
romuald marczyński,ロムアルド・マルチィニスキ,romuarudo・maruchiィnisuki
jan stanienda,ヤン・スタニェンダ,yan・sutaniェnda
miłosz horodyski,ミウォシュ・ホロドゥスキ,miwoshu・horodusuki
antoni kiliński,アントニ・キリニスキ,antoni・kirinisuki
nicholas andrew rey,ニコラス・アンドリュー・レイ,nikorasu・andoryū・rei
natalia maliszewska,ナタリア・マリジェフスカ,nataria・marijefusuka
jan kruszewski,ヤン・クルシェフスキ,yan・kurushefusuki
joanna leszczyńska,ヨアナ・レシュチンスカ,yoana・reshuchinsuka
wiesław kotański,ヴィエスワフ・コタンスキ,viesuwafu・kotansuki
irena kosmowska,イレーナ・コスモフスカ,irēna・kosumofusuka
julian krzyżanowski,ユリヤン・クシジャノフスキ,yuriyan・kushijanofusuki
omar sangare,オマル・サンガレ,omaru・sangare
marian borzęcki,マリアン・ボルゼツキ,marian・boruzetsuki
patrycja pożerska,パトリチャ・ポジャースカ,patoricha・pojāsuka
zdzisław eichler,ズジスワフ・アイフレル,zujisuwafu・aifureru
rudolf strobl,ルドルフ・ストローブル,rudorufu・sutorōburu
andrzej szalawski,アンジェイ・シャラフスキー,anjei・sharafusukī
paweł małaszyński,パヴェウ・マワシンスキ,pavuェu・mawashinsuki
antonina adamowskaszumowska,アントワネット・シュモフスカ,antowanetto・shumofusuka
czesław siekierski,チェスワフ・シェキェルスキ,chesuwafu・shekiェrusuki
józef herman,ジョセフ・ハーマン,josefu・hāman
julia kamińska,ジュリア・カミンスカ,juria・kaminsuka
julia kolberger,ジュリア・コルバーガー,juria・korubāgā
paulina krupińska,パウリナ・クルピンスカ,paurina・kurupinsuka
patryk dobek,パトリック・ドベック,patorikku・dobekku
paweł słowiok,パーヴェウ・スウォーヴィオク,pāvuェu・suwōvioku
róża etkin,ルジャ・エトキン,ruja・etokin
natalia janotha,ナタリア・ヤノータ,nataria・yanōta
piotr balcerzak,ピョトル・バルツェジャク,pyotoru・barutsejaku
alina janowska,アリナ・ジャノフスカ,arina・janofusuka
abraham neumann,アブラハム・ヌーマン,aburahamu・nūman
józef ozimiński,ユゼフ・オジミヌスキ,yuzefu・ojiminusuki
stanisław herbst,スタニスワフ・ヘルプスト,sutanisuwafu・herupusuto
henryk grunwald,ヘンリク・グルンヴァルド,henriku・gurunvarudo
józef mączka,ヨゼフ・モンチュカ,yozefu・monchuka
adam fastnacht,アダム・ファストナフト,adamu・fasutonafuto
józef hen,ユゼフ・ヘン,yuzefu・hen
piotr smoleński,ピオトル・スモレンスキ,piotoru・sumorensuki
adam kersten,アダム・ケルステン,adamu・kerusuten
małgorzata izabela czartoryska,マウゴジャータ・イザベラ・チャルトリスカ,maugojāta・izabera・charutorisuka
piotr witasik,ピオトル・ヴィタシク,piotoru・vitashiku
adam studziński,アダム・ストゥジンスキ,adamu・sutujinsuki
stanisław skrzeszewski,スタニスラウス・スクシェシェフスキ,sutanisurausu・sukusheshefusuki
kamil kiereś,カミル・キエレシ,kamiru・kiereshi
ewa pobłocka,エヴァ・ポブウォツカ,eva・pobuwotsuka
rafał augustyn,ラファウ・アウグスティン,rafau・augusutin
karol ziemski,カロル・ジエムスキ,karoru・jiemusuki
adam woronowicz,アダム・ヴォロノヴィチ,adamu・vuォronovichi
włodzimierz sokorski,ヴウォジミェシュ・ソコルスキ,vuwojimiェshu・sokorusuki
robert fudali,ロブ・ダーケン,robu・dāken
rafał ohme,ラファウ・オーメ,rafau・ōme
julian krzewiński,ジュリアン・クシェヴィヌスキ,jurian・kushevinusuki
karolina jarzyńska,カロリナ・ヤジンスカ,karorina・yajinsuka
rosław szaybo,ロスワヴ・シャイボ,rosuwavu・shaibo
adrian błocki,アドリアン・ブロキ,adorian・buroki
kazimierz gierżod,カジミエシュ・ギェルジョード,kajimieshu・giェrujōdo
kazimierz piwarski,カジミェシュ・ピワルスキ,kajimiェshu・piwarusuki
