イチロー,ichirō
ミハママチ,mihamamachi
ニイガタケンナカゴエオキジシン,niigatakennakagoeokijishin
クラテマチ,kuratemachi
オオバヤシグミ,oobayashigumi
オウバクシュウ,oubakushuu
ミハマハツデンショ,mihamahatsudensho
フクイケンサンギョウシンコウシセツ,fukuikensangyoushinkoushisetsu
ゾクグン,zokugun
ニッポンラグビーフットボールキョウカイ,nipponragubīfuttobōrukyoukai
タチヒキギョウ,tachihikigyou
チュウブサンガクコクリツコウエン,chuubusangakukokuritsukouen
コトブキフクテラ,kotobukifukutera
ウマキインターチェンジ,umakiintāchenji
アガインターチェンジ,againtāchenji
クロセインターチェンジ,kuroseintāchenji
ゴウハラインターチェンジ,gouharaintāchenji
ケングンジンジャ,kengunjinja
ザオウレンポウ,zaourenpou
フタバデンシコウギョウ,futabadenshikougyou
チチブノミヤラグビージョウ,chichibunomiyaragubījou
カシイミヤ,kashiimiya
ジャパン・ケーキ・ショートウキョウ,japan・kēki・shōtoukyou
トエイチカテツオオエドセン,toeichikatetsuooedosen
オオフジノブオショウ,oofujinobuoshou
ゴールデングランプリリクジョウ,gōrudenguranpuririkujou
オキナワケン,okinawaken
トウキョウシンブン,toukyoushinbun
スペースワールド,supēsuwārudo
ヨドバシカメラ,yodobashikamera
トウレ,toure
パナソニック・インパルス,panasonikku・inparusu
オジカマチ,ojikamachi
ナガサキケン,nagasakiken
ヤマトジダイ,yamatojidai
オオバサママチ,oobasamamachi
オオイグン,ooigun
オオイマチ,ooimachi
ライジングプロダクション,raijingupurodakushon
ナゴヤガイドウェイバスガイドウェイバスココロザシダンミセン,nagoyagaidoweibasugaidoweibasukokorozashidanmisen
シグマ・セブン,shiguma・sebun
ムツザワマチ,mutsuzawamachi
イワキ・ラ・ラ・ミュウ,iwaki・ra・ra・myuu
サツマ,satsuma
チタグン,chitagun
ゼンミネテラ,zenminetera
ニンテンドウジョウホウカイハツホンブ,nintendoujouhoukaihatsuhonbu
オオイズミマチ,ooizumimachi
オオイトセン,ooitosen
トウキュウオオイマチセン,toukyuuooimachisen
オオイソマチ,ooisomachi
オオイタトリニータ,ooitatorinīta
ゲンバクドームゼンテイリュウジョウ,genbakudōmuzenteiryuujou
サッカーニッポンダイヒョウ,sakkānippondaihyou
エンダカフキョウ,endakafukyou
レッドイーグルスホッカイドウ,reddoīgurusuhokkaidou
ニッポンブツリガッカイ,nipponbutsurigakkai
オウジセイシ,oujiseishi
ヘイアンジングウ,heianjinguu
マジパナリ,majipanari
シエ,shie
ナラシリツカスガチュウガッコウ,narashiritsukasugachuugakkou
ナルトシリツナルトコウギョウコウトウガッコウ,narutoshiritsunarutokougyoukoutougakkou
ノウギョウキョウドウクミアイ,nougyoukyoudoukumiai
ヤマグチセン,yamaguchisen
オダワラヒョウジョウ,odawarahyoujou
オオキマチ,ookimachi
トヤママチ,toyamamachi
オオクママチ,ookumamachi
アニプレックス,anipurekkusu
シミズコウエン,shimizukouen
ホッケコウ,hokkekou
トウカイジシン,toukaijishin
エアトランセ,eatoranse
コンピュータエンターテインメントレーティングキコウ,konpyūtaentāteinmentorētingukikou
シモニイカワグン,shimoniikawagun
ゲンロクジシン,genrokujishin
ショコツダケ,shokotsudake
イイダセン,iidasen
オウメセン,oumesen
オウメマラソン,oumemarason
オオクラヤマジャンプキョウギジョウ,ookurayamajanpukyougijou
オウミジングウ,oumijinguu
ケンドウ,kendou
フジオカマチ,fujiokamachi
イイヅナマチ,iidzunamachi
タカハタマチ,takahatamachi
ウェーブマスター,wēbumasutā
オオミヤアルディージャ,oomiyaarudīja
ガンワ,ganwa
カツタグン,katsutagun
ゼンニホンスポーツプロトタイプカータイキュウセンシュケン,zennihonsupōtsupurototaipukātaikyuusenshuken
ナスマチ,nasumachi
オオヒラマチ,oohiramachi
フロントウイング,furontouingu
カラツセン,karatsusen
ゴールデン・グローリー,gōruden・gurōrī
バスケットボールジョシニッポンダイヒョウ,basukettobōrujoshinippondaihyou
タカダマチ,takadamachi
カンシュウジ,kanshuuji
オキナワトラフ,okinawatorafu
サセボセン,sasebosen
ツガマチ,tsugamachi
オオムラセン,oomurasen
ナルトウマチ,narutoumachi
フジスピードウェイ,fujisupīdowei
ニホンコウクウキスルガワンジョウクウニアミスジコ,nihonkoukuukisurugawanjoukuuniamisujiko
アオヤマハープ,aoyamahāpu
アオイマツリ,aoimatsuri
シバカワマチ,shibakawamachi
ヨコハマコウソクテツドウミナトミライセン,yokohamakousokutetsudouminatomiraisen
シモノセキトオリマサツジンジケン,shimonosekitoorimasatsujinjiken
チョウシデンキテツドウセン,choushidenkitetsudousen
コジマエンジニアリング,kojimaenjiniaringu
イタジンジャ,itajinja
テンシンジンジャ,tenshinjinja
ドツジンジャ,dotsujinja
オオサカコクサイジョシマラソン,oosakakokusaijoshimarason
オオサカガス,oosakagasu
オオサカテンマングウ,oosakatenmanguu
ニノイマチ,ninoimachi
ユトリキョウイク,yutorikyouiku
リンザイシュウ,rinzaishuu
ヨネックス,yonekkusu
ニホンコロムビア,nihonkoromubia
シカベマチ,shikabemachi
ファミリーコンピュータ,famirīkonpyūta
カワキタシンポウ,kawakitashinpou
ミタケマチ,mitakemachi
ツワノマチ,tsuwanomachi
オカヤマコクサイサーキット,okayamakokusaisākitto
ニッポンキョウサントウ,nipponkyousantou
フジワラシ,fujiwarashi
オイワケマチ,oiwakemachi
ニッポンオンガクチョサクケンキョウカイ,nipponongakuchosakukenkyoukai
イエロー・マジック・オーケストラ,ierō・majikku・ōkesutora
バンダイナムコフィルムワークス,bandainamukofirumuwākusu
メイジヤスダセイメイホケン,meijiyasudaseimeihoken
イワミギンザン,iwamiginzan
トヨタ・ガズー・レーシング・ヨーロッパ,toyota・gazū・rēshingu・yōroppa
ニッポンサンギョウキカク,nipponsangyoukikaku
ハダマチ,hadamachi
ボウグ,bougu
オオタニダイガク,ootanidaigaku
タザワコ,tazawako
スズカサーキット,suzukasākitto
イシ,ishi
オオトネマチ,ootonemachi
ケムコ,kemuko
ジュビロイワタ,jubiroiwata
コクガク,kokugaku
ミナミカンバラグン,minamikanbaragun
ショウズグン,shouzugun
センアライベザイテンウガフクジンシャ,senaraibezaitenugafukujinsha
ヤマサショウユ,yamasashouyu
アヅマグン,adzumagun
アマギテツドウアマギセン,amagitetsudouamagisen
デンソー,densō
ホリバセイサクショ,horibaseisakusho
ヤマハオンガクシンコウカイ,yamahaongakushinkoukai
オオツチマチ,ootsuchimachi
オウウホンセン,ouuhonsen
オオトウマチ,ootoumachi
オオツカセイヤク,ootsukaseiyaku
ラグナシア,ragunashia
スカイライナー,sukairainā
ケイオウ,keiou
ミナミジョウグン,minamijougun
ヨシノヤ,yoshinoya
カワサキジュウコウギョウコウクウウチュウシステムカンパニー,kawasakijuukougyoukoukuuuchuushisutemukanpanī
オオタヤド,ootayado
マルオカマチ,maruokamachi
セイブトシマセン,seibutoshimasen
ミツケヤド,mitsukeyado
シスイマチ,shisuimachi
ゲームフリーク,gēmufurīku
モギマチ,mogimachi
マングローブ,mangurōbu
ヨミウリシンブン,yomiurishinbun
スーパーヒーロータイム,sūpāhīrōtaimu
ショトクバイゾウケイカク,shotokubaizoukeikaku
セレッソオオサカ,seressooosaka
シンジュクギョエン,shinjukugyoen
ジンジイン,jinjiin
グンマダイガク,gunmadaigaku
リコー,rikō
ニッポンアルプス,nipponarupusu
フクオカネコギャクタイジケン,fukuokanekogyakutaijiken
シングウマチ,shinguumachi
ウチュウコウクウケンキュウカイハツキコウ,uchuukoukuukenkyuukaihatsukikou
カメヤマヤド,kameyamayado
カツヤママチ,katsuyamamachi
チュンソフト,chunsofuto
オオサカアメニティパーク,oosakaamenitipāku
ゼンコクチホウコウキョウダンタイコード,zenkokuchihoukoukyoudantaikōdo
ブリヂストン,buridjisuton
ナカジマグン,nakajimagun
イナノブオショウ,inanobuoshou
キョウドウツウシンシャ,kyoudoutsuushinsha
アスカデラ,asukadera
ハンキュウニシノミヤスタジアム,hankyuunishinomiyasutajiamu
カンドリグン,kandorigun
モトヨシマチ,motoyoshimachi
トウカヤマコフンシュツドテツケン,toukayamakofunshutsudotetsuken
ホナイマチ,honaimachi
コルグ,korugu
トットリサキュウ,tottorisakyuu
アトラス,atorasu
ハヤキタマチ,hayakitamachi
オゴセマチ,ogosemachi
ナガノシワカサトタモクテキスポーツアリーナ,naganoshiwakasatotamokutekisupōtsuarīna
シワマチ,shiwamachi
ドバシラタカゴエケンリツシゼンコウエン,dobashiratakagoekenritsushizenkouen
サッカーニッポンジョシダイヒョウ,sakkānipponjoshidaihyou
ギフメモリアルセンターナガラガワキョウギジョウ,gifumemoriarusentānagaragawakyougijou
ニシアイヅマチ,nishiaidzumachi
ホトケガウラ,hotokegaura
キョウトコクサイマンガミュージアム,kyoutokokusaimangamyūjiamu
カワタナマチ,kawatanamachi
イネムリ,inemuri
ソウヤミサキ,souyamisaki
スーパーカミオカンデ,sūpākamiokande
ホケキョウテラ,hokekyoutera
イワテグン,iwategun
ヌクシナパーキングエリア,nukushinapākingueria
フクダデイリグチ,fukudadeiriguchi
アーツビジョン,ātsubijon
オキデンキコウギョウ,okidenkikougyou
トウキョウメトロユウラクチョウセン,toukyoumetoroyuurakuchousen
ヌカタグン,nukatagun
ヤシカ,yashika
ゼンツウジ,zentsuuji
ソロバン,soroban
ヌクシナデイリグチ,nukushinadeiriguchi
ウマキデイリグチ,umakideiriguchi
タカネザワマチ,takanezawamachi
オンジュクマチ,onjukumachi
タカマツコウエン,takamatsukouen
タザワコセン,tazawakosen
オートザム,ōtozamu
トウキョウモノレール,toukyoumonorēru
ネムリネコ,nemurineko
ニシカスガイグン,nishikasugaigun
エイベックス,eibekkusu
アビスパフクオカ,abisupafukuoka
スタジオジブリ,sutajiojiburi
カシワバラシリツコクブショウガッコウ,kashiwabarashiritsukokubushougakkou
ユワテギンガテツドウセン,yuwategingatetsudousen
トウジンボウ,toujinbou
ホッポウリョウドモンダイ,hoppouryoudomondai
カミイシヅマチ,kamiishidzumachi
イマスヤド,imasuyado
ワタルナルエン,watarunaruen
リンナイ,rinnai
アズマバシ,azumabashi
ツガルグン,tsugarugun
ミヤコカイキョウ,miyakokaikyou
ビッグ・オー,biggu・ō
シオザワマチ,shiozawamachi
エイコクカイガイコウクウキクウチュウブンカイジコ,eikokukaigaikoukuukikuuchuubunkaijiko
マフ,mafu
オキナワセンセキコクテイコウエン,okinawasensekikokuteikouen
オグニマチ,ogunimachi
カイグンコウクウギジュツショウ,kaigunkoukuugijutsushou
ヒルガタケ,hirugatake
マッドハウス,maddohausu
オオサカダイガク,oosakadaigaku
イタイイタイビョウ,itaiitaibyou
トウキョウタワー,toukyoutawā
アスミック・エース,asumikku・ēsu
テンマングウ,tenmanguu
ミナミウオヌマグン,minamiuonumagun
コウベポートタワー,koubepōtotawā
アカシカイキョウオオハシ,akashikaikyouoohashi
ブシドウ,bushidou
ヨシミタダシ,yoshimitadashi
シンニホンセイテツ,shinnihonseitetsu
エムカエマチ,emukaemachi
ニッポンゲンシリョクケンキュウジョ,nippongenshiryokukenkyuujo
ウエキマチ,uekimachi
カマチマチ,kamachimachi
ベースボール・チャレンジ・リーグ,bēsubōru・charenji・rīgu
カンサイドクリツリーグ,kansaidokuritsurīgu
エドジダイ,edojidai
エザキグリコ,ezakiguriko
アガツマセン,agatsumasen
センカクジンジャ,senkakujinja
マエハラインターチェンジ,maeharaintāchenji
フジサンホングウアサマタイシャ,fujisanhonguuasamataisha
シロミナミマチ,shirominamimachi
ホクシンエツチホウ,hokushinetsuchihou
トミアイマチ,tomiaimachi
コウシンエツチホウ,koushinetsuchihou
サンヨウチホウ,sanyouchihou
サンインチホウ,saninchihou
シンエツチホウ,shinetsuchihou
ウキヨエ,ukiyoe
ブンカザイ,bunkazai
キョウトセイカダイガク,kyoutoseikadaigaku
テッカドンブリ,tekkadonburi
フジツウ,fujitsuu
タガタイシャ,tagataisha
タケダジンジャ,takedajinja
アイチダイガク,aichidaigaku
カミガタ,kamigata
タケベタイシャ,takebetaisha
トウカイチホウ,toukaichihou
ホウシュテラ,houshutera
エイダンヒビヤセンナカメグロエキコウナイレッシャダッセンショウトツジコ,eidanhibiyasennakameguroekikounairesshadassenshoutotsujiko
エリモマチ,erimomachi
アシノコ,ashinoko
アタラシイレキシキョウカショヲツクルカイ,atarashiirekishikyoukashowotsukurukai
カイケンマチ,kaikenmachi
アイチキカイコウギョウ,aichikikaikougyou
エアーニッポン,eānippon
ナヨロシリツダイガク,nayoroshiritsudaigaku
アイチセイコウ,aichiseikou
エアーセントラル,eāsentoraru
エアーニッポンネットワーク,eānipponnettowāku
ダイニッポンプロレス,dainipponpuroresu
セコム,sekomu
エチゴセン,echigosen
クラマヤマ,kuramayama
アイワ,aiwa
タイセキジ,taisekiji
セイブコクブンジセン,seibukokubunjisen
アリア,aria
アカバネセン,akabanesen
トウキョウスタジアム,toukyousutajiamu
カリユシクラブ,kariyushikurabu
ハンズ,hanzu
ゼンザブロニカ,zenzaburonika
ナゴヤセンタータワー,nagoyasentātawā
タカマツコンストラクショングループ,takamatsukonsutorakushongurūpu
コクサイキョウヨウダイガク,kokusaikyouyoudaigaku
アキタショテン,akitashoten
アツケシマチ,atsukeshimachi
タナカハン,tanakahan
イイナンマチ,iinanmachi
トウカイドウシンカンセン,toukaidoushinkansen
イツクシマジンジャ,itsukushimajinja
ナガタジンジャ,nagatajinja
キタノテンマングウ,kitanotenmanguu
コウフハン,koufuhan
バクマツ,bakumatsu
バイリンジ,bairinji
ビワコセン,biwakosen
アカイデンキ,akaidenki
アカギヤマ,akagiyama
キョウドウボキン,kyoudoubokin
アカイシサンミャク,akaishisanmyaku
ジョウダイトクシュカナヅカイ,joudaitokushukanadzukai
クンショウ,kunshou
トウホウガクエンダイガク,touhougakuendaigaku
トエイバス,toeibasu
ショウナゴン,shounagon
ツキジシジョウ,tsukijishijou
サッポロダイガク,sapporodaigaku
オウラマチ,ouramachi
ブシロード,bushirōdo
ホダカタケシ,hodakatakeshi
ケイオウケイバジョウセン,keioukeibajousen
ヒヨシタイシャ,hiyoshitaisha
ホウリンジ,hourinji
チチブタマカイコクリツコウエン,chichibutamakaikokuritsukouen
アカンマシュウコクリツコウエン,akanmashuukokuritsukouen
ニッポンデザインシンコウカイ,nippondezainshinkoukai
ベッカイマチ,bekkaimachi
クマモトケンミンソウゴウウンドウコウエンオクナイウンドウヒロバ,kumamotokenminsougouundoukouenokunaiundouhiroba
マヤクオヨビコウセイシンヤクトリシマリホウ,mayakuoyobikouseishinyakutorishimarihou
ナラジダイ,narajidai
ブラジリアンジュウジュツ,burajirianjuujutsu
オオサカガクインダイガク,oosakagakuindaigaku
シンネンカイ,shinnenkai
ケイ・エム・プロデュース,kei・emu・purodyūsu
イシヤマカッセン,ishiyamakassen
コウトクセン,koutokusen
アナザープッシュピンプランニング,anazāpusshupinpuranningu
キョウトショウ,kyoutoshou
ゴユヤド,goyuyado
ゼンニホンケンドウレンメイ,zennihonkendourenmei
ゼンニホンガクセイジチカイソウレンゴウ,zennihongakuseijichikaisourengou
ゼニガタスナエ,zenigatasunae
ゼンコウジ,zenkouji
ゼンコクチジカイ,zenkokuchijikai
アキタコマガダケ,akitakomagadake
アキタヤケヤマ,akitayakeyama
アキハバラ,akihabara
ナイカクソウリダイジンカンテイ,naikakusouridaijinkantei
ホクリクデンリョクサッカーブアローズホクリク,hokurikudenryokusakkābuarōzuhokuriku
ボウエイソウシレイブ,boueisoushireibu
トウキョウトチュウオウオロシウリシジョウ,toukyoutochuuouoroshiurishijou
ダイトウブンカダイガク,daitoubunkadaigaku
ムギセン,mugisen
トウホクフクシダイガク,touhokufukushidaigaku
セイシンジョシダイガク,seishinjoshidaigaku
オカヤマデンキキドウ,okayamadenkikidou
シュウギイン,shuugiin
センカクショトウモンダイ,senkakushotoumondai
ヘイアンジダイ,heianjidai
コウベレンゾクジドウサッショウジケン,kouberenzokujidousasshoujiken
エキップアサダ,ekippuasada
シリベソウゴウシンコウキョク,shiribesougoushinkoukyoku
インターチャネル,intāchaneru
キショウチョウ,kishouchou
アクタガワリュウノスケショウ,akutagawaryuunosukeshou
オグニジンジャ,ogunijinja
ウツヒロ,utsuhiro
トシマエン,toshimaen
ユノハマトウゲ,yunohamatouge
バンエツトウセン,banetsutousen
バンエツサイセン,banetsusaisen
バンダイナムコホールディングス,bandainamukohōrudingusu
バンセンシュウウミ,bansenshuuumi
バンダイビジュアル,bandaibijuaru
バンデット,bandetto
バンダイアサヒコクリツコウエン,bandaiasahikokuritsukouen
ビィートレイン,biィーtorein
ニホンショキ,nihonshoki
ベヨネースレツガン,beyonēsuretsugan
カブキチョウ,kabukichou
ナルトセン,narutosen
ドサンセン,dosansen
オオサカスタヂアム,oosakasutadjiamu
ダイジ,daiji
マツダアンフィニ,matsudaanfini
ケイオウギジュクダイガク,keiougijukudaigaku
ニッポンシンワ,nipponshinwa
アイラシリツタテアキラショウガッコウ,airashiritsutateakirashougakkou
カワサキキセン,kawasakikisen
クルベイハン,kurubeihan
タケバヤシテラ,takebayashitera
セキガハラマチ,sekigaharamachi
オオクボジ,ookuboji
コクミンセイシンソウドウイン,kokuminseishinsoudouin
ゴテンバセン,gotenbasen
ニッポンアカデミーショウ,nipponakademīshou
ケイクモ,keikumo
ヌサゲンナイカク,nusagennaikaku
シガケンリツゼゼコウトウガッコウ,shigakenritsuzezekoutougakkou
トウホクジドウシャドウ,touhokujidoushadou
アリタマチ,aritamachi
アサクサジンジャ,asakusajinja
タテヤママチ,tateyamamachi
ニッポンスペースガードキョウカイ,nipponsupēsugādokyoukai
イナワシロマチ,inawashiromachi
シュンコウイン,shunkouin
チノン,chinon
ヒガシウラマチ,higashiuramachi
センセイ,sensei
マイヅルツツジマツリ,maidzurutsutsujimatsuri
タヌママチ,tanumamachi
サケマツリ,sakematsuri
ニイガタカリョクハツデンショ,niigatakaryokuhatsudensho
アマクサエアライン,amakusaearain
エノシマデンテツセン,enoshimadentetsusen
ニシヤマボクジョウ,nishiyamabokujou
アサヒシンブンシャ,asahishinbunsha
センベイ,senbei
ノゲサンドウブツエン,nogesandoubutsuen
ヒダカホンセン,hidakahonsen
シンメイシャ,shinmeisha
シンゴンシュウサトシヤマハ,shingonshuusatoshiyamaha
マコマナイオクガイキョウギジョウ,makomanaiokugaikyougijou
レベルファイブ,reberufaibu
トロイセキ,toroiseki
ミサトマチ,misatomachi
オオウラテンシュドウ,oouratenshudou
ジツヨウエイゴギノウケンテイ,jitsuyoueigoginoukentei
サタミサキ,satamisaki
エントク,entoku
マカベマチ,makabemachi
ホッカイドウチョウキュウホンチョウシャ,hokkaidouchoukyuuhonchousha
キョクジツアキラ,kyokujitsuakira
ベップオオイタマイニチマラソン,beppuooitamainichimarason
ベップタワー,bepputawā
ツバタマチ,tsubatamachi
ウチナダマチ,uchinadamachi
カニグン,kanigun
サツマハン,satsumahan
オカヤコウキ,okayakouki
ジャイブ,jaibu
ウヌマジュク,unumajuku
インバグン,inbagun
ニッポンガクジュツシンコウカイショウ,nippongakujutsushinkoukaishou
ジゾウイン,jizouin
ニッポンガクジュツシンコウカイ,nippongakujutsushinkoukai
カブキ,kabuki
ベネッセコーポレーション,benessekōporēshon
ヤヒコジンジャ,yahikojinja
トウキョウディズニーシー・ホテルミラコスタ,toukyoudizunīshī・hoterumirakosuta
トウキョウディズニーランドホテル,toukyoudizunīrandohoteru
ヌクシナジャンクション,nukushinajankushon
シマノレーシング,shimanorēshingu
ディズニーアンバサダーホテル,dizunīanbasadāhoteru
ニシサムタジンジャ,nishisamutajinja
セイブシンジュクセン,seibushinjukusen
マショデイリグチ,mashodeiriguchi
コウケンジ,koukenji
ハコネマチ,hakonemachi
アドウェイズ,adoweizu
ソトボウセン,sotobousen
ソウベツマチ,soubetsumachi
シガゲンシリョクハツデンショ,shigagenshiryokuhatsudensho
モリグチヤド,moriguchiyado
ナガノシオリンピックキネンアリーナ,naganoshiorinpikkukinenarīna
コウトクイン,koutokuin
ファミリーイナダ,famirīinada
ニシシンジュク,nishishinjuku
アカンコ,akanko
キタムラヤマグン,kitamurayamagun
ミョウギマチ,myougimachi
デンキツウシンダイガク,denkitsuushindaigaku
ゼクシズ,zekushizu
ワセダダイガクダイガクインアジアタイヘイヨウケンキュウカ,wasedadaigakudaigakuinajiataiheiyoukenkyuuka
カイタオオハシデイリグチ,kaitaoohashideiriguchi
クサナギケントウナンジケン,kusanagikentounanjiken
ヒロシマエキキタグチデイリグチ,hiroshimaekikitaguchideiriguchi
ショウワジョシダイガク,shouwajoshidaigaku
ナカヤマデイリグチ,nakayamadeiriguchi
ヌマタデイリグチ,numatadeiriguchi
ナカヒロデイリグチ,nakahirodeiriguchi
トヨナカシリツノダショウガッコウ,toyonakashiritsunodashougakkou
ダイス,daisu
オオヤマザキマチ,ooyamazakimachi
ヒガシトンデンドオリテイリュウジョウ,higashitondendooriteiryuujou
タケウチセイサクショ,takeuchiseisakusho
ナカフラノマチ,nakafuranomachi
ニホンシャリョウセイゾウ,nihonsharyouseizou
ノマブンゲイショウ,nomabungeishou
トウホクホンセン,touhokuhonsen
ビワコ,biwako
マクシタ,makushita
アマカスジケン,amakasujiken
ジョノクチ,jonokuchi
ジュンテンチョウエイセイシステム,juntenchoueiseishisutemu
レクシスネクシス,rekushisunekushisu
ナガヨマチ,nagayomachi
トウキョウチカテツ,toukyouchikatetsu
ミネベアミツミ,minebeamitsumi
タマヤ,tamaya
マクハリメッセ,makuharimesse
ヘイジョウキョウ,heijoukyou
アオモリネブタ,aomorinebuta
イワイズミマチ,iwaizumimachi
トウキョウゲームショウ,toukyougēmushou
ホドガヤヤド,hodogayayado
グランドスラム・トウキョウ,gurandosuramu・toukyou
コフンジダイ,kofunjidai
トウダイジ,toudaiji
カメヅカコウエン,kamedzukakouen
ゴウシ,goushi
マンヨウガナ,manyougana
アコウジケン,akoujiken
ハリウッド・ドリーム・ザ・ライド,hariuddo・dorīmu・za・raido
キャメロット,kyamerotto
カナザワダイガク,kanazawadaigaku
アサクサハナヤシキ,asakusahanayashiki
スーパーダッシュブンコ,sūpādasshubunko
シミズエスパルス,shimizuesuparusu
アママチ,amamachi
ニッポンサッキョクカキョウカイ,nipponsakkyokukakyoukai
ヒロシマシリツダイガク,hiroshimashiritsudaigaku
カイフグン,kaifugun
マルモリマチ,marumorimachi
ナカガワグン,nakagawagun
ガッコウホウジンコマゴメガクエン,gakkouhoujinkomagomegakuen
ニッカツ,nikkatsu
タマガワキョウリョウ,tamagawakyouryou
キンテツナラセン,kintetsunarasen
センダイシチカテツ,sendaishichikatetsu
セイシンカイ,seishinkai
シンジュクコマゲキジョウ,shinjukukomagekijou
シンジュクスミトモビルディング,shinjukusumitomobirudingu
オリンパス,orinpasu
ニッポンブンガクタイショウ,nipponbungakutaishou
イセジングウ,isejinguu
ドッキョウイカダイガク,dokkyouikadaigaku
ナゴヤシリツダイガク,nagoyashiritsudaigaku
チョウヨウ,chouyou
バンヅケ,bandzuke
カミユゲジンジャ,kamiyugejinja
ヒョウゴケンリツセイウンコウトウガッコウ,hyougokenritsuseiunkoutougakkou
カンサイガイコクゴダイガク,kansaigaikokugodaigaku
ショウナンベルマーレ,shounanberumāre
フクダヤスオナイカク,fukudayasuonaikaku
ソウアキラリガク,souakirarigaku
ヤマテセン,yamatesen
ハンキュウデンテツ,hankyuudentetsu
メアカンダケ,meakandake
ウツミマチ,utsumimachi
ノミカイ,nomikai
リンクウタウン,rinkuutaun
ソフトバンクグループ,sofutobankugurūpu
ニッポンアマチュアムセンレンメイ,nipponamachuamusenrenmei
ネジレコッカイ,nejirekokkai
コウラクエンキュウジョウ,kourakuenkyuujou
バスケットボールジョシニッポンリーグ,basukettobōrujoshinipponrīgu
ホタカコウギョウショ,hotakakougyousho
ヒダカサンミャク,hidakasanmyaku
ワシノスシンゴウジョウ,washinosushingoujou
ワセダブンガク,wasedabungaku
シズオカテツドウシズオカシミズセン,shizuokatetsudoushizuokashimizusen
イズキュウコウセン,izukyuukousen
キタトヨツシンゴウジョウ,kitatoyotsushingoujou
ヒョウゴケンリツダイガク,hyougokenritsudaigaku
センダイマチ,sendaimachi
シゲノブマチ,shigenobumachi
コウクウジエイタイ,koukuujieitai
コッカイ,kokkai
フジヤホテル,fujiyahoteru
ハコネ・コマガダケロープウェー,hakone・komagadakerōpuwē
サイバンインセイド,saibaninseido
オリコン,orikon
ニート,nīto
ガイナックス,gainakkusu
パナソニック,panasonikku
タカタ,takata
イシタニシンゴウジョウ,ishitanishingoujou
タニナカレイエン,taninakareien
ポケモンジェット,pokemonjetto
ニチレンマサムネ,nichirenmasamune
スケバン,sukeban
ヤマガタコクサイドキュメンタリーエイガサイ,yamagatakokusaidokyumentarīeigasai
ボンズ,bonzu
ウシドンブリ,ushidonburi
タイマテラ,taimatera
アツミグン,atsumigun
アムールプレート,amūrupurēto
アツタジングウ,atsutajinguu
アクワイア,akuwaia
フウセンバクダン,fuusenbakudan
ショウガクカンマンガショウ,shougakukanmangashou
シンジュク,shinjuku
リュウツウケイザイダイガク,ryuutsuukeizaidaigaku
コウベデンテツ,koubedentetsu
カノヤタイイクダイガク,kanoyataiikudaigaku
シガイカダイガク,shigaikadaigaku
リブレ,ribure
ニチカントンネル,nichikantonneru
ツシマカイボン,tsushimakaibon
ニッポンジユウトウ,nipponjiyuutou
ニシカワマチ,nishikawamachi
ツルブンカダイガク,tsurubunkadaigaku
ウシマドマチ,ushimadomachi
クサツセン,kusatsusen
オオハラグン,ooharagun
カナガワダイガク,kanagawadaigaku
ヤマガタケンリツホケンイリョウダイガク,yamagatakenritsuhokeniryoudaigaku
サッポロイカダイガク,sapporoikadaigaku
アオモリコウリツダイガク,aomorikouritsudaigaku
ホンバショ,honbasho
オウセイフッコ,ouseifukko
シャカイミンシュトウ,shakaiminshutou
クシロコウリツダイガク,kushirokouritsudaigaku
コウリツハコダテミライダイガク,kouritsuhakodatemiraidaigaku
アサヒカワイカダイガク,asahikawaikadaigaku
モトアカサカ,motoakasaka
オオヤマカンコウデンテツオオヤマコウサクセン,ooyamakankoudentetsuooyamakousakusen
レッスルキングダム,ressurukingudamu
ヒメカワシンゴウジョウ,himekawashingoujou
アカサカサカス,akasakasakasu
イズハコネテツドウ,izuhakonetetsudou
シズオカケンオガサヤマソウゴウウンドウコウエンスタジアム,shizuokakenogasayamasougouundoukouensutajiamu
オオイタスポーツコウエンソウゴウキョウギジョウ,ooitasupōtsukouensougoukyougijou
ロッテグループ,rottegurūpu
センゴクジダイ,sengokujidai
ニホンテレビホウソウモウ,nihonterebihousoumou
ヒガシカントウジドウシャドウ,higashikantoujidoushadou
アメヤヨコチョウ,ameyayokochou
ゼンニホンクウユ,zennihonkuuyu
アジアリーグアイスホッケー,ajiarīguaisuhokkē
トヤマワン,toyamawan
シラキヤ,shirakiya
タケシマモンダイ,takeshimamondai
デミングショウ,demingushou
ニホンカイコショウモンダイ,nihonkaikoshoumondai
ムサシマチ,musashimachi
ミヤギキュウジョウ,miyagikyuujou
ダンサンジンシャ,dansanjinsha
シュトコウソクチュウオウカンジョウセン,shutokousokuchuuoukanjousen
ゴウセツチタイ,gousetsuchitai
パナソニック・エコシステムズ,panasonikku・ekoshisutemuzu
ジャパンラグビーリーグワン,japanragubīrīguwan
ホウヨカイキョウ,houyokaikyou
アイヅテツドウ,aidzutetsudou
ダイソウサンギョウ,daisousangyou
スクウェア・エニックス,sukuwea・enikkusu
イワクニハン,iwakunihan
ニッポンギンコウケン,nipponginkouken
イブリシチョウ,iburishichou
ルモエシチョウ,rumoeshichou
キッカアキラ,kikkaakira
ニチチュウカンシュノウカイダン,nichichuukanshunoukaidan
ザイニッポンダイカンミンコクミンダン,zainippondaikanminkokumindan
