angela merkel,앙겔라 메르켈,anggelra mereukel
ostsee,발트해,balteuhae
heidelberg,하이델베르크,haidelbereukeu
flensburg,플렌스부르크,peulrenseubureukeu
torgau,토르가우,toreugau
krefeld,크레펠트,keurepelteu
sendenhorst,젠덴호르스트,jendenhoreuseuteu
dessauroßlau,데사우로슬라우,desauroseulrau
lüdenscheid,뤼덴샤이트,rwidensyaiteu
delmenhorst,델멘호르스트,delmenhoreuseuteu
neuss,노이스,noiseu
deutsche mark,독일 마르크,dogil mareukeu
eintracht frankfurt,아인트라흐트 프랑크푸르트,ainteuraheuteu peurangkeupureuteu
leipzig,라이프치히,raipeucihi
gelsenkirchen,겔젠키르헨,geljenkireuhen
leverkusen,레버쿠젠,rebeokujen
worms,보름스,boreumseu
ingolstadt,잉골슈타트,inggolsyutateu
bodensee,보덴호,bodenho
offenburg,오펜부르크,openbureukeu
lüneburg,뤼네부르크,rwinebureukeu
neubrandenburg,노이브란덴부르크,noibeurandenbureukeu
greifswald,그라이프스발트,geuraipeuseubalteu
neuulm,노이울름,noiulreum
riesa,리자,rija
langenscheidt,랑엔샤이트,rangensyaiteu
bernburg,베른부르크,bereunbureukeu
schwaben,슈바벤현,syubabenhyeon
siegburg,지크부르크,jikeubureukeu
ketsch,케치,keci
audi,아우디,audi
airbus helicopters,에어버스 헬리콥터,eeobeoseu helrikobteo
documenta,도큐멘타,dokyumenta
fußballbundesliga,분데스리가,bundeseuriga
alemannia aachen,알레마니아 아헨,alremania ahen
kempten,켐프텐,kempeuten
herborn,헤르보른,hereuboreun
horch,호르히,horeuhi
cherry,체리,ceri
mauser,마우저,maujeo
regnum teutonicum,독일 왕국,dogil wanggug
flughafen stuttgart,슈투트가르트 공항,syututeugareuteu gonghang
wattenmeer,바덴해,badenhae
charité,샤리테,syarite
brücke,브뤼케,beurwike
checkpoint charlie,체크포인트 찰리,cekeupointeu calri
deutsche küche,독일 요리,dogil yori
pommern,포메라니아,pomerania
borussia mönchengladbach,보루시아 묀헨글라트바흐,borusia moenhengeulrateubaheu
commerzbank tower,코메르츠방크 타워,komereuceubangkeu taweo
universität potsdam,포츠담 대학교,poceudam daehaggyo
einbeck,아인베크,ainbekeu
sigmaringen,지크마링겐,jikeumaringgen
puma,푸마,puma
vaalserberg,팔제르베르크,paljereubereukeu
sachsen leipzig,작센 라이프치히,jagsen raipeucihi
philippsuniversität marburg,마르부르크 대학교,mareubureukeu daehaggyo
rotweiß oberhausen,로트바이스 오버하우젠,roteubaiseu obeohaujen
bayreuther festspiele,바이로이트 축제,bairoiteu cugje
deutsche zentrumspartei,독일 중앙당,dogil jungangdang
bundesarbeitsgericht,연방노동법원,yeonbangnodongbeobweon
gendarmenmarkt,잔다르멘마르크트,jandareumenmareukeuteu
erzgebirge aue,에르츠게비르게 아우에,ereuceugebireuge aue
deutsche fußballnationalmannschaft der frauen,독일 여자 축구 국가대표팀,dogil yeoja cuggu guggadaepyotim
ägyptisches museum berlin,베를린 이집트 박물관,bereulrin ijibteu bagmulgwan
hauzenberg,하우첸베르크,haucenbereukeu
prüm,프륌,peurwim
fujitsu siemens computers,후지쯔 지멘스 컴퓨터스,hujijjeu jimenseu keompyuteoseu
obersalzberg,오버잘츠베르크,obeojalceubereukeu
berliner festspiele,베를린 페스티벌,bereulrin peseutibeol
walhalla,발할라,balhalra
göllheim,괼하임,goelhaim
deep silver,딥 실버,dib silbeo
rugbybundesliga,럭비분데스리가,reogbibundeseuriga
greiz,그라이츠,geuraiceu
eutin,오이틴,oitin
alter botanischer garten,괴팅겐 대학교 식물원,goetinggen daehaggyo sigmulweon
demag,데마그,demageu
jungingen,융깅겐,yungginggen
geisenheim,가이젠하임,gaijenhaim
südwestrundfunk,남서독일방송,namseodogilbangsong
knds deutschland,크라우스마파이 베크만,keurauseumapai bekeuman
exzellenzinitiative,우수대학육성정책,usudaehagyugseongjeongcaeg
glashütte original,글라스휘테 오리기날,geulraseuhwite original
emporis,엠포리스,emporiseu
ettal,에탈,etal
sportpark ronhof,슈포르트파르크 론호프,syuporeuteupareukeu ronhopeu
justizvollzugsanstalt landsberg,란츠베르크 교도소,ranceubereukeu gyodoso
schlosskirche,슐로스키르헤,syulroseukireuhe
kidsco,키즈코,kijeuko
tropical islands,트로피컬 아일랜즈,teuropikeol ailraenjeu
kaufhaus des westens,카우프하우스 데스 베스텐스,kaupeuhauseu deseu beseutenseu
babelsberg,바벨스베르크,babelseubereukeu
rotring,로트링,roteuring
käthe wohlfahrt,캐테 볼파르트,kaete bolpareuteu
deutsche mystik,독일 신비주의,dogil sinbijuyi
erima,에리마,erima
herzogenaurach,헤르초게나우라흐,hereucogenauraheu
niederbarnimer eisenbahn,니더바르님 철도,nideobareunim ceoldo
preußische hauptkadettenanstalt,독일 육군사관학교,dogil yuggunsagwanhaggyo
siemens gamesa,지멘스 가메사,jimenseu gamesa
techno viking,테크노 바이킹,tekeuno baiking
reisewarnung,여행경보,yeohaenggyeongbo
top ten club,톱 텐 클럽,tob ten keulreob
munich international school,뮌헨 국제 학교,mwinhen gugje haggyo
mastodon,마스토돈,maseutodon
ionity,아이오니티,aioniti
marburg,마르부르크,mareubureukeu
lippstadt,립슈타트,ribsyutateu
rügen,뤼겐섬,rwigenseom
berliner mauer,베를린 장벽,bereulrin jangbyeog
borgward,보그바르트,bogeubareuteu
universität bielefeld,빌레펠트 대학교,bilrepelteu daehaggyo
deutsche marine,독일 해군,dogil haegun
konstanz,콘스탄츠,konseutanceu
ludwigmaximiliansuniversität münchen,뮌헨 대학교,mwinhen daehaggyo
chiemsee,킴호,kimho
volkswagen,폭스바겐,pogseubagen
hamburg,함부르크,hambureukeu
stuttgart,슈투트가르트,syututeugareuteu
gifhorn,기프호른,gipeuhoreun
rötha,뢰타,roeta
erfurt,에어푸르트,eeopureuteu
chaos computer club,카오스 컴퓨터 클럽,kaoseu keompyuteo keulreob
pirmasens,피르마젠스,pireumajenseu
dülmen,뒬멘,dwilmen
stade,슈타데,syutade
meißen,마이센,maisen
hamburghafencity,하펜시티,hapensiti
chemnitz,켐니츠,kemniceu
mittelfranken,미텔프랑켄현,mitelpeurangkenhyeon
memmingen,메밍겐,meminggen
hagen,하겐,hagen
koblenz,코블렌츠,kobeulrenceu
bundesgrenzschutz,연방국경경비대,yeonbangguggyeonggyeongbidae
bundeskriminalamt,연방형사청,yeonbanghyeongsaceong
sinsheim,진스하임,jinseuhaim
jülich,율리히,yulrihi
gütersloh,귀터슬로,gwiteoseulro
neumünster,노이뮌스터,noimwinseuteo
starnberg,슈타른베르크,syutareunbereukeu
bayarena,바이아레나,baiarena
reichenau,라이헤나우섬,raihenauseom
deutscher bundestag,독일 연방의회,dogil yeonbangyihoe
osnabrück,오스나브뤼크,oseunabeurwikeu
siegen,지겐,jigen
sylt,질트섬,jilteuseom
prähistorische pfahlbauten um die alpen,알프스 주변의 선사시대 말뚝 주거지,alpeuseu jubyeonyi seonsasidae malddug jugeoji
euro,유로,yuro
rothschild,로스차일드가,roseucaildeuga
welthauptstadt germania,세계수도 게르마니아,segyesudo gereumania
flughafen berlin brandenburg,베를린 브란덴부르크 공항,bereulrin beurandenbureukeu gonghang
rottweil,로트바일,roteubail
arminia bielefeld,아르미니아 빌레펠트,areuminia bilrepelteu
ruhrgebiet,루르,rureu
barclaycard,바클리카드,bakeulrikadeu
haldensleben,할덴슬레벤,haldenseulreben
justizpalast,정의궁,jeongyigung
olympiastadion münchen,올림피아슈타디온 뮌헨,olrimpiasyutadion mwinhen
irminsul,이르민술,ireuminsul
kieler friede,킬 조약,kil joyag
alte pinakothek,알테 피나코테크,alte pinakotekeu
germanwings,저먼윙스,jeomeonwingseu
volkswagen arena,폭스바겐 아레나,pogseubagen arena
bundeswappen deutschlands,독일의 국장,dogilyi gugjang
dynamo dresden,뒤나모 드레스덴,dwinamo deureseuden
franken,프랑켄,peurangken
potsdamer platz,포츠담 광장,poceudam gwangjang
völkischer beobachter,푈키셔 베오바흐터,poelkisyeo beobaheuteo
albertludwigsuniversität freiburg,프라이부르크 대학교,peuraibureukeu daehaggyo
falknerei,매사냥,maesanyang
stern,슈테른,syutereun
süddeutsche zeitung,쥐트도이체 차이퉁,jwiteudoice caitung
oderneißegrenze,오데르나이세선,odereunaiseseon
kabel eins,카벨 아인스,kabel ainseu
tadano faun,타다노 파운,tadano paun
dreisamstadion,드라이잠슈타디온,deuraijamsyutadion
oberstdorf,오베르스트도르프,obereuseuteudoreupeu
moldauhafen,몰다우하펜,moldauhapen
uber arena,메르세데스벤츠 아레나,mereusedeseubenceu arena
asics,아식스,asigseu
east side gallery,이스트 사이드 갤러리,iseuteu saideu gaelreori
hallescher,할레셔,halresyeo
herbolzheim,헤르볼츠하임,hereubolceuhaim
nivea,니베아,nibea
aerologic,에어로로직,eeororojig
olympiapark,올륌피아파르크,olrwimpiapareukeu
flughafen dortmund,도르트문트 공항,doreuteumunteu gonghang
railjet,레일젯,reiljes
bundeskartellamt,연방담합청,yeonbangdamhabceong
evonik industries,에보닉 인더스트리스,ebonig indeoseuteuriseu
senftenberg,젠프텐베르크,jenpeutenbereukeu
dessau,데사우,desau
günzburg,귄츠부르크,gwinceubureukeu
berliner ensemble,베를리너 앙상블,bereulrineo angsangbeul
sieper,시쿠,siku
schleswig,슐레스비히,syulreseubihi
innotrans,이노트란스,inoteuranseu
jerichow,예리호,yeriho
sassnitz,자스니츠,jaseuniceu
hünfeld,휜펠트,hwinpelteu
voigtländer,보이그랜더,boigeuraendeo
simplicissimus,심플리치시무스,simpeulricisimuseu
deutscher außenminister,독일의 외무장관,dogilyi oemujanggwan
netinera,네티네라,netinera
weingarten,바인가르텐,baingareuten
lübben,뤼벤,rwiben
sächsische staatskapelle dresden,드레스덴 국립 관현악단,deureseuden gugrib gwanhyeonagdan
waldi,발디,baldi
tennis borussia berlin,테니스 보루시아 베를린,teniseu borusia bereulrin
autostadt,아우토슈타트,autosyutateu
nationalsozialistischer deutscher studentenbund,민족사회주의 독일 학생동맹,minjogsahoejuyi dogil hagsaengdongmaeng
realschule,레알슐레,realsyulre
nadrensee,나드렌제,nadeurenje
hauptschule,하우프트슐레,haupeuteusyulre
bambi,밤비상,bambisang
rheinstadion,라인슈타디온,rainsyutadion
echo,에코상,ekosang
deutschlandfunk,도이칠란트푼크,doicilranteupunkeu
nielebock,니엘레보크,nielrebokeu
universität duisburgessen,뒤스부르크에센 대학교,dwiseubureukeuesen daehaggyo
german wings,저먼 윙스,jeomeon wingseu
franckhkosmos,코스모스,koseumoseu
alpidischer gebirgsgürtel,알프스히말라야 조산대,alpeuseuhimalraya josandae
internationale mathematische union,국제 수학 연맹,gugje suhag yeonmaeng
buttbrunnen,버트브루넨,beoteubeurunen
fachhochschule kiel,킬 응용학문대학,kil eungyonghagmundaehag
kirche in not,고통받는 교회 돕기,gotongbadneun gyohoe dobgi
statkraft,스태트크래프트,seutaeteukeuraepeuteu
vollstreckbarkeit,집행력,jibhaengryeog
baden,바덴,baden
aktienbuch,주주명부,jujumyeongbu
nordhausen,노르트하우젠,noreuteuhaujen
bautzen,바우첸,baucen
hildesheim,힐데스하임,hildeseuhaim
bielefeld,빌레펠트,bilrepelteu
oberhausen,오버하우젠,obeohaujen
aalen,알렌,alren
celle,첼레,celre
schwetzingen,슈베칭겐,syubecinggen
ludwigsburg,루트비히스부르크,ruteubihiseubureukeu
zeithain,자이틴,jaitin
mainz,마인츠,mainceu
suhl,줄,jul
wernigerode,베르니게로데,bereunigerode
deutscher orden,튜턴 기사단,tyuteon gisadan
zschopau,초파우,copau
die welt,디 벨트,di belteu
rheinfelden,라인펠덴,rainpelden
ufa,우파,upa
singen,징겐,jinggen
deutsche wiedervereinigung,독일의 재통일,dogilyi jaetongil
münchen,뮌헨,mwinhen
eintracht braunschweig,아인트라흐트 브라운슈바이크,ainteuraheuteu beuraunsyubaikeu
nürnberger ärzteprozess,의사 재판,yisa jaepan
fortuna düsseldorf,포르투나 뒤셀도르프,poreutuna dwiseldoreupeu
zalando,잘란도,jalrando
moers,뫼르스,moereuseu
recklinghausen,레클링하우젠,rekeulringhaujen
ratingen,라팅엔,ratingen
bocholt,보홀트,boholteu
minden,민덴,minden
landshut,란츠후트,ranceuhuteu
wedel,베델,bedel
bamberger dom,밤베르크 대성당,bambereukeu daeseongdang
energie cottbus,에네르기 콧부스,enereugi kosbuseu
bauhaus,바우하우스,bauhauseu
münchner abkommen,뮌헨 협정,mwinhen hyeobjeong
deutsche börse,도이치 뵈르제,doici boereuje
chemnitzer,켐니츠,kemniceu
deutscher werkbund,독일 공작연맹,dogil gongjagyeonmaeng
rheinmetall,라인메탈,rainmetal
bach,바흐가,baheuga
juliusmaximiliansuniversität würzburg,뷔르츠부르크 대학교,bwireuceubureukeu daehaggyo
rheinland,라인란트,rainranteu
georgaugustuniversität göttingen,괴팅겐 대학교,goetinggen daehaggyo
allianz arena,알리안츠 아레나,alrianceu arena
deutsche welle,도이체 벨레,doice belre
lindau,린다우,rindau
universität hamburg,함부르크 대학교,hambureukeu daehaggyo
füssen,퓌센,pwisen
air cargo germany,에어 카고 저머니,eeo kago jeomeoni
romantische straße,로맨틱 가도,romaentig gado
generalgouvernement belgien,벨기에 총독부,belgie congdogbu
löwenbräu,뢰벤브로이,roebenbeuroi
hamburger abendblatt,함부르거 아벤트블라트,hambureugeo abenteubeulrateu
tokio hotel,토쿄 호텔,tokyo hotel
cannstatter volksfest,칸슈타트 축제,kansyutateu cugje
tokyopop,토쿄팝,tokyopab
berchtesgaden,베르히테스가덴,bereuhiteseugaden
agfa,아그파게바트,ageupagebateu
osram,오스람,oseuram
bereitschaftspolizei,상비경찰,sangbigyeongcal
hertie school,헤르티 스쿨,hereuti seukul
pilz,필츠,pilceu
glückstadt,글뤼크슈타트,geulrwikeusyutateu
grimmepreis,그림메상,geurimmesang
boppard,보파르트,bopareuteu
syke,쉬케,swike
fulda gap,풀다 간격,pulda gangyeog
soltau,졸타우,joltau
oberkochen,오버코헨,obeokohen
reichsbank,국가은행,guggaeunhaeng
fabercastell,파버카스텔,pabeokaseutel
salzwedel,잘츠베델,jalceubedel
luftschiffbau zeppelin,체펠린 비행조선,cepelrin bihaengjoseon
interregio,인터레기오,inteoregio
perleberg,페를레베르크,pereulrebereukeu
halstenbek,할슈텐베크,halsyutenbekeu
neckarsulm,네카르줄름,nekareujulreum
ratzeburg,라체부르크,racebureukeu
völkerschlachtdenkmal,전승기념비,jeonseungginyeombi
meersburg,메어스부르크,meeoseubureukeu
kulturlandschaft dresdner elbtal,드레스덴 엘베 계곡,deureseuden elbe gyegog
kunstakademie düsseldorf,쿤스트아카데미 뒤셀도르프,kunseuteuakademi dwiseldoreupeu
mödlareuth,뫼들라로이트,moedeulraroiteu
sony center,소니 센터,soni senteo
fresenius,프레제니우스,peurejeniuseu
parkstadion,파르크슈타디온,pareukeusyutadion
augsburg airways,아우크스부르크 항공,aukeuseubureukeu hanggong
minox,미녹스,minogseu
sicherheitspolizei,보안경찰,boangyeongcal
nassauweilburg,나사우바일부르크가,nasaubailbureukeuga
jägermeister,예거마이스터,yegeomaiseuteo
mannheim business school,만하임 비즈니스 스쿨,manhaim bijeuniseu seukul
wandervogel,반더포겔,bandeopogel
wormser dom,보름스 대성당,boreumseu daeseongdang
balda,발다,balda
borussia neunkirchen,보루시아 노인키르헨,borusia noinkireuhen
carl hanser verlag,칼 한저 출판사,kal hanjeo culpansa
kunsthochschule mainz,마인츠 예술대학,mainceu yesuldaehag
hyundai motorsport,현대 모터스포츠,hyeondae moteoseupoceu
fußballregionalliga,레기오날리가,regionalriga
schneeball,슈네발,syunebal
kreisleiter,군구지휘자,gungujihwija
baumkuchen,바움쿠헨,baumkuhen
deutschuruguayische beziehungen,독일우루과이 관계,dogilurugwai gwangye
alternative für deutschland,독일을 위한 대안,dogileul wihan daean
atotech,아토텍,atoteg
kabinett scholz,숄츠 내각,syolceu naegag
eisenach,아이제나흐,aijenaheu
gerhardfieselerwerke,피젤러,pijelreo
gotha,고타,gota
grevenbroich,그레벤브로이흐,geurebenbeuroiheu
bochum,보훔,bohum
lünen,뤼넨,rwinen
remscheid,렘샤이트,remsyaiteu
arnsberg,아른스베르크,areunseubereukeu
rosenheim,로젠하임,rojenhaim
schwarzwald,슈바르츠발트,syubareuceubalteu
marsberg,마르스베르크,mareuseubereukeu
straubing,슈트라우빙,syuteuraubing
wirtschaft deutschlands,독일의 경제,dogilyi gyeongje
kallstadt,칼슈타트,kalsyutateu
quedlinburg,크베들린부르크,keubedeulrinbureukeu
köln,쾰른,koelreun
fürth,퓌르트,pwireuteu
helgoland,헬골란트섬,helgolranteuseom
salzgitter,잘츠기터,jalceugiteo
cuxhaven,쿡스하펜,kugseuhapen
hamburger hafen,함부르크 항,hambureukeu hang
alpen,알프스산맥,alpeuseusanmaeg
hamm,함,ham
ulm,울름,ulreum
auto union,아우토 유니언,auto yunieon
opel,오펠,opel
gallien,갈리아,galria
arri,아리,ari
basf,바스프,baseupeu
teutoburger wald,토이토부르크 숲,toitobureukeu sup
frankfurter buchmesse,프랑크푸르트 도서전,peurangkeupureuteu doseojeon
hiddenhausen,히덴하우젠,hidenhaujen
oberpfalz,오버팔츠현,obeopalceuhyeon
saarlouis,자를루이,jareulrui
internationale filmfestspiele berlin,베를린 국제 영화제,bereulrin gugje yeonghwaje
deutsches museum,독일 박물관,dogil bagmulgwan
olympiastadion berlin,올림피아슈타디온 베를린,olrimpiasyutadion bereulrin
sudeten,수데티산맥,sudetisanmaeg
brandenburger tor,브란덴부르크 문,beurandenbureukeu mun
thyssenkrupp,티센크루프,tisenkeurupeu
vorpommern,포어포메른,poeopomereun
maulbronn,마울브론,maulbeuron
aeg,아에게,aege
rheinenergiestadion,라인에네르기슈타디온,rainenereugisyutadion
brobergen,브로베르겐,beurobereugen
münchener rück,뮤닉 리,myunig ri
heinzvonheidenarena,니더작센슈타디온,nideojagsensyutadion
frankfurter schule,프랑크푸르트 학파,peurangkeupureuteu hagpa
deutsche grammophon,도이체 그라모폰,doice geuramopon
die zeit,디 차이트,di caiteu
die heimat,독일 국민민주당,dogil gugminminjudang
commerzbank,코메르츠방크,komereuceubangkeu
taunus,타우누스산맥,taunuseusanmaeg
kurfürstendamm,쿠르퓌르스텐담,kureupwireuseutendam
kickers offenbach,키커스 오펜바흐,kikeoseu openbaheu
sennheiser,젠하이저,jenhaijeo
zoo leipzig,라이프치히 동물원,raipeucihi dongmulweon
photokina,포토키나,potokina
flughafen nürnberg,뉘른베르크 공항,nwireunbereukeu gonghang
main tower,마인 타워,main taweo
mainzer fastnacht,마인츠 사육제,mainceu sayugje
mewa arena,메바 아레나,meba arena
uhlsport,울스포츠,ulseupoceu
französischer dom,프랑스 돔,peurangseu dom
büdingen,뷔딩겐,bwidinggen
lufthansa cargo,루프트한자 카고,rupeuteuhanja kago
radiosinfonieorchester stuttgart des swr,슈투트가르트 남서독일 방송 교향악단,syututeugareuteu namseodogil bangsong gyohyangagdan
aida cruises,아이다 크루즈,aida keurujeu
bundeskanzleramt,연방총리청,yeonbangcongriceong
rote zora,붉은 조라,bulgeun jora
henkel,헨켈,henkel
adelsdorf,아델스도르프,adelseudoreupeu
evobus,이보버스,ibobeoseu
wega,베가,bega
alzey,알차이,alcai
preußische ostbahn,프로이센 동방철도,peuroisen dongbangceoldo
krisis,크리시스,keurisiseu
angewandte chemie,앙게반테 케미,anggebante kemi
chilehaus,칠레하우스,cilrehauseu
magirus,마지루스,majiruseu
wacken,바켄,baken
liqui moly,리퀴 몰리,rikwi molri
northeim,노르트하임,noreuteuhaim
burgfriedenspolitik,성내평화정치,seongnaepyeonghwajeongci
germanisches nationalmuseum,게르만족 국립박물관,gereumanjog gugribbagmulgwan
leinefeldeworbis,라이네펠데보르비스,rainepeldeboreubiseu
berliner außenring,베를린 외곽순환선,bereulrin oegwagsunhwanseon
eschborn,에슈보른,esyuboreun
intercityexperimental,인터시티엑스페리멘탈,inteositiegseuperimental
soundcloud,사운드클라우드,saundeukeulraudeu
lamy,라미,rami
luckenwalde,루켄발데,rukenbalde
wirecard,와이어카드,waieokadeu
hannover rück,하노버 리,hanobeo ri
grundig,그룬딕,geurundig
denzlingen,덴츨링겐,denceulringgen
oberschütze,상급사격병,sanggeubsagyeogbyeong
münchner residenz,뮌헨 레지덴츠,mwinhen rejidenceu
der angriff,데어 앙그리프,deeo anggeuripeu
wella,웰라,welra
weltkongress der uiguren,세계 위구르 회의,segye wigureu hoeyi
friedrichsruh,프리드리히스루,peurideurihiseuru
kärcher,카처,kaceo
meyer werft,마이어 베르프트,maieo bereupeuteu
wormatia worms,보르마티아 보름스,boreumatia boreumseu
heeresamt,육군청,yuggunceong
heeresführungskommando,육군지도사령부,yuggunjidosaryeongbu
verbandsliga,페어반츠리가,peeobanceuriga
kinder schokolade,킨더 초콜릿,kindeo cokolris
olympische geschichte deutschlands,올림픽 독일 선수단,olrimpig dogil seonsudan
internet governance forum,인터넷 거버넌스 포럼,inteones geobeoneonseu poreom
höfner,호프너,hopeuneo
regionalexpress,레기오날엑스프레스,regionalegseupeureseu
berlin fashion week,베를린 패션 위크,bereulrin paesyeon wikeu
hackbraten,미트로프,miteuropeu
roggenbrot,호밀빵,homilbbang
christopher street day,크리스토퍼 스트리트 데이,keuriseutopeo seuteuriteu dei
eisenbahnunfall von bad aibling,바트아이블링 열차 충돌 사고,bateuaibeulring yeolca cungdol sago
bayern campus,바이에른 캄푸스,baiereun kampuseu
berliner nordbahn,베를린 북부선,bereulrin bugbuseon
anhalter vorortbahn,안할트 근교선,anhalteu geungyoseon
wannseebahn,반제선,banjeseon
hochbahngesellschaft,호흐반게젤샤프트,hoheubangejelsyapeuteu
spandauer vorortbahn,슈판다우 근교선,syupandau geungyoseon
nakam,나캄,nakam
heidekrautbahn,하이데크라우트선,haidekeurauteuseon
flugplatz gatow,가토 비행장,gato bihaengjang
hamburger stadtbahnanschluss,함부르크선 도심연결선,hambureukeuseon dosimyeongyeolseon
jestetten,예슈테텐,yesyuteten
lottstetten,로트슈테텐,roteusyuteten
hochrheinbahn,호흐라인선,hoheurainseon
marksburg,막스부르크성,magseubureukeuseong
usedomer bäderbahn,우제도머 베더반,ujedomeo bedeoban
vietnamesen,비엣족,biesjog
mediamarktsaturn,메디아마르크트자투른,mediamareukeuteujatureun
delitzsch,델리치,delrici
inter leipzig,인터 라이프치히,inteo raipeucihi
eilenburg,아일렌부르크,ailrenbureukeu
justizvollzugsanstalt tegel,테겔 교도소,tegel gyodoso
justizvollzugsanstalt moabit,모아비트 교도소,moabiteu gyodoso
justizvollzugsanstalt plötzensee,플뢰첸제 교도소,peulroecenje gyodoso
deutsches schifffahrtsmuseum,독일 해양박물관,dogil haeyangbagmulgwan
münchner sicherheitskonferenz,뮌헨 안보회의,mwinhen anbohoeyi
feinwerkbau,파인베르크바우,painbereukeubau
kriegsverbrechergefängnis spandau,슈판다우 교도소,syupandau gyodoso
deutsche mathematikervereinigung,독일 수학회,dogil suhaghoe
berlincharlottenburg,샤를로텐부르크,syareulrotenbureukeu
türkgücü münchen,튀르크귀쥐 뮌헨,twireukeugwijwi mwinhen
kühne logistics university,퀴네 물류 대학,kwine mulryu daehag
großenkneten,그로셍크네텐,geurosengkeuneten
norddeutschland,북독일,bugdogil
transfermarktde,트랜스퍼마크트,teuraenseupeomakeuteu
fichtelgebirge,피히텔산맥,pihitelsanmaeg
borussia fulda,보루시아 풀다,borusia pulda
sozialistische reichspartei,독일 사회주의국가당,dogil sahoejuyiguggadang
otterberg,오테베르크,otebereukeu
womanizer,우머나이저,umeonaijeo
astronomische gesellschaft,독일 천문학회,dogil ceonmunhaghoe
würzburger kickers,뷔르츠부르거 키커스,bwireuceubureugeo kikeoseu
fußballregionalliga südwest,레기오날리가 쥐트베스트,regionalriga jwiteubeseuteu
codex manesse,마네세 법전,manese beobjeon
wegeleben,베겔레벤,begelreben
hückelhoven,휘켈호벤,hwikelhoben
reeperbahn,리퍼반,ripeoban
universität stuttgart,슈투트가르트 대학교,syututeugareuteu daehaggyo
gamestar,게임스타,geimseuta
deutsche taekwondo union,독일 태권도 연맹,dogil taegweondo yeonmaeng
moskauer vertrag,모스크바 조약,moseukeuba joyag
discover airlines,디스커버 항공,diseukeobeo hanggong
pascha,파샤,pasya
schwarze schar,슈바르체 샤르,syubareuce syareu
lohmar,로마르,romareu
landessternwarte heidelbergkönigstuhl,하이델베르크 천문대,haidelbereukeu ceonmundae
mannheimer sternwarte,만하임 천문대,manhaim ceonmundae
sammlung philippi,필리피 컬렉션,pilripi keolregsyeon
europäische agentur für flugsicherheit,유럽 연합 항공 안전청,yureob yeonhab hanggong anjeonceong
kirkel,키르켈,kireukel
heddesheim,헤데스하임,hedeseuhaim
odenwald,오덴발트산맥,odenbalteusanmaeg
rheinneckarkreis,라인네카어군,rainnekaeogun
weinheim,바인하임,bainhaim
vector informatik,벡터 인포매틱,begteo inpomaetig
nationalsozialistischer untergrund,국가사회주의 지하조직,guggasahoejuyi jihajojig
marktredwitz,마르크트레트비츠,mareukeuteureteubiceu
swinging hannover,스윙잉 하노버,seuwinging hanobeo
bundeskunstsammlung,분데스쿤스트삼름룽,bundeseukunseuteusamreumrung
englischer garten,영국 정원,yeonggug jeongweon
bündnis sahra wagenknecht,자라 바겐크네히트 동맹,jara bagenkeunehiteu dongmaeng
altana,알타나,altana
deutschlandticket,도이칠란트티켓,doicilranteutikes
bravo,브라보,beurabo
jettingenscheppach,예팅겐,yetinggen
stuttgarter kickers,슈투트가르터 키커스,syututeugareuteo kikeoseu
stadtbahn duisburg,뒤스부르크 슈타트반,dwiseubureukeu syutateuban
prenzlau,프렌츨라우,peurenceulrau
frauenkirche,프라우엔키르헤,peurauenkireuhe
european air transport leipzig,유러피안 에어 트랜스포트 라이프치히,yureopian eeo teuraenseupoteu raipeucihi
weimarer klassik,바이마르 고전주의,baimareu gojeonjuyi
karlsruher kongress,카를스루에 회의,kareulseurue hoeyi
innogames,이노게임스,inogeimseu
süddeutschland,남독일,namdogil
haidhausen,하이트하우젠,haiteuhaujen
klaus ernst,클라우스 에른스트,keulrauseu ereunseuteu
josef schreiner,요제프 슈라이너,yojepeu syuraineo
markus lanz,마르쿠스 란츠,mareukuseu ranceu
ulrich karger,울리히 카르거,ulrihi kareugeo
peter steiner,페터 슈타이너,peteo syutaineo
peter schüler,페터 쉴러,peteo swilreo
hark bohm,하르크 봄,hareukeu bom
michael herbig,미카엘 헤르비그,mikael hereubigeu
winfried frey,윈프레드 프레이,winpeuredeu peurei
heinz paula,하인츠 파울라,hainceu paulra
nicolas könig,니콜라스 쾨니그,nikolraseu koenigeu
joseph höffner,요제프 회프너,yojepeu hoepeuneo
herbert achternbusch,헤르베르트 아흐테른부슈,hereubereuteu aheutereunbusyu
christian ude,크리스티안 우데,keuriseutian ude
andreas eschbach,안드레아스 에슈바흐,andeureaseu esyubaheu
wolfgang schulte,볼프강 슐테,bolpeugang syulte
hans clarin,한스 클라린,hanseu keulrarin
wolfgang müllerwiener,볼프강 뮐러비너,bolpeugang mwilreobineo
peter kleist,페터 클라이스트,peteo keulraiseuteu
harald lesch,하랄드 레쉬,haraldeu reswi
benjamin seifert,베냐민 자이페르트,benyamin jaipereuteu
hilde hildebrand,힐데 힐데브란트,hilde hildebeuranteu
reinhard haupenthal,라인하르트 하우펜탈,rainhareuteu haupental
martin roman,마르틴 로만,mareutin roman
heribert faßbender,헤리베르트 파스벤더,heribereuteu paseubendeo
konstantin wecker,콘스탄틴 베커,konseutantin bekeo
christiane pilz,크리스티아네 필츠,keuriseutiane pilceu
steffen wöller,슈테펜 뵐러,syutepen boelreo
katrin göringeckardt,카트린 괴링에카르트,kateurin goeringekareuteu
