кирилл,基里尔,jī lǐ ěr
али алханов,阿卢·阿尔哈诺夫,ā lú · ā ěr hā nuò fū
геннадий манаков,根纳季·马纳科夫,gēn nà jì · mǎ nà kē fū
юнусбек евкуров,尤努斯别克·叶夫库罗夫,yóu nǔ sī bié kè · yè fū kù luó fū
евгений крылатов,叶夫根尼·克里拉托夫,yè fū gēn ní · kè lǐ lā tuō fū
алексей балабанов,阿历克塞·巴拉巴诺夫,ā lì kè sāi · bā lā bā nuò fū
николай добронравов,尼科莱·多布朗拉沃夫,ní kē lái · duō bù lǎng lā wò fū
герман хан,格尔曼·汗,gé ěr màn · hàn
юрий николаевич балуевский,尤里·尼古拉耶维奇·巴卢耶夫斯基,yóu lǐ · ní gǔ lā yē wéi qí · bā lú yē fū sī jī
сергей франк,谢尔盖·弗兰克,xiè ěr gài · fú lán kè
анатолий эдуардович сердюков,阿纳托利·爱德华多维奇·谢尔久科夫,ā nà tuō lì · ài dé huá duō wéi qí · xiè ěr jiǔ kē fū
геннадий гудков,根纳季·古德科夫,gēn nà jì · gǔ dé kē fū
денис глушаков,丹尼斯·格卢沙科夫,dān ní sī · gé lú shā kē fū
максим галкин,马克西姆·加尔金,mǎ kè xī mǔ · jiā ěr jīn
магомедсалам магомедов,马格米萨拉姆·穆罕默多夫,mǎ gé mǐ sà lā mǔ · mù hǎn mò duō fū
олег кузьмин,奥列格·库兹敏,ào liè gé · kù zī mǐn
александр амисулашвили,亚历山大·阿米萨拉什维利,yà lì shān dà · ā mǐ sà lā shén wéi lì
ролан гусев,罗兰·古谢夫,luó lán · gǔ xiè fū
александр пичушкин,亚历山大·皮丘希金,yà lì shān dà · pí qiū xī jīn
екатерина макарова,叶卡捷琳娜·马卡洛娃,yè kǎ jié lín nà · mǎ kǎ luò wá
виктор михайлович чебриков,维克托·米哈伊洛维奇·切布里科夫,wéi kè tuō · mǐ hā yī luò wéi qí · qiè bù lǐ kē fū
виктор борисович христенко,维克托·鲍里索维奇·赫里斯坚科,wéi kè tuō · bào lǐ suǒ wéi qí · hè lǐ sī jiān kē
валерий поляков,瓦列里·波利亚科夫,wǎ liè lǐ · bō lì yà kē fū
владислав третьяк,弗拉迪斯拉夫·特雷蒂亚克,fú lā dí sī lā fū · tè léi dì yà kè
владимир гранат,弗拉基米尔·格拉纳特,fú lā jī mǐ ěr · gé lā nà tè
вик уайлд,维克·维尔德,wéi kè · wéi ěr dé
мария миронова,玛丽亚·米罗诺娃,mǎ lì yà · mǐ luó nuò wá
евгений судьбин,叶夫盖尼·苏德宾,yè fū gài ní · sū dé bīn
ольга гурлукович,奥尔加·古鲁科维奇,ào ěr jiā · gǔ lǔ kē wéi qí
игорь таланкин,伊戈尔·塔兰金,yī gē ěr · tǎ lán jīn
константин хабенский,康斯坦丁·卡班斯基,kāng sī tǎn dīng · kǎ bān sī jī
морис лапидус,莫里斯·拉皮迪斯,mò lǐ sī · lā pí dí sī
виктор медведчук,维克托·梅德韦丘克,wéi kè tuō · méi dé wéi qiū kè
фёдор смолов,费多尔·斯莫罗夫,fèi duō ěr · sī mò luó fū
николай кардашёв,尼古拉·卡尔达肖夫,ní gǔ lā · kǎ ěr dá xiào fū
игорь шалимов,伊戈尔·沙利莫夫,yī gē ěr · shā lì mò fū
александр аскольдов,阿列克山卓·阿斯寇多夫,ā liè kè shān zhuó · ā sī kòu duō fū
вероника долина,贝罗尼卡·多利纳,bèi luó ní kǎ · duō lì nà
вильям похлёбкин,威廉·波赫列布金,wēi lián · bō hè liè bù jīn
сергей семёнович собянин,谢尔盖·谢苗诺维奇·索比亚宁,xiè ěr gài · xiè miáo nuò wéi qí · suǒ bǐ yà níng
владимир поляков,弗拉迪米尔·波利亚科夫,fú lā dí mǐ ěr · bō lì yà kē fū
евгений рошал,尤金·罗谢尔,yóu jīn · luó xiè ěr
муху алиев,穆胡·阿利耶夫,mù hú · ā lì yē fū
максим бельков,马克西姆·贝尔科夫,mǎ kè xī mǔ · bèi ěr kē fū
юлия такшина,尤利娅·塔克希娜,yóu lì yà · tǎ kè xī nà
симеон полоцкий,谢苗·波洛茨基,xiè miáo · bō luò cí jī
юлий борисович харитон,尤利·鲍里索维奇·哈里顿,yóu lì · bào lǐ suǒ wéi qí · hā lǐ dùn
аркадий дворкович,阿尔卡季·德沃尔科维奇,ā ěr kǎ jì · dé wò ěr kē wéi qí
сергей николаевич старостин,谢尔盖·尼古拉耶维奇·斯塔罗斯京,xiè ěr gài · ní gǔ lā yē wéi qí · sī tǎ luó sī jīng
александр бухаров,亚历山大·布哈罗夫,yà lì shān dà · bù hā luó fū
анна чакветадзе,安娜·恰克韦塔泽,ān nà · qià kè wéi tǎ zé
талгат мусабаев,塔尔加特·穆萨巴耶夫,tǎ ěr jiā tè · mù sà bā yē fū
константин феоктистов,康斯坦丁·费奥科迪斯托夫,kāng sī tǎn dīng · fèi ào kē dí sī tuō fū
владимир кейлисборок,弗拉迪米尔·凯利斯波洛克,fú lā dí mǐ ěr · kǎi lì sī bō luò kè
шолбан караоол,绍尔班·卡拉乌尔,shào ěr bān · kǎ lā wū ěr
глеб павловский,格列布·巴甫洛夫斯基,gé liè bù · bā fǔ luò fū sī jī
юрий борзаковский,尤里·博尔扎科夫斯基,yóu lǐ · bó ěr zhā kē fū sī jī
владимир сорокин,弗拉基米尔·索罗金,fú lā jī mǐ ěr · suǒ luó jīn
марианна максимовская,玛丽安娜·马克西莫夫斯卡娅,mǎ lì ān nà · mǎ kè xī mò fū sī kǎ yà
виктор астафьев,维克托·阿斯塔菲耶夫,wéi kè tuō · ā sī tǎ fēi yē fū
георгий аркадьевич арбатов,格奥尔基·阿尔卡季耶维奇·阿尔巴托夫,gé ào ěr jī · ā ěr kǎ jì yē wéi qí · ā ěr bā tuō fū
дина кочеткова,迪娜·科切特科娃,dí nà · kē qiè tè kē wá
максим михайлов,马克西姆·米哈伊洛夫,mǎ kè xī mǔ · mǐ hā yī luò fū
александр александрович щелканов,亚历山大·亚历山德罗维奇·谢尔卡诺夫,yà lì shān dà · yà lì shān dé luó wéi qí · xiè ěr kǎ nuò fū
олег новицкий,奥勒根·诺维斯基,ào lè gēn · nuò wéi sī jī
гурий марчук,古里·马尔丘克,gǔ lǐ · mǎ ěr qiū kè
олег меньшиков,欧列格·缅希科夫,ōu liè gé · miǎn xī kē fū
эдуард эргартович россель,爱德华·叶加尔托维奇·罗塞尔,ài dé huá · yè jiā ěr tuō wéi qí · luó sāi ěr
майкл лукас,迈克尔·卢卡斯,mài kè ěr · lú kǎ sī
николай дмитриевич кузнецов,尼古拉·德米特里耶维奇·库兹涅佐夫,ní gǔ lā · dé mǐ tè lǐ yē wéi qí · kù zī niè zuǒ fū
борис павлович бугаев,鲍里斯·帕夫洛维奇·布加耶夫,bào lǐ sī · pà fū luò wéi qí · bù jiā yē fū
юлий михайлович воронцов,尤里·米哈伊洛维奇·沃伦特索夫,yóu lǐ · mǐ hā yī luò wéi qí · wò lún tè suǒ fū
сергей петрович новиков,谢尔盖·彼得罗维奇·诺维科夫,xiè ěr gài · bǐ dé luó wéi qí · nuò wéi kē fū
эдгар приб,埃德加·普里布,āi dé jiā · pǔ lǐ bù
лев термен,李昂·特雷门,lǐ áng · tè léi mén
станислав смирнов,斯坦尼斯拉夫·斯米尔诺夫,sī tǎn ní sī lā fū · sī mǐ ěr nuò fū
анна цукановакотт,安娜·茨卡诺瓦,ān nà · cí kǎ nuò wǎ
валерий брумель,瓦列里·布鲁梅尔,wǎ liè lǐ · bù lǔ méi ěr
владислав листьев,弗拉季斯拉夫·利斯季耶夫,fú lā jì sī lā fū · lì sī jì yē fū
сергей базаревич,谢尔盖·巴扎尔耶维奇,xiè ěr gài · bā zhā ěr yē wéi qí
сергей мозякин,谢尔盖·莫扎金,xiè ěr gài · mò zhā jīn
алексей анатольевич ковалёв,阿列克谢·阿纳托利耶维奇·科瓦廖夫,ā liè kè xiè · ā nà tuō lì yē wéi qí · kē wǎ liào fū
василий якеменко,瓦西里·亚克缅科,wǎ xī lǐ · yà kè miǎn kē
лев окунь,列夫·奥昆,liè fū · ào kūn
анатолий александрович собчак,阿纳托利·亚历山德洛维奇·索布恰克,ā nà tuō lì · yà lì shān dé luò wéi qí · suǒ bù qià kè
алексей швед,阿历克谢·舍维德,ā lì kè xiè · shè wéi dé
сергей родионов,谢尔盖·拉奇奥诺夫,xiè ěr gài · lā qí ào nuò fū
виктор янукович,维克托·亚努科维奇,wéi kè tuō · yà nǔ kē wéi qí
геннадий айги,捷纳狄·艾基,jié nà dí · ài jī
андрей каряка,安德烈·卡里亚卡,ān dé liè · kǎ lǐ yà kǎ
дмитрий хворостовский,季米特里·霍洛斯托夫斯基,jì mǐ tè lǐ · huò luò sī tuō fū sī jī
александр бастрыкин,亚历山大·巴斯特雷金,yà lì shān dà · bā sī tè léi jīn
антон назаренко,安东·纳扎仁科,ān dōng · nà zhā rén kē
екатерина рябова,叶卡捷琳娜·里亚博娃,yè kǎ jié lín nà · lǐ yà bó wá
елена темникова,叶莲娜·杰姆尼科娃,yè lián nà · jié mǔ ní kē wá
юрий кара,尤里·卡拉,yóu lǐ · kǎ lā
ренат ибрагимов,雷纳塔·易卜拉欣莫,léi nà tǎ · yì bǔ lā xīn mò
николай бордюжа,尼古拉·博尔久扎,ní gǔ lā · bó ěr jiǔ zhā
шейн перкинс,沙恩·珀金斯,shā ēn · pò jīn sī
владимир спиваков,弗拉基米尔·斯皮瓦科夫,fú lā jī mǐ ěr · sī pí wǎ kē fū
василий кульков,瓦西里·库里括夫,wǎ xī lǐ · kù lǐ kuò fū
георгий степанович жжёнов,格奥尔基·斯捷潘诺维奇·日茹诺夫,gé ào ěr jī · sī jié pān nuò wéi qí · rì rú nuò fū
ахрик цвейба,艾赫利克·茨维巴,ài hè lì kè · cí wéi bā
михаил иванович будыко,麦克海尔·伊万诺维奇·布迪科,mài kè hǎi ěr · yī wàn nuò wéi qí · bù dí kē
алексей иванович аджубей,阿列克谢·伊万诺维奇·阿朱别伊,ā liè kè xiè · yī wàn nuò wéi qí · ā zhū bié yī
наталья бехтерева,娜塔莉亚·贝赫捷列娃,nà tǎ lì yà · bèi hè jié liè wá
тимур бекмамбетов,提默·贝克曼比托夫,tí mò · bèi kè màn bǐ tuō fū
михаил игнатьев,米哈伊尔·伊格纳季耶夫,mǐ hā yī ěr · yī gé nà jì yē fū
антон германович силуанов,安东·格尔马诺维奇·西卢安诺夫,ān dōng · gé ěr mǎ nuò wéi qí · xī lú ān nuò fū
эдуард мудрик,爱德华·穆德里克,ài dé huá · mù dé lǐ kè
андрей дементьев,安德烈·德门季耶夫,ān dé liè · dé mén jì yē fū
геннадий хазанов,根纳季·哈萨诺威,gēn nà jì · hā sà nuò wēi
алексей баталов,阿列克谢·巴塔洛夫,ā liè kè xiè · bā tǎ luò fū
павел деревянко,帕维尔·杰列维扬科,pà wéi ěr · jié liè wéi yáng kē
юрий маленченко,尤里·马连琴科,yóu lǐ · mǎ lián qín kē
виталий буяновский,维塔利·布亚诺夫斯基,wéi tǎ lì · bù yà nuò fū sī jī
теймураз габашвили,泰穆拉兹·加巴什维利,tài mù lā zī · jiā bā shén wéi lì
лариса долина,拉丽莎·多利纳,lā lì shā · duō lì nà
анатолий богданов,安纳托里·波格丹诺夫,ān nà tuō lǐ · bō gé dān nuò fū
нина уланова,尼娜·乌兰诺娃,ní nà · wū lán nuò wá
михаил капранов,米哈伊尔·卡普拉诺夫,mǐ hā yī ěr · kǎ pǔ lā nuò fū
константин кинчев,康斯坦丁·金奇维,kāng sī tǎn dīng · jīn qí wéi
александр домогаров,亚历山大·多莫加罗夫,yà lì shān dà · duō mò jiā luó fū
михаил чумаков,米哈伊尔·楚马科夫,mǐ hā yī ěr · chǔ mǎ kē fū
арсен каноков,阿尔森·卡诺科夫,ā ěr sēn · kǎ nuò kē fū
таисия повалий,塔伊西娅·波瓦尔利,tǎ yī xī yà · bō wǎ ěr lì
галина джугашвили,加琳娜·朱加什维利,jiā lín nà · zhū jiā shén wéi lì
гарри бардин,加里·巴尔丁,jiā lǐ · bā ěr dīng
григорий горин,格里戈里·戈林,gé lǐ gē lǐ · gē lín
сергей николаевич бабурин,谢尔盖·尼古拉耶维奇·巴布林,xiè ěr gài · ní gǔ lā yē wéi qí · bā bù lín
антон сихарулидзе,安东·西哈鲁利泽,ān dōng · xī hā lǔ lì zé
илья резник,伊利亚·雷兹尼克,yī lì yà · léi zī ní kè
нина меньшикова,妮娜·门希科瓦,nī nà · mén xī kē wǎ
леонид десятников,列昂尼德·戴西亚特尼科夫,liè áng ní dé · dài xī yà tè ní kē fū
дмитрий маликов,德米特里·马里科夫,dé mǐ tè lǐ · mǎ lǐ kē fū
ник перумов,尼克·佩鲁莫夫,ní kè · pèi lǔ mò fū
николай укк,尼古拉·乌卡卡,ní gǔ lā · wū kǎ kǎ
ирина муравьёва,伊琳娜·穆拉维耶娃,yī lín nà · mù lā wéi yē wá
леонид броневой,列昂尼德·布罗涅沃伊,liè áng ní dé · bù luó niè wò yī
евгений воронов,叶夫根尼·萨夫罗诺夫,yè fū gēn ní · sà fū luó nuò fū
александр богданович карлин,亚历山大·波格丹诺维奇·卡林,yà lì shān dà · bō gé dān nuò wéi qí · kǎ lín
михаил абрамович швейцер,米哈伊尔·阿布拉莫维奇·施韦泽,mǐ hā yī ěr · ā bù lā mò wéi qí · shī wéi zé
татьяна миткова,塔季扬娜·米特科娃,tǎ jì yáng nà · mǐ tè kē wá
леонид парфёнов,莱昂纳德·帕菲永诺夫,lái áng nà dé · pà fēi yǒng nuò fū
ксения афанасьева,克谢尼娅·阿法纳西耶娃,kè xiè ní yà · ā fǎ nà xī yē wá
николай николаевич губенко,尼古拉·尼古拉耶维奇·古边科,ní gǔ lā · ní gǔ lā yē wéi qí · gǔ biān kē
александр беглов,亚历山大·别格洛夫,yà lì shān dà · bié gé luò fū
александр збруев,亚历山大·兹布吕耶夫,yà lì shān dà · zī bù lǚ yē fū
вячеслав евгеньевич позгалёв,维亚切斯拉夫·叶夫根尼耶维奇·波兹加廖夫,wéi yà qiè sī lā fū · yè fū gēn ní yē wéi qí · bō zī jiā liào fū
семён антонов,赛姆杨·安托诺夫,sài mǔ yáng · ān tuō nuò fū
армен тахтаджян,亚美因·塔赫塔江,yà měi yīn · tǎ hè tǎ jiāng
фёдор юрчихин,费奥多尔·雅奇金,fèi ào duō ěr · yǎ qí jīn
велько кадиевич,韦利科·卡迪耶维奇,wéi lì kē · kǎ dí yē wéi qí
евгений устюгов,叶夫根尼·乌斯秋戈夫,yè fū gēn ní · wū sī qiū gē fū
руслан пименов,鲁斯兰·皮梅诺夫,lǔ sī lán · pí méi nuò fū
максим ильич сорокин,马克西姆·伊里奇·索罗金,mǎ kè xī mǔ · yī lǐ qí · suǒ luó jīn
марк тайманов,马克·泰马诺夫,mǎ kè · tài mǎ nuò fū
виктор горбатко,维克托·戈尔巴特科,wéi kè tuō · gē ěr bā tè kē
ерохин юрьевич,亚历山大·叶罗欣,yà lì shān dà · yè luó xīn
алексей бугаев,阿列克谢·布加耶夫,ā liè kè xiè · bù jiā yē fū
роман ерёменко,罗曼·叶廖缅科,luó màn · yè liào miǎn kē
михаил громов,米哈伊尔·格罗莫夫,mǐ hā yī ěr · gé luó mò fū
ольга остроумова,奥尔佳·奥斯特罗乌莫娃,ào ěr jiā · ào sī tè luó wū mò wá
олег григорьевич митяев,奥列格·格里戈里耶维奇·米佳耶夫,ào liè gé · gé lǐ gē lǐ yē wéi qí · mǐ jiā yē fū
валентин гафт,瓦连京·佳夫特,wǎ lián jīng · jiā fū tè
мария гайдар,玛丽亚·盖达尔,mǎ lì yà · gài dá ěr
владимир этуш,弗拉基米尔·埃图什,fú lā jī mǐ ěr · āi tú shén
анастасия заворотнюк,阿纳斯塔西娅·扎沃罗特纽克,ā nà sī tǎ xī yà · zhā wò luó tè niǔ kè
тамара гвердцители,塔玛拉·格维尔济介里,tǎ mǎ lā · gé wéi ěr jì jiè lǐ
николай крылов,尼古拉·克雷洛夫,ní gǔ lā · kè léi luò fū
николай петрович бурляев,尼古拉·彼得洛维奇·布尔利亚耶夫,ní gǔ lā · bǐ dé luò wéi qí · bù ěr lì yà yē fū
василий лановой,瓦西里·兰诺沃依,wǎ xī lǐ · lán nuò wò yī
дмитрий светозаров,德米特里·斯韦托扎罗夫,dé mǐ tè lǐ · sī wéi tuō zhā luó fū
людмила шагалова,柳德米拉·莎加洛娃,liǔ dé mǐ lā · shā jiā luò wá
александр николаенко,亚历山大·尼科拉恩科,yà lì shān dà · ní kē lā ēn kē
сергей ервандович кургинян,谢尔盖·叶尔万多维奇·库尔吉扬,xiè ěr gài · yè ěr wàn duō wéi qí · kù ěr jí yáng
станислав жук,斯坦尼斯拉夫·祖克,sī tǎn ní sī lā fū · zǔ kè
юлия латынина,尤利娅·菲尼娜,yóu lì yà · fēi ní nà
михаил иванович бурцев,米哈伊尔·伊万诺维奇·布尔采夫,mǐ hā yī ěr · yī wàn nuò wéi qí · bù ěr cǎi fū
сергей гармаш,谢尔盖·加尔马什,xiè ěr gài · jiā ěr mǎ shén
владимир буковский,弗拉基米尔·布科夫斯基,fú lā jī mǐ ěr · bù kē fū sī jī
рашид нургалиев,拉希德·努尔加利耶夫,lā xī dé · nǔ ěr jiā lì yē fū
рената литвинова,雷娜塔·利特维诺娃,léi nà tǎ · lì tè wéi nuò wá
светлана меткина,斯维特拉娜·麦金娜,sī wéi tè lā nà · mài jīn nà
кир булычёв,柯·布利乔夫,kē · bù lì qiáo fū
вадим евсеев,瓦迪姆·埃夫塞夫,wǎ dí mǔ · āi fū sāi fū
дмитрий радченко,季米特里·拉德琴科,jì mǐ tè lǐ · lā dé qín kē
василий ливанов,瓦西里·利瓦诺夫,wǎ xī lǐ · lì wǎ nuò fū
александр колобнев,亚历山大·科洛布涅夫,yà lì shān dà · kē luò bù niè fū
константин меладзе,康斯坦丁·梅拉德泽,kāng sī tǎn dīng · méi lā dé zé
никита некрасов,尼基塔·涅克拉索夫,ní jī tǎ · niè kè lā suǒ fū
елена соловей,艾莲娜·索洛维,ài lián nà · suǒ luò wéi
татьяна друбич,塔雅娜·德鲁比奇,tǎ yǎ nà · dé lǔ bǐ qí
виктор иванов,维克托·伊万诺夫,wéi kè tuō · yī wàn nuò fū
тимофей мозгов,季莫费·莫兹戈夫,jì mò fèi · mò zī gē fū
борис егоров,鲍里斯·叶戈罗夫,bào lǐ sī · yè gē luó fū
леонид кизим,列奥尼德·奇兹米,liè ào ní dé · qí zī mǐ
эдуард хиль,爱德华·吉尔,ài dé huá · jí ěr
диана арбенина,黛安娜·阿贝尼纳,dài ān nà · ā bèi ní nà
михаил михайлович жванецкий,米哈伊尔·米哈伊洛维奇·日瓦涅茨基,mǐ hā yī ěr · mǐ hā yī luò wéi qí · rì wǎ niè cí jī
елена сафонова,叶连娜·萨福诺娃,yè lián nà · sà fú nuò wá
константин затулин,康斯坦丁·扎特林,kāng sī tǎn dīng · zhā tè lín
александр татарский,亚历山大·塔塔尔斯基,yà lì shān dà · tǎ tǎ ěr sī jī
александр мартынович,亚历山大·马丁诺维奇,yà lì shān dà · mǎ dīng nuò wéi qí
олег веретенников,奥列格·维雷杰尼科夫,ào liè gé · wéi léi jié ní kē fū
алексей петренко,阿列克谢·彼得连科,ā liè kè xiè · bǐ dé lián kē
светлана сурганова,斯维特兰娜·苏尔加诺娃,sī wéi tè lán nà · sū ěr jiā nuò wá
абдурахман авторханов,阿卜杜拉赫曼·阿夫托尔汉诺夫,ā bǔ dù lā hè màn · ā fū tuō ěr hàn nuò fū
анатолий кот,阿纳托利·科特,ā nà tuō lì · kē tè
семён аранович,谢米扬·阿拉诺维奇,xiè mǐ yáng · ā lā nuò wéi qí
юлий гусман,尤利·古斯曼,yóu lì · gǔ sī màn
михаил зурабов,米哈伊尔·祖拉博夫,mǐ hā yī ěr · zǔ lā bó fū
борис ефимов,鲍里斯·叶菲莫夫,bào lǐ sī · yè fēi mò fū
владислав галкин,福拉迪斯拉夫·加尔金,fú lā dí sī lā fū · jiā ěr jīn
евгений иванович шапошников,叶夫根尼·伊万诺维奇·沙波什尼科夫,yè fū gēn ní · yī wàn nuò wéi qí · shā bō shén ní kē fū
владимир хотиненко,弗拉基米尔·霍季年科,fú lā jī mǐ ěr · huò jì nián kē
владимир иванович долгих,弗拉基米尔·伊万诺维奇·多尔吉赫,fú lā jī mǐ ěr · yī wàn nuò wéi qí · duō ěr jí hè
егор борисов,叶戈尔·鲍里索夫,yè gē ěr · bào lǐ suǒ fū
надежда михалкова,娜杰日达·米哈尔科娃,nà jié rì dá · mǐ hā ěr kē wá
марк солонин,马克·索洛宁,mǎ kè · suǒ luò níng
григорий яковлевич бакланов,格里高利·雅可夫列维奇·巴克拉诺夫,gé lǐ gāo lì · yǎ kě fū liè wéi qí · bā kè lā nuò fū
алексей ерёменко,阿列克谢·叶廖缅科,ā liè kè xiè · yè liào miǎn kē
виктор михайлович зимин,维克托·米哈伊洛维奇·济明,wéi kè tuō · mǐ hā yī luò wéi qí · jì míng
ляйсан утяшева,利亚桑·乌蒂亚谢娃,lì yà sāng · wū dì yà xiè wá
фарход васиев,法尔霍德·瓦谢耶夫,fǎ ěr huò dé · wǎ xiè yē fū
александр евгеньевич бовин,亚历山大·叶夫根尼耶维奇·鲍文,yà lì shān dà · yè fū gēn ní yē wéi qí · bào wén
дмитрий гаев,德米特里·加耶夫,dé mǐ tè lǐ · jiā yē fū
александр баркашов,亚历山大·巴尔卡绍夫,yà lì shān dà · bā ěr kǎ shào fū
алексей иванов,阿列克谢·伊万诺夫,ā liè kè xiè · yī wàn nuò fū
игорь скляр,伊戈尔·斯克利亚尔,yī gē ěr · sī kè lì yà ěr
сергей шакуров,谢尔盖·沙库洛夫,xiè ěr gài · shā kù luò fū
андрей краско,安德烈·克拉斯科,ān dé liè · kè lā sī kē
александра яковлева,亚历山德拉·雅科夫列娃,yà lì shān dé lā · yǎ kē fū liè wá
михаил пореченков,米哈伊尔·波列琴科夫,mǐ hā yī ěr · bō liè qín kē fū
владимир петрович евтушенков,弗拉基米尔·彼得罗维奇·叶夫图申科夫,fú lā jī mǐ ěr · bǐ dé luó wéi qí · yè fū tú shēn kē fū
пётр олегович авен,彼得·奥列格维奇·埃文,bǐ dé · ào liè gé wéi qí · āi wén
александр пороховщиков,亚历山大·波罗霍夫什奇科夫,yà lì shān dà · bō luó huò fū shén qí kē fū
алексей булдаков,阿列克斯·布尔达科夫,ā liè kè sī · bù ěr dá kē fū
олег анофриев,奥列格·阿诺弗里耶夫,ào liè gé · ā nuò fú lǐ yē fū
валентин афонин,瓦伦丁·阿福宁,wǎ lún dīng · ā fú níng
николай иванович рыжков,尼古拉·伊万诺维奇·雷日科夫,ní gǔ lā · yī wàn nuò wéi qí · léi rì kē fū
борис немцов,鲍里斯·涅姆佐夫,bào lǐ sī · niè mǔ zuǒ fū
вячеслав михайлович котёночкин,维亚切斯拉夫·米哈伊洛维奇·科琼诺奇金,wéi yà qiè sī lā fū · mǐ hā yī luò wéi qí · kē qióng nuò qí jīn
рудольф борисович баршай,鲁道夫·鲍里索维奇·巴尔沙伊,lǔ dào fū · bào lǐ suǒ wéi qí · bā ěr shā yī
александр серебров,亚历山大·谢列布罗夫,yà lì shān dà · xiè liè bù luó fū
давид белявский,大卫·贝里亚夫斯奇,dà wèi · bèi lǐ yà fū sī qí
дмитрий яковенко,德米特里·雅科文科,dé mǐ tè lǐ · yǎ kē wén kē
георгий береговой,乔治·贝雷戈瓦,qiáo zhì · bèi léi gē wǎ
юрий ильич скуратов,尤里·伊里奇·斯库拉托夫,yóu lǐ · yī lǐ qí · sī kù lā tuō fū
тихон николаевич хренников,吉洪·尼古拉耶维奇·赫连尼科夫,jí hóng · ní gǔ lā yē wéi qí · hè lián ní kē fū
георгий александрович балл,乔治·亚历山德罗维奇·波,qiáo zhì · yà lì shān dé luó wéi qí · bō
анна ивановна щетинина,安娜·伊万诺夫娜·谢季宁娜,ān nà · yī wàn nuò fū nà · xiè jì níng nà
анна ковальчук,安娜·科瓦利丘克,ān nà · kē wǎ lì qiū kè
василий пичул,瓦希里·皮楚尔,wǎ xī lǐ · pí chǔ ěr
минтимер шарипович шаймиев,明季梅尔·沙里波维奇·沙伊米耶夫,míng jì méi ěr · shā lǐ bō wéi qí · shā yī mǐ yē fū
лерика,莱里卡,lái lǐ kǎ
максим концевич,马克西姆·孔采维奇,mǎ kè xī mǔ · kǒng cǎi wéi qí
александра пацкевич,阿列克桑德拉·帕茨克维奇,ā liè kè sāng dé lā · pà cí kè wéi qí
меседа багаудинова,梅塞达·贝戈迪诺瓦,méi sāi dá · bèi gē dí nuò wǎ
олег дмитриевич бакланов,奥列格·德米特里耶维奇·巴克拉诺夫,ào liè gé · dé mǐ tè lǐ yē wéi qí · bā kè lā nuò fū
эммануэль брагинский,埃米尔·布拉金斯基,āi mǐ ěr · bù lā jīn sī jī
ахсарбек хаджимурзаевич галазов,阿赫萨尔别克·哈吉穆尔扎耶维奇·加拉佐夫,ā hè sà ěr bié kè · hā jí mù ěr zhā yē wéi qí · jiā lā zuǒ fū
анатолий байдачный,阿纳托利·拜达奇尼,ā nà tuō lì · bài dá qí ní
геннадий падалка,根纳季·帕达尔卡,gēn nà jì · pà dá ěr kǎ
егор летов,叶戈尔·莱托夫,yè gē ěr · lái tuō fū
лариса богораз,拉里莎·波哥拉兹,lā lǐ shā · bō gē lā zī
михаил алёшин,米哈伊尔·阿列申,mǐ hā yī ěr · ā liè shēn
геннадий бурбулис,根纳季·布尔布利斯,gēn nà jì · bù ěr bù lì sī
александра крунич,雅历珊查·古努尼克,yǎ lì shān chá · gǔ nǔ ní kè
николай цискаридзе,尼古拉·齐斯卡里泽,ní gǔ lā · qí sī kǎ lǐ zé
игорь крутой,伊戈尔·克鲁托伊,yī gē ěr · kè lǔ tuō yī
курбан бердыев,古尔班·贝尔迪耶夫,gǔ ěr bān · bèi ěr dí yē fū
сергей миронов,谢尔盖·米罗诺夫,xiè ěr gài · mǐ luó nuò fū
альберт макашов,阿尔伯特·马卡绍夫,ā ěr bǎi tè · mǎ kǎ shào fū
валдис эйженович пельш,瓦尔迪斯·艾热诺维奇·佩尔什,wǎ ěr dí sī · ài rè nuò wéi qí · pèi ěr shén
эдмонд кеосаян,埃德蒙·凯赛恩,āi dé méng · kǎi sài ēn
александр феклисов,亚历山大·费克利索夫,yà lì shān dà · fèi kè lì suǒ fū
даниил трифонов,丹尼尔·特里福诺夫,dān ní ěr · tè lǐ fú nuò fū
владимир филиппов,弗拉基米尔·菲利波夫,fú lā jī mǐ ěr · fēi lì bō fū
вера красова,薇拉·克拉索娃,wēi lā · kè lā suǒ wá
лев дуров,列夫·杜罗夫,liè fū · dù luó fū
леонид седов,李奥尼德·赛德伍,lǐ ào ní dé · sài dé wǔ
андрей николаевич тихонов,安德烈·尼古拉耶维奇·吉洪诺夫,ān dé liè · ní gǔ lā yē wéi qí · jí hóng nuò fū
лолита милявская,洛莉塔·米亚维斯卡亚,luò lì tǎ · mǐ yà wéi sī kǎ yà
игорь леонидович кириллов,伊戈尔·列昂尼多维奇·基里洛夫,yī gē ěr · liè áng ní duō wéi qí · jī lǐ luò fū
лев кулиджанов,列夫·库利扎诺夫,liè fū · kù lì zhā nuò fū
виктор павлович баранников,维克托·帕夫洛维奇·巴兰尼科夫,wéi kè tuō · pà fū luò wéi qí · bā lán ní kē fū
валерий тодоровский,瓦列里·托多洛夫斯基,wǎ liè lǐ · tuō duō luò fū sī jī
гавриил илизаров,加夫里尔·伊里扎洛夫,jiā fū lǐ ěr · yī lǐ zhā luò fū
григорий рапота,格里戈里·拉波塔,gé lǐ gē lǐ · lā bō tǎ
