gerónimo,제로니모,jeronimo
venados de mazatlán,베나도스 데 마사틀란,benadoseu de masateulran
tomateros de culiacán,토마테로스 데 쿨리아칸,tomateroseu de kulriakan
comité olímpico mexicano,멕시코 올림픽 위원회,megsiko olrimpig wiweonhoe
enchilada,엔칠라다,encilrada
tzintzuntzan,친춘찬,cincuncan
libertad,리베르타드,ribereutadeu
charro,차로,caro
tlacotalpan,틀라코탈판,teulrakotalpan
guadalupe,과달루페,gwadalrupe
torre ejecutiva pemex,페멕스 본사 빌딩,pemegseu bonsa bilding
calvillo,칼비요,kalbiyo
sultanes de monterrey,술탄네스 데 몬테레이,sultanneseu de monterei
navojoa,나보호아,nabohoa
izamal,이사말,isamal
loreto,로레토,roreto
tecate,테카테,tekate
minatitlán,미나티틀란,minatiteulran
metepec,메테펙,metepeg
valladolid,바야돌리드,bayadolrideu
pátzcuaro,파트스쿠아로,pateuseukuaro
tepoztlán,테포스틀란,teposeuteulran
tepotzotlán,테포트소틀란,tepoteusoteulran
neozapatismo,신사파타주의,sinsapatajuyi
tlacochcalcatl,틀라코치칼카틀,teulrakocikalkateul
batopilas,바토필라스,batopilraseu
relaciones méxicorusia,러시아멕시코 관계,reosiamegsiko gwangye
relaciones alemaniaméxico,독일멕시코 관계,dogilmegsiko gwangye
argentina vs inglaterra,아르헨티나 대 잉글랜드,areuhentina dae inggeulraendeu
grupo imagen,그루포 이마헨,geurupo imahen
aeroméxico travel,아에로멕시코 트래블,aeromegsiko teuraebeul
aerotrén,아에로트렌,aeroteuren
pujol,푸홀,puhol
arte mexicano,멕시코의 미술,megsikoyi misul
tracfone wireless,트랙폰 와이어리스,teuraegpon waieoriseu
zapatismo,사파타주의,sapatajuyi
morena,국가재생운동,guggajaesaengundong
imagen televisión,이마헨 텔레비시온,imahen telrebision
huracán patricia,허리케인 퍼트리샤,heorikein peoteurisya
a más,아 마스,a maseu
club américa femenil,클루브 아메리카 페메닐,keulrubeu amerika pemenil
capitanes de ciudad de méxico,카피타네스 데 시우다드 데 멕시코,kapitaneseu de siudadeu de megsiko
huracán grace,허리케인 그레이스,heorikein geureiseu
figueras,피게레스,pigereseu
nerja,네르하,nereuha
calella,칼렐랴,kalrelrya
barcelona,바르셀로나,bareuselrona
gerona,지로나,jirona
pirineos,피레네산맥,pirenesanmaeg
pontevedra,폰테베드라,pontebedeura
madrid,마드리드,madeurideu
mataró,마타로,mataro
palencia,팔렌시아,palrensia
ronda,론다,ronda
montilla,몬티야,montiya
athletic club,아틀레틱 빌바오,ateulretig bilbao
alicante,알리칸테,alrikante
bilbao,빌바오,bilbao
huesca,우에스카,ueseuka
sevilla,세비야,sebiya
vigo,비고,bigo
dosríus,도스리우스,doseuriuseu
palamós,팔라모스,palramoseu
palafrugell,팔라프루제이,palrapeurujei
euro,유로,yuro
málaga,말라가,malraga
badajoz,바다호스,badahoseu
murcia,무르시아,mureusia
mallorca,마요르카섬,mayoreukaseom
cáceres,카세레스,kasereseu
viladecans,빌라데칸스,bilradekanseu
valencia,발렌시아,balrensia
soria,소리아,soria
international airlines group,국제 항공 그룹,gugje hanggong geurub
getafe,헤타페,hetape
granada,그라나다,geuranada
santander,산탄데르,santandereu
jaén,하엔,haen
cádiz,카디스,kadiseu
cataluña,카탈루냐,katalrunya
pamplona,팜플로나,pampeulrona
burgos,부르고스,bureugoseu
sabadell,사바델,sabadel
monzón,몬손,monson
ponferrada,폰페라다,ponperada
tortosa,토르토자,toreutoja
gijón,히혼,hihon
villarreal,비야레알,biyareal
lanzarote,란사로테섬,ransaroteseom
zamora,사모라,samora
huelva,우엘바,uelba
llivia,리비아,ribia
ávila,아빌라,abilra
segovia,세고비아,segobia
salamanca,살라망카,salramangka
zaragoza,사라고사,saragosa
león,레온,reon
rota,로타,rota
real zaragoza,레알 사라고사,real saragosa
móstoles,모스톨레스,moseutolreseu
hispania,히스파니아,hiseupania
islas baleares,발레아레스 제도,balreareseu jedo
seat,세아트,seateu
alcorcón,알코르콘,alkoreukon
jerez,셰리,syeri
ayerbe,아예르베,ayereube
almería,알메리아,almeria
plazas de soberanía,플라사스 데 소베라니아,peulrasaseu de soberania
córdoba,코르도바,koreudoba
elche,엘체,elce
vic,비크,bikeu
ceuta,세우타,seuta
la razón,라 라손,ra rason
melilla,멜리야,melriya
almuñécar,알무녜카르,almunyekareu
toledo,톨레도,tolredo
tarrasa,테라사,terasa
manresa,만레사,manresa
campos de sport de el sardinero,캄포스 데 스포르트 데 엘 사르디네로,kamposeu de seuporeuteu de el sareudinero
fuerteventura,푸에르테벤투라섬,puereutebenturaseom
lugo,루고,rugo
irún,이룬,irun
casa batlló,카사 바트요,kasa bateuyo
estadio de la romareda,에스타디오 데 라 로마레다,eseutadio de ra romareda
astorga,아스토르가,aseutoreuga
estadio de mestalla,에스타디오 데 메스타야,eseutadio de meseutaya
logroño,로그로뇨,rogeuronyo
teruel,테루엘,teruel
oviedo,오비에도,obiedo
gambas al ajillo,감바스 알 아히요,gambaseu al ahiyo
vitoria,비토리아,bitoria
ibiza,이비사,ibisa
algete,알헤테,alhete
naturgy,네이처지,neiceoji
casa milà,카사 밀라,kasa milra
estadio vicente calderón,에스타디오 비센테 칼데론,eseutadio bisente kalderon
alegranza,알레그란사섬,alregeuransaseom
tarragona,타라고나,taragona
batasuna,바타수나,batasuna
baraona,바라오나,baraona
avilés,아빌레스,abilreseu
copa del rey,코파 델 레이,kopa del rei
morisco,모리스코,moriseuko
aliud,알리우드,alriudeu
albacete,알바세테,albasete
cuenca,쿠엥카,kuengka
marbella,마르베야,mareubeya
el clásico,엘 클라시코,el keulrasiko
ferrol,페롤,perol
lérida,례이다,ryeida
estadio de riazor,에스타디오 데 리아소르,eseutadio de riasoreu
motril,모트릴,moteuril
cetrería,매사냥,maesanyang
medinaceli,메디나셀리,medinaselri
algeciras,알헤시라스,alhesiraseu
paterna,파테르나,patereuna
parque güell,구엘 공원,guel gongweon
cultural y deportiva leonesa,쿨투랄 이 데포르티바 레오네사,kultural i deporeutiba reonesa
puertollano,푸에르토야노,puereutoyano
costa brava,브라바 해안,beuraba haean
reus,레우스,reuseu
aranjuez,아랑후에스,aranghueseu
cortes generales,스페인 의회,seupein yihoe
alcobendas,알코벤다스,alkobendaseu
candelaria,칸델라리아,kandelraria
granollers,그라눌례스,geuranulryeseu
baracaldo,바라칼도,barakaldo
benidorm,베니도름,benidoreum
baeza,바에사,baesa
olivenza,올리벤사,olribensa
osuna,오수나,osuna
montmeló,문멜로,munmelro
alburquerque,알부르케르케,albureukereuke
torremolinos,토레몰리노스,toremolrinoseu
mijas,미하스,mihaseu
estepona,에스테포나,eseutepona
andorra,안도라,andora
romesco,로메스코,romeseuko
entrena,엔트레나,enteurena
benalmádena,베날마데나,benalmadena
guecho,게초,geco
mondragón,아라사테,arasate
fuenterrabía,온다리비아,ondaribia
tarifa,타리파,taripa
torrevieja,토레비에하,torebieha
san adrián de besós,산트 아드리아 데 베소스,santeu adeuria de besoseu
badalona,바달로나,badalrona
deportivo alavés,데포르티보 알라베스,deporeutibo alrabeseu
vicálvaro,비칼바로,bikalbaro
bandera de canarias,카나리아 제도의 기,kanaria jedoyi gi
oñate,오냐티,onyati
éibar,에이바르,eibareu
calatayud,칼라타유드,kalratayudeu
fartón,파르톤,pareuton
tolosa,톨로사,tolrosa
legión española,스페인 외인부대,seupein oeinbudae
lepe,레페,repe
sitges,시제스,sijeseu
villena,비예나,biyena
ikurriña,이쿠리냐,ikurinya
lucena,루세나,rusena
trienio liberal,스페인 반란,seupein banran
panoramio,파노라미오,panoramio
plasencia,플라센시아,peulrasensia
vilaseca,빌라세카,bilraseka
batalla de medina de rioseco,메디나 델 리오 세코 전투,medina del rio seko jeontu
castelldefels,카스텔데펠스,kaseuteldepelseu
álora,알로라,alrora
gavá,가바,gaba
águilas,아길라스,agilraseu
gandía,간디아,gandia
estadio heliodoro rodríguez lópez,에스타디오 엘리오도로 로드리게스 로페스,eseutadio elriodoro rodeurigeseu ropeseu
la vanguardia,라 반구아르디아,ra banguareudia
metrovalencia,메트로발렌시아,meteurobalrensia
nombre español,스페인의 작명,seupeinyi jagmyeong
vuelta a españa,부엘타 아 에스파냐,buelta a eseupanya
benicasim,베니카심,benikasim
arancón,아랑콘,arangkon
teide,테이데봉,teidebong
ágreda,아그레다,ageureda
real oviedo,레알 오비에도,real obiedo
estadio olímpico lluís companys,에스타디 올림픽 류이스 쿰파니스,eseutadi olrimpig ryuiseu kumpaniseu
écija balompié,에시하 발롬피에,esiha balrompie
tenerife,테네리페섬,teneripeseom
telemadrid,텔레마드리드,telremadeurideu
montehermoso,몬테헤르모소,montehereumoso
bardenas reales,바르데나스 레알레스,bareudenaseu realreseu
torre cepsa,토레 세프사,tore sepeusa
euskadi ta askatasuna,바스크 조국과 자유,baseukeu joguggwa jayu
linares,리나레스,rinareseu
arnedo,아르네도,areunedo
olympic broadcasting services,올림픽 방송 서비스,olrimpig bangsong seobiseu
sagunto,사군토,sagunto
alhambra,알람브라,alrambeura
lorca,로르카,roreuka
generalife,헤네랄리페,heneralripe
vueling airlines,부엘링 항공,buelring hanggong
tordesillas,토르데시야스,toreudesiyaseu
estadio alfredo di stéfano,에스타디오 알프레도 디 스테파노,eseutadio alpeuredo di seutepano
denia,데니아,denia
elda,엘다,elda
adra,아드라,adeura
mahón,마온,maon
jaca,하카,haka
arrecife,아레시페,aresipe
el país,엘 파이스,el paiseu
real madrid baloncesto,레알 마드리드 발론세스토,real madeurideu balronseseuto
fuenlabrada,푸엔라브라다,puenrabeurada
telecinco,텔레싱코,telresingko
mancomunidad,만코무니다드,mankomunidadeu
menorca,메노르카섬,menoreukaseom
formentera,포르멘테라섬,poreumenteraseom
garachico,가라치코,garaciko
aeropuerto josep tarradellas barcelonael prat,주제프 타라델랴스 바르셀로나 엘프라트 공항,jujepeu taradelryaseu bareuselrona elpeurateu gonghang
telde,텔데,telde
alcázar,알카사르,alkasareu
gran telescopio canarias,그랑 텔레스코피오 카나리아스,geurang telreseukopio kanariaseu
cabrales,카브랄레스,kabeuralreseu
trujillo,트루히요,teuruhiyo
palacio de deportes de la comunidad de madrid,팔라시오 데 데포르테스 데 라 코무니다드 데 마드리드,palrasio de deporeuteseu de ra komunidadeu de madeurideu
telescopio william herschel,윌리엄 허셜 망원경,wilrieom heosyeol mangweongyeong
estadio de chamartín,에스타디오 데 차마르틴,eseutadio de camareutin
grado,그라도,geurado
tibidabo,티비다보,tibidabo
itálica,이탈리카,italrika
úbeda,우베다,ubeda
loja,로하,roha
air europa,에어 유로파,eeo yuropa
acciona,악시오나,agsiona
torre glòries,토레 글로리에스,tore geulrorieseu
leganés,레가네스,reganeseu
adeje,아데헤,adehe
llanito,야니토,yanito
imperio español,스페인 제국,seupein jegug
álava,아라바도,arabado
estadio de o'donnell,캄포 데 오도넬,kampo de odonel
premio miguel de cervantes,미겔 데 세르반테스 상,migel de sereubanteseu sang
estadio de la cartuja,에스타디오 데 라 카르투하,eseutadio de ra kareutuha
salou,살로우,salrou
numancia,누만티아,numantia
sport,스포르트,seuporeuteu
el corte inglés,엘 코르테 잉글레스,el koreute inggeulreseu
almaluez,알말루에스,almalrueseu
panda security,판다 시큐리티,panda sikyuriti
villarrobledo,비야로블레도,biyarobeulredo
mirinda,미린다,mirinda
basauri,바사우리,basauri
vizcaya,비스카이아도,biseukaiado
espejo,에스페호,eseupeho
guipúzcoa,기푸스코아도,gipuseukoado
antequera,안테케라,antekera
alcántara,알칸타라,alkantara
alcañiz,알카니스,alkaniseu
armada española,스페인 해군,seupein haegun
carlismo,카를로스파,kareulroseupa
occitania,옥시타니아,ogsitania
macaronesia,마카로네시아,makaronesia
orense,오우렌세,ourense
botafumeiro,보타푸메이로,botapumeiro
carreteras europeas,유럽 고속도로,yureob gosogdoro
nuevo estadio de los cármenes,누에보 에스타디오 데 로스 카르메네스,nuebo eseutadio de roseu kareumeneseu
derechos digitales,디지털 권리,dijiteol gweonri
estadio nuevo arcángel,에스타디오 누에보 아르캉헬,eseutadio nuebo areukanghel
alándalus,알안달루스,alandalruseu
rentería,에렌테리아,erenteria
haro,아로,aro
air nostrum,에어 노스트룸,eeo noseuteurum
estadio benito villamarín,에스타디오 베니토 비야마린,eseutadio benito biyamarin
pax hispanica,팍스 히스파니카,pagseu hiseupanika
sahara español,스페인령 사하라,seupeinryeong sahara
puerta del sol,푸에르타 델 솔,puereuta del sol
marcha real,스페인의 국가,seupeinyi gugga
albacete balompié,알바세테 발롬피에,albasete balrompie
albaicín,알바이신,albaisin
mango,망고,manggo
renacimiento español,스페인 르네상스,seupein reunesangseu
bailén,바일렌,bailren
ajalvir,아할비르,ahalbireu
estadio la rosaleda,에스타디오 라 로살레다,eseutadio ra rosalreda
altea,알테아,altea
derbi madrileño,마드리드 더비,madeurideu deobi
topas,토파스,topaseu
caminito del rey,카미니토 델 레이,kaminito del rei
himno de canarias,카나리아 제도의 국가,kanaria jedoyi gugga
moros y cristianos,모로스 이 크리스티아노스,moroseu i keuriseutianoseu
ambite,암비테,ambite
rosalejo,로살레호,rosalreho
túnel de gibraltar,지브롤터 해협의 횡단,jibeurolteo haehyeobyi hoengdan
massimo dutti,마시모 두티,masimo duti
transición española,스페인의 민주화,seupeinyi minjuhwa
fundación joan miró,호안 미로 재단,hoan miro jaedan
silla barcelona,바르셀로나 의자,bareuselrona yija
zarauz,사라우츠,sarauceu
latina,라티나,ratina
biescas,비에스카스,bieseukaseu
invencible inglesa,드레이크노리스 원정,deureikeunoriseu weonjeong
torres de santa cruz,토레스 데 산타 크루스,toreseu de santa keuruseu
zara,자라,jara
ciudadela,시우타데야데메노르카,siutadeyademenoreuka
estadio el sadar,에스타디오 엘 사다르,eseutadio el sadareu
monarquía española,스페인 국왕,seupein gugwang
estelada,에스텔라다,eseutelrada
bilbao athletic,빌바오 아틀레틱,bilbao ateulretig
mobile world congress,모바일 월드 콩그레스,mobail weoldeu konggeureseu
estadio josé zorrilla,에스타디오 호세 소리야,eseutadio hose soriya
fraga,프라가,peuraga
estadio de la cerámica,에스타디오 데 라 세라미카,eseutadio de ra seramika
telefónica,텔레포니카,telreponika
camp nou,캄 노우,kam nou
pabellón alemán,바르셀로나 독일관,bareuselrona dogilgwan
torrente,토렌트,torenteu
cartagena,카르타헤나,kareutahena
bankia,방키아,bangkia
barajas,바라하스,barahaseu
chipiona,치피오나,cipiona
corporación mondragon,몬드라곤 협동조합,mondeuragon hyeobdongjohab
estadio santiago bernabéu,에스타디오 산티아고 베르나베우,eseutadio santiago bereunabeu
beach soccer worldwide,비치 사커 월드와이드,bici sakeo weoldeuwaideu
coslada,코슬라다,koseulrada
los del río,로스 델 리오,roseu del rio
instituto cervantes,세르반테스 문화원,sereubanteseu munhwaweon
circuito de barcelonacataluña,바르셀로나 카탈루냐 서킷,bareuselrona katalrunya seokis
parla,파를라,pareulra
algodonales,알고도날레스,algodonalreseu
algar,알가르,algareu
loewe,로에베,roebe
bayona,바이오나,baiona
pozoblanco,포소블랑코,posobeulrangko
tercio,테르시오,tereusio
bershka,버쉬카,beoswika
tomatina,토마티나,tomatina
caltojar,칼토하르,kaltohareu
repsol,렙솔,rebsol
museo thyssenbornemisza,티센보르네미사 미술관,tisenboreunemisa misulgwan
castilla,카스티야,kaseutiya
estadio de anoeta,에스타디오 데 아노에타,eseutadio de anoeta
oliva,올리바,olriba
campo de las corts,캄 데 레스 코르츠,kam de reseu koreuceu
trofeo teresa herrera,트로페오 테레사 에레라,teuropeo teresa erera
vinaroz,비나로스,binaroseu
marca,마르카,mareuka
museo guggenheim bilbao,빌바오 구겐하임 미술관,bilbao gugenhaim misulgwan
liga asobal,리가 아소발,riga asobal
cambrils,캄브릴스,kambeurilseu
almarza,알마르사,almareusa
costa blanca,블랑카 해안,beulrangka haean
mamá,마망,mamang
laredo,라레도,raredo
aldealices,알데알리세스,aldealriseseu
aldealafuente,알데알라푸엔테,aldealrapuente
casa de campo,카사 데 캄포,kasa de kampo
alentisque,알렌티스케,alrentiseuke
alconaba,알코나바,alkonaba
adradas,아드라다스,adeuradaseu
abejar,아베하르,abehareu
almajano,알마하노,almahano
aldealpozo,알데알포소,aldealposo
aldealseñor,알데알세뇨르,aldealsenyoreu
las ventas,라스 벤타스,raseu bentaseu
arenillas,아레니야스,areniyaseu
almazul,알마술,almasul
covaleda,코발레다,kobalreda
casarejos,카사레호스,kasarehoseu
cerbón,세르본,sereubon
villaverde,비야베르데,biyabereude
el mundo,엘 문도,el mundo
beratón,베라톤,beraton
cercanías madrid,세르카니아스 마드리드,sereukaniaseu madeurideu
joma,호마,homa
nepas,네파스,nepaseu
borobia,보로비아,borobia
miss españa,미스 에스파냐,miseu eseupanya
iglesias,이글레시아스,igeulresiaseu
coliseum,콜리세움,kolriseum
blacos,블라코스,beulrakoseu
talgo,탈고,talgo
estadio de sarriá,에스타디 데 사리아,eseutadi de saria
cobi,코비,kobi
estadio de balaídos,에스타디오 데 발라이도스,eseutadio de balraidoseu
adidas tango españa,아디다스 탱고 에스파냐,adidaseu taenggo eseupanya
la boquería,라 보케리아,ra bokeria
borja,보르하,boreuha
costa cálida,칼리다 해안,kalrida haean
estadio municipal de anduva,에스타디오 무니시팔 데 안두바,eseutadio munisipal de anduba
guardia civil,과르디아 시빌,gwareudia sibil
museo arqueológico nacional,국립 고고학 박물관,gugrib gogohag bagmulgwan
plan españa,플랜 인터내셔널,peulraen inteonaesyeoneol
culleredo,쿠제레도,kujeredo
fabada,파바다,pabada
montjuic,몬주이크,monjuikeu
orbea,오베아,obea
kelme,켈미,kelmi
carabanchel,카라반첼,karabancel
villajoyosa,비야호요사,biyahoyosa
cola cao,콜라 카오,kolra kao
observatorio fabra,파브라 천문대,pabeura ceonmundae
estadio de mendizorroza,에스타디오 데 멘디소로차,eseutadio de mendisoroca
estadio municipal de butarque,에스타디오 무니시팔 데 부타르케,eseutadio munisipal de butareuke
barca,바르카,bareuka
estadio carlos tartiere,에스타디오 카를로스 타르티에레,eseutadio kareulroseu tareutiere
judeoconverso,콘베르소,konbereuso
estadio metropolitano,시비타스 메트로폴리타노,sibitaseu meteuropolritano
copa eva duarte,코파 에바 두아르테,kopa eba duareute
estrella damm,에스트렐라 담,eseuteurelra dam
real español,스페인 레알,seupein real
copa de la coronación,코파 데 라 코로나시온,kopa de ra koronasion
estadio de los juegos mediterráneos,에스타디오 데 로스 후에고스 메디테라네오스,eseutadio de roseu huegoseu mediteraneoseu
cornisa cantábrica,에스파냐 베르데,eseupanya bereude
teneguía,테네기아,tenegia
iberismo,이베리스모,iberiseumo
nou mestalla,노우 메스타야,nou meseutaya
mazamorra,마사모라,masamora
puerta de europa,푸에르타 데 에우로파,puereuta de europa
puerta de alcalá,푸에르타 데 알칼라,puereuta de alkalra
aeropuerto de gerona,히로나코스타 브라바 공항,hironakoseuta beuraba gonghang
vía domitia,도미티아 가도,domitia gado
hegoalde,에고알데,egoalde
camper,캠퍼,kaempeo
ciudadanos,시민시민권당,siminsimingweondang
cheles,첼레스,celreseu
zumárraga,수마라가,sumaraga
estadio josé rico pérez,에스타디오 호세 리코 페레스,eseutadio hose riko pereseu
guerras carlistas,카를로스파 전쟁,kareulroseupa jeonjaeng
pasajes,파사이아,pasaia
caixabank,카이샤은행,kaisyaeunhaeng
islas alhucemas,알우세마스 제도,alusemaseu jedo
cinturón alpino,알프스히말라야 조산대,alpeuseuhimalraya josandae
madrid arena,마드리드 아레나,madeurideu arena
la rambla,람블라 거리,rambeulra geori
guetaria,게타리아,getaria
aeropuerto de santiagorosalía de castro,산티아고 로살리아 데 카스트로 공항,santiago rosalria de kaseuteuro gonghang
paseo de la castellana,파세오 데 라 카스테야나,paseo de ra kaseuteyana
iberdrola,이베르드롤라,ibereudeurolra
buñol,부뇰,bunyol
wamos air,와모스 항공,wamoseu hanggong
cine español,스페인 영화,seupein yeonghwa
rodelero,로델레로,rodelrero
sevilla atlético,세비야 아틀레티코,sebiya ateulretiko
rois,로이스,roiseu
valga,발가,balga
alpedrete,알페드레테,alpedeurete
pegaso,페가소,pegaso
siemens gamesa,지멘스 가메사,jimenseu gamesa
echévarri,에체바리,ecebari
usera,우세라,usera
torre de cristal,토레 데 크리스탈,tore de keuriseutal
premio don balón,돈 발론 상,don balron sang
balenciaga,발렌시아가,balrensiaga
grupo compostela,콤포스텔라 그룹,komposeutelra geurub
rioja,리오하,rioha
aya,아이아,aia
tetuán,테투안,tetuan
anchuelo,안추엘로,ancuelro
arroyomolinos,아로요몰리노스,aroyomolrinoseu
leiro,레이로,reiro
nacionalismo catalán,카탈루냐 내셔널리즘,katalrunya naesyeoneolrijeum
montiel,몬티엘,montiel
trofeo miguel muñoz,트로페오 미겔 무뇨스,teuropeo migel munyoseu
palacio vistalegre,팔라시오 비스탈레그레,palrasio biseutalregeure
softonic,소프트오닉,sopeuteuonig
muniesa,무니에사,muniesa
jalón,할론,halron
nogales,노갈레스,nogalreseu
chamberí,참베리,camberi
centro,센트로,senteuro
espronceda,에스프론세다,eseupeuronseda
hortaleza,오르탈레사,oreutalresa
chamartín,차마르틴,camareutin
iberia express,이베리아 익스프레스,iberia igseupeureseu
mora,모라,mora
pestiño,페스티뇨,peseutinyo
alginet,알히네트,alhineteu
derbi barcelonés,바르셀로나 더비,bareuselrona deobi
sobrino de botín,소브리노 데 보틴,sobeurino de botin
volotea,볼로테아,bolrotea
estadio nuevo mirandilla,에스타디오 누에보 미란디야,eseutadio nuebo mirandiya
estradiote,스트라디오트,seuteuradioteu
arganzuela,아르간수엘라,areugansuelra
retiro,레티로,retiro
puente nuevo,누에보 다리,nuebo dari
puente viejo,비에호 다리,bieho dari
domain hack,도메인 핵,domein haeg
moncloaaravaca,몽클로아아라바카,mongkeulroaarabaka
irizar,이리사르,irisareu
tata hispano,타타 이스파노,tata iseupano
copa federación,코파 페데라시온,kopa pederasion
primavera sound,프리마베라 사운드,peurimabera saundeu
copa del sol,코파 델 솔,kopa del sol
paseo del prado,파세오 델 프라도,paseo del peurado
moratalaz,모라탈라스,moratalraseu
comité olímpico español,스페인 올림픽 위원회,seupein olrimpig wiweonhoe
renfe,렌페,renpe
mercurysteam,머큐리스팀,meokyuriseutim
nacionalcatolicismo,국민가톨릭,gugmingatolrig
estadio municipal de montilivi,에스타디 무니시팔 데 몬틸리비,eseutadi munisipal de montilribi
radio exterior de españa,라디오 엑스테리오르 데 에스파냐,radio egseuterioreu de eseupanya
calçot,칼소트,kalsoteu
botillo,보텔루,botelru
ñora,뇨라고추,nyoragocu
estadio de atocha,에스타디오 데 아토차,eseutadio de atoca
costa dorada,도라다 해안,dorada haean
meridiano cero,본초 자오선,bonco jaoseon
telediario,텔레디아리오,telrediario
pichela,탱커드,taengkeodeu
estadio municipal de ipurúa,에스타디오 무니시팔 데 이푸루아,eseutadio munisipal de ipurua
stradivarius,스트라디바리우스,seuteuradibariuseu
zarangollo,사랑고요,saranggoyo
talgo avril,탈고 아브릴,talgo abeuril
casino internacional tibidabo,카지노 인터내셔널 티비다보,kajino inteonaesyeoneol tibidabo
trashumancia,이목,imog
estadio de nervión,에스타디오 데 네르비온,eseutadio de nereubion
cumbre ibérica,이베리아 정상회담,iberia jeongsanghoedam
cerámica almagra,적황토기 문화,jeoghwangtogi munhwa
guiri,기리,giri
copa de los campeones de españa,코파 데 로스 캄페오네스 데 에스파냐,kopa de roseu kampeoneseu de eseupanya
hipódromo de la castellana,이포드로모 데 라 카스테야나,ipodeuromo de ra kaseuteyana
igalia,이갈리아,igalria
real betis balompié,레알 베티스 페미나스,real betiseu peminaseu
banco santander,산탄데르 은행,santandereu eunhaeng
pringá,프링가,peuringga
primera federación femenina,프리메라 페데라시온 페메니나,peurimera pederasion pemenina
relaciones españauruguay,스페인우루과이 관계,seupeinurugwai gwangye
los caracoles,로스 카라콜레스,roseu karakolreseu
real academia española,스페인 왕립 학술원,seupein wangrib hagsulweon
astore,아스토레,aseutore
museum jorge rando,호르헤 란도 미술관,horeuhe rando misulgwan
podemos,포데모스,podemoseu
rosellón,루시용,rusiyong
intempo,인템포,intempo
ortiz,오르티스,oreutiseu
mormedi,모르메디,moreumedi
airbus defence and space,에어버스 디펜스 앤드 스페이스,eeobeoseu dipenseu aendeu seupeiseu
campo del retiro,티로 델 피촌,tiro del picon
relaciones españaguineabisáu,기니비사우스페인 관계,ginibisauseupein gwangye
unidas podemos,연합 포데모스,yeonhab podemoseu
estadio de torrero,에스타디오 데 토레로,eseutadio de torero
level,레벨,rebel
estadio johan cruyff,에스타디 요한 크라위프,eseutadi yohan keurawipeu
operación anubis,아누비스 작전,anubiseu jagjeon
extinction rebellion,멸종에의 반란,myeoljongeyi banran
más país,마스 파이스,maseu paiseu
segunda federación,세군다 페데라시온,segunda pederasion
tercera federación,테르세라 페데라시온,tereusera pederasion
primera federación,프리메라 페데라시온,peurimera pederasion
team heretics,팀 헤레틱스,tim heretigseu
koi,코이,koi
genaro garcía luna,게나로 가르시아 루나,genaro gareusia runa
dominika paleta,도미니카 팔레타,dominika palreta
vicente zarazúa,비센테 사라수아,bisente sarasua
eduardo capetillo,에두아르도 카페티요,eduareudo kapetiyo
tania libertad,타니아 리베르타드,tania ribereutadeu
adriana sage,아드리아나 세이지,adeuriana seiji
humberto ramos,움베르토 라모스,umbereuto ramoseu
alejandro cárdenas,알레한드로 카르데나스,alrehandeuro kareudenaseu
alfonso ortiz tirado,알폰소 오티즈 티아도,alponso otijeu tiado
guadalupe marín,과달루페 마린,gwadalrupe marin
samadhi zendejas,사마디 센데하스,samadi sendehaseu
patricia navidad,파트리시아 나비다드,pateurisia nabidadeu
felipe colombia,펠리페 콜롬보,pelripe kolrombo
erubey cabuto,에루베이 카부토,erubei kabuto
alberto del rio,알베르토 델 리오,albereuto del rio
maría rojo,마리아 로호,maria roho
paola espinoza,파올라 에스피노사,paolra eseupinosa
verónica segura,베로니카 세구라,beronika segura
carmen boullosa,카르멘 부로사,kareumen burosa
benito archundia,베니토 아르춘디아,benito areucundia
jorge cuesta,호르헤 쿠에스타,horeuhe kueseuta
leonora carrington,리어노라 캐링턴,rieonora kaeringteon
mariana levy,마리아나 레비,mariana rebi
vicente fernández,비센테 페르난데스,bisente pereunandeseu
lola álvarez bravo,롤라 알바레스 브라보,rolra albareseu beurabo
angélica maría,앙겔리카 마리아,anggelrika maria
guillermo hayden wright,기예르모 아이덴 리그트,giyereumo aiden rigeuteu
yadhira carrillo,야드히라 카리요,yadeuhira kariyo
amado nervo,아마도 네르보,amado nereubo
amado carrillo fuentes,아마도 카릴로 푸엔테스,amado karilro puenteseu
rodolfo de anda,로돌포 데 안다,rodolpo de anda
christian giménez,크리스티안 히메네스,keuriseutian himeneseu
ilan stavans,일란 스타반스,ilran seutabanseu
ramiro peña,라미로 페냐,ramiro penya
lhasa de sela,라싸 데 셀라,rassa de selra
alejandro aragón,알레한드로 아라곤,alrehandeuro aragon
lucas lobos,루카스 로보스,rukaseu roboseu
joaquín guzmán loera,호아킨 구스만 로에라,hoakin guseuman roera
jorge gutiérrez,호르헤 구티에레스,horeuhe gutiereseu
lorena rojas,로레나 로자스,rorena rojaseu
emilio fernández,에밀리오 페르난데스,emilrio pereunandeseu
vicente carrillo fuentes,빈센트 카릴로 푸엔테스,binsenteu karilro puenteseu
graciela iturbide,그레이시엘라 이스타이드,geureisielra iseutaideu
porfirio muñoz ledo,포르피리오 무뇨스 레도,poreupirio munyoseu redo
pedro infante,페드로 인판테,pedeuro inpante
daniel giménez cacho,다니엘 지메네스 카초,daniel jimeneseu kaco
adela noriega,애들 라노리에가,aedeul ranoriega
jaydy michel,하이디 미셸,haidi misyel
lucas alamán,루카스 알라만,rukaseu alraman
brontis jodorowsky,브론티스 조도로브스키,beurontiseu jodorobeuseuki
