マツモトユキヒロ,松本行弘,sōng běn háng hóng,matsumotoyukihiro
シズオカテツドウシズオカシミズセン,静冈清水线,jìng gāng qīng shuǐ xiàn,shizuokatetsudoushizuokashimizusen
イズキュウコウセン,伊豆急行线,yī dòu jí xíng xiàn,izukyuukousen
フジヤホテル,富士屋酒店,fù shì wū jiǔ diàn,fujiyahoteru
センゴクジダイ,战国时代,zhàn guó shí dài,sengokujidai
ゼンニホンクウユ,全日本空输,quán rì běn kōng shū,zennihonkuuyu
ホンバショ,本场所,běn chǎng suǒ,honbasho
オウセイフッコ,王政复古,wáng zhèng fù gǔ,ouseifukko
ニホンテレビホウソウモウ,日本电视台,rì běn diàn shì tái,nihonterebihousoumou
ヒガシカントウジドウシャドウ,东关东自动车道,dōng guān dōng zì dòng chē dào,higashikantoujidoushadou
アメヤヨコチョウ,阿美横丁,ā měi héng dīng,ameyayokochou
ウェザーニューズ,气象新闻公司,qì xiàng xīn wén gōng sī,wezānyūzu
キムデジュンジケン,金大中绑架事件,jīn dà zhōng bǎng jià shì jiàn,kimudejunjiken
ショウナンベルマーレ,湘南比马,xiāng nán bǐ mǎ,shounanberumāre
ヤマテセン,山手线,shān shǒu xiàn,yamatesen
サクライセン,樱井线,yīng jǐng xiàn,sakuraisen
クシタジンジャ,栉田神社,zhì tián shén shè,kushitajinja
ショウガクカンマンガショウ,小学馆漫画赏,xiǎo xué guǎn màn huà shǎng,shougakukanmangashou
シンジュク,新宿,xīn sù,shinjuku
コウベデンテツ,神户电铁,shén hù diàn tiě,koubedentetsu
カンモンカイキョウ,关门海峡,guān mén hǎi xiá,kanmonkaikyou
サッポロドーム,札幌巨蛋,zhá huǎng jù dàn,sapporodōmu
インセイ,院政,yuàn zhèng,insei
ニート,尼特族,ní tè zú,nīto
バレーボールニッポンダンシダイヒョウ,日本国家男子排球队,rì běn guó jiā nán zǐ pái qiú duì,barēbōrunippondanshidaihyou
エドバクフ,江户幕府,jiāng hù mù fǔ,edobakufu
フウセンバクダン,气球炸弹,qì qiú zhà dàn,fuusenbakudan
イワクニハン,岩国藩,yán guó fān,iwakunihan
ニッポンギンコウケン,日本银行券,rì běn yín háng quàn,nipponginkouken
イブリシチョウ,胆振支厅,dǎn zhèn zhī tīng,iburishichou
ルモエシチョウ,留萌支厅,liú méng zhī tīng,rumoeshichou
コウガドウスタジオ,工画堂工作室,gōng huà táng gōng zuò shì,kougadousutajio
タニナカレイエン,谷中灵园,gǔ zhōng líng yuán,taninakareien
ポケモンジェット,宝可梦飞机,bǎo kě mèng fēi jī,pokemonjetto
モトアカサカ,元赤坂,yuán chì bǎn,motoakasaka
オオヤマカンコウデンテツオオヤマコウサクセン,大山钢索线,dà shān gāng suǒ xiàn,ooyamakankoudentetsuooyamakousakusen
イズハコネテツドウ,伊豆箱根铁道,yī dòu xiāng gēn tiě dào,izuhakonetetsudou
クサツセン,草津线,cǎo jīn xiàn,kusatsusen
オオハラグン,大原郡,dà yuán jùn,ooharagun
ヤヨイジダイ,弥生时代,mí shēng shí dài,yayoijidai
キッカアキラ,大勋位菊花章,dà xūn wèi jú huā zhāng,kikkaakira
オオガキハン,大垣藩,dà yuán fān,oogakihan
イシカリシチョウ,石狩支厅,shí shòu zhī tīng,ishikarishichou
ソラチシチョウ,空知支厅,kōng zhī zhī tīng,sorachishichou
カミカワシチョウ,上川支厅,shàng chuān zhī tīng,kamikawashichou
トトウシチョウ,渡岛支厅,dù dǎo zhī tīng,totoushichou
タカダハン,高田藩,gāo tián fān,takadahan
ネムロシチョウ,根室支厅,gēn shì zhī tīng,nemuroshichou
シリベシチョウ,后志支厅,hòu zhì zhī tīng,shiribeshichou
クシロシチョウ,钏路支厅,chuàn lù zhī tīng,kushiroshichou
ソウヤシチョウ,宗谷支厅,zōng gǔ zhī tīng,souyashichou
ヒダカシチョウ,日高支厅,rì gāo zhī tīng,hidakashichou
キシンセン,姬新线,jī xīn xiàn,kishinsen
ニシニホンテツドウ,西日本铁道,xī rì běn tiě dào,nishinihontetsudou
マツシタセイケイジュク,松下政经塾,sōng xià zhèng jīng shú,matsushitaseikeijuku
イズモタイシャ,出云大社,chū yún dà shè,izumotaisha
フクオカハン,福冈藩,fú gāng fān,fukuokahan
ハンキュウハンシンホールディングス,阪急阪神控股,bǎn jí bǎn shén kòng gǔ,hankyuuhanshinhōrudingusu
シュトケンシントシテツドウ,首都圈新都市铁道,shǒu dū quān xīn dū shì tiě dào,shutokenshintoshitetsudou
ススキノ,薄野,báo yě,susukino
コウトウセンモンガッコウ,高等专门学校,gāo děng zhuān mén xué xiào,koutousenmongakkou
トキワソウ,常盘庄,cháng pán zhuāng,tokiwasou
ギョウセイショシ,行政书士,xíng zhèng shū shì,gyouseishoshi
ヒヤマシチョウ,桧山支厅,guì shān zhī tīng,hiyamashichou
サッチョウドウメイ,萨长同盟,sà cháng tóng méng,satchoudoumei
ホウムダイジン,法务大臣,fǎ wù dà chén,houmudaijin
チョウセンダイガッコウ,朝鲜大学校,cháo xiān dà xué xiào,chousendaigakkou
ナゴヤシコウツウキョク,名古屋市交通局,míng gǔ wū shì jiāo tōng jú,nagoyashikoutsuukyoku
ミヤザキクウコウセン,宫崎机场线,gōng qí jī chǎng xiàn,miyazakikuukousen
トヤマテレビホウソウ,富山电视台,fù shān diàn shì tái,toyamaterebihousou
チュウニチドラゴンズ,中日龙,zhōng rì lóng,chuunichidoragonzu
セイブハイジマセン,拜岛线,bài dǎo xiàn,seibuhaijimasen
スザクモン,朱雀门,zhū què mén,suzakumon
ニッポンコクリョケン,日本护照,rì běn hù zhào,nipponkokuryoken
カモベツライジンシャ,贺茂别雷神社,hè mào bié léi shén shè,kamobetsuraijinsha
ゲンカイナダ,玄界滩,xuán jiè tān,genkainada
タキガワジケン,泷川事件,lóng chuān shì jiàn,takigawajiken
ケビイシ,检非违使,jiǎn fēi wéi shǐ,kebiishi
ヒノジドウシャ,日野汽车,rì yě qì chē,hinojidousha
サツタルジドウシャドウ,札樽自动车道,zhá zūn zì dòng chē dào,satsutarujidoushadou
ヤバケイ,耶马溪,yē mǎ xī,yabakei
ドウトウジドウシャドウ,道东自动车道,dào dōng zì dòng chē dào,doutoujidoushadou
ミチヒサシジドウシャドウ,道央自动车道,dào yāng zì dòng chē dào,michihisashijidoushadou
レンショ,连署,lián shǔ,rensho
シュトコウソクチュウオウカンジョウセン,首都高速中央环状线,shǒu dū gāo sù zhōng yāng huán zhuàng xiàn,shutokousokuchuuoukanjousen
アイヅテツドウ,会津铁道,huì jīn tiě dào,aidzutetsudou
ホウヨカイキョウ,丰予海峡,fēng yǔ hǎi xiá,houyokaikyou
チュウニッポン,中日本,zhōng rì běn,chuunippon
ホウヒホンセン,丰肥本线,fēng féi běn xiàn,houhihonsen
ハシダテ,桥立号列车,qiáo lì hào liè chē,hashidate
イブスキマクラザキセン,指宿枕崎线,zhǐ sù zhěn qí xiàn,ibusukimakurazakisen
ヨコハマシエイチカテツブルーライン,蓝线,lán xiàn,yokohamashieichikatetsuburūrain
キュウダイホンセン,久大本线,jiǔ dà běn xiàn,kyuudaihonsen
ホッカイドウリョカクテツドウ,北海道旅客铁道,běi hǎi dào lǚ kè tiě dào,hokkaidouryokakutetsudou
フジデンキ,富士电机,fù shì diàn jī,fujidenki
クルリセン,久留里线,jiǔ liú lǐ xiàn,kururisen
ヒガシニホンリョカクテツドウ,东日本旅客铁道,dōng rì běn lǚ kè tiě dào,higashinihonryokakutetsudou
アスカトキヨ,飞鸟时代,fēi niǎo shí dài,asukatokiyo
サンノウジンジャ,山王神社,shān wáng shén shè,sannoujinja
カナエヤスシユタカ,鼎泰丰,dǐng tài fēng,kanaeyasushiyutaka
アキバサンホングウアキバジンジャ,秋叶山本宫秋叶神社,qiū yè shān běn gōng qiū yè shén shè,akibasanhonguuakibajinja
シズオカアサマジンジャ,静冈浅间神社,jìng gāng qiǎn jiān shén shè,shizuokaasamajinja
ニッポンアカデミーショウガイコクサクヒンショウ,日本电影学院奖最佳外语片奖,rì běn diàn yǐng xué yuàn jiǎng zuì jiā wài yǔ piàn jiǎng,nipponakademīshougaikokusakuhinshou
コウキョ,皇居,huáng jū,koukyo
スガモコウチショ,巢鸭刑务所,cháo yā xíng wù suǒ,sugamokouchisho
ゲイビセン,艺备线,yì bèi xiàn,geibisen
タケトミマチ,竹富町,zhú fù tǐng,taketomimachi
コウセイショウ,厚生省,hòu shēng shěng,kouseishou
ハウスショクヒン,好侍食品,hǎo shì shí pǐn,hausushokuhin
シンケイセイデンテツ,新京成电铁,xīn jīng chéng diàn tiě,shinkeiseidentetsu
ゴダイドコロ,御台所,yù tái suǒ,godaidokoro
ケイセイオシアゲセン,押上线,yā shàng xiàn,keiseioshiagesen
サンヨウデンキテツドウホンセン,山阳电气铁道本线,shān yáng diàn qì tiě dào běn xiàn,sanyoudenkitetsudouhonsen
センダイクウコウテツドウセンダイクウコウセン,仙台机场线,xiān tái jī chǎng xiàn,sendaikuukoutetsudousendaikuukousen
タイタセン,太多线,tài duō xiàn,taitasen
ファナック,发那科,fā nà kē,fanakku
キキ,记纪,jì jì,kiki
テンポウザン,天保山,tiān bǎo shān,tenpouzan
ニホンコウクウ,日本航空,rì běn háng kōng,nihonkoukuu
ギガ,戏画,xì huà,giga
カモゴソシンシャ,贺茂御祖神社,hè mào yù zǔ shén shè,kamogososhinsha
ショウガツ,日本新年,rì běn xīn nián,shougatsu
イナナミジンジャ,伊奈波神社,yī nài bō shén shè,inanamijinja
ベストデンキ,最好电器,zuì hǎo diàn qì,besutodenki
ノミヤジンジャ,野宫神社,yě gōng shén shè,nomiyajinja
ジンダイジ,深大寺,shēn dà sì,jindaiji
オムロン,欧姆龙,ōu mǔ lóng,omuron
ヒエジンジャ,日枝神社,rì zhī shén shè,hiejinja
リクグンヒコウセンタイ,陆军飞行战队,lù jūn fēi xíng zhàn duì,rikugunhikousentai
カツドンブリ,猪排丼,zhū pái jǐng,katsudonburi
ニホンアジアコウクウ,日本亚细亚航空,rì běn yà xì yà háng kōng,nihonajiakoukuu
ニシニホンリョカクテツドウ,西日本旅客铁道,xī rì běn lǚ kè tiě dào,nishinihonryokakutetsudou
オオイガワテツドウ,大井川铁道,dà jǐng chuān tiě dào,ooigawatetsudou
センダイクウコウテツドウ,仙台机场铁道,xiān tái jī chǎng tiě dào,sendaikuukoutetsudou
ハン,藩,fān,han
コウセイロウドウダイジン,厚生劳动大臣,hòu shēng láo dòng dà chén,kouseiroudoudaijin
コクドコウツウダイジン,国土交通大臣,guó tǔ jiāo tōng dà chén,kokudokoutsuudaijin
ウエノトウキョウライン,上野东京线,shàng yě dōng jīng xiàn,uenotoukyourain
テレビエヒメ,爱媛电视台,ài yuàn diàn shì tái,terebiehime
キシャクラブ,记者俱乐部,jì zhě jù lè bù,kishakurabu
ヒガシハコウソクテツドウヒガシハコウソクセン,东叶高速线,dōng yè gāo sù xiàn,higashihakousokutetsudouhigashihakousokusen
トサジンジャ,土佐神社,tǔ zuǒ shén shè,tosajinja
ムナカタタイシャ,宗像大社,zōng xiàng dà shè,munakatataisha
カサマイナリジンジャ,笠间稻荷神社,lì jiān dào hé shén shè,kasamainarijinja
キットセン,吉都线,jí dōu xiàn,kittosen
トウブサノセン,佐野线,zuǒ yě xiàn,toubusanosen
セイブヤマグチセン,山口线,shān kǒu xiàn,seibuyamaguchisen
ブルーリボンショウ,蓝丝带奖,lán sī dài jiǎng,burūribonshou
タケショボウ,竹书房,zhú shū fáng,takeshobou
セイブチチブセン,西武秩父线,xī wǔ zhì fù xiàn,seibuchichibusen
ヒジウチカイキョウ,土渕海峡,tǔ yuān hǎi xiá,hijiuchikaikyou
オオヤマカミジンジャ,大山祇神社,dà shān qí shén shè,ooyamakamijinja
ヒカワジンジャ,冰川神社,bīng chuān shén shè,hikawajinja
リュウキュウカイコウ,琉球海沟,liú qiú hǎi gōu,ryuukyuukaikou
ニッケイヘイキンカブカ,日经平均指数,rì jīng píng jūn zhǐ shù,nikkeiheikinkabuka
ニッポンテイコクシュギ,日本军国主义,rì běn jūn guó zhǔ yì,nipponteikokushugi
キノクニヤショテン,纪伊国屋书店,jì yī guó wū shū diàn,kinokuniyashoten
チョウセンシンポウ,朝鲜新报,cháo xiān xīn bào,chousenshinpou
チュウブホウメンタイ,陆上自卫队中部方面队,lù shàng zì wèi duì zhōng bù fāng miàn duì,chuubuhoumentai
ユタカクニジンジャ,丰国神社,fēng guó shén shè,yutakakunijinja
イリオモテイシガキコクリツコウエン,西表石垣国立公园,xī biǎo shí yuán guó lì gōng yuán,iriomoteishigakikokuritsukouen
テルクニジンジャ,照国神社,zhào guó shén shè,terukunijinja
タケトヨセン,武丰线,wǔ fēng xiàn,taketoyosen
ニチナンセン,日南线,rì nán xiàn,nichinansen
ゴインターチェンジ,吴交流道,wú jiāo liú dào,gointāchenji
ニホデイリグチ,仁保出入口,rén bǎo chū rù kǒu,nihodeiriguchi
サカキタインターチェンジ,坂北交流道,bǎn běi jiāo liú dào,sakakitaintāchenji
セイブタマコセン,多摩湖线,duō mó hú xiàn,seibutamakosen
スワタイシャ,诹访大社,zōu fǎng dà shè,suwataisha
フチュウデイリグチ,府中出入口,fǔ zhōng chū rù kǒu,fuchuudeiriguchi
ヤガデイリグチ,矢贺出入口,shǐ hè chū rù kǒu,yagadeiriguchi
カンダサイ,神田祭,shén tián jì,kandasai
ウラワレッドダイヤモンズ,浦和红钻,pǔ hé hóng zuàn,urawareddodaiyamonzu
トウカイリョカクテツドウ,东海旅客铁道,dōng hǎi lǚ kè tiě dào,toukairyokakutetsudou
トクシマヴォルティス,德岛漩涡,dé dǎo xuán wō,tokushimavuォrutisu
クマノナチタイシャ,熊野那智大社,xióng yě nà zhì dà shè,kumanonachitaisha
ポニーキャニオン,波丽佳音,bō lì jiā yīn,ponīkyanion
キヘイタイ,奇兵队,qí bīng duì,kiheitai
マツオタイシャ,松尾大社,sōng wěi dà shè,matsuotaisha
ヨドゴウハイジャックジケン,淀号劫机事件,diàn hào jié jī shì jiàn,yodogouhaijakkujiken
タマゴカケゴハン,生蛋拌饭,shēng dàn bàn fàn,tamagokakegohan
コダマグン,儿玉郡,ér yù jùn,kodamagun
トヨサトマチ,丰乡町,fēng xiāng tǐng,toyosatomachi
サバイバルゲーム,生存游戏,shēng cún yóu xì,sabaibarugēmu
カシオケイサンキ,卡西欧,kǎ xī ōu,kashiokeisanki
シンチュウオウコウクウ,新中央航空,xīn zhōng yāng háng kōng,shinchuuoukoukuu
ゲントオル,元亨,yuán hēng,gentooru
オウムシンリキョウ,奥姆真理教,ào mǔ zhēn lǐ jiào,oumushinrikyou
トウキョウショウケントリヒキショ,东京证券交易所,dōng jīng zhèng quàn jiāo yì suǒ,toukyoushoukentorihikisho
ナングウタイシャ,南宫大社,nán gōng dà shè,nanguutaisha
スーパーカップ,日本超级杯,rì běn chāo jí bēi,sūpākappu
ハツウマ,初午,chū wǔ,hatsuuma
アワジンジャ,安房神社,ān fáng shén shè,awajinja
カゴジンジャ,笼神社,lóng shén shè,kagojinja
オオミワジンジャ,大神神社,dà shén shén shè,oomiwajinja
オオトリタイシャ,大鸟大社,dà niǎo dà shè,ootoritaisha
ヒロセタイシャ,广濑大社,guǎng lài dà shè,hirosetaisha
ニュウトヒウリジンジャ,丹生都比卖神社,dān shēng dōu bǐ mài shén shè,nyuutohiurijinja
ツシマジンジャ,津岛神社,jīn dǎo shén shè,tsushimajinja
クマノホングウタイシャ,熊野本宫大社,xióng yě běn gōng dà shè,kumanohonguutaisha
ニシノミヤジンジャ,西宫神社,xī gōng shén shè,nishinomiyajinja
シロヒゲジンジャ,白须神社,bái xū shén shè,shirohigejinja
ユフダケ,由布岳,yóu bù yuè,yufudake
ハコネジンジャ,箱根神社,xiāng gēn shén shè,hakonejinja
オオイタアサヒホウソウ,大分朝日放送,dà fēn cháo rì fàng sòng,ooitaasahihousou
フクシマチュウオウテレビ,福岛中央电视台,fú dǎo zhōng yāng diàn shì tái,fukushimachuuouterebi
サングウセン,参宫线,cān gōng xiàn,sanguusen
ホッカイドウテレビホウソウ,北海道电视台,běi hǎi dào diàn shì tái,hokkaidouterebihousou
クマモトアサヒホウソウ,熊本朝日放送,xióng běn cháo rì fàng sòng,kumamotoasahihousou
ナガノホウソウ,长野放送,cháng yě fàng sòng,naganohousou
チューリップテレビ,郁金香电视台,yù jīn xiāng diàn shì tái,chūripputerebi
イワテメンコイテレビ,岩手可爱电视台,yán shǒu kě ài diàn shì tái,iwatemenkoiterebi
ミミツカ,耳冢,ěr zhǒng,mimitsuka
フコクキョウヘイ,富国强兵,fù guó qiáng bīng,fukokukyouhei
リュウキュウハン,琉球藩,liú qiú fān,ryuukyuuhan
タイセイホウカン,大政奉还,dà zhèng fèng huán,taiseihoukan
リョウヒンケイカク,无印良品,wú yìn liáng pǐn,ryouhinkeikaku
サッポロノウガッコウ,札幌农学校,zhá huǎng nóng xué xiào,sapporonougakkou
ロッキードジケン,洛克希德事件,luò kè xī dé shì jiàn,rokkīdojiken
ニッコウカイドウ,日光街道,rì guāng jiē dào,nikkoukaidou
ワカヤマセン,和歌山线,hé gē shān xiàn,wakayamasen
ドウム,童梦,tóng mèng,doumu
ミヤリョウドノナイ,宫良殿内,gōng liáng diàn nèi,miyaryoudononai
トキメッセ,朱鹭展览馆,zhū lù zhǎn lǎn guǎn,tokimesse
テレビシンシュウ,信州电视台,xìn zhōu diàn shì tái,terebishinshuu
ホウゲンサツ,方言札,fāng yán zhá,hougensatsu
シノノイセン,筿之井线,xiǎo zhī jǐng xiàn,shinonoisen
ビョウブダケ,神农峰,shén nóng fēng,byoubudake
ナラハラタケシ,高华峰,gāo huá fēng,naraharatakeshi
スミヨシタイシャ,住吉大社,zhù jí dà shè,sumiyoshitaisha
マスミダジンジャ,真清田神社,zhēn qīng tián shén shè,masumidajinja
サイオン,赛扬汽车,sài yáng qì chē,saion
ヨナグニマチ,与那国町,yǔ nà guó tǐng,yonagunimachi
イアイドウ,居合道,jū hé dào,iaidou
ヒョウゴケンナンブジシン,阪神大地震,bǎn shén dà dì zhèn,hyougokennanbujishin
サンボウホンブ,参谋本部,cān móu běn bù,sanbouhonbu
ペンテル,飞龙文具,fēi lóng wén jù,penteru
チュウコウムグン,驻蒙军,zhù méng jūn,chuukoumugun
ボクトウ,木刀,mù dāo,bokutou
モンブカガクダイジン,文部科学大臣,wén bù kē xué dà chén,monbukagakudaijin
バンダイ,万代,wàn dài,bandai
テレビイワテ,岩手电视台,yán shǒu diàn shì tái,terebiiwate
テレビカナザワ,金泽电视台,jīn zé diàn shì tái,terebikanazawa
テレビシズオカ,静冈电视台,jìng gāng diàn shì tái,terebishizuoka
アオモリアサヒホウソウ,青森朝日放送,qīng sēn cháo rì fàng sòng,aomoriasahihousou
アオモリテレビ,青森电视台,qīng sēn diàn shì tái,aomoriterebi
ヒガシニッポンホウソウ,东日本放送,dōng rì běn fàng sòng,higashinipponhousou
イシカワテレビホウソウ,石川电视台,shí chuān diàn shì tái,ishikawaterebihousou
シデンアラタメ,紫电改,zǐ diàn gǎi,shidenaratame
ミニシンカンセン,迷你新干线,mí nǐ xīn gàn xiàn,minishinkansen
カゴシマヨミウリテレビ,鹿儿岛读卖电视台,lù ér dǎo dú mài diàn shì tái,kagoshimayomiuriterebi
アイテレビ,爱电视台,ài diàn shì tái,aiterebi
ナガノアサヒホウソウ,长野朝日放送,cháng yě cháo rì fàng sòng,naganoasahihousou
チクホウホンセン,筑丰本线,zhù fēng běn xiàn,chikuhouhonsen
ケセンヌマセン,气仙沼线,qì xiān zhǎo xiàn,kesennumasen
ヒサヤダイツウコウエン,久屋大通公园,jiǔ wū dà tōng gōng yuán,hisayadaitsuukouen
フクイテレビジョンホウソウ,福井电视台,fú jǐng diàn shì tái,fukuiterebijonhousou
センダイホウソウ,仙台放送,xiān tái fàng sòng,sendaihousou
フクシマホウソウ,福岛放送,fú dǎo fàng sòng,fukushimahousou
エヒメアサヒテレビ,爱媛朝日电视台,ài yuàn cháo rì diàn shì tái,ehimeasahiterebi
イクタジンジャ,生田神社,shēng tián shén shè,ikutajinja
トヨクニジンジャ,丰国神社,fēng guó shén shè,toyokunijinja
テレビヤマナシ,山梨电视台,shān lí diàn shì tái,terebiyamanashi
リュウキュウアサヒホウソウ,琉球朝日放送,liú qiú cháo rì fàng sòng,ryuukyuuasahihousou
イワテアサヒテレビ,岩手朝日电视台,yán shǒu cháo rì diàn shì tái,iwateasahiterebi
バイオハザードシリーズ,生化危机系列,shēng huà wēi jī xì liè,baiohazādoshirīzu
シンモエダケ,新燃岳,xīn rán yuè,shinmoedake
ナカシベツマチ,中标津町,zhòng biāo jīn tǐng,nakashibetsumachi
トクマジャパンコミュニケーションズ,德间日本传播,dé jiān rì běn chuán bō,tokumajapankomyunikēshonzu
アキタシンカンセン,秋田新干线,qiū tián xīn gàn xiàn,akitashinkansen
ニホンデンキ,日本电气,rì běn diàn qì,nihondenki
キヨミズデラ,清水寺,qīng shuǐ sì,kiyomizudera
コドクシ,孤独死,gū dú sǐ,kodokushi
ソラチソウゴウシンコウキョク,空知综合振兴局,kōng zhī zōng hé zhèn xīng jú,sorachisougoushinkoukyoku
シマダマゲ,岛田髷,dǎo tián qū,shimadamage
セキホクホンセン,石北本线,shí běi běn xiàn,sekihokuhonsen
ヤクシジ,药师寺,yào shī sì,yakushiji
ウミマチ,宇美町,yǔ měi tǐng,umimachi
リクウトウセン,陆羽东线,lù yǔ dōng xiàn,rikuutousen
ハンセキホウカン,版籍奉还,bǎn jí fèng huán,hansekihoukan
ホクジョウセン,北上线,běi shàng xiàn,hokujousen
タイトー,太东,tài dōng,taitō
ヒガシソノギマチ,东彼杵町,dōng bǐ chǔ tǐng,higashisonogimachi
アソグン,阿苏郡,ā sū jùn,asogun
モセウシマチ,妹背牛町,mèi bèi niú tǐng,moseushimachi
ミナミサイタマグン,南埼玉郡,nán qí yù jùn,minamisaitamagun
ツキジホンガンジ,筑地本愿寺,zhù dì běn yuàn sì,tsukijihonganji
カンサイクウコウセン,关西机场线,guān xī jī chǎng xiàn,kansaikuukousen
スイセイ,彗星号,huì xīng hào,suisei
シマヅセイサクショ,岛津制作所,dǎo jīn zhì zuò suǒ,shimadzuseisakusho
カンヤスシ,康安,kāng ān,kanyasushi
キュウシャープジュウタク,萌黄之馆,méng huáng zhī guǎn,kyuushāpujuutaku
ニチタイカンケイシ,台湾与日本关系史,tái wān yǔ rì běn guān xì shǐ,nichitaikankeishi
チョウセングン,朝鲜军,cháo xiān jūn,chousengun
ガイムショウ,外务省,wài wù shěng,gaimushou
マツガワマチ,松川町,sōng chuān tǐng,matsugawamachi
オブチナイカク,小渊内阁,xiǎo yuān nèi gé,obuchinaikaku
ニホンセイメイホケン,日本生命保险,rì běn shēng mìng bǎo xiǎn,nihonseimeihoken
イクスピアリ,伊克斯皮儿莉,yī kè sī pí ér lì,ikusupiari
トウキョウメトロナンボクセン,南北线,nán běi xiàn,toukyoumetoronanbokusen
ヤンマー,洋马,yáng mǎ,yanmā
トウキョウリンカイコウソクテツドウリンカイセン,临海线,lín hǎi xiàn,toukyourinkaikousokutetsudourinkaisen
ムラヤマナイカク,村山内阁,cūn shān nèi gé,murayamanaikaku
ズンダモチ,毛豆麻糬,máo dòu má shǔ,zundamochi
アイドル,偶像,ǒu xiàng,aidoru
カモグン,贺茂郡,hè mào jùn,kamogun
ヨリイマチ,寄居町,jì jū tǐng,yoriimachi
ジチショウ,自治省,zì zhì shěng,jichishou
エンカクジ,圆觉寺,yuán jué sì,enkakuji
ホロノベマチ,幌延町,huǎng yán tǐng,horonobemachi
ウチワ,团扇,tuán shàn,uchiwa
ナガレテツナガレヤマセン,流山线,liú shān xiàn,nagaretetsunagareyamasen
ヒサツセン,肥萨线,féi sà xiàn,hisatsusen
ヤマダセン,山田线,shān tián xiàn,yamadasen
フワグン,不破郡,bú pò jùn,fuwagun
イイジママチ,饭岛町,fàn dǎo tǐng,iijimamachi
タテヤマクロベカンコウムキジョウデンシャセン,立山隧道无轨电车,lì shān suì dào wú guǐ diàn chē,tateyamakurobekankoumukijoudenshasen
シマノ,禧玛诺,xǐ mǎ nuò,shimano
サダイジン,左大臣,zuǒ dà chén,sadaijin
セイリョウジ,清凉寺,qīng liáng sì,seiryouji
コウミセン,小海线,xiǎo hǎi xiàn,koumisen
ケンオトグループ,研音,yán yīn,kenotogurūpu
フッコウチョウ,复兴厅,fù xīng tīng,fukkouchou
トウキョウハイユウセイカツキョウドウクミアイ,东京俳优生活协同组合,dōng jīng pái yōu shēng huó xié tóng zǔ hé,toukyouhaiyuuseikatsukyoudoukumiai
スイグンセン,水郡线,shuǐ jùn xiàn,suigunsen
ウエツホンセン,羽越本线,yǔ yuè běn xiàn,uetsuhonsen
ベイザカセン,米坂线,mǐ bǎn xiàn,beizakasen
サンダーバード,雷鸟号列车,léi niǎo hào liè chē,sandābādo
キンテツナゴヤセン,名古屋线,míng gǔ wū xiàn,kintetsunagoyasen
ゲンバクドーム,原爆圆顶馆,yuán bào yuán dǐng guǎn,genbakudōmu
チオンイン,知恩院,zhī ēn yuàn,chionin
ハヤテ,疾风号列车,jí fēng hào liè chē,hayate
イワエツジドウシャドウ,磐越自动车道,pán yuè zì dòng chē dào,iwaetsujidoushadou
キタダケ,北岳,běi yuè,kitadake
イシノマキセン,石卷线,shí juàn xiàn,ishinomakisen
ケイジドウシャ,轻型车,qīng xíng chē,keijidousha
ニッポンホウ,日本法律,rì běn fǎ lǜ,nipponhou
バンダイナゴンエコトバ,伴大纳言绘词,bàn dà nà yán huì cí,bandainagonekotoba
フルビラマチ,古平町,gǔ píng tǐng,furubiramachi
ハズグン,幡豆郡,fān dòu jùn,hazugun
カイタクシ,开拓使,kāi tuò shǐ,kaitakushi
チュウブニッポンホウソウ,中部日本放送,zhōng bù rì běn fàng sòng,chuubunipponhousou
キンテツキョウトセン,京都线,jīng dōu xiàn,kintetsukyoutosen
カワサキフロンターレ,川崎前锋,chuān qí qián fēng,kawasakifurontāre
リクウサイセン,陆羽西线,lù yǔ xī xiàn,rikuusaisen
オオフナトセン,大船渡线,dà chuán dù xiàn,oofunatosen
アオモリジドウシャドウ,青森自动车道,qīng sēn zì dòng chē dào,aomorijidoushadou
ノサップミサキ,纳沙布岬,nà shā bù jiǎ,nosappumisaki
キンテツケイハンナセン,京阪奈线,jīng bǎn nài xiàn,kintetsukeihannasen
マツモトサリンジケン,松本沙林毒气事件,sōng běn shā lín dú qì shì jiàn,matsumotosarinjiken
ヤマトダイガクハクホウタンキダイガクブ,大和大学白凤短期大学部,dà hé dà xué bái fèng duǎn qī dà xué bù,yamatodaigakuhakuhoutankidaigakubu
タイロウ,大老,dà lǎo,tairou
ニイガタトランシス,新潟运输系统,xīn xì yùn shū xì tǒng,niigatatoranshisu
ヨミウリブンガクショウ,读卖文学奖,dú mài wén xué jiǎng,yomiuribungakushou
ガイナーレトットリ,鸟取飞翔,niǎo qǔ fēi xiáng,gaināretottori
ハクシンセン,白新线,bái xīn xiàn,hakushinsen
イヨテツドウハナゾノセン,花园线,huā yuán xiàn,iyotetsudouhanazonosen
コクサイキョウリョクキコウ,国际协力机构,guó jì xié lì jī gòu,kokusaikyouryokukikou
オワリハン,尾张藩,wěi zhāng fān,owarihan
ニッポンコクケンポウ,日本国宪法,rì běn guó xiàn fǎ,nipponkokukenpou
ナルトカイキョウ,鸣门海峡,míng mén hǎi xiá,narutokaikyou
ヨシミマチ,吉见町,jí jiàn tǐng,yoshimimachi
ナマムギジケン,生麦事件,shēng mài shì jiàn,namamugijiken
ヴァンフォーレコウフ,甲府风林,jiǎ fǔ fēng lín,vanfōrekoufu
