김일,金日,jīn rì,gimil
강건,姜健,jiāng jiàn,ganggeon
김정,金仲,jīn zhòng,gimjeong
김철,金哲,jīn zhé,gimceol
남일,南日,nán rì,namil
백석,白石,bái shí,baegseog
허담,许锬,xǔ tán,heodam
김책,金策,jīn cè,gimcaeg
김무정,武亭,wǔ tíng,gimmujeong
서휘,徐辉,xú huī,seohwi
최휘,崔辉,cuī huī,coehwi
최광,崔光,cuī guāng,coegwang
박열,朴烈,pǔ liè,bagyeol
허헌,许宪,xǔ xiàn,heoheon
김옥,金玉,jīn yù,gimog
찰스 로버트 젱킨스,查尔斯·罗伯特·詹金斯,chá ěr sī · luó bǎi tè · zhān jīn sī,calseu robeoteu jengkinseu
최현,崔贤,cuī xián,coehyeon
안길,安吉,ān jí,angil
장철,张哲,zhāng zhé,jangceol
이찬,李灿,lǐ càn,ican
반디,潘迪,pān dí,bandi
임화,林和,lín hé,imhwa
배철,裴哲,péi zhé,baeceol
김웅,金雄,jīn xióng,gimung
기백,基白,MODIFIED,jī bái,gibaeg
길용,佶勇,MODIFIED,jí yǒng,gilyong
동률,东律,MODIFIED,dōng lǜ,dongryul
준홍,埈弘,MODIFIED,jùn hóng,junhong
순형,顺亨,MODIFIED,shùn hēng,sunhyeong
인경,寅敬,MODIFIED,yín jìng,ingyeong
희종,熙钟,MODIFIED,xī zhōng,hyijong
기려,起吕,MODIFIED,qǐ lǚ,giryeo
재안,宰安,MODIFIED,zǎi ān,jaean
윤복,润福,MODIFIED,rùn fú,yunbog
병오,炳旿,MODIFIED,bǐng wù,byeongo
앵란,莺兰,MODIFIED,yīng lán,aengran
진룡,震龙,MODIFIED,zhèn lóng,jinryong
상섭,想涉,MODIFIED,xiǎng shè,sangseob
일상,日尚,MODIFIED,rì shàng,ilsang
성봉,圣奉,MODIFIED,shèng fèng,seongbong
병영,秉英,MODIFIED,bǐng yīng,byeongyeong
덕여,德汝,MODIFIED,dé rǔ,deogyeo
회성,恢成,MODIFIED,huī chéng,hoeseong
종은,宗垠,MODIFIED,zōng yín,jongeun
전혁,全赫,MODIFIED,quán hè,jeonhyeog
긍연,兢衍,MODIFIED,jīng yǎn,geungyeon
파니,琶腻,MODIFIED,pá nì,pani
언정,言廷,MODIFIED,yán tíng,eonjeong
낙훈,乐薰,MODIFIED,lè xūn,naghun
상문,相文,MODIFIED,xiāng wén,sangmun
성효,星孝,MODIFIED,xīng xiào,seonghyo
영익,英益,MODIFIED,yīng yì,yeongig
상근,商扦,MODIFIED,shāng qiān,sanggeun
대녕,大宁,MODIFIED,dà níng,daenyeong
무룡,戊龙,MODIFIED,wù lóng,muryong
영관,永宽,MODIFIED,yǒng kuān,yeonggwan
귀자,贵子,MODIFIED,guì zǐ,gwija
미륵,弥勒,MODIFIED,mí lè,mireug
인촌,仁村,MODIFIED,rén cūn,incon
관훈,权勋,MODIFIED,quán xūn,gwanhun
치용,致溶,MODIFIED,zhì róng,ciyong
하원,夏园,MODIFIED,xià yuán,haweon
한빛,韩碧,MODIFIED,hán bì,hanbic
왕표,王杓,MODIFIED,wáng sháo,wangpyo
종선,钟善,MODIFIED,zhōng shàn,jongseon
웅희,雄熙,MODIFIED,xióng xī,unghyi
진한,震澣,MODIFIED,zhèn huàn,jinhan
현연,玹连,MODIFIED,xuán lián,hyeonyeon
윤겸,允谦,MODIFIED,yǔn qiān,yungyeom
상병,祥炳,MODIFIED,xiáng bǐng,sangbyeong
병직,秉直,MODIFIED,bǐng zhí,byeongjig
윤열,润烈,MODIFIED,rùn liè,yunyeol
용빈,溶彬,MODIFIED,róng bīn,yongbin
영이,荣伊,MODIFIED,róng yī,yeongi
박사,博士,MODIFIED,bó shì,bagsa
은결,恩杰,MODIFIED,ēn jié,eungyeol
윤후,尹厚,MODIFIED,yǐn hòu,yunhu
임이,任伊,MODIFIED,rèn yī,imi
여희,耀熙,MODIFIED,yào xī,yeohyi
은순,银顺,MODIFIED,yín shùn,eunsun
희원,希沅,MODIFIED,xī yuán,hyiweon
금봉,琴峰,MODIFIED,qín fēng,geumbong
석류,硕榴,MODIFIED,shuò liú,seogryu
상준,相俊,MODIFIED,xiāng jùn,sangjun
임표,临表,MODIFIED,lín biǎo,impyo
해경,海琼,MODIFIED,hǎi qióng,haegyeong
홍열,洪烈,MODIFIED,hóng liè,hongyeol
도원,东文,MODIFIED,dōng wén,doweon
길성,吉声,MODIFIED,jí shēng,gilseong
순택,顺泰,MODIFIED,shùn tài,suntaeg
대수,大洙,MODIFIED,dà zhū,daesu
광종,光钟,MODIFIED,guāng zhōng,gwangjong
문배,文培,MODIFIED,wén péi,munbae
길종,吉钟,MODIFIED,jí zhōng,giljong
가을,佳尔,MODIFIED,jiā ěr,gaeul
대의,大义,MODIFIED,dà yì,daeyi
잎새,叶玺,MODIFIED,yè xǐ,ipsae
보관,甫官,MODIFIED,fǔ guān,bogwan
규희,圭熙,MODIFIED,guī xī,gyuhyi
용오,容旿,MODIFIED,róng wù,yongo
동화,童话,MODIFIED,tóng huà,donghwa
재권,在权,MODIFIED,zài quán,jaegweon
복동,复东,MODIFIED,fù dōng,bogdong
남석,南锡,MODIFIED,nán xī,namseog
해섭,海燮,MODIFIED,hǎi xiè,haeseob
동명,东鸣,MODIFIED,dōng míng,dongmyeong
만제,满堤,MODIFIED,mǎn dī,manje
규삼,圭森,MODIFIED,guī sēn,gyusam
기림,起林,MODIFIED,qǐ lín,girim
기배,杞培,MODIFIED,qǐ péi,gibae
성래,声来,MODIFIED,shēng lái,seongrae
소운,素云,MODIFIED,sù yún,soun
수임,寿任,MODIFIED,shòu rèn,suim
운도,云道,MODIFIED,yún dào,undo
호왕,镐汪,MODIFIED,hào wāng,howang
연두,妍斗,MODIFIED,yán dòu,yeondu
대형,大炯,MODIFIED,dà jiǒng,daehyeong
만기,万基,MODIFIED,wàn jī,mangi
현옥,玄玉,MODIFIED,xuán yù,hyeonog
세직,世直,MODIFIED,shì zhí,sejig
성순,圣淳,MODIFIED,shèng chún,seongsun
동룡,丹润,MODIFIED,dān rùn,dongryong
정미,諪美,MODIFIED,tíng měi,jeongmi
영로,荣鲁,MODIFIED,róng lǔ,yeongro
태화,泰华,MODIFIED,tài huá,taehwa
한라,汉拏,MODIFIED,hàn ná,hanra
광로,广鲁,MODIFIED,guǎng lǔ,gwangro
연자,莲子,MODIFIED,lián zǐ,yeonja
원웅,元雄,MODIFIED,yuán xióng,weonung
이천,利天,MODIFIED,lì tiān,iceon
재박,在博,MODIFIED,zài bó,jaebag
지순,智顺,MODIFIED,zhì shùn,jisun
화정,化精,MODIFIED,huà jīng,hwajeong
원제,元济,MODIFIED,yuán jì,weonje
수라,秀罗,MODIFIED,xiù luó,sura
인욱,寅煜,MODIFIED,yín yù,inug
능환,能焕,MODIFIED,néng huàn,neunghwan
단아,多娜,MODIFIED,duō nà,dana
대기,大棋,MODIFIED,dà qí,daegi
대범,大范,MODIFIED,dà fàn,daebeom
진오,镇午,MODIFIED,zhèn wǔ,jino
길중,吉重,MODIFIED,jí zhòng,giljung
인제,仁济,MODIFIED,rén jì,inje
덕규,德圭,MODIFIED,dé guī,deoggyu
기식,起式,MODIFIED,qǐ shì,gisig
기열,基烈,MODIFIED,jī liè,giyeol
기욱,奇昱,MODIFIED,qí yù,giug
승립,胜立,MODIFIED,shèng lì,seungrib
나율,拿燏,MODIFIED,ná yù,nayul
남조,南祚,MODIFIED,nán zuò,namjo
혜규,慧圭,MODIFIED,huì guī,hyegyu
어령,御宁,MODIFIED,yù níng,eoryeong
민순,旻淳,MODIFIED,mín chún,minsun
택기,宅起,MODIFIED,zhái qǐ,taeggi
풍익,丰益,MODIFIED,fēng yì,pungig
하중,夏中,MODIFIED,xià zhōng,hajung
경재,景梓,MODIFIED,jǐng zǐ,gyeongjae
경한,庆汉,MODIFIED,qìng hàn,gyeonghan
광균,光均,MODIFIED,guāng jūn,gwanggyun
현직,铉稙,MODIFIED,xuàn zhī,hyeonjig
형중,炯中,MODIFIED,jiǒng zhōng,hyeongjung
해림,海琳,MODIFIED,hǎi lín,haerim
해송,海松,MODIFIED,hǎi sōng,haesong
강헌,康宪,MODIFIED,kāng xiàn,gangheon
상봉,尚峰,MODIFIED,shàng fēng,sangbong
영심,英心,MODIFIED,yīng xīn,yeongsim
환진,振焕,MODIFIED,zhèn huàn,hwanjin
연숙,姸淑,MODIFIED,yán shū,yeonsug
동재,东再,MODIFIED,dōng zài,dongjae
동철,东喆,MODIFIED,dōng zhé,dongceol
학민,学旻,MODIFIED,xué mín,hagmin
학송,鹤松,MODIFIED,hè sōng,hagsong
학용,学容,MODIFIED,xué róng,hagyong
한석,汉锡,MODIFIED,hàn xī,hanseog
해곤,海坤,MODIFIED,hǎi kūn,haegon
효원,孝源,MODIFIED,xiào yuán,hyoweon
희재,希才,MODIFIED,xī cái,hyijae
현심,贤心,MODIFIED,xián xīn,hyeonsim
채목,贤雅,MODIFIED,xián yǎ,caemog
능미,陵美,MODIFIED,líng měi,neungmi
인훈,仁勋,MODIFIED,rén xūn,inhun
수란,水兰,MODIFIED,shuǐ lán,suran
수윤,秀允,MODIFIED,xiù yǔn,suyun
평우,平祐,MODIFIED,píng yòu,pyeongu
홍걸,弘杰,MODIFIED,hóng jié,honggeol
홍업,弘业,MODIFIED,hóng yè,hongeob
필순,弼顺,MODIFIED,bì shùn,pilsun
봉조,凤朝,MODIFIED,fèng cháo,bongjo
덕경,德景,MODIFIED,dé jǐng,deoggyeong
일출,日出,MODIFIED,rì chū,ilcul
안석,安石,MODIFIED,ān shí,anseog
철래,喆来,MODIFIED,zhé lái,ceolrae
희지,熙智,MODIFIED,xī zhì,hyiji
호근,浩根,MODIFIED,hào gēn,hogeun
무연,武然,MODIFIED,wǔ rán,muyeon
문호,文浩,MODIFIED,wén hào,munho
진순,珍淳,MODIFIED,zhēn chún,jinsun
말봉,末凤,MODIFIED,mò fèng,malbong
근찬,根粲,MODIFIED,gēn càn,geuncan
사익,思翊,MODIFIED,sī yì,saig
법래,范来,MODIFIED,fàn lái,beobrae
병걸,炳杰,MODIFIED,bǐng jié,byeonggeol
병로,炳鲁,MODIFIED,bǐng lǔ,byeongro
병조,炳朝,MODIFIED,bǐng cháo,byeongjo
상흠,相钦,MODIFIED,xiāng qīn,sangheum
생민,生玟,MODIFIED,shēng mín,saengmin
석범,锡范,MODIFIED,xī fàn,seogbeom
민좌,敏左,MODIFIED,mǐn zuǒ,minjwa
영혜,英惠,MODIFIED,yīng huì,yeonghye
민자,敏子,MODIFIED,mǐn zǐ,minja
맹곤,孟坤,MODIFIED,mèng kūn,maenggon
명운,明恩,MODIFIED,míng ēn,myeongun
명윤,命润,MODIFIED,mìng rùn,myeongyun
명자,明子,MODIFIED,míng zǐ,myeongja
명제,明帝,MODIFIED,míng dì,myeongje
기석,基锡,MODIFIED,jī xī,giseog
예종,礼钟,MODIFIED,lǐ zhōng,yejong
백봉,白峰,MODIFIED,bái fēng,baegbong
범일,范镒,MODIFIED,fàn yì,beomil
규박,圭博,MODIFIED,guī bó,gyubag
동신,东信,MODIFIED,dōng xìn,dongsin
병란,炳兰,MODIFIED,bǐng lán,byeongran
판근,判根,MODIFIED,pàn gēn,pangeun
순민,顺旻,MODIFIED,shùn mín,sunmin
부선,扶宣,MODIFIED,fú xuān,buseon
상돈,相敦,MODIFIED,xiāng dūn,sangdon
수형,苏沈亨倬,MODIFIED,sū shěn hēng zhuō,suhyeong
미향,美香,MODIFIED,měi xiāng,mihyang
규병,珪昞,MODIFIED,guī bǐng,gyubyeong
승곤,承坤,MODIFIED,chéng kūn,seunggon
일용,日龙,MODIFIED,rì lóng,ilyong
솔희,率熙,MODIFIED,lǜ xī,solhyi
두진,斗轸,MODIFIED,dòu zhěn,dujin
시찬,时灿,MODIFIED,shí càn,sican
이머,世焕,MODIFIED,shì huàn,imeo
시철,时哲,MODIFIED,shí zhé,siceol
신호,信镐,MODIFIED,xìn hào,sinho
어준,于俊,MODIFIED,yú jùn,eojun
성녀,圣吕,MODIFIED,shèng lǚ,seongnyeo
성두,圣斗,MODIFIED,shèng dòu,seongdu
회원,熙远,MODIFIED,xī yuǎn,hoeweon
선형,善亨,MODIFIED,shàn hēng,seonhyeong
선혜,善惠,MODIFIED,shàn huì,seonhye
주란,珠兰,MODIFIED,zhū lán,juran
태갑,胎甲,MODIFIED,tāi jiǎ,taegab
영동,永东,MODIFIED,yǒng dōng,yeongdong
평석,平锡,MODIFIED,píng xī,pyeongseog
상택,相泽,MODIFIED,xiāng zé,sangtaeg
민혜,敏慧,MODIFIED,mǐn huì,minhye
용래,容来,MODIFIED,róng lái,yongrae
난숙,兰淑,MODIFIED,lán shū,nansug
영임,英妊,MODIFIED,yīng rèn,yeongim
영종,永钟,MODIFIED,yǒng zhōng,yeongjong
선근,宣根,MODIFIED,xuān gēn,seongeun
용갑,龙甲,MODIFIED,lóng jiǎ,yonggab
규동,奎东,MODIFIED,kuí dōng,gyudong
국수,国秀,MODIFIED,guó xiù,gugsu
병두,丙梪,MODIFIED,bǐng dòu,byeongdu
송아,颂雅,MODIFIED,sòng yǎ,songa
이키,明翼,MODIFIED,míng yì,iki
봉학,奉鹤,MODIFIED,fèng hè,bonghag
세창,世昌,MODIFIED,shì chāng,secang
순선,顺仙,MODIFIED,shùn xiān,sunseon
영원,英媛,MODIFIED,yīng yuàn,yeongweon
응식,恩植,MODIFIED,ēn zhí,eungsig
찬기,灿基,MODIFIED,càn jī,cangi
필호,弼镐,MODIFIED,bì hào,pilho
영필,英弼,MODIFIED,yīng bì,yeongpil
권상,权相,MODIFIED,quán xiāng,gweonsang
규점,奎沾,MODIFIED,kuí zhān,gyujeom
찬재,瓒载,MODIFIED,zàn zǎi,canjae
옥선,玉仙,MODIFIED,yù xiān,ogseon
옥윤,玉允,MODIFIED,yù yǔn,ogyun
완기,婉琪,MODIFIED,wǎn qí,wangi
완제,烷济,MODIFIED,wán jì,wanje
완태,完泰,MODIFIED,wán tài,wantae
운경,运京,MODIFIED,yùn jīng,ungyeong
운용,云龙,MODIFIED,yún lóng,unyong
원길,元吉,MODIFIED,yuán jí,weongil
원만,元万,MODIFIED,yuán wàn,weonman
서운,书云,MODIFIED,shū yún,seoun
군자,君子,MODIFIED,jūn zǐ,gunja
용임,容妊,MODIFIED,róng rèn,yongim
우남,宇南,MODIFIED,yǔ nán,unam
남수,南秀,MODIFIED,nán xiù,namsu
남정,南政,MODIFIED,nán zhèng,namjeong
규채,圭彩,MODIFIED,guī cǎi,gyucae
극제,克济,MODIFIED,kè jì,geugje
근식,根植,MODIFIED,gēn zhí,geunsig
기출,历年,MODIFIED,lì nián,gicul
용배,龙培,MODIFIED,lóng péi,yongbae
유식,裕植,MODIFIED,yù zhí,yusig
유행,裕行,MODIFIED,yù xíng,yuhaeng
예분,艺芬,MODIFIED,yì fēn,yebun
인태,仁泰,MODIFIED,rén tài,intae
두병,斗秉,MODIFIED,dòu bǐng,dubyeong
만영,万英,MODIFIED,wàn yīng,manyeong
희중,熙中,MODIFIED,xī zhōng,hyijung
수장,秀壮,MODIFIED,xiù zhuàng,sujang
향리,香里,MODIFIED,xiāng lǐ,hyangri
성신,性信,MODIFIED,xìng xìn,seongsin
윤환,允焕,MODIFIED,yǔn huàn,yunhwan
맹우,孟雨,MODIFIED,mèng yǔ,maengu
영만,英万,MODIFIED,yīng wàn,yeongman
문생,穆恩桑,MODIFIED,mù ēn sāng,munsaeng
건용,建溶,MODIFIED,jiàn róng,geonyong
건호,健浩,MODIFIED,jiàn hào,geonho
겸수,谦洙,MODIFIED,qiān zhū,gyeomsu
경범,京范,MODIFIED,jīng fàn,gyeongbeom
계동,启东,MODIFIED,qǐ dōng,gyedong
수동,水东,MODIFIED,shuǐ dōng,sudong
순덕,顺德,MODIFIED,shùn dé,sundeog
순병,纯秉,MODIFIED,chún bǐng,sunbyeong
순애,顺爱,MODIFIED,shùn ài,sunae
영근,永根,MODIFIED,yǒng gēn,yeonggeun
보환,普焕,MODIFIED,pǔ huàn,bohwan
연대,年代,MODIFIED,nián dài,yeondae
인문,仁文,MODIFIED,rén wén,inmun
응용,应龙,MODIFIED,yìng lóng,eungyong
익렬,益烈,MODIFIED,yì liè,igryeol
인규,仁圭,MODIFIED,rén guī,ingyu
종근,钟根,MODIFIED,zhōng gēn,jonggeun
종문,钟汶,MODIFIED,zhōng wèn,jongmun
종열,钟烈,MODIFIED,zhōng liè,jongyeol
종진,钟辰,MODIFIED,zhōng chén,jongjin
은옥,恩玉,MODIFIED,ēn yù,eunog
재동,在东,MODIFIED,zài dōng,jaedong
두희,斗熙,MODIFIED,dòu xī,duhyi
정록,正禄,MODIFIED,zhèng lù,jeongrog
재만,在万,MODIFIED,zài wàn,jaeman
종결,钟洁,MODIFIED,zhōng jié,jonggyeol
전섭,田燮,MODIFIED,tián xiè,jeonseob
사임,思荏,MODIFIED,sī rěn,saim
상규,尚奎,MODIFIED,shàng kuí,sanggyu
제남,霁南,MODIFIED,jì nán,jenam
석안,石安,MODIFIED,shí ān,seogan
성미,星美,MODIFIED,xīng měi,seongmi
준선,俊宣,MODIFIED,jùn xuān,junseon
주선,柱宣,MODIFIED,zhù xuān,juseon
재열,载烈,MODIFIED,zǎi liè,jaeyeol
재철,在哲,MODIFIED,zài zhé,jaeceol
점곤,点坤,MODIFIED,diǎn kūn,jeomgon
근택,根铎,MODIFIED,gēn duó,geuntaeg
행숙,幸淑,MODIFIED,xìng shū,haengsug
내영,来暎,MODIFIED,lái yìng,naeyeong
운태,云太,MODIFIED,yún tài,untae
인길,仁吉,MODIFIED,rén jí,ingil
인봉,仁凤,MODIFIED,rén fèng,inbong
길부,吉夫,MODIFIED,jí fū,gilbu
도한,道涵,MODIFIED,dào hán,dohan
태기,泰基,MODIFIED,tài jī,taegi
준배,俊裴,MODIFIED,jùn péi,junbae
중만,重晚,MODIFIED,zhòng wǎn,jungman
성필,成弼,MODIFIED,chéng bì,seongpil
수한,修瀚,MODIFIED,xiū hàn,suhan
진복,镇福,MODIFIED,zhèn fú,jinbog
진숙,镇宿,MODIFIED,zhèn sù,jinsug
진애,镇爱,MODIFIED,zhèn ài,jinae
찬익,赞翊,MODIFIED,zàn yì,canig
한근,韩根,MODIFIED,hán gēn,hangeun
문봉,文奉,MODIFIED,wén fèng,munbong
미형,美馨,MODIFIED,měi xīn,mihyeong
창영,昌永,MODIFIED,chāng yǒng,cangyeong
창규,昌圭,MODIFIED,chāng guī,canggyu
경란,京兰,MODIFIED,jīng lán,gyeongran
창암,苍岩,MODIFIED,cāng yán,cangam
철언,哲彦,MODIFIED,zhé yàn,ceoleon
신재,信哉,MODIFIED,xìn zāi,sinjae
선수,善修,MODIFIED,shàn xiū,seonsu
희건,熙建,MODIFIED,xī jiàn,hyigeon
동업,东业,MODIFIED,dōng yè,dongeob
명승,明升,MODIFIED,míng shēng,myeongseung
경중,京中,MODIFIED,jīng zhōng,gyeongjung
태술,泰术,MODIFIED,tài shù,taesul
자룡,滋龙,MODIFIED,zī lóng,jaryong
자형,滋炯,MODIFIED,zī jiǒng,jahyeong
추련,秋练,MODIFIED,qiū liàn,curyeon
추월,秋月,MODIFIED,qiū yuè,cuweol
추자,秋子,MODIFIED,qiū zǐ,cuja
충수,忠铢,MODIFIED,zhōng zhū,cungsu
희덕,喜德,MODIFIED,xǐ dé,hyideog
은세,恩世,MODIFIED,ēn shì,eunse
달호,达镐,MODIFIED,dá hào,dalho
지균,桢均,MODIFIED,zhēn jūn,jigyun
광모,光谟,MODIFIED,guāng mó,gwangmo
본철,本喆,MODIFIED,běn zhé,bonceol
혜신,惠新,MODIFIED,huì xīn,hyesin
태한,泰韩,MODIFIED,tài hán,taehan
봉서,凤书,MODIFIED,fèng shū,bongseo
전식,典植,MODIFIED,diǎn zhí,jeonsig
창덕,昌悳,MODIFIED,chāng dé,cangdeog
학미,学美,MODIFIED,xué měi,hagmi
야월,夜月,MODIFIED,yè yuè,yaweol
신봉,信奉,MODIFIED,xìn fèng,sinbong
진교,晋教,MODIFIED,jìn jiào,jingyo
진홍,珍红,MODIFIED,zhēn hóng,jinhong
군기,君基,MODIFIED,jūn jī,gungi
근민,瑾敏,MODIFIED,jǐn mǐn,geunmin
연이,妍伊,MODIFIED,yán yī,yeoni
윤근,润根,MODIFIED,rùn gēn,yungeun
금택,锦泽,MODIFIED,jǐn zé,geumtaeg
기성,起成,MODIFIED,qǐ chéng,giseong
덕광,德光,MODIFIED,dé guāng,deoggwang
승덕,承德,MODIFIED,chéng dé,seungdeog
승제,承济,MODIFIED,chéng jì,seungje
은님,恩䌾,MODIFIED,ēn 䌾,eunnim
재득,在得,MODIFIED,zài dé,jaedeug
학서,学书,MODIFIED,xué shū,hagseo
흥남,兴南,MODIFIED,xīng nán,heungnam
효서,孝书,MODIFIED,xiào shū,hyoseo
궁,弓,MODIFIED,gōng,gung
경석,炅锡,MODIFIED,jiǒng xī,gyeongseog
중수,仲秀,MODIFIED,zhòng xiù,jungsu
진항,镇恒,MODIFIED,zhèn héng,jinhang
배희,培姬,MODIFIED,péi jī,baehyi
윤직,润直,MODIFIED,rùn zhí,yunjig
민중,敏中,MODIFIED,mǐn zhōng,minjung
순표,顺表,MODIFIED,shùn biǎo,sunpyo
혁풍,赫丰,MODIFIED,hè fēng,hyeogpung
정달,正达,MODIFIED,zhèng dá,jeongdal
오민,悟敏,MODIFIED,wù mǐn,omin
이종,彛钟,MODIFIED,yí zhōng,ijong
재관,在矜,MODIFIED,zài jīn,jaegwan
경의,庆义,MODIFIED,qìng yì,gyeongyi
대운,大运,MODIFIED,dà yùn,daeun
득춘,得春,MODIFIED,dé chūn,deugcun
정성,政成,MODIFIED,zhèng chéng,jeongseong
정옥,贞玉,MODIFIED,zhēn yù,jeongog
기완,基玩,MODIFIED,jī wán,giwan
낙환,乐晥,MODIFIED,lè wǎn,naghwan
난아,兰儿,MODIFIED,lán ér,nana
남치,南治,MODIFIED,nán zhì,namci
옥우,沃祐,MODIFIED,wò yòu,ogu
용원,龙源,MODIFIED,lóng yuán,yongweon
재건,在干,MODIFIED,zài gān,jaegeon
해무,海茂,MODIFIED,hǎi mào,haemu
남용,南勇,MODIFIED,nán yǒng,namyong
덕영,德永,MODIFIED,dé yǒng,deogyeong
갑태,甲泰,MODIFIED,jiǎ tài,gabtae
강일,刚日,MODIFIED,gāng rì,gangil
동림,东琳,MODIFIED,dōng lín,dongrim
치진,致真,MODIFIED,zhì zhēn,cijin
유철,裕哲,MODIFIED,yù zhé,yuceol
창묵,昌默,MODIFIED,chāng mò,cangmug
혜덕,嵇德,MODIFIED,jī dé,hyedeog
명남,明男,MODIFIED,míng nán,myeongnam
문근,文根,MODIFIED,wén gēn,mungeun
배숙,培淑,MODIFIED,péi shū,baesug
권순,权顺,MODIFIED,quán shùn,gweonsun
광욱,光郁,MODIFIED,guāng yù,gwangug
제니,金,MODIFIED,jīn,jeni
형관,炯官,MODIFIED,jiǒng guān,hyeonggwan
호한,浩瀚,MODIFIED,hào hàn,hohan
희관,熙宽,MODIFIED,xī kuān,hyigwan
상환,相懽,MODIFIED,xiāng huān,sanghwan
영득,泳得,MODIFIED,yǒng dé,yeongdeug
용교,瑢教,MODIFIED,róng jiào,yonggyo
종배,钟培,MODIFIED,zhōng péi,jongbae
종한,种汉,MODIFIED,zhǒng hàn,jonghan
신연,信延,MODIFIED,xìn yán,sinyeon
기조,耆兆,MODIFIED,qí zhào,gijo
선녀,仙女,MODIFIED,xiān nǚ,seonnyeo
찬진,璨振,MODIFIED,càn zhèn,canjin
창복,昌馥,MODIFIED,chāng fù,cangbog
창명,昌明,MODIFIED,chāng míng,cangmyeong
우종,优钟,MODIFIED,yōu zhōng,ujong
원선,苑善,MODIFIED,yuàn shàn,weonseon
은령,杨恩泳柳昂,MODIFIED,yáng ēn yǒng liǔ áng,eunryeong
재완,在莞,MODIFIED,zài wǎn,jaewan
흥순,兴顺,MODIFIED,xīng shùn,heungsun
주노,朱诺,MODIFIED,zhū nuò,juno
주실,珠实,MODIFIED,zhū shí,jusil
경록,景禄,MODIFIED,jǐng lù,gyeongrog
경룡,庆龙,MODIFIED,qìng lóng,gyeongryong
경언,京言,MODIFIED,jīng yán,gyeongeon
재포,载辅,MODIFIED,zǎi fǔ,jaepo
지형,智型,MODIFIED,zhì xíng,jihyeong
철희,哲熙,MODIFIED,zhé xī,ceolhyi
춘규,春揆,MODIFIED,chūn kuí,cungyu
춘녕,春宁,MODIFIED,chūn níng,cunnyeong
춘연,椿渊,MODIFIED,chūn yuān,cunyeon
미림,美林,MODIFIED,měi lín,mirim
병화,炳华,MODIFIED,bǐng huá,byeonghwa
복성,福成,MODIFIED,fú chéng,bogseong
복희,福姬,MODIFIED,fú jī,boghyi
영택,永泽,MODIFIED,yǒng zé,yeongtaeg
용중,庸中,MODIFIED,yōng zhōng,yongjung
용훈,荣俊,MODIFIED,róng jùn,yonghun
봉춘,逢春,MODIFIED,féng chūn,bongcun
주항,周恒,MODIFIED,zhōu héng,juhang
지창,志昌,MODIFIED,zhì chāng,jicang
수훈,秀训,MODIFIED,xiù xùn,suhun
억동,万洞,MODIFIED,wàn dòng,eogdong
연현,演铉,MODIFIED,yǎn xuàn,yeonhyeon
주경,珠京,MODIFIED,zhū jīng,jugyeong
연태,莲泰,MODIFIED,lián tài,yeontae
완경,完京,MODIFIED,wán jīng,wangyeong
명은,明恩,MODIFIED,míng ēn,myeongeun
봉호,凤镐,MODIFIED,fèng hào,bongho
해녕,海宁,MODIFIED,hǎi níng,haenyeong
종분,宗芬,MODIFIED,zōng fēn,jongbun
경무,景武,MODIFIED,jǐng wǔ,gyeongmu
경현,炅贤,MODIFIED,jiǒng xián,gyeonghyeon
계륜,溪轮,MODIFIED,xī lún,gyeryun
계행,桂幸,MODIFIED,guì xìng,gyehaeng
구범,久范,MODIFIED,jiǔ fàn,gubeom
낙균,乐均,MODIFIED,lè jūn,naggyun
항조,行祖,MODIFIED,xíng zǔ,hangjo
학길,学吉,MODIFIED,xué jí,haggil
형빈,衡彬,MODIFIED,héng bīn,hyeongbin
강식,康植,MODIFIED,kāng zhí,gangsig
강천,康天,MODIFIED,kāng tiān,gangceon
건명,建明,MODIFIED,jiàn míng,geonmyeong
홍렬,洪烈,MODIFIED,hóng liè,hongryeol
홍우,泓雨,MODIFIED,hóng yǔ,hongu
화자,花子,MODIFIED,huā zǐ,hwaja
효계,孝桂,MODIFIED,xiào guì,hyogye
효재,効再,MODIFIED,xiào zài,hyojae
성춘,胜春,MODIFIED,shèng chūn,seongcun
순례,顺礼,MODIFIED,shùn lǐ,sunrye
풍운,豊运,MODIFIED,lǐ yùn,pungun
승운,胜云,MODIFIED,shèng yún,seungun
익헌,益宪,MODIFIED,yì xiàn,igheon
헌수,宪秀,MODIFIED,xiàn xiù,heonsu
금식,今植,MODIFIED,jīn zhí,geumsig
기섭,起燮,MODIFIED,qǐ xiè,giseob
몽규,梦奎,MODIFIED,mèng kuí,monggyu
영복,永福,MODIFIED,yǒng fú,yeongbog
가현,嘉妍,MODIFIED,jiā yán,gahyeon
대철,大澈,MODIFIED,dà chè,daeceol
진식,镇植,MODIFIED,zhèn zhí,jinsig
철형,喆衡,MODIFIED,zhé héng,ceolhyeong
한림,翰林,MODIFIED,hàn lín,hanrim
해랑,海浪,MODIFIED,hǎi làng,haerang
증녀,宗女,MODIFIED,zōng nǚ,jeungnyeo
시내,诗奈,MODIFIED,shī nài,sinae
여훈,汝训,MODIFIED,rǔ xùn,yeohun
예희,芮熙,MODIFIED,ruì xī,yehyi
석찬,锡赞,MODIFIED,xī zàn,seogcan
광섭,光燮,MODIFIED,guāng xiè,gwangseob
연화,莲花,MODIFIED,lián huā,yeonhwa
