нюша,뉴샤,nyusya
эдуард артемьев,예두아르트 아르테미예프,yeduareuteu areutemiyepeu
наталья рагозина,나타샤 라고지나,natasya ragojina
армен джигарханян,아르멘 지가르하냔,areumen jigareuhanyan
семён могилевич,세묜 모길레비치,semyon mogilrebici
геннадий стрекалов,겐나디 스트레칼로프,gennadi seuteurekalropeu
константин волков,콘스탄틴 볼코프,konseutantin bolkopeu
лев наумов,레프 나우모프,repeu naumopeu
андрей плеханов,안드레이 플레하노프,andeurei peulrehanopeu
виктор ерофеев,빅토르 예로페예프,bigtoreu yeropeyepeu
игорь шафаревич,이고리 샤파레비치,igori syaparebici
артём анисимов,아르툠 아니시모프,areutyom anisimopeu
даниил марков,다닐 마르코프,danil mareukopeu
елизавета туктамышева,옐리자베타 툭타미셰바,yelrijabeta tugtamisyeba
наталья бочина,나탈리야 보치나,natalriya bocina
ольга костецкая,올가 드비르나,olga deubireuna
артём дзюба,아르툠 주바,areutyom juba
светлана васильева,스베틀라나 트루노바,seubeteulrana teurunoba
яна егорян,야나 예고랸,yana yegoryan
григорий лепс,그리고리 랩스,geurigori raebseu
сергей безруков,세르게이 베즈루코프,sereugei bejeurukopeu
игорь северянин,이고리 세베랴닌,igori seberyanin
сергей удальцов,세르게이 우달초프,sereugei udalcopeu
сергей владимир,세르게이 블라디미르,sereugei beulradimireu
дмитрий хохлов,드미트리 호흘로프,deumiteuri hoheulropeu
александр иваницкий,알렉산드르 이바니츠키,alregsandeureu ibaniceuki
николай морозов,니콜라이 모로조프,nikolrai morojopeu
виктор кейру,빅토르 케이루,bigtoreu keiru
сергей викторович рыжиков,세르게이 빅토로비치 리지코프,sereugei bigtorobici rijikopeu
артур айвазян,아르투르 아이바지얀,areutureu aibajiyan
андрей соломатин,안드레이 솔로마틴,andeurei solromatin
анастасия родионова,아나스타시야 로디오노바,anaseutasiya rodionoba
евгений гришковец,예브게니 그리시코베츠,yebeugeni geurisikobeceu
владимир соловьёв,블라디미르 솔로비요프,beulradimireu solrobiyopeu
пётр свидлер,페테르 스비들레르,petereu seubideulrereu
иван силаев,이반 실라예프,iban silrayepeu
алексей воевода,알렉세이 보에보다,alregsei boeboda
александр маркович поляков,알렉산드르 마르코비치 폴랴코프,alregsandeureu mareukobici polryakopeu
влада рослякова,블라다 로슬랴코바,beulrada roseulryakoba
вячеслав штыров,뱌체슬라프 시티로프,byaceseulrapeu sitiropeu
александр голубев,알렉산드르 골루베프,alregsandeureu golrubepeu
анастасия задорожная,아나스타시야 자도로즈나야,anaseutasiya jadorojeunaya
борис моруков,보리스 모루코프,boriseu morukopeu
александр феклистов,알렉산드르 페클리스토프,alregsandeureu pekeulriseutopeu
игорь пресняков,이고리 프레스냐코프,igori peureseunyakopeu
анатолий добрынин,아나톨리 도프리닌,anatolri dopeurinin
анастасия павлюченкова,아나스타시야 파블류첸코바,anaseutasiya pabeulryucenkoba
анатолий иванишин,아나톨리 이바니신,anatolri ibanisin
анатолий ким,아나톨리 킴,anatolri kim
равиль гениатулин,라빌 게니아툴린,rabil geniatulrin
александр бердников,알렉산더 베르니니체,alregsandeo bereuninice
дмитрий глуховский,드미트리 글루홉스키,deumiteuri geulruhobseuki
олег тактаров,올레크 타크타로프,olrekeu takeutaropeu
александр легков,알렉산드르 렉코프,alregsandeureu regkopeu
ирина алфёрова,이리나 알표로바,irina alpyoroba
сагид муртазалиев,사기트 무르타잘리예프,sagiteu mureutajalriyepeu
илья пятецкийшапиро,일리야 퍄테츠키샤피로,ilriya pyateceukisyapiro
сергей николаевич лазарев,세르게이 니콜라예비치 라자레프,sereugei nikolrayebici rajarepeu
дарья дмитриева,다리야 드미트리예바,dariya deumiteuriyeba
весна долонц,베스나 돌론츠,beseuna dolronceu
анатолий бышовец,아나톨리 비쇼베츠,anatolri bisyobeceu
ксения собчак,크세니야 솝차크,keuseniya sobcakeu
любовь полищук,류보프 폴란드슈크,ryubopeu polrandeusyukeu
ксения макарова,크세니야 마카로바,keuseniya makaroba
кристина орбакайте,크리스티나 오르바카이테,keuriseutina oreubakaite
светлана немоляева,스베틀라나 네몰랴예바,seubeteulrana nemolryayeba
лия ахеджакова,리야 아헤자코바,riya ahejakoba
анастасия барышникова,아나스타시야 바리시니코바,anaseutasiya barisinikoba
анатолий филипченко,아나톨리 필립첸코,anatolri pilribcenko
сергей овчинников,세르게이 옵친니코프,sereugei obcinnikopeu
евгений леонов,예브게니 레오노프,yebeugeni reonopeu
эдуард лимонов,에두아르드 리모노프,eduareudeu rimonopeu
александр лебедь,알렉산드르 레베디,alregsandeureu rebedi
сергей волков,세르게이 볼코프,sereugei bolkopeu
дмитрий полянский,드미트리 폴랸스키,deumiteuri polryanseuki
анатолий дятлов,아나톨리 댜틀로프,anatolri dyateulropeu
анатолий перминов,아나톨리 페르미노프,anatolri pereuminopeu
анатолий быков,아나톨리 비코프,anatolri bikopeu
сервер джепаров,세르베르 제파로프,sereubereu jeparopeu
филипп киркоров,필리프 키르코로프,pilripeu kireukoropeu
рамазан шахин,라마잔 샤힌,ramajan syahin
юлий райзман,율리 라이즈만,yulri raijeuman
александр жулин,알렉산드르 줄린,alregsandeureu julrin
микаэл таривердиев,미카엘 타리베르디예프,mikael taribereudiyepeu
дмитрий сычёв,드미트리 시초프,deumiteuri sicopeu
анатолий оноприенко,아나톨리 오노프리옌코,anatolri onopeuriyenko
екатерина чемберджи,예카테리나 쳄베르지,yekaterina cembereuji
борис заходер,보리스 자호데르,boriseu jahodereu
дмитрий берестов,드리트리 베레스토프,deuriteuri bereseutopeu
дмитрий андрейкин,드미트리 안드레이킨,deumiteuri andeureikin
александр тучкин,알렉산드르 투치킨,alregsandeureu tucikin
ахмат кадыров,아흐마트 카디로프,aheumateu kadiropeu
владимир меньшов,블라디미르 멘쇼프,beulradimireu mensyopeu
дмитрий врубель,드미트리 브루벨,deumiteuri beurubel
андрей кириленко,안드레이 키릴렌코,andeurei kirilrenko
дмитрий торбинский,드미트리 토르빈스키,deumiteuri toreubinseuki
константин безматерных,콘스탄틴 베즈마테르니흐,konseutantin bejeumatereuniheu
карина разумовская,카리나 라주몹스카야,karina rajumobseukaya
василий березуцкий,바실리 베레주츠키,basilri berejuceuki
александр овечкин,알렉산드르 오베치킨,alregsandeureu obecikin
андрей битов,안드레이 비토프,andeurei bitopeu
светлана светличная,스베틀라나 스베트리크나야,seubeteulrana seubeteurikeunaya
виктор онопко,빅토르 오놉코,bigtoreu onobko
антон шунин,안톤 슈닌,anton syunin
евгений евтушенко,예브게니 옙투셴코,yebeugeni yebtusyenko
наталья полевщикова,나타샤 폴리,natasya polri
андрей фурсенко,안드레이 푸르센코,andeurei pureusenko
андрей кузнецов,안드레이 쿠즈네초프,andeurei kujeunecopeu
владимир квачков,블라디미르 크바치코프,beulradimireu keubacikopeu
юрий шаргин,유리 샤르긴,yuri syareugin
салижан шарипов,살리잔 샤리포프,salrijan syaripopeu
игорь семшов,이고리 셈쇼프,igori semsyopeu
борис березовский,보리스 베레좁스키,boriseu berejobseuki
ксения цыбутович,크세니야 치부토비치,keuseniya cibutobici
андрей чернышов,안드레이 체르니쇼프,andeurei cereunisyopeu
андрей букин,안드레이 부킨,andeurei bukin
анастасия вертинская,아나스타시야 베르틴스카야,anaseutasiya bereutinseukaya
богдан пищальников,보그단 피샬니코프,bogeudan pisyalnikopeu
юрий никулин,유리 니쿨린,yuri nikulrin
валерий карпин,발레리 카르핀,balreri kareupin
денис меньшов,데니스 멘쇼프,deniseu mensyopeu
надежда скардино,나데즈다 스카르디노,nadejeuda seukareudino
валентин иванов,발렌틴 이바노프,balrentin ibanopeu
евгений белошейкин,예브게니 벨로셰이킨,yebeugeni belrosyeikin
николай фёдоров,니콜라이 표도로프,nikolrai pyodoropeu
игорь смирнов,이고리 스미르노프,igori seumireunopeu
андрей борисенко,안드레이 보리센코,andeurei borisenko
леонид гайдай,레오니드 가이다이,reonideu gaidai
владислав крапивин,블라디슬라프 크라피빈,beulradiseulrapeu keurapibin
марат измайлов,마라트 이즈마일로프,marateu ijeumailropeu
михаил фридман,미하일 프리드만,mihail peurideuman
баир бадёнов,바이르 바됴노프,baireu badyonopeu
валерий васильев,발레리 바실리예프,balreri basilriyepeu
виктор шендерович,빅토르 셴데로비치,bigtoreu syenderobici
андрей коваленко,안드레이 코발렌코,andeurei kobalrenko
андрей ланьков,안드레이 란코프,andeurei rankopeu
андрей канчельскис,안드레이 칸첼스키스,andeurei kancelseukiseu
вячеслав тихонов,뱌체슬라프 티호노프,byaceseulrapeu tihonopeu
сергей семак,세르게이 세마크,sereugei semakeu
андрей иванов,안드레이 이바노프,andeurei ibanopeu
андрей николаевич малахов,안드레이 말라 코프,andeurei malra kopeu
роман шаронов,로만 샤로노프,roman syaronopeu
александр алиев,올렉산드르 알리예우,olregsandeureu alriyeu
андрей зубарев,안드레이 주바레프,andeurei jubarepeu
сергей степашин,세르게이 스테파신,sereugei seutepasin
олег янковский,올레그 얀코브스키,olregeu yankobeuseuki
алексей воробьёв,알렉세이 보로비요프,alregsei borobiyopeu
александр николаевич яковлев,알렉산드르 니콜라예비치 야코블레프,alregsandeureu nikolrayebici yakobeulrepeu
андриян николаев,안드리얀 니콜라예프,andeuriyan nikolrayepeu
борис успенский,보리스 우스펜스키,boriseu useupenseuki
денис мацуев,데니스 마추예프,deniseu macuyepeu
станислав ростоцкий,스타니슬라프 로스토츠키,seutaniseulrapeu roseutoceuki
алексей морозов,알렉세이 모로조프,alregsei morojopeu
станислав белковский,스타니슬라프 벨콥스키,seutaniseulrapeu belkobseuki
дмитрий рогозин,드미트리 로고진,deumiteuri rogojin
генрих альтшуллер,겐리히 알츠슐러,genrihi alceusyulreo
сергей крикалёв,세르게이 크리칼료프,sereugei keurikalryopeu
сергей кириенко,세르게이 키리옌코,sereugei kiriyenko
андрей башкиров,안드레이 바시키로프,andeurei basikiropeu
кирсан илюмжинов,키르산 일륨지노프,kireusan ilryumjinopeu
пётр налич,표트르 날리치,pyoteureu nalrici
иосиф хейфиц,이오시프 헤이피츠,iosipeu heipiceu
сергей катанандов,세르게이 카타난도프,sereugei katanandopeu
алексей мишин,알렉세이 미신,alregsei misin
сергей харитонов,세르게이 하리토노프,sereugei haritonopeu
юрий трутнев,유리 트룻네프,yuri teurusnepeu
юрий седых,유리 세디흐,yuri sediheu
кирилл набабкин,키릴 나밥킨,kiril nababkin
виталий денисов,비탈리 데니소프,bitalri denisopeu
павел мамаев,파벨 마마예프,pabel mamayepeu
александр хлопонин,알렉산드르 흘로포닌,alregsandeureu heulroponin
николай тихонов,니콜라이 티호노프,nikolrai tihonopeu
виктор хряпа,빅토르 흐랴파,bigtoreu heuryapa
александр замолодчиков,알렉산드르 자몰롯치코프,alregsandeureu jamolroscikopeu
андрей гаврилов,안드레이 가브릴로프,andeurei gabeurilropeu
олег штефанко,올레그 스테판,olregeu seutepan
александр грищук,알렉산데르 그리추크,alregsandereu geuricukeu
виктор бут,빅토르 부트,bigtoreu buteu
алишер усманов,알리셰르 우스마노프,alrisyereu useumanopeu
рустем казаков,루스탐 카자코프,ruseutam kajakopeu
андрей назаров,안드레이 나자로프,andeurei najaropeu
александр руцкой,알렉산드르 루츠코이,alregsandeureu ruceukoi
сергей литвинов,세르게이 리트비노프,sereugei riteubinopeu
владимир быстров,블라디미르 비스트로프,beulradimireu biseuteuropeu
дмитрий муратов,드미트리 무라토프,deumiteuri muratopeu
николай меркушкин,니콜라이 메르쿠시킨,nikolrai mereukusikin
александр пичушкин,알렉산드르 피추시킨,alregsandeureu picusikin
виктор христенко,빅토르 흐리스텐코,bigtoreu heuriseutenko
валерий поляков,발레리 폴랴코프,balreri polryakopeu
василий кузнецов,바실리 쿠즈네초프,basilri kujeunecopeu
владислав третьяк,블라디슬라프 트레티야크,beulradiseulrapeu teuretiyakeu
владимир гранат,블라디미르 그라나트,beulradimireu geuranateu
вагиз галиулин,바기즈 갈리울린,bagijeu galriulrin
денис глушаков,데니스 글루샤코프,deniseu geulrusyakopeu
евгений малкин,예브게니 말킨,yebeugeni malkin
анатолий сердюков,아나톨리 세르듀코프,anatolri sereudyukopeu
виталий мутко,비탈리 뭇코,bitalri musko
магомедали магомедов,마고메달리 마고메도프,magomedalri magomedopeu
павел чухрай,파벨 추크레이,pabel cukeurei
андрей окуньков,안드레이 오쿤코프,andeurei okunkopeu
олег дерипаска,올레크 데리파스카,olrekeu deripaseuka
юлий ким,율리 킴,yulri kim
мария миронова,마리아 미로노바,maria mironoba
сергей макаров,세르게이 마카로프,sereugei makaropeu
александр могильный,알렉산드르 모길니,alregsandeureu mogilni
вячеслав буравчиков,뱌체슬라프 부랍치코프,byaceseulrapeu burabcikopeu
маргарита алийчук,마르가리타 알리추크,mareugarita alricukeu
михаил соломенцев,미하일 솔로멘체프,mihail solromencepeu
али алханов,알루 알하노프,alru alhanopeu
валерий брумель,발레리 브루멜,balreri beurumel
николай кардашёв,니콜라이 카르다쇼프,nikolrai kareudasyopeu
валерий газзаев,발레리 가자예프,balreri gajayepeu
владислав листьев,블라디슬라프 리스티예프,beulradiseulrapeu riseutiyepeu
дмитрий кузнецов,드미트리 쿠즈네초프,deumiteuri kujeunecopeu
юрий борзаковский,유리 보르자콥스키,yuri boreujakobseuki
владимир сорокин,블라디미르 소로킨,beulradimireu sorokin
авраам руссо,아브람 루소,abeuram ruso
игорь корнеев,이고리 코르네예프,igori koreuneyepeu
сергей собянин,세르게이 소뱌닌,sereugei sobyanin
владимир поляков,블라디미르 폴랴코프,beulradimireu polryakopeu
александр гаврилов,알렉산드르 가브릴로프,alregsandeureu gabeurilropeu
константин лавроненко,콘스탄틴 라브로넨코,konseutantin rabeuronenko
станислав пьеха,스타 피에카,seuta pieka
ефим бронфман,예핌 브론프만,yepim beuronpeuman
бахтияр ахмедов,바흐티야르 아흐메도프,baheutiyareu aheumedopeu
фёдор смолов,표도르 스몰로프,pyodoreu seumolropeu
олег кассини,올렉 카시니,olreg kasini
владимир кейлисборок,블라디미르 케일리스보로크,beulradimireu keilriseuborokeu
рохо юкио,로호 유키오,roho yukio
алексей вахонин,알렉세이 박호닌,alregsei baghonin
владимир петрович демихов,블라디미르 폐트로비치 데미코프,beulradimireu pyeteurobici demikopeu
леонид филатов,레오니드 필라토프,reonideu pilratopeu
леонид жаботинский,레오니드 자보틴스키,reonideu jabotinseuki
глеб гальперин,글레프 갈페린,geulrepeu galperin
денис бойцов,데니스 보이초프,deniseu boicopeu
эдгар приб,에드가 프립,edeuga peurib
евгений самойлов,예브게니 사모일로프,yebeugeni samoilropeu
виктор медведчук,빅토르 메드베드추크,bigtoreu medeubedeucukeu
вячеслав иванов,뱌체슬라프 이바노프,byaceseulrapeu ibanopeu
марина сидорова,마리나 시도로바,marina sidoroba
михаил амосов,미하일 아모소프,mihail amosopeu
николай гуляев,니콜라이 굴랴예프,nikolrai gulryayepeu
марат бикмаев,마라트 비크마예프,marateu bikeumayepeu
анатолий собчак,아나톨리 솝차크,anatolri sobcakeu
алексей швед,알렉세이 시베트,alregsei sibeteu
николай борщевский,니콜라이 보르솁스키,nikolrai boreusyebseuki
виктор бушуев,빅토르 부슈에프,bigtoreu busyuepeu
слава,슬라바,seulraba
сергей новиков,세르게이 노비코프,sereugei nobikopeu
станислав смирнов,스타니슬라프 스미르노프,seutaniseulrapeu seumireunopeu
александр володин,알렉산드르 볼로딘,alregsandeureu bolrodin
дмитрий хворостовский,드미트리 흐보로스톱스키,deumiteuri heuboroseutobseuki
алексей аджубей,알렉세이 아주베이,alregsei ajubei
сергей дарькин,세르게이 다리킨,sereugei darikin
анатолий иванович лисицын,아나톨리 이바노비치 리시친,anatolri ibanobici risicin
олег иванов,올레크 이바노프,olrekeu ibanopeu
теймураз габашвили,테이무라스 가바시빌리,teimuraseu gabasibilri
паршивлюк викторович,세르게이 파르시블류크,sereugei pareusibeulryukeu
алексей баталов,알렉세이 바탈로프,alregsei batalropeu
яна батыршина,야나 바티르시나,yana batireusina
ольга глацких,올가 글라츠키흐,olga geulraceukiheu
александр фадеев,알렉산더 파데예프,alregsandeo padeyepeu
владимир гусинский,블라디미르 구신스키,beulradimireu gusinseuki
александр мостовой,알렉산드르 모스토보이,alregsandeureu moseutoboi
эдуард мудрик,예두아르트 무드리크,yeduareuteu mudeurikeu
елена чайковская,옐레나 차이콥스카야,yelrena caikobseukaya
ахрик цвейба,아흐리크 츠베이바,aheurikeu ceubeiba
алексей сиваков,알렉세이 시바코프,alregsei sibakopeu
егор мехонцев,예고르 메혼체프,yegoreu mehoncepeu
юрий маленченко,유리 말렌첸코,yuri malrencenko
александр бортников,알렉산드르 보르트니코프,alregsandeureu boreuteunikopeu
александр дюков,알렉산드르 듀코프,alregsandeureu dyukopeu
михаил капранов,미하일 카프라노프,mihail kapeuranopeu
мурат насыров,무라트 나시로프,murateu nasiropeu
антон шипулин,안톤 시풀린,anton sipulrin
сергей хрущёв,세르게이 흐루쇼프,sereugei heurusyopeu
тимур бекмамбетов,티무르 베크맘베토프,timureu bekeumambetopeu
михаил корниенко,미하일 코르니옌코,mihail koreuniyenko
юрий батурин,유리 바투린,yuri baturin
фёдор юрчихин,표도르 유르치힌,pyodoreu yureucihin
николай соловьёв,니콜라이 솔로비요프,nikolrai solrobiyopeu
немчинов львович,세르게이 넴치노프,sereugei nemcinopeu
роман ерёменко,로만 에레멩코,roman eremengko
михаил леонидович громов,미하일 레오니도비치 그로모프,mihail reonidobici geuromopeu
евгений лукьяненко,예브게니 루키야넨코,yebeugeni rukiyanenko
станислав говорухин,스타니슬라프 고보루힌,seutaniseulrapeu goboruhin
велько кадиевич,벨코 카디예비치,belko kadiyebici
илья бякин,일리야 뱌킨,ilriya byakin
виктор горбатко,빅토르 고르밧코,bigtoreu goreubasko
марина неёлова,마리나 네욜로바,marina neyolroba
станислав жук,스타니슬라프 주크,seutaniseulrapeu jukeu
геннадий хазанов,겐나디 카자노프,gennadi kajanopeu
анна достоевская,안나 스니트키나,anna seuniteukina
хасан бароев,하산 바로예프,hasan baroyepeu
пётр мамонов,표트르 마모노프,pyoteureu mamonopeu
борис егоров,보리스 예고로프,boriseu yegoropeu
тимофей мозгов,티모페이 모즈고프,timopei mojeugopeu
игорь добровольский,이고리 도브로볼스키,igori dobeurobolseuki
кир булычёв,키르 불리초프,kireu bulricopeu
валентин распутин,발렌틴 라스푸틴,balrentin raseuputin
татьяна бородулина,타티야나 보로둘리나,tatiyana borodulrina
дмитрий шевченко,드미트리 솁첸코,deumiteuri syebcenko
софья великая,소피아 벨리카야,sopia belrikaya
леонид куравлёв,레오니트 쿠라블료프,reoniteu kurabeulryopeu
борис фейгин,보리스 페이긴,boriseu peigin
леонид кизим,레오니트 키짐,reoniteu kijim
эдуард хиль,에두아르드 킬,eduareudeu kil
дмитрий аленичев,드미트리 알레니체프,deumiteuri alrenicepeu
константин кинчев,콘스탄틴 킨체프,konseutantin kincepeu
александр домогаров,알렉산드로 도모고로프,alregsandeuro domogoropeu
вадим богиев,바딤 보기예프,badim bogiyepeu
александр беглов,알렉산드르 베글로프,alregsandeureu begeulropeu
аркадий вятчанин,아르카디 뱌차닌,areukadi byacanin
ольга кабо,올가 카보,olga kabo
алексей ерёменко,알렉세이 에레멩코,alregsei eremengko
гайдарбек гайдарбеков,가이다르베크 가이다르베코프,gaidareubekeu gaidareubekopeu
клара румянова,클라라 루먀노바,keulrara rumyanoba
виктор сухоруков,빅토르 수크호루코브,bigtoreu sukeuhorukobeu
арчил гомиашвили,아르칠 고미아슈빌리,areucil gomiasyubilri
владислав галкин,블라디스라브 갈킨,beulradiseurabeu galkin
григорий горин,그리고리 고린,geurigori gorin
борис тищенко,보리스 티셴코,boriseu tisyenko
геннадий падалка,겐나디 파달카,gennadi padalka
александр колобнев,알렉산드르 콜로브네프,alregsandeureu kolrobeunepeu
александр мамут,알렉산드르 마무트,alregsandeureu mamuteu
хакуродзан юта,하쿠로잔 유타,hakurojan yuta
рашид нургалиев,라시트 누르갈리예프,rasiteu nureugalriyepeu
андрей панин,안드레이 파닌,andeurei panin
василий ливанов,바실리 리바노프,basilri ribanopeu
андрей зализняк,안드레이 잘리즈냐크,andeurei jalrijeunyakeu
пётр кислов,표트르 키슬로프,pyoteureu kiseulropeu
ирина скобцева,이리나 스코브세바,irina seukobeuseba
георгий береговой,게오르기 베레고보이,georeugi beregoboi
владимир казачёнок,블라디미르 카자초노크,beulradimireu kajaconokeu
николай рыжков,니콜라이 리즈코프,nikolrai rijeukopeu
сергей фёдоров,세르게이 표도로프,sereugei pyodoropeu
минтимер шаймиев,민티메르 샤이미예프,mintimereu syaimiyepeu
константин козеев,콘스탄틴 코제예프,konseutantin kojeyepeu
владимир дежуров,블라디미르 데주로프,beulradimireu dejuropeu
александр каун,알렉산드르 카운,alregsandeureu kaun
борис немцов,보리스 넴초프,boriseu nemcopeu
борис михайлов,보리스 미하일로프,boriseu mihailropeu
алексей серебряков,알렉세이 세레브랴코프,alregsei serebeuryakopeu
сергей никоненко,세르게이 니코넨코,sereugei nikonenko
валентин иосифович гафт,발렌틴 가프 트,balrentin gapeu teu
леонид якубович,레오니트 야쿠보비치,reoniteu yakubobici
алексей венедиктов,알렉세이 베네딕토프,alregsei benedigtopeu
александр пугачёв,알렉상드르 푸가치요프,alregsangdeureu pugaciyopeu
курбан бердыев,쿠르반 베르디예프,kureuban bereudiyepeu
сергей миронов,세르게이 미로노프,sereugei mironopeu
александр борисович градский,알렉산더 그라드 스키,alregsandeo geuradeu seuki
максим концевич,막심 콘체비치,magsim koncebici
артур юсупов,아르투르 유수포프,areutureu yusupopeu
михаил барсуков,미하일 바르수코프,mihail bareusukopeu
александра яковлева,알렉산드라 야코블레바,alregsandeura yakobeulreba
гавриил илизаров,가브릴 일리자로프,gabeuril ilrijaropeu
александр лебедев,알렉산드르 레베데프,alregsandeureu rebedepeu
сергей шнуров,세르게이 시누로프,sereugei sinuropeu
роман мадянов,로만 마댜노프,roman madyanopeu
дмитрий лоськов,드미트리 로스코프,deumiteuri roseukopeu
олеж маскаев,올레크 마스카예프,olrekeu maseukayepeu
андрей илларионов,안드레이 일라리오노프,andeurei ilrarionopeu
александр котт,알렉산더 코트,alregsandeo koteu
андрей николаевич тихонов,안드레이 니콜라예비치 티호노프,andeurei nikolrayebici tihonopeu
тимур родригез,티무르 로드리게즈,timureu rodeurigejeu
анна чурина,안나 추리나,anna curina
алексей смертин,알렉세이 스메르틴,alregsei seumereutin
алексей немов,알렉세이 네모프,alregsei nemopeu
татьяна друбич,타티야나 드루비치,tatiyana deurubici
игорь смольников,이고르 스몰니코프,igoreu seumolnikopeu
ангелина варганова,안겔리나 바르가노바,angelrina bareuganoba
андрей краско,안드레이 크라스코,andeurei keuraseuko
лев кулиджанов,레프 쿨리자노프,repeu kulrijanopeu
валерий резанцев,발레리 레잔체프,balreri rejancepeu
артур смольянинов,아르투르 스몰랴니노프,areutureu seumolryaninopeu
анна леонидовна ковальчук,안나 코발 치크,anna kobal cikeu
александр пороховщиков,알렉산드르 포로홉시코프,alregsandeureu porohobsikopeu
максим марцинкевич,막심 마르친케비치,magsim mareucinkebici
евгения симонова,예브게니야 시모노바,yebeugeniya simonoba
игорь иванов,이고리 이바노프,igori ibanopeu
екатерина лычёва,카탸 리초바,katya ricoba
валдис пельш,발디스 펠슈,baldiseu pelsyu
лариса удовиченко,라리사 우도비첸코,rarisa udobicenko
эдмонд кеосаян,에드먼드 케사얀,edeumeondeu kesayan
алексей козлов,알렉세이 코즐로프,alregsei kojeulropeu
владимир крючков,블라디미르 크류츠코프,beulradimireu keuryuceukopeu
алексей елисеев,알렉세이 옐리세예프,alregsei yelriseyepeu
ильсур метшин,일수르 멧신,ilsureu messin
геворк вартанян,게보르크 바르타냔,geboreukeu bareutanyan
юрий усачёв,유리 우사초프,yuri usacopeu
иван скобрев,이반 스코브레프,iban seukobeurepeu
сергей лазарев,세르게이 라자레프,sereugei rajarepeu
николай красовский,니콜라이 크라솝스키,nikolrai keurasobseuki
вадим зудилин,바딤 주딜린,badim judilrin
красный омега,오메가 레드,omega redeu
александр самедов,알렉산드르 사메도프,alregsandeureu samedopeu
кирилл серебренников,키릴 세레브렌니코프,kiril serebeurennikopeu
иосиф кобзон,이오시프 코브존,iosipeu kobeujon
роланд добрушин,롤란트 도브루신,rolranteu dobeurusin
павел дацюк,파벨 다추크,pabel dacukeu
владимир ивашов,블라디미르 이바소프,beulradimireu ibasopeu
алексей дюмин,알렉세이 듀민,alregsei dyumin
анна селезнёва,안나 셀레즈뇨바,anna selrejeunyoba
марат башаров,마라트 바샤로프,marateu basyaropeu
ролан антонович быков,롤란 비 코프,rolran bi kopeu
семён слепаков,세묜 슬레파코프,semyon seulrepakopeu
егор бероев,예고르 베로예프,yegoreu beroyepeu
игорь николаев,이고르 니콜라이예프,igoreu nikolraiyepeu
андрей макин,안드레이 마킨,andeurei makin
сергей юран,세르게이 유란,sereugei yuran
александр бородюк,알렉산드르 보로듀크,alregsandeureu borodyukeu
дмитрий хлестов,드미트리 흘레스토프,deumiteuri heulreseutopeu
анастасия юрьевна волочкова,아나스타샤 볼로 코바,anaseutasya bolro koba
александр цекало,알렉산드르 체칼로,alregsandeureu cekalro
борис кагарлицкий,보리스 카갈리츠키,boriseu kagalriceuki
ольга будина,올가 부디나,olga budina
александр невзоров,알렉산드르 네브조로프,alregsandeureu nebeujoropeu
аран хакутора,아란 하쿠토라,aran hakutora
алентова валентиновна,베라 알렌토바,bera alrentoba
николай носков,니콜라이 노스코프,nikolrai noseukopeu
митя фомин,미타 포민,mita pomin
гарик сукачёв,가리크 수카초프,garikeu sukacopeu
омари тетрадзе,오마리 테트라제,omari teteuraje
вера горностаева,베라 고르노스타예바,bera goreunoseutayeba
максим траньков,막심 트란코프,magsim teurankopeu
данила козловский,다닐라 코즐롭스키,danilra kojeulrobseuki
ольга вилухина,올가 빌루히나,olga bilruhina
елена бережная,옐레나 베레즈나야,yelrena berejeunaya
владимир милов,블라디미르 밀로프,beulradimireu milropeu
дмитрий нагиев,드미트리 나기예프,deumiteuri nagiyepeu
татьяна черниговская,타티야나 체르니곱스카야,tatiyana cereunigobseukaya
екатерина васильева,카테리나 바실리에바,katerina basilrieba
юлия началова,율리야 나찰로바,yulriya nacalroba
валерий кубасов,발레리 쿠바소프,balreri kubasopeu
сергей федоровцев,세르게이 페도롭체프,sereugei pedorobcepeu
василий кудинов,바실리 쿠디노프,basilri kudinopeu
александр большаков,알렉산드르 볼샤코프,alregsandeureu bolsyakopeu
сархат рашидова,사르핫 라쉬도바,sareuhas raswidoba
екатерина андреева,예카테리나 안드레바,yekaterina andeureba
сергей скрипаль,세르게이 스크리팔,sereugei seukeuripal
нина шацкая,니나 샤츠카야,nina syaceukaya
николай губенко,니콜라이 구벤코,nikolrai gubenko
ник перумов,닉 페루모프,nig perumopeu
бари алибасов,바리 알리바소프,bari alribasopeu
марина голуб,마리나 골럽,marina golreob
владимир алпатов,블라디미르 알파토프,beulradimireu alpatopeu
нина меньшикова,니나 멘시코바,nina mensikoba
елена сафонова,옐레나 사포노바,yelrena saponoba
надежда михалкова,나데즈다 미할코바,nadejeuda mihalkoba
тамара гвердцители,타마르 그베르드치텔리,tamareu geubereudeucitelri
эцио гамба,에치오 감바,ecio gamba
иосиф аллилуев,이오시프 알릴루예프,iosipeu alrilruyepeu
геннадий бондаренко,겐나디 본다렌코,gennadi bondarenko
лариса долина,라리사 돌리나,rarisa dolrina
нина уланова,니나 울라노바,nina ulranoba
наталья гундарева,나탈리야 군다레바,natalriya gundareba
евгения альбац,예브게니야 알바츠,yebeugeniya albaceu
мрачный охотник,그림 헌터,geurim heonteo
игорь савочкин,이고리 사보치킨,igori sabocikin
