lech wałęsa,레흐 바웬사,reheu bawensa
andrzej pilipiuk,안제이 필리피우크,anjei pilripiukeu
bogdan borusewicz,보그단 보루세비치,bogeudan borusebici
jarosław araszkiewicz,야로스와프 아라슈키에비치,yaroseuwapeu arasyukiebici
cezary zamana,체자리 자마나,cejari jamana
waldemar korycki,발데마르 코리츠키,baldemareu koriceuki
maciej paterski,마치에이 파테르스키,maciei patereuseuki
adam michnik,아담 미흐니크,adam miheunikeu
bolesław leśmian,볼레스와프 레시미안,bolreseuwapeu resimian
bolesław woytowicz,볼레스와프 보이토비치,bolreseuwapeu boitobici
agnieszka dygant,아그니에슈카 디간트,ageuniesyuka diganteu
krzysztof nowak,크시슈토프 노바크,keusisyutopeu nobakeu
michał szczerba,미하우 슈체르바,mihau syucereuba
mariusz fyrstenberg,마리우시 피르스텐베르크,mariusi pireuseutenbereukeu
grzegorz peradze,그리골 페라제,geurigol peraje
stanisław barańczak,스타니스와프 바란차크,seutaniseuwapeu barancakeu
andrzej kubica,안제이 쿠비차,anjei kubica
józef wandzik,유제프 반지크,yujepeu banjikeu
waldemar kryger,발데마르 크리게르,baldemareu keurigereu
marian hemar,마리안 헤마르,marian hemareu
michał witkowski,미하우 비트코프스키,mihau biteukopeuseuki
karol modzelewski,카롤 모젤레프스키,karol mojelrepeuseuki
zbigniew jaremski,즈비그니에프 야렘스키,jeubigeuniepeu yaremseuki
zbigniew karkowski,즈비그니에프 카르코프스키,jeubigeuniepeu kareukopeuseuki
mirosław trzeciak,미로스와프 트셰치아크,miroseuwapeu teusyeciakeu
paul slowinski,폴 슬로윈스키,pol seulrowinseuki
zbigniew małkowski,즈비그니에프 마우코프스키,jeubigeuniepeu maukopeuseuki
zbigniew namysłowski,즈비그니에프 나미스워프스키,jeubigeuniepeu namiseuweopeuseuki
szymon winawer,시몬 비나베르,simon binabereu
benedykt dybowski,베네딕트 디보프스키,benedigteu dibopeuseuki
aleksander ściborrylski,알렉산데르 시치보르릴스키,alregsandereu siciboreurilseuki
michał goliński,미하우 골린스키,mihau golrinseuki
mariusz siudek,마리우시 시우데크,mariusi siudekeu
joachim brudziński,요아힘 브루진스키,yoahim beurujinseuki
adrian mrowiec,아드리안 므로비에츠,adeurian meurobieceu
krzysztof kotorowski,크시슈토프 코토로프스키,keusisyutopeu kotoropeuseuki
piotr michałowski,피오트르 미하워프스키,pioteureu mihaweopeuseuki
zbigniew zakrzewski,즈비그니에프 작셰프스키,jeubigeuniepeu jagsyepeuseuki
jacek ziober,야체크 지오베르,yacekeu jiobereu
jan franciszek czartoryski,얀 프란치셰크 차르토리스키,yan peurancisyekeu careutoriseuki
julian tuwim,율리안 투빔,yulrian tubim
zdzisław maklakiewicz,지슬라프 마클라키에비치,jiseulrapeu makeulrakiebici
zdzisław krzyszkowiak,지스와프 크시슈코비아크,jiseuwapeu keusisyukobiakeu
leszek możdżer,레셰크 모주제르,resyekeu mojujereu
elżbieta żebrowska,엘주비에타 제브로프스카,eljubieta jebeuropeuseuka
paweł huelle,파베우 후엘레,pabeu huelre
władysław bartoszewski,브와디스와프 바르토셰프스키,beuwadiseuwapeu bareutosyepeuseuki
józef światło,유제프 시비아트워,yujepeu sibiateuweo
borys sawinkow,보리스 사빈코프,boriseu sabinkopeu
dariusz ławrynowicz,다류슈 라우리노비치,daryusyu raurinobici
krzysztof ławrynowicz,크시슈토프 라우리노비치,keusisyutopeu raurinobici
allan starski,알란 스타르스키,alran seutareuseuki
antoni macierewicz,안토니 마치에레비치,antoni macierebici
katarzyna nosowska,카시아 노소프스카,kasia nosopeuseuka
adam brodecki,아담 브로데츠키,adam beurodeceuki
jerzy makarczyk,예지 마카르치크,yeji makareucikeu
józef czapski,유제프 찹스키,yujepeu cabseuki
hilary koprowski,힐러리 코프로프스키,hilreori kopeuropeuseuki
antoni szymanowski,안토니 시마노프스키,antoni simanopeuseuki
zenon jaskuła,제논 야스쿠와,jenon yaseukuwa
zenon grocholewski,제논 그로홀레프스키,jenon geuroholrepeuseuki
agnieszka rylik,아그니에슈카 릴리크,ageuniesyuka rilrikeu
radosław wojtaszek,라도스와프 보이타셰크,radoseuwapeu boitasyekeu
nazım hikmet,나짐 히크메트,najim hikeumeteu
henryk gołębiewski,헨리크 고웽비에프스키,henrikeu gowengbiepeuseuki
tomasz jarzębowski,토마시 야젱보프스키,tomasi yajengbopeuseuki
agata zubel,아가타 주벨,agata jubel
henryk melcerszczawiński,헨리크 멜체르슈차빈스키,henrikeu melcereusyucabinseuki
zenon kliszko,제논 클리슈코,jenon keulrisyuko
agnieszka pomaska,아그니에슈카 포마스카,ageuniesyuka pomaseuka
moe drabowsky,모 드러바우스키,mo deureobauseuki
hanka bielicka,한카 비엘리츠카,hanka bielriceuka
eugeniusz kwiatkowski,에우게니우시 크비아트코프스키,eugeniusi keubiateukopeuseuki
algirdas paleckis,알기르다스 팔레츠키스,algireudaseu palreceukiseu
władysław orkan,브와디스와프 오르칸,beuwadiseuwapeu oreukan
michał przysiężny,미하우 프시시엥주니,mihau peusisiengjuni
henryk arctowski,헨리크 아르츠토프스키,henrikeu areuceutopeuseuki
sławomir nitras,스와보미르 니트라스,seuwabomireu niteuraseu
krzysztof oliwa,크시슈토프 올리바,keusisyutopeu olriba
mirosław okoński,미로스와프 오콘스키,miroseuwapeu okonseuki
marek piotrowski,마레크 피오트로프스키,marekeu pioteuropeuseuki
wojciech stattler,보이치에흐 스타틀레르,boicieheu seutateulrereu
krzysztof jurgiel,크시슈토프 유르기엘,keusisyutopeu yureugiel
elżbieta łukacijewska,엘주비에타 우카치예프스카,eljubieta ukaciyepeuseuka
paweł edelman,파베우 에델만,pabeu edelman
wojciech zabłocki,보이치에흐 자브워츠키,boicieheu jabeuweoceuki
joanna skrzydlewska,요안나 스크시들레프스카,yoanna seukeusideulrepeuseuka
dorota siudek,도로타 시우데크,dorota siudekeu
jacek kwiatkowski,야체크 크비아트코프스키,yacekeu keubiateukopeuseuki
zofia nałkowska,조피아 나우코프스카,jopia naukopeuseuka
zofia kossakszczucka,조피아 코사크슈추츠카,jopia kosakeusyucuceuka
joseph rotblat,조지프 로트블랫,jojipeu roteubeulraes
elżbieta pierzchała,엘주비에타 피에슈하와,eljubieta piesyuhawa
elżbieta radziszewska,엘주비에타 라지셰프스카,eljubieta rajisyepeuseuka
urszula antoniak,우르슐라 안토니아크,ureusyulra antoniakeu
michał kwiatkowski,미하우 크비아트코프스키,mihau keubiateukopeuseuki
anna szatkowska,안나 샤트코프스카,anna syateukopeuseuka
zofia bielczyk,조피아 비엘치크,jopia bielcikeu
andrzej buncol,안제이 분촐,anjei buncol
dorota pomykała,도로타 포미카와,dorota pomikawa
justyna kowalczyktekieli,유스티나 코발치크,yuseutina kobalcikeu
józef cyrankiewicz,유제프 치란키에비치,yujepeu cirankiebici
george adamski,조지 아담스키,joji adamseuki
eugenia umińska,에우게니아 우민스카,eugenia uminseuka
stefan filipkiewicz,스테판 필립키에비치,seutepan pilribkiebici
lucyna langerkałek,루치나 란게르카웨크,rucina rangereukawekeu
waldemar sobota,발데마르 소보타,baldemareu sobota
sandra zaniewska,산드라 자니에프스카,sandeura janiepeuseuka
kuba wojewódzki,쿠바 보예부츠키,kuba boyebuceuki
jarosława jóźwiakowska,야로스와바 유지비아코프스카,yaroseuwaba yujibiakopeuseuka
anna rogowska,안나 로고프스카,anna rogopeuseuka
marta domachowska,마르타 도마호프스카,mareuta domahopeuseuka
jerzy owsiak,예지 오프시아크,yeji opeusiakeu
rafał wojaczek,라파우 보야체크,rapau boyacekeu
joanna jabłczyńska,요안나 야부친스카,yoanna yabucinseuka
henryk maculewicz,헨리크 마출레비치,henrikeu maculrebici
jakub wierzchowski,야쿠프 비에슈호프스키,yakupeu biesyuhopeuseuki
jan wasiewicz,얀 바시에비치,yan basiebici
elżbieta krzesińska,엘주비에타 크셰신스카,eljubieta keusyesinseuka
kazik staszewski,카지크 스타셰프스키,kajikeu seutasyepeuseuki
anna walentynowicz,안나 발렌티노비치,anna balrentinobici
klaudia jansignacik,클라우디아 얀스이그나치크,keulraudia yanseuigeunacikeu
maria dąbrowska,마리아 동브로프스카,maria dongbeuropeuseuka
leonard buczkowski,레오나르트 부치코프스키,reonareuteu bucikopeuseuki
dariusz michalczewski,다리우시 미할체프스키,dariusi mihalcepeuseuki
zygmunt hanusik,지그문트 하누시크,jigeumunteu hanusikeu
grzegorz rasiak,그제고시 라시아크,geujegosi rasiakeu
andrzej kurylewicz,안제이 쿠릴레비치,anjei kurilrebici
anna grodzka,안나 그로츠카,anna geuroceuka
stanisław szozda,스타니스와프 쇼즈다,seutaniseuwapeu syojeuda
jean stablinski,장 스타블랭스키,jang seutabeulraengseuki
zygmunt krauze,지그문트 크라우제,jigeumunteu keurauje
tadeusz mytnik,타데우시 미트니크,tadeusi miteunikeu
halina poświatowska,할리나 포시비아토프스카,halrina posibiatopeuseuka
kaja paschalska,카야 파스할스카,kaya paseuhalseuka
małgorzata ostrowskakrólikowska,마우고자타 오스트로프스카크룰리코프스카,maugojata oseuteuropeuseukakeurulrikopeuseuka
teofil kwiatkowski,테오필 크비아트코프스키,teopil keubiateukopeuseuki
sławomir nowak,스와보미르 노바크,seuwabomireu nobakeu
magdalena buczek,마그달레나 부체크,mageudalrena bucekeu
jerzy miller,예지 밀레르,yeji milrereu
mateusz ponitka,마테우시 포니트카,mateusi poniteuka
janina korowicka,야니나 코로비츠카,yanina korobiceuka
marian pankowski,마리안 판코프스키,marian pankopeuseuki
henryk reyman,헨리크 레이만,henrikeu reiman
jakub ćwiek,야쿠프 치비에크,yakupeu cibiekeu
emil młynarski,에밀 밀스키스키,emil milseukiseuki
tomasz siemoniak,토마시 시에모니아크,tomasi siemoniakeu
wiesław maniak,비에스와프 마니아크,bieseuwapeu maniakeu
elżbieta jakubiak,엘주비에타 야쿠비아크,eljubieta yakubiakeu
jacek wszoła,야체크 프쇼와,yacekeu peusyowa
krzysztof kwiatkowski,크시슈토프 크비아트코프스키,keusisyutopeu keubiateukopeuseuki
daria korczyńska,다리아 코르친스카,daria koreucinseuka
manuela gretkowska,마누엘라 그레트코프스카,manuelra geureteukopeuseuka
wanda wiłkomirska,반다 비우코미르스카,banda biukomireuseuka
ewa lipska,에바 립스카,eba ribseuka
maria szymanowska,마리아 시마노프스카,maria simanopeuseuka
katarzyna cichopek,카타지나 치호페크,katajina cihopekeu
paweł kaczorowski,파베우 카초로프스키,pabeu kacoropeuseuki
grzegorz kajdanowicz,그제고시 카이다노비치,geujegosi kaidanobici
dominika paleta,도미니카 팔레타,dominika palreta
hanna kulenty,한나 쿨렌티,hanna kulrenti
józef ignacy kraszewski,유제프 이그나치 크라셰프스키,yujepeu igeunaci keurasyepeuseuki
wanda szmielew,반다 슈미엘레프,banda syumielrepeu
wojciech kuczok,보이치에흐 쿠초크,boicieheu kucokeu
jan furtok,얀 푸르토크,yan pureutokeu
wojciech karolak,보이치에흐 카롤라크,boicieheu karolrakeu
elżbieta czyżewska,엘주비에타 치제프스카,eljubieta cijepeuseuka
joanna wiśniewska,요안나 비시니에프스카,yoanna bisiniepeuseuka
izabela jaruganowacka,이자벨라 야루가노바츠카,ijabelra yaruganobaceuka
joachim halupczok,요아힘 할루프초크,yoahim halrupeucokeu
teresa piotrowska,테레사 피오트로프스카,teresa pioteuropeuseuka
august czartoryski,아우구스트 차르토리스키,auguseuteu careutoriseuki
władysław czartoryski,브와디스와프 차르토리스키,beuwadiseuwapeu careutoriseuki
teresa ciepły,테레사 치에프위,teresa ciepeuwi
anna wierzbicka,안나 비에스비카,anna bieseubika
beata kozidrak,베아타 코지드라크,beata kojideurakeu
jacek dukaj,야체크 두카이,yacekeu dukai
uri orlev,우리 올레브,uri olrebeu
ignacy feliks dobrzyński,이그나치 펠릭스 도브진스키,igeunaci pelrigseu dobeujinseuki
anna jantar,안나 얀타르,anna yantareu
katarzyna smutniak,카시아 스무트니아크,kasia seumuteuniakeu
jadwiga wajsówna,야드비가 바이스,yadeubiga baiseu
henryka krzywonos,헨리카 크시보노스,henrika keusibonoseu
kazimiera iłłakowiczówna,카지미에라 이와코비추브나,kajimiera iwakobicubeuna
czesław niemen,체스와프 니에멘,ceseuwapeu niemen
jan jakub kolski,얀 야쿱 콜스키,yan yakub kolseuki
tadeusz konwicki,타데우시 콘비츠키,tadeusi konbiceuki
władysław starewicz,라디슬라스 스타레비치,radiseulraseu seutarebici
janusz zajdel,야누시 자이델,yanusi jaidel
marian spychalski,마리안 스피할스키,marian seupihalseuki
lech ordon,레흐 오르돈,reheu oreudon
maria janion,마리아 야니온,maria yanion
elżbieta bieńkowska,엘주비에타 비엔코프스카,eljubieta bienkopeuseuka
hanna gronkiewiczwaltz,한나 그론키에비치,hanna geuronkiebici
barbara brylska,바르바라 브릴스카,bareubara beurilseuka
aleksander zawadzki,알렉산더 자와드키,alregsandeo jawadeuki
magdalena mielcarz,막달레나 미엘카르츠,magdalrena mielkareuceu
leon chwistek,레온 흐비스테크,reon heubiseutekeu
ryszard tarasiewicz,리샤르트 타라시에비치,risyareuteu tarasiebici
anna seniukmałecka,안나 세니우크,anna seniukeu
abraham stern,아브라함 슈테른,abeuraham syutereun
izabela trojanowska,이자벨라 트로야노프스카,ijabelra teuroyanopeuseuka
jan kiepura,얀 키에푸라,yan kiepura
grażyna rabsztyn,그라지나 랍슈틴,geurajina rabsyutin
aleksandra socha,알렉산드라 소하,alregsandeura soha
paula kaniachoduń,파울라 카니아호둔,paulra kaniahodun
dorota masłowska,도로타 마스워프스카,dorota maseuweopeuseuka
magdalena środa,마그달레나 시로다,mageudalrena siroda
ignacy pieńkowski,이그나치 피엔코프스키,igeunaci pienkopeuseuki
wojciech frykowski,보이치에흐 프리코프스키,boicieheu peurikopeuseuki
daniel mróz,다니엘 므루스,daniel meuruseu
daniel passent,다니엘 파센트,daniel pasenteu
joanna senyszyn,요안나 세니신,yoanna senisin
édouard stako,에두아르 스타코,eduareu seutako
jacek laszczkowski,야체크 라슈치코프스키,yacekeu rasyucikopeuseuki
maryla rodowicz,마릴라 로도비치,marilra rodobici
przemysław saleta,프셰미스와프 살레타,peusyemiseuwapeu salreta
jerzy snoppek,예지 스노페크,yeji seunopekeu
tomasz marczyński,토마시 마르친스키,tomasi mareucinseuki
jonasz kofta,요나시 코프타,yonasi kopeuta
jan czochralski,얀 초흐랄스키,yan coheuralseuki
szolem mandelbrojt,숄렘 만델브로이트,syolrem mandelbeuroiteu
jerzy antczak,예지 안트차크,yeji anteucakeu
izuagbe ugonoh,이주 우고노,iju ugono
agnieszka osiecka,아그니에슈카 오시에츠카,ageuniesyuka osieceuka
dariusz żuraw,다리우시 주라프,dariusi jurapeu
sławomir orzeł,스와보미르 오제우,seuwabomireu ojeu
andrzej saramonowicz,안제이 사라모노비치,anjei saramonobici
tadeusz brzozowski,타데우시 브조조프스키,tadeusi beujojopeuseuki
dariusz baranowski,다리우시 바라노프스키,dariusi baranopeuseuki
jacek żakowski,야체크 자코프스키,yacekeu jakopeuseuki
olga bołądź,올가 보웡치,olga boweongci
aneta kręglicka,아네타 크렝글리츠카,aneta keurenggeulriceuka
jan żabiński,얀 자빈스키,yan jabinseuki
edyta geppert,에디타 게페르트,edita gepereuteu
stefan chwin,스테판 흐빈,seutepan heubin
michal martychowiec,미하우 마르티호비에츠,mihau mareutihobieceu
bartosz chajdecki,바르토시 하이데츠키,bareutosi haideceuki
wojciech kossak,보이치에흐 코사크,boicieheu kosakeu
andrzej bursa,안제이 부르사,anjei bureusa
anselmo vendrechovski júnior,안세우무 벤드레초프스키 주니오르,anseumu bendeurecopeuseuki junioreu
henryk górecki,헨리크 구레츠키,henrikeu gureceuki
janina paradowska,야니나 파라도프스카,yanina paradopeuseuka
piotr farfał,피오트르 파르파우,pioteureu pareupau
janusz kondratiuk,야누시 콘드라티우크,yanusi kondeuratiukeu
joanna batorłukasiewicz,요안나 바토르,yoanna batoreu
lucjan lis,루찬 리스,rucan riseu
joachim lelewel,요아힘 렐레벨,yoahim relrebel
richard nowakowski,리하르트 노바코프스키,rihareuteu nobakopeuseuki
jan brzechwa,얀 브제흐바,yan beujeheuba
władysław kozakiewicz,브와디스와프 코자키에비치,beuwadiseuwapeu kojakiebici
wiktor każyński,빅토르 카진스키,bigtoreu kajinseuki
mieczysław karłowicz,미에치스와프 카르워비치,mieciseuwapeu kareuweobici
tadeusz rydzyk,타데우시 리지크,tadeusi rijikeu
władysław frasyniuk,브와디스와프 프라시니우크,beuwadiseuwapeu peurasiniukeu
hanna banaszak,한나 바나샤크,hanna banasyakeu
teofil lenartowicz,테오필 레나르토비치,teopil renareutobici
jerzy maksymiuk,예지 막시미우크,yeji magsimiukeu
alicja majewska,알리차 마예프스카,alrica mayepeuseuka
tadeusz browicz,타데우시 브로비치,tadeusi beurobici
edward dembowski,에드바르트 뎀보프스키,edeubareuteu dembopeuseuki
wacław święcicki,바츠와브 슈비엥치츠키,baceuwabeu syubiengciceuki
andrzej chwalba,안제이 흐발바,anjei heubalba
piotr jaroszewicz,피오트르 야로셰비치,pioteureu yarosyebici
wanda nowicka,반다 노비츠카,banda nobiceuka
cezary tomczyk,체자리 톰치크,cejari tomcikeu
mariusz szczygieł,마리우시 슈치기에우,mariusi syucigieu
wojciech kilar,보이치에흐 킬라르,boicieheu kilrareu
adam jezierski,아담 예지에르스키,adam yejiereuseuki
katarzyna popowazydroń,카타지나 포포바지드론,katajina popobajideuron
grzegorz turnau,그제고시 투르나우,geujegosi tureunau
andrzej juskowiak,안제이 유스코비아크,anjei yuseukobiakeu
herkules dembowski,에르콜레 뎀보프스키,ereukolre dembopeuseuki
wojciech młynarski,보이치에흐 므위나르스키,boicieheu meuwinareuseuki
marek jędraszewski,마레크 옝드라셰프스키,marekeu yengdeurasyepeuseuki
henryk wars,헨리크 바르스,henrikeu bareuseu
mieczysław czechowicz,미에치스와프 체호비치,mieciseuwapeu cehobici
andrzej piaseczny,안제이 피아세치니,anjei piasecini
jerzy dybał,유렉 뒤발,yureg dwibal
radosław majdan,라도스와프 마이단,radoseuwapeu maidan
andrzej stasiuk,안제이 스타시우크,anjei seutasiukeu
grzegorz ciechowski,그제고시 치에호프스키,geujegosi ciehopeuseuki
kazimierz kmiecik,카지미에시 크미에치크,kajimiesi keumiecikeu
romuald twardowski,로무알트 트바르도프스키,romualteu teubareudopeuseuki
andrzej ziemiański,안제이 지에미안스키,anjei jiemianseuki
andrzej łapicki,안제이 와피츠키,anjei wapiceuki
jan wróblewski,얀 브루블레프스키,yan beurubeulrepeuseuki
augustyn bloch,아우구스틴 블로흐,auguseutin beulroheu
mariusz wach,마리우시 바흐,mariusi baheu
janusz gajos,야누스 가조스,yanuseu gajoseu
jerzy matuszkiewicz,예지 마투슈키에비치,yeji matusyukiebici
sylwia gliwa,실비아 글리바,silbia geulriba
anita lipnicka,아니타 리프니츠카,anita ripeuniceuka
krystyna moszumańskanazar,크리스티나 모슈만스카나자르,keuriseutina mosyumanseukanajareu
józef mehoffer,유제프 메호페르,yujepeu mehopereu
julian fałat,율리안 파와트,yulrian pawateu
tomasz szukalski,토마시 슈칼스키,tomasi syukalseuki
rafał ulatowski,라파우 울라토프스키,rapau ulratopeuseuki
krystyna zachwatowicz,크리스티나 자흐바토비치,keuriseutina jaheubatobici
aleksander wielopolski,알렉산데르 비엘로폴스키,alregsandereu bielropolseuki
ludomir różycki,루도미르 루지츠키,rudomireu rujiceuki
mariusz błaszczak,마리우시 브와슈차크,mariusi beuwasyucakeu
olga stanisławska,올가 스타니스와프스카,olga seutaniseuwapeuseuka
eric piatkowski,에릭 파이엇카우스키,erig paieoskauseuki
ewa zielińska,에바 지엘린스카,eba jielrinseuka
irena jarocka,이레나 야로츠카,irena yaroceuka
jerzy kossak,예지 코사크,yeji kosakeu
elżbieta chojnacka,엘리자베트 호이나츠카,elrijabeteu hoinaceuka
władysław skoczylas,브와디스와프 스코칠라스,beuwadiseuwapeu seukocilraseu
michał rolażymierski,미하우 롤라지미에르스키,mihau rolrajimiereuseuki
stefania woytowicz,스테파니아 보이토비치,seutepania boitobici
mateusz chruściński,마테우시 흐루시친스키,mateusi heurusicinseuki
ludwik rydygier,루드비크 리디기에르,rudeubikeu ridigiereu
anna jurkiewicz,안나 유르키에비치,anna yureukiebici
adam jerzy czartoryski,아담 예지 차르토리스키,adam yeji careutoriseuki
ryszard krynicki,리샤르트 크리니츠키,risyareuteu keuriniceuki
ryszard kwiatkowski,리샤르트 크비아트코프스키,risyareuteu keubiateukopeuseuki
piotr perkowski,피오트르 페르코프스키,pioteureu pereukopeuseuki
łukasz kwiatkowski,우카시 크비아트코프스키,ukasi keubiateukopeuseuki
robert piotrkowicz,로베르트 피오트르코비치,robereuteu pioteureukobici
włodzimierz nahorny,브워지미에시 나호르니,beuweojimiesi nahoreuni
wiesław myśliwski,비에스와프 미실리프스키,bieseuwapeu misilripeuseuki
piotr nowinakonopka,피오트르 노비나코놉카,pioteureu nobinakonobka
jerzy bińczycki,예지 빈치츠키,yeji binciceuki
gosia andrzejewicz,고시아 안제예비치,gosia anjeyebici
włodzimierz korcz,브워지미에시 코르치,beuweojimiesi koreuci
dominika peczynski,도미니카 페친스키,dominika pecinseuki
wlastimil hofman,블라스티밀 호프만,beulraseutimil hopeuman
adam bodzek,아담 보제크,adam bojekeu
andrzej zaucha,안제이 자우하,anjei jauha
szymon szewczyk,시몬 셰프치크,simon syepeucikeu
rajmund kanelba,라이문트 카넬바,raimunteu kanelba
marek kwiatkowski,마레크 크비아트코프스키,marekeu keubiateukopeuseuki
natalia rybicka,나탈리아 리비츠카,natalria ribiceuka
xawery żuławski,크사베리 주와프스키,keusaberi juwapeuseuki
dariusz szlachetko,다리우시 슐라헤트코,dariusi syulraheteuko
andrzej towiański,안제이 토비안스키,anjei tobianseuki
roman skirmunt,라만 스키르문트,raman seukireumunteu
zbigniew grzybowski,즈비그니에프 그지보프스키,jeubigeuniepeu geujibopeuseuki
sarah pitkowski,사라 피트코프스키말코르,sara piteukopeuseukimalkoreu
teresa lipowska,테레사 리포프스카,teresa ripopeuseuka
łukasz barczyk,우카시 바르치크,ukasi bareucikeu
wojciech siudmak,보이치에흐 시우드마크,boicieheu siudeumakeu
bronisław kwiatkowski,브로니스와프 크비아트코프스키,beuroniseuwapeu keubiateukopeuseuki
franciszek kostrzewski,프란치셰크 코스트셰프스키,peurancisyekeu koseuteusyepeuseuki
władysław hańcza,브와디스와프 한차,beuwadiseuwapeu hanca
tomasz cywka,토마시 치프카,tomasi cipeuka
krzysztof pomian,크시슈토프 포미안,keusisyutopeu pomian
stanislas golinski,스타니슬라스 골린스키,seutaniseulraseu golrinseuki
adrian budka,아드리안 부트카,adeurian buteuka
artur marciniak,아르투르 마르치니아크,areutureu mareuciniakeu
aurelia trywiańska,아우렐리아 트리비안스카,aurelria teuribianseuka
antonina kłoskowska,안토니나 크워스코프스카,antonina keuweoseukopeuseuka
magdalena lamparska,마그달레나 람파르스카,mageudalrena rampareuseuka
jan kobuszewski,얀 코부셰프스키,yan kobusyepeuseuki
andrzej paczkowski,안제이 파치코프스키,anjei pacikopeuseuki
bolesław kwiatkowski,볼레스와프 크비아트코프스키,bolreseuwapeu keubiateukopeuseuki
anna rechnio,안나 레흐니오,anna reheunio
tomasz lem,토마시 렘,tomasi rem
bartosz kaniecki,바르토시 카니에츠키,bareutosi kanieceuki
czesław wołłejko,체스와프 보웨이코,ceseuwapeu boweiko
leon sapieha,레온 사피에하,reon sapieha
henryk machalica,헨리크 마할리차,henrikeu mahalrica
katarzyna skrzynecka,카타지나 스크시네츠카,katajina seukeusineceuka
kazimiera szczuka,카지미에라 슈추카,kajimiera syucuka
szymon krzeszowiec,시몬 크셰쇼비에츠,simon keusyesyobieceu
sylwia chutnik,실비아 후트니크,silbia huteunikeu
tadeusz isakowiczzaleski,타데우시 이사코비치잘레스키,tadeusi isakobicijalreseuki
adam karol czartoryski,아담 카롤 차르토리스키,adam karol careutoriseuki
adam ludwik czartoryski,아담 루드비크 차르토리스키,adam rudeubikeu careutoriseuki
andrzej pronaszko,안제이 프로나슈코,anjei peuronasyuko
agnieszka taborska,아그니에슈카 타보르스카,ageuniesyuka taboreuseuka
elżbieta dmoch,엘주비에타 드모흐,eljubieta deumoheu
aleksandra szwed,알렉산드라 슈베트,alregsandeura syubeteu
patricia kazadi,파트리치아 카자디,pateuricia kajadi
magda umer,마그다 우메르,mageuda umereu
władysław zamoyski,브와디스와프 자모이스키,beuwadiseuwapeu jamoiseuki
wirgiliusz gryń,비르길리우시 그린,bireugilriusi geurin
janina żejmo,야니나 제이모,yanina jeimo
magdalena grzybowska,마그달레나 그지보프스카,mageudalrena geujibopeuseuka
artur ruciński,아르투르 루신스키,areutureu rusinseuki
jan sztaudynger,얀 슈타우딘게르,yan syutaudingereu
władysława markiewiczówna,브와디스와바 마르키에비추브나,beuwadiseuwaba mareukiebicubeuna
barbara hessebukowska,바르바라 헤세부코프스카,bareubara hesebukopeuseuka
bartłomiej świderski,바르트워미에이 시비데르스키,bareuteuweomiei sibidereuseuki
bartłomiej kasprzykowski,바르트워미에이 카스프시코프스키,bareuteuweomiei kaseupeusikopeuseuki
jerzy kowalik,예지 코발리크,yeji kobalrikeu
zuzanna szwed,주잔나 슈베트,jujanna syubeteu
zbigniew drzewiecki,즈비그니에프 제비에츠키,jeubigeuniepeu jebieceuki
bolesław ocias,볼레스와프 오치아스,bolreseuwapeu ociaseu
łukasz madej,우카시 마데이,ukasi madei
stanisław grochowiak,스타니스와프 그로호비아크,seutaniseuwapeu geurohobiakeu
bogusz bilewski,보구시 빌레프스키,bogusi bilrepeuseuki
patrycja maliszewska,파트리차 말리셰프스카,pateurica malrisyepeuseuka
kazimierz sokołowski,카지미에시 소코워프스키,kajimiesi sokoweopeuseuki
błażej telichowski,브와제이 텔리호프스키,beuwajei telrihopeuseuki
ania marson,아니 아마르슨,ani amareuseun
cezary kosiński,체자리 코신스키,cejari kosinseuki
wiktoria gąsiewska,빅토리아 공시에프스카,bigtoria gongsiepeuseuka
artur skowronek,아르투르 스코브로네크,areutureu seukobeuronekeu
constantin rozanoff,콘스탄틴 로자노프,konseutantin rojanopeu
ryszard pietruski,리샤르트 피에트루스키,risyareuteu pieteuruseuki
julia pietrucha,율리아 피에트루하,yulria pieteuruha
małgorzata pieczyńska,마우고자타 피에친스카,maugojata piecinseuka
paula bzura,파울라 브주라,paulra beujura
bolesław płotnicki,볼레스와프 프워트니츠키,bolreseuwapeu peuweoteuniceuki
marcelina zawadzka,마르첼리나 자바츠카,mareucelrina jabaceuka
celina szymanowska,첼리나 시마노프스카,celrina simanopeuseuka
joanna sakowiczkostecka,요안나 사코비치코스테츠카,yoanna sakobicikoseuteceuka
maja lidia kossakowska,마야 리디아 코사코프스카,maya ridia kosakopeuseuka
grzegorz bartczak,그제고시 바르트차크,geujegosi bareuteucakeu
czesław petelski,체스와프 페텔스키,ceseuwapeu petelseuki
kacper piorun,카츠페르 피오룬,kaceupereu piorun
augustyn józef czartoryski,아우구스틴 유제프 차르토리스키,auguseutin yujepeu careutoriseuki
andrzej gwiazda,안제이 그비아즈다,anjei geubiajeuda
gabriela kownacka,가브리엘라 코브나츠카,gabeurielra kobeunaceuka
damian nawrocik,다미안 나브로치크,damian nabeurocikeu
jarosław grzędowicz,야로스와프 그젱도비치,yaroseuwapeu geujengdobici
kazimierz rudzki,카지미에시 루츠키,kajimiesi ruceuki
stanisława przybyszewska,스타니스와바 프시비셰프스카,seutaniseuwaba peusibisyepeuseuka
piotr woźniacki,피오트르 보즈니아키,pioteureu bojeuniaki
gabriela kulka,가브리엘라 쿨카,gabeurielra kulka
radosław mroczkowski,라도스와프 므로치코프스키,radoseuwapeu meurocikopeuseuki
