douglas adams,ダグラス・アダムズ,dagurasu・adamuzu
mary lynn rajskub,メアリー・リン・ライスカブ,mearī・rin・raisukabu
christina hendricks,クリスティーナ・ヘンドリックス,kurisutīna・hendorikkusu
michael shannon,マイケル・シャノン,maikeru・shanon
ludwig mies van der rohe,ルートヴィヒ・ミース・ファン・デル・ローエ,rūtovihi・mīsu・fan・deru・rōe
hannibal lecter,ハンニバル・レクター,hannibaru・rekutā
allan houser,アラン・ハウザー,aran・hauzā
louis handley,ルイス・ハンドリー,ruisu・handorī
art carney,アート・カーニー,āto・kānī
kate chopin,ケイト・ショパン,keito・shopan
e o wilson,エドワード・オズボーン・ウィルソン,edowādo・ozubōn・wiruson
matt damon,マット・デイモン,matto・deimon
michael tucker,マイケル・タッカー,maikeru・takkā
philip kaufman,フィリップ・カウフマン,firippu・kaufuman
christina aguilera,クリスティーナ・アギレラ,kurisutīna・agirera
erika eleniak,エリカ・エレニアック,erika・ereniakku
catherine keener,キャサリン・キーナー,kyasarin・kīnā
mary pierce,マリー・ピエルス,marī・pierusu
elizabeth gillies,エリザベス・ギリース,erizabesu・girīsu
shirley jones,シャーリー・ジョーンズ,shārī・jōnzu
amber riley,アンバー・ライリー,anbā・rairī
jane krakowski,ジェーン・クラコウスキー,jēn・kurakousukī
jennifer coolidge,ジェニファー・クーリッジ,jenifā・kūrijji
bethany joy lenz,ベサニー・ジョイ・レンツ,besanī・joi・rentsu
sara bareilles,サラ・バレリス,sara・barerisu
madeline zima,マデリーン・ジーマ,maderīn・jīma
brooklyn decker,ブルックリン・デッカー,burukkurin・dekkā
chuck daly,チャック・デイリー,chakku・deirī
charles cioffi,チャールズ・シオフィ,chāruzu・shiofi
brett cullen,ブレット・カレン,buretto・karen
tara reid,タラ・リード,tara・rīdo
perry edward smith,ペリー・エドワード・スミス,perī・edowādo・sumisu
atle selberg,アトル・セルバーグ,atoru・serubāgu
rose mcgowan,ローズ・マッゴーワン,rōzu・maggōwan
jody williams,ジョディ・ウィリアムズ,jodi・wiriamuzu
jaco pastorius,ジャコ・パストリアス,jako・pasutoriasu
ellen burstyn,エレン・バースティン,eren・bāsutin
ray liotta,レイ・リオッタ,rei・riotta
edward james olmos,エドワード・ジェームズ・オルモス,edowādo・jēmuzu・orumosu
juliette lewis,ジュリエット・ルイス,jurietto・ruisu
phyllis diller,フィリス・ディラー,firisu・dirā
brandon lee,ブランドン・リー,burandon・rī
israel tsvaygenbaum,イズリアル・ツヴェーゲンバウム,izuriaru・tsuvuェーgenbaumu
marsha ivins,マーシャ・アイビンス,māsha・aibinsu
paul newman,ポール・ニューマン,pōru・nyūman
etta james,エタ・ジェイムズ,eta・jeimuzu
edward adelbert doisy,エドワード・アダルバート・ドイジー,edowādo・adarubāto・doijī
fran drescher,フラン・ドレシャー,furan・doreshā
kelly rutherford,ケリー・ラザフォード,kerī・razafōdo
annie dillard,アニー・ディラード,anī・dirādo
iggy pop,イギー・ポップ,igī・poppu
forest whitaker,フォレスト・ウィテカー,foresuto・witekā
ivan lendl,イワン・レンドル,iwan・rendoru
mel gibson,メル・ギブソン,meru・gibuson
katy perry,ケイティ・ペリー,keiti・perī
steve mahre,スティーヴ・メーア,sutīvu・mēa
phil mahre,フィリップ・メーア,firippu・mēa
joan higginbotham,ジョアン・ヒギンボサム,joan・higinbosamu
christopher murray,クリストファー・マレー,kurisutofā・marē
bernie mac,バーニー・マック,bānī・makku
deborah lynn scott,デボラ・リン・スコット,debora・rin・sukotto
timothy leary,ティモシー・リアリー,timoshī・riarī
carson mccullers,カーソン・マッカラーズ,kāson・makkarāzu
lea thompson,リー・トンプソン,rī・tonpuson
ashley benson,アシュレイ・ベンソン,ashurei・benson
sarah chang,サラ・チャン,sara・chan
gene tierney,ジーン・ティアニー,jīn・tianī
jill clayburgh,ジル・クレイバーグ,jiru・kureibāgu
roderick mackinnon,ロデリック・マキノン,roderikku・makinon
jean seberg,ジーン・セバーグ,jīn・sebāgu
dorothea lange,ドロシア・ラング,doroshia・rangu
shiri appleby,シリ・アップルビー,shiri・appurubī
grace park,グレース・パク,gurēsu・paku
chris colfer,クリス・コルファー,kurisu・korufā
sarah shahi,サラ・シャヒ,sara・shahi
charles gwathmey,チャールズ・グワスミー,chāruzu・guwasumī
jacob dolson cox,ジェイコブ・ドルソン・コックス,jeikobu・doruson・kokkusu
john james audubon,ジョン・ジェームズ・オーデュボン,jon・jēmuzu・ōdyubon
ashley rickards,アシュリー・リッカーズ,ashurī・rikkāzu
jeffrey hunter,ジェフリー・ハンター,jefurī・hantā
paul flory,ポール・フローリー,pōru・furōrī
joe spano,ジョー・スパーノ,jō・supāno
reggie johnson,レジー・ジョンソン,rejī・jonson
david robinson,デビッド・ロビンソン,debiddo・robinson
denzel washington,デンゼル・ワシントン,denzeru・washinton
rosa parks,ローザ・パークス,rōza・pākusu
edwin hubble,エドウィン・ハッブル,edowin・habburu
daína chaviano,ダイナ・チャヴィアノ,daina・chaviano
melanie griffith,メラニー・グリフィス,meranī・gurifisu
richard axel,リチャード・アクセル,richādo・akuseru
howard gardner,ハワード・ガードナー,hawādo・gādonā
john petrucci,ジョン・ペトルーシ,jon・petorūshi
irwin rose,アーウィン・ローズ,āwin・rōzu
harper lee,ハーパー・リー,hāpā・rī
jeff betancourt,ジェフ・ベタンコート,jefu・betankōto
mario puzo,マリオ・プーゾ,mario・pūzo
geraldine chaplin,ジェラルディン・チャップリン,jerarudin・chappurin
james tobin,ジェームズ・トービン,jēmuzu・tōbin
jennifer carpenter,ジェニファー・カーペンター,jenifā・kāpentā
cote de pablo,コート・デ・パブロ,kōto・de・paburo
annie jump cannon,アニー・ジャンプ・キャノン,anī・janpu・kyanon
ted dibiase jr,テッド・デビアス・ジュニア,teddo・debiasu・junia
frank gorshin,フランク・ゴーシン,furanku・gōshin
caleb cushing,ケイレブ・クッシング,keirebu・kusshingu
henry simmons,ヘンリー・シモンズ,henrī・shimonzu
alan dershowitz,アラン・ダーショウィッツ,aran・dāshowittsu
channing tatum,チャニング・テイタム,chaningu・teitamu
glenn ford,グレン・フォード,guren・fōdo
mira sorvino,ミラ・ソルヴィノ,mira・soruvino
amanda bynes,アマンダ・バインズ,amanda・bainzu
jon stewart,ジョン・スチュワート,jon・suchuwāto
katie couric,ケイティ・クーリック,keiti・kūrikku
dale carnegie,デール・カーネギー,dēru・kānegī
roger ebert,ロジャー・イーバート,rojā・ībāto
vera wang,ヴェラ・ウォン,vuェra・won
sean young,ショーン・ヤング,shōn・yangu
dianne feinstein,ダイアン・ファインスタイン,daian・fainsutain
johnny cash,ジョニー・キャッシュ,jonī・kyasshu
young dro,ヤング・ドロー,yangu・dorō
thomas hunt morgan,トーマス・ハント・モーガン,tōmasu・hanto・mōgan
rita hayworth,リタ・ヘイワース,rita・heiwāsu
jeff scott soto,ジェフ・スコット・ソート,jefu・sukotto・sōto
anne bancroft,アン・バンクロフト,an・bankurofuto
martin lawrence,マーティン・ローレンス,mātin・rōrensu
rudy giuliani,ルドルフ・ジュリアーニ,rudorufu・juriāni
colleen camp,コリーン・キャンプ,korīn・kyanpu
hurley haywood,ハーレイ・ヘイウッド,hārei・heiuddo
newt gingrich,ニュート・ギングリッチ,nyūto・ginguritchi
frank wess,フランク・ウェス,furanku・wesu
peter berg,ピーター・バーグ,pītā・bāgu
sidney moncrief,シドニー・モンクリーフ,shidonī・monkurīfu
arthur rubinstein,アルトゥール・ルービンシュタイン,arutūru・rūbinshutain
samuel colt,サミュエル・コルト,samyueru・koruto
edward mills purcell,エドワード・ミルズ・パーセル,edowādo・miruzu・pāseru
wendy brown,ウェンディ・ブラウン,wendi・buraun
igor sikorsky,イーゴリ・シコールスキイ,īgori・shikōrusukii
annabeth gish,アナベス・ギッシュ,anabesu・gisshu
chyler leigh,カイラー・リー,kairā・rī
liam aiken,リアム・エイケン,riamu・eiken
robert venturi,ロバート・ヴェンチューリ,robāto・vuェnchūri
curtis granderson,カーティス・グランダーソン,kātisu・gurandāson
james hill,ジェームズ・ヒル,jēmuzu・hiru
diablo cody,ディアブロ・コーディ,diaburo・kōdi
nikki blonsky,ニッキー・ブロンスキー,nikkī・buronsukī
catherine hicks,キャサリン・ヒックス,kyasarin・hikkusu
demi moore,デミ・ムーア,demi・mūa
sarah palin,サラ・ペイリン,sara・peirin
robert surtees,ロバート・サーティース,robāto・sātīsu
vin diesel,ヴィン・ディーゼル,vin・dīzeru
owen chamberlain,オーウェン・チェンバレン,ōwen・chenbaren
rick riordan,リック・ライアダン,rikku・raiadan
melissa gilbert,メリッサ・ギルバート,merissa・girubāto
annie oakley,アニー・オークレイ,anī・ōkurei
steven pinker,スティーブン・ピンカー,sutībun・pinkā
maureen stapleton,モーリン・ステイプルトン,mōrin・suteipuruton
rebecca soni,レベッカ・ソニ,rebekka・soni
brenda lee,ブレンダ・リー,burenda・rī
dustin hoffman,ダスティン・ホフマン,dasutin・hofuman
nicolas cage,ニコラス・ケイジ,nikorasu・keiji
john corbett,ジョン・コーベット,jon・kōbetto
matt biondi,マット・ビオンディ,matto・biondi
william carlos williams,ウィリアム・カーロス・ウィリアムズ,wiriamu・kārosu・wiriamuzu
david sanborn,デイヴィッド・サンボーン,deividdo・sanbōn
lloyd kaufman,ロイド・カウフマン,roido・kaufuman
philip johnson,フィリップ・ジョンソン,firippu・jonson
lawrence tierney,ローレンス・ティアニー,rōrensu・tianī
patrick dempsey,パトリック・デンプシー,patorikku・denpushī
jan karski,ヤン・カルスキ,yan・karusuki
marisa miller,マリサ・ミラー,marisa・mirā
gia carangi,ジア・キャランジ,jia・kyaranji
jordana brewster,ジョーダナ・ブリュースター,jōdana・buryūsutā
china anne mcclain,チャイナ・アン・マクレーン,chaina・an・makurēn
jenny mccarthy,ジェニー・マッカーシー,jenī・makkāshī
coretta scott king,コレッタ・スコット・キング,koretta・sukotto・kingu
heather o'rourke,ヘザー・オルーク,hezā・orūku
dania ramirez,ダニア・ラミレス,dania・ramiresu
jenny thompson,ジェニー・トンプソン,jenī・tonpuson
shailene woodley,シェイリーン・ウッドリー,sheirīn・uddorī
jayma mays,ジェイマ・メイズ,jeima・meizu
amanda beard,アマンダ・ビアード,amanda・biādo
patricia heaton,パトリシア・ヒートン,patorishia・hīton
mary blair,メアリー・ブレア,mearī・burea
marie colvin,メリー・コルヴィン,merī・koruvin
abbey lincoln,アビー・リンカーン,abī・rinkān
annette o'toole,アネット・オトゥール,anetto・otūru
amber tamblyn,アンバー・タンブリン,anbā・tanburin
kelly hu,ケリー・ヒュー,kerī・hyū
burt bacharach,バート・バカラック,bāto・bakarakku
kim novak,キム・ノヴァク,kimu・novaku
kelly rowland,ケリー・ローランド,kerī・rōrando
joan jett,ジョーン・ジェット,jōn・jetto
stephen colbert,スティーヴン・コルベア,sutīvun・korubea
celeste holm,セレステ・ホルム,seresute・horumu
charles richter,チャールズ・リヒター,chāruzu・rihitā
mayim bialik,メイム・ビアリク,meimu・biariku
morena baccarin,モリーナ・バッカリン,morīna・bakkarin
christina ricci,クリスティーナ・リッチ,kurisutīna・ritchi
michelle rodriguez,ミシェル・ロドリゲス,misheru・rodorigesu
clint eastwood,クリント・イーストウッド,kurinto・īsutouddo
chris meledandri,クリス・メレダンドリ,kurisu・meredandori
justin timberlake,ジャスティン・ティンバーレイク,jasutin・tinbāreiku
irving langmuir,アーヴィング・ラングミュア,āvingu・rangumyua
rock hudson,ロック・ハドソン,rokku・hadoson
dana vollmer,ダナ・ボルマー,dana・borumā
kate mara,ケイト・マーラ,keito・māra
aimee mann,エイミー・マン,eimī・man
charlene tilton,シャーリーン・ティルトン,shārīn・tiruton
susan sullivan,スーザン・サリヴァン,sūzan・sarivan
lisa rinna,リサ・リナ,risa・rina
elizabeth dole,エリザベス・ドール,erizabesu・dōru
kimmie meissner,キミー・マイズナー,kimī・maizunā
gloria steinem,グロリア・スタイネム,guroria・sutainemu
torrie wilson,トリー・ウィルソン,torī・wiruson
jaime pressly,ジェイミー・プレスリー,jeimī・puresurī
samuel adams,サミュエル・アダムズ,samyueru・adamuzu
patricia wettig,パトリシア・ウェティグ,patorishia・wetigu
amy ryan,エイミー・ライアン,eimī・raian
agnes moorehead,アグネス・ムーアヘッド,agunesu・mūaheddo
suzanne pleshette,スザンヌ・プレシェット,suzannu・pureshetto
miranda lambert,ミランダ・ランバート,miranda・ranbāto
julie london,ジュリー・ロンドン,jurī・rondon
billy ray cyrus,ビリー・レイ・サイラス,birī・rei・sairasu
emmylou harris,エミルー・ハリス,emirū・harisu
khloé kardashian,クロエ・カーダシアン,kuroe・kādashian
shirley chisholm,シャーリー・チザム,shārī・chizamu
sandy dennis,サンディ・デニス,sandi・denisu
janet jagan,ジャネット・ジェーガン,janetto・jēgan
sitting bull,シッティング・ブル,shittingu・buru
polykarp kusch,ポリカプ・クッシュ,porikapu・kusshu
robert gates,ロバート・ゲーツ,robāto・gētsu
zeena parkins,ジーナ・パーキンス,jīna・pākinsu
martin sheen,マーティン・シーン,mātin・shīn
molly ringwald,モリー・リングウォルド,morī・ringuworudo
dina meyer,ディナ・メイヤー,dina・meiyā
annabella sciorra,アナベラ・シオラ,anabera・shiora
bernadette peters,バーナデット・ピーターズ,bānadetto・pītāzu
sara gilbert,サラ・ギルバート,sara・girubāto
betty ford,ベティ・フォード,beti・fōdo
nora roberts,ノーラ・ロバーツ,nōra・robātsu
marlee matlin,マーリー・マトリン,mārī・matorin
robert trujillo,ロバート・トゥルヒーヨ,robāto・turuhīyo
donald rumsfeld,ドナルド・ラムズフェルド,donarudo・ramuzuferudo
carlos bocanegra,カルロス・ボカネグラ,karurosu・bokanegura
pete conrad,ピート・コンラッド,pīto・konraddo
zvi griliches,ツヴィ・グリリカス,tsuvi・guririkasu
kristen wiig,クリステン・ウィグ,kurisuten・wigu
john stockton,ジョン・ストックトン,jon・sutokkuton
helen hayes,ヘレン・ヘイズ,heren・heizu
eddie murphy,エディ・マーフィ,edi・māfi
anne rice,アン・ライス,an・raisu
jessica stroup,ジェシカ・ストループ,jeshika・sutorūpu
monica,モニカ,monika
vickie guerrero,ヴィッキー・ゲレロ,vikkī・gerero
gloria estefan,グロリア・エステファン,guroria・esutefan
tom waits,トム・ウェイツ,tomu・weitsu
elizabeth gilbert,エリザベス・ギルバート,erizabesu・girubāto
barbara walters,バーバラ・ウォルターズ,bābara・worutāzu
licia albanese,リチア・アルバネーゼ,richia・arubanēze
cassandra wilson,カサンドラ・ウィルソン,kasandora・wiruson
anne revere,アン・リヴィア,an・rivia
eileen heckart,アイリーン・ヘッカート,airīn・hekkāto
shirley jackson,シャーリイ・ジャクスン,shārii・jakusun
alice sebold,アリス・シーボルド,arisu・shīborudo
nadia ali,ナディア・アリ,nadia・ari
tuesday weld,チューズデイ・ウェルド,chūzudei・werudo
debra paget,デブラ・パジェット,debura・pajetto
christopher walken,クリストファー・ウォーケン,kurisutofā・wōken
joaquin phoenix,ホアキン・フェニックス,hoakin・fenikkusu
carmen electra,カルメン・エレクトラ,karumen・erekutora
bonnie blair,ボニー・ブレア,bonī・burea
pamela melroy,パメラ・メルロイ,pamera・meruroi
david fincher,デヴィッド・フィンチャー,deviddo・finchā
thomas kuhn,トーマス・クーン,tōmasu・kūn
belladonna,ベラドンナ,beradonna
gabrielle union,ガブリエル・ユニオン,gaburieru・yunion
tori black,トーリ・ブラック,tōri・burakku
wassily leontief,ワシリー・レオンチェフ,washirī・reonchefu
jenna haze,ジェナ・ヘイズ,jena・heizu
joanne dru,ジョアン・ドルー,joan・dorū
alexandra daddario,アレクサンドラ・ダダリオ,arekusandora・dadario
briana evigan,ブリアナ・エヴィガン,buriana・evigan
reese witherspoon,リース・ウィザースプーン,rīsu・wizāsupūn
danny kaye,ダニー・ケイ,danī・kei
larry king,ラリー・キング,rarī・kingu
jessica alba,ジェシカ・アルバ,jeshika・aruba
roberta flack,ロバータ・フラック,robāta・furakku
patricia cornwell,パトリシア・コーンウェル,patorishia・kōnweru
stephanie seymour,ステファニー・シーモア,sutefanī・shīmoa
bridget regan,ブリジット・リーガン,burijitto・rīgan
margarita levieva,マルガリータ・レヴィエヴァ,marugarīta・revieva
mildred natwick,ミルドレッド・ナトウィック,mirudoreddo・natowikku
ralph bunche,ラルフ・バンチ,rarufu・banchi
danica patrick,ダニカ・パトリック,danika・patorikku
bill cosby,ビル・コスビー,biru・kosubī
kate upton,ケイト・アプトン,keito・aputon
ashlee simpson,アシュリー・シンプソン,ashurī・shinpuson
flo rida,フロー・ライダー,furō・raidā
friedrich wilhelm von steuben,フリードリッヒ・ヴィルヘルム・フォン・シュトイベン,furīdorihhi・viruherumu・fon・shutoiben
angel martino,エンジェル・マルティーノ,enjeru・marutīno
stacy dragila,ステーシー・ドラギラ,sutēshī・doragira
sarah hughes,サラ・ヒューズ,sara・hyūzu
nancy kerrigan,ナンシー・ケリガン,nanshī・kerigan
farley granger,ファーリー・グレンジャー,fārī・gurenjā
rudolf serkin,ルドルフ・ゼルキン,rudorufu・zerukin
nana visitor,ナナ・ヴィジター,nana・vijitā
vanessa marcil,ヴァネッサ・マーシル,vanessa・māshiru
odette annable,オデット・アナブル,odetto・anaburu
sylvia sidney,シルヴィア・シドニー,shiruvia・shidonī
charisma carpenter,カリスマ・カーペンター,karisuma・kāpentā
sara paxton,サラ・パクストン,sara・pakusuton
tammy lynn sytch,タミー・リン・シッチ,tamī・rin・shitchi
matt groening,マット・グレイニング,matto・gureiningu
jacob artist,ジェイコブ・アーティスト,jeikobu・ātisuto
chris jericho,クリス・ジェリコ,kurisu・jeriko
jim morrison,ジム・モリソン,jimu・morison
james ransone,ジェームズ・ランソン,jēmuzu・ranson
barry white,バリー・ホワイト,barī・howaito
herbert bayer,ヘルベルト・バイヤー,heruberuto・baiyā
paula abdul,ポーラ・アブドゥル,pōra・abuduru
carmen mcrae,カーメン・マクレエ,kāmen・makuree
dave bautista,デイヴ・バウティスタ,deivu・bautisuta
janet evanovich,ジャネット・イヴァノヴィッチ,janetto・ivanovitchi
leven rambin,レヴェン・ランビン,revuェn・ranbin
kim gordon,キム・ゴードン,kimu・gōdon
dan shechtman,ダニエル・シェヒトマン,danieru・shehitoman
tony macalpine,トニー・マカパイン,tonī・makapain
adolf busch,アドルフ・ブッシュ,adorufu・busshu
bridgit mendler,ブリジット・メンドラー,burijitto・mendorā
berenice abbott,ベレニス・アボット,berenisu・abotto
armen alchian,アルメン・アルキアン,arumen・arukian
kirsten price,キルステン・プライス,kirusuten・puraisu
sofía vergara,ソフィア・ベルガラ,sofia・berugara
marian anderson,マリアン・アンダーソン,marian・andāson
arielle kebbel,アリエル・ケベル,arieru・keberu
louisa may alcott,ルイーザ・メイ・オルコット,ruīza・mei・orukotto
amitai etzioni,アミタイ・エツィオーニ,amitai・etsiōni
sasha alexander,サッシャ・アレクサンダー,sassha・arekusandā
margaret mahler,マーガレット・マーラー,māgaretto・mārā
rudolph minkowski,ルドルフ・ミンコフスキー,rudorufu・minkofusukī
greg mankiw,グレゴリー・マンキュー,guregorī・mankyū
erin brockovich,エリン・ブロコビッチ,erin・burokobitchi
gwen torrence,グウェン・トーレンス,guwen・tōrensu
eva larue,エヴァ・ラルー,eva・rarū
kendra wilkinson,ケンドラ・ウィルキンソン,kendora・wirukinson
ottmar mergenthaler,オットマー・マーゲンターラー,ottomā・māgentārā
jack mcgurn,ジャック・マクガーン,jakku・makugān
walter laqueur,ウォルター・ラカー,worutā・rakā
daniel keyes,ダニエル・キイス,danieru・kiisu
kat dennings,カット・デニングス,katto・deningusu
robert riskin,ロバート・リスキン,robāto・risukin
robert f wagner,ロバート・ファーディナンド・ワーグナー,robāto・fādinando・wāgunā
tom selleck,トム・セレック,tomu・serekku
lukas foss,ルーカス・フォス,rūkasu・fosu
theodore sturgeon,シオドア・スタージョン,shiodoa・sutājon
santigold,サンティゴールド,santigōrudo
genesis rodriguez,ジェネシス・ロドリゲス,jeneshisu・rodorigesu
the undertaker,ジ・アンダーテイカー,ji・andāteikā
sean penn,ショーン・ペン,shōn・pen
matthew fox,マシュー・フォックス,mashū・fokkusu
henry mancini,ヘンリー・マンシーニ,henrī・manshīni
moriz rosenthal,モーリツ・ローゼンタール,mōritsu・rōzentāru
phil spector,フィル・スペクター,firu・supekutā
arthur rosenberg,アルトゥル・ローゼンベルク,aruturu・rōzenberuku
babe ruth,ベーブ・ルース,bēbu・rūsu
natalie cole,ナタリー・コール,natarī・kōru
ronnie james dio,ロニー・ジェイムス・ディオ,ronī・jeimusu・dio
jeff hardy,ジェフ・ハーディー,jefu・hādī
teresa edwards,テレサ・エドワーズ,teresa・edowāzu
diana taurasi,ダイアナ・トーラジ,daiana・tōraji
moe tucker,モーリン・タッカー,mōrin・takkā
karen nyberg,カレン・ナイバーグ,karen・naibāgu
frank whaley,フランク・ホエーリー,furanku・hoērī
jared dudley,ジャレッド・ダドリー,jareddo・dadorī
raul hilberg,ラウル・ヒルバーグ,rauru・hirubāgu
billy graham,ビリー・グラハム,birī・gurahamu
hans richter,ハンス・リヒター,hansu・rihitā
jesse james,ジェシー・ジェイムズ,jeshī・jeimuzu
anatole litvak,アナトール・リトヴァク,anatōru・ritovaku
linda lingle,リンダ・リングル,rinda・ringuru
emily procter,エミリー・プロクター,emirī・purokutā
hailee steinfeld,ヘイリー・スタインフェルド,heirī・sutainferudo
christina grimmie,クリスティーナ・グリミー,kurisutīna・gurimī
elizabeth perkins,エリザベス・パーキンス,erizabesu・pākinsu
ole anderson,オレイ・アンダーソン,orei・andāson
megan jendrick,メーガン・ジェンドリック,mēgan・jendorikku
anita bryant,アニタ・ブライアント,anita・buraianto
brenda vaccaro,ブレンダ・ヴァッカロ,burenda・vakkaro
edith mcguire,エディス・マガイヤー,edisu・magaiyā
hulk hogan,ハルク・ホーガン,haruku・hōgan
billy the kid,ビリー・ザ・キッド,birī・za・kiddo
stone cold steve austin,ストーン・コールド・スティーブ・オースチン,sutōn・kōrudo・sutību・ōsuchin
kofi kingston,コフィ・キングストン,kofi・kingusuton
theo rossi,テオ・ロッシ,teo・rosshi
kane,ケイン,kein
eddie guerrero,エディ・ゲレロ,edi・gerero
the miz,ザ・ミズ,za・mizu
big show,ポール・ワイト,pōru・waito
john kenneth galbraith,ジョン・ケネス・ガルブレイス,jon・kenesu・garubureisu
nicholas ray,ニコラス・レイ,nikorasu・rei
becky hammon,ベッキー・ハモン,bekkī・hamon
kerry washington,ケリー・ワシントン,kerī・washinton
sue bird,スー・バード,sū・bādo
francis fukuyama,フランシス・フクヤマ,furanshisu・fukuyama
shannon walker,シャノン・ウォーカー,shanon・wōkā
carly patterson,カーリー・パターソン,kārī・patāson
chris wedge,クリス・ウェッジ,kurisu・wejji
max wertheimer,マックス・ヴェルトハイマー,makkusu・vuェrutohaimā
wolfgang köhler,ヴォルフガング・ケーラー,vuォrufugangu・kērā
kim delaney,キム・デラニー,kimu・deranī
jorja fox,ジョージャ・フォックス,jōja・fokkusu
kristin chenoweth,クリスティン・チェノウェス,kurisutin・chenowesu
pauley perrette,ポーリー・ペレット,pōrī・peretto
meg cabot,メグ・キャボット,megu・kyabotto
jennifer o'neill,ジェニファー・オニール,jenifā・onīru
savannah,サバンナ,sabanna
natasha gregson wagner,ナターシャ・グレグソン・ワグナー,natāsha・gureguson・wagunā
nadine velazquez,ナディーン・ベラスケス,nadīn・berasukesu
julie taymor,ジュリー・テイモア,jurī・teimoa
kim deal,キム・ディール,kimu・dīru
lizzie borden,リジー・ボーデン,rijī・bōden
swizz beatz,スウィズ・ビーツ,suwizu・bītsu
jeane kirkpatrick,ジーン・カークパトリック,jīn・kākupatorikku
lil mama,リル・ママ,riru・mama
lauren ambrose,ローレン・アンブローズ,rōren・anburōzu
rachael leigh cook,レイチェル・リー・クック,reicheru・rī・kukku
ray lewis,レイ・ルイス,rei・ruisu
vince mcmahon,ビンス・マクマホン,binsu・makumahon
trey parker,トレイ・パーカー,torei・pākā
john cena,ジョン・シナ,jon・shina
joey bishop,ジョーイ・ビショップ,jōi・bishoppu
marilyn manson,マリリン・マンソン,maririn・manson
szymon goldberg,シモン・ゴールドベルク,shimon・gōrudoberuku
cameron diaz,キャメロン・ディアス,kyameron・diasu
kim kardashian,キム・カーダシアン,kimu・kādashian
courtney hodges,コートニー・ホッジス,kōtonī・hojjisu
matt stone,マット・ストーン,matto・sutōn
jasika nicole,ジャシカ・ニコル,jashika・nikoru
ray bolger,レイ・ボルジャー,rei・borujā
renata scotto,レナータ・スコット,renāta・sukotto
mildred harris,ミルドレッド・ハリス,mirudoreddo・harisu
josie maran,ジョジー・マラン,jojī・maran
peter zinner,ピーター・ツィンナー,pītā・tsinnā
steve morse,スティーヴ・モーズ,sutīvu・mōzu
julieta venegas,フリエッタ・ベネガス,furietta・benegasu
adrian grenier,エイドリアン・グレニアー,eidorian・gureniā
elizabeth roemer,エリザベス・レーマー,erizabesu・rēmā
lawrence kasdan,ローレンス・カスダン,rōrensu・kasudan
charles sweeney,チャールズ・スウィーニー,chāruzu・suwīnī
tracie thoms,トレイシー・トムズ,toreishī・tomuzu
virginia mayo,ヴァージニア・メイヨ,vājinia・meiyo
kathleen battle,キャスリーン・バトル,kyasurīn・batoru
vince carter,ヴィンス・カーター,vinsu・kātā
jessye norman,ジェシー・ノーマン,jeshī・nōman
joan rivers,ジョーン・リバーズ,jōn・ribāzu
jacinda barrett,ジャシンダ・バレット,jashinda・baretto
melissa sue anderson,メリッサ・スー・アンダーソン,merissa・sū・andāson
geraldine farrar,ジェラルディン・ファーラー,jerarudin・fārā
lera auerbach,レーラ・アウエルバッハ,rēra・auerubahha
gina torres,ジーナ・トーレス,jīna・tōresu
judith malina,ジュディス・マリナ,judisu・marina
annise parker,アニース・パーカー,anīsu・pākā
jason earles,ジェイソン・アールズ,jeison・āruzu
angela bassett,アンジェラ・バセット,anjera・basetto
mary astor,メアリー・アスター,mearī・asutā
joan osborne,ジョーン・オズボーン,jōn・ozubōn
jim jones,ジム・ジョーンズ,jimu・jōnzu
minnie riperton,ミニー・リパートン,minī・ripāton
alison sudol,アリソン・スドル,arison・sudoru
ric flair,リック・フレアー,rikku・fureā
sterling sharpe,スターリング・シャープ,sutāringu・shāpu
kevin james,ケヴィン・ジェームズ,kevin・jēmuzu
julian schwinger,ジュリアン・シュウィンガー,jurian・shuwingā
george foreman,ジョージ・フォアマン,jōji・foaman
stefan wolpe,シュテファン・ヴォルペ,shutefan・vuォrupe
randy orton,ランディ・オートン,randi・ōton
dan castellaneta,ダン・カステラネタ,dan・kasuteraneta
stanley cohen,スタンリー・コーエン,sutanrī・kōen
roseanne barr,ロザンヌ・バー,rozannu・bā
conchata ferrell,コンチャータ・フェレル,konchāta・fereru
mae whitman,メイ・ホイットマン,mei・hoittoman
selman waksman,セルマン・ワクスマン,seruman・wakusuman
laura leighton,ローラ・レイトン,rōra・reiton
andrea dworkin,アンドレア・ドウォーキン,andorea・dowōkin
kurt angle,カート・アングル,kāto・anguru
dashiell hammett,ダシール・ハメット,dashīru・hametto
jacky terrasson,ジャッキー・テラソン,jakkī・terason
paul walker,ポール・ウォーカー,pōru・wōkā
james newton howard,ジェームズ・ニュートン・ハワード,jēmuzu・nyūton・hawādo
linda blair,リンダ・ブレア,rinda・burea
pat metheny,パット・メセニー,patto・mesenī
william steinberg,ウィリアム・スタインバーグ,wiriamu・sutainbāgu
piper laurie,パイパー・ローリー,paipā・rōrī
margaret o'brien,マーガレット・オブライエン,māgaretto・oburaien
barbara eden,バーバラ・イーデン,bābara・īden
julia ward howe,ジュリア・ウォード・ハウ,juria・wōdo・hau
brad friedel,ブラッド・フリーデル,buraddo・furīderu
mary daly,メアリ・デイリー,meari・deirī
john lee hooker,ジョン・リー・フッカー,jon・rī・fukkā
wyatt earp,ワイアット・アープ,waiatto・āpu
