angela merkel,アンゲラ・メルケル,angera・merukeru
fürstenberg,フュルステンベルク,fyurusutenberuku
diepenau,ディーペナウ,dīpenau
linsburg,リンスブルク,rinsuburuku
bad orb,バート・オルプ,bāto・orupu
alsenz,アルゼンツ,aruzentsu
bad kösen,バート・ケーゼン,bāto・kēzen
heiliggeistkirche,セイレイキョウカイ,seireikyoukai
oberaula,オーバーアウラ,ōbāaura
stockstadt am rhein,シュトックシュタット・アム・ライン,shutokkushutatto・amu・rain
berkatal,ベルカタール,berukatāru
lahnau,ラーナウ,rānau
niddatal,ニッダタール,niddatāru
langgöns,ラングゲンス,rangugensu
egelsbach,エーゲルスバッハ,ēgerusubahha
ronneburg,ロネブルク,roneburuku
stadtbahn bielefeld,ビーレフェルト・シュタットバーン,bīreferuto・shutattobān
greifenstein,グライフェンシュタイン,guraifenshutain
heuchelheim an der lahn,ホイヒェルハイム・アン・デア・ラーン,hoihiェruhaimu・an・dea・rān
hauneck,ハウネック,haunekku
breitscheid,ブライトシャイト,buraitoshaito
wahlsburg,ヴァールスブルク,vārusuburuku
mainhausen,マインハウゼン,mainhauzen
waldems,ヴァルトエムス,varutoemusu
lohfelden,ローフェルデン,rōferuden
ortenberg,オルテンベルク,orutenberuku
echzell,エヒツェル,ehitseru
jako,ヤコ,yako
ottweiler,オットヴァイラー,ottovairā
meißner,マイスナー,maisunā
schrecksbach,シュレックスバッハ,shurekkusubahha
schwalbach am taunus,シュヴァルバッハ・アム・タウヌス,shuvarubahha・amu・taunusu
söhrewald,ゼーレヴァルト,zērevaruto
heidenhain,ハイデンハイン,haidenhain
steinbach,シュタインバッハ,shutainbahha
cornberg,コルンベルク,korunberuku
lauterbach,ラウターバッハ,rautābahha
usingen,ウージンゲン,ūjingen
ehrenberg,エーレンベルク,ērenberuku
hochspeyer,ホッホシュパイヤー,hohhoshupaiyā
dudenhofen,ドゥーデンホーフェン,dūdenhōfen
sachsenring,ザクセンリンク,zakusenrinku
führerhauptquartier,ソウトウダイホンエイ,soutoudaihonei
flörsheim am main,フレールスハイム・アム・マイン,furērusuhaimu・amu・main
helsa,ヘルザ,heruza
waldsolms,ヴァルトゾルムス,varutozorumusu
springe,シュプリンゲ,shupuringe
archenholdsternwarte,アルヒェンホルトテンモンダイ,aruhiェnhorutotenmondai
dipperz,ディッペルツ,dipperutsu
großenlüder,グローセンリューダー,gurōsenryūdā
weilmünster,ヴァイルミュンスター,vairumyunsutā
raunheim,ラウンハイム,raunhaimu
elbtal,エルプタール,eruputāru
barweiler,バルヴァイラー,baruvairā
bischoffen,ビショッフェン,bishoffen
siegbach,ジークバッハ,jīkubahha
rust,ルスト,rusuto
brechen,ブレヒェン,burehiェn
hochheim am main,ホーホハイム・アム・マイン,hōhohaimu・amu・main
bad salzschlirf,バート・ザルツシュリルフ,bāto・zarutsushurirufu
mittenaar,ミッテンアール,mittenāru
friedewald,フリーデヴァルト,furīdevaruto
hohenroda,ホーエンローダ,hōenrōda
minus,マイナス,mainasu
flammersfeld,フランマースフェルト,furanmāsuferuto
neuhof,ノイホーフ,noihōfu
grävenwiesbach,グレーヴェンヴィースバッハ,gurēvuェnvīsubahha
anna segherspreis,アンナ・ゼーガースショウ,anna・zēgāsushou
schnitzer motorsport,シュニッツァー・モータースポーツ,shunittsā・mōtāsupōtsu
biebertal,ビーバータール,bībātāru
schlangenbad,シュランゲンバート,shurangenbāto
willingshausen,ヴィリングスハウゼン,viringusuhauzen
wehretal,ヴェーレタール,vuェーretāru
edermünde,エーダーミュンデ,ēdāmyunde
schwarzenborn,シュヴァルツェンボルン,shuvarutsenborun
münchhausen,ミュンヒハウゼン,myunhihauzen
nüsttal,ニュストタール,nyusutotāru
pentacon,ペンタコン,pentakon
rasdorf,ラスドルフ,rasudorufu
bischofsheim,ビショフスハイム,bishofusuhaimu
nordleda,ノルトレーダ,norutorēda
sulzbach,ズルツバッハ,zurutsubahha
habichtswald,ハービヒツヴァルト,hābihitsuvaruto
freigericht,フライゲリヒト,furaigerihito
montabaur,モンタバウアー,montabauā
fuldabrück,フルダブリュック,furudaburyukku
edertal,エーダータール,ēdātāru
rosenthal,ローゼンタール,rōzentāru
rohr,ロール,rōru
eichwalde,アイヒヴァルデ,aihivarude
flieden,フリーデン,furīden
schwalmtal,シュヴァルムタール,shuvarumutāru
vöhl,フェール,fēru
gemünden,ゲミュンデン,gemyunden
fronhausen,フロンハウゼン,furonhauzen
lützelbach,リュッツェルバッハ,ryuttserubahha
sinntal,ジンタール,jintāru
neukirchen,ノイキルヒェン,noikiruhiェn
lollar,ロラー,rorā
gernsheim,ゲルンスハイム,gerunsuhaimu
hattorf am harz,ハットルフ・アム・ハルツ,hattorufu・amu・harutsu
sehnde,ゼーンデ,zēnde
otzberg,オッツベルク,ottsuberuku
hörden am harz,ヘルデン・アム・ハルツ,heruden・amu・harutsu
linden,リンデン,rinden
fernwald,フェルンヴァルト,ferunvaruto
tann,タン,tan
brombachtal,ブロムバッハタール,buromubahhatāru
wildeck,ヴィルデック,virudekku
linsengericht,リンゼンゲリヒト,rinzengerihito
reinhardshagen,ラインハルツハーゲン,rainharutsuhāgen
glauburg,グラウブルク,gurauburuku
bromskirchen,ブロムスキルヒェン,buromusukiruhiェn
limeshain,リーメスハイン,rīmesuhain
hülsede,ヒュルゼーデ,hyuruzēde
ebsdorfergrund,エプスドルファーグルント,epusudorufāgurunto
dornburg,ドルンブルク,dorunburuku
sensbachtal,ゼンスバッハタール,zensubahhatāru
dietzhölztal,ディーツヘルツタール,dītsuherutsutāru
kriftel,クリフテル,kurifuteru
rosenberg,ローゼンベルク,rōzenberuku
schöffengrund,シェッフェングルント,sheffengurunto
kefenrod,ケーフェンロート,kēfenrōto
gerach,ゲーラハ,gēraha
helpsen,ヘルプゼン,herupuzen
schenklengsfeld,シェンクレングスフェルト,shenkurengusuferuto
fuldatal,フルダタール,furudatāru
nentershausen,ネンタースハウゼン,nentāsuhauzen
selters,ゼルタース,zerutāsu
niederaula,ニーダーアウラ,nīdāaura
hüttenberg,ヒュッテンベルク,hyuttenberuku
lorch,ロルヒ,roruhi
bissendorf,ビッセンドルフ,bissendorufu
nidda,ニッダ,nidda
obertshausen,オーベルツハウゼン,ōberutsuhauzen
hattersheim am main,ハッタースハイム・アム・マイン,hattāsuhaimu・amu・main
ehringshausen,エーリングスハウゼン,ēringusuhauzen
eystrup,アイストルプ,aisutorupu
henschelwegmannzug,ヘンシェルヴェーグマン,hensheruvuェーguman
kaufungen,カウフンゲン,kaufungen
kompakt,コンパクト,konpakuto
tischtennisbundesliga,タッキュウブンデスリーガ,takkyuubundesurīga
vellmar,フェルマー,ferumā
eschborn,エシュボルン,eshuborun
hoyerhagen,ホーヤーハーゲン,hōyāhāgen
bruchköbel,ブルフケーベル,burufukēberu
lahnstein,ラーンシュタイン,rānshutain
kirchhain,キルヒハイン,kiruhihain
griesheim,グリースハイム,gurīsuhaimu
butzbach,ブッツバッハ,buttsubahha
eichenzell,アイヒェンツェル,aihiェntseru
kronberg im taunus,クローンベルク・イム・タウヌス,kurōnberuku・imu・taunusu
breidenbach,ブライデンバッハ,buraidenbahha
antweiler,アントヴァイラー,antovairā
hünfeld,ヒューンフェルト,hyūnferuto
rödermark,レーダーマルク,rēdāmaruku
unterleinleiter,ウンターラインライター,untārainraitā
wollershausen,ヴォラースハウゼン,vuォrāsuhauzen
flörsbachtal,フレールスバッハタール,furērusubahhatāru
rauschenberg,ラウシェンベルク,raushenberuku
gründau,グリュンダウ,guryundau
röckingen,レッキンゲン,rekkingen
scheuring,ショイリング,shoiringu
hagen im bremischen,ハーゲン・イム・ブレーミシェン,hāgen・imu・burēmishen
eschenburg,エッシェンブルク,esshenburuku
hilgermissen,ヒルガーミッセン,hirugāmissen
seelow,ゼーロウ,zērou
tschirn,チルン,chirun
fronhofen,フローンホーフェン,furōnhōfen
warpe,ヴァルペ,varupe
schernfeld,シェルンフェルト,sherunferuto
espenau,エスペナウ,esupenau
großkrotzenburg,グロースクロッツェンブルク,gurōsukurottsenburuku
seulingen,ゾイリンゲン,zoiringen
heidenrod,ハイデンロート,haidenrōto
haibach,ハイバッハ,haibahha
wettenberg,ヴェッテンベルク,vuェttenberuku
wölfersheim,ヴェルファースハイム,vuェrufāsuhaimu
hassel,ハッセル,hasseru
heusenstamm,ホイゼンシュタム,hoizenshutamu
riedstadt,リートシュタット,rītoshutatto
königstein im taunus,ケーニヒシュタイン・イム・タウヌス,kēnihishutain・imu・taunusu
pohlheim,ポールハイム,pōruhaimu
taunusstein,タウヌスシュタイン,taunusushutain
st wendel,ザンクト・ヴェンデル,zankuto・vuェnderu
schlüchtern,シュリュヒテルン,shuryuhiterun
kiedrich,キートリヒ,kītorihi
trebur,トレーブール,torēbūru
wollbrandshausen,ヴォルブランツハウゼン,vuォruburantsuhauzen
wohratal,ヴォーラタール,vuォーratāru
waldrach,ヴァルトラッハ,varutorahha
daaden,ダアーデン,daāden
türkiyemspor berlin,トゥルキェムスポル・ベルリン,turukiェmusuporu・berurin
allersberg,アラースベルク,arāsuberuku
wallhalben,ヴァルハルベン,varuharuben
rhaunen,ラウネン,raunen
haunetal,ハウネタール,haunetāru
beselich,ベーゼリヒ,bēzerihi
hage,ハーゲ,hāge
ebergötzen,エーバーゲッツェン,ēbāgettsen
luhden,ルーデン,rūden
greifenberg,グライフェンベルク,guraifenberuku
wirecard,ワイヤーカード,waiyākādo
breitenbach am herzberg,ブライテンバッハ・アム・ヘルツベルク,buraitenbahha・amu・herutsuberuku
diemelsee,ディーメルゼー,dīmeruzē
freiensteinau,フライエンシュタイナウ,furaienshutainau
walluf,ヴァルフ,varufu
hasselroth,ハッセルロート,hasserurōto
pommersfelden,ポンマースフェルデン,ponmāsuferuden
steingaden,シュタインガーデン,shutaingāden
ludwigsau,ルートヴィヒスアウ,rūtovihisuau
friedrichsdorf,フリードリヒスドルフ,furīdorihisudorufu
sankt goarshausen,ザンクト・ゴアールスハウゼン,zankuto・goārusuhauzen
stadtbahn stuttgart,シュトゥットガルト・シュタットバーン,shututtogaruto・shutattobān
interbau,ベルリンコクサイハクランカイ,berurinkokusaihakurankai
witzenhausen,ヴィッツェンハウゼン,vittsenhauzen
bengel,ベンゲル,bengeru
roßdorf,ロスドルフ,rosudorufu
belm,ベルム,berumu
nieste,ニーステ,nīsute
neuberg,ノイベルク,noiberuku
poggenpohl,ポーゲンポール,pōgenpōru
nürburg,ニュルブルク,nyuruburuku
hesseneck,ヘッセネック,hessenekku
heringen,ヘーリンゲン,hēringen
wildparkstadion,ヴィルトパルクシュタディオン,virutoparukushutadion
rüdesheim am rhein,リューデスハイム・アム・ライン,ryūdesuhaimu・amu・rain
hornbach,ホルンバッハ,horunbahha
flottillenadmiral,カイグンジュンショウ,kaigunjunshou
rothenfels,ローテンフェルス,rōtenferusu
bopfingen,ボプフィンゲン,bopufingen
ulmen,ウルメン,urumen
obernkirchen,オーベルンキルヒェン,ōberunkiruhiェn
niedenstein,ニーデンシュタイン,nīdenshutain
dahn,ダーン,dān
florstadt,フロールシュタット,furōrushutatto
seggebruch,ゼッゲブルーフ,zeggeburūfu
bad endbach,バート・エントバッハ,bāto・entobahha
mücke,ミュッケ,myukke
herrieden,ヘリーデン,herīden
lambrecht,ランブレヒト,ranburehito
höchst im odenwald,ヘーヒスト・イム・オーデンヴァルト,hēhisuto・imu・ōdenvaruto
multicar,マルチカー,maruchikā
constantin film,コンスタンティン・フィルム,konsutantin・firumu
hillesheim,ヒレスハイム,hiresuhaimu
immenhausen,インメンハウゼン,inmenhauzen
karben,カルベン,karuben
mendig,メンディヒ,mendihi
kirtorf,キルトルフ,kirutorufu
nauheim,ナウハイム,nauhaimu
wehrheim,ヴェールハイム,vuェーruhaimu
gilserberg,ギルザーベルク,giruzāberuku
malsfeld,マールスフェルト,mārusuferuto
herleshausen,ヘルレスハウゼン,heruresuhauzen
wallenhorst,ヴァレンホルスト,varenhorusuto
lauenau,ラウエナウ,rauenau
bürgerbräukeller,ビュルガーブロイケラー,byurugāburoikerā
büttelborn,ビュッテルボルン,byutteruborun
dautphetal,ダウトフェタール,dautofetāru
grebenhain,グレーベンハイン,gurēbenhain
hirzenhain,ヒルツェンハイン,hirutsenhain
reichelsheim,ライヒェルスハイム,raihiェrusuhaimu
spangenberg,シュパンゲンベルク,shupangenberuku
kelsterbach,ケルスターバッハ,kerusutābahha
schöneck,シェーネック,shēnekku
gersfeld,ゲルスフェルト,gerusuferuto
minichamps,ミニチャンプス,minichanpusu
paumgartneraltar,パウムガルトナーサイダンガ,paumugarutonāsaidanga
mille plateaux,ミル・プラトー,miru・puratō
erzhausen,エルツハウゼン,erutsuhauzen
alexander schleicher,アレキサンダー・シュライハー,arekisandā・shuraihā
anne frank zentrum,アンネ・フランク・ツェントルム,anne・furanku・tsentorumu
mengerskirchen,メンゲルスキルヒェン,mengerusukiruhiェn
heiligenstadt in oberfranken,ハイリゲンシュタット・イン・オーバーフランケン,hairigenshutatto・in・ōbāfuranken
alheim,アルハイム,aruhaimu
bad zwesten,バート・ツヴェステン,bāto・tsuvuェsuten
münzenberg,ミュンツェンベルク,myuntsenberuku
sachsenhagen,ザクセンハーゲン,zakusenhāgen
rhein fire,ライン・ファイヤー,rain・faiyā
ulrichstein,ウルリヒシュタイン,ururihishutain
hadamar,ハーダマル,hādamaru
biron von curland,ビロン・フォン・クールラントカ,biron・fon・kūrurantoka
mörlenbach,メルレンバッハ,merurenbahha
auhagen,アウハーゲン,auhāgen
lüdersfeld,リューダースフェルト,ryūdāsuferuto
nienstädt,ニーンシュテット,nīnshutetto
biebesheim am rhein,ビーベスハイム・アム・ライン,bībesuhaimu・amu・rain
ensemble modern,アンサンブル・モデルン,ansanburu・moderun
wetter,ヴェッター,vuェttā
katzenelnbogen,カッツェンエルンボーゲン,kattsenerunbōgen
hilders,ヒルダース,hirudāsu
hatzfeld,ハッツフェルト,hattsuferuto
borken,ボルケン,boruken
rodenberg,ローデンベルク,rōdenberuku
runkel,ルンケル,runkeru
feldjäger,フェルトイェーガー,ferutoyēgā
staufenberg,シュタウフェンベルク,shutaufenberuku
grebenau,グレーベナウ,gurēbenau
herbstein,ヘルプシュタイン,herupushutain
polch,ポルヒ,poruhi
haina,ハイナ,haina
kist,キスト,kisuto
erbach,エアバッハ,eabahha
rallye deutschland,ラリー・ドイチュラント,rarī・doichuranto
leun,ロイン,roin
cargotram,カーゴトラム,kāgotoramu
ornbau,オルンバウ,orunbau
hettenleidelheim,ヘッテンライデルハイム,hettenraideruhaimu
poppenhausen,ポッペンハウゼン,poppenhauzen
hainburg,ハインブルク,hainburuku
igling,イグリング,iguringu
breuberg,ブロイベルク,buroiberuku
hasloch,ハスロッホ,hasurohho
bambi,バンビ,banbi
löhnberg,レーンベルク,rēnberuku
waldbreitbach,ヴァルトブライトバッハ,varutoburaitobahha
rengsdorf,レングスドルフ,rengusudorufu
bad eilsen,バート・アイルゼン,bāto・airuzen
rosdorf,ロスドルフ,rosudorufu
solms,ゾルムス,zorumusu
neresheim,ネーレスハイム,nēresuhaimu
eimen,アイメン,aimen
hungen,フンゲン,fungen
desertec,デザーテック,dezātekku
hohnhorst,ホーンホルスト,hōnhorusuto
escada,エスカーダ,esukāda
heuerßen,ホイエルセン,hoierusen
heyen,ハイエン,haien
bilshausen,ビルスハウゼン,birusuhauzen
ostercappeln,オスターカッペルン,osutākapperun
untersiemau,ウンタージーマウ,untājīmau
vollersode,フォラーゾーデ,forāzōde
glandorf,グランドルフ,gurandorufu
hespe,ヘスペ,hesupe
sonnefeld,ゾンネフェルト,zonneferuto
weitramsdorf,ヴァイトラムスドルフ,vaitoramusudorufu
drakenburg,ドラーケンブルク,dorākenburuku
husum,フーズム,fūzumu
hosenfeld,ホーゼンフェルト,hōzenferuto
messenkamp,メッセンカンプ,messenkanpu
lauenhagen,ラウエンハーゲン,rauenhāgen
seßlach,ゼスラハ,zesuraha
weidhausen bei coburg,ヴァイトハウゼン・バイ・コーブルク,vaitohauzen・bai・kōburuku
ebersdorf bei coburg,エーバースドルフ・バイ・コーブルク,ēbāsudorufu・bai・kōburuku
meeder,メーダー,mēdā
grub am forst,グルプ・アム・フォルスト,gurupu・amu・forusuto
itzgrund,イッツグルント,ittsugurunto
rödental,レーデンタール,rēdentāru
lautertal,ラウタータール,rautātāru
holste,ホルステ,horusute
solnhofen,ゾルンホーフェン,zorunhōfen
hagen am teutoburger wald,ハーゲン・アム・トイトブルガー・ヴァルト,hāgen・amu・toitoburugā・varuto
tui,トゥイ,tui
waldi,ヴァルディ,varudi
jesberg,イェスベルク,yesuberuku
beilngries,バイルングリース,bairungurīsu
wehrbleck,ヴェールブレック,vuェーruburekku
games convention,ゲームズ・コンベンション,gēmuzu・konbenshon
braun,ブラウン,buraun
elz,エルツ,erutsu
eppertshausen,エッパーツハウゼン,eppātsuhauzen
stadtallendorf,シュタットアレンドルフ,shutattoarendorufu
fraport,フラポート,furapōto
lamy,ラミー,ramī
weilburg,ヴァイルブルク,vairuburuku
frankenberg,フランケンベルク,furankenberuku
veitshöchheim,ファイツヘーヒハイム,faitsuhēhihaimu
deutsche oper berlin,ベルリン・ドイツ・オペラ,berurin・doitsu・opera
waldschlößchenbrücke,ヴァルトシュレスヒェンキョウ,varutoshuresuhiェnkyou
bundesgartenschau,レンポウエンゲイハクランカイ,renpouengeihakurankai
gleichen,グライヒェン,guraihiェn
durlangen,ドゥルランゲン,dururangen
weilrod,ヴァイルロート,vairurōto
hirschhorn,ヒルシュホルン,hirushuhorun
offenbach an der queich,オッフェンバッハ・アン・デア・クヴァイヒ,offenbahha・an・dea・kuvaihi
mutlangen,ムートランゲン,mūtorangen
leinzell,ラインツェル,raintseru
lauchheim,ラウフハイム,raufuhaimu
leese,レーゼ,rēze
hüttlingen,ヒュットリンゲン,hyuttoringen
nortrup,ノルトルプ,norutorupu
asbach,アスバッハ,asubahha
obergröningen,オーバーグレーニンゲン,ōbāgurēningen
kfw,ドイツフッコウキンユウコウコ,doitsufukkoukinyuukouko
seeburg,ゼーブルク,zēburuku
richardwagnerstiftung bayreuth,リヒャルト・ワーグナーザイダン,rihyaruto・wāgunāzaidan
berlin thunder,ベルリン・サンダー,berurin・sandā
mögglingen,メグリンゲン,meguringen
ellenberg,エレンベルク,erenberuku
böbingen an der rems,ベービンゲン・アン・デア・レムス,bēbingen・an・dea・remusu
spreuerhofstraße,シュプロイアーホフドオリ,shupuroiāhofudoori
bayerische zugspitzbahn,バイエルン・ツークシュピッツテツドウ,baierun・tsūkushupittsutetsudou
worldcon,ワールドコン,wārudokon
rockenberg,ロッケンベルク,rokkenberuku
gastarbeiter,ガストアルバイター,gasutoarubaitā
apelern,アーペレルン,āpererun
hambergen,ハムベルゲン,hamuberugen
hammersbach,ハンマースバッハ,hanmāsubahha
uetze,ユッツェ,yuttse
wulften am harz,ヴルフテン・アム・ハルツ,vurufuten・amu・harutsu
herpa,ヘルパ,herupa
alfhausen,アルフハウゼン,arufuhauzen
otterberg,オッターベルク,ottāberuku
heidelberg materials,ハイデルベルク・マテリアルズ,haideruberuku・materiaruzu
lich,リヒ,rihi
kirchberg,キルヒベルク,kiruhiberuku
konradiner,コンラディンカ,konradinka
tüv rheinland,テュフ・ラインランド,tyufu・rainrando
gebhardshain,ゲブハルツハイン,gebuharutsuhain
hagenburg,ハーゲンブルク,hāgenburuku
guxhagen,グックスハーゲン,gukkusuhāgen
westhausen,ヴェストハウゼン,vuェsutohauzen
limbach,リムバッハ,rimubahha
körle,ケルレ,kerure
ringgau,リングガウ,ringugau
wabern,ヴァーベルン,vāberun
bovenden,ボーヴェンデン,bōvuェnden
hohner,ホーナー,hōnā
ludendorffbrücke,ルーデンドルフキョウ,rūdendorufukyou
hünfelden,ヒュンフェルデン,hyunferuden
merenberg,メーレンベルク,mērenberuku
wöllstadt,ヴェルシュタット,vuェrushutatto
ranstadt,ランシュタット,ranshutatto
tennis borussia berlin,テニス・ボルシア・ベルリン,tenisu・borushia・berurin
kelkheim,ケルクハイム,kerukuhaimu
albertiner,アルベルティンカ,aruberutinka
niederwalddenkmal,ニーダーヴァルトキネンヒ,nīdāvarutokinenhi
hofbieber,ホーフビーバー,hōfubībā
künzell,キュンツェル,kyuntseru
warnowtunnel,ヴァルノウトンネル,varunoutonneru
vennbahn,フェンテツドウ,fentetsudou
mühlheim am main,ミュールハイム・アム・マイン,myūruhaimu・amu・main
thalfang,タールファング,tārufangu
weißenborn,ヴァイセンボルン,vaisenborun
ottrau,オットラウ,ottorau
villmar,フィルマー,firumā
morschen,モルシェン,morushen
wennigsen,ヴェンニグセン,vuェnnigusen
mahle,マーレ,māre
germanenorden,ゲルマンキシダン,gerumankishidan
bärenreiterverlag,ベーレンライターシュッパンシャ,bērenraitāshuppansha
revierderby,ルールダービー,rūrudābī
rosbach vor der höhe,ロスバッハ・フォア・デア・ヘーエ,rosubahha・foa・dea・hēe
ihlienworth,イーリエンヴォールト,īrienvuォーruto
haste,ハステ,hasute
calden,カルデン,karuden
jossgrund,ヨスグルント,yosugurunto
feldatal,フェルダタール,ferudatāru
niederdorfelden,ニーダードルフェルデン,nīdādoruferuden
mossautal,モッサウタール,mossautāru
brachttal,ブラハトタール,burahatotāru
hohenahr,ホーエンアール,hōenāru
stöckse,シュテックゼ,shutekkuze
sprendlingen,シュプレントリンゲン,shupurentoringen
leipziger messe,ライプツィヒ・メッセ,raiputsihi・messe
tresor,トレゾア,torezoa
dasing,ダージング,dājingu
robert kochinstitut,ロベルト・コッホケンキュウジョ,roberuto・kohhokenkyuujo
wartenberg,ヴァルテンベルク,varutenberuku
würthgruppe,ウルト,uruto
jamaikakoalition,ジャマイカレンリツ,jamaikarenritsu
grundig,グルンディッヒ,gurundihhi
grasberg,グラスベルク,gurasuberuku
hohenstein,ホーエンシュタイン,hōenshutain
brensbach,ブレンスバッハ,burensubahha
stadtbahn düsseldorf,デュッセルドルフ・シュタットバーン,dyusserudorufu・shutattobān
rohrsen,ロールゼン,rōruzen
morbach,モールバッハ,mōrubahha
kärcher,ケルヒャー,keruhyā
tiefenthal,ティーフェンタール,tīfentāru
wallmerod,ヴァルマロート,varumarōto
drakkar entertainment,ドラッカー・エンターテインメント,dorakkā・entāteinmento
suthfeld,ズートフェルト,zūtoferuto
niederzissen,ニーダーツィッセン,nīdātsissen
hamburg international,ハンブルク・インターナショナル,hanburuku・intānashonaru
stolzenau,シュトルツェナウ,shutorutsenau
meerbeck,メーアベック,mēabekku
jägermeister,イエーガーマイスター,iēgāmaisutā
voigtländer,フォクトレンダー,fokutorendā
hohenzollernbrücke,ホーエンツォレルンキョウ,hōentsorerunkyou
grasellenbach,グラーゼレンバッハ,gurāzerenbahha
moskauer vertrag,ソビエト・ニシドイツブリョクフコウシジョウヤク,sobieto・nishidoitsuburyokufukoushijouyaku
thomaskantor,トーマスカントル,tōmasukantoru
mitropa,ミトローパ,mitorōpa
auetal,アウエタール,auetāru
chiemgauer,キームガウアー,kīmugauā
altranstädt,アルトランシュテット,arutoranshutetto
qimonda,キマンダ,kimanda
sonor,ソナー,sonā
liebfrauenmilch,リープフラウミルヒ,rīpufuraumiruhi
birkenstock,ビルケンシュトック,birukenshutokku
schwedischpommern,スウェーデンリョウポメラニア,suwēdenryoupomerania
eggermühlen,エッガーミューレン,eggāmyūren
blombergfritschkrise,ブロンベルクヒメンジケン,buronberukuhimenjiken
haus der kunst,ハウス・デア・クンスト,hausu・dea・kunsuto
lanxess,ランクセス,rankusesu
haßloch,ハースロッホ,hāsurohho
lexisnexis,レクシスネクシス,rekushisunekushisu
delag,ドイツヒコウセンウンユ,doitsuhikousenunyu
wahre liebe wartet,トゥルー・ラブ・ウェイツ,turū・rabu・weitsu
simplicissimus,ジンプリチシムス,jinpurichishimusu
sparkassen münsterland giro,シュパルカセン・ミュンスターラント・ギーロ,shuparukasen・myunsutāranto・gīro
grafschaft,グラーフシャフト,gurāfushafuto
speicher,シュパイヒャー,shupaihyā
astronomische nachrichten,アストロノミシェ・ナハリヒテン,asutoronomishe・naharihiten
pahlen,パーレンカ,pārenka
fürstenbund,クンコウドウメイ,kunkoudoumei
kriminalpolizei,ケイジケイサツ,keijikeisatsu
sicherheitspolizei,ホアンケイサツ,hoankeisatsu
sportpark ronhof,トローリ・アレーナ,torōri・arēna
powerwolf,パワーウルフ,pawāurufu
erlkönig,マオウ,maou
karmann,カルマン,karuman
bevern,ベーヴェルン,bēvuェrun
sportfreunde lotte,シュポルトフロインデ・ロッテ,shuporutofuroinde・rotte
phoenix solar,フェニックス・ソーラー,fenikkusu・sōrā
fleischmann,フライシュマン,furaishuman
rieste,リーステ,rīsute
steyerberg,シュタイアーベルク,shutaiāberuku
badbergen,バートベルゲン,bātoberugen
muspilli,ムースピリ,mūsupiri
obatzter,オバツダ,obatsuda
hofgarten,ホーフガルテン,hōfugaruten
kettenkamp,ケッテンカンプ,kettenkanpu
gehrde,ゲールデ,gērude
hansa studios,ハンザ・スタジオ,hanza・sutajio
hasbergen,ハスベルゲン,hasuberugen
thomanerchor,トーマスキョウカイショウネンガッショウダン,tōmasukyoukaishounengasshoudan
abitur,アビトゥーア,abitūa
faguswerk,ファグスコウジョウ,fagusukoujou
prora,プローラ,purōra
rheinstadion,ラインシュタディオン,rainshutadion
bendorf,ベンドルフ,bendorufu
realschule,ジッカガッコウ,jikkagakkou
messe frankfurt,メッセ・フランクフルト,messe・furankufuruto
dresdner philharmonie,ドレスデン・フィルハーモニーカンゲンガクダン,doresuden・firuhāmonīkangengakudan
rollei,ローライ,rōrai
elbingerode,エルビンゲローデ,erubingerōde
lifeforce records,ライフフォース・レコード,raifufōsu・rekōdo
südwestrundfunk,ナンセイドイツホウソウ,nanseidoitsuhousou
berliner sportpalast,ベルリン・スポーツキュウデン,berurin・supōtsukyuuden
bühren,ビューレン,byūren
deutschpolnischer grenzvertrag,ドイツ・ポーランドコッキョウジョウヤク,doitsu・pōrandokokkyoujouyaku
wietzen,ヴィーツェン,vītsen
bamberg baskets,ブローゼ・バンベルク,burōze・banberuku
ostseestadion,オストゼーシュタディオン,osutozēshutadion
merzen,メルツェン,merutsen
lübberstedt,リュッバーシュテット,ryubbāshutetto
schwanewede,シュヴァーネヴェーデ,shuvānevuェーde
berge,ベルゲ,beruge
landespolizei,シュウケイサツ,shuukeisatsu
oberwesel,オーバーヴェセル,ōbāvuェseru
münchner residenz,ミュンヘン・レジデンツ,myunhen・rejidentsu
parkstadion,パルクシュタディオン,parukushutadion
focus,フォークス,fōkusu
bundesgerichtshof,レンポウサイバンショ,renpousaibansho
vitra design museum,ヴィトラ・デザイン・ミュージアム,vitora・dezain・myūjiamu
theresienwiese,テレージエンヴィーゼ,terējienvīze
hechthausen,ヘヒトハウゼン,hehitohauzen
komische oper berlin,ベルリン・コーミッシェ・オーパー,berurin・kōmisshe・ōpā
menslage,メンスラーゲ,mensurāge
meckel,メッケル,mekkeru
minox,ミノックス,minokkusu
beckedorf,ベッケドルフ,bekkedorufu
heeßen,ヘーセン,hēsen
buchholz,ブーフホルツ,būfuhorutsu
nordsehl,ノルトゼール,norutozēru
glashütte original,グラスヒュッテ・オリジナル,gurasuhyutte・orijinaru
gumpert sportwagenmanufaktur,アポロ・アウトモビリ,aporo・automobiri
lufthansa italia,ルフトハンザ・イタリア,rufutohanza・itaria
fränkische alb,フレンキシェ・アルプ,furenkishe・arupu
deutschebankhochhaus,ドイツギンコウツインタワー,doitsuginkoutsuintawā
hanhart,ハンハルト,hanharuto
pohle,ポーレ,pōre
hackesche höfe,ハッケシェ・ヘーフェ,hakkeshe・hēfe
steimbke,シュタインプケ,shutainpuke
bombardier transportation,ボンバルディア・トランスポーテーション,bonbarudia・toransupōtēshon
steinau,シュタイナウ,shutainau
