françois hollande,フランソワ・オランド,furansowa・orando
faugères,フォジェール,fojēru
lanloup,ランルー,ranrū
heller,エレール,erēru
touraine,トゥーレーヌ,tūrēnu
cucugnan,キュキュニャン,kyukyunyan
les films du losange,レ・フィルム・デュ・ローザンジュ,re・firumu・dyu・rōzanju
la saunière,ラ・ソニエール,ra・soniēru
gèdre,ジェドル,jedoru
quend,カン,kan
carlat,カルラ,karura
rue,リュ,ryu
royat,ロワイヤ,rowaiya
saran,サラン,saran
vénéjan,ヴェネジャン,vuェnejan
bibracte,ビブラクテ,biburakute
castel béranger,カステル・ベランジェ,kasuteru・beranje
geaune,ジョーヌ,jōnu
soustons,スーストン,sūsuton
puy de dôme,ピュイ・ド・ドーム,pyui・do・dōmu
le pellerin,ル・ペルラン,ru・peruran
aérospatiale,アエロスパシアル,aerosupashiaru
corbigny,コルビニー,korubinī
seclin,スクラン,sukuran
institut jeannicod,ジャン・ニコケンキュウジョ,jan・nikokenkyuujo
mamers,マメール,mamēru
villars,ヴィラール,virāru
machecoul,マシュクール,mashukūru
couëron,クエロン,kueron
mauges,モージュ,mōju
mazamet,マザメ,mazame
dalakhani,ダラカニ,darakani
maillezais,マイユゼ,maiyuze
maintenon,マントノン,mantonon
trophée des champions,トロフェ・デ・シャンピオン,torofe・de・shanpion
culhat,キュラ,kyura
légifrance,レジフランス,rejifuransu
la turballe,ラ・テュルバル,ra・tyurubaru
fumichon,フュミション,fyumishon
crossair,クロスエア,kurosuea
cluses,クリューズ,kuryūzu
sainteeulalie,サントゥラリー,santurarī
itxassou,イチャスー,ichasū
belmont,ベルモン,berumon
lexisnexis,レクシスネクシス,rekushisunekushisu
argonne,アルゴンヌモリ,arugonnumori
ascq,アスク,asuku
xilam,シーラム,shīramu
la pagode,ラ・パゴッド,ra・pagoddo
critérium du dauphiné,クリテリウム・デュ・ドフィネ,kuriteriumu・dyu・dofine
pietraserena,ピエトラズルナ,pietorazuruna
mauléon,モレオン,moreon
wassy,ヴァシー,vashī
forêt charbonnière,シルウァ・カルボナリア,shiruuァ・karubonaria
vimoutiers,ヴィムティエ,vimutie
maulévrier,モレヴリエ,morevurie
solido,ソリド,sorido
eraines,エレーヌ,erēnu
route adélie de vitré,ルート・アデリ・ド・ヴィトレ,rūto・aderi・do・vitore
tierceville,ティエルスヴィル,tierusuviru
tikehau,ティケハウカンショウ,tikehaukanshou
taillebourg,タイユブール,taiyubūru
saintalexandre,サンタレクサンドル,santarekusandoru
bouzeron,ブズロン,buzuron
montsoreau,モンソロー,monsorō
nîmes olympique,ニーム・オリンピック,nīmu・orinpikku
pommiersenforez,ポミエ,pomie
lombers,ロンベール,ronbēru
houbigant,ウビガン,ubigan
panhard,パナール,panāru
aubergenville,オーベルジャンヴィル,ōberujanviru
gold beach,ゴールド・ビーチ,gōrudo・bīchi
le pin,ル・パン,ru・pan
cité du train,シテ・デュ・トラン,shite・dyu・toran
quérigut,ケリギュ,kerigyu
labourd,ラブール,rabūru
salers,サレール,sarēru
vallica,ヴァリカ,varika
champtoceaux,シャントソー,shantosō
audincourt,オダンクール,odankūru
aÿ,アイ,ai
serverette,セルヴレット,seruvuretto
maine,メーヌ,mēnu
charlieu,シャルリュー,sharuryū
lauresses,ロレッス,roressu
bonapartisme,ボナパルティズム,bonaparutizumu
lip,リップ,rippu
cheverny,シュヴェルニー,shuvuェrunī
dampierre,ダンピエール,danpiēru
lanarvily,ラナルヴィリー,ranaruvirī
minerve,ミネルヴ,mineruvu
chardonnay,シャルドネ,sharudone
rivesaltes,リヴザルト,rivuzaruto
guéthary,ゲタリー,getarī
soule,スール,sūru
le barcarès,ル・バルカレス,ru・barukaresu
gameloft,ゲームロフト,gēmurofuto
tautavel,トータヴェル,tōtavuェru
oïrats,オイラト,oirato
quilly,キリー,kirī
arkema,アルケマ,arukema
la bastide,ラ・バスティッド,ra・basutiddo
prix louisdelluc,ルイ・デリュックショウ,rui・deryukkushou
drubec,ドリュベック,doryubekku
glanum,グラヌム,guranumu
banvillars,バンヴィラール,banvirāru
interflora,インターフローラ,intāfurōra
noirétable,ノワレターブル,nowaretāburu
sofitel,ソフィテル,sofiteru
brie de meaux,ブリー・ド・モー,burī・do・mō
bazar de la charité,バザール・ド・ラ・シャリテ,bazāru・do・ra・sharite
le marais,ル・マレ,ru・mare
hôtel de crillon,ホテル・ド・クリオン,hoteru・do・kurion
donges,ドンジュ,donju
arfons,アルフォン,arufon
bonnemaison,ボヌメゾン,bonumezon
milhars,ミラール,mirāru
lyria,リリア,riria
la rochefoucauld,ラ・ロシュフコー,ra・roshufukō
saverdun,サヴェルダン,savuェrudan
lamanon,ラマノン,ramanon
merial,メリアル,meriaru
fnac,フナック,funakku
arçais,アルセ,aruse
eurocontrol,オウシュウコウクウコウホウアンゼンキコウ,oushuukoukuukouhouanzenkikou
irancy,イランシー,iranshī
vouillé,ヴイエ,vuie
café procope,カフェ・プロコップ,kafe・purokoppu
luquet,リュケ,ryuke
propriano,プロプリアノ,puropuriano
maurs,モール,mōru
polignac,ポリニャック,porinyakku
guagno,ガーニョ,gānyo
lucciana,リュクシアナ,ryukushiana
maison carrée,メゾン・カレ,mezon・kare
maillot jaune,マイヨ・ジョーヌ,maiyo・jōnu
armand de brignac,アルマン・ド・ブリニャック,aruman・do・burinyakku
paris match,パリ・マッチ,pari・matchi
saintgobain,サンゴバン,sangoban
herbignac,エルビニャック,erubinyakku
pornic,ポルニック,porunikku
maquis,マキ,maki
nouvelleshébrides,キョウドウトウチリョウニューヘブリディーズ,kyoudoutouchiryounyūheburidīzu
salon d'automne,サロン・ドートンヌ,saron・dōtonnu
avessac,アヴェサック,avuェsakku
saugues,ソーグ,sōgu
juliénas,ジュリエナ,juriena
woincourt,ヴォアンクール,vuォankūru
beaupréau,ボープレオ,bōpureo
firfol,フィルフォル,firuforu
beaujeu,ボジュー,bojū
notredame de paris,ノートルダム・ド・パリ,nōtorudamu・do・pari
gallicanisme,ガリカニスム,garikanisumu
giromagny,ジロマニー,jiromanī
oudon,ウドン,udon
stade aurillacois cantal auvergne,スタッド・オーリヤコワ・カンタル・オーヴェルニュ,sutaddo・ōriyakowa・kantaru・ōvuェrunyu
stade rochelais,スタッド・ロシュレ,sutaddo・roshure
choiseul,ショワズール,showazūru
charolais,シャロレー,sharorē
aubrac,オーブラック,ōburakku
givenchy,ジバンシィ,jibanshiィ
atos,アトス,atosu
nougatine,ブリトル,buritoru
rangiroa,ランギロアカンショウ,rangiroakanshou
utah beach,ユタ・ビーチ,yuta・bīchi
bourg,ブール,būru
veolia eau,ヴェオリア・ウォーター,vuェoria・wōtā
brocciu,ブロッチュ,burotchu
objat,オブジャ,obuja
madiran,マディラン,madiran
louveciennes,ルーヴシエンヌ,rūvushiennu
grimaud,グリモー,gurimō
ablancourt,アブランクール,aburankūru
le temple,ル・タンプル,ru・tanpuru
fronton,フロントン,furonton
avis,エイビスレンタカー,eibisurentakā
avrillé,アヴリレ,avurire
oulipo,ウリポ,uripo
aérotrain,アエロトラン,aerotoran
bravia,ブラビア,burabia
aiglun,エグラン,eguran
bic,ビック,bikku
babolat,バボラ,babora
juno beach,ジュノー・ビーチ,junō・bīchi
montrevault,モントルヴォー,montoruvuォー
colomars,コロマール,koromāru
chiroubles,シルーブル,shirūburu
caméra d'or,カメラ・ドール,kamera・dōru
décanation,デカネーション,dekanēshon
calvinet,カルヴィネ,karuvine
corbon,コルボン,korubon
groupe louisdreyfus,ルイ・ドレフュス,rui・dorefyusu
hex'air,エグゼール,eguzēru
patrimonio,パトリモニオ,patorimonio
lhospitalet,ロスピタレ,rosupitare
glay,グレ,gure
castillon,カスティヨン,kasutiyon
maincy,マンシー,manshī
mervent,メルヴァン,meruvan
montpensier,モンパンシエ,monpanshie
lamativie,ラマティヴィ,ramativi
la varenne,ラ・ヴァレンヌ,ra・varennu
marnay,マルネー,marunē
caussols,コソル,kosoru
saintestève,サンテステーヴ,santesutēvu
dzaoudzi,ザウジ,zauji
courmes,クルム,kurumu
bourguignon,ブルギニョン,buruginyon
ytrac,イトラック,itorakku
bastide,バスティッド,basutiddo
bataclan,バタクラン,batakuran
eutelsat,ユーテルサット,yūterusatto
château pichon longueville comtesse de lalande,シャトー・ピション・ロングヴィル・コンテス・ドゥ・ラランド,shatō・pishon・ronguviru・kontesu・du・rarando
boucheron,ブシュロン,bushuron
tillières,ティリエール,tiriēru
gassin,ガッサン,gassan
stade de la mosson,スタッド・ドゥ・ラ・モッソン,sutaddo・du・ra・mosson
pernod ricard,ペルノ・リカール,peruno・rikāru
brains,ブラン,buran
ansost,アンソスト,ansosuto
marigny,マリニー,marinī
chartreuse,シャルトリューズ,sharutoryūzu
vendémiaire,ブドウツキ,budoutsuki
tiffauges,ティフォージュ,tifōju
l'équipe,レキップ,rekippu
bellême,ベレーム,berēmu
ceinture alpine,アルプス・ヒマラヤツクリヤマタイ,arupusu・himarayatsukuriyamatai
savenay,サヴネ,savune
coyolles,コワイヨル,kowaiyoru
plougrescant,プルグレスカン,puruguresukan
beaumonthamel,ボーモンタメル,bōmontameru
commes,コム,komu
soubise,スービーズ,sūbīzu
norolles,ノロル,nororu
fontaine,フォンテーヌ,fontēnu
amfreville,アンフルヴィル,anfuruviru
opio,オピオ,opio
valcanville,ヴァルカンヴィル,varukanviru
périgord,ペリゴール,perigōru
beuchat international,ブッシャー・インターナショナル,busshā・intānashonaru
pouzauges,プゾージュ,puzōju
saintilpize,サンティルピズ,santirupizu
malicorne,マリコルヌ,marikorunu
le luc,ル・リュック,ru・ryukku
delahaye,ドライエ,doraie
erquy,エルキ,eruki
la rotonde,ラ・ロトンド,ra・rotondo
anisy,アニジー,anijī
beaumais,ボーメ,bōme
les rousses,レ・ルース,re・rūsu
saintaffrique,サンタフリク,santafuriku
hommell,ホメル,homeru
mouriez,ムーリエ,mūrie
chablais,シャブレー,shaburē
sées,セー,sē
tancarville,タンカルヴィル,tankaruviru
portauxfrançais,ポルトーフランセ,porutōfuranse
sissonne,シソンヌ,shisonnu
mercurey,メルキュレ,merukyure
auverland,オーバーランド,ōbārando
corbières,コルビエール,korubiēru
durtal,デュルタル,dyurutaru
petit palais,プティ・パレ,puti・pare
cap corse,カップ・コルス,kappu・korusu
mephisto,メフィスト,mefisuto
codolet,コドレ,kodore
voujeaucourt,ヴジョクール,vujokūru
berria,ベリア,beria
berry,ベリー,berī
le monde diplomatique,ル・モンド・ディプロマティーク,ru・mondo・dipuromatīku
condrieu,コンドリュー,kondoryū
clarbec,クラルベック,kurarubekku
coupvray,クヴレ,kuvure
pontigny,ポンティニー,pontinī
oô,オウ,ou
hauteville,オートヴィル,ōtoviru
choranche,ショランシュ,shoranshu
chozeau,ショゾー,shozō
chanas,シャナ,shana
delsey,デルセー,derusē
besson,ベッソン,besson
lichères,リシェール,rishēru
mouchamps,ムーシャン,mūshan
montaigu,モンテギュ,montegyu
coaraze,コアラーズ,koarāzu
la madeleine,ラ・マドレーヌ,ra・madorēnu
christofle,クリストフル,kurisutofuru
canal saintmartin,サン・マルタンウンガ,san・marutanunga
cahiers du cinéma,カイエ・デュ・シネマ,kaie・dyu・shinema
bresse,ブレス,buresu
kering,ケリング,keringu
euronext,ユーロネクスト,yūronekusuto
consulat,ミツルリョウセイフ,mitsururyouseifu
seyne,セーヌ,sēnu
charly,シャルリー,sharurī
légitimisme,レジティミスム,rejitimisumu
canapville,カナップヴィル,kanappuviru
grande roue de paris,グランド・ルー・ド・パリ,gurando・rū・do・pari
bleu d'auvergne,ブルー・ドーヴェルニュ,burū・dōvuェrunyu
gaumont,ゴーモン,gōmon
sevenans,セヴナン,sevunan
dragons catalans,カタラン・ドラゴンズ,kataran・doragonzu
brie,ブリー,burī
cahus,キャユ,kyayu
montsec,モンセック,monsekku
valdoie,ヴァルドワ,varudowa
bazoches,バゾシュ,bazoshu
paris plages,パリ・プラージュ,pari・purāju
olympia,オランピア,oranpia
brioche,ブリオッシュ,buriosshu
orchestre national d'îledefrance,イル・ド・フランスコクリツカンゲンガクダン,iru・do・furansukokuritsukangengakudan
boucles de la mayenne,ブックル・ドゥ・ラ・マイエンヌ,bukkuru・du・ra・maiennu
valsemé,ヴァルズメ,varuzume
pomerol,ポムロール,pomurōru
bouygues,ブイグ,buigu
kenzo,ケンゾー,kenzō
cabardès,カバルデス,kabarudesu
longvillers,ロンヴィレール,ronvirēru
manerbe,マネルブ,manerubu
eus,エウス,eusu
tour de corse,ツール・ド・コルス,tsūru・do・korusu
isle,イル,iru
monteille,モンテイユ,monteiyu
scor,スコール,sukōru
la tombe,ラ・トンブ,ra・tonbu
vétheuil,ヴェトゥイユ,vuェtuiyu
ibis,イビス,ibisu
plaine,ヘイゲンハ,heigenha
puisseguin,ピュイスガン,pyuisugan
biron,ビロン,biron
jeuxey,ジュセ,juse
chasselas,シャスラ,shasura
forum des halles,フォーラム・デ・アル,fōramu・de・aru
legé,ルジェ,ruje
lacaune,ラコーヌ,rakōnu
fougerolles,フジュロル,fujuroru
esclauzels,エスクロゼル,esukurozeru
uchaux,ユショー,yushō
montpellier handball,モンペリエ・ハンドボール,monperie・handobōru
prompsat,プロンプサ,puronpusa
harki,アルキ,aruki
lanvin,ランバン,ranban
moulin de la galette,ムーラン・ド・ラ・ギャレット,mūran・do・ra・gyaretto
grand paris express,グラン・パリ・エクスプレス,guran・pari・ekusupuresu
bénéteau,ベネトウ,benetou
oiron,オワロン,owaron
monestiés,モネスティエ,monesutie
montdragon,モンドラゴン,mondoragon
diors,ディオール,diōru
journal des savants,ジュルナル・デ・サヴァン,jurunaru・de・savan
lycée condorcet,リセ・コンドルセ,rise・kondoruse
terssac,テルサック,terusakku
espédaillac,エスペダイヤック,esupedaiyakku
valrhona,ヴァローナ,varōna
circuit bugatti,ブガッティ・サーキット,bugatti・sākitto
castres olympique,カストル・オランピック,kasutoru・oranpikku
la tourlandry,ラ・トゥールランドリー,ra・tūrurandorī
brun motorsport,ブルン・モータースポーツ,burun・mōtāsupōtsu
celine,セリーヌ,serīnu
hallencourt,アランクール,arankūru
potez,ポテ,pote
circuit d'albi,アルビ・サーキット,arubi・sākitto
provence rugby,プロヴァンス・ラグビー,purovansu・ragubī
demibrigade,ハンリョダン,hanryodan
capgemini,キャップジェミニ,kyappujemini
energy cities,エネルギー・シティーズ,enerugī・shitīzu
pluguffan,プリュギュファン,puryugyufan
la clotte,ラ・クロット,ra・kurotto
cilaos,シラオス,shiraosu
avène,アヴェンヌ,avuェnnu
charlie hebdo,シャルリー・エブド,sharurī・ebudo
rapsodie,ラプソディ,rapusodi
poitou,ポワトゥー,powatū
université panthéonsorbonne,パンテオン・ソルボンヌダイガク,panteon・sorubonnudaigaku
goujounac,グジュナック,gujunakku
allassac,アラサック,arasakku
circuit cycliste sarthepays de la loire,レジオン・ペイ・ド・ラ・ロワール・ツール,rejion・pei・do・ra・rowāru・tsūru
ventoux,ヴァントゥー,vantū
beauvoir,ボーヴォワール,bōvuォwāru
le port,ル・ポール,ru・pōru
montricoux,モントリクー,montorikū
balma,バルマ,baruma
gerboise bleue,ジェルボアーズ・ブルー,jeruboāzu・burū
corsept,コルセプト,koruseputo
tucquegnieux,テュクニュー,tyukunyū
barbechat,バルブシャ,barubusha
buffet crampon,ビュッフェ・クランポン,byuffe・kuranpon
la godivelle,ラ・ゴディヴェル,ra・godivuェru
angos,アンゴ,ango
barbâtre,バルバトル,barubatoru
beaufou,ボーフー,bōfū
arcinges,アルサンジュ,arusanju
aiguilhe,エギル,egiru
évian,エビアン,ebian
bizonnes,ビゾンヌ,bizonnu
stade de la beaujoire,スタッド・ドゥ・ラ・ボージョワール,sutaddo・du・ra・bōjowāru
sakhee,サキー,sakī
cenon,スノン,sunon
francs,フラン,furan
bérurier noir,ベルーリエ・ノワール,berūrie・nowāru
bosville,ボスヴィル,bosuviru
la défense,ラ・デファンス,ra・defansu
loudenvielle,ルダンヴィエル,rudanvieru
majastres,マジャストル,majasutoru
saintantoine,サンタントワーヌ,santantowānu
amirat,アミラ,amira
fourneaux,フルノー,furunō
briennon,ブリエノン,burienon
dargoire,ダルゴワール,darugowāru
valmy,ヴァルミー,varumī
vigeois,ヴィジョワ,vijowa
chavanges,シャヴァンジュ,shavanju
chantonnay,シャントネー,shantonē
charantonnay,シャラントネー,sharantonē
laguiole,ラギオール,ragiōru
hastingues,アスタング,asutangu
château mouton rothschild,シャトー・ムートン・ロートシルト,shatō・mūton・rōtoshiruto
égyptiens,エジプトミンゾク,ejiputominzoku
orist,オリスト,orisuto
cologne,コローニュ,korōnyu
cohabitation,コアビタシオン,koabitashion
bermonville,ベルモンヴィル,berumonviru
château margaux,シャトー・マルゴー,shatō・marugō
lavaufranche,ラヴォーフランシュ,ravuォーfuranshu
eymoutiers,エムティエ,emutie
chemin,シュマン,shuman
vignols,ヴィニョル,vinyoru
antichan,アンティシャン,antishan
jouillat,ジュイヤ,juiya
neuvic,ヌヴィック,nuvikku
café guerbois,カフェ・ゲルボワ,kafe・gerubowa
touvois,トゥーヴォワ,tūvuォwa
bouvines,ブーヴィーヌ,būvīnu
café de flore,カフェ・ド・フロール,kafe・do・furōru
le dôme,ル・ドーム,ru・dōmu
café de la nouvelle athènes,カフェ・ド・ラ・ヌーヴェル・アテーヌ,kafe・do・ra・nūvuェru・atēnu
montesquieu,モンテスキュー,montesukyū
calviac,カルヴィアック,karuviakku
tour du limousinpérigordnouvelleaquitaine,ツール・デュ・リムザン,tsūru・dyu・rimuzan
lapalud,ラパリュー,raparyū
circuit des mines,シルキュイ・ド・ロレーヌ,shirukyui・do・rorēnu
calisson,カリソン,karison
châtelais,シャトレ,shatore
pontcirq,ポンシル,ponshiru
guchan,ギュシャン,gyushan
pomarède,ポマレード,pomarēdo
gembrie,ジャンブリ,janburi
cité de l'espace,シテ・ド・レスパス,shite・do・resupasu
pescadoires,ペスカドワール,pesukadowāru
cambayrac,カンベラック,kanberakku
berganty,ベルガンティ,beruganti
couffé,クフェ,kufe
francoulès,フランクーレ,furankūre
vernonvilliers,ヴェルノンヴィリエ,vuェrunonvirie
planioles,プラニオル,puranioru
claque,クラック,kurakku
unieux,ユニウー,yuniū
concert spirituel,コンセール・スピリチュエル,konsēru・supirichueru
flaugnac,フロニャック,furonyakku
camboulit,カンブリ,kanburi
roazhon park,ロアゾン・パルク,roazon・paruku
france télévisions,フランス・テレビジョン,furansu・terebijon
positif,ポジティフ,pojitifu
la bourgogne,ラ・ブルゴーニュ,ra・burugōnyu
vivendi,ヴィヴェンディ,vivuェndi
chaumesnil,ショメニル,shomeniru
lévigny,レヴィニー,revinī
chloé,クロエ,kuroe
maison joseph drouhin,メゾン・ジョセフ・ドルーアン,mezon・josefu・dorūan
désertines,デゼルティーヌ,dezerutīnu
institut henripoincaré,アンリ・ポアンカレケンキュウジョ,anri・poankarekenkyuujo
minitel,ミニテル,miniteru
commequiers,コムキエ,komukie
chorale roanne basket,コラール・ロアンヌ・バスケット,korāru・roannu・basuketto
chessy,シェシー,sheshī
l'humanité,リュマニテ,ryumanite
fromelennes,フロムレンヌ,furomurennu
camembert de normandie,カマンベール・ド・ノルマンディ,kamanbēru・do・norumandi
ricarville,リカルヴィル,rikaruviru
courrier international,クーリエ・アンテルナショナル,kūrie・anterunashonaru
queuille,クイユ,kuiyu
côte basque,コスタ・バスカ,kosuta・basuka
vendée globe,ヴァンデ・グローブ,vande・gurōbu
lecci,レクシ,rekushi
sword beach,ソード・ビーチ,sōdo・bīchi
villandry,ヴィランドリー,virandorī
coupe charles drago,クープ・シャルル・ドラゴ,kūpu・sharuru・dorago
le chat noir,ル・シャ・ノワール,ru・sha・nowāru
thil,ティル,tiru
crau,クローヘイヤ,kurōheiya
noailles,ノアイユ,noaiyu
fresnay,フレネイ,furenei
bélesta,ベレスタ,beresuta
crazy horse,クレイジー・ホース,kureijī・hōsu
guainville,ガンヴィル,ganviru
la machine,ラ・マシーヌ,ra・mashīnu
pontgouin,ポングアン,ponguan
la bataille,ラ・バタイユ,ra・bataiyu
solférino,ソルフェリノ,soruferino
yves,イヴ,ivu
château clerc milon,シャトー・クレール・ミロン,shatō・kurēru・miron
château cheval blanc,シャトー・シュヴァル・ブラン,shatō・shuvaru・buran
landivy,ランディヴィ,randivi
châteauroux classic de l'indre,シャトールー・クラシック・ド・ランドル,shatōrū・kurashikku・do・randoru
château d'yquem,シャトー・ディケム,shatō・dikemu
montgiscard,モンジスカール,monjisukāru
château latour,シャトー・ラトゥール,shatō・ratūru
château lafite rothschild,シャトー・ラフィット・ロートシルト,shatō・rafitto・rōtoshiruto
poissons,ポワソン,powason
creissels,クレセル,kureseru
douaumont,ドゥオモン,duomon
artesia,アルテシア,aruteshia
patinoire polesud,ペティノワール・ポレサッド,petinowāru・poresaddo
varades,ヴァラド,varado
vieillevigne,ヴィエイユヴィーニュ,vieiyuvīnyu
crush's coaster,クラッシュ・コースター,kurasshu・kōsutā
les cerqueux,レ・セルクー,re・serukū
seine,セーヌケン,sēnuken
lorris,ロリス,rorisu
daumeray,ドムレ,domure
écuillé,エキュイエ,ekyuie
lyonnais,リヨネー,riyonē
crêt de la neige,クレ・ド・ラ・ネージュ,kure・do・ra・nēju
villequier,ヴィルキエ,virukie
montjoi,モンジョワ,monjowa
bouchemaine,ブシュメーヌ,bushumēnu
grand'landes,グランランド,guranrando
avoise,アヴォワーズ,avuォwāzu
bordeaux métropole,ボルドー・メトロポール,borudō・metoropōru
valeo,ヴァレオ,vareo
via campesina,ビア・カンペシーナ,bia・kanpeshīna
la clayette,ラ・クレイェット,ra・kureyetto
gâtinais,ガティネ,gatine
eiffage,エファージュ,efāju
solesmes,ソレム,soremu
l'illustration,イリュストラシオン,iryusutorashion
livarot,リヴァロ,rivaro
galerie vivienne,ギャルリ・ヴィヴィエンヌ,gyaruri・viviennu
mulsanne,ミュルサンヌ,myurusannu
lanterne rouge,ランテルヌ・ルージュ,ranterunu・rūju
théâtrelibre,ジユウゲキジョウ,jiyuugekijou
la folle journée,ラ・フォル・ジュルネ,ra・foru・jurune
dassault systèmes,ダッソー・システムズ,dassō・shisutemuzu
cerizay,セリゼ,serize
latronquière,ラトロンキエール,ratoronkiēru
lagardelle,ラギャルデル,ragyaruderu
lamagdelaine,ラマグドレーヌ,ramagudorēnu
naval group,ナバル・グループ,nabaru・gurūpu
aiguefonde,エグフォンド,egufondo
montlouis,モンルイ,monrui
lister storm,リスター・ストーム,risutā・sutōmu
hennessy,ヘネシー,heneshī
l'estaque,エスタック,esutakku
époisses,エポワス,epowasu
nieuport,ニューポール,nyūpōru
maxim's,マキシム,makishimu
ménigoute,メニグート,menigūto
prix sophiegermain,ソフィー・ジェルマンショウ,sofī・jerumanshou
soufrière,スフリエールサン,sufuriērusan
neufchâtel,ヌシャテル,nushateru
flamanville,フラマンヴィル,furamanviru
fourme de montbrison,フルム・ド・モンブリゾン,furumu・do・monburizon
fourme d'ambert,フルム・ダンベール,furumu・danbēru
la jumellière,ラ・ジュメリエール,ra・jumeriēru
ingrandes,アングランド,angurando
la jubaudière,ラ・ジュボディエール,ra・jubodiēru
le fuilet,ル・フュイレ,ru・fyuire
nancyuniversité,ナンシーダイガク,nanshīdaigaku
miss france,ミス・フランス,misu・furansu
feneu,フヌー,funū
dragée,ドラジェ,doraje
broc,ブロック,burokku
enragés,アンラジェ,anraje
messageries maritimes,メサジュリ・マリティム,mesajuri・maritimu
ensigné,アンシニェ,anshiniェ
pont louisphilippe,ルイ・フィリップキョウ,rui・firippukyou
dunkerque handball grand littoral,ダンケルク・ハンドボール・グランド・リトラル,dankeruku・handobōru・gurando・ritoraru
duo normand,デュオ・ノルマン,dyuo・noruman
elipsos,エリプソス,eripusosu
derny,デルニー,derunī
la rochette,ラ・ロシェット,ra・roshetto
le coteau,ル・コトー,ru・kotō
harmonia mundi,ハルモニア・ムンディ,harumonia・mundi
lagons de nouvellecalédonie,ニューカレドニア・バリア・リーフ,nyūkaredonia・baria・rīfu
tel quel,テル・ケル,teru・keru
soudan,スーダン,sūdan
préfailles,プレファイユ,purefaiyu
paimbœuf,パンブフ,panbufu
le pouliguen,ル・プリガン,ru・purigan
vertaizon,ヴェルテゾン,vuェrutezon
les touches,レ・トゥーシュ,re・tūshu
ladurée,ラデュレ,radyure
félibrige,フェリブリージュ,feriburīju
col du petitsaintbernard,プチ・サン・ベルナールトウゲ,puchi・san・berunārutouge
fakarava,ファカラヴァカンショウ,fakaravakanshou
bourgogne,ブルゴーニュ,burugōnyu
tillé,ティレ,tire
coulon,クロン,kuron
vignemale,ヴィニュマール,vinyumāru
lezoux,ルズー,ruzū
menat,ムナ,muna
plan international,プラン・インターナショナル,puran・intānashonaru
unité d'habitation,ユニテ・ダビタシオン,yunite・dabitashion
soullans,スラン,suran
eurosatory,ユーロサトリ,yūrosatori
tour du doubs,ツール・デュ・ドゥー,tsūru・dyu・dū
malleval,マルヴァル,maruvaru
union sacrée,ユニオン・サクレ,yunion・sakure
montespan,モンテスパン,montesupan
réalmont,レアルモン,rearumon
fleurie,フルーリー,furūrī
sophia antipolis,ソフィア・アンティポリス,sofia・antiporisu
briatexte,ブリアテクスト,buriatekusuto
yzernay,イゼルネ,izerune
yyrkoon,イイルクーン,iirukūn
lussac saintémilion,リュサック・サンテミリオン,ryusakku・santemirion
villemoisan,ヴィルモワザン,virumowazan
le monastère,ル・モナステール,ru・monasutēru
villebernier,ヴィルベルニエ,viruberunie
villevêque,ヴィレヴェック,virevuェkku
le longeron,ル・ロンジュロン,ru・ronjuron
la renaudière,ラ・ルノーディエール,ra・runōdiēru
la pommeraye,ラ・ポムレー,ra・pomurē
la poitevinière,ラ・ポワトヴィニエール,ra・powatoviniēru
médoc,メドック,medokku
nyoiseau,ニヨワゾー,niyowazō
marcillac,マルシヤック,marushiyakku
bessières,ベシエール,beshiēru
mouais,ムエ,mue
rubis,リュビ,ryubi
masters d'orléans,オルレアン・マスターズ,orurean・masutāzu
tara,タラ,tara
nivernais,ニヴェルネー,nivuェrunē
heuliez,ユーリエ,yūrie
la séguinière,ラ・セギニエール,ra・seginiēru
vinzelles,ヴァンゼル,vanzeru
alix,アリックス,arikkusu
mostuéjouls,モステュエジュル,mosutyuejuru
l'orbrie,ロルブリー,roruburī
gleizé,グルエーズ,guruēzu
jallais,ジャレ,jare
pampelonne,パンプロンヌ,panpuronnu
vezins,ヴザン,vuzan
vexin,ヴェクサン,vuェkusan
gymnote,ジムノート,jimunōto
hellbourg,エルブール,erubūru
pleyel,プレイエル,pureieru
vinci,ヴァンシ,vanshi
sodexo,ソデクソ,sodekuso
vantiva,テクニカラー,tekunikarā
nina ricci,ニナ・リッチ,nina・ritchi
salles,サール,sāru
puycelsi,ピュイセルシ,pyuiserushi
belleville,ベルヴィル,beruviru
au lapin agile,オ・ラパン・アジル,o・rapan・ajiru
uchentein,ユシャンタン,yushantan
farandole,ファランドール,farandōru
mataiva,マタイヴァカンショウ,mataivakanshou
essilor,エシロール,eshirōru
lagardère,ラガルデール,ragarudēru
gaveau,ガヴォー,gavuォー
gecina,ジェシナ,jeshina
gant,ガント,ganto
gnawa diffusion,グナワ・ディフュージョン,gunawa・difyūjon
shakespeare and company,シェイクスピア・アンド・カンパニーショテン,sheikusupia・ando・kanpanīshoten
la coupole,ラ・クーポール,ra・kūpōru
elf aquitaine,エルフ・アキテーヌ,erufu・akitēnu
méditerranée,メディテラネケン,mediteraneken
française des jeux,フランセーズ・デ・ジュー,furansēzu・de・jū
outremer la première,レゾ・フランス・ウートゥルメール,rezo・furansu・ūturumēru
palais de tokyo,パレ・ド・トーキョー,pare・do・tōkyō
printemps,プランタン,purantan
gnome et rhône,ノーム・エ・ローヌ,nōmu・e・rōnu
bugey,ビュジェ,byuje
saintandré,サンタンドレ,santandore
