inna,茵娜,yīn nà
bálint adorjáni,巴尔林特·阿多贾尼,bā ěr lín tè · ā duō jiǎ ní
bogdan aurescu,博格丹·奥雷斯库,bó gé dān · ào léi sī kù
elisa știrbei,埃莉萨·布勒蒂亚努,āi lì sà · bù lè dì yà nǔ
dan condrea,丹·康德里亚,dān · kāng dé lǐ yà
vergil chițac,韦尔吉列·基察克,wéi ěr jí liè · jī chá kè
olguța berbec,奥古塔·贝尔贝克,ào gǔ tǎ · bèi ěr bèi kè
adrian ovidiu teban,阿德里安·奥维迪乌·特班,ā dé lǐ ān · ào wéi dí wū · tè bān
adrian văncică,艾德里安·凡希加,ài dé lǐ ān · fán xī jiā
răzvan marin,拉兹万·马林,lā zī wàn · mǎ lín
daniel buzdugan,丹尼尔·布资杜甘,dān ní ěr · bù zī dù gān
ion chelaru,伊昂·切拉鲁,yī áng · qiè lā lǔ
nelu bălășoiu,内罗·伯勒绍尤,nèi luó · bǎi lè shào yóu
răzvan ciobanu,勒兹万·乔巴努,lè zī wàn · qiáo bā nǔ
lumi docan,鲁米妮塔·多坎,lǔ mǐ nī tǎ · duō kǎn
constantin bărbulescu,康斯坦丁·布尔布雷斯库,kāng sī tǎn dīng · bù ěr bù léi sī kù
florinel coman,弗洛里内尔·科曼,fú luò lǐ nèi ěr · kē màn
nicolae soare,尼可拉·索阿雷,ní kě lā · suǒ ā léi
mihai voicu,米哈伊·沃伊库,mǐ hā yī · wò yī kù
anca pop,安卡·波普,ān kǎ · bō pǔ
bogdan mirică,博格丹·马里卡,bó gé dān · mǎ lǐ kǎ
cosmin alin popescu,科斯敏·阿林·波佩斯库,kē sī mǐn · ā lín · bō pèi sī kù
ilinca călugăreanu,伊琳卡·卡卢加雷亚努,yī lín kǎ · kǎ lú jiā léi yà nǔ
adrian romcescu,阿德里安·罗姆斯库,ā dé lǐ ān · luó mǔ sī kù
mircea romcescu,米尔恰·罗姆斯库,mǐ ěr qià · luó mǔ sī kù
constantin tutunaru,康斯坦丁·图图纳鲁,kāng sī tǎn dīng · tú tú nà lǔ
patriciu achimașcadariu,帕特里克·阿奇玛什卡达留,pà tè lǐ kè · ā qí mǎ shén kǎ dá liú
vlad voiculescu,弗拉德·沃库列斯库,fú lā dé · wò kù liè sī kù
robert alexander baer,罗伯特·亚历山大·贝尔,luó bǎi tè · yà lì shān dà · bèi ěr
ilinca băcilă,伊琳卡·贝西拉,yī lín kǎ · bèi xī lā
nicolae constantin tănase,尼古拉·科斯坦丁·塔纳塞,ní gǔ lā · kē sī tǎn dīng · tǎ nà sāi
minelli,米内利,mǐ nèi lì
benoni ardelean,本奥尼·阿德莱恩,běn ào ní · ā dé lái ēn
florin lazarescu,弗洛林·拉扎雷斯库,fú luò lín · lā zhā léi sī kù
alex florea,亚历克斯·弗洛瑞亚,yà lì kè sī · fú luò ruì yà
dennis man,丹尼斯·曼,dān ní sī · màn
eugenia șerban,欧亨尼娅·塞尔班,ōu hēng ní yà · sāi ěr bān
andrei burcă,安德雷·布尔卡,ān dé léi · bù ěr kǎ
marius panduru,马吕斯·潘杜鲁,mǎ lǚ sī · pān dù lǔ
marius marin,马里乌斯·马林,mǎ lǐ wū sī · mǎ lín
dariusadrian postelnicu,达里乌斯阿德里安·波斯特尔尼库,dá lǐ wū sī ā dé lǐ ān · bō sī tè ěr ní kù
bogdan chipirliu,波格丹·奇皮尔鲁,bō gé dān · qí pí ěr lǔ
adina galupa,阿迪娜·加鲁帕,ā dí nà · jiā lǔ pà
ruxandra zenide,鲁珊德拉·泽尼德,lǔ shān dé lā · zé ní dé
iulia rugină,尤利娅·鲁吉纳,yóu lì yà · lǔ jí nà
marcela topor,玛琪拉·德波尔,mǎ qí lā · dé bō ěr
anton tauf,安东·陶夫,ān dōng · táo fū
ovidiu anton,奥维迪乌·安通,ào wéi dí wū · ān tōng
adrianioan veștea,阿德里安伊万·韦什泰亚,ā dé lǐ ān yī wàn · wéi shén tài yà
cesonia postelnicu,切塞尼亚·波斯特尔尼库,qiè sāi ní yà · bō sī tè ěr ní kù
cristina vasiu,克里斯蒂娜·瓦苏,kè lǐ sī dì nà · wǎ sū
andrei ciobanu,安德烈·乔巴努,ān dé liè · qiáo bā nǔ
alexandru cicâldău,亚历山德鲁·西卡尔道,yà lì shān dé lǔ · xī kǎ ěr dào
alexandru mățan,亚历山德鲁·默灿,yà lì shān dé lǔ · mò càn
tudor băluță,杜陀·巴路达,dù tuó · bā lù dá
macanache,马赛南奇,mǎ sài nán qí
adrian ursea,阿德里安·厄西亚,ā dé lǐ ān · è xī yà
remus mărgineanu,雷穆斯·姆尔吉尼亚努,léi mù sī · mǔ ěr jí ní yà nǔ
cristian dumitru crișan,克里斯蒂安·杜米特鲁·克里尚,kè lǐ sī dì ān · dù mǐ tè lǔ · kè lǐ shàng
emilian oprea,艾米利亚·奥普雷亚,ài mǐ lì yà · ào pǔ léi yà
ioana uricaru,约阿娜·乌里卡鲁,yuē ā nà · wū lǐ kǎ lǔ
răzvan mărculescu,拉兹万·马库莱斯库,lā zī wàn · mǎ kù lái sī kù
andrei vlad,安德烈·弗拉德,ān dé liè · fú lā dé
radu petrescu,拉杜·佩特雷斯古,lā dù · pèi tè léi sī gǔ
julia de lucía,朱莉娅·代·露西娅,zhū lì yà · dài · lù xī yà
alexandra anghel,亚历山德拉·安格尔,yà lì shān dé lā · ān gé ěr
mihai fifor,米哈伊·菲福尔,mǐ hā yī · fēi fú ěr
dani oțil,达妮·奥蒂伊,dá nī · ào dì yī
răzvan simion,勒兹万·西米翁,lè zī wàn · xī mǐ wēng
florin roman,弗洛林·罗曼,fú luò lín · luó màn
emil rengle,埃米尔·连格尔,āi mǐ ěr · lián gé ěr
constantin radu,康斯坦丁·拉杜,kāng sī tǎn dīng · lā dù
mariusconstantin budăi,马吕斯康斯坦丁·布戴,mǎ lǚ sī kāng sī tǎn dīng · bù dài
allen coliban,艾伦·科利班,ài lún · kē lì bān
sînziana nicola,森济娅娜·尼古拉,sēn jì yà nà · ní gǔ lā
florin opritescu,弗洛林·奥普捷列斯库,fú luò lín · ào pǔ jié liè sī kù
ionuț grama,伊诺特·格拉玛,yī nuò tè · gé lā mǎ
andrei crețulescu,安德雷·克雷楚列斯库,ān dé léi · kè léi chǔ liè sī kù
feli donose,费利·多诺塞,fèi lì · duō nuò sāi
miriam bulgaru,米丽亚姆·布尔加鲁,mǐ lì yà mǔ · bù ěr jiā lǔ
lucianovidiu heiuș,卢奇安奥维迪乌·海尤什,lú qí ān ào wéi dí wū · hǎi yóu shén
andrei finți,安德烈·芬西,ān dé liè · fēn xī
oltin hurezeanu,奥尔丁·胡雷塞亚努,ào ěr dīng · hú léi sāi yà nǔ
călin ghibu,卡林·吉布,kǎ lín · jí bù
andreea roșca,安德烈娅·罗斯卡,ān dé liè yà · luó sī kǎ
mircea mustață,米尔恰·穆斯塔策,mǐ ěr qià · mù sī tǎ cè
cristian măcelaru,克里斯蒂安·马塞拉鲁,kè lǐ sī dì ān · mǎ sāi lā lǔ
carmen daniela dan,卡门·达妮埃拉·达恩,kǎ mén · dá nī āi lā · dá ēn
ioana flora,伊万娜·弗洛拉,yī wàn nà · fú luò lā
alex dobre,阿历士·杜比尔,ā lì shì · dù bǐ ěr
fatma mohamed,法特玛·穆罕默德,fǎ tè mǎ · mù hǎn mò dé
alina berzunțeanu,阿丽娜·贝尔宗策阿努,ā lì nà · bèi ěr zōng cè ā nǔ
ion haiduc,扬·海杜克,yáng · hǎi dù kè
doru ana,多鲁·安娜,duō lǔ · ān nà
ana maria guran,安娜·玛丽亚·古兰,ān nà · mǎ lì yà · gǔ lán
anca miruna lăzărescu,安卡·米鲁纳·拉扎雷斯库,ān kǎ · mǐ lǔ nà · lā zhā léi sī kù
sergiuvasile bejan,塞尔久·贝让,sāi ěr jiǔ · bèi ràng
viviana grădinaru,薇薇安娜·格拉迪纳鲁,wēi wēi ān nà · gé lā dí nà lǔ
ștefan constantin berariu,斯特凡·康斯坦丁·贝拉留,sī tè fán · kāng sī tǎn dīng · bèi lā liú
ilinca hărnuț,伊林卡·哈特纳,yī lín kǎ · hā tè nà
ingrid bisu,英格丽·比苏,yīng gé lì · bǐ sū
iuliana buhus,尤利安娜·布胡什,yóu lì ān nà · bù hú shén
alina pușcaș,阿丽娜·普什卡什,ā lì nà · pǔ shén kǎ shén
paul negoescu,保罗·内戈埃斯库,bǎo luó · nèi gē āi sī kù
alec secăreanu,阿列克·塞克雷亚努,ā liè kè · sāi kè léi yà nǔ
dana bunescu,达娜·布内斯库,dá nà · bù nèi sī kù
olimpiu moruțan,奥林皮乌·莫鲁坦,ào lín pí wū · mò lǔ tǎn
mihăiță vasile țigănescu,米哈塔·瓦西里·齐格内斯库,mǐ hā tǎ · wǎ xī lǐ · qí gé nèi sī kù
alexandru pașcanu,亚历克斯·帕斯卡努,yà lì kè sī · pà sī kǎ nǔ
ada solomon,阿达·所罗门,ā dá · suǒ luó mén
catrinel dănăiață,卡特里内尔·达纳阿塔,kǎ tè lǐ nèi ěr · dá nà ā tǎ
alexandru cîrneală,亚历山德鲁·西尼亚拉,yà lì shān dé lǔ · xī ní yà lā
florin oancea,弗洛林·万恰,fú luò lín · wàn qià
liviu vârciu,利维乌·瓦尔乔,lì wéi wū · wǎ ěr qiáo
luminița erga,卢米尼塔·埃尔加,lú mǐ ní tǎ · āi ěr jiā
neculai predica,内库莱·普雷迪卡,nèi kù lái · pǔ léi dí kǎ
constantin fugașin,康斯坦丁·弗加辛,kāng sī tǎn dīng · fú jiā xīn
matei dima,马太·迪马,mǎ tài · dí mǎ
theo marton,西奥·马顿,xī ào · mǎ dùn
eneli,埃内利,āi nèi lì
matteo,马特奥,mǎ tè ào
ion gheorghe,扬·格奥尔基,yáng · gé ào ěr jī
silvia kerim,西尔维亚·克里姆,xī ěr wéi yà · kè lǐ mǔ
teodora sava,特奥多拉·萨瓦,tè ào duō lā · sà wǎ
diana dumbravă,黛安娜·敦巴娃,dài ān nà · dūn bā wá
valentin mihăilă,瓦伦丁·米哈伊拉,wǎ lún dīng · mǐ hā yī lā
cătălina curceanu,克特利娜·库尔恰努,kè tè lì nà · kù ěr qià nǔ
maria sava,玛丽亚·萨瓦,mǎ lì yà · sà wǎ
gabriela talabă,加布里埃拉·塔拉伯,jiā bù lǐ āi lā · tǎ lā bǎi
dorin alupei,多林·阿卢佩伊,duō lín · ā lú pèi yī
cornel feruță,科尔内尔·费卢塔,kē ěr nèi ěr · fèi lú tǎ
angela cazac,安杰拉·卡扎克,ān jié lā · kǎ zhā kè
nicolae simion,尼古拉·西米翁,ní gǔ lā · xī mǐ wēng
iulia lumânare,尤利亚·卢曼纳,yóu lì yà · lú màn nà
silvia bădescu,西尔维亚·巴德斯库,xī ěr wéi yà · bā dé sī kù
ilie oanță,伊利耶·万策,yī lì yē · wàn cè
ernest gall,埃内斯特·加尔,āi nèi sī tè · jiā ěr
ion chicu,扬·基库,yáng · jī kù
florica petcu,弗洛丽卡·佩特库多斯皮内斯库,fú luò lì kǎ · pèi tè kù duō sī pí nèi sī kù
georgeta militarumașca,杰奥尔杰塔·米利塔鲁马什卡,jié ào ěr jié tǎ · mǐ lì tǎ lǔ mǎ shén kǎ
collins valentine filimon,柯林斯·瓦伦丁·菲利蒙,kē lín sī · wǎ lún dīng · fēi lì méng
aneta mateisieburg,阿内塔·马泰,ā nèi tǎ · mǎ tài
aurelia marinescu,奥雷利娅·马里内斯库,ào léi lì yà · mǎ lǐ nèi sī kù
rodrig andrisan,罗德里格·安德里森,luó dé lǐ gé · ān dé lǐ sēn
cosmin cernat,考斯敏·塞纳特,kǎo sī mǐn · sāi nà tè
tudor voican,图多尔·沃伊坎,tú duō ěr · wò yī kǎn
liviu mărghidan,利维乌·玛吉丹,lì wéi wū · mǎ jí dān
alyssia kent,艾莉西亚·肯特,ài lì xī yà · kěn tè
nicolae cioroiu,尼古拉·乔洛尤,ní gǔ lā · qiáo luò yóu
victor dican,维克托·迪坎,wéi kè tuō · dí kǎn
cătălin cristuțiu,卡塔林·克里斯图蒂乌,kǎ tǎ lín · kè lǐ sī tú dì wū
gergely kovács,额我略·科瓦奇,é wǒ lüè · kē wǎ qí
adrian zuckerman,阿德里安·祖克曼,ā dé lǐ ān · zǔ kè màn
andrei rațiu,安德烈·拉尤,ān dé liè · lā yóu
oana giurgiu,奥娜·吉尔居,ào nà · jí ěr jū
raluca aprodu,拉卢卡·阿普罗杜,lā lú kǎ · ā pǔ luó dù
ada galeș,阿达·盖尔斯,ā dá · gài ěr sī
bogdan iancu,波格丹·扬库,bō gé dān · yáng kù
gabriel radu,加布里埃尔·拉杜,jiā bù lǐ āi ěr · lā dù
anca dumitra,安卡·杜米特拉,ān kǎ · dù mǐ tè lā
anghel damian,安格尔·达米安,ān gé ěr · dá mǐ ān
constantin diță,科斯坦丁·蒂塔,kē sī tǎn dīng · dì tǎ
daniel petrescu,丹尼尔·佩特雷斯库,dān ní ěr · pèi tè léi sī kù
laurențiu bănescu,劳伦蒂·巴内斯库,láo lún dì · bā nèi sī kù
radu panamarenco,拉杜·巴拿马兰科,lā dù · bā ná mǎ lán kē
corneliu ulici,科尔内留·乌利奇,kē ěr nèi liú · wū lì qí
adrian lustig,阿德里安·卢斯蒂格,ā dé lǐ ān · lú sī dì gé
vlad păunescu,弗拉德·普涅内斯库,fú lā dé · pǔ niè nèi sī kù
claudiu trandafir,克劳迪乌·特兰达菲尔,kè láo dí wū · tè lán dá fēi ěr
crina semciuc,柯丽娜·泽木克友克,kē lì nà · zé mù kè yǒu kè
vlad logigan,弗拉德·洛吉根,fú lā dé · luò jí gēn
levent sali,利文特·萨利,lì wén tè · sà lì
dan nanoveanu,丹·纳瓦努努,dān · nà wǎ nǔ nǔ
călin papură,克林·帕普拉,kè lín · pà pǔ lā
tudor petrut,都铎·彼得鲁特,dōu duó · bǐ dé lǔ tè
vlady cnejevici,弗拉迪·内涅维奇,fú lā dí · nèi niè wéi qí
ionel petrov,约内尔·彼得罗夫,yuē nèi ěr · bǐ dé luó fū
adina pintilie,阿狄娜·潘提琳,ā dí nà · pān tí lín
oprea păunescu,奥普雷亚·珀乌内斯库,ào pǔ léi yà · pò wū nèi sī kù
andrei cordea,安德烈·科尔代亚,ān dé liè · kē ěr dài yà
andrei aradits,安德烈·阿拉丁斯,ān dé liè · ā lā dīng sī
ramona barta,拉莫娜·巴塔,lā mò nà · bā tǎ
rareș lazăr,拉雷斯·拉泽尔,lā léi sī · lā zé ěr
ana radu,安娜·拉杜,ān nà · lā dù
roxen,罗克森,luó kè sēn
nora steriadi,诺拉·斯泰里亚蒂,nuò lā · sī tài lǐ yà dì
madalina constantin,马达丽娜·科斯坦丁,mǎ dá lì nà · kē sī tǎn dīng
mara adina,玛拉·阿迪纳,mǎ lā · ā dí nà
marcian lazar,马尔西安·拉扎尔,mǎ ěr xī ān · lā zhā ěr
cătălin chirilă,克特林·奇里拉,kè tè lín · qí lǐ lā
diana alexandra pocol,戴安娜·亚历山德拉·帕科尔,dài ān nà · yà lì shān dé lā · pà kē ěr
iosif păuleț,若瑟·保莱茨,ruò sè · bǎo lái cí
cristina șerbanionda,克里斯蒂娜·谢尔班,kè lǐ sī dì nà · xiè ěr bān
marcela ursu,马塞拉·乌尔苏,mǎ sāi lā · wū ěr sū
jador,亚多尔,yà duō ěr
dana ciobanu,达纳·乔巴努,dá nà · qiáo bā nǔ
cristina catalina,克里斯蒂娜·卡塔莉娜,kè lǐ sī dì nà · kǎ tǎ lì nà
ionut bora,约努·博拉,yuē nǔ · bó lā
peter kerek,彼得·克雷克,bǐ dé · kè léi kè
cătălina mihai,卡塔琳娜·米哈伊,kǎ tǎ lín nà · mǐ hā yī
elena oprea,埃列娜·奥普雷亚,āi liè nà · ào pǔ léi yà
velvet moraru,弗尔维·莫拉鲁,fú ěr wéi · mò lā lǔ
sorin medeleni,索兰·梅代莱尼,suǒ lán · méi dài lái ní
lászló kerekes,赖笛·凯赖凯什,lài dí · kǎi lài kǎi shén
oana gavrilă,瓦娜·加夫里拉,wǎ nà · jiā fū lǐ lā
dan panaitescu,丹·帕奈特斯库,dān · pà nài tè sī kù
bianca oană,比安卡·奥阿纳,bǐ ān kǎ · ào ā nà
daniel mitulescu,丹尼尔·米图雷斯库,dān ní ěr · mǐ tú léi sī kù
iulianalexandru muraru,亚历山德鲁·穆拉鲁,yà lì shān dé lǔ · mù lā lǔ
cătălin teniță,克特林·泰尼塔,kè tè lín · tài ní tǎ
marian adochiței,马里安·阿多奇切伊,mǎ lǐ ān · ā duō qí qiè yī
madalina anea,马达莉娜·阿妮,mǎ dá lì nà · ā nī
irina fetecău,伊里娜·费泰克乌,yī lǐ nà · fèi tài kè wū
paul damixie,保罗·达米克西,bǎo luó · dá mǐ kè xī
adrian silișteanu,阿德里安·锡利斯特努,ā dé lǐ ān · xī lì sī tè nǔ
lee heart,李·哈特,lǐ · hā tè
vasile ouatu,瓦西里·奥瓦图,wǎ xī lǐ · ào wǎ tú
mihai gruia,米哈伊·格鲁亚,mǐ hā yī · gé lǔ yà
adina stetcu,阿迪娜·斯戴古,ā dí nà · sī dài gǔ
sabina branduse,萨比纳·布兰德斯,sà bǐ nà · bù lán dé sī
andra negulescu,安德拉·内古雷斯库,ān dé lā · nèi gǔ léi sī kù
andreea vasile,安德烈娅·瓦西里,ān dé liè yà · wǎ xī lǐ
sergiu costache,塞尔久·科斯塔凯,sāi ěr jiǔ · kē sī tǎ kǎi
codin maticiuc,科丁·马蒂奇克,kē dīng · mǎ dì qí kè
alin panc,阿林·潘克,ā lín · pān kè
ruxandra porojnicu,鲁桑德拉·波罗尼古,lǔ sāng dé lā · bō luó ní gǔ
maria junghetu,玛丽亚·琼赫图,mǎ lì yà · qióng hè tú
constantin florescu,康斯坦丁·弗洛雷斯库,kāng sī tǎn dīng · fú luò léi sī kù
emanuela ionica,埃马努艾拉·埃恩尼卡,āi mǎ nǔ ài lā · āi ēn ní kǎ
serban cazan,塞班·卡赞,sāi bān · kǎ zàn
mihai mititescu,米哈伊·米蒂特斯库,mǐ hā yī · mǐ dì tè sī kù
ana baniciu,安娜·巴尼丘,ān nà · bā ní qiū
george ulmeni,乔治·乌尔梅尼,qiáo zhì · wū ěr méi ní
dorina done,多丽娜·多内,duō lì nà · duō nèi
vescan,威斯坎,wēi sī kǎn
claudiu târziu,克劳迪乌·塔齐乌,kè láo dí wū · tǎ qí wū
camelia maxim,卡米莉亚·马克西姆,kǎ mǐ lì yà · mǎ kè xī mǔ
dan bădărău,丹·巴达劳,dān · bā dá láo
ela prodan,埃拉·普罗丹,āi lā · pǔ luó dān
ioana picoș,约阿纳·皮科斯,yuē ā nà · pí kē sī
tzancă uraganu,赞卡·乌拉加努,zàn kǎ · wū lā jiā nǔ
ioana mihăilă,约阿纳·米哈伊拉,yuē ā nà · mǐ hā yī lā
mara gae,玛拉·加埃,mǎ lā · jiā āi
adelina pestritu,阿德丽娜·佩斯特里图,ā dé lì nà · pèi sī tè lǐ tú
andreea grămoșteanu,安德烈亚·格拉莫斯蒂亚努,ān dé liè yà · gé lā mò sī dì yà nǔ
victoriaștefania petreanu,维多利亚斯特凡妮娅·彼得雷亚努,wéi duō lì yà sī tè fán nī yà · bǐ dé léi yà nǔ
filip ugran,菲利普·乌格格兰,fēi lì pǔ · wū gé gé lán
liviu săndulescu,利维乌·森杜列斯库,lì wéi wū · sēn dù liè sī kù
sorin cocis,索林·科西斯,suǒ lín · kē xī sī
olivia nita,奥利维娅·尼察,ào lì wéi yà · ní chá
maruca băiașu,马鲁卡·巴亚苏,mǎ lǔ kǎ · bā yà sū
alecs năstoiu,亚历克斯·纳斯托尤,yà lì kè sī · nà sī tuō yóu
theo rose,西奥·罗斯,xī ào · luó sī
cătălin jugravu,卡塔林·朱格拉武,kǎ tǎ lín · zhū gé lā wǔ
mario fresh,马里奥·弗莱什,mǎ lǐ ào · fú lái shén
cosmina păsărin,科斯米娜·帕萨林,kē sī mǐ nà · pà sà lín
dorin zaharia,多林·扎哈里亚,duō lín · zhā hā lǐ yà
mihai răducu,米哈伊·拉杜库,mǐ hā yī · lā dù kù
emaa,埃玛,āi mǎ
liviu cheloiu,利维乌·切罗伊,lì wéi wū · qiè luó yī
alcina dimitrescu,阿尔西娜·迪米特雷斯库,ā ěr xī nà · dí mǐ tè léi sī kù
crenguta hariton,克伦古塔·哈里顿,kè lún gǔ tǎ · hā lǐ dùn
cosmin pădureanu,科斯敏·帕杜里亚努,kē sī mǐn · pà dù lǐ yà nǔ
irina saulescu,伊琳娜·索莱斯库,yī lín nà · suǒ lái sī kù
radu romaniuc,拉杜·罗曼纽克,lā dù · luó màn niǔ kè
cătălin paraschiv,卡塔琳·帕拉西夫,kǎ tǎ lín · pà lā xī fū
aureliu surulescu,奥雷留·苏勒列斯库,ào léi liú · sū lè liè sī kù
dragoș nicolae mădăraș,德拉格什·尼古拉·马达拉什,dé lā gé shén · ní gǔ lā · mǎ dá lā shén
marian ciripan,马里安·西里潘,mǎ lǐ ān · xī lǐ pān
alexandra velniciuc,亚历山德拉·维尔尼丘克,yà lì shān dé lā · wéi ěr ní qiū kè
dumitru chesa,杜米特鲁·切萨,dù mǐ tè lǔ · qiè sà
aida economu,阿依达·埃科诺姆,ā yī dá · āi kē nuò mǔ
ion grosu,伊恩·格罗叙,yī ēn · gé luó xù
costin cambir,科斯丁·坎比尔,kē sī dīng · kǎn bǐ ěr
monica odagiu,莫妮卡·奥达久,mò nī kǎ · ào dá jiǔ
ana odagiu,安娜·奥达久,ān nà · ào dá jiǔ
marcello cobzarju,马塞洛·科布扎茹,mǎ sāi luò · kē bù zhā rú
lucian ghimiși,卢西安·吉米西,lú xī ān · jí mǐ xī
nicu mihoc,尼库·米霍克,ní kù · mǐ huò kè
adrian mazilu,阿德里安·马济卢,ā dé lǐ ān · mǎ jì lú
olga verbitchi,奥尔加·韦尔比奇,ào ěr jiā · wéi ěr bǐ qí
mihaela nestorescu,米哈埃拉·内斯托雷斯库,mǐ hā āi lā · nèi sī tuō léi sī kù
cristian comeagă,克里斯蒂安·科马格,kè lǐ sī dì ān · kē mǎ gé
andia,安迪亚,ān dí yà
rareș ilie,拉雷斯·伊利耶,lā léi sī · yī lì yē
patricia poienaru,帕特里夏·波耶纳鲁,pà tè lǐ xià · bō yē nà lǔ
claudiu mitcu,克劳迪乌·米丘,kè láo dí wū · mǐ qiū
tudor smoleanu,都铎·斯莫利亚努,dōu duó · sī mò lì yà nǔ
theodor andrei,西奥多·安德烈,xī ào duō · ān dé liè
mădălina amăistroaie,马德利娜·阿马伊斯特罗耶,mǎ dé lì nà · ā mǎ yī sī tè luó yē
alexandra poiana,亚历山德拉·波亚纳,yà lì shān dé lā · bō yà nà
meda andreea victor,梅达·安德列亚·维克托,méi dá · ān dé liè yà · wéi kè tuō
emil măndănac,埃米尔·曼达纳克,āi mǐ ěr · màn dá nà kè
vâlcea,沃尔恰县,wò ěr qià xiàn
alba,阿尔巴县,ā ěr bā xiàn
vârghiș,沃尔吉什乡,wò ěr jí shén xiāng
prahova,普拉霍瓦县,pǔ lā huò wǎ xiàn
neamț,尼亚姆茨县,ní yà mǔ cí xiàn
maramureș,马拉穆列什县,mǎ lā mù liè shén xiàn
carașseverin,卡拉什塞维林县,kǎ lā shén sāi wéi lín xiàn
zam,扎姆乡,zhā mǔ xiāng
șoarș,什瓦尔什乡,shén wǎ ěr shén xiāng
cerna,切尔纳乡,qiè ěr nà xiāng
brebu,布雷布乡,bù léi bù xiāng
ungheni,温盖尼,wēn gài ní
teleorman,特列奥尔曼县,tè liè ào ěr màn xiàn
sălaj,瑟拉日县,sè lā rì xiàn
harghita,哈尔吉塔县,hā ěr jí tǎ xiàn
ormeniș,奥尔梅尼什乡,ào ěr méi ní shén xiāng
ilfov,伊尔福夫县,yī ěr fú fū xiàn
dâmbovița,登博维察县,dēng bó wéi chá xiàn
gorj,戈尔日县,gē ěr rì xiàn
olt,奥尔特县,ào ěr tè xiàn
mehedinți,梅赫丁茨县,méi hè dīng cí xiàn
mureș,穆列什县,mù liè shén xiàn
perieți,佩列齐乡,pèi liè qí xiāng
ialomița,雅洛米察县,yǎ luò mǐ chá xiàn
cristian,克里斯蒂安乡,kè lǐ sī dì ān xiāng
bârca,伯尔卡乡,bǎi ěr kǎ xiāng
dolj,多尔日县,duō ěr rì xiàn
fcsb,布加勒斯特星足球俱乐部,bù jiā lè sī tè xīng zú qiú jù lè bù
argeș,阿尔杰什县,ā ěr jié shén xiàn
bihor,比霍尔县,bǐ huò ěr xiàn
bistrițanăsăud,比斯特里察讷瑟乌德县,bǐ sī tè lǐ chá nè sè wū dé xiàn
roman,罗曼,luó màn
faraoani,法拉瓦尼乡,fǎ lā wǎ ní xiāng
slatina,斯拉蒂纳,sī lā dì nà
avrămești,阿夫勒梅什蒂乡,ā fū lè méi shén dì xiāng
alexandria,亚历山德里亚,yà lì shān dé lǐ yà
vrancea,弗朗恰县,fú lǎng qià xiàn
cluj,克卢日县,kè lú rì xiàn
pianu,皮亚努乡,pí yà nǔ xiāng
timiș,蒂米什县,dì mǐ shén xiàn
ștefănești,什泰弗内什蒂,shén tài fú nèi shén dì
crișana,克里沙纳,kè lǐ shā nà
cenei,切内伊乡,qiè nèi yī xiāng
livezi,利韦济乡,lì wéi jì xiāng
băneasa,伯尼亚萨,bǎi ní yà sà
malnaș,马尔纳什乡,mǎ ěr nà shén xiāng
bălăceanu,伯勒恰努乡,bǎi lè qià nǔ xiāng
berceni,贝尔切尼乡,bèi ěr qiè ní xiāng
voinești,沃伊内什蒂乡,wò yī nèi shén dì xiāng
fântânele,芳特内莱乡,fāng tè nèi lái xiāng
păcureți,珀库雷齐乡,pò kù léi qí xiāng
cândești,肯代什蒂乡,kěn dài shén dì xiāng
victoria,维多利亚,wéi duō lì yà
ciolpani,乔尔帕尼乡,qiáo ěr pà ní xiāng
buhoci,布霍奇乡,bù huò qí xiāng
bucureșci,布库雷什奇乡,bù kù léi shén qí xiāng
brusturoasa,布鲁斯图罗阿萨乡,bù lǔ sī tú luó ā sà xiāng
buceș,布切什乡,bù qiè shén xiāng
mănești,默内什蒂乡,mò nèi shén dì xiāng
bunila,布尼拉乡,bù ní lā xiāng
burjuc,布尔茹克乡,bù ěr rú kè xiāng
lapoș,拉波什乡,lā bō shén xiāng
posești,波塞什蒂乡,bō sāi shén dì xiāng
ponoarele,波诺阿雷莱乡,bō nuò ā léi lái xiāng
paleu,帕莱乌乡,pà lái wū xiāng
costești,科斯泰什蒂,kē sī tài shén dì
glod,歌罗德村,gē luó dé cūn
fulga,富尔加乡,fù ěr jiā xiāng
bătrâni,伯特勒尼乡,bǎi tè lè ní xiāng
buciumi,布丘米乡,bù qiū mǐ xiāng
moisei,莫伊塞乡,mò yī sāi xiāng
sălciua,瑟尔恰瓦乡,sè ěr qià wǎ xiāng
stolpersteine,绊脚石,bàn jiǎo shí
mamaia,马马亚,mǎ mǎ yà
comișani,科米沙尼乡,kē mǐ shā ní xiāng
gherghița,盖吉察乡,gài jí chá xiāng
butimanu,布蒂马努乡,bù dì mǎ nǔ xiāng
lungești,伦杰什蒂乡,lún jié shén dì xiāng
cosminele,科斯米内莱乡,kē sī mǐ nèi lái xiāng
sântandrei,圣安德烈乡,shèng ān dé liè xiāng
cerașu,切拉舒乡,qiè lā shū xiāng
cetate,切塔泰乡,qiè tǎ tài xiāng
ceptura,切普图拉乡,qiè pǔ tú lā xiāng
ciorani,乔拉尼乡,qiáo lā ní xiāng
bătrâna,伯特勒纳乡,bǎi tè lè nà xiāng
asău,阿瑟乌乡,ā sè wū xiāng
almaș,阿尔马什乡,ā ěr mǎ shén xiāng
