孙,sūn
洛子峰,luò zǐ fēng
唐山大地震,táng shān dà dì zhèn
彝族,yí zú
响水县,xiǎng shuǐ xiàn
广东宏远足球俱乐部,guǎng dōng hóng yuǎn zú qiú jù lè bù
麦盖提县,mài gài tí xiàn
大箐山县,dà jīng shān xiàn
马卡鲁峰,mǎ kǎ lǔ fēng
隆安县,lóng ān xiàn
卓奥友峰,zhuó ào yǒu fēng
上海地铁,shàng hǎi dì tiě
黄鹤楼,huáng hè lóu
重阳节,chóng yáng jié
香港资优教育学苑,xiāng gǎng zī yōu jiào yù xué yuàn
乳源瑶族自治县,rǔ yuán yáo zú zì zhì xiàn
石硖尾邨,shí xiá wěi cūn
迪庆藏族自治州,dí qìng zàng zú zì zhì zhōu
西峡县,xī xiá xiàn
南岔县,nán chà xiàn
广德寺,guǎng dé sì
雷山县,léi shān xiàn
中国粮油控股,zhōng guó liáng yóu kòng gǔ
成县,chéng xiàn
饶河县,ráo hé xiàn
上海国际电影节,shàng hǎi guó jì diàn yǐng jié
虎门,hǔ mén
当雄县,dāng xióng xiàn
怒江傈僳族自治州,nù jiāng lì sù zú zì zhì zhōu
吉县,jí xiàn
博白县,bó bái xiàn
泌阳县,mì yáng xiàn
博爱县,bó ài xiàn
共和县,gòng hé xiàn
扎赉特旗,zhā lài tè qí
科尔沁右翼中旗,kē ěr qìn yòu yì zhōng qí
连山壮族瑶族自治县,lián shān zhuàng zú yáo zú zì zhì xiàn
马山县,mǎ shān xiàn
殷墟,yīn xū
元上都,yuán shàng dōu
霍邱县,huò qiū xiàn
会泽县,huì zé xiàn
湘西土家族苗族自治州,xiāng xī tǔ jiā zú miáo zú zì zhì zhōu
江城哈尼族彝族自治县,jiāng chéng hā ní zú yí zú zì zhì xiàn
恩和俄罗斯族民族乡,ēn hé é luó sī zú mín zú xiāng
中国铁路高速列车,zhōng guó tiě lù gāo sù liè chē
海原县,hǎi yuán xiàn
双湖县,shuāng hú xiàn
稷山县,jì shān xiàn
淮滨县,huái bīn xiàn
长春亚泰足球俱乐部,cháng chūn yà tài zú qiú jù lè bù
吴桥县,wú qiáo xiàn
鲁迅文学奖,lǔ xùn wén xué jiǎng
德昂族,dé áng zú
峨边彝族自治县,é biān yí zú zì zhì xiàn
亚洲冰球联赛,yà zhōu bīng qiú lián sài
阿穆尔板块,ā mù ěr bǎn kuài
上海磁浮示范运营线,shàng hǎi cí fú shì fàn yùn yíng xiàn
莫力达瓦达斡尔族自治旗,mò lì dá wǎ dá wò ěr zú zì zhì qí
鼓浪屿,gǔ làng yǔ
和硕县,hé shuò xiàn
波密县,bō mì xiàn
勃利县,bó lì xiàn
博湖县,bó hú xiàn
托林寺,tuō lín sì
梅赛德斯奔驰文化中心,méi sài dé sī bēn chí wén huà zhōng xīn
黔东南苗族侗族自治州,qián dōng nán miáo zú dòng zú zì zhì zhōu
东北边疆历史与现状系列研究工程,dōng běi biān jiāng lì shǐ yǔ xiàn zhuàng xì liè yán jiū gōng chéng
乌孜别克族,wū zī bié kè zú
横断山脉,héng duàn shān mài
蒙古高原草原内蒙古草原东北草原,měng gǔ gāo yuán cǎo yuán nèi měng gǔ cǎo yuán dōng běi cǎo yuán
柯尔克孜族,kē ěr kè zī zú
韶山乡,sháo shān xiāng
上海辰山植物园,shàng hǎi chén shān zhí wù yuán
北京植物园,běi jīng zhí wù yuán
博兴县,bó xīng xiàn
颜庙,yán miào
赤柱,chì zhù
砚山县,yàn shān xiàn
盱眙县,xū yí xiàn
闽侯县,mǐn hóu xiàn
静乐县,jìng lè xiàn
郸城县,dān chéng xiàn
望江县,wàng jiāng xiàn
苍岩山,cāng yán shān
风火山隧道,fēng huǒ shān suì dào
博野县,bó yě xiàn
中日韩领导人会议,zhōng rì hán lǐng dǎo rén huì yì
噶玛寺,gá mǎ sì
云山战斗,yún shān zhàn dòu
民航空运公司,mín háng kōng yùn gōng sī
南皮县,nán pí xiàn
中苏友谊纪念塔,zhōng sū yǒu yì jì niàn tǎ
上海证券交易所综合股价指数,shàng hǎi zhèng quàn jiāo yì suǒ zōng hé gǔ jià zhǐ shù
呼图壁县,hū tú bì xiàn
庐山会议,lú shān huì yì
中国龙队,zhōng guó lóng duì
西伯利亚高压,xī bǎi lì yà gāo yā
中国人民志愿军,zhōng guó rén mín zhì yuàn jūn
仙鹤寺,xiān hè sì
中国航空博物馆,zhōng guó háng kōng bó wù guǎn
沪杭客运专线,hù háng kè yùn zhuān xiàn
石太客运专线,shí tài kè yùn zhuān xiàn
菜园遗址,cài yuán yí zhǐ
巴马瑶族自治县,bā mǎ yáo zú zì zhì xiàn
类乌齐县,lèi wū qí xiàn
索县,suǒ xiàn
庆云县,qìng yún xiàn
浮山县,fú shān xiàn
灵丘县,líng qiū xiàn
青城山,qīng chéng shān
中国地震烈度表,zhōng guó dì zhèn liè dù biǎo
中华人民共和国政治,zhōng huá rén mín gòng hé guó zhèng zhì
国家宗教事务局,guó jiā zōng jiào shì wù jú
安迪尔古城遗址,ān dí ěr gǔ chéng yí zhǐ
傲游浏览器,ào yóu liú lǎn qì
木里藏族自治县,mù lǐ zàng zú zì zhì xiàn
汤阴县,tāng yīn xiàn
北回归线,běi huí guī xiàn
玛沁县,mǎ qìn xiàn
申扎县,shēn zhā xiàn
嘉黎县,jiā lí xiàn
定日县,dìng rì xiàn
上海市历史博物馆,shàng hǎi shì lì shǐ bó wù guǎn
中国治贪史,zhōng guó zhì tān shǐ
同人游戏,tóng rén yóu xì
中华人民共和国水利部,zhōng huá rén mín gòng hé guó shuǐ lì bù
中英关系,zhōng yīng guān xì
中华人民共和国民政部,zhōng huá rén mín gòng hé guó mín zhèng bù
中国网,zhōng guó wǎng
公安机关,gōng ān jī guān
聂荣县,niè róng xiàn
江达县,jiāng dá xiàn
洛隆县,luò lóng xiàn
昂仁县,áng rén xiàn
繁体字,fán tǐ zì
上海银行大厦,shàng hǎi yín háng dà shà
星光大道,xīng guāng dà dào
中华人民共和国核工业,zhōng huá rén mín gòng hé guó hé gōng yè
李家峡水库,lǐ jiā xiá shuǐ kù
建宁县,jiàn níng xiàn
吴淞江,wú sōng jiāng
茶具文物馆,chá jù wén wù guǎn
香港艺术馆,xiāng gǎng yì shù guǎn
巴青县,bā qīng xiàn
岗巴县,gǎng bā xiàn
尼玛县,ní mǎ xiàn
南木林县,nán mù lín xiàn
贡觉县,gòng jué xiàn
人人网,rén rén wǎng
白朗县,bái lǎng xiàn
达尔罕茂明安联合旗,dá ěr hǎn mào míng ān lián hé qí
西沙海战,xī shā hǎi zhàn
环北京自行车赛,huán běi jīng zì xíng chē sài
阳关,yáng guān
中国基督教,zhōng guó jī dū jiào
邮电局,yóu diàn jú
中日联合声明,zhōng rì lián hé shēng míng
梁山泊,liáng shān bó
噶尔县,gá ěr xiàn
工布江达县,gōng bù jiāng dá xiàn
夏河县,xià hé xiàn
北京周报,běi jīng zhōu bào
青岛胶州湾大桥,qīng dǎo jiāo zhōu wān dà qiáo
佛坪县,fó píng xiàn
小河墓地,xiǎo hé mù dì
佛冈县,fó gāng xiàn
社会民主连线,shè huì mín zhǔ lián xiàn
新昌县,xīn chāng xiàn
中国摩托车大奖赛,zhōng guó mó tuō chē dà jiǎng sài
吉木萨尔县,jí mù sà ěr xiàn
大连软件园,dà lián ruǎn jiàn yuán
牛郎织女,niú láng zhī nǚ
天目山,tiān mù shān
郑西客运专线,zhèng xī kè yùn zhuān xiàn
喀喇昆仑山口,kā lā kūn lún shān kǒu
周口店遗址,zhōu kǒu diàn yí zhǐ
台风布拉万,tái fēng bù lā wàn
府谷县,fǔ gǔ xiàn
新民主同盟,xīn mín zhǔ tóng méng
通河县,tōng hé xiàn
上海市摩天大楼列表,shàng hǎi shì mó tiān dà lóu liè biǎo
依兰县,yī lán xiàn
伊尔克什坦口岸,yī ěr kè shén tǎn kǒu àn
青藏高原,qīng zàng gāo yuán
昌江黎族自治县,chāng jiāng lí zú zì zhì xiàn
乐东黎族自治县,lè dōng lí zú zì zhì xiàn
延寿县,yán shòu xiàn
康平县,kāng píng xiàn
香港电影金紫荆奖,xiāng gǎng diàn yǐng jīn zǐ jīng jiǎng
丹江口大坝,dān jiāng kǒu dà bà
南浦大桥,nán pǔ dà qiáo
秦始皇陵,qín shǐ huáng líng
乃堆拉山口,nǎi duī lā shān kǒu
斯诺克中国公开赛,sī nuò kè zhōng guó gōng kāi sài
琼中黎族苗族自治县,qióng zhōng lí zú miáo zú zì zhì xiàn
类乌齐寺,lèi wū qí sì
中国民生银行,zhōng guó mín shēng yín háng
塔什库尔干塔吉克自治县,tǎ shén kù ěr gān tǎ jí kè zì zhì xiàn
道风山,dào fēng shān
中国旧石器文化列表,zhōng guó jiù shí qì wén huà liè biǎo
大屿山,dà yǔ shān
中国石油天然气股份,zhōng guó shí yóu tiān rán qì gǔ fèn
木兰县,mù lán xiàn
中苏交恶,zhōng sū jiāo wù
赫哲族,hè zhé zú
河南足球俱乐部,hé nán zú qiú jù lè bù
奥林匹克公园,ào lín pǐ kè gōng yuán
清凉山,qīng liáng shān
苏州轨道交通,sū zhōu guǐ dào jiāo tōng
布洛阿特峰,bù luò ā tè fēng
中华人民共和国国务院副总理,zhōng huá rén mín gòng hé guó guó wù yuàn fù zǒng lǐ
中国共产党中央书记处,zhōng guó gòng chǎn dǎng zhōng yāng shū jì chù
南乐县,nán lè xiàn
火焰山,huǒ yàn shān
玉蟾岩遗址,yù chán yán yí zhǐ
龙虎山,lóng hǔ shān
澄迈县,chéng mài xiàn
道真仡佬族苗族自治县,dào zhēn gē lǎo zú miáo zú zì zhì xiàn
海北藏族自治州,hǎi běi zàng zú zì zhì zhōu
皮山县,pí shān xiàn
临高县,lín gāo xiàn
曹县,cáo xiàn
绒布寺,róng bù sì
中华人民共和国外交,zhōng huá rén mín gòng hé guó wài jiāo
屏边苗族自治县,píng biān miáo zú zì zhì xiàn
融水苗族自治县,róng shuǐ miáo zú zì zhì xiàn
琶洲街道,pá zhōu jiē dào
盐田仔,yán tián zǎi
郭亮洞,guō liàng dòng
阿拉善右旗,ā lā shàn yòu qí
莘县,shēn xiàn
傣端,dǎi duān
天津地铁,tiān jīn dì tiě
回族,huí zú
代县阿育王塔,dài xiàn ā yù wáng tǎ
梁振英大宅僭建风波,liáng zhèn yīng dà zhái jiàn jiàn fēng bō
中国银行,zhōng guó yín háng
阿瓦提县,ā wǎ tí xiàn
武汉世界贸易大厦,wǔ hàn shì jiè mào yì dà shà
深圳证券交易所,shēn zhèn zhèng quàn jiāo yì suǒ
龙游县,lóng yóu xiàn
凉城县,liáng chéng xiàn
和田县,hé tián xiàn
日土县,rì tǔ xiàn
聂拉木县,niè lā mù xiàn
北京君正,běi jīng jūn zhèng
长白山脉,cháng bái shān mài
黟县,yī xiàn
墨脱县,mò tuō xiàn
亚东县,yà dōng xiàn
东乡族自治县,dōng xiāng zú zì zhì xiàn
自治州,zì zhì zhōu
钓鱼台国宾馆,diào yú tái guó bīn guǎn
小青岛灯塔,xiǎo qīng dǎo dēng tǎ
中央人民政府和西藏地方政府关于和平解放西藏办法的协议,zhōng yāng rén mín zhèng fǔ hé xī zàng dì fāng zhèng fǔ guān yú hé píng jiě fàng xī zàng bàn fǎ de xié yì
中原大佛,zhōng yuán dà fó
中国中央电视台中文国际频道,zhōng guó zhōng yāng diàn shì tái zhōng wén guó jì pín dào
中国堕胎,zhōng guó duò tāi
沁水县,qìn shuǐ xiàn
文县,wén xiàn
中国海洋石油,zhōng guó hǎi yáng shí yóu
中国海洋石油有限公司,zhōng guó hǎi yáng shí yóu yǒu xiàn gōng sī
扒村窑址,bā cūn yáo zhǐ
华大基因,huá dà jī yīn
天津环球金融中心,tiān jīn huán qiú jīn róng zhōng xīn
晋江,jìn jiāng
聂塘卓玛拉康,niè táng zhuó mǎ lā kāng
班公错,bān gōng cuò
丁公遗址,dīng gōng yí zhǐ
龙门县,lóng mén xiàn
新野县,xīn yě xiàn
克木族,kè mù zú
西藏历史年表,xī zàng lì shǐ nián biǎo
兰陵县,lán líng xiàn
苍溪县,cāng xī xiàn
澳门新葡京酒店,ào mén xīn pú jīng jiǔ diàn
苍梧县,cāng wú xiàn
汝南县,rǔ nán xiàn
江苏足球俱乐部,jiāng sū zú qiú jù lè bù
全港羽毛球锦标赛,quán gǎng yǔ máo qiú jǐn biāo sài
西单民主墙,xī dān mín zhǔ qiáng
岢岚县,kě lán xiàn
南城县,nán chéng xiàn
西藏历史,xī zàng lì shǐ
达拉特旗,dá lā tè qí
昆仑山脉,kūn lún shān mài
方正县,fāng zhèng xiàn
博格达峰,bó gé dá fēng
香港航空,xiāng gǎng háng kōng
沧源佤族自治县,cāng yuán wǎ zú zì zhì xiàn
南京城墙,nán jīng chéng qiáng
辉南县,huī nán xiàn
楚布寺,chǔ bù sì
龙山县,lóng shān xiàn
太和宫金殿,tài hé gōng jīn diàn
普宁寺,pǔ níng sì
泥河湾遗址,ní hé wān yí zhǐ
藏族,zàng zú
中原,zhōng yuán
棒托寺,bàng tuō sì
交通银行,jiāo tōng yín háng
东亚银行,dōng yà yín háng
半山遗址,bàn shān yí zhǐ
广州银行大厦,guǎng zhōu yín háng dà shà
旗,qí
半坡遗址,bàn pō yí zhǐ
中华人民共和国清真寺列表,zhōng huá rén mín gòng hé guó qīng zhēn sì liè biǎo
梅江,méi jiāng
广州国际金融中心,guǎng zhōu guó jì jīn róng zhōng xīn
新乡县,xīn xiāng xiàn
洛浦县,luò pǔ xiàn
黑纱,hēi shā
广州白云机场劫机相撞事件,guǎng zhōu bái yún jī chǎng jié jī xiāng zhuàng shì jiàn
中华人民共和国全国运动会羽毛球比赛,zhōng huá rén mín gòng hé guó quán guó yùn dòng huì yǔ máo qiú bǐ sài
巴东县,bā dōng xiàn
教师节,jiào shī jié
宜章县,yí zhāng xiàn
中华人民共和国铁道部,zhōng huá rén mín gòng hé guó tiě dào bù
金沙江,jīn shā jiāng
车师,chē shī
安福县,ān fú xiàn
天坛大佛,tiān tán dà fó
收租院,shōu zū yuàn
白鹤梁,bái hè liáng
白河县,bái hé xiàn
诺门罕战役,nuò mén hǎn zhàn yì
甑皮岩遗址,zèng pí yán yí zhǐ
中国科学院,zhōng guó kē xué yuàn
昂昂溪遗址,áng áng xī yí zhǐ
习水县,xí shuǐ xiàn
中国泛蓝联盟,zhōng guó fàn lán lián méng
柳城县,liǔ chéng xiàn
康马县,kāng mǎ xiàn
陵水黎族自治县,líng shuǐ lí zú zì zhì xiàn
灰熊山极速矿车,huī xióng shān jí sù kuàng chē
善化寺,shàn huà sì
江口县,jiāng kǒu xiàn
北京东岳庙,běi jīng dōng yuè miào
石景山游乐园,shí jǐng shān yóu lè yuán
北京世界公园,běi jīng shì jiè gōng yuán
北京奔驰,běi jīng bēn chí
炎陵县,yán líng xiàn
贵阳市奥林匹克体育中心,guì yáng shì ào lín pǐ kè tǐ yù zhōng xīn
蒲台,pú tái
青岛胶州湾隧道,qīng dǎo jiāo zhōu wān suì dào
振风塔,zhèn fēng tǎ
便宜坊,pián yi fāng
家庭联产承包责任制,jiā tíng lián chǎn chéng bāo zé rèn zhì
中华人民共和国农业部,zhōng huá rén mín gòng hé guó nóng yè bù
南迦巴瓦峰,nán jiā bā wǎ fēng
歧口村,qí kǒu cūn
中山纪念堂,zhōng shān jì niàn táng
盛京银行,shèng jīng yín háng
班戈县,bān gē xiàn
班玛县,bān mǎ xiàn
白水县,bái shuǐ xiàn
白莲洞遗址,bái lián dòng yí zhǐ
中国围棋天元战,zhōng guó wéi qí tiān yuán zhàn
白玉县,bái yù xiàn
广东道,guǎng dōng dào
柘林水库,zhè lín shuǐ kù
曼飞龙塔,màn fēi lóng tǎ
坝陵河大桥,bà líng hé dà qiáo
白云观,bái yún guān
白羊村遗址,bái yáng cūn yí zhǐ
邦纳寺,bāng nà sì
柏乡县,bǎi xiāng xiàn
边坝县,biān bà xiàn
坝美,bà měi
灞陵桥,bà líng qiáo
渭河平原,wèi hé píng yuán
香港榄球代表队,xiāng gǎng lǎn qiú dài biǎo duì
磁州窑,cí zhōu yáo
甘丹寺,gān dān sì
汇源果汁,huì yuán guǒ zhī
北京猛虎队,běi jīng měng hǔ duì
宝莲禅寺,bǎo lián chán sì
天津雄狮队,tiān jīn xióng shī duì
中华人民共和国教育部,zhōng huá rén mín gòng hé guó jiào yù bù
太平湖车辆段,tài píng hú chē liàng duàn
芒康县,máng kāng xiàn
保德县,bǎo dé xiàn
大报国慈仁寺,dà bào guó cí rén sì
宝带桥,bǎo dài qiáo
宝丰县,bǎo fēng xiàn
报恩寺,bào ēn sì
化隆回族自治县,huà lóng huí zú zì zhì xiàn
人民英雄纪念碑,rén mín yīng xióng jì niàn bēi
保亭黎族苗族自治县,bǎo tíng lí zú miáo zú zì zhì xiàn
保康县,bǎo kāng xiàn
保靖县,bǎo jìng xiàn
宝清县,bǎo qīng xiàn
上海犹太研究中心,shàng hǎi yóu tài yán jiū zhōng xīn
中共中央党校,zhōng gòng zhōng yāng dǎng xiào
中央广播电视塔,zhōng yāng guǎng bō diàn shì tǎ
中华人民共和国政府,zhōng huá rén mín gòng hé guó zhèng fǔ
天津博物馆,tiān jīn bó wù guǎn
澳门甲组足球联赛,ào mén jiǎ zǔ zú qiú lián sài
观塘,guān táng
嘉陵江,jiā líng jiāng
锡伯族,xī bǎi zú
北角,běi jiǎo
中国拉力赛,zhōng guó lā lì sài
天津津门虎足球俱乐部,tiān jīn jīn mén hǔ zú qiú jù lè bù
新浪,xīn làng
涟水县,lián shuǐ xiàn
荔枝角,lì zhī jiǎo
鄂温克族,è wēn kè zú
地区行政公署,dì qū xíng zhèng gōng shǔ
中华人民共和国监察部,zhōng huá rén mín gòng hé guó jiān chá bù
赣江,gàn jiāng
山东泰山足球俱乐部,shān dōng tài shān zú qiú jù lè bù
宝兴县,bǎo xīng xiàn
宝应县,bǎo yìng xiàn
岜团桥,bā tuán qiáo
跋绒寺,bá róng sì
巴里坤哈萨克自治县,bā lǐ kūn hā sà kè zì zhì xiàn
祁连县,qí lián xiàn
西吉县,xī jí xiàn
巴丹吉林沙漠,bā dān jí lín shā mò
宁远县,níng yuǎn xiàn
橙天嘉禾,chéng tiān jiā hé
海心沙,hǎi xīn shā
珠穆隆索峰,zhū mù lóng suǒ fēng
胡椒饼,hú jiāo bǐng
承德避暑山庄及其周围寺庙,chéng dé bì shǔ shān zhuāng jí qí zhōu wéi sì miào
结古寺,jié gǔ sì
江永县,jiāng yǒng xiàn
羊卓雍错,yáng zhuó yōng cuò
白云鄂博铁矿,bái yún è bó tiě kuàng
巴彦县,bā yàn xiàn
拜城县,bài chéng xiàn
钓鱼台列屿主权问题,diào yú tái liè yǔ zhǔ quán wèn tí
渠江,qú jiāng
安徽海螺水泥,ān huī hǎi luó shuǐ ní
江淮汽车,jiāng huái qì chē
安化县,ān huà xiàn
麻阳苗族自治县,má yáng miáo zú zì zhì xiàn
开元寺塔,kāi yuán sì tǎ
松桃苗族自治县,sōng táo miáo zú zì zhì xiàn
永修县,yǒng xiū xiàn
北礁,běi jiāo
巴音郭楞蒙古自治州,bā yīn guō léng měng gǔ zì zhì zhōu
澳门葡京酒店,ào mén pú jīng jiǔ diàn
霍特国际商学院,huò tè guó jì shāng xué yuàn
大雁塔,dà yàn tǎ
北武当山,běi wǔ dāng shān
北江,běi jiāng
北川羌族自治县,běi chuān qiāng zú zì zhì xiàn
江孜县,jiāng zī xiàn
香山公园,xiāng shān gōng yuán
重庆大厦,chóng qìng dà shà
大沽口炮台,dà gū kǒu pào tái
南涧彝族自治县,nán jiàn yí zú zì zhì xiàn
什布奇山口,shén bù qí shān kǒu
凤凰径,fèng huáng jìng
大连银行,dà lián yín háng
吉澳,jí ào
山海关,shān hǎi guān
北洋,běi yáng
北寨墓群,běi zhài mù qún
庭州,tíng zhōu
保安族,bǎo ān zú
长沙地铁,cháng shā dì tiě
凌霄塔,líng xiāo tǎ
中国足球协会乙级联赛,zhōng guó zú qiú xié huì yǐ jí lián sài
旭日玩具厂群体斗殴事件,xù rì wán jù chǎng qún tǐ dòu ōu shì jiàn
邕江,yōng jiāng
册亨县,cè hēng xiàn
香港高尔夫球公开赛,xiāng gǎng gāo ěr fū qiú gōng kāi sài
中国中央电视台军事·农业频道,zhōng guó zhōng yāng diàn shì tái jūn shì · nóng yè pín dào
西藏文化博物馆,xī zàng wén huà bó wù guǎn
唐乾陵,táng qián líng
张桓侯庙,zhāng huán hóu miào
扎囊县,zhā náng xiàn
张北县,zhāng běi xiàn
漳县,zhāng xiàn
张家川回族自治县,zhāng jiā chuān huí zú zì zhì xiàn
重庆足球俱乐部,chóng qìng zú qiú jù lè bù
广东日之泉足球俱乐部,guǎng dōng rì zhī quán zú qiú jù lè bù
湖南湘涛足球俱乐部,hú nán xiāng tāo zú qiú jù lè bù
安吉县,ān jí xiàn
扶绥县,fú suí xiàn
赵州桥,zhào zhōu qiáo
北京国安足球俱乐部,běi jīng guó ān zú qiú jù lè bù
舒城县,shū chéng xiàn
卓尼禅定寺,zhuó ní chán dìng sì
邵氏兄弟,shào shì xiōng dì
天津天海足球俱乐部,tiān jīn tiān hǎi zú qiú jù lè bù
西安地铁,xī ān dì tiě
中华人民共和国副主席,zhōng huá rén mín gòng hé guó fù zhǔ xí
香港邮政,xiāng gǎng yóu zhèng
钓鱼城遗址,diào yú chéng yí zhǐ
网易,wǎng yì
东龙洲,dōng lóng zhōu
隆务寺,lóng wù sì
北石窟寺,běi shí kū sì
北首岭遗址,běi shǒu lǐng yí zhǐ
北盘江,běi pán jiāng
北汽福田,běi qì fú tián
丘北县,qiū běi xiàn
容城县,róng chéng xiàn
河西走廊,hé xī zǒu láng
上海博物馆,shàng hǎi bó wù guǎn
东亚共同体,dōng yà gòng tóng tǐ
延边富德足球俱乐部,yán biān fù dé zú qiú jù lè bù
沈阳中泽足球俱乐部,shěn yáng zhōng zé zú qiú jù lè bù
安龙县,ān lóng xiàn
安康医院,ān kāng yī yuàn
察雅县,chá yǎ xiàn
冲南岩,chōng nán yán
泽州县,zé zhōu xiàn
张桓侯祠,zhāng huán hóu cí
沙鲁里山,shā lǔ lǐ shān
完达山,wán dá shān
公盟,gōng méng
辽西省,liáo xī shěng
东方红,dōng fāng hóng
明清皇家陵寝,míng qīng huáng jiā líng qǐn
白利寺,bái lì sì
半坡陶符,bàn pō táo fú
墨江哈尼族自治县,mò jiāng hā ní zú zì zhì xiàn
宜昌长江公路大桥,yí chāng cháng jiāng gōng lù dà qiáo
肃宁县,sù níng xiàn
武汉长江足球俱乐部,wǔ hàn cháng jiāng zú qiú jù lè bù
甘南县,gān nán xiàn
漳浦县,zhāng pǔ xiàn
平乐县,píng lè xiàn
爨底下村,cuàn dǐ xià cūn
中华世纪坛,zhōng huá shì jì tán
赛维太阳能,sài wéi tài yáng néng
辽东省,liáo dōng shěng
圣母大堂,shèng mǔ dà táng
中共中央办公厅,zhōng gòng zhōng yāng bàn gōng tīng
海淀堂,hǎi diàn táng
阿尔喀山,ā ěr kā shān
东方明珠,dōng fāng míng zhū
红卫兵,hóng wèi bīng
西安清真大寺,xī ān qīng zhēn dà sì
狮子洋隧道,shī zi yáng suì dào
上海海港足球俱乐部,shàng hǎi hǎi gǎng zú qiú jù lè bù
绍兴柯桥越甲足球俱乐部,shào xīng kē qiáo yuè jiǎ zú qiú jù lè bù
彰武县,zhāng wǔ xiàn
长子县,zhǎng zǐ xiàn
鲁迅公园,lǔ xùn gōng yuán
澳门特别行政区政府,ào mén tè bié xíng zhèng qū zhèng fǔ
南昌地铁,nán chāng dì tiě
扎布耶茶卡,zhā bù yē chá kǎ
安平县,ān píng xiàn
桑木拉大坂,sāng mù lā dà bǎn
蒙山县,méng shān xiàn
安平桥,ān píng qiáo
陕西省文物保护单位,shǎn xī shěng wén wù bǎo hù dān wèi
萝北县,luó běi xiàn
建始县,jiàn shǐ xiàn
广济桥,guǎng jì qiáo
独乐寺,dú lè sì
抚顺战犯管理所,fǔ shùn zhàn fàn guǎn lǐ suǒ
红旗渠,hóng qí qú
都江堰,dū jiāng yàn
团城演武厅,tuán chéng yǎn wǔ tīng
阙,quē
德昌电机,dé chāng diàn jī
爪村遗址,zhuǎ cūn yí zhǐ
诏安县,zhào ān xiàn
赵县,zhào xiàn
西津桥,xī jīn qiáo
昭觉寺,zhāo jué sì
昭觉县,zhāo jué xiàn
昭平县,zhāo píng xiàn
唐昭陵,táng zhāo líng
昭苏县,zhāo sū xiàn
中国丝绸博物馆,zhōng guó sī chóu bó wù guǎn
岱庙,dài miào
苏通长江公路大桥,sū tōng cháng jiāng gōng lù dà qiáo
安仁县,ān rén xiàn
京西国际学校,jīng xī guó jì xué xiào
茶陵县,chá líng xiàn
鄂伦春族,è lún chūn zú
肇州县,zhào zhōu xiàn
肇源县,zhào yuán xiàn
长安街道,cháng ān jiē dào
查木钦墓群,chá mù qīn mù qún
霍尔果斯口岸,huò ěr guǒ sī kǒu àn
中华人民共和国地理极点,zhōng huá rén mín gòng hé guó dì lǐ jí diǎn
中国人民解放军海军陆战队,zhōng guó rén mín jiě fàng jūn hǎi jūn lù zhàn duì
大连实德足球俱乐部,dà lián shí dé zú qiú jù lè bù
玉佛寺,yù fó sì
靖边县,jìng biān xiàn
涪江,fú jiāng
狼山,láng shān
鄂温克族自治旗,è wēn kè zú zì zhì qí
中国葡萄酒,zhōng guó pú táo jiǔ
中华人民共和国司法部,zhōng huá rén mín gòng hé guó sī fǎ bù
中国人民解放军驻香港部队,zhōng guó rén mín jiě fàng jūn zhù xiāng gǎng bù duì
中华人民共和国财政部,zhōng huá rén mín gòng hé guó cái zhèng bù
中华人民共和国交通运输部,zhōng huá rén mín gòng hé guó jiāo tōng yùn shū bù
正安县,zhèng ān xiàn
正镶白旗,zhèng xiāng bái qí
政和县,zhèng hé xiàn
正宁县,zhèng níng xiàn
正定县,zhèng dìng xiàn
正蓝旗,zhèng lán qí
长安街,cháng ān jiē
长安航空,cháng ān háng kōng
长岛县,cháng dǎo xiàn
环球时报,huán qiú shí bào
中国新闻社,zhōng guó xīn wén shè
北京中山公园,běi jīng zhōng shān gōng yuán
东山县,dōng shān xiàn
却藏寺,què cáng sì
正阳县,zhèng yáng xiàn
正阳门,zhèng yáng mén
昌河汽车,chāng hé qì chē
长海县,cháng hǎi xiàn
长丰县,cháng fēng xiàn
搜狐,sōu hú
宁晋县,níng jìn xiàn
日坛,rì tán
临县,lín xiàn
自贡恐龙博物馆,zì gòng kǒng lóng bó wù guǎn
赤壁之战,chì bì zhī zhàn
奉国寺,fèng guó sì
奔腾,bēn téng
卢沟桥,lú gōu qiáo
稻城亚丁,dào chéng yà dīng
强巴林寺,qiáng bā lín sì
柘城县,zhè chéng xiàn
柞水县,zhà shuǐ xiàn
广汽吉奥,guǎng qì jí ào
桐柏县,tóng bǎi xiàn
灵渠,líng qú
中国基督教新教,zhōng guó jī dū jiào xīn jiào
先行者,xiān xíng zhě
湘江,xiāng jiāng
苏州话,sū zhōu huà
石宝寨,shí bǎo zhài
镇巴县,zhèn bā xiàn
郑国渠,zhèng guó qú
镇安县,zhèn ān xiàn
贞丰县,zhēn fēng xiàn
景宁畲族自治县,jǐng níng shē zú zì zhì xiàn
正佳环市中心,zhèng jiā huán shì zhōng xīn
镇雄县,zhèn xióng xiàn
镇宁布依族苗族自治县,zhèn níng bù yī zú miáo zú zì zhì xiàn
镇平县,zhèn píng xiàn
镇赉县,zhèn lài xiàn
镇康县,zhèn kāng xiàn
经略台真武阁,jīng lüè tái zhēn wǔ gé
镇坪县,zhèn píng xiàn
紫金山,zǐ jīn shān
宗萨寺,zōng sà sì
知识青年,zhī shi qīng nián
中华人民共和国国土资源部,zhōng huá rén mín gòng hé guó guó tǔ zī yuán bù
