leandro damião,레안드루 다미앙,reandeuru damiang
dulce pontes,둘스 폰트스,dulseu ponteuseu
fernanda ribeiro,페르난다 히베이루,pereunanda hibeiru
maria de medeiros,마리아 드 메데이루스,maria deu medeiruseu
pedro mendes,페드루 멘드스,pedeuru mendeuseu
ricardo esteves,히카르두 에스테베스,hikareudu eseutebeseu
maria joão pires,마리아 조앙 피레스,maria joang pireseu
sérgio conceição,세르지우 콘세이상,sereujiu konseisang
daniela ruah,대니얼라 루아,daenieolra rua
artur jorge,아르투르 조르즈,areutureu joreujeu
miguel lopes,미겔 로페스,migel ropeseu
rúben micael,후벵 미카엘,hubeng mikael
fernando pessoa,페르난두 페소아,pereunandu pesoa
andré gomes,안드레 고메스,andeure gomeseu
isabel de castro,이사벨 드 카스트로,isabel deu kaseuteuro
filipa azevedo,필리파 아제베두,pilripa ajebedu
pedro santana lopes,페드루 산타나 로페스,pedeuru santana ropeseu
teresa madruga,테레사 마드루가,teresa madeuruga
ricardo trêpa,리카도 트리파,rikado teuripa
vítor pereira,비토르 페레이라,bitoreu pereira
josé afonso,조제 아폰수,joje aponsu
tiago apolónia,티아구 아폴로니아,tiagu apolronia
raul meireles,하울 메이렐르스,haul meirelreuseu
leonor baldaque,르오노어 발다쿼,reuonoeo baldakweo
álvaro siza vieira,알바루 시자 비에이라,albaru sija bieira
pedro proença,페드루 프로엔사,pedeuru peuroensa
nené,네네,nene
sérgio oliveira,세르지우 올리베이라,sereujiu olribeira
zé castro,제 카스트루,je kaseuteuru
raphaël guerreiro,하파엘 게헤이루,hapael geheiru
diogo morgado,디오구 모르가두,diogu moreugadu
pedro guerreiro de jesus correia,페드루 게레이루 데 제수스 코레이아,pedeuru gereiru de jesuseu koreia
lucy bronze,루시 브론즈,rusi beuronjeu
shéu han,셰우 한,syeu han
jorge jesus,조르즈 제주스,joreujeu jejuseu
paulo rocha,파울루 호샤,paulru hosya
mário barroso,마리오 바로소,mario baroso
leonardo jardim,레오나르두 자르딩,reonareudu jareuding
ricardo carvalho,히카르두 카르발류,hikareudu kareubalryu
maria joão bastos,마리아 주앙 바스투스,maria juang baseutuseu
nuno viriato tavares de melo egídio,누누 비리아투 타바레스 데 멜루 에지디우,nunu biriatu tabareseu de melru ejidiu
antónio leitão,안토니우 레이타웅,antoniu reitaung
antónio costa,안토니우 코스타,antoniu koseuta
bruno pereirinha,브루누 페레이리냐,beurunu pereirinya
tasha de vasconcelos,타샤 드 바스콘셀로스,tasya deu baseukonselroseu
catarina martins,카타리나 마르팅스,katarina mareutingseu
pizzi,피찌,pijji
marcelo rebelo de sousa,마르셀루 헤벨루 드 소자,mareuselru hebelru deu soja
andré andré,앙드레 앙드레,angdeure angdeure
adrien silva,아드리엥 실바,adeurieng silba
marco silva,마르쿠 실바,mareuku silba
josé fonte,조제 폰트,joje ponteu
rony lopes,호니 로페스,honi ropeseu
antónio reis,안토니우 헤이스,antoniu heiseu
róró,호호,hoho
dimas teixeira,디마스 마르케스,dimaseu mareukeseu
humberto coelho,움베르투 코엘류,umbereutu koelryu
stanley ho,스탠리 호,seutaenri ho
bento antónio gonçalves,벤투 안토니우 곤사우베스,bentu antoniu gonsaubeseu
barbara cabrita,바바라 카브리타,babara kabeurita
danilo pereira,다닐루 페레이라,danilru pereira
carlos tavares,카를루스 타바르스,kareulruseu tabareuseu
bruno fernandes,브루누 페르난드스,beurunu pereunandeuseu
joão pedro rodrigues,주앙 페드루 호드리게스,juang pedeuru hodeurigeseu
eduardo ferro rodrigues,에두아르두 페후 호드리게스,eduareudu pehu hodeurigeseu
cláudia neto,클라우디아 네투,keulraudia netu
dalila carmo,달릴라 카르무,dalrilra kareumu
daniel carriço,다니엘 카히수,daniel kahisu
carolina deslandes,카롤리나 데즐란드스,karolrina dejeulrandeuseu
carolina mendes,카롤리나 멘드스,karolrina mendeuseu
carlos mané,카를루스 마네,kareulruseu mane
rui rio,후이 히우,hui hiu
rogério samora,로게리오 사모라,rogerio samora
daniel podence,다니엘 포덴스,daniel podenseu
miguel vítor,미겔 비토르,migel bitoreu
tiago ilori,티아구 일로리,tiagu ilrori
césar peixoto,세자르 페이소투,sejareu peisotu
mario rondón,마리오 론돈,mario rondon
henrique viana,헨리크 비안나,henrikeu bianna
merche romero,메르시 호메루,mereusi homeru
pedro pichardo,페드루 피샤르두,pedeuru pisyareudu
michael simões domingues,미샤엘 시몽이스 도밍게스,misyael simongiseu dominggeseu
elvis évora,에우비스 에보라,eubiseu ebora
david simão,다비드 시망,dabideu simang
josé águas,조제 아구아스,joje aguaseu
luís leal,루이스 레알,ruiseu real
steven vitória,스테벵 비토리아,seutebeng bitoria
josé carlos gonçalves rodrigues,주제 카를루스 곤살브스 호드리게스,juje kareulruseu gonsalbeuseu hodeurigeseu
margarida cordeiro,마르가리다 코르데이루,mareugarida koreudeiru
nuno janeiro,누누 자네이루,nunu janeiru
mário rui,마리우 후이,mariu hui
adriano luz,아드리아노 루즈,adeuriano rujeu
joana de verona,조아나 드 베로나,joana deu berona
nicolau breyner,니콜라우 브레이네르,nikolrau beureinereu
duarte pio de bragança,두아르트 피우 지 브라간사,duareuteu piu ji beuragansa
joão botelho,주앙 보텔류,juang botelryu
joão sousa,주앙 소자,juang soja
ileana d'cruz,일레나 디크루즈,ilrena dikeurujeu
ricardo domingos barbosa pereira,히카르두 도밍구스 바르보자 페레이라,hikareudu domingguseu bareuboja pereira
josé raposo,조시 라포소,josi raposo
joaquim pinto,조아킹 핀투,joaking pintu
andré almeida,안드레 알메이다,andeure almeida
ivo canelas,이보 카넬라스,ibo kanelraseu
joão cancelo,주앙 칸셀루,juang kanselru
josé sá,조제 사,joje sa
anthony lopes,안토니 로페스,antoni ropeseu
josé cid,조제 시드,joje sideu
victoria guerra,빅토리아 게하,bigtoria geha
joão nicolau,주앙 니콜라우,juang nikolrau
miguel gomes,미겔 고메스,migel gomeseu
nuno delgado,누누 델가두,nunu delgadu
jerónimo de sousa,제로니무 드 소자,jeronimu deu soja
nuno melo,누노 메로,nuno mero
miguel guilherme,미구엘 길허미,miguel gilheomi
joão salaviza,주앙 살라비자,juang salrabija
ricardo horta,히카르두 오르타,hikareudu oreuta
luís montenegro,루이스 몬테네그루,ruiseu montenegeuru
ella nor,레오노르 안드라드,reonoreu andeuradeu
andré silva,안드레 실바,andeure silba
bernardo silva,베르나르두 실바,bereunareudu silba
joel castro pereira,조엘 카스트루 페레이라,joel kaseuteuru pereira
paulo fonseca,파울로 폰세카,paulro ponseka
gonçalo guedes,곤살루 게드스,gonsalru gedeuseu
diogo jota,디오구 조타,diogu jota
sara sampaio,사라 삼파이우,sara sampaiu
rúben pinto,후벵 핀투,hubeng pintu
jorge fonseca,조르즈 폰세카,joreujeu ponseka
mário centeno,마리오 센테노,mario senteno
rúben neves,후벵 네베스,hubeng nebeseu
gedson fernandes,제드송 페르난드스,jedeusong pereunandeuseu
diogo dalot,디오구 달로,diogu dalro
joão félix,주앙 펠릭스,juang pelrigseu
nélson semedo,넬송 세메두,nelsong semedu
gonçalo paciência,곤살루 파시엔시아,gonsalru pasiensia
ulisses garcia,울리세스 가르시아,ulriseseu gareusia
rúben dias,후벵 디아스,hubeng diaseu
gelson martins,젤송 마르팅스,jelsong mareutingseu
diogo costa,디오구 코스타,diogu koseuta
rúben vinagre,후벵 비나그르,hubeng binageureu
joana ribeiro,조아나 히베이루,joana hibeiru
joão palhinha,주앙 팔리냐,juang palrinya
rui tiago,후이 실바,hui silba
renato sanches,헤나투 산시스,henatu sansiseu
florentino luís,플로렌티누 루이스,peulrorentinu ruiseu
francisco trincão,프란시스쿠 트링캉,peuransiseuku teuringkang
bárbara bandeira,바르바라 반데이라,bareubara bandeira
vitinha,비티냐,bitinya
rafael leão,하파엘 레앙,hapael reang
loïs openda,로이스 오펜다,roiseu openda
pedro gonçalves,페드루 곤살베스,pedeuru gonsalbeseu
alba baptista,알바 바프티스타,alba bapeutiseuta
daniela melchior,다니엘라 멜시오르,danielra melsioreu
cláudia pascoal,클라우디아 파스코알,keulraudia paseukoal
pedro neto,페드루 네투,pedeuru netu
nuno tavares,누노 타바레스,nuno tabareseu
salvador sobral,살바도르 소브랄,salbadoreu sobeural
fábio silva,파비우 시우바,pabiu siuba
david carmo,다비드 카르무,dabideu kareumu
vera von monika,베라 본 모니카,bera bon monika
gonçalo ramos,곤살루 하무스,gonsalru hamuseu
manuel custódia,마누엘 쿠스토디아,manuel kuseutodia
bruno lage,브루누 라즈,beurunu rajeu
fábio vieira,파비우 비에이라,pabiu bieira
gonçalo inácio,곤살루 이나시우,gonsalru inasiu
antónio silva,안토니우 실바,antoniu silba
nuno mendes,누누 멘드스,nunu mendeuseu
fábio carvalho,파비우 카르발류,pabiu kareubalryu
marina machete,마리나 마체테,marina macete
joão neves,주앙 네베스,juang nebeseu
brasil,브라질,beurajil
osasco,오자스쿠,ojaseuku
campinas,캄피나스,kampinaseu
fortaleza,포르탈레자,poreutalreja
embraer,엠브라에르,embeuraereu
pelotas,펠로타스,pelrotaseu
curitiba,쿠리치바,kuriciba
brasília,브라질리아,beurajilria
recife,헤시피,hesipi
carapicuíba,카라피쿠이바,karapikuiba
fernando de noronha,페르난두 지 노로냐,pereunandu ji noronya
bagé,바제,baje
niterói,니테로이,niteroi
palmas,파우마스,paumaseu
natal,나타우,natau
macapá,마카파,makapa
chaco,그란차코,geurancako
maringá,마링가,maringga
petrobras,페트로브라스,peteurobeuraseu
florianópolis,플로리아노폴리스,peulrorianopolriseu
grêmio barueri,그레미우 바루에리,geuremiu barueri
parque ibirapuera,이비라푸에라 공원,ibirapuera gongweon
estádio olímpico nilton santos,이스타디우 올림피쿠 니우통 산투스,iseutadiu olrimpiku niutong santuseu
pampa,팜파스,pampaseu
anápolis,아나폴리스,anapolriseu
ciclone catarina,사이클론 카타리나,saikeulron katarina
guarulhos,구아룰류스,guarulryuseu
cruzeiro esporte clube,크루제이루 이스포르치 클루비,keurujeiru iseuporeuci keulrubi
cone sul,코노 수르,kono sureu
sepultura,세풀투라,sepultura
olinda,올린다,olrinda
cristo redentor,구세주 그리스도상,guseju geuriseudosang
petrópolis,페트로폴리스,peteuropolriseu
sorocaba,소로카바,sorokaba
bauru,바우루,bauru
trindade e martim vaz,트린다지 마르칭 바스 군도,teurindaji mareucing baseu gundo
blumenau,블루메나우,beulrumenau
operação condor,콘도르 작전,kondoreu jagjeon
liberdade,리베르다지,ribereudaji
uberlândia,우베를란지아,ubereulranjia
capoeira,카포에이라,kapoeira
canoas,카노아스,kanoaseu
santos,산투스,santuseu
joinville,조인빌리,joinbilri
londrina,론드리나,rondeurina
diamantina,지아만치나,jiamancina
catalão,카탈랑,katalrang
pantanal,판타나우,pantanau
itumbiara,이툼비아라,itumbiara
goiânia,고이아니아,goiania
teresina,테레지나,terejina
guarapari,구아라파리,guarapari
salvador,사우바도르,saubadoreu
arara,아라라,arara
maceió,마세이오,maseio
vitória,비토리아,bitoria
edifício altino arantes,아우치누 아란치스 빌딩,aucinu aranciseu bilding
taubaté,타우바테,taubate
corumbá,코룸바,korumba
chimarrão,마테,mate
copacabana,코파카바나,kopakabana
edifício copan,에디피시오 코판,edipisio kopan
contagem,콘타젱,kontajeng
edifício itália,이탈리아 빌딩,italria bilding
cuiabá,쿠이아바,kuiaba
associação portuguesa de desportos,아소시아상 포르투게자 지 데스포르투스,asosiasang poreutugeja ji deseuporeutuseu
guarujá,구아루자,guaruja
rodovia panamericana,팬아메리칸 하이웨이,paenamerikan haiwei
congonhas,콩고냐스,konggonyaseu
jundiaí,준지아이,junjiai
adidas brazuca,아디다스 브라주카,adidaseu beurajuka
rock in rio,락 인 리오,rag in rio
camaçari,카마사리,kamasari
instituto rio branco,히우 브랑쿠 외교원,hiu beurangku oegyoweon
manaus,마나우스,manauseu
resende,헤젠지,hejenji
arena pantanal,아레나 판타나우,arena pantanau
paulínia,파울리니아,paulrinia
rei momo,레이 모모,rei momo
avenida paulista,파울리스타 대로,paulriseuta daero
mirante do vale,미란치 두 발리,miranci du balri
vogue,보그,bogeu
taurus armas,타우루스 인터내셔널,tauruseu inteonaesyeoneol
democratas,민주당,minjudang
bragança,브라간사,beuragansa
ipatinga,이파칭가,ipacingga
colombo,콜롬부,kolrombu
lusofonia,포르투갈어권,poreutugaleogweon
itaú unibanco,이타우 우니방코,itau unibangko
arena do grêmio,아레나 두 그레미우,arena du geuremiu
centro sportivo alagoano,센트루 스포르치부 알라고아누,senteuru seuporeucibu alragoanu
piracicaba,피라시카바,pirasikaba
criciúma,크리시우마,keurisiuma
os mutantes,오스 무탄치스,oseu mutanciseu
panambi,파남비,panambi
santarém,산타렝,santareng
arena das dunas,아레나 다스 두나스,arena daseu dunaseu
klabin,클라빈,keulrabin
ilhéus,일례우스,ilryeuseu
cotia,코치아,kocia
oi,오이,oi
ponte rioniterói,리우니테로이 교,riuniteroi gyo
itaúsa,이타우사,itausa
itapetininga,이타페치닝가,itapeciningga
votorantim,보토란칭,botorancing
jaguarão,자구아랑,jaguarang
hospital israelita albert einstein,알베르트 아인슈타인 이스라엘 병원,albereuteu ainsyutain iseurael byeongweon
atibaia,아치바이아,acibaia
acãs,아칸족,akanjog
goiás,고이아스,goiaseu
mirandópolis,미란도폴리스,mirandopolriseu
jandira,잔지라,janjira
mossoró,모소로,mosoro
barueri,바루에리,barueri
itabuna,이타부나,itabuna
americana,아메리카나,amerikana
ipanema,이파네마,ipanema
marginal tietê,마르지나우 티에치,mareujinau tieci
ananindeua,아나닌데우아,ananindeua
itu,이투,itu
viamão,비아망,biamang
progressistas,진보당,jinbodang
timóteo,치모테우,cimoteu
paranaguá,파라나구아,paranagua
franca,프랑카,peurangka
corcovado,코르코바두,koreukobadu
marabá,마라바,maraba
betim,베칭,becing
suzano,수자누,sujanu
hispanofonia,스페인어권,seupeineogweon
o globo,우 글로부,u geulrobu
ciclo da borracha,아마존 고무 붐,amajon gomu bum
nilópolis,닐로폴리스,nilropolriseu
eldorado business tower,엘도라도 비즈니스 타워,eldorado bijeuniseu taweo
guajarámirim,구아자라미링,guajaramiring
lins,링스,ringseu
carmo,카르무,kareumu
tacacá,타카카,takaka
bolsa família,보우사 파밀리아,bousa pamilria
fome zero,포미 제루,pomi jeru
mangaratiba,망가라치바,manggaraciba
avianca brasil,아비앙카 브라질,abiangka beurajil
viçosa,비소자,bisoja
bandeirantes,반데이란치,bandeiranci
barbacena,바르바세나,bareubasena
bradesco,브라데스쿠,beuradeseuku
fundão,푼당,pundang
chapecó,샤페코,syapeko
cubatão,쿠바탕,kubatang
tepui,테푸이,tepui
bola de ouro,볼라 지 오우루,bolra ji ouru
formosa,포르모자,poreumoja
paraná clube,파라나 클루비,parana keulrubi
balneário camboriú,발네아리오 캄보류,balneario kamboryu
prêmio craque do brasileirão,프레미우 크라키 두 브라질레이랑,peuremiu keuraki du beurajilreirang
valença,발렌사,balrensa
caso isabella nardoni,이자벨라 나르도니 사건,ijabelra nareudoni sageon
serrinha,세리냐,serinya
mapinguari,마핑과리,mapinggwari
vespasiano,베스파지아누,beseupajianu
estrada real,이스트라다 헤아우,iseuteurada heau
clube de regatas brasil,클루비 지 헤가타스 브라지우,keulrubi ji hegataseu beurajiu
grupo globo,그루포 글로부,geurupo geulrobu
campinense clube,캄피넨시 클루비,kampinensi keulrubi
estádio beirario,이스타지우 베이라히우,iseutajiu beirahiu
teresópolis,테레조폴리스,terejopolriseu
caruaru,카루아루,karuaru
uruguaiana,우루구아이아나,uruguaiana
happy science,행복의 과학,haengbogyi gwahag
correntina,코헨치나,kohencina
araraquara,아라라쿠아라,ararakuara
arapiraca,아라피라카,arapiraka
jaguarari,자구아라리,jaguarari
ponte octávio frias de oliveira,옥타비우 프리아스 지 올리베이라 다리,ogtabiu peuriaseu ji olribeira dari
tapioca,타피오카,tapioka
jequié,제키에,jekie
brahma,브라흐마,beuraheuma
itapagipe,이타파지피,itapajipi
vídeo brinquedo,비디오 브린쿠에도,bidio beurinkuedo
ambev,암베브,ambebeu
pardos,파르두,pareudu
hypera pharma,이페라 파르마,ipera pareuma
derby paulista,데르비 파울리스타,dereubi paulriseuta
natura,나투라,natura
grêmio osasco audax,그레미우 오자스쿠 아우다스,geuremiu ojaseuku audaseu
moto club,모투 클루브,motu keulrubeu
rede bandeirantes,헤지 반데이란치스,heji bandeiranciseu
upaonaçu,상루이스섬,sangruiseuseom
catupiry,카투피리,katupiri
américa futebol clube,아메리카 푸치보우 클루비,amerika pucibou keulrubi
atlético acreano,아틀레치쿠 아크레아누,ateulreciku akeureanu
rebeldes,헤베우지스,hebeujiseu
brumado,브루마두,beurumadu
associação chapecoense de futebol,아소시아상 샤페코엔시 지 푸테보우,asosiasang syapekoensi ji putebou
clube do remo,클루비 두 헤무,keulrubi du hemu
picos,피쿠스,pikuseu
grêmio esportivo novorizontino,그레미우 이스포르치부 노보리존치누,geuremiu iseuporeucibu noborijoncinu
estádio hailé pinheiro,이스타지우 다 세히냐,iseutajiu da sehinya
associação ferroviária de esportes,아소시아상 페호비아리아 지 이스포르치스,asosiasang pehobiaria ji iseuporeuciseu
associação portuguesa londrinense,아소니아상 포르투게사 론드리넨스,asoniasang poreutugesa rondeurinenseu
allianz parque,알리안츠 파르키,alrianceu pareuki
campo de golfe olímpico,캄푸 올림피쿠 지 골피,kampu olrimpiku ji golpi
maniçoba,마니소바,manisoba
bife a cavalo,비프 아 카발루,bipeu a kabalru
bragantino clube do pará,브라간치누 클루비 두 파라,beuragancinu keulrubi du para
marina da glória,마리나 다 글로리아,marina da geulroria
roma esporte apucarana,로마 에스포르치 아푸카라나,roma eseuporeuci apukarana
nacional atlético clube,나시오날 아틀레티코 클럽,nasional ateulretiko keulreob
estádio kleber andrade,이스타지우 클레베르 안드라지,iseutajiu keulrebereu andeuraji
juqueí,주케이,jukei
arena fonte nova,아레나 폰치 노바,arena ponci noba
união recreativa dos trabalhadores,우니앙 헤크레아치바 두스 트라발랴도리스,uniang hekeureaciba duseu teurabalryadoriseu
rua oscar freire,오스카르 프레이레 거리,oseukareu peureire geori
lulismo,룰라주의,rulrajuyi
grêmio novorizontino,그레미우 노보리존치누,geuremiu noborijoncinu
linguiça calabresa,링구이사 칼라브레자,ringguisa kalrabeureja
pavê,파베,pabe
pirão,피랑,pirang
caxirola,카시롤라,kasirolra
belém,벨렝,belreng
una,우나,una
extinction rebellion,멸종에의 반란,myeoljongeyi banran
cuca,쿠카,kuka
portugal,포르투갈,poreutugal
francesinha,프란세지냐,peuransejinya
lisboa,리스본,riseubon
porto,포르투,poreutu
euro,유로,yuro
coimbra,코임브라,koimbeura
braga,브라가,beuraga
funchal,푼샬,punsyal
euronext,유로넥스트,yuronegseuteu
cartaxo,카르타슈,kareutasyu
matosinhos,마토지뉴스,matojinyuseu
estradas europeias,유럽 고속도로,yureob gosogdoro
macaronésia,마카로네시아,makaronesia
estádio municipal de braga,이스타디우 무니시팔 드 브라가,iseutadiu munisipal deu beuraga
covilhã,코빌량,kobilryang
ilhas selvagens,셀바젱스 제도,selbajengseu jedo
taça de portugal,타사 드 포르투갈,tasa deu poreutugal
ilhas desertas,데제르타스 제도,dejereutaseu jedo
viseu,비제우,bijeu
aeroporto francisco sá carneiro,프란시스쿠 사 카르네이루 공항,peuransiseuku sa kareuneiru gonghang
moura,모라,mora
portimão,포르티망,poreutimang
alandalus,알안달루스,alandalruseu
sacavém,사카벵,sakabeng
vinhais,비냐이스,binyaiseu
corvo,코르부섬,koreubuseom
arouca,아로카,aroka
armada inglesa,드레이크노리스 원정,deureikeunoriseu weonjeong
taça da liga,타사 다 리가,tasa da riga
pombal,폼발,pombal
esposende,이스포젠드,iseupojendeu
vizela,비젤라,bijelra
estádio municipal de aveiro,이스타디우 무니시팔 드 아베이루,iseutadiu munisipal deu abeiru
cuba,쿠바,kuba
loures,로르스,roreuseu
benavente,베나벤트,benabenteu
armamar,아르마마르,areumamareu
nordeste,노르데스트,noreudeseuteu
lagoa,라고아,ragoa
sátão,사탕,satang
povoação,포보아상,poboasang
ansião,안시앙,ansiang
oeiras,오에이라스,oeiraseu
salpicão,살피캉,salpikang
faro,파루,paru
a portuguesa,포르투갈의 국가,poreutugalyi gugga
penafiel,페나피엘,penapiel
gondomar,곤도마르,gondomareu
loulé,롤레,rolre
alenquer,알렝케르,alrengkereu
tábua,타부아,tabua
trofa,트로파,teuropa
estádio cidade de coimbra,이스타디우 시다드 드 코임브라,iseutadiu sidadeu deu koimbeura
vinho verde,비뉴 베르드,binyu bereudeu
alfama,알파마,alpama
alcanena,알카네나,alkanena
mafra,마프라,mapeura
portel,포르텔,poreutel
graciosa,그라시오자섬,geurasiojaseom
horta,오르타,oreuta
maia,마이아,maia
guimarães,기마랑이스,gimarangiseu
évora,에보라,ebora
redondo,헤돈두,hedondu
setúbal,세투발,setubal
supertaça cândido de oliveira,수페르타사 칸디두 드 올리베이라,supereutasa kandidu deu olribeira
hino dos açores,아소르스 제도의 국가,asoreuseu jedoyi gugga
mora,모라,mora
alcochete,알코셰트,alkosyeteu
madalena,마달레나,madalrena
guerra colonial portuguesa,포르투갈 식민지 전쟁,poreutugal sigminji jeonjaeng
sesimbra,세짐브라,sejimbeura
mourão,모랑,morang
hispânia,히스파니아,hiseupania
sintra,신트라,sinteura
amadora,아마도라,amadora
white airways,화이트 항공,hwaiteu hanggong
velas,벨라스,belraseu
fátima,파티마,patima
portalegre,포르탈레그르,poreutalregeureu
estoril,이스토릴,iseutoril
sertã,세르탕,sereutang
estremoz,이스트레모스,iseuteuremoseu
paredes,파레드스,paredeuseu
deolinda,데올린다,deolrinda
nisa,니자,nija
desaparecimento de madeleine mccann,매들린 매캔 실종 사건,maedeulrin maekaen siljong sageon
calheta,칼례타,kalryeta
estádio algarve,이스타디우 알가르브,iseutadiu algareubeu
leiria,레이리아,reiria
império português,포르투갈 제국,poreutugal jegug
merino,메리노,merino
alcobaça,알코바사,alkobasa
torre vasco da gama,바스쿠 다 가마 타워,baseuku da gama taweo
falcoaria,매사냥,maesanyang
fantasporto,판타스포르투,pantaseuporeutu
jogos da lusofonia,루소포니아 경기 대회,rusoponia gyeonggi daehoe
barcelos,바르셀루스,bareuselruseu
beja,베자,beja
nelas,넬라스,nelraseu
barreiro,바헤이루,baheiru
alfa pendular,알파 펜둘라르,alpa pendulrareu
machico,마시쿠,masiku
ponte vasco da gama,바스쿠 다 가마 다리,baseuku da gama dari
alandroal,알란드로알,alrandeuroal
elvas,엘바스,elbaseu
lagos,라구스,raguseu
águeda,아게다,ageda
olhão,올량,olryang
silves,실베스,silbeseu
doula,둘라,dulra
cascais,카스카이스,kaseukaiseu
santana,산타나,santana
guarda,구아르다,guareuda
óbidos,오비두스,obiduseu
valpaços,발파수스,balpasuseu
atlético clube de portugal,아틀레티코 클루베 데 포르투갈,ateulretiko keulrube de poreutugal
estádio josé alvalade,이스타디우 조제 알발라드,iseutadiu joje albalradeu
ílhavo,일랴부,ilryabu
caldo verde,칼두 베르드,kaldu bereudeu
padrão,파드랑,padeurang
abrantes,아브란트스,abeuranteuseu
almada,알마다,almada
província ultramarina,프로빈시아 우트라마리누,peurobinsia uteuramarinu
instituto camões,카몽이스 문화원,kamongiseu munhwaweon
hanno,한노,hanno
avis,아비스,abiseu
tavira,타비라,tabira
sines,시네스,sineseu
albufeira,알부페이라,albupeira
novo cinema,노부 시네마,nobu sinema
tondela,톤델라,tondelra
anadia,아나디아,anadia
euronext lisboa,유로넥스트 리스본,yuronegseuteu riseubon
arganil,아르가닐,areuganil
cantanhede,칸타녜드,kantanyedeu
lusotropicalismo,루소트로피칼리즘,rusoteuropikalrijeum
escudo português,포르투갈 이스쿠두,poreutugal iseukudu
aveiro,아베이루,abeiru
nazaré,나자레,najare
chaves,샤베스,syabeseu
colégio militar,포르투갈 육군군사참모대학교,poreutugal yuggungunsacammodaehaggyo
iii divisão,테르세이라 디비장,tereuseira dibijang
cimeiras ibéricas,이베리아 정상회담,iberia jeongsanghoedam
museu nacional ferroviário,포르투갈 국립 철도박물관,poreutugal gugrib ceoldobagmulgwan
azores airlines,아조레스 항공,ajoreseu hanggong
academia militar,포르투갈 육군사관학교,poreutugal yuggunsagwanhaggyo
estádio da luz,이스타디우 다 루스,iseutadiu da ruseu
espinho,이스피뉴,iseupinyu
bacalhau,바칼랴우,bakalryau
carlos alexandre souza silva,카를루스 알레산드리 소자 시우바,kareulruseu alresandeuri soja siuba
márcio miranda freitas rocha da silva,마르시우 미란다 프레이타스 로차 다 시우바,mareusiu miranda peureitaseu roca da siuba
erwin kräutler,에르빈 크로이틀러,ereubin keuroiteulreo
lúcio,루시우,rusiu
nádson rodrigues de souza,나드송 호드리게스 지 소자,nadeusong hodeurigeseu ji soja
carlos alberto souza dos santos,카를루스 아우베르투 소자 두스 산투스,kareulruseu aubereutu soja duseu santuseu
anderson andrade antunes,안드라지 안투니스 안데르송,andeuraji antuniseu andereusong
adilson ferreira de souza,아디우송 페헤이라 지 소자,adiusong peheira ji soja
julio cesar soares espíndola,줄리우 세자르 소아리스 이스핀돌라,julriu sejareu soariseu iseupindolra
caio kochweser,카이오 코흐베저,kaio koheubejeo
anderson bamba,안데르송 밤바,andereusong bamba
monica iozzi,모니카 이오지,monika ioji
marcos aoás corrêa,마르쿠스 아오아스 코헤아,mareukuseu aoaseu kohea
liédson,리에드송,riedeusong
adriano leite ribeiro,아드리아누 레이치 히베이루,adeurianu reici hibeiru
éverton lopes,에베르통 로페스,ebereutong ropeseu
diego ribas da cunha,지에구 히바스 다 쿠냐,jiegu hibaseu da kunya
ricardo mello,히카르두 멜루,hikareudu melru
luiz felipe scolari,루이스 펠리피 스콜라리,ruiseu pelripi seukolrari
teliana pereira,텔리아나 페레이라,telriana pereira
evair aparecido paulino,이바이르 아파레시두 파울리누,ibaireu aparesidu paulrinu
andré cruz,안드레 크루스,andeure keuruseu
fábio pereira da silva,파비우 페헤이라 다 시우바,pabiu peheira da siuba
adriana calcanhotto,아드리아나 카우카뇨투,adeuriana kaukanyotu
aron simis,아롱 시미스,arong simiseu
nathalia timberg,나탈리아 팀버그,natalria timbeogeu
glauber rocha,글라우베르 호샤,geulraubereu hosya
roger machado marques,호제르 마샤두 마르케스,hojereu masyadu mareukeseu
éverton nogueira,이베르통 노게이라,ibereutong nogeira
marisa monte,마리자 몬치,marija monci
fernando collor de mello,페르난두 콜로르 지 멜루,pereunandu kolroreu ji melru
marques batista de abreu,마르케스 바티스타 지 아브레우,mareukeseu batiseuta ji abeureu
leonardo de deus santos,레오나르두 지 지우스 산투스,reonareudu ji jiuseu santuseu
rincón,힝콩,hingkong
marta vieira da silva,마르타 비에이라 다 시우바,mareuta bieira da siuba
norberto murara neto,노르베르투 무라라 네투,noreubereutu murara netu
thomas behrend,토마스 베렌트,tomaseu berenteu
antônio carlos jobim,안토니우 카를루스 조빙,antoniu kareulruseu jobing
fabricio melo,팹 멜로,paeb melro
luiz gonzaga,루이스 곤자가,ruiseu gonjaga
maria bethânia,마리아 베타니아,maria betania
carlos renato frederico,카를루스 헤나투 프레데리쿠,kareulruseu henatu peurederiku
orani joão tempesta,오라니 주앙 템페스타,orani juang tempeseuta
juary,주아리,juari
celso lafer,세우수 라페르,seusu rapereu
emerson da conceição,이메르송 다 콘세이상,imereusong da konseisang
léo itaperuna,레우 이타페루나,reu itaperuna
bruna tenório,브루나 테노리우,beuruna tenoriu
felipe aliste lopes,펠리피 알리스치 로페스,pelripi alriseuci ropeseu
cláudio roditi,클라우지우 호지치,keulraujiu hojici
clodovis boff,클로도비스 보프,keulrodobiseu bopeu
willian gomes de siqueira,윌리앙 고메스 지 시케이라,wilriang gomeseu ji sikeira
guilherme guido,길례르미 기두,gilryereumi gidu
alceu valença,아우세우 발렌사,auseu balrensa
