françois hollande,프랑수아 올랑드,peurangsua olrangdeu
jeanclaude darcheville,장클로드 다르슈빌,jangkeulrodeu dareusyubil
dominique vlasto,도미니크 블라스토,dominikeu beulraseuto
louis michel,루이 미셸,rui misyel
jeanpierre beltoise,장피에르 벨투아즈,jangpiereu beltuajeu
andré comtesponville,앙드레 콩트스퐁빌,angdeure kongteuseupongbil
loïc wacquant,로이크 바캉,roikeu bakang
maurice scève,모리스 세브,moriseu sebeu
carlos d'alessio,카를로스 달레시오,kareulroseu dalresio
georges auric,조르주 오리크,joreuju orikeu
fabien bartez,파비앵 바르테즈,pabiaeng bareutejeu
karine ruby,카린 루비,karin rubi
charlesfrançois daubigny,샤를프랑수아 도비니,syareulpeurangsua dobini
philip sainton,필립 세인턴,pilrib seinteon
alexeï nikolaïevitch tolstoï,알렉세이 니콜라예비치 톨스토이,alregsei nikolrayebici tolseutoi
louismarie billé,루이마리 빌레,ruimari bilre
guy barruol,기 바뤼올,gi barwiol
éric macé,에리크 마세,erikeu mase
louisclaude de saintmartin,루이클로드 드 생마르탱,ruikeulrodeu deu saengmareutaeng
olympe mancini,올림피아 만치니,olrimpia mancini
jeanne fusiergir,잔 퓌지에지르,jan pwijiejireu
arthur morin,아르튀르 모랭,areutwireu moraeng
jules lemaître,쥘 르메트르,jwil reumeteureu
bertrand delanoë,베르트랑 들라노에,bereuteurang deulranoe
aurélie filippetti,오렐리 필리페티,orelri pilripeti
pierre clostermann,피에르 클로스테르만,piereu keulroseutereuman
maxime vachierlagrave,막심 바시에라그라브,magsim basierageurabeu
paul reclus,폴 르클뤼,pol reukeulrwi
istván nyers,네르시 이슈트반,nereusi isyuteuban
sylvère lotringer,실베르 로트랭제,silbereu roteuraengje
claude ballif,클로드 발리프,keulrodeu balripeu
élisabeth de france,이사벨 데 발로이스,isabel de balroiseu
louis daquin,루이 다캥,rui dakaeng
théodore aubanel,테오도르 오바넬,teodoreu obanel
anne de bretagne,안 드 브르타뉴,an deu beureutanyu
frédéric mitterrand,프레데리크 미테랑,peurederikeu miterang
hubert barbier,위베르 바르비에,wibereu bareubie
roger nimier,로제 니미에,roje nimie
jean gallon,장 갈롱,jang galrong
lorie,로리,rori
caroline garcia,카롤린 가르시아,karolrin gareusia
rené séjourné,르네 세주르네,reune sejureune
myriam soumaré,미리암 수마레,miriam sumare
jean boulet,장 불레,jang bulre
hubert curien,위베르 퀴리앵,wibereu kwiriaeng
stephan eicher,슈테판 아이히너,syutepan aihineo
gnassingbé eyadema,냐싱베 에야데마,nyasingbe eyadema
georges courteline,조르주 쿠르틀린,joreuju kureuteulrin
nicolascharles oudinot,니콜라 우디노,nikolra udino
alain souchon,알랭 수숑,alraeng susyong
benjamin péret,뱅자맹 페레,baengjamaeng pere
jules dumont durville,쥘 뒤몽 뒤르빌,jwil dwimong dwireubil
antoine de rivarol,앙투안 드 리바롤,angtuan deu ribarol
alain boublil,알랭 부블릴,alraeng bubeulril
nathalie luca,나탈리 뤼카,natalri rwika
seth gueko,세트 게코,seteu geko
pierre vidalnaquet,피에르 비달나케,piereu bidalnake
sylvia bongo ondimba,실비아 봉고 온딤바,silbia bonggo ondimba
maurice emmanuel,모리스 에마뉘엘,moriseu emanwiel
marc allégret,마르크 알레그레,mareukeu alregeure
aurore jean,오로르 장,ororeu jang
colette audry,콜레트 오드리,kolreteu odeuri
édouard estaunié,에두아르 에스토니에,eduareu eseutonie
françoise dürr,프랑수아즈 뒤르,peurangsuajeu dwireu
émile javal,에밀 자발,emil jabal
bernard lubat,베르나르 뤼바,bereunareu rwiba
émile littré,에밀 리트레,emil riteure
francis picabia,프랑시스 피카비아,peurangsiseu pikabia
charles lucien bonaparte,샤를 뤼시앵 보나파르트,syareul rwisiaeng bonapareuteu
rené clair,르네 클레르,reune keulrereu
jeanclaude pecker,장클로드 페케르,jangkeulrodeu pekereu
gaston rébuffat,가스통 레뷔파,gaseutong rebwipa
andré martinet,앙드레 마르티네,angdeure mareutine
émile oustalet,에밀 오스탈레,emil oseutalre
émile lemoine,에밀 르무안,emil reumuan
émilie loit,에밀리 루아,emilri rua
thomas heurtel,토마 외르텔,toma oereutel
hubert lyautey,위베르 리요테,wibereu riyote
mourad boudjellal,무라드 부젤랄,muradeu bujelral
émile poulat,에밀 풀라,emil pulra
émile de girardin,에밀 드 지라르댕,emil deu jirareudaeng
marcel arland,마르셀 아를랑,mareusel areulrang
émile souvestre,에밀 수베스트르,emil subeseuteureu
sergio ortega,세르히오 오르테가,sereuhio oreutega
raymond dubly,레몽 뒤블리,remong dwibeulri
nicolas saada,니콜라 사다,nikolra sada
raphaël poirée,라파엘 푸아레,rapael puare
michèle alliotmarie,미셸 알리오마리,misyel alriomari
émilienne d'alençon,에밀리엔 달랑숑,emilrien dalrangsyong
pierre nora,피에르 노라,piereu nora
geneviève grad,준비에브 그라,junbiebeu geura
émilie pellapra,에밀리 펠라프라,emilri pelrapeura
jérôme cahuzac,제롬 카위자크,jerom kawijakeu
bidzina ivanichvili,비지나 이바니슈빌리,bijina ibanisyubilri
jeancharles darmon,장샤를 다르몽,jangsyareul dareumong
ismail omar guelleh,이스마일 오마르 겔레,iseumail omareu gelre
bruno massot,브뤼노 마소,beurwino maso
daniel sangouma,다니엘 상구마,daniel sangguma
éric caravaca,에릭 카라바카,erig karabaka
camille silvy,카미유 실비,kamiyu silbi
éric caritoux,에리크 카리투,erikeu karitu
didier digard,디디에 디가르,didie digareu
éric aumonier,에리크 오모니에,erikeu omonie
rené depestre,르네 드페스트르,reune deupeseuteureu
fabrice nsakala,파브리스 은사칼라,pabeuriseu eunsakalra
madeleine béjart,마들렌 베자르,madeulren bejareu
patrick guillou,파트리크 길루,pateurikeu gilru
guy dollé,기 돌레,gi dolre
henri marteau,앙리 마르토,angri mareuto
francis cabrel,프랜시스 카브렐,peuraensiseu kabeurel
alain mabanckou,알랭 마방쿠,alraeng mabangku
étienne didot,에티엔 디도,etien dido
paul winter,폴 윙테르,pol wingtereu
benjamin nivet,뱅자맹 니베,baengjamaeng nibe
christiane taubira,크리스티안 토비라,keuriseutian tobira
patrick lapeyre,파트리크 라페르,pateurikeu rapereu
nathalie kosciuskomorizet,나탈리 코시위스코모리제,natalri kosiwiseukomorije
andré lurçat,앙드레 뤼르사,angdeure rwireusa
warda eldjazairia,와르다 알자자이리아,wareuda aljajairia
maurice halbwachs,모리스 알브바크스,moriseu albeubakeuseu
nicolas grenier,니콜라 그레니에,nikolra geurenie
éric de moulinsbeaufort,에리크 드 물랭보포르,erikeu deu mulraengboporeu
dominique voynet,도미니크 부아네,dominikeu buane
éric gautier,에리크 고티에,erikeu gotie
éric tabarly,에리크 타바를리,erikeu tabareulri
éric fottorino,에리크 포토리노,erikeu potorino
éric pécout,에리크 페쿠,erikeu peku
éric rabésandratana,에리크 라베산드라타나,erikeu rabesandeuratana
jean borotra,장 보로트라,jang boroteura
adrien mörk,아드리앵 뫼르크,adeuriaeng moereukeu
grégory havret,그레고리 아브레,geuregori abeure
paul brouardel,폴 브루아르델,pol beuruareudel
étienne bacrot,에티엔 바크로,etien bakeuro
jean brossel,장 브로셀,jang beurosel
louis jacques thénard,루이 자크 테나르,rui jakeu tenareu
étienne baluze,에티엔 발뤼즈,etien balrwijeu
étienne becker,에티엔 베케르,etien bekereu
georges valiron,조르주 발리롱,joreuju balrirong
valentin le désossé,발랑탱 르 데소세,balrangtaeng reu desose
marisol touraine,마리솔 투렌,marisol turen
henri bard,앙리 바르,angri bareu
maurice béjart,모리스 베자르,moriseu bejareu
zinaïda hippius,지나이다 기피우스,jinaida gipiuseu
stéphanie de beauharnais,스테파니 드 보아르네,seutepani deu boareune
étienne brûlé,에티엔 브룰,etien beurul
marc porel,마크 포렐,makeu porel
joachim garraud,조아킴 가로,joakim garo
étienne chatiliez,에띠앙느 샤틸레즈,eddiangneu syatilrejeu
étienne ghys,에티엔 지스,etien jiseu
marguerite de france,마르그리트 드 발루아,mareugeuriteu deu balrua
hélène carrère d'encausse,엘렌 카레르 당코스,elren karereu dangkoseu
constant troyon,콩스탕 트루아용,kongseutang teuruayong
pierre pflimlin,피에르 플림랭,piereu peulrimraeng
joseph laniel,조제프 라니엘,jojepeu raniel
étienne jeaurat,에티엔 조라,etien jora
jessy matador,제시 마타도르,jesi matadoreu
étienne pivert de senancour,에티엔 피베르 드 세낭쿠르,etien pibereu deu senangkureu
susan george,수전 조지,sujeon joji
virginie razzano,비르지니 라자노,bireujini rajano
jacques anquetil,자크 앙크틸,jakeu angkeutil
marylise lebranchu,마릴리즈 르브랑쉬,marilrijeu reubeurangswi
pierre messmer,피에르 메스메르,piereu meseumereu
wilfrid de fonvielle,윌프리드 드 퐁비엘,wilpeurideu deu pongbiel
norbert dufourcq,노르베르 뒤푸르크,noreubereu dwipureukeu
jules oppert,율리우스 오페르트,yulriuseu opereuteu
germaine tillion,제르멘 틸리옹,jereumen tilriong
aravane rezaï,아라반 레자이,araban rejai
alizé cornet,알리제 코르네,alrije koreune
cornelis rudolphus theodorus krayenhoff,코르넬리스 뤼돌퓌스 테오도뤼스 크라이엔호프,koreunelriseu rwidolpwiseu teodorwiseu keuraienhopeu
zoumana bakayogo,주마나 바카요고,jumana bakayogo
valérie fourneyron,발레리 푸르네롱,balreri pureunerong
zoë prévost,조에 프레보스트,joe peureboseuteu
françoise dolto,프랑수아즈 돌토,peurangsuajeu dolto
francis mer,프랑시스 메르,peurangsiseu mereu
danièle delorme,다니엘 들로름,daniel deulroreum
octave mannoni,옥타브 마노니,ogtabeu manoni
jean leclant,장 르클랑,jang reukeulrang
sylviane félix,실비안 펠릭스,silbian pelrigseu
éric serra,에리크 세라,erikeu sera
dominique perben,도미니크 페르방,dominikeu pereubang
stéphane franke,스테판 프랑크,seutepan peurangkeu
dominique bussereau,도미니크 뷔스로,dominikeu bwiseuro
delphine batho,델핀 바토,delpin bato
jeanmarie messier,장마리 메시에,jangmari mesie
claude arrieu,클로드 아리외,keulrodeu arioe
nicolas rémy,니콜라 레미,nikolra remi
jeanne demessieux,잔 드메시외,jan deumesioe
katherine pancol,카트린 팡콜,kateurin pangkol
jeanvictor bertin,장빅토르 베르탱,jangbigtoreu bereutaeng
josé arribas,호세 아리바스,hose aribaseu
georges painvin,조르주 팽뱅,joreuju paengbaeng
zuzana navarová,주자나 나바로바,jujana nabaroba
anne sinclair,안 생클레르,an saengkeulrereu
tristane banon,트리스탄 바농,teuriseutan banong
nicole duclos,니콜 뒤클로,nikol dwikeulro
marie leszczyńska,마리 레슈친스카,mari resyucinseuka
catherine allégret,카트린 알레그레,kateurin alregeure
le primatice,프란체스코 프리마티초,peuranceseuko peurimatico
wilhelm uhde,빌헬름 우데,bilhelreum ude
camille jullian,카미유 쥘리앙,kamiyu jwilriang
marie cavallier,마리 왕자빈,mari wangjabin
louise de la vallière,루이즈 드 라 발리에르,ruijeu deu ra balriereu
adolphe chéruel,아돌프 셰뤼엘,adolpeu syerwiel
nicole védrès,니콜 베드레스,nikol bedeureseu
catherine bréchignac,카트린 브레시냐크,kateurin beuresinyakeu
camille flammarion,카미유 플라마리옹,kamiyu peulramariong
mariechristine blandin,마리크리스틴 블랑댕,marikeuriseutin beulrangdaeng
nathalie tauziat,나탈리 토지아,natalri tojia
olivier nakache,올리비에 나카슈,olribie nakasyu
élisabeth badinter,엘리자베트 바댕테르,elrijabeteu badaengtereu
édouard lartet,에두아르 라르테,eduareu rareute
édouard boubat,에두아르 부바,eduareu buba
édouard brézin,에두아르 브레쟁,eduareu beurejaeng
adolphe brongniart,아돌프 브롱냐르,adolpeu beurongnyareu
stéphanie foretz,스테파니 포레츠,seutepani poreceu
sonia delaunay,소니아 들로네,sonia deulrone
philippe soupault,필리프 수포,pilripeu supo
édouard drumont,에두아르 드뤼몽,eduareu deurwimong
édouard cissé,에두아르 시세,eduareu sise
édouard courtial,에두아르 쿠르티알,eduareu kureutial
édouard colonne,에두아르 콜론,eduareu kolron
grégory lemarchal,그레고리 르막샬,geuregori reumagsyal
françois clouet,프랑수아 클루에,peurangsua keulrue
virginie ledieu,비르지니 르디외,bireujini reudioe
édouard brissaud,에두아르 브리소,eduareu beuriso
gilles allou,질 알루,jil alru
édouard stako,에두아르 스타코,eduareu seutako
édouard glissant,에두아르 글리상,eduareu geulrisang
colette besson,콜레트 베송,kolreteu besong
édouard montoute,에두아르 몽투트,eduareu mongtuteu
édouard molinaro,에두아르 몰리나로,eduareu molrinaro
édouard de verneuil,에두아르 드 베르뇌유,eduareu deu bereunoeyu
faïza guène,파이자 겐,paija gen
daniel cohnbendit,다니엘 콘벤디트,daniel konbenditeu
renérobert cavelier de la salle,르네로베르 카블리에 드 라 살,reunerobereu kabeulrie deu ra sal
pierre vernier,피에르 베르니에,piereu bereunie
achille liénart,아실 리에나르,asil rienareu
achille joinard,아실 주아나르,asil juanareu
achille richard,아실 리샤르,asil risyareu
achille souchard,아실 수샤르,asil susyareu
nicolas raynier,니콜라 레니에,nikolra renie
achille peretti,아실 페레티,asil pereti
claudie haigneré,클로디 에뉴레,keulrodi enyure
yves guéna,이브 게나,ibeu gena
dora maar,도라 마르,dora mareu
hélène dutrieu,엘렌 뒤트리외,elren dwiteurioe
émilegeorges drigny,에밀조르주 드리니,emiljoreuju deurini
muriel barbery,뮈리엘 바르브리,mwiriel bareubeuri
jeanne de france,잔 드 프랑스,jan deu peurangseu
max deutsch,막스 도이치,magseu doici
louise labé,루이즈 라베,ruijeu rabe
élisabeth roudinesco,엘리자베트 루디네스코,elrijabeteu rudineseuko
charles de rémusat,샤를 드 레뮈사,syareul deu remwisa
louis dumont,루이 뒤몽,rui dwimong
françois achille bazaine,프랑수아 아실 바젠,peurangsua asil bajen
guillaume rufin,기욤 뤼팽,giyom rwipaeng
marie ndiaye,마리은 디아예,marieun diaye
mathurin méheut,마튀랭 메외,matwiraeng meoe
sophie lefèvre,소피 르페브르,sopi reupebeureu
serge laget,세르주 라제,sereuju raje
laura thorpe,로라 토르프,rora toreupeu
jules mouquet,쥘 무케,jwil muke
antoine lepautre,앙투안 르포트르,angtuan reupoteureu
louise abbéma,루이즈 아베마,ruijeu abema
émile durand,에밀 뒤랑,emil dwirang
macha méril,마카 메릴,maka meril
jeanpatrick manchette,장파트리크 망셰트,jangpateurikeu mangsyeteu
jean de berry,베리 공작 장,beri gongjag jang
jeanbaptiste greuze,장바티스트 그뢰즈,jangbatiseuteu geuroejeu
nancy huston,낸시 휴스턴,naensi hyuseuteon
antar yahia,안타르 야히아,antareu yahia
marie souvestre,마리 수베스트르,mari subeseuteureu
pierre chatenet,피에르 샤트네,piereu syateune
christine angot,크리스틴 앵거,keuriseutin aenggeo
geneviève tabouis,준비에브 타부아,junbiebeu tabua
georgesantoine rochegrosse,조르주 로슈그로스,joreuju rosyugeuroseu
françois dubois,프랑수아 뒤부아,peurangsua dwibua
abbas fahdel,아바스 파델,abaseu padel
andré danjon,앙드레루이 당종,angdeurerui dangjong
alain de boissieu,알랭 드 부아시외,alraeng deu buasioe
hervé guibert,에르베 기베르,ereube gibereu
marc gicquel,마르크 지켈,mareukeu jikel
abdoulaye sané,압둘라이 사네,abdulrai sane
jules coignet,쥘 쿠아녜,jwil kuanye
jeanbarthélemy hauréau,바르텔미 오레오,bareutelmi oreo
abderrahmane sissako,아브데라만 시사코,abeuderaman sisako
jacques hilling,자크 일링,jakeu ilring
geneviève brossard de beaulieu,준비에브 브로사르 드 볼리외,junbiebeu beurosareu deu bolrioe
luc illusie,뤼크 일뤼지,rwikeu ilrwiji
dany robin,대니 로빈,daeni robin
serge hutin,세르주 위탱,sereuju witaeng
jacquesandré naigeon,자크앙드레 네종,jakeuangdeure nejong
alphonse allais,알퐁스 알레,alpongseu alre
joëlle ceccaldiraynaud,조엘 세칼디레노,joel sekaldireno
michel crépeau,미셸 크레포,misyel keurepo
etteilla,에테야,eteya
axel corti,액셀 코르티,aegsel koreuti
jérôme pradon,제롬 프라돈,jerom peuradon
jeanbaptiste debret,장바티스트 드브레,jangbatiseuteu deubeure
rudy molard,뤼디 몰라르,rwidi molrareu
alexandre guilmant,알렉상드르 길망,alregsangdeureu gilmang
sylvain armand,실뱅 아르망,silbaeng areumang
louis ier d'anjou,앙주 공작 루이,angju gongjag rui
édouard thouvenel,에두아르 투브넬,eduareu tubeunel
alain daniélou,알랭 다니엘루,alraeng danielru
jean jouzel,장 주젤,jang jujel
louis le vau,루이 르 보,rui reu bo
marie skobtsov,마리아 스코브소파,maria seukobeusopa
alphonse de châteaubriant,알퐁스 드 샤토브리앙,alpongseu deu syatobeuriang
geneviève fioraso,준비에브 피오라조,junbiebeu piorajo
nicolas martin,니콜라 마르탱,nikolra mareutaeng
gilles de rais,질 드 레,jil deu re
mariechristine vergiat,마리크리스틴 베르지아,marikeuriseutin bereujia
juliette drouet,쥘리에트 드루에,jwilrieteu deurue
georges peyroche,조르주 페로슈,joreuju perosyu
louis muraton,루이 뮈라통,rui mwiratong
adrien turnèbe,아드리앵 튀르네브,adeuriaeng twireunebeu
jean moréas,장 모레아스,jang moreaseu
pierre termier,피에르마리 테르미에,piereumari tereumie
noé pamarot,노에 파마로,noe pamaro
claire bretécher,클레르 브르테셰,keulrereu beureutesye
almira skripchenko,알미라 스크립첸코,almira seukeuribcenko
patrice mourier,파트리스 무리에,pateuriseu murie
andré fabre,앙드레 파브르,angdeure pabeureu
jonathan zebina,조나탕 제비나,jonatang jebina
paul giéra,폴 지에라,pol jiera
philippe aghion,필립 아기온,pilrib agion
christa théret,크리스타 테레,keuriseuta tere
louisjosephraphaël collin,라파엘 콜랭,rapael kolraeng
william christie,윌리엄 크리스티,wilrieom keuriseuti
maurice couve de murville,모리스 쿠브 드 뮈르빌,moriseu kubeu deu mwireubil
bouabdellah tahri,부압델라 타리,buabdelra tari
andré masson,앙드레 마송,angdeure masong
isabelle demongeot,이자벨 드몽조,ijabel deumongjo
rosemonde gérard,로즈몽드 제라르,rojeumongdeu jerareu
népomucène lemercier,네포뮈센 르메르시에,nepomwisen reumereusie
mariethérèse levasseur,테레즈 르바쇠르,terejeu reubasoereu
léon deladerrière,레옹 들라데리에르,reong deulraderiereu
jeanpaul proust,장폴 프루스트,jangpol peuruseuteu
alain ferté,알랭 페르테,alraeng pereute
nicolas fouquet,니콜라 푸케,nikolra puke
grégory bourdy,그레고리 부르디,geuregori bureudi
adrienne clostre,아드리엔 클로스트르,adeurien keulroseuteureu
jeancharles pichegru,샤를 피슈그뤼,syareul pisyugeurwi
vincent dindy,뱅상 당디,baengsang dangdi
christine albanel,크리스틴 알바넬,keuriseutin albanel
charles cros,샤를 크로,syareul keuro
joseph duval,조제프 뒤발,jojepeu dwibal
grégory saintgéniès,그레고리 생제니에스,geuregori saengjenieseu
corynne charby,코린 샤르비,korin syareubi
fromental halévy,프로망탈 알레비,peuromangtal alrebi
dominique visse,도미니크 비스,dominikeu biseu
jeanantoine de baïf,장앙투안 드 바이프,jangangtuan deu baipeu
sebastião salgado,세바스티오 살가도,sebaseutio salgado
henri skiba,앙리 스키바,angri seukiba
bernardmarie koltès,베르나르마리 콜테스,bereunareumari kolteseu
andreï makine,안드레이 마킨,andeurei makin
françois coppée,프랑수아 코페,peurangsua kope
hervé bazin,에르베 바쟁,ereube bajaeng
michèle chardonnet,미셸 샤르도네,misyel syareudone
modeste mbami,모데스트 음바미,modeseuteu eumbami
raymond forni,레몽 포르니,remong poreuni
frédéric piquionne,프레데리크 피키온,peurederikeu pikion
christian d'oriola,크리스티앙 도리올라,keuriseutiang doriolra
kévin gameiro,케뱅 가메이로,kebaeng gameiro
stacia napierkowska,스타시아 나피에르코프스카,seutasia napiereukopeuseuka
jules bigot,쥘 비고,jwil bigo
hamer bouazza,아뫼르 부아자,amoereu buaja
marie rivière,마리 리비에르,mari ribiereu
louis franchet d'espèrey,루이 프랑셰 데페레,rui peurangsye depere
louis métezeau,무이 메트조,mui meteujo
lucien gamblin,뤼시앵 강블랭,rwisiaeng gangbeulraeng
julien lizeroux,쥘리앵 리즈루,jwilriaeng rijeuru
auguste perret,오귀스트 페레,ogwiseuteu pere
juandavid nasio,후안다비드 나시오,huandabideu nasio
jean stablinski,장 스타블랭스키,jang seutabeulraengseuki
christophe riblon,크리스토프 리블롱,keuriseutopeu ribeulrong
roger excoffon,로제 엑스코퐁,roje egseukopong
rené char,르네 샤르,reune syareu
pierrick fédrigo,피에리크 페드리고,pierikeu pedeurigo
camille du locle,카미유 뒤 로클,kamiyu dwi rokeul
pierre pelot,피에르 펠로,piereu pelro
serge lifar,세르주 리파르,sereuju ripareu
philippe juvin,필리프 쥐뱅,pilripeu jwibaeng
ludovic butelle,뤼도비크 뷔텔,rwidobikeu bwitel
césar baldaccini,세자르 발다치니,sejareu baldacini
colin clive,콜린 클라이브,kolrin keulraibeu
georges boulogne,조르주 불로뉴,joreuju bulronyu
andré frossard,앙드레 프로사르,angdeure peurosareu
joseph bertrand,조제프 베르트랑,jojepeu bereuteurang
guillaume bigourdan,기욤 비구르당,giyom bigureudang
francis thomé,프랑시스 토메,peurangsiseu tome
louis poinsot,루이 푸앵소,rui puaengso
jean casimirperier,장 카시미르페리에,jang kasimireuperie
michel serres,미셸 세르,misyel sereu
david d'angers,다비드 당제,dabideu dangje
théophilejules pelouze,테오필쥘 펠루즈,teopiljwil pelrujeu
huguette dreyfus,위게트 드레퓌스,wigeteu deurepwiseu
adolf scherer,아돌프 스헤레르,adolpeu seuherereu
irène joachim,이렌 요아힘,iren yoahim
roxana maracineanu,록사나 머러치네아누,rogsana meoreocineanu
dominique schnapper,도미니크 슈나페르,dominikeu syunapereu
emmanuelle haïm,에마뉘엘 아임,emanwiel aim
henri camara,앙리 카마라,angri kamara
étiennenicolas méhul,에티엔 메윌,etien mewil
geneviève de galard,준비에브 드 갈라르,junbiebeu deu galrareu
tony robertfleury,토니 로베르플뢰리,toni robereupeulroeri
louis françois de boufflers,부플레르 공작 루이 프랑수아,bupeulrereu gongjag rui peurangsua
tristan corbière,트리스탕 코르비에르,teuriseutang koreubiereu
amandjoseph fava,아르망조제프 파바,areumangjojepeu paba
isabelle blanc,이자벨 블랑,ijabel beulrang
adolphe messimy,아돌프 메시미,adolpeu mesimi
julie manet,쥘리 마네,jwilri mane
guy drut,기 드뤼,gi deurwi
barthélemy aneau,바르텔레미 아노,bareutelremi ano
cyril jeunechamp,시릴 죈샹,siril joensyang
raoul coutard,라울 쿠타르,raul kutareu
olivier monterrubio,올리비에 몬테루비오,olribie monterubio
paul romano,폴 로마노,pol romano
joanna miles,조애나 마일스,joaena mailseu
philippe dousteblazy,필리프 두스트블라지,pilripeu duseuteubeulraji
aloysius bertrand,알루아시위스 베르트랑,alruasiwiseu bereuteurang
michel petrucciani,미셸 페트루치아니,misyel peteuruciani
robert pires,로베르 피레스,robereu pireseu
jeanjacques gautier,장자크 고티에,jangjakeu gotie
jacky novi,자키 노비,jaki nobi
abel decaux,아벨 드코,abel deuko
marcel aubour,마르셀 오부르,mareusel obureu
albert malbois,알베르 말부아,albereu malbua
doriane vidal,도리안 비달,dorian bidal
rené laforgue,르네 라포르그,reune raporeugeu
guillaume gallienne,기욤 갈리엔,giyom galrien
rita cadillac,리타 캐딜락,rita kaedilrag
marcel aymé,마르셀 아이메,mareusel aime
jacques chaurand,자크 쇼랑,jakeu syorang
christiane scrivener,크리스티안 스크리브네르,keuriseutian seukeuribeunereu
jacques raymond brascassat,자크 레몽 브라카사트,jakeu remong beurakasateu
damien perrinelle,다미앵 페리넬,damiaeng perinel
abel hugo,아벨 위고,abel wigo
yvonne lefébure,이본 르페뷔르,ibon reupebwireu
wally badarou,왈리 바다루,walri badaru
danièle debernard,다니엘 드베르나르,daniel deubereunareu
maxime poundjé,막심 푼제,magsim punje
imanol harinordoquy,이마놀 아리노르도키,imanol arinoreudoki
suzanne curchod,쉬잔 퀴르쇼,swijan kwireusyo
michel tabachnik,미셸 타바슈니크,misyel tabasyunikeu
léonora miano,레오노라 미아노,reonora miano
mona ozouf,모나 오주프,mona ojupeu
milan rastislav štefánik,밀란 라스티슬라우 슈테파니크,milran raseutiseulrau syutepanikeu
matthieu gourdain,마티외 구르댕,matioe gureudaeng
sébastien chabal,세바스티앵 샤발,sebaseutiaeng syabal
olivier minne,올리비에 민,olribie min
roberto matta,로베르토 마타,robereuto mata
agnès soral,아녜스 소랄,anyeseu soral
agnès spaak,아녜스 스파크,anyeseu seupakeu
agnes ullmann,아녜스 울만,anyeseu ulman
agnès godard,아네스 고다르,aneseu godareu
agnès merlet,아녜스 메를레,anyeseu mereulre
jeanluc lagardère,장뤼크 라가르데르,jangrwikeu ragareudereu
marcel herrand,마르셀 에랑,mareusel erang
jeanbaptiste faure,장밥티스트 포르,jangbabtiseuteu poreu
agnès mercier,아녜스 메르시에,anyeseu mereusie
aimé bonpland,에메 봉플랑,eme bongpeulrang
ahmed abdallah,아흐메드 압달라,aheumedeu abdalra
molla wague,몰라 와귀에,molra wagwie
nicolas fréret,니콜라 프레레,nikolra peurere
florent schmitt,플로랑 슈미트,peulrorang syumiteu
robert dhéry,로베르 데리,robereu deri
lászló bodrogi,라슬로 보드로기,raseulro bodeurogi
pierre lelong,피에르 를롱,piereu reulrong
pierreluc périchon,피에르뤼크 페리숑,piereurwikeu perisyong
gaspard de prony,가스파르 드 프로니,gaseupareu deu peuroni
françoisxavier poizat,프랑수아그자비에 푸아자,peurangsuageujabie puaja
lakhdar brahimi,라흐다르 브라히미,raheudareu beurahimi
françoise rosay,프랑수와 로제이,peurangsuwa rojei
françoise arnoul,프랑소와 아르놀,peurangsowa areunol
pierre sancan,피에르 상캉,piereu sangkang
barbara pompili,바르바라 퐁필리,bareubara pongpilri
camille crémer,카미유 크레메르,kamiyu keuremereu
marguerite audoux,마르그리트 오두,mareugeuriteu odu
jeanpaul civeyrac,장폴 시베라크,jangpol siberakeu
renaud dutreil,르노 뒤트렐,reuno dwiteurel
caroline fourest,카롤린 푸레스트,karolrin pureseuteu
hélène perdrière,엘렌 페르드리에르,elren pereudeuriereu
emma calvé,에마 칼베,ema kalbe
anneaymone giscard d'estaing,안에몬 지스카르 데스탱,anemon jiseukareu deseutaeng
louise marguerite de lorraine,루이즈 마르그리트 드 로렌,ruijeu mareugeuriteu deu roren
annibale bozzuti,안니발레 보추티,annibalre bocuti
jeanluc vasseur,장뤼크 바쇠르,jangrwikeu basoereu
pierre jamet,피에르 자메,piereu jame
jean dalibard,장 달리바르,jang dalribareu
charles gleyre,마르크샤를가브리엘 글레르,mareukeusyareulgabeuriel geulrereu
frédéric cuvier,프레데리크 퀴비에,peurederikeu kwibie
marcel bucard,마르셀 뷔카르,mareusel bwikareu
camille pin,카미유 팽,kamiyu paeng
mariearlette carlotti,마리아를레트 카를로티,mariareulreteu kareulroti
albert barillé,알베르 바릴레,albereu barilre
nicole bricq,니콜 브리크,nikol beurikeu
philippe habert,필리프 아베르,pilripeu abereu
jeanlouis borloo,장루이 보를로,jangrui boreulro
eugène bigot,외젠 비고,oejen bigo
paul demiéville,폴 드미에빌,pol deumiebil
aldo maccione,알도 마초네,aldo macone
pascale audret,파스칼 아우렛,paseukal aures
jacqueline audry,자클린 오드리,jakeulrin odeuri
mélaniehélène bonis,멜라니 보니,melrani boni
charlotte delbo,샤를로트 델보,syareulroteu delbo
yannick kamanan,야니크 카마난,yanikeu kamanan
bernard courtois,베르나르 쿠르투아,bereunareu kureutua
dominique desseigne,도미니크 드세뉴,dominikeu deusenyu
david moncoutié,다비드 몽쿠티에,dabideu mongkutie
jean carrière,장 카리에르,jang kariereu
jean lurçat,장 뤼르사,jang rwireusa
clément chantôme,클레망 샹토메,keulremang syangtome
andreï siniavski,안드레이 시냡스키,andeurei sinyabseuki
xavier leroux,그자비에 르루,geujabie reuru
