제임스,t͡ɕeimsɯ
사마리,samaɾi
보르들로,poɾɯdɯllo
그로메르,kɯɾomeɾɯ
로드리그,lodɯɾigɯ
뒤라푸르,twiɾapʰuɾɯ
디아가나,tiagana
루키에,lukʰie
아다,ada
폴로루우아타라,pʰolloɾuuatʰaɾa
피에르장,pʰieɾɯdʑaŋ
술리에,sullie
소제,sodʑe
알페,alpʰe
다장,tadʑaŋ
테브노,tʰebɯno
크로스트,kʰɯɾosɯtʰɯ
아니크,anikʰɯ
데이만테,teimantʰe
다울리테,taullitʰe
숄레스키,sjollesɯkʰi
모노리,monoɾi
오비옹,obioŋ
브로샤르,pɯɾosjaɾɯ
데마레스트,temaɾesɯtʰɯ
베르티용,peɾɯtʰijoŋ
페넬로프,pʰenellopʰɯ
바지외,padʑiwe
드쿠르트레,tɯkʰuɾɯtʰɯɾe
플로트르,pʰɯllotʰɯɾɯ
아니세,anise
알비나,alpina
제고,t͡ɕego
슈브리에,sjubɯɾie
부쿠레슐리에브,pukʰuɾesjulliebɯ
다르낭,taɾɯnaŋ
달마,talma
미허일레아누,mihʌilleanu
토부아,tʰobua
다라스,taɾasɯ
데디에,tedie
샹송,sjaŋsoŋ
앙셀,aŋsel
클뤼이탕스,kʰɯllwiitʰaŋsɯ
쿠토,kʰutʰo
들롱클,tɯlloŋkʰɯl
보칼리,pokʰalli
샤탕,sjatʰaŋ
산소네티,sansonetʰi
욍치제,weŋt͡ɕʰidʑe
코니에,kʰonie
베네르,peneɾɯ
스넬라,sɯnella
풀셰델보스크,pʰulsjedelposɯkʰɯ
다리가드,taɾigadɯ
우세,use
브로카르,pɯɾokʰaɾɯ
펠리비앵,pʰellibiɛŋ
도브레,tobɯɾe
비시에르,pisieɾɯ
파르뇨,pʰaɾɯnjo
프랑수아퐁세,pʰɯɾaŋsuapʰoŋse
피냐르,pʰinjaɾɯ
아망장,amaŋt͡ɕaŋ
케자크,kʰedʑakʰɯ
잘루,t͡ɕallu
게에노,keeno
우에데크,uedekʰɯ
카브랄,kʰabɯɾal
마르크에두아르,maɾɯkʰɯeduaɾɯ
나브,nabɯ
주아네스트,t͡ɕuanesɯtʰɯ
아시온,asion
르트론,lɯtʰɯɾon
귀요,kwijo
자를로,t͡ɕaɾɯllo
브루제,pɯɾudʑe
와드,wadɯ
졸리바르,t͡ɕollibaɾɯ
이주아르,idʑuaɾɯ
세르파티,seɾɯpʰatʰi
파나피외,pʰanapʰiwe
바타,patʰa
브뤼뇽,pɯɾwinjoŋ
응고티,ɯŋkotʰi
당트로카스토,taŋtʰɯɾokʰasɯtʰo
랑주뱅졸리오,laŋt͡ɕubɛŋt͡ɕollio
캉드쉬,kʰaŋtɯswi
베르나르니콜라,peɾɯnaɾɯnikʰolla
오베르탱,obeɾɯtʰɛŋ
리우,liu
브랭카르,pɯɾɛŋkʰaɾɯ
위비오르카,wibioɾɯkʰa
로제뒤카스,lodʑedwikʰasɯ
레이그,leigɯ
장레오나르마리,t͡ɕaŋneonaɾɯmaɾi
푸아죄유,pʰuadʑweju
외제,wedʑe
엘리옹,ellioŋ
부글레,pugɯlle
캉로베르,kʰaŋnobeɾɯ
드베리아,tɯbeɾia
콩라르,kʰoŋnaɾɯ
모비니에,mobinie
라프노,lapʰɯno
델위모,teɾwimo
피에르프랑수아레오나르,pʰieɾɯpʰɯɾaŋsuaɾeonaɾɯ
오가뇌르,oganweɾɯ
아르노댕,aɾɯnodɛŋ
밀피에드,milpʰiedɯ
샤퓌,sjapʰwi
브루크버거,pɯɾukʰɯbʌgʌ
로르플랭,loɾɯpʰɯllɛŋ
자맹,t͡ɕamɛŋ
바르바랭,paɾɯbaɾɛŋ
지마코,t͡ɕimakʰo
라디슬라스,ladisɯllasɯ
스타레비치,sɯtʰaɾebit͡ɕʰi
뒤방,twibaŋ
앙투안프랑수아,aŋtʰuanpʰɯɾaŋsua
마르몽텔,maɾɯmoŋtʰel
로스타니,losɯtʰani
베다,peda
라르케,laɾɯkʰe
조다르,t͡ɕodaɾɯ
라카리에르,lakʰaɾieɾɯ
코세리,kʰoseɾi
페르피트,pʰeɾɯpʰitʰɯ
뒬레리,twilleɾi
기유메,kijume
위야르,wijaɾɯ
카토네,kʰatʰone
고도,kodo
레옹아돌프,leoŋadolpʰɯ
아메트,ametʰɯ
주브네,t͡ɕubɯne
무아테시에,muatʰesie
볼롱,polloŋ
아쿠아예,akʰuaje
프란시스쿠스,pʰɯɾansisɯkʰusɯ
유니우스,juniusɯ
브뤼소,pɯɾwiso
다니엘롭스,taniellop̚s͈ɯ
사르드,saɾɯdɯ
샤를시몽,sjaɾɯlsimoŋ
사팽,sapʰɛŋ
크레펠,kʰɯɾepʰel
베르들로,peɾɯdɯllo
스타지,sɯtʰadʑi
보수트로,posutʰɯɾo
프리오,pʰɯɾio
아브리엘,abɯɾiel
레네스,lenesɯ
포코네,pʰokʰone
다냥부브레,tanjaŋpubɯɾe
뒤투르,twitʰuɾɯ
뉘마,nwima
앙두아르,aŋtuaɾɯ
브라그,pɯɾagɯ
모클레르,mokʰɯlleɾɯ
부르뇽,puɾɯnjoŋ
카자,kʰadʑa
왈롱,walloŋ
바루앵,paɾuɛŋ
샤트리에,sjatʰɯɾie
고마르,komaɾɯ
가냥,kanjaŋ
드보,tɯbo
메사지에,mesadʑie
푸루,pʰuɾu
뒤퐁모노,twipʰoŋmono
로캉쿠르,lokʰaŋkʰuɾɯ
가사마,kasama
스트레프,sɯtʰɯɾepʰɯ
루이장,luidʑaŋ
샤를아마랭,sjaɾɯlamaɾɛŋ
뒤트뤼엘,twitʰɯɾwiel
퐁티에,pʰoŋtʰie
푸레,pʰuɾe
크루아실,kʰɯɾuasil
피게,pʰige
장루,t͡ɕaŋnu
다바디,tabadi
미고,migo
보케,pokʰe
쿠지,kʰudʑi
부레,puɾe
조포,t͡ɕopʰo
사리앵,saɾiɛŋ
베롱라크루아,peɾoŋnakʰɯɾua
셰드,sjedɯ
에르누,eɾɯnu
나오폴,naopʰol
아이언렉,aiʌllek̚
아수마니,asumani
들라쿠르,tɯllakʰuɾɯ
뒤게,twige
루이로베르,luiɾobeɾɯ
카리에벨뢰즈,kʰaɾiebellwedʑɯ
플라네,pʰɯllane
뒤베르누아,twibeɾɯnua
이나르,inaɾɯ
케트케오폼폰,kʰetʰɯkʰeopʰompʰon
뮈글러,mwigɯllʌ
포르뱅,pʰoɾɯbɛŋ
사피르,sapʰiɾɯ
타이데르,tʰaideɾɯ
라카사뉴,lakʰasanju
레옹폴,leoŋpʰol
파르그,pʰaɾɯgɯ
쇼메트,sjometʰɯ
푸제,pʰudʑe
만델브로이트,mantelpɯɾoitʰɯ
브리발,pɯɾibal
즈비에슈히에프스키,t͡ɕɯbiesjuhiepʰɯsɯkʰi
장베르트랑,t͡ɕaŋpeɾɯtʰɯɾaŋ
퐁탈리스,pʰoŋtʰallisɯ
제니에,t͡ɕenie
마야르,majaɾɯ
가스틴,kasɯtʰin
빌네,pille
페브로,pʰebɯɾo
마르캉,maɾɯkʰaŋ
카라데크,kʰaɾadekʰɯ
르베양,lɯbejaŋ
리테즈,litʰedʑɯ
타사르트,tʰasaɾɯtʰɯ
베시오,pesio
에냉,enɛŋ
클레르부아,kʰɯlleɾɯbua
오언존스,oʌnt͡ɕonsɯ
발카니,palkʰani
노르딘,noɾɯdin
우발리,uballi
와르뮈즈,waɾɯmwidʑɯ
콜로티,kʰollotʰi
스퐁드,sɯpʰoŋtɯ
그리올,kɯɾiol
뒤베르,twibeɾɯ
졸리오,t͡ɕollio
오르텔리,oɾɯtʰelli
호헨도르프,hohentoɾɯpʰɯ
블라디슬라프,pɯlladisɯllapʰɯ
호다세비치,hodasebit͡ɕʰi
스타코바,sɯtʰakʰoba
레피두스,lepʰidusɯ
브레이크봇,pɯɾeikʰɯbot̚
바스타로,pasɯtʰaɾo
자르댕,t͡ɕaɾɯdɛŋ
레옹스,leoŋsɯ
구아요,kuajo
클레르티,kʰɯlleɾɯtʰi
드마르세,tɯmaɾɯse
르쿠르,lɯkʰuɾɯ
요세프,josepʰɯ
쿠델카,kʰudelkʰa
부동,pudoŋ
들레트르,tɯlletʰɯɾɯ
빅토랭,pik̚tʰoɾɛŋ
뤼렐,lwiɾel
우데아,udea
마케,makʰe
라카생,lakʰasɛŋ
파주노,pʰadʑuno
트롱셰,tʰɯɾoŋsje
포멜,pʰomel
그라네,kɯɾane
봉바르,poŋpaɾɯ
보상,posaŋ
사에즈,saedʑɯ
리부,libu
야세,jase
나브라틸,nabɯɾatʰil
들뤼모,tɯllwimo
샤츠만,sjat͡ɕʰɯman
쥐글라,t͡ɕwigɯlla
샹트렐,sjaŋtʰɯɾel
코르디에,kʰoɾɯdie
엘랭,ellɛŋ
쥘리아르,t͡ɕwilliaɾɯ
포달리데스,pʰodallidesɯ
뒤브레유,twibɯɾeju
몽생종,moŋsɛŋt͡ɕoŋ
큐놋,kʰjunot̚
뉘뗑,nwit͈eŋ
가도넥스,kadonek̚s͈ɯ
샤플레,sjapʰɯlle
나세르,naseɾɯ
부아니,puani
장로랑,t͡ɕaŋnoɾaŋ
코셰,kʰosje
조제필리프,t͡ɕodʑepʰillipʰɯ
라비에,labie
루마니유,lumaniju
바냐르,panjaɾɯ
가덴,kaden
피톨레,pʰitʰolle
페스쿠르,pʰesɯkʰuɾɯ
라롱드,laɾoŋtɯ
피뇽에르네스트,pʰinjoŋeɾɯnesɯtʰɯ
보나퐁,ponapʰoŋ
멜리낭,mellinaŋ
샤바노,sjabano
앙토벤,aŋtʰoben
카미유크리스토페,kʰamijukʰɯɾisɯtʰopʰe
제로노,t͡ɕeɾono
프나르,pʰɯnaɾɯ
셀레크,sellekʰɯ
델틸,teltʰil
기요메,kijome
퓌갱,pʰwigɛŋ
카미유마리,kʰamijumaɾi
스타마티,sɯtʰamatʰi
메아노,meano
보트로,potʰɯɾo
캉팽,kʰaŋpʰɛŋ
멜시세데크,melsisedekʰɯ
포라토,pʰoɾatʰo
라마르수르,lamaɾɯsuɾɯ
아브네크,abɯnekʰɯ
당주네스,taŋt͡ɕunesɯ
프레르,pʰɯɾelɯ
뒤드방,twidɯbaŋ
니클로,nikʰɯllo
시프레디,sipʰɯɾedi
마토,matʰo
피쿨리,pʰikʰulli
아르캉,aɾɯkʰaŋ
노슈,nosju
브뤼아,pɯɾwia
부르캥,puɾɯkʰɛŋ
엘뢰테르,ellwetʰeɾɯ
마스카르,masɯkʰaɾɯ
카루치,kʰaɾut͡ɕʰi
데스토,tesɯtʰo
다미도,tamido
소스노,sosɯno
라르셰,laɾɯsje
파르니,pʰaɾɯni
찹스키,t͡ɕʰap̚s͈ɯkʰi
앙그랑,aŋkɯɾaŋ
도말,tomal
페용,pʰejoŋ
몽티셀리,moŋtʰiselli
블로시에,pɯllosie
데데얀,tedejan
가랑드,kaɾaŋtɯ
당베,taŋpe
비아네,piane
티렐,tʰiɾel
르노트르,lɯnotʰɯɾɯ
카바르,kʰabaɾɯ
고르니,koɾɯni
마르미에,maɾɯmie
비스콩티,pisɯkʰoŋtʰi
제네스,t͡ɕenesɯ
날레,nalle
플뢰리앙,pʰɯllweɾiaŋ
루이뱅상,luibɛŋsaŋ
마메르,mameɾɯ
부르부르,puɾɯbuɾɯ
비요트,pijotʰɯ
베니아민,peniamin
벤바사,penpasa
카반,kʰaban
하이더,haidʌ
장시릴,t͡ɕaŋsiɾil
스피네타,sɯpʰinetʰa
델푸르,telpʰuɾɯ
퐁소,pʰoŋso
아블레,abɯlle
피에르앙드레,pʰieɾɯaŋtɯɾe
타기에프,tʰagiepʰɯ
메지에레,medʑieɾe
카틀렝,kʰatʰɯlleŋ
마조리크,madʑoɾikʰɯ
장조제프,t͡ɕaŋt͡ɕodʑepʰɯ
뱅자맹콩스탕,pɛŋt͡ɕamɛŋkʰoŋsɯtʰaŋ
무카,mukʰa
다르장리외,taɾɯdʑaŋniwe
프랑수아제제르,pʰɯɾaŋsuadʑet͡ɕeɾɯ
베뇨,penjo
디오네,tione
피에르프랑수아그자비에,pʰieɾɯpʰɯɾaŋsuagɯdʑabie
샤를부아,sjaɾɯlpua
라팽,lapʰɛŋ
시바르디,sibaɾɯdi
팡드로,pʰaŋtɯɾo
보르비코니,poɾɯbikʰoni
쿠르티요,kʰuɾɯtʰijo
페르시에,pʰeɾɯsie
리네로,lineɾo
보프랑,popʰɯɾaŋ
루드밀라,ludɯmilla
자프렐로,t͡ɕapʰɯɾello
카튈,kʰatʰwil
디드로,tidɯɾo
다냉크스,tanɛŋkʰɯsɯ
소네트,sonetʰɯ
바로데,paɾode
델페치,telpʰet͡ɕʰi
드디외,tɯdiwe
고드리,kodɯɾi
가스파르위,kasɯpʰaɾɯwi
바르톨론,paɾɯtʰollon
두세,tuse
콩바스,kʰoŋpasɯ
라투슈,latʰusju
알랭필리프,allɛŋpʰillipʰɯ
말라냐크,mallanjakʰɯ
프랑수아오귀스트,pʰɯɾaŋsuaogwisɯtʰɯ
샤보티,sjabotʰi
클뤼니,kʰɯllwini
피에르앙리,pʰieɾɯaŋni
위고니오,wigonio
부브레스,pubɯɾesɯ
바르텔미생틸레르,paɾɯtʰelmisɛŋtʰilleɾɯ
수르델,suɾɯdel
콜로나,kʰollona
골마르,kolmaɾɯ
우아나,uana
메르마즈,meɾɯmadʑɯ
빌베르,pilpeɾɯ
클로드루이,kʰɯllodɯɾui
프로드로미데스,pʰɯɾodɯɾomidesɯ
올리에,ollie
라브루스,labɯɾusɯ
라쿠라바르트,lakʰuɾabaɾɯtʰɯ
앙드리외,aŋtɯɾiwe
발베르드,palpeɾɯdɯ
라자레프,ladʑaɾepʰɯ
노로,noɾo
장오귀스트,t͡ɕaŋogwisɯtʰɯ
퀴벤,kʰwiben
다르부아,taɾɯbua
쥐뱅빌,t͡ɕwibɛŋpil
푸아다츠,pʰuadat͡ɕʰɯ
그라니크,kɯɾanikʰɯ
우비옹,ubioŋ
다르마냐크,taɾɯmanjakʰɯ
무아노,muano
오리우,oɾiu
욀로,wello
프레오베르,pʰɯɾeobeɾɯ
닥,tak̚
지네코,t͡ɕinekʰo
뤼도비크오스카르,lwidobikʰɯosɯkʰaɾɯ
누아예,nuaje
랑브롱,laŋpɯɾoŋ
코수,kʰosu
토라발,tʰoɾabal
보트뤼,potʰɯɾwi
에미에,emie
마수디,masudi
브뢰야르,pɯɾwejaɾɯ
로데옹,lodeoŋ
보즐피,podʑɯlpʰi
쇼블리에,sjobɯllie
페틸로,pʰetʰillo
누마,numa
리날디,linalti
토니니,tʰonini
오리아콩브,oɾiakʰoŋpɯ
카조,kʰadʑo
마미,mami
푸르드랭,pʰuɾɯdɯɾɛŋ
트렐라,tʰɯɾella
나타니엘,natʰaniel
메샬리,mesjalli
도르줄레스,toɾɯdʑullesɯ
로몽,lomoŋ
누리시에,nuɾisie
카야베,kʰajabe
리페르,lipʰeɾɯ
드푸아,tɯpʰua
이아생트,iasɛŋtʰɯ
자댕,t͡ɕadɛŋ
올렉,ollek̚
셰사크,sjesakʰɯ
뒤푸이,twipʰui
르프랑,lɯpʰɯɾaŋ
세뱅,sebɛŋ
지트론,t͡ɕitʰɯɾon
비달리스,pidallisɯ
알리카르트,allikʰaɾɯtʰɯ
메예르,mejeɾɯ
귀프루아,kwipʰɯɾua
에스,esɯ
피뇰,pʰinjol
타포니에,tʰapʰonie
고데,kode
클레르그,kʰɯlleɾɯgɯ
크레수아,kʰɯɾesua
오뱅,obɛŋ
부다르,pudaɾɯ
드뤼예,tɯɾwije
디에메르,tiemeɾɯ
니콜라투생,nikʰollatʰusɛŋ
샤를레,sjaɾɯlle
뒤소투아르,twisotʰuaɾɯ
시니발디,sinibalti
샤마라,sjamaɾa
누델만,nudelman
피네,pʰine
폴마리,pʰolmaɾi
레가메,legame
포르토리슈,pʰoɾɯtʰoɾisju
보프레,popʰɯɾe
쇼벨,sjobel
앵마르,ɛŋmaɾɯ
카넬,kʰanel
가르당,kaɾɯdaŋ
세비요,sebijo
보가르츠,pogaɾɯt͡ɕʰɯ
웨스피제,wesɯpʰidʑe
다게소,tageso
미소프,misopʰɯ
다무레트,tamuɾetʰɯ
장다비드,t͡ɕaŋtabidɯ
트라이안,tʰɯɾaian
부이아,puia
슈네프,sjunepʰɯ
모즈주힌,modʑɯt͡ɕuhin
베르티요,peɾɯtʰijo
데피에르,tepʰieɾɯ
리베라티,libeɾatʰi
페장,pʰedʑaŋ
장니콜라,t͡ɕaŋnikʰolla
코르비사르,kʰoɾɯbisaɾɯ
라부리,labuɾi
위고냉,wigonɛŋ
쿠아냐르,kʰuanjaɾɯ
페크,pʰekʰɯ
공데,koŋte
카발리에,kʰaballie
르베,lɯbe
가바렌츠,kabaɾent͡ɕʰɯ
수프,supʰɯ
기베,kibe
베사르,pesaɾɯ
샤라,sjaɾa
미르몽,miɾɯmoŋ
쉬위비에트,swiwibietʰɯ
뷔유맹,pwijumɛŋ
캉바델리스,kʰaŋpadellisɯ
베레스티키,peɾesɯtʰikʰi
카잘레,kʰadʑalle
코르뱅,kʰoɾɯbɛŋ
고트랑,kotʰɯɾaŋ
골뱅,kolpɛŋ
기오마르,kiomaɾɯ
카테린,kʰatʰeɾin
트리츠,tʰɯɾit͡ɕʰɯ
캉토로프,kʰaŋtʰoɾopʰɯ
에르뷜로,eɾɯbwillo
장프레데리크,t͡ɕaŋpʰɯɾedeɾikʰɯ
에델만,edelman
장쥘리앵,t͡ɕaŋt͡ɕwilliɛŋ
왈렘,wallem
카스타네르,kʰasɯtʰaneɾɯ
뒤모르티에,twimoɾɯtʰie
바랭,paɾɛŋ
브루세,pɯɾuse
아셰트,asjetʰɯ
쿠지네,kʰudʑine
드메종,tɯmedʑoŋ
안가엘,ankael
시도,sido
쥘리엔,t͡ɕwillien
질레티,t͡ɕilletʰi
푸르니에사를로베즈,pʰuɾɯniesaɾɯllobedʑɯ
투르나드르,tʰuɾɯnadɯɾɯ
샹바,sjaŋpa
노르게,noɾɯge
라베르뉴,labeɾɯnju
라우스트,lausɯtʰɯ
자로,t͡ɕaɾo
비조,pidʑo
코롱,kʰoɾoŋ
장로돌프,t͡ɕaŋnodolpʰɯ
올레라프륀,olleɾapʰɯɾwin
플루에,pʰɯllue
주프루아,t͡ɕupʰɯɾua
볼라크,pollakʰɯ
루이알베르,luialpeɾɯ
부르고뒤쿠드레,puɾɯgodwikʰudɯɾe
페브르피에레,pʰebɯɾɯpʰieɾe
부사르,pusaɾɯ
다르코스,taɾɯkʰosɯ
위보,wibo
나데주,nadedʑu
보빌리에,pobillie
르뒤크,lɯdwikʰɯ
린호프,linhopʰɯ
구아마르,kuamaɾɯ
파두,pʰadu
망테우르,maŋtʰeuɾɯ
리비에,libie
토자,tʰodʑa
몽토,moŋtʰo
레오나르,leonaɾɯ
오사레스,osaɾesɯ
부아비노,puabino
보트랭,potʰɯɾɛŋ
튈라르,tʰwillaɾɯ
에랄,eɾal
블로쉬,pɯlloswi
카펠라니,kʰapʰellani
그제르세스,kɯdʑeɾɯsesɯ
코메르,kʰomeɾɯ
요르,joɾɯ
토피나르,tʰopʰinaɾɯ
모코베,mokʰobe
바즈먼,padʑɯmʌn
루에,lue
사비,sabi
마리준비에브,maɾidʑunpiebɯ
마리마들렌,maɾimadɯllen
펠러스,pʰellʌsɯ
테맘,tʰemam
엔베르그,enpeɾɯgɯ
르쿠르데르크,lɯkʰuɾɯdeɾɯkʰɯ
베로,peɾo
미용,mijoŋ
셔이네아누,sjʌineanu
나데즈다,nadedʑɯda
테피,tʰepʰi
게라르,keɾalɯ
랄란,lallan
마르텔,maɾɯtʰel
푸르셰,pʰuɾɯsje
아랑부르,aɾaŋpuɾɯ
라무앵,lamuɛŋ
캉브리,kʰaŋpɯɾi
다루,taɾu
녜토,njetʰo
시라마나,siɾamana
림크,limkʰɯ
오탱,otʰɛŋ
밀로바노프,millobanopʰɯ
로베르뉴,lobeɾɯnju
위숑,wisjoŋ
콩피앙,kʰoŋpʰiaŋ
와뇨,wanjo
엘루아,ellua
셰뇨,sjenjo
에택스,etʰɛk̚s͈ɯ
뒤보셀,twibosel
볼로디미르,pollodimiɾɯ
쿠비요비치,kʰubijobit͡ɕʰi
조미,t͡ɕomi
바졸레,padʑolle
세랑두르,seɾaŋtuɾɯ
텔리니,tʰellini
라플라스,lapʰɯllasɯ
르그리,lɯgɯɾi
말베르,malpeɾɯ
자르고,t͡ɕaɾɯgo
에르보,eɾɯbo
루이이지도르,luiidʑidoɾɯ
뒤페레,twipʰeɾe
쿠틀리에,kʰutʰɯllie
라비냐크,labinjakʰɯ
기욤마리로맹,kijommaɾilomɛŋ
수리외,suɾiwe
미자누,midʑanu
스네가로프,sɯnegaɾopʰɯ
당티니,taŋtʰini
당테스,taŋtʰesɯ
프라델,pʰɯɾadel
마디니에,madinie
가메메,kameme
라자리데스,ladʑaɾidesɯ
볼로딘,pollodin
브루키에,pɯɾukʰie
로덴바흐,lodenpahɯ
알랭미셸,allɛŋmisjel
사야르,sajaɾɯ
모리에르제노드,moɾieɾɯdʑenodɯ
테송,tʰesoŋ
엑소더스,ek̚s͈odʌsɯ
고드메,kodɯme
리라,liɾa
클라베롤라,kʰɯllabeɾolla
부르자,puɾɯdʑa
비비앙,pibiaŋ
루아젤,luadʑel
게소,keso
발비르,palpiɾɯ
가스카르,kasɯkʰaɾɯ
트루베츠코이,tʰɯɾubet͡ɕʰɯkʰoi
알제리노,alt͡ɕeɾino
시네,sine
주르다,t͡ɕuɾɯda
피오셀,pʰiosel
앙리카르댕장바티스트,aŋnikʰaɾɯdɛŋt͡ɕaŋpatʰisɯtʰɯ
귄들린,kwintɯllin
메슬랭,mesɯllɛŋ
마시미,masimi
레글,legɯl
뤼셰르,lwisjeɾɯ
비를루베,piɾɯllube
루프라니,lupʰɯɾani
팽스마유,pʰɛŋsɯmaju
시지스베르,sidʑisɯbeɾɯ
에타디,etʰadi
퓌드부아,pʰwidɯbua
델플라스,telpʰɯllasɯ
소리바,soɾiba
쿠야테,kʰujatʰe
로르동,loɾɯdoŋ
주프르,t͡ɕupʰɯɾɯ
라슐리에,lasjullie
클레리스,kʰɯlleɾisɯ
드빌,tɯbil
빌포르,pilpʰoɾɯ
마리엘렌,maɾiellen
아미아블,amiabɯl
도로테,toɾotʰe
르테시에,lɯtʰesie
투란,tʰuɾan
에니크,enikʰɯ
준바르,t͡ɕunpaɾɯ
라파세,lapʰase
아나니,anani
피통,pʰitʰoŋ
델베르게,telpeɾɯge
다블랑쿠르,tabɯllaŋkʰuɾɯ
베를레,peɾɯlle
사마사,samasa
브륀,pɯɾwin
마두아스,maduasɯ
팔기에르,pʰalkieɾɯ
발데마어,paltemaʌ
하프킨,hapʰɯkʰin
리상,lisaŋ
알베르에르네스트,alpeɾɯeɾɯnesɯtʰɯ
티에보,tʰiebo
마조르,madʑoɾɯ
카리뇽,kʰaɾinjoŋ
리에브르몽,liebɯɾɯmoŋ
이레타,iɾetʰa
실레테,silletʰe
포모,pʰomo
메클레르,mekʰɯlleɾɯ
골롱,kolloŋ
제르넬,t͡ɕeɾɯnel
상바,saŋpa
세르달,seɾɯdal
뒤솝트,twisop̚tʰɯ
자르제,t͡ɕaɾɯdʑe
기샤르,kisjaɾɯ
아쟁사,adʑɛŋsa
루이아돌프,luiadolpʰɯ
지두앵,t͡ɕiduɛŋ
봉피용,poŋpʰijoŋ
알키에,alkʰie
아가통,agatʰoŋ
앙니크,aŋnikʰɯ
코카르,kʰokʰaɾɯ
쿠르틴,kʰuɾɯtʰin
리테르,litʰeɾɯ
당글라르,taŋkɯllaɾɯ
남작,namt͡ɕak̚
브레몽,pɯɾemoŋ
뷔쟁,pwidʑɛŋ
베나시케레,penasikʰeɾe
샤프롱,sjapʰɯɾoŋ
위샤르,wisjaɾɯ
오가르드,ogaɾɯdɯ
카미니,kʰamini
르카롱,lɯkʰaɾoŋ
피에롱,pʰieɾoŋ
바르데슈,paɾɯdesju
수레,suɾe
클랑시에,kʰɯllaŋsie
느뵈,nɯbwe
블레제,pɯlledʑe
라뷔엘,labwiel
롱도,loŋto
꼬시넬,k͈osinel
로마냥,lomanjaŋ
라쿠튀르,lakʰutʰwiɾɯ
레마리,lemaɾi
다그롱,tagɯɾoŋ
클라리옹,kʰɯllaɾioŋ
들란,tɯllan
웨스트버그,wesɯtʰɯbʌgɯ
수메,sume
코사드,kʰosadɯ
퀴르농스키,kʰwiɾɯnoŋsɯkʰi
바라티에,paɾatʰie
라필레,lapʰille
아카르도,akʰaɾɯdo
셰르토크,sjeɾɯtʰokʰɯ
샤르팽,sjaɾɯpʰɛŋ
조제프미셸,t͡ɕodʑepʰɯmisjel
말레크,mallekʰɯ
슈벨,sjubel
블로티에르,pɯllotʰieɾɯ
포르네티,pʰoɾɯnetʰi
알로제,allodʑe
베네데,penede
부르나젤,puɾɯnadʑel
브뤼솔로,pɯɾwisollo
라로쉬,laɾoswi
브로사,pɯɾosa
봉팡,poŋpʰaŋ
카메레르,kʰameɾelɯ
노르블랭,noɾɯbɯllɛŋ
메스트르,mesɯtʰɯɾɯ
샹포르,sjaŋpʰoɾɯ
샤펠,sjapʰel
들뢰유,tɯllweju
카쟁,kʰadʑɛŋ
부라우이,puɾaui
아벨리오,abellio
드바케,tɯbakʰe
은두르,ɯntuɾɯ
프로미옹,pʰɯɾomioŋ
도레미외,toɾemiwe
피고,pʰigo
바키에,pakʰie
리치오티,lit͡ɕʰiotʰi
베네데토,penedetʰo
갈리,kalli
우지오,udʑio
우페르,upʰeɾɯ
뒤플리,twipʰɯlli
코세,kʰose
쿠르비스,kʰuɾɯbisɯ
레라크,leɾakʰɯ
야쿠바,jakʰuba
마를레,maɾɯlle
바란다,paɾanta
야슈빌리,jasjubilli
나도,nado
신터니클라스,sintʰʌnikʰɯllasɯ
마소니,masoni
초르니,t͡ɕʰoɾɯni
코콩,kʰokʰoŋ
오네짐,onedʑim
필로넨코,pʰillonenkʰo
오르소니,oɾɯsoni
주베르보네르,t͡ɕubeɾɯboneɾɯ
아당퐁텐,adaŋpʰoŋtʰen
오방,obaŋ
엔지미,ent͡ɕimi
알리에,allie
아실조제프,asilt͡ɕodʑepʰɯ
베르노,peɾɯno
클레오파스,kʰɯlleopʰasɯ
페르슈롱,pʰeɾɯsjuɾoŋ
르네부아뇌프,lɯnebuanwepʰɯ
위르뱅,wiɾɯbɛŋ
비지에,pidʑie
슈나프,sjunapʰɯ
아렌,aɾen
클라라크,kʰɯllaɾakʰɯ
자뷜롱,t͡ɕabwilloŋ
아돌프빅토르,adolpʰɯbik̚tʰoɾɯ
조프루아드숌,t͡ɕopʰɯɾuadɯsjom
베즈레드카,pedʑɯɾedɯkʰa
파로슈,pʰaɾosju
그로니에,kɯɾonie
봉파르,poŋpʰaɾɯ
부아용,puajoŋ
조시네,t͡ɕosine
드부아즈,tɯbuadʑɯ
동시외,toŋsiwe
드반,tɯban
델페리에,telpʰeɾie
알리비,allibi
몽타나,moŋtʰana
오슈데,osjude
소니에세이테,sonieseitʰe
제니테르,t͡ɕenitʰeɾɯ
알카,alkʰa
뒤비에프,twibiepʰɯ
알퐁스아메데,alpʰoŋsɯamede
코르도니에,kʰoɾɯdonie
바샤트코,pasjatʰɯkʰo
에리아,eɾia
드프라스,tɯpʰɯɾasɯ
바댕,padɛŋ
노잘,nodʑal
푸가치요프,pʰugat͡ɕʰijopʰɯ
퐁사르,pʰoŋsaɾɯ
베르코프,peɾɯkʰopʰɯ
리뇨,linjo
크시슈토프,kʰɯsisjutʰopʰɯ
포미안,pʰomian
쇼비레,sjobiɾe
앙드레아,aŋtɯɾea
타르타,tʰaɾɯtʰa
베르토미외,peɾɯtʰomiwe
뵈클레르,pwekʰɯlleɾɯ
험버트,hʌmpʌtʰɯ
