глюкоза,ɡlʲukoza
якуты,jakutɨ
кизел,kʲizʲel
голицыны,ɡolʲit͡sɨnɨ
шумиха,ʂumʲixa
ванавара,vanavara
мункусардык,munkusardɨk
ялуторовск,jalutorovsk
кировочепецк,kʲirovot͡ɕʲepʲet͡sk
кировград,kʲirovɡrad
билайн,bʲilajn
иркут,irkut
кирсанов,kʲirsanov
токари,tokarʲi
киселёвск,kʲisʲelʲovsk
козьмодемьянск,kozʲmodʲemʲansk
лаборатория,laboratorʲia
касперского,kaspʲerskoɡo
сету,sʲetu
кунцево,kunt͡sevo
акбулак,akbulak
кихпиныч,kʲixpʲinɨt͡ɕʲ
копейск,kopʲejsk
колпино,kolpʲino
колпашево,kolpaʂevo
яшкино,jaʂkʲino
лесной,lʲesnoj
алупка,alupka
котельниково,kotʲelʲnikovo
бункер,bunkʲer
сталина,stalʲina
российскофинляндская,rossʲijskofʲinlʲandskaa
граница,ɡranit͡sa
мэи,mei
красавино,krasavʲino
котово,kotovo
совкомфлот,sovkomflot
нордавиа,nordavʲia
голубой,ɡoluboj
краснокаменск,krasnokamʲensk
краснокамск,krasnokamsk
прогноз,proɡnoz
краснотурьинск,krasnoturʲinsk
кубинка,kubʲinka
красновишерск,krasnovʲiʂersk
красноуральск,krasnouralʲsk
кузнецк,kuznet͡sk
шелехов,ʂelʲexov
бира,bʲira
куровское,kurovskoe
узбеки,uzbʲekʲi
золотой,zolotoj
кыштым,kɨʂtɨm
бузулук,buzuluk
кумертау,kumʲertau
кунгур,kunɡur
лахденпохья,laxdʲenpoxʲa
лебедянь,lʲebʲedʲanʲ
куликово,kulʲikovo
лешуконское,lʲeʂukonskoe
березник,bʲerʲeznik
лобня,lobna
смидович,smʲidovʲit͡ɕʲ
лысьва,lɨsʲva
лесосибирск,lʲesosʲibʲirsk
ленинск,lʲeninsk
зеленогорск,zʲelʲenoɡorsk
русское,russkoe
небо,nebo
льгов,lʲɡov
малмыж,malmɨʒ
соболево,sobolʲevo
байкит,bajkʲit
мезень,mʲezʲenʲ
миллерово,mʲillʲerovo
чернышевск,t͡ɕʲernɨʂevsk
михайловка,mʲixajlovka
морозовск,morozovsk
моршанск,morʂansk
понтийскокаспийская,pontʲijskokaspʲijskaa
могоча,moɡot͡ɕʲa
михайловск,mʲixajlovsk
сиверский,sʲivʲerskʲij
кузьминовка,kuzʲmʲinovka
саки,sakʲi
красноперекопск,krasnopʲerʲekopsk
нега,neɡa
первая,pʲervaa
сури,surʲi
называевск,nazɨvaevsk
трасянка,trasʲanka
монголоманьчжурская,monɡolomanʲt͡ɕʲʒurskaa
нефтекамск,neftʲekamsk
юринский,jurʲinskʲij
район,rajon
нефтеюганск,neftʲeuɡansk
бахапча,baxapt͡ɕʲa
ростокинский,rostokʲinskʲij
акведук,akvʲeduk
научный,naut͡ɕʲnɨj
новоалександровск,novoalʲeksandrovsk
новоалтайск,novoaltajsk
богоявленка,boɡoavlʲenka
меркурий,mʲerkurʲij
малёвка,malʲovka
чкаловский,t͡ɕʲkalovskʲij
уралкалий,uralkalʲij
нижнеудинск,niʒneudʲinsk
никольск,nikolʲsk
архи,arxʲi
парголово,parɡolovo
залари,zalarʲi
чунский,t͡ɕʲunskʲij
плесецк,plʲesʲet͡sk
уоян,uoan
тмутаракань,tmutarakanʲ
шебекино,ʂebʲekʲino
имажинизм,imaʒinizm
лежнево,lʲeʒnevo
новокубанск,novokubansk
кулунда,kulunda
яренск,jarʲensk
пруссия,prussʲia
хатанга,xatanɡa
ротмистр,rotmʲistr
ургал,urɡal
лебедянский,lʲebʲedʲanskʲij
экспресс,eksprʲess
новоуральск,novouralʲsk
новохопёрск,novoxopʲorsk
магдагачи,maɡdaɡat͡ɕʲi
бурея,burʲea
новотроицк,novotroit͡sk
сузун,suzun
судавия,sudavʲia
промсвязьбанк,promsvʲazʲbank
обь,obʲ
кизимен,kʲizʲimʲen
кузнецкий,kuznet͡skʲij
алатау,alatau
нолинск,nolʲinsk
заозёрный,zaozʲornɨj
курчатов,kurt͡ɕʲatov
обоянь,oboanʲ
тамань,tamanʲ
облучье,oblut͡ɕʲe
мкад,mkad
оленегорск,olʲeneɡorsk
чернышевское,t͡ɕʲernɨʂevskoe
вильняус,vʲilʲnaus
жинёс,ʒinos
октябрьский,oktʲabrʲskʲij
юрты,jurtɨ
беленджер,bʲelʲend͡ʒer
осинники,osʲinnikʲi
острогожск,ostroɡoʒsk
павлово,pavlovo
адлер,adlʲer
островной,ostrovnoj
первомайск,pʲervomajsk
джимара,d͡ʒimara
визинга,vʲizʲinɡa
глобус,ɡlobus
авианова,avʲianova
петровск,pʲetrovsk
аркаим,arkaim
стрежевой,strʲeʒevoj
магнит,maɡnit
российскопольская,rossʲijskopolʲskaa
покров,pokrov
поворино,povorʲino
тяжинский,tʲaʒinskʲij
поварово,povarovo
таганрогский,taɡanroɡskʲij
трансполярная,transpolʲarnaa
арктикуголь,arktʲikuɡolʲ
сургутнефтегаз,surɡutneftʲeɡaz
полевской,polʲevskoj
протвино,protvʲino
пролетарск,prolʲetarsk
екатерингоф,jekatʲerʲinɡof
ловозеро,lovozʲero
пушкино,puʂkʲino
багдарин,baɡdarʲin
балтика,baltʲika
балезино,balʲezʲino
райчихинск,rajt͡ɕʲixʲinsk
пучеж,put͡ɕʲeʒ
озёрское,ozʲorskoe
ильинское,ilʲinskoe
аржан,arʒan
матрос,matros
слак,slak
оссора,ossora
берёзово,bʲerʲozovo
оборонпром,oboronprom
фили,fʲilʲi
букачача,bukat͡ɕʲat͡ɕʲa
тура,tura
домново,domnovo
зейская,zʲejskaa
сунтархаята,suntarxaata
приобье,prʲiobʲe
кущёвская,kuɕːovskaa
тигиль,tʲiɡilʲ
тиличики,tʲilʲit͡ɕʲikʲi
арсланбеково,arslanbʲekovo
мунасипово,munasʲipovo
печенга,pʲet͡ɕʲenɡa
клушино,kluʂino
кубачи,kubat͡ɕʲi
ворскла,vorskla
лорино,lorʲino
быково,bɨkovo
снежногорск,sneʒnoɡorsk
донское,donskoe
эссо,esso
нарым,narɨm
лаврентия,lavrʲentʲia
бутка,butka
домбай,dombaj
иультин,iulʲtʲin
пушкинский,puʂkʲinskʲij
ола,ola
ревда,rʲevda
томилино,tomʲilʲino
сеймчан,sʲejmt͡ɕʲan
екатериноградская,jekatʲerʲinoɡradskaa
гуниб,ɡunib
хамовники,xamovnikʲi
волга,volɡa
головнино,ɡolovnino
мендяново,mʲendʲanovo
бородино,borodʲino
богучаны,boɡut͡ɕʲanɨ
большая,bolʲʂaa
большие,bolʲʂie
вязёмы,vʲazʲomɨ
мраково,mrakovo
мунасово,munasovo
харп,xarp
юлдыбаево,juldɨbaevo
ляхово,lʲaxovo
шарипово,ʂarʲipovo
арсланово,arslanovo
спасоевфимиев,spasoevfʲimʲiev
монастырь,monastɨrʲ
кузнецовский,kuznet͡sovskʲij
росбанк,rosbank
телеуты,tʲelʲeutɨ
кальтовка,kalʲtovka
ушковский,uʂkovskʲij
руслайн,ruslajn
высшая,vɨsʂaa
кузнецовка,kuznet͡sovka
хрустальный,xrustalʲnɨj
горнозаводск,ɡornozavodsk
рыбачий,rɨbat͡ɕʲij
останкино,ostankʲino
мисс,mʲiss
кумух,kumux
танаис,tanais
рязановка,rʲazanovka
досааф,dosaaf
наумовка,naumovka
книга,kniɡa
демидовка,dʲemʲidovka
шариповка,ʂarʲipovka
онкамоярви,onkamoarvʲi
дарьяльское,darʲalʲskoe
ущелье,uɕːelʲe
бросно,brosno
букер,bukʲer
энем,enem
труд,trud
фанагория,fanaɡorʲia
эльтон,elʲton
рособоронэкспорт,rosoboroneksport
кепа,kʲepa
жупановский,ʒupanovskʲij
пэкульней,pekulʲnej
иловля,ilovlʲa
мфти,mftʲi
старины,starʲinɨ
хор,xor
мобильные,mobʲilʲnɨe
телесистемы,tʲelʲesʲistʲemɨ
хоровод,xorovod
волго,volɡo
ключи,klʲut͡ɕʲi
смоленская,smolʲenskaa
крепость,krʲepostʲ
эгвекинот,eɡvʲekʲinot
медаль,mʲedalʲ
пушкина,puʂkʲina
увек,uvʲek
евразия,jevrazʲia
узон,uzon
калевала,kalʲevala
пятёрочка,pʲatʲorot͡ɕʲka
добровольск,dobrovolʲsk
техснабэкспорт,tʲexsnabeksport
югра,juɡra
видяево,vʲidʲaevo
гвардия,ɡvardʲia
донецкий,donet͡skʲij
кряж,krʲaʒ
время,vrʲemʲa
новостей,novostʲej
толстые,tolstɨe
корватунтури,korvatunturʲi
климово,klʲimovo
лексозеро,lʲeksozʲero
белоостров,bʲeloostrov
чуя,t͡ɕʲua
уфаарена,ufaarʲena
сунтар,suntar
спбгасу,spbɡasu
канатная,kanatnaa
дорога,doroɡa
хонуу,xonuu
кукрыниксы,kukrɨniksɨ
бриньковская,brʲinʲkovskaa
факел,fakʲel
трудовое,trudovoe
динамо,dʲinamo
сетумаа,sʲetumaa
копейка,kopʲejka
рублёвка,rublʲovka
оборона,oborona
золотая,zolotaa
маска,maska
яя,jaa
краснодарский,krasnodarskʲij
печерск,pʲet͡ɕʲersk
монрепо,monrʲepo
выгозеро,vɨɡozʲero
современник,sovrʲemʲennik
лесное,lʲesnoe
маяковское,maakovskoe
сарское,sarskoe
городище,ɡorodʲiɕːe
тубалары,tubalarɨ
тазовский,tazovskʲij
кашан,kaʂan
дельта,dʲelʲta
волги,volɡi
арктический,arktʲit͡ɕʲeskʲij
таля,talʲa
аэробратск,aerobratsk
дербеты,dʲerbʲetɨ
мотобол,motobol
форос,foros
танама,tanama
тушино,tuʂino
горелый,ɡorʲelɨj
курья,kurʲa
совхозное,sovxoznoe
пригоркино,prʲiɡorkʲino
матвеевокурганский,matvʲeevokurɡanskʲij
восток,vostok
бибигон,bʲibʲiɡon
монорельс,monorʲelʲs
приамурский,prʲiamurskʲij
рощино,roɕːino
экитыки,ekʲitɨkʲi
гознак,ɡoznak
няндомский,nandomskʲij
шушенское,ʂuʂenskoe
нёнокса,nonoksa
умбозеро,umbozʲero
бошняково,boʂnakovo
сибелиус,sʲibʲelʲius
россотрудничество,rossotrudnit͡ɕʲestvo
ростсельмаш,rostsʲelʲmaʂ
витино,vʲitʲino
кречевицы,krʲet͡ɕʲevʲit͡sɨ
марьяновка,marʲanovka
цуканово,t͡sukanovo
балтийсколадожский,baltʲijskoladoʒskʲij
уступ,ustup
устьишимский,ustʲiʂimskʲij
марш,marʂ
несогласных,nesoɡlasnɨx
ижевское,iʒevskoe
пангоды,panɡodɨ
ртрпланета,rtrplaneta
сахаровский,saxarovskʲij
центр,t͡sentr
качуг,kat͡ɕʲuɡ
брянка,brʲanka
известковый,izvʲestkovɨj
устькамчатск,ustʲkamt͡ɕʲatsk
мечел,mʲet͡ɕʲel
пеликан,pʲelʲikan
новоогарёво,novooɡarʲovo
молочное,molot͡ɕʲnoe
тоцкое,tot͡skoe
тарханы,tarxanɨ
пустозерск,pustozʲersk
монино,monino
бобровые,bobrovɨe
москалёнки,moskalʲonkʲi
одон,odon
мосгортранс,mosɡortrans
уруша,uruʂa
базальт,bazalʲt
мостовской,mostovskoj
динамоак,dʲinamoak
харакс,xaraks
тулмозеро,tulmozʲero
сунжа,sunʒa
реболы,rʲebolɨ
мегафон,mʲeɡafon
морское,morskoe
таборинский,taborʲinskʲij
чехово,t͡ɕʲexovo
андрюшкино,andrʲuʂkʲino
взгляд,vzɡlʲad
теплоозёрск,tʲeploozʲorsk
гематоген,ɡematoɡen
машук,maʂuk
моргауши,morɡauʂi
итера,itʲera
кумандинцы,kumandʲint͡sɨ
коломенский,kolomʲenskʲij
ербогачён,jerboɡat͡ɕʲon
хиславичи,xʲislavʲit͡ɕʲi
московские,moskovskʲie
новости,novostʲi
радонеж,radoneʒ
зеленчукская,zʲelʲent͡ɕʲukskaa
васильсурск,vasʲilʲsursk
фонарь,fonarʲ
лигово,lʲiɡovo
ошель,oʂelʲ
лютнист,lʲutnist
тузлинская,tuzlʲinskaa
коса,kosa
центросоюз,t͡sentrosouz
цкад,t͡skad
старочеркасская,starot͡ɕʲerkasskaa
чёрная,t͡ɕʲornaa
речка,rʲet͡ɕʲka
роснано,rosnano
кинотавр,kʲinotavr
чукотавиа,t͡ɕʲukotavʲia
локоть,lokotʲ
александрия,alʲeksandrʲia
шан,ʂan
браво,bravo
ледовый,lʲedovɨj
александросвирский,alʲeksandrosvʲirskʲij
нестерова,nestʲerova
суворова,suvorova
ханская,xanskaa
электросила,elʲektrosʲila
акша,akʂa
ливадийская,lʲivadʲijskaa
песково,pʲeskovo
курейка,kurʲejka
лиинахамари,lʲiinaxamarʲi
смольное,smolʲnoe
мама,mama
заварной,zavarnoj
тарт,tart
лены,lʲenɨ
амгуэма,amɡuema
ведомости,vʲedomostʲi
зырянка,zɨrʲanka
ораниенбаум,oranienbaum
тальцы,talʲt͡sɨ
барда,barda
магарамкент,maɡaramkʲent
култук,kultuk
фишт,fʲiʂt
талпаки,talpakʲi
гвардейское,ɡvardʲejskoe
ташанта,taʂanta
алакуртти,alakurttʲi
петропавловсккамчатское,pʲetropavlovskkamt͡ɕʲatskoe
авиапредприятие,avʲiaprʲedprʲiatʲie
курмыш,kurmɨʂ
ленком,lʲenkom
подпоручик,podporut͡ɕʲik
покровка,pokrovka
каккарово,kakkarovo
мирэа,mʲirea
орель,orʲelʲ
ясенево,jasʲenevo
старооскольский,starooskolʲskʲij
севастьяново,sʲevastʲanovo
ката,kata
тыльжа,tɨlʲʒa
батагай,bataɡaj
дорогомилово,doroɡomʲilovo
мамонтовая,mamontovaa
воуноу,vounou
гольяново,ɡolʲanovo
лахта,laxta
песня,pʲesna
года,ɡoda
мизур,mʲizur
лезгистан,lʲezɡistan
биляр,bʲilʲar
московская,moskovskaa
старые,starɨe
атаги,ataɡi
путинка,putʲinka
ранхигс,ranxʲiɡs
атомэнергомаш,atomenerɡomaʂ
ностальгия,nostalʲɡia
арбаж,arbaʒ
базелевс,bazʲelʲevs
ивао,ivao
багерово,baɡerovo
песочный,pʲesot͡ɕʲnɨj
цнииточмаш,t͡sniitot͡ɕʲmaʂ
черепаново,t͡ɕʲerʲepanovo
вечерняя,vʲet͡ɕʲernaa
красной,krasnoj
молодёжи,molodʲoʒi
палас,palas
сувар,suvar
удельная,udʲelʲnaa
черёмушки,t͡ɕʲerʲomuʂkʲi
колка,kolka
балаганск,balaɡansk
академия,akadʲemʲia
футбола,futbola
имени,imʲeni
юрия,jurʲia
коноплёва,konoplʲova
пожва,poʒva
архыз,arxɨz
плесецкий,plʲesʲet͡skʲij
бада,bada
ижма,iʒma
давша,davʂa
гнёздово,ɡnozdovo
выстрел,vɨstrʲel
российскоабхазская,rossʲijskoabxazskaa
середниково,sʲerʲednikovo
ледяной,lʲedʲanoj
куб,kub
проточное,protot͡ɕʲnoe
свирьлаг,svʲirʲlaɡ
мурманский,murmanskʲij
кача,kat͡ɕʲa
бештау,bʲeʂtau
лимонка,lʲimonka
пассаж,passaʒ
челябинский,t͡ɕʲelʲabʲinskʲij
новатор,novator
талашкино,talaʂkʲino
анадырский,anadɨrskʲij
лиман,lʲiman
арсенал,arsʲenal
фазотронниир,fazotronniir
солнечное,solnet͡ɕʲnoe
ксудач,ksudat͡ɕʲ
ванкарем,vankarʲem
астраханские,astraxanskʲie
татары,tatarɨ
маджар,mad͡ʒar
шуйские,ʂujskʲie
кресты,krʲestɨ
хийтола,xʲijtola
металлургкузбасс,mʲetallurɡkuzbass
первомайское,pʲervomajskoe
нырза,nɨrza
кесова,kʲesova
шимск,ʂimsk
хельсинкская,xʲelʲsʲinkskaa
группа,ɡruppa
ропша,ropʂa
скнятино,sknatʲino
мавиал,mavʲial
казахстанскороссийская,kazaxstanskorossʲijskaa
джубга,d͡ʒubɡa
узкое,uzkoe
челканцы,t͡ɕʲelkant͡sɨ
галёнки,ɡalʲonkʲi
пено,pʲeno
эксмо,eksmo
госфильмофонд,ɡosfʲilʲmofond
карский,karskʲij
кратер,kratʲer
салми,salmʲi
кура,kura
александровское,alʲeksandrovskoe
балкария,balkarʲia
кользат,kolʲzat
фаберже,fabʲerʒe
грузинскороссийская,ɡruzʲinskorossʲijskaa
молога,moloɡa
автодор,avtodor
российскоукраинская,rossʲijskoukrainskaa
бурханизм,burxanizm
мильна,mʲilʲna
ореанда,orʲeanda
сандармох,sandarmox
кара,kara
новофёдоровка,novofʲodorovka
российсконорвежская,rossʲijskonorvʲeʒskaa
пироговский,pʲiroɡovskʲij
депутатский,dʲeputatskʲij
радио,radʲio
юность,junostʲ
ходутка,xodutka
хунзах,xunzax
шушары,ʂuʂarɨ
сайлюгем,sajlʲuɡem
чирип,t͡ɕʲirʲip
цезарь,t͡sezarʲ
куников,kunikov
боков,bokov
бесовец,bʲesovʲet͡s
фалёнки,falʲonkʲi
воскресенское,voskrʲesʲenskoe
маган,maɡan
свеча,svʲet͡ɕʲa
сычёво,sɨt͡ɕʲovo
талакан,talakan
ивашка,ivaʂka
яковлево,jakovlʲevo
аибга,aibɡa
маручак,marut͡ɕʲak
клетская,klʲetskaa
коболдо,koboldo
чернь,t͡ɕʲernʲ
ленинское,lʲeninskoe
российского,rossʲijskoɡo
телевидения,tʲelʲevʲidʲenia
абазинка,abazʲinka
марково,markovo
малино,malʲino
мамакан,mamakan
ёонай,joonaj
аверинская,avʲerʲinskaa
авароандийские,avaroandʲijskʲie
языки,jazɨkʲi
алгоритм,alɡorʲitm
новоозёрное,novoozʲornoe
кацивели,kat͡sivʲelʲi
барнаульский,barnaulʲskʲij
афиша,afʲiʂa
арасланово,araslanovo
ачипсе,at͡ɕʲipsʲe
басандайка,basandajka
барсуки,barsukʲi
аракс,araks
башинформ,baʂinform
ардонь,ardonʲ
бахчиванджи,baxt͡ɕʲivand͡ʒi
аржаники,arʒanikʲi
амазар,amazar
армхи,armxʲi
ангстрем,anɡstrʲem
безымянная,bʲezɨmʲannaa
анапка,anapka
бессолово,bʲessolovo
анино,anino
ассиновская,assʲinovskaa
анисовка,anisovka
белое,bʲeloe
море,morʲe
атоммаш,atommaʂ
благовещенская,blaɡovʲeɕːenskaa
улица,ulʲit͡sa
белые,bʲelɨe
столбы,stolbɨ
барановский,baranovskʲij
коты,kotɨ
ближняя,blʲiʒnaa
дача,dat͡ɕʲa
бутынь,butɨnʲ
буюклы,buuklɨ
бухта,buxta
кирпичного,kʲirpʲit͡ɕʲnoɡo
завода,zavoda
великан,vʲelʲikan
большое,bolʲʂoe
бычье,bɨt͡ɕʲe
важа,vaʒa
вагриус,vaɡrʲius
брёхово,brʲoxovo
верный,vʲernɨj
василевка,vasʲilʲevka
борисовичи,borʲisovʲit͡ɕʲi
буньково,bunʲkovo
бурдуково,burdukovo
буркихан,burkʲixan
воздвиженка,vozdvʲiʒenka
верхопенье,vʲerxopʲene
волово,volovo
вахрушев,vaxruʂev
вести,vʲestʲi
фм,fm
ельцовка,jelʲt͡sovka
горбатовка,ɡorbatovka
восточное,vostot͡ɕʲnoe
гидрометцентр,ɡidromʲett͡sentr
гикало,ɡikalo
вижай,vʲiʒaj
викимедиа,vʲikʲimʲedʲia
ру,ru
главкино,ɡlavkʲino
врангель,vranɡelʲ
вологодские,voloɡodskʲie
зори,zorʲi
глотовка,ɡlotovka
владимировка,vladʲimʲirovka
гойты,ɡojtɨ
выдрино,vɨdrʲino
гастелло,ɡastʲello
вороново,voronovo
двинцы,dvʲint͡sɨ
городня,ɡorodna
дачное,dat͡ɕʲnoe
горное,ɡornoe
грозненский,ɡroznenskʲij
дебют,dʲebʲut
дубина,dubʲina
дмитровское,dmʲitrovskoe
шоссе,ʂossʲe
дубосеково,dubosʲekovo
демихово,dʲemʲixovo
грузино,ɡruzʲino
гряды,ɡrʲadɨ
гудок,ɡudok
дубовое,dubovoe
горэлектротранс,ɡorelʲektrotrans
давыдовка,davɨdovka
дунай,dunaj
дикси,dʲiksʲi
дальзавод,dalʲzavod
дюна,dʲuna
донузлав,donuzlav
джида,d͡ʒida
дагестанская,daɡestanskaa
елин,jelʲin
дарасун,darasun
жонкиер,ʒonkʲier
елизаветинская,jelʲizavʲetʲinskaa
елохово,jeloxovo
екарта,jekarta
граммофон,ɡrammofon
жукотин,ʒukotʲin
ермаковское,jermakovskoe
икса,iksa
еремеево,jerʲemʲeevo
ильич,ilʲit͡ɕʲ
ильичёво,ilʲit͡ɕʲovo
ильмовая,ilʲmovaa
падь,padʲ
ефимовка,jefʲimovka
илирней,ilʲirnej
ивановский,ivanovskʲij
ивановское,ivanovskoe
иноковка,inokovka
земляне,zʲemlʲane
зенькино,zʲenʲkʲino
игрим,iɡrʲim
ижевский,iʒevskʲij
калачи,kalat͡ɕʲi
итака,itaka
кема,kʲema
калистово,kalʲistovo
кемеровский,kʲemʲerovskʲij
каракокша,karakokʂa
кепервеем,kʲepʲervʲeem
кальтовский,kalʲtovskʲij
сельсовет,sʲelʲsovʲet
калчуга,kalt͡ɕʲuɡa
кама,kama
киевка,kʲievka
коббаш,kobbaʂ
каретный,karʲetnɨj
ряд,rʲad
киевское,kʲievskoe
коби,kobʲi
карусель,karusʲelʲ
кипчак,kʲipt͡ɕʲak
кириллоновоезерский,kʲirʲillonovoezʲerskʲij
казачинское,kazat͡ɕʲinskoe
козинка,kozʲinka
кирьясало,kʲirʲasalo
кауп,kaup
коккорево,kokkorʲevo
киша,kʲiʂa
шиша,ʂiʂa
кленка,klʲenka
комсомольский,komsomolʲskʲij
коршуниха,korʂunixa
кондинское,kondʲinskoe
горка,ɡorka
косая,kosaa
кроншлот,kronʂlot
куженкино,kuʒenkʲino
кузнецовская,kuznet͡sovskaa
крупец,krupʲet͡s
константиново,konstantʲinovo
коолень,koolʲenʲ
коно,kono
костромское,kostromskoe
куйбышевнефтеоргсинтез,kujbɨʂevneftʲeorɡsʲintʲez
копша,kopʂa
крюково,krʲukovo
крым,krɨm
корелы,korʲelɨ
красноярский,krasnoarskʲij
кувакино,kuvakʲino
коштуги,koʂtuɡi
курский,kurskʲij
кунакбаево,kunakbaevo
квадрат,kvadrat
кривандино,krʲivandʲino
кучи,kut͡ɕʲi
кушалино,kuʂalʲino
кырен,kɨrʲen
лента,lʲenta
лойга,lojɡa
лойка,lojka
леонидово,lʲeonidovo
лагутьевский,laɡutʲevskʲij
людинка,lʲudʲinka
лопатина,lopatʲina
лазурит,lazurʲit
лопуховка,lopuxovka
ламское,lamskoe
луаштанги,luaʂtanɡi
лудина,ludʲina
лужайка,luʒajka
марьино,marʲino
малое,maloe
краснохолмское,krasnoxolmskoe
меридианы,mʲerʲidʲianɨ
тихого,tʲixoɡo
метроэлектротранс,mʲetroelʲektrotrans
матросово,matrosovo
дудергоф,dudʲerɡof
мещёрский,mʲeɕːorskʲij
мраковский,mrakovskʲij
мальта,malʲta
музыкальная,muzɨkalʲnaa
мираж,mʲiraʒ
манка,manka
чуванское,t͡ɕʲuvanskoe
маньково,manʲkovo
муравский,muravskʲij
шлях,ʂlʲax
марфино,marfʲino
голдобина,ɡoldobʲina
комсомолка,komsomolka
михайловское,mʲixajlovskoe
мельничное,mʲelʲnit͡ɕʲnoe
мгмсу,mɡmsu
мухоршибирь,muxorʂibʲirʲ
москонцерт,moskont͡sert
миллениум,mʲillʲenium
нелькан,nelʲkan
мыканино,mɨkanino
нелемное,nelʲemnoe
никаноровка,nikanorovka
непоседы,neposʲedɨ
непрядва,neprʲadva
нерчинский,nert͡ɕʲinskʲij
завод,zavod
новое,novoe
найхин,najxʲin
николина,nikolʲina
нефтяник,neftʲanik
намы,namɨ
нарзан,narzan
нариман,narʲiman
диск,dʲisk
новоиерусалимская,novoierusalʲimskaa
новоильиновка,novoilʲinovka
и,i
жизнь,ʒiznʲ
наукан,naukan
нонстоп,nonstop
продакшн,prodakʂn
нижнеозерное,niʒneozʲernoe
нур,nur
ныш,nɨʂ
флот,flot
някшингда,nakʂinɡda
новороссийский,novorossʲijskʲij
новиково,novʲikovo
нижняя,niʒnaa
пойма,pojma
обозерская,obozʲerskaa
озеро,ozʲero
озинки,ozʲinkʲi
охотный,oxotnɨj
оренбургская,orʲenburɡskaa
парадиз,paradʲiz
окей,okʲej
орлово,orlovo
орловский,orlovskʲij
парфеньево,parfʲenevo
павелец,pavʲelʲet͡s
пермский,pʲermskʲij
перменд,pʲermʲend
тарногский,tarnoɡskʲij
поросозеро,porosozʲero
паданы,padanɨ
паша,paʂa
ягляярви,jaɡlʲaarvʲi
чара,t͡ɕʲara
толваярви,tolvaarvʲi
пашково,paʂkovo
ренессанс,rʲenessans
пензадизельмаш,pʲenzadʲizʲelʲmaʂ
остафьево,ostafʲevo
ольгино,olʲɡino
пензенский,pʲenzʲenskʲij
пензенское,pʲenzʲenskoe
песковатский,pʲeskovatskʲij
песковская,pʲeskovskaa
оловянная,olovʲannaa
олькино,olʲkʲino
остоженка,ostoʒenka
пепйоки,pʲepʲjokʲi
петерштадт,pʲetʲerʂtadt
омский,omskʲij
первомайский,pʲervomajskʲij
открытая,otkrɨtaa
отортен,otortʲen
отрада,otrada
пильтун,pʲilʲtun
пионерская,pʲionerskaa
петровское,pʲetrovskoe
перевальное,pʲerʲevalʲnoe
панки,pankʲi
петряевка,pʲetrʲaevka
панькино,panʲkʲino
папоротка,paporotka
пешково,pʲeʂkovo
подчугасная,podt͡ɕʲuɡasnaa
попово,popovo
преображение,prʲeobraʒenie
решетиха,rʲeʂetʲixa
пожарское,poʒarskoe
порошино,poroʂino
покровское,pokrovskoe
полибино,polʲibʲino
побединское,pobʲedʲinskoe
прочноокопская,prot͡ɕʲnookopskaa
полыгалка,polɨɡalka
пугачёво,puɡat͡ɕʲovo
потёмкины,potʲomkʲinɨ
пугачёвская,puɡat͡ɕʲovskaa
пукалусъярви,pukalusʲjarvʲi
юрьевка,jurʲevka
росниирос,rosniiros
росбалт,rosbalt
рюмино,rʲumʲino
российскоюжноосетинская,rossʲijskouʒnoosʲetʲinskaa
работки,rabotkʲi
сарай,saraj
саратовский,saratovskʲij
рфяцвниитф,rfʲat͡svniitf
саратовгорэлектротранс,saratovɡorelʲektrotrans
рубцово,rubt͡sovo
сарпа,sarpa
румянцево,rumʲant͡sevo
энерджи,enerd͡ʒi
русская,russkaa
садоваякаретная,sadovaakarʲetnaa
садоваякудринская,sadovaakudrʲinskaa
садоваясамотёчная,sadovaasamotʲot͡ɕʲnaa
садоваячерногрязская,sadovaat͡ɕʲernoɡrʲazskaa
русь,rusʲ
раздольное,razdolʲnoe
рыбрека,rɨbrʲeka
сакмара,sakmara
райконкоски,rajkonkoskʲi
чиннай,t͡ɕʲinnaj
севкабель,sʲevkabʲelʲ
сибирцево,sʲibʲirt͡sevo
семенкинский,sʲemʲenkʲinskʲij
самарская,samarskaa
лука,luka
самарский,samarskʲij
селихин,sʲelʲixʲin
селихино,sʲelʲixʲino
самашки,samaʂkʲi
самокат,samokat
синегорск,sʲineɡorsk
синегорье,sʲineɡorʲe
сенной,sʲennoj
сосновка,sosnovka
сиреники,sʲirʲenikʲi
ситка,sʲitka
союз,souz
скирманово,skʲirmanovo
сестра,sʲestra
сеща,sʲeɕːa
сибилев,sʲibʲilʲev
софтклаб,softklab
стёпанцево,stʲopant͡sevo
спутник,sputnik
сосновая,sosnovaa
бисер,bʲisʲer
текие,tʲekʲie
шахали,ʂaxalʲi
хана,xana
тайнинское,tajninskoe
тайницкая,tajnit͡skaa
тинди,tʲindʲi
талон,talon
столбчатый,stolbt͡ɕʲatɨj
столыпино,stolɨpʲino
тамбурин,tamburʲin
тихоокеанская,tʲixookʲeanskaa
стрелок,strʲelok
таранай,taranaj
третья,trʲetʲa
терскол,tʲerskol
тарбагатай,tarbaɡataj
токкари,tokkarʲi
технопромэкспорт,tʲexnopromeksport
триумф,trʲiumf
тарховка,tarxovka
тропа,tropa
голицына,ɡolʲit͡sɨna
