angela,aŋeːlaː
dommitzsch,domit͡ʃ
süddeutschland,zytdoyt͡ʃlant
norddeutschland,noɐtdoyt͡ʃlant
ingbert,iŋkbeɐt
baiersbronn,baieɐspʁon
königsbachstein,køːniçsbakstain
torgau,toɐɡauh
forbach,foɐbax
lüdinghausen,lyːdiŋkhauhsən
schkeuditz,ʃkoyhdit͡s
meckenheim,meːkənhaim
datteln,dateln
oschatz,oʃat͡s
nordkirchen,noɐtkiɐxən
kempen,kempən
olfen,olfən
ascheberg,aʃeːbeɐk
honnef,honef
vogtland,foɡtlant
königswinter,køːniçsvintɐ
havixbeck,haːfiksbek
haan,haːn
billerbeck,bileɐbek
klingenthal,kliŋəntal
markneukirchen,maɐknoyhkiɐxən
fußballbayernliga,fusbalbaieɐnliːɡaː
barclaycard,baɐklaikaɐt
bernburg,beɐnbuɐk
nottuln,notuln
gütenbach,ɡyːtənbax
rosendahl,ʁoːsəndaːl
walddorfhäslach,valtdoɐfheslax
blasien,plaːsiːn
reuth,ʁoyt
rodewisch,ʁoːdeːviʃ
wesseling,veseːliŋk
malz,malt͡s
papenburg,paːpənbuɐk
grabenstetten,kʁaːbənstetən
rheinbach,ʁhainbax
coschen,koːʃən
thallichtenberg,talixtənbeɐk
rethem,ʁetem
grafenberg,kʁaːfənbeɐk
emsland,emslant
meppen,mepən
tuttlingen,tutliŋən
netzschkau,net͡ʃkauh
erding,eɐdiŋk
hülben,hylbən
römerstein,ʁøːmeɐstain
mönsheim,mønshaim
schönebeck,ʃøːneːbek
königs,køːniçs
wusterhausen,vusteɐhauhsən
ispringen,ispʁiŋən
altmühlsee,altmyːlseə
igelsbachsee,iːɡelsbakseə
uelzen,uelt͡sən
eutingen,oyhtiŋən
gäu,ɡoyh
saarow,zaːʀov
bischofswerda,biːʃofsveɐdaː
balingen,baːliŋən
großer,kʁosɐ
brombachsee,pʁombakseə
fürstenfeldbruck,fyɐstənfeldpʁuk
goch,ɡox
niederlausitz,niːdeɐlauhsit͡s
domowina,doːmoviːnaː
trollenhagen,tʁolənhaːɡən
zauche,t͡sauxə
radeberg,ʁaːdeːbeɐk
beseritz,beːseʀit͡s
ostro,ostʁoː
limes,liːmes
saxoniae,zaksoːniaə
kamenz,kaːmənt͡s
wendland,vəntlant
peitz,pait͡s
korschenbroich,koɐʃənpʁoix
pulsnitz,pulsnit͡s
doberschütz,doːbeɐʃyt͡s
krostitz,kʁostit͡s
durmersheim,duɐmeɐshaim
wilthen,viltən
zwochau,t͡svoːxauh
zschepplin,t͡ʃeplin
itzehoe,iːt͡seːhoə
ahlbeck,aːlbek
bargteheide,baɐkteːhaidə
biberach,biːbeːʀax
riß,ʁis
cloppenburg,klopənbuɐk
vorpommern,foɐpomeɐn
herbertingen,heɐbeɐtiŋən
rheinfelden,ʁhainfeldən
wegeleben,veːɡeleːbən
hettstedt,hetstet
neroberg,neːʀoːbeɐk
bungsberg,buŋsbeɐk
altenwerder,altənveɐdɐ
möckern,møːkeɐn
ballenstedt,balənstet
pfullingen,p͡fuliŋən
hänneschentheater,heneːʃənteatɐ
deutz,doyt͡s
rheinberg,ʁhainbeɐk
ratingen,ʁaːtiŋən
trochtelfingen,tʁoxtelfiŋən
bensberg,bənsbeɐk
sanssouci,zansouːkiː
neugrabenfischbek,noykʁaːbənfiʃbek
ahrensburg,aːʀənsbuɐk
hettingen,hetiŋən
ganderkesee,ɡandeɐkeːseə
deggendorf,dekɡəndoɐf
mengen,mənɡən
schevenhütte,ʃeːfənhytə
gerbstedt,ɡeɐbstet
woldegk,voldeɡk
herrenberg,heɐʁənbeɐk
radolfzell,ʁaːdolft͡sel
vechta,fextaː
bredenfelde,pʁeːdənfeldə
malchin,malxin
neukalen,noyhkaːlən
blumberg,plumbeɐk
ivenack,iːfeːnak
frankfurtsachsenhausen,fʁaŋkfuɐtsaksənhauhsən
hayingen,haiiŋən
zeitz,t͡sait͡s
demmin,demin
velbert,felbeɐt
euregiobahn,oyhʀeːɡioːbaːn
grafschafter,kʁafʃaftɐ
krautfabrik,kʁautfapʁik
dürrheim,dyɐʁhaim
horb,hoɐp
stavenhagen,ʃtaːfənhaːɡən
dorsten,doɐstən
theater,teatɐ
güstrow,ɡystʁov
troisdorf,tʁoisdoɐf
bauakademie,bauaːkadeːmiə
wannweil,vanvail
freudenstadt,fʁoyhdənstat
gladbeck,klatbek
metzingen,meːt͡siŋən
schramberg,ʃʁambeɐk
pfullendorf,p͡fuləndoɐf
viersen,fiːɐsən
georgen,ɡeoɐɡən
rur,ʁuɐ
inzigkofen,int͡sikkoːfən
egidien,eɡiːdiːn
schiltach,ʃiltax
bocholt,boːxolt
erms,eɐms
rottweil,ʁotvail
reinsdorf,ʁainsdoɐf
stadtwerke,ʃtatveɐkə
norderstedt,noɐdeɐstet
prien,pʁiːn
niederheimbach,niːdeɐhaimbax
meerane,meːʀanə
glauchau,klauhxauh
dinslaken,dinslaːkən
asamkirche,asamkiɐxə
stachus,ʃtaːxus
werdau,veɐdauh
hügelsheim,hyːɡelshaim
riederich,ʁiːdeːʀix
gomadingen,ɡoːmaːdiŋən
vöhrenbach,føːʀənbax
kerpen,keɐpən
verchen,feɐxən
bartow,baɐtov
bergheim,beɐkhaim
hüfingen,hyːfiŋən
dormagen,doɐmaːɡən
herten,heɐtən
westlb,vestlp
wolde,voldə
röckwitz,ʁøkvit͡s
godesberg,ɡoːdesbeɐk
fincken,finkən
altenhof,altənhof
wesel,veːsel
sulz,zult͡s
plau,plauh
beuel,boyel
poppelsdorf,popelsdoɐf
endenich,əndeːnix
mittlerer,mitleʁɐ
erzgebirgskreis,eɐt͡sɡeːbiɐɡskʁais
langenfeld,laŋənfelt
hürth,hyɐt
kettwig,ketvik
gürzenich,ɡyɐt͡seːnix
bergisches,beɐɡiːʃes
kieler,kiːlɐ
woche,voxə
euskirchen,oyskiɐxən
illingen,iliŋən
triberg,tʁiːbeɐk
hattingen,hatiŋən
rechlin,ʁexlin
bundesrechnungshof,bundesʁexnuŋshof
pulheim,pulhaim
barmen,baɐmən
penzlin,pənt͡slin
malchow,malxov
fünfseen,fynfseːn
ankershagen,aŋkeɐshaːɡən
feldberger,feltbeɐɡɐ
seenlandschaft,zeːnlant͡ʃaft
hilden,hildən
nordhorn,noɐtoɐn
wesenberg,veːsənbeɐk
mirow,miːʀov
carpin,kaɐpin
blankensee,plaŋkənseə
großolbersdorf,kʁosolbeɐsdoɐf
norderoogsand,noɐdeːʀoːksant
mildenau,mildeːnauh
vogtländisches,foɡtlendiːʃes
oberland,obeɐlant
großharthau,kʁoshaɐtauh
erftstadt,eɐftstat
waren,vaːʀən
niederwürschnitz,niːdeɐvyɐʃnit͡s
gummersbach,ɡumeɐsbax
pockau,poːkauh
eiderstedt,aiedeɐstet
ehrenfriedersdorf,eːʀənfʁiːdeɐsdoɐf
eibenstock,aiebənstok
hochkirch,hoxkiɐx
königswartha,køːniçsvaɐtaː
dagebüll,daːɡeːbyl
olbernhau,olbeɐnhauh
scheibenberg,ʃaiebənbeɐk
schlettau,ʃletauh
lößnitz,løsnit͡s
lugau,luːɡauh
johanngeorgenstadt,joːhanɡeoɐɡənstat
jöhstadt,jøːstat
polydor,polydoɐ
thum,tum
oldesloe,oldesloə
köllnischer,kølniʃɐ
büsum,byːsum
wyk,vyk
föhr,føːɐ
südharz,zytaɐt͡s
zülpich,t͡sylpix
köstritz,køstʁit͡s
zschopau,t͡ʃoːpauh
berlinlichterfelde,beɐlinlixteɐfeldə
dornbusch,doɐnbuʃ
rammenau,ʁameːnauh
wolkenstein,volkənstain
zwönitz,t͡svøːnit͡s
unterschleißheim,unteɐʃlaishaim
stadthaus,ʃtathaus
freital,fʁaietal
landkreis,landkʁais
aibling,aipliŋk
tönning,tøniŋk
nordstrand,noɐdstʁant
holsteinische,holstaiəniʃə
faßberg,fasbeɐk
schönhausen,ʃønhauhsən
aumühle,auhmyːlə
festhalle,festalə
wiesental,viːsəntal
ludwigslust,lutviçslust
hude,hudə
kleinmachnow,klainmaxnov
heidekreis,haiedekʁais
friedrichstadt,fʁiːtʁikstat
rheinzabern,ʁhaint͡saːbeɐn
huy,huy
bärnau,beɐnauh
brauerei,pʁaueːʀaie
banteln,banteln
merck,meɐk
fußgönheim,fusɡønhaim
altmarkkreis,altmaɐkkʁais
hermersberg,heɐmeɐsbeɐk
kandern,kandeɐn
ellern,eleɐn
lindwedel,lintveːdel
höheischweiler,høːhaiʃvailɐ
bremm,pʁem
bissersheim,biseɐshaim
mehren,meːʀən
kindenheim,kindənhaim
erpolzheim,eɐpolt͡shaim
bockenheim,boːkənhaim
ebertsheim,ebeɐtshaim
dörrenbach,døɐʁənbax
gerolsheim,ɡeːʀolshaim
großkarlbach,kʁoskaɐlbax
kallstadt,kalstat
saalekreis,zaːlekʁais
gaienhofen,ɡaiənhoːfən
salzlandkreis,zalt͡slandkʁais
kirn,kiɐn
dirmstein,diɐmstain
herxheim,heʁkshaim
marktschellenberg,maɐkt͡ʃelənbeɐk
schopfheim,ʃop͡fhaim
nettersheim,neteɐshaim
speyerbach,ʃpaieɐbax
sonnschied,zonʃiːt
freiheit,fʁaieːait
altensteig,altənstaik
rheinkreis,ʁhaiŋkʁais
digitalcourage,diːɡitalkouːʀaɡə
geschwisterschollpreis,ɡeʃvisteɐʃolpʁais
kutschenberg,kuːt͡ʃənbeɐk
blankenloch,plaŋkənlox
stutensee,ʃtuːtənseə
vogtlandkreis,foɡtlandkʁais
kandel,kandel
eisenbach,aiesənbax
starnberg,ʃtaɐnbeɐk
weisenheim,vaiesənhaim
sand,zant
friedelsheim,fʁiːdelshaim
bahretal,baːʀeːtal
lingenfeld,liŋənfelt
kleinkarlbach,klaiŋkaɐlbax
brehna,pʁeːnaː
bannewitz,baneːvit͡s
jungfernstieg,juŋkfeɐnstiek
hohenfels,hoːhənfels
dohma,doːmaː
gottmadingen,ɡotmaːdiŋən
beindersheim,baindeɐshaim
queidersbach,kvaiedeɐsbax
dippoldiswalde,dipoldisvaldə
dorfhain,doɐfhain
lustadt,lustat
egg,eɡk
günz,ɡynt͡s
ellerstadt,eleɐstat
volkertshausen,folkeɐtshauhsən
pirna,piɐnaː
eigeltingen,aieɡeltiŋən
hundsangen,huntsaŋən
gohrisch,ɡoːʀiʃ
schliengen,ʃliːŋən
hilzingen,hilt͡siŋən
hohnstein,hoːnstain
schopp,ʃop
merzalben,meɐt͡salbən
börsborn,bøɐsboɐn
raddusch,ʁatduʃ
jänkendorf,jeŋkəndoɐf
frankenstein,fʁaŋkənstain
kreischa,kʁaieʃaː
hosena,hoːseːnaː
edesheim,edeshaim
weinhübel,vainhyːbel
droemer,tʁoemɐ
knaur,knauɐ
siebeldingen,ziːbeldiŋən
herchweiler,heɐxvailɐ
giekau,ɡiːkauh
glan,klan
quirnbach,kviɐnbax
colonia,koːloniaː
ara,aʀaː
agrippinensium,akʁipiːnənsium
otterstadt,oteɐstat
mühlingen,myːliŋən
langenbach,laŋənbax
armeemarschsammlung,aɐmeːmaɐʃsamluŋk
ravensburg,ʁaːfənsbuɐk
kircheib,kiɐxaip
lemberg,lembeɐk
peine,painə
moos,moːs
brenz,pʁənt͡s
bornheim,boɐnhaim
elmshorn,elmshoɐn
frechen,fʁeːxən
kaiserwilhelmnationaldenkmal,kaieseɐvilhelmnaːt͡sioːnaldənkmal
lörrach,løɐʁax
klix,kliks
frankenthal,fʁaŋkəntal
panketal,paŋkeːtal
hardtwald,haɐtvalt
kurfürstendamm,kuɐfyɐstəndam
sulza,zult͡saː
herzogenrath,heɐt͡soːɡənʁat
hardthöhe,haɐthøːə
donauried,doːnauhʀiːt
nordhessen,noɐtesən
dülmen,dylmən
hennef,hənnef
waldrohrbach,valtʁoːɐbax
badenweiler,baːdənvailɐ
erkrath,eɐkʁat
erlau,eɐlauh
weihenstephan,vaieːənstefan
claußnitz,klausnit͡s
belgweiler,belkvailɐ
paulaner,pauhlanɐ
königshainwiederau,køːniçshainviːdeːʀauh
hartmannsdorf,haɐtmansdoɐf
nagold,naːɡolt
niederwiesa,niːdeɐviːsaː
leubsdorf,loybsdoɐf
erkelenz,eɐkeːlənt͡s
albstadt,albstat
bogen,boːɡən
lebus,leːbus
muschelwitz,muːʃelvit͡s
oberstaufen,obeɐstauhfən
ruhrort,ʁuːʀoɐt
hainichen,haiənixən
isen,iːsən
oberschöna,obeɐʃøːnaː
ostrau,ostʁauh
justizpalast,justit͡spaːlast
striegistal,ʃtʁiːɡistal
oderbruch,odeɐpʁux
frauenstein,fʁauənstain
taura,tauhʀaː
wechselburg,vekselbuɐk
bismarckgymnasium,bismaɐkɡymnaːsium
königstuhl,køːniçstuːl
leonberg,leonbeɐk
koldenbüttel,koldənbytel
rochlitz,ʁoxlit͡s
pinneberg,pineːbeɐk
oederan,oeːdeʀan
spreewiese,ʃpʁeːviːsə
leisnig,laisnik
lunzenau,lunt͡seːnauh
döbeln,døːbeln
dümpelfeld,dympelfelt
weserallerbahn,veːseʀaleɐbaːn
hartha,haɐtaː
burgstädt,buɐɡstet
kampen,kampən
westerland,vesteɐlant
kaarst,kaːɐst
kyffhäuserkreis,kyfhoyhseɐkʁais
leck,lek
hörnum,høɐnum
roßwein,ʁosvain
stendal,ʃtəndal
windsheim,vindshaim
satzkorn,zat͡skoɐn
ilmkreis,ilmkʁais
rottenburg,ʁotənbuɐk
solling,zoliŋk
wermelskirchen,veɐmelskiɐxən
großdehsa,kʁosdeːsaː
gaglow,ɡaklov
flöha,fløːhaː
mittweida,mitvaiedaː
hochtief,hoxtief
zalando,t͡saːlandoː
echtershausen,exteɐshauhsən
weichering,vaiexeːʀiŋk
frickingen,fʁiːkiŋən
wartburgkreis,vaɐtbuɐɡkʁais
zabeltitz,t͡saːbeltit͡s
massing,masiŋk
zaber,t͡sabɐ
irminsul,iɐminsul
scheitenkorb,ʃaietənkoɐp
heiligenhaus,haieliçənhaus
kulm,kulm
großmehring,kʁosmeːʀiŋk
mediengruppe,meːdiːŋkʁupə
oberlausitz,obeɐlauhsit͡s
waltrop,valtʁop
lausitzer,lauhsit͡sɐ
rundschau,ʁunt͡ʃauh
niederstaufenbach,niːdeɐstauhfənbax
schoeps,ʃoeps
birgland,biɐklant
seefeld,zeːfelt
abmahnung,apmaːnuŋk
grafing,kʁaːfiŋk
empfingen,emp͡fiŋən
trostberg,tʁostbeɐk
gmund,kmunt
tegernsee,teːɡeɐnseə
rennsteig,ʁənnstaik
glatten,klatən
zabergäubahn,t͡saːbeɐɡoyhbaːn
weisenbach,vaiesənbax
ortenaukreis,oɐteːnaukʁais
lotter,lotɐ
kreuz,kʁoyt͡s
müglitztal,myklit͡stal
engelsbrand,ənɡelspʁant
lohmen,loːmən
schillertheater,ʃileɐteatɐ
deuerling,doyeɐliŋk
liebstadt,liːbstat
tiefenbronn,tiefənpʁon
zahna,t͡saːnaː
reifenberg,ʁaiefənbeɐk
wiltingen,viltiŋən
sternenfels,ʃteɐnənfels
zahlbach,t͡saːlbax
wehlen,veːlən
remchingen,ʁemxiŋən
rathmannsdorf,ʁatmansdoɐf
merdingen,meɐdiŋən
tharandt,taːʀant
wilsdruff,vilstʁuf
stolpen,ʃtolpən
struppen,ʃtʁupən
kunstverein,kunstfeːʀain
ullsteinhaus,ulstainhaus
mühlacker,myːlakɐ
ettringen,etʁiŋən
neulingen,noyhliŋən
leipe,laipə
hirschstein,hiɐʃstain
kaldenkirchen,kaldənkiɐxən
mühlrose,myːlʁosə
pilsensee,pilsənseə
sonthofen,zontoːfən
lautert,lauhteɐt
grassau,kʁasauh
nünchritz,nynxʁit͡s
priestewitz,pʁiːsteːvit͡s
engers,ənɡeɐs
glaubitz,klauhbit͡s
gröditz,kʁøːdit͡s
lommatzsch,lomat͡ʃ
käbschütztal,kepʃyt͡stal
klingelbach,kliŋelbax
großenhain,kʁosənhain
bayerisches,baieːʀiːʃes
niederau,niːdeːʀauh
nossen,nosən
hünxe,hynksə
medientechnologie,meːdiːntexnoːloɡiə
neuenbürg,noyənbyɐk
zernickow,t͡seɐniːkov
lampertswalde,lampeɐtsvaldə
klipphausen,kliphauhsən
weinböhla,vainbøːlaː
wülknitz,vylknit͡s
moritzburg,moːʀit͡sbuɐk
pliezhausen,pliːt͡shauhsən
stauchitz,ʃtauhxit͡s
strehla,ʃtʁeːlaː
nollendorfplatz,noləndoɐfplat͡s
zermützel,t͡seɐmyːt͡sel
fockendorf,foːkəndoɐf
röderaue,ʁøːdeːʀauə
siegesallee,ziːɡeːsaleə
thiendorf,tiːndoɐf
radebeul,ʁaːdeːboyl
radeburg,ʁaːdeːbuɐk
waigolshausen,vaieɡolshauhsən
majakowskiring,maːjakovskiːʀiŋk
zeithain,t͡saitain
hütterscheid,hyteɐʃait
zerf,t͡seɐf
zwiesel,t͡sviːsel
jestetten,jestetən
riesa,ʁiːsaː
zeuthen,t͡soytən
lietzow,liːt͡sov
preischeid,pʁaieʃait
sonntag,zontak
römerberg,ʁøːmeɐbeɐk
sonsbeck,zonsbek
römer,ʁømɐ
westdeutschland,vestdoyt͡ʃlant
jungfernsee,juŋkfeɐnseə
beuron,boyhʀon
langenscheidt,laŋənʃait
albertstadt,albeɐtstat
straelen,ʃtʁaeːlən
beckhoffgruppe,bekhofkʁupə
blasewitz,plaːseːvit͡s
cotta,kotaː
deißlingen,daisliŋən
millennium,milənnium
tower,tovɐ
katharinenkirche,kataːʀiːnənkiɐxə
kolverath,kolfeːʀat
zeschdorf,t͡seʃdoɐf
hellerau,heleːʀauh
loschwitz,loʃvit͡s
pieschen,piːʃən
zettingen,t͡setiŋən
tönisvorst,tøːnisfoɐst
zerstörerflottille,t͡seɐstøːʀeɐflotilə
pillnitz,pilnit͡s
ortsbezirk,oɐtsbeːt͡siɐk
iffezheim,ifet͡shaim
zeughaus,t͡soykhaus
zeuke,t͡soykə
zeulenroda,t͡soyhlənʁoːdaː
zeulsdorf,t͡soylsdoɐf
dingolfing,diŋolfiŋk
watzmann,vat͡sman
abendzeitung,abənt͡saietuŋk
zichow,t͡siːxov
karstadt,kaɐstat
körbelitz,køɐbeːlit͡s
konkret,koŋkʁet
luftfahrtgesellschaft,luftfaːɐtɡeːselʃaft
doberan,doːbeːʀan
tagesspiegel,taːɡespiːɡel
mechernich,meːxeɐnix
neubukow,noyhbukov
herforst,heɐfoɐst
zotzenheim,t͡soːt͡sənhaim
rhönblick,ʁhønplik
zornheim,t͡soɐnhaim
zossen,t͡sosən
zschochau,t͡ʃoːxauh
ziegenhelle,t͡siːɡənhelə
ziegenhain,t͡siːɡənhain
allgäu,alɡoyh
zietenplatz,t͡siːtənplat͡s
zuffenhausen,t͡sufənhauhsən
ziesar,t͡siːsaɐ
ostritz,ostʁit͡s
seifhennersdorf,zaifhənneɐsdoɐf
muskau,muskauh
roten,ʁoːtən
bären,beʀən
niesky,niːsky
aldenhoven,aldənhoːfən
hürtgenwald,hyɐtɡənvalt
bosch,boʃ
kreuzau,kʁoyht͡sauh
ostfriesland,ostfʁiːslant
zechin,t͡seːxin
zechstein,t͡sekstain
mainau,maiənauh
wiesentheid,viːsəntait
zeeman,t͡seːman
zeche,t͡sexə
zweifelscheid,t͡svaiefelʃait
linnich,linix
zehrensdorf,t͡seːʀənsdoɐf
nideggen,niːdekɡən
zeesen,t͡seːsən
zweibrüder,t͡svaipʁydɐ
optoelectronics,optoeːlektʁoːniks
zehnhausen,t͡seːnhauhsən
schöppingen,ʃøpiŋən
luckenbach,luːkənbax
hütten,hytən
zehdenick,t͡seːdeːnik
vreden,fʁeːdən
urmersbach,uɐmeɐsbax
schwanthalerhöhe,ʃvantaːleɐhøːə
zehlendorf,t͡seːləndoɐf
rhede,ʁhedə
bubenheim,buːbənhaim
wiehre,viːʀə
kettenheim,ketənhaim
schempphirth,ʃemphiɐt
flugzeugbau,flukt͡soykbauh
roetgen,ʁoetɡən
zeitlarn,t͡saitlaɐn
zeiskam,t͡saiskam
deimberg,daimbeɐk
stadtlohn,ʃtatloːn
gescher,ɡeʃɐ
erma,eɐmaː
werke,veɐkə
todenroth,toːdənʁot
ayl,ail
holzdorf,holt͡sdoɐf
heek,heːk
brodenbach,pʁoːdənbax
borsdorf,boɐsdoɐf
isselburg,iselbuɐk
kroppach,kʁopax
zeilgalerie,t͡sailɡaːleːʀiə
uraniaweltzeituhr,uːʀaːniavelt͡saietuːɐ
monschau,monʃauh
lausick,lauhsik
wilhelmsdorf,vilhelmsdoɐf
leidenborn,laiedənboɐn
baesweiler,baesvailɐ
niederbayern,niːdeɐbaieɐn
zeitlofs,t͡saitlofs
elstertrebnitz,elsteɐtʁepnit͡s
endingen,əndiŋən
laufen,lauhfən
gamlen,ɡamlən
zeitpyramide,t͡saitpyʁaːmidə
haldensleben,haldənsleːbən
eppenberg,epənbeɐk
großensee,kʁosənseə
belgershain,belɡeɐshain
bennewitz,bənneːvit͡s
plöwen,pløːvən
münstereifel,mynsteːʀaiefel
neukieritzsch,noyhkiːʀit͡ʃ
otterwisch,oteɐviʃ
thallwitz,talvit͡s
böhlen,bøːlən
friedrichswalde,fʁiːtʁiksvaldə
metzenhausen,meːt͡sənhauhsən
ahrbrück,aːɐpʁyk
schleiden,ʃlaiedən
großpösna,kʁospøsnaː
borna,boɐnaː
colditz,koldit͡s
frohburg,fʁoːbuɐk
palais,paːlais
leuchtenberg,loyxtənbeɐk
elsoff,elsof
schirmitz,ʃiɐmit͡s
gusterath,ɡusteːʀat
groitzsch,kʁoit͡ʃ
lossatal,losaːtal
machern,maːxeɐn
pegau,peːɡauh
müncheberg,mynxeːbeɐk
schloßplatz,ʃlosplat͡s
wurzen,vuɐt͡sən
markkleeberg,maɐkkleːbeɐk
brecht,pʁext
rötha,ʁøtaː
zilshausen,t͡silshauhsən
waldsassen,valtsasən
markranstädt,maɐkʁanstet
harmersbach,haɐmeɐsbax
rees,ʁeːs
ziltendorf,t͡siltəndoɐf
zwenkau,t͡svənkauh
weeze,veːt͡sə
herrsching,heɐʁʃiŋk
cham,xam
grimma,kʁimaː
zillestraße,t͡silestʁasə
issum,isum
uedem,ueːdem
kellenbach,kelənbax
lautzenhausen,lauht͡sənhauhsən
gebroth,ɡepʁot
sthedwigskathedrale,ʃtetviçskatetʁalə
laaber,laːbɐ
zellertal,t͡seleɐtal
kevelaer,keːfelaɐ
alpina,alpiːnaː
küstriner,kystʁinɐ
vorland,foɐlant
aiglsbach,aiɡlsbax
neubiberg,noyhbiːbeɐk
zemmer,t͡semɐ
zimmerschied,t͡simeɐʃiːt
linthe,lintə
schweppenhausen,ʃvepənhauhsən
kenn,kənn
wutach,vuːtax
viechtach,fiːxtax
zentralbahn,t͡səntʁalbaːn
ergoldsbach,eɐɡoldsbax
mitterfels,miteɐfels
perach,peːʀax
lörzweiler,løɐt͡svailɐ
jagel,jaːɡel
befreiungshalle,befʁaiuŋshalə
kastl,kastl
essing,esiŋk
waldfeucht,valtfoyxt
earthshakerfest,eaɐtshaːkeɐfest
wegberg,vekbeɐk
zendscheid,t͡sənt͡ʃait
zenith,t͡seːnit
wassenberg,vasənbeɐk
burscheid,buɐʃait
geilenkirchen,ɡaielənkiɐxən
walchensee,valxənseə
heidesheim,haiedeshaim
fußballwestfalenliga,fusbalvestfaːlənliːɡaː
zinnowitz,t͡sinoːvit͡s
ratzert,ʁaːt͡seɐt
alz,alt͡s
leichlingen,laixliŋən
zählgemeinschaft,t͡seːlɡeːmainʃaft
zähringen,t͡seːʀiŋən
temnitzquell,temnit͡skvel
wasserburg,vaseɐbuɐk
inn,in
haiming,haiemiŋk
zionskirche,t͡sionskiɐxə
waldleiningen,valtlaiəniŋən
ökoinstitut,øːkoinstietut
tirschenreuth,tiɐʃənʁoyt
germania,ɡeɐmaːnia
slavica,slaːfiːkaː
kürten,kyɐtən
kunstareal,kunstaːʀeal
munzingen,munt͡siŋən
rheinbrohl,ʁhainpʁoːl
alflen,alflən
geisenfeld,ɡaiesənfelt
münchener,mynxənɐ
biennale,biːnalə
rheiderland,ʁhaiedeɐlant
zirkelstein,t͡siɐkelstain
zirkow,t͡siɐkov
herrngiersdorf,heɐʁŋiːɐsdoɐf
sauerthal,zaueɐtal
bibart,biːbaɐt
hohenwestedt,hoːhənvestet
schliersee,ʃliːɐseə
dietenheim,diːtənhaim
dreiflüssestadion,tʁaiflysestaːdion
ölper,ølpɐ
berching,beɐxiŋk
zörbig,t͡søɐbik
isartor,iːsaɐtoɐ
züblin,t͡syplin
grugahalle,kʁuːɡaːhalə
siersleben,ziːɐsleːbən
theatinerkirche,teaːtiəneɐkiɐxə
waging,vaːɡiŋk
hönow,høːnov
arber,aɐbɐ
federsee,feːdeɐseə
eitensheim,aietənshaim
züschen,t͡syːʃən
züsch,t͡syʃ
abbach,apbax
silberturm,zilbeɐtuɐm
zörnigall,t͡søɐniːɡal
bundesarbeitsgericht,bundeːsaɐbaitsɡeːʀixt
bürgermeister,byɐɡeɐmaistɐ
wittersheim,viteɐshaim
peenewerft,peːneːveɐft
hohenbocka,hoːhənboːkaː
hardenbergstraße,haɐdənbeɐɡstʁasə
personennamendatei,peɐsoːnənnaːməndaːtaie
welgesheim,velɡeshaim
dult,dult
bonndorf,bondoɐf
tornados,toɐnaːdos
nieder,niːdɐ
kostenz,kostənt͡s
planebruch,plaːnepʁux
nußdorf,nusdoɐf
lessingtheater,lesiŋteatɐ
eisenbahnbundesamt,aiesənbaːnbundeːsamt
ölsen,ølsən
tannheim,tanhaim
hirschgarten,hiɐʃɡaɐtən
seffern,zefeɐn
olching,olxiŋk
jesenwang,jeːsənvaŋk
altshausen,altshauhsən
wannseebahn,vanseːbaːn
waldnaab,valtnaːp
oberkassel,obeɐkasel
chiemgaubahn,xiːmɡauhbaːn
endorf,əndoɐf
schwanenwerder,ʃvaːnənveɐdɐ
vohburg,foːbuɐk
racing,ʁaːkiŋk
weiße,vaisə
dollart,dolaɐt
schwabing,ʃvaːbiŋk
werbellinsee,veɐbelinseə
kleinfischlingen,klainfiʃliŋən
verwaltungsgemeinschaft,feɐvaltuŋsɡeːmainʃaft
manching,manxiŋk
märkische,meɐkiʃə
siegstrecke,ziːɡstʁekə
golzow,ɡolt͡sov
summerjam,zumeɐjam
arbersee,aɐbeɐseə
rev,ʁef
simssee,zimseə
sendling,zəntliŋk
inzell,int͡sel
sarrasani,zaɐʁaːsaniː
kraftwerk,kʁaftveɐk
union,uːnion
teugn,toyɡn
bürgersaal,byɐɡeɐsaːl
moosach,moːsax
grafenwöhr,kʁaːfənvøːɐ
burgkirchen,buɐkkiɐxən
reit,ʁait
winkl,viŋkl
oberharz,obeɐhaɐt͡s
veba,feːbaː
angermund,aŋeɐmunt
kleine,klainə
zons,t͡sons
frankfurtbonames,fʁaŋkfuɐtboːnaːmes
kolpingwerk,kolpiŋkveɐk
klingspormuseum,kliŋspoɐmuːsoym
ebersberg,ebeɐsbeɐk
ortsteil,oɐtstail
ruhland,ʁuːlant
elsterland,elsteɐlant
milower,miːlovɐ
griesbach,kʁiːsbax
rottal,ʁotal
mitterteich,miteɐtaix
dove,dofə
stadthalle,ʃtathalə
oberdolling,obeɐdoliŋk
aach,aːx
windeck,vindek
zoo,t͡soː
palast,paːlast
grünwald,kʁynvalt
ludwigstraße,lutviçstʁasə
maximilianstraße,maksiːmilianstʁasə
herbertstraße,heɐbeɐtstʁasə
wachtberg,vaxtbeɐk
simbach,zimbax
radio,ʁaːdioː
wolga,volɡaː
wettersteingebirge,veteɐstaiŋeːbiɐɡə
jesus,jeːsus
freaks,fʁeaks
wildberg,viltbeɐk
münchenunterhaching,mynxeːnunteɐhaːxiŋk
ergolding,eɐɡoldiŋk
oberliga,obeɐliːɡaː
spreenhagen,ʃpʁeːnhaːɡən
universitätsklinikum,uːniːfeɐsiːtetskliːnikum
