andrzej,andʐɛj
zyndram,zɨndram
z,s
maszkowic,maʂkɔvit͡s
krzyszkowiak,kʂɨʂkɔvjak
jachimecki,jaximɛt͡skʲi
rawicz,ravit͡ʂ
szajna,ʂajna
kosma,kɔsma
złotowski,zwɔtɔfskʲi
biedroń,bjɛdrɔɲ
mykoła,mɨkɔwa
pławiuk,pwavifk
borys,bɔrɨs
allan,allan
starski,starskʲi
brasse,brassɛ
goliński,ɡɔliɲskʲi
bajor,bajɔr
potasiński,pɔtaɕiɲskʲi
górski,ɡurskʲi
bronko,brɔnkɔ
nagurski,naɡurskʲi
morris,mɔrris
hirshfield,xirsxfjɛlt
dzięga,d͡ʑɛŋɡa
handzlik,xand͡zlik
wróbel,vrubɛl
nosowska,nɔsɔfska
nalepa,nalɛpa
frankiewicz,frankʲɛvit͡ʂ
kwiecień,kfjɛt͡ɕɛɲ
žydrūnas,žɨdrūnas
savickas,savit͡skas
weigl,vɛjɡl
czapski,t͡ʂapskʲi
kolberger,kɔlbɛrɡɛr
aga,aɡa
mikolaj,mikɔlaj
kinga,kʲinɡa
ilgner,ilɡnɛr
żaneta,ʐanɛta
glanc,ɡlant͡s
jonatan,jɔnatan
eibeschütz,ɛjbɛsxüts
grocholewski,ɡrɔxɔlɛfskʲi
kuchciński,kuxt͡ɕiɲskʲi
jasieński,jaɕɛɲskʲi
rylik,rɨlik
napoleon,napɔlɛɔn
grochowska,ɡrɔxɔfska
rydel,rɨdɛl
anton,antɔn
grot,ɡrɔt
graffosser,ɡraffɔssɛr
rumianek,rumjanɛk
wilhelmina,vilxɛlmina
iwanowska,ivanɔfska
nazım,nazım
drzymała,dʐɨmawa
rymsza,rɨmʂa
staniek,staɲɛk
kobylański,kɔbɨlaɲskʲi
epstein,ɛpstɛjn
brzęczek,bʐɛnt͡ʂɛk
fotyga,fɔtɨɡa
rybicki,rɨbit͡skʲi
kolberg,kɔlbɛrk
rabczewska,rapt͡ʂɛfska
starowieyski,starɔvjɛjskʲi
mikołaj,mikɔwaj
bugajski,buɡajskʲi
macierewicz,mat͡ɕɛrɛvit͡ʂ
wyczółkowski,vɨt͡ʂuwkɔfskʲi
orkan,ɔrkan
gerard,ɡɛrart
cieślik,t͡ɕɛɕlik
fajans,fajans
kayah,kajax
gołota,ɡɔwɔta
fernández,fɛrnándɛs
tom,tɔm
pustelnik,pustɛlɲik
nitras,ɲitras
szulkin,ʂulkʲin
banachiewicz,banaxjɛvit͡ʂ
stelmachowski,stɛlmaxɔfskʲi
pieczka,pjɛt͡ʂka
dziekanowski,d͡ʑɛkanɔfskʲi
zygmund,zɨɡmunt
łomnicki,wɔmɲit͡skʲi
raginis,raɡʲiɲis
piotrowski,pjɔtrɔfskʲi
szymanowski,ʂɨmanɔfskʲi
sadkowska,satkɔfska
cyrankiewicz,t͡sɨrankʲɛvit͡ʂ
florian,flɔrjan
znaniecki,znaɲɛt͡skʲi
woźniak,vɔʑɲak
grupiński,ɡrupiɲskʲi
piątas,pjɔntas
violetta,vjɔlɛtta
villas,villas
joseph,jɔsɛpx
nałkowska,nawkɔfska
posmysz,pɔsmɨʂ
tymińska,tɨmiɲska
baziak,baʑak
staff,staff
stryjkowski,strɨjkɔfskʲi
mykietyn,mɨkʲɛtɨn
michalczuk,mixalt͡ʂuk
brzyski,bʐɨskʲi
lew,lɛf
rywin,rɨvin
thiago,txjaɡɔ
cionek,t͡ɕɔnɛk
janina,jaɲina
fetlińska,fɛtliɲska
wiśniewska,viɕɲɛfska
gorbaniewska,ɡɔrbaɲɛfska
prucnal,prut͡snal
łuszczkiewicz,wuʂt͡ʂkʲɛvit͡ʂ
wydra,vɨdra
bruzdowicztittel,bruzdɔvit͡ʂtittɛl
podolec,pɔdɔlɛt͡s
frank,frank
piasecki,pjasɛt͡skʲi
fidusiewicz,fiduɕɛvit͡ʂ
gowin,ɡɔvin
kasprowicz,kasprɔvit͡ʂ
małachowski,mawaxɔfskʲi
woda,vɔda
demarczyk,dɛmart͡ʂɨk
gross,ɡrɔss
buczkowski,but͡ʂkɔfskʲi
gottlieb,ɡɔttljɛp
więckiewicz,vjɛnt͡skʲɛvit͡ʂ
podleś,pɔdlɛɕ
janiszewska,jaɲiʂɛfska
marika,marika
domińczyk,dɔmiɲt͡ʂɨk
kowalczyktekieli,kɔvalt͡ʂɨktɛkʲɛli
niedźwiedzki,ɲɛd͡ʑvjɛd͡skʲi
justek,justɛk
zborowski,zbɔrɔfskʲi
narcyza,nart͡sɨza
żmichowska,ʐmixɔfska
pyrek,pɨrɛk
krzaklewski,kʂaklɛfskʲi
preis,prɛjs
walentynowicz,valɛntɨnɔvit͡ʂ
apollo,apɔllɔ
bartel,bartɛl
korowicka,kɔrɔvit͡ska
zgliński,zɡliɲskʲi
lisek,lisɛk
surzyński,suʐɨɲskʲi
krauze,kravzɛ
alicja,alit͡sja
bachledacuruś,baxlɛdat͡suruɕ
jeszke,jɛʂkɛ
malaquais,malaquajs
sandra,sandra
zaniewska,zaɲɛfska
itzhak,itsxak
nikodem,ɲikɔdɛm
caro,t͡sarɔ
waliszewski,valiʂɛfskʲi
pankowski,pankɔfskʲi
ujejski,ujɛjskʲi
zajączkowska,zajɔnt͡ʂkɔfska
michalik,mixalik
karolak,karɔlak
nechama,nɛxama
tec,tɛt͡s
gruszka,ɡruʂka
robak,rɔbak
modrzejewska,mɔdʐɛjɛfska
mycielski,mɨt͡ɕɛlskʲi
pasikowski,paɕikɔfskʲi
fiodorow,fjɔdɔrɔf
skibniewska,skʲibɲɛfska
wosz,vɔʂ
poźniak,pɔʑɲak
opałka,ɔpawka
czyżewska,t͡ʂɨʐɛfska
mazurkiewicz,mazurkʲɛvit͡ʂ
płażyński,pwaʐɨɲskʲi
diana,djana
karenne,karɛnnɛ
kulenty,kulɛntɨ
lindeman,lindɛman
ivo,ivɔ
pękalski,pɛŋkalskʲi
merta,mɛrta
kondrat,kɔndrat
borowski,bɔrɔfskʲi
saul,savl
wahl,vaxl
silberstein,ɕilbɛrstɛjn
fogg,fɔɡk
kiszczak,kʲiʂt͡ʂak
urbanski,urbanskʲi
rokita,rɔkʲita
jurek,jurɛk
rossi,rɔsɕi
joachim,jɔaxim
halupczok,xalupt͡ʂɔk
gawrońska,ɡavrɔɲska
haft,xaft
tamara,tamara
gee,ɡɛɛ
ludwika,ludvika
zachwatowicz,zaxfatɔvit͡ʂ
barańska,baraɲska
putra,putra
lenica,lɛɲit͡sa
wujek,vujɛk
kupcewicz,kupt͡sɛvit͡ʂ
kazimiera,kaʑimjɛra
iłłakowiczówna,iwwakɔvit͡ʂuvna
niemen,ɲɛmɛn
skubiszewski,skubiʂɛfskʲi
dzikowska,d͡ʑikɔfska
pinchas,pinxas
lawon,lavɔn
sawidor,savidɔr
kowalska,kɔvalska
gągor,ɡɔŋɡɔr
kaczor,kat͡ʂɔr
stomma,stɔmma
bocheński,bɔxɛɲskʲi
kraszewski,kraʂɛfskʲi
hayden,xajdɛn
siemoniak,ɕɛmɔɲak
thurzo,txuʐɔ
bruno,brunɔ
rodzik,rɔd͡ʑik
podolska,pɔdɔlska
pankiewicz,pankʲɛvit͡ʂ
steve,stɛvɛ
gęsicka,ɡɛ̃ɕit͡ska
makuszyński,makuʂɨɲskʲi
chamique,xamiquɛ
holdsclaw,xɔltst͡slaf
charles,xarlɛs
denner,dɛnnɛr
erin,ɛrin
mielzynski,mjɛlzɨnskʲi
franz,frans
jakubowski,jakubɔfskʲi
smolarz,smɔlaʂ
palester,palɛstɛr
udalski,udalskʲi
kątski,kɔntskʲi
liliana,liljana
komorowska,kɔmɔrɔfska
marcelina,mart͡sɛlina
sembrichkochańska,sɛmbrixkɔxaɲska
wolszczak,vɔlʂt͡ʂak
dobrzyński,dɔbʐɨɲskʲi
trojanowska,trɔjanɔfska
schiller,sxillɛr
oswald,ɔsfalt
balzer,balzɛr
kwiatkowskalass,kfjatkɔfskalass
rabsztyn,rapʂtɨn
borski,bɔrskʲi
rowecki,rɔvɛt͡skʲi
zajdel,zajdɛl
boryczka,bɔrɨt͡ʂka
minc,mint͡s
szmajdziński,ʂmajd͡ʑiɲskʲi
apolinary,apɔlinarɨ
szeluto,ʂɛlutɔ
mielcarz,mjɛlt͡saʂ
janda,janda
sara,sara
frenkel,frɛnkɛl
wodzińska,vɔd͡ʑiɲska
hans,xans
ziglarski,ʑiɡlarskʲi
manfred,manfrɛt
sakel,sakɛl
szumowska,ʂumɔfska
lachs,laxs
borsuk,bɔrsuk
dagmara,daɡmara
wozniak,vɔzɲak
stachowski,staxɔfskʲi
łuszczewska,wuʂt͡ʂɛfska
stefański,stɛfaɲskʲi
cyprian,t͡sɨprjan
godebski,ɡɔdɛpskʲi
cieślewicz,t͡ɕɛɕlɛvit͡ʂ
candice,t͡sandit͡sɛ
dupree,duprɛɛ
kantor,kantɔr
orlev,ɔrlɛf
ledóchowski,lɛduxɔfskʲi
kowalewski,kɔvalɛfskʲi
peszek,pɛʂɛk
janikowski,jaɲikɔfskʲi
celińska,t͡sɛliɲska
morawski,mɔrafskʲi
lim,lim
dongmin,dɔnɡmin
kacenelson,kat͡sɛnɛlsɔn
wolny,vɔlnɨ
brzozowski,bʐɔzɔfskʲi
ronczewski,rɔnt͡ʂɛfskʲi
nowosielski,nɔvɔɕɛlskʲi
wierzbowski,vjɛʐbɔfskʲi
milgrom,milɡrɔm
woyda,vɔjda
heinrich,xɛjnrix
klemens,klɛmɛns
murańka,muraɲka
muszyński,muʂɨɲskʲi
spychalski,spɨxalskʲi
braunek,bravnɛk
steczkowska,stɛt͡ʂkɔfska
gebirtig,ɡɛbirtik
john,jɔxn
kosmina,kɔsmina
kolski,kɔlskʲi
blanik,blaɲik
wojdat,vɔjdat
iwona,ivɔna
guzowska,ɡuzɔfska
janas,janas
chwistek,xfistɛk
stenka,stɛnka
tewje,tɛvjɛ
leśniak,lɛɕɲak
koman,kɔman
horst,xɔrst
szymaniak,ʂɨmaɲak
schinzel,sxinzɛl
lemkin,lɛmkʲin
templin,tɛmplin
styka,stɨka
wioletta,vjɔlɛtta
zawada,zavada
izuagbe,izuaɡbɛ
ugonoh,uɡɔnɔx
dembiński,dɛmbiɲskʲi
szyk,ʂɨk
kobro,kɔbrɔ
halszka,xalʂka
osmólska,ɔsmulska
malawski,malafskʲi
jędrzejewicz,jɛndʐɛjɛvit͡ʂ
foik,fɔjk
anczyc,ant͡ʂɨt͡s
szapołowska,ʂapɔwɔfska
nurowski,nurɔfskʲi
berman,bɛrman
olech,ɔlɛx
brzechwa,bʐɛxfa
kiepura,kʲɛpura
białostocki,bjawɔstɔt͡skʲi
wieszczekkordus,vjɛʂt͡ʂɛkkɔrdus
retinger,rɛtinɡɛr
ochman,ɔxman
gilewicz,ɡʲilɛvit͡ʂ
górecki,ɡurɛt͡skʲi
zawacka,zavat͡ska
morajko,mɔrajkɔ
szalonek,ʂalɔnɛk
ekert,ɛkɛrt
celiński,t͡sɛliɲskʲi
schatten,sxattɛn
skarbek,skarbɛk
antczak,antt͡ʂak
sandberg,sandbɛrk
badeński,badɛɲskʲi
bart,bart
błasik,bwaɕik
giedroyc,ɡʲɛdrɔjt͡s
tad,tat
danielewski,daɲɛlɛfskʲi
chyra,xɨra
grabowski,ɡrabɔfskʲi
hołowczyc,xɔwɔft͡ʂɨt͡s
tischner,tisxnɛr
kosedowski,kɔsɛdɔfskʲi
alter,altɛr
kacyzne,kat͡sɨznɛ
skutnik,skutɲik
narzyński,naʐɨɲskʲi
juskowiak,juskɔvjak
otton,ɔttɔn
nikodym,ɲikɔdɨm
kurto,kurtɔ
onyszkiewicz,ɔnɨʂkʲɛvit͡ʂ
grubba,ɡrubba
wodiczko,vɔdit͡ʂkɔ
milczanowski,milt͡ʂanɔfskʲi
olechowski,ɔlɛxɔfskʲi
kremer,krɛmɛr
lothe,lɔtxɛ
bołądź,bɔwɔɲt͡ɕ
engel,ɛnɡɛl
akiba,akʲiba
stasiuk,staɕuk
tarkowski,tarkɔfskʲi
przyboś,pʂɨbɔɕ
dziewulski,d͡ʑɛvulskʲi
matusiak,matuɕak
sandomierski,sandɔmjɛrskʲi
frasyniuk,frasɨɲuk
kisielewski,kʲiɕɛlɛfskʲi
löwy,lɔ̈vɨ
rajzla,rajzla
żychlińska,ʐɨxliɲska
dickstein,dit͡skstɛjn
pszoniak,pʂɔɲak
turnau,turnaf
wojtas,vɔjtas
nachum,naxum
nir,ɲir
jr,jr
celski,t͡sɛlskʲi
jakóbczak,jakupt͡ʂak
toeplitz,tɔɛplits
turowicz,turɔvit͡ʂ
gradus,ɡradus
szczygło,ʂt͡ʂɨɡwɔ
babiuch,babifx
rosa,rɔsa
raisa,rajsa
lelewel,lɛlɛvɛl
knittel,kɲittɛl
jaroszewicz,jarɔʂɛvit͡ʂ
zdrojewski,zdrɔjɛfskʲi
grabowska,ɡrabɔfska
koźmiński,kɔʑmiɲskʲi
jake,jakɛ
święcicki,ɕfjɛnt͡ɕit͡skʲi
makowska,makɔfska
chwierut,xfjɛrut
kordylewski,kɔrdɨlɛfskʲi
gotlib,ɡɔtlip
sendzimir,sɛnd͡ʑimir
althamer,altxamɛr
leszczyński,lɛʂt͡ʂɨɲskʲi
falk,falk
joe,jɔɛ
pavelski,pavɛlskʲi
sneh,snɛx
dembicki,dɛmbit͡skʲi
fornalik,fɔrnalik
wilkoń,vilkɔɲ
orlicz,ɔrlit͡ʂ
vincent,vint͡sɛnt
boryla,bɔrɨla
różewicz,ruʐɛvit͡ʂ
grzegorek,ɡʐɛɡɔrɛk
marceli,mart͡sɛli
nencki,nɛnt͡skʲi
wielichowska,vjɛlixɔfska
kondracki,kɔndrat͡skʲi
śniadek,ɕɲadɛk
suckewer,sut͡skɛvɛr
zabludovsky,zabludɔfskɨ
zaruski,zaruskʲi
rzymowski,ʐɨmɔfskʲi
spisak,spisak
jablonski,jablɔnskʲi
lanckoroński,lant͡skɔrɔɲskʲi
peczynski,pɛt͡ʂɨnskʲi
hulanicka,xulaɲit͡ska
rüdesheim,rüdɛsxɛjm
hajto,xajtɔ
peszkowski,pɛʂkɔfskʲi
rydygier,rɨdɨɡʲɛr
szamotulski,ʂamɔtulskʲi
gosia,ɡɔɕa
andrzejewicz,andʐɛjɛvit͡ʂ
popko,pɔpkɔ
badyna,badɨna
krajewski,krajɛfskʲi
gilarski,ɡʲilarskʲi
filipowiak,filipɔvjak
duninmarkiewicz,duɲinmarkʲɛvit͡ʂ
deptuła,dɛptuwa
mąciwoda,mɔnt͡ɕivɔda
siemieński,ɕɛmjɛɲskʲi
kaczmarczyk,kat͡ʂmart͡ʂɨk
oleg,ɔlɛk
łatyszonek,watɨʂɔnɛk
szlachetko,ʂlaxɛtkɔ
towiański,tɔvjaɲskʲi
jagaciak,jaɡat͡ɕak
fajdek,fajdɛk
błaszczak,bwaʂt͡ʂak
asnyk,asnɨk
dziewoński,d͡ʑɛvɔɲskʲi
dziubek,d͡ʑubɛk
perkowski,pɛrkɔfskʲi
gruszynski,ɡruʂɨnskʲi
cywia,t͡sɨvja
lubetkin,lubɛtkʲin
ala,ala
gertner,ɡɛrtnɛr
oramus,ɔramus
alojzy,alɔjzɨ
orszulik,ɔrʂulik
stanislav,staɲislaf
andreski,andrɛskʲi
ładysz,wadɨʂ
krzesimir,kʂɛɕimir
dębski,dɛmpskʲi
baculewski,bat͡sulɛfskʲi
wojtkowiak,vɔjtkɔvjak
ferency,fɛrɛnt͡sɨ
pomian,pɔmjan
kamler,kamlɛr
zolynska,zɔlɨnska
boryś,bɔrɨɕ
opania,ɔpaɲa
irina,irina
zaricka,zarit͡ska
kamieńska,kamjɛɲska
lobel,lɔbɛl
knapik,knapik
frąckowiak,frɔnt͡skɔvjak
lankosz,lankɔʂ
skalmowski,skalmɔfskʲi
rychlicki,rɨxlit͡skʲi
kochanowski,kɔxanɔfskʲi
trąba,trɔmba
legutko,lɛɡutkɔ
iwański,ivaɲskʲi
żebrowski,ʐɛbrɔfskʲi
hurewicz,xurɛvit͡ʂ
pachałko,paxawkɔ
kita,kʲita
maryańska,marjaɲska
wołłejko,vɔwwɛjkɔ
pisar,pisar
wojtyllo,vɔjtɨllɔ
doba,dɔba
mondszajn,mɔntʂajn
kristof,kristɔf
avigdor,aviɡdɔr
czok,t͡ʂɔk
sulkiewicz,sulkʲɛvit͡ʂ
kudelski,kudɛlskʲi
durajczyk,durajt͡ʂɨk
machalica,maxalit͡sa
abramowicz,abramɔvit͡ʂ
alf,alf
francis,frant͡ɕis
laska,laska
sabath,sabatx
aron,arɔn
cajtlin,t͡sajtlin
miodowicz,mjɔdɔvit͡ʂ
znamierowski,znamjɛrɔfskʲi
dmitrij,dmitrij
fiłosofow,fiwɔsɔfɔf
szymczewska,ʂɨmt͡ʂɛfska
tchórz,txuʂ
socha,sɔxa
jaros,jarɔs
rune,runɛ
holta,xɔlta
tracz,trat͡ʂ
paleczny,palɛt͡ʂnɨ
waś,vaɕ
grąbczewski,ɡrɔmpt͡ʂɛfskʲi
fabicki,fabit͡skʲi
sygietyński,sɨɡʲɛtɨɲskʲi
fidyk,fidɨk
stryjeński,strɨjɛɲskʲi
grzybowska,ɡʐɨbɔfska
kostenko,kɔstɛnkɔ
eisenberger,ɛjsɛnbɛrɡɛr
dałkowska,dawkɔfska
bonk,bɔnk
markowski,markɔfskʲi
dłuski,dwuskʲi
mularczyk,mulart͡ʂɨk
dąbal,dɔmbal
zamoyski,zamɔjskʲi
kupczyk,kupt͡ʂɨk
smolik,smɔlik
wąsowski,vɔ̃sɔfskʲi
szyc,ʂɨt͡s
aleksy,alɛksɨ
antkiewicz,antkʲɛvit͡ʂ
harasymowicz,xarasɨmɔvit͡ʂ
grzelak,ɡʐɛlak
biegas,bjɛɡas
bańka,baɲka
xawery,xavɛrɨ
boguski,bɔɡuskʲi
gornostaj,ɡɔrnɔstaj
lewoniewski,lɛvɔɲɛfskʲi
patrycja,patrɨt͡sja
maliszewska,maliʂɛfska
ania,aɲa
marson,marsɔn
jerzyk,jɛʐɨk
bronarski,brɔnarskʲi
romantowska,rɔmantɔfska
klechniowska,klɛxɲɔfska
kora,kɔra
kocjan,kɔt͡sjan
efimienko,ɛfimjɛnkɔ
sterling,stɛrlink
albrecht,albrɛxt
zięciowska,ʑɛnt͡ɕɔfska
damięcki,damjɛnt͡skʲi
krukowski,krukɔfskʲi
zawadzka,zavad͡ska
zuber,zubɛr
augustyn,avɡustɨn
szczepański,ʂt͡ʂɛpaɲskʲi
doda,dɔda
conrad,t͡sɔnrat
karasowski,karasɔfskʲi
kieniewicz,kʲɛɲɛvit͡ʂ
bartolommeo,bartɔlɔmmɛɔ
berrecci,bɛrrɛt͡st͡ɕi
szwarc,ʂfart͡s
stasys,stasɨs
eidrigevičius,ɛjdriɡɛvit͡šifs
christlieb,xristljɛp
kalischer,kalisxɛr
kamieński,kamjɛɲskʲi
buczek,but͡ʂɛk
nadolski,nadɔlskʲi
ruciński,rut͡ɕiɲskʲi
elwira,ɛlvira
seroczyńska,sɛrɔt͡ʂɨɲska
rajchman,rajxman
kasprzykowski,kaspʂɨkɔfskʲi
kłoczkowski,kwɔt͡ʂkɔfskʲi
dominik,dɔmiɲik
rainer,rajnɛr
karpiniuk,karpiɲuk
baruch,barux
lumet,lumɛt
wojtowicz,vɔjtɔvit͡ʂ
gene,ɡɛnɛ
gutowski,ɡutɔfskʲi
kon,kɔn
kontrym,kɔntrɨm
łowmiański,wɔvmjaɲskʲi
doroszewski,dɔrɔʂɛfskʲi
burza,buʐa
pilejczyk,pilɛjt͡ʂɨk
sawa,sava
wiktor,viktɔr
thommée,txɔmmɛ́ɛ
nehrebecka,nɛxrɛbɛt͡ska
polko,pɔlkɔ
jackiw,jat͡skʲif
gawroński,ɡavrɔɲskʲi
kanty,kantɨ
pawluśkiewicz,pavluɕkʲɛvit͡ʂ
kubicki,kubit͡skʲi
wiera,vjɛra
krzyżanowska,kʂɨʐanɔfska
lenczewski,lɛnt͡ʂɛfskʲi
gierszał,ɡʲɛrʂaw
krzewina,kʂɛvina
franczak,frant͡ʂak
petelski,pɛtɛlskʲi
michniewicz,mixɲɛvit͡ʂ
kotlarska,kɔtlarska
woliński,vɔliɲskʲi
pietrzyk,pjɛtʂɨk
staniszewska,staɲiʂɛfska
liebert,ljɛbɛrt
mozil,mɔʑil
franke,frankɛ
skowronek,skɔvrɔnɛk
mackiewicz,mat͡skʲɛvit͡ʂ
masternak,mastɛrnak
tomala,tɔmala
lorentz,lɔrɛnts
zaroślińska,zarɔɕliɲska
bałka,bawka
korboński,kɔrbɔɲskʲi
koneczny,kɔnɛt͡ʂnɨ
pełczyński,pɛwt͡ʂɨɲskʲi
bródka,brutka
kazuro,kazurɔ
muklewicz,muklɛvit͡ʂ
surlit,surlit
chorosińska,xɔrɔɕiɲska
iwan,ivan
monighetti,mɔɲikxɛtti
ligia,liɡʲja
branice,braɲit͡sɛ
halik,xalik
wisner,visnɛr
minkiewicz,minkʲɛvit͡ʂ
trepczyński,trɛpt͡ʂɨɲskʲi
goleniewski,ɡɔlɛɲɛfskʲi
tomicki,tɔmit͡skʲi
dehnel,dɛxnɛl
czyński,t͡ʂɨɲskʲi
alex,alɛx
cisak,t͡ɕisak
faury,favrɨ
witek,vitɛk
owron,ɔvrɔn
tymon,tɨmɔn
zaborowski,zabɔrɔfskʲi
wierzyński,vjɛʐɨɲskʲi
petelska,pɛtɛlska
jasiukiewicz,jaɕukʲɛvit͡ʂ
pujszo,pujʂɔ
stamm,stamm
bosak,bɔsak
dygasiński,dɨɡaɕiɲskʲi
ciechanowiecki,t͡ɕɛxanɔvjɛt͡skʲi
bergson,bɛrksɔn
jakób,jakup
gniazdowski,ɡɲazdɔfskʲi
probierz,prɔbjɛʂ
wiktoria,viktɔrja
gąsiewska,ɡɔ̃ɕɛfska
tatja,tatja
seibt,sɛjpt
madejczyk,madɛjt͡ʂɨk
madaj,madaj
tłokiński,twɔkʲiɲskʲi
magin,maɡʲin
stefaniuk,stɛfaɲuk
bobrowski,bɔbrɔfskʲi
urbanek,urbanɛk
auguścik,avɡuɕt͡ɕik
skłodowski,skwɔdɔfskʲi
radecka,radɛt͡ska
olsza,ɔlʂa
arthur,artxur
posnansky,pɔsnanskɨ
genowefa,ɡɛnɔvɛfa
wiśniowska,viɕɲɔfska
bogajewicz,bɔɡajɛvit͡ʂ
skowrońskadolata,skɔvrɔɲskadɔlata
berent,bɛrɛnt
okuniewska,ɔkuɲɛfska
strzemiński,stʂɛmiɲskʲi
tylicki,tɨlit͡skʲi
kupisz,kupiʂ
jażdżewski,jaʐd͡ʐɛfskʲi
rajski,rajskʲi
symcha,sɨmxa
rotem,rɔtɛm
iwo,ivɔ
byczewski,bɨt͡ʂɛfskʲi
st,st
dymna,dɨmna
polak,pɔlak
walczykiewicz,valt͡ʂɨkʲɛvit͡ʂ
cioch,t͡ɕɔx
krzyżanowski,kʂɨʐanɔfskʲi
łopata,wɔpata
jasienica,jaɕɛɲit͡sa
żurawlew,ʐuravlɛf
wyrwał,vɨrvaw
bielska,bjɛlska
lisowski,lisɔfskʲi
goldberg,ɡɔldbɛrk
menotti,mɛnɔtti
garibaldi,ɡaribaldi
tyc,tɨt͡s
patyra,patɨra
szancer,ʂant͡sɛr
borysewicz,bɔrɨsɛvit͡ʂ
zniszczoł,zɲiʂt͡ʂɔw
ciepielewska,t͡ɕɛpjɛlɛfska
otrębska,ɔtrɛmpska
pius,pifs
rudzki,rud͡skʲi
pieńkowski,pjɛɲkɔfskʲi
król,krul
młodożeniec,mwɔdɔʐɛɲɛt͡s
spieralski,spjɛralskʲi
kościukiewicz,kɔɕt͡ɕukʲɛvit͡ʂ
czyżowski,t͡ʂɨʐɔfskʲi
zbylut,zbɨlut
grzywacz,ɡʐɨvat͡ʂ
dobrosz,dɔbrɔʂ
sładkowski,swatkɔfskʲi
drapella,drapɛlla
piechociński,pjɛxɔt͡ɕiɲskʲi
trela,trɛla
globisz,ɡlɔbiʂ
gertz,ɡɛrts
boberek,bɔbɛrɛk
tazbir,tazbir
szpak,ʂpak
stawiarski,stavjarskʲi
łempicki,wɛmpit͡skʲi
jedlewska,jɛdlɛfska
hibner,xibnɛr
wielomski,vjɛlɔmskʲi
hulewicz,xulɛvit͡ʂ
zbrojewicz,zbrɔjɛvit͡ʂ
cembrzyńska,t͡sɛmbʐɨɲska
cynk,t͡sɨnk
stanienda,staɲɛnda
horodyski,xɔrɔdɨskʲi
kiliński,kʲiliɲskʲi
nicholas,ɲixɔlas
andrew,andrɛf
rey,rɛj
kruszewski,kruʂɛfskʲi
leszczyńska,lɛʂt͡ʂɨɲska
kotański,kɔtaɲskʲi
kosmowska,kɔsmɔfska
omar,ɔmar
sangare,sanɡarɛ
borzęcki,bɔʐɛnt͡skʲi
pożerska,pɔʐɛrska
eichler,ɛjxlɛr
strobl,strɔbl
szalawski,ʂalafskʲi
małaszyński,mawaʂɨɲskʲi
antonina,antɔɲina
adamowskaszumowska,adamɔfskaʂumɔfska
siekierski,ɕɛkʲɛrskʲi
kamińska,kamiɲska
krupińska,krupiɲska
dobek,dɔbɛk
słowiok,swɔvjɔk
etkin,ɛtkʲin
janotha,janɔtxa
balcerzak,balt͡sɛʐak
janowska,janɔfska
neumann,nɛvmann
ozimiński,ɔʑimiɲskʲi
herbst,xɛrpst
mączka,mɔnt͡ʂka
fastnacht,fastnaxt
hen,xɛn
smoleński,smɔlɛɲskʲi
kersten,kɛrstɛn
czartoryska,t͡ʂartɔrɨska
witasik,vitaɕik
studziński,stud͡ʑiɲskʲi
skrzeszewski,skʂɛʂɛfskʲi
kiereś,kʲɛrɛɕ
pobłocka,pɔbwɔt͡ska
ziemski,ʑɛmskʲi
woronowicz,vɔrɔnɔvit͡ʂ
sokorski,sɔkɔrskʲi
fudali,fudali
ohme,ɔxmɛ
krzewiński,kʂɛviɲskʲi
jarzyńska,jaʐɨɲska
rosław,rɔswaf
szaybo,ʂajbɔ
błocki,bwɔt͡skʲi
gierżod,ɡʲɛʐ̇ɔt
piwarski,pivarskʲi
zambrowski,zambrɔfskʲi
gryglewski,ɡrɨɡlɛfskʲi
mijal,mijal
ochyra,ɔxɨra
adrianna,adrjanna
godlewska,ɡɔdlɛfska
laszczka,laʂt͡ʂka
raczyńska,rat͡ʂɨɲska
ratajski,ratajskʲi
fajlhauer,fajlxavɛr
glińska,ɡliɲska
przespolewski,pʂɛspɔlɛfskʲi
nowodworski,nɔvɔdvɔrskʲi
jędryka,jɛndrɨka
kawiorska,kavjɔrska
kobus,kɔbus
michalkiewicz,mixalkʲɛvit͡ʂ
moczulski,mɔt͡ʂulskʲi
podhorodecki,pɔtxɔrɔdɛt͡skʲi
sitek,ɕitɛk
lichota,lixɔta
bień,bjɛɲ
samsonowicz,samsɔnɔvit͡ʂ
sempołowska,sɛmpɔwɔfska
tytus,tɨtus
chałubiński,xawubiɲskʲi
lyda,lɨda
roberti,rɔbɛrti
kydryński,kɨdrɨɲskʲi
trzeciakowski,tʂɛt͡ɕakɔfskʲi
rychter,rɨxtɛr
hertz,xɛrts
lepiato,lɛpjatɔ
waldorff,valdɔrff
brodzki,brɔd͡skʲi
rogacewicz,rɔɡat͡sɛvit͡ʂ
gajewski,ɡajɛfskʲi
kotlinowski,kɔtlinɔfskʲi
witkowski,vitkɔfskʲi
kownacka,kɔvnat͡ska
maciszewski,mat͡ɕiʂɛfskʲi
lesiewicz,lɛɕɛvit͡ʂ
bunsch,bunsx
wiszniewski,viʂɲɛfskʲi
czapliński,t͡ʂapliɲskʲi
zamecznik,zamɛt͡ʂɲik
konieczna,kɔɲɛt͡ʂna
koba,kɔba
kosendiak,kɔsɛndjak
wejtko,vɛjtkɔ
butenko,butɛnkɔ
sapryk,saprɨk
